wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Oct 28 2008 	 Summer Good Summer Bad : Right Summer Bay Mediocre 	 ' m sure resort ovely construction re - hab complete . . apartment complex purchase Summer Bay gutte re - fit timeshare resort . old , original resort slate demolition . tell would & quot ; & quot ; construction go , totally stagger actual scope stay right middle : dumpster block road , service truck delivery van granite countertop , cabinet , appliance clog entrance road well . ground also process renovate mostly bare dirt pock mark empty container hole wait new plant shrubbery . unit pretty nice , although middle renovation well : furniture , paint , decor fireplace nice . nice Laundry room new W / D . however kitchen abd bath date : kitchen cabinet old smelly , formica counter badly worn , refrigerator light , garbage disposal work , ratty little sink sprayer . bath spacious , new tile floor , old cultured marble sink crack . bedroom drape , mini blind , allow blinding spotlight across way shine practically full force . unable sleep first night bright . purchase vinyl table cloth drape across block light night . Maid service week . bad time share , check Sunday , get maid service Tuesday . rest 5 day service . seem could space little middle week . organize activity nil . pool newly renovate , hot tub , clean . lot fluffy towel comfy chair poolside . mention .. probably gorgeous resort upgrade complete , location hard beat . 
 Oct 11 2008 	 awesome holiday 	 exchange timeshare summer Bay . 1 bedroom . give 2 bedroom apartment 4 we happy . want somewhere crash . rather worried review not need . yes new condo 's / site construction could not wish nice place stay . completely finish place fantastic . room clean smart staff helpful time . teethe problem new condo deal promptly may add not many . we satisfy . 
 Oct 7 2008 	 Fabulous Location 	 Stayed resort one big reason love - location fantastic ! right behind Imperial Palace Strip be within 5 minute Vegas offer ! accomodation ( time ) clean comforatble need bit modernising . stay 1 bed/ 2 bath condo two week old sofa bed well ! share apartment anyone get bed , will fine . want near pool , specifically request apartment near one tricky find . the staff friendly although not much contact they . if want close heart Vegas look accomodation somewhere sleep , shower change perfect location . 
 Oct 5 2008 	 never stay Summer Bay 	 husband , , another couple book 2 bedroom Summer Bay celebrate 1st anniversary . arrive already fill 2 bedroom give we 2 one bedroom first night . even call tell would check late . main building night ask come back morning would move we 2 bedroom . 3 hour wait next morning move set we smoking room without ask ok . end wait long . finally place 2 bedroom non - smoking room tell shuttle take we & quot ; newer & quot ; facility . walk , construction back complex . want get settle soon find hot water work properly shower stick bath shower knob fall . take three call get fix . I know go construction , extent truly . place mess , likely nice place stay finish far right . long near strip . ready take shuttle service , great time , always . issue , expect staff helpful . especially book time RCI . one front desk manager extremely rude father law basically say not go anything we . suggest wait completely do renovation stay . 
 Sep 30 2008 	 shoddy construction / ok location 	 well , majority review ' ve read correct . place multiple problem . 's list stuff find wrong working room . Disposal stick . ( crank attach fix ) HBO Master br.only 1 small trash kitchen . no pool hot tub . blind patio door bedroom not work . a / c filter clogged paint . a / c duct bedroom Master bath connect plenum therefore A / c bedroom except filter thru door not close . no light bulb oven stove . Carpet look like bring project lightly clean . use door ceiling fan etc . throughout . sink bathroom barely drain . dining room chair fall apart . not sit ! security people unfriendly . 
 Aug 17 2008 	 would not stay 	 look property web site , impression resort rebuild open August 2008 . web site state 12 pool , laundry room fireplace every room . picture look great . when arrive find resort still construction . property exception one building level construction . one building leave tell room locate . room new , adequate . however picture web site . look around call resort , find one small pool , laundry room fireplace . try make good , set market buy grocery seven day stay . purchase hundred dollar worth grocery place perishable refrigerator . next morning go prepare breakfast , find refrigerator work food spoil . call maintenance management . hour half one show . look around discover breaker refrigerator outlet trip reset . ask management compensate we $ 30.00 worth perishable item , tell carry cash could compensate we . we also discover resort policy provide maid service room week . additional service come price $ 25.00 per request . the staff helpful . hang around staff break room work day . even hear talk guest make fun they . although experience ok , problem , say definitely bad resort time share ever experience . 
 Aug 17 2008 	 false advertising 	 return trip Summer bay resort August 10th-16th book year ago . tell 12 swimming poolsand come find one move across road building remodel . we new would noise , also think go resort 18 acre complex . find new building say re - do apartment building hear might move look internet read new bulding 5 pool beautiful ground ........ well post internet , yet 5 pool ect .... well upon arrival find would 3 floor elevator , would shuttle back forth resort across street want use one pool ground . key remade 3 time say new lock , not washcloth room , soap , dish towel , dishwasher backing fix , unit redone . over unit rent ready berente wait whole resort do , ; hassel go vacation continue problem every day . say front desk , shuttle driver , house keep nice always smile although everyone always complain . I think Summer Bay misleading resort . 
 Aug 13 2008 	 work we 	 stay Summer Bay resort Las Vegas March 19 - 24 . timeshare , understand , old building tear replace new unit . 's good thing . room not bad , not nice either . not look five - star resort , look place sleep hour staying night . : ) husband travel couple 1 - year - old . ( P.S . not bring baby Vegas ! haha ) Summer Bay staff provide crib ask hassle . fact , wait we get late night . not nice crib , kid not seem mind . : ) find dead cockroach bathroom , not creep . would worse find alive ! bug , room clean comfortably cool . as discover , pretty creepy walk back room late night , strip . never problem though . not think far strip . could access monorail via special elevator Summer Bay resort guest . also walk Imperial Palace quick way get strip . else walk Bally 's work . give amount walk , be another block get hotel . : ) concierge name Carrie ( something like ? ) super nice give we lot idea show see get we discount ticket great show Imperial Palace . people work resort nice treat we like old friend . above , great time Vegas staff accommodate we . obviously room need bit work , picture ' ve see , new one go awesome . be go back March 2009 . 
 Jul 27 2008 	 hope new one be well 	 spend 3 day Summer 's Bay resort . first , let say last people stay resort . planning move new resort August . get tour new room stay friend own time share . room stay smell smoke housekeeping never clean room whole stay . whirlpool cold first night . could say not recommend stay move . say hope service well new facility . block back old building thus strip . the next time stay vegas , would one Hotels strip . like convience propety restaurant bar . also easier get around double decker rent car . rather cook not mind take shuttle renting car give new place try , otherwise stay strip . 
 Jul 20 2008 	 wonderful experience ! 	 recently enjoy ten day stay Summer Bay . family member one bedroom two bedroom condo main building . check - in go smoothly . offer many wonderful opportunity show dinner . pressure view presentation . check two bedroom condo pleasantly surprised . immaculately clean . kitchen fully stock cooking item utensil . bathroom beautiful bedroom . live dining room comfy . pool area clean inviting . housekeeping staff accommodate . front desk staff friendly ready help need . different activity daily main lobby . would suggest post sort calendar ahead time one know available . different activity ice cream social , popcorn wagon , morning coffee bagel . 4th July host barbecue . would definitely stay location opportunity arise . 
 Jul 17 2008 	 's fuss 	 ' m always amuse scathing review read resort ! wife ( sometimes grown - up kid friend ) stay many occasion never bad experience . various room around resort nice other always clean nothing missing . one time problem hot water . immediately send repair man hour , could not fix . front desk helpful quickly relocate we another unit . word advice complain problem check - issue something , get fix ask move . gladly accommodate request . timeshare Las Vegas Peace Canyon high - end resort seldom use since get well value point Summer Bay plus Summer Bay great location . not book year resort move can not wait see new resort shape ! 
 Jul 9 2008 	 BAIT SWITCH * avoid cost 	 bad case Internet Fraud ever see . 90 minute time ask pay vacation suppose free meet term condition web site . tell basic 19 different rule other thry require verify presentation . RUN WAY , 
 Jul 3 2008 	 MOTEL - wait New building 	 exchange hotel tell new unit would ready . get , first come first serve basis room ( ? ) . room full bed leave main building , new one not open yet , unit king size bed & quot ; motel & quot ; section . grab king size unit motel section . huband think , bad ? not judge book cover . walk unit first glance look rather nice . small kitchen , small leather love seat , seperate bedroom . okay might bad . go sleep first night 's trouble begin . bedroom heat unit ( December ) use recently , couple hour smoke alarm go ! try hour later result . end sit nice leather couch living room could keep warm . huaband able bury blanket fall back asleep 50 degree room . next morning two problem arise - bed bug bite cold shower husband . good . wisely pack go elsewhere . exchange ( real bummer ) good time anyways . week later bug bite go relieved do not travel home we . 
 Jun 2 2008 	 Viva Las Vegas 	 stay Summer Bay Las Vegas timeshare exchange rci.the attraction stay Summer Bay close strip . walk minute ! Summer Bay also monorail lift get onto Flamingo station platform handy . we know arrive Summer Bay shift soon safe place stay main reception building request email arrive . get request great . staff friendly helpful throughout stay even give free ticket Fantasy show luxor concierge desk one night head out . the room basic clean time fine . all pleased desision stay summer bay worry read review tripadvisor . 
 May 17 2008 	 great experience 	 end stay . must say apprehensive negative review . villa security gate . nice courtyard hot tub picnic area . bedroom patio secluded area sun bathing . villa clean , tell old resort . understand tear move new resort . never feel ' danger ' even come 4:30am casino . unhappy part stay . home resort Orlando much new not feel right compare two . check breeze , everyone friendly . overall , happy stay Summer Bay Resort . 
 May 12 2008 	 never ever ! ! ! ! ! 	 Summer Bay owner . must say & quot ; & quot ; time stay , total 3 time since owner ( 2003 ) , never disgust entire life ! ! ! lottery sort upgrade hold 2 bedroom deed & quot ; property & quot ; COOL , GREAT , whatever ... offer & amp ; owner come visit new construction buyout Harrahs . ok ! another 90 minute timeshare presentation . arrive Friday morning , check right away go room , last build next Italian Restaurant & amp ; liquor store . not feel safe right , usually middle somewhere people around . also 12 year old daughter & amp ; sister . drop luggage open curtain & amp ; ton moth fly everyone . shew head Bally 's start adventure day . come back room later evening . daughter want go swimming go pool Club House area , pool heat , deflate pool toy , hot - tub cold , moth fly everywhere . gross ! head back room night , start shower dead bug window sill , water come shower head low . everyone finish shower head bed . go day saturday , come late , take shower pack departure next day . sister put stuff away suitcase bed & amp ; open curtain find coachroach lay dead dirty disgusting carpet . find last day 3 day total . sick could get room fast enough . take coachroach front desk check & amp ; ask refund $ 10 night upgrade large room . woman front desk say & quot ; oh that s good & quot ; , need get help anohter person refund . woman came say & quot ; oh 's grasshopper & quot ; . do not know country grasshopper cockroach look alike . needless say never stay resort & quot ; hell hole & quot ; ever , even new place . go home & amp ; shake clothe cockroach ! ! always exchange nice place Vegas . BOOK PLACE ! ! ! ! 
 May 8 2008 	 great location great staff 	 5th trip Las Vegas time use time share time accomodation . Summer Bay new we . locate directly behind Imperial Palace convenient strip . previously stay Tropicana , Polo tower Jockey Club . nice , staff Summer Bay extra ordinary . polite helpful go way need . resort old , tear old building replace new room . many pool spa . a / c room like freezer good we love cool air . three unit , 2- two bedroom 1- one bedroom little different . assume resort old thing replace . resort clean neat really enjoy stay . 
 Apr 22 2008 	 great place stay Vegas ! 	 book resort RCI timeshare . gold Crown owner usually always stay Gold Crown resort . summer Bay Gold Crown resort bit concerned read review people write . people write bad review Summer Bay Resort go stay Wynn pay $ 900 night ! ! ! ! pleasant stay . request room main tower suggest one review . room clean comfortable . bed comfortable pull couch okay also . pool area nice . staff nice one greet we meet . use free shuttle couple time strip downtown . driver pleasant pretty much right time every time . would liked get grocery store want get ready 8:30 catch shuttle offer . also able arrange rent car front desk print boarding pass we . would definately stay . location great nice get away noise action casino . also , new resort look beautiful locate right across road . 
 Apr 14 2008 	 way well strip 	 wow , also shock bad review . I come Vegas every year week conference . stay place strip downtown . time frame come Vegas strip hotel way overprice sell . family come 3 day 7 day stay . want place could stay comfortably kitchen save go eat . I terrify read comment bad place . call call make sure place main section lobby safety . once get realize close strip hotel really request place far main building move build right behind Bally 's . literally walk stair gate courtyard Monorail elevator . really take minute walk right strip . take long get casino hotel . this really one bedroom apartment price cheap room strip . kitchen fully stock supply , roomy seperate room living area dining area , huge bed comfortable , refrig micro ... great leftover . Staff came clean daily ( sure people not ) bed make everyday toiletry refresh . complain , go ahead spend $ 200 plus single room kitchen strip hotels ... leave place people really appreciate comfort convience . can not imagine come Vegas stay regular hotel . really like home away home . sure bit old date hotel ... much bad expensive hotel .. walk Casinos everytime want go ... favorite part . 
 Mar 30 2008 	 get back ! 	 get back 2 teenager , like many other little scared see get timeshare exchange . main building [ lobby } area , room fine , Bellagio , comfortable clean , balcony location strip excellent , monorail basically step away ! walk strip high traffic Easter weekend actually nice get away sound slot machine , people try sell timeshare offer free show mega crowd everywhere . would go back room main pool relax strip . sure could use upgrade know 's process move . 
 Mar 26 2008 	 well fear ... 	 read bad comment , leery staying resort . arrive , find room right monorail back alley , room clean bed comfy . the bathroom little grungy , although result old window bad caulk job tub surround oppose dirty . my big issue cool windy Vegas weekend gap front door 1 - 1/2 & quot ; high ! shove coat door night keep wind howl through . we find staff pleasant , monorail back alley seem non - issue . say bed comfy ? 
 Mar 18 2008 	 great place great location clean 	 book thru time share ( TAN ) RCI run place . location GREAT , right behind Imperial Palace / Harrahs / Flamingo , walk distance mid strip . room clean , kitchen complete need , bed comfortable . not understand negative review , people may stay room since demolish . Harrahs buy land planning building , condo relocate one block east end year . negative thing think picky shower head , bit par , lot hot water separate area wife apply makeup , away steamy bathroom / toilet { : ^ ) staff friendly even help we print boarding pass leave . free breakfast Monday morning , go ahead see time share speech ( wanted see new property one block anyway ) get three ( 3 ) free show dinner ( definitely see & quot ; FabFour & quot ; beatle show Sahara , buffet suck . ) ratpack show Plaza good ( free see low - pressure timeshare presentation , 2 hour . 8 day , time ) . also , Plaza 's & quot ; Viva Las Vegas & quot ; afternoon show free asking . the resort free shuttle to / from downtown / Freemont St. evening , grocery store morning ( airport ) . clean room week 's stay ( pick day ) , leave plenty towel ( find bathroom sink . ) nice , clean place . Great Location . not believe negative review . 
 Feb 27 2008 	 Resort ? use term loosely ! 	 bad experience ever ! ! ! friend ad arrive Hotel 1 , due weather condition fly . even though call th resort let know happen , time arrive hotel give room ( 2bedroom , 2bath , non smoking suite ) away . offer we either suite smoke 2 studio suite . take 2 suite ( right one another ) . within minute room , friend call ask flushed toilet ( ) . reason rain shower toilet water fall ( eww ) . flush agian confirm , call te front desk ( 2 ) . instead tell we maintenence available make we wait 1/2 hour security come tell we would leave note plumber . next morning wait til almost 11 pumbe come . came go activity coordinator ask get info atv tour . hand we pamphlet sit read magaine . next day go back ask go grand canyon . give we small amount info tell we look weather go give we phone number . ( um .. can not since sit front computer pay wifi ? ) resort ofer move room next day , problem seem fix stayed put . weekend not want unpack . housekeeping come week . call ask want full service cleaning ( almost sound like tey hope say ) get ack room , thing leave clean towel take dirty one . bed make ... hair ( jeft bathroom counter purposely ) still . Trash empty .. full cleaning ? one ever call make sure plumbing still ok one seem truely apologetic situation . numb complaint . even laundry room upset . room one small washer dryer , vend machine advertise dryer sheet . try buy one dry cycle , give liquid fabric softner . would issue , already wash clothe . another small isue make everything annoe ! + tha bulding , whic locate back alley scattereed dumpster , right monorai station . pool soo ghetto dirty . room also weird smell . would never stay . even afraid use safe , trust would work right . wouldrather sleep uder park bench strip ! ! ! ! ! 
 Feb 18 2008 	 Place Horrible dirty 	 place horrible , time change reservation ! ! ! place dirty nasty , start . walk room stink badly start look around big black stain carpet , big rip couch , fridge sound like 747 ready take , silverware sit tray top microwave . 1st shower call maintenance tub snake remove 6 inch stand water . Everytime someone walk room sound like window go fall . good couple sex courtyard 2 building broad day light ! ! ! real family friendly . park car alley security . place look like take low income housing developement try unsuccessfully turn resort ... joke ! ! stucco come wall outside building , hole building . Vegas monorail run right top building firend say sound like come right room . really option stay take ! ! ! 
 Feb 13 2008 	 beware ! ! Nasty Ghetto dangerous ! '' 	 want get mug go ahead book ! place look bad Watts project ! picture show actually unit get room . main pic lobby area look nice , actually book room 1 - 2 block away ugly run apartment building bar window stinky inside . place not seem safe , lot & quot ; suspicious & quot ; people walk outside try sell stuff ... literally take we 7 minute walk ugly room lobby ! literally street ! also rent unit part - time worker . place HORRIBLE ! stay staff not welcome ! nice person shuttle guy ! please not make mistake book hideous , dangerous room ! ! ! ! beware ! 
 Feb 1 2008 	 great location helpful staff 	 wow , review varied felt compel respond . stay Summer Bay June plan return summer well . two child ( age 4 1 ) feel safe area resort . plenty parking right outside door feel safe enough leave GPS car . great close enough run outside start car get a / c run ahead time- June hot ! must update unit ( Suites section ) furniture , carpet , king size bed , granite vanity , appliance new . leather sofa sleeper memory foam mattress comfortable . usually put sofa mattress floor . two tv 's 1br unit kitchen well stock , would ever want cook Vegas . the resort one block strip walk buffet kid drive Hoover Dam attraction . like get complimentary coffee go morning walk crowd heat hit strip . offer poolside luau , already plan night . concierge & quot ; Scary Cary & quot ; fantastic many coupon discount . even print boarding pass leave . I ' m say review untruthful ( except one say 's far strip ) every experience different . also think section within resort must make difference . enjoy & quot ; Suites & quot ; heard & quot ; Towers & quot ; ( main building ) good proximity pool , concierge , gym , monorail , etc . just 2 cent , be worth . 
 Jan 23 2008 	 well locate 	 stay resort 5 year ago please enough repeat time share swap . week vacation read hysterical negative review prepare back plan since expect type horrible disaster . we 2 bedroom/2 bath unit really roomy closet attractive curtain furniture . stay friend wall must thick door close hear anything private . bathroom kitchen date well keep . everything work unit , staff friendly arrive everything clean . one exception really disgusting rug look give ghost year ago , doubt receive good shampoo . another negative midweek housekeeping non - existent . make bed sheet change towel . absolutely nothing clean bathroom . unfortunately , husband ( see dirt ) sign sheet paper say suite clean could go back complain . location within 5 minute walk several major casino ( ie , Venetian , Harrahs , Ceasar 's Palace ) monorail . resort sell Bally 's vast expanse level ground unit may bother people . eventually raze still stand unit acceptable long not walk around barefoot . our purpose trip enjoy Vegas offer give resort 4 star . spend little time room serve 's purpose well . another geographic area spend time resort would generous sleep well ( good blackout curtain , quiet time ) , get clean well plenty room therefore please . 
 Jan 18 2008 	 SummerBay Vegas 	 purchase package $ 300 offer free stay US plus couple weekend select resort . figure $ 300 could stand pitch two free stay . know timeshare would hidden cost . make reservation Las Vegas combine wedding soon step - son . weekend trip . book stay phone internet . tell address location resort . try get confirmation mail emailed response . receive confirmation call 1 week trip sound like Sahara get - book . idea hotel / resort . phone number give connect anybody - could call east coast - go weekend . choice book room standing - set we back bit . finally get touch SummersBay Vegas . seem resort hour drive strip . go complain management lack communication . try tell person call lose brother cancer - dice - lose spouse cancer - figured would work - talk fast end short meeting get one night pay hotel free go - sale pitch . we never use remainder package purchase . could think would like far DisneyWorld kid tow leave room inn . no thank - get $ 300 - get 1 night free - even . 
 Jan 9 2008 	 bad review say 	 return spend New Years Eve week Vegas . stay Sunday Sunday . upon arrival resort staff friendly check quick . 2 bedroom , 1 bath 2nd floor main building # 1 . bedroom large well kitchen , dining area & amp ; living room . would prefer 2 bathroom problem . old resort , clean . the resort convient & quot ; strip & quot ; . resort directly behind Imperal Palace walk parking lot Las Vegas Blvd . the room clean mid week fresh towel , clean sheet & amp ; even wash dish breakfast . throughout stay staff friendly & amp ; helpful . parking easy parking garage well street parking . we would stay except resort go tear city complex . Summer Bay Resorts move ... 
 Jan 8 2008 	 despite review fine ! 	 stay New Years 2007 problem . everyone friendly , even maintenance staff , mostly speak English . one BR condo sparkling clean seem new inside . bulde old , scare we bit drive . think drawback parking . literally park monorail parking limit . least particular building . several cluster building - some appear bad shape - some brand new . car , take unit golf cart away main building check . gladly answer question property know building stay , can not tell . try find go could not tell we check . book thru RCI . 
 Dec 21 2007 	 project 	 place awfull never feel scared call resort like Summberbay PROJECTS . exagerating place remind Compton CA . absoloutly bad place ever stay . even resort people actually live room bad people may add . like prostitute , drug dealer , sex offender kind criminal . long night club get drop Harrahs ( next door ) securtiy guard tell careful walking room say lot bad thing happen call resort . mean room actually board run . joke compare project . want life threaten vacation stay , pay extra money stay somewhere descent . get one person stay would FEEL like make WORLD BETTER PLACE . 
 Dec 2 2007 	 Future CSI episode 	 Problems:1 . safety . stay directly behind alleyway , route monorail , office strip unlit , gate not lock , friend ' door not lock , window not lock.2 . lack cleanliness . dirty tub not drain , permadirty tile . dirty carpet . Yuck.3 . disrespect . paint stair walkway wait leave morning , tell friend take public transportation Sam Boyd Stadium , rude concierge.4 . noise . noise anyone stay , construction behind hotel . 5 . cost . pay much would mid - level strip hotel.6 . timeshare . not go timeshare program never take tour . would not stay friend use timeshare RCI.7 . rattle fan , even not on.8 . gross . not help 7 month pregnant not bargain walk place . I complain upon checkout , get snicker giggle woman desk say glad good time . call corporate , manager give 140 tell voice complaint early stay . bad , guess . place tear yet ? 
 Nov 30 2007 	 close MonoRail 	 RCI timeshare use make reservation . also apprehensive reading review TripAdvisor resort questioning choice good one . arrive resort airport quite surprised nice place look .. check - in fairly easy quick locate reservation system . man put we UNIT 590 close Monorail elevator South End resort . key swipe elevator not work either walk Flamingo Hilton Imperial Palace entrance Monorail . get Monorail , elevator worked not need swipe room key access . problem can not use elevator south end resort walk another entrance sidewalk dangerous fair amount traffic road around base Monorail . also call lady desk say work . hopefully fix would make thing safe convenient . people suite we must flush Diaper toilet always want plug we . call front desk maintainance staff short order fix problem . overflow we thank god plenty towel water clean bowl . unit clean carpet bad shape like thought would read previous review . room new furniture bathroom new tile floor . bathtub new finish well . bed large kingsize bed nice . would say stay average difficulty encounter stay look prompt courteous manner staff SummerBay Resort . would problem stay . 
 Nov 26 2007 	 welcome Cold Cockroach Hotel 	 stay ! arrive , noticed construction go check inform resort recently sell one large resort $ 30 million clearing area . drive room sign post around hotel construction site warn asbestos danger . get room decide go return later night switch light kitchen cockroach scatter counter floor . immediately call front desk tell nothing could done problem morning manager return . spend night cockroach . morning show tub drain , get back phone try work thing , manager front desk basically tell we , " bad . " refuse refund first even refuse move we different room , eventually move another room without cockroach . November cold night , switch heater get cold air . think would warm , ' sleep cold . new room shower tub drain . want nice stay Las Vegas , ' stay . picture true representation , room cockroach , heater ' work , tub drain , hotel management staff really care reputation guest hotel sell soon go . 
 Nov 18 2007 	 wow - Better expect 	 read negative review wife bit concerned Summer Bay timeshare trip Vegas . upon arrival inform & quot ; request & quot ; non - smoking room could immediately fill , however , return hour would make every effort one available . check 2 smoking room choose return hour hope non - smoking . two hour later , Summer Bay Registration call wife 's cell inform we unit ready ! ! , return check 3rd floor non - smoking 1 bed room balcony . & quot ; delay & quot ; negative experience ( yawn ) well worth wait . sure , carpeting bit worn & amp ; air conditioning unit bit noisy & amp ; room plush one Bellagio enjoy stay location big plus . we find staff friendly accomodate , ground safe invite balcony unused . not use balcony spend time see sight , gambling , shopping , dining & amp ; Vegas people Vegas - barely time sleep . the place old Vegas & quot ; classic & quot ; disappointed 's demolish become mega - resort 's Sports Arena . enjoy , bad not discover soon . P.S . - & quot ; discover & quot ; Amargosa Opera House Death Valley Junction - go see 
 Oct 20 2007 	 recommend 	 friend property time share stay week . first night try put we REALLY old , smelly small room unbearable request move . next room 5 -- ( can not remember exact room number ) ok . nothing spectacular , especially give price . room location size excellent - directly behind Imperial Palace , - follow list everyhte unacceptable we ( overly picky , want nice , clean room ) : - bathroom weed grow sink - Litterally ! ( take picture ! ) sink drain properly.- show head ( i.e . jet water come pipe wall ) - bathroom quite dirty tub dirty shower ( i.e . bath ) - suppost maid service twice week . never get maid service except call request towel replace . - tv remote work- Windows screen - lock little metal clip screw . exactly high security.- Air conditoning work ... well , unit would shut ! could chnage fan , heat , A / c want turn could not ! - pool outside room ( attrium style ) small nice except heated . - Kitchen poorly stock ( i.e . plate , utencil , glass , non - telflon cook pan .... dishwasher . Fridge / Kitchen table good.- Livingroom hide - a - bed ok , comfy enought hide - a - bed.- Summer Bay offer kind breakfast morning . would stay . stay - ask new room available and/or ask close Imperial Palace possible - otherwise back property quite walk Vegas Strip . not expect much may enjoy stay . would rather stay different property Hotel . 
 Oct 4 2007 	 good value Vegas ! gem ! 	 locate behind Imperial Palace middle Strip , hotel good ! close everything equip everything . resort two dozen little 1 - 2 story building : gate ! pool jacuzzi every 2 - 3 building , BBQ pit , outside table ! suite get CA King bed bedroom , sofabe living room . tv , plus dining area table 4 chair . kitchen spectacular . extremely clean well equip : fridge , microwave , electric range , opener , coffeee pot , utensil , pot pan , plate , cup , glass , even dishwashe liquid towel ! ! ! pleasantly surprise hotel / resort write ! around $ 100 / day ! ! ! family 4 BEST value VEGAS ! 
 Oct 3 2007 	 '' stay ! ... dirty unsafe 	 stay ! experience everything hole sheet cockroach bathroom . carpet clean year ( sock black minute ! ) , pool dead bug remove daily , housekeeping ' take trash 5 day . would cleaner stay street Las Vegas ! 
 Sep 27 2007 	 avoid place like friendly service ..... 	 resort soooooo unknown taxi driver do not know find place .... ! even though one block back strip.the lady help we check , although efficient , friendly person first point contact ! ! bell - hop pleasant , helpfull person work resort . I go concerige get information booking tour activity ..... rude ! do not think realise could actully hear conversation phone .... ! tell person end much dislike wait customer make mind want ... comment offend & quot ; figured want get , instead waste time discuss amongst self , , , & quot ; never expect get taxi hotel .... direct phone line two taxi firm , call one tell pick would 10 - 15 minute .... hour half later still sit like idiot wait ..... luckily we , point bell - hop dude , tell we would well luck get taxi one big hotel ... even give we ride back Harrah 's catch taxi .... ! although room reasonable clean , could spend little bit time clean mould tile bathroom .... change towel daily would also fantastic idea ..... moment policy change towel week .... point ask , take long taxi 's arrive .... ! go get pool towel ..... ! see place schedule demolition .... 
 Sep 23 2007 	 beleive negative comment 	 worried read negative comment say resort great . we arrive welcome front desk give ride room main lobby . when arrive pleased see get exactly odere one bedroom non smoking unit . unit clean comfortable easy access pool sauna maintain everyday new towel disposal . the ground secure always feel safe walk thru main strip , good way get strip back garage Imperial Hotel . People complain look rate prime hotel go five star pretend tell good 3and half four star rebuild become four star sure . would hesitate recommend hotel lot resort would glad come back . the staff everything make stay worthwile . also barbaque location wish cook meal corner store sell beer , softdrink anything require corner store minute complex . last comment forget negative people go enjoy stay people find fault everything quite frankly resort deserve bad comment get . Bob Pat Ron Joanne Ottawa Canada - Orléans 
 Sep 18 2007 	 great time 	 sister stay week 9/9/2007 - 9/16/2007 . staff great . bell man , scary carrie , front desk people . make we feel welcome everyday , receptive needsi two bedroom suite everything could use . thankfully tower , pool jacuzzi . sister suffer sprain back use jacuzzi relief every day , use pool get aerobic water exercise . would come back heartbeat . dlarge 
 Sep 11 2007 	 Average - need upgrading 	 stand 8/26 - 9/2/2007 . first , absolutely love stay . hear horror story , thank God , non - smoking 2 bedroom suite . love : * private pool unit * private Patio unit * Exercise Room * private laundry room unit * Convience strip store * Staff member - John , Mary & amp ; Chris incredible ! ! ! * convenient store site * convenient transportation main building . I extremely fortunate wonderful little apartment . now negative side : * housekeeping come 1 day week . extra fee service . * houseclean - always think vacation - one thing not . * 1 jacuzzi main building - would nice unit outdoor jacuzzi - well private pool * housekeeping need clean apartment well . * Hawaiian Luau overprice pay . * exercise equipment need update . I hope move renovate , bigger well . look forward stay . interesting see new Summerbay Resort . book resort , book 6 month advance get 2 bedroom suite - nonsmoking . give resort B- . 
 Sep 4 2007 	 place demolish .. 	 Th place filthy stinky pack leave . it nightmare . everything old dirty not heart let kid touch anything . check hotel . expensive resrvation , worth . top , tram run top whole time . 
 Aug 1 2007 	 good location descend resort close action 	 get 2 bedroom condo auction less $ 300US one week , would say good value money spend . room : need light update terrible shape . small terrace back whch nice . sit torch sun skytrain head exactl cup tea . bedroom king size bed mother need share bed 2 young boy age 3 5 . husband share bed 5 month old baby . good size room would prefer 2 double bed second room . Bathroom/ kitchen : 80 's . know mean ! location : one block main strip walk area day time . personally , feel safe walk 3 young kid dark street 9 pm . next door Flamingo nice beautiful garden animal kid love . Durng day , within walking distance every .... pool : complex motel pool always cool swim . main pool locate reception need walk good 5 min . pleasant vegas sun ! main pool nice . use though . staff ; nice friendly . free breakfast popcorn nice touch pretty nice . accomodate well . complaint location away main find main complex 's room small update assign room . change . tip : go Flamingo use pool right next door . happy hour every day 4 - 6 pm slide kiddi pool , set . ( one thing hotel : kiddi pool playground ) shopping : use shopping shuttle ; car . convenient much cheap grocery store Tropical . Hope help . 
 Jul 30 2007 	 beware listen Bad Reviews 	 absolutely terrible hotel . stay . ruin vacation almost wife . RCI timeshare & quot ; resort & quot ; . company stature like RCI ashame disgust even affiliate can not belive . ramble little bit get back trip still can not believe stay even one night hell hole . doubt moment book Summerbay bad review read , way true . take gamble though turn poorly . original room stain , smelly rug . dirty floor , smelly dirty shower drain remenint previous guest ( old shock dresser drawer ) wife stay two night complain . front desk show we two room smidgent well . call RCI comlaine could not accomodate we property . agree credit us week wife pack go MGM remaider week . wonderful . feel bad pay money timeshare go pay four night food hotel . to add insult injury find property tear end year make way new Harrah 's project . know not sink money upgrade . to honest knock ! 
