amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Jan 11 2009 	 Great Hotel - Great Location ! 	 decide book hotel long flight location . disappoint travel Heathrow train hotel easy enough . hotel five - minute walk St. Pancras station . location also convenient friend London come meet we . room clean bed comfortable . additional toiletry item provide hotel within five minute call . glad choose breakfast include package . great value money ! immensely enjoy full breakfast start day . mention much love bacon ? 
 Jan 5 2009 	 Good Bad 	 small thing , like two towel , wash cloth , one small bottle shampoo shower wash . fly Ryan Air not bring toiletry think hotel would . walk - in shower handicapped room cause major flood time use . good someone trouble balance begin . twin room tiny bed okay . internet work . something wrong keyboard . use phone instead lot information , expensive end . tv remote slow frustrating . back internet fee . also charge wireless . also breakfast one available 15lbs ( 24 dollar ) . conceirge teriffic bad fall helpful lend we wheelchair ( 250 lb deposit ) could find rental . also help call make big complaint leave pay 156.00 phone bill totally unexpected . make local call business somehow special charge huge amount ( 38lb one call alone ) . hotel charge .35p minute plus 1.50 pound call local number , idea might would call residence ? call wheelchair place , movie theater , train bus station airport . & quot ; special & quot ; guess . make collect call hospital insurer charge & quot ; collect call & quot ; fee . opposite u.s . free call place usually aware pick phone , check prefix phone card desk might usual frequent traveler ' m . get good price room , 103.00 night phone charge make . oh well . wheelchair lift entrance 's close ot pub restaurant close king cross euston station . . 
 Dec 31 2008 	 amazing view central London 	 pleasant surprise London - large clean room fantastic view central London reasonable price . interior different Novotels around world , good thing many overprice misleading hotel London . obviously super convenient minute walk King 's Cross St Pancras tube station / Eurostar station . definitely recommend business traveller not need frill . one thing remember ask room without door connect next room might hear neighbouring guest . 
 Dec 15 2008 	 Great Hotel - Highly Reccommend 	 great location St Pancras station . room spacious clean . plenty amenity nearby . staff friendly helpful . 
 Dec 9 2008 	 Hard Fault 	 stay one night business think excellent hotel . room spacious bed large comfortable . standard room second floor side hotel quiet . breakfast good . the location good St Pancras ( great station ! ) Euston ( er ... ) right next door British Library ( go see public exhibition area fascinating document , include Beatles lyric scrap paper Britain 's declaration war Nazi Germany , interesting correction ! ) .It 's easy get west end experience comparable hotel right west end tend expensive small room . walk meet Camden Town take 20 minute . I ' ve stay Novotel Tower Bridge ( also excellent value ) Novotel St Pancras well , though pricier . 
 Nov 30 2008 	 great value 	 exactly need city stay . good - sized , clean , fresh comfortable room £ 100 . lobby bustle modern breakfast ( include price ) offer lot choice . although ST Pancras not thick might want , transport option enable get place quickly ( area clean considerably recent year ) . recommend . 
 Nov 15 2008 	 Great Choice 	 stop 2 night Lord Mayors Show weekend . travel train Euston hotel 5 minute walk station . be actually close St Pancras use tube get , close . we superior room 9th floor overlook Euston Road . hotel spotlessly clean excellent condition . staff polite efficient . room huge queen size bed , everything room work fine , downer racket road , busy . would not like hazard guess number police siren hear 2 night , lot ! ! joy big city . the buffet breakfast morning excellent , consider size hotel fact full , restaurant never appear excessively crowd . the view end hotel floor fabulous , would recommend take lift 16th floor take view observation window overlook British Library . overall , wife enjoy stay would recommend highly . be extremely handy travel train , far enough centre London exhorbently price . wife would definitely stop . 
 Nov 15 2008 	 great location travel Eurostar 	 stay Novotel St Pancras 's close proximity St Pancras Eurostar station . indeed less 5 min walk station travel Eurostar , would definitely recommend hotel . also less 10 min walk Euston station , big train station . , need travel train , also good choice . starbuck fast food right across street . plenty choice cafe restaurant St Pancras station . British Library right across hotel get free internet access . relatively good value GBP122 per night . room basic clean . Decor Ikea - like . 
 Oct 31 2008 	 Fantastic Hotel 	 spend three night Novotel London St Pancras . choose hotel travel 5 month old son ' want bother underground taxi ' arrive king Cross baggage . hotel 5 minute walk along Euston Road king Cross . check friendly efficient , man reception even give we stuff toy son gift ! room fantastic , pay basic room ' sure get mini suite . separate sit area widescreen LCD tv immediately enter room beyond bathroom sleep area large bed another widescreen LCD TV . room fridge wonderful view Euston Road ( one high floor ) . breakfast include price lovely . location also great ; minute walk Euston Kings Cross St Pancras underground station . particularly love lift panoramic view . room always clean staff friendly helpful . would highly recommend hotel . 
 Oct 22 2008 	 great View London 	 family stay 2 night Disneyland Paris holiday . room clean comfortable . especially like room separate , husband double bed one side room 3 year old daughter sleep sofa bed . 2 tv 's ! breakfast fab , much choice . 12th floor view fab . , stay good . 
 Oct 22 2008 	 good chain hotel 	 ' ve walk past hotel many year decide stay overnight get early morning Eurostar train . get room £ 99 ( room ) quite expensive , however couple week early pay £ 110 Premier near king Cross Novotel far superior . think get superior room particularly well decorate layout . bar downstairs nice like panoramic elevator . 
 Oct 11 2008 	 Great Stay 	 return stay Novotel . great stay hotel spotless good location ease access London offer . its two min walk king Cross tube handy . staff check great efficient . we wonderful room 15th floor view amazing . room large great walk shower seperate office area . two flat screen TV 's , mini bar , tea coffee make facility . the staff check good would definitely stay hotel again . only side do not want use tube far tourist heart walk would maybe want choose hotel close Covent Garden . we go see Wicked would recommend anyone . 
 Oct 9 2008 	 great room service quite pricey 	 stay one night conference hotel itself . the hotel inbetween Euston St Pancras station next door British Library . check easy room modern , spotlessly clean decent size . bathroom decent size nice sometimes hotel scrimp ) plenty cupboard space . we eat conference room lunch evening meal quality food good service . main bar , staff not quick price eye watering - £ 7.50 glass bog standard wine . there plenty decent pub along Euston Road get well service money , essentially business hotel people probably rack expense not actually consider price involve . as hotel Euston Road , expect noise - room front frequently wake siren etc overall experience hotel good . pay £ 200 night would expect bit sound proof however , ear plug ! 
 Oct 6 2008 	 surprisingly great . 	 usually hate stay big hotel , prefer stay B & amp ; B 's personal service value money . however , London peak season , manage get deal go . say really great stay - good ' ve London fact ( ' ve stay many hotel London year ) .We arrive hotel 7.30am accident taxi way Victoria Station overnight coach Edinburgh ( word tired pretty miserable ) . want hold luggage check one well give we room early could nap . Bliss ! have book stay two part ( realise later need night ) one book regular room book superior room do accident , nice enough upgrade entire stay superior room would not swap later . the rest hotel usual business hotel stuff - buffet breakfast internet crazy price , impersonal service weak smile . nothing complain really , happy room ( gorgeous huge king size bed big bath ) . internet slow , price annoying , expect sort chain hotel . London hotel go great experience really appreciate staff first morning treat we well , make massive difference . 
 Oct 4 2008 	 great business hotel 	 stay hotel two night London business . suprise standard hotel . look new modern room superb - spacious modern . everything look brand new room . bathroom really nice well , everything spic span . bed also comfortable quiet . the staff attentive professional . my room not clean however , think strange . raise check reception manager quick apologise . all good business hotel would come back . 
 Oct 2 2008 	 lovely breakfast clean room 	 stay two night Novotel St. Pancras September 2008 . Angela Coach holiday Bournemouth £ 135 . view 15 storey panoramic lift excellent brief . buffet breakfast good cooked option well continental . ' m sure Angela Coaches get hotel cheap ( perhaps contract sign St. Pancras open hotel know Novotel Euston ) 
 Sep 30 2008 	 Location near Eurostar Clean Well - Run 	 50 - something gay couple stay one - night hotel past September route London Paris via Eurostar & quot ; chunnel & quot ; . choose hotel base upon location near Eurostar St. Pancras station overall good review tripadvisor . select superior double room ( non - refundable rate around 99 pound . ) , positive review tripadvisor coincide experience . nice , quiet , clean room overlook British Library . mention previous review , staff welcoming , friendly , efficient - check - in / check - out breeze . since short time , make use hotel 's facility , coment . aside : luck would , Eurostar train experience fire one tunnel day arrive shut - down . travel Paris next day Eurostar , unsure whether could get London time reach next schedule destination . ( coincidentally , one british airline go bankrupt around time , disrupt overall travel Britain , make book alternative arrangement bit headache . ) Novotel 's relatively close location St. Pancras station , able check person status Eurostar get one first train leave London Paris chunnel fire - thank goodness - allow we continue trip without major disruption ( expense ! ) . summary : clean , modern , efficient , hassle - free accommodation , close St. Pancras King 's Cross station . 
 Sep 22 2008 	 good hotel near Euston 	 stay Novotel 3 night April friend - book Priceline get $ 70 per room per night 3 room . be look hotel that s close Euston would highly recommend Novotel . modern clean small touch like connector ipod lcd tv room . ice machine floor glass elevator show panoramic view across city . staff polite friendly handle booking without problem . situate busy Euston Road 's variety pub coffee bar opposite offer decent food affordable price . hotel 5/10 min walk St Pancras Euston - maybe little way be look right centre taxis plentiful tube short stroll away . 
 Sep 20 2008 	 Amazing Hotel 	 main way describe wonderful hotel & quot ; wow & quot ; & quot ; Amazing & quot ; ! lucky enough 15th floor fantastic panoramic view London . staff great helpful room extremely clean everything need . would thoroughly recommend visit , be situate lovely area London , busy plenty see . 
 Sep 17 2008 	 Good Hotel : ) 	 ' ve stay Novotel London St Pancras last December Christmas time ( 21th-25th December 2007 ) must say pleasantly suprise hotel . ' ve stay Novotel 's never experience quality . build well position , panoramic elevator take we hotel floor . room spacious , great bathroom . everything modern design . food hotel delicious wide variety opinion . location hotel also good due metropolitan station 50 meter hotel . staff friendly helfull ( call several time Lufhtansa use airline lose luggage ) order help we . overall , must recomend hotel fellow traveler bussiness holiday . 
 Sep 7 2008 	 Great stay great stay 	 stay hotel 3 time August different ! fantatic room 9th floor execeptional service throughout broom cupboard twin bed 4th floor quite double room book overbooke , nonchalant staff ! fantastic stay hotel bar area great single female traveller although room service last stay see move another hotel . 
 Sep 6 2008 	 good hotel area 	 3 - night stay work trip . room small , can not expect anything else London . room 2 single bed rather double request check - in staff member point would nice view 7th floor . indeed view - Euston Road , interminable traffic chain cafe ! bathroom fine air con work well . internet access pricey £ 14.99 per day least fast . breakfast provide good choice , serve bright spacious restaurant . staff pleasant . immediate vicinity pretty charmless , Covent Garden pleasant 20 - 25 minute stroll away , much long tube bus journey . ' ve stay 2 hotel would rate good . 
 Aug 27 2008 	 lovely hotel ! 	 stay hotel one night theatre break . hotel lovely , well locate really nice room . high room , great view London . also go top floor lift look view . we really enjoy stay , room clean modern , bathroom lovely . really like breakfast , lot choice everything good . well locate 's near Euston station several restaurant bar area . go one bar across road evening theatre . overall , would recommend hotel stay London ! 
 Jul 25 2008 	 still perfect ! 	 due stay London Bridge Hotel suddenly price Novotel reduce 98 GBP change book hotel . ' ve already february still nice hotel . breakfast really good , enough choice , room clean , convenient , functional . seem twin room small double one February , maybe 's idea ... would nice towel otherwise 's perfect hotel , especially travel Eurostar ! St pancra minute away . TIP : eat Pizza Express opposite hotel also ask ' takeaway ' . see many people cross street take pizza go back room . 
 Jul 24 2008 	 great hotel 	 excellent hotel , clean big comfortable room , big bathroom , close tube , yummy breakfast . 
 Jul 23 2008 	 great position great view : good experience Novotel St. Pancras 	 decide spend weekend London . find good hotel decent price always tricky London . ' m big fan Hoxton , room reasonable price time , decide try Novotel St. Pancras . the rate quite good ( bit 100 quid per night ) , room spacio , 10th floor , panoramic view . the view panoramic lift also nice . apart view , hotel nice lobby , staff quite friendly , location perfect : short walk Bloosmbury , next British Library Tube station ( St. Pancras Euston ) .so , great experience . 
 Jul 18 2008 	 Great Eurostar 	 like many review , stay strength convenient location Eurostar . hotel 3 minute walk St. Pancras International Station . check - in ok upgrade executive room 10th floor . view room towards city fantastic . the room great . good size large bed ( king queen ) , desk seat area . bathroom interesting - glass sink 3 way adaptor shower ( choice bath tap , hand shower main shower ) .We eat hotel neither dinner breakfast include rate . plenty food drink option nearby include Pizza Express , Starbucks Pret Manger directly opposite hotel . as hotel situate main road city centre , problem traffic noise night . high floor , real noise could hear siren emergency vehicle . light sleeper , would suggest request room towards rear hotel . 
 Jul 16 2008 	 good location travel Eurostar 	 select hotel location next st Pancras Eurostar station . price hotel high , London july - would stay travel Eurostar . if compare hotel european city hotel would say quality standard - eventhough build pretty new , easy find & quot ; crack & quot ; interior - like pipe sink wall go crack tile . a tip ! accept charge Euros , suggest , decline - get home check much charge creditcard could see make right choice - save 4 € charge stay pound . 
 Jul 3 2008 	 American London 	 email send hotel feedback : Dear Hotel Novotel London St Pancras , stay week want give feedback hotel . [ stay quiet room 11th floor ] ( ) staff friendly cheerful . uniformly helpful talk . restaurant staff especially good . recommend hotel restaurant . ( b ) really like breakfast . be much well one try aneighbore hotel colleague yesterday . ( c ) trouble wakeup call internet.wakeup call : specifically , monday checkin ask 730 wakeup call tue morning . got & quot ; TV & quot ; wakeup instead phone . tue night set tv 830am wakeup call instead get 730am wakeup call phone We d . ask person call phone cancel future wakeup call . last night lateat theater want sleep . promptly 730am thurmorning get another phone wakeup call , despite request future wakeup call cancel . person phone seem confused tell this.internet : annoyance internet connection go . use cable internet rather wireless . pay l 14.95 day tv . price service seamless iwthout interruption . call front desk least day ask line reset . I suggest charge less service provide seamless service . preferably suggest provide well service charge appropriately . business traveller , willing pay money good service . ( ) room quiet . quite happy ( except wakeup call course ) . ther eis bit construction noise build two block away otherwise one quiet hotel room stay . request quiet room quite happy . ( e ) bed quite comfortable . comparable new & quot ; comfortable & quot ; bed rage american hotel chain day ( e.g . westin heavenly bed ) . [ note BOOKED deluxe king room ] ( f ) size room good . ( g ) like soap / shampoo one request : please provide hair conditioner shampoo ? female business traveler curly hair - London frizz hair not use conditioner . many top hotel chain provide disappointed find check . new airport travel rule isinconvenient bring conditioner ( liquid restriction ) dependent hotel product . ( h ) problem communication housekeeping staff . ' ve ask room clean without chemical housekeeping staff floor idea talk not speak English ( spanish french matter ) . try talk point shy . ( ) hair dryer rather wimpy . suggest provide one bit oomph . also provide use bathroom rather closet ? ( j ) puzzle need insert keycard slotin room order make power a / c work . first couple day suffer heat room a / c would come , otherwise room would get hot . take several hour cool room a / c rather mild . finally we d ask second key able leave a / c room . could avoid get secondkey upon checkin . tell front desk issue first arrive , one suggest second key leave slot . suggest future , guest grumpy A / c working room , staff promptly give second key leave room desire . nothing bad hot hotel room . price charge ( approx L 200 per night ) provide perfect temperature guest . moreover , we travel north america fussy A / C use much well climate control . price room include appropriate climate upon enter room , several hour run a / c continuously room . ( j ) Newspaper . checked ask wanted newspaper morning . say would fine . newspaper ever show door since past 4 day . 's big deal since read news online ( internet work ) . however consistency would good . ( k ) might suggest additional clothe hanger long closet . three fix one two mobile one enough hang pan shirt weeklong stay . closethas space hang long clothe . ( l ) desk nice . work alot stay find desk chair quite comfortable . ( ) room service excellent ( use however ) . ( n ) blackout curtain great . sleep well London . Better Los Angeles rule ( skylight bedroom home ) . ( ) shower strange hinge glass door suppose keep water get floor . insufficient purpose every day water floor shower . ( p ) water pressure , hot water , capacity wonderful . use flow restrictor US luxury take shower much water . hand , suppose good conservation . ( q ) trouble light toilet bathroom . stay light stay . seem motion dectector might problem bulb perhaps . ( r ) sink bathroom slow drain . big problem , someone see . easy fix . ( ) minibar water reasonable price ( minibar ) .I quite happy . might suggest put thing . hold much put . food good idea . one chocolate bar one pringle . hand , extra space put stuff ( evian purchase store ) . minibar restock since beenhere - normal ? ' m miss much thinking either every day seem strange one three day . 
 Jul 2 2008 	 Good Hotel 	 stay one night go eurostar . pick mainly location also cam euston 's right middle both . we get free upgrade room sure differance though . room big bed nice clean brilliant view . breakfast ok great hot stuff bit lukewarm good choice overall . would hesitate stay 
 Jun 26 2008 	 Decent Hotel 	 hotel room stayed face away Euston Rd quiet . room reasonably spacious modern clean . bathroom feature modern decor standard shower bath . hotel locate 5 minute walk King 's Cross station 10 minute walk Euston station / bus interchange . bus stop directly across Euston Rd direct journey attraction Oxford St. across road number fast food joint block two away grocery shop convenience store . British Library right next door . the concierge front desk helpful suggest attraction tour around London . staff whole quite polite typically english standoffish way . never use hotel 's restaurant facility , apart internet facility ground floor , available reasonable ( hotel standard ) pay go fee . overall , pretty good value fairly handy location . 
 Jun 25 2008 	 Good Location 	 agree recent review 100 % great location Eurostar .. less 5 min walkgood transport acess Tube system . king cross EustonBuses central outsideclean good sized roomsoverprice breakfast . Pret accross roadrequ room towards top Hotel . view brilliant . south side accross city North accross HampsteadVery fast efficiant front desk 
 Jun 17 2008 	 great room location 	 stay hotel one night business . impressed modern styling generous size room - entrance area desk tv wardrobe , good ensuite bathroom , nice sized sleeping area - another tv . aircon works well room spotlessly clean well equip internet access , iron trouser press tea / coffee make facility . minibar well stocked . week day rate £ 155 ( £ 15 Travel Inn across road booking ) seem good value space . staff friendly helpful public area clean modern . slight criticism think breakfast ( room service ) bit overprice provide . continental £ 15 whilst component good quality , portion little small side . enough maybe would not enough someone large appetite ! massive plus location come London King 's Cross , Euston St Pancras - easy walk three , even wheely case . also couple place eat nearby - Pizza Express across road . , really good option . 
 Jun 12 2008 	 Pleasant surprise 	 pleasantly surprised hotel -- good location , clean , great staff , nice coffee tray shortbread cookie room . good buffet breakfast . convenient tube , restaurant , train . book start tour Cosmos expect less . great view hallway next elevator . 
 May 28 2008 	 oh trendy ! 	 Novotel St Pancras ( use refer Novotel Euston ) convenient people take train . room large London standard , good shape ell decorate . bed pretty comfortable , . one major lacking feature alarm clock - ask desk say , use wake call . locate St Pancras Euston station , street Kings Cross . area good London , anyone familiar US city will not find bad . wire internet access available , steep . the big problem close train station , price bite steep . may outweigh convenience factor . 
 May 11 2008 	 nice welcome hotel 	 stay one night go Belgium Eurostar . location can not beat - good tube connection right next Eurostar Terminal . long overnight flight , wonderful greet front desk welcome , friendly helpful young man . room excellent - clean , comfortable , good mattress , nice bathroom tub / shower combo , good placement electrical outlet fairly large room ( London standard ) . stay long London , location prefer , purpose trip , perfect choice . check around find good price book direct hotel . London cheap , think good value location quality room . 
 Apr 24 2008 	 recommend 	 stay weekend April like everything . easy walk to / from St. Pancras ( bag ) Kings Cross Tube station . lot pub nearby . soon get room get call make sure check - in go ok . 16th floor room modern distant view St. Paul 's , London Eye , Big Ben . 110 pound night would not say got great deal , relative stop trip rate reasonable . complaint Orange wireless internet connection cost 10 euro 2 hour slow . 
 Apr 23 2008 	 comfortable stay 	 stay two night weekend break . clean comfortable need stay . close railway station underground . we warn hotel noisy low floor sit busy road . ask high floor tell hotel full . room second floor keep awake early hour Saturday night customer form nearby pub street . Sunday night peaceful though . comfortable bed . weird glass bathroom sink heavy glass door . ok much prefer Premier Inn . 
 Apr 18 2008 	 horrible experience 	 1 ) arrive meet son hotel . arrive London we stay friend near Warick University . precede night baby hospital arrangement change . leave several message hotel , non ever pass us.2 ) next morning bomb scare siren screamed hotel . realise happen walk 11 flight stairs rear building . fortunately false alarm real bomb everyone floor would die follow alarm route take go right beside & quot ; bomb & quot ; . direct stair end build . scary wander empty stairwell know go happen . there staff clearing floors.3 ) air conditioning never work whole time London 4/5 night . hotel staff looked agree break leave . helpful ! 4 ) key lighting unit steal . report hotel front desk say & quot ; alright & quot ; chance not know report one hotel speak good english . could result 5 ? 5 ) highlight stay Novotel son 's backpack steal locked hotel room . professional thief rifle suitcase without disturb anything steal one item bag look expensive souvenir shot glass . they hit paydirt backpack electronic equipment 16 year old travel include laptop , ipod , dvd player etc . bad enough attitude staff abysmal . first try explain happen non english speak management nightmare infer instead we victim fact make . try get insurance information make claim slow many obstacle way . receive payment hotel insurer 4 month later ! look staff last day stay instead & quot ; poor people rob , help ? & quot ; & quot ; go theive & quot ; ! incident report police comment hotel room theft London quite normal whereas hotel response & quot ; never happen & quot ; . would beleive ? 6 ) area close St pancra easy access tube chunnel attract strange people street night outside hotel . be careful wallet around . 
 Apr 10 2008 	 Luxury London 	 love 's always first choice go London ! spacious room keep lovely clean amenity could need ! though not close many attraction close tube station main railway station ! 
 Mar 16 2008 	 reliable 	 stay Friday night , £ 110 double room good value London . the reception staff pleasant , public room comfortable . occasionally stay , lone woman , never feel uncomfortable . as other say , excellent location really good bus route & amp ; tube connection London . one gripe : would expect hotel like way in - room tv channel - especially BBC News 24 , list not actually available ..... nonetheless , definitely stay . 
 Mar 4 2008 	 Excellent hotel 	 spend 3 night Novotel St Pancras . be particularly well situate Eurostar passenger , 5 minute stroll Euston Road St Pancras International . be also great visit London - couple stop tube 10 minute bus ride West End . hotel comfortable clean . room double bed sofa bed 2 adult 15 year old rate hotel website £ 93 / night , include breakfast . ask ( per site ) high floor back hotel - give room 11th floor prove quiet . hotel staff pleasant : even overslept turn breakfast 1 minute due stop serve , still greet big smile show table . in nutshell , would definitely recommend Novotel would hesitate stay . 
 Mar 2 2008 	 good choice king Cross / St Pancras area 	 stay hotel one night business London . ' m sure add anything new information give previous review , except reinforce positive feedback . room well equip , public area good standard service good throughout stay . eat hotel 's Mirrors restuarant evening . not cheap option end long day involve leave home 5:45 a.m. convenient . food service good . not breakfast deal room feel breakfast £ 14.95 good value money usually eat bowl cereal . also quite queue seat restuarant not much time spare . find several place St Pancras couple minute walk away get quick inexpensive alternative . like hotel would certainly stay , note caution probably suitable light sleeper . drawback convenient location lot traffic noise Euston Road . room high floor ( floor 12 ) cut sound emergency vehicle siren quite intrusive time . advantage room high floor wonderful view London . not miss lift panoramic view middle 3 lift lobby . 
 Feb 25 2008 	 top class hotel 	 stay 2 weekend February rate £ 95 per room inc breakfast . first room adapt disabled guest large separate shower . second stay standard twin room still pretty spacious London . room situate rear hotel high floor quiet . however first noise outside second noise corridor . enough bother look absolute silence quiet hotel . both room clean well equip mini bar , tea coffee , iron , trouser press , safe , A / c flat screen tv high floor good northerly view . breakfast common buffet variety consist good selection fruit , cereal , ham , waffle , bacon etc egg cook order . service good little wait even one morning clearly number coach party stay . in evening la carte menu 3 course buffet . try la carte good attentive service although much cheap place eat nearby . the staff friendly helpful attend need quickly smile . as other say plenty public transport nearby load bus get London eg 59 river , 10 Oxford Street although area seem safe enough walking . walk back Covent Garden Midnight never feel danger . all good hotel barely Travel Inn charge central London . would hesitate stay 
 Feb 19 2008 	 would return clean 	 clean room separate seat area flat screen tv docking station mp3 . internet access available . comfortable bed pillow fantastic . white fluffy towel , bath decent size shower cubicle effective shower . quiet room , traffic noise ( request rear building ) , noise adjoining room occupy . Tea & amp ; Coffee shortbread biscuit , complimentary toiletry . iron trouser press room . good selection food breakfast ( coffee strong liking ) item cook order . finally , hotel London would go back ! great location train Euston Kings Cross , underground bus service . 
 Feb 16 2008 	 like Novotel much 	 stay London Euston year ago decide try find room hotel two trip London February . together wife eld daughter stay superior room Novotel St. Pancras 1 - 3 Feb. 7 - 11 Feb. , time £ 93 . per room per night , english breakfast include . it right choice hotel good convenient location , two hundred yard St. Pancras International ( new Eurostar 's main gate Paris Brussels ) King 's x station ( domestic railway service ) .A number London bus stop right outside hotel , opposite side Euston Road , reach main tourist destination London . tip : forget acquire top Oyster card , make travel cheap buy single ticket automate machine street . bus 73 connect Victoria station ( coach service Stansted Luton airport ; Southern , Gatwick Express Gatwick airport ) bus 205 go directly Paddington ( Heathrow Connect , Heathrow Express ) . also piccadily line offer direct service King 's x underground station Heathrow airport , terminal 1,2,3,4.breakfast good get disappointment , personally : porridge would prefer breakfast . the room quite good , comfortable bed , clean tidy ; every morning enjoy London view window room . maybe shower cabin require skill operation make stay less pleasant . there two LCD screen tv - set room English language programme , mostly . checkin checkout quick effecient , bill accurate one may wish expect Novotel hotel . Indulge drink english irish beer one lot great pub conveniently locate around hotel building . internet access hotel lobby rather expensive ( £ 1 per 10 minute ) cross Euston Road walk 5 min towards Tavistock Place find least two internet cafe reasonable £ 2 per hour internet access . we try hotel brunch Mirrors restaurant ground floor ( £ 18 p.p . , 2 - course meal ) dinner ( £ 23 p.p 3 - course meal ) , either , opinion concern food service . please consider photo attach information convenience potential decision choose London Novotel St. Pancras . 
 Feb 8 2008 	 nice hotel 	 nice conveniently situated hotel well Novotel 's standard . room big review equip mod con include large flat screen tv , tea coffee , iron etc . breakfast include rate - £ 93 per night 2 night break Novotel website - good standard good choice hot cold food . service throughout attentive . hotel beside St Pancras be arrive train Gatwick train location perfect - 5 minute walk . be go theatre land use king Cross ( St Pancras ) tube station - 3 stop Covent Garden . Euston away change line . not forget get Oyster card tube ! shop vicinity need get picnic wine . would certainly stay hotel . 
 Feb 7 2008 	 nice excellent eurostar / st pancras 	 stay 1 night paris next day.very nice room , front house good excellent location st pancra , 5 min walk.i would recommend high floor back room euston rd busy hear trafficenjoyable good 
 Jan 28 2008 	 Nice Hotel 	 stay 3 night . comfortable room get discount price £ 100 average , three night . complain , good value price ( £ 185 normal room price ) . 30 minute walk West end 5 minute walk king Cross Station . use hotel . 
 Jan 27 2008 	 comfortable Novotel 	 stay hotel 2 night ( book Superbreak ) think excellent value book package ticket First Emperor exhibition British Museum . hotel within easy reach two tube station easy get around . ask quiet room back hotel road noisy . take panoramic lift 15/16 floor , great view ! room spacious comfortable breakfast good , plenty choice . the staff helpful would hesitate stay again . have look St Pancras international station road well worth visit . 
 Jan 26 2008 	 great hotel 	 ' stay several time recently , initially attract proximity station , really impressed hotel . walk distance station , first strike expansive lobby arrive , feel sumptuous , modern , spacious . experience staff always friendly helpful , never queue either check . one lift glass wall see London go floor . the room spacious modern , flat screen television . well equipped , bed comfortable . meal eat hotel breakfast , consistently good wide range option . huge number eat option nearby , huge range station , less five minute walk away , starbuck across road , wide range eatery pub nearby street . hotel also exceptional value , service good five star hotel stay London , décor location nearly good , cost significantly less . less know gem . 
 Jan 25 2008 	 good hotel 	 stay Novotel 1 night whilst business London . the hotel conveniently locate Euston Road , near Euston , St Pancras king Cross station . plenty shop eatery area . find reception staff pleasant helpful . twin room 3rd floor comfortable modern . bathroom nice apart miss seal shower panel , mean big puddle water floor whilst shower . the room directly face Euston Road busy , mean lot noise traffic outside , , although not prevent sleeping , could annoy anyone look relax . odd reason , room window could not open , seem alarmed notice telling try open . sure refrain try anyway . do not breakfast hotel , try gym , could not comment these . overall would happily stay area . 
 Jan 23 2008 	 great base London 	 fourth time stay hotel never let we . room always first class , roomy , clean comfortable staff helpful keen please . one criticism last time crowd breakfast time , queue , occasion three breakfast suggestion queue . hotel handily place tube station , St Pancras Euston 5 minute walk either direction . also easy get onto bus network outside hotel . bus may slow , never pack like underground train . wrong time day , underground nightmare avoid like plague . 
 Jan 21 2008 	 Good Hotel 	 agree previous reviewer . good , clean , modern hotel conveniently locate 6 bus route stop adjacent hotel . case throughout London , internet access exhorbitant . stay LAN access room non - functional fix weekend . suppose company provide service not interested make money . otherwise hotel good although room maintenance could improve . get hotel Priceline ecstatic . pay rack rate may disappoint . overall good place stay . , contrary reviewer find member staff exceptionally pleasant helpful . 
 Jan 15 2008 	 Excellent Stay 	 nice hotel extremely close Tube train king Cross . happy get get hotel last night London via Priceline $ 80 . perfect place proximity tube Heathrow . room modern spacious clean . & quot ; family & quot ; room one double one small double pull couch either side bathroom feel like two little room ( tv ) . amenity would expect , include tea / coffee facility , toiletry , iron , room service , mini bar , etc . nice , quite bargain $ 80 . long stay , would little concerned convenience restaurant , shop area . get late leave early not much explore area ( be right next British Library , btw ) . Pret across street close 7 pm Monday night , end take tube get dinner , though one pub open nearby convenience type store might sandwich , not check . might around , would check booked week ; might convenient option tourist . my nitpick want & quot ; pre & quot ; debit credit card 50gbp incidental one night stay ; concierge quite new interested ask location theatre Spamalot . would think would know top head , even little brochure direct we wrong theatre . can not really complain much price , though . all - in - all , would stay heartbeat . 
 Jan 13 2008 	 Novotel St Pancras Superb 	 stay one night ( Jan 08 ) see concert adjacent Shaw Theatre . whole experience excellent . stylish well run hotel , lovely room . I arrive 12 noon room request high floor ready . breakfast include room price excellent . convienient Euston St Pancras/ Kings Cross Stations . would hesitatiuon stay . 
 Jan 12 2008 	 central hotel close Euston Stn St Pancras Stn 	 stay Novotel St Pancras Nov 07 Jan 08.It extremely convenient hotel explore London . usually stay business would recommend leisure also . hotel check - in staff extremely friendly efficient occasion . ask room high floor less noisy hear traffic . the room stay time spacious well decorate . bathroom however ok anything fantastic 4 star hotel . would stay hotel reliable , close amenity extremely convenient get around explore London . heating / air conditioning slightly suspect 1st room stay hot 2nd room stay heat enough . however , would suggest bother Mirrors restaurant room service food high standard . meal delay chef drop dinner floor wait another 30 minute . pretty dissappointe hour 's wait . many eat establishment around would suggest venture . 
