great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Aug 11 2009 	 love 	 great stay . book priceline awesome price ! ! Got upgrade upon arrival . great room , clean , comfy bed , fantastic location . take advantage proximity Grand Central Station ride subway often . never use cab trip . consierge helpful clue us & quot ; non touristy spot & quot ; large hotel intimate unique non less great place lie head comfort busy day NYC . 
 Aug 11 2009 	 bad Hyatt evey stay 	 first good point ....... well , think two- location impressive lobby area . , can not believe Hyatt put name hotel . stay Hyatt 's worl ( Hyatt Platinum member ) . stay total 4 night , part long trip New York , Las Vegas Mexico . book Club Room . email hotel arrive request early check ( arrive 12 pm ) - check normally 3 pm - room not ready , leave bag storage head . room ready return . get lift ready impressed ! oh word ! room awful - vary dingy , badly need refurb . try tart modern lampshade , flat screen tv , room need repaint , dark ( terrible lighting ) , awful old carpet .... bathroom .... sink bedroom area sink decrepid vanity worksurface look like collapse ! ) , bathroom toilet bath old fashioned overhead shower . extremely old fixture fitting small - petite struggled turn round bathroom . poor quality toiletrie two occassion , maid service forgot replenish say toiletry . tea coffee make facility room . bathrobe slipper . bed adequate . Maid service poor , room bathroom get quick go , bath clean adequately - yes , leave tip housekeeping every day ! club room , access club lounge complimentary breakfast , snack free soft drink . lounge far small amount poeple use - struggle get seat breakfast arrive 8.30am . selection food bad - lot well . staff lounge helpful polite , especially compare reception concierge staff find quite cold impersonal . for $ 300 per night bitterly disappoint . would never stay recommend . Hyatt ashame would expect much well hotel New York City . flagship dump ! ! 
 Aug 10 2009 	 Great Hotel Location 	 husband stay Grand Hyatt long weekend June . room good size ( Manhattan standard ) , clean stylish . hotel locate right next Grand central station , super easy take subway city . highly recommend hotel , especially get good rate . try Priceline . 
 Aug 8 2009 	 Great Location outrageous room service price 	 stay two day ocean passage . room clean well organized . shower good , almost water come shower head . there charge internet . room service price cup coffee nine dollar plus five dollar per person service charge , plus fifteen percent tip . one could order steak two 80.00 ! kiosk lobby little less expensive . actually eat Grand Central Terminal . breakfast sandwich coffee two much cup coffee one would . location excellent . walk distance place eat shop . nice view 26th floor window . 
 Aug 7 2009 	 ' ve grander 	 PRICEWe book holiday Virgin include flight , transfer hotel give complete accurate guide price would say look website amount pay safe say £ 130 night two weekend £ 90 night weeknight two . LOCATIONThe Grand Hyatt excellent location wish explore whole New York situate next door Grand Central Station great shopping . not much distance get place volume people would battle get place want . get Times Square would look 30 minute walk night early morning 15 minute less people . get attraction Empire State building 5th Avenue would not take long hectic could walk across block lot less people not take half long main drag . be next door Grand Central Station perk we though rain really bad could get anywere city even couple block could get tube $ 2 amazing value money . rain great come station run right hotel . when stay Grand Hyatt find area around interesting side surround huge office main road 5 minute away local market famous library feature Ghostbusters . the hotel look main road pretty spectacular view see yellow taxi go like picture expect see . first IMPRESSIONSFrom outside see hotel top street look really tall look like make glass shine brightly noticeable see large Hyatt sign 2 mile away . when walk large revolving door meet large open carpet space escalator reception area . once reception area meet large reception desk leave check bar next level next reception huge open seat area anyone sit believe anyone ! sit wait transfer home Americans book club meeting ! reception area big not wow factor sure large pot flower huge fountain atmosphere resemble shopping arcade natural light much show . right hand side room huge Piano table chair , think special occasion sit reception area special . straight ahead 6 lift take room . little sophisticated large mirror behind monitor image concierge talk floor . lift red carpet golden features plush . check INThis painful experience say least busy . travel Christmas time suppose lot congest staff not volume customer . arrive lot argy bargy go Americans right room bookedpicture Grand Hyatt New York , New York City reception .. argue staff amongst , other try push front people wonder around like not care world . british people must look like headless chicken clue help stand around close stair staff get annoy tell we move pleasant . once arrive check tell 3 room 8 us fine double three bed room ! tell 8 people fit 3 bed not going happen . however could not annoy people tell overbooke not actually room 29th December say temper fray understatement . check mood let one bell boy take case $ 5 matter even ask busy run around fuss everybody else . haul case lift head 18th floor . once arrive room concierge dump fold away bed room bed even apology . make aunty book holiday angry go complain tell two proper bed would bring could breakfast 5 night stay consider 8 us $ 25 head quite glad . needless say bring another put bed , exactly hard nail 20 cm ground ! quick realise hotel full rafter going get well bed guest ship not bother mention again . the roomsthese nice enough good standard quite large 250sq ft , would consider business class room mean standard hotel would stay business go enough facility , clean modern décor . not sort room would call luxurious expect money pay ? 's problem not know expect suppose get average US hotel clean , modern place lie head . the room quite large 3 door wardrobe , large desk draw storage free computerised safe . you standard 25inch TV , iron ironing board , radio / alarm clock hairdryer , telephone complimentary toiletry . in room either one king size bed two double bed room standard king size bed . room heat controller air conditioning want heating whenever want . well idea put least hour going get cold take long warm least hot take 2 second return ice box ! bit fussy come heat love nice warm room not . room two large window open nice want quick blast cold air really something not understand air conditioning not work window open 18th floor not much see unless want peer right someone 's office . a nice feature room get copy New York Times free charge ok not ever read nice touch . the bathroom huge disappointment clean marble feature toilet , sink regularly change towel shower terrible shower head horrible shower curtain . think sort setup far 4 * sort thing expect European 3 * hotel american 4 * hotel would least expect decent shower even shower bath enough room not seem bothered . temperature water also hard get right either freeze cold boiling hot . first night call reception water stone cold thought not go heat 20 minute continuously finally heat up . in Hyatt 1,311 room . room stay standard room choice give we Virgin read room not think would bother pay extra none room seem like well seat area . choice junior suit 450 sq ft dining table , work area parlour , VIP suite 600sq ft areas junior suite view street marble granite bath Lexington suit bit middle junior suite vip suite room 350 sq ft area Lexington also view . the upgrade would consider obviously never would afford Regency club definitely WOW factor stay one room would restricted area know 31st floor ! floor guest book regency guest price get continental breakfast evening meal exclusive private lounge know Hors D'oeuvres . floor also personal concierge amazing view New York City . the DÉCORIn around hotel everything quite traditional look modern chic like marble floor , cream carpet , leather upholstered chair . get gold finish bright lighting make lack natural light . the room mainly finish good standard light 3 lamp give nice relaxed feel furniture dark brown wood nice white crisp bed gold brown accessory . COMFORT factorin room get high bed nice fluffy pillow quilt feel really nice comfortable get especially get long day . also get nice comfortable chair double clothe rack every night also nice comfy twirly chair desk , nice also drape clothe ! seat area reception also comfortable little worn feel comfortable share lobby bunch people not even stay hotel bit weird get use it . be EATMost hotel US base room price anything mess offer free breakfast people end get free breakfast . ok come lunch evening meal really difficult find somewere nice yet cheap personal experience can not get . immediate area around hotel good place eat rain not really choice opposite hotel burger bar type place outside get different formal sit dinner area 5 soup 5 soft drink look around $ 80 not feel tight wanted thing warm belly go full course would look per head . there nice large Mc Donald 's 5 minute road fancy cheap cheerful . place nearby find acceptable eat Grand central station n low floor large food mall 15 different food outlet sell kind food could rake away eat large seating area . get chinese meal around $ 10 drink get sample 3 different dish . if prefer eat hotel make visit themanhattan sky RESTAURANT barthis really informal restaurant overlook busy New York road well know good breakfast menu 42nd street can not disagree . the restaurant set nice main buffet area front walk couple step large area full large table comfortable chair next 3 large ceiling floor window get amazing soundless view . the restaurant open breakfast everyday 6:30am till 11:30am would advise go really early really late restaurant get ram 8 am . arrive restaurant seat waiter waitress get toast , hot cold drink . buffet favourite part grab plate world oyster food look amazing always take far much eat ! first area hot area choose bacon , tomato , egg black pudding not fancy chef hand cook fresh omelette , fried egg pancake . next cold area , selection cheese different ham always avoid area hate ham much cheese person especially early morning . next cereal area pick sort cereal heart desire even bowl hot porridge fancy hand . the end part favourite part much weakness one table cover fresh fruit strawberry , melon , grape , orange , apple name know think wow healthy could not help feats eye next table fill danish ! oh god good croissant , apple Danishes , orange Danishes , muffin blueberry bun . gorgeous girl dream could eat much want . the food excellent suppose pay $ 25 head would expect service really good staff could not enough view really amazing . every morning everyone would also get small shot glass fruit smoothie , think nice touch not always taste great , nice touch . if happen around hotel lunch time could go back enjoy selection sandwich entree unfortunately never day grab bite subway burger bar ever close time . however think food lunch good breakfast would delicious ! restaurant open 11 am till 2 pm lunch . in evening not sample New York 's nightlife tired drag make reservation COMMODORE GRILL much sophisticated atmosphere open 5 pm till 11 pm commodore place need make reservation do hotel online go Christmas time could not go go Marriott Times Square quite bit expensive well view . table book look forward full waiter service wide american continental cuisine menu . restaurant obviously upmarket expect get meal around $ 30- $ 50 head not bad can not get really good meal upmarket restaurant that . ROOM SERVICEIf not fancy leaving room bite eat thirsty night order room service menu ok desperate expensive really worth shell , although lot people seem finish sometimes take staff come get trolley outside room . you could choose simple soup $ 8 steak $ 22 basic curry lasagne $ 16 tea coffee $ 4 % 10 service charge 12.5 % room service charge top . it not bad far room service go really thirsty could nip end corridor get free glass water water machine couple ice cube could feed vend machine $ 2 get pop . other facilitiesthe hotel big facility different type people first level find 4 different gift shop sell price souvenir toiletry case emergency . unfortunately purchase not expect period end pay £ 6 average pack always sanitary towel , purchase , UK £ 1.49 disgust desperate choice . concierge , theatre tour desk open 9 am till 5 pm helpful could book trip staff helpful helping make decision also wide array leaflet could take room make decision over . the Commodore Lounge open 2 pm till 1 am could find opposite Commodore Grill good place hang hotel comfortable sophisticated . get light snack , cocktail good selection wine beer price reasonably ish holiday beer usually set back £ 3.50 glass wine anything £ 4 upwards . Grand Café barthis nice reasonable coffee bar , mainly open close whenever busy ever seem go closed . coffee really nice relaxed area despite one busy area hotel . for interested facility hotel take advantage •valet parking•business centre conference facilities•internet access•large gymchecke OUTThankfully we lot check pretty painless ish . use self check machine simple end stay swipe key card machine press name share room confirm charge room service anything post swipe card do ! however getting pick 19:30 evening check luggage luggage room . pretty easy handed case give slip collect case later charge not even expect tip . check well good do 11:30am option day room anything . know middle New York must plenty thing spend money chucking rain not really feel like wander around 16:00 thought would go back hotel sit bit rest flight . wrong could staff strict can not get away anything . tired closed eye 5 minute tell get sleep eye open ! ! ! know middle hotel reception sure guy think hell reception huge like public area definitely fill 4 * standard snob . take shoe could fold leg mean 4 hour long time obviously big tell not put shoe right would wait outside ! ! hospitable . overallafter nice day treatment staff really leave bad taste mouth customer pay good money stay hotel going throw ! ! honest give choice would not stay would go market stay luxurious hotel well location actually look like hotel shopping arcade . I would give hotel Staff 1/10 ( except maid good job 9/10 ) facility 4/10room 6/10food 8/10value money 2/10location 7/10 
 Aug 7 2009 	 good Hotel location stay nyc . top Grand Central station 	 location hotel great view hotel window easy get arround walk get subway like , room plenty space nice shower , stay Hotel around 50 time recomende every onewho want stay good hotel NYC 
 Aug 6 2009 	 good deal 	 Booked hotel priceline $ 130 / night . great location nice room ( although little small side ) . wall pretty thin room , however , could hear people room next door . hotel perfect distance away rucus Times Square , walk away attraction . warning : EAT BREAKFAST HOTEL . cost $ 30 per person average breakfast .... strongly recommend eat breakfast resto nearby instead ... ripoff . would stay get great deal . hotel definitely work $ 400 + night ! 
 Aug 6 2009 	 * * * * star 	 Old room - fridge ( request ) . smal bed . be like * * * star . 
 Aug 2 2009 	 terrible stay ... small dark room unfriendly staff . great location though ... 	 book three night Grand Hyatt priceline , $ 160 night . seem fair price 4 * hotel NYC . well ... disappointment ... room tiny dark . floor 16 not help . 1 small window enough room move around , much else . ( oh , well , huge walk closet ) . not much stay , terrible stay . check fast use quick automatic check . assign room double bed . complimentary tea coffee kind hot water . everything purchase downstair . surprised , 's first time not get service & quot ; good & quot ; room ( travel lot ) .The first evening become really sick could not move . bad headache life , could not anything really late . call front desk ask help , need advil kind medication ( kind find store ) . reply cold & quot ; ' m sorry , give medecine guest & quot ; , even though Duane 's Read right across road really could not move . not mean , would help ... anyway , not like hotel . big , cold ( literally , freeze cold corridor lobby ) , personality , staff barely minimum . be another number , guest . not feel welcome all . it be sad planned stay Hotel Chelsea whole stay , read bad review tripadvisor , decide one night Chelsea rest Hyatt , expect lot 4 * hotel . well , ruin stay . Hotel Chelsea incredible , one good hotel ' ve ever . Hyatt , hand , one bad ... location great , right next Empire State Building Grand Central station ( metro ) . favorite area , recommend be pass ... stay time . one good side : room quiet . street noise . ( expect otherwise ) 
 Aug 1 2009 	 nice convenient location excellent hotel 	 nice clean spacious ! Connected Grand Central . Great Location ! ! definately stay . 
 Jul 29 2009 	 Average 	 recently pleasure visitng NYC . hotel average considering belong Hyatt Group . room extremely dusty - much could smell dust . large floor lamp right near air con vent cover dust . bedside table two double bed low shelf daughter put doll box pull , come cob web style dust thing drag behind . gross . room quite pokey read NYC hotel room quite small . bathroom tiny , hand basin room put toiletry whilst get ready . hair dryer keep overheat ( least 2 - 3 time ) whilst try dry hair morning really , really frustrating leave cool get start . use put & quot ; disturb & quot ; sign could sleep morning would duck get coffee whilst Husband kid still bed , would find housekeeping 's cart park outside room - wait we get room . find bit pushy really want wheel cart hallway , foyer also need bit makeover , lot gold metal look 80 's . foyer / lobby always busy . would put sheer white curtain thing try make impromtu room within lobby host function - book function wedge foyer / lobby fashion would disappoint . location hotel good . discover great fresh food market around corner ( Lexington ) - part Grand Central ( think call Grant Central Market - sure ) fresh bread , cold meat , cheese , fruit , vege , seafood , cake , nuts heap . towards end stay , get sick eating would get fresh bread roll , cold cut meat , chesse etc make bread roll . variety food sell outstanding smell walk around delicious . lastly , room fridge request one ( think $ 25 per stay ) . Recommend want grab supply market . overall would probably stay ( really ) would demand clean dust room . 
 Jul 28 2009 	 good location away Times Square 	 5th trip New York time travel friend 1st time NYC . always stay Times Square area feel may chaotic experience friend two child . strength Trip Advisor review , decide try Grand Hyatt . hotel good location , 10 minute walk Times Square 5 5th Avenue . check in / check staff considerably friendly helpful previously experience New York . contact staff , although friend bad experience ' neighbour ' first night staff could provide well service arrange different room . room large NY standard quiet , comfortable king size bed , 22nd floor . use eatery hotel numerous place area suit taste budget . complaint would inability get coffee around hotel 9pm . all , good place stay , without exceptional . 
 Jul 27 2009 	 worth $ $ $ 	 husband & amp ; take 19 year old son NYC graduation gift 7 night & amp ; 8 day . first trip 3 we NYC excited , figure would splurge stay nice hotel matter cost . well , would say first time feel like not get pay . ' ve stay family suite Sheraton Maui ( beach ) 1/2 cost , yes HALF cost pay stay Grand Hyatt . room small , expect , however purchase & quot ; DELUXE & quot ; room expect little room actually ( room 2169 ) . originally ask room 2 double bed book not available . upon check - in ask say King size bed available . request roll - away son , simple enough right ? nope ! go room extremely small , try stay positive show son disappointment go ask double room become available could let know could change room . never contact we . roll away bed set absolutely room walk around room . mold shower ( never get clean entire time ) . air conditioner make noise entire time run make difficult sleep . absolutely counter space restroom set toiletry get ready . one , small dresser tv tiny drawer . could hear dinge elevator night long . needless say , highly disappointed stay Grand Hyatt wish have spend half money stay another location . recommend hotel anyone know travel NYC ! say though employee concierge desk front hotel extremely polite helpful . always smile courteous ! location hotel great walk alot site . ' m sad come home feel disappointed hotel , still fabulous time NYC ! ! ! 
 Jul 26 2009 	 SMALL ROOMS 	 business / pleasure trip . 9 day . 2 double bed room . first 5 day 2 we double bed fine . sleep one . however cousin friend come spend 4 day we bed really small well bathroom . the hotel great location next grand central price food outrageous . go next door food court grand central eat . also one security guard tell we small coffee shop locate couple block away reasonable open 24 hour day . front desk give we coupon coffee water everyday . problem housekeeping . request clean towel every day not get . also room 11:00 a.m get service . not think would stay . hotel old small . 
 Jul 26 2009 	 need renovated 	 live nyc 10 year recently move still business nyc travel back month . last week stay 3 night - company choosen hotel . 's great location right next grand central 's perfect work tourists.i ' ve stay 3 time year - time different room . room bad bunch ( not impressed room yet ) . room ' ve stay old cosmetic update new bedding , decent tv new sink . room tend dark poor lighting uncomfrtable pillow opinion.last week get stuck room 2254 . room basically decent view look west . room old musty smell . carpet OLD . hold , near bathroom , electrical tape . shocking , opinion . sure not replace instad use tape hold fray edge . 1st morning get shower/ shower old & amp ; not drain stuck stand dirty water . way meeting - ask someone front desk tub fix assured would . next morning - somewhat well 10 minute water fill . top - drain plug not even attach tub place side tub . , ask fix . final morning - another shower , plug still sit side tub fill yet . ' m sure many time ask something fix price ( company ) pay , enough.overall , think hotel need serious renovation , cosmetic one . next month town - stay different company prefer hotel . not worth price . 
 Jul 26 2009 	 wellcare wedding trip ! 	 stay New York Grand Hyatt wedding trip nice comfortable experience . one man reason : staff ! ! enjoy stay Hyatt hotel whenever afford . luxurious feel like home . concierge , bellservice front staff extreamly serviceminde seem almost genuinly caring guest ! really unique city like New York . Hyatt Regency Jersey City staff also kind attentative , would expect Manhattan hotel , happily surprised . arrival somehow booking cancel , time get even well room , smile ! Lan , wonderful girl frontdesk , give we good time description make we decide whether would prefer nice room view nice view room next elevator . explain purpuse trip ( get married city hall ) even pleasure recieve wine snack room , compliment frontstaff initiate sweet girl , Lan . during stay pleasure concierge service many time . type person usually find everything , online phone , , service nice efficiant use everyday instead pay wifi phone room . especially girl , Amanda wonderful job without give impression bother , often feel deal service people NYC ... special thumb get excactly appointment excact salon really want day departure back home . the maidservice really good ( even though tip generously ) room wear , crack ceiling , dusty water pressure really lousy . still , wonderful staff conveniant location would consider reture . 
 Jul 25 2009 	 could much well ! 	 fourth time stay hotel choose mainly 's convenient location ( next Grand Central Terminal ) . usually stay 2 week visit year husband 5 week business . room unusually small bathroom sink tiny . last couple visit room small one could not even accommodate chair room . right next bed walk space . the room come coffee maker bring home . inquire early coffee maker could provide room tell would check Housekeeping arrive could promise would one first come first serve basis . feel could accommodate people staying long pay expensive room rate and/or arrive later day . discount reduction give room rate long stay . rate pay include one business shirt launder every day website offer second day launder shirt would return $ 15 invoice attach . call desk guy tell one shirt launder ' per visit ' . husband print website next day work show front desk . desk agree see ad correct . however , Housekeeping keep include invoice launder shirt return room . go desk tell charge would appear bill upon check . indeed , charge . somehow think could come well method confuse hotel guest . wall room thin hear conversation next room . light sleeper may problem . one thing rave breakfast buffet excellent . 's expensive menu- think $ 28 per person ? hungry enjoy buffet ( fresh fruit , egg make order , waffle , bacon , sausage , incredible pastry , fresh squeeze orange juice , etc . ) . otherwise , coffee stand sell muffin , bagel & amp ; salad bit annoying could not order menu . overheard guest happy discovery enter restaurant . the hotel great location think next time NYC look hotel stay . 
 Jul 23 2009 	 clean central location service smile 	 delay flight friend ready check get room . arrive late thank flight check around 8:30 pm . problem , notify front desk busy week unable give we two double bed request . instead would provide we King bed cot ( standard typical fold uncomfortable bed , full twin sized bed roll end ) . time another clerk tell thing another group flip . little laugh say fine . respond politely clerk give we complimentary card coffee last we whole week . get room clean beautifully decorate . issue room day ask room clean housekeeping provide we enough replacement towel three we . each time use concierge friendly helpful . hotel block away Times Square , Broadway , Rockefeller Centre Central Park . really could ask well hotel . Grand Hyatt affordable , friendly staff , could not well location sight . 
 Jul 23 2009 	 great stay Grand Hyatt 	 book trip hotel website , receive great rate & quot ; stay Four Nights & quot ; package . rate range $ 139 $ 169 per night . could not believe could get rate NYC ! check - in fairly smooth , receive room book . little nervous noise read review , booked & quot ; quiet room & quot ; ( rm 2428 ) . room great ! view back hotel surround building , willing sacrifice quiet room . hear next nothing neighbours , little street noise . also request fridge , deliver hour check - in . turn , electrical outlet fridge not work ( time think fridge not work ) , request new one morning . return afternoon , fridge not replace , call . new fridge return 11:00 pm . also check cleanliness bathroom arrive ( negative review bathroom ) . shower curtain moldy , complaint hair leave tub sink . iron board , iron room . take 15 minute get one we . ( much fast fridge ! ! ) room clean well everyday . the room really large NY standard . stay Doubletree 07 find room bathroom much large Hyatt . although bathroom smallish , shelf pedestal sink put stuff . we never eat hotel since seem pricey many place eat NYC . thank read previous review , aware dining concourse Grand Central . also , fellow Canadian Tim Hortons fan , Tim Hortons open 42nd St. ! ( 1 - 2 min walk west ) also , Duane Reade across street food supply ( produce though ) . check - out great well , find woman ( Patty ) extremely friendly helpful . overall , pleased stay . nice hotel , price location hard beat ! ! ! enjoy ! 
 Jul 22 2009 	 Great Hotel Great Location Loved ! 	 hotel wonderful . arrive early keep luggage us room ready free charge . everyone hotel friendly service fabulous . also connect tunnel Grand Central Station get great food , shop right subway ever step outside . without doubt stay . 
 Jul 22 2009 	 niggle generally good 	 get hotel one discount site , would definitely worth . unfortunately , pay full price come around $ 3500 two room week . ask two room together , put separate floor first night ( first niggle ) . however , rectify next day move room . room spacious clean bed comfortable , although state previous review , could coffee / tea make facility . bathroom also clean , although plug bath not work sort point ( second niggle ) . hotel well appoint , feel bit impersonal , although 1000 room , perhaps expect . staff approachable friendly , one exception . move new room day two , notice one television damage report front desk . later conversation member staff advise tv check daily , suggestion damage tv try duck accept responsibility ( third big niggle ) . however , dialogue seem accept not lie he . the hotel great location would recommend . however , not feel worth pay full price . 
 Jul 21 2009 	 Outstanding Service 	 hotel large connect central station . location outstanding . walk distance Times Square , 5th Avenue ... would like receive outstanding service reception , ask Blaine . huge help kind . show interest problem try solve quickly possible . room quite spacious contain plasma tv . bathroom small side . take clubroom . be worth . breakfast lounge great dinner . bed comfortable quite large . would recommend hotel without second thought . deffinatly go stay . not hesitate great place do not take notice bad review correct . 
 Jul 21 2009 	 Good Hotel ideal location 	 Grand Hyatt ideal location situate Grand Central station E42nd St. stay 5 night king double room large room enormous super king size bed . room well furnish plenty hang space clothe decent bathroom quality fitting freebie . the hotel huge reception area lounge type seat coffee shop bar restaurant reception area . breakfast room overlook E42nd St offer wide range breakfast food freshly cook well present even bit pricy . eat restaurant good . the reception staff efficient check in / out take less 2 minute , rest staff also helpful efficient . I can not really fault hotel aspect dim lighting room bar - typical New York lighting outside public area . we dinner Bull Bear one night ( attach Waldorf ) probably good steak ' ve ever experience . try surf turf ( lobster fillet ) be hungry .. would recommend hotel short break - long will break bank , 's tourist hotel lot 's conference meeting room . 
 Jul 20 2009 	 not believe everything read 	 get back NYC stay Grand Hyatt . little concerned booked review look good , think maybe see could cancel booking . glad not . sure people complain noise . hear one thing 3 night . room king size bed perfect . room quite spacious , bathroom little small really take shower use toilet really need huge bathroom . right next Grand Central Station 5 - 10 minute walk Times Square . feature draw hotel . overall great stay 
 Jul 17 2009 	 great hotel great location ! 	 stay Grand Hyatt 2009 . could ask NYC hotel . get room priceline $ 120 / nt , miracle . hotel could well location , literally connect Grand Central Station within walk distance Times Square . never bother street noise . room clean large flat screen tv , everything new . complaint sink bathroom pedestal style counter space . bathroom large clean . also desk , closet iron / ironing board . staff friendly plenty elevator wait time always minimal . would stay ! ! 
 Jul 17 2009 	 great hotel 	 suppose 4 star hotel accord Priceline . I two night spend 5 night Omni Berkshire Place . absolutely comparison . Hyatt wear , loud , crowded , less stellar service . club floor give access regency club room . order room service , food picutre menu taste allright . restaurant close upon checkin reason . Bathroom hot water 9 take ice cold shower . fitness center nice , lobby bar pretty nice well . pay $ 110 / night Priceline think good rate . also , location good family group - close time square , subway , midtown amenity . overall , unimpressed property think standard ' ve see Hyatt hotel ( Honolulu , San Fran , etc . ) 
 Jul 16 2009 	 pleasantly surprised 	 family ( wife , 14 & amp ; 9 year old child ) book room via Priceline.com little worried find hotel Grand Hyatt quite bad review . however , arrive , able breath sigh relief . staff courteous check quickly problem . room fine . not huge , not issue we . room clean , funky smell bed comfortable . chair fold bed 9 - year old roll - away bed bring 14 - year old . room sleep serve purpose well . location hotel fantastic close many good destination city . cab always available outside door , get around easy decide walk . would stay issue . 
 Jul 15 2009 	 okay- would stay else next time 	 ny , stay 2 week time , able get good price long stay . general okay , frill expect price pay . coffee maker fridge , even suite stay . get coffee bagel room service $ 25 . sit breakfast , buffeet option . lobby lot dark picture point map super close face see . easy check give run around . struggle luggage cab , Hyatt staff stand watch offer help . need store luggage man blatantly rude . walk room clean tell could take seat finish . bed pillow throw floor ton guest walk ... place bed sleep on . no store / gift shop buy basic thing like advil brush . 
 Jul 14 2009 	 wonderful 	 hotel extremely elegant room spacious , luxurious staff amongst friendliest enthusiastic hotel staff encounter . arrival restaurant staff , personable , friendly give extra joy stay hotel . food well prepare tasty , choice place eat . conceirge extremely helpful ideal location wander around get feel New York reason would recommend first time traveller New York , next door Central Station , locate Park Avenue , five minute walk Times Square . even leave roof hotel gain access Grand Central Station . 
 Jul 12 2009 	 good location ok room . 	 stay hotel begin July . get 40 % deal even quite pricey . lobby grand marble fountain . room , compare impression lobby leave bit disappointing . bathroom small bath barely deep enough paddle shower nice powerful . bed comfortable . room two double bed nice large bed may squish end share double bed . there coffee / tea make facility fridge / mini - bar bit disappointing live . lovely large television offerre variety service include tv internet - $ 9.95 unlimited use 24 hour . sign book next leg trip . unfortunately , internet service keep crash eventually give ask refund . our room clean one day 's huge problem . staff reception helpful . the location main advantage hotel . centrally locate right next Grand Central Terminal site within easy walk subway ride away . would consider stay hotel deal available definitely charge full price . 
 Jul 11 2009 	 Good Hotel would repeat next trip 	 stay Grand Hyatt four night ( 17Jun-21Jun ) New York first four city visit . 4 fault hotel : 1 - on first inspection room find shower curtain cover mould . advise staff problem go eat , return almost two hour later problem resolve , take two visit hotel staff person finally change curtain . 2 - the hotel visit state coffee maker room , great inconvenience mornings.3 - lacks small refrigerator keep fresh water snack 4 - internet local call include price room . apart three discrepancy grand hotel , staff friendly , knowledgeable courteous , room clean spacious . 
 Jul 10 2009 	 Nice need renovation 	 winter time Grand Hyatt great stay since direct passage link Grand Central . way never go outside get subway train . room get little old dirty . last stay keep bathroom door close mildew odor come . call complain tell room available . not always excuse ? location hotel excellent . summer time restaurant & quot ; Pershing Square & quot ; ( think name ) across street front Grand Central 's main entrance outside street table set really nice . so , would probably stay since last time complain letter actually get hotel management call advise we return ask would make sure everything great . overall nice hotel , great location , little bit pricey ( everything NY get way ) need little spring cleaning spruce . 
