location 	 hotel almost everything would want semi - budget boutique hotel - fantastic location , great room reasonable cost . thing miss - computer internet access ( though free wifi ) , decent breakast , minor quibble . water pressure not great noisy - not stay be light sleeper ! staff not especially friendly aside , price , be great place day san fran . 
 Dec 26 2007 	 like stay gallery ! 	 three us trip . going stay hostel reason , find place . suite pay $ 170 / night , include fee third person . bedroom queen size bed ( really comfy soft ) living room fouton couch . also request fold - a - bed . bathroom room , wet bar living room . oh , flat screen . hotel brand new , art take focus . walk reception hall 's like walk gallery . piece sale try take peek different room every chance get . breakfast bonus ... bagel , muffin , yogurt , coffee , tea , oj water . be 9 , think leave be go . otherwise vend machine 3rd floor . also asprin ibuprofin ... come handy night bar hop North Beach . I would not bother elevator , take stair ... be fast ! location perfect , be right across street main gate Chinatown walking distance shopping Union Square . if be look somewhere cool stay not boring , can not afford average $ 200 night price tag standard room place , would stay . double price hostel ( $ 28 pp / night Hosteling International Downtown ) , think get nice room . end $ 60 per person split three way . bad ! 
 Dec 21 2007 	 Headlice ! ! ! ! ! ! ! ! 	 ' ve never headlice life stay theHotel des Arts ! ! ! check website , think would fun different hotel experience , get sleep due construction start 6 am everyday . maid not change sheet , toilet leak , keep bag unsecured lobby 3 hour check . two week arrive home , discover headlice . pharmacist tell , take approximately two week notice infect . not lice , nasty tedious process get rid lice . never stay warn anyone may consider stay stay away ! ! ! 
 Dec 2 2007 	 definitely get pay .... 	 boutique hotel perfect wife .. travel San Francisco June year .. precisely look inexpensive clean place stay .. something near china town union square .. hotel des art right ... walk distance everywhere want go . staff accomodate . oh yes , next time go back san francisco try stay . way , painting lobby room add bonus . ... refreshing sight tire day go around shopping.thank . 
 Dec 2 2007 	 central location rude service 	 can not beat central location hotel price pay . room linen clean . however cheap price come cheap service . staff right rude . get impression be not cool enough be not starve artist . ask question answer mono syllable depend work get different response . evening flight need leave bag hotel day . one person say leave luggage locked room check , another say could room would not lock . leave locked room seem safe . employ friendly staff hotel would much well . 
 Nov 24 2007 	 Awesome ! ! ! ! 	 currently travel across usa book hotel des arts san francisco home 6 day . decoration pretty amazing room rest hotel nice . save cash opted room share bathroom , turn great seem everyone else go en suite room shower loo always fresh , clean available . self service breakfast muffin , bagel , yoghurt , tea , coffee juice great start day problem take tray full room breakfast bed . room clean tv , microwave fride even window open ( rare 5th floor US find ! ! ) .Staff helpful booked airport shuttle make phonecall us book thing too.overall would stay pass SF would reccommend anyone look good location ( chinatown , union square financial district ) walk distance sight good value money . 
 Nov 21 2007 	 bug infest dump 	 hotel much potential , unfortunately management do nothing raise price capitalize upon recent publicity . arrive find baggage cart worker extremely rude unwilling help . ( especially red head ) next , find bug bed ( little roach ) one room . tv five channel store cabinet whose door not stay open , fridge could not really call fridge . box block ice cool bottle water put . temperature fridge warm room . seeing , go downstaris get ice ice machine . ( ice bucket available room thank god plastic bag we . ) arrive ice machine find majority ice melt . scoop water ice , drain ice , dump plastic bag . point leave , decide torture . go shower ... old shampoo bottle top shower look like old soap wall . definitely wear shower slipper will catch something . carpet old stain know often clean shower . morning awaken 630 construction worker drill non - stop 845 . although art inspire room beautiful unless be pay less $ 100 per room , go somewhere else . many hotel around $ 110 range ' ve stay SF provide much well service CLEAN atmosphere . 
 Nov 1 2007 	 Awesome ! ! ! 	 wonderful say hotel ... little quirky exactly want small SF hotel . great freindly staff . room little small care bed sleep shower right ? stay week love ! return June 2007 partner . 
 Oct 15 2007 	 highly recommend - original affordable ! ! 	 stay hotel least 6 month year , mostly 4 5 star establish hotel , particular . final two week trip USA spend San Fran spend final week hotel Des art - cute art gallery / hotel much character originality always feel home even do not kitchen . pleasantly suprise find little creature comfort be not expect , like microwave flat screen tv . 7 night change room 3 time original booking two night hotel good accomadate much extended stay extra week . room entice effect decorate style different artist - work paint directly onto wall bring space life - much originality know time go reception find open friendly employee willing help anything need make stay san fran exceptional . even wireless computer work first 2 year ! thank everyone particular Hero really make stay welcome really affordable - cheap actually - thank . 
 Oct 15 2007 	 different 2star experience 	 proposition good stay Vegas hotel - room paint different local artist . even pick room , piece available buy hotel , make warm origional offering . location say perfect , far hill , right next financial district , waterside , shopping , chinatown North Beach . really good spot stay . room small nice enough , say due one experience ruin - bed bug . could happen anywhere happen . service be not great top , get move nicer big room . put dampener trip , lift paint work leave big bag . breakfast least . although see much well hostel . Served cramp little room , quite demeaning experience . overall good idea , could do thought , bed bug . least cheap . 
 Oct 14 2007 	 . 	 mom would set one foot place . love Hotel Des Arts . remind dorm room art student Brooklyn , NY . ancient building alive character , art wall , creaky floor claw - foot bathtub — Hotel Chelsea west coast . make want creative again . but non - artist , Hotel Des Arts , like many moderately - price hotel SF , tourist spend day night sightseeing desire room wash catch zzzzzs . want luxury accomoation smiley - face staff , reserve room Mark Hopkins . will force stay room little left travel budget sightseeing dining : ) HDA rock ! 
 Oct 12 2007 	 unique hotel 	 LOVE HOTEL ..... 's artsy & amp ; european ! ! ! ! ! whole concept hotel amazing . showcase art work form lot different artist world . locate heart UNION SQUARE ..... everything walk distance & amp ; chinatown across street.hotel price affordable ; parking available & amp ; expensive . staff friendly & amp ; good service.i would definitely go back & amp ; stay hotel ! ! ! celeste 
 Oct 10 2007 	 dirty Dirty dirty 	 place disgustingly dirty . & quot ; share bathroom & quot ; dorm room style toilet sink . cover human filth toilet clog fece every time go use facility . book 2 night leave one . place joke - plus , 's sucky part town - ' nothing neighborhood 9 pm . 
 Sep 19 2007 	 Bad service 	 room ok , service rank 0.do give credit card ! ! ! ! though make reservation homepage hotel , reservation let confirm day . without explanation , going pay deposit credit without permission . give receipt either . bag checking keep corridor front desk . internet connect room , . 
 Sep 6 2007 	 never ! ! 	 well maybe different hotel .. terrible choise , room full skull kind , scary ... closet , tv update , noisy .. al night dumper pick garbage downstairs , elevator suck .. un friendly .. everything disaster .. like nightmare .. hope never happen . 
 Sep 4 2007 	 Good Value great location 	 recently stay location 1 night . room clean , small , yet funky decor . room 306 face back side building quiet . aslo bathroom . front desk helpful courteous . last year stay Park Place one block Hotel des Arts far well . price feel like good value San Francisco . recommend hotel without hesitation . 
 Jul 27 2007 	 Fun Funky ! 	 definitely place lose artwork ! enjoy suite fantastic mural include glow dark paint ( bedroom ) . street noise issue location great ! easy access China Town ( gate block ) , Union Square , fantastic restaurant . staff helpful , room clean , price great . truly work art ... 
 Jul 15 2007 	 shame 	 finish two week holiday 2 night spend 8 night Hotel Beresford near Union Square , 3 coast Monterey . basically , 's shame . art great , location good , price good , be ' funky ' - remember stay . - room smell sweat , smoke . room bathroom ok share showeroom clean , room bad ? not know . 's owner keep eye . could really excellent different , unique memorable place stay , would say - couple night , kid , oldie , bit noisy night open minded . we enjoy , hotel size , location , star rating etc get basic right - cleanliness . 
 Jun 11 2007 	 pleasant surprise Hotel des Arts 	 reserve room Hotel des Arts seeing recommend New York Times article . little apprehensive . , expect $ 99 night San Francisco ? pleased experience . room clean , quiet , comfortable . location great . breakfast plus , good coffee muffin , bagel , yogurt . after stay many cookie - cutter hotel trite picture wall , pleasure stay room spray - paint New York graffiti artist see work young artist part hotel . we would definitely stay . 
 Jun 11 2007 	 lovely ! 	 hotel situate conveniently china town union square . room decorate jet martinez , first choice lovely ! apart decor everything simple neat clean . breakfast good san francisco . charming , convenient , neat , wonderful hotel - advise everyone know stay ! great ! 
 Jun 6 2007 	 art yes bad service - rather 	 recently spenty 2 night Hotel des Arts San Francisco . location convenient . know would adventure andeither like art like . ok , like art room much , part fun risk factor . like though , rather untrained unfriendly staff reception ( please read previous review get exactly description felt treat ) , include clean lady really nice friendly ! hotel well keep remind hostel hotel . understand great idea expose art different artist ( still love idea ! ) also unfortunately imply hotel rather run - down ? big disappointment room rather shabby ( bed ok tough ! ) . watch onloade luggage , park front hotel entrance door designate parking spot side . car 5 minute get 60 usd fine . 
 May 7 2007 	 save front desk gal ! 	 partner enjoy stay Hotel des Arts . 's cookie - cutter hotel 's certainly everyone , suit we fine . we encounter three different staff member 2 night stay . two competent enough - hostile other describe , especially friendly either . third outstanding . friendly accommodating , save we miss flight unsolicite early morning call remind we time & quot ; sprung forward & quot ; overnight . ask book 6:30 airport shuttle night rouse we dead sleep 6:00 have concern might forget time change ( ) .As hotel , exactly expect . old SRO ( single room occupancy ) hotel clean redecorate quirky budget hotel traveller seek accommodation character . main downside type hotel conversion door hallway open directly sleep area room . hotel bathroom right inside door offer bit buffer area hall bed , since bathroom add later room not lay way . find everything clean good repair , shower great . the hotel little street - front presence , sign doorway intercom buzzer . be buzz go second floor reach reception area . elevator old small , work fine throughout stay . try stair , indeed incredibly steep reviewer note . we not much care art room , certainly conversation piece . art personal certainly can not fault supply room perfect match taste . 
 May 5 2007 	 guy must stayed different place - love ! 	 feel like ' stay hotel last three reviewer . buddy stay Hotel Des Arts two night end April , 2007 . certainly standard new chain hotel , ' quite experience cool cutting - edge art , overall , satisfied would stay . place bad last review make seem . high standard , ' 20 maybe handle inconvenience . crowd definitely youthful whole place cool vibe – think secret roll lay back feel place . ' expect chain hotel remember cheap hotel city expensive hotel room ! plus – location excellent . first time city feel fortunate pick hotel . walk take public transport everywhere . minute walk Union Square shop around Market Street . chinatown begin block away . could see gate entrance chinatown 5th floor window . ' close public transportation . also block House Nanking ( 919 Kearny St. ) excellent inexpensive chinese restaurant ( go ) .The room- pretty awesome look , creative , totally custom paint floor ceiling . " Bloum Cardenas + Regis Silva " suite . book Tablethotels upgrade check - in room , 2 - room suite two double bed . room large . shock much space price . 2 bed tv one room pull couch , tv , desk , mini - fridge wet bar sink ( large enough little party ) . ample closet space room . Safety- take BART SFO 11:30pm walk block hotel feel safe . city ( except brief excursion Tenderloin ) feel like need take extra care . front door must get buzz front desk time . 24 hour never problem . feel safe secure room . Other- bathroom amenity ( shampoo , soap , etc . ) high quality nice surprise , although bathroom cramp old ( clean – mold ) . ' free Internet . free continental breakfast consist yogurt , bagel , coffee / tea , juice . ( late night get breakfast minute closing time still yogurt lot bagel . ) contrary review , front desk staff always friendly helpful . never get attitude anyone , ever . minuses- room face Bush St. noisy time ( 5th top floor ) . appear room ' A / c window open would get quite noisy . noise problem would simply request room face street ( base layout appear four room ( probably suite ) face street ) . overall - hotel old building certainly rough around edge . clean comfortable , old – narrow staircase , rickety elevator , occasional musty odor , etc . really remind hotel ' stay european capital . ' think negative reviewer would complain get hotel like price Paris London . would definitely stay . ' m glad listen negative review . great location , cool room , excellent value . ' trouble decide whether hotel , maybe help : mom would fine staying night two . ' think ' fun , adventurous neat experience . want bellhop , room service , real cushy amenity would probably happy elsewhere . FYI - if be tourist get Muni Passport -3 day $ 18 allow free travel public transport ( exclude BART ) include cable car charge $ 5 one way . purchase around city airport . 
 May 2 2007 	 bad hotel ' ve ever see ! 	 experiece echo many review . hotel suck ! parking . hideous & quot ; art installation & quot ; resemble spew food poisioning wall . dresser . archaic bathroom mould could imagine . sag mattress . arrogant staff reception . cramp quarter . elevator punke force we lug bag old stair . Windows would not open . blind break . view garbage litter center yard . breakfast wipeout . not fool & quot ; art & quot ; talk .... shop around spend hard - earn travel dollar elsewhere folk ! 
 Apr 24 2007 	 embarasse . 	 year read hotel art mag , blog , etc . , decide give shot . price ... even location . base circumstance around artist room fact something different hotel normally stay travel . excited feel great opportunity take wife cool hotel . piece art Dave Kinsey , think would nice request ( month advance ) Dave Kinsey paint room . like many guest post review , room ready arrive . perhaps wrong assume room prepare Dave Kinsey room . take walk shame , like many we . least San Francisco . when return - drag bag 3 flight stair - open door find Dave Kinsey room . save room detail , everyone else post review do perfect job . fault ... apparently lose reservation , odd actually get first second room choice request . see one guest entire time , image already book . fortunately noise never issue . however , two artist spray paint wall outside window hour . fume completely engulf room . lack energy complain know probably mean drag bag stair . besides , would never want upset front desk guy . way busy bad hotel front desk guy world . unbelievable . one thing note ... noticed number ' Managment Responses ' . something tell guy post management response actually guy us issue . week ago notice improvement go on . after return , find restaurant talk vacation hotel experience . kid ... bartender said & quot ; stay Hotel Des Arts ? & quot ; tell yes , reply & quot ; tell stay . would warn you . & quot ; consider change name ' Hostel des Arts ' . 
 Mar 24 2007 	 art great room poorly maintain staff unfriendly 	 arrive fly New Zealand tired look forward check hotel . couple hour early room ready yet reluctantly leave bag go walk . first impression , hotel reception funky girl behind desk quite surly - welcoming . return hotel couple hour later check room . look forward nice shower rest . room loud generator outside window toilet break boyfriend flush . phone reception break toilet , send someone look unable fix ( not seem try hard ) . say not happy experience hotel far consider go elsewhere , receptionist seem concerned make much effort helpful . going move we room share bathroom insist want bathroom , move another room much well first . bathroom tiny run room move bath plastic shower curtain toilet . grubby sink bedroom . least room generator noise try open window get air , window would stay open- jam something . none power socket work . adapter plug know work place . ask reception problem aware , say suggest go buy another adapter plug . on positive side ... bed fine - comfortable enough plain white bedding . art good . not think get artist paint wall enough though - room desperate need renovation . ok , overly expensive would still expect something well get price . the building old quite beautiful . location ( french Quarter ) great fantastic french restaurant cafe nearby . little renovation friendly service , hotel could great . 
 Jan 25 2007 	 like 	 ' m solo female traveler find Hotel des Arts perfectly adequate . location excellent room fine amount pay . share bathroom - always clean . bed comfortable warm . sure room not great view , lift small , carpet wear place . expect reasonable rate ? actually really like art room particularly cool . nice come home long day explore fabulous city . breakfast bagel , spread , juice , tea coffee . Great be keen save $ . not like go one many nearby cafe soulless big name coffee house . great budget option would recommend other . 
 Jan 5 2007 	 adequate accomodation good price 	 Hotel des Arts old building old carpet old elevator . room & quot ; clean & quot ; squeaky clean ( i.e . find old bar dry soap bathtub- long ? ! ) . bathroom small , whether share . tub claw - foot without spot set shampoo , etc . wash basin sleep area also small old fashioned . staff unfriendly , exactly rude . major positive though . many room frige microwave , really convenient week long stay . art contemporary interesting EVERYWHERE . every wall/ door room paint really enjoy . small closet room . location perfect . breakfast meager , available every morning free- easy thing grab coffee bagel , head back upstairs get ready day . bed comfortable linen . overall , feel like great deal price otherwise expensive city . 's fancy way , many other like we ( 20's-30 's , interested city hotel , appreciative art even 's mainstream ) seem ok time . oh , ask & quot ; quiet & quot ; room other suggest problem early morning garbage collection noise . maybe easy impress sleep floor Grand Canyon tent , freeze butts Pacific , would definitely return price good pay time . 
 Dec 17 2006 	 stay away - confirm booking guarantee room ! 	 everything horrible ' ve hear place true ! party 6 book receive confirm reservation 3 MONTHS trip Oct 3 room . long 20 hour flight , arrive Hotel inform booking & quot ; mysteriously & quot ; cancel - despite we confirm reservation . unhelpful girl reception totally unapologetic could not give explanation could happen . could say & quot ; booking cancel . & quot ; obviously , little surprised hear ask . nonchalant reply & quot ; not know . inform cancel do . & quot ; 's service ? ? ? bad thing arrive midst Oracle 's big conference year hotel fully book - girl reception inform we , without single bit apology ! thus , spend first hour trip US phone frantically call hotel . think book room - think ! go Hotel Fusion , - folk super helpful , even little apologetic could give we 2 room 6 we instead 3 ( take decent accommodation could find ) . Hotel des Arts staff totally spoil begin 3 week holiday US , Hotel Fusion wonderful staff give we memorable stay . go ! 
 Oct 31 2006 	 Saty away hotel 	 upon arrival encounter unfriendly man behind desk would change attitude rest stay . feel welcome . first room side hotel face alley fill garbage container ( room 403 ) . every night garbage collect 3.00 awake . change room . face big wall room hotel guest could look directly room blind cover whole window ( could look room bath ) . daylight . room clean , airco totally worn , like first room . ' ve & quot ; pimp & quot ; hotel mural call & quot ; art & quot ; cover horrible state hotel . breakfast laugh . poor . good thing location hotel . dump ! 
 Oct 24 2006 	 Horrible hotel 	 room rather small . quilt sheet nice , mattress terrible . thin give support ! uncommon San Francisco , air conditioning hotel . also ceiling fan , etc . ( i.e. , air circulation except via open window ) . room first night overlook alley garbage dumpster . garbage truck come 4:30 . , move different room second night . room would able walk onto section roof . unfortunately , could anyone five room . therefore , safe leave window open air circulation . there put soap , shampoo , etc . shower / tub . finally end set thing toilet seat reach around shower curtain get they . the elevator small . notice last elevator inspection 2004 elevator permit expire 2005 . ( Oct . 2006 . ) also , note room paint local artist . much bad other . paint second room quite nice , first room rather scary . , recommend hotel ! 
 Oct 14 2006 	 Hotel cancel reservation last Second 	 Knowing San Francisco would busy middle October , wife book room 2 month advance . eight day trip , confirm reservation . next day call said & quot ; construction & quot ; could accomodate . hotel say one three cancel . offer help help we find hotel . due Fleet Week convention city , two hotel room leave city ( call ! ) . end pay twice much night run motel . coincidently , find hotel stop - find construction ! 's interesting busy weekend $ 200 / night going rate , room $ 100 / night cancel . stay super shady hotel risk ! ! ! 
 Oct 13 2006 	 eccentric hotel love service 	 although find hotel 's eccentric painting interesting , good part hotel service . stay 5 day partner always greet give tip well get around city . manager also make we feel welcome day arrive , feel continue even day leave . truly feel like home away home , place could look forward come back long day sight seeing . 
 Oct 11 2006 	 quaint hotel SF city 	 quaint hotel heart San Francisco ! wall cover local art work , staff knowledgeable helpful , location superb . locate right infront China Town Gate , right next Belden Alley , 5 minute walk Union Square ... want see city without spede ton money accomodation yet sink COMFY bed , definitely choice . ' ve stay every time ' ve come SF never let . must stay budget conscious traveler . price location beat ! 
 Oct 11 2006 	 Great Budget Stay 	 husband stay twice satisfied time . bedbug either time , nice , clean room great price . like central location , although walk shady area get , San Francisco ! not speak much staff ask extra pillow . helpful . free internet great since always carry laptop . look something little away norm , 180 day inn motel 6 , place . 
 Oct 5 2006 	 worthy price ! 	 description website would think 'd stay & quot ; upscale , boutique & quot ; hotel . far cry . booked & quot ; suite & quot ; 5 nite stay . could get 2 bed fridge / micro book suite . think price steep ( raise weekend ! ) figured & quot ; suite & quot ; would well worth . upon check hotel front desk person somewhat rude thing go downhill . & quot ; suite & quot ; room 2 dbl bed cramp . bed elevated platform . feel like DORM ROOM pay outrageous price . bed comfortable . bathroom even bad . small could hardly move fixture / tub / sink extremely old seem dirty . nice old , clawfoot bathtub . front desk folk helpful . original 5 nite stay go 1 nite book another hotel much nicer reasonably price .. not pay kind money dorm room one need upgrading . even dresser either room . hotel location good say . 
 Sep 19 2006 	 impressed 	 stay 4 night September . first suite smell really nasty , & quot ; artwork & quot ; would not look place dirty alleyway window face onto bath leak . move another room next morning , staff friendly , although big improvement still disappointment . the hotel , review state , really like overprice hostel old building . carpet ancient , room small , bit grubby bathroom tiny . what see website reception area , really nice , bright clean ..... room far that . we back . 
 Sep 15 2006 	 Kitsch - Free Good Value 	 scour web chance upon Hotel des Arts . everything else see budget end nauseatingly tizzy ( floral bedspread - ick ! ) , appeal boutique / concept hotel instant . shtick invite local artist paint room - 2 guest room saw imaginatively execute . also great artwork line corridor . we arrive Friday night 3 night stay . place well locate close Union Square . first 2 night room 2nd floor rear building . one budget , share - bathroom , artist - paint room ( request book paint ) . room great , comfortable queen - sized bed , tv , fridge , closet wash - basin . also free wi - fi every floor come handy . we find room hot stuffy though , window double - glaze hence unopenable . air - con imagine place must get stiflingly hot summer . first night - noise irish bar lane keep we 2:30am . lot yell drunken carrying , empty bin . thankfully well follow night ( Saturday ) , conclude bar popular spot work week much weekend . 3rd night move expensive , private - bathroom room ( hotel full ) . internal room overlook light - well generally quieter . window openable time , strangely room remain lot warm outside . , artwork great , nice tub soak . however bed not nearly comfortable previous room 's - clearly visible lump . bring attention manager duty check next morning say would make note . not really feel room worth double cost , would gladly stay cheap room option . overall pleasant experience - would definitely stay . dress - up old doss house truth tell , ' m sucker gimmick . 
 Aug 1 2006 	 definitely well 	 spend 3 night Hotel des Arts , share room disappointing accomodation experience 17 night spend USA , include cheap road side motel , hotel , etc . it safe great location , near Union Square China Town , other put , overprice dirty motel , try fool & quot ; art & quot ; . room may art , definitely artistic vibe hotel , room strident eye - soar grafitti . would say pretence real thing there . the room A / c hot July , really unpleasant . second thing disturb , thing room old , wear - out , shady -- -- dirty ! ! old sink dirty , crust soap ... thing share shower disaster , really freaked go inside second time . really pretentious type though : D. hotel aura old , wear - out , shady . the breakfast break promise , old bagel coffee .... staff ok , guess , major issue . these basic condition ( CLEAN first thing expect accomodation , art , food , ammenitie God know ) sell not - so - very - basic price . go , sure find well cheap accomodation . terrbile place earth , price / value really unfair 
 Jul 24 2006 	 Big Disappointment 	 's good : great location , comfortable enough bed . be bad : AC fan middle July = sleep , wall paint junkie crash pad Snake Pit style -- real grafitti artist would embarassed ; black paint spashe toilet bowl look like -- well , know . icing cake : go outside -- might able get back . since Reception second floor , prepared experience stand doorway like homeless person be lucky enough another guest exit . $ 109 night plus $ 24 parking , 's great deal , really disappointing art experience . 
 Jul 4 2006 	 wonderful stay 	 heart financial district right street China Town within walk distance Little Italy , hotel diamond ruff cheap hotel . stay Madonna room , clean , quiet perfect location tourist . starbuck locate corner 's many shop high end dirt cheap , well many restaurant . hotel staff cordial intrusive . complimentary continental breakfast bonus less $ 100 per night , rare San Fran . room share bathroom , careful like privacy . opt room private R.R . also note non - smoking facility charge $ 250 violate policy . although be inconvenient smoker , room not smell like ashtray . never tell might get book online pleasantly surprised . art really funky cool look - 's every room hallway well explain history artist available sale . staff also help we book ride back airport ( 15 minute early morning get ) . overall , great stay would absolutely recommend hotel . 
 Jun 29 2006 	 photo mislead bed bug staff friendly 	 stay hotel two night recently San Fran . warn photo see place web magazine make look LOT nicer really . art hotel , sure . boutique hotel , noooo way ! room surely individual uniquely paint , go . contemporary bed room furniture nothing plywood construction w/ nice coat black paint . least chair Ikea . carpet dingy + wear sandal entire time fear foot - bear illness . graffiti toilet seat . sick . can not imagine would like splurge private bath . bad ... wake middle night w/ really itchy leg . awaken 6:30 someone use saw building next door , notice calf thigh cover bite not prior get . bed bug max ! ! ! find staff quite unhelpful friendly . seem like not want . place totally hostel disguise . setup facility aside , aware lack cleanliness . take money + go elsewhere . 
 Jun 22 2006 	 not judge book cover ! ! ! 	 husband travel Tokyo San Francisco , Phoenix , Arizona Vancouver , Canada .. back Tokyo ... summer vacation , 2005.first stop , Hotel des Arts .... say & quot ; do not judge book cover & quot ; .. apply perfectly hotel .. do not fool unassuming facade ... justice await inside ... give suite room .. course , amenity average hotel suite ... amaze we able come unique idea paint wall everything ( instead wallpaper , etc ) .. include water pipe ... paint coordinate design ... even shower curtain ... ha ha ha could see hand - paint incorporate overall design room ... amusing look , wall ceiling .. even lie bed ... stop we smile everytime come back city .. hotel location also perfect -- walk distance everything -- -and hotel staff attentive guest ... show around different room , really , painting - motif room terrific . different motif honeymooner romantic , middle - age couple ( like we ) , carefree tourist , etc ... still travel world .. stay mostly big , classy hotel ... Hotel des Arts first experience artsy - boutique hotel .. experience unforgettable . course , intend stay , next trip around ... Kudos Hotel des Arts .... 
 Jun 21 2006 	 mini treasure SF 	 ' ve stay everytime ' ve travel SF . love location , art , quirkiness , uniqueness little gem hotel ? art fabulously showcase local artist talent .. art would , evoke emotion yes raise eyebrow . location prime ; right chinatown gate , walk distance ( really safe walk area ) Union Square , Financial District , Embarcadero , etc . intent stay resort visit SF , not stay . intent use time explore ' City Bay ' come ' home ' comfy bed rest incredibly economical price ... HOTEL . hotel adventurer explorer heart .. favorite little gem SF . 
 Jun 19 2006 	 good value money 	 amaze people expectation hotel price pay . wife stayed recently pay $ 80 night room bathroom ( get room share bath ) . guess people expect Hilton service Motel 6 price go HAPPEN . $ 80 night expensive city like SF , $ 80 get clean , safe , somewhat quite hotel . do not expect continental breakfast , spa product bath , bell hop . know tone negative review take say grain salt . on hotel . the location hotel sell . right Chinatown 10 min . walk union square . even walk North beach take anout 15 - 20 min . one good bar ' ve step away call Irish Bank . great music great beer . fun watch world cup game mostly non - american crowd ( really get game make soccer enjoyable ! ) .The room small like SF hotel room . bed little hard side , inline price pay . towel soap other compaine . line pay . nice mini fridge room . buy cherrys drive store wine . nice come back sightseene get little buzz . get little noisy morning contruction across street , bother we get early . the front desk easy deal well . young lady afternoon evening shift big help . point great resturant area also point Irish Bank , like much . other also helpful make check easy . check 10 am overhear couple complain could check . check 3 pm front desk offer hold luggage could come back . reasonable offer , guess many unreasonable people . check 10 be anyway ? ? go breakfast walk around godsake ! budget great deal . look pamper , go Hilton Ritz . 
 Jun 2 2006 	 Perfect one - night stay 	 pretty basic accomodation , add interest ! many room paint artist . room , one lower - price room , decorate artist - motif & quot ; college dorm room 70 & quot ; . really interesting . bathroom okay . air conditioning ( not problem we begin May ) . location great we . kind Chinatown , Financial District , Union Square . 
 May 19 2006 	 god help eye get wrong room 	 room & quot ; art & quot ; room happy downright depressing , Rooms small , hotel funky : get reception fast walk flight otherwise take cage elevator ride . the good thing hotel well locate . Clientele appear casually dress , either mid twenty budget conscious old intellectual wannabee . Breakfast ( wiske away 9:30am ) spare self - sevice balance coffee bagel plastic cup juice one three plastic stool may consider one lucky one . 
 May 15 2006 	 fun quirky great locale 	 fun , quirky hotel art thing catch . suite , bed comfortable , pull couch so - so . hard set . bathroom small . art work funky give room personality . hotel intimate european feel , complete creaky old fashion & quot ; cage & quot ; elevator , like . big plus location . practically door Chinatown . BART block away easy ride airport hotel use BART . everything either good walk , public transport , cable car ride away . would definitely stay . 
 Apr 14 2006 	 Art Great ; Hotel not 	 little hotel great gimmick -- different artist painting room suite . work interesting fit room well , hotel owner seem decide gimmick need . the room drafty noisy ; towel thin ; amenity cheap motel 6 soap ; carpet dingy stain ; wireless set manager , apparently not person , erratic good . Maid service poor ; evidence vacuum entire week stay ; stopper tub room cover black mold . I stay room suite . artwork cool , 's shame artist associate hotel . 
 Apr 7 2006 	 GREAT find GREAT ROOMS GREAT LOCATION 	 overall extremely pleased hotel . fiance stay 2 3 night San Francisco ( completely book middle night ) . room small , make beautiful art . amazing stay unique beautiful place surround art hotel room identical . room feel & quot ; real & quot ; - solid , well build , etc . location also fantastic - right center - near BART , shopping , trolley line , theatre , across street Chinatown , brisk walk away pier Fisherman 's Wharf . unsatisfied follow thing , though:1 . reservation System . extremely poorly set . can not reserve specific room ( completely different , paint different artist , MUCH fun other ) . & quot ; request & quot ; room , garaunteed , can not tell not request already . end stay night room thrill , instead one requested.2 . make reservation well advance . call month ahead , already well booked.3 . continental breakfast sad . Icky orange juice , coffee , stale bread next toaster greet . plan eat elsewhere . 4 . service not great . 5 - 6 different front desk people speak , one nice . other brisk , snooty , verge rude . also , room not ready 3:00 ( check time ) . get 30 min early , end wait hour half ( 4:00 ) room . I would recommend hotel . keep factor mind decide stay . 
 Apr 5 2006 	 shabby grand 	 little , funky hotel near center Union Square right edge Chinatown . wonderful location centralize sightseeing . stay first suite first floor room ' right hotel check - in desk . room clean , bed comfortable good pillow need microwave mini - fridge . dvd player two tv ' ; real neat artwork room simple continental breakfast bagel muffin . downfall ; buzzer get hotel sound like quickie mart ( & quot ; thank come ! & quot ; ) , room directly behind neon sign cause entire room light night long chance darkness take . overall bad place , know place try would stay though . bad experience , sure well one somewhere else . 
 Mar 12 2006 	 one good hotel San Francisco - Artistic 	 lucky enough able reserve suite brazilian artist Regis Silva & amp ; Bloum ( 500/501 ) .I oportunity see many paint room hotel , Regis & amp ; Bloum well . work three - dimensional , breast painting came almost foot painting . see web site pretty interesting . artist Regis Silva , certain popularity US . ALso check work Bloum , French Artist collaborate master piece mural . work plastic bag . seem like stills print bag overlay top canvas wall . to interesting hotel ever stay . full color happiness . bright elegant . love baby top cabinet bathroom living room . -- - 
 Nov 19 2005 	 good location 's 	 hotel locate old building . try use paint , fixture plain old ( specially bathroom ) . location excelent , across street Chinatown entrance , near cable car line . staff nice , mix - up reservation . end stay room private bath , plain - paint artist . concept wonderful : live inside art - can not hide oldeness building . complimentary breakfast , not sit . 's good value San Francisco , though . 
 Nov 16 2005 	 good value money 	 stay hotel Alisa . get room Priceline . hotel appear renovate room , include bathroom . little nervous previous trip Alisa , pleasantly suprise . Ritz - Carlton , room mini - fridge microwave , bathtub shower curtain around . would stay need budget destination . 
 Oct 20 2005 	 little gem 	 place shine like gem . ' ve travel continent never see anything quite like place . definitely , book one artist room - need book directly hotel , cool experience . check room website request specific one . stayed & quot ; Unabomber & quot ; room friend stay Kelly Ording 's room - have highly recommend either . 
