great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Nov 15 2008 	 Noisy Renovations Rude Staff 	 Date : 11/15/08reviewer : avid traveler , USVIWe ' ve return stay NYC must say terribly disappoint Bentley Hotel . upon arrival first assign room ( # 204 ) toilet malfunction ... minute walk toilet run . request room change place small room ( # 905 ) awaken 8 pound . continue every query front desk . turn place floor renovating ! front desk personnel state tell renovate ! ! ! not way around ? ? ? guest stay floor renovate ? move yet ( # 1105 ) yet another small room . call report relocate another small room without mini fridge pay extra . yet relocate another room ( # 1107 ) , finally big fridge . think troubles experience smokey smell bathroom 2 am . suppose nonsmoke hotel ! finally upon checkout refuse copy complete bill . never negative experience many year travel . 
 Nov 9 2008 	 prepared pay watch tv drinking water use toothpaste ! ! ! 	 think one bad hotel hav visit would recommend you.what dislike place charge every amenity u use .... even watch tv ! ! ...... be awful ....... would like pre warn people tell storyI charge 60 extra dollar watch movie tell check ! ! prewarnings ! ! ever live prepared pay kind amount watch tv drinking water keep use toothpaste provide . my experience horrible will not recommend anyone . 
 Oct 27 2008 	 Hotel four star ( five ) - service two 	 hotel nice excellent location chic lobby . room clean , nicely appoint , comfy bed gorgeous view city river . doormen professional friendly . great job -- 4 star ! however find rough around edge front desk staff cold unwelcoming . seem unhappy ( frowning - smile ! ) polished staff hotel stay travel throughout world include many time NYC . yesterday check witness man ask concierge get cab airport -- young man desk , concentrate ipod , barley looked snap & quot ; ask doorman & quot ; - end conversation back ipod go . experience Motel 6 behavior front desk staff -one word answer / response , minimal eye contact , tension amongst crew , etc . hope Bentley - lot go , front desk staff need reflect quality rest hotel . 
 Oct 26 2008 	 inadequate room unhelpful staff 	 considerable research book king size room $ 346 per night two night . plan change try book addtional night . involve wait 16 minute speak human offer king size room third night rate . on arrival 5 pm weekday , desk staff cool say least show room 10th floor . room good size overlook 59th Street bridge cable car island . nice sit area . however soon begin unpack noise air conditioning unit basic box loud could converse . go bathroom able obtain hot water either basin bath . I call reception tired way deal indicate first time room 1001 problem . promise maintenance visit long time come . time man arrive unpacked wanting go out . the maintenance man arrive say way avoid noise unit switch . window open option , half hour work bathroom obtain hot water . hot sweaty . switch unit again . however noise ac unit intolerable go reception desk suggest either room change would move hotel . a room change offer 1511 absolutely help pack move another hour visit spend repacke two large suitcase move room side hotel wiht partial view river . much quieter also much small suggest desk low grade room much small perhaps room rate adjust . I base hotel web site specific room size room rate . the desk clerk absolutely adamant room size refuse reduction . at 7 pm hot quite tired room move ; , woman age 58 smartly dress go roof top bar drink . two bar staff behind bar talk couple customer . take table window . two tabel occupy group business man , five one side four other . I sit wait waiter finish conversation bar . ten minute approach end room , take order think . lucky , offer refill one party , go get , walk smartly past otehr group they . as far large invisible , walk bar odered vodka collin , barman make use hand transfer ice glass continue conversation couple . pay take glass back table . finish drink neither member staff approach offer refill fetch bar . frankly attitude staff exception baggage boy offhand extreme . would stay ? . think dog receive courteous welcome kennel . 
 Oct 20 2008 	 bad stay life 	 Booked & quot ; deluxe & quot ; room three night business trip . give wrong room first night , say would move next day , begrudginglu accept . next day come refuse move - unhelpful rude staff ever encounter , travel lot , include many NY hotel . interested customer say would nothing help . room poor value money , aside wrong one , reception staff still leave seethe overall good ruin trip . hundred great hotel Manhattan , avoid one cost . 
 Oct 15 2008 	 odd set 	 go NYC short trip , midtown hotel unavailable overprice , stay . 's way east , right near river , neighborhood safe 's far subway . lobby staff look Euro chic , excited room might look like . strange - oddly shape look like could not quite figure accommodate furniture . king size bed nice , old - fashioned microwave mini refrigerator relic small - town motel . view 59th Street , could not get blind open way . not like shower open . glass , not door , not slide , matter carefully try shower , water splash tub wet floor . practical . 
 Oct 12 2008 	 's fine choice ! 	 stay 10/9 - 12/2008 . upgrade junior suite start trip nicely . room nice clean water pressure shower great . real complaint hotel hot water shower 9:00 A.M. Saturday . fart fan bathroom . hate that . the rooftop bar free - hand pour stiffie . view awesome outdoor lanai direction ( 360 degree ) . area totally safe hour . , be five star hotel . come , want go pay ! ? place suit fine . wife upper - class people ' m tell place good deal . staff super nice helpful . hotel contract company provide black Lincoln town car limo take we back JFK flat rate $ 50 . can not beat big stick ! next time , try arrange pick we arrive . yes , look Bentley accomodation . we go Carnegie deli ( split sandwich ! ) , Central Park ( take nice nap wife grass ) , Top Rock ( ! ) , Rockefeller plaza , St. Patrick 's cathedral Comic Strip Comedy Club ( truly stiche drink food extremely overpriced -- $ 10 Corona 's , $ 15 Crown , $ 13 Nachos ! ) .The next day go SouthStreet Seaport TKTS booth . line somewhat long , go pretty fast . lunch J.P. Mustards good . walk Wall Street / NY Stock Exchange , Trinity Episcopal Church , WTC ground zero ( move ) almost get fight piece [ -- ] sell blow - up newspaper article espouse government blow world trade center building . thank god wife would throw . hot ! walk Battery park ( & quot ; Fake Rolexville ) take Staten Island Ferry back get close Statue Liberty ( - 's free ) . night go see Hairspray let tell really good ! ( $ 55.00 tkts day ) . eat Gallaghers two door . good get we show time ( Prime Rib already cook , wait : ) . Time Square PACKED ! totally cool . get head : nothing cheap NYC . find , however , meal split ( $ 43 prime rib big neither we could finish HALF ) . side mushroom like 40 shroom , etc . all , love . bentley plenty fine . recommend . 
 Sep 22 2008 	 problem Bentley Hotel . 	 book hotel on - line notice mixed review regard hotel little worried might good . need worry , hotel pleasant . when arrive offer room 5th floor , ask could move high floor ( not see room yet advise review get high floor possible traffic noise , find anywhere ny ) receptionist kindly give we last room available unfortunately twin double say want change room next evening could say need room fine . room 8th floor noisy view typical NY view tower block expect NY besides want sit hotel room day night city never sleep ! room good sized clean room minibar / fridge , plasma television , ipod docking station / alarm clock , iron , iron board safety deposit box . also two chair two bed large comfy especially spend day walk ! bathroom adequate bath / shower , + usual amenity . we give plenty towel bed 4 pillow . we decide eat hotel instead go Ritz Diner corner East 64th 1st street ( two block hotel ) highly recommend breakfast . also try Porto Fino bar grill 63rd street 1st 2nd ave serve excellent italian food . although not eat hotel essential check rooftop bar ( also serve food specific time ) amazing view Hudson River , Queensborough bridge surround area . another plus hotel helpfullness staff , helpful , polite friendly . ask concierge assistance happy help question may include theatre ticket , direction , check on - line flight many thing . hotel good hotel . guess slight critisism could say quite far centre would not stop stay plenty cab use get need go . be also safe area lot nice restaurant nearby . I recommend hotel . 
 Sep 10 2008 	 extremely good New York hotel 	 extremely good New York hotel . ' ve stay many different New York hotel Bentley one good view ever ! stay 7th floor incredible windows overlook street , river , Queensboro Bridge ! many N.Y. hotel look onto brick wall Bentley . room also large NY standard . the bar incredible view city along nice bartender good drink front d staff nice extremely helpful . point we fantastic sushi restaurant short walk hotel . the drawback air conditioning unit rather loud either cold hot nothing middle . price , location , room size , view , staff , would absolutely stay ! 
 Sep 9 2008 	 great Stay Bentley 	 Husband stay Bentley Hotel August . arrive around 1 pm room available kind helpful reception staff lock suitcase store give we direction various place get bite eat . get room two double bed be not exactly ask clean suit we fine . conceirge hotel staff nice , honest helpful people able send we right direction anything look . hotel right next river psat 1st Avenue ideal seek centre hustle bustle city do not mind walk block tourist thing want experience real upper east side New York City place . 
 Sep 5 2008 	 lovely Clean Modern Hotel 	 return 3 night stay hotel , fantastic ! ! staff helpful , honeymoon upgrade we suite extra charge . clean , modern hotel , 10 min walk 5th Avenue Bloomingdales . building work go opposite hotel , could time look never hear noise . never eat hotel restaurant can not comment . tea / coffee make facility reception 24 hour . good bit : clean , modern decor , helpful staffWorst bits : none 
 Sep 4 2008 	 good bad 	 could rant rave .. actually , would unfair . first night , wake air conditioning system , go BANG CLANG smoke start come filling room . also , 3 day row tv work mini bar ( fridge ) room work . but ... air con almost explode , Fire alarm sound Staff within minute , move we straight away , without fuss . not believe one second danger ... fire ... ( yeah know say ) tv working annoying , get late , would nice relax front .. , say , not go New York watch tv ( load crap anyway ) . not problem . mini bar , room not work .... shame , give rarely drink room not issue . the room clean , nice touch safe iron table , staff friendly , location not bad really . give walk hotel walk straight take directly central park times square walkable , equally street ( although long walk ) UN . get cab cheap , take Credit card , bus take full length island stop outside . 's surround good place eat . the roof terrace nice touch look spectacular night . definitely stay . 
 Sep 2 2008 	 Location Location Location 	 Located York 62nd st , hotel good location , nice Upper East Side . lot cafe , pub , place eat , etc near . near train station lexington 49th st , nice walk . hotel nice , coffee continental breakfast complementary . room nice awesome view . elevator tend slow , make top floor , nice bar great view . 's must drink ... not want bother , sure & quot ; disturb sign & quot ; since last day , 3 people knock door check time , pretty anoying . also , give room first occupy people , wait room couple hour . staff nice though . would stay good price . 
 Aug 28 2008 	 friendly hotel 	 satye hotel four night visit New York pleasant stay . staff nice helpful . hotel coffee facility reception area clean modern . room clean modern small that s expect New York . great bar top floor lovely view friendly bar staff . fault could find hotel close main sight seeing place small cab ride away . would recomend hotel . 
 Aug 27 2008 	 absolutley hate hotel 	 hotel construction , tell booking , room bathroom utter disgrace , extractor fan bathroom mean tile cover mildew , furniture scratch broken , window sill crack , beautiful view window state , hotel restaurant death trap outside light around outside balcony . cheap hotel go cost $ 400 per night , would never go back 
 Aug 9 2008 	 view die ! 	 value TripAdvisor community experience choose stay hotel partly due review . hotel New York chic . stay 17th floor ensuite , stellar view city skyline . & quot ; in - n - out & quot ; business trip . arrive late evening day precede meeting leave early morning day . drawback area immediately adjacent hotel ( residential ) . gas station hotel property . much insofar restaurant , etc . order , major pain . unfortunately , hotel restaurant close due pre - arranged function . suite equip window bench along entire length quite content sit watch skyline change sun go . far suite go : housekeeping great bathtub cleanest . religiously pack show shoe ! suite large NYC apartment . love modern / minimalist décor . headboard white woven leather footboard black weave leather — love ! guest service polite courteous . 
 Jul 25 2008 	 enjoy stay 	 book hotel date get nearer see bad review start worry . pleased say nothing we concern pleasant stay hotel - bed bug site ! ! arrive around midday tell room not available till around 3 pm . finally return surprised tell upgrade room offer much well room 16th floor ! room high enough enjoy view block noise . yes construction work nearby however really not notice noise . can not go ny expect totally quiet though ! room spacious fresh towel provide daily . one day forgot replace give we new one almost immediately ring notify . bathroom size average suited need . word warn minibar item table , make mistake picking item find 20 sec timer , fortunately replace item swiftly ! two concierge friendly ( David & amp ; David ) , great sense humour patient - even monopolise time ! helpful recommend number place we goto - thanks ' m sure read eventually ; ) ! ! ! receptionist staff doormen friendly - exception one receptionist not learn art smile yet , will know mean get ! ! prepare walk ! Central Park take we 20 min walk , attraction walk however lengthy walk . confess lazy end get taxi place however nonetheless cover lot ground walk ! one complaint lack room service . menu exist within room information pack however rang tell not provide room service . never find whether temporary problem , either way though think hotel remove information room . nonetheless many restaurant / bar nearby fine . must however go upstairs restaurant look view ! would recommend hotel ? yes ! yes hotel not Hyatt unless be prepared pay price not grumble , can not expect pay 3 * price receive 5 * room ! ! ! leisure holiday really not spend much time room , either way suited requirement . spend couple night in / near Times Square glad not stay one hotel crowd noise unbelievable ! be look hotel offer comfort want avoid busy / noisy environment big name hotel hotel . 
 Jul 16 2008 	 exceed expectation 	 stay girlfriend June 10 night . got great deal hotel booking website . hotel nice modern , clean polite helpful staff . the hotel also great location . 's 20 minute walk 5th Avenue couple block near subway ( Lexington Avenue ) .during stay used taxi , get dock boat trip . we could walk major attraction , although maybe hour walk ( Empire State Building ) .The concierge David helpful recommend speak concierge start stay help make time get everything want do . our room nice , upgrade suite upon arrival . great panoramic view local area , include cable car opposite . one thing like slightly away city centre 's go 24/7 , nice get good night sleep long day foot . overall would highly recommend hotel anyone . 
 Jul 14 2008 	 Nice Convenient Place Minor Issues 	 good friend stay Bentley birthday vacation . stay week . hotel unassume outside . take cab shuttle airport hotel , first think vehicle pull probably , & quot ; huh ? be ? & quot ; Bentley locate next gas station animal medical center . neither establishment detriment atmosphere hotel , though . inside , lobby bright , clean , hip - looking . one side lobby cappuccino bar . online , bar feature 24 - hour cappuccino bar , go coffee middle afternoon , unattended coffee available . bar mean fancy cafe ; rather , not much espresso machine . staff generally helpful bag might . housekeeping hit miss . tidy room every time , addition change sheet , several time , remove dirty towel not leave we entire set clean one . two we , one point , wash cloth one bath towel . one morning , maintenance knock door least three time ask come change mirror ( switch identical mirror ... ? ) , last time , not answer quickly enough , guy barge quickly apologize saw still occupy room . room nice , air - condition . bed comfortable , ample pillow . bathroom fan , believe lead mildew mold shower . water drain tub quickly , shower take ankle - deep standing water . water get warm enough shower , never truly hot . view 10th - floor room nice , overlook river high - rise building give place & quot ; big city & quot ; feel . last day , doorman offer driver take we airport , not free , save we good amount money versus take cab shuttle . , Bentley fine be spend time explore city , even want lounge around room bit . spend good amount time room , enjoyable comfortable . might discover hotel part city , would not mind stay Bentley . 
 Jul 8 2008 	 Adequate NYC 	 stay 1st 4th July Bentley . plush room , place . want comfortable bed reasonable price Manhattan , ! ! , reason go NYC see sight , inside hotel room . end tiring day , want good night 's sleep clean comfortable environment . get . I still indulge filthy habit call smoking room 16th floor ( smoking floor ) . brother one floor land clean air 17th . room incedilbe view Queensboro Bridge , Roosevelt Island Cable Car ( remember Spiderman ? ) beyond along East River Brooklyn Bridge distance . great . the hotel show age room need refit . however , bed really comfortable spotlessly clean entire hotel . bed bug contend ! ! room basic good ( though aging mention ) , need , fromminibar , hairdryer , iron keypad safe . the major complaint AC room , other mention . nowhere near efficient NYC summer temp humidity . the Lobby cold place entire hotel ! great rooftop bar , not try restaurant reading review , go instead local diner great value money breakfast . preferred eat lunch sightseeing evening meal Little Italy Chinatown .. part experience . staff great , doorman Samuel Francisco front desk , willing play joke . part experience find place friendly . neighbourhood quiet , regardless folk say , guess need high room avoid traffic sound . 16th 17th floor high enough . however , NYC would not NYC without constant buzz ! ! ' m go stick neck 4 star enjoy stay price pay . suited pay , would expect . not not ! ! must add , usually 5 star GT go hotel , find Bentley fine want trip ... close enough get sight pay 5 , 6 700 buck night process . 
 Jul 8 2008 	 Budget brilliant 	 stay hotel number time perfect explore one world great city modest price tag . clean , staff friendly , always seem get upgrade long ask view great . clean modern stylish - if someone else pay , yes i d choose Hyatt Regency money hotel suit we fine - it amuse people complain amenity , facility lack thing hotel New York City ... anyone fortunate enough go , usually barely night time essence hotel merely somewhere finally grab sleep , shower , change leave shopping bag end long long day night hit sight early next morning ! ! great hotel , great location , great view , great price ... 
 Jul 6 2008 	 great time ! 	 book Hotel July 4th . great time ! shower well ever hotel . front desk helpful , room upgrade great ! subway little bit walk hotel . plently restaurant movie theatre area . right top East River , beautilful . room water view . there roof - top bar restaurant , also . enjoy would go back . also get good $ $ rate Hotel . 
 Jun 25 2008 	 room nice amenity good 	 stay hotel due close proximity ( walk distance ) NY presbyterian hospital working . room nice air conditioning work well . restaurant close first two night dinner notify annoying since tired . room service breakfast available though believe list hotel description . wireless internet include price though room price great NYC summer ( $ 245.00 ) . internet slow . take cold shower one morning realize take 15 minute heat water lukewarm temperature . breakfast expensive restaurant continental breakfast stale pastry . coffee delicious . would recommend walk block diner breakfast . would recommend dinner deliver can not go .. receive wake call first night . overall room clean comfortable large NYC . view nice NYC easy catch cab . stay due convenience walk hospital unless locate something else within walking distance . 
 Jun 23 2008 	 good value good service 	 book hotel back good review fact price 30 % less equivalent hotel midtown . book hotel make trip number poor review turn site therefore trepidation ride Newark NYC.I need worry - greet - middle thunderstorm torrential rain - friendly efficient staff give we complimentary upgrade junior suite 20th . floor - request room good view exactly . plenty space , clean comortable bed , everything work bathroom . we know advance centre location day busy tourist New York actually rather relax walk 10 - 15 minute ( downhill ) back hotel subway ( taxi use reasonable alternative two people ) feel preferable noisy ( ) expensive midtown option consider . the location gas station hotel minor feature take 24 hour realise . slight niggle would fact _ some _ traffic noise ( , hey , Manhattan - expect ? ) , closet space little limited , lift could slow arrive busy time air conditioning rather noisy first flush youth . not use restaurant can not comment Ritz Diner 1st/62nd great breakfast plenty good place dinner 1st . 2nd . Avenue North 63rd . also try Alice 's Teacup ( 64th./Lexington ) Lewis Carroll experience . all Bentley exactly say tin represent excellent value money . would certainly stay . 
 Jun 19 2008 	 disappointing 	 Bentley classic example overprice hotel try use veneer hip decor camoflauge shoddy construction deflect attention away fact desperate need repair regular maintenaince . lobby , view East river room , proximity eastside , friendly helpful doorman , fluffy towel & amp ; quality toiletry , ample use natural stone nice amenity one would expect pay $ 300 + per night , positive feature stay . lobby look like something trendy magazine , not let fool . check , woman work front desk take forever check we due trouble locate reservation / billing info . not mind wait much , incompetent keep we dark initially problem not give we kind indication step take rectify situation long would take . not even try look like act like try get problem resolve . seriously need customer service 101 training . seem completely clueless treat customer not appear know do . it 85 degree throughout entire stay NYC . get floor , like sauna temperature room not much well . ac full blast entire time barely air come . complain twice front desk ( also complain inadequate outlet -- see -- avail ) nothing ever do fix ac not able change room . front desk staff never even follow complaint let we know status complaint -- say might try get facility person look , never hear anything else . end take several cold shower day time would get showered morning , make hair , would get hot room would sweat make start pit would feel compel shower cool get clean get dressed go . day hot room outside . miserable . little thing like faucet handle bathroom break , fact outlet room would come wall try plug anything try plug anything . . .you would not get electricity , use hairdryer short period time turn would not able get turn back several minute , towel rack fall wall ( reason we hang hand towel ) , tiny , cramp bathroom , lack operate bathroom fan , fact make guest pay internet service even pay follow convoluted step get online , still not work . 's stuff piss . . .like fact can not put anything fridge will get charge -- even aggravate desperately want store cold water bottle room freak hot , even jostle pick food beverage basket mini bar item ( long 20 second ) will get charge item even not consume -- course probably will not realize be charge ( like husband jokingly pick bottle liquor not read fine print card , notice 20 second charge rule , bury basket 21 second later ) . oh , forget mention will need budget 10 minute schedule wait elevator press elevator button ? last least , need Bentley staff hold bag storage room check , make sure luggage actually make storage room . go check bag staff person tag bag tell leave . get really distract another employee guest say need take elevator different floor deal something else would back put bag storage room . assure we could leave go sightseeing bag would fine . flabbergast bag park adjacent front door guest come . one attend bag front desk staff preoccupy ( 10 foot away ) help guest . apparently not seem care whether bag get steal . really adament leave worry bag . firmly tell not leave bag get put storage room . seem annoy we . , would not disappoint not pay much room . poor service quality room would ' ve easy tolerate pay $ 70 - 80 per night . $ 300 night , unacceptable . suggestion : look elsewhere . 
 Jun 17 2008 	 reasonable value hotel 	 reasonable hotel price . concierge desk , maid hotel porter excellent , find main desk staff unhelpful time . the room clean tidy , bathroom . roof restaurant small eat lap sofas use . 3 lift slow arrive too . no coffee / tea facility room , set corner main lobby . though litter center would like , taxi fare reasonable nice walk Central Park , Bloomingdales two Metro station Lexington Avenue . 
 Jun 7 2008 	 Cheap New York 	 book conference thankful stay one night . property pretty worn , like motel 6 ' ve try make look like w hotel shoddy result . 20th floor room look Queensoboro bridge filthy window . room large clean , worn sort 60 style refrigerator stove contraption smack space . bathroom sink would drain water pressure shower . staff friendly helpful direction . would stay . 
 may 24 2008 	 poor service 	 stay hotel May 08 . bathroom leak water soak room . personal effect wet . although change room , hotel admin keen reimburse appropriately , say hotel policy ! ! write ' operations'manager - least give email address - response email ! ! really poor management training attitude ! also , expensive location . internet business centre . 
 may 22 2008 	 Nice need TLC 	 room large new York , find noisy thing room work despite report . 
 May 20 2008 	 Bentley exceed expectation - around ! 	 be hard tell kind experience New York City hotel mediocre website . sure expect really nervous boss another colleague also book . great news ! love ! fall love roof top bar staff food ! Byron Steven , bartender make everyone feel special right home . limit menu everything fresh cook order . view breathtaking also . guest room comfortable , street noise ( 9th floor ) . bathroom large expect excellent lighting amenity . mini - bar stock well reasonably price . especially like espresso machine lobby . General Manager introduce pleasure . everyone smile hotel ! 
 may 19 2008 	 good value 	 get last minute room New York 5 day consider fortunate end Bentley . even though last minute , room rate receive competitive class hotel . staff member pleasant service receive consistently beyond expect . 20th floor room clean quiet fabulous view bridge Roosevelt tram . problem plug drain take care immediately iron short replace quickly functional one . side , one ice machine 1st 2nd floor guest hotel . many & quot ; design dime & quot ; type decorate touch -- successful other . carpeting furnishing throughout little worn , fray and/or stain . upper east side location convenient bus subway several good restaurant within walking distance . one good meal Angels ( pasta ) locate next nearby 24 hour Ritz Diner . overall , consider stay Bentley positive experience . 
 may 15 2008 	 's ok great 	 say ? bentley ok , certainly nothing write home . Upper East Side , close Rockefeller University , quite hike downtown NY . room perfectly ok , bed comfortable , though desk proper desk chair work comfortable ! coffee / tea maker room pain ( think every hotel provide ) . safe room . wireless internet ridiculously expensive , quite hard connect ( though PC would pick dozen ' open ' network range- would advise use though ! ) . lift slow arrive . drink / ice dispenser floor - close one order ! breakfast room / bar top great view , breakfast basic expensive . easy get cab street outside . plenty bar , restaurant etc within couple block - recommend Baker Street Pub one block away - 1st Ave 63rd St - friendly bar / cafe show live sport ( include Premiership ) many screen . 
 may 14 2008 	 helpful - Perfect need 	 need place stay city family member surgery Sloan Kettering . hotel could well locate , helpful . book last minute explain situation get well rate originally quote . staff helpful town short stay East Side City people . kknew right place grab quick breakfast , fast dinner good price great taste . will definately reccommend Hotel anyone need East Side . 
 May 9 2008 	 Quirky great value 	 one night business trip . entire city book rediculously expensive , NYC day . Booked bently one hotel available . little way river east side , technically midtown , much . the hotel lobby quite chic stylish . service front desk friendy excellent . hotel old , room big , well appoint , bring strange part feedback . hotel actually quite nice , include well appoint bed linen , flat screen tv , etc .. two table room beat - on scratch , like leftover pre - redesigned decor . tiny bathroom old fixture , plug drain . strange disconnect rest experience , quite nice . if consider price , not mind location , hotel fantastic value . 
 May 7 2008 		 Bentley far remove everything want ( Greenwich Village , Circle Line , restaurant ) age well . furniture room tear , carpet dirty bed concave . business center , even allow use Concierge 's computer . nice view bridge easy get taxi . bar nice view also , limited menu . 2 3 elevator work . dark hallway . will not stay . 
 Apr 23 2008 	 worth look read 	 hotel good respect , staff efficient friendly , room good state decor begin show age - batter paintwork , gap tile bathroom etc , aircon / heating unreliable . restaurant area big let , space & amp ; location building could turn something quite special instead random collection chair table , lack atmosphere & amp ; character hence desert meal time , cost self service buffet breakfast probably put people - real shamelift slow arrive . the hotel location fair , room suffer badly traffic noise FDR / surface road / Roosevelt bridge , be smack middle on / off ramp FDR ( 6 lane highway ) - constant drone . fuel station attach building , not cause problem create extra traffic obligatory horn honk good reason . subway brisk 15 minute walk away , 59st Lexington good option take train mark R W get centre main activity . there fair number place eat locally , breakfast Ritz diner serve we well , $ 5 scramble egg , bacon , smash potato & amp ; endless coffee value money good service . overall hotel good problem , hindsight would probably try hard get close central park & amp ; south , walk take especially wait every crossing . also buy MetroCard , buy 7 - day unlimited card $ 25 - great value & amp ; use bus . auto - vend machine not like UK credit card , cash debit card fine . be wary Gray - Line hop - on hop - off tour $ 40 , bus infrequent , & amp ; hop - on point obvious . 
 Apr 20 2008 	 impress Bentley 	 ( wife ) book Bentley seven night business / shopping / siteseee trip New York . recommend we previous visitor also seem low cost hotel NYC get consistently good review Tripadvisor . we fly Newark get thoroughly rip Airport taxi ( 60 buck , plus & quot ; toll & quot ; toll come nearly one hundred dollar ! ! ) . hotel arrange we car go back less half cost , be worth give call see pick ! hotel locate Upper East Side , right Queensborough Bridge . 's bad area , hotel right busy road - 's well worth ask high room get avoid traffic noise . 20th floor fine . one last day move we suite 12th floor much noisy . everywhere NY busy , likely apply hotel . room excellent . clean , comfy bed , big chair , LCD tv nice bathroom . great come back busy day . suite get last day , although big , really offer extra would keep money - standard room fine . reception efficient staff friendly polite - complaint . one problem ; hairdryer break came fix within 5 minute call . not eat can not comment . like everybody else go Ritz Diner breakfast really good . be locate one block E62nd street corner 1st - seem expensive menu weekend reason . be also great pizza parlour around corner next Dangerfields & quot ; 7 - 11 & quot ; round corner . nearest subway either 51st Lexington ( next Bloomingdales ) track towards Brooklyn Bridge Central Station 63rd Lexington Midtown . 10 minute away . advise would get subway map ( ask subway ) ticket last stay . walk drop New York get familiar subway make difference ! ! 
 Apr 10 2008 	 Liked Bentley 	 stay Bentley February 3 night good experience . reception : Cold Efficient . arrive pretty late , reception staff particularly friendly highly efficient . room : stay 21st Floor . amazing view ny room comfortable spotless . location : hotel approximately 15 minute walk away nearest subway stop . Taxi Times Square cost approximately 10 dollar bad short break not want waste time travel . cost perspective hotel excellent value consider location . parking : underground parking beside hotel , make sure get ticket validate reception leave . overall would stay visit New York . ideal place see Central Park , Museums etc . reasonably close 42nd street low . 
 Apr 4 2008 	 ! ! ! 	 first , room dirty ... furniture chip , damage look old nasty . rug dirty furniture sticky kind substance . suite ! informed front desk clerk , informed front desk manager bring entire hotel management staff ( like 7 people ) room ( along housekeeping manager ) confront situation - front we . think UNPROFESSIONAL TACKY . hotel GM class ! many staff rude ... vocally unhappy change upper management new ownership . one seem know go ! , good part -- -the rate we stay another 2 night 499.99 night ! ! ! get joke ! also , & quot ; cappuccino bar & quot ; state ad , charge small fortune breakfast buffet , cereal fruit ! people ... town 1000 hotel , well choice ! mention , attach Mobil gas station ! ! ! 
 Mar 30 2008 	 great hotel ! 	 stay Bentley three night 15 year old son . hotel clean , cozy . service great . we pass breakfast buffet , $ 16.95 order menu , unless starve think expensive . walk Subway 59th / Lexington 15 - 20 minute , safe neighborhood day late night . we pay $ 215 per night Hotwire , please . we go get room 2nd floor read would noisy request high floor go 1203 , great . thank previous review , would gas station . 
 Mar 11 2008 	 far centre quiet 	 hotel rather far centre quiet residential area . nice restaurant far , 20 25 min . walk Fifth Avenue , $ 12 cab ride theatre district . close subway 10 minute brisk walk . it fine 3 star hotel : bed comfortable , nice duvet . bathroom modern efficient . microwave room - heaven know ... major drawback climate control : a / c unit allow air exchange outside turn heat ! room face east , get stiffle hot day stuffy night . go a / c turn summer ! ! ! breakfast nice : fresh fruit , fresh pastry , good choice natural cereal , excellent coffee . staff nice fix 2 elevator 3 not work , climate control ... 
 Mar 5 2008 	 Good NY base 	 arrive girly shopping , sightseeing break Bentley New York happy accomodation . the room spacious , clean great view - rooftop restaurant bar lovely - spectacular 360 degree view Manhattan beyond ! ! reception friendly - thing like light corridor dark - care do not spend time corridor ! ! ! although hotel quite away main attraction area - 20 min walk central park lovely sunshine - new york everything far away ! ! ! walk , get subway hail taxi part enjoy experience true new yorker ( remember smile - haha ! ) ! although look nightlife - seem anything around hotel ! 8 am - 10 pm shopping see sight tired party - hotel perfect ! though see broadway show - must ! ! ! 
