small 	 read negative review website , decide upgrade arrive hotel . upgrade standard double en - suite executive double en - suite cost we £ 15 night , well worth money . explain standard room small , room little bed . upgrading get small , rather nicely furnish bedroom , high double bed ( wooden carving India style ) , room underneath stack suitcase . tv , big indian wardrobe , desk . big window face Trebovir Road . bathroom small , nice tile wall nice equipment , clean ( ! ) . first morning breakfast room full , decide breakfast local cafe instead , next two morning eat hotel . breakfast good plenty : roll , bread toast , croissant , muesli , fruit , cheese , coffee , tea , juice , milk ...... service also good . room ready arrive leave luggage foyer , return , luggage hade place room . next morning discover electric kettle clean ( probably early guest warm milk something ) point , kettle change immediately . some reviewer complain room size . quite agree , everything hotel tiny . web side photo almost real size photo ! tine reception , tiny room , narrow staircase , be plan spend much time hotel , serve need . location convenient : 1 min Earls Court underground station .. 
 Mar 22 2008 	 mayflow hotel 	 partner book standard double room two night . friendly staff , nice warm atmosphere reception area . one lift share staff small . sack laundry lift walk three floor room , must warn alot step walk ! room pretty standard , quiet small impressed cleanliness room . shower room luxurious must say much impressive room . problem 's shower room shower curtain / door floor get wet . also ventilation / air con shower room humid . room wall quiet thin , partner difficulty sleep hear room door slam , also awaken train outside . loss power first night except light strange sorted follow day . little dissapointed breakfast be not much choice . would recommend hotel , would advise book executive suite . 
 Mar 20 2008 	 ok 	 good thing hotel 's close Tube station numerous restaurant pub . area around hotel relatively safe . also , bathroom brand new clean marble tile . the problem room . feel much like college dorm four - star hotel . deal small room . room Mayflower feel uncomfortable . wood floor looked like need clean . furniture wood paneling look cheap . old sheet bed hole it . the staff nice part . , unfortunately , can not justify cost room quality room . probably will not stay future . 
 Mar 17 2008 	 good value convenient tube 	 hotel convenient Earls Court tube station Exhibition Centre . stay three time weekend break London find , although room small , clean comfortable . good breakfast include price room make package good value . check special offer January February . we ask room front building tell train make back room rather noisy . get noise road overcome earplug . also suffer noisy neighbour room not particularly well sound - proof . live quiet area , particularly sensitive noise ! always find staff pleasant helpful . remember see lift suggest anyone walk problem ask one booking stair quite steep narrow . 
 Mar 16 2008 	 climbing practice ! 	 easy disappointed hotel room London . mayflow promise something little different however , disappoint ! furnishing quite luxurious oriental two major gripe . firstly little room around bed . good job pay bit delux room difficult enough get around . cheap room must even cramp . secondly bed unusual uncomfortable . sheet single blanket top heavy quite stiff bedcover . uncomfortable night follow . I will try . 
 Mar 10 2008 	 never 	 stay hotel one night let tell enough . sure type room stayed definitly deserve call room . small room ' ve ever see let say big average size would problem move around room . the earl court tube station directly behind room . train stop approx 12 am start 5.30am . bed really uncomfotable imagine get hardly sleep . not bad hotel clean around corner tube station worth £ 99 pay . 
 Feb 20 2008 	 Mayflower Apartments nice good value 	 last month ( Jan. ' 08 ) stay Mayflower Apartments one bedroom flat next door hotel . clean , nicely design , comfortable spacious nice bed well - equip kitchen . stay nice experience , book February . check time , surprised walk way Trebovir Road , Warwick Road , past tube entrance flat hotel also manage . ground floor flat also lovely ( although small - studio ) - nicely design , wll light , comfortable . double bed twin push together comfortable none - the - less . full kitchen nicely equip well organize . bathroom beautiful well design . the negative aspect accommodation front building right Warwick Road , consequently noise night ! light sleeper , would happy . we happily book hotel would likely request different flat . 
 Feb 19 2008 	 lovely hotel 	 hotel good price . although small room compare hotel worth money . room clean , bed lay everytime leave room fresh towel two day . £ 96 / per night good deal . downside stay bed , although big two bed push together make uncomfortable come sleep night . breakfast serve early nice range suit everyone need . room third floor hardly hear noise train station round corner . I would definietly visit mayflow hotel . 
 Feb 18 2008 	 Egg bacon sausage bean mushroom 	 hotel fine except individually theme room individual standard holiday inn room example ( not live picture web site ) . bed really appropriate cold February night one thin extra fleece blanket provide two bed not enough . although state breakfast quite basic continental . all clean , bright modern ( ordinary ) staff helpful friendly . could probably stay comparable hotel good night sleep warm bed follow full English less money . 
 Feb 12 2008 	 Nice hotel 	 Nice hotel . good location ( 2 - min walk metro ) friendly staff , Buffet breakfast , good quality . Room newly decorate , beautiful . see different room different style , let us see whether good luck not.rate GBP79 per night . worth . 
 Jan 12 2008 	 Big Small stuff Handy everything ! 	 hotel really amazing deal London ? 75 / per night ( book online ) . stay twice continue use recommend Mayflower . hotel part chain London , room small , ' beat price ( include continental breakfast ) amnesty . stay hotel four night business trip September 2007 holiday July 2006 would recommend anyone seek deal ' want sacrifice much . american standard , room bed small , consider current rate exchange pound US dollar , bargain ! September , stay one front room face Trebovir Road , two twin bed fairly roomy hotel . room come ensuite bathroom ( necessarily available many small hotel ) follow amnesty : free wifi , hair toiletry , kettle . room July single , queen size bed ( ensuite bathroom ) face back yard area rail line , although neither train street really noisy . also hear door open closing hall , hopefully hotel ’ guest considerate . ( although used ) hotel also provide guest theater tix , secure parking facility temporary membership local gym . stay London , hotel also offer temporary apartment . the downside desk area quite small room lighting need bright one go work computer read . one major downside room air conditioning ( fairly typical small London hotel ) get quite steamy . fan ( room ) ability open window help ( although fair disclosure , stay July , hot day ever record history London ! ) . sure draft - proof room either weather get cold . the hallway elevator ( lift ) tiny , make difficult navigate large luggage piece , elevator small hotel quite luxury ! lounge room small juice bar , large airy breakfast room ( basement ) , outdoor seat small backyard . ' carry wifi enable PDA laptop ( consider lucky ! ) , access internet free computer lounge short period time . Breakfast serve early , ' plentiful many fruit , yogurt cereal , bread , juice ( view breakfast menu hotel ' website ) . eat much like ! fee , get traditional ( cook ) breakfast . local pub grub indian food abound ( fancy restaurant afield via cab tube ) . Trebovir Earls Court intersection Gourmet Burger Kitchen original Kiwi flair food attitude evident burger combos beetroot , egg pineapple , go black ! sticker . couple small grocer Earls Court Road stock room snack , visit Marks & amp ; Spencer ' Food Hall ( 113 Kensington High Street ) , really unique , eat experience go Babylon Roof Gardens lunch dinner ( 99 - 121 Kensington High Street , tube : Kensington High Street ) .If arrive crack dawn overnight flight ( many NYC ) , check early room available and/or drop luggage plan . conversely , also hold luggage check late flight . easily take tube local bus ( even walk Cromwell Road various side street want stroll ) posh shopping area Knightsbridge ( Harrod ' ) Chelsea , visit many museum South Kensington . the hotel literally around corner Earls Court tube station , highly accessible London ' Underground ( locally call tube ) system . ' come Heathrow , take slow Picadilly line train Heathrow tube station ( terminal 4 ) Earl ' Court save pound purchase off - peak 3 day Travelcard zone 1 - 6 £ 20.00 ( also use London bus flash bus driver ) . tube unwieldy map way reflect street London , go sight see travel place outside normal tourist zone , favor buy A - z booklet street map ( almost every newsstand one ) . even friend live London walk around one ! 
 Jan 3 2008 	 great location 	 George family ScotlandWe return nice trip mayflower . the hotel well place get tube Heathrow . just round corner Earls court tube station , tube busy Earls court Heathrow problem case . tip- : child 18 pre - book oyster card tube , send photo kid pick Heathrow tube station . save small fortune . we never tube 6 day cost around £ 70 4 we . we get family room ( b4 ) 2 adult 2 child 17 + 14 ideal need , 2 double bed , well decorate lovely bathroom great shower . Room clean every day fresh towel , free shampoo , gel , body lotion etc . the continental breakfast ample , fresh fruit salad go well woman . the waitress always hand restock . be aware want cook breakfast pay extra . we able leave luggage hotel last day late flight , enable we extra day shopping ( husband beware ) .I read early review staff helpful . well stay 5 night find staff friendly always eager help . I would book without problem . 
 Dec 14 2007 	 good say 	 first review think write one right contribute since read people 's booked hotel . I stay Mayflower Hotel Earls Court , London . read reviews hotel website think quite negative . stay 3 night think staff friendly helpful . hotel 1 minute walk Earls Court tube station . good thing Piccadilly Line fly Heathrow tube line , do not even need change helpful . hotel zone 2 actually far central london . around hotel quite restaurant supermarket convenient . find room clean tidy . downside room small think mention review London ! ! think people high expectation . , want big room savoy that s £ 400 night . continental breakfast good . search somewhere stay london money pay stay Mayflower range 6 bed hostel hotel share bathroom facility . think far good location . 
 Dec 9 2007 	 convenient location shame service . 	 & quot ; upgrade & quot ; apartment , despite fact would specifically book room . first night hot water shower . reception inform we could not reach maintenance come back morning . morning run water . Reception inform we could not change room could use another room shower . manager keen point whole street water , although interestingly hotel ( street apartment ) unaffected able shower room lend we ( clean guest vacate we use ) . point anybody come apartment check water . hotel nicely decorate , although apartment entrance tatty rip carpet miss battery smoke alarm . breakfast nice well stock cutlery premium . 
 Nov 14 2007 	 amazing ! 	 book laterooms.com , go well price advertise 4 * . website look lovely modern , fear would not live picture . well , , . nice road , barely minute Earls court station , good resturant supermarket . walk modern receiption enclose beautiful wooden frame . staff friendly nice show room . room 8 , small , small cosy , issue tv placement wall squeeze past get side , ; modern , clean comfy . not lift room , basement one room ( luxuary room look amazing ! four poster bed , work ... ) lift would bit unnessesary feel , although seem lift part hotel . the bathroom awesome , possibly big good shower ever , must 4.5 foot square least , marble massive mirror , lovely . slight rumble tube basement , much nice traffic do not seem happen much . the rest hotel clean tidy , free wifi well computer site use coffee bar , also comfortable sofa ever . complementry breakfast usual affair , cossiant jam , cearal , tea coffee rather nice dining area . look though outside courtyard I m sure would lovely summer november less appealing , mostly due cold rain . possibly favourite hotel far . 
 Nov 4 2007 	 room location 	 partner recently stay two night Mayflower Hotel Trebovir Road Earls Court . it be literally three minute walk Earls Court Tube station sit beautiful Trebovir Road leafy exclusive . check in / out experience , friendliness staff etc not really relevant type review opinion . unless be rude reason not all . we book ' superior double room ' however , size room , small . superior double would not like non superior . extremely small bathroom pretty nice fair . our room two double bed not really adequate enough sleep two adult uncomfortable . second night sleep bed could stretch bit . room design sleep four adult . will tell would not like party four room . unfortunately room back onto Earls Court Tube station cause constant noise . tube run around 6 am midnight . however , tube stop night maintenance work start . noisy double glaze slide - able window poor job keeping noise out . this hotel may tick enough box make four star , certainly not meet expectation would expect four star hotel . amenity , not serve hot food , room service , health facility , generally small . it serve continental breakfast ( not include £ 100 per night room fee , £ 15 extra roughly ) oblige star status . not cook option evening meal dining option ( four star hotel ? ) continental breakfast nice , however orange juice clearly water quite bit second morning breakfast . be poor . we ' ve stay five star accommodation Edinburgh ( Scotsman ) price mayflow ( £ 100 per night ) place like palace compare Mayflower ( yes , know London ) .The next time girlfriend go London be consider budget hotel go pay breakfast . tube service good quick matter actually stay Zone 1 Zone 2.after reading review seem experience stay Mayflower decide entirely room stay location within hotel . not really expect £ 100 per night ? two star hotel hide beautiful building , beautiful street ' lottery ' room allocation system . People & quot ; loved & quot ; & quot ; excellent & quot ; & quot ; value money & quot ; hotel , would suggest easily please indeed . 
 oct 9 2007 	 nice room great location 	 friend homework / research , read review , ask question , etc . find advance well room locate within hotel really help prevent disappointment upon arrival . yeah , get cheap room 54 pound ? top floor ( hot ) , overlook tube station ( noisy ) . get pay . London , . 105 pound get luxury room ( mine balcony ) front hotel , first floor . check , suppose one room available friend give Pasha Suite , next door , street level , spacious suite kitchen king size bed ( price luxury room ) . accommodate we . room nicely decorate , although think could put little money plusher mattresse pillow , still sleep well . lift rather amusing due tiny size , least work . location excellent . every day walk Earl 's Court Road shopping , dining , anything need short walk away , include tube station around corner . not take avantage continental breakfast include room enjoy sleep bit not serve 9:30 . find several restaurant / pub nearby serve good full cooked breakfast 5 pound . overall , enjoy stay Earl 's Court Mayflower Hotel . 
 Sep 12 2007 	 nice room ! 	 stay main hotel three night weekend , several work colleague whilst attend exhibition Earls Court . from comment colleague , would seem good room ( maybe make main booking ? ) . room ground floor obviously decorate . really nice plasma screen , bathroom lovely , decor great bed really comfortable . on negative side , shoulder bedroom door open close ( new floor lay door need adjust do second day stay without say anything ) , waste bin room phone . phone prove bit inconvenient first morning could get shower work get dress go reception ask someone look . we , manage understand it . my room back hotel tube station behind honestly say noise not loud comfortable bed , certainly not keep awake . I fault front house staff , friendly extremely courteous . breakfast room staff could smile would welcome sight morning ! 
 Sep 6 2007 	 somewhere never want stay . 	 mayflower apartment 22nd 24th June 2007we arrive London 22nd June 07 . book accommodation Travel Agent New Zealand . what book describe Superior Two Bedrooms MAYFLOWER APARTMENTS26 - 28 Trebovir RoadEarls Court London , ENGLAND . book Mayflower Apartments point inform us accommodation road apartment . we walk 50 mtrs drag luggage apartment . narrow staircase wear carpet part tape put place hole . finally top ( 4th floor ) enter apartment 1st bedroom queensize bed , lounge see next bed push alcove 45deg attic roof surround three wall . mean person far side bed either get person get bed could get , roll top . totally unsuitable we two member group medical condition would prohibit climb steep staircase try roll another person bed . we go back office luggage tow , request another apartment reply none town fully book tennis . point ask refund also refuse . they instruct representative business ( cleaner say ) go back apartment , two group go . point discover apartment inhabit long term resident satisfactory . the remain two office retrieve voucher ask could try find we accommodation , answer no . we ask could ring we taxi answer . I wonder would well reception tell fact Moteliers New Zealand . appalling way people accommodation business treat overseas guest , poor opinion people London . ask anyone meet stay London certainly tell stay . David & amp ; Jillian Griffin53 Meeanee Quay WestshoreNAPIER Phone 64 06 8357566bamboolodge @ callplus.net.nz 
 Sep 3 2007 	 good london 	 check average , overly friendly staffwent top floor twin room tiny lift.very clean modern London standardswent get shower shower gel soap , . rang reception ask , lady tell room . well room not . reluctantly come give we small shampoo shower gel bottle . arrival room , walk straight bathroom check . think must think steal find offensive barge not ask could look . hieght rudeness ask ! ! ! ! ! ! hotel go seriously estimation that . as top floor heat room unbarable ! air - con small attic window . breakfast good London hotel . location 3 minute walk Earls Court tube . good location . overall , + ve = good location , good breakfast , clean good value money pay £ 54 altogether twin room breakfast.-ve = poor customer skill staff , . need learn smile ! aircon therefore get hot nightwould probably stay reccommend hotel nice london price ! ! ! ! ! ! 
 Aug 31 2007 	 Loved Hotel 	 great small hotel . love hotel 's location ambience . small boutique hotel clean friendly . room newly remodel everything spotless . room overlook tube station , train run night quiet . complaint room warm keep window open . breakfast much well expect -- everything expect prepare fresh . definately stay . 
 Aug 29 2007 	 overrate - 2 star hotel 	 book pay extra get executive room , hotel tell we much big standard room . still pitifully small , barely enough room move , although see much big room . ask could move one big room , staff simply interested . service non existent , lift small one person could get suitcase . 3 family stay 2 night , none we would go back . positive could give bathroom , modern London standard , although quite small . altogether disappointing experience . later stay Victoria Park Plaza near Victoria tube station cost , difference amazing - really nice hotel . 
 Aug 15 2007 	 mayflow great value 	 stay one Maylower apartment actually opposite Earls Court ( handy Beer Festival within ) . apartment great - especially bathroom . only downside traffic noise main Warwick Road - nothing earplug could not solve . in , good value money London . 
 Jul 21 2007 	 good location value 	 find Mayflower via australian magazine review look place London affordable could house 2 adult 3 child together ( vs separate room ) . give separate apartment separate building 4th floor . 2 bedroom , separate bathroom , kitchen large lounge room . quality finish cleanliness average , price excellent London . really 4 minute walk Earls Court Tube station family meal home laundry . we outweigh lack quality furnishing tear carpet . may sound negative place great location fantastic value need 2 bedroom place laundry kitchen facility London . unless win lottery would stay . 
 Jul 13 2007 	 lush bathroom 	 stay Mayflower Hotel first time 2 night early month booking via hotel reception direct . £ 99.00 p room p night breakfast quite reasonable give location decor hotel . interior high standard enter reception area appear lot small time put room sort behind reception area . staff friendly accommadating always smile London RARE ! ! tell room ready third floor wait ( & amp ; wait ) small lift take we luggage stair . lift tiny ! ! room pleasant nice & amp ; clean decor two window face main road . bar / club nearby noise tollerable really expect noise middle London . shower spacious bathroom nice clean lovely tile . tv do not work bit entertainment crackly radio teasmade machine I m really one stay watch telly anyway ! ! ! negative would lack love show rear courtyard / patio area look sad plant die . courtyard could lovely feature hotel . peered fence next building notice grand landscape garden make hotel 's look lot bad . breakfast room pleasant lot cerial , roll , toast & amp ; juice . cook breakfast extra , fair enough . go Ivy lunch anyway do not want much breakfast . check staff friendly let we leave bag whilst go bit shop . overall hotel handy I ve walk past past & amp ; often think stay . would stay sure . 
 Jul 8 2007 	 Good Value Money 	 find hotel far beyond expectation due negative review read beforehand . find staff pleasant accommodate . room gorgeous nicely furnish , perfectly fit need . bathroom stunning shower properly function contrary report hear . thoroughly enjoy stay Mayflower would definitely consider return . 
 Jul 5 2007 	 warning : send different hotel 	 book hotel look nice review good . search find good price couple website . so show , impressed appearance hotel . photo seem do proud . easy find tube etc . I pay money wait key . and guy say & quot ; be actually stay hotel . hotel 100 yard road ... & quot ; say & quot ; ok ... & quot ; , think go one apartment something . turn dingy 2 star hotel road . it seem overbooked . ask hotel said not affiliate Mayflower , kind thing often happen . event overbooking 2 star hotel sometimes take booking mayflower . after couple complaint hotel night , go bed exhaust . next morning , manager Mayflower deal complaint give voucher one night 's free stay . would prefer original booking honour , satisfied enough manager deal case . 's decide want risk ..... 
 Jun 30 2007 	 well do mayflower 	 , mum step - stap stay four night mayflow one appartment love ! ! ! spacious clean , appartment clean fresh towel leave every day bed make . location ideal two minute earl court tube station . problem find noise train leave come station locate directly behind room ... nothing ear plug not fix . staff friendly do not need make one complaint . would go back . 
 Jun 6 2007 	 Good Value 	 stay one night pleasently suprise book London bit hit miss . location great , around corner tube station Earls Court . handy number cafe , resturant small supermarket night bus route . room small everything would need couple night stay . sound tube could hear every not disturb we I m light sleeper . breakfast continental fry provide pay extra weather good sit terrace . overall nice place stay . 
 May 18 2007 	 good value money 	 stay Mayflower Hotel Monday 14th May one night . mayflow one well hotel immediate area . negotiate price £ 55 night c / breakfast . room clean albeit quite small . functional small tv room access Sky news . bathroom good shower work efficiently . staff polite . particularly enjoy fruit bowl breakfast . hotel ideallly place hundred metre tube station . quite restaurant bar immediate area . get room £ 75 would suggest represent good value money compare hotel Earls Court area . 
 May 9 2007 	 DREADFULL hot water morning staff could care less 	 get hotel staff seem unfriendly interested smile make feel welcome . we make way room suppost luxury room howevwer small keep bump bed rock hard squeak groan everytime turn over . Didnt sleep badly however . bin man 6 am turn effective wake call pity realy quite fancy lie in . and nice hot shower tasty breakfast alas hot water reception call tell obviously incapable simplist shower control would send someone up . he try control also unable produce hot even luke warm water . he go away sit wait news none come . I go detail breakfast stale bread dreadfull coffee kind sum experience mayflow .A hotel would reccomend bad enemy . 
 May 7 2007 	 reasonable well price hotel London 	 arrive back weekend Mayflower hotel . book triple room two double bed . room small much time spend London hotel room ? bathroom bright spacious great shower ( work turn ! ) . one minor point room little dark ceiling light . limit noise Underground nothing would really bother keep awake . the staff friendly breakfast great particularly fresh fruit salad . location perfect . minute Earls Court station lot resturant nearby . I would recommend hotel look functional , clean , pleasant hotel good price . , be look luxury London , pay . 
 Apr 29 2007 	 good choice 	 return 3 night stay Mayflower Hotel . although double room ( Nr.20 ) rather small , like bright room much . everything spotless clean , wooden floor , enough room luggage two wardrobe , big mirror , hair dryer , desk chair ! noisy expect review read , use ear plug . the bathroom look new nice enough fresh towel every day . the staff kind helpful , continental breakfast choice cheese vegetable , different kind bread , cereal , juice , tea coffee delicious plenty . two breakfast room look modern stylish . also pretty small patio garden next door . the location perfect , two minute away Earl ` Court underground station , 35 minute go Heathrow tube . several restaurant pub close Earl ` Court Rd indian italian food reasonable price . so recommend Mayflower Hotel , go London several time always look new accomodation , come back hotel future , - hopefully next year ! HSInnsbruck , Austria 
 Apr 21 2007 	 Location ! location ! 	 stay mayflow hotel October last year . priority find place close public transport , kitchen facility , not expensive . mayflow great location , couple minute walk Earls Court underground , service District Piccadilly line ( actually catch tube Heathrow Earls Court ) . also , walk distance many restaurant 24 hr supermarket . we apartment front reasonable size . kid ( 6 & amp ; 4yrs ) sleep sofa bed fold bed main room . bedroom small - room bed ( two single push together really uncomfortable ! ) . kitchen good size include fridge , oven , dishwasher washing machine . free wi - fi access ground floor . apart bed , great place stay would definitely recommend other . 
 Apr 2 2007 	 nice interior helpful staff small room 	 stay 2 night March 2007 . nicely furnish . clean room . however triple room small - difficult open store suitcase without block door . good location close Earls Court tube station . 
 Mar 31 2007 	 nice enough place TINY room 	 look somewhere stay close - ish Royal Albert Hall fancy something not go break bank not Travelodge . book double room £ 82 B & amp ; B , bad neck wood . anyway , upon arrival staff friendly check we fine . 4th floor , call lift , size matchbox . good job not mind small space . arrive room bit chuckle fact small . not get wrong , stuff need can not really move . wardrobe door open , could not walk ' room ' . clean tidy bathroom attractive clean . thing really miniscule , can not stress enough small space would not want stay one night unless borrower . without exaggeration , room space 7 ' square . shower one one come head curtain screen make bit mess bathroom . the breakfast room suffer space problem . shame hotel fill many room guest squash even attempt pull chair sit breakfast room . hardly space around buffet 's queue breakfast , normal , nowhere queue except right poor guest try eat cornflake . food offer fine , standard continental stuff . our room back hotel hear train clearly well platform announcement sleep ok . overall , be fine remember breathe everywhere go . 
 Mar 23 2007 	 great place stay 	 little afraid review really lovely stay . right around corner tube ( close 11 pm worry late night train keeping ) sleep window open every night ( room tend get bit stuffy ) not noisy . go three friend four we stay family room tight , however , hotels London tight . room front seem slightly large . radio alarm clock cd player room wake morning pleasant . get fresh , clean towel change sheet every day . breakfast lovely , fruit , cereal , yogurt , juice , coffee , tea , etc . staff excellent , recommend great tea place near call Muffin Man . area fantastic well , pub central london close , would come back Earl 's Court find still fill young people . also like lock door night hotel ( worry nightcrawler , fancy come home 4 am , ring bell concierge duty let ) . London real estate pricey room small , not hold mayflow ! 
 Mar 23 2007 	 mayflow good choice 	 nice small hotel close Earls Court tube station . clean , nice room marble bathroom . room small provide everything need . stayed two different room problem noise tube station street noise . overall good stay value . service good . 
 Mar 22 2007 	 not bring Luggage ! 	 good location Earls Court Tube lot place eat within walking distance . & quot ; enhanced & quot ; room small could open luggage . limited space hang anything . bathroom small adequate . bed hard pillow . the staff friendly helpful . continental breakfast average . find hotel clean service good . room small hard two people share price , lower expectation . nice people , would stay although price attractive . 
 Mar 6 2007 	 lucky stay ! 	 book double room directly hotel , give luxury suite appartment hotel fully book . appartmenthouse directly beside hotel . read previous review appartment , close cancel reservation , luckily we , take risk ! appartment great ! appartment 50 square metre bedroom , big living room dining corner , fully equip kitchen , hallway bathroom . even wash machine appartment ! appartment basement big window backyard . behind backyard wall , train station . could hear noise train problem window close . continental breakfast include price consist coffee , tea , juice , role , croissant , toast , jam , cheese , fresh fruit , yoghurt müsli . hotel staff friendly time . warmly recommend hotel , return ! 
 Mar 5 2007 	 apartment great - traffic noise terrible 	 worried booking ( 01/03/07 ) read many negative one . however , apartment great - one big bedroom / kitchen table chair plus really good shower bathroom excellent location London £ 99 . really hard beat kind value . the staff could not helpful , even let use pc lounge log onto e - mail could not get wireless work carry luggage way room ( apartment adjoining street hotel ) .But - London traffic noise let . room hot keep window closed noise even take 2 hour get sleep . maybe 4 year country soften pretty horrible . - excellent price , excellent hospitality location . awful London noise . 
 Mar 5 2007 	 impressive start disappointing finish 	 want hotel London not main thoroughfare , reasonably price big corporate chain . however , also want decent sized room , cleanliness value money . upon arrival , staff nice enough foyer entrance look really great high exectation . direct room ground floor quite honestly feel like cheap bedsit . mattress look old curve corner , stain wooden panelling side bed , room small could ever imagine , window dirty , dark , dingy depress - add rumble tube . save grace bathroom - really lovely clean contemporary fitting . anyway , complain offer another room top floor - bright slightly clean still tiny shoddy feel ( also dirty window large crack one pane ) .this hotel apparently undergo major improvement room size definitely compromise , paintwork general finish poor , towel provide clean threadbare back hotel tube probably disturb overground station within spitting distance . to credit , staff friendly , breakfast room breakfast expect price ( cold buffet style ) en - suite clean contemporary . Trebovir Road also pleasant quite street really well place tube nearby shop restaurant ( Wagamama , Masala Zone etc ) . however , will not return opinion well hotel London money . for record , stay room 44 . 
 Mar 1 2007 	 wonderful ! 	 really enjoy stay Mayflower . stay London quite often find delight . room beautiful , clean balcony . staff helpful friendly . would recommend place anyone . oh , one thing . bit noisy front earplug , normally take London hotel anyway , not big problem . nice ! 
 Feb 26 2007 	 worth ! 	 good thing hotel location right next underground . hotel dirty , noisy importantly staff unaccomodating . & quot ; 2 bedroom & quot ; apartment size large closet . little room walk around one small cupboard put clothe away . I 
 Feb 20 2007 	 bad choice night peace 	 think apartment great deal boy wrong ! round corner one noisiest road london fire alarm beep night despite several call reception . look good paper , get sleep apology concierge , ' it happen ' . never 
 Jan 30 2007 	 Superb 	 come back excellent stay mayflow . 1.check excellent swift.2 . room ideal pay £ 65 double continental Breakfast . small noisy state . 3 . reception staff helpful able assist asked.4 . location ideal , 3 minute walk Tube station 10 minute walk Stamfordbridge ( stay watch football ) .5 . numerous restraunt takeaway budget . 6 . small negative Breakfast room big enough , sit reception reading paper wait . time table 6 group wait table . thoroughly recommend , nice place chill near attraction . 
 Jan 22 2007 	 overall ok 	 stay apartment Jan 2007 wife , baby toddler . apartment Warick Road round corner Hotel . despite request parking space none available girl reception provide poor direction car park resident weekend , Saturday . find car park ( £ 30 day ouch ! ) , go apartment . apartment 4 ground floor good pushchair access . tiny shower room ( around 7 ft 4 ft ) , room generally ok give loose tile two around shower . kitchen / lounge copact ok , decent oven washing machine LCD tv five channel . the apartment describe two bedroomed stretching bit access one ' bedroom ' . bedroom tiny , one double bed ( actually two single push together ) undable walk around 3 4 side , room also ineffective underfloor heating ( work man enough heat room ) couple damp patch wall . bedroom wardrobe two single bed less 14 inch they . the bedroom arrangemnt fine we , apertment rent two couple would need friendly door double room glass lead first bedroom ( see pic ) .The overall impression apartment ' tarte ' well maintain , example radiator cover damage . we enjoy stay London find Mayflower Apartments average ok we , certainly level thi website try portray . finally appear fire evacuation plan display anywhere apartment ! 
 Jan 6 2007 	 stunning ! ! ! ! ! 	 book hotel romantic night direct hotel - see review . close cancel end take chance . have book luxury double room get , reason have upgrade we luxury suite . stay hotels world traveller various touring band spoilt rip equally many year . room take breath away . suite next door hotel basement . front door lead straight kitchen big well appoint . walk main room amaze - huge four poster bed , flat screen tv , dining room table chair , walk - in dressing room , absolutely beautiful bathroom shower space entire band , still mine ! find decor stunning take plenty photo try find various item furniture home ! situate less three minute pub , restaurant , supermarket tube station ideally place plenty London sight . the bed intensley comfortable although frequently lose night pinch constantly all . the , MEAN , thing not perfect , fact hear people walk past late night , be LONDON - personally , would expect ! certainly not detract experience ! whoever upstairs could carpet floor , , not notice quite late follow morning . I would hesitate recommend hotel anyone . staff friendly happy , breakfast room breakfast lovely , check in / out breeze . easily good room ever stay . 
 Jan 5 2007 	 excellent 	 way start new year , great stay fantastic Hotel facilittie , service breakfast excellent . strongly recommand hotel value money . great find definitelly return shortly . 
 Dec 18 2006 	 bad hotel experience ever 	 hotel advertised & quot ; climate control & quot ; website , , , important staff , london hot time year , cool room essential . & quot ; climate control & quot ; simply mean radiator could switch ! ! ! tiny noisy fan . manager say word approve tourist board . under circumstance believe description thi web site , dissapionte ! ! ! 
 Dec 5 2006 	 Liked . 	 stay lot hotel . many honest . stay whilst overnight business area London . stumble hotel lateroom , say , really nice . ' decorate nicely character . staff speak efficient pleasant . nice restaurant area . room stay executive double , cost £ 99 . quality price fine . perhaps get nice room . stay room 11 room balcony . hotel free wifi ( although seem plenty generous neighbour area unsecured wireless network anyway ) tv freeview box give plenty watch include film4.I would come back wife , quite fussy ! 
 Dec 3 2006 	 oh God - Daylight Robbery 	 Booked Hotel Club - great photo close course Earls Couth . room 49 small . single bed cover 80 % floor space . consequently tv bolt wall chair & quot ; desk & quot ; not even pull ! luckily wirelass internet fire lap top book somewhere else Expedia . left complain hotelclub.co.uk completly hoodwink . stand lose £ 350 4 night stay would rather sleep phone box . never stay - live travel world word describe room & quot ; shocking & quot ; though staff nice - surprised interested fact leave within hour . please post site save other rip off . thank 
 Nov 29 2006 	 look deceptive ... 	 look close detail . Mayfair Hotel book husband visit city concert . location relation Earls Court centre superb can not say much noise give closeness two . previous reviewer mention , reception area smart , however , get impression refurb do strict budget . door go room 2 inch gap slant bottom . ventilation describe shower cupboard appalling . top sheet bed soil complain tell could provide another one follow day - still wait ! ! breakfast room big enough accommodate full compliment guest find embarrassment - hang around stairway table available share complete stranger . oh , get room french door terrace front , look guy arrive terrace quite unannounced clean ! ! ! around 9.45 -we decide lie ! ! ! 
