close 	 Room finish terrible look DIY standard . Shower curtain mark , window full condensation bottom loo brown . noisy room front onto main road . would not go back unless last resort ( would pay go elsewhere travel office away . 
 Dec 17 2007 	 need Refurbishment 	 hotel badly need refurbishment . extractor bathroom not work probably account black mould round bath tile mark ceiling . room tired , & quot ; many greasy take - away meal eat & quot ; smell , chip marked furniture mark paintwork . shower fitting leak , bath run , water come shower head . room clean fresh towel provide every day . balance , hotel rate star would recommend . 
 Dec 8 2007 	 Disappointing - even Travelodge standard 	 good location , shabby , shabby , shabby . room bathroom desperately neeed refurbish . room noisy overhot , break control radiator window would not open . bath stain . all could eat breakfast , food cold give impression sit around time despite turn within 5 minute advertise start time . coffee machine dining room not work . staff friendly . 
 Nov 29 2007 	 cheap chip 	 need cheap overnight stay London manage get £ 26 saver rate Travelodge Marylebone Sunday night ( TOP TIP : Travelodge website tend good availability London Sunday night cheap rate - third time ' ve book ) . room massive compare other ' ve stay - twin plenty room . everything clean work ok dodgy bit attention detail not much ( see pic ) . not anyone reception arrive wait , find someone downstairs bar not hurry check . not bother breakfast . it be great location though - right next Marylebone Station dead easy find good connection . walk hotel Baker Street , Marylebone High Street Oxford Street 's pleasant walk ideal want shop / Madame Tussauds / etc . 
 Nov 3 2007 	 always great Choice 	 third time stay Travelodge Marylebone . love location , step outside tube / train station room always clean comfortable . traffic noise somewhat noticeable time around , definitely tolerable . break radiator , room quite warm , type minor inconvience fine pay 26 pound room . would definitely recommend Travelodge London . 
 Oct 31 2007 	 not ! ! 	 stay last minute , warn hotel refurbish not prepare something loosely term room . heating work due radiator break , light miss , tile damage sink break etc mould cover wall bathroom . not fact could not get anywhere else would move .... ask heating give two blanket look like donation , unwashe cover stain look mysteriously like blood . nice ! 
 Oct 30 2007 	 Great not book single room 	 prefer Travelodge stay central London . although start look little shabby bathroom really need refit not soulless Travelodges stay good value central London . twin double room good size bathroom bath rather shower . however , not book single room . company travel agent make book recent stay book single room . room extremely small , barely room move , let alone space luggage . room rate twin double room . however , reception staff helpful able switch twin room , smoke room available . would say worthwhile compromise . 
 Oct 28 2007 	 good location need coat paint ! 	 stay last week book 2 room £ 26 rate travelodge website . stay lot Travelodges 3rd visit Marylebone . check easy 3 pm , friendly helpful staff reception . first give room 310 , friend 313 . 313 fine 310 damp - window dripping condensation curtain feel damp , go back ask another room available ended room I ve stay past 2 visit 414 quieter location overlook road . the bed comfy really good matress ! room clean , heater work . spare pillow bath sheet wardrobe space nice flatscreen tv . bathroom need furbishment - shower fine hotel look scruffy - peel parer wall corridor scuff woodwork / paintwork . lot mildew bathroom Travelodge hotel due refit now . its great location - opposite Marylebone tube / station Marks Spencers food store open til 11.30pm , good coffee shop soup / juice bar within station cafe nearby cheap breakfast . never eat travelodge I m vegan nothing i d eat ! good night sleep would stay , staff helpful professional , friend problem accessing room manager deputy available straight away help . travelodge leave luggage - get 205 bus Euston leave bag , museum leave luggage £ 1 too . I find good basic hotel yes scruffy room clean £ 26 rate good ! 
 Oct 17 2007 	 Shoehorned Travelodge 	 wife stay Marylebone Travelodge last night , us single ( 116 , 215 ) . 's say elsewhere bear repeat : room tiny : two step direction be wall . shoehorn room bed ( smallish , ok mattress ) , desk , tv ( 8 channel flat screen ) cupboard sort . bathroom tiny . ' m six foot three feel like Gulliver . outlook back alley . towel thin little damp , shower mat soap , shampoo etc . minimalist lodging . I not like Travelodge much , admire management get 85 pound night little space , amenity feel shabby ( except tv ! ) . double might nicer , take price supposedly room size . the hallway tight , odor air hard describe , certainly pleasant . the staff pleasant check - in . still , desk take reservation future date ( go website call ) , seem backward . also little disturbed notice walk lobby ( also tiny ) 9p.m . no - one desk . anyone walk slip stair unnoticed . yes , location great : right next Marylebone Station , room relatively quiet ( back wonder would get room fire ) . speak fire ( alarm ) , mine go obvious reason 9 a.m. , screech twice ( dress ready second ) ... nothing . Got day start early 's positive . word anyone desk go down . I will never stay . truly awful , spic span enough , small , smelly . go show hotel business location alone everything . 
 Oct 10 2007 	 bad hotel ever 	 hotel far bad ' ve stay anywhere world . the bedroom filthy , furniture stain , bathroom full mildew , extractor fan , plugs sink / bath . hallway lift stank damp . could walk would do . never . 
 Sep 25 2007 	 phone decorator ! 	 Travelodge announce plan 20,000 & quot ; new look room & quot ; 2012 Olympics hope hotel pencil early overhaul . location excellent - beside station safe quiet - hotel bit shabby side looking date tired . general area ok room particularly bathroom one stay , need complete upgrade . bedroom clean spacious ceiling stain leak . bathroom fitting date back another era . water temperature pressure fine tap look ancient worn . somebody do amateur DIY sealant job around bath bath chip . dampness evident wash - basin area . not think amount cleaning would make bathroom look good . positive note receptionist helpful allocate room 10 several hour hotel 's agree check - in time . good haul luggage around 3pm . check - out also efficient . get reduce roomrate £ 49 per night oppose usual £ 80 . definitely worth full rate . Travelodges Farringdon particularly Holborn far superior . future would opt 3 Night Weekend Rate Ibis Euston ( Convenient , spotless excellent value ) . roll refurbishment programme . Travelodge Marylebone need it - and soon rather later . 
 Sep 23 2007 	 stay well place ..... 	 stay Travelodge one night work - London Fashion Week pretty much everywhere else overprice manage obtain ' bargain ' price single room £ 80 ... stay hotel husband feel quite happy go back alone base fact convenient location next Marylebone station . unfortunately fact positive thing could say follow visit ! room first floor ; overpower smell air freshner try mask damp smell pervade floor . carpet seem wet ' m sure sort flood . fortunately room dry - one small room ever see ( ' m hotel contractor see quite ! ) - quite similar cell . room also dirty , toilet break could not bring shower morning give fitting look dirty ( ! ) - rustier .. , would say hotel good choice get one really cheap deal not expect lot . good location , lot hotel London . unless standard improve hotel offer clean , value money accommodation , certainly would not choose stay ! 
 Sep 22 2007 	 great like dead mouse ! 	 Hotel location great , across street Marylebone tube station five minute walk Baker St. line . bar nice cozy eat breakfast buffet pretty well stock egg , bacon , potato , yogurt , toast , fruit etc . etc . pretty good way start day ! stay supersaver night ( 26UKP ) guess could put rusty fixture , mold wall bathroom , hard mattress , guess could even put dead mouse bathroom ! however , pay 26UKP pay 49 UKP add $ 98 much pay room dead mouse ! " oh kind " ( please note sarcasm ! ) give 26UKP back ! - since try contact refuse answer . guess like rodent go ahead stay hotel – however , like , ' particularly want pay mouse ' room board maybe go find different hotel ! 
 Sep 18 2007 	 can not fault location 	 London Marylebone fault location ! Checkin smooth & amp ; receptionist pleasant . book 2 room - twin & amp ; double . the double adequate , though disappointing find lock bathroom door - evidence use lock ! bed bit creaky comfortable - shower good & amp ; traffic noise . twin two bed push together - little disappointing - whole point twin room two separate bed ! manage pull apart 6 inch improve thing . rest room fine . we not eat breakfast hotel , preferrign & amp ; station ! room not large one night stay absolutely fine . location GREAT ! 
 Sep 17 2007 	 absolutely fine would stay . 	 little worried book hotel base early review , although recent one ( 2007 ) seem well . ' m glad , room would expect .... well 's hotel room , little basic tv , tea & amp ; coffee make facility , small wardrobe bath shower . bedding bathroom clean , carpet decor fine lift work ! small problem uncomfortable mattress one bed twin room ( dodgy spring ) . ask change staff say would , unfortunately return still one , speak someone front d apologise move we another room fuss . room clean tidy mattress well ! ! general staff also friendly welcoming , similar another reviewer check 9.30am good hour early staff helpful , check ask luggage tell not facility , large railway station facility pound day not really matter anyway . the location absolutely A1 , right across station / tube easly walk distance great place ( regent park , Tussauds etc . ) short ( late eh ! ) come back city first hotel check price availability , would definitely recommend hotel somewhere central fairly cheap stay London . 
 Sep 16 2007 	 great price 	 stay mum one night London see show . bit concerned review mum clean freak not want end dirty old room . however , apart grubby tap bathroom standard cleanliness fine . fitting wear look like new floor wall ' tile ' bathroom , bed comfy nice white linen shower hot powerful . brief contact staff ( checkin / out return theatre ) friendly smiley . not know London use tube time Travleodge 4 stop Picadilly Circus - mega convenient . far road noise go - er , yeah , Travelodge road central London car drive past , er , yeah , Travelodge road central London . pay £ 26 - would stay price probably even £ 39 £ 49 rate . 
 Sep 13 2007 	 ok 	 employer book room charge 106 pound ! know booking last minute London busy - complete rip ! allocate smoking room nothing else available . smell quite unpleasant , although notice window say would open limited extent ( high floor , suppose ) fact open fully . fortunate room desparately short fresh air . room ok - . definitely see well day furniture dent scrape mark , wall . bed quite comfortable - certainly sleep much bad . room look clean , difficult tell properly everything old wear . bathroom tiny contain nothing small hard bar soap . tile round bath crack , reasonably clean . shower ( bath ) ordinary , water hot shower surprisingly powerful . hairdryer room - fortunately know another Tripadvisor review . corridor lift look old shabby . breakfast fine - juice , cereal , cook breakfast , toast tea / coffee . hotel well place stone 's throw marylebone station good & amp ; simply food station . think verdict cheap rate ( even though not pay ) would reasonably content . price , bad deal . would not go back . 
 Sep 9 2007 	 cheap basic hotel . 	 stay good mate September girlie shopping trip . do not expect ritz problem hotel really deal . start bad point hotel , bathroom room 304 be not clean . tap stain grubby look shower curtain mouldy . skirt board boarder room come could trip have not pay attention ! room quite hot , air con height building window opening restriction could not really get lot fresh air . main grumble travelodge let STORE BAGS ! luggage room , correct ' m wrong , hotel ! mention anywhere website , find read review ! need drop train station pay priveledge . , location excellent , right across road Marylebone station . generally helpful staff base minimal contact . check check breeze . would stay could get £ 15 room rate £ 26 one . 
 Aug 26 2007 	 good short stay 	 want cheap clean hotel good location 2 night theatre break . hotel ideal . get £ 48 twin room deal website . locate 1 min Marylebone underground station . tea making room , buy breakfast & amp ; also 1 min away . staff friendly helpful . room clean , plenty room . stay room 104 side street traffic noise fine , even though window open . fault : leave luggage mention . lucky arrive 12.30 allocate room straight away . as return journey late evening , get King 's cross checkout , leave 2 case . cost we £ 13 plus tube fare , take 1 1/2 hour . 2 people leave luggage receive , scan , also give back luggage , expect queue ! air conditioning , window open though . take hairdryer , provide . 
 Aug 23 2007 	 Travelodge- experience 	 partner stay Marylebone Travelodge 3 night ( August 2007 ) . check 3 pm arrive early 10 am hope leave luggage go . staff welcome helpful despite 5 hour check allocate us room ready we . location hotel ideal we next station lot travel tube , downside near noise night . get quite hot room time would like keep window open far noisy people shout talk , busy humdrum station , car , bus taxis . the room basic plenty space . cleanliness room good would like generally okay . room good sized double bed , bedside table , open cupboard clothe ( many hanger ) table tv tea / coffee make facility . wallpaper peel place , furniture old desperate need replace bed pretty awful honest . mattress lumpy could feel every spring back . bathroom marginal improvement good space fairly nice bath shower . however , first morning shower , water come hot tap . partner visit front desk complain tell wait 10 minute air pipe clear try would change room . luckily , 10 minute water start work first time problem . the problem departure date . informed could leave luggage hotel check ( 10 am ) order we go spend day leave . however , front desk tell keep luggage . mean cancel plan day catch train home straight away case large cart around day please aware ! pay £ 26 night complete bargain comparre much spend hotel London past amount expect anything spectacular- certainly get pay . overall , hotel okay we spend little time . look somewhere sleep shower fine expect quality much comfort . £ 26 night not really expect much ! 
 Aug 23 2007 	 good Travelodge 	 good , decent hotel central London . Travelodge Travelodge , course , easy budget accommodation basic : bed , en suite , tv , tea coffee make facility . excellently place nice quiet consider central . keep clean tidy pleasant front desk staff . good tight budget want one night stop . 
 Aug 16 2007 	 great get one Saver Rates . beware leave luggage 	 stay three night pay £ 26 night absolute bargain . hotel outside Marylebone station Baker St tube station ( lot line ) five minute walk away . would never really neck London 's nice mix business residential , traffic noise not loud , be even easliy walkable Oxford Street . good bus connection outside door . hotel room fairly standard three star business class hotel . good size ; scuff mark wallpaper people run suitcase along wall otherwise clean , good bed , extra pillow . bathroom unfortunately less impressive . small , poor flush lavatory , shower fitting quite rusty . shower work well tighten nut around tap bath / shower selector work correctly . town see show spend time sleeping room . want luxurious space relax , look another hotel . meal hotel lot breakfast option station . however two major drawback hotel . one : air conditioning . room face due south fortunately weather quite cloudy otherwise would unbearable . window open , might problem small child . mean could get fresh air , temperature really hot outside would almost impossible sleep . two : refuse hold bag guest . arrive early morning flight lucky room available 11a.m . last day evening flight receptionist say not facility leave bag . drag leave luggage Victoria Station . first time ever come across situation hotel quite angry website , course , not mention . realise lucky early check . would go . full room rate , way . saver rate definitely . light bag ! 
 Aug 11 2007 	 reasonable stop London 	 hotel easy find outside trainstation . check quick pre - pay . corridor quite small bit grotty . room comfortable , bed bed clean supply large fan much appriciate quite hot well ventilate . bathroom bit let mould window seem dangerous double glaze right bath . shower curtain way long easy trip . loo seem want flush . hot shower though fine . ok night much long . 
 Jul 24 2007 	 nothing special 	 reading alot bad comment hotel , expect place awful . however bad really . check - in go without hitch give swipe card allow access room . arrival room open door find occupant still . luckily upto anything ! quick word receptionist get we new room . put room normally keep disabled visitor mean roomy room . bed clean bathroom clean . curtain carpet grubby . LCD TV , couldent get channel . cool fan room thankful bit humid night stay . guest much respect anyone else constant bang door times night . overall hotel ok . pay £ 15 per room per night special Travelodge offer , couldent really grumble much . think would stay £ 15 per night . would pay anymore hotel . 
 Jul 16 2007 	 first last visit 	 have never stay Travelodge , hope sake one not representative . ought perfect , 30 second walk mainline railway station arrive . stay 2 night , not particularly cheap ( £ 99 ) , probably Tour de France town eat hotel room . Travelodge make much publicity idea cheap cut frippery like shower gel & amp ; hairdryer . fair enough , not intend anything except use crash London day . say concentrate instead ensure get clean comfortable room get good night 's sleep . well , one offer neither . bed one uncomfortable ' ve ever sleep ( ) , pocket spring go & quot ; boing & quot ; even slight movement . room particularly clean , dust chair , scald - mark kettle desk shabby wallpaper ( presumably ) child 's feel - pen scribbling paint colour vaguely within spectrum . peculiar smell corridor - kind frankfurter marinade bleach , know ... Staff seem like student pass couple day , completely indifferent we . maybe uniform t - shirt say & quot ; whatever & quot ; . ok , not expect effusive farewell end stay , little vague mumbling sound would nice . we not eat ; other recommend , buy breakfast Marks & amp ; spencer branch station - lot cheap £ 7.50 Travelodge charge per person . positive ? sound - proofing keep street noise . loo clean , shower OK . er , be . much doubt will go back ... 
 Jun 27 2007 	 ! 	 stay hotel second time 6 night mid June 2007 . return hotel close proximity Baker Street Marylebone tube station . single room top floor . room quite tiny , though thankfully time proper shower . eat hotel , dealing staff . bed lumpy sheet rather basic . remake bed two occassion . niggle itch hotel get home realise attack bed bug ! numerous bite body ! hotel Travelodge standard ! single room tiny whilst travelodge difference single traveller couple . room even basic usual , general state decline , whole hotel . money spend plasma screen room would well spend upgrade room . whilst hotel commend 's location envisage stay . 
 Jun 27 2007 	 ok get cheap 	 other say , get internet rate £ 47 , not expect luxury . however , people go room ok . pretty shabby bathroom awful . the suspend ceiling bathroom mean husband could not shower without crouch . mildew mould bath around basin fitting . loo seat loose bathroom door close properly lock all . the room also get pretty cold night extra blanket provide . decor really poor . on second morning decide , simplicity 's sake , pay breakfast Travelodge . avoid cost . go 9 am time full supply anything . hot food go bring replacement piecemeal fashion could not eat full breakfast time ! toaster not work staff surly . the location , however , great recommendation would : get cheap possiblego nearby & amp ; food suppliesgo greasy spoon opposite station breakfast ( although not appear open Sat Sun ) .Take hairdryer -- be provide . 
 Jun 17 2007 	 2nd Time ! ! 	 stay 4 night January ! yes know bit late submit review though hey ! ! time experience problem book . book super saver room £ 15.00 per night pay advance credit card . check say money not take pay £ 60.00 debit card . super saver room pre - pay site faulty . contact card issuer right enough money not take . Manageress 's attitude leave lot desire . apart room 415 ? ? tiny lot nosier compare previous room 209 trip Nov ' 06.the room clean , tidy warm quite happy . maid visit everyday complaint there . we go back location shop , food outlet tube station . location make minor problem experience time around . we be go back Aug 07 2 night break new review . 
 May 6 2007 	 great location 	 stay 3 night last month would happily stay . hotel fabulous location - walk Marylebone station , turn right , walk 60 second ! public phone street outside , plus station , taxi rank , plenty place eat , Tesco supermarket 5 minute level walk away , be within walk distance beautiful Regents Park , Madame Tussards etc . extend stay another night pay 80 pound compare 26 49 pound first 2 night . eighty pound bit steep get convenience average decide factor . our room clean ( Room 204 ) , not smell like cigarette smoke , look main street ( station entrance put head ) , window open little staff helpful . somebody else mention bathroom fault could find . first think toilet break knack flush . like hot bath / shower water seem water temperature set fairly low . all though would hesitation go back . 
 Apr 28 2007 	 ok £ 15 ! 	 stay February 2006 . 15 quid not expect huge amount ok . have book double smoking room . room fair size , bit worn & amp ; tatty acceptable clean apart absolutely filthy net curtain - grey age / dirt ! bathroom crack sink clean . bed bit uncomfortable compare travelodge ' ve stay . every time move creak loudly ! location fantastic . literally 2 minute Marylebone station , easy find . not bother hotel breakfast , across road reasonably - price cafe get brakfast & amp ; coffee £ 3.00.all , get room £ 15/£26 rate 's fine ! 
 Apr 24 2007 	 ok not mind mildew odor 	 book hotel resting spot get Easy Bus rideto Luton airport last day London . get 15 pound rate close would pay leave luggage . the hotel right outside Marylebone tube station two block EasyBus stop . there shop close station . the lobby lift fine odor mildew hit soon walk door room . entire ceiling window cover mildew . wall paper start curl toilet bit tempermental flush . pretty big gap tile tub mildewy also . I would not happy spending night , place rest long day sure beat bench train station . plus get bathroom . 
 Apr 20 2007 	 stay away ! 	 would recommend anyone . yes good price , great location that s it . room smell ( non smoking room ) . have not clean 3 week . Cleaner must come make bed . tap miss bath ; toenail floor . return room find door leave open cleaner . thankfully nothing missing . do not ruin trip though great time , love london , definately come back , hotel . 
 Mar 9 2007 	 Loved Travel Lodge ! 	 23 - 26feb 2007really enjoy stay London hotel . honest not spend alot time room . however room clean fresh towel supply everyday . location great - less 2mins walk near tube , Picadilly ( 7min ) time ! keep case check early late departure . the staff helpful , require iron provide immediately request . the & amp ; across street handy need quick reasonably price breakfast cafe across station cheep , quick good . considering stay london 1 weekeend every year past 8 get stay supersver rate £ 26 , would say 's excellent value 
 Mar 4 2007 	 good basic accoomodation 	 great cheerful staff location , keep clean quite large room . agree really need refurbishment - tile quite loose wall paper upholstery chair wear . could say £ 75 cheap local London Travel Inns , much well state repair . would not worry stay , probably first choice . 
 Feb 23 2007 	 ideal location cheap cheerful 	 stay London 1 night mix business pleasure want reasonably price hotel close Paddington Oxford Circus find Travelodge website - -- - . £ 49 without Breakfast ( charge seperately £ 7.50 not take , seem price ! ) . room spacious , although next busy road plan lie end around 7 am wake busy road outside - expect London ! ideal location , 1 minute walk Marylebone tube station Bakerloo line ( Brown one ! ) 10 minute trip Oxford / Piccadilly Circus , Paddington 10 minute direction . room condition average , expectation not great £ 49 - would think stay business due location , may think try somewhere else take half . 
 Feb 19 2007 	 Great Value Hotel 	 son stay twin room 13th- 15th February , pay saver rate £ 26 per night excellent value money . bathroom bite shoddy expect money , however bedroom linen exceptionally clean would diffinately recommend great place stay budget . its proximity station add bonus . hope review help . 
 Feb 19 2007 	 friendly helpful staff nice room . 	 stay three night group several people . first reluctant book read review site . however , experience positive . staff exceptionally friendly helpful . double room adequate size . window soundproof , noise issue . single room also book small . room price , whether double single , make little sense book single room . location excellent , well within walking distance Marylebone High Street . 
 Feb 6 2007 	 Amazing Value Saturday Night 	 ok , room bit tired shabby ( though believe be process renovation ) get saver rate £ 26 room place great value money . the room not look like standard , modern Travelodge think take hotel make change bring Travelodge brand . room bite dark dingey clean comfortable . location great see hotel soon step station ( less 2 min walk ) . not investigate immediate area much short stay nearby & amp ; simply Food useful ' local ' store . take tube Oxford Circus 3 stop ' m sure would walk distance well weather . if be look clean comfortable bed night not think will disappoint . would certainly stay get rate . 
 Feb 3 2007 	 Satisfactory Good Value 	 stay Travelodge London Marylebone one night leisure break . arrive Marylebone Railway Station find Travelodge easily . I allocate single room . small expect although adequate need . find clean fully functional . room en - suite ( shower ) .In evening order food Travelodge Bar Cafe . find satisfactory . I purchase voucher cooked breakfast . morning look offer breakfast room . decide toast cereal . I find staff pleasant helpful . I pay special pay - in - advance feel good value . base experience visit , would stay . 
 Jan 27 2007 	 Beware jewellry thief 	 stay hotel 5/7 Jan year check case return home would problem recommend people . however .... check case realise jewellry case miss nowhere find . contact hotel return indeed reviewer unfortunately problem receive response . hotel clean basic need rennovation would stop apparent theft belonging . 
 Jan 25 2007 	 Bargain Central London 	 Travelodge great look somewhere clean tidy centre London not cost fortune . book £ 26 saver room Travelodge website prove good value money . room fairly standard Travelodge - quite basic need ( apart hairdryer ) . hotel right opposite station access land train , underground constant queue taxi wait outside . ' m stay April . there noise road not real problem . expect sort noise middle city . 
 Jan 8 2007 	 trust staff 	 stay 3rd 4th january 2007on night leave pack stuff away case jewelery box miss search room hour nothing find go reception tell happend . I tell nice man desk first time kinda thing happend shock I . he tell would tell manger next day . week pass still answer think mater police 
 Nov 19 2006 	 would stay . 	 stay 2 night impress overall . check early problem . room nice size window old draughty , even heating , cold . bed comfy shower good wait 5 min water heat . problem noise traffic , 5th floor though . room real need paint , lot hole fingermark ! ! breakfast first morning awful , bad stomach day ! cold look like reheat previous day . great location though , 1 min walk Marylebone nice walk centre London though lot choice night dining drink . pay £ 75 2 night get lot well hotel nice area price . bad hotel stay would stay . 
 Nov 8 2006 	 value money 	 clean brilliant location 
 Nov 1 2006 	 good staff nice location 	 stay three night late September . first room receive smell incredibly mouldy damp ; later conclude large part due water leak breakfast room directly . second room receive faulty plumbing . third room decent . shift room twice dismay , staff apologetic helpful ensuring get good room . kudo . room pretty much like Travelodge stay London ( TL Kings cross Royal Scot ) -- decent , clean , bit worn . the hotel locate right beside Marylebone rail tube station , terrific , couple block Baker Street Tube station . also , discover , Paddington Station easy fifteen minute walk -- do - able even luggage . thus , hotel nice alternative Paddington area one one want proximity station Heathrow Express service . many restaurant close , Oxford Street brisk fifteen minute walk .Our overall impression hotel ongoing maintenance issue property , could make stay rather dreary . staff appear work hard make thing right guest , however , really help . pay 26 pound saver rate , hotel indeed great bargain . full rate , think well place find large area . 
 Oct 26 2006 	 great value 26 pound ! ! 	 get 26 pound good deal London . proximity tube good thing , especially travel kid sick walking ! great little place breakfast across station , lovely staff cheap quick yummy meal start day . two room although one distinct musty smell ( put hubby one child one ! ! ) fine . shower old work perfectly , bed comfortable perfect . fab time London great come back clean fairly spacious room end day sleep . available 26 pound , book room enjoy sight gorgeous city ! 
 Oct 20 2006 	 bad place stay 
 Aug 31 2006 	 cheap cheerful 
 Aug 31 2006 	 Good Location / Good Hotel 
 Aug 20 2006 	 Satisfactory Hotel - Great Deal 
 Jun 27 2006 	 home home 
 Jun 8 2006 	 frill 
 Jun 1 2006 	 tired hotel get well ! 
 May 23 2006 	 tired shabby air - con ... 
 May 17 2006 	 not .. 
 Nov 6 2009 	 Excelente comunicación relación calidad - precio 
 Aug 7 2009 	 Ottimo per prezzo e posizione 
 Jun 30 2009 	 muy bueno 
