slide 	 hotel way . go several year start great value find . time pass standard slip . dirty towel , disintereste staff , staff reception ... sense Service 
 Feb 27 2009 	 Good Value 	 friend book triple 3 we ( man ) Chelsea Match . walk distance stamford bridge .. share taxi heathrow worth 30 - 40 pound . problem arrival overly welcome manager ( & quot ; good Evening & quot ; welcome etc ... not bother look screen ) inform we room three bed .. offer we fold camp bed ( big lad -no thank ) ... Excellent Junior Manager take say will organise third bed prob .... notice photo opposite lift & quot ; Employee year & quot ; think .. surprise ( Tall Guy Mid Twenties ) .So cheer ... big boo guy wrong job . room clean everything work v.nice . reception call taxi arrive quickly , bus stop outside , tube 15 min walk .. nice area . feel safe . Restau look ok .. not eat .. bar ok shut early ( well .... resident bar ) overall good value hotel great Chelsea match ..... : - ) BTW Thumbs charge wi - fi ....... 
 Jan 28 2009 	 Fantastic hotel ! 	 stay hotel last night , evening work event prevent travel home . not check late night , experience hotel outstanding . staff encounter pleasant , friendly efficient . room large hotel room ' ve use London absolutely spotless - could eaten bathroom floor . room comfortable well - appoint , far superior would expect three star hotel . thing hotel not seem offer room service , room service food overprice distinctly average , not think big loss , certainly context great thing place . I catch taxi Victoria station order continue City morning , wait five minute could flag one . be definitely middle bustling area London stay hotel , be difficult catch bus walk busy area . 
 Jan 22 2009 	 Great Hotel Parking Site 	 stay Jurys Inn Chelsea last week one night . hotel perfect one night stay even week . room spacious clean buffet breakfast tasty . staff extreemly pleasant care checkin fast . my one major disapointment parking hotel . park accross road upmarket apartment complex . cost parking evening follow morning nearly half price hotel room expensive . parking available street car would not safe overnight outside . overall enjoy whole experience parking disapointment . 
 Dec 3 2008 	 Exceptional Property 	 hotel normally stay London become expensive take special offer BA try Jurys Inn . property well run . front desk staff good helpful . room like new . morning breakfast example serve breakfast busy guest . pleasant lounge . staff encounter seem happy enthusiastic . new place stay London . the area hotel locate safe . family came go late hour . 10 - 13 minute walk involve get near tube station , however , lot interesting shop place eat approach it . we visitor west coast Florida 
 Nov 28 2008 	 Liked much ' ve stay thrice ! 	 stay Jurys three time . first time , would open business special rate go . first lay eye room , astonish . perhaps result stay Fawlty Towers - like enterprise hotel Earl 's Court two day prior . room Jurys spacious , clean beyond comfortable . bathroom large den home ! Jurys Boston say initial interior ( lobby , bar , restaurant ) lot posh . Chelsea Jurys trump Jurys space comfort . restaurant , bar room service extraordinary . the downside hike make Tube station . be good 15 - 20 minute walk get Metro rail 's obviously deal breaker since ' ve stay 3 time . 
 Nov 23 2008 	 consistent standard 	 clean room , excellent breakfast , good friendly staff especially humpfrey breakfast - all smile welcome 
 Nov 16 2008 	 Great Experience Jurys 	 great hotel . obviously review site spot . 's middle really nice waterfront area London . 2 minute walk bring nice little shopping area e.g . & amp ; simply Food . 's also lovely walk along Thames . staff lovely . bar bit short staff , otherwise nice environment . the breakfast buffet , price spot on . room average London . all , would thoroughly recommend hotel . business , would decent spot weekend break , right king Road Chelsea handy tube etc . 
 Nov 3 2008 	 Good Value Good Hotel 	 stay 9 night end September . note reviewer hotel 15 - 20 minute walk Fulham Broadway Underground station enjoy walk back – bus really ' feel like walk . breakfast buffet ( great choice ! ) except one morning able find somewhere right away sit down . there mark Spencer simply Food minute walk away handy picking snack . the brief look around area ( really close hotel ) restaurant produce couple none really want eat eat hotel couple evening . dinner restaurant bar . food okay , nothing fantastic . room 311 quiet location hotel . room look courtyard traffic noise . room clean bed comfortable . hotel computer internet use pay per use - ? 1 10 minute . negative thing stay . pillow uncomfortable ; ' good thing travel pillow end use ! evening expect phone call home ( USA ) lot call put endless hold make contact impossible . all would stay would recommend hotel other . 
 Nov 2 2008 	 Anniversary Break 	 umranmanchestergreat hotel family . decide book hotel anniversary break . glad say decision one ` never regret . staff particular friendly & amp ; helpful particularly towards two young child . they take time assist we every occasion need help first time London . family room good clean sized room . breakfast nice without crowded & amp ; big queue . would stay hotel next visit London ? definitely yes ! 
 Oct 29 2008 	 excellent value money 	 stay one night ( 27th Oct ) 11 year old son , promise year take London Eye & amp ; see sight . not stay London long time sure expect . hotel fantastic , service receive friendly helpful - thank much ! room lovely & amp ; clean - refreshing ! not eat , cause push time . early review state quite way near tube station ( Fulham Broadway ) , really ten minute walk . take river taxi town back Monday night & amp ; also back Eye Tue - cheap way travel ( & amp ; charge kid ! ) . truly memorable time - son thought & quot ; cool & quot ; . definately back also recommend friend family - thank one happy mum & amp ; son ! ! ! : ) 
 Oct 25 2008 	 Quiet Location Good Value 	 stay 3 night Room 303 . research location beforehand know hotel bit & quot ; out - of - the - way & quot ; . however much problem 391 bus service fairly frequent take way to / from Fulham Broadway Tube Station , also find profusion shop . would advise obtain TFL Oyster card bus tube even short visit London cash fare high . get refund card leave London make one visit . otherwise stay valid 2 year date last use . I stay Jury 's Inns Belfast Nottingham , Jury 's Inn Chelsea usual standard . & quot ; King Coil & quot ; bed comfortable , everything work breakfast good . room 1 single 1 double bed good arrangement . however night occasional loud click hum noise come ceiling panel inside door wake . door entry card need reprogramme reception every day 3 night stay . but minor problem . complementary newspaper deliver every morning . immediate area hotel come millionaire ' apartment abundance , river walk , sensory garden , Marks Spencer food store . overall would recommend hotel . 
 Oct 17 2008 	 Value money London 	 ' ve stay Jurys Inn Chelsea couple time enjoy stay time . get decent sized room price pay compare hotel class London well 's relative newness ( though be start fray ever slightly notice recent visit last week ) . staff always courteous friendly . breakfast basic good bundle British Airways room rate use booking . other mention distance tube , find 15 minute walk Fulham Broaday tube station nice way work breakfast option 391 bus route always available be inclined ( well C3 Earl 's Court Tube Station ) . walk home design district nice furniture / drapery / fitting shop be sort thing also Chelsea Stadium . all one well hotel value London . 
 Oct 7 2008 	 Great Hotel Value ! 	 stay hotel month ago , extremely good value money . wife arrive treat warm smile , felt welcome acknowlege . get card go ttraight room unpack thing , find plenty space . room good size bed comfortable . unpacked alour thing go bar half hour , barstaff friendly give sense feel home comfortable . price food drink good aswell . when go hotel slightly puzzle get central london go back inside te receptionist helpful point we right direction , take bus option wich good . the hotel little bit way hear new transport available soon . nice sops river , two minute walk hotel . go several time night get bit bob . overall exremely well present , comfortable affordable hotel especially London 's standard ! would highly recommend hotel , look forward possibly return ! 
 Sep 20 2008 	 Great Value 	 book room LondonTown.com 60 pound / night ! great value London . room clean well appoint , London standard room HUGE . one double one twin bed room . arrive early ( 10 am ) check hope luggage store , already room ready ! staff pleasant helpful . reason give hotel 5 beat path , however , 391 bus take directly Fulham Broadway tube stop hotel less 5 minute . side note , Fulham Broadway one nice tube station ' ve ever ... starbuck , Krispy Kreme , 4 sit restaurant lunch dinner . already recommend hotel friend . 
 Sep 9 2008 	 well price modern hotel 	 clean , modern hotel . tea coffee make facility room . comfortable well equip internet connection ( extra charge ) , hairdryer , tv , airconditione , keycard lock good double glazing . first floor , road , room quiet . package not include breakfast , eat bar , nice food portion not huge fine . bar pleasant enough sit evening ( quite busy early evening ) drink not overprice . it area lot redevelopment go present . mainly large modern flat overlook river . walk new development 5 minute Thames pleasant walk along . also new bar restaurant ground floor block flat , likely future . 's & amp ; food store 2 minute hotel snack / picnic food drink . 's 15 minute walk Fulham Broadway , near tube ( plan train link near hotel ) . unpleasant walk though , hill , cut park . restaurant bar Fulham near station don'twant go city evening . we stay room 3 , 2 adult 12 year old . son proper bed camp bed ! nice hotel , friendly staff , clean comfortable - would stay . 
 Aug 22 2008 	 lovely hotel 	 hotel smart , clean else staff helpful friendly ! room stay family room bath / shower mention clean ! fault staff hotel would hesitate go back stay . eat hotel bar night stay although bit wait food well cook inexpensive . 
 Aug 3 2008 	 great place family great value 	 bit way , real London neighborhood . pleasant walk Fulham Broadway Tube , bus stop right outside . touristy . big room , enough three ( , wife son ) . pub within walking distance . close hotel Stamford Bridge ( although support Arsenal ) . good , GREAT value . can not emphasize enough real neighborhood real people live . would rather bump Londoners tourist ! return London ( exchange rate bit favorable ) stay , especially underground station build . 
 Jul 23 2008 	 good hotel good location 	 pleasant enough stay hotel . room bit cramp double bed , single bed camp bed young daughter , spotlessly clean not often . the breakfast good extra £ 18 cost really set day sightseeing . we hotel 4 night last day feed travel hotel . although bus stop outside hotel take around 40 min centre London . I realise hotel close centre would cost considerably toss cost convenience . 
 Jul 21 2008 	 absolutely fine : - little bit way 	 Jurys functional enough look pretty clean throughout . area go pretty big development get well . understand plan new station build future . bit hike circa 15 min walk Fulham Broadway tube bus look go close . bar area pleasant enough room spacious fine . good thing really price , London competitive . interesting see happen station open ! ! ! 
 Jul 13 2008 	 recommend 	 sometimes wonder hotel staff ever stop consider much time effort put select hotel , many us book travel . whether choose room base price value , location , comfort , , undoubtedly , look forward check . staff Jurys Inn Chelsea clearly never stop consider guest . I number disappointment staff : apathetic oblivious argumentative rude , will site one symptomatic experience sake brevity . upon pull back bed cover Night 1 ( 3 ) , immediately notice dried & quot ; sexual fluid & quot ; underside cover . stain , right . fold place corner . morning , call reception , inform cover clean put back bed . imagine delight turn back cover Night 2 , stare straight dead eye little seaman . bad enough housekeeping staff inspect cover least two occasion , let alone wash , even notify situation , still replace bed . one front desk awareness follow ensure clean cover find , least befoul one clean . finally Day 3 , cover go , comforter , look well , seem clean . there absolutely reason suffer hotel : particularly convenient anything , property advantage , staff unprofessional , price cheap . ( one point , accidentally find Jurys Inn Kensington , seem much different experience . chain , apparently , different standard property . ) 
 Jul 9 2008 	 great value comfort 	 stay hotel week two teenage girl couple year ago book londontown . com , without know much hotel . guess pleasant surprise arrive ! great stay back , friend decide stay hotel visit London early July . another week - another great stay . little bit beat track , bus - stop outside door , 's problem get tubestation since bus pass every ten minute . stay family room , actually fairly big . quick check - in , helpful people front desk ( especially arrive late night rock concert really hungry , help we order pizza deliver hotel ..... ) clean room . noise , work aircondition icemachine outside room . ' ve London close dozen time , stay many & quot ; hotel & quot ; - one use every time ' m London . reasonable prized ( pay £ 84 night ) great bargain . highly recommend ! 
 Jul 4 2008 	 Good Quality Good Price 	 wife stay 2 night , whilst attend Wimbledon tennis . stay many hotel London year , good get price . staff pleasant helpful , room clean , bedding freshly launder , shower facility excellent . choice breakfast sufficient - Continental ( £ 8 ) , English ( £ 10 ) . good selection beer bar celebrate Murray 's progress ! ! . yes , 15 minute walk Underground , bus ( taxi ) wish . heh , standard hard push find central London price . finally , management clearly take close interest customer tell site ..... act ... that s get positive recommendation ! ! 
 Jun 12 2008 	 great Find London Vacation 	 Jurys inn basic hotel nice interior design feature . location great - chelsea quiet neighborhood little away downtown London - enjoy & quot ; go home & quot ; residential area noisy crowded day tour London . room clean , bed comfortable , shower hot . staff extremely helpful inquiry ( actually take time help figure top new SIM card ! ) . husband 18 - month old daughter , immediately set pack n play crib , helpful . restaurant good - first night tomato soup , caesar salad ravioli restaurant , excellent . two day later fish n chip sandwich bar - also great , barman attentive friendly . the ( minor ) side room small side . walk Fulham Broadway station good 15 minute . not discover C3 bus front last day . Taxis plentiful , front desk always call one arrive within minute . also breakfast staff seem little lose - could keep silverware stock , food run , seem confused ask something . time get , table seem little dirty , like one maintain cleanliness mealtime . food good , though , selection adequate . in area - child 's playhouse behind hotel ( next Il Barista ) - great kid 3 - 10 year old . also Design Center half block away people interested architecture , marina behind . LOVED little coffee house call & quot ; Megan 's & quot ; amazing ( fair trade organic ) cappucino , buttery croissant lovely pastry breakfast . go king Road . take right , walk 300 meter past gas station . overall , nice find . would stay . 
 Jun 7 2008 	 good hotel stay ever ! 	 not normally ever consider write review hotel . good friend suggest write one , keep talk stay helpfulness staff . staff hotel courteous , attentive friendly . Gio , team call check promptly deliver iron request . see clearing table serve food buffet breakfast . often see senior manager involve ; astounding see harsh review . food good , service even well . London hotel not normally warm feel . issue stay able get taxi morning without wait half hour due ot location.this hotel amazing , stay everytime London . 
 may 31 2008 	 still wait .... 	 nice clean basic accomodation ' ve observation make . request smoking room book check confirm smoking room allocate . however , room contain ashtray would not smoke could somewhere put ash cigarette butt finish . Rang reception speak Assistat General Manager Giovanni Andrew confirm room smoking would ashtray deliver asap . still wait one check without ever see despite second request person member management . second annoying ddetail Il Barista coffee bar stand wait someone make coffee . young bar man duty say would get someone familair machine . would believe management member arrive take service duly serve client alcohol beverage still coffee . little disappointed lack personal skillsand general demeanour ' ve Jurys Hotels Inns amny year always find management staff , attentive , courteous friendly . Mr Andrew take time obeserve Martin , night manager action . follow example . he superb asset Jury 's Chelsea helpful many guest return hotel late football game . all say , stay comfortable nothing less expect 
 May 5 2008 	 right mark 	 arrive midafternoon greet friendly young receptionist . room spacious clean . nice front view harbour area . lot plan London could do without guidence night manager , Martin . gem Jurys Inn ! even come bus stop make sure right route . can not think single negative locale . maybe standard , ' too narrow tub ' ' little soundproof window . overall , great place , friendly , clean , comfortable safe . 
 Apr 25 2008 	 afforadable comfort convenience 	 stay Jurys Inn Chelsea part tour group pkg ( Trafalgar ) . although pick hotel , accommodation prove comfortable hotel easily accessible local transportation . the hotel quite nice . main lobby extravagant , appealing . front desk staff helpful , provide information question local restaurant , get around via tube system . room clean , comfortable , spacious . initially problem toilet flush , receive immediate attention , move another room toilet could fix . eat breakfast hotel restaurant morning , many tasty option . not eat dinner , quite satisfied great portion size variety breakfast . also small bar locate lobby area , enjoy pint evening . hotel location nice , beautiful walk harbour , discover nice restaurant ( 10 minute walk hotel ) , dine evening stay hotel . area modern , condominium / apartment new , could see area up - and - come . double decker bus ( stop right front hotel across street ) , take we tube station ( within minute ) , explore city London . enjoy stay Jurys Inn Chelsea , would definetely consider stay return London . 
 Apr 21 2008 	 good hotel location well unless want Fulham 	 stay 2 night business . the hotel good , despite mix booking - 1 night instead two , resolve quickly enough . good room breakfast fine . room service , order go collect tray . presume save cost , end long day , would nice avoid trek reception . my main gripe location . live 20 minute walk Fulham Broadway spend cab wherever need get , fine , actually want Fulham Chelsea Harbour area , great . if could pick hotel move nearer city would use . 
 Mar 31 2008 	 Jurys Inn Fulham - Good Value 	 Lets get one point clear - Jurys Inn Chelsea Chelsea , Fulham , actually . location next rather soulless new riverside development call Imperial Wharf , least useful shop ( e.g . Marks Spencer ) .The way location comment many previous poster . prepare long walk get interesting part king Road . upside location riverside walk ( Thames Path ) close fine weather plus . however , bad weather ( like day arrive ) rain wind sweep river - front . the room reasonable size ( although & quot ; spacious room & quot ; describe hotel website ) . spotlessly clean , blissfully quiet bed comfortable , nice bathroom everything work well . it let breakfast service . arrive breakfast 10.00 a.m. ( Sunday ) find almost every table breakfast room cover use plate cup . a disgusting sight , remain cooked breakfast strew everywhere , people find refuge chaos bar area . next half hour one thoroughly miserable - look young man clear wipe table extreme slowness watch . there almost spare cutlery , bowl plate , search around find single teaspoon . sign staff help . breakfast anyway rather poor , regardless state breakfast room . despite feel room size quality , appearance ambience hotel general good overall hotel good value money - London . hope breakfast service day . 
 Mar 28 2008 	 would stay 	 know large city expensive dollar all - time low currency , really need shop bargain . travel college age daughter girlfriend two college age son . book hotel special offer British Airways November . room w continental breakfast $ 109 per night fee taxis . bargain . hotel little way center London . clean quiet . breakfast choice cold cereal , fresh fruit , yogurt , cheese , roll , juice , coffee tea nicely arrange clean . staff polite helpful . exchange money cost bank . room fine . comfortable bed , tv , adequate bathroom - no exhaust fan though get steamy . double one twin bed - fine we . family three request cot may find little tight would work . chest clothe ( lot hotel ) space hang . hot water coffee tea ( supply ) room . hair dryer attach inside desk drawer . clock and/or clock radio bring alarm clock . ask wake call , hotel keep wake every day time clear it - well yet bring travel alarm . would nice hotel ready list bus tube take taxi service number . arrange taxi expensive . flag one cheap still expensive . discover bus stop call & quot ; Chelsea Harbour & quot ; . get bus right across street - cross road , take quick left , right see sheltered stop . bus stop hotel let return trip . take 391 bus Fulham / Broadway tube station ( get Fulham town hall stop . ) also take C3 bus Earl 's Court tube stop . ( get Earl 's court square could stay next stop . ) get oyster card tube station . 's pay go add need it - just make sure enough bus ride back . card cover bus tube . also reach maximum either cost number stop , long charge day - I forget . good advice ask people see . many people hear discuss need go helpful . get back hotel , locate Imperial Wharf Thames . area expand . find 4 restaurant - seafood , chinese , indian , thai plus wine shop small & amp ; food store sell sandwich too . the hotel restaurant bar area get food . menu look fine always eat . wish know leave great time would stay would recommend . unfortunately , probably will not visit London many year . 
 Mar 23 2008 	 min 15 - 20walk Tube location great price good 	 Husband stay 2 night part trafalgar tour early sept 2007 . London business week see pretty much tourist attraction already figure Tube etc . summary : good price london ( look internet compare hotel price read review ) , hotel clean new looking , bad location term proximity tube attractionsIf return London consider hotel due good price . pro : -hotel clean furnishing , etc look pretty new - price good london - in sept 2007 relatively nice quiet area . may change development proceed . room face street , hear occas car go , quiet . -front desk service fine - feel relatively safe walk around hotel . walk back dark night tube ; block close tube would wary alone due poor lighting.-laundry : find dry cleaner day laundry service near tube station around corner waitrose grocery store . drop late , got clean laundry back 5 pm 9 pound , around $ 18USD . cheap still cart laundry back hotel inexpensive day place find need laundry do . con : big drawback location . minimum 15 - 20 min walk anything , encumbered luggage etc . , include : near tube station ( fulham broadway ) , grocery store , shop etc . luggage , heavy bag , would double time safe . usually walk 15 - min mile talking stroll pace either . the hotel locate new development call Imperial Wharf . sept 2007 , not much yet , though sure much change since . sound like would combo upscale residence / restaurant / shop / bar etc . eventually . arrival departure : walk tube station hotel luggage . one carry - on wheeled suitcase one laptop backpack . highly recommend attempt unless extremely tight budget enjoy walk 1 mile heavy baggage back arm , esp luggage . glad see hotel fix website complain , originally list another tube station besides fulham broadway close , minimum one hour walk luggage tow arrival . Website fix , fulham broadway correct tube stop . food : buffet breakfast food one bad one tour , would worth price . , expect food England general bad ( go France Italy also , unfair comparison ) . internet access 10pounds/24 hrs ( $ 20USD ) . bad not free , though compare hotel , unreasonable price . 
 Mar 21 2008 	 good value family 	 room clean & amp ; good value family four . sofa bed fold bed two child . location quiet state 15 minute walk Fulham broadway station . taxi cost £ 4/5.overall good value family stay one room . would stay family would stay close west end two we . 
 Mar 17 2008 	 great hotel customer service lack time 	 hotel nice . room fresh clean London decent size . area pleasant restaurant bar far away . near station Fulham Broadway 10 - 15mins walk bus stop outside hotel . rate include breakfast , good standard . main area concern reception staff cold time unhelpful welcome hotel need ask info hotel rather offer . also tendency continue work computer leave standing , rude indeed include duty manager 's customer service skill particularly lacking . 
 Feb 20 2008 	 Good 	 stay Hotel book work . the Hotel clean staff friendly helpful . I would definately stay handy football fan Stamford Bridge 10 min walk away . 
 Feb 18 2008 	 Disappointing hotel 	 arrive 7 pm wait reception member staff finally come serve us - efficient book , request morning paper get room without problem . the room smallish , bed extremely small - clean . one curtain rail fall wall try close - look rail ' meet middle – 6 inch curtain would not close together ! spoke reception way evening time get back early hour fix ( gap either ) .In morning 90 minute boyfriend find not hot water - even try later still stone cold - impressed . morning paper requested not deliver either . least cup make morning coffee clean ! decide would find somewhere else breakfast ( great little cafe king Road ) .On check initially completely ignore young chap reception , obviously think turn we important . - maybe rucksack ..... another receptionist turn could finally check - complain lack hot water tell we trip switch flip nothing could - fair enough surely staff , 24 hour day , someone notice soon . location fine us head jazz club 1/2 mile away evening morning get ' tourist ' London 's walk king Road ( fine us - kid , rain happy walk ) .at end day not high end hotel mean show - consider not long look tatty place . overall impressed hotel would not recommend anyone . 
 Feb 17 2008 	 great value nice hotel 	 Jurys Inn Chelsea nice hotel , lot american - style amenity . advantage affordable , something find often London . stay hotel twice . room roomy comfortable , staff helpful , breakfast ( include ) good filling . minus side , hotel locate Imperial Wharf , near river Chelsea . 2/3 mile near Tube station . walk catch bus Underground . bus pickup across street , bus Earls Court frequent , add another transfer travel end day . neighborhood quiet ( -- wharf shopping restaurant district getting ground , become crowded next year ) . however -speake 20 year travel London -- hotel offer $ 80 night room nasty , crowded , noisy , full high school group , plain awful . slightly inconvenient location small price pay great hotel comfortable stay . recomend Jurys Inn highly . 
 Feb 11 2008 	 Avoid .. unless go Chelsea .. 	 first good stuff .. hotel situate lovely part London 15 min walk Fulham Broadway tube station . / Stamford Bridge football ground ... Tube will find fab restaurant & amp ; coffee shop ... rest involve putting & quot ; Moan Hat & quot ; purpose helping make informed choice ... -My wife & amp ; 10 yr old son stay -good discount £ 70 per night rate - room fine apart neighbour trying literally break wall 5 am ( sober ! ) guest thumping door try get around 5.30am .... hotel bar seem constantly pack noisy & quot ; lad weekend & quot ; type -staff sympathetic upon read review upon return noise complaint seem crop astonish regularity .. breakfast seem fine - & quot ; full Irish & quot ; cost son £ 7 -decent fare serve .. location fine long weather hold - rain ( not thankfully we ! ) be snooker .. factor taxi cost ( £ 5 one way ) invariably will end use stay .. short - fine cheap lad football weekend away .. anything else .. avoid .. tut tut Mr Q .. 
 Jan 15 2008 	 pleased choice . 	 arrive later want , due catch football traffice , receive pleasant welcome speedy registration Jurys Inn , Chelsea . as last minute booking know expect get lovely room first floor overlook front entrance hotel . room bright spotlessly clean , rest hotel . criticism room hairdryer secure drawer access mirror , could not see , get by . we find staff encounter pleasant cheerful . one member staff even come help could not get coffee pour properly coffee pot . choose hotel attend function Battersea Park feel right choice , hail taxi directly outside hotel easily . although wake 7 a.m. ( sunday morning ) someone think book taxi noisey clean staff outside room , collect supply clean cupboard , would choose hotel stay London . 
 Jan 6 2008 	 pretty good value ! 	 two friend stay Jurys Inn new year eve base London book last Minute . I ' ve stay quite place London , Jurys good value hotel , far tube ( lot taxi pass ) provide good standard accomodation . we book triple room one night 150 GBP one night new year eve , pretty reasonable . I would definately book hotel stay London compare hotel central , sound choice . 
 Jan 4 2008 	 Warning location 	 visit London many time , never Chelsea think Jurys Inn Chelsea good option we see sight . get double room £ 84.00 per night think reasonable . the Hotel fine ; friendly staff , room spacious clean , would expect Jury 's . problem location . surround area development lot building work going feel like middle Industrial Estate , miss feel hubub London . also stay December really quite cold long walk tube station none appeal ( 30 min ) . Staff inform we bus stop outside Hotel take Fulham Broadway tube , , single journey £ 2.00 , taxi cheap ! evening , not always get time wait bus , get tube , another walk wherever be go , end get taxi 's everywhere , tube not easily accessible . really cost we quite bit London traffic way be . so 's problem hotel , Jury 's prides choice location hotel , feel one let bit . 
 Dec 17 2007 	 Sort staff 	 hotel clean room ok well way anywhere relevance . find staff ( particularly breakfast area ) almost Fawltyesque generally rude unhelpful ( ask cutlery available receive curt & quot ; & quot ; ) . also contact room reception 10.30am see check thought see we leave ! would rather pay ( save taxi / bus fare get hotel ) insult . 
 Dec 1 2007 	 Excellent Choice ! 	 return 2 seperate 3 night 's stay Jury 's Inn Chelsea . delighted room , bed duvet comfortable , room spacious bathroom positively gleam ! front desk restaurant staff helpful pleasant , especially Chloe . bar staff always pleasant drink generous , especially price . we find location inconvenient , fact quite like C3 bus door , drop we 3 minute King 's row , could catch 22 11 bus take we anywhere want go . since much prefer bus tube King 's row one favorite shopping spot , delight . take 11 way Liverpool St station one morning decide one want save money , would great option Hop , Hop bus ! see area get well shop open Imperial Wharf . definitely return soon . 
 Nov 23 2007 	 Jurys Inn Chelsea nice hotel 	 get back 4 night Jury 's Inn Chelsea agree review . nice , clean hotel staff friendly . other state , location negative . really way need take bus get tube . not try walk tube , would guess 25 minute get Earl 's court . 's 10 minute bus ride . take C3 Earl 's court way back drop across street hotel . ( plan tube station next door ) info : book hotel British Airways offer . room 2 adult , 1 teen . not drawer clothe - 2 drawer desk . hair dryer one desk drawer . ice machine floor . continental breakfast cereal , roll , yogert , fruit , etc . offer internet connection ( think pay ) common computer guest use - would really big plus . 
 Nov 19 2007 	 wonderful would go back reserve next yr . 	 hotel room , clean . service excellent . pleasant helpful . bar area wonderful nightcap . lounge area cozy . really wonderful staff helpful come ensure stay hotel pleasant one . wonderful disposition . not afraid travel bus walk train station hotel stay . close bus take Fulham station Earl 's Court . walk distance bad follow bus pattern far Central London . I pleasant stay serious go back stay . close Chelsea Football stadium development happen still exciting area dine , drink walk around . 
 Nov 9 2007 	 Good Choice London trip 	 bit late review go . both son ( aged 16 ) stay Jury ' Inn Chelsea 5 night mid June , end school term treat include trip new Wembley stadium see Muse concert . know London quite well stay hotel pick hotel primarily basis cost general good review Trip Advisor . number hotel check quite bit ( , lot ! ) expensive albeit near west End general environ . arrival greet reception staff friendly welcoming . room quite large , spotlessly clean comfortable . my fussy son ( like comfort ) give hotel firm thumb up . we ' eat breakfast dine hotel ' comment aspect . the bar fairly standard fare find modern hotel type – one two drink staff friendly . nice bar hotel call Lots Road Pub . the hotel locate pleasant area beside Chelsea Harbour - walk king Road one day head foot museum district ( V & amp ; , Natural History Science Museum ) – bit stroll ! find really nice restaurant king Road ( Bluebird ) breakfast – recommend way . some reviewer comment hotel ' town bit ' location – ' really problem get sight good time without hassle . would quibble option travel central London choose C3 bus Earls Court tube station prefer option , indicate reviewer . the advantage go Earls Court rather Fulham Broadway tube station directly Piccadilly Line stop many main point interest – museum district , Harrods , Buckingham Palace , Piccadilly Circus , Leicester Square etc . also link line , ' easy get location enable we get Wembley stadium quite easily . Piccadilly line also go direct Heathrow Airport . travel fairly light catch tube airport get Earls Court station exit via Earls Court Road side ; c3 bus stop across road 50 meter right hand side – ' 10 minute bus ride hotel . cheap handy option fly Heathrow . to sum – pleased stay Jury ' Inn Chelsea , likely stay next time town . city like London quite expensive , hotel manage high quality overall good value money . good Choice . 
 Oct 13 2007 	 true 3 star hotel 	 spend 3 day Jury 's Inn Chelsea beginnibg Oct. 2007 2 son . great time . staff great . assist we request . hotel clean comfortable . transportation issue get around London . 2 differant bus stop outside hotel . reason hotel staff inform must walk mile get Tube . , stand outside across street catch bus station 2 pound . unless enjoy walk . hotel way , know get aroung . bus good option , Tube always seem upgrade . 
 Sep 27 2007 	 Splendid Stay hotel 	 stay gorgeous hotel september 2007 & amp ; pleasantly delight experience ! hotel room decorate nicely , comfortable & amp ; friendly ! staff helpful , willing & amp ; friendly & amp ; give advice need happy ! especially Fiona Rutherford ! lovely lady & amp ; great help we ! Bar & amp ; dining room clean & amp ; welcoming & amp ; food reasonably price . hotel little way city centre & amp ; fulham area chelsea easy way get city ! take taxi always outside hotel cheap way get city centre take C3 Bus across road hotel take Earls Court , take tube Earls Court Station City walk 15 min Fulham Broadway Station & amp ; take tube . we stay hotel 5 day & amp ; take bus & amp ; tube everyday & amp ; satisfied , suggest stay hotel good hotel reasonable price & amp ; great value ! 
 Sep 23 2007 	 Excellent value London 	 Booked Easy Jet Hotel website stay 2 night 12th & amp ; 13th Sep 07 . check pretty swift - staff helpful friendly . give corner room 1st floor superb - spotless large plenty natural light . not eat hotel time constraint choice , continental breakfast within rate fine . area around hotel still develop though couple restaurant ( indian & amp ; Thai ) river side pub across road Imperial Wharf . main consideration hotel note previous review location , good 10/15 minute walk near tube station Fulham Broadway , though bus stop right outside front door . time weather gorgeous , walk infact preferable bus . make day 's sightseeing would recommend take river taxi fom Chelsea Harbour Pier ( couple minute hotel ) operate morning commuter time go EmbankmentAll ideal base visit central London - much well majority tired , old , small , extortionately price central hotel room 
 Sep 12 2007 	 excellent 3 star hotel 	 stay Jurys Inn Chelsea Hotel two night part British Airways package US . pleasantly surprise 3 star hotel . room clean spacious ; front desk staff friendly helpful . continental cold breakfast part package . food gourmet adequate . complaint coffee terrible . coffee sort powder weak mixture deliver machine . hotel also provide fat skim milk . three pound could hot breakfast fry egg , sausage , ham potato buffet . hotel quiet section Chelsea near Imperial Wharf . hotel easy 20 minute flat walk Fulham Broadway ( Green District Line towards Wimbledon ) . get hotel Fulham Broadway exit underground take right Fulham Broadway , Cross street take first leave Harwood Road , walk end take right onto Bagley Lane / Harwood Terrace take first right onto Imperial Road , hotel theleft hand side . lot restaurant pub near tube station supermarket tube station . 
