great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 Nov 12 2007 	 good value money good location 	 get back two nite weekend stay London boyfriend . hotel easy find , straight road Paddington station- book . arrival politely greet friendly foreign staff good English . reception modern clean fresh flowers- always good sign . check quickly soon room ( 103 first floor ) people would disappoint room small , although finishing good price , 3star hotel central london , presently pleased ! bed small cosy ! room modern newly fit compact bathroom- good shower facility tight . free toiletry nice , cheap smelling ! big draw back bathroom towel high up- short , forget ! large plasma tv wall although reception ' good ( quite snowy ! ) ok enough watch - mind , go London weekend watch tv ! ! ! ? ? ? ! ! ! tea coffee make facility small fridge- perfect quite small convenient store around corner buy milk , juice wine snack etc . ' comment food ' eat restaurant look ok . iron ironing board , hairdryer etc room . ask concierge order us taxi show go downstairs private chauffer Mercedes , much nice black cab ! ! ! late train home could leave bag luggage room cost pick later . weekend great , go london short stay would like somewhere central good value money would recommend place ! 
 Oct 29 2007 	 tall 5 ft 7inche do not go 	 wardrobe big double room book staff uninterseted existance well shower could fit size 0 supermodel big forget . plus side laugh hour size room fact could not find blind long enoug window ........ never 
 Oct 17 2007 	 tiny 	 suite actually tiny room 4foot double bed . tiny bathroom minimal facilite clean cheap good location . 
 Oct 8 2007 	 Absolute disaster - bad hotel experience ever ! ! ! ! 	 would recommend stay & quot ; hotel & quot ; anyone . prebooked self contain studio apartment January 2007 5 night stay July / August 2007with another book company ( Quality Apartments London ) . arrive early morning 30 hour flight check . could get apartment early , tell come back 2 pm . 40 hour sleep walk street , arrive hotel tell apartment give away family . furious prebooked confirm back January . give twin share room & quot ; told & quot ; plasma tv air conditioning . hole wall TV suppose , air conditioning work bar fridge blow hot air . bathroom renovate bath fitting fall try shower . ask room restock toilet paper , soap , shampoo clean glass . joke ! ! ! staff desk rude give we explanation give room away . top , mouse run across dining room floor breakfast one morning . conclusion , 5 night stay pleasurable would certainly recommend establishment anyone stay London . read review , appear hotel long record booking . disgrace ! ! ! ! 
 Sep 22 2007 	 beware beware beware 	 book hotel via reliable online source disaster . stay different property Hogarth Kensington , own conpany . think since prior experience great would problem fool . webiste boast amentite ( iron / irione board , internet access , air conditioning ) none 1st room . ask move go well initially . room double bed , fine London way , tiny . large window room lead balcony nice window lock . shower bathroom tight tight fight , turn around shower . 2nd day hotel air conditioner start pour water desk luggage . Maintenance come 1 hr later . room service non responsesive .. real , 1hr passed call front desk come 30 min . later wrong order . desk clerk call try talk harshly mate , totally unacceptable . disappointed customer sevice front desk include manager helpful friendly . 4 guest complain room day 3 5 day stay . stay , matter great rate may get . store close sell alcohol 9 pm get drink shopping early ! ! ! 
 Sep 22 2007 	 beware phony ` ` suite '' overbooking . 	 not con title & quot ; suites & quot ; . sink kettle kitchen make - especially room already tiny . beware - seem passion overbooke . turn away several guest - booking - turn . take time persuade find room stay even though book pay deposit . only good point - manager 's response - finally get hld - offer reduction room rate . expect - put type room book - nonetheless welcome . 
 Sep 21 2007 	 convenient flawed 	 book hotel without knowledge area would , compare many reviewer pretty happy accommodation understand rate pay pretty typical . hotel bunch old georgian home cobble together hallway mazelike narrow not issue . elevator ( lift ) among small ever see hopefully work otherwise must haul bag several long flight stair . breakfast include rate pricey fair , suggest try one little cafe street nearby head towards Paddington station . room clean tight although know would case London . bathroom fine , heat work bed fair . tv tiny 6 station come London see city , watch tv . Paddington station short walk convenient train subway connection . Heathrow Express run non - stop Heathrow Paddington expensive taking tube via Piccadilly . reception staff ok overwhelmingly helpful . ' ve never stay elsewhere London not anything else compare , otherwise think could bad ! 
 Sep 19 2007 	 Value 30 GBP / 60 usd stay 1 night 	 prepare bad service lot inconvenience . location ok , be . hotel staff obviously big problem ! 
 Sep 15 2007 	 reasonable hotel reasonable expectation 	 let us honest London hotel - want american standard ( spacious , modern , flashy ) London place visit unless generous accommodation budget . book property company . find , immediately come Trip Advisor see dread arrival base read .... good reason seem ( write review hotel ) . be perfectly pleasant adequate business holiday requirement . area : reception : average - never expect anyone London service role speak great english guy not . reservation place process expect . access : american beware - never look flashy accessing room convert mansion hotel ! hallways narrow , fire door nuisance 's basically rabbit warren . stay Hilton bother - 's standard even good hotel UK ! bad property , well many . record , lift working fine , although acknowledge many reviewer say not stay . room : yes be small . compare american australian room . one small , microwave , sink , refrigerator basic equipment allow buy dinner Sainsbury 's heat myself . , wood floor , recently renovate modern bathroom - not lack anything except perhaps new bed ( one little saggy , sleepable clean ) .amenitie : free broadband internet access must business traveller ( ) great . 's proper air conditioning oppose usual groan radiator need bullet put misery . hotel not room service particularly useful amenity within wall , 's second walk Craven Road / Craven Hill shopping / eat need easily meet . five minute Paddington Station ( two other ) affluent part London . location superb ! safe , easy walk around Reception happy provide map free charge not come pack London A - z . grocery cafe pharmacy boutique , nothing two three minute hotel . be prepared walk 10 min take bus , amazing Edgeware Road shopping imminently accessible . overall : service never brilliant London room never large . business traveller mostly dreadful experience hotel London , would say one perfectly acceptable reflect adequate value money within London context . not agree 's 4 star rating - 's 3 star book . would stay many other , particularly ability heat up / refrigerate healthy meal rather eat british hotel slop real bonus ! 
 Sep 3 2007 	 bad 	 bf stay hotel weekend 2 night . think ok price . room modern clean , plus plasma screen telly bonus . could use channel though . like review site , abit disappointed size room . double deluxe room expect abit space . walk around bed prove difficult . shower also small clean modern , can not really complain . my big problem hotel disturb clean morning barely past 9 am . since check time 12 noon , would not well idea clean go around room time later people would either check least day ? something consider ! overall , think value money 
 Aug 28 2007 	 nothing learn 	 recognise writing review almost 2 year stay hotel may seem strange . however , curiosity look Paddington Court Hotel Suites convince thing must improve since stay almost 2 year ago . one would expect self respect business implement improvement programme give level bad review / complaint hotel attract . sadly , almost unbeliveably see recent review nothing whatsoever learn Best Western continue simply care customer . family book 2 night dreadful hotel cut stay short stay 1 night even though mean financial loss part . time erase memory hostile reception arrival rabbit warren room case incredibly tiny number non function fitting . not whatever stay place , redeem feature breakfast well describe ok . 
 Aug 1 2007 	 give miss 	 hotel huge dissapointment . room tiny corridor gloomy tight . check staff offhand we . start deal we dash deal someone else - eventually return 15 minute later . tell find room ask , staff member sigh look annoyed . major work carry stay . cause lot dust noise plumb intermittent . housekeeping staff heat argument corridor , uncomfortable guest . one avoid . 
 Jul 25 2007 	 Unsafe Hotel 	 stay 4 night business London . room 3rd floor mean long walk past reception , lounge along back hotel . room single bed shower far , small ever see hotel . big flat screen tv poor reception . one day stay refurbishment work hotel mean lounge close use side Fire Exit door gain access hotel . mean bypass reception check perform enter hotel . anyone could come go . mention hotel staff seem indifferent matter doubt even get ear general manager . 
 Jul 16 2007 	 London June 	 Nice hotel block Paddington street subway station 15 minute ride heathrow airport express train . beware telephone . charge $ 2 per call $ 4 per minute , first minute call $ 6 . insanity . 
 Jul 10 2007 	 lovely location shame room . 	 book room Paddington Court Shaftesbury website price discount think good deal . not bad hotel great not think worth £ 95 per night pay . location good thing - Hyde Park end street , be five minute walk Paddington Station , road 's busy restaurant grocery shop around corner . room across street main hotel building bit alarm lock outside door break mean anyone could get . room tiny enough bring word ' swing ' ' cat ' mind . small move bed shut inside door ! clean though . room really hot , air con not bad . bathroom tiny clean - sink nothing hand basin though careful drop toothpaste ! main light not work fix we straightaway . annoying thing kettle lamp provide one plug socket stand one tv plug . hunt find two socket behind one bedside table , could either turn tv make coffee bedside table - dark not room everything . breakfast buffet fine include price staff helpful friendly . also let we leave luggage checked not go home evening appreciate . it may sound like ' m fussy , be expect good western £ 95 night . plenty hotel surround street - next time will try one . 
 Jul 9 2007 	 goog get reservation right 	 book stay hotel 4 month arrive . arrive family front we 's reservation wrong . book triple room hear staff tell not triple room . 8 year old parent seperate one stay chlild . get desk , know advance go problem book 1 double guess ... one triple . tell book double show booking form . send we lounge wait see . end manage get 2 double single fine us child would problem previous couple . talk people hotel , messing reservation seem quite normal . one family australia 2 child one room parent another room total opposite end hotel . the hotel general clean easy reach paddington station . hint though .... be 5 , get taxi euston instead pay tube . cost £ 20 taxi much comfortable ! breakfast ok , plenty choose , think orange juice foul . also make sure not try charge english breakfast check . book tell we book continental breakfast ..... go breakfast choice tell full english cost ! another recommendation hotel get lift instal ion refurbish part hotel ..... 6 flight stair 4 time day fun anyone , least maid drag heavy load laundry ! would recommend hotel back packer 1 night stayer . stay 2 enough . 
 Jul 7 2007 	 not turn late 	 make booking [ -- ] . state would arrive late ( 10 pm ) . arrive midnight . ask fill registration card . staff deal multiple task time , keep leave go & quot ; back & quot ; . minute later , fire alarm go every one staff decide need involved look fire panel . minute later complete card , stand wait reception answer phone . really feel like ignore . wait get room key . tell due reburbishment room complete , room available . really expect refurbishment complete 10 pm , book room someone else since not arrive midnight ? tell trying find alternative accommodation another hotel . tell hotels area vacancy , would go hotel Earls Court . 12.30am . car call take , hear , go Earls Court , go Shaftesbury Hyde Park Hotel , car would soon . car arrive 12.40am , confusion address . driver tell ... & quot ; be near Queensway & quot ; . insist give full address ( understand ! ) . , one hour later arrive alternative hotel . so , knew arrive late , arrange alternative accommodation arrive . arrive , everything completely disorganise , take 45 minute sort . .Following , email hotel twice ask explanation , far receive reply . will not stay . 
 Jul 6 2007 	 good location Poor hotel 	 arrive London 1 June 2007 stay Sister Hotel Bayswater . month long vacation require we book additional three day end June sight seeing . book Paddington 3 June three night ( 26,27 , 28 June ) , confirmation number arrive inform shuttle different hotel due & quot ; construction problem & quot ; . locate Hilton Kensington -- great -- place look great treat second class guest . last two night shuttle back Paddington stay room ten foot ten foot . place put luggage . -- staff suggest could store storage room -- ok hotel business traveller people vacation luggage . stay newly renovate room find bathroon small poor lighting . ws difficult addequate lighting wife apply makeup . pay 169 pound ( $ 325 Canadian ) per night cubby hole . would stay probably consider best western chain future vacation . 
 Jul 2 2007 	 bad might think 	 stay three night hotel June 2007 . three room hotel . one room small room need work . one room nice large comparison London hotel stay . last room newly renovate part hotel . nice . read many terrible thing hotel look forward stay , turn near bad every say . everyone seem complain desk across street , like street major freeway . quiet , busy street Paddington . would stay ever London . 
 Jun 7 2007 	 small nice 	 book central - london apartment get studio suite . arrive late , get stick really really tiny room really big enough fit double bed sink . bathroom not bad . try test adapter room 's circuit almost blow light turn . quickly run front desk help we fix circuit ... kinda . light properly work still , since arrive late ( 11 pm ) could move we another room follow day . follow day different staff front desk aware situation entirely . know move explain fizz circuit . assure we would engineer look need , would move stuff we another room . also ask adapter say would ready we well . when arrive informed move stuff another room ( see pix ) , much nice circuit problem give we adapter . overall , staff friendly , location bad ( couple block away lancaster gate paddington tube station ) . be convenient cheap deli go breakfast around corner well many restaurant . would recommend hotel . aware late check ... 
 Jun 5 2007 	 Beware 	 stay hotel horrible . would not refer bad enemy . first put hotel room across road . room super small , wall dirty blanket ratty . closet door would not close dim . telephone would work every time issue walk front desk rain cold . also HEAT WORKING ! ask move another room say book would move next day . room new shower small could turn around . ask adapter day tell . dissapointe hotel . save penny stay * street . 
 May 30 2007 	 cheap great value 	 choose hotel cheap could find look nice ok review . picture web room main building , put building across road main hotel much need updating . room clean although small , enough room squeeze double bed . put kettle floor make cup tea wire would reach plug socket . also shower door shut although plenty hot water . do not book breakfast advance , advertise £ 15 arrive offer breakfast half price . breakfast constantly run food staff slow replenish although standard food good . the hotel good location approximately 6 - 7minute walk Paddington station . 
 may 28 2007 	 stay elsewhere 	 find comparably price hotel stay London , . Padding Court Hotel London good choice matter price . arrive hotel part large family reunion least 60 people . would expect hotel ready large party know come , also 2 hour behind schedule due delay flight . arrive , staff idea we . get room key try find luggage turn stressful event . people party disabilite ask room require stair access turn give room require least half flight stair get front door . manager front desk staff cold indifferent never able give we accurate information . ask change guard take place specific day , informed arrive Buckingham Palace change guard go . room terrible ! mean terrible unless lucky enough large family give one suite across street main hotel . large renovation go make room small anything ever see . husband crawl across bed access either side room . enough space 2 us bag piece especially since place put bag . look like take size normal hotel room cut half . bathroom even small stand shower barely fit 6 ' 2 & quot ; man . plus go hotel free internet access lounge buffet breakfast . breakfast offer large array cereal , pastry , juice , fruit , egg , ham . downside breakfast restaurant locate basement many table crowd small space eat elbow attach side . renovation , problem exist part hotel . hear story phone work , wall thin every cough , laugh , open door could hear 3 adjoining room , strong paint smell etc . could change hotel , would . big plus location . hotel 2 different tube stop , Padding Lancaster Gate , conveinent . also several great pub italian indian restaurant within walking distance . need / want stay Paddinton area , many hotel choose . stay away one . 
 May 25 2007 	 perfectly Decent reasonably price 	 four - star hotel . room small service harry . be clean , furniture modern , air conditioning broadband work well , be conveniently locate . f intend hang around room bother minor imperfection , will want stay somewhere else . clean , reasonably price place sleep want , fine . 
 May 20 2007 	 understand complain 	 read review hotel bit worried stay . honestly say know fuss , suppose please everyone people not happy unless moaning complaining.unfortunately fall damage ankle leave one day , reception staff give we full refund remain 2 night stay , staff helpful , friendly , also speak good english ( do not need go reception check ) .And arrange taxi we go euston station reasonable priceOn whole find hotel clean , modern , room fantastic mod con , plasma tv wall , modern decor , light e.t.c , bathroom great aswell modern importantley spotlessly clean . so would not take much notice winger let put excellent 3 * hotel ( want something top class go Ritz Hilton ) location fantastic lot little shop restaurant little cafe want good english breakfast £ 2.99.I stay 3 * hotel european city , mainly Paris Amsterdam far good , definately go back . 
 may 2 2007 	 stay away hotel 	 receiption people far excpecte arrive hotel . arrive late evening tell could find resevation , despite call day assure booking , do 4 month ago , ok . hotel full , 1 hour send we taxi hotel near Marble Arch ( say ) . appear hotel Kilburn far central London . go back Best Western Paddington ask lie , instead apologize , tell misunderstood situation . lot argue tell could stay 2 night Kilburn pick 10 a.m. Kilburn hotel . room also upgrade suite return . pickup upgrade write sign reception manager request . 3 a.m instal nice service minded hotel Kilburn . Sunday , return Paddington , receiption Kilburn call Best Western Paddington assure car send pick we . 8 call finaly get hold head receptionist , know anything send car pick we . lot new arguing lie , send car pick we 11 a.m . upgrade suit would call joke . room small one suitcase could open time , breakfast room queue half hour seat . positive hotel location room clean . unfortunately enough save 4 day stay London beee like nightmare . displeased visitor Oslo , Norway . 
 Apr 27 2007 	 Noise Sleep Poor Facilities 	 Stayed end April 2007 . go back ! ! put one & quot ; suites & quot ; across road main building , room 653 . fact small basement room one window look two toilet window bottom dirty vertical gap 8 foot square . do tempt open window downpipe rainwatrer corrode leak sound even light rain cascade wake . mean ensure window close . put air - conditioning freezee around 3'ish morning make loud dripping onto carpet . ( lovely wet sock next morning ) tv work initially need tune 5 channel available couple frozen digital channel . take 10 min every time , annoying come wanting see particular program . would end crick neck tv instal slant . ? slight personal moan , need glass read , light enough allow read without strain . remove lampshade read , even natural light dimhave wash shave ? unless tap run continually . plug sink miss despite 5 request 3 day promise would sort , nothing do . think epitomise standard hotel ! late want drink , forget , bar close 11 . however disturb card use , handle hang on . do expect get sleep 07:30 . noise incredible people walk , clean staff ( think ) drag bang stuff around hour . breakfast open till 10 nothing special , quite poor , close . aware checking charge extra breakfast could physically manage . overall three night , get break sleep every night , wake EVERY morning , could get drink poor service indeed . thank goodness lot restauranta area stop many B & amp ; b 's offer well facility think Best Western use superlative without reason 
 Apr 23 2007 	 hear neighbour talk ! 	 expensive little ! room ok , tiny , tiny . bad thing actually hear anything neighbour talk . .. oh , breakfast recommend . area nice , though . 
 Mar 30 2007 	 satisfied hotel 	 would definitely stay hotel . room small clean neat . temperature room easily ajustable window could open . there instant coffee tea bag provide electrical waterheater heat water second . free internet service nice ( although slow ) keyboard work call desk , somebody send immediately check problem ( need new battery , provide ) bathroom nice tiny shower perfect working order , nice fluffy supersize towel hairdryer . continental breakfast include ( mixed fresh fruit , yoghurt , cold sausage slice , cheese , variety sweet roll , bread , orange juice coffee ) . tell breakfast could upgrade wish 5 pound could egg , bacon potato include . find hotel staff extremely friendly helpfull ( ask converter camera first tell not american camera , somebody knock door 30 minute later tell find one ) . location good ( walk distance Paddington Station ) next cozy street lot restaurant shop . 
 Mar 28 2007 	 Fair price 	 stay five night mid - March . plus : staff friendly courteous , short walk Paddington Train station ( take directly Heathrow ) , good location . Hyde Park Kensington Park two block away , lot little cafe nearby . quiet yet near lot sight . hotel also provide internet access main area , well wifi . negative : & quot ; lift & quot ; break , mean hoof four flight stair ( kind pain walking see sight day ) , shower TINY ( ie , move slightly body touch shower curtain ) , comforter bed appear stain . although enjoy stay London , probably go back hotel . would definitely stay surround area . get fantastic rate disappoint hotel . 
 Mar 15 2007 	 Close construction 	 agree always well come first reserving room ! not know anything London know want certain location would good walk many attraction . this area perfect . residential feel like local walk street . pharmacy little cafe closeby , Paddington Station easy walk Heathrow Express work great . good thing block Hyde Park , perfect kid . say , several hotel area . would recommend area another hotel . it true staff speak English . polite helpful . thankfully , husband travel internationally lot even two small child pretty self sufficient . annoyed request early checkin ( night flight ) crib ( even email confirm week advance , reply ) . seem confused reservation ... want us double crib want we wait 2:00 check time . finally speak say book British Air , book Triple crib early checkin . say maybe could get around 1:00.our room triple ... neat clean . bathroom large , thought . crib wait we , ask it . the big problem make reservation ( month ago ) , week trip , receive email British Air say hotel advise would & quot ; slight construction & quot ; worker instruct work & quot ; regular business hour & quot ; affect guest . listen . construction limit one area . start early morning . may asleep 7 ( would 2 eastern time ! ! ! ! ! ! ! ! ) suddenly chainsaw start right outside window . could relax Saturday morning 7 , someone hammer floor . wall super thin deal 's talk tv side demolition something want hear first thing morning . their construction project extensive . really ' ve shut could finish get feel cheap . think feel sucker people polite vague warning . so stay area ... 's beautiful~ stay away Best Western Paddington Court . 
 Mar 14 2007 	 leave sour taste 	 spend 4 night leave feeling experience could well . room fine - building across road reception - basement . problem find door behind another unmarked door . clean , tv internet work even complaint . bathroom bad , shower leak onto floor sink tap partly block squirt sideways get wet whenever use . rest room fine comfortable bed , desk , heater , nice little kitchen bench fridge coffee make facility . breakfast reasonable . need navigate redecoration mess get restaurant . continental day , part price . however , checkout charge full breakfast amount arguing would persuade pay . & quot ; system & quot ; . group 8 , other & quot ; tax & quot ; amount . extremely upset reason would never go , would warn potential guest could happen . would also suggest take taxi hotel , use service & quot ; recommend & quot ; hotel staff . take 2 taxi Gatwick , driver would take credit card , want charge we 300 euro ! ! manage find 130 GBP 2 taxi . location OK 's nothing really see Paddington anyway , except station underground . summary , 's real reason recommend hotel . 
 Mar 13 2007 	 would stay hotel 	 require two room family . neither room tub shower small , child trouble stay ! take 20 minute hot water come , wall paper thin grungy . expect Best Western . 
 Mar 10 2007 	 cheap convenient 	 price pay hotel fine ! room clean towel supply , pretty small want somewhere sleep get clean serve 's purpose . bit like rabbit warren , many corridor ! breakfast fine hot food bring regularly . lot restaurant surround hotel - good indian Lebonese . at 5 minute walk Lancaster Gate tube ( even luggage ) . approx . 10 minute stroll Oxford Street park . overall hotel convenient location easy get Paddington Victoria - however , spend lot time room intend dance place ! 
 Feb 21 2007 	 not waste money ! 	 really wish have check website book place ! ! give room sublevel 1 . mean Basement level . much daylight . kind hotel put good western gold crown club member guest basement level ? ! one ! ! get room go less 7 fire door small corridor hallway use plate tray lie floor , quite difficult get luggage . room TINY . could not even open suitcase properly room . website room picture suit adjacent property across road ! water cooker working , electricity socket need replace , remote control break , hair dryer miss , window latch break . Bathroom repairman instal water pipe OUTSIDE wall rather WALL . mixer tap . dirty shower curtain . list go on . on 3 occasion 6 day hot water stop work . previous review notice ongoing problem . also , not seem make much difference floor be room miniscule . breakfast nightmare . long queue hungry people nothing bring rude restaurant staff not speak world English . ( England ) .It 's 10 minute walk tube station Lancaster gate - nice tube station , far away city centre , frequently overcrowded area hundred & quot ; budget hotel & quot ; still charge extortionate price . trust , shop around money go LOT poor excuse hotel . get much nice place lot close town centre money . can not believe good western not read internet review take away name branding branch clearly not deserve it . I not think 's anything positive say place . take money elsewhere complain good western head office ' ve stay here . ever since stay always check hotel review online wherever ' m go book anything . 
 Feb 20 2007 	 good place stay 	 husband go London every year wedding anniversary always book hotel online . find Paddington Court website think good location clean , important thing . arrive hotel evening Feb 13th , 7.30pm , booking not take long show room polite member staff . room well equipte although massive , plenty big enough base ( really need visit London ) . equiptment room good working order good quality . hotel clean , staff polite friendly breakfast nice . I would recommend hotel excellent place stay visit London book ! 
 Feb 18 2007 	 great ! ! ! long do not deal reception often ( Book suite ) 	 family 4 book stay executive suite . room good enough size - esp London - kitchenette godsend consider 6month old baby ! problem need something specific - recpetion staff hopeless speak understand good english . arrive lug everything 3rd floor find room occupy - ok guy recep training girl rude - like ' tell occupy ! ' v rude ! sheet leave use sofabe cot not put . final thing think funny - room key would not work get reactivate - apparently underground deactivate key ! ! ! LOL hotel breakfast great room ( long suite , good size ) would reccommend esp family . 
 Feb 13 2007 	 possibly small room ever 	 stay hotel one night 10 feb 2007 . room tiny could't even walk around bed even full size double . hotel tired really needs facelit underway . staff unprofessional queue people muck reservation far afield stay . put small room glad get 
 Jan 29 2007 	 stay 	 one bad place ever stay .. proof hotel website trust . friend ( two girl ) book 4 night ... arrive plane Dublin get around 12.30 tell room not ready . not feel safe leave bag reception - girl working argument someone ( speak foreign language , fairly heated argument ) . anyhow , wait around till room ready . stage , want move hotel pre - pay credit card could not really leave . show room second floor - not clean yet quite frankly disgusting . wallpaper dirty place , furniture pull place reason ( believe repair take place light switch ) bed barely make either . tell reception would stay room instead give room right top hotel - get go fire door along fire exit type structure . bit tricky get luggage along catwalk part ( feel neither we could get tipsy order get back room ) . tiny room , twin bed wedge , old fashioned shower close toilet . 's good friend get not much choice follow day . air - con window sticky open , bad get migraine air stuffy happen bit day . not venture breakfast go rest hotel , not thrilled cleanliness etc . anyhow , be - 's ok price people say not matter room like be busy London . well , safety cleanliness two thing expect hotel will not stay anywhere dirty dangerous . feel case hotel . plus price location neither matter be happy room . 
 Jan 25 2007 	 Clean + Convenient 	 stay 2 night weekend friend see sight shop . walk distance numerous tube station get anywhere London . room clean bit small usual facility . price room reasonable . would recommend hotel young traveller . 
 Jan 24 2007 	 bad review suggest 	 positive : good breakfast , reasonalbe location near Lancaster Gate tube station ( 5 min walk ) . free wire broadband room . clean enough . noon checkout . £ 49 per night ( inc breakfast ) can not expect perfection . negative : Slloooooooooooww check - in . small room . bit tatty place - aircon pipework cable corridor look awful . poor signage - probably get lose look restaurant - although building work progress none staff seem initiative put tempoary sign . 
 Jan 23 2007 	 dreadful building site 	 recomend hotel - building site January 2007 . touble lock room door , hot water , shabby decor bedroom , damp smell . small room , small bathroom , service 11 pm reception . cold room wy alter heating control nerve charge extra £ 7 want cook food breakfast . WASTE cash . 
 Jan 19 2007 	 well expect 	 say not expect much review , get great deal Britsh Airways , decide go anyway . room small , expect London . hotel locate nice area -- close paddington train stop , good stop heathrow express tube . breakfast include good . water situation last day trasferre immediately & quot ; suite & quot ; . new room across street even though kitchenette , feel small first room . would recommend pay extra suite unless plan cooking bunch save food cost . not even space keep bag . hotel pleasant would recommend especially get cheaply BA deal . 
 Jan 1 2007 	 good laugh size room . 	 staff hotel nice . good thing whole place try well look we . room smallest ever see - actually climb bed end bed ! shower tiny . email / tv work . give filthy towel ( mean filthy ! ! ! ) instead clean one one morning there . location good . 
 Dec 19 2006 	 not take risk 	 stay hotel one unpleasant one personal hotel history , problem encounter hotel also staff 's attitude . the first problem get morning aircon / heating not work . way make work . consider outside 4ºc , imagine room quite chilly . hope shower would warm . however , prove impossible , something wrong temperature control , water come boil freezing , intermediate option . try every possible position control almost get burn process , nothing . finally realize impossible . report person reception , apologize not able offer solution . after suggest hotel staff not charge full rate , consider pay facility could not use ( heat private shower ) , leave hotel feel cold uncomfortable . choose Paddington Court Hotel stay , think best western brand guarantee pleasant stay , unfortunately case . complain twice writing , kind response ( read review , think get point , care customer ? ? ) .I definitely go back hotel course try avoid Best Western Hotel . 
 Dec 16 2006 	 Awful room ! ! 	 wow , terrible place . get back 1 night stay . staff pleasant must say . 1st room give suite , disgusting , move sister hotel around corner newly refurbish room top floor . LIFT ORDER , apparently week . room lovely small ever stay . stressful experience , definately guest number place . never . 
 Nov 27 2006 	 bug could value money ! 	 ok , write early probably would stay . business trip order three night private . good offer Paddington Court Suites www.laterooms.co.uk 80 £ pr night . call hotel ensure reserve suite . worried bug . porter guarantee pest control approve room 503 . offer room basement . could get room due faulty el - lock . room 555 , still basement large nice double room . comfy , next morning ask politely room high . give 501 , another nice double room . bit close main front door , settle down . here advice Paddington Court : Book suite , ground floor high . get one good hotel value London . suite air con , kitchen , internet comfy bed quiet location . clean modern . the hotel part Paddington Court Hotel , use great value . new management / owner neglect service . see staff overwork well . mostly east European probably ' dare complain . wish Best western administration would visit advice hotel chain . again : make sure book suite enjoy good hotel value London . Moen Sandnes 
 Nov 25 2006 	 disaster - go 	 book 5 room two client 3 colleague , Paddington Court Hotel , internet several week award event London . arrive hotel 5.30pm get event 6.30pm tell room could use ( probably double book ) ben book hotel around corner . money take company credit card push alternative hotel . hotel expect we give we 5 room substandard learn room rate half take card . the stay disaster would never book Best Western would certainly never go near Paddington Court Hotel . 
 Nov 13 2006 	 Pleasant Surprise 	 ' believe Best Western . think find perfect budget / business hotel London search seven year . I travel business firm keep budget low- try stay close 100 GBP / night London . try stay exclusively nice Best Westerns cheap ( four - star ) Hiltons , accumulate point each . I book double bed / superior room Paddington 89 GBP . arrive give complimentary upgrade suite ( actually build across road hotel entrance ) . oppose many hotel room exactly picture hotel website- one beech - color table tv stick front bed . side room sofa small kitchenette . Parquet floor . everything extremely clean modern . far cry dingy , musty London hotel ' stayed ( include four - star Hiltons ) much well room rate . ask checkout much suite would cost- say 120 gbp- opinion still bargain . oh , ' literally five - minute straight - line walk Paddington station- need take Tube taxi rolling suitcase come town via Heathrow Express , five minute walk tube . take Heathrow Express , continue train foot , head left - hand corner station , ramp ( outdoors ) - ' Craven Road . walk right Craven Road four block ' hotel . I would definitely recommend plan 
 Oct 24 2006 	 lovely small 	 recently stay good western paddington court , review review stay simply do not agree . yes room bit compact , london unless pay extorsion price expect ? staff kind , warm helpfull . cleanliness good high standard . would definitly stay hotel . also locate excellently , mere 2 minute walk paddington station , offer numerous tube line get . excellent ! ! ! ! 
 Oct 17 2006 	 nice little room 	 quite sure go hotel everyone else , quite impressed ! got good deal online , room small , fall couple night fine . room v clean everything work unlike hotel ' ve stay . would defiantely stay . luxury good value pay . 
 Oct 15 2006 	 Never 	 Hotel staff friendly , room expect . room bathroom small . room clean , smell hallway gross . complain smell nothing do . wall seem paper thin also . noisy . generally , hotel ok , would never stay . 
 oct 9 2006 	 good hotel 	 stay hotel back January 2006 say friend problem . rate pay good London compare hotel see area good value round . room not small . standard twin room enough space suitcase . bathroom clean not small other say . hotel locate 5 min Lancaster gate tube station 5 min away Paddington station location excellent . also plenty place nearby could nice breakfast lunch cheap price . problem hotel outer sheet bed cigarette burn really revolt especially non - smoker . non - smoking room could still smell smoke part hotel . fire alarm go time tell smoker room . annoy again . however hotel good quality price London would definently stay . 
