great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Dec 11 2008 	 Lovely Hotel 	 travel London couple time year see show always find Millennium Gloucester excellent . time come Tennis Tournament Royal Albery Hall book standard room second floor , size standard , huge . staff always friendly go way assist . checking find leave watch staff take minute locate I . the hotel 's location ideal tour away real hustle bustle rest Harrods ten-15 minute walk away . we book Tennis 2009 back , , thank staff Merry Christmas Happy New Year . 
 Dec 7 2008 	 Lovely Hotel 	 return two night stay hotel . book standard room give club room 8th floor . room huge big king size bed . room clean bathroom . fault water pressure shower poor apart could not complain anything . reception bar area impressive buffet breakfast good . staff friendly helpful ask advice get certain place . hotel right next Gloucester Road subway easy access area London within minute . planning go back London next summer would definately book hotel . 
 Nov 26 2008 	 pleasure business ! 	 stay hotel last year business conference , jump chance go year ! hotel make lone traveller feel welcome alone , thank . customer service excellent , bedroom comfortable food high standard . room stayed refurbish , look really good snazzy light feature soft furinishing . small plea would put lone traveller nearer lift feel little vulnerable walk long corridor night . one day may stay business see great base explore London . 
 Nov 19 2008 	 Comfort Kensington ! 	 stay Millennium Gloucester 2 occasion business US long flight really enjoy amenity Millennium . first time arrive check - in time take care luggage provide exact time return check - in local attraction see wait . location wonderful , could walk Hyde Park , Natural History Museum , Harrods , . know sound american like fact starbuck across street morning Joe ( hotel coffee adequate great ) . didt like nest starbuck KFC Burger King however . breakfast buffet extensive look something else number cafe pub across street . location ideal set away hustle bustle nice area safe walk night . lobby comfortable , bar bit pricey hotel South Kensington suppose expect . great time stay Super Bowl play keep bar open end ( close 4 am GMT ) . staff always friendly helpful approached . room standard size ( american hotel ) something say hotel stay London . see much small less maintain room price comparably Millennium . overall great experience location book next trip across pond . would reccommend hotel anyone 
 Nov 17 2008 	 lovely hotel lovely area 	 stay hotel recently Friday Saturday night . attend wedding function hotel Saturday evening . impressed hotel . rate reasonable . staff friendly efficient . room spacious . bed good size . business centre fitness centre excellent . not eat restaurant , food serve wedding conference centre excellent . drink lobby bar . service good staff friendly . hotel central close Gloucester Road Tube Station Circle District Lines . would recommend hotel definately stay . 
 Nov 13 2008 	 Faded 	 situate close Gloucester Road Tube ; convenient noisy . Front house okay mile corridor single room end one cramp fade . pay room would unhappy . breakfast morning okay . 
 Nov 11 2008 	 love location 	 great hotel 1/2 block away Tube station ! room typical chain hotel similar Hyatt . Clean & amp ; roomy . stay 3 night honeymoon . front desk business center staff helpful . concierge not knowledgeable , nice nonetheless . there many diverse restaurant locate around hotel ... indian , chinese / malaysian , english pub , french bakery . , express convenience store across Tube station . great hotel stay discover London . make sure book stay www.londontown.com . get we fantastic rate ... 100 GBP , include VAT . great breakfast buffet , get include hotel rate . the negative room bathtub deep , hard get in / out . tub slippery .... ' m surprised people not fall . 
 Oct 31 2008 	 good example type 	 Stayed night last week business conference . ' normally like ' large ' hotel , say room excellent , large ultra clean . great bathroom . good ( large ) flat screen T.V . - several channel . good business facility . excellent space huge reception area lot space relax . busy hotel staff never seem rush helpful pleasant . expensive mini bar ( even mini bar standard ) . around 150 people conference ' hear anyone say anything negative hotel ( price – see ) .The area surround hotel excellent . hotel direct we fantastic italian restaurant - excellent food really expensive London . lot good pub bar restaurant suit taste pocket . area feel safe . underground station couple minute away . great location . breakfast good . however one colleague ask poached egg ( fire scrambled offer ) tell would charge extra ! really ! three we drink bar return meal . three drink ( exotic ) almost £ 20 - standard whiskey , single measure - work gross £ 180 bottle must buy around tenner . obviously afford two people seem nothing else open door ! ' m stay ( business visit book ) week . find quite look forward experience , give type hotel quite experience ! would hesitation booking stay London visit wife , long , course , could get rate conference ! ( stay away bar breakfast extra ) . 
 Oct 26 2008 	 expectation 	 stay London hotel past delighted stay hotel . staff friendly , efficient & amp ; go way assist we make alternate arrangement could travel due tunnel fire .would certainly use group thank trip advisor allow we find hotel 
 Oct 2 2008 	 past well ! 	 use Millennium Gloucester quite time year return evening 4 night stay . reasonably good 4 * hotel well bet price . one bonus central location minute Tube vast need bit TLC . staff excellent can not enough please accommodation start look jaded . entrance area quite impressive check check efficient . lift often slow get room little scruffy need maintenance . stay Club room give access Club Room . ok basic breakfast , ok canape free drink 6 pm 7.30pm . breakfast main dining room disappointing . plenty choice hot buffet breakfast cold morning coffee poor . room see well day . spacious comfortable bed fluffy towel . however , carpet stain , bathroom date overall furnishing fair . window safety warning due height room , catch hanging mean child could easily climb fully open window despite fact say would open little bit security . not get wrong , ok stay preference quality would go Hilton London Canary Wharf convenience centre London go back Victoria Park Plaza try Park Plaza Riverside next time . 
 Sep 30 2008 	 beautiful hotel beautiful area minute 's walk tube 	 husband choose lovely hotel 2 night stay . stay work know would nice . full Breakfast include standard double room rate . think get two twin & quot ; zipped & quot ; together make lovely big super king size bed ! arrive , get good first impression , lobby reception beautiful pristine staff well turn courteous . arrive early left bag concierge come back later do shopping . room ready time bag bring we . thing would say room little dark , little lighting especially around mirrors - girl hair ! ! cold night room need use spare blanket middle night . breakfast well run despite busy plentiful supply food . fresh coffee lovely . would like cereal muesli instead cook breakfast fruit ask sure could oblige . happy though toast coffee . lot food offer though would set day cook brekkie thing . overall , lovely , relax stay hotel . staff enough help even check , especially flight late evening want leave bag . also impressed way one female receptionist , 11:30am handle typically brash American obviously read check time 2 pm could not understand could room ! would like see would reacted time next morning ask vacate room someone else could ! still , handle well despite rude boar ! stay . good deal lovely hotel . 
 Sep 21 2008 	 really impressed 	 book Lastminute.com hotel trip . read reviews hotel doubt like give place benefit doubt . on arrival - seem well - lobby amazing ! ! reception well man - queue friendly staff . check - already specify want non smoke double bed ask . fine - tell stay nice room 2nd floor . still seem well . tired trip London - want relax ! ! get room realise twin room , ok go back downstairs reception explain ask double . recepionist say probably twin bed could ' zip ' together ok someone would go sort we . ask long would long journey - do not seem know care ! phone housekeeping sort bed - ask need wait ! ? ? think complementory drink bar may appropriate - obviously - say could go wait room . after 10 minute housekeeping staff come zipped bed together - remade bed - awkward say least ! finally double bed ! ! find room bathroom date old ( unlike photo room website guest tripadvisor ) . burn net curtain - air con do not work ( knob work miss ) , bathroom tile 60s fit amateur . tap look like come wall ( photo follow ) .The breakfast morning average . coffee cold . understand reason cold cook breakfast queue buffet many people . say do not enjoy all . all - would not go back . I disappoint 4 star hotel seem like 3 . jewel crown piano man play lobby evening ! ! charming ( lovely smile ! ! ) bring ambiance hotel relax . 
 Sep 21 2008 	 great stay London 	 book night wife hotel September 2008 - live London want romantic night nice hotel near West End . I book hotel via Lastminute.com secret hotel promotion thoroughly impressed start finish visit . warmly welcome excellent staff promptly upgrade Kensington Suite night , spacious real treat . I would certainly reccomend hotel base location , staff , price breakfast - lovely Sunday morning full English thoroughly enjoy . I would recommend hotel visitor London . 
 Sep 20 2008 	 Lovely Suprise ! 	 book website , find hotel name pay - & quot ; secret hotel & quot ; , boyfriend little disappointed hotel image write . however , arrival , suprise lovely . second underground , walk reception ( doorman greet we ! ! ! ) take back grand hotel actually . although receptionist little hard understand , friendly helpful . room vast , bed huge ! bathroom lovely nice view traditional London building . really nice stay would recommend . 
 Sep 16 2008 	 hardly understate ! 	 website proclaim hotel offer understated elegance relaxed environment friendly , whilst discreet level service . be pretty posh lobby & quot ; club & quot ; floor . receptionist certainly relaxed , little difficult understand bar . staff friendly discreet . room comfortable nice chair large tv . fairly quiet comfy bed average shower . good location convenient tube load local restaurant . 
 Sep 15 2008 	 Excellent location 	 stay Millennium Copthorne Gloucester Place Thursday Friday night . part prize would work two night dinner , bed breakfast stay London . have choose Copthorne ' ve stay lot hotel know ' m get , respect room staff . cost twin room 6th Floor ( Millennium Club floor ) £ 171 Thursday £ 141 Friday , room . personally pay room would not pay £ 171 room , call cheap think 's lot , hey London be talk everything expensive ! arrival ( via taxi Euston £ 15.00 ) pull outside hotel door doorman open taxi door , take luggage hold main door open us- lovely . wait minute check three staff deal people . check problem , ask non smoking twin room ( mom ) , haul case room find have give double smoking room , haul case back reception . lady originally check we not reception another chap help , apologetic deal quickly . our room 6th floor , room Millennium Club floor service lift miss floor 1 - 4 . much nice call every floor . room 681 overlook one side street , face NH hotele hotel . 's Cromwell Road road busy hour . room not double glazing , thick single glaze window open ( always nice always available London hotel - might add room also air con ) . even window close noisy , well Mom say car noise , police etc keep awake . problem wear earplug share room Mom ( & quot ; dear not snore & quot ; ) : ) . bed firm bouncy sheet fluffy blanket , non one duvet business end boil hot smothered duvet . let bathroom , whilst ok size tile need regroute somewhat discloure mouldy place . 's really issue stay . Breakfast Friday morning busy affair , 8 am breakfast room already heave . Breakfast prepay £ 17.50 charge £ 12.50 . extortionate Copthorne buffet breakfast fab , keep go day . £ 12.50 not like place directly opposite hotel La Liason ? serve breakfast around £ 4 . likewise dinner hotel not budget Waitrose , Tescos , Burger King KFC across road , pub think , fact right Gloucester Place tube station mean good food 15 minute away . dinner include dine Olives restaurant . perculiar set resturant show website not actually hotel . olive walk around corner Baileys Hotel . olive set menu special , two course £ 16 three £ 19.50 . two course food nothing special write home unless food include , like , would wiser go elswhere mediocre . the location hotel great , 30 second walk Gloucester Place tube , GPT old station remodelle lovely , be bright well light happy use hour . 10 minute stroll away Natural History Musueum V & amp ; , 15 minute away Harrods . hotel nice part London . if get reasonable rate hotel book , be great location friendly staff . 
 Aug 26 2008 	 great hotel 	 Millenium Gloucester hotel excellent hotel . the entrance lobby grand slight oriental feel it . it little different hotel stay past . the check smooth staff polite friendly offer small price upgrade room . we decide glad didn't . the room large standard double ' ve stay ' ve London . the bed 6 ft wide clean comfortable . the bathroom bath / shower nice , although temperature little down . never hot cold though , little nit pick . the room iron ironing board usual plasma tv tea / coffe . hotel minute walk Gloucester Rd tube station district / circle line , piccadilly line lead Covent Garden Leicester Sq etc . so good get around . it also 10 min walk Earls Court ideal concert show . the breakfast nice plenty choose from . its also serve conservatory sunny day lovely . lovely hotel would stay without doubt ! 
 Aug 20 2008 	 Excellent - recommend 	 Booked Lastminute.com ' Secret Hotel ' . delight Millenium Gloucester . public area attractive , smart clean . plenty lift . the ( superior ) room nicely decorate well furnished . en - suite excellent . the staff pleasant helpful . take lot trouble couple email request make arrive request carry perfectly . the location superb , minute walk Gloucester Road tube station . breakfast good . I hesitation recommend hotel would stay anytime . good value money . 
 Aug 12 2008 	 disappointing ! 	 book double room overprice hotel , allocate twin room arrival make feel though two man share bed ( do eight year ) . male member housekeeping staff come put bed together extremely discourteous obviously disapprove . small ledge outside window ( room 247 ) cover cigarette butts detritus throw room previous resident window , shower little fine mist . actually resort use bath attempt save water futile . noise room appalling . woken morning little 5.30 7.00 delivery waitrose store across road , keep awake night sound like dumb waiter lift mechanism ( presumably plush suite ) , although could ascertain noise come . extremely surprised suppose four star hotel London double glazing . certainly need - especially street level . notwithstanding attractive lobby generously sized room allocate ( London hotel ) , find decor room tired generally shabby . colour scheme monotonous ( shade brown - always quite disconcerting colour ) . back area ( stairs corridor ) dirty unkempt , window need good clean . plastic sheet cover part corridor floor adjacent door cover plastic sheeting . reminiscent seal crime scene ! say beds comfortable mattress clean . sheet fresh visibly ( reassuringly ) clean towel morning . would pay extortionate fee breakfast , many fine patisserie area eat well fraction price . disappoint unlike every hotel ever stay , certainly would want stay Millenium Gloucester again . if travel London car need aware street parking nearby ( meter limit four hour maximum stay ) hotel car park vastly overprice ( £ 35 per 24 hour part thereof ) . feel aggrieved pay full 24 hour fee last night tell ( pay evening ) 15 minute leave car park pay bill . 
 Aug 6 2008 	 Great Hotel ! 	 recently take trip Europe hotel actually stay long 3 night . really enjoy stay . room recently renovate repaint spot could tell paint old stuff ( mainly bathroom ) overall room nice . lobby really nice well modern well . get continental breakfast everyday , definitely not favorite breakfast trip okay . annoyed pay extra soda ... not drink coffee sometimes morning need caffiene get coke charge 2 pound mini coke . first morning walk across street get bottle coke pound keep room . the location great good restaurant / pub area . also tube right across street use frequently get heart London also train station go Windsor day . 
 Jul 28 2008 	 absolutely Fab Hotel 	 book hotel ' somewhere sleep ' overnight girly break . manage get Half Board rate lastminute.com honest not expect great thing . this hotel fabulous , staff amazing , could enough , put painful room request late night concierge struggle open bottle wine 3 am morning . we dinner Bugis Street Brasserie , really tasty breakfast follow morning good hotel breakfast ' ve ever . would highly recommend hotel anyone , although would say not remember see child whatsoever within hotel . 
 Jul 19 2008 	 Great Hotel 	 Ignore carper ! good hotel : big room , pleasant ( could say guest patiently deal ) efficient staff , well average breakfast piano play reception . next tube wide range restaurant close . want ? 
 Jul 9 2008 	 fear ... book hotel ! ! 	 stay 3 night weekendlocation brilliant right outside gloucester rd . tube piccadilly line , come Heathrow direct hotel changingalso straight piccadilly tube routecheck great , friendly , room ready go bag take room ready.on B & amp ; b rate full english beuatiful restaurant clean choice breakfast available well.room adequate clean nothing wrong except mini bar work ask repair done.bar excellent draught beer restaurant mention brochure share Baileys millenium right next door try any.overall 4 star hotel want 
 Jul 8 2008 	 nice hotel great location 	 locate 2 minute walk Gloucester tube stationwith Tesco Express , Starbucks , Burger King , KFC.Yes , 2 kid . convenient , american consider 2:1 currency UK Sterling USD.Hotel clean enjoy spacious room . staff nice too . the inconvenience elevator . they 2 elevator solely Millennium member thereforeit work guest . work fine couple elevator start malfunction . breakfast buffet restaurant , ; seem know difference betweenjapanese chinese food . ask japanese food , direct chinese food Congee pork bunand stuff . 
 Jul 1 2008 	 well expect 	 mixed review ... expect so - so experience hotel great . excellent average first concierge helpful luggage , reception pleasant , . parent stay first floor get big room 1 couch big desk area.i stay fourth floor room slightly small locate well back .. quite dark without lights.both room renovate contain tea/ coffee amenity ; toiletry replenish everyday room clean . hallway slight smell pose problem . problem experience useless iron do not heat . respond immediately call exchanged.breakfast expensive 15 pound . standard fare breakfast suggest eat somewhere else.i suppose require promote restaurant bugis chinese brassiere good all.location 's excellent . 1 minute walk away tube . like fairly residential area gloucester tesco waitrose nearby . south kensington also 5 - 15 min walk away lot good restaurant 
 Jun 26 2008 	 4 star lobby 1 star everything else 	 's seem stay something like lottery consider variety rating far unfortuantely award minimum relation stay . it start well . lobby well present check - in painless pleasent staff ( remind get continental breakfast ) . enquire good place eat lunch instead get insider knowledge get ' official list ' affiliate establishment ( advertise around hotel ) . guess must hotel policy ! ? ! ? unfortunately good get . the corridor lead hotel room smell stale . 's wallpaper peel place harsh downlighte door highlight various dent scratch . room tiny ( TINY tell ) , dark depress faintly stale smell . hardly natural light fixture shed much it . the follow morning go breakfast remind continental breakfast . call stingy like , stay so - call 4 star hotel seem strange pay supplement hot breakfast ( price astronomical menu ) . morning repeatedly remind staff bring we te / coffee ocasion arrive finished . we ask whether enjoyed stay check ' m glad not want ruin break get hot collar . to sum , hotel try something be try hard . 
 Jun 18 2008 	 Loved Millennium Gloucester ! ! 	 return stay Millennium Gloucester wonderful time hotel . worried read many review . upon arrival , give choice small room 1st floor , 25 pound tell could upgrade Club Room 5th floor . take look work deal person check , 20 pound stay Club Room 5th floor . include free internet , mini bar full breakfast morning . also express elevator bypass first 4 floor . well worth extra money . room beautiful really large , desk area laptop . could not believe large consider european room tend small ' m use States . definitely four star experience . staff front desk , concierge wait staff breakfast area , nice , polite , helpful real pleasure . hair dryer large mirror wall unit , also one bathroom . hugh wide screen tv many channel , English , american German & amp ; italian think . also keyboard hooked TV could use tv internet access . love towel warm beautiful marble bathroom . nice terry robe hung bathroom door , closet pant press , iron board iron , well safe . everything fresh look carpet room look new , although small cigarette burn . tell non smoking hotel room , would large fine , catch smoking . many many light throughout room could many level light . also try room service happy everything except potato soup . overall , extremely impressed hotel . 's convenience Gloucester Tube station . grocery store Waitrose right past tube station . 7 - 11 type store think call Tescos also right street . south Kensington centrally locate nice area . nice restaurant within couple block walk . near Hyde Park , Natural History Museum , Albert Hall , Harrods , Victoria & amp ; Albert Museum name . look forward return London Millennium Gloucester . 
 Jun 15 2008 	 keep look ! 	 currently travel business , do not want stay [ -- ] hole , 5star . 4star fine . will not stay . need internet .... sure ready work business station . hate , prefer work room internet play whole time.the room decent size , outdated , couple modern touch .... disappointing . across road underground , cute strip shop near Fulham , Chelsea Hyde Park Oxford st ( 20 - 30mins walk ) , get depressed hotel . boring bit away .... I m even party animal ! 2 week ..... could not bother packing go . good osteo / chiro road . since leave london , go dublin ( do not stay D4 ) back london cute cool hotel covent garden .... radisson edwardian mountbatten . see stay ..... much well . quiet spot close right amongst west end , street away Soho China town .... bloody marvellous . depression ! 
 Jun 14 2008 	 Disappointed 	 book hotel last minute site . arrival impressed lobby think lucky informed upgrade room . step lift 7th floor meet smell damp cigarette smoke . room good size twin room ' m afraid say good thing . room musty damp smell , interior outdate . net curtain stain grubby look curtain also stain rip . corner room sit grubby threadbare armchair footstool . call duvet bed consist old wool blanket conceal inside duvet cover . breakfast ws good good selection offer . hotel great locality close tube shop . overall disappointed room would stay hotel . look great outside poor inside . 
 may 27 2008 	 good location 	 meet friendly spanish lad reception.room fine.reception area nice.breakfast ok beat queue.hotel score location , beside underground street pub restaurants.recomende definitely get good deal . 
 May 27 2008 	 4 * hotel- noisy Youth hostel 	 sorely dissapointe overall service provide suppose 4 * hotel . the air - conditioning room faulty , mean present fan rather fixed- room , aside stifle situated directly street result horrendous noise level ; inter - connect door present many room , everyone want summary neighbour day 2am . I would recommmend hotel anyone look peaceful night sleep ! 
 May 17 2008 	 love 24 hour hotel 	 stay , book Top Secret Hotel last minute . pleasantly surprised hotel reveal , disappointed stay . night have stay another hotel , across road Casino attach one , say hotel far exceed expectation , rank high opinion one across road high star . I arrive early , leave one hotel , cross road , expect able leave bag - extremely pleasantly surprised tell room available 2nd floor want check - in then . I , room fabulous . although ground level , back , look restaurant / conference suite , extremely quiet room , intrusion across way . I large room , vestibule , wardrobe , nice bathroom adequate large towel , huge flat screen t.v . good working order , comfortable bed . assign twin room , could choose bed sleep - sleep like log . extremely friend staff check - in , welcome smile always good start , whole team knowlegeable concierge , beautiful foyer evening someone play grand piano , give extra ambience . the hotel excellent location , right Gloucester Road tube , easy get anywhere within Greater London District . this much modern 24 hour non - stop hotel . pleasant one - night stay - would definitely consider return future . overall impressed . 
 May 2 2008 	 Awesome ! great big bathtub ! 	 book room Millennium Bailey 's . unfortunately ( maybe fortunately ? ) would run non - smoking room . helpful service - desk swiftly find we non - smoking room close - by Millennium Gloucester . apparently floor recently renovated get great room fourth floor . ( remember correctly , second third floor not yet renovate . might want ask renovated room check - in ! ) . downside room actually smell bit paint , new ! room really big , separate sofa - corner . good part huge bathtub ! bed comfortable , pillow awkwardly thick though . room silent . I really love place ! awesome base visit Natural History Museum Science Museum ! also around buzz ' great car ' show Maserati 's , Ferrari 's lovely Lotus'es roll around . 
 Apr 17 2008 	 great location .. 	 great location near museum short block tube station . Breakfast ok . , include rate fine . would definitely stay . 
 Apr 15 2008 	 great location 	 room big , nice clean . continental breakfast ok good location ! 1 min . walk metro station gloucester road . 
 Apr 12 2008 	 Shop around good deal 	 use hotel make weekend wedding anniversary theatre trip . book get great deal online company . room huge London Standards clean good faciltie . arrive try tell double room avaliable , sure book low possible rate hotel twin room hard fill hotel 600 room not wash stand firm get double room . hotel looby impressive . contiental breakfast ok inculde , usual choice offer 4 star hotel . 
 Apr 9 2008 	 Great Value ok location 	 location less ideal interested nightlife . although local pub place get food . pick place good price . overall good hotel . 
 Apr 5 2008 	 Style comfort safety 	 obtain internet bargain hotel . but pay full price think would disappoint . it great location . and certainly glitzy . but furniture room let place badly . the bed basis stick mattress , constantly stub toe crack ankle bed base . the desk return incredibly flimsy , nearly topple lean desk . I think occupational health safety officer would field day . I would hate elderly disabled client .... law suit wait happen . also find wall panel room secure .... full access dark cupboard full electrical . all look glitzy scratch price . try somewhere else . 
 Apr 4 2008 	 Happy 	 stay weekend end March 2008the hotel check efficient do friendly staff . arrive early get room , hotel store suitcase later room ready . we book twin room , second floor . room clean , modern comfortable bed , write table , enough closet space . mini safe , iron board Iron , Mini bar large screen LCD tv . bathroom fine slightly date looking . bath shower , work well , plenty hot water . towel large nice soft . toiletry provide replenish daily . the hotel small fitness suite , well equip free guest use . get key card business centre get . first floor . breakfast good , ample selection . take continental breakfast , although extra charge , cook breakfast available . staff hotel seem friendly efficient . the Millenium handy Gloucester Road Tube , minute walk away . room cost £ 90 per night inclusive breakfast - not think bad 4star hotel London . we would definitely stay . 
 Mar 28 2008 	 fantastic hotel will wait eat 	 wife stay Millenium Gloucester one night Easter holiday ticket show Royal Albert Hall finish late thought would make small weekend . get hotel problem locate road behind Gloucester Road tube station ( 2 minute walk ) one Circle , District Picadilly line convenient get around London . also perfect walk distance Royal Albert Hall , history , Science V & amp ; museum . also plenty cafe 's , supermarket , shop pub within short walk . check quick easy fact upgrade free charge one Millenium Club Rooms 6th floor . room adequate size , would not say huge big enough upgrade would not like see big tha standard room . equip free safe , iron iron board bed massive comfortable . view overlook interior also quiet outside noise also room . tv also impressive large flat screen one pretty much every channel could hope whether English , french , german italian . bathroom though small feel necessary thing cram fit space . shower though powerful high enough could not raise keep duck . continental breakfast include price pay perhaps hotel fall slightly . go 8:20am seem reasonably early enough queue 20 minute sit . weird thing , upgrade continental breakfast full english change book door one clue . buffet less area really nothing stop pay continental full English seated . finish 9:30 time queue get even large . admittedly Easter Sunday though tell check would get busy come early whether normal could not say . book Lastminute.com one mystery 4 * hotel deal book know roughly area know name pay . would cost we £ 80 night breakfast ade go £ 94 . even price exceptional value . deal would thoroughly recommend . 
 Mar 24 2008 	 Good Location good hotel London 	 recently stay Millennium Gloucester Hotel London week business / holiday . would recommend hotel excellent location : ( one block tube station , Waitrose , Boots Tesco within one block , numerous restaurant cafe ) , competent staff , quiet room ( face interior courtyard ) . base Trip Advisor posting , request Club room please decision . room recently refurbish , large London standard . club lounge comfortable , staff efficient breakfast buffet complete pastry , fruit , cereal , meat cheese ; evening , wine cheese appetizer 6 - 7:30 pm . 
 Mar 19 2008 	 Fabulous Service room ! 	 originally book Millenium Bailey 's Hotel not non - smoking room available arrive quickly take luggage next door great apology usher fifth floor room huge beautiful heated towel rack marble bathroom large bed amazing linen ! perfect staff wonderful ! stay matter price ! 
 Mar 4 2008 	 great central hotel 	 nothing positive thing say hotel . visit weekend friend wed reception hotel conservatory . big plus hotel location , step away tube station , ' far carry bag . efficient check able go straight room even though check little early . room spacious , clean bathroom modern . one slight quibble would shower ' powerful ' really issue . variety food breakfast good ' see anyone wait moment seat . leisurely checkout , deal efficiently pleasantly , wander Hyde Park walk couple hour great way end pleasant weekend . definitely stay . 
 Feb 28 2008 	 Valentine 's Weekend 	 book work , grant work travel receive hefty discount - would willing pay rack rate little gem hotel . I think people fussy , want 5 - star facility service , book 5 - star hotel . promise anything not , definitely 4 - star hotel . beautiful lobby , option leave luggage long want check . efficient concierge professional staff . check - in get busy happen every hotel , complain that . my partner allocate large airy , newly renovate superior room . decorate classy fashion , unoffensive decor beautiful linen perfect lighting . room spotless bathroom sparklingly clean . the shower lovely , could change & quot ; Rainfall & quot ; nice touch change standard & quot ; power shower & quot ; .We sample breakfast comment food , however drink bar serve politely . the hotel locate handy part Kensington , near amenity could get close Gloucester Road tube station try . fault hotel way . bed incredibly comfy , towel linen soft , service top - notch . will definitely stay . 
 Feb 21 2008 	 happy 	 room allocate far standard 4 * rating . behind interior door panel open easily describe building site health safety hazard ( thank goodness child ! ) . bed one could winch easy clean horrendous metal bar end overlap mattress , goodness know many time catch foot metal part ( bruise unsightly ) . staff polite little rush breakfast whole okay . aware book website offer big discount , pay still whole lot ! 
 Feb 16 2008 	 reasonable overall 	 stay Gloucester 4 night . package theatre break package ( orginally two night increase four , book additional night expensive hotel directly save £ 100 go back theatre booking company ) .The location excellent 200 m Gloucester Rd tube station ( come station turn right sharp right cover entrance hotel sister Baileys Hotel ) FIrst problem check , request upgrade superior room ( base comment site standard room ) , checkin desk claim record refer email correspondence person call Gaby hotel reservation tell person ! furious - agree get access pc download evidence - eventually get room . on 1st floor unfortunately right beside staff store room - twice complain noise include 1am . that say hotel generally nice staff reasonable ( range friendly obilivious ) .I would recommend hotel london 4 * overall 
 Feb 16 2008 	 posh entrance run room .... 	 stay one night , book top secret booking last minute.com hotel advertise five star . would rate three . lobby dining room nice look promise , room lot less however . date bathroom bit dirty poorly finish ( lose doorhandle , gold outside , silver inside ( replace 10 time probably ... ) Room also cheaply finish bit grubby . lot well hotel London money ... 
 Feb 15 2008 	 good choice 	 stay one night theatre package , impressed . perhaps fortunate - room quite spacious quiet ( window face wall ! not stay view ) . friend couple room away small room , noise problem air con . as not get back theatre midnight , feel late complain . the staff helpful , not hover tip . location ideal - stay deal available next London visit . 
 Feb 4 2008 	 Loved Millenium 	 stay 6 day Millennium Gloucester love . great location Kensington . not aware , Kensington one nice area London . hotel around corner Gloucester stop underground . take Undergroung LHR luggage find easy 100 foot walk exit . cafe across street convenient breakfast day eat hotel breakfast include price . also convenience store ( much like 7 - 11 ) right across street . great snack etc ... european standard would rate hotel 4 star . not Ritz Carlton offer luxury without spend exorbanate amount moneythe hotel offer friendly service desk concierge . room much large european hotel stay one comfortable bed would sleep in . we also refrigerator room nice perk . food drink purchase hotel fairly expensive expect . many restaurant pub near hotel throughout London still find good value . 
 Feb 1 2008 	 get upgrade 	 good location , store across street . beautiful lobby , not get excited . try get room one bottom floor ! 
 Jan 10 2008 	 Excellent classy hotel 	 reading review feel negative certainly apply we . lovely , comfortable , clean room first floor . breakfast one remember , like usual hotel chain breakfast . also japanese breakfast available . service impeccible , reception , concierge staff downstair bar brilliant friendly . location fantastic . room service also good . 
 Jan 2 2008 	 ` ` Great Location '' 	 Millennium charming hotel lobby entrance . room stay great . light dark back / centre much natural light come . poor reception television . air conditioning work complain 3 time fix offer another room , fan bathroom also report faulty time never fix feel poor standard . the hotel good location underground ( tube ) station close hotel , make convenient . definately 4 star hotel would recommend anyone expect 4 star accommodation . 
 Dec 16 2007 	 Great Location - Good stay 	 stay Millenium Gloucester son two night 9 - 11 Dec , 2007.the hotel conveniently locate one minute Gloucester road tube station . picadilly line , catch tube directly to / from Heathrow to / from St. Pancras Eurostar traveller . also take picaddilly Line ( East bind ) directly Leicester Square , get discount theatre ticket evening 's show . great value . central London within easy reach . the room clean bathroom . could ask nothing price pay ( Stg . 97 per night breakfast ) . reserve website , secret hotel , pleasantly surprised . , like , would rather stay 2 3 star hotel Europe ( tend lousy ) , not want pay earth , Gloucester real find . try website , great deal there . infact , re - book another trip end December . would not call hotel exceptional , want exceptional , prepared pay nose . pleasant , clean , convenient , helpful staff serve excellent breakfast , reasonable rate . there many lovely coffee shop around corner ( Paul 's one , serve wonderful croissant hot chocolate ) , also internet cafe get internet access stg.1.5 half hour . great checking email ! big Boots Tesco right next tube station . all , excellent stay , would definitely recommend hotel . 
 Dec 11 2007 	 bad 	 stay Saturday Sunday night November weekend trip London . room adequate smoking room still smell pretty bad . hotel nothing great location minute walk Tube station pretty good . attraction tube stop away . even get one London Hop - on Hop - off bus tour right around corner hotel . look remotely inexpensive room ( compare rest London ) fit bill . definitely nothing write home serve purpose . 
 Dec 10 2007 	 Poor Shabby Rooms - never 4 star hotel 	 make group book 7 room -- every single room poor state -- shabby fray carpet , dirty grout -- even 1 room grout tile . poor reception television , safe working , human hair bathroom floor . plaster work stain miss -- list could go -- def 4 star hotel . on plus side -- nice lobby great location near tube . 
 Nov 25 2007 	 another stay London 	 another stay favourite stop place London . as yet find anywhere convenient & quot ; warm & quot ; stay London . true get bit fade - room could done running repair good deal restoration - somehow be bad anywhere else good deal well anywhere else manage find London reasonable price . public room welcome - take pot luck staff mostly speak enough English get friendly - food adequate . up - grade might get well room - always . close proximity underground station Gloucester Road plus point hotel next door - bailey . normally good food - 10 10 stuff past - average time round . depend Chef course . 
