good 	 good point - cheap ( stay night 20 pound - fantastic central London ) - family room spacious 2 people- restaurant close eg Nanos ( portugese ) , Strada ( Italian ) , Pasta , fast food station etc ) - staff friendly - early check available ( cost ) . hotel even allow early check put good point.-safe area . bad point - Mattress uncomfortable - sink middle . wife back problem every day ( ! ) -pillow thin , hard uncomfortable . end buy couple stay 2 week . - road noise window open load okay window closed - air -conditioning work room ( try 5 room ) . window open key available reception though.-towel not good often ask more.-double room feel claustrophobic ! 
 will not recommend Travelodge . 	 book travelodge convenience Euston Station , catch early train Scotland . know would uncomfortable would save money sleep seat train station . could feel springs mattress sleep pillow thin may aswell one . previously stay Travelodge Kings Cross impression Euston would standard . case recommend hotel anyone . 
 Jan 2 2009 	 good price new hotel next main road 	 book double room 3 night December pay £ 19.00 night . hotel seem pretty new , one old grubby Travelodge ' s . we room 115 , pretty small fine we , make area , plenty storage space although wash room small , shower really powerful always hot water . flat screen tv kettle room . room clean everyday . the bed quite comfy though slope bit towards middle . main disturbance noise road outside . bus . run 2 morning start 6 , ' light sleeper dont BOTHER stay , first night ' brilliant rest stay fine seem get use it . the main reason stay convenience , ' 1 minute walk Euston station underground . all would problem go back hotel ' pay full price £ 90 per night , good keep eye website dropping deal . 
 Jan 1 2009 	 convenient bit noisy . 	 hotel corner two major bus route run past . stay first floor sound bus pretty obtrusive . room clean warm . chain hotel basic one not expect luxury . couple small family run cafe nearby breakfast . location ideal sight see central London right next Euston station ten minute walk king Cross . 
 Dec 3 2008 	 heating ! ! 	 stay couple night change room 4 time find room work heating ! ! room like fridge noisy due 24hr bus route outside shake room . room quite small ok . bathroom nice shower annoying curtain useless resulted batroom floor flood time . breakfast ok staff nice , location term see london great 5 min walk Eurostar terminal 
 Nov 21 2008 	 terrible location v noisy street 	 location room hotel bad verge inhumane . room ground level ( possibly other slightly well ) junction must one London 's busy bus route . room shake throughout night pass trafffic . there thing hotel could done compensate location issue , not due budget cutting . example , roll blind cover window fully traffic street light keep room light irregular basis throughout night , add discomfort . avoid . 
 Nov 9 2008 	 poor service 	 come london year long shopping weekend look forward year weekend . first last time stay particular travelodge , reception unwelcome arrival go hill . bedroom front hotel , directly main road directly opposite firestation , v. noisy , help apparent lack double glazing . we ask towel , pillow , tea coffee etc make feel uncomfortable time ask , television remote control take 2 day arrive even though promise would 5mins time ask , eventually arrive do not work . receive attitude receptionist , overall poor service reception whilst check , never use particular branch . 
 Oct 31 2008 	 cheap cheerful 	 two sister stay travel lodge one night whilst visit London watch dirty Dancing West end . hotel directly opposite London Euston tube trian station mean not carry overnight bag far . reception staff bit abrupt check quickly . room quite basic clean , comfortable nice flat screen television wall . , good value money pay £ 40 3 we include breakfast ! ! ! 
 Oct 27 2008 	 little antiseptic bubble 	 usually stay Travel Inn little way Euston Road fairly bustle hotel nice bar restaurant area overlookning street . full visit opt one location virtually identical . weird experience . arrive 8.15 pm could not find anyone book , 3 4 minute someone turn say barman could not take booking . eventually someone ( hotel manager ? ) turn proceed jhave starnge converstaion could not could not . get meal ? , bar . could wake call ? , not . could not programme phone ? , phone . basically not expect much way basic , never mind extras £ 105 night bit poor thought . corridor room would not really allow 2 people pass ease bedroom small . window onto .... another window sort 2 foot away ( ground floor room ) . clean white , feel like antiseptic bubble . to fair hotel ( explore 's website bit ) , sell frill hotel , however less frill expect . breakfast ok part extra fiver . recommendation head Premier Travel Inn across Euston Road opportunity . 
 Oct 12 2008 	 great location great stay great hotel ! 	 friend book family room back January year , well advance October stay see west end show . get super saver rate £ 29 family room actually book pay hotel finished build / renovate . sign front desk arrive say " rate - £ 105 " . feel happy indeed £ 15 bargain ! let first start say hotel mere two minute Euston station / underground five minute Euston Sq underground . convenient indeed ' haul luggage far . surround area clean pleasant – hotel opposite corner lovely park . check quick hassle free . young gentleman call Kaleem ( remember rightly ) , check we helpful . allocate room 324 tell lift right one go floor . reception area find snack machine ( crisp , chocolate , cookie etc well toiletry ) , drink machine ( Coke , water , etc ) ice cream machine ( Mmmmm , little Ben & amp ; Jerry tub well Magnums etc ) – reasonably price ! also coffee machine there . we go room find allocate one front hotel . big London standard little less basic travelodge . start , plenty towel , sheet , pillow tea coffee make thing need ask additional . kit room fully accommodate 4 guest sleep . everything else present correct – flat screen wall mount tv , kettle & amp ; 4 cup , area hang clothe store shoe / bag etc , chair desk wall mirror lit , usual Travelodge bed headboard consist small inbuilt shelf bendy , adjustable light well control main light . be front hotel busy road , outside noise fully expect inescapable . friend take earplug problem whatsoever . give friend double bed tune sofa bed single bed – use two quilt make smug comfy work treat ! restful night sleep indeed we . the bathroom fab – everything still new shiny , clean spacious . get one tiny bar complimentary soap remember take stuff . water always hot , shower pressure good washing busy day city . Breakfast café / bar low ground floor . £ 5.25 friend eat toast , cereal , muffin , croissant … .. drank tea , apple juice ice cool water . take time watch news breakfast get monie worth ! ! girl work downstairs lovely helpful – like rest staff , include guy check we make sure enjoy stay happy it . I want stress – Travelodge . hotel base basic clean accommodation comfortable bed decent bathroom . present correct Travelodge Euston . read negative review quite sure people expect travelodge pretty much country wide ? , great stay great price great area . know expect reason ' get good hotel take advantage advance super saver deal . a tip traveller booking stay West end show Strand : hop underground Euston get central ( black ) line Charing cross . 5 minute ( ! ) walk Strand Adelphi theatre , Vaudeville , Savoy etc . bunch lovely theatre restaurant nearby . eat Salieri £ 20 main course , desert coffee include 12.5 % service charge decent tip . great value , fantastic atmosphere lovely , friendly waiter owner . book advance . 
 Oct 1 2008 	 great value hotel short stay 	 stay Travelodge Euston 2 night September . arrive St Pancras 5 - 10 minute walk station hotel . hotel easy find , directly across Euston underground stop , make convenient travel connection . check quick , though find rarely someone reception desk , seem wait little staff member arrive , big deal . ask quiet room & amp ; put 2nd floor . hallway hotel quite narrow . room clean , bit small side ( expect ) , one chair , long shelf go along one wall . tv 4 5 channel , perfectly fine much London spend time watch tv ! real problem hotel room shower . shower curtain pretty flimsy quite long enough , water get onto bathroom floor shower fairly easily . I book room Travelodge directly bargain 29 pound night ! notice check rack rate 105 pound night . not think would pay room . room might start feel bit small side long stay ( shower would probably bit annoying ) , night stay London convenient transport link closeby , especially price pay , can not beat ! 
 Sep 25 2008 	 absolutely brilliant 	 stay Travelodge Euston 2 night August celebrate birthday . lovely . reception staff helpful -offere we extra coffee pillow . breakfast ok - expect adequate . great location tube station main railway station . room extremely clean power shower brilliant . ground floor noise . already book new year . highly recommend excellent value money . 
 Sep 12 2008 	 Euston Travelodge 	 handy , walk king cross kids bag , room tidy , aircon good , nice shower , Decent eat much wank brekkie , full english , still worth fiver , Helpfull staff , nice , low ground , quietkettle , cup drinkdownside , get bit early , want leave 12 , pay £ 20 leave bagshotel bar shut fri sat night , go back 10pmnothe hotel , meal , bar brekkie , eversholt rd , say 100 metre , great cafe , nice , cheap , look bit rough , worth go ! ! lovery grub , tea night ! 
 Aug 19 2008 	 great value surprise 	 want decent relatively cheap hotel near St Pancras weekend stay , easy . find hotel travelodge site well cheap alternative area really nice . new hotel everything shiny new moment , room nicely furnish reasonable size clean . concern noise room ground level , far quieter hotel area stay , quiet . fault location opposite Euston Station , ten minute St Pancras king Cross plus numerous tube station . pre book breakfast £ 4.70 , nothing write home , self service cereal , yoghurt , pastry , juice , coffee breakfast room non glam , price fine . unless work pay hesitate staying , remember travelodge ritz . 
 Aug 19 2008 	 small Side 	 comfortable 2 night stay Euston Travelodge one new London . great location room modern funky lighting flat screen tv extreamly small even London / Travelodge standard . room AC window open make AC essential . 
 Aug 18 2008 	 Noisy ok 	 spend 2 night . offer LG floor room arrival , window open , even & quot ; locked & quot ; ! secure . move another ( 1st ) floor request . room right next traffic light quite noisy . air con squirt water , ... novel feature ! book early £ 29 though , overall , fine money . central enough usual attraction . NCP car park quite way away though . careful not stray congestion charge zone , drop luggage / checking ... hotel right edge . 
 Aug 16 2008 	 ok stop 	 book hotel come Edinburgh train arrive king Cross Station need somewhere close able crash night fly follow day . although hotel new enjoy , although long enough comment - find staff helpful find everything need know . I not think would happy pay extra money store luggage around world trip would annoyed ( per comment ) - fortunately check 3 pm expierence problem . would stay , stop , room small expect London hotel unless pay big $ $ $ $ . 
 Aug 12 2008 	 Smelly room 	 room typical standard Travelodge room , however soon enter room notice horrible overpowering damp smell . floor next bathroom soak wet . complain tell cause leak Aircon unit . ( wet floor no - where near aircon unit ) . spare room endure smell , however helpful manager give we full refund next morning . good customer service . 
 Aug 8 2008 	 good basic hotel 	 stay 4 night hotel find need though telephone room would useful . room clean , bed quite comfortable , outside noise not bother we though slam internal fire door annoy late night . main issue hotel late check time - 3 pm - charge 10 pound want check early , even room available . offer luggage room . 
 Aug 1 2008 	 ok cheap night two 	 hotel clean new far we walk king Cross . got room £ 49 super saver deal luckily . we also find annoying nowhere hold luggage charge we £ 10 check early room ready anyway ! quiet room although windown open horrible frosted screen stop able see ! would not want pay full price room £ 45 bearablewhy travelodge always nasty thin pillow though ! ! ! 
 Jul 23 2008 	 disappoint 	 read review prior stay figure bad could be . while clean , room strange odor . also one tiny room stay . bit noisy side real complaint unwillingness hold luggage . pay 6 pound ( 12 dollar ) small bag hold across street train station . think courtesy hotel offer . we stay one night impressed . pay close $ 200 room definitely think worth . 
 Jul 15 2008 	 perfectly ok budget hotel ( ask quiet room ) 	 spend 3 night Travelodge Euston . book family room originally three we travel although one person later drop . apprehensive reading review Tripadvisor fact fine . upon arrival ask quiet room back high floor tell family room either front hotel basement . opt basement although , see comment , rather nervous . reception staff pleasant one woman particular , seem charge , anxious happy room go inspect give . room good size , look little path think private part hotel property apartment building opposite . bed sofa bed ( although daughter say little hard side ) , flat screen tv , coffee / tea , kettle , etc . decent bathroom . quiet , occasional distant siren rumble train disturb peace . far see , main difference hotel room upmarket one lack mini bar , cable tv telephone ( none particularly important ) furnishing basic , say , 4 star . everything clean fresh , room clean every morning fresh towel coffee , etc . provide . staff member contact friendly polite . clearly budget option - pleasant one . would stay ? yes , could get saver rate . full rate , think around £ 90 , would look something bit luxurious . 
 Jul 8 2008 	 Basi noisy accommodation 	 know get Travelodge , one ideal term location ( next Euston station , near University College London ) . room ok - usual standard , next main bus route incredibly noisy 5 am . also seem problem water leak room , make part carpet damp . Breakfast ( extra ) ok travelodge standard , would better Costa Coffee accross road . book advance get place cheap , not feel value money . 
 Jul 4 2008 	 avoid 	 avoid hotel wish sleep all . this must noisy hotel around , right outside Euston station busy road minimal sound insulation , air con spray water bed , light do not work , mirror break bathroom tile damage . would expect brand new hotel . the staff surly helpful , must stay area well hotel available . 
 Jul 3 2008 	 beware low ground floor room 	 clean plain , 2 day low Ground flooror basement secuity window lock get keymy wife fun come shower pass tradesman look room get pay forwhen book key number start LG hand back andask another room also room door heavy anyway infirm never get open 
 Jul 2 2008 	 new hotel 	 stay 1 night room LG 10.asked quiet room check . reception ask would mind basement view . want able sleep quiet , choose basement . could not open window A / c work well . family room 1 double 1 sofa bed pull bed . much hang space . plenty tea / coffee . hair dryer iron available reception . cafe / bar also basement . , not use . clean hotel , maybe cos new , staff pleasant helpful . curtain , pull blind instead . quiet enough , distant rumble tube . problem . good deal £ 29 Sunday night . 
 Jul 1 2008 	 Noisy ! 	 be difficult know rate one brand new Travelodge therefore clean , modern , airconditioned , comfy bed etc . respect well lot old one . however room small . also room first floor face road . noisy night ( Sunday ! ) bus run past window boy could hear ! keep wake throughout night sound loud think missile attack .... lot siren discover morning face fire station ! ! ! ! would stay neither we could sleep ( even partner normally sleep anything ! ) leave we exhausted follow day . 
 Jun 24 2008 	 Great Location Great Value 	 stay long weekend early month . location fantastic , know close Euston have not expect literally next - big plus use tube luggage . room second floor , bright , airy bonus air conditioning usually find lack Travelodges . brand new hotel everything room shiny work well , see people problem room fine . noisy side have not ask high floor rear hotel , that s expect busy road , earplug do not really bother we . would ask high floor room rear next time though . do not eat breakfast little cafe round corner great value offer choice . stay husband daughter , like Cal28 also weekend , not suppose see Foo Fighters Cal28 seeing mention Wembley look like weekend ? hotel position make great get anywhere London , use tube bus absolutely fantastic weekend . always find Travelodges sufficient value money break , get 3 night less 1 night another hotel yes do not shower gel etc , prefer anyway . borrow iron ironing board staff find helpful . chambermaid indeed keen polite would come back later necessary . know prior go leave luggage state website , lucky however arrive check allow leave train home vacate room . would recommend hotel would definatley use ... get good price , would not however pay £ 110 rack rate , go pay would stay hotel extra luxury bathroom ! 
 Jun 20 2008 	 call snob ..... 	 dire . stay 2 colleague business trip . first time stay hotel hopefully last ! room large disabled room basement view bottom step wall . fair clean facility could mile well . one small soap , kettle tv lot . colleague ' room even bad . small , dark ground floor although constantly aware never end bus passer keep blind shut avoid people look . tell bus reliable seem run night even get couple knock window good measure . bar desert would think £ 95 per night would least get limited continental breakfast offer appear fair other privilege greasy spoon road . finally , must comment staff excel hostility impoliteness - really treat round ! 
 Jun 14 2008 	 go Premier Inn instead ! ! ! 	 recently stay Travelodge Euston teenage daughter find completely unsatisfactory . arrive London 6 appal find could store luggage anywhere force carry several heavy suitcase around we check 3 o'clock . also problem come time check departure London 12 midnight . the room small space hang clothe , store bag etc . usual necessary appliance , shower gel hair drier , find almost every hotel . shower curtain small bathroom floor flood hand wash soap minimal . hotel new expect furniture appliance high standard undamaged find toilet seat break half replace . inconvenient make use facility rather unpleasent . room first floor noisy night . breakfast minimal selection . also much seat area . the location fine across road Euston Station . I sincerely wish opt stay Premier Inn find service 100 % satisfactory great value money . 
 Jun 13 2008 	 well average Travelodge 	 Chose hotel want stopver early train follow day . hotel new modern , bed comfortable request room back hotel hardly traffic noise view . five minute away St Pancras Euston tube station northern line , Central London ten minute . not everything perfect though . previous review Travelodge , give room already occupy , bedroom door would shut properly without slam shut . the chambermaid also keen knock twice 9.30am see room free . 
 Jun 9 2008 	 great price 	 location could not well , right Euston great not struggle luggage Tube . it looked like refurbish , although room smell slightly damp clean every visible way . the main bad point find luggage ROOM . pay £ 10 check early could not keep room past 12 check . luckily Euston luggage service £ 13 2 piece add quite bit weekend way . we go see concert , direct line Wembley Park Euston Square even come home well organise . great weekend , whatever go London . 
 Jun 7 2008 	 Liked London Travelodge 	 stay one night way disneyland.the location terrific , right outside Euston five minute walk St Pancras we . the room spacious , big City Road travelodge , a / c benefit . it noisy , window close sunday night , fine us.we do not stay breakfast can not comment . for £ 29 , think bargain . 
 Jun 5 2008 	 avoid 	 recently stay Travelodge disapointe . I stay family room sleep four people could beleive one small area hanger store clothing item force live case . air con unit spare water onto bed soon turn , ask maid service one day wife unwell stay room . end come twice day end throw away food ! ! final gripe 8.00am drilling begin exterior building wake myslef wife up . all could bad city accomidation ever stay . 
 May 31 2008 	 good value central London hotel . 	 get back 1 night stay Travelodge London Euston attend concert Arsenals Emirates stadium find generally ok hotel . pay £ 49 travelodge website get decent sized room clean . furnishing minimalist basic get pay . space hang clothe , spare pillow towel tea coffee make facility . bathroom good size bright . also air conditioning unit . staff encounter front desk friendly . the location hotel great , close tube , ground train bus route . Tottenham Court Road Oxford Street within walking distance . con hotel noise level street . central London not expect quiet would ' ve think , new hotel busy location , would ' ve insulate window well . also 3rd floor room overlook sheer curtain give we privacy , soon arrive close blind shut beautiful sunshine . also , someone else mention , one lift go 3rd floor invariably lift turn call . good value money , central London hotel would recommend anyone travel budget . 
 may 30 2008 	 new getting ... 	 new hotel expect thing quite 100 % .I arrive could not find booking , produce confirmation guess little english reception staff speak something that . everything okay room , basic enough sleeping , noise except occasional people corridor . Shower - bath . my gripe breakfast , continental , basic . gather facility enhance waiting staff . not think worth cost even pay advance . 
 may 25 2008 	 stay Travelodge London Euston 	 hi , stay Travelodge Euston girlfriend middle May . recommend stay here . as new hotel still several problem place . first room ( room 308 ) leak water girlfriend clothe get wet . change room we not offer help get clothe dry anything . only one two lift go third floor . lift break force use stair . also , lift work , press lift button , always seem lift go second floor open . the breakfast basic compare hotel . also , not lactose free milk first assistant manager refuse get we . manager next morning , much helpful . when checked not need fly evening ask could keep luggage storage place , problem - hotel storage place . , gf another group 4 people complain manager time , kick fuss put luggage office . I would recommend stay Premier Inn Euston nearby . stay London first time around . staff helful , room clean spacious breakfast excellent . 
 may 18 2008 	 bad long sort clean . 	 still new teethe problem might expect . room basic adequate . air - conditioning major plus . reception breakfast staff good bar staff struggle . room quiet apart odd tube train rumble noise corridor resident go bed , tv channel normal travelodge shower curtain short . breakfast basic boring ok . location great . major problem clean - even though brand new sign clean do properly & amp ; hotel could deteriorate fast housekeeping sort once . on plus side , drastic shortage hotel bed many competitor put price much £ 200 ! Premier £ 250 night . Travelodge , far , engage profteering . long may continue . 
 May 16 2008 	 adequate stay . 	 pretty new one would expect quite fresh clean . v basic ideal one two night stay . facility store luggage early arrival charge £ 10.00 room store luggage . good . good site central London facility . 
 may 16 2008 	 promise promise 	 book brand new TL Euston business trip trust new would get problem TL venue . it course , great location right next Euston station modernist beat copper exterior suggest firm make effort here . once inside get basic Travelodge offer - simple , basic , clean room . room fine . modern wood fitting nice touch flat screen tvs flourescent backlit headboard . minimalist whole get - up appeal honest . I not try bar / cafe although tell continental breakfast available head across road Premier inn good - value full - breakfast ( sponsor Whitbread , honestly ) .The staff also pretty friendly here . now bad bit : ) would think someone would think avoid place guest room ground floor next one busy side street London ( double decker , bendy bus , cabby mention score curious pedestrian walk ) . room also right pavement net curtain afford little privacy room light ! b ) fair ask move allow much well room ( although always carry earplug anyway ) .c ) shower neat ( master seemingly inadequate curtain stop dripping tray ) BOIL water shave sink tap run cold ! ) TL email review link break . tch ! summary - decent good value central london avoid get room street . 
 may 14 2008 	 average NOISY ! 	 stay one night May , 2008 ( day open apparantely - obvious ! ) .The room small , lack bedside table ( maybe be new ) nobody use shower curtain day . the hotel right opposite Euston Station , think would good thing , unfortunately busy road night awoken bus lorry drive . window not open not know insulation bad . also unhappy charge £ 10 early check - in . would recommend Premier Inn Ibis - minute walk away . 
 May 13 2008 	 welcome addition Travelodge group . 	 hotel less week operation freshness evident throughout . location good beside Euston Station 20 minute walk Oxford St . transfer Travelodge Farringdon almost impossible sleep due temperature room . ( hurry install AC please ! ! ) . really cheer everybody hotel completely evacuate 1:30 fire alarm go . fire evident may somebody flaunting & quot ; smoking & quot ; policy norm almost hotel . anyway , back Travelodge Euston . interior standard Travelodge decor , outside modern . room average guest could ask . power shower , Tea / coffee make facility , flat - screen tv etc . , all - important Air Conditioning . London bake 27 degree nice get back comfort coolness room . room window ( handle miss already ! ! ) small layer frosted glass foot away building leave room rather dark even sunny condition . probably design feature gear allow privacy window opposite . £ 29 sunday night £ 49 monday night fantastic deal new centrally locate hotel . minor problem Keycard get reprogramme twice big deal hotel storey high first floor . new building teethe problem . happy stay back June three night . 
