Perfect 	 go Football Championships 2 team age 9 - 12 yrs . stay team . great time Emerald Suites ! staff polite we give we anything need stay forgot run . , great laundry room we definitely lot uniform get wash . suite perfeclty locate freeway , grocery gas station . definetly place come back every year football championship great price , great room , great staff can not beat ! ! thank Emerald Suites ! 
 great place stay . 	 great place stay , I m salt lake city utah alot business clark county past 2 year stay emerald suites everytime . quiet , comferdable , great pool . home away home , staff always great helpfull call , would recomend emerald suit everyone 
 great ' get - away ' place 	 Las Vegas native , pleasure stay Emerald Suites many time past year . many night time . location perfect touring strip shop nearby mall . everything quiet hardly get noise nearby neighbor . be great ' get - away ' rest everyday Las Vegas chaos . two separate room living area bedroom still make feel like home . small kitchen make easy bring food hotel ' eat - in ' rather spend much expensive resturant . hotel also convenient laundry room last minute laundry . the service staff always friendly courteous . anytime need new sheet towel decide extend shorten stay never problem . always ready willing help . always recommend hotel friend family , whether visit town want spend night away home . 
 feel like home ! 	 wife enjoy first couple week – ' part snowbirds group come Las Vegas every year winter month . nice feel like welcome home . ' come year back Emerald suite . service get staff way treat we make we feel good ' come . suite big , enough room stuff bring we . good thing potluck throw we around Christmas time , ' like family . 
 Oct 25 2006 	 Good Value Perfect 	 Vegas celebrate young brother 's 21st birthday bunch cousin . 2 bedroom suite w/ four full sized bed love seat separate living room , comfortably accomodate 5 people one evening 7 ! Vegas party need clean place get sleep take shower . hotel show slight wear tear , value good 130 per night ( Fri Sat ) . spacious walk closet bedroom use change room one bathroom . book basic quad ( 2 room 4 bed ) sophisticated upgrade room available w/ well tv . pool lovely , chair need replace . the place could use update little attention detail kitchen would not hurt ( paring knife dirty ) . however , glass clean fridge need ( liquor lot bottled water ) : ) whole , suite fairly large clean . update self serve large laundry room . bad elevator . remind college dorm suite / apartment . important : close main Strip . need take cab , bus , something . rent mini - van split cost party bus sort . place romantic getaway would reccomend travel group budget mind . reservation staff excellent member front desk par . 7:30am call get late check 1 pm . check generally 11 . felt harass someone phone unprofessionallyasked without introduction & quot ; check ? & quot ; use terse , ghettoish tone peeve especially since already call . it serve 's purpose place crash buddy long night town . 
 Dec 19 2005 	 totally fine 	 company book we Emerald Suites S. Las vegas blvd temp . job assignment 3 month . believe negative review not either ! ! place clean , modern well keep . & quot ; extend stay suite & quot ; yes , people night two . work hotel / casino industry work & quot ; 5 star resort & quot ; tell would not rub elbow & quot ; rich famous & quot ; .. ( quiet , respectful - of - their - surrounding ) type either ! Clientele emerald suites typical yu find anywhere LV . love location .. strip still middle major traffic easy drive store nearby . convenience store front bldg . great .. easy walk .. real plus . one tip .. shuttle airport slow ... would spring cab airport close . shuttle go Mandalay Bay airport .. & quot ; anywhere LV . & quot ; ? ? . end strip walk strip . true .. front desk people not Einsteins find overall staff ( esp . maintainence ) ball friendly . 
 Dec 15 2005 	 never 	 spend one night start vacation . room smell smoke bad hard fall asleep . book two room ask non smoking . give third floor room drag luggage stair . another man lobby promisse handicapped room tell available third floor . place budget well . tv cable . call say would bring one , never . disappoint round . would never stay . 
 Sep 16 2005 	 expect ! ! ! ! 	 mislead website ! send Las Vegas business trip one month lovely company put Emerald Suites Las Vegas Blvd . place really ghetto ! find roche room ask new room almost hassle Rhonda ( front desk clerk manager ) . trap two cup manager see could care less . actually ask want someone come & quot ; spray & quot ; . demand new room instead . wall really paper thin . hear dog bark adjacent room night long . yes , allow pet stay w/ . also evident people use place perm . residence . often many ( unsupervised ) child run around courtyard day night . claim & quot ; Jewel Suite Life & quot ; , seriously funniest thing hear long time . absolute nightmare . trashy ! one plus , free high speed internet , not always work . 
 Aug 15 2005 	 not believe website 	 stay could not get reservation anywhere else . yes , apparently bug , announce & quot ; spray bug & quot ; . room drabby . furniture stained not want sit . tv bedroom . fortunately , kitchen bath area fairly clean . pool look big web site , actually small . also discrepancy price quote we phone try charge we . shuttle strip plus catch right time . 
 Aug 4 2005 	 bad motel ' ve ever stay 	 quite possibly bad motel ' ve ever stay at . with exception , horrible staff . manager utterly apathetic problem conference attendee face . example problem . Shuttle suppose pick we McCarran Airport . Insisted miss we , even though wait 20 minute pick - up point . call agiain , shuttle finally arrive ( hour wait ) take wrong hotel . sign shuttle denote location go , driver actually ask we want go back airport ! reservation check - in date wrong , even though confirmation correct date . facility elevator , need handicap access , well hope first floor unit . all room , regardless smoke non designation , reeked cigarette smoke . furniture , linen general state room extremely shabby . People obviously use place extend residence , laundry hang walkway fence . could clearly see room one inch gap vertical blind window sill . I gouge thigh mattress spring be cheap decent bedding replace mattress . the wall thin , clearly hear conversation ( amoung noise ) every room around you . the shuttle suppose take anywhere want go Vegas , reality , driver hassle ask go anywhere Mandalay Bay airport . also suppose pick 24/7 , instead leave strand strip . if expect meeting room need network connectivity , make sure be hook first -- discover Cat 5 cable acutally hang mid - air side wall room . do not expect room reserve meeting appointment available either -- hotel sell right we , leave we look like idiot front interview candidate . I stress enough definitely stay motel . staff unhelpful , uninformed , apathetic . 
 Jun 15 2005 	 awesome value 	 do not understand bad review . hotel steal . minute drive strip $ 41 night weeknight expedia . fave thing hotel free high speed internet room . clean , park right next room , full kitchen , great price . also , get maid service every day . read couple review say do not get maid service . complaint hotel . 
 May 31 2005 	 nice place away strip 	 Hubby stay 3 night Memorial Day weekend . one - bedroom suite 3rd floor . read review , little hesitant , find Emerald Suites nice , clean , staff accommodate . suite one - bedroom unit 3rd floor . complaint elevator . walk strip , time return hotel night , would nice take elevator 3rd floor . find suite clean fit need weekend . nice refrigerator keep drink snack cold . the pool area nice , however , lot control kid 's parent / guardian watch . security guard come around , not say anything kid parent . apparently child & quot ; accident ' spa close Sunday . security really handle control kid we without kid customer 's kid behave not deal . overall , enjoy stay Emerald Suites would stay . 
 May 4 2005 	 Cozy ! 	 stay hotel CES convention . find lobby quite nice clerk assist helpful friendly . landscape nice quiet . like location close strip , far enough away not get catch traffic . room cozy relaxing . love kitchen full sized refrigerator ! actually able buy food keep ! happy find come pot dish could cook eat junk food whole time . quiet peaceful would definitely stay come back next year . Rob , Joppa Maryland 
 Jan 12 2005 	 wonderful alternative strip 	 stay 1/4 1/11 . rate good concidering Las Vegas CES convention . almost hotel book . decide stay . glad . like home away home . people friendly & amp ; really conciderate . nieghborhood nice also . feel safe walk around dark . 24 hour gas station ( next door ) & amp ; 24 food mart block away . room clean . bed comfortable . appliance great work order & amp ; clean . definately go make return stay come Oct. 2005 . also shuttle bus would get begin strip . not rent car still get strip without high price taxi . 
 Jan 8 2005 	 Cheap dirty 	 pros- fairly close strip , cheap , kitchenette pretty nice . Cons- could feel spring push mattress , sheet not go foot head bed , & quot ; non - smoking & quot ; room smell like smoke ( surprising , since cigarette burn furniture , counter top carpet ) , couch joke , blood vertical blind ( curtain ) , squeeky floor , generally dirty . if could , would pay another $ 20 per night get clean place . 
 Oct 4 2004 	 roach ! ! 	 stay nowhere else take dog . big mistake . roach ! see least one 3 day . gross ! ! ! place much extended stay hotel people mistreat trash . could imagine disgust attract roach first place . we never consider stay . 
 Jun 4 2004 	 wonderful time ! 	 book stay read review . read , ready cancel . decide would wait actually see hotel . ' m glad choose , hotel great . book one bed , suite 2 bed not even issue . enough towel 4 people , suite make perfectly every day . oh , way forget , book hotelhotline pay $ 35 night except Sunday , $ 50 ( Memorial Day weekend , ! ) . since prepay , check take 5 minute , kid . suite complete kitchen , include stove , microwave , dishwasher , fridge , etc . ground immaculate even though lot child ( son ) , quiet . not use , large laundry room 18 new washer 18 new dryer also soda snack machine . not go pool , whenever come go see plenty people around , must nice . complaint remote tv go , kind boring would look something watch . , Vegas . lot watch tv . so not know happen people . know great time . oh yeah , thing call IDL , mean forward registration list LV police . know stay warrant something , will get pick . safe . 
 Aug 3 2003 	 Perfect family trip . 	 please hotel . price right , space perfect we . kitchen room let we save lot money . pool great . housekeeping not great , would ask ... surprising ask . be stay , sure bring pan plate not provide ( available extra $ 10 / day ) . really like able actually shut door live area bedroom . well & quot ; suites & quot ; bedroom really section big open floor plan . around impressed would definitely stay . 
 Apr 30 2003 	 Disappointed 	 disappointed experience Suites . wonderful feature place odd thing happen 3 star hotel . one call office ask roll toilet paper response quest could walk office get one . security guard bring 30 minute later . also , still can not believe bed spread bed . usually least 2 hanger closet . housekeeping little bit desire . there chocolate front fridge whole time . vaccume make bed change 2 towel sets.and 4 day . in full kitchen , glass drink micro fridge ( work great ) electric stove oven , nicely paint nice furniture people pleasant 
 Aug 21 2008 	 bon rapport qualité / prix 
