one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Apr 3 2008 	 ok price 	 Hotel 's grandeur shadow construction around area . would walk alone surround neighborhood . Tram across street . room small . bathroom toilet break . mini fridge keep food cold . complimentary water suppose deliver everyday ask . 
 Mar 15 2008 	 nice hotel strip right price ! 	 stay 3 night late February 2008 . got nice rate $ 115 per night use priceline . Nascar folk town , strip pricey . Non smoke hotel casino , nice come back busy day strip . beds awesome , room smell great . fiance 's brother rude , loud , neighbor management move suite charge $ 150 fantastic steakhouse . would stay lodge problem strip , monorail right next door , not make strip location problem . pool small , would recommend hotel anyone Vegas several time , first timer , stay strip . 
 Mar 2 2008 	 Great Hotel Strip 	 mother stay hotel March 2007 take see Barry Manilow adjacent Hilton Hotel . Renaissance clean classy hotel locate strip close monorail . 's non - casino hotel attract we first place . want proper Las Vegas high life would not recommend want large , comfortable room great facility wind end long , hot day place . be cheap neither bar restaurant good hotel staff provide excellent service throughout stay . small outdoor pool centre hotel completely surround building want sun limit couple hour 's shadow . Envy Bar Grill bar provide good food drink far expensive many place hotel along strip . find nightcap hotel bar spending day about . to summarise , location great , walk across carpark monorail station strip 10 minute . also walk strip 's deceptively long walk . be Vegas budget thengo another hotel not mind pay strip peacefulness service good hotel good facility . 
 Feb 5 2008 	 wonderful modern hotel .. 	 's Las Vegas , Renaissance Marriott category 5 cost 46,000 point ! ouch . book hotel point , ' m pretty sure confirmation page state get access Conceirge Level , make sure print page ! ( email confirmation mention Conceirge Level ) . room modern clean . flat screen tv smallish , sufficient . bathroom big , tub small , love clear glass shower . ' m attach photo . we rent car free self parking hotel . get around ( drive ) convenient , coz turn leave hotel ( concrete barrier ) . take back road get back onto strip . 
 Jan 21 2008 	 great hotel strip 	 really impressed stay Renaissance . non - smoking ( great breath fresh air ) since off - strip , quiet night . staff courteous personable . view decent , even 3rd floor . bed pillow comfortable . loved light duvet . bathroom large standing shower separate tub . also appreciate free kiosk check flight home ( see strip hotel , however minimum $ 5 charge elsewhere ) . eat Envy breakfast , great affordable gift certificate restaurant.com . I not realize far strip , monorail convenient , Wynn shuttle Convention Centre ( unfortunately stop 8 pm ) . unlimited day monorail daypass $ 9.i pay $ 110 / night Priceline busy weekend . great value . 
 Jan 8 2008 	 car vandalize Renaissance 	 research Renaissance review good . run across one whose car key assume isolated incident , return home trip car key . 
 Jan 3 2008 	 New Years Renaissance 	 partner stay Renaissance Dec 28th Jan 1st really enjoy stay . get great deal Expedia : Renaissance mostly hotel convention time Christmas New Years period year convention hold . check - in quick , request room Strip view get without problem . room pretty standard , bed comfortable , view great . bathroom especially nice : stand - in shower well soak tub . housekeep super efficient , staff courteous . as location hotel , we great advantage . hotel locate right next monorail stop ( purchase 24 hour pass every day - deal $ 9 , consider single ride cost $ 5 ) . also free shuttle front monorail station take Wynn . way back , shuttle also make stop right front Renaissance ! good location though fact far enough Strip able decompress night , especially crazy time like New Years . time , be still close enough worry transportation . monorail really lifesaver New Years : Strip completely close traffic ( include cab ) able come back hotel midnight watch firework room celebrate New Year little private party ! way expect cab fare airport around 12 $ downtown ( Freemont St. ) : 10 $ ( exclude tip ) . 
 Dec 31 2007 	 Nice hotel 	 get hotel Priceline $ 100 / night . 's away Strip area , be quiet night . check quick staff friendly . give chocolate olive shape candy check . room huge nice bathroom . problem shower door not seal way , floor end flood quite bit . bed comfortable . monorail right outside hotel take strip area . be $ 9 24 hour pass , less cab fare . cafe serve Starbucks product downstairs . pretty much everything real store would . gym awesome . 's always packed , get early , problem . outdoor heated pool jacuzzi , not use , though people . complaint internet access charge , not pay . seem like low class hotel offer free internet place like always charge . 's $ 12.95 24 hrs . want come Vegas not want strip , great place . 
 Dec 19 2007 	 Great Service Accommodations 	 immediately sign registration form , front desk staffer come around desk hold oversized martini glass fill individually wrap & quot ; chocolate olive , & quot ; welcome hotel encouraging choose chocolate . that phenomenal presentation tell experience great stay , be exactly happen . the room elegant , comfortable bed space galore . night peaceful , room service terrific . the on - site restaurant ( Ego ? ) serve delicious breakfast dinner . restaurant area , be look choice , be end strip . I love courtyard pool lounge area . 's easy fall asleep one large chair . the monorail step away be ready visit busy part strip , convention center next door hotel -- convenient town event . I ' m one need strip 's bright light validate Las Vegas stay , hotel delight . be , will love stay . 
 Dec 12 2007 	 great off - strip hotel 	 Marriott Silver elite special deal - $ 109 night get $ 200 bonus buck . reason book - well return slot machine ! , get , realize hotel much offer great price . quality furnishing , amenity bed excellent . love duvet bed - light warm comfy . bathroom luxurious frameless glass shower enclosure separate marble tub . service excellent everyone happy helpful . seem enjoy job . the location nice - close everything , right middle everything . I go back January stay friend Renaissance night prior meeting friend . ' m look forward . 
 Dec 5 2007 	 Renaissance stay wonderful ! 	 first , stay free & quot ; free vacation timeshare offer Tahiti Village Condos & quot ; , another story . as far Renaissance go , everything almost perfect . doorman Vince sweetheart . staff friendly courteous . hotel amazing . clean contemporary . TIP : Envy Steakhouse expensive , husband able share meal ( waiter happy ) enough food reasonable price . TIP : want go Wynn hotel like see nice ( awesome nightclub call Tryst ) , walk monorail station get ona complimentary Wynn hotel shuttle take . , want go Mall , right across street . want go back Ren hotel , get back Wynn shuttle take back monorail station right Ren hotel . TIP : since Ren hotel strip , want inexpensive way transportation , monorail station right hotel 24 hr . pass $ 9 per person take along strip way Mandalay Bay several station stop along way . walk involved . TIP : breakfast , walk across street Courtyard Marriott . we , shop Ren hotel pretty pricey . since cold , use pool outside . indoor pool . room small refrigerator convenient . can not think anything else useful right except say hotel nice . I post Tahiti Village & quot ; free vacation & quot ; experience Tahiti Village . 
 Nov 28 2007 	 great ! 	 visit hotel friend . book 2 club - floor room ask king - bed , high floor . marriott gold member always give room ! surprise check 2 room 3 4 floor club - floor ( book ! ) . 2 queen bed ! want ! check boy could change 1 room club - floor / king . next day complaint front - desk take shoulder .... attitude staff ( well frontdesk club - floor ( waiting ) staff ) become lot well otherwise lose guest ! however , concierge nice gentle person ! help we book helicoptertour spa . spa close hotel arrange tansport without extra cost ! lady - bartender even remember wine drunk 1 night already ! service really good . hotel good location , exact good distance avoid hassle Strip ! sure stay ! 
 Nov 25 2007 	 Renaissance fabulous . 	 lengthy wait check Mandalay Bay last trip Vegas , know want stay strip non - casino property . Renaissance could well choice . complimentary valet parking . immediate check Thanksgiving weekend . clean , modern furnish spacious room comfortable bed . quite restful night 's sleep . coffee maker in - room starbuck little frig complimentary water . great lobby / bar area Ego Cafe starbuck coffee . enjoy hot tub heated pool . exercise room although not use dine Envy , steakhouse . Staff efficient , helpful extremely friendly . property conveniently locate next LV Convention Center Monorail . buy 24 hr pass $ 9 , contrary post , find cheap cab due strip traffic , particularly weekend night . ( average cab ride $ 10 buck strip go downtown . ) look Marriott special rate make affordable strip alternative . 
 Nov 22 2007 	 Hotel Vegas ! ! 	 stay hotel 6 time . every single time service exceptional . love room , ammentie , large shower , bathroom , modern design comfort . I also love staff ! always professional , courteous spoil ! ! hotel quiet , everything need , work facitiity , pool , spa , business office incredible steak restaruant . rival favorite Maestro 's Scottsdale , also exceptional ! value room , service , easy access strip , shopping , course convention center . stay 4 star hotel strip 2 star , hotel 5 star ! also , must say stay almost year since last visit . Anthony , lead bellman valet attendent remember , car , drive . would say pretty exceptional customer service , nice remember ! Sandy / La Jolla , CA 
 Nov 14 2007 	 not want stay Casino Hotel strip COME 	 three friend mine stay 4 night . ' want stay casino hotel , ' decide stay . also hotel new . happy make decision . hotel nice , staff friendly . room big nice bathroom . also nice bar lobby , short drink leave strip . coffee shop hotel , ' want large breakfast go coffee sandwich . poolside ' special . ' matter , ' want use anyway . skytrain leave right front hotel bring strip , also free bus shuttle Wynn Hotel right entrance skytrain . Cap strip 6 - 8 usd take minute . also nice restaurant hotel look , nice never dinner , tell food . everybody work hotel extremely friendly . get special rate hotel thru company , value perfect . ' want stay one Casino Hotels strip COME ! ! ! 
 Nov 13 2007 	 great Alternative Strip ! 	 go Vegas business go weekend fun ... stay Renaissance class could not beat price ( $ 139 per night -- even weekend ! ) front desk staff great , friendly ... room wonderful , comfortable bed ... two towel day , little unusual , sure could got ask . location next monorail great , one take cab -- cheap . eat envy due review post . little cafe ( e - go ) yucky latte overprice snack etc ... open 9 . keep mind , place near get snack sundrie ... bottle water E - GO $ 3.50 little bottle tap water room terrible . get back room 9 not eat , pretty much stuck room service ( 5 choice late night menu ) put small bottle water fridge one 5 day there . I think good alternative strip -- able walk downstair sit pool without go casino great . btw -- pool area serve smoking area , since enclose 4 wall ( open top ) get smoky . bother smoke restaurant casion , bite much pool ..... 
 Nov 11 2007 	 great hotel next convention center 	 convenient location next convention center . be Vegas site see , be bit away strip . will need take $ 10 cab get strip sightseeing . clean room , great bed , spacious bathroom . typical Marriott , high standard . 
 Nov 4 2007 	 great stay great Price Favorite LAS Property 	 October 2007 – spend two night Renaissance Las Vegas Hotel attend human resource training nearby Westin . also stay two night Residence Inn , Hughes center . property much well value well stay Residence Inn - Hughes center . check late night arrive McLaren International Airport . allow time airport , baggage claim car rental facility apart airport . use Hertz first car give Malibu warning light check front tire receive Pontiac G5 instead . my drive auto rental facility Renaissance 10 - 15 minute . check smooth . receive king room . ask quiet room away elevator . even number room X02 – X30 face West Strip . even number room X32 face North view convention center Hilton . odd numbered room face South East . my room good size high king size bed . bed comfortable . feather pillow bed prefer , foam pillow closet . lighting room excellent . also comfortable arm chair ottoman . room quiet . the room flat screen high - definition tv , high - definition programming . besides good variety broadcast cable channel , hotel offer large selection pay - per - view movie . room good work desk office - style chair . under tv mini refrigerator , electronic safe , ice bucket glass . the bathroom tub separate shower . light great . leather brand bath amenity good quality include : mint - thyme shampoo , conditioner , lotion , bath gel , mouthwash . shelf sink coffee maker hair dryer . another nice feature magnifying mirror stand take desk use . the room clean housekeeping excellent stay . breakfast Envy restaurant , buffet inexpensive good . hotel small outdoor pool large exercise room . use either . the Renaissance also offer valet parking . self valet parking free . one thing like good property close Las Vegas Monorail Monorail well drive around Las Vegas . one morning , take Monorail Hilton breakfast . I pay internet special group rate $ 110.00 . pay close $ 200 Residence Inn , Hughes Center Residence Inn room small kitchen , prefer stay Renaissance . Staff Renaissance welcome friendly . several workshop attendee take Papillion Helicopter tour Las Vegas Grand Canyon . highly recommend . tour , pick we property drive we back . highly recommend property alternative smoke fill casino hotel strip . 
 Nov 1 2007 	 horrible -- bad area 	 stay hotel conference everything go great -- unitl car get key valet parking ! 20 mile drive vehicle find cell phone radio clip passanger SEAT ! ! ! ! back car key rapist , murder , eddie evernon , bonner ferry Idaho . tell supervisor get sympathy . security notify security manager say he d watch tape . 3 day worth camera footage review approx 4 hour -- way ! ! ! ! hotel feel responsible damage mile phone clip find . told & quot ; vegas & quot ; also tell one valet parker ( nice people ) camera & quot ; crap & quot ; would not able see anyhting . hotel service great . would definetly stay little nice car vandalism . do not fool complimentary valet parking . free -- - nothing free they ll use gas least expect . PARK CAR VALET ! ! ! ! 
 Oct 24 2007 	 new Favorite Vegas ! 	 stay recently 2nd part business trip fall love hotel . check , front desk attendee beyond wonderful helpful . room perfect even pleasantly surprising view . rent car time garage super - convenient . issue get terrible construction go right road front hotel , make thing bit confusing . foot monorail station , location unbeatable convention , ' even close convention center . anyway , room . bed die . pure heaven ! flat - screen tv rock bathroom luxurious . also comfy robe hang closet enjoy . many other state , place escape hustle bustle Vegas Casino Hotels . love gamble , really appreciate peace quiet trip . also think would great small child normally would chase watch carefully casino ( although ' much ) . pool small sunny , well maintain pretty . ' well nothing guess . overall , really love hotel plan go back next trip . money – wise fall per - diem super affordable getting . 
 Oct 18 2007 	 Excellent ! 	 3rd review hotel , be get well time . year zero issue , be really gem , especially convention next door Convention Center . ' ve say , bed well ' ve sleep tie Wynn . almost can not wait go sleep bed pillow comfortable . everyone ' ve talk hotel agree bed sublime . room great trendy hip . say Envy Steakhouse , good , bit overpriced be get . portion small , wait time long sometimes even be seat . say one good Vegas , ' ve since well . be good , good . problem 's cab ride strip find something well . distance monorail perfect , catch Wynn shuttle right street . convention , simply beat distance hotel convention center unless sleep convention center ! great fitness center 's important . front desk service improve 100 % year past . much helpful considerate , issue hotel service . wall bit thin , good neighbor , not bad , not like casino , place . will stay sure ! 
 Oct 10 2007 	 Bad Great 	 stay hotel last Friday Saturday night , mixed review place . get fantastic deal hotel 's website $ 139 Friday Saturday night , incredible Friday Saturday night October .... price later . First bell valet staff . absolutely fantastic . can not say enough good thing . helpfull always seem happy see , friendly always willing give direction . definitely top notch . hotel , include room -- bit lacking . resturaung o.k . , tad expensive quality . lobby nice , pool rediculously small . ( rather cold crowd , think would crowd summer ) . business center never seem quite right . people center interested chatting amongst getting log onto internet . also , $ 10 minimum internet charge pretty steep thought , consider connection speed seem little fast dial . also 2 working terminal hard even get spot . starbuck right beside business center top notch though , worker friendly . room -- feel old . caCarpet nice give flashback 70 's , probably young remember . bed moderately comfortable , nothing write home . overall room feel date . location -- location hotel actually bad . short walk tram station , maybe 100 yard away . make get around handy . not know comfortable would walk tram station late night though . surround neighborhood seedy . also , rental car tad diffidult go south hotel . drive pretty rough neighborhood , make lotion bit unfavorable . Front Desk -- helpfull , talk one downright rude . try charge $ 239 , instead $ 139 , kind & quot ; well 's way & quot ; .. nothing . luckily manager little caring however able get original $ 139 rate . overall -- would stay time $ 139 Friday Saturday . $ 239 , usually price , would probably stay Signature MGM dollar . much nice way well location look stay mega resort . roughness surround neighborhood , far well place $ 239 rate . , $ 139 weekend , place good . 
 Oct 3 2007 	 peaceful Smoke - Free Las Vegas Oasis 	 September 28 - October 1 , 2007 – wife spend three night Renaissance Las Vegas Hotel celebrate birthday . first stay hotel third . use Marriott Reward point stay . pleased treat pay guest . check - in fast , take two minute . receive king room strip view request 14th floor . know room previous stay , wife really please décor quality . room # 1414 . even number room X02 – X30 face West Strip . even number room X32 face North view convention center Hilton . odd numbered room face South East . the first thing notice room large high king bed . really centerpiece room . bed comfortable . feather pillow bed prefer , foam pillow closet . lighting room excellent . also comfortable arm chair ottoman . the room flat screen high - definition tv , high - definition programming . besides good variety broadcast cable channel , hotel offer large selection pay - per - view movie . pay per view movie 8.99 , less expensive many hotel stay lately . room good work desk office - style chair . high - speed internet complimentary , may stay Club Floor . internet connection fast ever measure hotel . Download speed clock 6.6 mbs use Speakeasy Speed test connect Los Angeles server . upload speed clock 4.3 MBS , fast fiber optic service home . tv mini refrigerator , electronic safe , ice bucket glass . the bathroom tub separate shower . light great . leather brand bath amenity good quality include : mint - thyme shampoo , conditioner , lotion , bath gel , mouthwash . shelf sink coffee maker hair dryer . another nice feature magnifying mirror stand take desk use . the room clean housekeeping excellent stay . housekeeping come sometime evening , leave chocolate , refresh bathroom . Ego Café locate lobby brew Starbucks coffee . also offer pastry , sandwich , snack drink . service friendly fast . price Starbucks seem stand alone store . we breakfast Envy restaurant , finish Sunday brunch start 11 . live jazz begin 11:00 , sure happen every Sunday . complete breakfast wife tax tip come $ 35.00 . evening Envy steakhouse . free evening try , look like take steak wine seriously . the Club Lounge 15th floor open weekend , able use breakfast Monday morning . offer scramble egg / sausage / bacon hot entrée well pretty complete continental breakfast . the hotel small outdoor pool large exercise room . use either . self parking easy convenient attached structure . Renaissance also offer valet parking . self valet parking free . elevator parking garage open onto first floor lobby . one good thing Renaissance Las Vegas hotel return casino hotel . seem smoky , loud , crowded . three stay hotel personally recommend highly . 
 Oct 2 2007 	 's Bathroom fan ? 	 beat path & quot ; , mean strip . glad car . neighborhood questionable . modern pleasant especially work area small nice pool area . wall paper thin . hear everything ! bath large fan . 100 degree outside , cool room bath still warm humid . nice convention center stay . staff helpful . refrigerator room nice touch . afford anything near strip go vacation . convienent monorail public transportation nearby . nice looking lounge . odd entrance parking garage side street parking . call first get clear specific direction . 
 Sep 22 2007 	 Great Room Bathroom 	 stay one night use free night certificate , stay Renaissance long time impress modern fresh decor . room perfect we love large bathroom corner glass shower seperate tub . bed though must say extremely firm , surprising since Marriott bed cozy . next day nice breakfast concierge lounge . really enjoy hotel want check . leave Marriott Suites two night . 
 Sep 20 2007 	 love place ! 	 girl weekend Vegas great & amp ; hotel make even well ! property well keep , staff professional helpful , far strip far enough get away crowd & amp ; noise good doorman / bellhop ' ve ever come contact ( knowledgable Vegas & amp ; great recommendation food & amp ; fun ) . would recommend hotel anyone ! ! also , stay property , must try resturant downstairs ... food wonderful ! ! 
 Sep 18 2007 	 move first month 	 beautiful hotel . room size small condo , view SPECTACULAR , bed FABULOUS color scheme relax . must gotten lucky tired , not notice & quot ; thin wall noise , & quot ; ooooop make noise , afterall , gifted date . can not say much pool , like one Las Vegas , work out . the Legend great time . 
 Sep 18 2007 	 great alternative stay Strip 	 great stay , love Renaissance . room , maybe challenge venetian , spacious attractively furnished . housekeep good everything clean . good ' hike casino ( ' one ) move around . for we great alternative Strip , 40 yard Convention Centre Monorail Station ( currently offer 24 hour pass $ 9 ) main Strip hotel minute . catch complimentary Wynn shuttle place access Wynn , Venetian , Treasure Island Fashion Show Mall . 
 Sep 8 2007 	 great Room Great Price 	 stay Labor Day weekend , 2007 , everything else interested much expensive and/or book . pleasantly surprised . regular room large , comfortable bed large bathroom . hotel busy crowd . pleasantly surprised Sunday afternoon jazz brunch local radio station sponsor . hotel steakhouse not eat , walk counter sandwich , water , coffee , etc . 5 minute walk across convention center parking lot monorail . never wait cab either . valet hotel staff friendly helpful . also extremely hot weekend air conditioning room work great . hotel great place stay do not want deal hustle bustle stay casino property . would definitely stay . 
 Aug 30 2007 	 worth every single penny ! 	 amazing hotel , great location ! . easy , easy access tram none craziness right strip . say restaurant downstair bit high price side portion speak two meal order , item menu might different . even , many option dine Las Vegas . stay two night one night Excalibur get Excalibur not even want sleep bed . go back Vegas stay Renaissance matter price . comfortable bed world room extremely clean . fortunate enough end concierge level breakfast awesome along view window strip . begin say enough good thing property . worth every single peeny want charge . book room , will not regret ! ! ! 
 Aug 26 2007 	 nice stay Renaissance 	 stay Renaissance August 3 - 6 , 2007 . hot time year Vegas . hotel one block monorail . station literally right front hotel . not car really convenient . the location strip , non smoking , non casino . good bad . depend look . room 11th floor view whole Strip . nice . room big clean . comfy bed sheet . bathroom big seperate shower / seperate tub . shower pressure powerful . way change pressure . 's one setting . think little strange Vegas desert alot water readily available . Coffeemaker Starbucks available . alot space put clothe . flat screen tv room . reviewer say , reception bad still viewable take 3 second station change . problem people . think little inconvenient watch tv . turndown service . wonder norm housekeeper forgot ? not problem . look pool scene not hotel . small lounge chair . pool cover shade early afternoon . there restaurant locate hotel . can not comment not eat . free valet / self parking . valet service prompt . would recommend hotel anyone look strip hotel . however monorail close strip far car . convienent location . nice style . contemporary . clean . look website special offer . 
 Aug 21 2007 	 Great Strip Hotel 	 Renassiance Las Vegas hidden gem city hotel room become way ordinary . 2000 + room monster casino hotel , another gambler / guest do not matter . find Renassiance Las Vegas opposite . concerned stay strip away action everything Vegas offer monorail ride away . tell horror story cabbie airport neighborhood around hotel bit nervous . ' m sure point , ' know would go wander neighborhood area familiar town , let along Vegas . Stick use monorail fine . be across parking lot ground Las Vegas Convention Center . check outstanding staff friendly . hook early check come first thing Los Angeles . room clean well decorate . pool area great enjoyable . room service quick tasty . minor problem bad seal shower stall door leave quite puddle floor . think place great want enjoy Vegas also not mind away Strip . always head madness jump monorail free Wynn shuttle equal distant front door . 's great place stay . 
 Aug 21 2007 	 nice change bustle casino 	 normally stay big casino visit Vegas , time look cheap alternative , choose Renaissance . little nervous never stay ( know anyone else ) must say pleasantly surprised . definitely nice change hustle - bustle Strip Casinos . hospitality suite room clean spacious . when arrive late Saturday night , actually problem booking ( apparently hotels.com decide charge we make reservation ) . however , even though Renaissance full night , staff work quite hard make sure accommodate , even another hotel refuse take we full . definitely grateful effort make sure take care , stay future . 
 Jul 17 2007 	 Awesome service nice room 	 stay one night pass . Got rate 139 hotel website . thing really strike hotel service friendliness staff . soon drive , valet open car door say , & quot ; Welcome Renaissance , be glad here . & quot ; set tone entire day . check fast . bellman courteous introduce we hotel staff way room . room bite small side , bed comfy decor beautiful . love walk - in shower . really appreciate courteous entire staff . pool also heat . absolutely stay next time come Vegas . look non - gaming hotel super close strip , stay . stay Southpoint , Circus Circus , MGM , favorite hotel far . 
 Jul 17 2007 	 ok business hotel 	 Strong point : main stripnon - smokingfree bottled water roomclean modern roomdecent work - out room room price reasonableroom service people great jobweak point : difficult get cab hotelonly one restaurant average food qualityrelatively clueless curt front desk servicevery thin wall room . hear every conversation . business , think hotel would ok vacation think get well deal little bit convenience elsewhere . 
 Jul 15 2007 	 Nice stay quiet place 	 hotel one block monorail take strip case car . want sacrifice little bit location peace great option . pool wonderful , many people great music . check other pools Strip hotel could not find spot swimming pool crowd loud . room big clean . excelent restaurant good decor nice breakfast . 
 Jul 14 2007 	 beautiful hotel professional 	 go Las Vegas short weekend January 2007 , decide stay Renaissance . moment walk door , could tell hotel new , professional & amp ; friendly staff , great decor , room fabulous ! husband & amp ; celebrate anniversary , glad casino hotel . clean nothing like smoke fill casino hotel fill Vegas strip . conceirge service great , answer many question eat see Vegas . share anniversary , upon return room first night , delighted find complementary bottle champagne chocolate cover strawberry ! website photo exude style class experience . look forward stay ! 
 Jul 12 2007 	 Loved move 	 stay hotel family great distance strip good five minute also central main street personnel fantastic room beautiful spacious immaculate pool area relax couch make hard leave go room 
 Jul 12 2007 	 quiter option vibrant city 	 location : Slightly Strip . , may consider bad gambling walk up / down Las Vegas Boulevard thing . ' non - gaming hotel , ' quieter . there road construction go , front hotel , one room back – face pool , hear noise occur early day . the pro : strip – quiet . classy décor , clean , tidy , large room . other people later mention free breakfast , totally miss , position comment ! monorail close need get casino , be difficult . the Cons : little confusing get construction go around Strip near hotel . the staff indifferent check - in processthis would preference hop town . real Las Vegas experience , stay close Strip ! 
 Jul 8 2007 	 Classy Modern Impressive ! 	 Renaissance casino hotel offer quiet comfort convenience desire . stay club level fantastic . free continental breakfast , evening hor 's dourve late night dessert provide daily . breakfast awesome ; bagel lox , fresh fruit selection , breakfast burritos , danish , bagel , muffin , french toast ... free soda bottled water also available throughout day . staff nice room spacious modern . bed fabulous ! Better Westin 's Heavenly Bed , believe ! 116 degree weather , recommend walk anywhere Renaissance . first day never . one block equivalent mile Vegas . use monorail next door Las Vegas Convention Center visit casino Strip drive ( hotel / casino parking throughout Strip free reason ) . twenty - four hour pass monorail $ 8 pp . Renaissance pool big nice patio cover lounge seat plenty towel . prefer big crowd crowded area . renaissance perfect choice . 
 Jul 6 2007 	 oasis sanity Las Vegas 	 writing review comfortable room 9th floor , overlook Las Vegas skyline . spend day South Point Hotel / Casino ( leave $ 500 poor , courtesy slot ! ) last day Vegas look spend time close Strip , Strip itself . I book night , get room $ 105 , parking easy ( marathon trek away reception / room ) hotel pride non - gaming hotel , appreciate lack slot machine crowd slug - like zombie traipse gaming floor ( anyone Vegas know talk ! ) . easy get ' casino fatigue ' town . reception staff pleasant efficient , quickly check way room . room little small use Vegas , spotlessly clean modern . view across Wynn hotel rest Strip room fantastic . hotel great look steak restaurant , ' envy ' nice bar , coffee shop . use room service , delighted level service receive make order . food excellent , hot , unusual room service ! small pool area , smart clean . entire hotel non - smoking , smoker , even appreciate ! two minute walk monorail station offer quick run big hotel Strip . find Vegas , would deifnitely stay , away madding crowd , clean , smart , classy , affordable . can not recommend hotel enough . 
 Jul 5 2007 	 free internet Ren Las Vegas 	 late stay Ren Las Vegas , disappointed see hotel go & quot ; Marriott & quot ; Wired Business internet - $ 12.95 day . hey , include free local USA long distance phone call room . uh , note ren staff : carry cell phone day . additional $ 13 daily premium , especially hot summer month , be walk monorail station , Ren 's advantage slowly outweigh disadvantage . factor excessive charge use internet choose property Las Vegas . ren equal Strip hotel regard - simply stay Strip hotel ? ren must continue provide compelling reason stay off - strip use monorail , lose free internet take away compelling reason . the room hold well , though minor stain carpet room . window well insulate not hear street noise , adjacent wall well insulate , group giggly woman next door decide laugh nothing 20 minute ... will hear it . the 32 & quot ; lcd continue small size room . change channel take two second lag annoying . none channel HDTV.As Silver elite , first give odd - numbered room , lovely view top floor parking garage . call check availability even - number room face Strip one - not give first place ? minor annoyance part feel slow decline Ren 's reputation mind . 
 Jul 5 2007 	 good trip Vegas yet 	 well ' m one usually go Vegas , see deal Travelzoo , know deal good pass . book deal , king room available , would fine . girlfriend leave LA late Friday evening not arrive Vegas midnight , think surely blow chance get King bed . upon arrival , check within second , arrive room overlook Northern Las Vegas ( include stratosphere ) king bed . room clean , nice , comfortable . last time stay MGM remember hear loud people yell hall night come go club casino . hotel quiet perfect escape hustle strip , feature absolute convenience get strip within minute via monorail . find entire staff hotel , nice pleasant . know complaint get deal book front desk up - tight , never find problem . even go way see walk around little lost . great time would surely enjoy stay . 
 Jun 25 2007 	 Boring vanilla 	 not want know Vegas , great place stay . hotel would right home medium large city anywhere us.it 's clean , quiet , also boring get overprice ( day Inn , La Quinta , Comfort Inn would good ... cheap ) . suit see probably uptight notice anyway . 's Vegas god 's sake ... even business would still recommend place little Vegas & quot ; feel & quot ; . 
 Jun 24 2007 	 chic clean ! 	 stay mostly 4 star hotel , really impress one . price hotel great even stay weekend . hotel room feel super new clean , thing like compare nearby Hilton ( feel unkempt dare take shoe ) . overall decor hotel modern well . customer service receive excellent helpful . however , pool hot tub pretty small . hotel even list local hotel magazine . wonder ? 
 Jun 18 2007 	 totally impressed ! ! 	 Las Vegas convention . schedule stay Gold Coast , decide go one day early . find great deal Renaissance Hotel - stay one night . fabulous ! entire hotel smoke free . not realize much appreicate walk Gold Coast follow day attack tobacco smell minute open lobby door . , Renaissance clean , new , well maintain , room bathroom spacious , staff courteous . direct contract Gold Coast . negative comment shower little weak - enough pressure . yes , back . 
 Jun 11 2007 	 stay dislike smoke casino noise ! 	 please hotel . attend convention center hotel close staff friendly . hesitate go Las Vegas dislike cigarette smoke constant noise hotel . Renaissance clean peaceful would stay without hesitation . also enjoy restaurant hotel . must also mention bed wonderful ! 
 Jun 11 2007 	 great value luxury alternative Strip 	 friendly , efficient check . obtain King Room although none available booked internet . club level room – quiet . lovely furnishing , well maintain clean . nice spacious bathroom bathtub separate shower . ' swimmer / sunbather , ' worth note pool area fairly small lose sun mid - afternoon . tip booking – check " special rate " page special ( case third rack rate free breakfast ! ) come automatically use normal reservation page . see review early people say special rate honour – , give breakfast coupon without problem . 
