Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Jul 18 2009 	 perfect - great Location . Great Hotel . 	 hotel could better location family travel 4 teen / young adult ( 21,18,16,13 ) . 2 adjoining room 17th floor GREAT view Times Square . 2 King room work nicely sofa bed roll - away ! on - go peeve & quot ; nice & quot ; hotel ( oppose economy hotel ) nickel dime everything . come ! $ 400 + per night per room , could throw free wireless internet ? ? ? mean seriously , raise room price $ 17 give free ! ! ! instead , pay $ 17 ( per room ) per night not even wireless ... sit , anchored desk , plug ... ridiculous 2009.Also , pay WAY high price lot people get excellent bargain ... think would ' ve way happy pay $ 269 per night $ 400+.the elevator ok long not crowded ... crowd pick , could take 15 minute get room ( first floor ) . , walk door loud , crazy , FUN , awake , glitzy , blink Times Square - worth ( especially kid ! ) 
 Jul 15 2009 	 Great Hotel 	 spend July 3 - 7 Marriott Marquis wonderful stay . service front desk , concierge , housekeep excellent . though locate heart Times Square , quiet restful even holiday weekend . room clean , spacious , attractive . NYC mainly theater , not time use amenity . drink night View , top floor rotate lounge / restaurant & amp ; enjoy drink & amp ; amazing view . attend 5 show 2 day central location time - saver convenience we . be close theater , subway , within walk distance Central Park , Rockefeller Center , many site want see . like location , cleanliness , service well . can not really think anything like least . great hotel - highly recommend theater - goer . 
 Jul 14 2009 	 good hotel Manhattan 	 praise hotel enough . ' ve travel world stay think 5 star hotel . none come close Marquis . service finest experience . find deal -4th night free - and jump . ' ve always want stay disappointed . room service staff , location , hotel will want stay visit New York ..... hesitate ... people please remember treat other way would like treat , matter travel great time . 
 Jul 13 2009 	 Perfect Location ... come back stay Marriott Marquis . 	 great hotel . locate right heart Times Square within walk distance theatre , shopping , David Letterman ( Ed Sullivan Theatre ) etc . we book package standard room . call couple day early say would interested upgrade . not see room would received know would not view & quot ; Times Square & quot ; view room . it cost we $ 50.00 night worth it . I would also suggest upgrade request fridge room . room not come give one extra charge upgrading . think say normal cost fridge $ 25.00 night . you will want fridge keep water refreshment cold . 's humid New York July drinking lot water . the room everything need ... large LG television , couch , chair footstool , king size bed ( never sleep well long ) .We would turn couch ( hide bed think ) around night face large window enjoy view Times Square sip red wine . the service hotel amazing always do smile . actually service shop restaurant excellent well . canadian think major center like Calgary , Vancouver Toronto could learn lot service within & quot ; service industry & quot ; go New York ! elevator unique organized look . might take ride get use . rush time take patient . I read review say room break . not also safe closet . not know standard room safe make good use incident . tips:1 . go Jersey Boys pay extra good seat 's worth every penny.2 . go David Letterman . go line request couple date week leave . get call back answer trivia question correctly get front row seat . 3 . get ticket Letterman theatre around 2:00 p.m. go Angelo 's Pizza right beside Letterman 's great pizza bottle wine noon work perfect.4 . take Mets Yankees game . go Mets . get ticket StubHub perfect .... centre third base line 25 row main level . get grear video Manny L.A. Dodgers play . great stadium ! 5 . take tour Greyline bus 6 . use subway much safe always full people . not feel unsafe walk around . Time Square police place . if not like crowd ... not go . like pizza , baseball theatre .... go . 
 Jul 8 2009 	 good place stay Times Square NYC 	 stay hotel Times Square , much expensive , one keeper . perfect location everything want , unlike hotel bar serve food . go back Marriott Marquis every visit New York . 
 Jul 7 2009 	 always fabulous ! 	 stay 3 teenage girl . book two room . check not room close together time square view room exra $ 100 request make reservation month ago .. want keep eye take upgrade . glad view incredible . view past kind around corner put face window see times square . well worth money . the girl impress . go View lounge dinner . buffet $ 32 person . serve short rib , chicken , salad , cheese pasta , asian shrimp , bread , dessert include . love chocolate fountain . I always stay hotel city . ' ve stay other good deal . room quite big NYC . extremely convient location . it also beautiful . staff first rate . always come back ! 
 Jul 5 2009 	 Good Value Relative Manhattan Hotels 	 first reaction stay : & quot ; wow , lot tourist ! & quot ; kind worried have awake night listen people party room , street noise , etc . not case . room high floor well insulate noise . hear stuff , draw curtain , room pretty dark quiet allow good night 's sleep . my second reaction hotel BIG . walk lobby , look straight realize something like 50 floor appear 100 room per floor . probably much , nonetheless 's impressive sight . glass elevator go way . maybe concern be acrophobic . Via elite desk , check pretty fast . guest without elite status , line , seem move . least , one grumbling ... even family four kid . this hotel obviously get lot traffic . hall look like have redone past year , even rug get dingy high - traffic area . colleague room similar mine show wear ( chip counter , scratch furniture , etc . ) , though also clean . room large relative New York hotel include king size bed ( comfortable ) , desk work area , couch , coffee table , separate chair ottoman , large dresser , still leave plenty room unpack mill . order room service ( bring trolley meal ) two colleague working room ; still room move around , use desk , sit couch , etc . visit New York several time year -- hotel room & quot ; cozy & quot ; , use kind word , even & quot ; luxury & quot ; hotel . usually be barely enough room open suitcase . room service ok great . use several time hit miss . food quality fine , service time little . make mistake least one order , though correct quickly . internet service , workspace amenity , business center , fitness center , etc . pretty good . hotel everything except pool . several restaurant ... eat View nice view Times Square one lobby restaurant . fine . the hotel 's highlight size space location . be right middle Times Square depend point view either really good really bad . even change traffic pattern ( i.e. , city shut part Broadway make pedestrian zone ) , be still crowded -- pack tourist . convenient midtown business , transportation , etc . decent price . get corporate rate $ 275 tax . overall , pretty good hotel price relative 's available NYC . 
 Jul 4 2009 	 great location amazing view . 	 accompany husband , colleague wife New York 18.06.09 . we , plus conference guest ( 300 + ) , stay hotel , also host event several reception . all would certainly recommend hotel . great location pretty central place want visit cab foot . the room spacious keep clean tidy . be inspiring , bed comfortable , tv huge tea & amp ; coffee machine make decent brew . also complimentary newspaper outside door every morning . the staff polite , friendly helpful certainly not feel order gain tip . second trip NYC staff time credit hotel . although use fitness centre , look really well equip well maintain . the food & amp ; drink hotel lovely incredibly expensive . view Times Square Broadway Bar amazing ! try pizza , yumm ! lady , limit Macy 's & amp ; bloomingdale - must visit Century 21 department store much like upmarket TK MAXX ( top designer & amp ; brand like DKNY , Juicy Couture , Guess etc ) ! ! ! ! ! decent meal close hotel try Blue Finn . trendy great food attentive staff . junior breakfast be set day . on final day book large taxi back airport hotel organise , pretty impressed come upgrade extra cost huge white stretch limo . if get chance stay , go - New York fantasic wherever end can not imagine enjoy . 
 Jul 2 2009 	 Nice hotel ... course over - price 's heart Manhattan 	 stay 1 night , business trip & amp ; occupy w/ business ... conduct within hotel . great recollection many thing hotel , tell : - room nice ; think King bed- view worth remember , disappointing be Times Square- TIMES SQUARE . be heart big / good city world . say be & quot ; within walk distance & quot ; anything understatement . restaurant , broadway , Central Park 's far away , anything else NYC offer . location beat.- food ( lunch Dinner affair attend ) good- big ballroom , big event room , well done- easy cab drop - off pick - up- check - in/-out easy , wait . little annoying ; get , huge hotel world 's big good city , ok , fine . put people front desk , ? - jazz going & quot ; paperless , & quot ; paper bill receive , nice / good see . that be remember . sorry , detailed review , rest must ok not noteworthy / worth remembering . bottom line : unless decide must stay Times Square , would find cheap hotel ... try find good price one favorite search engine . 
 Jul 2 2009 	 great location middle Times Square 	 love location hotel - view outside window directly onto Times Square . able walk right front hotel directly onto Times Square nearby shop restaurant convenient mention quick fight cab traffic . need go somewhere , get cab fairly easy . hotel nice , great restaurant pretty decent . definately new , room clean important . room average Marriott room bed nice chair everything need . besides much area , want stay room ? elevator bank interesting assign one go directly floor , rather get punching number kind cool . lobby ground floor , figure , be easy get around . 
 Jul 2 2009 	 another great stay Marquis 	 Plain simply good hotel Time Square . good lobby bar time square good ts view , roof top rotate restaurant bar , 40 story lobby atrium ..... locate right heart time square . check give upgrade suite amazing blessing consider travel 2 toddler . everyone professional helpful . say . go NY want middle , stay Marquis ! 
 Jun 30 2009 	 great experience Marriott Marquis NYC 	 Great Location , nice large room , King bed . son think elevator like amusement park ride . staff helpful attentive . would stay travel son 
 Jun 29 2009 	 Excellent Hotel Heart City 	 teenager actually say hotel spoil hotel . bad review cynical teenager . the hotel scale middle Times Square purchase Name - your - price feature Priceline ... good value . room comfortable quiet . 
 Jun 29 2009 	 New York Marriott Marquis Great Hotel ! ! ! 	 wrap two day stay wonderful hotel wish could stayed long ! check - in breeze , clean , beautiful room comfy bed . one thing say say heart theater district - really ! downside , price hotel resaurant wasa bit steep . simple breakfast one average $ 50 . junior , great restaurant breakfast , lunch dinner , right across street great alternative . short walk John Pizzaria , Carmine 's Sardi 's , well Rstaurant Row . sure give Becco 's Restaurnat Row try great italian . , can not speak highly enough hotel back ! 
 Jun 28 2009 	 GREAT service GREAT LOCATION would stay 	 arrive around 7:45 pm hotel , fiance La Guardia Airport . long trip we , exhaust excited time , since first time New York . as soon get shuttle , street level hotel , gentle empoyee approach we take care luggage , give we ticket luggage , tell we would take room , get room assignate , instruct we go front desk locate 8th floor . elevator wait , 2 minute , use easy system ( 14 elevator , one marked letter N. middle , two button pannel , put floor number , pannel tell wich elevator take . ` ) get front desk , hand reservation gentle lady , check say everything place . ask possible change room , double bed room , king size bed room , since one party traveller ` make new york . she one minute , give we well room Times Square view , rate book . the room spacious clean . view stunning . five minute later , luggage arrive condition leave street level , fair say 30th floor . internet access work perfect . possible pay cable access laptop could get wireless connection cost . we go several time concierge level , ask information addrese restaurant , broadway show , everytime helpful . the location hotel absolutely major benefit . everything walk distance , ` several bus stop subway station nearby , take everywhere . check time 12:00 pm . flight Miami 6:45 pm . option : 1 . ask late check , wich grant availability , cost 30 $ per extra hour , 2 . check appropriate time leave luggage concierge . would give ticket luggage , ready go , take street level . choose second option . check 9:00 , leave hotel get time New York . we go back hotel 4:00 pm , hand luggage ticket bellboy , give we back luggage . complaint hotel staff , matter fact , compliment people , make everything possible fiance pleasant stay . achieve 
 Jun 23 2009 	 nice room GREAT location staff ! 	 take two 16 year old daughter celebrate 16th bday . fabulous convenient place stay . request early check grant give we room view ! nice view time Square . surprised quiet hotel consider heart Times Square . elevator fast always available . concierge be incredibly helpful ! ( ask ALOT ! ! ! ) room spacious refridgerator nice flat screen tv safe . bathroom big enough two teenager get ready together . fitness center gorgeous ( even though not actually work . ) overall , LOCATION awesome ... close everything lot easy little eat place without eat fancy . theatre withe foot hotel ... GREAT trip hotel really make much well ! 
 Jun 22 2009 	 Marquis fantastic ! 	 travel New York City kid wife Norway memorial father pass away March . really not want go New York City impression people rude shopping restaurant crowd much hustle bustle enjoy . hotel comfortable inviting feel right home soon arrive . check - in fast courteous even though many people also check - in . view Time Square room clean spacious three we . walk outside hotel absorb wonderful lifestyle New Yorkers accustomed . everything right convenient . restaurant right across street ( Juniors ) great . eat three time every time service courteous prompt . food good price reasonable middle Manhatten . go several show one Lion King literally 30 step entrance hotel . rain show let walk theater back hotel raindrop hit we . concierge ( several different people ) help we dinner reservation suggestion could happy choice make . kid great time planning return trip Winter break . would think stay anywhere else . wa impressed hotel New York City I'am go try convince wife move . 
 Jun 22 2009 	 Location location location 	 family return week Marriott Marquis . not use hotel service ( restaurant , fitness club ) , would definitely stay . can not beat location . get great rate Marriott website ( AAA discount ) . put we 40th floor overlook Time Square . play go well within walk discount ( 2 less block ) . access subway easy . highly recommend Juniors Deli across street Times Square Bagels 44th street after - theatre dessert breakfast respectively . definitely stay ! 
 Jun 21 2009 	 disappointing . service awful . 	 live NYC choose get two room hotel bachelorette party . excited stay touristy location enjoy amenity hotel like concierge lounge . choose hotel particular mom platinum Marriott Rewards member lot point could use . call Marriott Reservations explain want book hotel name , use point , would receive amenity give platinum member , put note system say one would check , . main reason get access concierge lounge , reservation agent say would great would love . call hotel twice week stay , double check fine check without , etc . people phone great say would fine . go check , tell note appear system could check unless get mother phone . happen go town day ( country ) not think would able get phone . luckily attempt able reach explain manager suppose checking . happen , talk desk clerk possible suite upgrade . say suite leave night , okay close concierge lounge 'd lot space hang . get phone mom , front desk clerk inform ( ) concierge lounge OPEN WEEKEND , ( b ) not matter , would eligible anyway since mom platinum member . ' m sorry , two major problem . entire reason book hotel concierge lounge . ten people come hang two room . want access lounge . go closed , desk agent tell two SECONDS EARLIER not matter not suite lounge close room ? kid ? add insult injury say would not give access anyway ? really protocol ( may ) , would not say book ? would not say lounge close date specifically say need access ? , screw room . promise have adjoining room two double bed , know , adjoining . soon learn adjoining room king/2 double . eventually decide move king room . room nice fine , think bottom line hotel good one need . really make upset misrepresent something . know get go lounge close adjoining room two double bed , would book . course , find waste ton point stay . disappoint happen . speak manager check seem care . 
 Jun 20 2009 	 great view ; great rate AAA special 	 enjoy stay Mariott Marquis . life - time view Times Square . able get special rate Mariott AAA Thursday check - in . Times Square View room really enjoy light watch hustle . amenity service acceptable . subway block either direction . definitely solid , high - end 3 - star hotel . 
 Jun 20 2009 	 great stay ! 	 enjoy stay hotel . room clean , comfortable quiet . service efficient . use online concierge special request find everything ask upon arrival . absolutely problem elevator , not minute wait peak time . we find location convenient safe even dark . we will definitely go back ! 
 Jun 19 2009 	 Great Hotel / Great Location 	 hotel right middle Time Square . one block subway . room confortable . lucky room view Times Square . recommend hotel 
 Jun 17 2009 	 fantastic experience 	 hotel book part holiday package cruise company . read review go think hotel wonderful . 25th wedding anniversary take place whilst NY . upgrade 39th floor . view be not fantastic room wonderful , large clean . staff helpful even supply extra luggage tag . central location make easy get around fact people sit broadway watch hte world go midnight seem little crazy cool . feel safe inNYC hotel would definately stay . 
 Jun 17 2009 	 expensive great location 	 Marriott Marquis locate literally right middle Times Square Theatre District . huge hotel 49 floor LOT people . always people around elevator wait , etc . say , nice hotel can not beat location . room nice . actually pretty quiet view time square amazing . bed comfortable bathroom roomy . big , flatscreen tv lot channel . would stay . 
 Jun 16 2009 	 Excellent Hotel Incredible Location Gorgeous Views ! 	 travel NYC April 09 friend 's b - day absolutely love Marquis . great location amazing view Times Square . love big hotel , room not small . ( understand many NYC hotel room super tiny ) . actually see Little Mermaid , conveniently locate two step hotel . everything work perfectly ! loved hotel , good service , clean room , spacious , modern . great stay Midtown , ; halfway low Manhattan upper Manhattan . be return mom 's birthday August ... wait ! ! 
 Jun 16 2009 	 Credit Card Guarantee mean nothing 	 arrive New York late Tuesday stay 2 night . research hotel Times Square select Marriott Marquis base review Trip Advisor . husband call hotel let know flight late one send car airport pick we . arrive hotel check tell room available . guest want extend stay give room . print confirmation state Credit Card Guarantee . basically really mean nothing show credit card would charge room not even available ! travel lot never happen ever ! ! 
 Jun 13 2009 	 Perfect location . wonderful stay ! 	 Marquis right middle Times Square perfect location easy access almost Broadway theater many wonderful restaurant . mom , not walk much , hotel make easy walk show . get cab hotel simple fast not wait long elevator all . the staff nice lounge 8th floor perfect place rest , great view drink . room keep clean hotel aan amazing view ! ! ! hotel little pricey , sure be right middle everything . 
 Jun 9 2009 	 Amazing Location Incredible Hotel 	 stay hotel 5th anniversary husband . want stay . amazing location . Times Square view room awesome . 42nd floor- ultra clean room , comfy bed . hotel perfect location . lot great restaurant site , make sure go top revolve restaurant drink . 
 Jun 6 2009 	 good location 	 could see time square room . christmas time stay family . hotel decorate nicely holiday . nice shop hotel lobby . large hotel elevator system kind confusing first . room nice nothing special opinion . two chair table window nice since time square view . bed nice , sleep well . good part hotel location . 
 Jun 5 2009 	 great location love 9 5 Marquis Theatre 	 go book convention bring along 2 friend . location great right -outside hotel Times Square , lot place eat subway nearby north south . also inside hotel theatre 9 5 Broadway show . buy ticket ahead time surprise theatre inside hotel . room clean spacious include mini safe . internet fee high decide log . 
 Jun 4 2009 	 Nice hotel great location 	 husband stay 3 night Marriott Marquis Times Square May May 2009 . business join long weekend . hotel nice : clean room , comfortable mattress , quiet . elevator issue people refer early review seem address . call elevator , input floor number central panel . be direct specific elevator . perhaps one time , never wait couple minute , , elevator even one time , wait probably minute . hotel ' location great : right heart Times Square convenient Central Park area well . 
 Jun 3 2009 	 right heart New York 	 middle Times Square , walk distance Park , Rockerfeller Centre , Thatres , Empire State , great restaurant bar , great location . hotel superb design , fun glass lift work quickly efficiently , spacious room - overlook bright light Times Square - great bar view across Manhatten . staff check - in , concierge bar staff attentive , friendly helpful . fabulous time . 
 Jun 2 2009 	 FABULOUS NYC HOTEL 	 stay hotel numerous time past year . come city always stay ' m never disappointed . 's beautiful pleasure stay . people complain elevator , never problem . room lovely spotless location perfect seeing show . 
 Jun 2 2009 	 girl trip NYC 	 return 3 night/4 day trip NYC friend . stay Marquis amazing price $ 181.00 / night unheard NYC . definitely heart . theater ! 3rd visit NYC first stay Times Square . would say last . prefer alittle quieter location . far hotel go top notch ! 32nd floor tiny view times square . room huge NYC standard plenty room 4 we . starbuck 1st floor lobby 8th floor lobby . restuarant available although eat hotel always busy . lounge nice cocktail evening . busy hotel hour day night . fabulous time . 
 May 30 2009 	 good say 	 reviewer give thumb . must also . execllent location . modern decor . spacious lobby . room large ( corner room ) . bed clean comfortable . bathroom small hey 's bathroom . excellent shower towel . get bit pricey , ny . park next door save buck valet . coffee shop really expensive . great deli 's coffee shop right outside front door . 
 May 30 2009 	 unbelieveable 36 hour New York epicenter ! 	 $ 259 night mid - week smack middle Times Square , Marquis unbelievable hotel tourist business visitor alike . arrive late Tuesday night seriously jet - lag . Traffic Marriott block Broadway , enter 46th . beware even in - car gps system probably work reliably concrete canyon neighborhood . the interior simply overwhelming atrium literally reach sky 8th floor lobby . space age , art deco , retro design combine make true 21st - century hotel lobby capture rich quality city 's past . check - in absolutely painless , assign junior suite 24th floor view Broadway . view rotate restaurant sit atop 42nd floor . the enormous 8th floor host number bar , restaurant , usual Starbucks reception / concierge desk . 's easy drift away watch elevator whiz overhead sip cappuccino cosmopolitan Atrium . peer upon Times Square Broadway Lounge , grab traditional sushi Katen . find staff helpful friendly . breakfast concierge lounge 30th floor one day , fairly standard fare . oatmeal , however . fitness center comprehensive . elevator system take learning quickly become self - explanatory . enter floor want keypad , display point right lift . 's nominal pedestrian area , morning show film , usually camera . plenty photo op real fdny truck personnel , shopping galore within short walk taxi ride . restaurant lively spot 46th 47th step away . subway access easy , whole Manhattan Brooklyn stop away . 
 May 26 2009 	 convenient 	 american way , room enormous ( not think many Americans appreciate humungous average hotel room country ! ) - two queen sized bed . perfect two friend share . everythign fine - work well efficient . loved noodle bar restaurant . bar overlook Times Square . place away time hot weekend wear foot stump sightseeing . perfectly place theatre , enjoy . 
 may 19 2009 	 protect valuable 	 checkout realize leave expensive watch night table . hour later contact hotel tell find turn lose find . option : none , besides report loss prevention department . inform accord NY State Statute , valuable leave behind , hotel responsible loss . Guess will start look job hotel housekeeping ; 's lucrative realize hotel nothing sticky finger enter room . 
 May 14 2009 	 location loation 	 hotel certainly could not well place tour bus around corner shop theatre nearby . we wellcome smile efficient front desk staff , upgrade [ price ] Time Square view , room clean ok size , five day discover need ask robe , seem mean consider room rate . despite early review problem lift ever wait minuit , guess ever problem sort . dinner revolve restaurant pleasant enough experience pricey , weak pound dose not go far . all enjoy six day stay , gripe NY cab , miserable bunch ' ve come across city world even tipping15/20 % get smile prove impossible . 
 May 12 2009 	 so - so 	 go Mother 's day weekend 2 daughter . use Marriott point free , great deal . however next time will stay elsewhere . location Times Square seem like would great reality stay close shopping . Times Square nightmare walk to / from anywhere . obviously be hotel 's fault . thing find wrong place bathroom not cleanest good shape ( toilet seat crack throughout , stain floor ) , request towel limited amount keep room , minimal toiletry available guest , mini - bar small fridge room , NOISE adjoining room hallway horrific -- could actually hear toilet flush next door , elevator pain actually get fancy computerized system , temp room either hot cold middle ground , video checkout not work . disappoint not salon hotel . 
 May 8 2009 	 AMAZING Location ! ! ! ! ! 	 room : clean , room service great , spacious , great flat screen tv , unfortunately coffee machine poor . otherwise great . price : quite expensive new york ! location : amazing . central everything . heart Times Square . food open 24 hour nearby . service : bit worried review say line long wait hour lfit , issue ! ! ! internet : expensive 16.95 per 24 hour , work well ? ! thing would change hotel : add swimming pool gym ! kettle room , different toiletry ! ( ginger smell nice ! ) stay 7 night , overall happy ! 
 may 7 2009 	 Great Location 	 not stay Marriott Marquis price ... place . usually prefer value , addicted convenience NYC Marquis offer . travel NYC theater , shopping , Times Square , well place stay . yes , room need update , staff could friendly , price could lower . NYC take get . 
 May 6 2009 	 Brillant location 	 first visit certainly last . great location , smack bang Time Square . good hotel busy , problem Lifts . service good , want late checkout offer 3.00pm extra cost . 
 May 3 2009 	 centre everything 	 hotel centre hustle & amp ; bustle New York city find place fairly quiet location excelent ( almost place want visit within 15 min walk distance ) . reviewer complain lift never wait 1 minute arrive even Monday 20 different conference go - overall really good , affordable hotel . 
 May 1 2009 	 Great Place Visit 	 first trip New York definitely disappointed ! ! Marquis absolutely marvelous place stay . location , location , location - 's right heart theater district , wonderful . the staff helpful accommadation elegant . well worth money ! ! 
 Apr 22 2009 	 Perfect Hotel 	 go Marriott Marquis fiance tourism participate Dental Meeting . bedroom clean , spacious , beautiful , well decorarete , pillow super soft , two queen bed , 42 ' LCD TV , coffee machine . bathroom also clean spacious . see Times Square window . at top building View , restaurant see NYC 360 ° cause rotate ! good food . little expensive . worth experience . the localizacion good part . exit hotel middle times Square . Perfect shopping , eat good restaurant go play . love . definitily go back . 
 Apr 22 2009 	 good location NYC - Times Square 	 superbly locate , good , spacious room service.love restaurant top lobby 
 Apr 22 2009 	 Loved ! 	 stay 2 night offer room 44th Floor . right Heat New York , room face Times Square , amazing view great location . hotel although 3.5 star , 4 star delux , room clean , moderately spacious ( City Hotel ) friendly staff . Breakfast include , quite expensive , opted eat , much selection middle everything . my 2 yr old daughter we , unwell last evening , ask late check 2 pm ( check usually midday ) , grant free charge . ( usually 30 $ charge per hour implement ) deffinately reccommend Hotel great City Break ! 
 Apr 21 2009 	 Best Hotel New York 	 want experience noise excitement NY hotel . teenage daughter never visit ny blow away . central good bar town ( 48th floor ) revolve elevator crazily fast exciting ! staff excellent move we low room 42nd floor high daughter . 
 Apr 21 2009 	 Perfect First Time NYC visitor 	 book room free Marriott reward point , can not really complain anything . standard Marriott room ( spacious clean ) heart Times Square . ideal location book Broadway show , Hop Hop double decker bus locate step away . Central Park , Empire State Building , Rockefeller Center also within comfortable walking distance . subway stop close well , never use taxi . though not use , TKTS booth also locate across street . probably would not choose stay middle Times Square much hustle bustle taste . however , first time visitor , would totally recommend Marriott Marquis perfect location main tourist activity . 
 Apr 20 2009 	 Right Times Square ... 	 stay Times Square area , know Marquis decide give go time right Times Square . enjoy efficient check 8th floor . request high floor , give , 40th . elevator system , computer decide car , work well little wait . room pretty basic ' wow ' factor like 3 star hotel US . bed seem small pillow feather one request . check quick easy staff encounter pleasant professional . idea Times Square seem good idea time booking . 4th trip New York experience crowded chaotic Times Square look stay different location next visit . 
 Apr 18 2009 	 excellent place first girl trip NYC ! 	 quiet , clean room , excellent location ..... walk distance lot attraction & amp ; food . staff courteous . big compliant & amp ; compliant internet service business center 8 dollar 15 minute & amp ; bath towel not smell fresh . would defintely stay next visit ! 
 Apr 13 2009 	 great hotel right middle action 	 ' ve stay , whilst ' m still Gold Elite thought would stay , status mean would probably get upgrade , also lounge access - handy free internet not like pay net access avoid . form part decision stay nowadays , be time large chain realise fleece customer right , though understand business traveller expense charge high rate . got room concierge floor ( 30th ) , complaint room . know be get Marriott , tend feel wherever . comfortable bed always , blackout curtain sleep time day night - handy bright Times Square light ! noise issue street either . have issue lift time , never happen . tend get crowded peak time ( E.g . 7.30pm people head theatre ) leave bit early , will fine . I will stay get good rate . want middle action , nearby theatre not mind large impersonal hotel place . 
 Apr 11 2009 	 great Stay right Times Square 	 look Marriot Times Square place go ! Great Service , Concierge Lounge , amazing ... 2 word stay ! 
 Apr 10 2009 	 treat like cattle 	 hotel excellent location Times Square horribly blight lift ( elevator ) service . there 2000 room huge conference facility , elevator simply adequate service . room 43rd floor - great view Times Square , take 30 minute lift arrive take we room bring we . lose dinner reservation nearly lose theatre evening result . conference attendee use conference centre bottom 7 floor hotel come conference lift system totally overwhelmed basically close . problem elevator would probably adequate service room , 2 - 3000 conference delegate add system close , start malfunction ( lift fail arrive , come , doorsdo open , outer door open , inner door , make passenger nervous ) . staff ( exception woman man front desk 48th floor View restaurant ) mainly sympathetic , quite frank total inability help . eventually one evening duty manager accompany we floor freight elevator wait ( tired , hungry need bathroom day city ) nearly 40 minute elevator floor . at nearly $ 700 dollar per room per night , naively assume actually able get room would include , . could dowas advise we try use elevator conference delgate likely , frankly , effectively trap either room 43 floor idea customer service . complaint lead nothing - reduction room rate , much offer cup coffee whilst elevator setlle down . this greedy hotel , sell far great capacity infrastructure cope . avoid . plenty hotel area respect customer treat inconvenience . 
 Apr 8 2009 	 could care Less 	 number problem : run room , room double bed , want honor & quot ; breakfast include & quot ; clause . single big issue front desk staff , especially front desk manager ( bad main desk employee ) . since full , reasoned , experience mean nothing . apologize , accomodating . infuriate . room ok , location good , value poor , elevator horrible ( big deal realize want come go dinner time ) . stay several Times Square Hotels ( W , Westin , Michelangelo , etc . ) - MUCH well . avoid Marquis . 
 Apr 5 2009 	 great hotel . issue probably will not bug 	 ' ve stay long time hotel . ' ve 2004 around three week , stay 2007 roughly time . the location probably good NYC . right Times Square , like walk like probably reach Manhattan point foot , pretty nice way see city inmy opinion . room also good . take class NY everytime get back hotel feel really comfortable . al nice common stuff like pay per view movie , cable , safe , nice shower , even coffee maker . spacious view great . the internet service fast , easy use . use cable , can not comment wi - fi . great bed , good workdesk , overall spacious room , especially NYC . room way big Marriott stay city . name escape ( sorry everybody ) nice hotel close Times Square . gym seem like something future . flat screen Tvs walk listen tv . view Times Square , lot equipment . little unusual since ' m use lift free weight , nice experience , 24/7 recall correctly . Cleanliness ok . first service complain actually housekeep service . ' ve spend lot time study not make much mess room , fine lot timw without housekeeping privacy let thing wherever want much concern . would call policy clean room time time . make sense ( check ' m terrorist suicidal guy guess ) , bothersome , come , clean not really great . behind leave bunch empty soda battle & quot ; store & quot ; airmoire ( right word ? ) besides tv since trash small . the internet great say , except fail . connection problem , make several call center oustide hotel ( probably outside US ) get guy fix , not work . end change room lot trouble . least give well view , cool . the room service nice be stand much time , sleep night ( work 2 something ) . many health option though . main complain get wrong . would ask egg white omelet would get yellow omelet definitely make egg white . people deliver food extremely nice . one even manage remember single brief talk 2007 ( istene Brazil - Argentina soccer game n radio remember ) . outstanding ! breakfast hotel restaurant ( be ony one breakfast ) may well ' ve ever . friendly staff , choose buffet have lot variety kind egg pancake , oatmeal , kind fruit , cereal , bagel , much oragne juice coffee want . love it . the gift shop resourceful , even not want buy anything , be right Times Square , be hard feel helpless anything . be hard find conventional supermarket guess , 's Manhattan thing . gift shop attendant also nice . there two Starbucks building . one lobby ( 8th floor ) assort one share outsider ground level . I not drink , sushi , lobby nice Times Square view eat option . it not hard order pizza , sandwich kind meal hotel , go ground level meet delivery guy . really not mind , ok I . I guess also say NY city never sleep . ' m Sao Paulo Brazil feel Sao Paulo give option night . want eat really late night , be luck , unless want wander street look place . will not affect people though . there also minibar , advice ask fridge . provide small fridge room 25 buck ( payjust whole stay ) , enough keep plenty soda yogurt . that be tell . emphasize issue , like 6 week 2 stay . , overall , will probaby happy hotel . work business , leisure , study , whatever need . PS : also able deliver stuff buy on - line , even arrival check date ( notice , course ) . 
 Apr 5 2009 	 do not go 	 live ny , book room one night , romantic night husband ; suppose see Broadway play . dinner stay Marquisyesterday go check receptionist tell , sorry do not room ! somebody else want stay long , hotel sell . sorry long room . nobody contact , either email phone . they offer place we another hotel , refuse . guy assure credit card charge , fear be . I wait next credit card billi travel time , US abroad . never happen . neverprobably see live city go spend one night .. could not make much money we .. shame ! ! ! 
 Apr 1 2009 	 HOTELS bombbb 	 omg marriot hotel do not even ask ! like W e e omg madddddddddddddd fun & lt ; 33 . , mad foooooooood ( imfat ) .lol Juszt qo Broadway question aim Woah bbe x 
