surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Nov 3 2008 	 Excellent Stay New York 	 girlfriend return 6 night stay Muse Hotel New York . hotel locate W46th street 30 second walk Times square minute walk 5th Avenue . we arrive Saturday night Newark Taxi ( approx $ 80 inc toll tip , worth long flight UK ) greet helpful friendly door reception staff . the room good size ( big New York standard ) everything need stay , big comfy king size bed , decent size bathroom , flat screen tv cable ( much time watch though ! ! ) . room spotless arrive clean daily clean towel bed linen change require . room safe free use ( deposit require ) mini bar expensive not need use get anything want New York without go far . the minor gripe would room pretty dark ( without light , plenty lamp room ) window front building look right onto next door build office worker day , really big deal though not spend time hotel day . minor gripe would air con - noisy run stay warm month would need constantly would difficult sleep , problem we not really need use it . all fantastic hotel clean modern everything need great stay New York . location great base New York especially Times Square , 5th Ave etc . would recommend hotel anyone visit New York definitely stay ! ! 
 Nov 2 2008 	 go - to Hotel Mid - Town NYC 	 Muse Hotel another great Kimpton property . chain really liven hotel travel . like cozy hotel , place . the Muse Hotel boast fun , ultra - modern room within walk distance Theatre District Times Square . island tranquility surround chaos . staff good job welcome guest make feel home . the restaurant quite good bar pleasant . eat bar seek fast meal . slider quite good . the exercise room large ( wish large ) , small size hotel mean will not wait equipment . short , place fun cozy . love little extra like surprise gift package chocolate milk melatonin . 
 Nov 1 2008 	 Great Hotel Muse 	 return 5 night stay - excellent hotel lovely room - staff helpful & amp ; pleasant . great location - nut shell everthing hotel tick right box . definitely return Muse Hotel next visit New York City . 
 Oct 29 2008 	 Found Muse 	 friend stay Muse weekend October 24 - 26 girl 's weekend city . hotel actually not original pick , pick hotel priceline Muse accept bid . bit research Muse thrill accepted offer , although nervous first . three us room , want room two bed , call try upgrade take quite try ( lot transfer ) , find someone could help , turn problem have . when arrive check - in ( admittedly early - 11 am ) tell room not ready , easily able check bag head city . able check , find fabulous room , importantly ladie city , bathroom could accomodate three us try get ready night city . decor room toiletry bathroom also fabulous , course Kimpton robe extra comfy well . I feel safe hotel , key check night , one morning 3 am fifteen minute arrive , hear knock door , security check everything okay door not close properly , another nice sign . overall , would recommend Muse Hotel . room lovely , location central Times Square , not noise light actually stay square still let part hustle bustle want . 
 Oct 26 2008 	 Loved Muse 	 return week - end Muse Hotel NY city . locate midtown one block Times Square two 5th Avenue handy Central Park , Metropolian Museum Art ( walk ) many sight . party six arrive different time , staff excellent time arrive much delay , everyone ( include driver cab organise collect us airport ) know . personal service last throughout stay . room spacious New York stylish . bed comfortable slept hotel feather mattress topper pillow . the room flat screen tv , ipod dock / alarm clock safe hotel lend anything forget sell item lend . need european adaptor one bring within 5 minute . cost bill ( brand new ) say would charge return . offer complimentary glass two wine 5 6 pm every evening unlimited coffee tea lobby 7 be 10 am . also happy recommend excellent diner breakfast although restaurant hotel . at time one reasonably price hotel list central Manhattan . 
 Oct 9 2008 	 Loved Muse ! 	 husband stay Muse October 4th - October 6th . love ! Muse 's location great ... walk everywhere . hotel clean , staff extremely friendly helpful , love wine hour ! room much big expect ; large NYC standard ! complaint recommend hotel friend family travel NYC . highly recommend Muse ! 
 Oct 8 2008 	 top notch service excellent décor extraordinary property . New York good 	 Muse Hotel New York exemplary example boutique hotel experience . moment speak Valet time check , Muse provide nothing less hand top notch service luxurious accommodation . weekend retreat Executive Suite one king bed , room spacious expertly decorate contemporary fashion , include fully stock mini bar , two flat panel television , huge marble bathroom humorous / sexy ( depend mood ) leopard print robe nightie . location perfect , right next Times Square within easy walk distance major midtown attraction , include 5th Ave shopping , Radio City Music Hall , Central Park , NBC other . course , cab , limos standard mass transit option footstep away . this New York style . need room , stay Westin Times Square . luxurious romantic getaway – Muse guarantee satisfy ! 
 Oct 5 2008 	 Good Muse ! 	 stay 7 night 10th floor room back hotel . the room good size , modern furnishing art work . bathroom facility good . find air conditioning effective noisy . staff attentive friendly room service discreetly efficiently . stylish , ' theatre ' theme , restaurant serve good variety breakfast offer number imaginative well present dish evening , prix fixe pre - theatre menu also offer . restaurant price fairly high portion european rather american . Principal downside - also , one sense , advantage - proximity Times Square entail term noise , crowd , litter hassle ; , be way ! would rate ' excellent ' location . 
 Sep 24 2008 	 Perfect 	 visit NYC family member past Spring gamble book Priceline . oh , pleasantly surprised ! thrilled see hotel Priceline give we Muse 's Kimpton Hotel ' ve great luck boutique hotel , epecte lot . first , room : whole hotel recently refurbish , show . decor modern crisp , room spotless . luxurious bath product , comfy comfy bed ample pillow linen , flat - screen tv , quiet night long . two double bed , bit small side , ( we dress time could challenge ) 's complaint have . the hotel : like Kimpton property ' ve visit , nice wine reception afternoon , rest hotel common area soothe fun . on - site restaurant not try it . location : Times Square , perfect touriste area . nice wind evening Times Square , plus could walk play . service : impeccable , far get we place , tip stuff , subway direction , name . concierge know stuff help we ton . overall , would highly recommend hotel trip NYC . be nice new , everything would expect Kimpton property . Book want stay somewhere memorable special ! 
 Sep 23 2008 	 really liked 	 really like hotel . location perfect we , close theater ( close ! ) 5th Ave . shopping . room reasonably big , clean . problem , minor , getting eat breakfast restaurant . go , table empty crowd wait get . seem odd , eat elsewhere . overall , great experience . 
 Sep 19 2008 	 suck 	 1.5hrs past check time ask room ( towner ) give many excuse .. room clean , people still . clarify , room , tell demand specific room untrue ! ! room similar closet size . concierge joke . seem utterly confused . eat hotel restaurant . dinner pleasant . breakfast however , include employee curse loudly kitchen apparently tell story . extremely unprofessional . place give nyc bad name . 
 Sep 9 2008 	 another Great Kimpton Hotel 	 husband Kimpton Hotel fan stay San Francisco , Boston DC . look forward stay Muse NYC disappointed . stay perfect . detail : location : less block Times Square . easy grab cab walk block half subway stop . easy walk shop Central Park . staff : friendly welcoming . 's love Kimpton Hotels ... staff always great ! member touch program personal note , bottle water Godiva chocolate room arrive . nice touch . room : amazing ! executive king huge ... super comfy king size bed , chaise sofa lounge plus desk flat screen tv . nice bathroom plenty room travel stuff . huge closet hanger bathrobe . room face back side hotel quiet . amenity : complimentary wine hour every night coffee tea morning plus newspaper deliver door free wi - fi . what say , Kimpton Hotels good hotel chain truely understand traveler today . always first choice . definitely back Muse hotel . 
 Sep 3 2008 	 Muse Awesome 	 Muse third Kimpton hotel stay , extremely pleased . staff accommodate , friendly , helpful . room perfect , cleanliness , decor , marble bathroom . bed comfortable , wish queen size instead double two teenage kid we . read previous review indicate hear lot noise outside , bring ear plug . good thing ! room definitely need ear plug , consider great location Muse Times Square , definitely expect noise outside . muse quiet , safe , classy hotel . glad stay . can not wait go back ! 
 Sep 2 2008 	 Loved Muse 	 Stayed Muse end July 3 night , wow impress hotel . room clean big New York . 14th floor , hear noise . bed well . the staff nice friendly . loved location close Time Square . coffee morning downstair excellent , bonus wine afternoon . will deffinitely return . keep good work . 
 Aug 30 2008 	 great deal location 	 get great deal Kimpton online promotion weekend Labor day weekend . enjoy Kimpton hotel ( goldfish ) . great location block Times Square midst Broadway theater . 5 block Port Authority stop Newark Airport bus shuttle . also walk MOMA , Rockefeller Center , etc . get one recently renovate room ( King Deluxe believe ) actually big room ' ve NYC ( last year nice also boutiquey Hotel Mela block away room barely big enough fit king bed ) . reasonable space along either side bed desk TV / dresser / minibar area foot . apology letter fact HD yet set tv , biggie . 12th floor , face away Times Square towards Sixth . quiet . business center , FedEx Kinkos block away . dine District show ( convenient ) . 3 course pre - theater menu good deal , unusual & quot ; shrimp cocktail & quot ; appetizer chuckle eat . lamb shank bit dry though . overall good meal , convenient option nice pre - theater dinner ( add bonus able pop upstairs room go show ) .Did check fitness center ( busy show restaurant ) . overall , another fine Kimpton hotel experience , get great deal compare area boutique hotel travel period , roomier become accustomed NYC . can not beat location heart Times Square ( be sort thing . ) . 
 Aug 27 2008 	 + + nice great service 	 hotel super nice price . get 7 day $ 1700 total include taxis . stay 308 room spacious ny , clean , update large flat screen , quiet , comfortable bed sheet ( feather ) superb location see show . breakfast deli 50 pace west street across street .... good food can not beat price . 
 Aug 26 2008 	 Meet High Expectations 	 spend one night see show . great location Bway access . room size average NYC standard ( small ) well appoint . concierge recommend Baldoria 's . nice Italian felt rip $ 12 meatball plus $ 14 pasta- $ 28 buck two meatball pasta ? would return Muse . 
 Aug 12 2008 	 recommend Lovely Hotel Centrally locate 	 husband stay four night near end July year . personally , fan midtown Manhattan prefer West Village Chelsea please Muse wound loving appreciate convenient midtown - west location . book early get great rate really lovely room . arrive NYC early anticipate ( noonish ) permit check room straight away without kill time clean . room decor definitely average hotelish looking , do sort Hollywood Regency style . clean neat . bed extremely comfortable . hotel quiet inside outside ; annoying loud folk hallway , etc experienced . room face W 46th St ( 14th floor ) hear nothing street outside . evening hotel host wine taste nice . eat & quot ; District , & quot ; restaurant locate within , find Cranberry Grill locate around corner w. 45th great place grab breakfast lunch . Advise steer clear overprice Europa Cafe corner w. 46th 6th Ave ( aka Ave Americas ) . keep jewelry Mac notebook safe stay -- secure . lovely L'Occitane toiletry room . great . visit . 
 Aug 11 2008 	 great location Hotel 	 get great rate Travelocity great deal . hotel everything advertise plus . great location , quiet , large room bath , pleasant staff , helpful door man , free coffee , wine newspaper day . walk location Manhattan walk , several subway station close . close Times Square , Broadway play , restaurant . would definitely suggest anyone visit city give Muse consideration . 
 Aug 8 2008 	 not stay 	 careful belonging stay hotel . four we stay 2 bed room . ask fold bed two teenage son want sleep together , tell fold bed . be ok could put wth . anyway $ 120 worth good take room . go front desk tell , say housekeeper go room , call security informed would look . say ok . security tell clean go room , say ok person either steal good throw away . security could find anything . stupid clean ask ask . anyway could prove good receipt love NY bag take . give back $ 80 australian money american . say pay good Visa make difference . advice stay HOTEL . noisy well . try charge we good take mini bar , . mistake . never 
 Aug 5 2008 	 great Choice Great Location 	 be look sophisticated refuge hurly - burly Times Square , look . muse quiet ( yet hardly sedate ! ) boutique hotel locate one block action . hotel staff work overtime ensure unique need meet moment enter lobby moment leave . we upgrade newly - renovate & quot ; Executive King & quot ; suite 16th floor , decent view Times Sq dual - zone temperature control ( nice touch ! ) nice touch : L'Occitaine bath product , flat - screen hdtv ( one living area , bedroom ) i - home clock radio , allow dock i - pod enjoy music . bed exceptionally comfortable : pillow - top mattress , high thread - count linen four pillow ( plus one linen closet ! ) Muse truly go way make sure comfortable possible . take advantage nightly wine - taste lobby , complementary coffee - bar morning greatly appreciate ! ( good coffee , ! ) & quot ; District & quot ; - hotel 's sole restaurant serve amazingly - price three - course & quot ; pre - theatre & quot ; prix - fixe menu $ 45.00 quality food significantly well will find elsewhere neighborhood . wonderful ' theatrical & quot ; atmosphere , too . we will back ! 
 Jul 28 2008 	 trust 	 hotel trust credit card detail . check hotel , put large charge card incidental , case ( never ) . also charge credit card , 6 month stay , service take . method communication fail ensure issue discuss Hotel Manager . sour whole experience stay recommend business . 
 Jul 28 2008 	 Lovely Hotel Great Front Desk Service 	 lovely hotel , right heart Broadway , close action , near theater district , close restaurant , subway , ! room superbly decorate well appoint . bathroom spacious well do comfortable shower tub marble sink countertop . light sound system room nicely do . ask high level floor avoid noise street level . check room find sit desk check system personal friendly . stay need several business item personal nature front desk staff help we arrange trip individually . sit us & quot ; desk & quot ; look information , help we book car , driver , public transport , make reservation we , get information sort ' hand ' task go well beyond normal service would receive ' big ' hotel . complaint housekeeping staff never seem arrive timely hour . would often wait well 2 p.m. maid come room . would go come back several time morning , return find room unmade maid find . complain several time course several day front desk . would try helpful hurry maid along not seem help expedite particular maid particular floor . otherwise , great hotel . 
 Jul 26 2008 	 Great Hotel 	 great stay : - excellent staff- great location ( metro & amp ; theater close ) - clean , roomy , comfortable roomsWe get summer discount rate $ 179 per room -- exceptionally good NYC . first night , noise HVAC little bothersome , ask move second room quiet . 's cuban restaurant across street food wonderful live music . great stay , would definitely stay discount rate . 
 Jul 21 2008 	 great little hotel near Time Square 	 friendly check - in newly renovate room ( spacious NYC standard ) , free wireless access totally relaxed atmosphere - opinion get right . Booking Kimpton website easy cancelling , plan change . bitterly cold weekend , spend quite bit time hotel enjoy every minute . 
 Jul 2 2008 	 Good Boutique Hotel get decent rate find quiet room 	 book CAA rate $ 279.00 night two bedded room . also join Kimpton in - touch program get free internet . the Hotel staff good complimentary wine hour 5 pm lobby nice treat especially serve decent wine . room comfortable state art bathroom Occitane toiletry luxurious . decor room face black white furniture look like design 's Acid Queen Tommy . taste . garbage truck clang away night street wreck sleep poor soundproofing room , stay pleasant one , however would stay last resort . 
 Jun 29 2008 	 Location location location absolutley perfect . 	 good friend love travel love take good care . muse absolutely , positively perfect fit we . free coffee morning , free wine evening ideal place stay . room beautiful , spacious quite , good friend love fact room hallway . artwork room beautiful do . large , spacious well appoint bathroom joy . two woman , share bathroom get little cramp Muse ' even consideration . bed large comfortable load pillow . location Broadway 6th 46th St. perfect . theater everything , easy walking distance . small cozy bar hotel nice please visit evening Theater relax unwind . temperature 90 room a / c easy adjust work quietly efficiently . hotel would hesitate recommend anyone want idea home base New York City . definitely return next trip City . 
 Jun 27 2008 	 comfortable convenient 	 stay Muse twice . great location - near Time Square fairly quiet side street . the bedroom , whilst large , incredibly comfortable . reception staff friendly helpful . if go back New York probably return . 
 Jun 26 2008 	 Great Hotel 	 Muse wonderful place stay NYC . location great , room big , bathroom spacious , staff friendly . coffee morning welcome benefit , store bag free charge late flight . would definitely stay . 
 Jun 18 2008 	 Muse great ! 	 Muse Hotel great ! not hear noise reviewer speak - fact room quiet even close Times Square . staff great , especially doorman Wilmer . love get meet . room clean , bathroom big ( stay executive king room 7th floor ) , even room good sized . definitely stay New York , price great get . 
 Jun 18 2008 	 Muse Must ! 	 stay weekend June 6 - 9 . property surpass expectation . hot weekend New York - temperature 90 's daily . room sanctuary - quiet - cool comfortable . air conditioner work perfectly - quiet easy set digital temperature control . bed comfy - great sheet - many pillow - hard leave morning . since weekend hear construction noise . 3rd floor - real view street noise . bathroom huge ample supply luxurious towel . Shower work great - good water pressue plenty hot water . room spotless . flat screen TV IPOD dock nice touch . staff cordial helpful check check . wine hour 5 pm 6 pm real treat - free coffee morning . usually stay Algonquin visit New York - sell date take chance Muse . lucky - could make well choice . put place must list -you disappointed ! 
 Jun 17 2008 	 Great Hotel ! 	 great hotel , great location 1/2 block Times Square . small , 200 - room mod & amp ; chic hotel . recently re - do , new carpet . room absolutely enormous NY hotel . terrific bed & amp ; pillow . free wine happy hour every night 5 - 7.warning : sure ask quiet room . first room outrageously noisy , staff nice move we . we big fan Kimpton hotel ( Muse one ) terrific experience Serrano ( another Kimpton ) San Francisco . hotel restaurant good - pricey . 
 Jun 15 2008 	 great hotel warn .... 	 Kimpton hotel excellent . Stayed San Fran New York upon pick phone , greet guest say Good Morning , inspire ? muse times square centrally locate . staff friendly helpful hotel modern trendy . however ... website fail warm guest forseeable future , behind Muse derelict landsite early morning day , loud construction take place guest greet wake around 6.30/7am loud drilling construction work . ask move front hotel , warn since times square , aware infrequent noises cab horn night . choose back good sound sleep early morning . business client , problem we time morning anyway tourist weekend - drilling believe stop , problem exist late night impossible sleep loud sound scrape machinery go day nearby . say , New York fun , busy noisy city locate times square , always subject noise want quieter time , not hotel ! 
 Jun 12 2008 	 great bed ! ! ! 	 stay Muse June 8 - 11 . 19th floor hot NYC ( 100of ) . room fantastic . bed feather pillow bed cover , pillow , 250 ct linen . air conditioning cold controllable . flat screen tv , free WI - FI Kimpton member , fridge full food ( get pay stuff ) want . bathroom clean Occidental product . fantastic make - up mirror . room quiet except 7 garbage truck construction start . lastly , great view Times Square , could block shade blind . hotel theatre district convenient Metro . staff great , arrange car service we , etc . would stay . 
 Jun 5 2008 	 finally ! ! ! ! 	 guy travel world many different city country , travel get sick Marriots Hiltons , last impression get everyone else ... feel every hotel New York 18 previous visit , say LOVED HOTEL ! moment pull , sit , room ready , problem , upgradethe room smart sophisticatedthe beds dreamthe location excellent NYCthe price reasonable ( NYC standard ) staff courteous consideratethe maid greatthe room service quickthe doormen real laugh good insight place eat / visitit kind place could take wife girlfriend lock room weekend wonderful breakwould not recommend couple kid , would everyone elsewhat could want hotel ? enjoy stay 
 Jun 3 2008 	 quieter Times Square Hotel 	 travel quite frequently New York business never really find hotel offer exactly want . .To fair not think ever . time thought would try Muse rate pretty good . when travel look quiet room , business facility , good location helpful staff . rather cute boutique hotel offer good value money excellent location ( look right middle tourist area ) , seriousness good hotel warn quiet room . know many say request quiet face room not exist . build work go nearby noisy . also constant background generator noise hotel distracting get use . room pretty good , especially get one high floor . term food , order breakfast room bad room service breakfast ever New York cost $ 38.00 . find doormen helpful staff reception terrible , exception one lovely lady duty afternoon check . say , visit New York first time want good location hotel beat competition area . oh anyone travel business , hotel business centre . internet cafe nearby . 
 may 27 2008 	 Fantastic Hotel Location 	 stay memorial weekend . muse wonderful property 1/2 block Times Square . glad hotel not open onto hustle bustle , quaint , safe , sidestreet . theater , shopping , Central Park , Empire State Building , Rockefeller Center , Radio Center Music Hall quick , safe , walk . far sight , subway station 1 block away . staff wonderful room look like picture online . really great Boutique hotel . like small personal feeling oppose big mega hotel Times Square . free wine reception every evening great ! also free coffee tea a.m. downstairs also . book Deluxe King hotel , mention 18th anniversary . upgrade executive suite ( wonderful ) plate snack mini bottle champagne upon arrival . parlour bedroom , climate control . bed comfortable think ever sleep . Heaven ! good view . construction room , not work weekend , little noisy Friday afternoon . not bother we , room great dropping stuff get ready head . note - minibar sensor , open move something may get charge . charge remove without problem , not need , leave minibar closed . little cafe shop nearby . also arrange ticket Broadway show we . TKTS good deal , show willing wait line 2 hour . feel limited time ny , would rather pay stand line . plan ahead not want wait pay premium price . also , great experience NY waterway Yankee Clipper . 2 hour harbor cruise way Yankee Stadium . $ 22 per person , well worth price view ease leave stadium ! fun , chilly dark bring jacket unless steamy night ! 
 may 27 2008 	 run run far away ! ! ! 	 disappointed could not let other miserable stay , think would write review . book hotel Priceline girl friend getaway . Priceline could not guarantee room type , call hotel see could get room two double bed . tell would not problem . upon arrive front desk say not double clean , could come back hour ? come back hour clerk inform us sell double could give we king suite fold couch . ( lie we arrival ? ? ? ) course King Suite nice room pull bed uncomfortable- . top major construction site go behind HOTEL . review read suggest request room back peace quiet . option ! ! ! construction start bright early 6:30am . aaargh ! ! staff seem genuinely concern difficulty could not anything we . since book Priceline stuck . request ticket concierge twice time call several time confirm- would easier handle . top , day leave , housekeeping remove newspaper . know sound silly save paper date scrapbook souvenir . fold neatly desk- housekeeper take anything room trashcan ? ? ! ! ? ? , inform manager get us shrug apology result . bright spot visit Wilmore help we luggage hail cab . sweet gentleman ! 
 May 26 2008 	 Good Location fo Theater Times Square visitor 	 stay varity large hotel Times Square / Theater District past 6 7 year . would categorize & quot ; Muse & quot ; boutique hotel . room hallway fresh well care . hotel staff courteous . wine hour nice touch wife enjoy . negative side , lobby small get overcrowded busy time . likewise , challenge get valet parking , NYC park difficult expensive . hotel locate 46th street 1/2 block Times Square street pretty dingy . , entire Times Square area pretty dingy . in future , stay Northern mid - town close south - end Central Park . Times Square hotel convenient theater goer , think true representation NYC / Manhattan offer . 
 may 13 2008 	 great hotel 	 hotel well decorate , bed extremely comfortable , staff friendly location perfect - right around corner Times Square . highly recommend . be quirky enough another bland hotel also convenient quiet . 
 May 2 2008 	 Great Beds 	 husband stay 3 night Executive King 18th floor . book direct hotel 's website glad see accommodate preference . since high , nearby construction noise issue . enjoy seat style check - in friendly atmosphere boutique style hotel . great location - close Broadway show Times Square . hotel provide we map good direction utilize subway breeze get destination away like business district Battery Park . stay hotel substitute dessert hour regular wine reception due something liquor license serve lobby . nice touch would well offer coffee / tea / milk go along sweet instead water / soda . tv reception room poor note indicate update . problem since television priority we . overall , great location clean hotel offer excellent comfort ( bed well ! ) memorable experience . 
 Apr 23 2008 	 Great Hotel 	 stay lot Hotels one great . the bed heavenly . room recently renovate . this boutique hotel half block Times square , centrally locate everything Manhattan . bed comfortable not want wake morning . I 3 issue .. room bit small , however minor . also , think coffee tea kind beverage offer lobby 24hrs drink breakfast 7 - 9am . lastly , think price pay room WIFI include . the issue minor one good hotel ever stay . 
 Apr 17 2008 	 busy location 	 pleasant stay Muse Hotel . hotel well locate ' go Broadway theater shopping . be half block Seventh Avenue Time Square . ' block half Fifth Avenue ' high end shopping district block Radio City Music Hall . quiet neighborhood . Time Square wall - to - wall crowd 24/7 right . generally , prefer quieter setting . the room modern comfortable . recently update . located 15th floor , nice balcony , much see . bath fine though tub slow drain . 
 Apr 13 2008 	 Great Place 	 wife , along two kid ( 16 & amp ; 13 ) , return M - F stay NYC Muse . happy everything second walk moment leave help we cab ride Newark . Melissa , front desk , spend lot time help we dinner plan direction . sweet person ! room great . plenty towel , cozy bed , etc . location great . could see Broadway window ( 1/2 block away ) . end NY , will make reservation Muse ! thank great stay ! Stan & amp ; Kim 
 Mar 31 2008 	 Brilliant experience wonderful staff . 	 warm greeting Willie , baritone - voice doorman , walk beautiful swirl artwork ceiling lobby . lush curtain chase lounge chair add warmth charm tiny boutique hotel heart bustle Manhatten . welcome one lovely front desk personnel quickly pull reservation , process key , paperwork .... sit warm red velvet chair . 15th floor balcony room gorgeous spacious NYC . black contrast white decor exude feel elegance . bathroom like Roman Bath House . gargantuan spa bathtub two would sooth away traveler 's worry . duel head shower first us hotel . half block heart Times Square , charming hotel must traveler look chic sophistication , value great service . would recommend lovely hotel anyone . 
 Mar 19 2008 	 par .... 	 stay hotel year ago brand new . location excellent Broadway Theater trip . decide give another try first experience wonderful . since opening , hotel acquire Kimpton Hotel group undergo total renovation . arrive midnight long day travel . show beautifully remodel room ( executive suite ) . well 6:30am awake horrific construction noise ever encounter . hour try sleep thru give . call front desk request new room . room like different side hotel away construction would perhaps available later day . however room consider step one offer . take room . Tho still side construction , many floor high noise considereably muffle . problem , tho room hotel non - smoking , one reeked cigarette odor . concierge could not smell promise ionizer . consideration agree guarantee room offer would less noisy first . return room day shopping dinner , could tell difference odor . another irritation .... onsite restaurant one favorite city . one evening visit make dinner reservation . upon arrive dinner , take basement conference room set dining . apparantly midst liquor licensing issue could serve restaurant . banquet room seat TINY . , ... bistro type table , tiny uncomfortable chair . peruse menu moment , realize upset mention alternative dining arrangement make time reservation uncomfortable unhappy . choose leave . additionally .... one day visit rainy one . one umbrella room . upon depart day request second front desk . tell give purchase one leave hotel ... & quot ; could NYCity souvenir & quot ; ! ... answer look . step outside , two we , one umbrella . need cab ask doorman could hail one . response would well walk corner 6th 46th already gentleman ahead we have well luck . close .... doubt will give third shot . consider Westin Times Square well Michelangelo . believe would get well service either location . visit NYCity least twice year . usually stay Ritz property thought would try something little close theater district time . bad choice ! ! ! 
 Mar 19 2008 	 gem ! can not say enough ! 	 ' m picky , hotel fabulous . price , service , amenetie location can not go wrong . book lastminutetravel.com ( formerly site 59 ) last minute romantic getaway DC w / out kid . 900 buck get round trip shuttle service DC good flight two night Muse . little nervous since usually stay Ritz Carlton , Four Seasons , Waldorf Astoria , get idea . well . . . . renovate room look exactly like website new comfy bed , flat screen tv , ipod doc , etc . bathroom typical marble similar high end hotel -- l'occitane toilettrie . room big NYC -- nice Waldorf other . staff top notch , service orient . , recently sort liquor license problem restrict liquor back bar ( instead lobby restaurant -- hear issue distance church across street ) . , instead say happy hour back bar one hour give 4 coupon per room wine good 4 11 . apologetic could not drink lobby would give anyone extra coupon ask . silly . wine $ 12 + dollar glass pour generously . Location say & quot ; theatre district & quot ; 5th ave short stroll -- walk everywhere w/ exception upper east side airport . say enough place -- okay pool , small exercise facility -- yes , bit construction back hotel never hear since request front room -- - deal . former reviewer say -- - start spread Muse ! wait go back husband , two day later , stay sister Kimpton hotel business . convert . 
 Mar 7 2008 	 great hotel 	 great hotel , great location excellent , helpful staff . clean , well - appoint room good sized bathroom . complimentary wine reception evening 5 6 . would definitely stay recommend anyone . try continental.com good rate . 
 Feb 26 2008 	 AMused 	 stay argonaut SF , decide try Muse teenage daughter english half term feburary . absolutely brilliant , yes bit noise construction outside - nothing concerned though , muse faultless small cosy hotel right Heart New York . modernise spacious room wine reception eve nice touch . shop around get deal £ 150 /night exceptional value . 
 Feb 24 2008 	 Great Service 	 return Theater mini - trip New York . return boutique hotel , service , terrific check - in check - out . Aubrey , concierge outstanding , recommendation simply great . room bite small side , nicely appoint gym , top - of - the line Life Fitness machine , equally well - appoint . 
 Feb 22 2008 	 newly renovate ' it be safe go back ' 	 travel companion begin stay Muse open . year , room hallways become drab worn find accomodation NYC . read renovate room , decide give another try . pleasantly surprised quality renovation . guest room bright , cheery fairly elegant . decor somewhat neo - classic modern . drawback tv watcher ( one ) lack HD flat screen tv 's . note room indicate work get hd room . also , notice construction noise dining restaurant morning hear construction noise room . 2 bank elevator hotel room separate two different area . stay one small room ( queen bed ) may want check room layout prior booking . bar adjoining restaurant hotel conveniently locate Times Square area price seem fair compare hotel area . 
 Feb 22 2008 	 Beautifully Renovated Rooms 	 loyal patron Muse up down , say hotel never look well well manage . greet warmth recognition check - in Kimpton loyalty member , upgrade charge one beautiful , newly renovate room 16th floor . sparkle clean , handsomely furnished , thoughtful amenity -- include Ipod docking station . impressive ! delicious lunch District especially nice , since press time . enjoy cocktail Mini - bar evening -- perfect martini every time , good selection wine - by - the - glass . bellman super friendly helpful , checkout speedy efficient . look forward return next month ! 
 Feb 19 2008 	 Muse Hotel 	 return NYC stay Muse . room comfortably large . nicely appoint . tv system par currently upgrade HD hopefully rectify soon . convienient theater Times Square . much peaceful last stay Marriott Times Square . district dining facility quite good breakfast pricey . well bet block away Red Flame . fantastic italian place call DaTommaso 8th Ave miss reasonably price food . DJ , Atlanta 
 Feb 18 2008 	 start spread Muse ... 	 stay Muse week ago ( Feb 08 ) . fantastic experience . staff great , room spacious ( NY standard ) bed , comfortable . beat location hotel - half block Times Square right middle everthing . price reasonable ( , NY standard ) would return tomorrow could . 
 Feb 15 2008 	 comfortable bed ever ! 	 ' m 100 % sure stay , ' m guess , year ago . room really small , lovely , bed amazing . good sleep ever . hotel nicely do , bar tiny fun , good food , though be bit pretentious great experience . 
 Feb 6 2008 	 beware construction noise 	 stay hotel recently read positive review . unfortunately , book , give notice construction street ongoing one side hotel . noise terrible , start early a.m end approx 5 . ask front desk advise , person truly seem care say guest side hotel need deal - . say hotel fully book night could move room . Notwithstanding advise never advise noise advance , say could nothing - 's . continue ask receive notice advance decide whether stay another hotel give noise , advise would speak manager . , unfortunately , nobody get back . follow , point , decide lack concern part individual would lead stay . room nice clean , staff , include bellboy quite helpful , complete lack concern really put . try another hotel next time . 
 Feb 5 2008 	 Professional staff luxury hotel 	 Muse excellent choice hotel Times square area . block square comfortable elegant . staff exceptionally welcome professional . would stay hotel . nothing negative experinece . 
 Jan 29 2008 	 love bed cozy . 	 hotel excellent new renovation incredible room look fantastic . bed comfortable . like location hotel convenience get around . room clean hotel staff friendly housekeeper polite caring tell name Giovanna good job fold clothe organize shoe pile floor . glad stay muse hotel . thank 
 Jan 24 2008 	 fantastic find - great location 	 great little boutique hotel . room large , clean comfortable . hotel 2 minute walk Time Square . staff friendly - nothing much trouble . thouroughly recommend hotel . stay . 
