ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Sep 27 2008 	 Classy comfortable watch hidden cost 	 travel Ireland stay Melia White House four night ( Monday Friday ) wedding anniversary . cost we 900 euro include breakfast webste GTA hotel . arrival ask would like upgrade superior room 60 pound extra four night . good thing superior room fabulously large bed , though probably London standard , room spacious enough little tight storage facility . find air stuffy though open window noise construction two large block right next door really annoying ( third floor ) . somewhat muffled , window close . ask change , move another room next day ( although put request straight away day arrival ) . noise still day window open , though bad . window close hardly noticeable . ( room 402 ) . right middle busy urban area do not expect view pretty ! ! ! neither issue big problem go day sightseeing anyway . a nice touch bottle bubbly room arrival , though WATCH mini bar . interest use , husband pick bottle ( maybe two ) look , curiosity , notice magnetic pad sort thing . lift bottle alone , cost . sign something reception try charge we 13 pound ' use mini bar ' . new one us ... : - ( ( also watch hotel bar Longfords - 12 half per cent service charge include tab . not realise tip generously top . ambience nice good jazz singer / pianist . we treat spanish restaurant L'Albufera , one night . coupon give reception reduction appie la carte chef 's set menu ( 35 pound three course ) . ( service charge also include whether like . ) food good service ambience classy . Wednesday night . worth dress for . the breakfast buffet style wide selection - could set day , though husband cringe hear US guest ( must book room ) ask fork 21 pound pleasure , ( way overprice opinion especially also consider dollar exchange rate ) .SO , end day , yea , would recommend stay - also convenient tube station ( Great Portland Street near ) walkable Regents Street , Tottenham Court Road etc . depend budget since little experience stay London , can not compare hotel price - wise . 
 Sep 24 2008 	 wonderful stay 	 stay 2 night Melia White house september . hotel staff really lovely , allow we park front hotel small fee . also late check , free charge . hotel breakfast superb , stay include one dinner sample restaurant one night . also nice . room fine - bit small - not spend long ! bed comfortable room quiet . hotel situate centrally attraction , walk everywhere close everything need . would love stay ! ! ! 
 Sep 23 2008 	 Construction Noise Little Sleep 	 5 day business trip London , stay Melia White House . next hotel , two building construction . building perform construction 6 day week ( Mon thru Sat ) start 7 am . noise unbearable , especially jackhammer . recommend avoid hotel construction complete ( perhaps call hotel check building still construction ) . see http : //www.regentsplace.com/ say construction end Autumn 2009.the bed quite uncomfortable bathroom small ( slippery , watch ) . hotel lobby probably peaceful place . location good , easy access tube . in short , avoid hotel construction . 
 Sep 22 2008 	 London MWH 	 hotel nice . service good : nothing world good . well locate easy access . food ok . 
 Sep 11 2008 	 Exceeded Expectations 	 get good deal priceline , course concern would get . hotel good location next Regents Park , two tube station within walking distance . arrive 10:00 flight allow check room . staff mostly spanish , speak good english nice . hotel clean ! pretty lobby public area . lots marble , brass nice furniture . one negative , small room , much different cruise ship . clean , quite decent view , old furniture good shape , bed great , bathroom ( bath - tub ) small , marble clean . ' ve London past , maybe good deal yet . would say not require large room , great value $ 200 . would stay , might consider $ 80.00 extra large room , put competition nice hotel . Breakfast include , expensive , eat across street cheap ( London ) . 
 Sep 10 2008 	 fabulous 4 * 5 	 originally book hotel throught melia website see last minute.com secret hotel £ 100 cheap start bonus . get astounded stay lot london various hotel par foyer large beautiful staff even tho mainly spanish spanish run own hotel ... friendly helpfull book ease . ask want upgrade junior suite decline really would bowl superior room ample big enough comfortable . clean spacious king size bed could easily sleep four huge . fair share small minor problem fix instantly example light room flash come immediatly replace iron keep blow fuse change instantly efficient even telephone room make sure happy service first class service fault . underground stop great portland street across road room sound proof . 15 min walk oxford st 10 min walk soho leicester square piccadilly circus real good location.we reccomend want comfortable luxurious stay london go straight melia white house many facilitys accomodate definatly go . 
 Sep 9 2008 	 bad hotel London . 	 bad hotel ever stay . pay extra £ 30 per night upgrade junior suite . room extremely dark importantly road noise horrendous . expect road noise centre London noise bad 3 am ask move . move small room opposite side building eventually sleep 7 am woken construction worker commence work building opposite . complain reception , translate complaint one seem speak English , transfer another room later day . apology understanding staff ask refund upgrade , say would receive checking . executive room much well £ 30 cheap night junior suite . ' waste money upgrade . friend book another room issue also find gigantic hair ball middle floor . look like someone empte hair brush year brushing carpet . housekeep understanding , change room offer £ 30 compensation bill . breakfast dull tasteless . one benefit suppose ' help ' complimentary drink evening 6 pm 9 pm . however limited choice , bell whiskey , brandy liquor , small amount vodka one bottle first night replace . ask bell boy obtain taxi , shrugged shoulder ( probably ' speak English ) . order black russian cocktail bar one night ( tia maria , vodka , coke ) receive white russian ( similar fresh cream top ) . explain error waiter say ' ' different , ' drink ? ' explain allergic milk , cream etc ' order . receive black Russian eventually make feel uncomfortable . thought would try let hotel redeem order two aromatherapy pillow one evening . rang room service order instruct request pillow deliver later evening slip nice warm bath . place ' disturb ' door climb bath . needless say five minute later several knock door . last final straw check hotel . ask bill neither room reduction show . bothe friend spend next hour arguing receptionist £ 130 reduction . hotel deputy manager call come say ok reduction change room junior suite executive room ; however debate sleep part first night junior suite ! would however agree £ 30 reduction hair ball friend ' room . state housekeeping right offer refund without authority know nothing . leave apology . receptionist realise go pay bill £ 30 reduction deduct promise , mad another phone call , deputy manager would come see we agree reduction . coward man ! ! ! ! bad experience . ' go hotel . ' pay much Landmark road great 4/5 star hotel . give Melia miss . 
 Aug 29 2008 	 highly recommend 	 stay Melia White House part trip package August 2008 . price around 150 pound per day 3 people . price range , hotel superb . great location near Great Portland Street tube stop , quiet neighborhood . easy tube access London tourist attraction . hotel new , nice , staff helpful . hotel draw largely continental crowd , lot Spain , Portugal , France . international flavor , like . Breakfast include huge buffet , often big meal day . wife daughter would go back without hesitation , high praise indeed . unreservedly recommend . 
 Aug 26 2008 	 nice look good location bad service 	 hotel convenient decor good . standard room tiny bathroom room small , though amenity okay . main issue hotel though level customer service . Air Con break report leave dinner . 3 hour later no - one even room . speak 2 member staff get & quot ; want ? & quot ; £ 120 night - would expect lot actually . finally well early hour morning Duty Manager lovely understand Customer Service actually mean , move we another room . 
 Aug 12 2008 	 great value beautiful hotel 	 wife first book room Royal National , London weekend getaway , soon change book read terrible review find onhere . as student , budget tight , hope extra money spend Melia White House would worth it . and ever ! hotel simply wonderful . the hotel area : location great . be 2 minute away tube , surround area mainly embassey , expensive appartment business . hence chance run mob drunk kid minimal . Oxford st . bit walk , be nice walk unless be carry kid heavy bag problem.5 minute walk get business area load small restaurant pub cater lunch hungry suit . not alarm look place ... look bit dirty side , rule thumb : place pack usually worth wait , since customer probably regular . breakfast hotel overwhelming . cook order omlette , wide selection cold warm meat , load fresh fruit , good coffee , decent pastry morning buzz , lovely cava . try wine breakfast , , desire it . the staff : service part simply outstanding ! desk able answer question give we great advice pub ... donut - store ( yes , crave ! ) store 3 dosin donut us kitchen fridge , guestfridge small - free charge ! service fast spotless desk . in restaurant 's so - so . late night dinner restaurant , closing , service incredible slow . food quite nice worth wait , quick meal nothing quick it . the room : budget , decide upgrade superior - room offer . stay cheap room , not dissapointe . yes room quite small , barely enough room walk around bed , still beautiful spotlessly clean . the bathroom marble tile , shiny black . bathtub nice surprise great long day walk street london . all great stay would not hesitate book . 
 Jul 26 2008 	 really nice hotel - fair price 	 + friendly staff+ spacious lobby+ spotless room+ superb breakfast- car parking - confuse lift call system 
 Jul 24 2008 	 spanish friendly 	 great location , 15min walk Oxford St. , opposite beautiful park London : regent . classic décor , luxury old sense , huge room bathroom , comfy king - size bed , professional , helpful staff . spanish tourist London favourite always pack couple family shopping spree City . honest , kind place parent would happily stay . recommend whoever look quite , elegant place , spanish friendly ( staff either Spanish speak language ) rank location first place preference . feature elegant spanish restaurant modern - eclectic one 
 Jul 15 2008 	 Love hotel ! ! 	 book hotel originally lastminute.com ' secret hotel ' know close want realisie hotel . we actually stay twice book stay ! hotel clean , staff friendly check efficient barely queue . we go hotel bar evening , , willing spend ridiculous amount money drink , well worth . pianist also sing , fantastic enjoy old also new song . we experience breakfast yet recommend hotel friend , stay partner say breakfast superb ! ! 
 Jul 9 2008 	 Fantastic hotelL - highly recomment 	 wife stay Melia White House 7 night enjoy every minute . 's centrally locate 5 minute walk Regents Park tube station . , hop Bakerloo line take Oxford Circus , Piccadilly Circus , Charing Cross ( Trafalgar Square ) Embankment ( Thames , Big Ben , Houses Parliament , Westminster Abbey ) . possible , try get package breakfast include . disappointed . include anything desire include fresh fruit , pancake , omlet , cereal , juice , muffin , much . puchase separately , cost 20 pound person . room quite small immaculate . air conditioning work great window open . staff extremely helpful decide take side trip Stonehenge , Bath , Windsor Castle Canterbury , bus pickup hotel . would definately stay . 
 Jul 6 2008 	 Good London hotel ... 	 good central London hotel , within easy walk distance Tottenham Court Road , 10 min walk Oxford Street . two tube station close , Warren Street Great Porltand . very pleasant staff . reasonable size room London . offer upgrade £ 30 two night . room smart , clean comfortable . try get rate include breakfast certainly worth . buffet style , lot choice well hotel . the negative currently build work carry close ... seem start work early , pretty major construction , ai not quiet ! really good 4star hotel London , be unlikely dissapointed . 
 Jun 25 2008 	 nice day london 	 stay hotel husband 3 night June . lovely , complaint . book hotel last minute.com one & quot ; top secret & quot ; hotel excellent value . check room find twin room , phone reception ask double , send along porter move we without problem . breakfast good , yes little cold ar not buffet breakfast always way , choice excellent though . 
 Jun 24 2008 	 good value 	 stay White House weekend two week ago . belong spanish chain Melia excellent value London . get good deal superior room website . floor name Level , besides acommodation , compliment free tapas drink day . room good sized clean , bed confortable . breakfast buffet fairly good little bit short term choice . location good great ( 20 min . walk picaddilly instance ) ; nevertheless , Great Portand Street circle line tube station stone 's throw away convenient sightsee get transport hubs Victoria Station , Paddington , etc . get minor issue internet connection mini IR keyboard supply work could navigate . check state charge add acoount , great course . bad thing hotel lifter . look ultra - modern first sight itake * forever * get floor . get 5 minute ! good value . 
 Jun 9 2008 	 lovely stay Melia 	 wife get marry stay Melia wedding night . Junior Suite lovely , greet lovely bottle brut , compliment hotel along nice note good wish . the hotel look really nice everywhere , suite fantastic bathroom afford upgrade Junior Suite would strongly recommend it . the breakfast sure enough hot would like perhaps need keep bit hot still tasty stuff . full english buffet style pig pancake syrup . . . . yum yum . coffee good too . when arrive hotel pull outside brand spank new mercede hire hope porter would come assist baggage , unfortunately not happen disappoint slightly . wife go sit reception lobby whilst park around corner struggle luggage level check dress wedding suit . surprise actually every time go lobby afterwards plenty porter around . all staff friendly would certainly recommend hotel , park around hotel free week end 's ideal go see week end show . cab cost around £ 10 Strand ( WC2 ) hotel . 
 Jun 9 2008 	 fantastic hotel particular location ! 	 stay Melia White House part theatre weekend break . two classic room one superior room - much difference two apart decor room extremely clean comfortable . staff friendly polite location unbeatable . three tube station locate nearby also tour bus stop locate across road . location alone make hotel amazing ! Breakfast include hotel package staff recommend join loyalty club free could get 2 1 deal room originally think buffet breakfast overprice 21 pound . well worth money however superb selection tasty food ! would definitely recommend hotel ! 
 Jun 7 2008 	 Excellent Value Great Location Highly Recommend ... 	 partner stay White House night May , would highly recommend hotel , staff polite helpful hotel exceptionally clean fantastic location . stay standard / classic room bar bathroom small room lovely clean . would recommend stay classic/ standard room maximum 2 - 3 night ; go long would recommend stay one large expensive room due standard room small side . overall hotel exactly want great value money , excellent location clean comfortable , would definitely stay if/ return London ! 
 May 30 2008 	 Nice hotel great location 	 really nice hotel . typical european hotel . not try directly compare US hotel . quite different lot aspect . room small . bathroom really nice . bed comfortable . do not bother bring plug adapter - build US - UK - EU adapter wall . convenient . charge camcorder , camera , cell phone , laptop etc . electronic do not require power transformer ( 120V 220 ( 250 ) v ) . expect pay extra service - internet 15 L per day ! ! ! phone call 2L per call get outside line . use pay phone lobby . hotel conveniently locate Underground bus station . small grocery store across street ( great sandwich go ) . restaurant rather expensive . would recommend & quot ; Cafe Meze & quot ; across street behind Underground station . oriental kitchen , tasty food , reasonable price . 
 May 30 2008 	 excellent value money cenratl London hotel 	 stay Melia White House 2 night long weekend sightseeing London . stay London hotel delight finally find one clean , friendly excellent location tour around . staff could welcome helpful throughout stay . stay party 3 , mean Expedia junior suite share . well keep , comfortable spacious ( London ) ! would definitely recommend upgrade hotel 's & quot ; Level & quot ; package . automatically include suite upgrade GBP30 / room . give private check - in desk private bar ( free drink 6:30 - 11pm free light - bites / tapas selection ) . handy bar drink quite expensive ( gbp5.50 / pint lagerThe hotel literally yard walk Great Portland St. tube stop , access ' Hammersmith & amp ; City ' , ' Metropolitan ' ( importantly sightseeing ) ' Circle ' line . agree price would definitely stay Melia White House Hotel future trip London . 
 May 26 2008 	 good service ( discount rate ) great value 	 get great deal lastminute dot com hotel - rate actually couple pound less Ibis Euston , , represent great value . the first thing strike doorman concierge service : something usually find price paying . the big plus point staff encounter good indeed . seem spanish , least Latin / hispanic , perhaps reflect hotel 's ownership . always look good value deal internet , value not necessarily mean cheap , ' ve stay good number hotel would put equal well White House , nowhere last five ten year come across staff friendly communicative White House : everybody meet , even chambermaid ( , London , even attract attention , often can not speak English ) always cheery & quot ; Good Morning ! & quot ; , & quot ; Good Afternoon & quot ; & quot ; Good Evening & quot ; . be actually quite tiny thing , can not hotel manage ? often find reception staff difficult understand London hotel , due strong non - english accent , , although look Spanish / have spanish - sound name , speak perfect English understand northern accent perfectly . the room average price band . first , clean well maintain visible shabbiness anywhere . bathroom flash , hotel bathroom , heat mirror much appreciated . nice big fluffy towel good . the room first hotel room ' ve long time tie / belt hanger wardrobe . wardrobe also iron board iron , plus ubiquitous tea / coffee make facility . bed comfortable decent linen . perhaps main downside room tv reception not brilliant : Channel 4 particular verging unwatchable . also 's shame selection radio channel available tv limit not include Radio 4.As well couple pound cheap ibis rack rate , rate get also include breakfast , great , strike good breakfast buffet . can not remember everything , remember good selection fruit , ham , cheese , even gravadlax , plus full english selection , vary slightly ( different sausage ) day . scramble egg average hotel buffet breakfast . on last day , surprised delighted see freshly make spanish churro chocolate sauce , delicious light . Yum Yum . one criticism breakfast would cook element buffet , cook order , result element could overcook quite hot enough . we not eat hotel apart breakfast . one top tip visitor London would not eat hotel restaurant , take advantage one vibrant restaurant culture world . use Hardens guide , Good Food Guide , Time Zagats ( even well cross reference ) check Metro Evening Standard late opening . I mention ( especially see someone else report similar problem ) first room give smoking room ( say come lastminute ) course ( non - smoker ) foul disgusting . reception desk staff quickly sort new room good grace . the hotel 's location good great Great Portland Street station Metropolitan , Circle District Lines less across road . taxi always easy find taxi driver know hotel without explanation . be quite good bus , service pass hotel go east - west along Marylebone Rd / Euston Rd , north - south main shopping area . I would definitely happy stay . 
 May 26 2008 	 Excellent well price Hotel 	 stay 17 20 May 2008 wife 's 50th birthday trip first thing turn arrive room bottle Cava , nice touch . book Triprewards card point upgrade ' the Level ' give we great buffet breakfast , use Level Lounge drink canape night . seem good value I . the room well appoint although little small ' superior ' room . we eat Albufera restuarant arrival night food well prepare well present good quantity although bill £ 100 two course wine would expect London hotel . Great Portland Street underground station 50 m away bus stop bus Oxford St , Regent St , Piccadilly , Trafalgar Sq Whitehall 100 m away . if work recreation london future , would certainly head would recommend anyone look good quality accomodation good service . 
 may 21 2008 	 impressed 	 return 3night stay Melia White House . room small exceptionally clean . Hairdryer wall mount bathroom , last see one ? also work ! breakfast buffet excellent , hot buffet COLD 3 morning .The main restaurant lack atmosphere & amp ; staff totally indifferent . sure possibly award win spanish restaurant . give award & amp ; & amp ; interestingly ? ? hotel advertise gym & amp ; separate sauna facility . yes small gym female shower sauna exist & amp ; reception staff please question . female use Gym trail lobby & amp ; return room shower . male change room shower & amp ; sauna , sauna never switch .Yes , hotel good position transport , walk . Sol Melia Group need update hotel description honest offer . 
 May 19 2008 	 Disappointed tired fed 	 whilst hotel good location London 's Regents Part Oxford street disappointed room attitude resolve problem . I book non - smoking room 12th May 15th 16th May . arrive put room previously smoke facility ...... needless say poor night sleep not feel refresh conference follow day . the staff find non - smoking room Friday night came check would reduce £ 200 room fee inconvenience experience . message bad , put ' ve get - thank empathy ! ! 
 May 17 2008 	 Comfortable Hotel Good Location 	 recently spend 8 might Meilia White House . love location adjacent Regents Park one block Underground . stay superior room , though small - typical London - well appoint . room spotlessly clean service excellent throughout . note several problems:1 . use in - room thermostat adjust heat / airconditione difficult . room often warm cold2 . internet access cost 15 pound per day3 . housekeeping routinely provide washclothe - oddity experience3 . dinner alternative walk distance hotel menu become rapidly tediouswe thoroughly enjoy access Regents ParkNote : stay sure include breakfast buffet . worth extra money . 
 May 12 2008 	 London WHite House - recommendable 	 Nice hotel , great access shopping area , subway , Hyde Park . the Level service also great bit money . 
 May 9 2008 	 nice location good look hotel bad attitude staff 	 hotel ideal location 20 minute walk king cross right next Great Portland Street Euston underground station . hotel look swish lovely bar ( although £ 14.01 pint beer glass wine ) .On arrival offer upgrade & quot ; superior room & quot ; 15 pound night , go although room nice still quite small manage fit kingsize bed much elseoverall happy stay leave try charge we double upgrade although sorted receptionist say call liar ? ! ? ! ruin we really.if get room good price would recommend , location clean.but be consider pay full price would look elsewhere . 
 May 4 2008 	 London Weekend 	 spend weekend girl Melia White House Hotel . staff friendly , room enormous clean everything could require . breakfast absolutely excellent , vast choice . close London Zoo , Regents Park 10 min walk Euston station . would definately stay . 
 Apr 26 2008 	 wall make paper 	 service apartment three month melia , good location nice hotel long not expext sleep fine , wall paper thin hear everything neighbour turning bed , hairdryer , flush toilet . 
 Apr 24 2008 	 Loved Melia ! ! ! 	 stay Melia April 12 - 19 16 year old daughter . first trip Europe fantastic . staff Melia excellent helpful . concierge help we throughout entire stay -- direction help we pick restaurant . breakfast buffet one good ' ve ever . times hot item cold overall food delicious -- great selection fresh fruit , cheese , bread , etc . I would definitely recommend hotel return London stay . special thank Jose Ortega help . 
 Apr 12 2008 	 quiet peaceful hotel 	 stay hotel unfortunately one night certainly intend go back long break sometime . the booking make via hotel website room ' the level ' check - in check plus lot extra include feel worth pay extra . room level much large standard one . we allocate quiet non - smoking room request pre - arrival conversation hotel via phone possible time arrival time check find hotel excellent every way . staff efficient friendly room service food , ' the level ' service breakfast buffet suberb . the hotel right opposite Great Portland Street underground station minute walk fro Regents Park underground station . Harley Street , Oxford Street , Regents Park Baker Street close within easy walk distance . 
 Apr 9 2008 	 disappointing ! 	 stay hotel one night January find excellent - room large well appoint comfortable . plan another trip London March re - book discover whole new aspect hotel ! call girl active room next us majority night . could even hear negociating term . complain 3.30pm suddenly room next we vacate ! morning managment apologise seem concerned . may prudish , would rather attempt sleep next . child we would totally unacceptable . 
 Apr 7 2008 	 lovely stay Melia White House 	 husband stay 1 night Melia White House hotel . book Octopus get money Nectar point . hotel convenient Tube Station , 2 minute walk away . room ready arrive , book standard room , good size London hotel huge , comfortable bed . bathroom small clean , room everything need . the buffet breakfast offer excellent choice dining room crowd . staff friendly helpful time . I would certainly recommend hotel friend . 
 Mar 25 2008 	 Loved hotel 	 stay hotel 3 night Easter weekend fantastic . superior room big bed ever see , room really cosy , clean nicely decorate . bathroom small big enough everything u need . room service really quick food fantastic . also love hotel bar really cosy big sofas fire , bar always quiet relax . hotel staff friendly location good , next regent park , 10 min walk oxford street . would recommend hotel anyone want bit luxury affordable price . 
 Mar 17 2008 	 Perfect : ) 	 Perfect hotel London ! room beautiful , clean big enough twothe bathroom little small everything need : bath , hairdryer .. perfectly clean ! people spanish helpfull ans smilly : ) defintly go next stay London Ps : & quot ; great portland & quot ; metro stop across street 
 Mar 13 2008 	 excellent hotel not get catch extra . 	 plus side , excellent hotel , clean , air - condition , quiet attractive . also excellent rate 95 pound night . good breakfast buffet tube stop across road . side , good breakfast buffet expensive , 20 pound person . hotel poor area traveller ; restaurant nearby , not take buffet , travel breakfast . thing infuriate overseas phone call cost 10 pound minute , result family emergency back home receive huge phone bill . get good rate , hotel excellent choice . eat breakfast elsewhere , use phone card call . one review site mention register another building see prostitute nearby . not experience ; registration desk hotel , see untoward activity night . 
 Mar 13 2008 	 love Melia White House ! ! 	 partner & amp ; share romantic weekend hotel , town see Chicago . hotel & amp ; staff wonderful , becasutiful reception area , marble ( luxurious ) smell absolutely amazing ! ! ! staff little quiet , presume 's job keep head 's quite not speak English despite centre London . one see we breakfast dinner however , speak English , not probem . give we feel really & quot ; away & quot ; holiday , nice ! room fantastic , stay part hotel call & quot ; Level & quot ; , executive suite truly worth every penny . presume , partner pay valentine treat . the food fantastic , even though & quot ; people & quot ; complain take item refresh , not problem . one occasion take bake bean refill , extremely busy staff not stop , ( professional ) understandable would take minute long . everyone nag refresh , fair , not rocket science know item need attention . People impatient not help . go hotel , please not hastle , calm word attendant suffice deal with . I really feel spoil two night stay not want leave . even leave , & quot ; bell hop & quot ; helpful let we leave bag , could one final mooch around London journey back home . free . all great stay ! ! ! 
 Mar 10 2008 	 good location 	 central location West End , 10 minute easy walk Oxford Street . get deal include room ' the Level ' include breakfast & amp ; complimentary drink & amp ; tapas evening . hotel bar expensive good way drink do not want venture evening . 
 Mar 9 2008 	 Good Stay 	 stay ths hotel collegue one night whist London business . Got reduce rate lastminute . hotel : room upgrade upon arrival , spacious clean comfortable . would recommend ask room face main road traffic noise . we eat hotel spanish resturaunt food nice . location : great location next tube , see hotel tube exit well locate . much prefer design/ boutique hotel would stay pleasure would stay business . 
 Mar 2 2008 	 recommend watch breakfast charge ! 	 husband stay Melia White House Hotel last week . thank London Discount Hotels , get decent rate ( consider dollar worth half british pound ) would caution get write breakfast whomever share room include price pay London Discount Hotel . say hotel try charge 21 pound ( $ 42 US ) per person day not certainly something work ahead time . warn friend stay get proof ahead time write London Discount Hotels every time staff try charge we , keep pull proof -- annoying be stay almost week happy head . say , breakfast really generous choice every taste croissant bread , scramble sunny side egg , english bacon sausage , yogurt , cereal even cold cut fresh juice . be stay hotel , really great deal get include day will eat enough skip lunch nice scone tea later day late dinner . spanish staff ( be spanish hotel ) not good come service see tip generously ( good service course ) , service improve . must know terrible exchange rate Americans get wary small tip suck try think everytime tip someone $ 4- $ 10 . offer we upgrade additional cost decline , improve cost upgrade one level basic room . ' ve hear basic room nice extremely small not surprised & quot ; upgrade & quot ; give we room small US room big enough two people comfortable desk two chair well . tv international great selection channel Europe Middle East -- really nice see rest world watch . room decorate beautifully ( soft pillow really nice linen ) hallways do wood panelling almost give feel be luxury cruise . bathroom symphony black tan marble shower / bath thingy use ( include weird swinge glass door ) tend leak floor matter much try sure tip housekeeping staff day ask extra towel . make use business center check email day ( use machine insert pound coin 10 minute increment aware , take least 4 time long anything computer dsl home -- doubt charge minute not good interest provide quick dsl - type service . ) staff business center pleasant helpful . the hotel also make sure include little card hotel key explain notice have book discounter guarantee rate -- not believe second pleased service receive London Discount Hotels book trip . really great would recommend unhesitatingly . husband would definitely stay hotel . really nice . happy Travels ! 
 Mar 1 2008 	 another wonderful Melia Hotel 	 wife spend one night White House february . early stay Melia Berlin , expect high standard cleanliness . honestly say disappointed . hotel superb conveniently locate . breakfast delicious . definately return ! 
 Feb 29 2008 	 Nice Hotel 	 little confusion check - in finally get settle room . hotel room nice . upgrade Level worth . hotel locaion nice , not alot go directly around hotel . , night stay level lounge heavy hordevour drink . ( 3 ) underground station close hotel could get anywhere city easily station . overall great experience hotel . since spanish hotel chain , seem gear spanish traveller , really not big deal . would stay . 
 Feb 25 2008 	 Great Hotel Good cental location . 	 back 3 night Melia White House . Booked Alpha rooms.com - bargain compare rate hotels website . we arrive 11 am could check 3 pm per hotel policy . offer upgrade deluxe room £ 30 per night 2 1 offer total upgrade cost £ 40 - well worth room spacious . location central . take Tube Heathrow Hammersmith transfer line take another tube Great Portland St. 2mins hotel . hotel serve 3 tube station 15 min walk Oxford St. Service hotel could not fault . bar little boring relaxing . drink Green Man pub beside hotel ( food okay nothing write home , service good though ) .only one thing do not like pillow - uncomfortable however bed comfy make it . there 2 restaurant cafe hotel . eat breakfast include price - otherwise £ 21 ( buffet ) . lot choice . overall would stay , question feel free contact . 
 Feb 24 2008 	 lovely hotel 	 friend stay Melia White one night ( girlie weekend ) thoroughly enjoyable time . check staff lovely , friendly . book classic twin arrival upgrade deluxe twin . entrance hall way lovely spacious . room quite small clean bed comfortable . location convenient . travel Charing Cross , 3 stop Regents park 3 minute walk hotel . the hotel restaurant quite pricey go picaddilly Circus load choice . way back drink ' Queen 's head Artichoke Pub ' Albany street , 2 min walk hotel . atmosphere music great . breakfast room lovely fantastic choice . thoroughly enjoy stay would definitely return Melia White hotel . 
 Feb 21 2008 	 Noisy 	 Checking , nice welcome friendly staff . book standard double , smoking . actual room small 2 single push together , pokey clean . bathroom fall apart , door frame hang shower screen miss . terrible night next door slam door 3.30 . morning go breakfast , buffet . muslim not eat pork , horrified see hotel staff use tong pick bacon pick hash brown . complain staff upon check , not seem concerned ask fill form . next ! ! ! needless say will not stay . 
 Feb 17 2008 	 Nice Hotel corridor bite smelly ... 	 girlfriend stay Melia White House last night weekend break London . book hotel use airmile , pay , lot nice hotel tend stay ( cheap nasty ! ) .The hotel great location , right near Regents Park opposite Great Portland Street tube station , handy . we arrive lunch check till 3 concierge keep bag safe could go day . would say check huge queue , everyone else . hotel pretty busy weekend . the room nice , believe premium room , one basic . clean , good selection toiletry , air conditioning work well , tv . room non smoking , side really corridor stunk smoke , opening door get whiff ! think must lot smoker floor . room quite peaceful apart hum sort air conditioning . the breakfast selection great , include bizarrely , champagne wine ! well usual cake , fry , cereal , toast ! go light breakfast end eat load look nice . also workout gym , plenty run machine weight stepper . also map available running route area . the bed large , must king size think , comfortable , also duvet much prefer bed sheet always get tangle up . we great stay , would go back . 
 Feb 13 2008 	 Loved London Melia White House 	 get good rate hotel website . offer two night price one January February , room . downside ask double non smoking room get smoking room first night ( alternative twin non smoking want ) . could change smell bad decide stay want waste time move . standard room indeed rather small two people still ok . everything clean . I appreciate fact also & quot ; continental & quot ; socket room , although adapter . staff kind . mas fidelity card get free national newspaper deliver room , late check possible ( case ) companion breakfast free ( cost one 21 pound ) .Location great , nice area block away underground station bus stop . would defenetely stay rate , sure pay full rate . 
 Feb 12 2008 	 wonderful breakfast 	 stay White House 7th 10th February 2008 . book hotel spanish website state want non - smoking double room one single bed . arrive hotel give we smoke 2 bed ! complain answer : listen complaint would give upgrade everyone ... finally get another small room next elevator , lot noise night long . positive side breakfast full english buffet style breakfast nice spanish addition . also , immediately get late check - out could keep room 3 pm . would stay ? ! 
 Feb 8 2008 	 little piece Spain heart London 	 moment walk door feel like holiday Spain . high proportion spanish staff dual language English / spanish sign make feel like sunny oasis calm far away edge busy Euston . the Sol Melia group transform classic old London hotel elegant , modern place stay . I fortunate Superior room ample space nicely decorate . enormous super king size bed comfortable provide great night 's sleep . the breakfast buffet reflect spanish influence good choice quality food , include jamon serrano , chorizo tortilla offer , churro dunk hot chocolate . there be even cava drink . I ' ve read reviewer say Classic ( standard ) room small . London room generally small size . rest facility still make great place stay , easy walk across road Great Portland street underground station Marylebone High Street heart West End . I ' m definitely go stay . 
