ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Jul 11 2009 	 nice hotel shame staff 	 partner visit New York surprise holiday recover illness . arrive hotel extremely hot day mid - afternoon , long journey obviously , find room ready walk around hour . time return hotel hot , bother tired . unfortunately , seem butt private in - joke staff upset ruin stay . hotel good location extra term afternoon tea wine cheese welcoming . however , would go , spite last minute insincere smarming desk clerk . 
 Jul 8 2009 	 perfect place stay 	 fantastic hotel , knowledgeable staff , lovely breakfast really comfortable room . perfect . 
 Jul 5 2009 	 Living Paranormally Library 	 spend 3 night wife . observation : POSITIVE : great location ( close Grand Central Station , Empire State Building , Central Park , etc ... ) .nicely appoint room ( & quot ; Paranormal & quot ; room 11th floor ) .good breakfast ( continental breakfast pretty good include fresh fruit , bagel , muffin , cereal , yogurt , etc ... ) good view intersection Madison Avenue 41st St. dining room . cool roof - top bar lively restaurant attach hotel downstair . friendly staff . room fairly quiet ( help 11th floor away traffic ) .docking station Ipod room . Free Wi - Fi . Free pass NY Sports Club . negativeroom pretty small ( bathroom / bathtub ) .tv small . weak brew coffee ( go self - serve espresso machine instead ) .small / slow elevator . 
 Jul 5 2009 	 great place stay 	 3 night Library . choose hotel positive review , add they . everything first class , even bedroom small . attractive . complaint safe , 6 ' tall stretch use it . the staff excellent breakfast evening cheese wine first class . everything leave guest enjoy , ration want . we would definately return . 
 Jul 5 2009 	 peace world rush 	 spend 3 night Liberty Hotel could not happy choice . hotel well locate near public library Madison Ave . 4th floor room quiet well appoint . pleasant breakfast room ( breakfast include ) also use afternoon complementary wine cheese . staff extremely kind helpfull . would definitely choose hotel next visit already recommend friend go ny . 
 Jul 4 2009 	 unprofessional terrible incompetent staff 	 call Library find availability . egor , front desk person , give misinformation regard pay room . follow instruction book online call tell give misinformation . ask speak supervisor try fix problem . guest arrive check hotel , Egor feel appropriate trash talk guest . unbelievable . stay , especially business , never know may say guest client book room . 
 Jul 3 2009 	 Beautiful Hotel 	 stay boyfriend June recommend hotel enough . really live rave review . location spot staff superb ... nothing much trouble . everything could need city break , wine cheese platter evening real treat . sample menu hotel restuarant first night disapointe , great atmosphere . whilst room small side ( petite full room ) put we anyway find room cater need . would definately stay look forward next time visit Big Apple . 
 Jul 2 2009 	 wonderful hotel fantastic staff would visit sure 	 friend make inaugural trip NYC birthday choose stay Library Hotel base review site . Toronto Ottawa respectively excite visit big city : ) . review spot - fantastic hotel load character terrific staff . stay Germanic Religion room 12th floor - small room enough space move around comfortably . washroom ample size nicely appoint . highlight hotel definitely 2nd floor reading room breakfast first morning . enjoy food company - get sit lovely couple Boston . first night town may overdone arrive back Library Hotel late - worry - night manager , Leonard gracious help we order food late night snack . also recommend couple dvd watch ( hotel amazing collection top 100 AFI movie ) course stay . staff amazing . check , staff help we secure car hotel , store luggage ( nice , 1:00 p.m. check time ) say could use 2nd floor reading room snack , washroom , etc . even check amazing . all -great value money , great location , great room , great staff . would stay definitely recommend other . 
 Jul 2 2009 	 Superb 	 Stayed mom last summer . first time we stay NYC . fly take cab city make time breakfast serve day . late morning able get coffee food could go enjoy day city . staff incredible ( even hail cab us mom little unsure whole process ) . wine cheese terrace nice touch . liked not overwhelm high - rise . definitely quiet location city . feel like come home long day city . can not wait return . pricey , get pay for - in case immaculate room , top - notch service , fabulous breakfast ! 
 Jul 2 2009 	 Excellent hotel 	 central location , helpful staff , clean cool . - room small not go ny sit hotel room . would stay . 
 Jul 1 2009 	 great location great people great place 	 spend 5 night lovely boutique hotel mid - town Manhattan . locate 12th & quot ; Religion & quot ; floor friend . fabulous time . room comfortable ( Manhattan ) quiet . public area excellent . breakfast wine cheese good . love roof top bar . reception staff friendly helpful . restaurant recommendation particularly good . 
 Jun 28 2009 	 great hotel location cheap 	 great hotel location ; service excellent - deluxe room small side even new york price little steep ( especially UK traveller ) 
 Jun 26 2009 	 great end great vacation . 	 return wonderful round trip vacation Queen mary2 could pick well hotel end vacation . staff Library Hotel good white star service aboard ship . library hotel innovative hotel amenity die for . great 2 day stay . EB / WB 
 Jun 23 2009 	 wonderful service 	 stay first anniversary trip NYC . staff know way around city extremely helpful recommendation . not know city , not bring city guide , let know want ! hotel small cute , location can not well . con size bed ( little bit small ) . 
 Jun 22 2009 	 Excellent hotel stand apart rest ! 	 wife return weekend city see Broadway show , stay 2 night Library Hotel , thank many positive review TripAdvisor . say good thing say hotel dead - on ! find hotel GREAT location ( take train Grand Central upstate ) , staff extremely nice helpful , room extremely nice ! deluxe room , bit big normal room ( hear ) , find perfect couple travel city . room huge , really well appoint ( everything would need , opinion ) . bathroom beautiful far big might expect . 24/7 free coffee / tea / cookie really nice touch . not get chance attend free wine cheese evening , be another nice touch will not find many place ! even eat attach restaurant , Madison & amp ; Vine , find meal far well anticipate ... delicious ! stay , keep think , & quot ; unless reason locate uptown , reason stay Library Hotel ! & quot ; DEFINITELY back ! 
 Jun 19 2009 	 every nice thing say hotel true . 	 stay feel like exclusive club rather hotel . service friendly attentive . location excellent - quiet close shopping sight seeing Fifth Avenue . Grand Central station street behind . would like big room tell NY standard . room nicely furnish though . overall highly satisfactory experience . would definitely stay Library nex trip NYC . 
 Jun 18 2009 	 Excellent Hotel 	 stay Dec 07 ( sorry take long review ) nothing praise staff hotel general . yes be cheap ( need junior suite 3 we include young son ) , really not mind pay 's worth Library definetly worth . Breakfast excellent love complinentary cheese wine / snack evening . staff really friendly helpful , make feel really welcome , not always case travel young kid . certainly return day , love New York City Library . 
 Jun 18 2009 	 could not make well choice ! ! 	 stay 6 night wife 's 60th celebration . check check staff welcome , helpful clearly keen ensure great stay . room 1106 , advantage balcony look straight along Madison Avenue . room size fine , bed excellent 's plenty space store stuff spread . really can not fault Library , would look lot review hotel make choice say deliver everything have hope NYC newie . location , great ; afternoon wine & amp ; cheese , welcome respite city hustle bustle ; breakfast choice quality , fine , little busy 1 2 day take tray 14th floor roof garden calm ideal smooth start day ; help staff idea reservation , totally forthcoming without top gushing . effort get we cab wet busy Friday night ensure make final dinner reservation typical standard . can not fault place would return without hesitation . 
 Jun 11 2009 	 truly one - of - a - kind hotel 	 Library Hotel truly unique hotel , excellent idea actually work . idea library . person literary inclination 's ideal hotel impecable service excellent staff . although internet make library lose paradise , New York show ther slice paradise person strive towards world culture . room feel bit small , area know massive roomy accommodation , book room ( yes , book room , choose type room want accord book ) give different perception space . bathroom great , oddly enough , pretty large uncrowded , hotel offer amenity galore , whatever not room , staff would gladly help . restaurant close , second floor reading room , sort & quot ; club level lounge & quot ; find luxury chain hotel , great little spot snack , light breakfast , always pack goody , stomach brain , piano sit one corner room surround book magazine gorgeous view street . staff desk around happy help , even give free stuff ( thank coffee mug guy ) . 's reason talk cleanliness go without say 's great boutique hotel . maybe need well pencil provider tend break easily . stay Morgan 's Affinia Dumont long trip , spectacular ( morgan 's breakfast place Asia de Cuba probably well second floor lounge , 's assumption serve restaurant closing ; affinia dumont 's room huge compare ) extra something Library Hotel . maybe fact couple guy work front desk originally Romania , maybe bias towards book . three deserve 5 star , Library hotel deserve & quot ; + & quot ; end . 
 Jun 11 2009 	 Excellence musical weekend 	 stay long weekend see great musical hero concert Library Hotel lovely- warm friendly helpful staff , lovely room , perfect location coffee room available day second floor excellent continental breakfast include nice touch incude turndown service weather forecast Broadband include though rather slow ! would stay time - thank staff great stay ! 
 Jun 10 2009 	 simple classic perfection 	 stay busine trip last year can not seem stop talk . reccommend every person see . beautiful book gorgeous bathroom , could not help indulge inner city escape . hard focus work . back , promise ! ! ! ! ! 
 Jun 5 2009 	 good hotel ... 	 ... thing could improve take next level . one thing , red wine ought serve cellar temperature room temperature . good wine available restaurant roof - top bar polite pretty aspire young actor serve we seem miss sommeli 's briefing . feeling place also affect negatively failure hotel honour Cdn . dollar booking rate quote online booked room , blame internet book agent error refuse compromise price way . staff polite explain bear responsibility think simply wrong , ought give we hotel slight low amount quote take online company . finally , wireless internet not work well . staff eventually give cable let hook land line work well maybe hotel consider invest well router . I see pretty critical review write . write way think really good hotel overall , mention thing prevent become even well . 
 Jun 3 2009 	 delightful hotel impeccable service amenity 	 get back Library go celebrate 25th wedding Anniversary . complimentary champagne room , card start trip beautifully , get well well . staff delightful enough guest ; nothing much trouble . highly recommend ! 
 Jun 1 2009 	 highly recommend 	 stay honeymoon . previously stay Grand Hyatt around corner awful experience Hyatt . contrast , service Library impeccable . congratultory bottle champagne arrival , theatre recommendation , dinner recommendation , everything need . love library area second floor rooftop bar . Decor modern little bit quirky . Decor room great . side room small - book deluxe room still small - put suitcase bed get clothe . overall , highly recommend would definitely return next visit NYC . 
 May 28 2009 	 Book ... 	 charming lovely hotel . service good , staff helpful moment arrive leave . great touch hotel especially new york hotel ( 6th trip new york ) rooftop terrace , cheese & amp ; wine reception breakfast lovely reading room . read reviews tripadvisor debate hotel pick one not regret choice.only downside would size room small - know everyone say NY hotel room small small have stay - have book one basic , also memorial weekend surround area quiet ! perhaps weekend thing 's business type district . 
 may 27 2009 	 welcome high quality 	 initial warm helpful welcome long flight UK check five day later stay Library Hotel live high rating . room clean well appoint , seem rather small , understand usual ny . service thoroughly day , include turn evening . staff helpful friendly , often warm smile . reception staff , especially Michael , share good knowledge city neighborhood , recommendation sightseeing eat . particularly enjoy Convivia , local italian restaurant skilled cooking great service Sinlingua , innovative mexican restaurant . book we . breakfast buffet provide good choice include many healthy option . drawback serve area crowd busy time . wine cheese buffet opportunity tea coffee day add bonus . throughly enjoy stay peace , provide gentle relaxation without stuffiness , super location . 
 may 27 2009 	 Little Gem Perfect Location 	 husband stay Library Hotel week May ' 08 ( can not believe year ago - mean write review time ! ) . however highly doubt standard hotel change time , Library Hotel professionally run stay . we stay dinosaur room 5th floor - room small fine husband , day evening anyway . closet sufficient enough room luggage . bathroom great , shower strong hot . toilet leak water though / water not drain properly - deal promptly fix , problem not return . the front desk concierge lovely - energetic young staff ( Nick great ) give historic hotel upbeat vibe . breakfast / lounge room relax well appoint . continental breakfast sufficient enough variety , snack available day handy . kitchen staff lovely - fact staff friendly polite genuinely suited hospitality . seem really enjoy work , make big diffference hotel . also little study room high speed internet available 24hrs . for we tourist week NYC , location fab - midtown easy access town . easy walk 5th Ave Central Park . location one main reason choose stay Library Hotel worth it . would definitely stay Library Hotel . recommendation would : ) pick room 's one high floor - 5th floor mean still quite close road quite loud 24hrs . construction work go nearby not help . Earplugs help ! , Melbourne quiet compare city never sleep ! b ) not eat adjoining restaurant - first night get plane need quick meal - many good restaurant NYC , be worth choosy . french onion soup salty , meal average . 
 May 23 2009 	 like small hotel great location 	 stay 4 night 13 y.o . son junior suite . would stay hotel , definitely since prefer small hotel one charming . theme room fashion design son care ( request & quot ; mystery & quot ; ... ) perhaps consider one room sport theme ... least access espn tv ! chose hotel previous newspaper article feature & quot ; library theme & quot ; tripadvisor review midtown location . book broadway package facilitate get broadway tx want ( hair billy elliot plus yankee 's tx ) . although service continental package efficient friendly impression might overpayed convenience third party tx reservation . would recommend book hotel get tx yankees stubhub well price . the location perfect , one block subway ( green line ) , central station ( excellent coffee counter- Joe art coffee- entrance lexington , gray passage ) , one block ny library ( check stuff animal origin Winnie Poo ) , Bryant Park back great place lunch ( summer , outdoor movie monday night ) , walk distance theater , central park , museum natural history museum mile east side , NBA store Nintendo world- Rockefeller center , Morgan library empire state bldg , also walk easily greenwich watch street basketball ( 6th ave w4th st ) follow stroll washington sq park , picture washington mew well ( hot chocolate afterwards Max Brenner near union square ) .I find room clean adequate proportion ( small ) , hardly spend time anyway , even 7th floor , noisy centrally locate city never sleep ! ( Madison st 41st ) . use earplug sleep well . hotel quiet , hallway empty - less ten room per floor . we appreciate breakfast , good choice , service discrete prompt . wait minute one morning available table another day share table briefly another guest perfectly fine even nice , city people keep general . only visit briefly 14th floor terrace would imagine charming place relax day walk . use available access fitness center nearby ( run central park instead ) access dvds nice know available . kind staff desk well bellboy hotel feel safe . less 30 minute LGA ( afternoon ) . summary wonderful stay library hotel . 
 may 21 2009 	 Fabulous NYC boutique Hotel ! 	 return home week long stay NYC Library Hotel must add kudo long list satisfied traveller stay well . after considerable time spend surf net attempt secure best possible accomodation experience first trip NYC extremely happy choice stay . love room , well appoint , comfortable great view onto Madison Ave . breakfast wine cheese adequate well appreciate . staff friendly accomodate always willing chat city give we great information make arrangement we . easily walk everywhere ; Broadway , see site , shopping , etc . location great experience stay charm welcome hotel . miss go rooftop bar eat restaurant lobby call , Madison Vine . love whole experience Library Hotel would highly recommend . enjoy NYC ... wonderful experience ! one sugggestion though ... NYC really city never sleep , light sleeper take ear plug . will fall asleep easily though walk will ( take comfortable shoe ! ) . 
 may 18 2009 	 outstanding contemporary charm 	 husband return two night stay . can not say enough nice thing little gem hotel . second get taxi service impeccable . bag take taxi smile welcome hello , receive warm greeting desk staff along recommendation lunch . Room IMMACULATE although small , well appoint convenient . obvious every detail well think decor refine luxurious , warm yet contemporary style . everything seem brand new . use enormous room Vegas not feel bit put cramp . wine cheese event delicious , every offer top notch quality breakfast . downstairs open air restaurant rooftop add magic great trip . service everywhere friendly fun . easy walk 5th avenue shop . HIGHLY recommend . 
 May 18 2009 	 New York Gem 	 understate class elegance ; hotel feel like home home soon weary foot cross threshold . complimentary breakfast cheese / wine every day , hotel become great value retreat madness NYC . room well appoint moodily - lit . front - of - house staff eager help advise good place eat drink . bar 14th floor absolutely brilliant ; packed night New York 's beautiful people stop drink work romantic soiree later . 
 May 16 2009 	 hotel ..... really ? 	 pick & quot ; hotel & quot ; first trip city want stay somewhere would really feel comfortable . offense Comfort Inn Hilton want something ..... . certainly get ask ! not thrill size room , seem little big look picture city ! staff wonderful ! helpful attentive . example go Empire State building talk week lead trip staff inform would much well view , pleasnt trip , well picture form & quot ; Top Rock & quot ; Rockafeller center . ( boy ever right ! ) return flight much later check hold luggage us day . flight also arrive hour check - in time offer hold luggage , manager get we room early wich wonderful refresh taking . breakfast nice fresh serve 10:30 weekday 11:00 weekend really nice want sleep little . could go wonderful really . complaint wish little close Times square . not far first time visitor huge city walk everywhere almost , 5 6 block seem like forever ! p.s . whenever room clean would also leave card nightstand let we know weather go like next day ! love ! 
 May 12 2009 	 new home - away - from - home NYC 	 husband stay Library Hotel 2 night Mother 's Day weekend , celebrate 11th anniversary . choose hotel high Tripadvisor rating see be rate highly ! great stay start finish . select particular room booking , curious see one would assign upon check - in . guess - soon find 11th anniversary , put we Erotic Literature room 8th floor ! get idea , know 's comfortable , elegant , tastefully decorate room . bathroom everything need everything clean . bed extremely comfortable nice linen . feel right home . continental breakfast include room price excellent - selection fresh juice , coffee , tea , fresh fruit , pastry , bagel , cereal , oatmeal , . serene beautiful surrounding , perfect location step Grand Central , great service , attention detail - hotel worth every penny definitely back ! nice change stay huge hotel Times Square . highly recommend . 
 May 11 2009 	 one word - PERFECT ! ! 	 stay library hotel recent trip New York . spend five night say PERFECT . high standard feel hotel OUTSTANDING every area . the hotel staff clearly high standard - never stay hotel take much pride 's service . as soon arrive make feel extremely welcome . wife point birthday stay , bottle bubbly birthday card waiting room . first impression room clean , well furnished , quite petite , entirely adequate two we . this hotel lovely rooftop terrace staff make clear welcome take food , drink , breakfast buy drink bar there . I begin describe good service . give map New York , advice go , even give number call encounter problem sightseeing . breakfast wonderful fantastic continental spread put day . nothing selection allow run empty go stale quickly replace friendly staff . there library theme run hotel different slection book floor . encourage read book leisure also borrow dvd lare range watch dvd player room . the location hotel perfect sightseeing Manhattan near main attraction . we already plan return trip New York undoubtedly return hotel . do hesitate book - around 40 room book not disappointed ! ! 
 may 11 2009 	 need look elsewhere hotel New York 	 Library Hotel simply one good ever stay . second stay see need look another place go New York City ; answer always : Library Hotel . location fabulous : need walk minute subway Grand Central Station Bryant Park , bus three airport arrive leave several time hour one block away hotel . able continental breakfast great plus ( offset somewhat steep price room ) ; apply complimentary wine cheese ( plus carrot , celery stick , cracker , especially New York Flatbreads ) offer every day 5.00 8.00 p.m. beverage , fruit , cookie available round clock . ask Deluxe Room full rather Petite room full , especially extend stay , latter appear small see open door . already dream next visit New York another stay Library Hotel . 
 May 11 2009 	 Charming hotel great location 	 charming trendy hotel great location . room small even tiny . room nicely decorate . roof top terrace bar absolutely must go ! see Empire state building enjoy drink . you also borrow dvd´s watch room . 
 May 10 2009 	 awesome stay - definitely return Library Hotel 	 boyfriend return 3 day stay Library Hotel , love experience . hotel staff incredibly friendly helpful , get we cab busy hour ( hotel staff actually spend 10 minute street try get we cab ) , make restaurant reservation we awesome Benjamin Steakhouse across street last minute . the morning breakfast great , lots variety , constantly replenish , not feel like be eat leftover go later breakfast . great coffee serve day , well fresh pastry fruit . complementary wine cheese also great , nice selection food wine . recommend wine cheese 2nd fllor oppose getting drink 14th floor terrace . our room clean comfortable . although could argue room small , small hotel room would get Europe , everything need confortable stay . hotel noise also limit many room per floor . also , drive city get discount parking lot around corner due stay hotel , cheap ' ve ever pay parking New York . we definitely back Library hotel next stay New York city . 
 May 9 2009 	 something add 	 really cool hotel ! everything perfect . add ? ashtray entrance , second coffee machine easy program check operation . sometimes feel comfortable share hotel office people , adore bar 14th floor . be ok . and ... nobody stuff tell anything free sport club ... ask next time 
 May 2 2009 	 Classy hotel perfect distance everything . free food wine ! 	 hotel lovely . stay 5 night honeymoon . room small ( New York ) perfectly form anyway , use sleeping , day otherwise . beautiful decor theme Dewey Dec System category - 802 - classic - bookcase full classic title . breakfast plenty choice ( take Reading Room ) time day always complimentary pastry cake lay along tea , coffee , juice . 5 8 pm , would complimentary cheese wine lay , nice . lovely come back day civilised snack , read paper book , go late dinner . see NY Public Library window . near Grand Central subway walk everywhere else since 's Midtown . would definitely return . love . 
 May 1 2009 	 little gem special city 	 wife pick Library Hotel overpowering list hotel claim little bit special . lucky pick hotel without doubt different hotel offer . stay seven night lead Easter find every aspect hotel hope for . not cheap worthy claim boutique hotel atmosphere oasis calm frantic heart NYC , perfectly situated , pleasant helpful staff , endless supply coffee pastry , cheese wine start evening reading room encourage take time relax sense suggest need otherwise . we love 2 minute walk Grand Centraland access area , 2 minute walk Public Library short journey Bryant Park magical place watch world go by . I promise return soon hope get popular then . John Louise Callaghan , Ayrshire Scotland 
 Apr 30 2009 	 terrific Ten - Day Trip 	 stay 4/4 4/14 , ten day trip , mix business pleasure . not short stay , multi - purpose . get unique insight hotel , staff surround neighborhood . I set meeting NBC 2010 Olympics , want stay somewhere within walking distance 30 Rockefeller . plus want bring wife pre - teen son along part trip ( spring break , ) .I first learn LH find concierge.com . high - ranking trip report encouraging . plus get decent rate suite , important wife share room son ( sleep fold - out sofa bed -- comfortable ) .this son wife 's first trip NYC , concerned hotel , location & quot ; vibe & quot ; . none disappoint ! STAFFFirst , staff really make hotel work . pleasure many conversation Billy , Michael , Marlene ( first mention ! ) , Monique , Sood , Jayla other . help we map , reservation , tip , business arrangement . plus be cool folk talk . make one good hotel NYC tell be proud . be reason hotel one always return to . that plus excellent lamb gyro cart across street ! businessdure stay , four employee come San Francisco two different trip ! logistic handling room combination bit confusing , Sood take care everything . and Jayla quickly professionally take care need rent Penthouse / Boardroom 3 day could work . lovely location , Bookmarks bar . the 2nd floor lounge , crowded morning breakfast ( can not get table , grab tray head Bookmarks -- will ) , quite luxury . really feel like private living room . great view small slice NYC life corner . also handy keep eye # 4 bus heading uptown . FUN mid - town , be residential quite weekend . nearby jump point via Bryant Park subway station . Bryant Park quite pleasant . patch green amonst high - rise ; New York Public Library 's main branch & quot ; back yard & quot ; . get sandwich ' wichcraft : Tom Colicchio 's chain gourmet sandwich . good . no brainer : NYPL Grand Central Station . ten minute walk north : 30 Rockefeller . son * love * ice skating . idea 's much ; highlight trip , , naturally , mine . also , skip Empire State Building ( 3 + hour line ) get ticket & quot ; Top Rock & quot ; . breathtaking view skyline . go sunset see city change . FOODNever make Benjamin Steak House , be # 1 return trip . Grand Central short 3 min . walk . much eat see . Junior 's stand . shoe shine Eddies . ask staff HB Burger will rave , good reason . get homemade tator tot & quot ; world 's small ice cream sundae & quot ; . short 5 min . walk towards Times Square W 43rd . will find BXL next door , want obscure pint belgian beer . Junior 's Grand Central Station good Ruben ( quest ) area . good pizza GCS , not remember name . just 15 second entrance Food Exchange . good quick lunch dinner . excellent salad . look posh spot cocktail ? ask Michael Billy set Campbell Apartment ( GCS ) . dress smart not order cosmo . classic place , many folk know . feel like ' ve step back ' 30 speakeasy . leave son room ( get complimentary dvd downstairs ) walk block couple cocktail : wonderful . ROOMSWell suite whole time ( Mystery ) fine 3 we . big king bed , comfortable sofa - bed . generous bathroom . need earplugs night first . leave fan wash background noise . big deal . be city man ! small room ( not remember name , least expensive one ) . well , be small . smartly appoint single traveler . colleague remark thoughtfulness layout -- designer great job relatively small space . bookmark : wait till see spot . fantastic . be warm , get early grab spot deck . beautiful . CONSOk , list otherwise people will not believe post.- Breakfast crowd . cramp people grab bagel , coffee , tea , fruit , cereal , yogurt . jeez , be complimentary , fantastically convenient taste great ! breakfast staff work hard keep everything stock table clear . function well like amenity economize space 2nd floor.- elevator light hard read . will push button 3 4 time . part charm.- tv signal , least room , suffer interference something . hd quality signal . like mid 80 cable . cares.- 2 elevator , may wait bit ride . - complimentary wireless spotty always dependable . neither cell phone modem . PROSDid not read whole note ? ' ve never comment review hotel life . place like home ' m look forward return trip ! - Scott S. Vertigo 
 Apr 28 2009 	 calm luxurious close perfect single female traveler . 	 husband stay Library Hotel open . room not large , contain everything need good experience . pop inexpensive option recent two day pleasure trip gallery hop grab . call hotel confirm reservation request high floor . give floor ( 11 ) reassure would mine , even check late . true word . as arrive bit bedraggle 10 pm , manager send free glass Merlot . bed excellent , sumptuous linen lot Heideigger read hasten sleep . ( philosophy room ) . next morning , enjoy cappuccino , plain yougurt fresh fruit berry lovely second floor reading room . arrange check early , store luggage , return around 5 pm retrieve . front desk attendant encourage go reading room happy hour . bliss . glass champagne , good blue cheese english biscuit , crudite dip . linger New York Times promise would write review . everyone amazingly warm , give pleasant . downside mention : small room , outdoor noise ( NYC construction happen 24/7 ) small breakfast room . service spectacular , everything truly need hotel : good bed , linen , security , food , plush towel , great food . 
 Apr 27 2009 	 Mug coffee hand go downstairs front desk .... 	 can not library , much like library . home , home not front desk . desk though , sometimes get away . Library Hotel unalienate hotel ever stay . thing like good world : book ( new ) ; coffee ( good ) , wine ( tasty ) , breakfast ( favorite meal pretty much day Library ) , privacy , comfort , calm , internet access ( computer printer ) -- like home much less work , New York outside . like stay hotel redefine word hotel . 's cheap 's & quot ; cheap . & quot ; lot taxis also many gesture thoughtful consideration make traveler feel well take care . feel tear divulge much hospitality , ease , deliciousness , general delightfulness ( clever design , intelligent treatment small space ) , convenience Library -- like notion well - keep secret . spirit generosity Library deserve reciprocation . think everyone work wonderful job . first time , departure , ' ve ever look owner hotel . architect yes -- not positive sense owner 's ethos . Library even manage get neighborhood ( sublime Madison Avenue ) build great big public library street ! stud sidewalks bronze plaque quotation literature . ah -- power name ! 
 Apr 21 2009 	 not stay anywhere else ! 	 stay Library Hotel week mid April 12 - year old daughter . first trip New York - first trip USA . love hotel . reception staff helpful give we tip go . make sure ask shopping map discount voucher ! read Room great place go time day love breakfast . 14th floor wonderful . housekeeping service fantastic liked & quot ; weather forecast & quot ; - bring room evening part turn service . want evening , simply pop reception borrow dvd huge selection . top , hotel fantastic location . attraction - many , many shop - easy walk short subway ride away . , would highly recommend hotel . go back New York , know stay . 
 Apr 20 2009 	 lovely hotel great holiday 	 overall great location friendly staff . room compact extremely comfortable . however , make hotel stand small , thoughtful touch . wine cheese evening really appreciate , complimentary bottle wine room get holiday lovely start . small rooftop bar great place stop go dinner . would recommend hotel would go back . P.S - get engaged room 802 ! 
 Apr 20 2009 	 great charming boutique Hotel New York needed rest 	 spend week Hotel fantastic . combination location , decoration , excellent service advice place dinner check fantastic . wonderful & quot ; book & quot ; personality provide shelter relax need intense New York trip . read space available 24 hour gift . never feel overwhelmed people activity , right balance . 's walk distance key area like Theatre district ( broadway ) , Empire State Building , 5th Avenue shopping area mention . special thank people work Hotel , make special , team serve breakfast guy Front Desk . excellent ! 
 Apr 19 2009 	 surprising value amazing 14th floor 	 book hotel 3 night mid April base review read site . indeed , room quite small , bathroom adequate nicely appoint . find premise extremely clean , bright , pleasant . staff gracious helpful breakfast serve , although gourmet , certainly enough option fresh fruit , bagel , pastry cereal get day start . agree table room , mostly full stay . wine cheese evening nice touch pleasant nickel dim treat . fourteenth floor gem . one day hit 70 degree able sit outside terrace hour afternoon read - heavenly . hard believe little oasis hide middle Manhattan . return nightcap one evening 11 atmosphere pleasant - music loud , overcrowded , pleasant hum activity . 6th floor impress window block much noise . suppose floor two high would not hear thing . location well access Grand central station . , whole lot walk . 
 Apr 16 2009 	 stylish boutique hotel library theme 	 delight ' find ' hotel Madison Avenue . room individually name Dewey scale - stay ' language ' floor ' romance ' room ! book case everywhere welcome read book whilst stay . room compact stylish . breakfast excellent - pile fresh fruit , freshly bake cherry / blueberry muffin pastry , bagel toast . 5 8 could indulge cheese biscuit , dip prosecco , red white wine completely free charge . invite friend whilst stay enjoyable time go dinner . rooftop terrace wine beers cocktail evening . also turn service chocolate leave bedside . please stay . 
 Apr 15 2009 	 gem 	 stay Library Hotel 3 night Easter break . fantastic hotel - would definitely stay . staff helpful , especially concierge service go way help we - stay would not without recommendation - thank Michael ! although room small , surprise read many review ( hence go junior suit ) . room clean , elegant , modern , well furnish perfectly fine need . downside air con little loud . breakfast basic , room serve would benefit table little crowded . however , minor irritation - outweigh modern decor , quirky character rooftop bar 14th floor - fabulous surprise - great vibe early evening . location central - great tourist . thoroughly enjoy stay Library Hotel would return . 
 Apr 14 2009 	 Library Hotel could easily call Lively Hotel 	 would not stay anywhere else NYC . staff excellent - friendly knowledgeable . appreciate meeting & quot ; guest & quot ; enjoy breakfest , tea , daily late afternoon wine cheese reception & quot ; read room & quot ; . room small ambiance appeal space sufficient comfortable living . locate close Grand Central Station 's easy get around city subway . meet friend roof top , glass bar impress . 
 Apr 12 2009 	 Nice hotel . nice location 	 like theme room concept . even get possibility book specific theme want . breakfast free day long . nice terasse next bar top floor . 
 Apr 11 2009 	 Location service 	 stay wife 's 40th birthday , room upgrade ( queen ) greeting right word go , great , staff maintain time . despite upgrade , room still small , common NY room ! , however clean need . location great , far enough away real people hot spot , within walk distance attraction , well bus stop , subway grand central within couple minute walk . downside noise , air con loud even low set window not block much street noise level 5 . downside breakfast little limited scope , importantly space we two morning , breakfast tray trek 14th floor require , ideal ! lastly , allow keep room one extra hour 1300 1400 , disrupt plan . overall , enjoy stay would recommend return . 
 Apr 10 2009 	 compact room brilliant hotel 	 one good hotel ' ve ever stay . fancy , certainly roomy , joy go back hard day 's fun New York . library theme entertain , get book room , fame complementary cheese wine great , generous , start evening . staff welcome helpful . breakfast library / dining room overlook street fairly basic adequate pleasant . room clean tastefully fit , free wifi bottled water evening . hotel put good mood day . think incredible value money . midtown exciting location convenient want explore Manhattan beyond . walk part island . sad leave . 
