perfect 	 helpful service staff , clean hotel restaurant , breakfast great lot choose e.g . frest fruit salad , cereal , toast croissant . room good size nice shower room easy use heating , linen change every day room spotless.we find warren street tube good commute city centre , get main attraction , hotel offer lot leaflet computer see be happen London . 
 so - so small convenient 	 firstly , read people post - room small . small . point , one us unpack stuff , lie bed . , good point , shockingly convenient location . within 5 min walk Euston Kings Cross , 30 second two tube station , cover 4 main tube line need city - break , , thank bit internet google - fu , shop arround get good deal . oh , free luggage room ( charge , other say ) mean final day little less hectic . bathroom nice , everything spotlessly clean ! however , negative . firstly , continental breakfast basic , much basic 90 % traveller use . also dine room small , mean wait table eat . secondly , say , room titchy . use available space well , still really workable anything one two night . & quot ; minimalist & quot ; decorate room & quot ; clinical & quot ; . much wardrobe space - stack suitcase corner room radiator , make room look even crampedIn , probably get well shop arround , simply pay convenient location . well less money past London . 
 Jul 27 2007 	 never ! 	 positive thing say place location , right Euston Square station short walk Warren St Euston .... though Euston Square useful term link central tourist spot involve change common destination , be handy close system ( mind , select hotel think arrive via Euston mainline , would ' ve convenient , high rail cost force change plan arrive coach Victoria , result lose lot time last day get case leave luggage Victoria sightseeing ) .To hotel ; describe online recently refurbish chic modern design picture suggest decent sized room trendy decor . , , gross misrepresentation ! reception decently decorate , though rather cheap , shabby look entrance let . despite give credit card detail secure book inform payment would take END stay , make we pay arrival . system expect british hotel imply atmosphere mistrust ( despite fact card detail already , could not & quot ; runner & quot ; ) . suspect want take payment see room ! one first thing notice common hallway room , light colour badly stain carpet throughout . reburbishing , surely ' ve one first thing address .... least dark carpet would not show dirt ! room tiny . one bedside cabinet , wardrobe side bed . cheap - look melamine furniture throughout room . bedside light , Windows open 1 - 2 cm top , make stuffy hot ( particularly hot July weekend ) . window blind bad comical , pull , cord holder come window nearly hit we face . close inspection show hold sticky pad operate blind magnet ... course high - use environment pad fail ... stand furniture hold place adjust blind ( position would ' ve 'd fall injure ourelve , ' m sure ) .The tv 3 terrestrial channel 1 2 freeview one tune , indication anywhere , , charge channel internet . tv screen bracket could adjust horizontally , loose vertical position fix downward angle , screen face towards floor side bed . the complimentary drink tray finally locate cupboard tv surface space . plug socket anywhere near surface , kettle boil floor bed . tea tray provide 2 standard coffee sachet ( lactose intolerant not like black coffee , could not drink UHT milk ) . partner diabetic , sweetener provide , might ' ve nice extra touch give number diabetic dieter be . the bathroom cramp slide door leave gap close , maximum 2 inch bottom ... little offputting , even partner room ... layout mean , gap , could see reflection someone loo ! certain amount discretion order ! shower extremely cramp , hotel boast extensive complimentary item include . shower small avoid get hair wet , shower cap might ' ve seem reasonable addition , , overselle actually basic service . what include : Shower Gel , water shampoo , hand soap face & amp ; body lotion . assume addition latter make feel market offer minimum , lotion smell old slightly . also , provide bottle attach wall , presumably cost little provide single - use bottle expect find hotel , prevent people pocket anything not use , could small bottle / packet ..... whole thing leave feel anything provide do grudgingly determined provide anything absolute minimum . though not street noise side building other experience , find soundproof awful , could hear footstep , voice door slam time . breakfast ok , ... continental : croissant ( plain chocolate ) , cereal , fresh fruit salad ( quite nice ) fresh juice toast make jam , honey , marmalade , cheese & amp ; ham . coffee fresh brew thermos jug pipe hot . honest , not really like continental breakfast , non - milk drinker ' m restrict anyway . UK hotel , want full english breakfast . 2nd morning forgot partner 's sweetener ask give ... great , impressed not put out . one personal issue endear place choose completely no - smoke hotel . legally , hotel bedroom permit smoking . hotel nice market , might ' ve accept rule maintain pleasant decor furnishing , hostel - like carpet appal state , struggle understand decision smoking room ( ' m fully appreciative many guest might want follow smoker room , quite happy accept place may reserved smoker rest smoke - free ) .to add insult injury , dutifully observe smoking ban , get call come shower tell we smoke alarm trigger ( sign room , assume set steam cramp space ) ... get distinct impression suspicion , veil accusation , smoke ! 
 Jul 25 2007 	 small room . London 	 stay Euston Square 2 night July 2007.i book Single Room website . could find information difference type room sure going get double room single rate og special single room . it turn small , definitely single room . rate 85 pound night , surprised . course , London . square metre hard find fantastic city . the room spotlessly clean recently ( think ) renovate . nice , functional , maybe little crammy , bathroom . view , window face inner enclosure hotel . a positive suprise : free wireless internet whereever premise . bring laptop along . flatscreen tv room work fine boast large package tv - channel . I agree get pay hotel definitely lot bad . happy choice , initial shock see size room . 
 Jul 22 2007 	 Smallest Room Ever- Filthy Halls 	 hotel 3 week tour London Italy let husband book . big mistake . obviously read Trip Advisor . location truly great- centrally locate near main attraction . room , however , tiny room ever . bed even top sheet- white comforter usually throw back try avoid touch . air conditioning even fan stuffy- stuffy hallway stuffy room even window open . carpeting hallway filthy . truly repulse . charge almost 7 pound internet find actually use internet . shower nice drain extremely slowly . breakfast decent- expect much free breakfast . would never stay . 
 Jun 22 2007 	 ok sleep evening meal 	 hotel good locationour room small , that s fine spend time London bedroom , air con , fan stir warm airvery clean tidyevening meal goodstaff Pleasant , sometimes helpful , problem expect solve , point fill form . bad Points ; fire drill notice roomNo Hotel datum room , ie menu , room service charge etcBar open weekend 5:30pm ! ! ! , would provide drink period even guest ! ! find place eat drinkbreakfast cold buffet , aim overseas tourist continental style , food hot available , kitchen open cook breakfast . therefore expect AA 3 Star hotel provide total service provide Customer want - forget . 
 Jun 14 2007 	 functional clean 	 small pleasant hotel room clean area need renovation . staff polite helpful 
 Jun 13 2007 	 great hotel price ! 	 really like hotel price pay . exceed expectation , especially convenient location -- be right Euston Square metro walk distance King 's Cross . continental breakfast include great bonus , staff friendly . get lucky room get -- spacious , consider size London hotel room ' ve stay price . would definitely recommend hotel budget - conscious traveler -- great choice 3 - star hotel heart London . overall , great experience reserve whenever London . 
 may 13 2007 	 great price 	 boyfriend stay three night think perfect short period time . room small , like go London hangout hotel day long , not make much difference . room clean modern bed comfy . notice traffic noise . bar nice open later many bar around London . 
 Apr 29 2007 	 job bit 	 stay night London Marathon . great access public transport tube station , journey register race not problem . room small fine night two , good standard . agree quiet hotel , despite double glazing , traffic noise one uks busy road get . nice bar , friendly staff , lay extra - early breakfast marathon runner . would go back . get pay hotel absolutely fine be look reasonable place lie head . 
 Apr 8 2007 	 decent clean price 	 stay overnight 1 night find room b every clean although state small . we big double bed big normal king size bed take space . not much room around bed London not go spend much time room ! ! pay £ 85 room reasonable London . right Euston Square underground mean ideally locate get around city . not notice traffic noise . I would recommend people want city . 
 Mar 20 2007 	 other say stay ! ! ! ! 	 well say ? ! ? ! ? ! pleasant experience ! , partner friend stay weekend break surprise friend - surprise ! reception decieving , modern clean etc . make way stair ! ! ! I ve see clean street london carpet hall ! room tiny ( not decieve pic website ) shuffle around bed get anywhere ! bathroom tiny knee touch shower screen toilet ( i m 5 & quot ; 2 ! ! ! ! ) can not stand sideways shower either water back front ! room busy main road mean noisy - save grace room clean ! however bed comforatble one lumpy pillow ! ! ! staff find rude helpful ! also tactful disclose detail include room number pay someone phone ! ( luckily mother tell staff call ! ) complain detail give get shrug shoulder manager ! ask complimentary drink due miss hap incur - sorry bar open ! hotel receptionist need training customer service guest confidentiality Overall would definately go back please take warning ! 
 Jan 4 2007 	 world small room noisy place ever 	 Unfortunatley have book room read review ! stay 1 night , New Years Eve 06 . honestly say 's bad hotel ' ve stay . room do good standard , small could not beleive . bed 2 wall , 1 ft space dressing table , 2 ft bottom bed . room bagge unless pit wardrobe , be stay 1 night , unpack . Wporst directly opposite lift stairwell door . latch working ont door , mean everytime someone come go night ( basically every 10 min New Year ) , foor would slam shut . bedoroom door would rattle bang . floorboard upstairs sound liek go coem room ( normal walking room ) . noise outside constant , ambulance siren ect . oh top hot water shower morning . we complain soon get , room spare ! complain next morning - fill form ! far offer we discount next stay- if- £ 15 refund room cost £ 104 ! not go . 
 Dec 25 2006 	 reasonable value Central London 	 stay two night Christmas . get one renovate room ( room renovate ) . room small -- - must make full use closet be stay several day -- - ' ve see small . really like LCD tv free internet . Windows double - glaze road noise issue except summer . staff helpful friendly . excellent transport ( use Warren Street tube travel ) . 
 Dec 5 2006 	 good look - tiny room unhelpfull attitude not bother ! 	 rarely complain first negative review ' ve write . however , unfortunately stay hotel recently.it look really nice first , beyond reception dining room public area tatty . the room absolutely tiny , small ever stay , even London ! luggage stop bathroom door opening . room smell strongly smoke , traffic noise loud outside not much fun open window clear . hotel supply electric air freshener smell nearly bad ! woken housemaid open door room 0900 next morning , nearly walkke . since would work Christmas party till late night not entirely welcome ! complain smoke , tiny room wake nearly walk , tell manager available weekend , discount possible . since already swipe card could not much . when email complaint request discount , also refuse , although discount full rate offer stay ! generous ! not decieve look , load well hotel price London ! certainly not book single room ! 
 Dec 4 2006 	 do not know people talk ! ! ! ! ! 	 read reveiws sceptical say least ! ! ! room lovely , ok small expect central london convert hotel . room newly decorate , modern spotlessly clean . LCD tv , broadband etc , noise would expect city , right next tube 10 min walk west end . breakfast vast nice reception bar decorate good standard , staff helpful freindly . for money location ideal hotel crash pad night short trip ( long stay might little bit cramp ) .in summary , expect £ 70 night central london . would recommend anyone ....... 
 Sep 10 2006 	 Nightmare 	 return 7 night stay Euston Square hotel honestly say never sleep night . hotel locate right main road siren go night . make bad renovating power saw go 7 every morning . hotel small room extremely tiny hear every door bang throughout . side hotel staff friendly place clean have never stay . 
 Jul 22 2006 	 small room 	 book hotel due close proximity Euston Station - less five minute walk away . the room 4th floor small hotel room ever see ! double bed fit . it help fact hot day year , air conditioning window open inch . the traffic noise present night . on positive side , staff friendly & amp ; helpful , provide we fan ask could move low floor thinking may cooler . buffet breakfast acceptable evening meal good standard . we would stay someone tight budget claustrophobic might find ok ! 
 May 28 2006 	 Supportive staff 	 28.05.06 good fortune house guest Euston Square Hotel , London , period May 22 May 25 [ three night ] , would like place record wonderful help provide staff reception . series meeting around Euston Square area [ within 2 square kms ] , could conveniently walk , well meeting Hammersmith [ utilise Tube ] , check facility / direction get require destination . happy say staff take time effort provide map area visit [ Theobald 's Road ] , well map London Underground , highlight final destination , well provide clear - cut instruction reach respective destination . travel appointment without hitch , importantly , time . additional help provide confirm taxi pick - up Heathrow 4.00am 25.05.06 time check - in [ arrive five minute prior schedule time ] , well provide umbrella due London 's inclement weather [ save rain possibility ill - health , could afford 2 half day hectic meeting ] . Euston Square Hotel deserve recognise wonderful personnel working midst . 
 Jan 31 2006 	 bad ever 	 room book Euston Square company renowne extravagence care employee . concur previous review fellow traveller flea pit hotel . the reception area well present give impression rest hotel standard - WRONG ! room allocate big prison cell teh bathroom could probably nominate Guinness Book record constrictive space wash use toilet - honestly aircracft bathroom big ! .The room face onto busy road outside resort wet two whole toilet roll stuff gap around frame . Breakfast consist ' continental buffet ' everything inverse temperature relatuionship - everything cold ( like milk cereal , fruit juice etc . ) warm everything warm ( like coffee etc . ) tepid . please take one piece advice fantastic web site stay hotel 
 Dec 19 2005 	 do not ' stay ! 	 never normally write review thing , trauma cause stay hotel force hand . stay well hostel , pay £ 70 less night privelege . hotel claim boast executive room , modern , chic fitting comfortable surrounding . reality offer hot water , room poorly sound proof may well sleep road , decor seem survive unchanged since pre - war time , lobby corridor fill rubbish , staff incompetent , rude , unable deal query . actually find build contractor ( constantly work - usually around 06.30 ) helpful reception staff . whatever , find somewhere else stay . would happily pay double avoid unpleasant experience . 
 Nov 15 2005 	 Executive double - maybe la la land ! 	 unfortunate pleasure spending whole week hotel company forget book somewhere decent . one obviously available London see reason stay there . when arrive find hotel process renovate , albeit room finish part reception still bite mess . anyway idea hotel room resemble padded cell will love hotel . the room tiny , paint disgusting colour - army green grey ! ! comfort level room , not even get start . 4 ' 6 & quot ; executive double ( oh really ) , spot light not really great deal ambience reading lamp , chair desk anything close would expect . anyway please not let website fool - hotel nowhere near class portray . good thing say one particularly friendly member staff helpful want anything else stay suggest go somewhere else ! 
 Nov 8 2005 	 avoid 	 stay one night need near Euston staton early start expect budget experience get , good say express holiday inn premier travel lodge . newly refurbish room ok clearly do economically quite enough space anything small soft double bed . the staff speak adequate English courteous follow bizarre administrative rule - instance : book net give cc detailsOn arrival fill hand sign authorisation form , well separately run sign new CC authorisation addition already run copy attach booking . this make feel rather like criminal ! stupidly leave item room leave - fault . get back , go cc procedure include make photocopy card send hotel , even though already wealth paperwork describe . - certainly suggestion send free - overall , experience leave bad taste . 
 May 19 2005 	 avoid year two ' ve refit 	 ' m afraid experience hotel happy one . book online ' Executive Single ' cost almost £ 100 night . planning use facility internet access work ahead meet next day . however . I arrive early - evening rush tell overwork reception staff Executive Single available would Standard Triple instead . ever broad - minded , agree -- wend way grim , decay flight stairs narrow , dingy corridor dismal hotel room ever encounter . second - floor corridor whiff slightly block drain . worse still , corner room busy road junction . go Reception ask another room Executive standard , tell fully book one available . fine , say , will partial refund return accept inferior room . , say , possible either internet book company already deduct credit card . fine , say , give over - booking problem mine , check another hotel instead . not possible either unless pay twice ! well , dig heel -- british instinct make fuss go deep private trauma -- eventually phonecall manager reveal Executive Double available . room , way , nice . stylish , recently upgrade clean . also deeply impractical . instance , hairdryer plug kettle involve scrabble dressing table . almost whole room take huge king - sized bed ( think ' executive ' get business trip London ? ) narrow strip floor - space way round . narrow desk double dressing - table dominate mirror . ( try study document front large mirror ! ) chair , uncomfortable multi - purpose stool . worse , room separate one ajoine locked door could hear bathroom noise . curtain , chic venetian blind protection light office blook opposite grey London dawn . and double - glaze noise insulation ! hideous cacaphony road junction vehicle accelerate nearby underpass continue well small hour night . and not stop . finally drop sleep wake four morning -- guess -- fancy flat - screen television blaring early - morning wake - up call . little present making scene lobby previous evening ? never mind , not wake , police car racing past siren howl minute later certainly would . in morning try get internet access via television , fail . call help handsome - look slavic boy appear , rattle plug ineffectually shrug nothing could do . colleague , have give hotel switchboard number could ring room , report message mobile despite repeat try number seem inoperable . word so - call ' Executive ' room completely useless working ! think hotelier dissuade tourist authority refer hotel room 's recently upgrade lick paint ' Executive ' standard room . term imply specific work facility . the hotel not complete write - off -- room , even grotty one , new bathroom clean . executive room quite stylish batchelor fantasy sort way bed , fit fresh white linen , wonderful . also well - cook moderately price meal bar downstair . the hotel clearly process upgrade something barely doss - house standard attempt boutique chic well understand might take year ' reinvestment profit complete process . utterly loss understand owner not make sound insulation first priority ; busy road junction underpass entrance not go go away . , avoid ! 
 May 4 2005 	 good value money ! ! ! 	 read couple review hotel , look website , phone hotel decide try . room clean small look recently decorate . Nice Tv , internet access good buffet breakfast . staff young friendly whole . bad experience review make expect , decent value money . 
 Apr 26 2005 	 good value money 	 ok may hilton room bit small side hotel need lick paint brakfast bit mundane , really bad , location ideal near everything overall think good value money . 
 Mar 31 2005 	 bad nightmare 	 book stay hotel two year ago soon come front hotel new make mistake . it , get well get inside totally show website . the reception basic scruffy make pay room upfront even set foot it . alarm bell well truly ring make way room hallway narrow could almost touch wall walk room , claustrophobic beware . when look inside room shock size , four us inside feel like sardine tin . the drawer open , shut , bed manky view brick wall put tin hat it . the clean thing we . after clobber hubby stupidity book hell hole , grab bag head back reception refund . luckily we manage get money back . the chap desk say happen lot ( , say , well shock ! ) ask we use loo would call cleaner , , print say get message . we end around corner Ibis , improvement , pay little bit extra get well hotel like plaza hyde park , watch one day breakfast return find bunch chinese surveying room , another review must get around writing . 
 Mar 26 2005 	 do not spend money small room traffic noise 	 come want we pay advance . come room understand , room 2 x 3 metre ! light work small bathroom . least room near busy noisy road , not get much sleep .The breakfast fair enough , staff one exception helpfull understanding . luckily could without problem cancel stay first night , get refund remain night . quite reliefe leave depressing place . 
 Jan 4 2005 	 call hotel ? ? ? 	 stay awful hotel 28 - 30 December 2004 must say bad hotel ever . work hotel rate hostel , hotel . even hostel well ! ! arrive around noon tell room ready . store luggage small luggage room ! ever see . since book executive double not think much return 14:00 check . first pre - authorized credit card full amount room even due fact early know would back - hence no - show . pay advance could even get key room . complainte already swipe credit card guarantee therefore need pre - payment . ask see room check incompentent receptionist tell would charge anyway . when get room find smallest room ( call room ! ) - shoebox ; small could not even open suitcase . fact , slide door toilet space open normal door . first night find linen dirty go get another . second one also dirty , third ok.warning - ever BOOK HOTEL .... get dissapointe . 
 Dec 17 2004 	 much well 	 wife stay hotel last year , mainly 's location , bit disapointe . year however , surprised ! much well train staff , friendly also , room clean video demand . restaurant one good ' ve eat UK , good environment , tasty food , nice staff . even talk manager restaurant compliment , end make friend . also like breakfast , real continental one ! would appreciate could start bit early , meeting , start 7:30 . bad side , ' ve mention noise , elevator need improvement . staff seem like family , always smile helpful , manager one pro - active ever find . respect far important , admire . Hope continue like . will back sure ! 
 Dec 15 2004 	 not ...... 	 wish have see review prior recent stay , agree other advise terrible disappointment place . not mislead claim modern , relax hotel . cheap nasty place , dirty , noisy dump . lobby look nice ' executive ' room absolutely tiny cheap fitting ancient window pane let constant roar traffic outside . Bathroom freeze damp . breakfast day . never ! 
 Dec 2 2004 	 avoid cost 	 suffer fate arrive Euston Plaza find room reservation mysteriously vanish ! never hear , find time charge original reservation credit card . base review list , sound like actually well strand London hotel room vs. stay anyway . 
 Nov 8 2004 	 bad hotel ever stay 	 many London hotel great , bad ever ever stay . dirty room , upgrade executive room get work telephone . must got 3 star 20 year ago . visit . 
 Nov 3 2004 	 description 	 stay hotel 3 night October not pay advance would stay 3 minute . stay many hotel many place year honestly say bad . room small , clean ( bedcover blanket stain carpet dirty ) although sheet one pillow clean change daily . shower OK batroom reasonable corridor stair dirty badly need coat paint . second night ask change room 3.00am couldnot get wink sleep due noise radiator . argument get another room bit well still leave lot desire -there not even chair room . breakfast poor - make toast old dirty toaster ! poor value rate pay . staff friendly enough obviously struggle poor facility . location good advice : do not stay - many many cheap much well option area . 
 Sep 30 2004 	 London night 	 place give would expect london hotel . nice place foyer , room small grotty , staff miserable ( management ) electricity telephone reliable , terrible stay . 
 Sep 18 2004 	 Heaven help we ! ! 	 room filthy appeared fece spread . construction noise 8 5 . small . wife feel lucky not leave lice . extensive traveler far bad room ever stay . 
 Sep 18 2004 	 Horror story Euston 	 select place hotel listing web site , describe modern relaxation entice term . arrive July 11th weary journey look forward nice relaxing evening . feel uneasy mopment touch front door streak dirt . reception gloomythought young staff pleasant enough . could literally utter reservation credit card request swipe full amount 4 day stay . stage smell rat never pay advance like . horror discover reason policy would willing pay discover dirty horrible , filthy kip place so - call hotel really . grow increasingly apprehensive make way appoint room , stench mouldy carpet , peel paintwork corridor wall grime laced glass window en route . tiny kip room last straw . one could handle small pokey dirt would call ' grime scene ' certainly . know immediately , debate need , could stay . go rescue situation financially initially tell would seek refund internet company . tell well room choice decline whole place ' facility ' charm dump . want get despite inconvenience middle aged couple nowhere go 7.30 pm evening London . look full refund finally concede partial refund . spend last 8 week try recover full amount . cancel normal sense , arrive fulfil obligation discover victim gross misrepresentation nature quality place . internet hotel agency try behalf get refund without success disappoint mislead / grossly inaccurate description dump remain site . satisfacvtion remain review save visitor unwittingly dupe place . please , do not even think , dump itinerary . 
 Jul 19 2004 	 stay away ... unless want swindle 
 Apr 13 2004 	 Nice Staff great hotel 
 Mar 19 2004 	 look elsewhere ! 
 Feb 16 2004 	 Basic Budget Buster 
 Nov 16 2003 	 Good Hotel Budget 
 Oct 17 2003 	 do not go * * * 
 Mar 3 2003 	 Euston Hotel Pits 
 Sep 13 2002 	 recommend ! 
 Nov 24 2009 	 impec 
 Oct 24 2009 	 Una buena opción calidad - precio para Londres 
 Oct 20 2009 	 ? ? ? ? ? ? ? ? 
 Sep 25 2009 	 Habitaciones pequeñas pero limpias 
 Sep 25 2009 	 Excellent 
 Sep 21 2009 	 Excellent compromis ! ! 
 Aug 16 2009 	 Bon rapport qualité / prix 
 Aug 14 2009 	 ? ? ? ? ? 
 Aug 2 2009 	 simple bon rapport qualité prix 
 Jul 16 2009 	 Lavoro Lavoro Lavoro 
 May 3 2009 	 muy correcto para dormir descansar buen desayuno 
 Apr 14 2009 	 Accueillant correct je recommande ! 
 Mar 31 2009 	 buon hotel ! 
 Jan 19 2009 	 Bon rapport qualité / prix 
 Jan 19 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 15 2008 	 Bien 
 Jun 1 2008 	 bon compromis 
 Apr 11 2008 	 Sommeil léger s'abstenir 
 Feb 6 2008 	 camere piccolissime 
 Jan 30 2008 	 Nos encantó 
 Nov 21 2007 	 Si vous n'avez pas le choix ! ! 
