Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Jun 16 2009 	 Friendly New yorkers- Great Service ! ! ! 	 stay Crowne Plaze Times Square , NYC April School vacation week child . room fine , clean nicely do . ' ve stay plush hotel room fine . hotel nice city feel location could beat ! experience hotel staff excellent ..... truly expect NY customer friendly . ask moved room overlook Times Square ( really get great deal web expect get good view ) - though could give we first night call first thing morning say room overlook Times Square . move thing ! ! ! great week , great hotel stay great service ! ! ! ! would love go back NYC ! ! ! 
 Jun 16 2009 	 wonderful room location 	 husband stay property May 31- June 06 . business , relax enjoy city . please hotel ! ! room spacious- large comfortable bed , flat screen tv , big bathroom - for NY standard , vanity enough space toiletry , closet space , etc . addition view room amazing- light Times Square evening incredibly romantic . also love hotel amazing gym ! ! ! husband take advantage daily basis : lap pool , exercise class , weight room , aerobic equipment , etc . gym staff courteous friendly- charge hotel guest . , box class ; real killer . hotel centrally locate , near shop , theater , restaurant , etc . ' eat hotel restaurant , ' comment . hotel overall clean well keep . definitely return property future visit ny . 
 Jun 13 2009 	 Great Location . 	 hotel location great . real close Times Square . use heavily convention , tour , hi - end business meeting . great deal travel Government Rate . location close everything : subway station , restaurant , theater , shopping , etc . room well equip Room Service good . concierge staff oustanding . help select affordable restaurant every night . cellular phone reception room poor . wireless internet access $ 20.00 per day , mobile broadband card , well bring additional antenna possible . Front Desk service pack almost day . small question staff require make long line . refigerator room . swimming pool plus free . may pay use gym . want avoid round - the - clock street noise ( Broadway never sleep ) ask high floor . tv freak , verify room Flat Panel LCD TV , room still tube . overall , great place stay . 
 Jun 13 2009 	 great upgrade concierge floor 	 stay two weekend row hotel use reward stay impressed upgrade receive . first night give Ambassador Suite close 1000 sq ft . feature use access concierge lounge 46th floor compl . breakfast snack . view spectacular . second night try check 9 give King room also concierge floor . the hotel location close subway station Broadway play etc . make first choice short stop Manhattan . 
 Jun 11 2009 	 pretty good ! 	 stay 4 night Crowne Plaza Times Square ! nice hotel , comfortable room , great location ! thing like good bar / lounge area ! cool bar , great bartender / waitress , tasty food drink ! get good deal directly Crowne Plaza website corner room . room decent size , clean , bed comfortable ! view face Hudson , nothing great . would like view Times Square , say full left . we order room service twice . pretty good time . overall think hotel nice , 's thing will nitpick about:1 ) many other mention , 's fridge mini - bar ! plenty space put one ! ! ! 2 ) little shop downstairs stay open til 11:00pm . many night get back wish could grabbed water soda , closed ( be mini - bar vending machine ) . lot people coming go 11 pm , would think would profitable stay open longer.3 ) maid start knock door 9:00am . even do - not - disturb sign , hear walk hall knock door loudly.4 ) Shower . water pressure weak . Overall 's good hotel good location . minor thing , pretty good part ! 
 Jun 8 2009 	 surpass expectation 	 can not fault . stay use priority pointsa regualr Holiday Inn user UK . must admit get upgrade room 4615 . corner room amaze dual aspect view Times Square . room recentyl renovate immaculate , teally view . access concierge room get free breakfast soft drink really nice . staff pleasant overwhelming . lobby also lovely although would rather stay UWS location novelty many reason can not beat . 
 Jun 4 2009 	 excellent location fancy lobby good security 	 stay hotel April . two entrance hotel , small one next Hershey 's candy store . one back 's car entrance . once take electric stair lobby . five people help reservation peak hour . bar front desk be get nice atmosphere . get crowded night . we stay 25th floor , side view ( Times Square side building ) nothing fancy comment . room clean bed quite good . free internet that s downer . 42inch lcd screen connection panel ( could not connect laptop tv ) .Location great , least three subway station nearby , close ticket booth Broadway show excellent security , require key night let lobby . there several diner nearby , one leave ( italian ) little bit expensive , , be fine . 
 Jun 1 2009 	 good place GREAT place 	 can not say enough wonderful hotel . rate well average area ( include cost parking ) . get last minute deal stay corner room immaculate . bed wonderful , bath luxurious sparkling . view fabulous . casual , , nice ... $ 85 million renovation help . take nice walk 9th Avenue many reasonably price restaurant , beautiful diner breakfast 10 people infant place right Times Square . go Times Sq . midnight Friday - fun spectacle . free entertainment . hotel 1 block north red neon step . 
 May 29 2009 	 Great Value Excellent Service Times Square 	 -- great location ! ! -- Purchased Hotwire -- excellent value -- nice , clean room -- excellent housekeeping service -- Front desk concierge exceed expectation 
 May 27 2009 	 nice upscale place . 	 Hotel & amp ; service great . side : 1 ) mini refrig . room stay in2 ) ' free ' internetotherwise hotel , hotel associate & amp ; location great ! plenty room luggage 's . skip restaurant hotel , worth time & amp ; especially worth money . well pizza joint restaurant . 
 may 25 2009 	 great hotel great room view 2511 	 Crowne Plaza Times square newly renovate , perfect loction lovely city hotel ... highly recommend . my tip request room look Broadway / Times square ... corner room . stay room 2511 view awesome.enjoy 
 May 24 2009 	 Nice Front Desk 	 reading post , choose hotel stay teenager daughter friend 16th birthday celebration . arrived greet SMILES helpful attitude front desk . lobby spotless area overall beautiful . offer we stay another close hotel , suspect overbooke stay 1 night . girl want take chance take look . front desk offer hold bag check ( fact everyone ask want luggage hold tour City room ready ) . unfortuately , choose hotel give review room , want sure let people know front desk people nice helpful , hotel great location everything Times Square - walk Penn Station , Gershwin Theater , Build Bear . comp room we , nice add surprise wallet ! warn country folk , like we , area crazy , ton people , car , bus noise . great experience nice girl totally aware & quot ; star sky & quot ; -we street lite people even lite driveway ! 
 May 21 2009 	 Great Location 	 spend 5 day new york crown . first time visitor family - two teenager . everything great however think go extra mile stock room mini bar . long day walk want enjoy glass wine room tell cork screw could arranged ..... $ 5 . not bother go bar give clear instruction assist guest case . plus side ... bed ultra comfortable hotel location convenient . 
 May 17 2009 	 awesome 	 Perfect location , amazingly quiet . not sleep well home . end use hotwire even price fantastic . 
 May 16 2009 	 Great Hotel- Perfect location ! 	 Husband spend 4 day NYC tourist & quot ; home & quot ; baseWe celebrationg 25th anniversarfy year little trip first trip ! hotel super beautiful upscale . locate right Broadway near show block Times Square ( near weird stairs people sit on- near seedy times square section ) find gem stay lot business . joined & quot ; club & quot ; quickly earn enough point free night- pay 3 night ! also add breakfast option ( 10 buck each- mean going get full breakfast $ 10 Manhattan ) lovely . the room amazing ( tub room ... kind bummer love good soak- linen amazing - they sleep advantage program- complete little lavender spray soothe cd- do not hear noise - none 37th floor . the view window look Broadway show Chicago- kiind cool see . bet room amazing view skyline . we arrive early could not check let we store luggage bell room start trip early ! maid keep room beautifully clean even come & quot ; turn bed & quot ; freshen towel etcthey free safe room wellI wish fridge room store drink . buy stuff Duane reede use one garbage can Ice cooler ! ice every floor- oddly vend whole place ! ( pricy little store ) hotel great little bar well enjoy cocktail ( quite strong ) munchie first night . waitress super sweet find celebrate anniversery bring we round & quot ; house & quot ; Suffice say - after 3 strong drink foot long hurt walk Manhattan ! highly recommend place 
 May 8 2009 	 nice hotel Times Square 	 one well hotel Times Square . executive lounge serve pretty decent food bar lobby trendy . room comfortable warm service par typical Crown Plaza hotel . would recommend hotel . 
 may 6 2009 	 Nice hotel great location 	 stay long weekend Easter . main reason stay shop . spend 4 night pay use Priority Club point hard comment value money . so location fantastic . central central get although Times Square busy day night expect big crowd . upon check give room 21st floor accessible room right next lift . whilst room large , keen headboard next lift wall . discover room safe return reception . they explain undergone refit ( other say ) wait safe room problem couple minute tap computer give key room 45th floor . we notice later evening queue reception desk huge look like arrive time . so room ok size ok view ( back hotel view towards Hudson ) , nice bathroom large LCD tv . usual coffee machine room , bed comfy overall , nothing complain . much standard come expect Crowne Plaza around world . we drink eat bar first evening whilst drink expensive ( expect hotel bar ) , bar snack reasonable quantity quality deliver . we eat hotel time . there starbuck directly across road ( road road round corner ) well load place eat drink within staggering distance . there also irish bar literally next hotel front door seem permanent happy hour welcome bad price . so overall deliver exactly would expect Crowne Plaza hotel deliver . large ( 46 floor ) modern city hotel fantastic location great base explore from . I would certainly consider use hotel return 
 May 5 2009 	 Excellent Hotel 	 not undertand negative review hotel here . I bring mother New York 72nd birthday April / May year , 2 standard room 4 night . book Expedia get flight hotel less book Virgin Atlantic flight direct ! room large 2 huge king size bed room . bed comfortable hotel . room 2604 2606 . view river huge picture window . room spotless - whole hotel . amazing Manhattan give grubby city ! housekeeping excellent - clean daily fresh fluffy towel toiletry renew daily . room incredibly quiet - sound night . flat screen tv , free tea coffee maker replenish daily . real hairdryer , shaving mirror , iron board iron provide automatically room . ' standard ' room ! personally would not bother worry upgrade ' view ' view lounge , restaurant bar , New York around ! say view river beautiful night everything light could see boat river . New York exceptional value . location brilliant - short stroll Times Square Hop Hop Tour bus right outside . central yet quiet relaxing - even though large conference group stay . we breakfast daily amazing buffet - anyone could need . restaurant new spotless great view Times Square . dinner one evening hotel . food good stay . portion huge delicious , 3 course meal service 90 dollar 2 - great value . starter tuscan soup enough whole meal ! grill prawn garlic steak frite . lovely . bar overlook Times Square lovely good value . hotel calm quiet city love . staff extremely helpful friendly . call engineer one evening key not work - sort jiffy . internet access room , 9 dollar per day - whereas also internet room lobby several computer print facility access free 20 minute hotel guest . security outstanding . guard night elevator show key card get . great relief mother 72 first time New York . not worry one jot security . say not understand negative review . go Marriott Marquis near clean new . ' brand ' hotel - Sheraton Hilton well locate spotless Crowne Plaza . CP newly refurbish , spotlessly clean staff work hard extremely friendly courteous . problem whatsoever . check super fast bill spot . please choice special occasion . check even say happy birthday mother hope would lovely stay . mother love Crowne Plaza think wonderful . other say well alternative area not say - certainly never see . location , cleanliness , staff - top notch . even staff Marriott look bit grubby . staff CP uniform helpful . concierge provide advice guidance tour etc . pleasnat helpful . would rate hotel nearly 5 star . outstanding would definitely return recommend . can not speak highly enough hotel staff . 
 May 4 2009 	 can not beat location ! ! 	 frequent visitor Manhattan , usually not stay upscale hotel . time , good friend 's 40th birthday , us 4 family member fly celebrate ! None New York City , awestruck view room ( 32nd floor ) . book two room , enough room 3 people per room ( well closet space ) .the Crowne Plaza half block away great supermarket ( breakfast snack stuff ) , well starbuck early morning coffee . you really can not beat location ( 49th & amp ; Broadway - Times Square ) . walk everywhere easily ( show , museum , restaurant row ) ... Central Park 20 minute walk , 5th Ave @ 49th ( Saks , American Girl ) 15 minute walk ... major subway stop across Broadway . I book room hotwire get great deal ( $ 149.00 per night ) . concierge nice helpful . the room keep nice clean . drawback fridge room , ice machine closeby . I would definitely recommend hotel girfriend getaway ( ) , family , solo couple . 
 May 4 2009 	 Crowne Plaza Times Square 	 go girlie trip New York WOW ! ! hotel really nice room be ideal visit location location location ! ! grab coffee crossiant go hotel morning , handy breakfast move , bar good hotel price would expect . 're close broadway plenty show 's choose . Plenty Fantastic Restaurants choose .... did'nt use much facility 's be busy enjoy city ! ! Taxis airport city reasonably price be fixedprice taxi rank ( beware rogue taxi hang inside terminal ) 
 May 4 2009 	 fantastic hotel view 	 stay hear part first wedding annivarsary . the hotel ideally locate trendythe room corner room two window look time squareWe eat hotel can not comment foodi feel check check reception team litlle pressureTwo receptionist 800 room hotel seem littleoverall wonderful stay back 
 Apr 30 2009 	 Room poor repair water run shower tub 	 stay hotel pleasant experience . room request give handicap room right next elevator ( 4112 ) . closet . paint wall touch match . Got morning . coffee maker work , run water tub shower take shower sink . manager duty 8 check . Desk person promise call resolution , not happen . personally , far many good hotel NYC put kind service . would stay recommend anyone ! 
 Apr 27 2009 	 middle action first - rate room 	 book Hotwire steep discount ( though ultimately reasonable price ) could not happy . room top - of - the - line -- new furniture , great bedding , excellent bathroom , everything spotless . huge NYC standard well . three complaint : takes forever get to / from high floor elevator ( normal ) , computer business center break keyboard ( kinda normal ) , bellman somehow could not hail cab 15 minute wait ( normal , end walk block get one ) . otherwise , great hotel perfect spot Times Square . 
 Apr 26 2009 	 great hotel 	 stay week use priority point ( not pay local taxis ) get upgrade use 46th floor concierge room . use day breakfast save we quite bit money . room 43rd floor clean modern flat screen tv . bed large comfy . bathroom spotless large double shower ( bath ) .The front desk staff excellent overall staff first class . hotel middle tourist area central everything . could not fault anything . 
 Apr 26 2009 	 Breach Contract 	 book hotel Easter ' 09 weekend 3 night . reason book breakfast include price . attract saving , bring whole family . confirm phone day arrival . however , arrive hotel flatly refuse honour agreement . send two fax message reservation manager request satisfaction , hotel respond . leave embitter disappointed . 
 Apr 25 2009 	 Location Location Location 	 travel New York month business . not care much stay term location city . ' m look clean , safe , 4 star property . usually try book priceline result usually good . this hotel perfect location tourist . heart times square . step away theater , touristy restaurant , rockefeller center , etc . check 5:30 p.m. courteous quick . room 18th floor . modern , clean comfortable . flat screen t.v . movie free hbo . like fact guard elevator time make sure supposed hotel . there nothing amazing , noteworthy service hotel . however , look clean , safe , nice place crash busy New York Day , good one . 
 Apr 23 2009 	 fantastic location amazingly comfortable bed ! 	 stay Crowne Plaza Times Square 3 night April 2009 would definitely return . bed fantastically comfortable need heavy day shopping sightseeing New York ! strange even though 27th floor could still hear hoot street get use . location perfect - right centre Broadway theatre ( go see shrek musical brilliant ) within walk distance sight . go train get Staten Island Ferry walk back stop way Ground Zero Tribute WTC Visitor Center definitely worth visit . go bargain hunt Century 21 visit Macy 's Flower Week great - creation absolutely amazing . carry walk way stop various shop finally stop Hard Rock Cafe dinner go back hotel lovely comfy bed good night 's sleep ! go Rockefeller Center weather good amazing view New York top . hotel next door Hershey store right opposite & amp ; store - chocolate lover delight ! not eat hotel cocktail lovely ! also eat TGI Friday ok Carnegie Deli always great - portion massive food delicious ! complaint neighbour chinese takeaway one night put leftover corridor stank - tell Reception say would get clear immediately still 24 hour later - huge bag dirty towel ? ? ! also , husband daughter go pool many lane not available public pool freeze . 
 Apr 22 2009 	 Beware - not get ' ve pay ! 	 good thing say hotel 's 's great location ! like reviewer site , book month advance upon arrival find due ' the hotel 's policy overselling ' ( general manager word , mine ) spacious corner room high floor book available nothing could . end standard room 19th floor first night , get move remain 3 night 41st floor , standard room . book direct hotel confirmation state breakfast include arrive try tell we type error ! ! much remonstration relent give we voucher breakfast ( good ) . enough towel room , despite several request , complimentary fruit basket promise book confirmation never materialise despite ask several time , neither gift box check - out promise ( cheese even argue . ) much protestation knock $ 160 bill not make much dent certainly not compensate aggravation disappointment . seriously folk , although room clean tidy , staff reception , constantly rotate never get one twice , whole unwelcoming surly . would really give hotel miss hoping stay Big Apple memorable right reason . stay much well hotel city whole lot less . 
 Apr 19 2009 	 new clean quiet .... oasis . 	 husband return three night stay . check check easy . room clean spacious , great view Times Square . bed comfortable sleep well room quiet . reason give perfect rating service ask three time coffee room , decaf arrive . end Starbucks right across street . also ask shampoo second day . convience ambience beat . 
 Apr 19 2009 	 expect ... 	 family stay Crowne Plaza Manhattan ( Times Square ) 3 day/2 night trip NYC . let start state positive : location amazing . hotel situate right heart Times Square Broadway 48th Street . lobby nice modern , friendly bell - hop help we bag / taxi . stay Concierge Level room , come access 46th floor Club Room . provide wonderful continental breakfast nice afternoon snack / wine . major issue hotel ... first , upon check - in , greet surly front desk clerk proceed tell we room ready yet ( even though request early check - in month ago ) , loudly announce credit card decline . demand photo ID another credit card . give working card , not say much & quot ; will call room ready . & quot ; wait room , decide lunch hotel restaurant . service INCREDIBLY slow , even though one table . incredibly salty grill cheese sandwich cost almost $ 15 ... salmon burger husband order also salty could barely eat -- hey , guess 's New York . $ 11 glass wine fill quarter way ( full size pinky ) $ 10 chocolate ice cream freeze solid . nearly 2 hour lunch , concierge level room ready . 45th floor immediately surprise find & quot ; guarantee & quot ; Times Square view actually view tall building sliver Hudson River distance . Times Square view even though request month ago , tell would get ! immediately call ask room change tell hotel totally sell nothing could . second attempt person fail also . promise robe slipper party , get one robe slipper , even ask housekeeping send robe . housekeeping leave garbage room day never replace coffee cup sugar / creamer . one shower towel bathroom arrive , bring ask . daily complimentary newspaper non - existent . charge $ 100 so - call & quot ; complimentary & quot ; wireless internet take bill present print contract management . pool joke . one tiny lane open hotel guest water must freeze . cold could not stand go minute , even though wait 20 minute & quot ; turn & quot ; . also idea $ 4 swim cap surcharge per person , go back room scrounge EXACT change . list go .... excited go hotel base website . WARNED- hotel promise . not great location , nice concierge lounge , hotel would much go . next time stay NYC , definitely try different hotel . 
 Apr 18 2009 	 Top Location 	 check room comfort service could not fault anything . great location within Midtown , Times Square go doorstep , easy walk distance Central Park shopping area . would certainly recommend anyone , can not comment room cost Priority Club Reward break . room spacious bathroom / shower facility good . 1st time visitor make sure take Gray Line Tour bus trip . first day stay entire trip unless guide uninteresting . hop get next bus . 2nd day get every stop half hour walk neighbourhood , way get feel city . route obviously change time time location miss last trip . sun , head park , see movie tv show , overflow entertainer character . place see dog dress shoe ! ! Liberty Island impressive , not make Ellis trip , head ferry early . Similar Empire State building , less queue night , make sure foggy though , could not see building across street never mind mile away . whatever , get , take good shoe cut party wear , will tired head night often . 
 Apr 18 2009 	 good location - Friendly Staff - 3 * room 	 go extra - mile , ... ask . Valet parking staff rude , other friendly . I expect care detail room furniture , especially bathroom . go back supplier show neglect many detail renovate room . great view times square . would definitely stay . 
 Apr 15 2009 	 Nice hotel ... need well attention detail 	 stay four night vacation . room nice , small , great view . bed comfortable , flat - screen tv room . great location Broadway . unfortunately , issue stay . arrive late , around 1 am , enter room , find use clean , change room . during stay , various item towel bath mat replace , end bath mat one towel , even call front desk . request razor shaving foam take day several phone call , finally attempt arrange late check take endless phone call buck pass arrange . I would stay hotel , especially rate pay , hotel management need look detail area ! ! 
 Apr 14 2009 	 could afford would always stay hotel NYC ! 	 LOVE hotel ! ' ve stay many hotel NYC & amp ; one far favorite ! travel NYC several time year w / my kid ( last year , 4 time ! ) & amp ; could afford would always stay ! staff check - in FABULOUS , nice ! public area clean & amp ; mighty nice . accommodation AWESOME ! love room ! bed comfy . renovate last year . everything clean . 1 tiny complaint water pressure shower strong would like rinse shampoo long hair . location good Times Square . hotel right Broadway 48th & amp ; 49th street . safe walk night . Duane Reade drug store 50th & amp ; Broadway , great beverage & amp ; snack ( want save little $ ) . Food Emporeum ( grocery store ) @ 49th Street & amp ; 8th Ave . ( 1 block away ) awesome baked good & amp ; hot food ready eat sell weight . Mama Sbarros right across street . large selection pizza & amp ; hot & amp ; cold buffet sell weight along different italian dish buy . be another good way make dollar go far . subway block away . plan use subway bus alot get unlimited metro card week , moment cost $ 25 . & amp ; ride subway bus much want ( be per person card ) . be read want say SPECIAL THANK Edith & amp ; Teresa Crowne Plaza , kind & amp ; treat well ! 
 Apr 12 2009 	 Fantastic Hotel 	 would highly recommend luxury hotel everyone visit New York , location right heart Times Square fantastic . we stay 7 night fantastic time . room excellent good size also nice touch room . I would highly recommend Brasserie 1605 , breakfast every day excellent . the hotel exceptionally clean , well maintain quiet . 
 Apr 11 2009 	 good enough book Hotwire ... 	 go NYC Friday join partner , NYC week work . stay Friday night Renaissance New York Hotel Times Square Saturday night Crowne Plaza . partner 's work not pay Saturday night Renaissance , hence book Crowne Plaza Hotwire $ 179 , feel really good price NYC . say Renaissance super chic , beautiful , quiet , extremely professional . Crowne Plaza , however , not chic . nice , not ambiance Renaissance . Crowne Plaza lobby also madhouse rude Europeans . must say though staff Crowne Plaza competent friendly , although quite polished staff Renaissance . room considerably less enticing Crowne Plaza constant noise hall . , however , much reflection hotel , rather clientel . say , aslo one pay $ 179 night Hotwire . I get pay . sense , nothing really complain . 
 Apr 8 2009 	 Great Hotel NYC 	 stay Crown April 3 - 5 , 2009 mother 2 child age 6 10 . expect much stay several NYC hotel know usually . pleasantly surprise Crown way one . first price ; receive rate $ 240 per night use Entertainment Card discount . $ 150 regular room rate . stay anywhere decent NYC price . location hotel great . Times Square wonderful child feel like middle action . hotel totally renovate recently . beautiful clean . room largest see NYC decorate nicely . large bathroom tub shower combo , 2 double bed , flat screen tv . bed comfortable bed sleep . 36th floor hotel surprise quiet . thought would hear noises street not hear anything . complaint really not big deal would give we roll away bed 10 year old . say due fire regulation could give we one . opinion plenty room roll away bed , end big deal . sleep well enjoy visit hotel . good part hotel offer parking directly site . garage feel safe not price either like parking NYC . definelty go back recommend hotel anyone . 
 Apr 8 2009 	 WOW - super hotel ! ! 	 stay Crowne Plaza Times Square Mar 25th 29th , location amazing footstep Broadway , Times Square , Port Auth etc . hotel beautiful , fantastic & amp ; helpful staff , ask staff many occasion recommend place eat , visit & amp ; drink place fantastic ( would highly advise eat Carmine 's Italian warn portion HUGE ! ! ) room great & amp ; clean . can not imagine stay anywhere else Manhattan ever . thank great break x 
 Apr 3 2009 	 Slept divinely ! 	 first note caution , main entrance hotel Broadway entry Broadway understate . walk subway look awning ! miss entrance . problem , obviously fault not see , expect major entrance Broadway . spend one night , purchase Priceline . * great * value . sleep well , location ideal enjoy downtime tourist center NYC . decor room would consider standard NYC modern contemporary -- clean line , soft color , minamilist . great comfy bed , good shower & amp ; towel . notice checkout provide room coffee pot , tuck away sight . there nice lounge overlook Broadway , be large tasteful trendy . run Whiskey Wednesday special , get take chance enjoy , give fun atmosphere lobby . take breakfast 1605 Brassierie . nice menu , stick egg toast . nothing special , want . overprice , course , look convenience . think entire breakfast order ( egg , juice , coffee ) $ 30.internet $ 20 / day . 
 Mar 29 2009 	 Excellent Service Around 	 choose hotel bday trip/ stay Mom 's birthday trip NYC first time . stay NYC , know Times Square exciting convenient place see ( night day ) . March 25 , 2009 , finally arrive Crown Plaza Times Square disappoint special treatment receive step cab front door . location great . Times Square step outside , Hershey be right next door Broadway right . staff hotel nice . Robert ( front desk staffer ) unbelievable sweet hotel floor request . send we way 40th floor mom could see even hotel room . room beautiful clean . safety great ! go one night come really late . hotel staff make sure check room key get aboard elevator escort we room due fact female . LOL . would definently recommend hotel anyone ask . downside hotel refrigerator plan bring food back , not put ice bathroom sink . Anthony restaurant bar sweet mom aunt sit hour relax drinking coffee restaurant . one make feel like need spend sit somewhere . 
 Mar 24 2009 	 refurbish fabulous 	 partner stay two night promotional rate $ 149 per night . get great corner room 43rd floor window view wrap around Broadway Times Square . room bathroom renovate mod - chic style , bed lush comfortable . literally step away Times Square close several major subway station , great value . drawback extra fee charge wireless internet connection use gym / pool ( actually NYC Sports Club 15th floor ) . 
 Mar 23 2009 	 Perfect location great hotel . 	 spend weekend NYC husband sister - in - law brother - in - law . stay busy Crowne Plaza Times Square 49th & amp ; Broadway . ideal location . clean , big , open lobby lot comfortable seating . bar overlook Broadway ( though not get chance enjoy ... tired come back hotel evening nightcap ) . room quite spacious quiet . bathroom shower / toilet separate sink / vanity - nice feature . room right corner Broadway 49th Street great view big window , yet surprisingly quiet night . 
 Mar 15 2009 	 watch front desk 	 sure bring print copy booking stay hotel . book Crowne Room online ( directly Crowne Plaza ) say booking & quot ; NEWLY renovate high FLR room locate 41 43 floor & quot ; , check - in guy desk deny book Crowne Room ! try give we corner room 22nd floor , claim book corner room . bit argue give we room floor 42 . room nice great view NYC complaint front desk issue . 
 Mar 15 2009 	 Perfect room - Great lounge - return 	 wonderful hotel , nice corner room 46th floor . nice lounge , however dinner reservation night like Daniel per Se never avail lounge ( although seriously - nice anything overseas - standard US hotel executive floor lounge ) .room nice , clean - staff friendly , professional . hotel perfect either business leisure ( ' ve do ) . love place - 's great deal ( room $ 300 ) . nice W , IC , Hilton ( ) , etc ... Desk Internet access great get work do ( desk large enough work ( real consideration NYC ) ) . room nice enough enjoy spend moment - overall - love it . we enjoy will go back.1 . wish large tub addition shower.2 . love shower - wife point could turn without get wet ( awkaward placement faucet handle ) .3 . hotel main entrance side street - difficult get car ( even dial 7 limo 's confused ) . 
 Mar 13 2009 	 Great Hotel brilliant loaction top service 	 return 4 night stay crowne plaza good time . the room spotless bed really comfy . service recieve second none reception staff arrange king size , newly renovate room view Hudson River complementory breakfast morning birthday . I would highly recommend use concierge much possible stay . advise good restaurant eat , one Ruby Foo 's ( chinese ) directly across hotel whilst talk waiter give we 50 % voucher Phantom Opera ! ! be look hotel central location , great service room look forward sleep book . quite expensive book direct hotel unless use priority point shop around search engine get 4 night stay cityandshow.com £ 530 . 
 Mar 10 2009 	 great hotel couple issue 	 type trip : Business Trip / PleasureRoom Type Stayed trip : Business Room ( Executive Floor ) main thing look type trip : Quiet RoomsClean RoomWelcoming / comfortable roomgood showergood size towel Room fan / airconblack - out curtainsirone Board RoomComfortable bed , duvet , ability request feather pillowInternet Room area workenough socket plug laptop phonesfilm demand tv good size tvtoiletrie provide ability order bathrobe slippersroom servicegood breakfastextra ( Fitness room , sauna , steam room , pool ) hotel fare follow : quiet room : quiet , room high floor overlook harbour aircon fan loud enough drown anything may heard outside . clean room : VeryWelcoming / comfortable room : newly refurbish , invite . good shower : good , bath . good size towel : sadly towel size would expect , quite small . Room fan / aircon : YesBlack - out curtain : YesIroning Board Room : yescomfortable bed , duvet , ability request feather pillow : bed nice however much surprise bed sheet 100 % cotton ( 40 % polyester , 60 % cotton ) could feel . check feather pillow synthetic good . internet Room area work : wireless internet ( steep ) extra charge $ 19.50 per day . quite fast . enough socket plug laptop phone : YesFilms demand tv good size tv : large flat screen tvtoiletrie provide ability order bathrobe slipper : provide standard room . room service : YesGood breakfast : basic still nice complementary breakfast Executive lounge , great view city top floor . Extras ( Fitness room , sauna , steam room , pool ) : yes , time check out . overall : great hotel , right middle everything , comfortable . executive floor free evening drink snack free breakfast great view . slight negative smallish bath towel , would expect bath sheet hotel like executive room . also surprised sheet 100 % cotton could really feel . first time hotel happen , either mixed polyester cotton could feel 100 % cotton , never get bed think " wrong sheet " check make . either way real especially class hotel . 
 Mar 10 2009 	 great location great staff use Priority point great deal 	 first non business trip New York , hotel superb position . use ( Holiday Inn ) Priorty club point bargain , also get free upgrade 45th floor free buffet breakfast evening drink club room 46th floor . staff helpful indeed , always pleasent attentive . if new New York , Underground ( Subway ) good way travel . buy one many tour bus ticket , ok geat value . find nice Cafe , jazz bar Village call Garage right outside subway station Christopher Street 1 line . 
 Mar 8 2009 	 could not well 	 check - in great . ask quiet location get corner 24th floor . everything spotless tastefully decorate . we eat Thai restaurant 49th fantastic . Pongl .... forget spelling tell front desk . breakfast great , pricey . 2 block theatre . coffee dessert Roxy Deli Bway . yum ! ! great location theatre . 
 Mar 5 2009 	 Great Location even Better Hotel 	 hotel great . recently redo . lobby room immaculate . service great . 3 night wife enjoy stay . bed comfortable . location middle , Times Square . definately recommend ! ! 
 Mar 2 2009 	 recently Renovated Hotel Edge Times Square 	 recent stay hotel could well . hotel edge Times Square completely renovate last year . everything new high quality . staff courteous helpful security evident checking elevator evening make sure room key card . able walk choose restaurant , show attraction . hotel could somewhat costly normally , rate reasonable would not hesitate stay . 
 Mar 2 2009 	 Quality location 	 book Crowne Plaza last weekend February . room 21st floor clean spacious view south Times Square west Hudson River . staff friendly everything describe . ( check , jokingly point advertisement Crowne Plaza room outside wall Broadway say not far ! ) complaint $ 19.50 charge internet access . Sorry be outrageous . now great time visit New York City . 
