check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Sep 1 2008 	 wonderful ! 	 husband stay hotel Labor Day Weekend , happy accomodation , even though bathroom tiny ! room clean , staff friendly , helpful , really seem happy . not spend alot time hotel eat review part accomodation . little noisy , seriously heart huge city , something can not help . one thing add , 8 hour leave hotel husband discover leave brand new laptop room . needless say upset . call back clift put line security office . nice , assure computer hand would ship home ASAP . amazed honesty believe Clift proud staff ! 
 Aug 28 2008 	 hicup 	 upon arrival 8 pm confirm type room available . lady receiption promisse move we next day around noon . 1 pm promisse room & quot ; ready & quot ; , 2 pm & quot ; mini bar check switch room & quot ; 2:30pm & quot ; sorry , room give guest mistake & quot ; . 3:00 pm : & quot ; move 30 minute & quot ; . 4:00pm : & quot ; move every second & quot ; . 4:30 pm & quot ; Ooops & quot ; . finally 5 pm receive much big room originally book : super huge suite ! service - like left hand know right hand : laundry pick cleaning service , return laundry day , give new laundry bag . big deal would not charge 35 buck miss laundry upon departure . mini bar : arrive , everything great . drink bottle wine first night , remove use wine glass next morning , never give new glass . bar area : bar really nice fun fully pack young local people weekend . seat & quot ; reserved & quot ; , way reserve seat advance ( even hotel guest ) , unless order bottle vodka well 140 USD.They offer seat lobby , windy , stormy . whenever someone open main door hotel tremendous wind blow right lobby . besides little hicup , clift fancy nicely design hotel reasonable price . room clean , design Starck Schrager staff try helpful . want well service may want choose Ritz Carlton Mandarin Oriental , pay 50 % more . not recommend family : restaurant kid menu ! try get room back : street front hotel noisy ! ! ! 
 Aug 26 2008 	 eccentric ... 	 eccentric hotel . expect picture , feel within hotel give different spin . would recommend place young people ready party ... PROS : - great location , 2 block Union Square- Hip / trendy lobby lounge- friendly welcoming staff- adequate room ( jr . studio ) con : - thin wall ; could hear ( smell ) go hallway , include giggle girl hang smoking hallway night out- cleanliness could improve . bathroom break fixture ( toilet paper fall stand ) black mark white wall floors- small bathroom ( feel loud public toilet ) - cheap furniture . decor look sleek afar , close , look cheap uncomfortable top ( especially bed ) . be look luxury comfort , you.- dark ambience . feel lounge one thing , green / red / purple color elevator make difficult adjustment eye transition light outside- quality food . Asia de Cuba average place eat . NY SF menu offer , execution SF , make average experience . order straight menu change , still 2 order incorrect ( chicken lieu short rib , donut instead carrot cake ? ) . one plate completely burn item . thing restaurant offer NY location restaurant atmosphere . vibe much hipper , music pipe Redwood Room pretty good ... 
 Aug 23 2008 	 love Clift 	 get back trip San Fran stay Clift . never write review hotel , fantastic stay Clift feel share . wonderful hotel . staff bend backwards assist everything ! never open door . request something send room , arrive quickly . quiet , roomy , clean sheet bed well sleep . great place ! reasonably price city . 
 Aug 20 2008 	 lot room improvement Clift ... 	 friend stay Clift hotel early August 2008 4 night , quite disappointed give cost hotel . upon arrival , repeat confusion resrevation inform Clift honor room information Expedia ( make we wonder accept reservation Expedia first place ) room debacle settle , switch room second day keep night baby neighboring room paper thin wall provide buffer . hotel focussed & quot ; scene & quot ; San Francisco , unfortunately come cost service customer . upon enter hotel Friday night , doorman ask hotel guest go bar , answer hotel guest , step aside let we open door ... service expect $ 350 / night hotel . overall , price , would certainly suggest far well deal San Francisco ... wall thin , room furnishing chic appear cheap , service so - so , overall , hotel lot work get international high standard . the Asia de Cuba restaurant outstanding . 
 Aug 18 2008 	 Hip Atmosphere Old Building 	 although Clift Hotel recently undergo renovation include new carpeting paint , builide rather old . room clean , staff polite , location central price fairly reasonable downtown San Francisco . , enjoy stay , would not give hotel 3 3.5 star rating . one unique thing hallway ample wide , believe contribute negatively bathroom -- quite tiny . one thing note restaurant & amp ; bar hotel attract hip , urban crowd almost every night week weekend . cause hotel become bit noisy , particularly stay first floor . upside , food restaurant good & amp ; bar fun atmosphere , look little excitement , find right lobby ! 
 Jul 31 2008 	 pleasantly surprised 	 get great rate Hotwire stay clift 3 night . staff friendly always smile . wife travel 2 year old toddler feel comfortable room . room size small four star hotel also bathroom . everything clean housekeeping courteous helpful . ipod dock room nice touch leave charger back home . not expect much room . king size bed , comfortable sheet comforter . table room little small , television seem like buy surplus shop back early 90 dvd player appreciate . ( movie rental available 12 buck night would make sense buy dvd disc Borders Virgin block away . ) also serious lack storage space room . bathroom tight . mean real tight . Noise street real bad . drawback city , guess . overall , enjoy stay Clift would stay give competitive rate . location perfect weekend lounge shopping . 
 Jul 22 2008 	 bad hotel experience memory 	 upon checking , room ( 610 ) smell strongly cigarette smoke fiancee allergic reaction sleep night . speak John , manager duty , could fix problem - accord , hotel completely sell , might able move another room next day . bathroom tiny , room - far expectation hotel price point . also , bathroom poorly maintained - caulk around tile loose moldy , shower head intense could take shower without extreme discomfort pressure water . furthermore , iPod dock function . the follow morning , request receive large room ( 1225 ) . room large , standard . smell stale cigarette smoke , horribly previous room . cigarette burn carpet , even though room non smoking . feel room smell like smoke , settle room . after 1225 one night , receive notice check day door , even though due check next day . return front desk resolve problem . during stay , wait staff restaurant extremely inattentive aloof . service receive bad restaurant service ever receive . overall , staff pleasant , though friendly , remember we , welcome . fiancee stay ever clift , would advise . 
 Jul 21 2008 	 's company . 	 stay business . lobby incredibly comfortable , stark contrast room , coldly minimalist . , know 's cliche , wall truly paper thin . could clearly hear guy next door talk phone - almost word - for - word . Asia de Cuba 's ( restaurant ) price almost cause seizure . , positive note , front desk staff gracious helpful even though stress sell 4 day straight . , location good . 
 Jul 20 2008 	 Funky quiet great location 	 book TravelZoo get super deal three night , half price regular rate ! aware poor staff review , pleasantly surprised ; everyone extremely helpful friendly , always ready smile greeting . dress match decor feel – runner jean . surprised mix guest – Europeans , family , business traveler yuppie - stylin ' urbanite . I surprise size room , visit teeny tiny room Hudson ! nicely do , quiet , comfy linen pillow great light block drape . picky - carpet stain , tv small ( rarely ) , breakfast buffet weak ' voucher would feel quite rip ! overall really enjoy funky lobby , different seating area , location great ( block trolleys BART ) , service great price right ! would absolutely stay next time . 
 Jul 16 2008 	 lose reservation / staff apologetic 	 's case hotel think cool worry customer service . book two night stay specifically could come redeye ( Japan ) check room early . th often , know travel agency ( AmEx ) good make sure work . get front desk , informed deemed & quot ; no - show & quot ; first night . charge full room rate . tell reservation therefore cancel sell second night .... wow , major surprise . course , can not believe hearingaft conversation , come manager , say , actually , room night , rate 60 % high reservation . actually , straight face , indicate happy accommodate high rate . * choke * * gag * imagine outrageous thing . resold room , want charge high rate . here be & quot ; happy & quot ; end . AmEx get line hotel - good - record conversation AmEx specifically notify would arrive early morning . course , honor room rate . what be bad part ? even & quot ; ' m sorry & quot ; manager . got free breakfast one front desk staff . 
 Jul 15 2008 	 Hip Fun Great Service 	 stay clift five night , recommend hotel look hip , sometimes loud , fun place stay San Francisco . hotel block Union Square . I liken clift high - end W hotel . cool decor , young staff eager help ( much Ws stay ) , great food drink , terrific night scene Rosewood Room ( bar / ultra lounge ) .I strongly recommend suite . standard room small one person room . would classify Clift excellent value , stay again . all employee , especially concierge , good make party happy . complaint service . spend two night Rosewood Room . lounge par Vegas ultra lounge . 
 Jul 14 2008 	 Clift Hotel -- Roach Hotel ? ? 	 return bad hotel experience life . book hotels.com request 2 double bed suite . get , say room we , king size bed . going work 5 we . take hour try figure could we , 12 morning tired travel day . finally say grade room regular room 2 double bed . get room , frikke cockroach size thumb run around . capture trashcan put water bottle top hold . maid never clean charge we 15 water . ( maybe not see ? ? ) room ok , tv 27 inch tube tv . tiny size room , although not really tv . next morning go restaurant breakfast price ridiculous . 20 dollar waffle , 5 dollar coffee , 7 dollar Oj , 35 buffet crappy like buffet would get hotel free . waiter never get us coffee refill , even though ask 3 time . breakfast 5 people cost 200 dollar . evening , go ridiculously pretentious bar . make take bachlorette party gear & quot ; dress code & quot ; . sat get drink ask take picture . waitress basically say us guy ( visor , short t - shirt -- -- dress code ? ? ? ) take picture . waitress never come back check we ask we want drink anything . leave without leave tip . , say , compe well . downgrade , give we 200 dollar refund , 160 breakfast , free round drink evening . find cockroach , compe we 2 night parking ( 115 dollar ) . comp sort make bad stay , would never recommend anyone ever stay . 
 Jul 14 2008 	 still good place stay 	 really like hotel . stay 4 night late June , book deluxe room upgrade nice spacious studio king . yes , bathroom badly let room , overall think good choice central , mid - price , stylish hotel clubby vibe . staff exeptionally friendly . previous stay problem sound - proofing , none time . would recommend ask quiet room , either end corridor , corner . would definitely stay . 
 Jul 13 2008 	 Slick 	 clift cool hotel heart San Francisco . everything design cool include staff . People friendly helpful beware unless beautiful tree might feel completely welcome . they also like charge everything include internet access bottled water really annoy room price high . great bar really expensive good restaurant . we like would probably stay somewhere bit chill next time Haight Ashbury . 
 Jul 7 2008 	 great location subpar service amenity 	 boyfriend decide stay last minute whim holiday weekend ( 3 night ) . excite website trendy photo realize get show substance . lot attention pay incredibly modern decor much friendly service amenity . would agree staff less enthused question seem pretentious , overall , helpful . concierge definitely able suggest nice spot grab drink bite . room definitely small tv definitely tiny , expect read comment website . not mind much want comfortable bed place keep stuff explore city . pro : Location , location , location , decor like modern piece art , comortable bed , nice bath product robe , ipod dockcon : general lack light common area , small room , unenthusiastic service ( overall ) . staff seem stand around see service helpful . 
 Jul 6 2008 	 sadly bad review correct . 	 end Clift lot event go San Francisco weekend go , every else book . hate . furniture room really cheesy cheap . friend ' room suppose & quot ; upgrade & quot ; room , see room , realize room small , bed even small ( queen instead king ) . lot complain front desk finally get different room , fine , would not call upgrade . friend also get gift certificate restaurant , go use tell way could get we , completely book . little complain front desk , let we , turn would well turn we away . everything extremely expensive , thought would also extremely good , . bad , couple bite thing leave hungry . not marginal , could eat . friend sit wonder order wrong thing , everything menu bad . breakfast good though , fantastic , good . service great , whole place kind snooty cold . price Clift , would expect much , much . read bad review leave still optimistic , think could not possibly bad . extremely disappoint discover bad review right . 
 Jul 5 2008 	 great hotel everyone 	 Clift wonderful hotel , review reveal , either love hate . be take : like dress nike , cargo short , t - shirt baseball cap , will hate . book online price criterion not homework , will also hate . decor acquire taste . 's pretty & quot ; & quot ; first walk , 's point . dim lighting , furniture look Tim Burton decorate leftover set & quot ; Beetlejuice & quot ; really stress form function , crazy seat lobby really quite comfortable . experience , everyone hotel staff friendly professional , doormen bartender Redwood room . room comfortable also . bathroom small side , hotel hanging bathroom , watch tv , matter . , think one experience hotel depend totally perspective . embrace quirkiness positive attitude , love experience , atmosphere staff , walk immediately feel not expect 4 star hotel not fit , find thing complain .. people , would suggest little research next time stay somewhere else . 
 Jun 30 2008 	 Ew . Yuck . 	 would Zero Star Review option ! recommend Clift friend live SF excited see trendy photo web . friendly service check ... go downhill . bathroom small public restroom stall shower weird scalding / freeze thing . air vent bathroom mirrors window room fog condensation make room feel wet smell moldy . try open window ( help maintenance guy ) actually come wall ! shut lock keep place . stain carpet weirdly , cd nightstand WET ( yuck ! ) pick check out . I ' ve read review tv tiny , hey , SF vacation last thing want watch tv . break point staff . service apparently word familiar . snobby rude reception ( say SLOW ? ) incredibly pretentious server Redwood Room , find hard believe 4 star hotel . 
 Jun 30 2008 	 worth go back ! 	 Clift Hotel amazing ! 's somewhat hide inconspicuous ( be signage outside ) immediately feel like be avoid tacky Las Vegas - style hotel . lobby entire low level look fantastic- 's dark hip , young vibe . bar restaurant packed fun , trendy crowd every night ! service good part experience . every employee speak genuinely friendly helpful solving problem arise . ( also help woman work hotel good looking . ) concierge knowledgable recommend good restaurant ' ve U.S.My complaint furniture room . look cheap , especially small table make translucent orange plastic . admit , though , bed comfortable . overheard another guest complain size tv , rather small , watch television explore city anyway ? hotel well suit young people like socialize , think anyone would feel comfortable . child run around look place hotel 's atmosphere , even greet smile staff . it excellent stay overall . definitely return Clift Hotel whenever visit San Francisco . 
 Jun 30 2008 	 50/50 	 hotel beautiful . atmosphere EVERYWHERE — darken lair lobby , colored glass elevator , sparse sleek furnishing bedroom — ' m sure price worth . staff could super accomodating , could also flakey ( hard get New York Times San Francisco Chronicle door ? 's website ammentity , 9 day stay , happen ( ask .... ) ) staff could also snobbish . seem expect tip minimal work . oh , room service DELICIOUS 's pricey . entree $ 20 starter , charge $ 3.50 bring upstairs , 15 % gratutity 5 % fun . continental breakfast two ? will $ 65 . everything area absurdly overprice ( walk two block Tenderloin , price become absurdly reasonable . Dottie 's Cafe amazing , little vietnamese place ) .And room fabulous . linen perfect , view wonderful location incredible . walk Chinatown , walk Mission , take Market Street bus everywhere . oh , iPod dock clutch . all , guess trade . 
 Jun 26 2008 	 fabulous ! 	 fab time Clift . room good size king bed seperate dressing room / desk area . bed comfortable decor modern contemporary . yes bathroom small much time go spend bathroom ! bar lovely great atmosphere make sure reserve table . watch portrait wall ! overall great stay 
 Jun 23 2008 	 really like ! ! ! 	 reservation hotel review beforehand decide go ahead stay part Honeymoon . we take unusual step contact hotel book ask information regard room . Assistant Manager Jenny Chmieleski contact could helpful . and stay hotel help Jenny give we . many thank Jenny , really reassure we fabulous hotel . we get upgrade one level honeymoon bonus get upgrade arrive also Junior Suite . Aaron bellboy really helpful help we settle willing give advice . during stay , find conceirge desk also happy help , special mention Jessica ( think ) Ron . the hotel decor really different anything ever stay love it . although add understand would like taste . our room nice size decorate really nicely . the famous tv 's small assured process replace LCD's . but fine honest did'nt come way watch tv.the hotel great location . the downside make phone call home Dublin , Ireland room . the call last around 10mins landline . it cost $ 65 ... ! ! ! ! ! ! know ring room usually cost alot phone booth quiet excessive . we get phone card $ 10 make call last 70mins . also internet charge quiet expensive compare hotel stay . overall really enjoy stay Clift San Francisco . we back would stay hotel , without question . 
 Jun 20 2008 	 dress old tart midnight make wear 	 stay hotel 3 night may 2008 Hotel lobby beautiful , full attractive staff look lke audition role upcomme hip soap , ask something assist do not seem script . location fairly central .room spruce old hotel refurb do cheaply . room 15 year old small tv , faulty keep turn every 15 minslock mechanism door faulty mean every time return room go front desk get new keycard , offer free drink inconvienance reform alcoholic , offend try bribe drink . wireless internet drop every 30 min bathroom least 30 year old fluff designer piece use disguise fact.raise issue checkout credit internet fee front desk clerk , seem aware issue raise , I m sure regular occurence . basically overprice hotel attitute old tart think put bit make hide fact Michael Melbourne Australia 
 Jun 11 2008 	 bad hotel experience . ever . 	 Hotel come highly recommend huge disappointment . pretentious , uninterested staff , terrible food , terrible room . bad hotel stay ever . raise question problem completely uninterested resolving . beware well , conduct wedding reception hotel noise bad feel like stay boom nightclub . really expect price ! also attend wedding treat like second rate guest give bad room service . colleague 15 hour flight give room next service elevator ( find 5 am bang every 30 second ) . rang reception tell explain book . point obviously explain check would refuse room . tell could change room . ask hotel actively engage policy put guest room complain refute . one many problem encounter … . many go detail . stay . 
 Jun 10 2008 	 Disappointing watch final bill 	 ' ve stay quite Morgan group hotel whilst start look bit date ( give price ) ' ve return generally atmosphere make . would not return clift ; Redwood Bar fun concierge / front door staff good 's . bathroom smallest ever see ( loft suite ) - price hotel offer ( flat screen tv , ineffective air con ) . really irritated check credit card charge additional US $ 185 late checkout without notification ( use express checkout service leave room 11.00am ) . e mail hotel twice - response finally phone obtain refund - make immediately apology explanation . 
 Jun 1 2008 	 Amazing 	 Clift Hotel amazing experience . decide visit San Francisco Union Square fare Clift hotel one block away Union Square . say like hotel 's lobby decoration . the service good outstanding . the food great ambiance bar red carpet event . finally , room bit small well decorate clean . 
 May 27 2008 	 pretentious pretentious pretentious ... 	 stay night friend wedding . hotel staff rude act like bunch premadona . everyone assoctate place think know not stink . would highly reccommend hotel call & quot ; Phoenix & quot ; place . least get good service confortable experience . please take advice ... stay away Clift Hotel . unless travel nightmare . 
 Apr 30 2008 	 great place stay San Fran 	 have infamous Red Wood Room bar Clift Hotel number time past visit always think would nice stay - finally get chance last week ! pretty cool ! do not realise part Morgan Group get find , do not surprise stay one well know hotel London call Sanderson Hotel , also pretty cool . clift remind style W Hotel dark , opulent , contenporary funky - room small sexy large mirror , drape minimalist design . gym hotel pretty limited job . spa Jacuzzi either . know ? stay CLift - do not care , really cool place stay slap bang middle town , walk distance good shop town Union Square good place go ( Slide Vessel two spring mind ) . willing pay little get slightly special treatment - would say great place stay ! 20 people UK Web Mission tour meet mover shaker Valley glad decide place stay instead heart Valley . " 
 Apr 28 2008 	 Complete Disappointment 	 hotel complete disappointment . lobby give luxurious vibe Redwood Room cool ( fancy expensive drink ) . however , stay hotel disaster . gray , threadbare carpet stain red spot multiple place , cheap ikea furniture fall apart , bathroom way small . however , thing would tolerable able sleep . next door neighbor partie night , despite call security , nothing do . sleep maybe one hour night . either hotel need invest sound proof , need revise party policy . San Francisco amazing town still great trip , revisit hotel , ever . 
 Apr 28 2008 	 bad hotel experience ever ! 	 stay number Shraeger property around world , really bad . lobby quintessentially Shraeger - dark overall bad . assume dark lobby essentially mask dirt everywhere else . room get suppose suite - really like large room miniscule bathroom . the room quite simply , dirty . room dirty - use condom bed use plaster toilet . carpet dirty wear . one simply expect sort dirt supposedly good hotel . the furniture ikea . hotel supposedly sell design , look like poster - child furnish room ikea poor taste . the bathroom tiny , stain cheap fixture rusty rail . shampoo etc bathroom FUSED shut could use . luckily personal toilletrie . thing irk water room . good hotel least complimentary water , water minibar . stay recently Clift KNOW provide complimentary water arrival - time round water . water minibar either . call room service get charge $ 15 bottle water cost $ 1.50 anywhere else . DAYLIGHT ROBBERY get hotel late , tired . tell front desk next day get nonchalant haughty reply front desk - claim never provide complimentary water room apologise fact water minibar - even offer take water bill least reduce price would buy minibar . think bareface lie treatment irk most . the resident next door come back 2 morning , shout singing . call downstairs , nothing do stop drunk disorderly neighbour nuisance . lastly , front desk staff speak water RUDE . know MOndrian group & quot ; cool , snobby & quot ; attitude amount customer service . staff interested whether enough hair gel chat serve customer . stay number Shraeger property decide finally price one pay , design compensate essentially low quality , poorly - service room cheap bathroom fitting , toilletrie electronic ( e.g . not know chain still box tv - flat screen except Clift seem bunch tv 80 ) .I never give feedback - stay low quality thought would let other know . plan send journalist friend Conde Nast Times UK . clientele Clift try attract low - class drunk taste , suppose , context least , good job . 
 Apr 19 2008 	 Clift Rocks 	 colleague love Clift ! ! ! arrive San Francisco 11 1/2 hour fligth - happy check - in give good recommendation eat Dottie 's way . check - in Saturday box company deliver promptly bring room . return night ( fight jet lag ) think kind celebrity ? ? ? .... definitely imaginary red carpet . service quiet simply ROCKS . welcome candy sweet gesture . next day pleasure stay clift - concierge , housekeeping , doorman ... everyone definitely make mark . wonderful city , could really care less size tv . bathroom industrial funky problem move dry hair . table / basin thing shelf lot towel - robe wonderful . personally ' m confused comment availability drawer . , aside put thing hangar - normal live suitcase travel . time unpack everything repacke ? lolthe 9 hour differnece time zone cause hungar odd times occassionaly - minibar diverse selection ... drink expensive .... sorta like hint hint .... not stay room ... good bar city ... come ! breakfast buffet great prompt .... good colleague able eat normal pace worry wait service .... quick quick ! ! wifi bit slow - hotel pack .. maybe be ... many user ? ? ? room 3rd floor quiet . lobby always crazy night comfortable . ' m never happy bed - be always hard ! ( opinion probably not help much area ) oh ... see last paragraph ! review think target market kind hotel . young , chic , busy , image - concious ... interested redroom lounge size tv . to everyone Clift morning departure - thank caring come upstairs half hour try wake . month fly back forth across atlantic completely anemic rare blood disorder .. little exhausted willing admit . push limit ! ' m glad check make sure okay .... mean world professional . see soon ! bisous bisous ! 
 Apr 18 2008 	 Lobby nice .... hotel dump . 	 aside lobby pretty funky nice ( want draw bar crowd ) rest hotel dump . someone get bright idea take either old motel old apartment building , paint everything purple , shrink tv , stock REALLY CHEAP Ikea look furniture . ' ve stay & quot ; boutique & quot ; hotel San Fran NYC ( W ) impress expect . along everything lobby level crappy , view window consist look directly room 's fire escape . stay Park 55 around corner move Clift review read check back Park 55 first thing next morning . look retro feel dump fill 21 - 25 year old trendy peep dress black NYC ..... .... want pay much .... hotel . SAY valet doormen helpful ball ( even though look like secret service take seriously . ) want & quot ; boutique & quot ; hotel San Fran go W. Park 55 nice . 
 Apr 8 2008 	 Loved Clift 	 Trendy hotel , centrally locate Union Square area . staff extremely friendly helpful . loved furniture lobby especially tall high chair , check . buffet breakfast wonderful . complaint television room small . otherwise , definitely recommend cool , chic hotel . 
 Mar 18 2008 	 Clift Hotel great ! 	 Love Clift … stylish hotel . service always great every aspect ... doorman , clean people , front desk always friendly , room always clean , etc . 's typical touristy hotel ... specific clientèle . although find good room rate , ' expect get away cheaply . two appetizer four glass wine run around $ 120 ( plus tip ) Redwood Room dinner two Asia de Cuba easily cost $ 250 . trouble sleep like sleep forget ... wall thin . unfortunately , room 4th floor right next service elevator ( rm 431 ) could hear de elevator bell every time stop ( day night ) nearby floor . side we kid ( surprisingly ) . sleep ear plug not issue . opt stay room since not bad . room location thin wall everything else great . 
 Mar 14 2008 	 top pretentious fun 	 Philippe Starck San Fran style . ; ever one hotel , not need know much . got small room killer deal $ 165 , upgrade top ( 17th floor ) 40 throw 4 drink coupon Redwood Room , arguably SF 's cool lounge . drink $ 14 . restaurant simply expensive , give SF good reasonable restaurant . elevator favorite part , one green , one red one blue glass . location fantastic , bell staff accomodate . 
 Mar 4 2008 	 Great Hotel FANTASTIC 	 say stylish quiet nice . loved proximity Union Square , Biscuit Blues , dance comedy club . bathroom pretty funny , tiny , go figure , need one time anyways . bar downstair full action . valet bit pricey side $ 50 day , site do not tell consider informed . 
 Feb 17 2008 	 stay bar 	 hotel cool . design fantastic . lobby library next fun hang people watch . ask quiet room get large room quiet ... city sound . however ... bathroom hotel joke . small wife could not blow dry hair without elbow hit door wall . seriously ... small . tv something could buy 49 dollar Big Lots . bed linen good compare great bed place like San Ysidro ranch Santa Barbara Meadowood resort Napa . reason stay bar ... redwood bar . 's good bar ' ve ever ... could live . restaurant also beautiful food good . need great bathroom flat screen tv hotel ... love great design like hang bar ... good hotel San Francisco . 
 Feb 12 2008 	 stylish practical 	 stylish hip hotel , lobby reason remind movie eye wide shut , kind dark wierd clientele old man mostly . uniquely decorate trendy , may everyone . room nice modern comfortable / functional . many drawer bedside table desk , chair comfortable either . bathroom , appear nice due modern decor mirror also prove functional . every shower , condensation build mirror drip floor cause wet puddle could easily hurt ! would probably stay clift innovative design / decor bathroom big problem . 
 Feb 10 2008 	 expect . . . 	 stay Clift business trip San Francisco along several colleague . hotel much different ' ve stay past . lobby quite unique decor akin East meet West ( seem ) . furniture lobby uncomfortable probably show sit . decor include grossly oversized chair dub & quot ; Paul Bunyan & quot ; chair . other point review , lobby bar quite hot spot . Friday night stay , pack people line street wait get . hotel dimly light throughout . lobby , restaurant , common area , elevator , guest room low lighting . nearly impossible read anything lobby due lighting . bed room comfortable , room small tiny closet bathroom . drawer live suitcase . two small plastic cube closet may intend substitute drawer . also , absolutely storage counter space bathroom . tv tiny ; not remember brand , one small one get Sam 's Costco $ 100 - $ 150 . amazed hotel charge $ 14.95 day internet access . many hotel provide free charge day . I stay hotel . pricey lack amenity , far trendy . 
 Jan 28 2008 	 kind weird place 	 81 year old father law recommend property ... believe ! wonder really stay drink bar area . everything lobby , bar , restaurant area top notch . really beautiful . kind clubby dark wood color . warm fireplace lobby area . really beautiful . doorman check staff polite efficient . excite see room . WOW ! disappointment ! really small decorate sleigh bed , comfortable . bedding , etc . furnishing kind like ikea blow sale . husband decide must spend money lobby common area run time come outfit room . bedside table bright orange lucite scratch . burn hole carpet . desk cheap thing leg paint orange . small armoire hold small tv . room color purple . purple orange color scheme . husband say bathroom resemble men room airport . odd level hotel . Marbel wall stain dingy . bath tub small dry paint bottom . toiltrie nice tacky . look window find foil wrapper condom lie outside window lot cigarette butts . room 227 room look sort roof top must action happen not look ! tea candle bedside mirror surround bed . location hotel wonderful Union Square . starbuck across street get coffee rather pay 22.00 coffee room service . room coffee ice really anything . weird nice outside could ugly inside ..... like people guess . really miss mark spruce room bit top notch facility . could one little work ! 
 Jan 25 2008 	 Jump clift 	 recently family travel San Francisco attend family function Silicon Valley . since area long weekend , decide spend first 2 night San Francisco . previously stay Fairmont Westin St. Francis , decide give Clift try due promotion offer American Express . unfortunately experience anticipate . first , clift 2 block Union Square , neighborhood want walk night . San Francisco matter , major city west coast large homeless population , matter evident around Clift . seem night could walk couple foot without bump homeless person beg money . fact appear people quite agressive . hotel obviously time old apartment building hotel renovate . lobby area unique clearly hotel bar night spot single crowd . unfortunately , light terrible . problem persist throughout hotel elevator room . room call loft suite , use word & quot ; suite & quot ; loosely . really nothing oversized room microsize bathroom . little lighting television small , almost need microscope see . moreover , would expect hotel purport reputation Clift would luxurious . would hardly classify luxury hotel class Fairmont . staff efficient , certainly friendly . wait much long obtain car drop due fact staff busy handle car patron bar , obviously important part financial operation . $ 50.00 per night park car , expect priority service . additionally , much staff wear earphone dress like secret service stand around stare everyone . sure people prop effort create chic environment scare anyone walk door may go room bar . , would stay Clift . many desirable hotel San Francisco much well neighborhood location . side note , hotel breakfast great since come room package , without package would pricey . however , street Union Square restaurant call Sears . San Francisco institution would highly recommend breakfast . 
 Jan 17 2008 	 typical 4 - Star Nice ! 	 wife fly San Francisco celebrate 2 year anniversary name price Union Square 4 Star Hotel use priceline . excited see save 1/2 compare usual price room Clift . log onto tripadvisor read review place stay . disappointment , many people give Clift negative review . look photo read review know expect Clift arrive . upon arrival , enter lobby , yes , many people may consider lobby area & quot ; odd & quot ; , like rest hotel , unique charm . people behind desk nice bed cozy . yes , room bathroom little small , everything clean , even provide candles match room provide romantic ambiance . I guess try say clift typical 4 - star hotel , yet hold charm friendly staff , unique decorating , provide bedside candle . book room clift , think helps read review look photo know expect Clift arrival . overall , wife positive experience Clift great trip San Francisco ! 
 Jan 4 2008 	 horrible management 	 immediately disappoint moment go room . call speak polite front desk agent room . explain walls paper - thin ( could hear normal conversation next door clearly , word - for - word ) room , small $ 245 spend night . he tell have management call . speak desk manager , Ben , incredibly rude . accomodate say not much could not happy . though agent helpful apologetic , Ben nothing useless . clearly , tell interested guest make money . unfortunately , return due attitude lack effort . otherwise , think could really good vacation . never see manager lack responsibility disregard . would love see go problem another hotel vacation ! 
 Jan 2 2008 	 Hip Hopeless 	 husband stay Clift weekend Christmas . originally think Clift weekend away child , would enjoy stay & quot ; hip & quot ; hotel , drink Redwood enjoy hotel 's proximity everything downtown . -- reality : first room wall thin could hear lilterally every word neighbor ( therefore could also hear ) . give tip good room 17th floor . ask move floor feel lucky room available , room 's issue , right next elevator shaft . night long hear whooshing elevator go . onto third room next morning . luckily finally take care we put we suite , little late . half weekend spend way much time try resolve room issue . next time will right way stay Mandarin Four Seasons . much per night , will hassle - free . 
 Dec 31 2007 	 stylish overrate 	 Arriving Clift Friday evening feel like fight way pretentious crowd local ' wannabe ' congregate hotel ' lobby bar . make reception desk , check efficient . room : standard room book small european standard . bed large comfortable ; bed linen clean show age ( stain wear hole ) however change first request . bathroom likewise small . fact , shave quite difficult restricted space . bathroom fitting date stained expect see tired - look bath - curtain hotel claim reputation style . dine Asia de Cuba restaurant . service attentive helpful , set restaurant stylish food leave we little under - whelm – quality presentation meet quality surrounding . Redwood Room : stylish interior time – noisy crowded service aloof . bar staff need remind rudeness arrogance necessarily equal style elegance . overall , location good Philippe Stark give interior refreshing innovation . seem hotel enjoy aspire local see rather hotel guest . 
 Dec 28 2007 	 Stylish Fun 	 stay often business . convenient Union Square ( 2 block walk ) . old hotel great face lift probably 5 year ago . room really spacious comfortable -- color scheme quite relaxing . ' ve room big bathroom tiny depend . hear creek hallway - , old hotel , add charm . staff super friendly - something ' m always impressed find ' trendy boutique hotels' . the bar - Redwood Room - quite scene always pack night . guest , get priority seat , nice ! restaurant Asia de Cuba -- excellent asian food . course bit pricey -- especially breakfast ( true many hotel ! ) . 
 Dec 26 2007 	 like clift 	 awful hotel amenity horrible . room small poorly equip . Orange lucite nite stand place put away clothe . tv 's dark age channel . hotel one stay away . good thing location Geary Street close everything . not bother hotel area price cheap hotel . 
