Great 	 husband two teenager stay Hilton Islington November 20 - 26 . arrive hotel 10:00 a.m. room not ready 1:00 p.m. hotel staff everything possible make we feel comfortable . reserve double room husband twin room kid . son come Swansea stay twin room kid not crowded . room clean plenty room get around . question every day concierge helpful . 
 Jul 15 2008 	 fantastic service attentive staff ! 	 recently stay Hilton Islington must say really impressed hotel generally . firstly , location good - central London easier enough get around close Angel tube station . the room spotlessly clean spacious consider two adult one child - one double bed single . the window lock could open , would like warm weekend , air conditioning work well - however , would still nice get fresh air room . tea coffee make facility mini bar fridge - would nice . the negative thing stay breakfast . stay numerous Hilton hotel always impress ' Hilton Breakfast ' - one disappointing . selection limit fully stock , bad hot selection consist baked bean , mushroom , pale undercooked potato , scramble egg , pale insipid look greasy fry egg , bad sausage ever taste ( pale , undercooked overpowering herb ingredient ) bacon pale undercooke fatty - difficult serve stick together clump . item look though ' boil ' could do proper grilling make look browner appetising . the good thing stay staff - staff without exception polite , obliging , smile could not enough - special mention housekeeper excellent job smiley , cheerful attitude . overall pleased would certainly return . 
 Jul 15 2008 	 great London Hilton 	 ' ve stay many Hiltons London say one good . upgrade suite large comfortable . everything clean overall room excellent , face courtyard area traffic noise . as say 's great location pub restaurant convenient Central London . breakfast buffet style . huge selection everything freshly cook . 
 Jul 7 2008 	 much expect ! love ! 	 trip UK us London twice . stayed stay another London Hilton expect large room great service . front desk remember we check ; concierge extremely helpful find small pub recommend ; buffet breakfast include rate extensive large room blow we away . mean , London ! also enjoy area much . step outside hotel midst vibrant street scene : outdoor cafe , open air market short block tube ( Angel station- last stop zone 1 ) N1 ' mall ' . find new home away home London . 
 Jun 19 2008 	 functional convenient 	 say ' m fan personality - free corporate hotel chain . say , book lastminute.com 's ' Secret Hotels ' ( & quot ; 4 * Islington & quot ; ) need somewhere part town not want hassle . hotel job perfectly - hassle , quick service , friendly staff . room good size , comfy bed . chain like , extras expensive , not bother - ' m amazed people still put hotel charge WiFi access . , summary , good location , trouble - free stay , comfortable , good value get deal - beware extra cost want breakfast internet access . ( breakfast , head across street & amp ; cafe Essex Road - excellent sausage ! ) 
 Jun 16 2008 	 fantastic hotel great location ! 	 book hotel lastminute.com get £ 157 2 night top secret hotel really please see hilton . have never stay Hilton be not sure expect brilliant . front desk lady really nice book us room problem . two room party book sepreatly make sure room next fuss . room really good size London load room do not feel cramp . big plazma screen fantasic bed really comfortable large ! Tea Coffee stuff nice even get herbal tea nice touch . bathroom large Crabtree Evelyn toiletre replace every day unusal great ! unit room bathroom look date photo real life really smart . the location fantastic 5 min walk max straight road Angel tube station ( 1 stop king cross , really quick get central london ) really easy find . islington like mini town Boots , Sainsburys , Monsoon , Waterstones etc 3 min walk away . really nice pub restaurant 2 min walk hotel , Cafe Uno really nice ! do not need go centre London night cause much close hotel . overall hotel location fantastic would stay . 
 Jun 15 2008 	 wonderful stay ! 	 stay since attend concert London evening ; book lastminute.com get decent rate . accessible public transport local amenity restaurant , mean not pay nose room service . comfy bed , nice big room Crabtree Evelyn toiletry - could want ? get great deal another occasion , would hesitation stay ! 
 Jun 1 2008 	 great hotel - one flaw ... 	 excellent location , 5 minute walk tube bus , 20 minute city . lovely hotel , nice decor excellent staff . uncomfortable bed ' ve ever sleep though result low rating could achieve . 
 may 27 2008 	 Decent Hilton area hotel 	 easy part London find hotel , let alone good price one . however , Hilton usual UK Hilton standard , merit price tag . location great Islington , within walking distance ( stretch , heavy bag ) king cross St Pancras . clean comfortable , friendly staff - would stay . 
 May 21 2008 	 great hotel 	 great hotel good Hilton , still great hotel good location . 
 Apr 29 2008 	 Great Location Comfy Room 	 stay Hilton three night quick visit London . bit apprehensive location hotel Priceline $ 90 per night , pleasantly pleased location room . hotel five minute walk Angel station , convenient London ( one stop King 's Cross / Pancras , large station . ) room , # 233 , non - smoking room comfortable bed well - appoint bathroom . quiet enjoyable . window overlook courtyard not spend time hotel . like major chain , breakfast include . sadly , hotel gym use nearby facility ( Essex Street , three - minute walk ) incur charge , even though give Hilton guest 5 pound reduction . the location actually superb .... everything need area Marks & amp ; Spencer great restaurant even Borders Starbucks . little outdoor mall area even Sushi Yo ! wagamama , amazing restaurant great food . the one thing find troubling use phone room would require 2 - pound connection charge time dial , include toll - free number . reason , could access toll - free number phone lobby one manager kind enough allow we use concierge 's line . lifesaver desperate let family back home know arrive safely . ask receptionist ( Amy ) permission use concierge line departure , sadly would give we permission . fortunately , find famous red phone book main street able call home . we certainly stay . housekeeping staff helpful accommodate . 
 Apr 26 2008 	 aside broken toilet good stay 	 review base four - night business stay . rate include breakfast , good worth price . consider London , room relatively large . think room may big average corner hallway . memory serve right , call & quot ; Club Room . & quot ; would advise ask one book , since give comfortable feel . room amenity fine , although internet access rather expensive . the one problem room toilet would flush . report break first day . second day , could tell repair , however , still trouble flush consistently . eventually figure work , pain . as location , nice area ton eat option . plenty indian , thai italian restaurant within short walk . also close tube & quot ; Angel & quot ; station , would advise fast , cheap trip to / from Heathrow . also , keep mind fitness room hotel . send another location extra charge . but aside break toilet , great stay . 
 Apr 8 2008 	 Nice Hotel - good location 	 back weekend London . stay Hilton Islington two night . got great rate Londontown.com . hotel great location . around 3 minute walk Angel tube station ( even tho close last weekend maintenance ) king cross station . locate right main st load restaurant bar immediate facinity . the room nice , newly refurbish . bathroom ok . want spend alot time room . overall would recommend hotel good base . staff extreamly helpful friendly . not four star standard , rate get location great deal . 
 Apr 4 2008 	 one good 	 one good hotel stay ! travel London see Arsenal play newcastle stay 29th Jan 08 . one problem hotel clean , helpful staff , breakfast good fact let try full halfs lager purchase full pint . room modern LCD tv 's lovely furniture etc ... would definatly recommend hotel eveyone tourist corperate personnel . nice place eat nearby . exit hotel access road leave try Masala Zone ( obviously indian grub ) great selection menu meal friend tasty indeed . hope change people 's opinion hotel . P.s Arsenal bonus ! ! ! 
 Mar 25 2008 	 Great Hotel 	 Booked room hilton.com get good rate include 1 breakfast 1 dinner . room size good , include flat screen tv , desk , chair . bed could comfortable job . request foam pillow arrive . room also include bottle still sparkle water . sure free everyone b / c hilton honor memeber . also leave shortbread cookie day . bathroom nice size nice toiletry . 3rd floor nice view street . staff excellent . miss breakfast b / c miss wake call manager send coffee , juice pastry . overall would stay without doubt long get good deal . hotel expensive worth . 
 Feb 25 2008 	 ok good 	 husband stay locality Fifteen restaurant birthday surprise . the good first : great shower , seperate controllable power temperature . big shower enclosure . Crabtree & amp ; Evelyn comp product . 2 double bed ( like large single ) , clean white linen duvet . large flat screen tv , tea / coffee etc + kettle . digital alarm clock . wire internet room £ 15 inclu vat 24hrs . wireless internet lobby ( buy voucher reception .. bad : book smoking room obvious enter room , absolutly stank old cigarette smoke , can not quite understand stay many smoking room smell noticable smoker ! make bad fact window not open ! view window rubbish strew alley back house . my husband breakfast say : clean , tidy , efficient service . Buffet breakfast , tea , coffee , table service . good variety food fresh cook . yoghurt , fruit , selection bread , cheese , cereal full english well . 
 Feb 15 2008 	 Quick trip London 	 fiance surprised birthday trip London . find hotel nice overall . right heart Islington , 5 minute walk Angel tube station . not breakfast hotel , accross road nice funky cafe serve great breakfast . lot bar restaurant nearby hotel also . room modern clean . 
 Feb 8 2008 	 good value base 	 hotel well locate financial district central London area close Angel tube station minute walk away . the hotel clean comfortable bedroom good size , although furnishing nothing special . room could benefit comfortable easy chair stay one night not issue . noise water pipe disturb sleep ; perhaps unlucky room . service quick efficient nothing more . there seemingly endless restaurant bar locality , within walking distance . 's also shop centre hotel Angel station . all good value stay rate pay give price similar hotel London . 
 Jan 23 2008 	 Clean Hotel City Location 	 clean room , fairly spacious short stay . flat screen tv limit choice channel . comfortable bed white linen . tea / coffee facility room along iron ironing board . negative side towel thin , loo roll single ply insulation room ! bedroom window open room unpleasant odour . shower disgrace , dribble water give refreshing start day . traffic noise , close Angel London Underground bus route city . £ 135 room will not rush back . 
 Jan 15 2008 	 great location nice staff lovely hotel 	 Hilton London Islington Hotel locate excellent location . hotel short walk Angel Tube Station Northern Line . numerous nice bar , restaurant cafe street hotel . hotel nice restaurant small bar . staff lovely room adequate . 
 Dec 31 2007 	 ok hotel extra expensive 	 Stayed overnight Saturday Sunday . check easy room fine 1 night although light poor little light window . bathroom speaker radio not work curtain would not close . offer buffet breakfast £ 17 include coffee / tea seem lot self - service offering pass . 's car park hotel not blame Hilton charge ( not belong ) feel £ 42.20 much overnight well top . I would go back get great rate Hotwire next time will not bring car ! 
 Dec 27 2007 	 Nice Hotel Good neighborhood 	 great hotel . comfortable bed . nice , clean room . staff helpful info get around tube . restaurant good coffee . felt like 5 star . hotel locate couple block angel tube stop northern line . easy walk station . locate good area mall , small shop Union Burger ( good burger ) right across street . would stay sure . 
 Dec 21 2007 	 great location London stay 	 stay Hilton Islington 10 day prior cruise . location easy 5 - 7 minute walk Angel Tube station 3 - 5 minute walk major bus stop . hotel room large room ever stay visit UK . bath room modern speaker tv well . room include iron board hair dryer . room internet access , take laptop rely computer downstairs 3 pound 15 minute . get great rate hotwire would certainly recommend location not & quot ; need & quot ; stay heart London . 1.5 mile St. Paul 's Cathedral / the City area . connect underground line King 's x / St . Pancras Euston . get around convient easy . travel Heathrow , ground level access / elevator 1 tube stop ( 10 - 12 pound via taxi ) picadilly line . make easy cheap transport Heathrow . ton good place eat , step outside hotel . certainly would stay . $ 99 US night feel like great find . 
 Dec 20 2007 	 Comfortable hotel 	 stay Hilton London Islington work . nice location , surround great restaurant pub . room large - pretty comfortable . internet include pretty expensive approx . $ 30 24 - hr period . convenient business . staff friendly enough . overall good hotel . 
 Dec 1 2007 	 good location 	 ' m hotel right . good hotel good location local bar etc , standard great- get well deal would happy 
 Nov 5 2007 	 could fault hotel 	 stay Hilton Islington booking via LastMinute.com Top Secret Hotels deal . total bargain £ 63 p.n double room . although checkout not know name hotel , 's easy figure review : ) anyway , hotel lovely honestly could fault one thing it . just couple minute walk Angel Tube station load really nice restaurant pub Upper Street ( across road hotel ) room really good size necessary amenity ( include flat screen tv , iron / ironing board etc ) lovely big bed comfy ! ! not bother breakfast £ 17.50 p.p bit much . would stay Hilton without doubt . 
 Oct 30 2007 	 way 4 star . 	 4 star hotel - amentie pool , gym & amp ; minibar ( fridge ) - vend machine work different floor & amp ; charge minibar price ( without convenience . room large , comfortable & amp ; clean , lack area . bed springy . not powerpoint plug laptop etc desk without climbing desk . ask extension cord , not one . clock nowhere near bed , snooze function next useless . water pressure shower low . price charge communication astronomical . gbp 15 24hrs internet . need short period check email . phone call Australia GBP 8 per minute . Hilton gouge price esp . give level quality . luckily time office go . Hilton realise people not use facility go elsewhere . leave bad taste mouth . the staff friendly enough , helpful . the location fantastic . five minute Angel . restaurant pub lively inexpensive . eat Le Mercury dinner ( Crayfish Ravioli , Chicken Lentils , cocktail glass wine ) come less GBP 20.00 . food great . also Sainsbury , unfortunately , fridge room put anything . I get good buy Priceline ( usd 87.00 per night ) overall come away feel people stay get room high discount . 4 star hotel - lucky 3 , give lack amenity . 
 Oct 1 2007 	 excellent value room great location 	 true priceline bargain £ 45 one - night stay - one good four - star deal ' ve ever have . location : Angel end Upper Street ( minute ' walk Tube ) , near Business Design Centre . Upper Street get bit posher head north endless restaurant , pub etc . head Essex Road . Decor : nice subdued lobby , modern unobtrusive decor room , corridor unbelievable shriek orange carpet expose brick , seventy clash low - key elegance room . room : big , comfortable , good bed , LCD television ( rather paltry selection channel , include european one ) . tea coffee make facility , mini - bar . good - sized bathroom above - average shower . excellent standard cleanliness . ice machine floor ( vend machine ' essential ' empty ) .Did not try hotel bar restaurant , certainly look least adequate . a bit characterless hotel , certainly comfortable enough , businessy rather touristy atmosphere , extremely convenient area interest London ( 5 minute Tube King 's Cross ) vibrant area . recommend . 
 Sep 30 2007 	 good stay convenient location 	 Great Location , helpful staff . got great deal Hotwire ! internet include , standard Europe . block tube . safe . nice room , update hotel , modern . 
 Sep 16 2007 	 Loved area 	 book late deal prove excellent value money . room spacious clean . Islington great area lot bar , cafe restaurant choose reasonably price . recommend . 
 Sep 9 2007 	 new fav hotel London 	 stay Hilton Islington Aug 23rd 24thtook first capital connect gatwick kingscross cab hotel . Hilton Islington tuck away corner street full shop , boutique , bar really great areathere ' wine / liquor store corner Sainsbury grocery store starbuck less 5 minute walk hotelthe hotel room small adequate clean , plasma tv , tub standup shower , low pressure water sink shower great . ' use ice machine SLIME , anyone Houston Texas know Marvin Zindler God rest soul learn investigate ice machine lol . staff friendly however ' give Hilton honor point book via hotwire . all love hotel , clean comfortable great price awesome location . 
 Sep 5 2007 	 overall great stay 	 book hotel Hotwire , less $ 100 usd night , , pleased get . hotel 3 - 5 minute walk Angel tube station , surround place eat , shop , grocery store . room spacious clean . there one unpleasant incident hot water work first morning -- hotel fix within day , receive apology note . also one unpleasant run member housekeeping staff , not appreciate one day sleep vacation actually sleep ( leave hotel 10:30 , oppose 8:30 ) , subsequently interrupt cleaning schedule . huff displeasure ask might come back clean room , never bother . not consider reflective hotel , one particular staff member . the front desk staff helpful polite . , price pay hotel , complaint whatsoever . nice stay . 
 Aug 25 2007 	 nice 	 21 - 23 August 2007 . well treat give free upgrade breakfast ! ! enjoy local area previously state far central London Tube . staff pleasant room clean tidy new flatscreen tv 's . like move however , nice hotel recommend long want central London . 
 Aug 22 2007 	 great room location - service well intentione fine tune 	 hotel average London standard . room really nice hotel clean . price , be great deal - location central London close enough . tube stop right around corner neighborhood cute shop , restaurant pub . feel safe neighborhood . hotel staff well intentione could not help feel service not expect Hilton . wake call come first day , second day come 30 minute early .. day three finally get right wake call . careful & quot ; 24 hour & quot ; internet billing try charge every 8 - 12 hour - notify front desk correct . breakfast , not serve coffee meal first two day , finally say something , staff over - correct practically stand eat make sure everything ... little annoying ( well intentioned ) also - not ask concierge staff call taxi - get curb - call private car service rather taxi charge 20 % London taxi ( test couple time ) 
 Aug 19 2007 	 nice good location 	 stay April 07 complaint . the hotel well locate nice area , tube station ( Angel ) 5 minute walk hotel . around hotel good choice bar , cafe restaurant . our room quite spacious - large expect Central London . staff pleasant , brunch bar / dining room nice reasonably price . the hallway bedroom level look little odd somewhat date - swirly carpet expose bright yellow brick ! lovely hotel . would stay . 
 Aug 7 2007 	 good value attractive village - like location 	 pay 60 GBP / night Hotwire definitely get value money . hotel short walk Angel tube station ( northern line ) . Islington obviously come , emergent upmarket village atmosphere characterize bustle , multicultural neighbourhood excellent food shopping opportunity . decor large room pleasant , new , tidy . lack in - room safe unfortunate omission . ridiculous phone charge ( 8 GBP one minute New Zealand ) send nearby phone booth . overall greatly enjoyable stay , though . 
 Aug 4 2007 	 surprising ! 	 book lastminute.com one secret hotel ! know time book hilton would not go - bad experience stanstead one . but pay go . it pretty cool , room nice big well decorate . bathroom nice big room nice touch like music bathroom that . the bed really nice comfy . hotel two stop Euston . I would go . 
 Jul 19 2007 	 one good Hiltons ' ve stayed 	 book Hilton read review site say 's good review well deserve . location although central London awesome . shop , movie theater , restaurant tube stop ( Angel ) within 5 minute walking distance . room quiet , comfortable , air conditioning actually cold ( hotel preset 's hardly AC ) shower pressure great . staff helpful friendly . ' ve stay two Hiltons London far good term value money ( cheap mean good value Hilton ) . 
 Jun 14 2007 	 really nice 	 say would never book room not special deal get . ' m rich person ' m always look least semi - cheap rate also location - orient . we get little early ( 11 ) ask could still check front desk check see 's something available . offer disabled room , fine we ; describe room move around . room clean water boiler , tea bag cookie ( love hotel England ) fill promptly next day . the hotel good location , 5 minute walk tube station . generally hotel nice area lot shop , arcade , plenty choice regard meal , 's drugstore supermarket within walk distance pub too . the staff friendly especially glad hassle - free early check - in . we not eat check amenity . for special rate get would definately go next time ' m vacation London . not know usual rate . 
 May 16 2007 	 good hotel great value ! 	 stay Hilton Islington Friday night recently get £ 100 Opodo , think brilliant value good London hotel . area upmarket full life , choice bar restaurant literally doorstep . want stay area go Almeida restaurant , would recommend highly . upgrade King Deluxe Club room , large immaculately clean . hotel modern comfortable staff encounter friendly helpful . Lovely Crabtree & amp ; Evelyn toiletry room fluffy robe . not breakfast due poor review site . instead go Camden Passage ( right opposite hotel ) find Breakfast Club , extremely popular , wait 10 minute table , worth . kind different breakfast , smoothie etc surrounding really unusual . , would highly recommend hotel slightly away central London want take second mortgage finance stay ! 
 May 12 2007 	 Best stay far 	 stay hotel many time past year & amp ; problem trip un - eventful , yes one well stay ( three night ) .Check excellent , room ( upgrade ) one good hotel & amp ; breakfast day good . my wife & amp ; also eat restaurant one night & amp ; food fine . well restaurant area raining & amp ; want leave hotel . always try & amp ; stay hotel due location complaint ( nothing hotel ) police & amp ; siren night . look forward another stay next trip London 
 Apr 23 2007 	 Excellent hotel good location 	 great location , excellent staff , good price . the hotel 5 minute walk Angel tube station easily access major site London . hotel less hour Heathrow airport . there also plenty reasonably - price restaurant nearby . we pay $ 100 US hotwire . 
 Apr 14 2007 	 good price 	 obtain wonderful price hotel Hotwire price pay overall experience good . hotel well situate : three block Angel tube station right Upper Street line restaurant , pub even Starbucks right across tube station . couple tube station away Covent Garden place Central London . hotel fair condition although furniture room look little old room kind small ( standard London ) . Hilton , four star hotel , expect little bit term service amenity . room safe box example , mini - bar . vend machine every floor none work three night stay . , lttle store corner whre buy water , drink , etc . need . 
 Apr 10 2007 	 poor poor security 	 hotel good standard food also good . trip however ruin theft lobby hotel could easily avoid hotel pay little attention security . basically scam artist ( dodgy look ) able waltz steal expensive mobile phone eye , make run even shout ' thief ! ' absolutely staff hotel lobby present challenge , stop enter first place . four star hotel think appalling , severely taint opinion Hilton chain . main advise would vigilant lobby particular hotel . 
 Apr 4 2007 	 Great Place stay 	 first trip London book hotel Priceline little nervous would get . happily reason worry . Islington Hilton wonderful place stay . 5 min walk Angle tube station , easy find . staff helpful seem knowledgeable general area point direction nearest post office want mail postcard . room spacious bed comfortable . I comment food eat hotel stay . many good pub restaurant nearby along Boots Tesco . nice neighborhood stay , center London short tube ride away major attraction . Hilton 's price budget make impossible stay normally next time visit use Priceline hope get hotel . 
 Mar 29 2007 	 Expection Hilton 	 book property due price ( good value ) convinence tube station since early connection Waterloo station next morning . arrive hotel around 5pm due major baggage delay ( thank British Airways , miss whole tank luggage without single agent showing ) . short walk Angel Station , area nice , good first time solo traveler since easy find . HH Gold member , get turn upgrade club room ( sure plenty say ) . get breakfast instead . staff nice helpful ( well , not knowledgable local area oh well , hard get around area tube map ) . also let people borrow AC adaptor ! room big UK size / european standard . typical Crabtree & amp ; Evelyn product mattress , member suggest - suck ! bed springy .. mean seriously , sit hear spring sound actually count many spring mattress .. happen hilton sweet sleeper bed ? room appear clean soap dish green ! ! moldy ! ! nasty ! ! ! mean expensive change soap dish right ? a / c room work like charm , really appreciate . breakfast not bad opinion . UK country know delicious cusine . even McDonalds taste bad state ( opinion ) . however , breakfast decent enough feed want fill morning . contrast previous revewer , screamble egg COLD . hot , guy make infront , take request - pretty nice ( except not make omeltte ) . Fresh Juices , fruit , yogurt , meat selection available would pay full price breakfast tho . many pub restaurant within walk distance try . love pub next hotel , cheap place chill night ! 
 Mar 27 2007 	 comfortable stay convenience 	 get good deal hotel Lastminute.com fro £ 63 ( secret hotel work generally ) . need cheap stay area night ideal bed night . when check tell upgrade delux room , excited get room bring bacj earth average small , still clean need . good value moneyI order room service tired leave room , wish look like hughe choice restaurant teh immediate area . order risoto , £ 12 £ 3.75 tray charge expensive- bit salty could not eat . lucky be not starve . nice crabtree Everlyn product . the room cold , put heat much could could not warm , cover thin lucky two bed , nick duvet two . woudl stay coudl get rate need area would eat ! . 
 Mar 6 2007 	 could recommend 	 arrive 3.30 p.m. travel since 10.00 a.m. hotel electricity could check . say fault grid - surround premise appear electricity . store bag say problem would fix 5 p.m. minute later change 6 p.m. leave go pub around corner ( 2 min walk ) electricity . 6 p.m. return & amp ; check in . we book 3 people £ 166.00 per night B & amp ; b pay advance . there 3 cup room , 2 bottle water , 2 bath towel 1 bath robe ! could tea together would share towel ? went return 8.45 p.m. freshen dinner . time hotel fire alarm sound , people leave fire brigade arrive 1 minute we ! positive : ( 1 ) room clean , big bright . ( 2 ) staff polite ( 3 ) location excellent - Angel tube 5 min walk ( 4 ) lot good pub restaurant vicinity . negative : ( 1 ) breakfast disgust £ 16.00 absolute rip - off . horrible salty bacon , cold scramble egg , cold tea , make toast . left call & quot ; cook breakfast & quot ; table go fruit , ham , cheese roll . selection cheese - slice sweaty cheddar poor quality ham . compliment aspect two breakfast endure - regret pay breakfast advance . ( 2 ) inadequate provision number people room . ( 3 ) heating system - cold not central heating - blow air conditioning / heating unit make terrible racket . wake cold room , turn unit , go back bed get 15 minute later room warm ? ( 4 ) room key card fail twice try convince we not know use properly . ( 5 ) mini - bar - 's suppose 4 star ( 6 ) finally add insult injury try charge we stay checkout . the electrical problem may fault fire alarm go rest problem could fix . staff train say Sir / Madam , want value money , politeness . 
 Feb 27 2007 	 Great Location 	 great location . spent week February 2007 . find angel location short trip anywhere city . neighborhood interste great small pub quick meal . staff friendly helpful . family double , corner room . comfortable large . site restaurant little pricy good food . breakfast buffet great deal get room rate , lot choice . Chapel Street marketplace great diversion day . Bloomsbury , Russell Sq short walk ST John Street RoseBury . overall nice place stay would without second thought 
 Feb 25 2007 	 Leaves bit desire 	 reach hotel , take hidden view road , fairly good location relation tube , 4 block . room decent clean , air conditioning summer , staff friendly knowledgeable surround area , parking lot beneath hotel . however ... 1 . parking ~ $ 85 usd per day ( $ 5 hotel discount ) disclose booking2 . fitness center 1/2 mile away , shady part town , allow anyone 18 use equipment pool ( also disclose , child want swim & quot ; indoor & quot ; pool ) 3 . hotel breakfast buffet ~ $ 32 usd per person limit selection4 . self - laundry service inside hotelYet not bring car , not excercise swim , not eat hotel , not rely staff information London , reasonably good hotel ( find ) . 
 Feb 5 2007 	 Great Location Decent Hotel 	 stay Hilton Islington 4 occassion year find perfectly acceptable choice . it helps know area , live early 90 , hotel really great location . 15 minute heart West End tube ( 25 minute bus ) , wish different , less touristy experience , Upper Street bar restaurant suit tatste budget . the value money vary enormously , managed get deluxe room £ 50 night via Lastminute £ 200 via hotel . certainly pay shop around . on visit upgrade suite , make £ 180.00 night seem like good value , beyond standard room comfortable quiet . all , good hotel business vacation . 
 Jan 4 2007 	 ok 	 4 star hotel , stay average . we chooze hotel practical reason namely location close emeirate stadiumn go see Arsenal play night . for reason well , get 4 star will never know perhaps association Hilton tradename , could nothing else . the room wee bland small mini bar , basic house service . the fire alarm go 11 am follow morning five minute , fair enough drill advise night check time 12 alarm ring head 5 minute good . twice housekeeping come door room porter come we ask we check check time 12 , annoying rude . for price pay would far well stay road jurys inn , islington service well room cheap . we will not stay ! ! ! ! ! ! . 
 Jan 2 2007 	 Weekend London 	 stay long weekend November . hotel nightmare find miss original turning end dread one way street get right road fine - will not make mistake ! check fab , staff good room pleasant surprise . clean , comfortable quiet . Islington buzz nice bite eat nearby restaurant bar . hotel breakfast fine - good choice staff good . angel tube station close get central London easy . would definitely stay 
 Dec 28 2006 	 Excellent 4 * hotel 	 Hilton London Islington excellent all - round hotel . location good , Upper Street , next Business Design Centre . short walk ANGEL Underground station , Bank Branch Northern Line , also plenty bus . the check - in reasonably straightforward . lobby area pleasant , bright clean . the room extremely high standard , lot space , nice seating area . mineral water , wine chocolate room day . decor modern facility functional . bed comfortable , air - conditioning . bathroom spacious , nice sized bath , Crabtree & amp ; Evelyn toiletry upon day . the restaurant excellent , serve outstanding buffet breakfast , include hot selection , freshly cook egg , waffle pancake . dinner restaurant also excellent quality . good variety food find menu , bind suit taste . I would recommend hotel purpose , whether business leisure , length stay . 
 Dec 17 2006 	 well recommend 	 book via Hotel Connexions , stay enjoyable , especially compare London hotel , reputedly 4 star ! hotel minute Angel tube station , easy access London 's attraction . also fascinating part city , many antique bric - a - brac establishment near . room comfortable , modern spacious ( London standard ) . breakfast get busy Saturday morning , people wait available table . however , print advice lift , certainly problem prior 08:30.i definitely would stay . 
 Dec 11 2006 	 Excellent Hotel 	 stay weekend city break husband thoroughly enjoy . staff efficient friendly upograded de - luxe room FOC bonus . room spacious , modern clean everything need . breakfast great wide choice staff helpful efficient . location superb - two minute walk Angel tube ideally locate mainline station get around London . feel safe walking station hotel early mormning evening few people around & amp ; bar restaurant main street although not sample . also Sainsbury 's & amp ; & amp ; locate nearby hotel handy . would stay - really enjoy weekend break see sight & amp ; shop - also combine visit Gordon Ramsay Resuarant - Boxwood Cafe also thoroughly recommend . 
 Dec 3 2006 	 solid choice good value great neighborhood 	 use priceline get bargain London give Hilton Islington $ 100 / night 7 night . bit worry cookie cutter large chain thing North London ( would far away place want visit ? ) well , worry . 's fine hotel , good customer service ( Ben concierge particularly nice ) clean , good amenity , great neighborhood . love Islington Upper Street . lot cafe shop , 5 minute walk Angel tube , walkable St. Paul 's , nice neighborhoody local touristy feel . really feel like Londoner neighborhood , unlike anytime get near Piccadilly , feel stand like sore thumb . the hotel cookie cutter would expect , American Hilton standard par course London . completely acceptable , remarkable , $ 100 / night priceline , will take anytime . 
 Nov 22 2006 	 Rude Reception 	 stay one night two kid interconnect room . clean resonable breakfast fine . atmospheric , location middle Islington suit we go party evening . came check next morning , unidentified cost bill . turn 6 year old son able access pay per view material tv room . ask able watch suggest put parental lock tv know two child would sleep room . receptionist , whose name remember Akshit , unbelieavably rude . say not list channel bill could include pornography . say concerned available young child say not responsibility extremely rude supercilious . ok hotel - beware Akshit , ruin stay . 
 Nov 21 2006 	 Great Hotel excellent location 	 stay hotel weekend . hotel excellent location - Islington everything need social perspective bar , restaurant , coffee shop etc . £ 6 cab ride king X one stop tube . hotel nice modern everything need . staff excellent , friendly , polite professional . we get deal £ 89 per night bed breakfast one night dinner . price wise par central LondonTravel Lodges however head shoulder terms quality . say hotel new preferred choice stay London . highly recommend ! ! ! 
 Nov 20 2006 	 Handy Emirates stadium 	 nice clean hotel , family room , 2 double bed one double sofa bed . room fairly standard , lot space . hotel leisure facility . check in / out fast efficient . staff attentive customer focus . breakfast usual all - you - can - eat hot / cold food , cereal fruit , bread etc etchotel roughly 20mins walk Arsenal ground , site close variety pub eatery ... nice shop . angel underground right outside . 
 Nov 20 2006 	 great hotel excellent staff location . 	 stay Hilton Islington friend find hotel far well expect . book special offer whereby get free evening meal first night full breakfast morning . arrive hotel late Friday evening , helpful desk staff change free meal next evening . expect accomodating . the room great comfortable . staff fault request much they . good , hotel excellent location , right load gread restaurant bar . ideal weekend away much expensive grotty travel lodge . would definitely stay . 
 Nov 15 2006 	 Great Value 	 Booked Hilton weekend break directly website - great value £ 80 per room per night , include breakfast one evening meal . hotel fairly modern , room quite spacious clean . close Angel underground station , stop major attraction . Islington doorstep load restaurant , pub , cinema etc . hotel staff friendly helpful . if look good mid range hotel close centre London would highly recommend . 
 Oct 17 2006 	 problem . 	 stay weekend , king non - smoking request . staff friendly helpful ( though not usually ask much peace quiet ) . hotel clean problem ... be little bit away city center easy 5 minute walk Angel tube station . location nice enough , kind local shop area seem safe even late night . vend machine instead minibar , fine I . this hotel compete luxury many much nice city - center hotel , be generally price much low think value money generally good . 
 oct 9 2006 	 Great Hotel 	 stay 2 night , friday saturday , 2 adult 6th 7th October 2006 . find hotel brilliant . everywhere clean bright nicely decorate . everything want . eat restaurant can not comment sightseeing eat , breakfast bed real treat ! ! order lot thing menu deliver promptly 8.00 a.m request . pay good price stay lastminute.com include breakfast . stay without doubt . angel tube station 5 minute road line place easily accessible . hotel situate main street Islington disturb noise due hotel set back main road . plenty bar restaurant vicinity . one complaint fridge room would useful . never mind ! ! good helpful polite staff . would recommend . 
 Sep 11 2006 	 Excellent Hotel Excellent Location 	 stay one night hotel great staff helpful . allocate disabled room even though neither we bathroom huge ! bed comfortable lot pillow wardrobe need . even yoga mat people want exercise . the free breakfast superb , choice hot cold food . hotel 10 min walk Angel tube station Northern Line . I would definitely stay . 
