Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Jul 25 2009 	 terrific hotel 	 travel group friend chicago fourth july weekend . stay base review tripadvisor . could happier.this terrific hotel . location perfect base explore city.the hotel decor modern , sure look . clean . well appoint , comfortable room . find staff helpful happy assist anything need . also bar , right lobby comfortable sit review day . recommend highly . 
 Jul 22 2009 	 wonderful hotel 	 thank rating , choose hotel get great deal online . it upper end Michigan Ave , still 10 - 15 min walk river along shop . modern clean lobby room , european style . little complimentary bottle evian turndown service bonus . 
 Jul 19 2009 	 OMG WOW ! 	 good hotel ever stay , far . heavenly bed sleep , spacious room , amazing bathroom giant tub ! towel soft TV awesome . clean staff come twice , morning afternoon . good hotel ever ! 
 Jul 18 2009 	 Sofitel exceed expectation 	 want stay near public transit Michigan avenue also give teen cultural experience hotel fit bill . typical ammenitie attract kid teen , offer look contemporary architecture design , provide french feel , superb service . room nice size , clean , unique , bathroom exceptional . little extra be everywhere . one downside price breakfast , deal breaker . staff accomodate professional . 
 Jul 17 2009 	 Great Service Location amenity 	 upon recent stay Sofitel Water Tower greet name front desk - guest servie par expect guest need . room service quick quality food wa excellent . amenity room great tub separate shower , large vanity . could different lighting bathroom bite bright - maybe dimmer . ther ewa shade large window overlook neighborhood . restaurant 2 block away , great cafe across street , hotel restaurant bite stuffy food great . enjoy doorman opening door , remember name , front desk/ concierge . would recommend business traveller , weekend warrior . one note prostitute try romance bar - hey mean swanky hotel ! 
 Jul 17 2009 	 solid choice -- good balance business hip 	 business traveler probably spend 30 night / year hotel ( conservatively ) , ' m usually pretty good set option . Chicago , ' ve stay W City Center downtown Loop , Trump , Hard Rock . recently decide take trip Gold Coast area stay Sofiftel . I ' ve stay Sofitel Washington , DC , impressed chain 's balance hip functional business hotel . Chicago Water Tower location succeed front . the lobby dark decor pretty hip without minimalistic try hard . be go hip guy 's use stay Westin Hilton guy 's use W , be go to businesslike . check - in efficient , front - desk staff address name ask stay before . room fairly spacious , comfortable bed decent toiletry L ' Occitane . desk space pretty good , good closet space long stay . room quiet , good amount privacy quiet , even though be fairly busy / hip area . the bathroom separate tub shower , take shower girl soak tub . room service decent . kind club sandwich tasty fry . minibar room , reasonably stock . think ice service floor , well . when check , realize one bag many might get stop try everything carry - on , check 4:30 a.m. , ask concierge ship computer bag back . problem , say , direct housekeeping pull bag e - mail tracking number soon . nice touch ! would definitely come back . next stay , however , Dana Hotel & amp ; Spa . 
 Jul 16 2009 	 Excellent - room staff food location everything 	 place perfect hotel . the room superb full luxurythe staff excellent , attentive really superbthe food excellentthe location excellent 
 Jul 16 2009 	 Love love love hotel 	 stay Sofitel five year ago really enjoy , return Chicago last week not look anywhere else . great location , close Michigan Ave , Hancock Tower public transportation . room fantastic great bathroom . staff always friendly helpful . bar pack Saturday night bartender make great martini ! dinner one night Pizano be across street , fantastic ! go another hotel another city miss Sofitel ! 
 Jul 16 2009 	 pleasant impersonal 	 recent stay Sofitel pleasant . well place impersonal . concierge well inform overly friendly . ask knowledge French ' de rigeur ' work tell ' non ' surprising greet time french English speak city English speak country ! 
 Jul 14 2009 	 Favorite Hotel 	 ' m currently stay Sofitel Chicago Water Tower third time last three month . ' m someone fortunate enough travel fairly frequently U.S. go Europe twice year . get stay nice place , hotel probably favorite . guess like place 's rather upscale , stuffy way . build one major positive aspect stay . beautiful , contemporary high rise . room ' ve stay always immaculate condition nice , spacious marble bathroom . hotel may right everyone -- design aesthetic modern . also not seem offer room twin bed . room seem king - size bed . two bed not requirement not want traditional decor , place hard beat . everything physical facility hotel really good . notice stay door room rubber seal around door frame seal bottom door help control noise hallway . ' m mid - July air conditioning room great . set nearly frosty , want . lot elevator hotel size ' ve never wait elevator minute . compare hotel ' ve stay Chicago problematic old building , place immeasurably well . evening dinner Cafe des Architects , hotel restaurant , please good food gracious service . price restaurant not cheap , dine first class hotel price seem reasonable . ' ve find breakfast nice staff seem fully aware may require prompt service breakfast . ' ve find good price hotel Sofitel web site . ' m currently stay $ 215 per night , three night , special deal $ 50 dollar hotel credit dining , etc . room ' m deluxe king high floor terrific city view . compare place ' ve stay Chicago , seem good deal . lot major chain hotel Chicago expensive , expensive , lousy , outdated , rundown old building . , course , nice ultra high - end hotel Chicago . we not want spring cost Park Hyatt Peninsula ( neighborhood Sofitel ) , think Sofitel Water Tower really good deal . 
 Jul 13 2009 	 Great Hotel Great Location 	 stay Sofitel Water Tower Chi - town anniversary weekend . choose hotel month research many hotel area . hear people Sofitel DC nice place stay read review one decide try . lobby hotel nicely decorate staff helpful . suite 33rd floor good city view modern style room pleasant well ( interior designer pretty picky decor ) . also like fact plasma tv swivel could watch sofa , bed . bathroom nice , although shower bit small side , enjoy L'occitane ( french assume ) spa product offer . ice cake though bar hotel . atmosphere like , could stay entire time make great dirty martini . complaint think waitress bar area could not find NBA semi - final tv bar area . search come tell we guess not TNT . bit shocked watching room come . certainly minor , go show well enjoy hotel . location great able walk Michigan Ave 2 minute walk Navy Pier 25.as side note , Tempo Cafe corner good breakfast ( get pancake ) Ditkas ( street ) good menu great food ! 
 Jul 12 2009 	 beautiful hotel 	 travel wife two young child decide splurge & quot ; suite & quot ; Sofitel , give excellent review Trip Advisor . although live Chicago six year , ' ve away nearly long . therefore , assume hotel 's name & quot ; Sofitel Chicago Water Tower & quot ; actually Water Tower Building . course Ritz , Sofitel actually block two away . get room , bit disappoint imagine true suite separate bedroom could put kid sleep close door . call front desk , indicate room , would $ 50 upgrade / night . decide , even though already pay $ 200 / night . ' m glad do . the second room much large , end put kid bed spend evening talk friend . one friend pregnant end go labor night right room . able get Northwestern easily husband go grab bag supply . comfort room nice situation . the disappointment came call housekeeping around 1 pm put sheet rollaway bed daughter could nap . indicate would bring right . call 20 minute , seem surprised want right away , assure someone way . concierge even call five minute later see someone bring . unfortunately , still not sheet . ninety minute , still not sheet late take nap . I call manager ( Jeff ) later day explain situation . apologetic , assured would personally make sure sofabe make returned dinner . return , bed make Jeff even give kid cookie milk free movie . kind gesture much appreciated gesture . know lapses service occur , response like Jeff 's make forget remember good thing hotel . will definitely consider Sofitel next time ' m look splurge Chicago . 
 Jul 9 2009 	 Great Location Great Hotel ! 	 spend 4th July weekend Sofitel , would definitely return , room great , bed comfortable bathroom spacious , modern , well appoint . do not try restaurant , however hang bar , use business center check online flight early , also find stock mini fridge conveinent ( fee food drink course ) . location walk distance Michigan State Sts also close rush st great bar restaurant . Tempo Cafe - next door hotel also great brunch late night dining - note take cash tend wait around breakfast / brunch time . also walk distance walgreen anything need well Giordano 's great pizza - love place would definitely return ! basic room fine we , since day 
 Jul 8 2009 	 great Stay 	 great stay Sofitel . front desk bartender housekeep . great place stay price . much different hotel . modern upscale . we problem bill move item mini refrig fit leave dinner food . call front desk ask small frig recieve one charge . bill fix stay great . quite hotel . 
 Jul 7 2009 	 beautiful . 	 simply nice hotel ' ve ever stay . building , staff , bed bathroom exquisite . we not normally spend much room , worth it . well worth price ... 
 Jul 6 2009 	 Location Style Comfort 	 stay Sofitel Water Tower 4th July weekend nice experience . hotel bit mis - name since Water Tower least 5 - 6 block away can not even see hotel , fine . hotel close enough hustle bustle Michigan Ave convenient far enough away traffic light pace lot quieter . across lovely small park block nightlife Rush Street condo rowhouse Gold Coast . nice spot be . our room 30th floor command view nicely appoint . bed extremely comfortable inviting . modern art , flat screen tv , large desk lounge chair footstool complete room . bathroom nice lot marble , nice lighting nice amenity . bring washcloth though offer little mitt may work well large tub much use shower . thing miss little surprising hotel caliber morning newspaper room coffeemaker free coffee lobby . complimentary bottle evian water accompany turndown service welcome , would chocolate mint . check service professional desk clerk even walk around counter lobby welcome hand key card . we even number room nice city view , suspect view would better odd number room since would face Michigan Ave Lake Michigan . a nice place stay . neighborhood would recommend Bistro 110 Devon Seafood Grill closeby dine Lux Bar nearby Rush Street breakfast start 8 . 
 Jul 6 2009 	 Splendid location overall feel 	 book hotel directly November 08 gift 11 yr old son one Christmas present . always want go Chicago Cubs game , never Wrigley Field , really get experience something yet . let start say stay 5 star 2 star life . travel world , check review recent travel . rarely complain feel good source traveler . choose hotel due ' reputation , location service record . feel picky , ask tell provide service , one adhere . upon book room , request king bed roll away 11 year old . tell Novemeber would problem phone . March call confirm reservation request roll away son . lady name Bianaca emailed & quot ; would problem getting roll away problem & quot ; .I also keep copy email . , rest assure upon drive 4 hour thand arrive 11 ok . hotel wonderful . feel cross Sofitel & quot ; W & quot ; hotel . modern , angular clean . Valet wonderful , service good throughout . upon enter vibe relax . outdoor eating area , inside bar lounge . nice , like & quot ; W & quot ; . greet promptly front desk , give room right away . impressive early arrival . also ask verify need rollaway . seem surprised , show email , etc ... say problem . say hurry , get bite eat , get shop Michigan , anytime 9 pm roll away would fine . go room 25th floor . fast elevator , clean . enter room , well appoint , huge bed , plasma , electric powered blind , marble bathroom , die . bathroom 9 14 foot tub , huge walkin marble shower , nice toiletry . well stock towel refridge . happy room , mirror closet door keep come track closet space minimal . room safe easy operate provide robe slipper ( altough use we ) nice touch . unpacked go restaurant outdoor area hotel . nice , nice kid menu , mostly french . lunch drink ( wine ) around $ 150 . bad 3 nice hotel area . went shop etc . come back room , take shower go watch firework odyessey ship book month advance . go back room midnight , rollaway . call front desk , state not rollaways hotel . say can not , confirm twice , along email , morning front desk . Lets say , not get rollaway . we set son floor next we good could . next day go Cubs game , way speak concerige , stipulate whole story , tell not want upgrade , not want anything free , want explain deeply dissapointe lied rollaway . say roll away , tell , beyond point , son make & quot ; nest & quot ; floor want know happy & quot ; run around & quot ; wanted & quot ; vent & quot ; want nothing return . end go game , shopped come back take shower go Hugo 's Frog street Rush . nice , simular food Morton 's lay back atmosphere . great service nice vibe . come back hotel , room service get we extra towel , turn bed make son 's & quot ; nest & quot ; little nice . ( thank ) nice touch . check valet extremely fast . must give big thank Heather work we throughout stay prior . great person , asset . would go back ? ..... absolutely . restaurant food impeccable , breakfast wonderful . maybe would quadruple check request prior arrival . 
 Jul 1 2009 	 Comfortable Suite Great Service Competitive Price 	 place one professional desk , concierge , host , door housekeeping staff ' ve ever encounter Stateside . absolutely attentive every turn hint middling request inconvenience . prestige suite feature good sized living room couch , love seat sofa block , long hallway marble bathroom , onto comfortable bedroom . limited closet space say big room . food restaurant room service exceptionally good . 
 Jun 29 2009 	 nice wonderful service 	 room huge clean beautiful . bed soft comfortable . in - room wireless internet little spotty , ultimately work alright . common area nice , lobby smell fresh cut flower day . good hotel , one outstanding feature service ... everyone deal incredibly helpful friendly . service set place apart . 
 Jun 22 2009 	 say ... 	 recent trip Chicago attend major trade show pleasure stay Sofitel Chicago Water Tower . say stay make feel , check check go beyond ensure stay perfect want return . the room clean , chic roomy , bed - good sleep , bathroom large super clean . what say , new home Chicago ... 
 Jun 19 2009 	 Gorgeous Hotel Great Location 	 Sofitel Water Tower Hotel perfect Chicago visit . interior gorgeous , ' staff treat like royalty even ' pair sneaker jean . hotel definitely deserve high ranking Trip Advisor . ' take Sofitel : STAFF -- over - the - top genuinely friendly helpful . moment get taxi , bell hop assist luggage get we room . front desk good system place . one person key information computer , someone else chat we make we feel even welcome . Room Service personnel well ' experience . Concierge Staff , especially Jacquie , offer great suggestion really make great weekend . tell we good restaurant area , give we great suggestion , include beautiful boat ride absolutely wonderful bike tour . thank Concierge staff . room -- tastefully decorate , comfortable bed average size . need hotel ammenitie provide . VIEW -- book Deluxe Room great view Rush Street , toward Michigan Avenue . 20 story view spectacular . LOCATION -- ' beat . right Rush State Street , block Michigan Avenue shopping . block Rush Street Entertainment Area , block Lake Michigan Lakefront Bike Path . must see Chicago hotel perfect they . rate -- definitely find less expensive hotel , ' experience anywhere else price . 
 Jun 11 2009 	 Excellent ! Trendy Chic . one good place stay ! 	 indeed one good hotel ' ve stay far . trendy . staff courteous , room service awesome , view amazing , decor fantastic , mean almost close perfect ! not swim pool spa , many food option within hotel ( though room service good ) . would strongly recommend everyone visit Chicago 
 Jun 6 2009 	 Outstanding Accommodations 	 base largely TA review , select Sofitel Chicago Water Tower five - day stay May 2009 . disappoint ! room comfortable spotless ; staff accommodate , meal hotel leave we want come back . location convenient shopping restaurant , public transit two block away . consider level comfort offer , think hotel excellent value ( especially book early discount price ) . without doubt , come back Chicago plan stay Sofitel . 
 Jun 4 2009 	 great hotel great location ! 	 stay Sofitel November 2008 winter get away . staff friendly , room huge comfy bed , lot space , large flat screen tv large luxurious bathroom . location spot beginning / end ( depend be come ) Mag mile near great resteraunt ( Hugos Frog Bar one ) .could not fault anything definately return . 
 Jun 3 2009 	 Fantastic hotel - would definitely recommend 	 return 1 week stay sofitel brilliant time . first location excellent , minute walk Mag Mile . hotel modern clean contemporay decor throughout . king size room 28th floor great view city lake beyond . bed comfy ( huge ! ) . bathroom great bath separate walk shower , L'Occitaine product bathrobe . free water deliver room every night . reception staff friendly service great . free internet access 2nd floor , nice extra touch . also let we room extra hour day checkout , charge , fuss - really help we . not eat hotel can not comment food . put price breakfast think stay heart city able hunt breakfast cheap - ! ! breakfast place corner block call ' the Goddess ' serve good coffee , fill croissant , bagel etc . also visit L'Apetitio many time fab little italian deli bottom John Hancock Centre ( 5mins walk hotel Mag Mile ) - yummy toast sandwich , croissant , muffin coffee fill lot less cost hotel breakfast . place eat take . overall well worth money would definitely recommend hotel anyone look modern luxury excellent service heart Chicago . 
 May 28 2009 	 hard say ... 	 , wife , stay three day say good review perfectly accurate . hotel almost perfect ! ! build architectural piece art , everything seem cared detail , room , executive suite , spacious confortable , everything new well keep . bed quite comfortable , marble bathroom huge shower space separate bathtub , quite nice . the location perfect , two block magnificent mile within walk distance Chicago downtown atraction .The staff perfect , help we professional personal way . the two thing think space improve , first hotel breakfast good little pricey ( $ 50 two ) , buffet , food taste american , would prefer european style breakfast , maybe well breakfast place . second one fitness center small crowd , equipment well space deserve improvement , specially city inclement weather like Chicago ! ! overall , one good hotel ever , strongly recomend everyone ! ! last would like recommend italian restaurant , Rosebud Rush , two block Hotel . cheap marvelous italian food quite good wine list make we happy ! ! 
 May 24 2009 	 absolutely PERFECT . 	 book hotel romantic getaway girlfriend base almost exclusively tripadvisor rating , base hundred rave review . count among , OUTSTANDING experience ! travel living know good hotel see among top 1 % experience ever . splurge get executive suite , perfect ! strongly recommend pass $ 20 breakfast Tempo Cafe place breakfast , right around corner block half price ( awesome food ! ) . next time ' m Chicago , place settle , location , value , comfort , class , service ... first class , truly perfect experience all - around ! 
 May 22 2009 	 well appoint hotel good location . great pastry chef course ! 	 stay 4 night cost 3 . Suite relatively good deal - comfortable well appoint tho ' relatively low floor give tall building neighborhood . service excellent around . hotel restaurant crowd ( local ? ) accommodate we Sunday morning , concierge steer we several nice neighborhood alternative . delicious pastry restaurant addictive french candy front desk . 
 May 17 2009 	 extremely good hotel- excellent staff 	 absolutely everything first rate hotel one downside . charge $ 47 PER NIGHT parking massive turn off . if be parking , first rate hotel . restaurant nearby possible shopping . try Japonais Restaurant absolutely memorable meal warn , either book get . 
 May 12 2009 	 great hotel . great location . 	 hotel everything need weekend away ( long ! ) . Decor fab staff really friendly helpful . hotel locate 2 minute walk Michigan Avenue , right near John Hancock build lot shop . always judge hotel room bathroom ... one lovely ! room good size ( good sized crib not problem standard room ) bed comfortable . not eat restaurant ( not fancy anything menu ) drink dessert hotel bar ( Le Bar ) delicious . Tempo Cafe street hotel ( 1 minute walk ) serve great breakfast / brunch - get really busy Sat / Sun 's worth wait . not drive , parking hotel look pretty pricey ( although ' m unsure parking rate Chicago general ! ) nothing bad say hotel Chicago . Loved ! 
 May 11 2009 	 Perfect Hotel First Chicago Visit 	 stay three night Sofitel ' third night free ' offer - extremely good value . Booked ' suite ' upgrade one bedroom suite floor 15 . room great good sized living room vestibule lead bathroom bedroom . floor ceiling glaze along one wall mean entire suite light airy whilst orientation allow feel quite private . great bed . good bathroom - although bath seem quite high whilst would not say small ( reviewer comment ) european size ie deeply typical US bath . service hotel faultless . open front door , rain umbrella provide abundance door concierge service excellent help everything restaurant reservation ( cancellation ) site see tv scheduling ....... well not want miss American Idol result . good location one block John Hancock tower top end Michigan Ave plus easy access store . plenty good restaurant coffee shop around . negative ? well chocolate pillow turndown would prefer cool bottle evian provide bedside cabinet day . 
 May 8 2009 	 wonderful experience 	 stay two night hotel 20th anniversary . location fantastic , near great shopping , restaraunt entertainment . staff great . bed comfortable ever sleep . want take home ! room hall quiet peaceful . bathroom incredible , sparkle marble , huge space , impecably clean . side expensive park car . YIKES ! could ask well hotel definately stay . worth every penny . 
 may 7 2009 	 amazing nice hotel 	 Sofitel deserve number 1 tripadvisor ? possibly . be house great neighbourhood near lovely bar restaurant bit character heart downtown . also set architecturally impressive building . service , especially concierge , absolutely great book we dinner nice restaurant . also like little touch like free internet print well trendy bar rather lethal absyinth menu ! 5 star ? well ' luxury ' room nice nothing amazing . bed not big though comfy room quite big city hotel , would not say wow factor . also slightly business - like pine desk area could lifted ikea catalogue . also agree reviewer bathtub - far , far small really difficult relax soak . overall fine certainly not regret stay Sofitel , perhaps go back Chicago would look somewhere room bit luxurious . 
 May 2 2009 	 Perfect Location 	 daughter spend two night Sofitel Water Tower college visit . although little time take advantage many amenity offer hotel , find room clean , bed super comfortable . first trip Chicago thrill location hotel walking distance Lake Michigan , ton shop , many attraction . hotel staff encounter stay courteous professional . 
 Apr 29 2009 	 great location great service 	 live close live Chicago , Chicago Wabash , purposely choose return area convenience factor . excellent restaurant within 5 - 15 min walk , shop close . subway ( red line ) 1 1/2 block away ( Chicago Wabash ) . 3 - 4 grocery store within 15 min walk ( Potash Brothers close , Trader Joe , Whole Foods , Jewel - Osco ) . service hotel excellent , hotel room typical Sofitel standard - much else add ' ve sofitel . 
 Apr 27 2009 	 not get 	 & quot ; wowed & quot ; review , excited booking stay . interior designer also really love hotel , judge review , versus experience , conclude get stump - end room whole place . room absolutely tiny ; get door sleep area , go narrow hall . bed 9 & quot ; away closet run along - side , make hassle hang clothe . fussy lighting ; one lamp desk give soft glow , uber - modern sconce flanking bed give harsh , in - your - eye glare -- cool . bath light bright bright option , cool romantic bath , etc . bath : separate tub shower , 5 foot , nine - inch tall woman , cheap , acrylic tub crampy , nice bath . bath toiletry european label & quot ; natural & quot ; name ... chemical look label , shea butter green tea extract , etc . , sight , un - pronounce - able ingredient -- yuk ! Robe nice , slipper nice touch . Loofah nice , -- could enjoy micro - tub nice Motel 6.bed comfortable -- think queen , possible ? ? ? seem small king , husband swear queen - size , order king . plush comfy . good reading light , however . so would stay ( fact , 2 night move Talbott around corner , completely different ( traditional vs. super - mod ) , cozy well - do , player trip sure ! ) -- conclude must somehow give one extremely average - to - poor room whole place . yes , cool super - hip lobby , slick bar , average Marriott day . devotee , enjoy -- not get ! 
 Apr 23 2009 	 5 Star experience 	 hotel highly convienient everything service knock . concierge first rate ( Thank Heather Brian ) rest staff . request respond quickly extra courtesy . taxi accident need ice injury bell man bring package chip ice wrap towel . another example among many , housekeeper vacumning , see come push elevator button ' wait . General Manager ought quite proud staff . dining room ' disappoint . enjoy wonderful appetizer tuna tartar avocado relish top . dessert one happy camper . picture shallow bowl pink strawberry crème Anglaise white float island , almost like fluffy cloud white poach meringue , sit top . underneath float island scoop stew rhubarb tuck bottom white puff . wonder dish like ' menus course , realize french hotel . say Bravo . travel different season , chef recreate dish base seasonal ingredient . if watch weight check egg white scramble . 
 Apr 22 2009 	 Nice Hotel Good Location 	 read many review prior select Sofitel Water Tower recent visit could not believe glow majority ... sound fantastic . stay five night , attest hotel nice well situated . service courteous prompt , outstanding ... not think anything ' ve experience hotel . want solid , well situated hotel heart Chicago 's great ... extraordinary . think little odd wireless internet access provide third party less hotel 's wired service . say would reccomend hotel provide decent value overall . 
 Apr 18 2009 	 Excellent hotel great location 	 Sofitels bit hit miss , one really great . room top floor amazing view . room bathroom good size clean . furniture seem new , none tattiness see Sofitels . a - club member , get voucher free drink bar , atmospheric , floor ceiling window give great view snowstorm outside . restaurant good too . the location nice , close great shopping lot restaurant . would definitely stay . 
 Apr 16 2009 	 truly great hotel 	 quite bit travel love boutique hotel . something Sofitel chain feel make really wonderful place stay around world . usually stay Sutton Place Hotel hotel well . 's something make well lot 4 star hotel . room oh clean - dust might find place . bathroom PRISTINE . size room large design still make room cozy - different feel standard avg . hotel room . hallway elevator beautifully decorate view 17th fl amazing ! bed featherbed uber comfy room offer plenty desk space work . hotel charge wi - fi room tmobile cheap per day get . 's level quality make hotel fave Chicago . cut boutique hotel actually fit style Sofitel always clean , service friendly consistent importantly . like staff courteous , helpful friendly - professional - w/o try friend hotel . ' m Chicago visit trip Chicago 1st time , location Gold Coast ideal restaurant shop . 
 Apr 9 2009 	 good hotel chicago 	 wife stay 7 night say hotel excellent . room large clean bathroom large clean.the hotel location selling point everything doorstep . never try hotel restaurant simply many nice place eat around always busy . staff attentive good fun bar staff . overall would tell anyone read review stop waste time read chicago hotel sofitel perfect .......... spend around 6 month per year hotel work know ! ! 
 Apr 6 2009 	 Terrific Hotel Location 	 Sofitel Water Tower Place one favorite hotel America . probably spend average 15 night per year never disappoint . location great - one block Michigan Avenue , Water Tower Place , two block high end fashion Oak Street . also easy walk distance Gibson 's , Whiskey Bar , level night club , Le Coloniale restaurant , really rowdy party district end Rush Street . hear sound inside room . the staff attentive without pushy ( cary bag , thank ) . often surprise parking valet one desk staff remember name even not hotel several week . the lobby spacious modern great vibe . international clientelle stay . room well appoint , believe flat screen HDTV . feel luxurious contemporary bed perhaps well anywhere . crawl big Frette comforter , pile pillow , will never want leave . bathroom fantastic . cream marble blonde maple finish . well design vanity mirror / light anywhere . good shower pressure ( bathroom outside wall take long time get hot water winter month ) nice bath product . all room nice size . upgrade & quot ; executive & quot ; ( whatever call ) get large work desk small seating area . room also separate tub shower . if splurge suite , ask room end 01 08 . 01 room triangular point hotel nice living area separate bedroom . room somewhat unique , corner building expand higher go . 08 room even large still even large bathroom separate toilet room , shower , bath tub ( Jacuzzi ) lot room spread out . unforttunately , year , many highrise building build around hotel , lake view limit . still great view city . Le Bar downstairs good spot cocktail often great scenery matter gender orientation . also get dinner serve Les Architects , hotel restaurant . Les Architects always good restaurant . however , bring new chef aboout year ago quality improve significantly . good food here . if want camp room without use room service , Potash Bros. market behind hotel nice wine gourmet food store well . if stay Sofitel Rosemont near O'Hare unimpressed - . Water Tower Place location 100 time nice . I also recommend James hotel general part city . 
 Apr 4 2009 	 good place downtown chicago ' ve try 	 new favorite place stay downtown chicago , ' ve hotel least 4 time . room clean , wonderfully design comfortable . staff friendly , service focus - restuarant great , especially breakfast fruit crepe . love hotel . 's great location , good consistent service quality . 
 Apr 3 2009 	 good value - walk distance Michigan Ave lake Water Tower ... 	 new fan Trip Advisor Sofitel . husband want get away city day sightseeing . book Sofitel since Trip Advisor rate high . fufille expectation . able check - in 9:30am , drop luggage walk couple block Water Tower , Hancock , Michigan Ave . etc . would hope catch sunrise lake a.m could not see window ( tho recommend high floor view city ) . fun 10 min walk lake early hour . appreciated early review El Tempe Restaurant breakfast Pizzeria due dinner - work well . nice stock fridge room evian water nighstand bed nice surprise . fitness room bite tight space bowl apple banana , nice touch . absolutely complaint . 
 Mar 25 2009 	 nice hotel 	 nice hotel excellent staff . large room size exceptionally helpful staff really make place great . able check early easily get large room top floor simply ask . fail pack umbrella hotel happy let borrow one stay . bathroom spacious lot amenity separate walk - in shower . room everything except coffee maker . need coffee morning , get complimentary coffee downstair restaurant downstairs ( happen good ) start 6 am . tight budget , not look hotel bar save $ $ . 's good expensive . agree everyone else -- Tempo cafe end block place go hearty breakfast . please note , take cash . also starbuck around corner . dinner , highly recommend walk block Pizzeria due classic Chicago deep - dish pizza . be $ 10 will wait 30 minute . be worth every minute ! another good option Frontera Grill gourmet mexican food ( sure make reservation ) . downside pay internet access room . otherwise , offer business center free internet access . 
 Mar 23 2009 	 top floor view lake 	 Excellent stay , staff friendly efficient . large well appoint room top floor view lake , nice bathroom . starbuck Potash grocer within block need coffee beer prefer pay 5 * price . 
 Mar 18 2009 	 can not wait go back 	 usually stay hotel Chicago decide something different . glad decide try hotel ! ! lobby smell WONDERFUL . staff friendly helpful . room exactly appear picture . definitely stay hotel . go ahead splurge least . will glad . great inexpensive breakfast , try little restaurant opposite end hotel name El Tempo Cafe . nice portion great price . 
 Mar 16 2009 	 excellent hotel - staff helpful crisis ; can not wait return 	 wife two teenage daughter stay hotel 4 night late july 2008.unfortunately , eld daughter take ill first night stay spend rest time hospital discharge consider well enough fly florida.the hotel brilliant help we illness , reception staff invariably ask pass & amp ; hotel way visit hospitalnevertheless , hotel great determined return enjoy hotel happy circumstancesthe good thing hotel we arrange limo meet us airport , suggest arrange first day ( illness strike ) we go historic river cruise ( concierge get we last 4 tkts last cruise day ) , also daughter become ill middle night quickly courteously scene see run one room another 4 a.m. also arrange taxi guide we near emergency room , phone first whilst way advise imminent arrival.in opinion , two massive factor rate hotel : cleanliness absolute first , location thereafter . common area , bedroom bathroom hotel spotless ; towel bed crisp clean ; great range toiletry bathroom . hotel brilliantly situate , safe walk main shop sight central chicago daughter 's illness connection stay hotel ( return kidney stone suffer week arrival US ) , care show night staff / security team respond early hour presumably see we dash across hallway CCTV exceptionally reassure retrospect.the hotel also good value ; book first choose stay price sensational , time actually book week later price go - still reasonable first price fantastic regret booking . clearly , position book several month advance , saving make ! ! 
 Mar 14 2009 	 spoil ! 	 get good deal suite Sofitel decide splurge , disappointed ! hotel location fantastic -- nice walk 2 block Water Tower Place -- property great . suite modern bright impeccably clean , great view city . beautiful , fresh orchid living room bathroom , turn service personalize note chocolate . roomy bathroom , bedroom , living room . safe be big enough accomodate laptop great -- small . two kid we call get linen sofabe , housekeeping staff came make bed quickly take care request extra pillow , etc . concierge great restaurant recommendation , , not try push we hotel 's spot . would love return ! one note ... 's hotel 's fault , parking pricey . be attach independent garage , cost we $ 34 day . ouch . would great Sofitel could work sort validation / discount . 
 Mar 10 2009 	 good value 	 get great rate . stylish decor relatively small hotel . friendly staff . upgrade free supplement king size bed bit steep otherwise . happen bar . Liked free computer available use 
 Mar 8 2009 	 Best Hotel Chicago 	 every thing top notch sofitel . minute arrive immurse pure luxury . prestige suite stay spacious luxurieous . bath room great wall wall marble . great service staff . good stay Chicago ! 
 Mar 4 2009 	 clean comfortable great location ! 	 stay two night well half birthday weekend city , pleased hotel . decide spring suite since birthday . receive nice rate book directly hotel website ; much cheap standard room comparable hotel . room spotless , well appoint two flat screen tv , Bose Wave Radio nightstand - nice touch . staff always friendly always greet & quot ; hello & quot ; smile pass hallway . despite great room friendly staff , main attraction Sofitel location - step Chicago 's iconic destination . overall , would not hesitate stay . 
 Feb 24 2009 	 not mistake high price high quality . 	 great hotel great location . 2 block east north end Michigan Ave near Hancock / Water Tower Place 900 Shops . 2 block south Chicago stop Red Line subway . Good McCormick & amp ; schmick across street . coffee shop ( Tempo ) 2 small market ( Potash & amp ; Goddess Grocer ) city block hotel . great bed - great bathroom - good ( mostly numerous ) staff . stay try top end property . 
 Feb 22 2009 	 great location . fantastic bed 	 read great review advance disappoint . everything pretty much first - rate , especially bed . staff also great . okay pay wireless bit downer , downtown Chicago within easy walk distance , room surfing web . 
 Feb 19 2009 	 Excellent experience 	 go long weekend Valentine 's day - moment arrive moment leave , service excellent . room ( King suite ) spacious nicely decorate , hotel great location staff helpful . definitely would recommend . 
