perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Nov 10 2008 	 Great Location ! ! 	 talk location ! like shop lovely hotel minute walk Bond Street Oxford Street - walk ( luggage ) tube 's close . hotel situate Grovsner Square beautiful park right next hotel USA Embassy . since tube close access wonderful site London offer . make sure take play - see Billy Elliot & amp ; fantastic . concierge quite nice helpful . room nothing special expect price , room size Standard room London decent size . breakfast buffet good try get include discount price . nice restaurant eat ( price range ) . time would recommend take Big Bus Tour - let see major site helpful planning sightseeing schedule vacation . beatle fan Bus Tour also ( include price ) give walk tour fun another way see sight . 
 Oct 24 2008 	 ok nothing special 	 usually get pretty good rate hotel . location really good , close Selfridges . room sixth floor overlook Grosvenor Square , suffer internal extermal noise . small quite cramp , tv old reception poor . room quite tired - window would close properly half secondary glaze miss - really acceptable upmarket hotel . the bed enormous comfy . typically old hotel retro - fit air - conditioning task , room ( fact whole hotel ) hot , even October . continental breakfast nearly £ 20 include & quot ; optional & quot ; service charge good value tasteless orange water juice , coffee poor selection roll pastry . french toast another day lamentable soggy slice white bread - yuck ! . get breakfast Gordon Ramsay 's Maze bistro side square amount . go round corner Richoux North Audley Street ( turn leave front , turn leave ) . half price Millennium excellent breakfast beautiful olde worlde surrounding . will not need eat till supper time dare New Yorker ! highly recommend . 
 Oct 5 2008 	 warm friendly hotel 	 take 4 year old daughter London birthday stay two night - brilliant . staff could nice , always provide little activity breakfast table daughter , make sure fruit room doorman outstanding , always chatty , ask we going enjoy offer we plenty tip get good stay . the room spacious overlook Grosvenor Square , good standard . the breakfast good , not eat ther evening menu sound delicious . anyway , return fortnight us place London receive warm welcome - can not wait ! ! 
 Sep 29 2008 	 would definitely stay 	 book last minute Expedia get room ( # 619 ) avge . $ 300 night , include taxis . price , expect something cramp old fashioned . instead , get spacious room , beautifully decorate , lovely view Grosvenor Square . we pay price trip tiny room less - than-4 - star Cavendish Hotel St. James . millennium available rate ? maybe be still suffer reputation Polonium 210 poisoning site russian defector , Alexander Litvinenko . ( make point tea Pine Bar , relive crime . ) maybe people not like across square American Embassy . embassy recently & quot ; hardened & quot ; great security , remain major target anti - american sentiment . one complaint internet use . cost $ 40 per day 24/7 internet access . alternative purchase 5 - pound card front desk , allow 4 hour access . expensive , system definitely low tech . bottom line : feel like stay lovely & quot ; expense account & quot ; hotel get ( London ) bargain rate . 
 Sep 29 2008 	 good value location get special deal 	 stay last week overnight business trip , book laterooms.com - deal £ 99 double rather standard rate £ 250 per night . £ 250 would worth money , £ 99 definitely - hotel really convenient pretty safe location - round corner Claridge 's ( ! ) 5 - 10 minute walk Bond Street Tube station - room really good size ( King - size bed include , bathroom reall good pwerful shower ) . slight negative were:1 . furnishing bit worn - bit rust round shower wood furniture bit scratch date - looking.2 . biscuit coffee set room ! minor point , realise , have pay £ 250 night would feel disappointed , think 's little touch like really set apart 3 4 star place ( supposedly 4 - star hotel have thought could afford complimentary bourbon least ! ) 3 . lady checkout desk next morning feel quite rude snappy manner . £ 99 bang centre London great deal , would certainly stay price . 
 Sep 26 2008 	 great location - terrible room 	 stay weekend September Millennium Mayfair hotel . second stay since satisfied last stay decide come back . location : love location . grosvenor square comparable quite area , big park right next hotel . Bond Street Station ( Central Line ) Green Park ( Picadilly Line Heathrow ) nice 10 minute walk hotel . Oxford street Regent street also 10 minute away . be elegant , expensive neighbourhood . pub restaurant 10 - 15 minute away . post office closeby . room : arrival pleasantly surprise , get upgrade big Studio room , number 136 first floor . unfortunately room real disaster . wing hotel , heavy renovation ongoing day . noise dust everywhere . next , room right ballroom , wed party ongoing saturday night early morning . try change room , told & quot ; overbooke & quot ; ! ! shame , hotel like assign room guest . I write complain hotel never receive answer . generally room nice bit outdated . Most probably stay agasin Millennium Mayfair room experience . location London bad night less money ! 
 Sep 15 2008 	 enjoy stay 	 come London weekend break stay one night . room rate ( £ 98 ) excellent elegant hotel great location . allow check early also upgrade Deluxe room ( perhaps broken leg something ) . room look Grosvenor Square comfortable . choose eat hotel bit pricey plenty restaurant / cafe nearby . 
 Sep 13 2008 	 would never stay 	 rude staff ; water bottle room open , bed strong perfume order cause allergic reaction , $ 40 / day internet fee , feel welcome ; service poor 
 Sep 13 2008 	 Nice Hotel Good Location - Good Value London 	 stay evening London , hotel convenient 5 min walk Bond St tube . go meal manage get back hotel without rush problem ' London Transport Shut ' . consider hotel centre London room reasonably price . the room small clean well appoint , bed little hard like shower amazing ! staff friendly , lovely piano bar relax evening . would stay visit London night . 
 Sep 11 2008 	 great location - good 4star 5 	 good solid 4 star hotel great location . not relly deserve 5 star minor cosmetic issue room chip furniture tile bathroom flush wall . also tad disappointed breakfast glad not pay £ 22 plus 12.5 % service charge . mushroom cold bacon well cut price . rate 4 5 overall three would justice overall . 
 Sep 9 2008 	 waste money 	 1 . night change room ( 2nd floor ) terrible noise nightclub etc . , totally impossible sleep ! breakfast quite poor . & quot ; refigurate & quot ; room key 4 time one week stay , allway stop work reason ( nobody care ) ... Cleaner come room allthough hanged & quot ; please not disturbe & quot ; -sign ... 2 call laundry claiming call , course not ... obsene price drink Pine bar ( cheap 9,5 pound ) .Room wearn , paint work do poorly . shower really old always hot water provide . stay many 4 5 star hotel Europe ; totally bad . would rate 3 star . 
 Sep 6 2008 	 bad experince 	 stay millennium end august 2008 hotel fantastic location good deal last minute .com arrive put room look hotel heating pipe ask change . lady front desk start bargain ; well room pay extra 40 £ per night . refuse pay extra money move 7th floor heating ! room freeze .at point put foot ask decent room meet manager . eventually move one . food hotel terrible priced.i surely would recommend eat . shame nice hotel bad service would recommend stay despite lovely location . 
 Sep 3 2008 	 Great London hotel good service will receive UK 	 room hotel rival high - quality 4 - star hotel London , staff make hotel favourite London business hotel . unbelievably cheery remember even though ' m month ! room extremely clean , lobby lovely , corridor clean impressive . add bonus like nice toiletry international plugs hotel room make pleasant hotel experience . will not stay anywhere else London . it be overly convenient tube stop , close good 10 - minute walk away . be always plenty taxis - make sure cash taxi accept credit card take long , esp morning peak hour . 
 Aug 30 2008 	 avoid stay hotel 	 hotel overprize . room unfortable terribly small . hotel update . really 5 star hotel . staff unflexible . case something go wrong , expect much . 
 Aug 28 2008 	 great short break would stay £ 99 	 great short break , would definately stay . 5 min walk Bond St tube / Oxford St shopping . helpful friendly staff , especially concierge even though obviously busy queue people look . run standard room bump Superior , not think 's much difference little big . tv tea / coffee facility fine . able leave luggage seperate secure room day check free useful ! many review say room small fine we ( couple ) would expect central London hotel tidy clean . real view room , £ 99 not complain not expect one . cheap , cheerful actually quite smart . not use restaurant bar , bar price high compare pub 1 minute walk away ( probably line hotel area ) . room tidy , bed comfortable furniture / decoration good see hotel double price . would definately recommend stay . 
 Aug 25 2008 	 great location 	 stay hotel single night business . very impressed reception service receive . bar excellent would recommend afternoon tea spot luxury ! bedroom bit let though ; small quite average , have disappoint have pay rather company . overall good , great location ! 
 Aug 25 2008 	 disappoint 	 * * would recommend pay * guarantee view * ( see ) * * , wait day arrival book , occasion do would save nearly £ 200.and hotel vast would appear rarely fully book . overall impression hotel impressive , smooth check , friendly staff lobby grand . booked room via late room pay extra £ 20 guarantee nice view . room actually overlook grim part rear hotel include three wall concrete boiler room pipe . contact reception state pay extra view , tell payment guarantee spectacular view take consideration request . 
 Aug 6 2008 	 central location nice ( refurbish ) room 	 hotel 5 minute walk Oxford Street , quiet square surround embassy not get much noise stay right Oxford Street . refurbish room quite large single traveller enormous king bed , desk , chest drawer , etc . bathroom modern clean . thing small point really quite annoying lighting room . light ceiling door standard lamp far corner room , night not enough light bed read . apart , could not find fault would consider future ( provide could get recently refurbish room good rate - pay £ 99 lateroom ) 
 Jul 23 2008 	 mark 	 find room extremely dull small , definitely worth price . hotel lobby depressing though staff courteous location excellent Bond Street , Oxford Street great restuarant walk distance . would stay hotel . 
 Jul 17 2008 	 5 star quality 	 hotel clean staff polite helpful . however , find room bit disappointing , consider high cost star rating . vanity bathroom ( small area around sink ) . also , electrical outlet hair dryer , curl iron , etc . I dry hair sit bed . hair dryer provide ( not work ) , attach bathroom . there clock room either . since watch not light , get check time . by american standard , hotel would three star . Grosvenor 's Square little beat path , good location underground , park , etc . nice stay someplace away crowd congestion center London . 
 Jul 15 2008 	 APPALLING overpriced 	 look forward stay centrally locate hotel however leave disappoint wished stay less expensive hotel service receive not warrant 4 * rating . we leave wait 40 minute room specifically request twin room , ready , offer assistance baggage ( currently 7 month pregnant ! ) get room key not work , expect return reception collect new key insist bring I . when walk room , twin room , housekeeping yet check room . reception call back tell we wrong room could move ! ! halfway conversation , ask could put hold deal another guest , spite fact make perfectly clear happy service far ! ! ! ABSOLUTELY PATHETIC ! ! 
 Jun 10 2008 	 great location 	 stay time , love location room sometimes bit need renovation . 's old building , take account , room decor bit bland , tired looking , bathroom average . able upgrade suite one stay , separate work large desk , closet , sit area , much nice bathroom . service always good overbearing , like , view room stay overlook square lovely . might little old world , sure people would find charming . main issue last stay AC work , room would get hot night , make difficult sleep . also , room strong , musty smell come bed area , associated linen not first night . second night room make , smell still go away , complain could pin point actually come . happen last stay , can not say 's major issue hotel , would make think twice stay . 
 Jun 3 2008 	 Excellent location 	 stay Millennium Mayfair one night may find thoroughly enjoyable . standard room nice clean , service impeccable , location excellent . seem road construction work area may become problem ( taxi cruise around bit find hotel amongst diversion ) . one even couple night , Millennium definitely somewhere would go . 
 Jun 1 2008 	 Fantastic Service ! 	 return stay Millennium Hotel reading review bit skeptical . say everything stay 100 % perfect ! FREE upgrade junior suite include entrance millennium club lounge 7th floor ! staff professional friendly nothing much trouble . room spacious immaculate beautiful view square . I Coeliac usually eat bit nightmare ( fellow suffer understand ! ) . breakfast morning Club Lounge variety choose .... Rice Crispies , fresh juice , yoghurt , fresh ham cheese , boil egg , fruit etcthis hotel situate street behind Oxford Street , shopper paradise ! ! ! hard day trudge around shop ( hard work someone get ) great sink huge , soft , spotlessly clean bed rest weary foot arm . never write review feel write one light read previous review go . think even come across problem staff Millennium Hotel helpful would immediately rectify problem . definitely return bring daughter day shopping sight seeing . 
 Jun 1 2008 	 Fab Location 	 Stayed bank holiday weekend . great location , within minute walk Oxford St , Bond St tube , Bond St , Park Lane Hyde Park . round corner Claridges Connought . room good size clean . not use hotel facility can not comment . not breakfast part deal , however find fab little cafe side Square , food delicious . enjoy stay would stay mainly location . 
 May 21 2008 	 great hotel great location ! 	 husband stay 3 night may pleasantly surprise room hotel . nice room spacious . expect something small size enough room we lie 4 suitcase still room walk around room . hotel great 's middle everything . walk everywhere . short walk Hyde Park , Kensington Palace , Buckingham Palace theatre district . good sized bathroom full tub . we room look square nice king bed . staff helpful room clean . great option 4 star hotel price . 
 May 19 2008 	 Definately 4 star Deluxe 	 recently spend 3 night Millennium MayfairLocation perfect , 5 min walk Oxford street , 5 min walk tube station City bank . tell 4 star deluxe , difference 4 star 4 star Deluxe ? ? ? ? God know ... opinion do not even deserve 4 star . the room extremely tired , decoration 1970 's ! Wall paper tired , carpet wear ( request sleeper , want put foot ! ) , furniture scratch . old tv .... pay £ 270 , price expect high standard . ready pay high rate long service follow . Millennium Mayfair completely fall aspect . air conditioning poor , could hear neighbour tv ! one night way much , could hear music ballroom 1 am ! toileterie basic , say cheap , even Hilton Marriott well one ! staff polite , would go extra mile , neither escort room . check check , quick , customer care . ok , room spacious , please invest bit money change horrible carpet wall paper . shame get digital camera , well wear out . room service fast , food excellent . Breakfast ok , pay high price get cheap quality stuff ( back bacon ! ! ) maid , speak little english , however want get member staff help . dine restaurant , apparently chef famous . menu sound appetising . if wish stay , make sure 's bargain price . pay high rate , definately find something much well area . 
 May 14 2008 	 still Waiting AIrline Points Credit 	 arrive early hotel , first room offer standard expect property . second room much well . location spectacular , overlook beautiful Grosvenor Square . one thing irk , though , day American Airlines point credit stay , disappointing , even though make one follow - up phone call month stay . 
 May 14 2008 	 Excellent Location ouch internet 	 try various hotel London , Mayfair Location attract we Millennium . get upgrade slightly large room , even though tv awkward angle watch bed room size adequate ( especially London ! ) one complaint extortionate cost internet hookup ( 20 pound ) 24 hour . Heathrow Terminal five debut day keep informed . 
 May 8 2008 	 Excellent stay 	 Millenium Mayfair excellent hotel , would highly recommend stay . service staff exceptional , especially wonderful concierge ( ) . concierge hotel exactly would expect concierge - helpful incredibly knowledgeable touristy sight great place eat ! room small tidy , bathroom clean , room service pricey tasty would definitely stay . read many many tripadvisor review go London , find positive negative comment hotel . 's impossible find perfect hotel ( opinion ) , however , Millenium good hotel ' ve stay London far . get decent price ( $ 350cdn / night incl . breakfast ) close good London . walk distance major sight , great pub close tube . 
 May 5 2008 	 Overnight London 	 retire 39 year work , feel would love overnight London end retirement week . unable get hotel first choice fully book ( decide quite late want expense spare weekend . late book May bank holiday weekend ) reserve book late room . com . when get hotel , disappointed welcome reception desk . brisk welcoming . give additional information sort key card . noisy hotel lobby husband , hear impair find quite difficult hear say . ask say repeat , say bored indifference . we find room large lovely view Grosvenor Square . however decidedly ' tired ' outdate ' design . room spotlessly clean . bathroom surface clean spoil minor thing . eg shower screen sit bath grubby . long tissue metal tissue box still wall . ( paper box instead . problem please remove metal box . ) marble sink surround obviously break badly mend - look could harbour germ . floor chip look though dirty mark form splash . not come leave slightly unclean feeling . water lovely hot . we ate think would drink bar pianist . not stay ( bar empty ) pianist loud could not hear speak . we delightful cocktail bar staff pleasant . we decline breakfast seem exorbitant especially 12.5 % add . instead delightful breakfast member room Tate Britain . check simple lacking warmth . experience would rush . 
 Apr 20 2008 	 go Club Class 	 Booked room three daughter stay we . book suite check tell book suite get complementary grade use club lounge . give we exclusive lounge , free breakfast , free coffee / tea scone pastrie day free drink Canapes 6 - 9pm every night . worth easily £ 150 welcome . bedroom large money spare . bed massive bathroom really good . view Grosvenor square window make feel exclusive . restaurant japanese restaurant amazing . downstair cocktail bar piano bar well worth visit . 
 Apr 19 2008 	 good stay 	 Booked lateroom get great rate 116 stg . stay one night Feb 12 , give big room London standard . tea coffee make facility / bathrobe / slipper . bathroom clean towel warmer , bed comfortable . furnish room little date , shabby . although location hotel nice , usually prefer something much near tube station , one get back really tired long day walk London , last thing want trek back hotel tube station . say , 8 minute walk Bond street . try restaurant , look nice . basically .. complaint . hotel good . even respond request early check ( 10:00 ) late check ( 1:00 pm ) . 
 Apr 9 2008 	 Great love ! 	 book mini break last minute get good deal flight hotel work 150 euro per person per nightThe hotel good location , five minute stroll Oxford St Bond St situate leafy square park , american embassy beside hotel several office lovely home . the hotel lovely , upon arrival upgrade club mean access club lounge free sofas tv , cocktail canape 7 newspaper . our rooom club floor big , nice bathroom great bed . mini sitting room flat screen tv pay view movie pay breakfast serve nice airy bright dining room Turner 's restaurant hotel fab foodthe staff polite , one occasion porter accompany Selfridges umbrella since rain , excellent experience use hotel london 
 Apr 2 2008 	 good location central London 	 generally good stay Millenium january year . fantastic location good entertainment bar . room comfortable soundproof awful . back room around 24.00 awaken around 04.00 least 4 people party next room . wife not think good idea go tell shut case thing get hand contact reception sort , not , another hour contacted - send somebody word problem not stop around 06.00 time slightly p'eed . hotel deal problem soon become problem - especially room rate quite high . apart issue enjoy stay Millenium Mayfair 
 Mar 31 2008 	 Fantastic 	 look lot London hotel good friend decide good location girlie weekend . arrival staff pleasant efficient check within 5min . return hotel late night find restaurant close tell could get light snack bar close 2 am . food bar limit good quality consider 11.40pm surprised . even though bar close 2 am stay till 2.45am problem ( last order 2 am ) . check simple check . parking ok free Easter weekend hotel easy find . hotel absolutely fabulous , journey home friend plan next visit . would advise one want good weekend London partner , family friend try hotel . disappoint . 
 Mar 24 2008 	 great location 	 hotel good value Mayfair . centrally locate service good . London end year probably book another stay Millennium London Mayfair . 
 Mar 23 2008 	 great stay Millenium Mayfair ... 	 excellent location , great deal lastminute.com get complimentary upgrade studio room overlook Grosvenor Square - could not ask ! 
 Mar 21 2008 	 excellent hotel 	 stay two night book superbreak . email hotel prior arival inform celebrate husband ' birthday treat lovely complimentary bottle wine arrive room . check smooth offer upgrade reasonable price stay deluxe room overlook square , accept . room ready arrive mid afternoon receptionist give we two voucher complimentary champagne bar wait . room spacious well apointed , bathroom small compare room adequate need . bed extremely comfortable well . continental breakfast include rate able enjoy full english extra £ 3.50 good value . service restaurant bar excellent . could not fault - fact , staff member polite friendly . never stay , usually stay mayfair though , definitely return . hotel gem great location , goodness know low trip advisor rating , opinion top 10 , compare hotel ? would totally recommend hotel great stay London ! 
 Mar 11 2008 	 Great Base City Break 	 cheap option available London break Millennium great location not spend fortune . street surround hotel full pub , restaurant cafe breakfast , etc . five minute walk Oxford Street Bond Street tube station . hotel staff friendly attentive though not need speak much run smoothly . check - in relatively late keep bag hit town not waste minute . applie check - out . 
 Mar 10 2008 	 could fault mayfair 	 book single room see room give king size bed view square arrival offer full english breakfast £ 12.50 stead £ 22.00 normal price London happy take offer up . the room breakfast fantastic thought bar price vere high price , may I m old wold . all together good hotel , would stay 
 Feb 28 2008 	 can not beat location shop 	 city reasonably price hotel good location rare , Millennium Mayfair fantastic ! close shop Oxford St. , Marylebone , Bond St. Green Park , need two foot take anywhere 5 ten minute . hotel bad , hotel globally go , London hotel - certainly average . king room huge bed husband , 4 year old son sleep easily ( would like extra blanket though ) . room average size cleanliness level 5.5 scale 10 ( notice champagne cork corner first day ) . bathroom lovely warm towel rack , though could find hair dryer . be willing pass stuff , hotel good value - save lot commute expense time . not luxurious , , not tragic like London hotel call luxurious far standard . 
 Feb 21 2008 	 Brilliant Hotel ! 	 Girlfriend stay Millenium Hotel Valentines weekend 2008 , wonderful romantic trip . hotel less 5 min simple work Bond Street Tube station , easy , quick walk Oxford Street , Regent Street lot surround attraction . on arrival standard double room would book ready , upgrade free charge deluxe suite overlook Grovesner Square . room huge , clean , stylish comfortable ( especially bed ! good night sleep age ! ) morning despite pay Continental Breakfast , full english breakfast throw free , food great ! service Brian Turner restaurant . the staff polite helpful , add hotel 's reputation . enjoy stay immensley definately return next London trip ! 
 Feb 19 2008 	 nice hotel superb location 	 stay hotel Christmas . the standard room book small many UK hotel . offer upgrade fair price accept . get mini suite face square . the location superb minute walk Oxford Street Selfridges . the hotel good would definitely consider next time London . 
 Feb 12 2008 	 Perfect birthday 	 stay last weekend birthday opinion Millennium Mayfair get well , much would reluctant stay elsewhere London . apart convenience able walk everywhere ( seldom home ) . friendliness efficiency staff , especially Reservations second none big plus know smile seem trait sadly lack London . spotlessly clean room super comfy bed - could ask ? Kerry 
 Feb 6 2008 	 great ! 	 clean , good location , typically small english room . good amenity , safe neighbourhood , accessible various London attraction . worth re - stay ( expensive ) . 
 Feb 4 2008 	 doctor order 	 husband come back weekend stay Millennium Mayfair Hotel fantastic . location hotel perfect , hotel sit one side majestic Governors Square minute walk Oxford St Bond . st tube station . hotel staff friendly willing help anyway refreshing treat value guest number . room ( 6th floor ) clean cosy perfect day away home . bed comfortable big enough accommodate hubby , close 6 ft , plenty room leave . bathroom small everything clean good working order . I would highly recommend stay hotel represent we real value money : get quality room amazing location . 
 Jan 30 2008 	 Great Location 	 hotel superbly locate Grosvenor Square , near American Embassy short walk away Oxford Street . request quiet room early check - in , accommodate . room stay clean little shabby round edge ( carpet slightly threadbare place arm rest chair quite worn ) . none matter however spend little time room anyway quiet . would recommend hotel highly , especially book last minute get good deal price like . 
 Jan 28 2008 	 terrific experience 	 particularly vile milestone birthday approach want London stay somewhere would ease shock ! ! ! Savoy close renovation book stay three night 6th 8th January Millenium Mayfair via London.com check Tripadvisor website . rating increase steadily last year due believe Damien Wood 's active interest , response action good disappointing review . recommend hotel enough . location well Savoy 's . kindly give upgrade room spacious nicely decorate . bed really comfortable , bathroom lovely tea / coffee making facilite greatly appreciate . however staff really make stay really fantastic . reception desk , concierge desk , breakfast room , doormen miracle worker change chaos room morning sanctuary end busy day amazing . cheerful friendly guest friendly respectful towards . sad think couple year return hotel return certainly . would like sincerely thank Damien staff Millenium Mayfair make stay complete pleasure beginning end . 
 Jan 28 2008 	 great hotel 	 great time millenium . room great , serivice excellent . bath litle small , bad . enjoy stay . 
 Jan 15 2008 	 fantastic ! ! ! ! ! 	 return two night stay Millenium faultless . location excellent quiet area ten minute walk oxford street near tube Bond street . room standard comfortable lovely comfy bed pillow . bathroom small compact excellent . staff friendly check excellent . breakfast buffet continental excellent choice food although partner upgrade £ 3.50 english breakfast excellent can not praise hotel enough sum luxury hotel fantastic locaton brilliant facility staff Thank definateley return . 
 Jan 13 2008 	 Comfortable Stay 	 stay Millenium Mayfair six night ( Jan 4 Jan11 ) . hotel centrally locate within short walking distance Oxford Steet Bond Street Tube Station . the hotel refreshing place return whole day meeting . phone bedside table . hotel offerre upgrade high level room . however already settle room , decline offer move . however , welcome gesture hotel 's part . give choice , would definitely stay location . 
 Jan 10 2008 	 great location 	 staff check - in welcoming . however , give wrong room number , course , key work go back reception sort problem . the Pine Bar excellent venue pre - dinner drink staff efficient . my suite 7th floor lovely . bed comfortable , although would like firm pillow . little disappointed see dread combine shampoo/ conditioner room . downside room difficult regulate suite temperature find warm sleep . end open window ( January ) cool thing little . eat Brian Turner restaurant . poor value money . food tasty ridiculously expensive . starter , consist 5 asparagus tip £ 15 ! unless expense account , would recommend restaurant . the location hotel excellent quick 5 - minute walk Bond Street tube station . 
 Jan 7 2008 	 staff helpful 	 staff hotel could do help we stay . ask adjacent room day rang ask early check . check 9:30 ! staff welcoming also grant late checkout cheery & quot ; problem & quot ; . bed comfy although sign wear tear bedroom spotlessly clean . Breakfast ( continental ) excellent high ratio staff guest rarity many hotel Sunday breakfast service . the location great Pine Bar welcome excellent pianist good cocktail . Hope will not glow dark polonium incident ! ! Brian Turner even open hotel door we chat Saturday evening . top notch ! staff real credit hotel management . seem genuinely happy help we . 
 Jan 4 2008 	 good ! 	 location hotel wondeful - 2 minute walk Oxford Street / Selfridges 10 minute walk Piccadilly . however , many potential area improvement hotel . book Festive Fizz rate directly hotel 's web site , acceptable . check quite unprofessional - female checking we forgot give we room key prompt inform us breakfast serve 0700 1100 . go breakfast one morning 1030 refuse - breakfast 0700 - 1030 ! ! ! general breakfast ok - nice fresh fruit horrible bacon scramble egg . the room : small overlooking service road rear hotel . toilet crack ( room 628 ) carpet wallcovering wear . room facility otherwise good . housekeep excellent . would stay ? probably . cavendish Jermyn street far exceed hotel area would go back stay London . 
 Dec 16 2007 	 Loved Millenium 	 get back weekend Millenium love every minute check quick efficient checkout . even get room upgrade despite get cheap lateroom . the room huge lot big junior suite establishment . king size bed good quality fixture fitting usual trimming . bathroom also huge downside shower cubicle could big . pine bar downstairs cosy despite size hotel although eat , another guest say restaurant also excellent . find staff extremely courteous helpfull include doorman concierge . housekeeping also spot room communal area passageway spotless . I stay two Granges 5 * hotel London Westbury round corner , 4 * rate Millenium Mayfair beat lot . can not wait go back . if bring car beware NCP downstairs charge £ 42 per day . 
 Nov 29 2007 	 good hotel great service 	 husband check early Nov 27 , book room Nov 26 , room ready check . flight delay 3 hour , be exhausted hungry arrive . go straight club lounge , miss breakfast 5 minute . Ali working morning go kitchen bring we bread , sausage bacon . friendly helpful . service extremely appreciated . actually everyone work club lounge friendly helpful . there problem mention previous review , like mattress soft , ceiling low 7th floor , husband hit head twice already . also , heating system not work night need . another 8 day go , may trade room small two twin bed room seem well mattress . shame ! regular customer Marriott , price paying , think hotel bettter value well food club lounge except breakfast food everyday . 
 Nov 25 2007 	 Fantastic Birthday suprise 	 book stay Millennium Mayfair suprise husband 's 50th birthday . book King Club room look large luxurious .. arrival hotel greet concierge take bag welcome we great smile show we checkin . reception staff credit hotel , checkin receptionist notice book stay husband birthday , go away say upgrade room sure like ! ! ! allocate room 611 Culross ...... WOW suite room include entrance hall , lounge fantastic bedroom overlook park . room exceptionally clean well present . we go Club Lounge afternboon tea , locate 7th floor facility available patron Club room . staff room attentitive patron cake pastry delicious . free internet access require private room lounge . during early evening visit Duty Manager check ok room , thoughtful touch . we book dinner Brian Turner Restaurant locate hotel , prior go dinner return Club Lounge glass chill Cava canape . staff work incredibly hard make sure guest look after . our dinner exceptional , service food presentation . Brian Turner restaurant speak guest make everyone feel special treat we like old friend , great host . the follow morning room service fantastic English breakfast serve room . I would like thank hotel staff make husband birthday special , however see guest make feel welcome hotel staff . I thoroughly recommend hotel stay London 
 Nov 22 2007 	 wonderful hotel great location 	 return 4 night stay hotel , 12 year old daughter sightseeing , shopping see couple west end show . early morning flight Edinburgh arrive hotel noon . luggage quickly take we store room ready . not problem book matinee performance ' dirty dancing ' back hotel around 6 pm . allocate lovely twin room 5th floor overlook Grosvenor Square . find staff helpful friendly particular restaurant staff breakfast concierge staff . book ' Superbreak ' offer 1/2 price child price share one adult continental breakfast include deal . breakfast buffet excellent upgrading hot buffet additional £ 3.50 . use room service couple time standard excellent , little pricey , probably keep hotel standard London . love minute walk Oxford St also number cheap cheerful restaurant even close ( Garfunkels , Bella Italia , Pizza Hut etc ) . also handy tube , not use stick London cab . , great stay , lovely hotel one definitely return recommend friend . 
 Nov 16 2007 	 Super London Base 	 choose stay hotel location not expect love - really . staff friendly helpful , location great comfortable . book single room expect show broom cupboard give lovely room overlook square . room immaculate , bed comfy , linen crisp , plenty towel good water pressure ! especially like wireless keyboard give control television , music internet . great value - lovely hotel . 
 Oct 30 2007 	 Perfect . ! ... 	 return form girly weekend London birthday / graduation surprise . mother laise hotel welcolme arrival give upgrade beautiful room overlook Grosvenor Square . room bright clean comfortable . bathroom great bed lovely soft pillow welcome late night ! . fault staff Damien Wood take time introduce make sure everything like . felt thoroughly spoil especially hotel present beautiful birthday cake room . ! really impressed personal touch feel desire really enjoy weekend genuine sincere . friend fabulous time go back London one place want stay . it be convenient get around nice location . thank Damien , Mohammed rest team Millenium Mayfair . stay perfect recommend family friend . imy friend definately return . 
 Oct 29 2007 	 Lovely Stay 	 husband spend 2 night hotel make transatlantic crossing Queen Mary 2 . concerned whether hotel would let service provide onboard QM2 . delighted service , room breakfast Brian Turner Restaurant . room beautiful overlook Grosvenor Square . bathroom incredibly beautiful marble every amenity could want . staff attentive helpfui throughout stay . hotel part land / sea package Cunard , otherwise prefer stay Bloomsbury . however eagerly recommend hotel anyone want stay Mayfair district . 
 Oct 23 2007 	 love hotel 	 stay hotel least twice year past 5 year . location superb , minute Oxford Street , right heart Mayfair . stay deluxe room load space , king bed great bathroom . occaisionally ' ve use room service excellent , fast great food . would definately reccoment hotel anyone . great deal find various hotel website . look Millenium Mayfair . J Yates , Northern Ireland 
