pleasant 	 stay hotel Thanksgiving holiday surprise please ! hotel accomodation great . room comfortable king bed & amp ; sleep like baby ! continental breakfast great ! hotel bar great ! will stay hotel ! location ! ws fabulous ! 
 Nice Budget Hotel 	 town Macy 's Parade select hotel base fact good deal could find . selection criterion . look clean , simple room , . husband stay every hotel price range imaginable , trip , try stay cheap , know would never room . room clean small . NYC hotel small , brace . bed comfy bathroom clean . lobby area nice provide complimentary breakfast coffee , juice , bagel , do - nut . location great explore subway around corner one block . complaint AC bang roar night ( even , yes , know , be true ) . let front desk know , polite , nothing fix . strange window unti banging , never hear neighbor street . staff polite , old exactly & quot ; hip & quot ; cool place eat drink . advice . would probably stay , personally fan neighborhood close Times Square , many visitor , location perfect . 
 great value 	 travel NY often business stay many nice hotel ( Palace , Plaza , etc ) , bit worried one . travel mother , want spend lot , review choice TripAdvisor , pick Hotel Times Square . must admit good choice value - minded traveler . relatively quiet block 46th 5th 6th avenue -- close 5th Avenue shopping east theater west . would caution guest avoid room east side hotel next several month , however , big construction project start lot next door . room face 46th street noise minimal ( NY ) . hear nothing wall either . the room small normal ny . room clean bathroom newly remodel plenty shelf space nice enough towel . problem hot water . bed comfortable sheet soft , albeit rather thin . blanket bedspread ok , likely area watch newness redesign start fade . the room always warm , often hot fact , sleep AC low make temp perfect well block street noise . the breakfast room downstairs ' m sure elevator low level . doorman , help luggage get taxi . lobby nice computer guest use . my complaint vend machine not work newspaper available purchase hotel 
 Jul 24 2009 	 great value terrific location Heart og Midtown Manhattan ! 	 2 group 3 person Denmark visit highlight former New Amsterdam , love hotel location . terrific value include free breakfast ( ok great ) , fast WiFi internet room , in - room safe , coffee maker , good air conditioning , etc . the location well interested see major sight City . 5 minute walk Times Square , 6th Ave , 3 minute walk good part 5th Avenue . we get cheap rate originally book continually check hotel 's web - site , price go 30 dollar pr . room pr . night jujst day visit , re - book low rate . the bed great , room good - sized New York , bathroom large clean . LCD tv , etc . the hotel staff genuinely interested guest enjoyable stay . 
 Jul 22 2009 	 Nice hotel 1 elevator operate 	 nice stay . clean room . Maid service kind enough leave plenty shampoo conditioner . management always warm welcoming . conceriege not stamp available purchase post card . problematic one elevator operation . inquire management inform we know wrap . however next day start elevator ..... elevator use handyman , maid guest 12 floor . 
 Jul 22 2009 	 Great Value Money Hotel NYC 	 Hotel Times Square great find reasonable price hotel NYC . stay 6 night large room 10th floor . do not expect view be not NYC look hotel window . hotel close everything need exciting stay large city . breakfast extra bonus offer perfect selection Aussie traveler , fan cereal toast breakfast . thing miss Vegemite ! staff friendly helpful , answer every query cheerfully great knowledge city . ever make back New York booking stay Hotel Times Square . keep good work ! 
 Jul 20 2009 	 excellent value service location 	 stay 5 night recently . 's excellent value modern , renovated room , good solid service wonderfully clean . room comfortable well equip service well . location great , round corner subway , safe walk distance much . hotel management obviously know something customer service show staff dealing guest . respond quickly appropriately issue . breakfast buffet adequate nice variety food , continental style . criticism styrofoam plastic plate utensil available nothing seem recycled . know 's kitchen hotel , can not provide reusable dishware , can not find way recycle ? personal beef . ' m already plan return trip NY definitely stay . 
 Jul 16 2009 	 Great Hotel ! ! ! 	 hotel GREAT ! ! ! ! location , free breakfast , room size , internet access make stay wonderful experience . complaint one elevator work lead sometimes long wait room 9th floor . would stay hesitation . 
 Jul 16 2009 	 great hotel 	 Front Desk agent Donna nicegreat hotel excellent value 
 Jul 15 2009 	 Great Location concierge make easy plan day ! 	 come week show , shopping sight seeing . problem first arrive regard room , staff front desk resolve quickly much satisfaction . happy room , shower great . continental breakfast great start every day . location Hotel Times Square perfect outing . concierge able assist us direction good mean transportation , make easy we plan day . would definitely go back . 
 Jul 15 2009 	 Charming Clean Hotel Heart NYC 	 stay hotel 7/4 - 7/7 enjoy much . room although small perfect two we . everything modern new look really nice . arrive LGA 11:30am hotel set room us 12 noon , wait whatsoever ! issue one elevator break use one really long wait . sometimes would hit buttom 9th floor would skip twice ! patient , sometimes give take stair . bed extremly comfortable flat tv nice touch . free wireless internet great ! property close everything , Times Square , Rockefeller Center , 5th Ave minute away ! rate great $ 125 / night 2 ppl , can not ! breakfast decent , eat . line kind long 9:30am fine . great stay ! 
 Jul 13 2009 	 Great Hotel 	 stay hotel many time . go two week -- time son family . granddaughter go hospital day city . look forward stay location check hospital . hotel always nice , great helpful staff , look forward see renovation . always pleasure stay . 
 Jul 6 2009 	 excellent accomodation great price 	 may seem odd write & quot ; great price & quot ; NYC hotel , description accurate Hotel Times Square . location 2 block Times Square price great . $ 100 less Holiday Inn Express room much big . morning breakfast good ; nothing fancy serviceable . hotel remodel recently room look modern . parking $ 23 / day , good downtown . great hotel ! 
 Jul 6 2009 	 Comfort Location Staff Value - TOP NOTCH ! ! 	 family recently stay hotel - daughter family one room , husband another . totally enjoy everything stay ! continental breakfast ( free ! ) great way start day , provide wide variety food . hotel bed extremely comfortable , staff friendly helpful , location & quot ; tourist & quot ; attraction could not well . feel safe come go time . hotel 's cleanliness evident , janitorial staff could see work throughout day . although fancy NY hotel , value fantastic , serve purpose well . would definitely recommend hotel , intend book fall , return & quot ; girl & quot ; trip ! thank great stay ! 
 Jun 30 2009 	 exceptional staff total amenity 	 choose hotel 's location , surprised great staff treat we . amenity also fantastic . encounter small problem parking facility notify Sonny , manager , credit card credit overage immediately . 
 Jun 26 2009 	 great hotel staff 	 thank staff hotel really go extra mile return lose wallet we . kind honesty responsibility indeed wonderful thing hotel staff . 
 Jun 24 2009 	 good place stay 	 8th 13th June 2009.the Reception Staff Polite & amp ; Effecient . Maid Service also good plenty Towel Changes etc . the COMPLIMENTARY Breakfast Good & amp ; plenty room sit eat 07.0 . tTHE HOTEL look CLEAN throughout , JANITOR always busy . I use free INTERNET service AVAILABLE 2 pc 'S , also make free telephone call USA number . Most night drink BAR & amp ; SERVED FRIENDLY STAFF.THE HOTEL SUBURB POSITION TIMES SQUARE ADJACENT tourist spot . also plenty eating PLACES nearby .. reccommend 5.5 hour BUS TOUR GUIDE get Bus LOCATION.I would use HOTEL , location price overall service . 
 Jun 23 2009 	 excellent hotel great location 	 basically really love hotel . grow NY able stay family like usually travel friend teenager . , ticket hand broadway show couple day explore city , want place close heart city close transportation . lucke smallish hotel classic architecture street fifth sixth avenue - subway within couple block 2 direction , street fairly quiet room roomy , believe ( plus quiet regulate temperature well ) . ask room east side - til build new building next door , will large window nice view ( west side room seem narrow window face narrow alley ) . bathroom small nicely outfit variety good breakfast offering keep we satisfied morning give we time search great lunch ( ! ) . be easy use safe room altho elevator slow , not mind . also , parking available $ 30/24hrs room nicely decorate thoughtful thing like ihome iPod play music . not usually write review , think pass news stay close center city good price ( applecore web site pay $ 175 Sat nt $ 145 Sunday - plus tax ) comfortable happy . 
 Jun 23 2009 	 great value great location lot info . review . 	 overall , money , great value Manhattan . book directly though applecore.com check back frequently get low rate rebooking . pay $ 130 night . good rate available various website . include free continental breakfast free wireless internet computer / printer lobby . I start problem issues:1 . big complaint - elevator service . 2 elevator , almost every time use , one service unknown reason . varied not always one , clearly not & quot ; order & quot ; issue . frequently long wait elevator.2 . bathroom window not lock , accessible fire escape . 3 . breakfast line long seat available go day.4 . Maid service questionable . restock coffee cups day . repeatedly call day coffee packets.5 . trouble make call front desk - phone work busy , sure.6 . find pair flip flop room one day , presumably leave room service . actually not figure leave , niece thought belong person . not time complain checkout , bothersome retrospect someone room leave thing . look like man 's flip flops.7 . 2 computer lobby always use , though not wait long use.8 . bed double bed , queen bed , think website say . now , good things.1 . great value price.2 . great tourist location - couple block Times Square Theatre district . close Rockefeller Center . close 5th Avenue shopping . walk Empire State Bldg ( 1 mile ) south side Central Park ( 1 mile ) . 3 . nice room decor , large room , clean . recently remodeled.4 . free wireless internet . 2 computer printer lobby print online ticket , etc . could use computer , always use though people seem get quickly stand waited.5 . breakfast good variety continental breakfast - O.J. , apple juice , milk , several cold cereal , oatmeal packet , variety doughnut , variety bagle , toaster ( line ) , yogurt , banana , apple . go 9:30 10 day ( close 10 ) , not run anything . enough seat breakfast.6 . nice lobby . highly recommend caveat - hotel could fix problem easily make experience well . 
 Jun 21 2009 	 look ! Best Value Manhatten ! 	 look clean , comfortable Hotel Manhatten within walk distance TKTS Times Square , Broadway Theatres , good restaurant , subway around corner , look ! Manager , Sonny G. , upgrade we double bedded queen bed room , tell medication need keep cold , provide in - room fridge charge . bed supremely comfortable , bathroom modern , companion love breakfast ( include ) , walk several block eight Avenue fresh vegetable juice maintain glutenless diet , . kosher deli across street , along many restaurant within walking distance , include Edison Cafe , block away . NY Public Library , Maceys , Lord Taylor , Saks , Daffys , lot shopping possibility easily accessible foot . return trip NYC see we back Hotel ! thank courteous , professional staff , especially sonny g , canadian fan ! 
 Jun 19 2009 	 great location ! ! ! 	 hotel put great location , 2 short block broadway & amp ; 5th . bed comfortable & amp ; shower great pressure ! room small , w / only 1 suitcase , everything fit well , thankfully closet .. free WIFI , tv nice flatscreen , many channel & amp ; HD ... 2 window open , ( sticker say OPEN , could not resist ) alot rooftop look , w / a building tear besides hotel , could see 46th st . really like alot & amp ; would consider stay that s area want ! ! ! 
 Jun 18 2009 	 great hotel price bonus . 	 stay 2005 remodel vastly improve property . sleek modern room amenity like flat screen tv , wifi , coffee maker free breakfast make good value NYC . friendly efficient staff add experience . definitely stay 
 Jun 13 2009 	 great location ! 	 hotel times square perfect location . dead center times square short couple block . guy front desk always nice . renovate reason rate cleanliness low other . I m sure look great do ! plan take subway ( convenient buy day pass ) make sure get map provide we girl desk loby . I go group 4 girl pack least 3 bag room bit snug prepare . 
 Jun 12 2009 	 Clean Convenient Affordable 	 newly remodel , great continental breakfast , minute Times Square . would definitely recommend hotel would stay . pay $ 200 / night - great deal location 
 Jun 11 2009 	 great little hotel 	 great little hotel two night stay . great location , comfortable bed , quiet , sleek modern furniture . Ella desk helpful . amenity great unexpected price - free breakfast , free internet , coffeemaker room , flat screen television . first , disappointed hotel right Times Square , be short two block walk be close Rockefeller Center , Fifth Avenue , Grand Central . be actually well . nice brazillian spanish restaurant block . not miss great juice cart indian food cart across street . complaint great little hotel . 
 Jun 7 2009 	 incredible find ! 	 typically stay name brand hotel , take chance stay hotel due great price good review read site . disappointed ! hotel true gem . location absolutely great ! able walk Times Square , theater , 5th Ave . shopping , subway station Rockefeller Center matter minute . hotel rather quiet , New York standard , side street . street line interesting brazilian restaurant . also heart Diamond District . room ready arrive . lobby beautifully decorate entire hotel clean comfortable . room tenth floor large feature flat screen tv amenity . front desk staff friendly . breakfast morning basic bagel , toast , fruit , doughnut , cereal , coffee juice , always fresh plentiful . staff , manned area , make sure everything well stock . free breakfast alone save we lot money . night , touring , walk 8th , 9th 10th Avenues , eat great little ethnic restaurant give we local feel . much cheap Times Square tourist trap delicious . Magnolia Bakery two block away hotel frequent daily ! area safe would stay hotel . happy everything . 
 Jun 6 2009 	 everything expect disappointment . brilliant ! ! ! ! 	 arrival hotel Shuttle Bus try leave we 44th st , 5th Ave , ' m glad homework know hotel actually . arrive Reception Staff welcoming , happy let we room early . room expect , disappointment , everything need e.g safe , hairdryer , free wifi laptop available ! room clean , clean high standard everyday fresh towel leave . meet housekeeper couple time , friendly helpful . breakfast lovely , paper plate etc not problem , honest restaurant use throw away plate etc . however , Gentleman work breakfast room , keep item fill clear , firstly job well , never seem smile , try everything get reaction , joy . though would recommend hotel anyone , would stay ! 
 Jun 5 2009 	 Excellent hotel great location ! 	 good hotel stay New York . also great value . clean . staff friendly helpful . hotel fantastic location ! Patrica , maid 8th floor , incredible ! friendly helpful . also , everyone front desk concierge desk extremely conscientious knowledgeable . certainly stay hotel . 
 Jun 1 2009 	 great location rate 	 great location , staff professional . Got early get room staff store bag we could start sightseeing . easy walk Broadway show 
 Jun 1 2009 	 clean spacious economical ( NYC ) value . 	 rent 2 room 4 adult 5 night . choose hotel location & amp ; $ & amp ; disappoint . close Grand Central , Times Sq , Rockefeller & amp ; subway . room spacious & amp ; clean good bed . bathroom nice & amp ; shower great . overall , hotel personnel helpful particularly friendly ( seem ny attitude rather anything else ) . hotel need upgrade sheet & amp ; concierge need well train . room door squeal terribly - invest WD40 ! want dark room , stay away 3rd floor front . skip continental breakfast & amp ; go Dunhill 45th & amp ; 6th deli 6th around corner geat price . overall , find good deal price pay . will definately stay . 
 May 29 2009 	 can not beat ! 	 return 1 - night stay sister 5 year old son . nothing good thing say place ! excellent location , spotless room , friendly staff amazing rate . include breakfast nice extra , since travel child . breakfast dining room large , bright clean , pretty good assortment choose . guestroom ( 2 double bed ) immaculate ; bathroom stock plenty extra towel decent toiletry . even receive little gift bag upon check , include additional toiletry ... nice little extra . would definitely stay hotel . 
 may 26 2009 	 like much ! ! 	 hotel great need get around New York City ! location awesome , 2 block Broadway go towards 5th Avenue .. hotel staff upon check friendly , welcoming & amp ; informative ! Central Parking across street foot away hotel excellent & amp ; validate parking ticket hotel , get discount ! room small bed WONDERFUL ! 2 negative thing experience report front desk , 1 ) tv reception HORRIBLE , must something , know come city not room watch tv , return walk day relax , little tv would not hurt , tv .. nice flat screen tv , could make what s , 11th floor near door seperate staircase room , OMG ! get oil door ! Everytime someone come thru door hear , ccrreeaakkkkkkk .... , know do not report staff hopefully fix 2 small detail next person , , wonderful hotel spread word friend family ! return ! 
 May 26 2009 	 worth money save 	 plan weekend trip New York . select hotel vicinity Times Square , affordable rate positive review . unfortunately , hotel offer . 1 . sink toilet work . 2 . overall impression hotel frequently clean maintained.3 . bed sheet stained.4 . batroom ant stains.5 . breakfast room icky.6 . vend machine empty.7 . lobby bathroom dirty . like subway dirty.8 . one member check - in staff rude . woman check rude - abnormally rude New York . huffed puffed realize problem reservation call reservation department . seriously , say deep sigh , & quot ; call reservation , & quot ; reluctantly . could not even solve problem , opinion , unwilling solve problem deal reservation department Expedia . guess not realize one vacation . 
 May 22 2009 	 Excellent value hotel 	 stay hotel 6 night May . room spotless , free wif - fi great bonus , plus free use hotel business centre pc complete printer ! staff helpful location hotel central midtown close subway . room whilst small side adequate afterall visit NYC tourist do not really expect spend much time hotel excep sleep ! go free breakfast one day honesty prefer seek low - cost delis different breakfast every day ! would highly recommend hotel . 
 May 21 2009 	 work play ! 	 college recruiter travel throughout NY state mostly five Borough Area . whenever NYC , first try Hotel Times Square . stay many time past . location central schedule . numerous restaurant around area parking lot kitty - corner across street make hotel convenient . often , wife accompany trip . play work ; shopping , theater , museum either within walk distance bus ride away . work do , take meal go interesting tourist destination . the Hotel Times Square staff excellent . friendly efficient . seek accommodate guest much possible . smoke non - smoking room clean comfortable . recently , Hotel remodel modern . travel Europe find hotel European feel lobby decor room . fact , many international tourist stay hotel . the continental breakfast good -- free ! 
 May 14 2009 	 business Broadway good deal 	 great value location mid - town business trip night theatre . small , clean room polite , bit cool staff . close Times Square , TKTS booth . free breakfast fine , uninspired . ask room low floor face south will get view , get quiet . 
 may 11 2009 	 great stay great city ! 	 Hotel Times Square perfect ! near everything - theater , restaurant , shopping , transportation . hotel clean nicely appoint . everyone work hotel extremely friendly . price can not beat . free continental breakfast also plus . enjoyed stay much return . 
 May 9 2009 	 great location nice room would go back . 	 Perfect location see good bit NYC - hotel 5mins Times Square Rockafeller Centre , 3mins near Starbucks 2mins nice end 5th Avenue ! read whinge small room NYC hotel pleasantly surprise decent sized double room compact , perfectly adequate bathroom ( bath , shower ) . room well equip - coffee maker , big plasma screen , air con unit , safe etc etc . the minor downfall breakfast - buffet bagel , toast , sugary cereal doughnut serve plastic disposal plate / bowl - good effort help environment . would nice healthy thing eat , holiday 's fine . do not mislead & quot ; business centre & quot ; - 2 computer lobby free internet & amp ; printing , great , often will wait 30mins get time day due habitual facebook - checker ! 
 may 5 2009 	 great clean place stay 	 hotel clean room nice . staff accomodate . bed comfortable . would stay heartbeat . rate good . breakfast proivide great . highly recommend hotel . 
 May 4 2009 	 Decent Rooms ; Great Staff 	 hotel room arrive , move another hotel . I return next day - staff helpful , friendly . the room clean , tidy , decent . 
 Apr 29 2009 	 would definitely stay . 	 arrange group 20 people travel city West Virginia spring break . arrive late check quickly . find room freshly remodel clean . sleep comfortable bed clean sheet blanket . everyone group enjoy breakfast like could eat get start early . staff nice , Shelly group reservation especially helpful . several people group state would stay . wish little close theatre not mind walk , even night . use internet daily big plus . would recommend hotel other . 
 Apr 28 2009 	 great location 	 second stay Hotel Times Square . first stay 2004 Super 8 . good stay good stay time . much change name remodel . hotel staff could little bit friendly . see GIANT cockroach lobby stay 1 . stay 5th floor squeeky hallway door near room . always hot water even morning . maid staff friendly slow making room day . value hotel location near many subway stop , proximity Times Square inclusion free breakfast morning . try keep cost free breakfast help acheive . gym small two treadmill flat screen tv . weight . business center lobby free internet huge bonus ! able keep touch home check direction . small problem 2 computer many guest hotel seem forget keep session short . recommend hotel would stay . like other site say : not come look 5 star hotel . come look nice hotel great value private bathroom . 
 Apr 25 2009 	 Fantasic Brillient Hotel Great Postion . 	 last night great city New York writing review room Hotel Times Square use hotel free internet conection . first hotel great position one block Times Square one block Rockerfella Centre surround restaurant , bar irish pub . plenty go around day night theatre within short walk away . the room small side clean work desk , 32 & quot ; flat screen tv game consul one king bed comfy soft . coffee tea machine , Iron Ironing board , nice bathroom nice powerfull shower plenty hot water . staff front desk friendly helpfull send we two extra pillow within minute ask . breakfast ample plenty juice , cerial , toast , fruit tea coffee e.t.c . start day . allso small Bar serve pint draught beer $ 3.00we Atlantic City tomorrow Gray Hound bus look review Bally 's Atlantic City . read Trip Advisor good atall . 
 Apr 21 2009 	 great deal money - would definitely use 	 hotel recently refurbish offer good facility small ( NY standard ) hotel . room reasonable size , well equip service efficiently day . staff helpful , location ( Times Sq 5th Avenue ) ideal . whilst minue walk Times Square location quiet , city noise problem . ( inclusive ) continental breakfast bonus . would definitely use hotel stay central New York . 
 Apr 21 2009 	 Pleasant stay 	 Stayed Hotel Times Square three night find room clean , ample room , pleasant desk concierge staff housekeeping staff . definitely stay future . 
 Apr 19 2009 	 Times Square 's good keep secret ! 	 stay Easter weekend / Passover despite arrive NYC busy time , could not find fault service hotel . location great - 5 min Times sq , Rockefeller , St Patricks Cathedral Radio City . plenty restaurant nearby , Duane Reade drugstore around corner Delis open late along street . do not go expect 5 * luxury , room clean , newly update , bathroom nice . big plasma tvs room ipod dock . plenty fresh towel everyday . the breakfast real bonus : tea , coffee , fruit juice , cereal , yoghurt , bagel , doughnut toast . got bit boring 5th day 's complaining ! free wifi access room 2 computer lobby free internet access . the staff friendly helpful act promptly problem . all think hotel excellent value fantastic location . will not hesitate return nest time be NYC ! 
 Apr 19 2009 	 fantastic value - for - money hotel hectic family trip New York 	 Hotel Times Square describe newly renovate boutique hotel . would say 's superb value money budget hotel great extras include package . we spend week Hotel love enough take time write review ! 59 W 46th St , Hotel actually close Rockefeller Centre - plus we , since quieter less busy . ' ve New York many time business , usually stay Central Park South - family budget trip different . the Hotel fit bill exactly . make reservation , look hotel know New York - & quot ; hide gem & quot ; recommend friend live , service apartment , B & amp ; Bs Greenwich Tribeca etc . cross - check TA rating , could not find anything cheap enough four we not compromise location quality . hotel perfect location explore foot , bus subway ; be surprisingly quiet night ( request quiet room hotel kindly oblige ) ; plenty good family restau close ( eg . John 's Pizzeria 260 W 44th St , Lattanzi W46 th St ) kid close dropping simply need eat something good convivial atmosphere ; offer free wi - fi ; be ample hot water night morning , good supply towel ; comfortable king - sized bed ; be newly refurbish , clean well - keep throughout . bedroom spacious enough small desk couple chair , however public area small . 's contemporary - style foyer little crowded morning hotel 140 + room , not bustle like Hilton Ave Americas . Central Manhattan $ 150 - 160 night four us free upgrade junior suite - could not well ! think hotel great find . we delight would definitely recommend friend look good base sightseeing / shopping trip New York . austerity time , location , comparatively spacious room , basic gym free wi - fi make possible choice even business trip . might presence charm Library , W Essex House honest quality budget hotel , be hard beat . the breakfast bar basement utilitarian rather appetise full choice - good typical american diner block away . red Flame 67 W 44th St one will find full pancake syrup stack , egg grit . Hotel Tapas Bar 2nd Floor ( not visit ) restaurant - New York full superb choice - worry ? small young child flag jet lag , even order ( actually jewish deli across way great pastrami ! ) small grouse - would nice hotel staff reception little welcoming learn smile ! - live without that . the hotel 's website list facility follow : complimentary continental breakfast ( 7 - 10 a.m. ) Free Wireless internet access24 Hour Business center24 Hour Fitness center incl . & quot ; PowervibePro ™ Workout Bench & quot ; ( not time try , picture hotel 's website ) charge call within U.SUpstairs Tapas Bar locate 2nd floorconcierge service availablereduce rate parkingchildren 13 stay free sharing room adult ( ) flat screen cable tv Movies Demand & amp ; Nintendo ™ video gamesalarm Clock Radio ( mp3 compatible ) ihome : ™ audio system iPod ™ in - room personal safeLaundry / Valet servicesIn - room iron iron boardair conditioning heatingsingle double roomscomplimentary newspaper weekday ( USA Today ) in - room coffee maker coffee & amp ; teaInfant Cribs ( available front desk upon request ) private bathroom Hair DryerOur top & quot ; Things see & quot ; ( parent plus two boy age 13 11 ) Central Park ( & amp ; Carousel ! ) natural history MuseumThe Metropolitan MuseumThe Whitney Frick ( Vermeer & amp ; Holbein ) Intrepid Museum ( fantastic aircraft carrier turn museum- well worth visit ) Nintendo World ( Rockefeller Centre ) Sony Lab ( free ticket morning - go early ) Ellis Island ferry - ei museum Statue LibertyEmpire State Building - City Pass cut 2 hour wait outside 1 hour wait lift ! ) View RockRock Roll Museum Spring Street pizza LombardisGround Zero - everything Spiderman gamecentury 21 discount trainer ( huge discount department store - close GZ ) Chrysler BuildingSerendipity large ice cream ever seeni would also recommend City Pass ( buy line ) dispense queue - though be travel budget , aware museum charge child ask contribution - make sure see enough sight make pass worthwhile . walk walk walk ..... ! ! ! 
 Apr 17 2009 	 quite deal good location 	 father stay April 13 - 15 , 2009 great stay . bit nervous booking internet . old new picture post , everything renovate . room clean , spacious large city location great . two queen room exactly like picture hotel site . two block Times Square block many NYC sight . staff nice . wireless internet bit slow , free complaint . lobby hotel internet seem lot problem , enough luck print boarding pass flight back . think Tapas restaurant second floor , turn 's little bar ( not try ) . breakfast great . feel clean , safe , like get deal . would definitely recommend . 
 Apr 17 2009 	 average 	 comfort main area manhatten city close time square . it be small neat room , free internet wireless facility morning breakfast & amp ; gym . little congested.but still good option one want stay heart city travel business leisure . location perfect . Jet Previlage Membership . [ -- ] 
 Apr 11 2009 	 clean spartan quirky 	 Stayed April 8 - 10 & quot ; family suite & quot ; two room two bed two tv , refrigerator . clean , quiet comfortable . other note etch glass bathroom door . solve tape newspaper . renovation other complain seem do , least lobby low floor . although clean new furnishing carpet room lobby , 's old building oddity hallway door separate adjoining elevator , uneven stairstep , unexplainable floodlight go erratically airshaft ( view ) . bar second floor little two small connect hotel room . two free computer lobby seem lot competition . free breakfast 10 a.m. well - stock convenient . location terrific , value great ( pay $ 177 night ) . sure check time , though . get call 12:25 p.m. warn we have charge another $ 25 not come check immediately . Via Italiana Ipanema block good , modestly price restaurant . 
 Apr 10 2009 	 great hotel reasonable price 	 Hotel Times Square great location ( 2 block heart Times Square ) yet noisy Times Square hotel . continental breakfast ample hotel rate reasonable hotel part town . 
 Apr 7 2009 	 great value 	 pay US hotel NZ dollar scary ! want good hotel handy location - without pay nose - spend age look one settle Hotel Times Square . we could ask well location - handy subway provide easy access attraction want visit within walking distance . room small , recently redecorate nicely appoint . the good thing hotel breakfast include rate . calculate save we something like NZ $ 250 course week . flash meal , bagel good set we day . there two computer terminal reception free internet access guest . the thing would comment less positively : 1 lift old fashioned wait ages.2 breakfast room unbearably hot times.3 room door bathroom glass - although frosted , might much information people ! fridge room , want tea coffee , really limit black coffee . I scour travel & amp ; accommodation book site , get good deal easytobook.com - considerably cheap book hotel directly . all , great deal thrilled visit Big Apple . 
 Apr 4 2009 	 Excellent stay money ! 	 visit March 23 - March 28th . price right ! room two double bed large , quiet , well maintain clean . view , not room long enough miss view . computer run day need print boarding pass . free wireless connection laptop wonderful room help plan excursion . leisurely make breakfast , little later morning , always find plenty fresh pastry fruit , coffee , cereal yogurt table . impressed clean breakfast room matter late arrive . never wait elevator stair next elevator , open well light ( word safe hide away ) easy take well good way work extra calorie . happy hotel middle Times Squares ( even though Times Square name hotel ) . feel safe comfortable location mother /daughter trip . need take subway Central Park stroll , Ellis Island visit , Century 21 shopping trip , Greenwich Village stroll . convenient walk everywhere else . hard believe budget hotel . press concern : one large high school group bit loud time run ( chaperon ? ) . hope lovely budget hotel become tour high school group ! can not say concierge service consider true concierge service , not really care laptop room free wireless connection trip advisor , hopstop.com , restaurant review etc . everything need wait . overall hotel far well expect budget hotel NYC . sure economy time year visit lot rate , lot comparison shopping preparation trip . base location , free wireless , free breakfast , room size , double bed cleanliness , know get great bargain . really make appear budget conscious mother / daughter trip not budget conscious . much gratitude advice suggestion find Trip Advisor . 
 Apr 1 2009 	 bit dusty great 	 yes work go lobby room cute tiny bar could not hear thing , 2 room book problem either , bathroom warppe design glass could see straight , location brilliant , nice little delis bar road near comfort inn leave hotel minute 5 ave , always stay 4 5 star hotel many go somewhere cheap , glad really like hotel def back 
 Mar 25 2009 	 Pleasant 	 problem heating never resolve . flood light direct right room , keep room bright night . still quite sure understand hotel would put see - through glass bathroom door , kind creepy . tell week stay renovation would done week . get , tell renovation would done week . must standard response . staff seem friendly . breakfast nice fresh . room clean except dirty window . nice location . 
 Mar 25 2009 	 good : location cleanne comfortable ! 	 hotel exceed expectation . pay excelent price , around 140 dollar per night . the location excellent , near Times Square , Rockfeller Center close almost every subway line think . room nice , quite comfortable , everything new clean . breakfast doughnut , bagel , juice , coffe , etc . be crowded since many place eat nearby often end eat . service good . hotel go renovation sometimes one elevator function little bit disturbing , seem renovation good hotel . I recommend anyone look good budget hotel excelent location . 
 Mar 18 2009 	 good hotel - well renovation do ! 	 stay husband March 11 - 17 , 2009 . room newly renovate ( flat screen tv , wifi , cordless phone , clean ) fairly spacious NYC , think . disappoint advertised business center available due renovation main lobby , fix within week , would guess . able go one block west sister hotel use business center , especially convenient . the breakfast nice , nothing fancy special free breakfast get day start always great opinion . location good , although really & quot ; times square & quot ; ... block away . walk distance central park , 5th ave , rockefellar center , times square . think next trip , variety , would stay another area ( maybe Greenwich Village Tribeca - ' neighbourhoody ' area ) first trip NYC think hotel fine , get $ 109 / night , think steal ! renos lobby nearing completion leave March 17 ( St Patrick 's day parade , literally outside front door ... crazy ! ) think look nice finished . great find want stay Midtown . close subway option , long weather nice , walk nice one . 
 Mar 11 2009 	 centrally locate friendly staff good breakfast . 	 bed comfortable , clean room good quality sundrie , walk distance Times Square , restaurant , subway . 
 Mar 7 2009 	 clean clean great service value ! 	 hotel run Applecore hotel . stay Comfort Inn Times Square last time . hotel spotless , great value , location etc etc . breakfast bonus . staff fantastic . reality 's close Rockefeller Center Times Square 's definatly walkable distance well almost midtown venue . 
 Mar 5 2009 	 great location great value clean comfortable 	 Trinidad , Feb 24th 26th check in / check quick easy , problem reservation . room look fresh , run , bathroom clean . location superb , short walk away Times Square , Broadway hot spot . easy pop back rest walk shopping day go show . actually drop package times day rather walk around . heat great , actually bit warm sometimes much welcome cold , always good supply hot water shower . commendable get room sink drain properly , report day eager get town , however , seem maid come clean follow day , get fix without we ask . nice . ongoing renovation bit inconvenient often close one lift , never wait long one work . breakfast decent , love coffee maker room must cup soon wake . overall would definitely stay , provide safe , clean , convenient comfortable place sleep day / night city . 
 Mar 4 2009 	 forget basic 	 room decent size comfortable enough . good value location . but website forget mention whole ground floor ( 1st floor reader ! ) renovation noisy building site . reception neither friendly welcoming . maybe fed noise dust . the single elevator dirty ; probably build . to get breakfast walk buidle site worker . think single female guest would little concerned ; unsafe subject unnecessary attention . I think failure mention renovation reflect attitude towards hotel 's guest . complacent .. stay somewhere else next time . 
