great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Jun 11 2009 	 quite sure yet 	 write review 1st time stay London NYC , would glow . however , 2nd trip - different experience . room dirty , ill stock service slow . not horrible something good 1st visit . could bad week , , be not get low overall rating . plan try one time decide either score lower . 
 Jun 10 2009 	 great hotel great location ! 	 girlfriend spend long weekend NYC stay London . midtown favorite neighborhood NYC , location hotel great explore city . quiet night , issue noise . room hotel clean , hip , swanky , impressed . huge bathroom double sink , double shower even . would definately stay ! ! 
 Jun 2 2009 	 Perfect beginning end ... 	 frequent traveler NYC extremely pleased find London NYC . base decision stay London review find online . arrive pleasure speak Dominique , general manager ask question . accommodate , answer question even recommend fantastic & quot ; secret & quot ; NYC restaurant . also pleasure corresponding Jared , concierge prior arrival help special arrangement . book suite son wife suit spectacular . large , clean , modern , perfect ! enjoy Mandarin Four Seasons , make London NYC new hotel choice NYC . exceptional service general manager everyone line stellar ! ! ! folk right idea , know treat people establish life long relationship … south , appreciate good service London NYC absolutely exceptional . 
 Jun 1 2009 	 Outstanding ! ! 	 outstanding hotel heart city . staff fantasic service second none . Elvi Guzman ( front desk mgr ) well encounter , go far beyond make feel like important guest city . remeber name preference ( go three time ) return London trip NY , number one reason staff attention detail Mr Guzman . thank fantastic last weekend city . Hope see soon 
 May 26 2009 	 even well second time ... ! 	 guess title say .. second stay London NYC experience even well first one . this time , Vista Suite 41st floor incredible view City Central Park . worth noticing ask Vista suite ( locate upper floor hotel ) make reservation . usual room spacious , comfortable , impeccable decorate unique style love . service professional , classy even friendly . say ? question one good hotel NYC , good hotel town right . not miss ! 
 May 23 2009 	 perfect ! 	 husband spend 4 lovely night London Hotel meet expectation every way : great location , helpful staff , quiet , large & amp ; clean room , comfortable bed & amp ; robe , etc . I would like in - room coffee maker housekeeping kind enough leave cup & amp ; condiment bring small espresso machine . definitely stay ! 
 May 22 2009 	 beautiful Large room Great Location ... 	 frequent NYC times year business LONDON NYC fantastic .... room HUGE compare manhattan hotels gordon ramsey house certainly great bonus.while poor lighting always issue , service - especially rich concierge - excellent . richard extremely helpful pretty radical , last minute request customer assistant drop ball.highly recommend london NYC thank rich concierge help short notice .... hook huge save butt . 
 May 21 2009 	 oasis comfort quiet crazy city ..... 	 find hotel thank tripadvisor review . room fantastic , roomy rollaway daughter , 2 tv ! love ! room service , hmm , slow , food greasy , despite say want ' anything ' , could give mash instead fry .. price , forget . great midtown location , everything work perfectly , room service promptly , view central park could see new year crowd firework cosy seclusion warm luxurious room . oh , bed heavenly , mmm . 
 May 18 2009 	 Hotel Le Posh ! 	 stay London weekend NY April . oh luxury - fantastic hotel exceptionally clean . housekeeping twice day ! room spacious ( suite ) , bathroom massive ( new york standard ) 2 shower ! location great , beside good restaurant , nightlife cultural attraction . want luxury , look ! 
 May 17 2009 	 Fantastic 	 wife return 8 night London . everything positive write hotel trip advisor correct . beautifully design room - ample space ; excellent service amazing concierge service ( thank Manny & amp ; Barry ) ; housekeeping visit least twice day ( want ) ; reasonably quiet yet central location course privilege two Gordon Ramsay Restaurants hotel . good shower hotel ever stay probably good bed . I quite amazed efficiency everything . literally , wait minute elevator speed room service . the negative comment already , relatively high price item in - room dining menu course go eat Gordon Ramsay London ( excellent ) ensure credit card clear . we eat amazing restaurant city . get reservation miss Blue Hill matter Lupa . overall - excellent experience would stay . 
 May 15 2009 	 worth cost ! ! 	 one good hotel experience ever . two - room suite plan 43 floor . incredible view CP Hudson , Time Warner Ctr , side Carnegie Hall . Room nicely appoint , bed incredible , plenty room , flat screen tv room , impeccable service every turn . location can not beat . food ... even & quot ; bar food & quot ; superior many , many restaurant ' main menu offering . great place overall . 
 may 13 2009 	 could not pick well 	 boyfriend take 18 March 09 surprise trip propose . touch staff hotel tell plan ( although know nothing ) organise everything perfectly . suite 48th floor amazing view Central Park leave we bottle champagne arrival . room fabulous staff fantastic great help come book ticket event . hotel easy walking distance Times Square near subway go afield . dine Gordon Ramsay restaurant within hotel night get engage not fail deliver taste , quality service . ' m excited write definitely back . 
 May 10 2009 	 everything ok except Doorman Police whistle 	 make sure room face street . night long doorman blast police whistle look taxis 
 Apr 27 2009 	 Excellent Room Location Service 	 girlfriend stay April 17 - 22 seven night , business vacation . the room spacious bay window sitting area , comfortable bed , large bath cool shower area . enjoy room several rainy day . view look north 27th floor excellent . the staff courteous , friendly responsive . particular note house cleaning staff . work around schedule excellent job making feel guest . do eat , hear good thing . couple drink bar comfortable classy . the location originally draw hotel . quick morning walk park , around corner favorite Irish Pub , street Broadway . overall , room , overall experience , well worth price . we return . 
 Apr 24 2009 	 Fabulous NYC hotel spacious gracious modern hip great value -- not get well London NYC 	 husband return 21 day night stay London , NYC . GREAT hotel ! love 5 - star hotel treatment accommodation ( previous NYC stay Plaza , Carlyle , Four Seasons ) get London , much space much low price . make London great ? first , accommodation ; room suite , living space bedroom overlook great view city . room , 37th floor , bedroom separate living room , plasma tv fabulous room - size view look Tavern Green Park , along west side . skyline fabuous , especially night ! drapery sheer close electonically , rope light cornice give room light glow dark -- leave cornice light living room night perfect night light . living room , close bedroom beautiful mirror french door , furnish trendy , modern furniture , include fabuous curved couch ( comfortable lounging ) large desk free Internet hook , well wireless . set small office desk , never felt cramp work overflowing & quot ; personal & quot ; space . bathroom fabulous -- marble , clean , clean , clean ! Waterworks fixture luxurious . request tub separate walk - in shower suite , many room double walk - in shower instead -- also luxury . husband LOVED rain shower , make feel like stand gushing , hot waterfall . Believe , 3 week hotel , fabulous bathroom luxury ! open dressing space accommodate 3 - week wardrobe ease , although pack away cold - weather coat handy trunk base bed . also , although may seem like small detail , add room incredibly quiet -- never hear another soul wall door . as service , 5 - star top bottom . hotel prides concierge staff , rightfully . great trip - guide reader , depend concierge direct we restaurant lunch dinner nearly every day . quickly figure eat preference make fabulous suggestion , range top - rate Jean - georges good pizza place ' ve find NYC . bonus -- eat lunch one day next Paul McCartney ; clearly young man know happen city good spot . concierge staff able get reservation we book restaurant ( like Bar Boulud Babbo ) likely would never able get , well ticket sell - out Rangers game . absolutely top drawer . ( one staff member tell we get private jet guest four - hour notice -- normally would question London think literal truth ; good . ) fact , every person encounter hotel , doormen fedoras suite , several excellent concierge staff , housekeeping folk , professional also FRIENDLY , greet we name welcome we back hotel return sojourne . never see room service tray hallway set half - hour . room clean promptly leave morning , straighten least twice day . elevator quick , clean , always available within minute two . the restaurant ( Gordon Ramsey 's flagship States ) always hop evening hour business -- small bar . certainly feel like middle & quot ; 's & quot ; NYC . one thing London large luxurious private lobby . lobby street level , lounge area rather small level two . , want luxurious private upstairs lobby relax , St. Regis , four Seasons , Pennisula might choice . not need lobby space , London compare favorably every way . happy trade lobby space room twice size separate living room -- be spend time . honestly , can not imagine well place stay New York . hotel hip , modern , clean , busy ( good way ) , service truly outstanding . crowd decidedly young Carlyle Plaza , give London kind energetic vibe contagious . ( be & quot ; 50 - something & quot ; feel young walk lobby . ) see child stay hotel , mostly place & quot ; young professional & quot ; appreciate style , service , comfort . also mention location 54th perfect theater , walk , shopping , eating . I guarantee next time New York , head London . not find place compare . 
 Apr 23 2009 	 well worth money 	 London everything hear , far exceed expectation . great location , friendly staff , clean spacious room . Gordon Ramsey restraurant not worth money , imo . 
 Apr 23 2009 	 FANTASTIC 	 really good upmarket hotel . hotel room good web site pictures.convenient location 5 min central park great pre- breakfast walk.take helicopter tour nyc - extravagant leave last memory . 
 Apr 20 2009 	 BEST HOTEL $ NYC 	 V - Day . like -1 ) Room Size Suites ! 2 ) Price3 ) location4 ) style5 ) Staff Service incl concierges6 ) dual shower Dislikes -1 ) evening door service well - ignore we cab - trek 2 block away get 1 own.2 ) room service pricessummary - outstanding stay top bottom except evening door service . would recommend establishment any1 want 4 star michelin type accommodation without & gt ; $ 500 price . Central everywhere & amp ; concierge comp we tixs top rock beautiful view Big Apple . perfect every way really . 
 Apr 20 2009 	 Great Hotel ideal location 	 come back week London NYC . hotel ideally loccate Times square main shopping area . stay london suite definatly worth . 2 large room area sit rest hard day shopping . the staff great helpful ask question . taxi available directly outside do not walk far get one . another plus thehotel bar maze restaurant locate ground floor - cheap pleace get drink - $ 20 cocktail still good . 
 Apr 19 2009 	 Pleasant experience 	 take daughter NYC 16th birthday ataye London NYC please room , service staff . make trip nice memorable . staff helpful direction area location attraction . accomidate every request ! stay ! 
 Apr 13 2009 	 unexpectedly great hotel 	 wonderful location theater enjoy City . Hotel recently redo beautiful & quot ; Waterworks & quot ; bathroom living room area next bedroom . hip restaurant great food . professional service orient staff without & quot ; attitude & quot ; frequently encounter New York Hotels . make great weekend invite family back post theater tea relaxation . 
 Apr 7 2009 	 Great Hotel 	 wonderful stay & quot ; London & quot ; New York . host 9 lady weekend hotel perfect . location wonderful , room large spacious bathroom staff great . highly recommend hotel New York stay . 3 London suit 1 London apartment weekend . 
 Apr 6 2009 	 New York nothing like expect ! can not wait go back ! 	 husband travel New York first week December witness light tree Rockefeller Center person . weather great stay stay London allow we walk almost everything interested we . location hotel great ! able take Knicks game Madison Square Garden , see musical Chicago , attend matinee Rockettes holiday special , go Top Rock , witness tree light live , toured city little walk Central Park 5 short day . see tree lighting person , perfectly content watch tv . never see many people life ! 
 Apr 3 2009 	 dead body live bed 	 finally get bed late Saturday evening . daughter tell smell something awful . smell like someone die rot body headboard sheet near pillow . late call management morning complain . nothing do . sleep elsewhere smell unbearable . daughter doctor know human remain smell like . strange thing . 
 Mar 30 2009 	 great value NYC 	 stay London twice last three month positive experience time ... room spacious finish modern style neutral furnish appeal everybody ... bathroom spacious room high floor great view ... service excellent .... housekeeping efficient thorough ... leave money one evening , informed housekeeping , security come room secure money come back make sure issue later ... front desk staff generally efficient doorman friendly ... three four occasion put house car take evening ... service never hotel New York , hotel large hotel relatively inexpensive ... really feel like boutique hotel personalise servince ... thing consider ( service , feel , room size finish ) favorite hotel NYC price range ... hotel would consider would NY Palace becuase think Madision Ave location much convenient town business . 
 Mar 21 2009 	 London favorite honest staff well 	 wife recently spend weekend London fantastic . live NJ frequently go city weekend see show , concert get away . London become hotel choice . 2nd time London . room clean spacious , staff could pleasant helpful valet parking ( drive change ) seemless . book American Express Platinum travel get afternoon tea ( nice ) 4 pm checkout nice . location perfect , walk distance shopping , dining theatre district . honesty part spend time shop Bloomindales , leave shopping bag room check . think way would ever see . call hotel tuesday , call we back say locate bag . ship we Federal Express Wednesday bag clothe arrive , still tissue paper , receipt still sit top hte clothe . absolutely amazing 5 star hotel actually live billing respect ! 
 Mar 20 2009 	 lovely stay 	 book 3 night London NYC & quot ; buy two night get one free & quot ; deal find nycgo.com . result , include taxis pay $ 700 three night -- total deal NYC , particularly give size room . ' ve stay probably 25 different hotel NY year , one nice comfortable -- comfortable bed , nice sit area couch , well - appoint bathroom . great space two people ach use space . boyfriend think fitness centre good have ever see hotel . location great ( former New Yorker ' m fan Times Square hotel central pretty much everything , street relatively quiet ) . service ok -- really not ask anything . bad experience rude / slow waitress , overall leave good impression . would stay . 
 Mar 15 2009 	 arrogant rude staff front desk 	 room decent - read review room & quot ; large & quot ; see suite surprise tiny second bedroom . room extremely dark well 's option make bright . father switch another room brother leave . front desk give room clean yet smell like bleach . addition , checking , front desk lady ( wish remember name ) extremely rude arrogant . decent hotel decent service well . 
 Mar 12 2009 	 can not wait return 	 one comfortable hotel ' ve ever stay . huge bed feel soft feather , sound proof second none , air conditioning easy adjust blackout curtain effective would'nt know night day - great stop fromSouth America . lively , smart atmosphere bar attentive door concierge staff . location could well - close central park Times square . worth every penny ! 
 Mar 8 2009 	 Amazing Hotel ! 	 love everthing hotel , except one night ! pleasantly surprised size suite- truly 1 bedroom suite , door separate big living area big bedroom . bathroom huge pretty ( although fan full length mirror shower ! ) . really wonderful stay , gym one nice ' ve ever use . eat Maze restaurant ( casual two GR restaurant ) , great meal . pay $ 250 room , feel like bargain base get money . not think will ever stay anywhere else come city . 
 Mar 6 2009 	 wonderful ambiance truly unforgetable experience 	 sister dine formal dining room London . food amazing , quite expensive regret . a special & quot ; thank & quot ; waiter tour we kitchen meeting chef . something totally unexpected much appreciate . sign , two blonde canadian sister 
 Feb 23 2009 	 ticket scam London 	 stay London 16th 22nd February . positive note room big ( New York ) clean TV flat . get high floor 32 suite view also good . the hallway dark breakfast terrible . beware concierge ! guy ego size Empire state attitude exception friendly New Yorkers street . ask buy shrek ticket tell could get & quot ; special & quot ; ticket concierge network unavailable public . want $ 75 service top $ 85 per ticket tell we ticket available $ 300.The ticket provide row x ( back row z ) restrict view special way . refuse pay find ticket row H online [ -- ] . concierge could recommend italian restaurant Little Italy restaurant view river . we book special vip Saks 5th avenue shopping deal Hotel also rfuse honour . if not buck crooked concierge do not bother ask ! 
 Feb 22 2009 	 Nice hotel food overprice 	 breakfast particular disappointing . full english breakfast much small side , well cross road irish pub . 
 Feb 20 2009 	 Affordable Luxury New York 	 stay Hilton Times Sq week , decide surprise girlfriend valentine night stay London . do not get wrong Hilton Times Sq good London totally different level . excellent service greet we 11 am Happy Birthday reception staff girlfriend , welcome . follow complimentry bottle wine . we show room 30th floor delight size . large well lay lounge , big King Bedroom huge shower seperate tub greet we step in . the hotel situate 7 - 10mins walk Central Park still 15mins walk Times Sq . we go afternoon , come back find another complimentry bottle wine plus snack . a suprise girlfriend dinner Gordon Ramsey 's London . this quite simply good restaurant experience ever many many restaurant around world . cheap leave feel great value money . if stretch budget go ! would definitely like stay would hesitation recommend hotel . 5 5 
 Feb 19 2009 	 Nice service somewhat disappointing 	 resturant pricey relatively poor value . additon mislead waiter MAZE tell would split bill , . pay $ 200 5 breakfast complain desk checking claim nothing could ? ! go back , many place want business . stand loose dime transaction , fail follow thru . 
 Feb 19 2009 	 Hip Elegant ! 	 take red eye Seattle show hotel 8 am . worried since check time not 3 pm , accommodate staff set room sleep room ready . could not nicer ! take long nap hot shower good go ! 's great place around corner manicure , pedicure massage call NY Nails . highly recommend go long trip ! room ready afternoon 52nd floor ! large beautifully appoint big shower along amazing view city ! free wireless internet , always plus ! lunch Maze restaurant hotel food excellent ! good tuna tartare nice cobb salad . also dine Gordon Ramsey 's restaurant dinner , delicious , bit fancy taste . great italian restaurant street call Gattapardo ; small restaurant nice atmosphere wonderful dish . look forward stay London would highly recommend ! 
 Feb 10 2009 	 Luxury London 	 stay London , NY February 2009 fantastic experience . warm welcome , great staff beautiful surrounding . suite large ( particularly ny ) spotlessly clean Ipod docker , two flat screen , great toiletry , soft robe etc . five minute Central Park mean morning run excuse . eat Gordon Ramsay Maze Saturday night one good meal ' ve ever . try five course taste menu ask sommeli match wine course . end offer tour kitchen - fantastic chance see great chef work . praise dessert several bring table try free charge ! great truly personal service . , be cheap overall experience 's great value . want special weekend NY love one place stay . 
 Feb 10 2009 	 would stay anywhere else 	 visit NYC lot stay lot hotel . stay London good NYC hotel experience money . great room breakfast include $ 249 / night . room new clean spacious NYC . location 54th 6th 7th right near N & amp ; r subway easily make downtown . staff great , bathroom new nice free wifi ! 
 Feb 9 2009 	 pure luxury LONDON NYC 	 stay London daughter ( age 23 15 ) Feb 6 - 8 . 2 bedroom suite 52nd floor . it absolutely amazing . suite 2 bathroom , one shower shower tub . we 3 flat screen lgtv suite . use 3 ! suite divide hallway . view Central Park . could also see Time Square . hardwood floor tile bathroom . verycomfortable bed sleep well . quiet . dinner Maze ( hotel ) pricey ( ' ny ) wasexcellent . 5 course dinner $ 70 per person . worth . look Gordon Ramsey butdidn ' see ; 0 ( service excellent . ( 2 hour minimum Maze 5 course dinner ) . concierge helpful . always smile go way help . they answer question recommendation everything right ! go Nobu 57for dinner celebrate daughter 15th birthday . excellent sushi . expensive well fresh , clean well worth . Wealso look Robert Dinero ( own restaurant ) ' get see either ; 0 ( concierge recommend Norma ' sfor great Sunday morning breakfast . unbelievable ! big portion ! ' see NYC ! last , see Lion King wasone good show see . great show age . return London next year tell ourfriend stay well . 
 Feb 2 2009 	 # 1 go hotel NYC 	 recently stay London NY January 2009 . London Suite approx 500sq ft comfortable civilized hotel experience recall ever New York . pay $ 259- $ 279 / daily rate great value : living room , bedroom , Waterworks signature bathroom dual shower stall 8 foot long . return room evening like come home . dining experience limit due uninspire breakfast sample care city doorstep . know Gordon Ramsay 's signature New York restaurant understand terrific . location great launch point Rock Center shopping , Broadway , etc . realize consider somewhat trendy fact see celebs property low pretentious scale ! 
 Jan 28 2009 	 Avoid 	 overprice poor value . watch bill insist closing bill leave . 
 Jan 22 2009 	 clean upscale 	 Great Staff time Valet car , check , bell service Gordon Ramsay restaurant excede expectation . would highly recommend good price room tax $ 349.00 Parking overnight valet $ 65.00 Dinner 4 - in Gordon ramsay $ 650.00 plus tip . 
 Jan 15 2009 	 fabulous location ; beautiful comfortable room 	 love Gordon Ramsay since travel business , think would chance eat fame NYC restaurant stay London NYC , restaurant house . first , hotel fabulous area -- close everything NYC ! block south Time Square theatre , block north Rockefeller Plaza , great shopping block east . ' m walk able get everywhere need go foot . ask high floor escape NYC noise pleasantly surprised huge suite New York hte 25th floor -- quiet clean ! not think hotel dirty previous poster suggest . lobby beautiful room amazing . bed comfortable bed ' ve ever sleep ! great beathroom , huge shower , huge closet area , living room , desk -- amenity . score great deal website -- match & quot ; chain & quot ; hotel area . negative thought staff little snooty , may & quot ; hip , english vibe & quot ; give . chance eat Maze , Ramsay 's small dish casual restaurant , food magnificent ! go , sure ask salt caramel end meal -- eat like die go heaven ! ! definitely stay next time ' m NYC ! 
 Jan 1 2009 	 new year London 	 love hotel , stylish , clean , wonderfull staff , stay several time seem get big big Londonn suite every time ! Stayed New Year Eve hotel wonderfully quiet get back spending midnight Times Square ! room service efficient , bed turn back every evening . hotel even smell good ! would never stay anywhere else manhattan . 
 Dec 28 2008 	 noisy 	 major problem ambient noise level . complain high pitch whine , promptly investigate , told & quot ; water pump & quot ; . check several floor night , high pitch whine present floor bad . problem : good read light room , inadequate storage facility room , slippery wood floor , picture wall decorate room , computer business center free , hand hold shower . overall , pleased excellent staff , attentively care , love in - room breakfast , bed great , view 48th floor spectacular , room clean . 
 Dec 24 2008 	 excellent amazing view 	 arrive Sunday 21st December London . hotel look swish pull cab . check effortless vista suite prepare ready we . suite 52nd floor ( two top hotel ) . large living room area connect bedroom bathroom . window huge ( electric curtain ) view across city . night arrive city light - lovely . room free wireless internet 2 tv ipod docking station . the bed comfortable shower hot powerful . weak point suite would bathroom small ish wardrobe area open plan 4 drawer hanging rail . two people bring lot clothe might tricky accommodate . however , problem small make incredible view across central park awoke - see photo . the hotel great location . short walk Time Square area , near park subway . since high find suite quiet . drink bar first night - great strong cocktail open 1 am . eat Gordon Ramsey restaurant look nice . unfortunately stay cut short first night call home say relative seriously ill return . staff helpful . problem cancel room , receive full refund give we late check 2.30pm could make call etc extra charge . everyone vert concerned kind . I would hesitation recommend London hotel anyone visit NYC . great location , nice staff , lovely room incredible view . 
 Dec 16 2008 	 stay also restaurant 	 nice , modern style , hotel NYC . choose one read Tripadvisor , especially room big NYC hotel . ' luxury hotel price , especially high season december . beautiful internal architecture decoration , choice food Michelin chef , Gordon Ramsey , excellent location , make hit we . Location 10/10 : 54th 6th/7th make hotel location well . around corner Times Square , well 5th ave . central park . walk distance shopping , restaurant , museeum , etc .. excellent . Lobby / check - in 9/10 : entrance lobby area gorgeous modern . bit small , big hotel , lobby get bit crowded . good feautre outside entrance , wait taxi , heating , keep warm . make top grade , staff service mind friendly , could much well . room 9/10 : Got upgrade London suite , beautiful . especially like separate bedroom closing door . also , main room sofa large table , big desk lounge / modern rock chair , wooden floor , bedroom wall-2 - wall carpet . color different grey tone white . bed extremelly nice comfortable , egyptian cotton , comfortable . one good feature feature close curtain electriallly , button . small , good sized , separate closet section bathroom bathroom , much room clothe store , stay long time . bathroom gorgeous huge mirror washbasin , could easily fit two , would perfect . another cool nice part bathroom two shower opposite different shower head mirror . one small extra feature , cable connect laptop flat screen plasma tv , could see movie laptop . restaurant 10/10 : good get . Gordon Ramsey restaurant , two . one casual one exclusive . din casual one , Maze , amazing . option choose small sized serving , able try bit everything , choose 4 5 entrées . read combination , start wonder ingridient match , wonderful way . amazed good food . atmosphere decoration also nice modern . Gordon Ramsey @ London suppose even well , also three time expansive . try breakfast buffé , serve Maze , see , look amazing well , much selection everything look good . other : complimentary high speed internet access room , good . also small business center print . modern ultra cool futuristic fitness center , time try . small minus relax jacuzzi similar . 
 Dec 14 2008 	 style much substance … 	 London NYC suite hotel good Midtown location . near theatre , shop , Central Park subway . although quite new , public area already look bit tired . similarly , fixture suite tired furnishing mark . staff mostly ok , ' really go extra mile make stay memorable enjoyable . we stay one London Vista Suites view Central Park bedroom city Sitting Room great . bedroom massive double bed , small flat screen tv , iPod dock alarm clock / radio air con system . wardrobe simply open hang space drawer feel bit small side . the sit area roomy offer trendy seat area occasional table , work desk wireless , large flat screen tv , air con bizarre mini bar automate remove item amount time , charge . mean could remove content chill water etc . ask additional fridge , day stay seem bit faff . tea coffee make facility big let down . you open window slightly bedroom sit room lovely , like , like bit fresh air hate stuffy , heat hotel room . the bathroom adequate large , fix deluge shower overhead along wall mount hand hold shower , bath . water shower go floor ! walk round city day , would welcome long , hot soak particularly cold . sort goody would expect type hotel – toiletry , bath robe , slipper etc . maze restaurant London NYC locate bar area buzzy evening . however , work bar leave feel like eat middle large throughfare restaurant . cold , draughty noisy . staff thoroughly disintereste service poor . food good , good London ( UK ) Maze eat quite regularly really enjoy . Gordon Ramsay London NYC bite mixed bag . food wine excellent . service quite good little fast . also bite enthusiastic number waiter ask enjoy food – always irritation . ask per course , ! restaurant feel cold lack atmosphere . as city … would go back NYC heartbeat . everything familiar yet different . scratch surface city 5 day leave want , much ! 
 Nov 20 2008 	 Great Location Big Lovely Rooms Great Stay ! 	 Great Location ! easy walk Rockefeller Center , Central Park , 5th Ave Shopping , Times Square much . subway stop B / d line 1.5 block away . line take China Town , Little Italy , Empire State Building , Macys , etc . beautiful hotel great art deco feel . room big great window actually open . sit room nice . wish bathtub , 2 person shower neat . concierge service great . small medical emergency concierge help we find great ER Saturday night . could nightmare turn small inconvienence thank help concierge staff . breakfast include room rate . nice restaurant staff helpful , pay breakfast would walk 1 many restaurant area . expensive . I would definitely stay London ! 
 Nov 20 2008 	 good set London 	 ' m afraid ' whtsnxt 's review London NYC mislead take face value prospective customer . sorry person issue smoking room etc represent hotel ' tired dirty ' plain silliness . the London NYC fine property gleaming , modern interior . return 5 night stay find hotel high standard relation bedroom bathroom size . strongly recommend London suit pleasant sitting room area couch work desk . room amenity include IPOD dock station / player , 2 tv , full minibar . room decor warm invite furniture well maintainedthe restaurant bar scene always quite lively trendy enough crowd slurp cockatil evening . my gripe attractive lobby , average size , seat meant alot people stand around wait friend / associate show . sat wait restaurant / bar area hit staff order drink etc . superb location local attraction minute away foot . 
 Nov 19 2008 	 Great Hotel Destroyed 	 wife stay Rihga Royal Hotel several occasion -- leat four stay . misfortune stay property week become London NYC . modernization decor furniture make stay uncomfortable . sofas hard unless well six foot tall one could sit back support . bedroom sparce mean store clothing . dresser expose clothe rod . clock radio require advanced degree electronic able understand control . refrigerator room request housekeeping bring one . basically , comfort become accustomed gone . the personnel check try give we extremely poor suite check . understand & quot ; 12 & quot ; series room small half bathroom size suite . pay type money charge hotel , expect poor room palm we . this tragically take we comfortable suite hotel Manhattan make we seek site visit New York . Lee GoldmanLeeG @ Socal.rr.com 
 Nov 16 2008 	 great Stay - Disappointing Dining experience 	 previous reviewer note , room London amongst large NYC . hotel well situate midtown close shopping , theater Central Park . decor modern therefore may appeal every taste , find refreshing . particularly appreciate spacious bathroom separate bed/ living room configuration . the drawback property restaurant . several staff member rude food mediocre . upon checkout , front desk representative ask we stay . mention treatment restaurant , acknowledge many similar complaint . would definitely return London recommend many friend , would waste time restaurant ( despite draw Gordon Ramsey ) . New York shortage dining option provide much well experience . 
 Nov 12 2008 	 dirtyreeke cigarette smoke poor service 	 Images website deceive . although property remodel , need another remodel , finish tired dirty lobby . understand natural wear tear public place lobby , continue elevator , corridor room . service something else property lacking ... book non - smoking room 3 month ago upon arrival tell front desk hotel oversell request guarantee . inform could put smoking room maid could freshen hide smell smoke . not able stay room 5 minute return lobby , cancel reservation relocate another hotel . after look size room overall style property , really look forward stay London ; however quickly turn dissapointment see property person lack service staff . 
 Nov 7 2008 	 Disappointing Good 	 London Hotel NYC Blackstone property formerly suite Righa Royal Hotel . makeover transform traditional decor suite hotel contemporary minimalistic design . would rate 3 half 4 star hotel higher . the suite spacious furnishing appeal young clientele likely many 50 love furniture feature . bedroom feature open closet maximize room space although be convenient will hang clothe totally open visible space . the bathroom eliminate tub instead 2 shower head one feature rainfall head traditional locate narrow elongate shower area . glass side open middle unless be careful shower head aim get water bathroom . 's clever cool 's really good . there free high speed internet service speed excellent . printer fax old Righa Royal long go need print bring . television selection disappointing although screen flat high definition . large one locate living room area bedroom tiny ~20 inch Zenith flat screen way small enjoy . eat restaurant bar nicely do lively hip crowd cocktail hour . 
 Nov 6 2008 	 love hotel 	 move Waldorf hotel end October 2008 contrast . service fantastic , room spacious clean overall wonderful experience . 
 Nov 4 2008 	 stay London NYC ! 	 every room suite , separate sit area plenty space . honestly , sister boyfriend room joke big boyfriend 's Manhattan apartment . bathroom beautiful , white tile , amazing shower , clean , immaculate . service great , everyone excellent job helping try get cab one morning work thing escort hotel 's Range Rover instead . also dual electric shade / drape window block light . love location well , walk distance Times Square , Central Park , Met , MOMA , 5th Avenue .... loved hotel ! 
 Oct 30 2008 	 Great Location 	 return 4 night stay London NYC . location superb within easy walk distance Broadway theatre , Fifth Avenue shopping Times Square . suite spacious , clean stylish however less positive point raise . check disorganised twin room book ready 6 pm . feel reception staff little disintereste not go way help . 3 we stay twin bed actually single bed , request roll away quite uncomfortable . wait room , drink bar area - 2 small glass house wine cost $ 40 tip . first night order room service - bill 3 average sandwich drink $ 170 . plenty less expensive diner restaurant close hotel . Ellen 's Stardust Diner great fun . overall , love hotel , great stay would definately return 
 Oct 28 2008 	 good breakfast . 	 ' ve stay London NYC 2 night share suite 34th floor two friend . the suite enought sized , view , beside 34th floor , block building size , could see ave small corner , ok . maybe expect be . room clean , calm ( noise ) stereo connection i - pod 2 LCD tv 's . good bad : rollaway bed 3rd person ( ! ) extremely comfortable , really excelent ! ! good tiny size bathroom . the service general good : helpful porter concierge desk . the buffet breakfast poor . consisted cereal , 2 3 type fruit , croissant , 2 3 type cheese bread . good quality expensive variety . however , possible ask toast , orange juice scramble egg , pay extra cash . if not want spend much money breakfast , around corner place breakfast less 20 $ . loction also excellent , near MoMA , Trump tower , 5th Ave , store restaurant . hotel little bit expensive , Manhattan ? ? 
 Oct 17 2008 	 hit miss - poor management 	 stay hotel 6 time , enjoy first three four visit , last two force we reconsider future potential stay . staff front desk seem develop elitist attitude , reminiscent snobbery . management fail adequately address issue brown bath water fact past two visit require we make several reservation since kept & quot ; missing & quot ; previous reservation , second guese make plan stay . add hotel unable properly address regular customer preference specific surround previous visit , give one pause hotel sufficient computer system retain neccessary pertinent information . price per room , one would think service ability management staff would superior hotel , sadly case . check establish hotel range area make hotel choice . 
