would 	 stay week jun 2006 ajoine room~ get small room a.c . do not work . offer we 2 room connect child connect room , attempt repair a.c . get work , give we complimentary week use june 2007 stay free . staff great ! accomidation update clean comfortable . pleased time stay . plan 3rd trip vegas try stay . great location strip easy get everywhere . pleased pool friendly service well . 
 Jul 20 2007 	 enjoyable stay 	 husband , daughter go Vegas July attend dance competition daughter compete . able obtain one bedroom unit Club de Soleil Interval International . sure expect , pleasantly surprised checking . section registration center . second section half block Tropicana seperate apartment complex . room 2016 . think build 3 . second floor ( 3 ) balcony overlook back parking area . may sound wonderful , actually like quiet - near tropicana- could see part strip lit night . like traffic noise work well . also shade afternoon certainly well book temperature 107 degree . room extremely clean - fussy . lavish , nicely furnish comfortable . kitchen immaculate . could benefit utencil pot , adequate . great clean BBQ ( actually 2 ) granite counter around outside courtyard . enjoy great steak one evening . the bed comfortable sleep well except idiot 's car alarm go 2 morning row . car , not know happen . the one thing want really comment high level service provide . whatever ask immediatley attend . one evening forgot ask extra linen go night . call front desk around 11PM thinking would possible get , problem . night security guard bring . astounded . also , bother concierge time share sale pitch . offer , decline . helpful provide we info ask . pool big , well maintain wonderfully warm . daughter spend hour lounge water . spa great . love shade cabana well numerous tree around perimiter provide much needed shade heat sun . yes , leave blow pool afternoon wind , attendant come around clean . Believe , would rather shade put leave pool ! ! pool never crowd . maybe 10 people max many time one . love ! ! ! also post hour . pool open 24/7 night owl might want take spa . sure would entirely yourself . we feel facility well maintain , staff friendly room comfortable . use shuttle car , notice one frequently front . love quiet ( really hear noise time none next door entire week ) away strip . leave feeling relaxed would definately return . 
 Jul 16 2007 	 nice accomodation little hassle 	 travel Vegas July 6 - 13 summer , stay Club de Soleil . two one bedroom two suite 8 we . jacuzzi bath tub great pool spa nice . kitchen living room nice room come cd stereo great night get ready dinner night need little music set mood . also DVD player case want break light slot . half way stay get message leak need change room could fix . pain neck nothing could get compe timeshare . also , turn water one night 8 p.m. 4 a.m. plumbing problem . two thing , stay nice accomodation enough . 
 Jul 16 2007 	 Good Place stay 	 spite several photo minor criticism include , honesty would stay heartbeat . fortunate enough get & quot ; Strip View & quot ; room ( , request early want one ) virtually every part stay positive . room clean , spacious , quiet , well - appoint : deck / patio table two chair , full kitchen , large bathroom jet tub , washer dryer , iron ironing board , fireplace ( need Vegas temp reach 116 ! ) , tv living room bedroom , dvd player living room , well small stereo . with exception one concierge brusque , everyone friendly helpful . parking plentiful , cover , patrol security guardcomplimentary waffle sausage serve breakfast Saturday , Sunday , Thursday . shuttle strip great service , , miss , $ 2.00 per person ( cheap take car ) : guide trip Red Rocks air condition bus , knowlegeable amiable driver / guide , Norm . the minor criticism : surpise number thing seem order deal week stay . fairness , none bother , not interested use , seem like address quickly . work : one excercise machine , lobby computer guest usage , dvd rental machine , water fountain pool . also , windy , pool collect lot leave tree debris , afternoon , pool surface need cleaning . pool supervise ( life guard ) , open 24/7 , convenient , especially warm hot night . Orleans , contrast , pool close 8:00 pm , seem awfully early , true many strip casino also . in , enjoy stay strip . 2 mile ny , NY / Excalibur / MGM Grand etc . , 20 minute Red Rocks , less hour Mt . Charleston . top flight ? . Perfect ? . like well make stay Las Vegas enjoyable . 
 Jul 3 2007 	 comfortable caution 	 wife stay small side . room comfortable clean . bed soft . however , door divide we main room make first 2 night difficult . guest come early morning , awakened noise . guest rude inconsiderate . come night town Vegas . request move room without guest next room . door need seal well . guest side overly loud , hear everything say especially stand next door . stay place divide door problem privacy . stay side family guest , treat like extra bedroom . however , pay privacy disappoint . feel like kid baby try keep voice low time adjoin guest would hear conversation . additionally , stay section 1 thought would main lobby . need anything go section 2 short walk away . big problem inconvenient . rarely someone section 1 could answer question handle problem divide door . note ownership : potential really nice place stay , spend money improve divide door . difficult fix , cost investment . would think long return current situation . 
 Jun 17 2007 	 love ! 	 little worried staying read review site . give room consolidated resort exchange timeshare presentation Tahiti Village . arrive saturday clean beautiful 1 bedroom unit . kitchen full size fridge , microwave dishwasher . living room area sofa sleeper , chair , fireplace , dining table 4 chair . unit stay small balcony faced parking lot , never go cause hot , unit balcony face pool . bedroom large clean , complaint air conditioning not seem cool bedroom well freeze living room . bathroom large also clean jacuzzi tub door enter bedroom hallway . give plenty towel 4 people 4 pool towel . hallway washer dryer use every night . hate cigarette smell casino . pool good size , heat , jacuzzi little hot 2 am . pool r 24 hour . complex quiet one bother we . also tennis court BBQ 's use . r staying couple day suggest stop grocery store street pick munchie , shuttle store casino not rent car . first time Vegas suggest rent car , be usually hot tire walk around . also plenty Taxi 's limos add quick . personally like downtown Vegas well strip 
 Jun 15 2007 	 Great Groups 4 - 5 	 stay Club de Soleil April 2007 bachelorette party . 5 us girl 2 bedroom suite plus pull - out couch , perfect need ! great 2 bathroom master bathroom large . check - in 4 pm , arrive around 2:00 . lounge pool meanwhile room finally ready around 5:30 . room balcony third floor overlook pool . room clean good shape , except screen door balcony broken arrive . think 2 complaint : 1- shower pressure good , frustrating girl lot hair wash ! 2- hot tub filthy . never see anyone clean always full bug / leave / etc . water cloudy could not see hand 3 inch surface . otherwise , stay nice . claim 5 - star hotel , would disagree . though great hotel , caliber 5 star timeshare stay . overall enjoyable stay . 
 May 28 2007 	 great family 	 good family . go little boy especially like pool hotel overall quiet . room nicely decorate , large nice bathroom soak Jacuzzi tub . hourly shuttle strip nice since 2 mile away . one complaint food resort walking distance . early shuttle grocery store nice consider full kitchen . 
 Apr 17 2007 	 money steal room 	 return holiday , enjoy nice week club de saoleil . find accommodation comfortable noise all . the site way strip find shuttle busto totaly reliable , time accommodatiom , nearly always ten minute early away pick points.my complaint ? fifty dollar steal daughter purse , accidentaly leave safe day leave early day trip . a formal report make notfollowed yet 
 Mar 3 2007 	 bad place stay 	 wife & amp ; stay time share Interval International . interval list 5star type location , however arrive notice aware 1998 , build likely . unique place indeed , love fact hallway open fresh air , although carpet hallway pretty worn . nice pool area , & amp ; hotel worker friendly . stay lock unit , probably mistake . available would recommend entire unit . read previous review wall thin , true , recommend entire unit , & amp ; lock off . the shuttle strip great , even though rent car . take shuttle strip possible , becuase traffic . one thing really annoyed fact soon complete checking , subject timeshare pitch . basicly sign presentation even though tell already own . course OBLIGATION come choose route . overall bad place , not let Interval International book convince 5star . would mind stay long entire unit & amp ; lock . however , return vegas may try Polo tower something right strip . 
 Feb 9 2007 	 nice comfortable stay ... amenity home ! 	 excellent stay . husband travel one - year - old infant , amenity full kitchen washer / dryer absolute must ! plenty room , son love explore whole apartment . wall little thin though , dishwasher noisy , washer midget - sized , expect hotel room ? staff friendly hardly ever feel like hotel . distance strip manageable . rent car business attend , other say shuttle great ! would definitely recommend stay ... 
 Feb 6 2007 	 Beautiful 	 Husband & amp ; return week Club de Soleil Las Vegas . wonderful stay . staff great , friendly helpful . we stay 2 bedroom huge , full kitchen , livingroom fireplace slide door go Balcony overlook pool , washer dryer , also 2 bathroom include spa bath ................. relax indeed ! shuttle leave hour go strip Orleans well . stops strip Treasure Island New York , New York . one shuttle driver & quot ; Clyde & quot ; wonderful ! funny tell we story , always helpful help we get want go , great guy ! shuttle also leave 8 am day go Albertsons Grocery Store . Husband & amp ; find Club de Soleil great place relax , minute strip convenient well . full week one bother we take tour purchasing timeshare , really great ! would highly recommend Club De Soleil timeshare anyone , wonderful ! 
 Jan 28 2007 	 Excellent 	 love resort , stay two bedroomed unit lovely balcony great view mountain . check fast easy friendly staff . unit excellent abundance towel really like small touch , , e , toiletry wash powder , sweet pillow ! two bathroom , one huge spa bath . great shuttle service use want drive , shutle go strip Orleans minute away , morning shuttle Albertsons great idea . even trip Red Rock Canyon $ 2 . visit Las Vegas every January 20 year find strip bit busy perfect location although minute away strip . highly recommend resort . 
 Jan 2 2007 	 bad place side STRIP 	 place disaster ! first , 3 room book party come different place , ( final party ) arrive last around 3 pm . tell we bathtub break would fix 2 hour . wait wait never call we . decide go strip work problem . stop front desk front desk lady call maintenance man walkie talkie , not even know room talk ! , promise we ready 2more hour . say fine go . come back 11:30 , think would plenty time fix room , would not know , give room away . many excuse later , put we bottom floor smoky room . get awoken middle night moans groan someone nasty we needless say , ask room 3rd floor . say none wind loud room possible . family elephant we John Holmes next door room separate lock hollow door . go week . crap even worse , smell like whatever neighbor cooking time stove go . heater would bellow smoke room phone even rang customer line ask connect reception . stay away ! PLACE DUMP , RUN PEOPLE could care LESS ! 
 Oct 10 2006 	 great time Club de Soliel 	 spend delightful week Club de Soleil . condo clean , well organize , provide everything need week Las Vegas . two bedroom two king size bed two bath jacuzzi tub . minor complaint couch get old sagging . need replace . notice bring new furniture condo , maybe list replace . note evaluation form . shuttle service prompt efficient . wish would include drop location . free convenient . one tour would recommend take Las Vegas go Mt . Charleston . drive one day lunch , beautiful drive . restaurant beautiful view , food reasonably price tourist location . would hesitate recommend Club de Soleil anyone look nice clean place stay Las Vegas . strip , convenient place would want go . rental car , not take day shuttle convenient . 
 Sep 15 2006 	 happy day 	 wife recently return month long trip state , last leg trip spend Club De Soleil . review read prior leave UK make we somewhat anxious , need not worry turn one good place ever stay . apartment furnish high standard cleaning spot . staff could not enough we warn dread timeshare salesman never see one ten day visit . although pool area fairly small , always seem get good spot catch sun . would hesitate return Club De Soleil , would highly recommend anyone enough stay busy hotel along strip . PS . do not tempt book studio apartment , small kitchen non existent , go 1 bed apartment instead . 
 Sep 14 2006 	 Week Vegas . 	 spend Sept 1 - 8 honey moon Vegas . decide resort reviews location strip . room nice , clean , quiet . basically room , laundry , kitchen ( full size ) Jacuzzi tub , air conditioning , several small appliance , bedroom , stereo , 2 television nice balcony . draw back whole room lack work power outlet kitchen , 5 kitchen 1 work . not cause problem try make coffee , toast iron something ( close plug iron kitchen ) . say minor whole trip . pool keep clean , time day pool side . also site tennis court , clean surface looks tended . location strip several shuttle pick hour drop one 4 hotel . also shuttle grocery morning . seem like every shuttle take drive Eddie . character , story conversation sure make ride fun . rent car trip plenty parking available , would recommend stay try rent car . want go somewhere strip would need cab every time not car , consider 3 - 4 mile strip . surround resort resort , close fast food place drug store several convenience store . would stay , trip satisfy fun . want relax not want hustle bustle strip would recommend resort . 
 Aug 21 2006 	 corporate fix mistake 	 write review belong & quot ; bad stay Vegas . & quot ; say still stand -- shuttle problem , many staff speak helpful . however , write detailed letter corporate office explain terrible time , problem experience . get nice apology , refund money complimentary stay . want say someone listen , care enough try make right unhappy customer ! 
 Aug 18 2006 	 Nice Time 	 time share , however hassele good time . stay 7 day . hotel locate main strip realatively small . ( La Quinta size ) room great , great juccuzi tub kitchenet . hotel shuttle leave every hour various spot strip . shuttle great punctual way . shuttle also take store , load fruit / snacks/ drink . pool nice , small never crowded could always get chair matter time . avtivitie choose go fremont experience great . we would go back ! however go mandalay bay first mostley beach pool . relax 
 Jun 20 2006 	 Perfect Perfect Perfect 	 wife come back Vegas stay Club De Soleil . first let say . negative report resort untrue . resort modern , clean well keep . our room beautiful soon check provide welcome package contain many deal discount shuttle service time even provide shuttle service every morning take grocery shopping . driver courteous informative . example las vegas strip thi bus take strip even downtown day long 5 buck . call duece . would never know driver . also promote trip red rock canyon 2 buck . driver Norm fantastic . honest trip worth 2 buck . norm provide quality information historic part country . Club Desoleil top notch resort family couple people post negative comment go stay Wynn Bellagio spend 500 $ buck night room lobby madness . 
 May 12 2006 	 problem perspective 	 return 2 week Vegas . 2br unit Club de Soleil . concerned going base wide variance review read . negative report - channel button one 3 tv remote defective . mention maintenance replace VCR DVD player - bring replacement remote within 10 minute . hard call negative . check ( although 10PM ) smooth quick . ask would possible we occupy unit week avoid pack move . answer probably ok - happen without hitch . we use kitchen facility washer / dryer extensively . work well . housekeeping willingly supply additional dishwashe liquid laundry detergent . Noise ? - none . property quiet fault . time share pitch ? - approach even 2 week . parking - ample cover space - valuable consider Vegas sun . can not conceive rental car Vegas - many thing - many mile Strip . oh , not plan make left turn property - except Sunday morning , traffic Tropicana completely uncooperative . check ? 4AM - barely take 15 second . general assessment - certainly Marriott , adequate purpose - far well expect give prior posting . 
 May 2 2006 	 great place ! 	 family ( wife 3 child ) check Tuesday afternoon long drive SoCal . upon check , clerk state closing , would walk across street reservation desk . start go , 20 foot door , thought & quot ; wrong ... & quot ; . , walk back ask clerk fire computer walk 10 minute away family wait parking lot . grudgingly , check in . we 1 bedroom timeshare Club de Soleil purchase November ' 05 . first stay . living room bedroom clean , kitchenette . bathroom large , jacuzzi bathtub . kitchen fully stock cooking utensil , well coffee pot , large refridgerator , dishwasher , microwave . the staff helpful ; call extra blanket pillow 10:00 p.m. , show within 10 minute . the kid use pool ; use gym , free weight universal gym . tv 's living room bedroom ; vcr also available living room . the fireplace nice touch , although definitely look , heat . wireless internet available $ 9.95 / day , $ 35 5 day . a grocery store available west Tropicana , 's Walgreens Starbucks nearby . overall , pleasant experience , none previous post 's complaint loud salesman . visit memorial weekend . 
 Mar 19 2006 	 Perfect Las Vegs get away 	 husband want vacation Las Vegas want peace quiet , Club de Soleil answer . check check could easy . check 5:00 . call front desk let know check also ask call we cab 10 minute . stay quiet convenience shuttle make get grocery store strip easy . everyone friendly go way accomodate we . fireplace not work check first thing next morning someone arrive fix . room clean even include maid service half way week . narrate trip Red Rock Canyon cost we $ 2.00 ! ! ! many different resort one accomodate offer peaceful Las Vegas vacation . 
 Dec 26 2005 	 expectation 	 tell wireless internet connection availabe . haul computer 2000 mile find not availabe . bigest problem cheap construction room . normal conversation could heard adjacent room though wall exist . make sleep difficult . 40 degree outside run airconditioner keep hear people tv next door . reservation another stay later summer cancel . happy camper . 
 Nov 28 2005 	 good Getaway much trade - in 	 start review say ' m Marriott owner , like reviewer , come expect certain level service , ammenity , quality place trade timeshare . say , get week Interval Getaway , mean not trade timeshare week , instead pay cash week . get pretty good deal - $ 299 Wednesday - Wednesday 2br week , perfect looking spend long weekend there . my name reservation , brother - in - law got , problem check . call beforehand get name , receptive problem . problem put hold literally 20 + minute , not even 800 number . thank work footing bill there . the room decent , expect Marriott type appointment , disappointed . main room really pretty small : enough room couch chair , tv coffee table , be . couch big enough 2 people , chair one , 4 we want sit watch tv , bring chair dining area . dining area round table 4 , behind bar divid galley style kitchen . would say overall room include kitchen probably 20x10 , respectable , feel hotel condo . not think would ' ve comfortable 4 people . 2br setup 1br lockoff , lockoff side small kitchenette , actually little nice . BR decent sized , decent bed , pretty big bathroom , really thin wall , could hear everything go main room well . lockoff side thick wall . we first floor , right middle pool , luckily either slow week sound not travel well , quiet enough . however side room parking lot , ton shuttle bus park , every morning greet beep beep beep backing . one thing happy know fire alarm work . last morning fire alarm go 5 am , way could sleep . luckily one know turn continue 5:45am , long fire department come verify false alarm . the last thing would like mention although apparently 2 mile strip , seem lot long . dumb enough return daily outing strip around rush hour , two mile light take half hour day neogotiate . even though seem close , 's lot strip think would . take shuttle service strip go night , convenient . cab back Trop $ 10 one night , Freemont St , $ 20.so overall , ' m pretty ambivalent place . be look Marriott quality place , not . be look pretty good deal place Vegas , not particularly care bit inconvenience get Strip , be pretty good bet . be look Vegas area sightsee place like Red Rock Canyon , Hoover Dam , Valley Fire , think 's good base camp . personally , would trade timeshare place , Getaway good deal , lot cheap stay Strip casino / hotel . next time would probably check one timeshare Strip like Jockey Club , think experience worth pay . 
 Nov 8 2005 	 Clean less expect 	 stay one week Club de Soleil time - share trade part Marriott two - bedroom villa Orlando Interval International . picture Interval catalogue description property intriguing - bit deceiving . check review tripadvisor accept property trade seem lot people like stay . tend overlook give poor review - mistake . will not stay - nothing really wrong , get use Marriott level service resort quality - Club de Soleil not even compare . stay one bedroom villa third floor phase - overlook apartment across street . room furniture date , cushion couch flatten kitchen bathroom counter cheap - laminate instead granite , hollow core door bedroom two door bathroom . end build lot foot traffic pass door , appreciate quiet night - plus nice view Sierre Nevada mountain . give schedule include free breakfast morning - bagel day waffle other . go - stand small lobby area fold table set staff member toasting choice 5 different kind bagel . get plastic knife foam plate put individual packet cream cheese jelly . balanced styrofoam cup coffee coffee mate - picture 25 30 people stand around sit available chair . not second time . property 2 mile strip - Tropicana ave - major traffic route morning evening - rental car use shuttle service . able visit Hoover Dam Red Rock Canyon - excellent side trip less hour Vegas . gambler go hotel show , unique attraction restaurant . eat three buffet - Paris breakfast - must ! dinner Alladins ( $ 25pp ) - fantastic , dinner Bellagio - treat . Club de Soleil clean quiet Vegas , purchase another Marriott time share - 's stay next time . 
 Oct 31 2005 	 Happy stay Club de Soleil 	 Long Island , New York last year visit Las Vegas buy two bedroom unit resort . year decide spend week try facility . pleased find comfort home unit third floor overlook pool balcony . place attractive look nicely keep . clean people excellent job prepare room guest stay seven day clean room week . rent car week would excellent free shuttle service Strip hour . time late . concierge staff helpful answer question offer assistance . would advise signing early provide activity sometimes fill quickly . trip Red Rock Canyon excellent driver / guide ( retired school teacher ) . enjoy trip Vegas look forward go back . seem always something new see . 
 Oct 18 2005 	 Cozy Retreat 	 enjoy stay Club would return . nice retreat chaos strip . club small comfortable . equipment exercise room sufficient accessible 24 hour . also pool jacuzzi nice accessible 24 hour . staff shuttle driver friendly helpful . coffee tea available morning . waffle bagel available four time , bbq one day wine cheese party . shuttle go grocery store morning always time . shuttle strip dependable . Tracey Angel arrange helicopter tour Grand Canyon we love . good thing say week Club de Soleil . 
 Oct 17 2005 	 Club de Soleil ... way stay Vegas ! will love ! ! ! ! ! 	 stay Club de Soleil Tropicana Las Vegas . two bedroom suite accompany son daughter - in - law . enjoy separate entrance common living area full kitchen . suite roomy second suite kitchenette . washer / dryer come home clean clothe . cover parking step away pool . Orleans Casino right street could late night gambling without venture far room . numerous service nearby grocery store , drug store , gas station , restaurant . ball highly recommend Club de Soleil . staff accommodate go beyond make sure everything need . place stay . 
 Sep 24 2005 	 wonderful resort please disregard naysayer 	 friend return amazing vacation Vegas , stay Club de Soleil timeshare purchase Ebay . resort gorgeous , stay Club 2 - 2 bedroom unit - could not please . comfort home . shuttle system excellent , never driver time . not know driver 's fall asleep wheel , definitely time - will leave you . another great thing staff interest we know buy time share . way , constantly harrasse purchase time share many people . however , since buy time share , staff unfriendly towards we . location Club de Soleil great we . bar call & quot ; Magoos & quot ; right next door open 24 hour also table top video poker . meet friend local make phone call get us guest list House Blues Foundation Room @ Mandalay Bay - also highly recomend , view - club sick.24 hour pool hot tub also key . negative , be look meet people club - 's mostly marry couple elderly . always meet people strip , bring back impress.oh word wise : want get & quot ; RIO & quot ; & quot ; Palms & quot ; , take Soleil shuttle & quot ; Orleans & quot ; Orleans shuttle take two casino . Soliel shuttle go New York New York , Orleans , Mirage , Riviera . that be , AMAZING PLACE - Vegas Soliel . 
 Aug 19 2005 	 Nothing brag 	 group friend return Club de Soleil Las Vegas dissappointe place . 2 bedroom unit door connect room . schedule room Friday follow Friday . ask we call let know would arrive . call advance let know flight land early Saturday morning would shortly . arrive Saturday morning , say check time 4:00pm return . drive 4 hour airport fly night tell come back 6 hour . needless say , impressed tell unacceptable since reservation actually day . take time finally manage find room put we , small half 2 - bedroom . tell large side not finished clean yet , would do 4:00pm would access . close 5:00pm able get . second irritation first day involve internet . need rent car , rate available Club de Soleil book airport ! discover reserve online first go pick car , get deeply - discount rate . need book internet . internet access lobby dollar per 10 minute . try reserve repeatedly , computer keep freeze . 10 - minute countdown not , however . time run , put second dollar . continue try navigate reservation avail . finally , ask help . offer help except tell we computer not work . give we money back . explain need use internet 5 minute , would not let we use ... suggest walk road sister resort , Tahiti use ( pay ) internet . really enjoy free shuttle strip . suppose leave hour . actually leave anytime 5 minute hour ( day miss ) 15 minute hour ( day driver sleep driver 's seat ) . location not far strip , far enough need shuttle car rental . Tropicana , busy , noisy road . please note cabbe ... cab driver airport take long way around drop we result $ 24 cab ride oppose $ 12 cab ride back airport . cab , tell driver stay highway , unecessary . the room nice . bed quite comfortable . nice pool towel small , scratchy bathroom towel . pool open 24 - hour great . we bother timeshare people submit review , boyfriend cornered find not marry , lose interest we . would definetly stay . many hassle holiday . 
 Aug 14 2005 	 disappointed ! 	 trade beautiful timeshare Colorado ( 2 bedrooms/3 bath ) 1 bedroom 1 bath basic , ugly unit . disappoint , first give we unit overlook dumpster carport . also , suppose non - smoking unit - stunk smoke - set drape , etc . ask switch another unit clerk say would wait tomorrow . ask speak manager able find another unit us 3rd floor - slightly well view not smell . however , good thing could find Club excellent shuttle system . otherwise basic , thin worn towel , linen , etc . also , everytime pass front desk ( day ) ask go timeshare presentation , go , etc . not go Vegas go presentation ! ! ! finally decide really enjoy Las Vegas away Strip . check early go new Wynn Las Vegas finally beautiful room fantastic view - lush towel , amenity bathroom , etc - treat wonderful end vacation . would never return Club de Soleil . 
 Jul 31 2005 	 cover Timeshare lizard 	 timeshare resort follow problem . 3rd floor crawl timeshare lizard day . run hallway . holler shouting , whistle clapping whenever get new sucker . walk potential sucker hallway , try loud . get rest 8 am - 5pm . change room get away , not help . leave book first room magically disappear move . leave 3 pair glove hot water heater check magically disappear come back couple hour later get they . last least loud road noise Tropicanna Avenue run 24 hour per day . good place stay Vegas , never stay room . 
 Jul 22 2005 	 nice resort 	 boyfriend return Club De Soleil 2 day ago . overall nice resort would stay , question ask . pool , mini golf course excercise room available guest 24 hour , great boyfriend return strip find refreshing take swim get away heat ! even excercise little eary morning . location resort convienient well ( even though rent car ) . place eat , 7 - 11 's different store purchase simple thing case not want eat , within short drive away . thing kinda get we upset room clean week chance miss day week room schedule cleaning squeeze another day . luckily , manager day tell miss chance reschedule , problem immediately solve room fully clean 15 min later ! basically resort top list place absolutely would problem stay . well worth ! 
 Jun 1 2005 	 great accommodation 	 recently get back UK feel must write review say terrific time wife Club de Soleil ( 1 ) . could not ask 1 bedroom apartment , clean , quiet everything need enjoy stay . pool small surprised bar , turn problem . staff friendly helpful , free hourly shuttle strip marvelous . chance compare timeshare appartment night stay Circus Circus complete holiday . say , make we appreciate Timeshare even , hotel extremely busy , noisy pool overflow space swim . thank Club de Solail make fist trip Las Vegas fantastic memorable experience . 
 may 20 2005 	 great time - inspite cool weather 	 resort nice spacious short drive strip . nice quiet resort . want action place . family friend welcome time away fussiness strip . cool windy end March not get go pool . definately take Showtime tour Grand Canyon Hoover Dam . see show Flamingo hotel . Gladys Knight George Wallace excellent . also get discount ticket night show outside vendor Riviera Hotel . list ticket available night performance . visit restaraurant Eiffel Tower . enjoy casino Flamingo Caesar Palace stay away Rio casiono ( get lose half hour ) . would not recommend buffet line wait long poor mediocre food . well nice sit meal . I definately would go back Vegas stay Club de Soleil .. much see can not one trip . 
 May 4 2005 	 Bring earplug 	 stay timeshare available . trade 2 bedroom studio even though large room get . ask get room adjacent office . chuckle . well , room asigne locate next couple enjoy watch TV day & amp ; night ( get life ! ) . next day move next empty room . ... guy move phone day start 8 am . drown TV.As head first room check - in old guy start sale pitch . want know see show town . say ticket tired want move . turn wife ask question manner think rude . ignore whenever tried talk we . work great . 
 Apr 30 2005 	 Bonus ! 	 six we return home week Las Vegas Club de Soleil . look top notch place stay great service , ! free shuttle bus daily grocery store like eat suite ; free shuttle hour strip , return half hour ; 3 free breakfast ( waffle 2 day ; bagel another ) coffee tea every morning ; wine & amp ; cheese one day ; bbq one day ; $ 2 person , 3½ hour guide trip Red Rock Canyon ; 3 hour trip one evening Freemont Street Experience . nice pool , spa exercise room . highly recommend Club de Soleil everyone want long stay hotel room set . 
 Apr 7 2005 	 home away home 	 recently return stay Club de Soleil . travel another couple pleased 2 bedroom unit . bedroom 's bathroom tv , 2nd bedroom lock unit privacy want . unit spotless everything could ask , full kitchen utensils washer / dryer , TV & amp ; VCR small patio . also appreciative non smoking unit . enjoy lounge pool heat . staff serve breakfast lobby day . plan activity like wine & amp ; cheese get together tour available certain day . not make use shuttle car . whole complex well maintain clean . definately go back . 
 Feb 9 2005 	 really nice 	 stay resort shortly open part promotional period . really high end place . service fabulous , amentie excellent , suite fully equip really nice furnishing . balcony , lock suite , full kitchen , good shuttle service . really complaint quality , service anything else . location tad far Orleans strip shuttle service good small inconvenience easy overlook . put green , outdoor barbeque anyone use , internet service . ahh . ' ve stay resort comparable rating nicest . could score great promotional price . 
 Feb 3 2005 	 absolutely wonderful 	 husband Club owner love . not like stay strip 's perfect yet be still close enough get within minute . drive Phoenix Vegas anniversary every year would not stay anywhere else . hotel quiet , clean , comfortable visit concierge , get pretty good discount show . would definitely recommend other . 
 Jan 24 2005 	 nice resort 	 husband stay Club de Soleil II week January 15 - 22 . time share exchange , use week 2003 ready expire . nice resort , small , clean friendly . traffic Tropicana Blvd . bad time managable other . rent car , also take advantage free shuttle service suit we . shuttle run several strip hotel / casino nice treat . driver friendly knowledgable . front desk , concierge housekeeping staff also friendly . beware concierge also sign timeshare presentation . like award several nice gift attend . stay 1 bedroom suite nice . somewhat compact , comfortable 2 we , take advantage full kitchen small laundry suite . save we time money week . beware Club de Soleil II , locate street . club tennis court Club II mini golf course . may use facility either club . pool hot tub area look nice . pool heat open year round . within walk distance shop restaurant , locate nearby . visit Las Vegas , would book resort . 
 Dec 3 2004 	 nice 	 reading mixed review , decide take chance & quot ; trade & quot ; Club de Soleil . upon arrival , decide & quot ; tour & quot ; property alone determine room various location would acceptable we . get front desk , tell clerk room want stay ( i.e . near sales office ) give key room fourth floor inspect checking . delighted room east face location . Tropicana Avenue busy street , hear traffic room . we early day way various activity , never see sale staff hear noise come sale area . leave message telephone ask we attend & quot ; reception & quot ; , tell interested purchase another time share , never bother we again . the maid service come clean room , expect wonderful job . find jetted tub leak neighbor we ; maintenance came fix immediately . we rent car , transportation casino , restaurant shop not issue . comfortable place stay . 
 Dec 1 2004 	 could well 	 like another couple say , get stick across hall sale office . Las Vegas , night schedule , get around 4AM . noise unbelievable across hall 9AM . can not believe put sale office near guest room ! love two bedroom unit , although bed quite hard morning mattress fall half end bed know reason . rest place great , although washer dryer small almost useless . good location , lot service nearby , would stay room . really need address issue sale office location . wake early loud , cheer people idea good time . 
 Nov 11 2004 	 beyond expectation 	 fabulous time stay Club de Soleil . staff friendly accommodate . room comfortable even six we . overwhelmed flower arrive day Mother 's 80th birthday . casually mention reason . wonderful place stay . 
 Sep 9 2004 	 place great ! 	 return Vegas stay Club de Soleil . love place complaint . stay friend , co 2 bedroom suite . really nice , bed king size comfortable . bathroom nice jacuzzi tub . nice size fully equip kitchen , even little kitchen small room . would stay . close strip . 
 Sep 2 2004 	 Disappointing 	 return resort disappointed place . room directly across hall salesperson meet daily extremely loud inconsiderate ( whistle , yell , slam door , walk hall yell , block hallway , stand outside door talk cell phone ) . complain front desk times tell nothing could . one young gentleman talk tell receive many complaint regard salesperson nothing could . not seem concerned unhappy . cut stay short due inconsiderate treatment rudeness encounter sale staff resort . interested make potential sale keep current customer happy ! livingroom area kitchen quite small furniture uncomfortable , however master bathroom large bed comfortable resort . air conditioner extremely loud rattle first kick . pool nice location great , couple mile strip . unless management something different sale meeting learn treat exist customer well , not think would recommend resort anyone know . 
 Aug 30 2004 	 Top Notch 	 Club De Soleil great place stay wish avoid rate Hotel madness LV Strip . club ' staff friendly attentive need . common area appeal ground well keep . rental car get around town liberty judge LV Strip shuttle service offer . say well - maintain bus always move . 
 Jun 21 2004 	 Split decision 
 Jun 8 2004 	 Loved ! 
 May 7 2004 	 second home 
 Feb 26 2004 	 Loved ! 
 Nov 11 2003 	 Fun whole Fam ! 
 Oct 13 2003 	 good second time around 
 Oct 7 2003 	 great place stay especially do not like stay strip 
 Aug 24 2003 	 never 
 Jul 20 2003 	 Loved ! 
 May 21 2003 	 Excellent ! ! ! ! ! 
 Oct 1 2009 	 Excellent 
 Sep 30 2009 	 Für Familien mt Kindern sehr geignet ! ! 
