great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Jul 8 2009 	 REALLY enjoyed 	 travel New York husband teenage daughter , carefully research Trip Advisor listing Manhattan , careful consideration , settle New York Palace . definitely worth homework . satisfied choice . value money amazing give access 39th floor lounge include breakfast , mid day snack , evening appetizer evening dessert . locate within 2 block number 6 subway line ten minute walk Central Park . room large beautiful service , exception concierge , excellent . in term concierge , number issue . first convince we sign two day Circle Tour , oppose one day . anyone do circle tour tell great , get tire due slow pace traffic , heat fume relentless babble tour guide . ' sure people would find one day sufficient . leave distinct impression concierge staff motivate commission rather good interest patron . similarly , keep try push " Gilt " restaurant hotel instead recommend restaurant . another time call desk , put hold long time hung rediale , concierge inform rather impatiently another guest would call soon do . fortunately , rest staff make issue overall experience hotel one leave we eager return future . would highly recommend hotel anyone stay New York . 
 Jul 7 2009 	 good hotel NYC 	 Loved - stay 7 night 31st floor exec lounge privilege . check effficient - bag take car store whilst check take less 5 minute ! room great view St Patricks - great size brilliant bed large tv lot channel - USA , TNT , BBC America , sport channel , weather channel good choice . the Maitre ' exec lounge originally UK & amp ; call Gavin , excellent well . breakfast consist fruit , cereal hot american breakfast plus coffee , tea , water , sodas excellent . have drink Gilt bar one barman look like tall George Clooney - girlfriend love ! cocktail excellent Istana bar rather good piano player ! great location walk times square central park regular basis also subway stop 5 min walk awayall staff excellent- concierge , reception , bar , housekeeping . hugely recommend ! 
 Jul 6 2009 	 Beautiful CHarming Luxary 	 stay friend Palace June 2009 , absolutely blow away . entrance grand , treat perfectly . check delux King room 17th floor , mindblowing view Cathedral . room huge , spotlessly clean , extremely comfortable . Dinner Gilt must - food amazing , bar full trendy New Yorkers . , nothing relax champagne cocktail hard day shopping , underneath fairy light Palace - New York Gold - know love ! ! ! xoxo 
 Jul 5 2009 	 Excellent every way 	 's easy add already say Palace , be look hotel New York good location , service , room food must one . pricey , regret single penny spend . luckily upgrade Towers Suite 51st floor fantastic view Manhattan skyline , also use Istana restaurant ( less formal Gilt , excellent food service - staff find special trip cake make especially ! ) gild bar courtyard . bar beautiful courtyard , welcome relax place unwind hot day . room service punctual well present . also use well equip fitness centre , helpful staff . apart style location , give hotel edge relaxed , impeccable , service offer . make feel welcome minute enter , nothing much trouble . guest mix smart business people tourist US beyond , fit whatever style ! six night heaven , sorry leave . 
 Jul 4 2009 	 great location awesome hotel 	 husband stay hotel honeymoon . able check early problem ( around 11 am , instead 3 pm ) get excellent corner room . room great view ! construction street , NYC . seem always construction . turn fan air do not hear anymore . conceirge excellent . want eat restaurant offer prixe fix lunch , set we recomendation reservation within minute . housekeeping room spotless entire week , turndown give we awesome chocolate new slipper everyday . room also amazing pillow comfortable bed ' ve ever sleep hotel ! ! location great close enough time square touristy part NYC far enough away enjoy scenery less crowd street . within block everything want see ( Broadway , awesome restaurant , etc ) . also right across street beautiful church . we time eat one restaurant inside hotel . food excellent would definetly try two next time go . definitely hotel stay next time ' m NYC ! ( be not anything do not like hotel ! ) 
 Jul 3 2009 	 Huge room ; outrageously Priced Business Services 	 stay one night July 1 group travel make reservation . not see review anyone else , maybe old news . 30th floor room huge , great . hotel grand elegant lobby room . definitely little worn ( upholstery chair room thread bare place tear ) ; furniture little beat ; etc . not care though , still feel like really nice place . furniture gigantic , hardwood , stately look . desk room also extra large . big flat screen tv mount wall , nice ( except hard see desk could not angle direction ) . take picture ( attach ) , not know room size justice . turn service particularly interesting . besides put towel floor bed lay slipper ( see time ) , maid put towel bathroom counter , take toobrush toothpaste toiletry bag arrange towel . think nice , strange touch . not eat hotel , can not comment food . pay $ 35 extra face West ( idea view would direction ) beautiful view City St. Patricks Cathedral . not know worth $ 35 , nice view . big criticism business center fifth floor . forgot laptop need internet access . cost absurd : $ 5 & quot ; service fee & quot ; get computer $ 1 minute use . think say first 5 minute free ( except $ 5 & quot ; service fee & quot ; ) . ask upgrade executive lounge service , include room ( food ) three computer offer free internet access . upgrade $ 75 want computer access , food . standpoint , might well offer computer service fifth floor cost absurd . 
 Jul 2 2009 	 Service comfort 5 star 	 stay Palace 3 night June . Manhatten , tell stay Midtown easy travel gallery , park , easy access downtown . the Palace great location , one block shopping Rockefeller Center , short walk park . the hotel excellent . understate comfortable . aside 's opulent looking entrance , lobby small welcoming . staff service exceptional . often concierge desk ask recommendation dinner activity . concierge David Diego attentive helpful , answer question give we great recommendation . the room large expect nicely appoint . bed comfortable linen immaculate . room always make go , even short time . would always return fully make room , never disturb we . great gym faciliatie . 's service staff make hotel . I would highly recommend hotel family business traveller . 
 Jul 1 2009 	 Good Hotel would not stay 	 hotel excellent location Midtown Manhattan get taxi easily anywhere else . however disagree certain extent review site . upon enter hotel think look slightly date although mean ' old world ' decor not look original slightly chintzy . say corridor particularly depressing . room good size clean bed comfortable , also great view . though room could update bathroom well standard . separate shower bathroom small feel 3 * 5 * .the staff helpful awful place stay stay four Seasons hotel number occasion fall way short expectation . 
 Jun 30 2009 	 nice expensive 	 hotel opulent first impression lot gold leaf chandelier , row receptionsit staff , full business people city clothe , make we feel rather scruffy fly beach stay Keys .. room quite large ny standard , furnish classic style furniture plus flat screen television . bathroom OK bath separate shower not really come expectation bear mind grade hotel . internet expensive , $ 16 per day unless Tower free , make we feel like 2nd class guest . reception try sell we upgrade arrive room view park not take offer ! cleanliness good room maid diligent . not take car ny necessary stay belive hotel car park not know cost . also eat ny full exciting place eat drink can not comment quality food . 
 Jun 28 2009 	 nothing less perfect ! 	 not get around write review fabulous stay Palace last August , . ( husband , brother , sister - in - law ) spend 3 day / 2 night Palace celebrate husband 's birthday attend US Open . moment arrive hotel , perfect experience begin . greet warmly , register little time , put room stunning view St. Patrick 's Cathedral . first moment , greet daily name whenever pass lobby . room lovely , well appoint , comfortable ; breakfast ( take room guest w/ additional privilege ) abundant serve buffet style ; quality staff ( warm , professional , friendly , dedicated ) wonderful . not eat lunch dinner hotel b / c lunch eat open dinner restaurant , can not comment food , except breakfast . next time be City , will definitely return Palace . 
 Jun 28 2009 	 wounderful hotel 	 stay 8 night april . find service staff good . 2 slight complaint . find gilt bar service slow take 1/2 hour bring drink ask 4 time bill . do not expect class hotel.also book room 9month rate go would allow we cancel rebook hotel.were tell would go line cancel would change room ! ! one tip get eat le bernadine great service one good sea food resturant eat . 
 Jun 24 2009 	 wonderful ! 	 New York Palace perfect New York City hotel . location superb , staff excellent , room public area hotel lovely . 
 Jun 22 2009 	 Fantastic ! ! ! not want leave ! ! ! 	 upon arrival inform update tower room treat daughter 's 8th birthday ! arrive well check - in time room ready ! room beautiful ..... 53rd floor spectacular view city St. Patrick 's Cathedral . not type hotel accustom ask many question get car valet parking , get bag car checking , etc . . staff answer question clearly always friendly , respectul manner . check check flawless exception long wait car check . worker park car upon arrival bring car we ready leave employee encounter less friendly . woman handle check immediately make we feel welcome comfortable . wonderful ! ! ! anyway , feel like royalty entire stay . staff make we feel welcome help we find way around city . location excellent . walk American Girl Place , Central Park , Rockefeller Center Broadway . hotel provide free shuttle theater district back hotel show . bother ..... easy pleasant walk . courtyard spectacular lobby beautiful ! ! ! everything spotless . mattress exceptional . eat hotel restaurant look beautiful . starbuck across street use morning coffee bagel . can not say enough hotel . ruin us hotel . would definitely stay ! ! ! ! daughter look forward American Girl Place visit cut visit short could not wait return hotel ! ! ! hotel American Girl Place package . daughter receive bed / futon doll complete pillow blanket . thrilled . hotel accurately name ! daughter feel like princess palace . absolutely love New York City ..... think big part due treatment receive New York Palace . 
 Jun 21 2009 	 worth every penny 	 Based Trip Advisor review , choose stay New York Palace rather well know alternative Waldorf Astoria . ' use spend much money hotel , special occasion turn worth every penny ! location spot - stone ' throw Rockefeller Plaza find perfect place eat breakfast chill start day . view corner room simply breathtake ( check one photo take St Patrick ' Cathedral foreground , look along 50th Street Rockefeller leave sun set Hudson river – quite spectacular ) . another outstanding thing mention Palace Hotel quality bed . usually look forward go home bed end holiday , occasion wish could take bed home we ! 
 Jun 16 2009 	 wonderful / AMAZING Birthday weekend 	 wow , wow , wow ! word descibe hotel . stay husband 's birthday 2 night incredible time . hotel beautiful elegant . feel like treat like king queen weekend . view St Patricks Cathedral room incredible . within walking distance great restaurant shop . hotel staff professional friendly . travel quite bit somewhat picky stay - it first time hotel , guarantee everyone last time . thank NY Palace make husband 's birthday weekend special time never forget . see soon . maybe birthday = ) 
 Jun 15 2009 	 Perfect ! 	 stay one night June 6 . love , love ... everything perfect . friendly staff , especially bellman Brian . knowlegable helpful . hotel beautiful . really enjoy sit courtyard . lobby elegent too . the location convenient . easy walk restaurant shop . like everything New York Palace . definately come back . 
 Jun 15 2009 	 Love hotel 	 favourite hotel ever delight able return NY fairly regularly stay . room fantastic , staff attentive helpful , bed amazing ( never want get ) location perfect . downside leave ! ! 
 Jun 15 2009 	 beautiful weekend getaway . 	 husband book hotel base rating Trip Advisor . disappointed . starter , book long weekend deal , book 2 night get 3rd free , include room service breakfast ( , pay , would $ 90 day two us ) . location perfect walking 5th Avenue , 30 Rock , Central Park , Times Square . room non - tower part hotel , gather , old , less posh part hotel . not matter room gorgeous . fluffy bed nice linen . spacious . view north , low floor look onto another building wall could see Waldorf half view . breakfast 5 star serve cart . staff wonderful include maid , doorman , concierge . new New York Hotel . 
 Jun 15 2009 	 Brilliant ! 	 stay one - night weekend escape . elegant building . wonderful location . friendly stuff . big , clean , luxury room nice bed bathroom . St. Patrick 's cathedral view . definitely stay . 
 Jun 9 2009 	 really enjoy New York Palace 	 wife stay New York Palace two night really enjoy it . I look five star hotel would not cost fortune think 375 $ pay quite reasonable compare five star hotel midtown . the room not big right . we nice view bed cover comfortable . the downside breakfast order room expensive , guess 's hotel . 
 Jun 8 2009 	 absolutely single word day ! = ) 	 far BEST hotel ben .. lot famous peoplego .. everything say * * * * * * * ! ! ! 
 Jun 1 2009 	 Perfect . 	 NY Palace Hotel perfect . prefer different location west side low manhattan , HOTEL fantastic . I book least expensive room thru online discounter , Quikbook , , daughter 2 night . find fault aspect stay . staff : super . room : outstanding ( even tho inside room face brick wall ) . noise : none . ok , one problem . trouble light control room , get much well . 
 May 30 2009 	 Royal Treatment 	 Palace Hotel true name . interior grand , ' staff treat like royalty even ' pair sneaker jean . hotel definitely deserve high ranking Trip Advisor . here ' take : STAFF -- over - the - top genuinely friendly helpful . moment get taxi , bell hop assist luggage important take care Mom . Ray practically lift cab . front desk good system place . one person key information computer , someone else chat we make we feel even welcome . Room Service personnel well ' experience . one woman particular work late shift take phone request exceptionally pleasant . housekeep nice job keep room tidy quiet . ROOMS -- tastefully decorate , comfortable bed large size New York standard . Deluxe room locate 9th 29th floor , Executive Rooms next 10 floor Tower Rooms locate 41st 54th floor . VIEW -- book Deluxe Room guarantee view St. Patrick ' Cathedral , staff locate room we . 20 story view spectacular . way hotel situate , could get view Empire State Chrysler Buildings , may possible book Tower Room Suite ( check staff ) . LOCATION -- ' beat . across street St. Patrick 's Cathedral , less two block Rockefeller Center Radio City Music Hall , short walk Central Park Times Square one block 5th Avenue . ' also close Grand Central Station , Chrysler Building Bryant Park . rate -- hotel ' website weekend rate , far well deal anyone else offer time . definitely find less expensive hotel , ' experience anywhere else price . ROOM SERVICE -- try avoid due cost , many evening late convenient . year , great hotel food seem find european country . even late night menu food outstanding Palace . basic sound menu item delicious . perfect roast turkey club bacon tomato , Palace Salad beet , orange Vermont goat cheese . even bring bottle champagne fruit platter since Mom ' birthday . another night sirloin burger sweet potato fry chicken panini . morning flight , ' convenient order breakfast hotel . hang breakfast order tag outside room 2 am deliver food designate time select , even ' 7am . restaurant INSIDE HOTEL -- eat " Gilt " although ' hear ' fantastic . eat " Istana " definitely weak link hotel . food average staff definitely league rest staff hotel . ' expect get warm greeting get check in . GIFT SHOP -- disappointing . small , hot odd assortment thing . expensive designer item cost hundred dollar next cheap plastic . hope find Palace Hotel souvenir item , since logo hotel classy nice New York souvenir . Gift Shop could use improvement . misc -- ice machine floor . call Room Service , bring ice silver platter -- -literally . " Disturb " " Room Service " hang tag , instead square button inside door push , light message outside . light use square button feature . the staff outstanding job ensure stay New York special one . ' love Palace Hotel ! treat . 
 May 30 2009 	 wow wow wow 	 family return 4 night stay beautiful New York Palace . previous review right . hotel world well worthy 5 star status . stay Deluxe double 29th floor view St Patricks outstanding . room beautifully decorate spotlessy clean . bed well , ever sleep , pure luxury . celebrate 20th wedding Anniversary delight return room chocolate cover strawberry sparkle water , lovely message hotel . nothing much trouble , staff concierge brilliant . amazing trip , downside , , spoilt say anywhere else . 
 May 29 2009 	 good hotel ever stay ever ! 	 originally suppose one low floor ( 0 29 ) boyfriend ask high room possible . get check get shock life upgrade 51st floor ! view amazing throughout stay not single person hotel not polite every opportunity , something be use ! location fantastic , line 4,5,6 grand central take way downtown . would totally recommend hotel deffinately go back ! 
 may 24 2009 	 spoil Palace 	 stay wonderful Corner , King , Executive Level . million dollar view Hudson St. Patricks Cathedral . food service club level wonderful ( especially breakfast ) nice pop get water something else drink anytime day . close lot shop ( even H & amp ; ) Rockefeller Center . one morning go see tape Today Show . also , far , quick cab ride ( walk prefer ) Times Square Central Park . love get back hotel walk thru courtyard lobby area . feel like come home beautiful mansion . we see play & quot ; Heights & quot ; highly recommend delightful musical . there guide tour World Trade Center area give people personal connection 9/11 also recommend that . one evening take ' night tour ' double - decker bus ( breeze will get top prepared degree cool ground level ) meet Times Square . particular tour not make stop show lot NYC , along interesting history , 2 - hour tour . husband not really want even would recommend ! also museum . prepare walk unprepared much walk take lot lot cab . after NYC take Acela train WashingtonDC . love train ! not know Penn Station Madison Square Garden not know layout go . miss bellman help luggage ! Acela wait room nice call train go large hall look big board find terminal number head escalator . wish business class high - speed train Texas ! spoil can not imagine stay place next time visit NYC . 
 May 21 2009 	 fantastic word 	 go New York Palace celebrate 50th birthday tell book . upgrade room corner room 33rd Floor overlook Cathedral Rockafella center also give loverly chocolate bithday cake . well worth tell go celebrate something special . be executive room access executive lounge wonderful . breakfast everything could possibly want , lunch good selection 5 o'clock canape wine , free . could get away without eat wish . say eat Gilt restaurant taster menu wine . say good meal ever taste . service superb dining room beautiful . cheap especially add tip well worth money . the consierge service brilliant staff come across friendly helpful . would stay next time New York ? definitely , doubt , trying find reason go back . 
 may 21 2009 	 great time great city great hotel 	 wife book break New York recommendation son . choose New York Palace Trip Advisor review . pleased selection . book standard room hotel ' boost ' 32nd floor great view St. Patrick 's Cathedral Rockefeller centre . room facilities fine comfortable bed . hotel facility service one would expect 5 star establishment - quite London Dorchester ( group ) still good . staff friendly helpful - notably concierge doorman . try standard restaurant ( Istana ) Michelin star Gilt . good ( expensive course ) . special mention go Georgio Paraponiaris run Istana - charm accomodate . 
 May 17 2009 	 would love stay 	 want hotel great location ( across street St. Patrick 's ) lot history . New York Palace provide . hotel fantastic ambiance sit lobby people watch fun . service exceptional . turn service one nice hotel . include chocolate , slipper music . bed extremely comfortable , room spacious . bathroom great , bath amenity . one beautiful hotel New York . 
 May 16 2009 	 great hotel 	 NY business stay hotel 5 night . the location superb - walk distance main office building lot shop nice place eat . the room really nice , spacious comfortable . the concierge desk good effiicient . manage help we question get we last minute reservation fancy place typically require book week advance . overall , hotel great base business well tourist traveller . 
 May 13 2009 	 Fantastic ! never stay anywhere else ny 	 reading review know go nice Hotel comfortable stay . however one enjoyable Hotel stay ever . staff make feel home second step cab , little touch room , view , location general atmosphere Palace . nothing much trouble staff honestly do not one complaint ! 4 girl weekend break Europe shop , eat , drink shop could not ask ! hope go back year year ... 
 May 13 2009 	 ( l ) NY 	 someone would say , go back ? would even leave without pack .. amazing experience ! first time NY wish have never leave .. go NY palace january 5 night boyfriend.upon check encounter little problem do not credit card we , staff extremely helpful not mind continue check in.we get amazing hotel room , amazing view snow st . patricks cathedral . like painting ... oh god ! room incredible ... bed even well ... talk pillow ! want sneak suitcase ... staff extremely helpfull .. make reservation restaurant , sightseeing without extra charging . '' love ! believe ! 
 May 12 2009 	 nice .. i d recommend 	 hotel nice enough , actually lobby hotel nice .. think .the service borderline weird time .. , would engage conversation , soon you d tip , literrally would clam leave ... happen twice recall , guess figure good tip.but i d say service excellent ... far new york hotel go , think one fine , maybe fine .. , room average unless upgrade.i expect guess .. , view good enough .. oh yes , , busine center close 6 pm try use sunday . , accord concierge recession .... do not make much sense we .. yes , n ice place worth .. will not go wrong ....... 
 may 12 2009 	 bad service start ... oh rectify well ! 	 take year add review , think worth give experience New York Palace . we book tower room . despite book non - smoking double room show first twin room smoking room . express dissatisfaction guy front desk , basically become quite rude abrasive ( not think unreasonable wanting have book price ! ) tell come back hour room would book would available . whilst , call left voicemail manager tower express dissatisfaction service receive . wow , call worth make . return , fuss fanfare , quietly tell have upgrade suite . suite ; be talk huge one bedroomed suite sitting room , dining area 8 , kitchen two bathroom ! panoramic view NYC.Now hotel go length resolve customer complaint get full thumb book show seriously take customer service . overall , impressed hotel ; staff meet friendly , tower concierge great organising booking like we , location fantastic meaning walk nearly everywhere rather worry get cab . negative cost food drink hotel , nothing atypical hotel calibre go get coffee muffin Starbucks breakfast . 
 may 11 2009 	 Felt like princess 	 New York Palace incredible . yes , cheap , definitely worth every dollar pay it . the staff attentive go way spoil . upon arrival , upgrade room floor 34th , amazing view back St Patrick . the room spacious , bright ( even though winter ) well decorate , comfortable bed , nice tv sit space window . big bathroom , kind nice toiletry tub ( hard find NYC ) .this hotel really beyond expectation , would totally recommend afford . 
 May 6 2009 	 well ever NY hotel experience 	 would hesitation recommend Palace anyone appreciate high quality prepared pay . staff Palace superb - highly professional , yet friendly . make we feel welcome nothing much trouble . every aspect hotel first class - reception , concierge , restaurant guest room . even though Madison Avenue overlook St. Patricks Churchtraffic noise minimal bed supremely comfortable sleep like top ! stay numerous good quality NY hotel easily good . 
 may 5 2009 	 Best Location Fantastic Staff ! ! ! 	 come back visit New York Palace , stay 4 day hotel fantastic ! ! ! ! room spacious compare hotel New York , plasmas tv excellent view St Patricks Cathedral . bathroom good size load little extra ... Molton Brown toiletry bathrobe slipper . staff lovely especially bellboy entrance could not enough always make polite conversation us bar staff friendly two girl young man particular whho would chat day give advice place restaurant etc need . negative comment hotel small issue sometimes enter hotel feel little uneasy should not talk everyone watch , staff type people stay reason hotel come accross little stuffy ! ! apart minor problem great would return .... oh one thing use phone room 3 short call last 5 - 10 min $ 146 ! ! ! 
 May 3 2009 	 wonderful NY hotel 	 stay hotel city start experiment different hotel different location . hotel nothing short fabulous . hotel beautiful , room lovely , bed comfortable , service excellent , location perfect . may continue experiment location different experience believe New York Palace spoil life . 
 Apr 29 2009 	 great hotel ... return 	 get back quick get away night New York . find Palace perfect place stay . never stay read Trip Adviser review compel try . usually Kimpton , Ritz Four Season traveler . one quick night knowing would room much try find good bang buck find it . we book Amex get upgrade plus lunch breakfast . upgrade we high corner suite fantastic ... spacious 5 star way ! tower section private check concierge service never deal crowd ... nice touch . the hotel spotless amenity one would care . hotel actually smell like clean casino ... fresh C02 hallway . we eat lunch downstairs although say free 75.00 credit pay half bill end 140.00 ... eat simple lunch ( note free lunch dinner cost ) . food service great ever . turn service superb . bed outstanding . robe towel 5 star . Bellman door service ... good ... open door come luggage ... barely hello .. 5 star quality . the gym nice great view . skip spa ... one bad ever . room dirty locker room . Shower clog dirty . therapist clueless treatment give wrong time treatment . money charge stellar service treatment ... absolutely horrible ! ! actually question whether therapist training ! go oasis Day Spa 33rd & amp ; Park quality treatment great price . room service good . right time decent food . over loved hotel . can not beat location price fantastic room . return . thank Trip Advisers yet another accurate rating . 
 Apr 29 2009 	 ABSOLUTE QUALITY 	 first trip NYC half idea expect drive bridge Manhattan jaw drop skyline truly amazing ! arrival doorman efficient reception staff check . suite 47th floor look St Patrick 's view fabulous , suite clean tidy well maintain throughout stay , room service obliging allow we order food room service menu ( lobster 11.00pm bad ! ) stay overall excellent staff kind , courteous helpful would recommend hotel anyone travel business pleasure well do staff 
 Apr 27 2009 	 Awesome stay ! 	 first trip NYC want stay somewhere nice . Imagine open door room top floor find corner room view Radio City Music Hall Cathedral . two luxurious bathroom big screen television throughout . would think good value Las Vegas , New York tremendous value . restaurant downstairs ( Gilt ) fabulous . location across Rockefeller Center excellent . complaint surly doorman , flat refuse $ 3 tip hail cab tell ( truthfully ) . say would wait could hit find girlfriend ( cash ) end give $ 5 . ridiculous minute work . also not like pay $ 5 printout business center . come . however , hotel wonderful definitely go back . 
 Apr 24 2009 	 incredible 25th Anniversary Palace 	 amazing , amazing property , especially consider large hotel . like many other post , wife search far wide come dead " perfect " hotel 25th anniversary ( ' still smart bit disastrous 10th anniversary defunct B & amp ; B Orange , Virginia ) . even investigate " storied " NY expensive hotel , finally choose Palace . ' glad . New York Palace live already elite Trip Advisor reputation . initially little unsure . doorman , Louis , wonderful hope – warm , funny , welcome hotel . check - in , desk person seem little deferential . completely professional , yet somewhat distant . bellman way . fine , Louis set standard neither person match . wait elevator bustle lobby starting feel maybe obvious ' high roller place , special weekend would " lost " massive hotel . plus stay executive floor , nobody make mention explanation Executive Lounge work . settle room minute – room stunning Executive Corner Suite overlook St. Patrick ' Cathedral - warily make way lounge coffee ( 3 pm , food service ) .At point enter lounge fog doubt lift . Gavin lounge manager find name list , give we warm welcome , apologize mix , explain lounge work . go apologize two time finish coffee decadent hotel - bake cookie ( overlook St. Patrick ' 39 floor ) .recharge , go check neighborhood – neighborhood Fifth Avenue block west . return hotel , soon put coat knock door . deliver five chocolate cover strawberry ( see photo ) , large complimentary bottle Fiji water ( $ 14 value mini bar ) , thoughtful note hotel wish we happy anniversary . needless say , great frame mind point . and get well . head dinner - recommendation reservation Park Avenue Winter courtesy concierge Adhara - go back Executive Lounge champagne hor ’ oeuvre . wait new bottle bubbly uncorked , kindly waitperson / bartender remind mannerism speech Carl , headwaiter Rick ' Cafe Casablanca . " dis cork – eet rebel , " say smile laugh . next experienced kind thing make great hotel great . restaurant 10 block away , still need cab . unfortunately , little scarce 6:15 pm Friday night , even Palace doorman . thing get tight reservation time , Louis save day put we one hotel ' car trip . ( driver tell we doorman say go . ) excellent memorable dinner , get back hotel room process turn . third time day go visit Gavin , finish night port strawberry cream ( small portion – stuff already ) . late night visit Top Rock , finally evening . as early review mention expense house coffee / tea / water food , Executive Level room really seem like way go hotel . include room access - elevator ride - tea , coffee , water , soda , beer , snack 7 10 pm , course full breakfast , pretty serious lunch , evening cocktail hor ’ oeuvre ( definitely witness people make dinner evening goody ) . instance , first thing morning get take - out coffee cup lounge bring back room . ' desperate rush get breakfast simply get coffee ( Starbucks next hotel 51st , also several coffee shop ) . breakfast impressive , good . Eggs , bacon , sausage , french toast , steel cut oatmeal , cold cereal , fresh fruit , yogurt , amazing array fresh baked bread , bagel , pastry ( definitely try crumb cake ! ) . awesome – coffee always awesome matter time day . somehow misplace one room key card , way day stop desk get new one - case leave Rockefeller Center Observation deck . desk person day , without question reset card still possession issue new one . remember we address we name - , respectful quiet manner ( style ) . wife fiddle map , glove , scarve middle lobby , try figure door exit get subway station , desk person come behind counter ask way could help we day . offer direction subway , concierge desk . one " little " thing mean lot . we dinner hotel Gilt evening , completely other - wordly over - the - top gastronomic experience . five - course chef ' taste menu wine course . like theater food , wife center stage . service food incredible . , anniversary acknowledge special dessert . expensive dinner ' ever eat , worth 25th . ( glad , probably wait least another five year extravagant night ) . ' help Gavin close lounge evening . six different wine enough one night . Sunday morning consist coffee room , run Central Park , breakfast lounge , find misplaced room key desk , say big thank Adhara concierge . Stephen take care bag way , warm professional . hotel hold we late afternoon , luck , Stephen retrieve . cab hard come , different doorman ( 51st entrance ) run way Park Avenue retrieve cab we . sorry go way long . want get little thing really make Palace world - class hotel . great expectation - exceed . thank Louis , Bitang , Gavin , Adhara , Stephen . guy Palace turn anniversary marvelous dream . always remember number twenty - five - think ' finally put crappy number ten behind we ! ( oh , yes , bed super comfy , room spotless ! ) 
 Apr 23 2009 	 great hotel excellent service 	 great hotel . fantastic location midtown without right middle chaos Broadway surround street . concierge excellent . everyone staff exceptionally friendly helpful . luxury hotel , staff pretentious . hotel comfortable stay lovely place call home NYC . 
 Apr 23 2009 	 beautiful love 	 NYC fiance 's 30th birthday book hotel treat . pricey side , worth . service fab , room spacious comfortable bed ever sleep . receptionist upgrade we room view St. Patrick 's Cathedral partner 's birthday send we birthday cake . conceirge helpful . bed turn every night , chocolate pillow , lovely Molton Brown product bathroom . walk distance main site across road Saks . glad pick hotel would definately stay . 
 Apr 23 2009 	 Fantastic ! 	 stay NY Palace Hotel March 2009 , definitely stay future ! room amazingly clean , spacious view St. Pat 's Cathedral ( look spire , great vantage point ! ) amazing . could also see Rockefeller Center Corner King room . bed super plush , complaint ( could even call ) upon return midnight room , turndown service ( delicious chocolate ! ) remove pillow two , like sleep two pillow . could call one bring tired . biggie , , would like spare one leave closet something . bathroom beautiful , marble , great bath product . fridge load sort goody , anything might want need . hotel staff good ' ve ever encounter NYC . tape movie Salt , Angelina Jolie , street behind hotel , arrive , make entry hotel side street w/ car difficult since cordone , one call hotel staff move pylon let we , good get we settle room . Henry especially helpful answer question give we tip place grab lunch . also , location hotel great . feel safe . 
 Apr 17 2009 	 Fav Hotel Manhattan 	 stay NY Palace 4 night 24 - 28 March City getting marry . 5th visit NYC first Palace & amp ; would reluctant stay anywhere else . true get pay & amp ; hotel class . beautiful lobby & amp ; courtyard & amp ; staff & amp ; service excellent . room spacious NY standard & amp ; keep immaculate . wonderful view across St Patricks Cathedral . visit Gilt Bar hotel lovely . location great close TOTR & amp ; short walk 5th Avenue shop , Central Park & amp ; Times Square . would highly recommend hotel anyone & amp ; look forward visit future . 
 Apr 17 2009 	 Superb location ! 	 fantastic view superbly locate manhattan . sak almost across road shop park , 5th madison within walking distance ... ideally locate avid shopper ! fantastic concierge service helpful staff . insist room view ( ok ... going pretty much view tall building manhattan , good skyline view quite appreciable ) .Rooms well appoint comfortable . bath accessory good . convenient town - car limo service available JFK , La Guardia Newark Airports ( usd 85 ) . 
 Apr 16 2009 	 Best NY Hotel Experience Far 	 first time actually LOVED hotel NY ! location right 5th avenue walking distance Central Park could beat . room large ( ny standard ) clean elegant , lobby gorgeous beautiful chandelier view St. Patrick 's cathedral full length window int room breathtake winter snow . customer service hotel also great . be pretty Gossip Girl ! 
 Apr 16 2009 	 wondeful service ! 	 fly back Europe , stay hotel . beyond tired . front desk nice , bellman doll . room comfy- bed sink right location could not anymore perfect ! would stay . 
 Apr 14 2009 	 Best Hotel ever ! ! ! 	 far good hotel ever stay , room large spacious lucky get one high floor either get fantastic view St Patricks Cathedral east river . staff friendly ever experience hotel , concierge get good show ticket available . would reccommend hotel anyone everyone look fantastic hotel fabulous location superb staff . I would go back minute ! thank staff New York Palace 
 Apr 3 2009 	 comfortable good value 	 go New York teenage daughter meet friend , shop cultural visit . Palace centrally locate could walk place . staff friendly attentive nothing much trouble . room 32nd floor two double bed . room spacious bathroom comfortable . originally book direct find much well rate Hotels.com cancel first booking . booking come Executive Lounge access provide complementary breakfast , lunch , hor d'oeuvres , desert , wine , coffee , cookie - well pretty much everything throughout day together internet access . huge bonus pretty much amount full board good rate . would definitely recommend hotel make sure get Executive Lounge access especially travel youngster not want spend much time restaurant . 
