would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Jun 9 2009 	 Fantastic ! 	 location first amazing ! literally , 10 step middle times square - close , could not hear ! stay 19th floor , view window fine ... could see edge times square - I m sure high you d see ... since hardly spend time do not matter ! service great , room fab , bed comfy .... mainly location .... right heart Times Square , make easy get around . bus tour people right , be short walk everything . recommendation breakfast place call junior .... good coffee , pancake , fruitcup cheescake NY ! ! ! round back MTV studio ! roxys ok ... overpriced , people junior lot friendly ! 
 Jun 8 2009 	 Excellent hotel - highly recommend 	 stay one night May 28 . stay hotel NYC would definitely return Millenium Broadway . sooo handy Macys , Times Square , subway etc . clean room large expect . bit dirt / dust sight . check fast ( New York ! ) friendly expect . find desk staff helpful time ( especially helpful guy door advise could difficult get taxi Grand Central Fri afternoon taxi would look airport run . also advise could easily walk - nice ? ? ) also inquire late check guy desk tell could get late check 1 pm stress 1 minute time , would charge fee . luckily , do not move drink fridge read warn note realise could easily miss . provide - hairdryer , iron board iron , good towel , spare pillow ( godsend half ) , pleasant stay . ( nice , reasonable mexican restaurant across road well good measure - Viva Pancho ! ) 
 May 28 2009 	 great location great service great view 	 people way picky . be city , building block view time . we problem get go , key not work . call front desk someone come right away let we , tell we would get new key could pick next time leave hotel . get room nice , clean well . eventually guy say would change lock door , would put we another room book completely , offer we free breakfast ( around $ 50 worth food ) make ! guy suppose change lock day ( memorial day ) not .. call desk get let we room . guy embarrassed situation tell we would see room open . get move deluxe room ( space ) awesome ! consistently make shortcoming good service . checkout find ton mini bar charge .. move stuff set tv stand could put stuff ( not read little sign .. .. ) , pay whatever move fridge .. : ( guy wave fee immediately not screw we . nice . overall experience great . not catch bus 4:00pm monday want spend time NYC , not want lug bag around . able get hotel hold bag we see city check , nice .. sooo nicegreat hotel , great service . ever make mistake , make . thumb . 
 May 28 2009 	 perfect perfect perfect - right price ... ! 	 book hotel discount rate hotels.com , not expect much , ( rest friend ) blow away . location PERFECT , literally right Times Square , yet noisy . 36th floor view amazing , partner Chrysler Building , whilst friend look directly onto Times Square . room huge clean ; bed gigantic ! 3 night fly Vegas , return Comfort Inn Midtown 3 night ( expensive rate ) near quality hotel . ( ) return New York definatly stay . 
 may 27 2009 	 prepare pay 1 day charge - forget check - out sharp 12 noon 	 bad experience hotel : firstly , request Time square view booking , never allot onw ith good view I . secondly , request King size bed give romm queen size bed , ( , wife 1 yr old baby ) adjust small bed . thirdly , invoice us mini bar stuff , move bottle refrigirator . fight get charge waive . forthly , charge 13 $ per day internet hotel offer free cost . last least , check hotle strictly 12 noon . mistake stay hotel couple hour pay full day rent ( 199 $ ) . fight staff get late check -out charge waive neither courious helpful . really painful pay 200 $ couple hour extra spend hotle mistake . though styaed hotel 4 day coutious enough allow we stay couple hour extra . they seem professionalise mislead let guest commit mistake little late check slap one day charge . room access card will not stop work immidietely due time . purposely keep active untill another couple hour call tell pay another day 's charge . over terrible experience would not recommend one hotel . 
 May 25 2009 	 Disappointing 	 stay Hotel two night . view awful , pay less well view ! ask upgrade different room get blank faced stare across counter .... lobby nice . room smell quite odd / bad carpet gross . stain pillow cover . 
 May 25 2009 	 Adequete hotel good location 	 arrive afternoon check - in fast service welcome responsive . hotel building probably fairly old room well common area renovate / upgrade different phase . lobby long hallway fairly small area sit around 3 sofas chair . hotel restaurant rather dim / dark look . black general color lobby / restaurant area . have room 51st floor view towards Chrysler building . room door probably 80 lock / bolt system not feel secure . not sound proof either could clearly hear people walk corridor opening / closing door corridor not help sleep morning . neither maid go around morning knock door practically yelling & quot ; room service & quot ; . room clean adequate space work arrange belonging . view also nice . location hotel convenient 2 minute walk Times Square 5 minute 5th Avenue ( shopping ) . restaurant pretty touristic around Times Square always take subway / taxi area . all , would recommend want close Times Square area get discount / affordable price package stay . clean , tidy nothing ordinary . 
 May 25 2009 	 Perfect Hotel NYC 	 wonderful hotel . stay December 2008 say . room lovely , modern , clean spacious . hotel perfectly locate heart time sqaure everything need finger tip . staff helpful face ( like ) . abit concerned read traveller review guess people hard please . would stay return New York . 
 May 21 2009 	 good value money 	 rescue nice lady reservation desk manage find we nice room 6 night great rate evening arrival . hotel extremely well situated , room large comfy ( even really taste deco - style ) well maintain . corner room one high floor view City stunning . Breakfast / Restaurant / Lounge could definitely much well , not go NYC spend time restaurant hotel ... simply book accommodation go eat drink outside ! 
 May 20 2009 	 perfect location sure clean 	 stay hotel two night . great location . easy access everything , include subway , Times Square , shopping , Broadway . arrive room smell like chlorine . wonder room near pool . room decent size NYC well appoint ( nice sitting area , tv , lighting ) . 2 towel room thin worn . hotel many positive , nothing extra give feel luxury . sheet rough comforter gross stain . look like blood . correct situation immediately hotel great location much offer could small revision ( linen especially ) give extra feeling luxury . 
 may 15 2009 	 Awesome beautiful Hotel 	 never happy hotel like . great location , great price . hotel Times Square - beat ? convenient location , staff friendly make we feel homely . bell desk always help we get Cab . room spacious New York standard . toilet clean . bed little hard . pay 13 $ night internet . overall thoroughly enjoy hotel . 
 may 15 2009 	 excellent value use Priceline 	 return two day stay ( mid - week ) Millennium Broadway . bid Priceline use tip biddingfortravel.com - helpful . able check 11 a.m. problem - front desk staff helpful polite . room 41st floor ( view Chrysler Building Times Square ) clean . hear sirens Times Square area , bother . extra blanket come handy night . free internet next door 45th street side Starbucks , great deli across 44th street . extra charge , not touch minibar snack drawer . able check bag checkout hour - , staff friendly . location stupendous ( see 3 Broadway show 2 day ) . room size ( 2 bed ) comfortable . would happily stay , price right ! 
 May 12 2009 	 fantastic location great everything 	 great hotel right Times Sq handy bus / subway everything New York . could not centrally locate . 35th floor great view . 
 May 10 2009 	 great location disappoint term service 	 friend Easter week end . one friend business trip really enjoy hotel mainly location . sure location amazing , near Broadway , close subway station etc . staff good . front desk staff rather rude friendly . housekeeping rather far satisfactory consider hotel 's category ! example get room Friday afternoon tray food leftover front room next door , tray still leave Sunday ! ! ! would probably stay hotel ... 
 May 10 2009 	 nice hotel GREAT location 	 stay 2 night business trip . location beat . could see Times Square ball room 2010 . bed little hard door closet break , nice stay . GREAT tv goon internet service . 
 May 9 2009 	 Location location location 	 think scupper open hotel bedroom door smell overpowering pong toilet cleaner . awful ! ! room air bit window open ok bed comfortable ( soft bed give we back ache - mattress right ) . get right temperature room heater / blower 36th floor could window open even though overlook Times square . can not understand people complain cold , heater not need many bedclothe anyway ! beware mooch mini bar ! pick standard bag & amp ; be , show husband say & quot ; guess much want ? & quot ; realise note say anything take tray automatically get charge room . ooop ! ! way pay $ 5.00 - yes read brother sister - $ 5.00 - small bag & amp ; be however much need fix . mention desk staff way charge remove account . friendly helpful desk staff , housekeep good location make handy anything . would stay think ' ve & quot ; do & quot ; NYC . 
 may 5 2009 	 pleasant helpful staff anywhere ever stay . 	 daughter - in - law take granddaughter NYC 16th birthday , choose stay Millennium Broadway would ' Times Square Experience . ' wow ! pleasant surprise . definitely stay hotel future visit . Times Square always bite busy suit taste ; however , persuade lovely room , wonderful restaurant attentive staff return future . 
 May 2 2009 	 phenomenal hotel unbeatable location 	 spell & quot ; phenomenal & quot ; correctly ? would word would use describe hotel . corner room 50th floor 52 floor building -overlooke Times Square . hundred foot Good Morning America studio , perhaps block Times square/42nd Street massive subway station . easy get part city , include borough , location . 5 minute walk Palace Theater , West Side Story playing . get cheap seat fantastic . get location perfect . hotel - thought stunning , really around . tasteful lobby - dark . room tasteful bright . could ask . service fine . utilize room service stay , speak , assistance need readily provide staff . direction , question - question hear thousand time - answer pleasantly . service way like - unobtrusive easily available . Desk , concierge , bell - great . , apparently due off - kilter economy , get rate would never expect see . really feel get much pay . nothing negative say wonderful hotel . 
 May 1 2009 	 Outstanding 	 stay hotel February 2009 . fantastic stay , manage break handle loo fix time return hour report . find staff pleasant helpful . thoroughly enjoy stay stay 25th-31st May 17th-21st December . would not book not high standard hotel . reviews state , beat location . 
 May 1 2009 	 's service 	 take mom NY first time . wanted see long time . location hotel great . however , not stock we conditioner , lotion , shower cap , disturb sign . irritated tip housekeeping bring thing room already . be not clean place either . would rather stay street one hotel . 
 Apr 30 2009 	 spoil lack simple service . quality experience disaster ! 	 hotel not bad ... clean bit jade . book Superior Room King size bed not honour end 2 double ( romantic aspect 30th wedding anniversay tour ! ) staff somewhat passive aggressive ... know , never rude quite offhand really could not care less . ice machine .... request fridge ( 3 time 12 hour get deliver room .. guy would not speak we ! ! ) little bizarre . certainly not feel make welcome ( be first we NYC ) Sheraton ( albeit Essex House time ) certainly provide quality experience comparison . sure would give Millennium another try . location central view ( even 49th floor ) disappointing . promise free wi - fi lobby unavailable too . overall .... quality experience disaster ! 
 Apr 30 2009 	 Awesome Location ! Great Hotel ! 	 get back 3 day stay hotel love . location 50 yard Broadway Times Square . walk many place subway 2 block away attraction far . great show restaurant near . safe Times Square full police . hotel staff friendly super helpful . room great , issue except view really nothing we , sure room . good gym . book hotel priceline get amazing deal . would go back sure . 
 Apr 29 2009 	 Fantastic Location ! Lovely Hotel ! ! 	 stay hotel 4 nt 17th April . first visit New york celebrate birthday . room amazing , 47th Floor could see Times Square . room widescreen television , huge king size bed ( even though ask two bed available , glad get room ! ) , en suite bathroom tea / coffee make faciltie . the hotel two entrance one west 44th street West 45th Street , turn leave entrance walk literally minute Times Square near broadway show , must ! ! know hotel close look brochure soo close . hotel defintely rate 4 * reason . staff friendly professional . doorman help taxis provide umbrella raining ( find one day ! ) location lot restaurant near starbuck course ... ! go back New York defintely stay ... think anywhere else let good 4 * hotel good location . if question please ask ! ! 
 Apr 28 2009 	 love room decor ! 	 could not happy choice . moment arrive service receive great . problem room key call hall immediately change lock . room clean immaculately day . love headboard bed chic . slight negative hardness bed . would go back heartbeat . 
 Apr 28 2009 	 Unbeatable Location ; Good Service 	 right across street Marriott Marquis . near absolutely everything . walk everywhere . desk staff ( especially ) , concierge , restaurant staff helpful . great corner room high floor overlook Broadway . quiet . allow early check - in . issue dirty carpet - keep sock . everything else clean ; comfortable . would stay recommend other . 
 Apr 23 2009 	 absolutely perfect ! 	 hotel New York secret . ' m afraid say great fear price go booked . fiance approach desk check - in . man friendly offer we free upgrade since celebrate engagement . place high floor nice king room . little hesitant stay far think get elevator would challenge , abundance elevator move super fast . room clean . fiance travel lot feel like stay 5 - star hotel . would highly recommend ! 
 Apr 21 2009 	 Location Location Location 	 hotel excellent location . happy able check early . concierge helpful dinner recommendation helpful . 
 Apr 20 2009 	 fine vent system work ! 	 hotel centrally locate attraction , though ' think matter purchase one week train pass 20dollar . it well present ' think cut 4star . the venting system symptomatic whole floor another room different floor , later offer . offer free breakfast inconvenience . 
 Apr 19 2009 	 third visit ... everything really great ! 	 third visit Millenium Broadway past year . beat location . big room NYC . hotel completely full . couple minor request make handle extremely quickly . hotel clean . staff friendly helpful . allow check early . day leave hotel hold luggage we 6 hour check able sightseeing leave airport . everything smooth could . book Expedia $ 179 per night , less pay less - quality hotel 1999 . 
 Apr 13 2009 	 Thought hotel great short stay New York 	 read review Millennium Broadway bit unsure expect . however , say great location , room well average - regular towel change prompt housekeeping service ( one 49th floor ) bed comfortable - absolutely complaint whatsoever . would stay ( hopefully ) get chance travel New York . 
 Apr 9 2009 	 would trade view service day 	 husband , daughter recently viste New York first time . much fun decide stay extra night . think would nice transfer different hotel , try different environment . view well , 47th floor . room nice , service near experience previous hotel . use receiving & quot ; Hello & quot ; staff walk past , always question whether enjoy stay , anything else could . view previous hotel brick wall , much look , say do , would much rather trade view 47th floor service receive previous hotel . also , bed less average . pillow lumpy blanket stiff . request extra blanket pillow hope something little soft , stiff , scratchy , lumpy . wireless internet extra charge , previous stay . not even offer check . 
 Apr 8 2009 	 Fantastic Location ... Good Hotel 	 stay Bucket List weekend ... dinner @ Gordon Ramsay Nobu , Broadway show , Metropolitan Guggenheim Museums ... accomplish fantastic . hotel great location . check - in Friday night 6:30pm line 10 people waiting check , 3 - 4 bellman one desk clerk duty . situation persist 20 minute take get desk . good start . ask clerk appear lucky guy alone tonight , said & quot ; cutback & quot ; . room give upgrade & quot ; separate hotel & quot ; call Premiere & quot ; . room self nice , 18th floor view adjacent building much else . maintenance issue room , ( burn light bulb credenza , mold miss wall part , hot water shower upon arrival . make reservation @ Nobu cold shower retire early . bed comfortable glad in - room safe . next morning , voila , hot shower water . rest stay uneventful staff courteous accommodate . restaurant fine typical Hotel Breakfast , lounge drink midnight close . , suspect begin good ( great ) Hotel . 
 Apr 2 2009 	 Super Location 	 return 5 night Millenium Broadway . location , Times square one minute walk away , not find noisey . reception staff welcome helpful especially soak wet , arrive downpour . room goodsize New York , agree review hard bed . mini bar room- would prefer coffee maker . tv go wrong , someone appear within 30 minute report . breakfast hotel , expensive , many place eat , be easy finding somewhere else , ( starbuck next door ) . problem checkout charge minibar item not had.was tell happen time movement item record sale , soon sort though . 
 Mar 29 2009 	 good location 	 can not beat location . step Times Sq Broadway . allmajor sight mor - or - less within walk distance . hotel pretty average . ask get decent room corner view ( on32nd floor ) . Bahroom small bath ' ve ever see shower facility fine . not luxurious adequate sightseeing trip Big Apple . overall worth trade - off get location make sue upgrade deluxe room basic room suppose minute . 
 Mar 25 2009 	 excellent hotel .. brilliant experience 	 stay millennium broadway 17 - 23 march 09 , brilliant hotel excellent location times square .. young couple find right action also quiet side want ! room perfect nice shower , marble counter bathroom large comfortable bed face large flat screen tv . pay € 1000 stay say far nice hotel around , staff excellent also cater every need . one bad factor room service expensive , u might order one thing breakfast charge set breakfast ! girlfriend order toast charge breakfast $ 24 . say hamper anything stay see new york first time would certainly recommend millennium . 
 Mar 22 2009 	 worth get deal 	 thought have score deal century get Travelzoo price suppose superior room upper floor . great price , hotel fall short expectation . can not beat location , obviously . fact key card not work elevator leave we trap dark not really big deal , even though front desk attendant look we like little stupid . room end low possible floor . cigarette butts empty soda can strew little sill area outside window . lovely midtown view end workman be behind . construction across street , not hotel 's fault , workman 's crack easily view height . room quite worn . look classy not look closely . not make fuss be fussy people , price good thought keep mouth shut . overall , happy price not bedbug , 's hope visit Manhattan . get upper room might give 5 . low floor ? 3 . 
 Mar 21 2009 	 Great Location - Great Hotel 	 boyfriend recently stay Millennium Broadway . location excellent ! literally half block middle Times Square . obviously , ton restaurant , bar thing . 2 block close subway train . heart Theatre District . however , find lobby invite . dark color ( brown black ) sit , except restaurant . check - in , desk guy , Terrence , rude cocky . allow check - in early , nice . wish front desk would ' ve polite . hotel give anything extra . one bottle shampoo , one conditioner two bar soap . provide lotion , shower cap even extra roll toliet paper ! seem odd , 4 - star hotel . also , internet access additional fee . stay much nice much friendly hotel NYC much well service . we get excellent rate $ 169 / night Travelzoo room 43rd floor . can not imagine pay $ 400- $ 500 / night stay . room little worn , bathroom nice clean . room big hotel area , still small . pretty quiet night , consider heart Times Square . overall , would recommend hotel get good rate . would pay full price hotel . hotel nearby nicer well service . 
 Mar 20 2009 	 unbeatable location HARD bed 	 get FABULOUS price room prompt we give place try ( usually stay Marriott Marquis Times Square ) . hotel ten step away Times Square - see bit neon room . excellent location be town see show want close busy action Times Square . front desk staff friendly helpful , always respond promptly request . room moderate size temperature - control thermostat room . decor tasteful modern . complaint hard mattress make difficult we sleep soundly - box spring ; mattress top wooden base . otherwise , love price , location , service , quality . 
 Mar 18 2009 	 Honest Review 	 return 3 night stay Millenium Broadway . book standard room hotels.com pay little read reviewer pay use Priceline , substanially less pay last NYC visit hotel . we satisfy price . also - ask , receive , complimentary upgrade reviewer do . the room look like photo , sign wear tear . bathroom modern clean shower pretty good . I call housekeeping request additional towel bring within 10 min . review , check bedding find sheet size right ( King bed ) , blanket . find one closet , go put bed - clean . when towel deliver , give blanket housekeeper immediately return freshly clean quilt / blanket . clean , find cigarette burn hole rip . would expect 3 diamond AAA hotel . deluxe room 28th floor might little well . bed firm , not problem sleep . follow day ' regular ' housekeeper floor back difference . remade bed - yes still quilt hole - sheet now . this hotel convenient Times Square , noisy . lobby warm invite reviewer note . stay ? really prefer Hampton Inn Times Square North , would stay . warm inviting , money save stay pay dinner . btw - 50 's . 
 Mar 18 2009 	 great location shame service 	 Booked travel agent request 2 twin room , preferably close together low floor . arrival approximately 2 pm 8 hour flight tell could not book till 4 pm allocate 2 double room . explain appropriate party share bed fact book twin room , tell request could guarenteed . understand low floor etc may guarenteed twin room book twin room available . treat rudely ignore completely . eventually 2 hour complaint give 2 twin room , one 22nd floor one 32nd floor . go low floor room together request . next day move floor ( 22nd ) time trip spoil . hotel ok , well Travel Inns however satisfactory , staff polite helpful . add insult injury get home find charge $ 80 eat confectionary mini bar room last day . apart fact would physically impossible , remove hotel staff preparation upgrading room . can not believe charge . telephone hotel UK get money back . great experience . 
 Mar 16 2009 	 Good Hotel - Excellent Position 	 find hotel acceptable . complaint bed hard . right Times Square restaurant , deli theatre doorstep . also feel safe area . if go New York , hope , shall stay 
 Mar 10 2009 	 fantastic hotel 	 stay 25th wedding anniversary hotel fantastic brilliant location staff wonderful emailed prior trip get upgrade we send champagne choc room could fault hotel room realy clean comfortable 
 Mar 9 2009 	 great location uncomfortable bed ! 	 location perfect . right thick thing , easy access good sight course Broadway . bed terrible . consider be essentially pay place sleep , rip - off . would prefer hotel invest money buy decent pillow huge flat screen tv room . 
 Mar 5 2009 	 Beware Tower upgrade 	 stay Millennium 3 day trip NYC . location excellent , Times Square overall hotel quite nice . problem reservation . room book Millennium 's website suppose Superior Room , 28th floor . upon arrival tell upgrade Tower . turn Tower old hotel seperate Millenium theater ( lobby use corridor hotel ) . room quite worn , good . time front desk move room hotel proper . run another couple & quot ; upgrade & quot ; experience . would give qualified recommendation . 
 Mar 4 2009 	 block Times Square 	 location great . housekeep marginal . ( good sheet stain side still change . ask change , leave sheet room . call say ... oh , want remake bed ? notepad pen room shampoo conditioner .... lotion amenity . room nice size flat screen tv benefit . next door hotel Hudson theater long story history . ( take FREE Times Square tour Friday learn kind thing Hudson theater ) . would rate 3 * hotel would stay get good deal . 
 Mar 3 2009 	 good 	 second stay Millenium Broadway . book time Travelzoo get great rate superior room . room nice , clean , flat screen tv nice furniture . complaint . location we Times Square , theater district lover perfect . door , block . would say 7 hotel stay NY last year favorite . 
 Feb 26 2009 	 Excellent Location . beautiful Clean . 	 boyfriend stay Christmas holiday , Dec 18 - 23rd , 2008 . special deal know someone personally . fathom pay anywhere go rate . hotel GREAT location . can not go wrong . be clean , trendy , room good size NYC . downside nothing go . restaurant , club , nothing . bar downstairs never anything go . 's strictly business style hotel someone want really nice place lie head night . we little upset check - in want charge entire length stay debit card front . travel time business see put hold card small portion stay ... never entire thing . debit card , run ATM pay entire thing cash front . I ask hair conditioner hair become hot mess snow wet coat . call room service NUMEROUS time 30 minute later finally get someone bring conditioner . wise buy big one store later . I would stay heartbeat , paid pay . way would pay full price . be worth $ 300 , $ 400 mean . 
 Feb 26 2009 	 Rubbish 	 stay two night .. agree review hotel good 3 * .. first night , housekeeping do not come clean room . call 16.45 pm ask happen housekeeper ad nerve ask want room clean ! ! appear clean room 20.00 ! ! next day checkout day .. ask 13.00 checkout .. 12.30 housekeeping clean ( efficient want ) 12.55 reception calling room ask check ! ! . interior room & amp ; bathroom feel old room cold . bed good fair .. definitely well pay bit stay hotel area .. oh yes .. also need print document 18.00 tell business centre close go elsewhere print . 
 Feb 23 2009 	 good worthy 4 - star status 	 1 . arrive hotel 2 pm , room ready staff tell we go away come back 4 pm . Staff say none room clean.2 . tv not work , two thin sheet bed expect sleep air con night.3 . ' Lobby ' 1 restaurant 3 sofas , like hotel . price restaurant room service ridiculous . Orange juice USD8 ! eat buy food elsewhere.4 . facility make drink tea coffee room , room service not know kettle be . this like chain hotel , like overprice hostel . hotel cater Times Square tourist , stay , soon realise rip . 
 Feb 23 2009 	 Perfect location 	 CLOSE TIME SQ , shopping DISTRICT ... BATHROOM FAN , AC BIT LOUD , ROOM bit SMALL.PAID $ 250+tax nightsit def 4 star .... u get $ 100 , worth ... overall BDue busy location , always loud nightsthe hustle bustle NY city definitley trasparent ur roomThe hotel def need sound proof structure ... 
 Feb 21 2009 	 good standard hotel . excellent location ! 	 stay Millennium Broadway 14th-19th Feb 2009 happy hotel . 's location excellent Times Square , literally 10 second walk . room spacious queen size bed widescreen tv usual accessory ; desk , hairdryer etc . previous post note bed hard not find case sleep comfortably . sheet slightly light bit cold left note Housekeeping ask extra sheet return room evening find extra sheet leave well heating turn ! ' moan ' check hotel 1 hour room ready leave luggage porter return within hour , time huge queue reception / check - in desk . have already check - in approach member staff explain need pick key . not pleasant tell join queue . minute explain have already check not see need queue least another 1/2 hour manager call give room problem . incident find staff friendly helpful ( call taxi require , make conversation etc ) . hotel brilliant short stay ; room clean , spacious , staff generally happy help 's fantastic location Times Sq . would definitely stay would recommend other try also . 
 Feb 21 2009 	 Great New Years Eve location ! 	 book hotel Priceline . great surprise . receive room 5 night New Year 's holiday $ 249 night . close Times Square ball drop good part . staff little rude arrive . one bellhop store luggage early arrival tip badly person front we walk away mumble , & quot ; tip , ' might ' able find luggage . & quot ; issue door key staff seem irritated we ask new key second time around . , room great , room service little pricey food excellent location could not happy . 
 Feb 11 2009 	 great viewgreat location : ) 	 book hotel hotwire good price . iloved view hotel location also good . stay one night good experience . room comfortable decoration also cute . say : mini bar full great bevrage : ) great point especially midnight ; ) staff kind good job . one point especially mention , take advise staff night life club . really disappointed advise : ( not want wait queu front club give card help enter club without wait . choice mean want try advise ; ) 
 Feb 4 2009 	 amazing loved hotel get best price ! 	 book hotel Priceline , get amazing rate . believe , offer price less $ 100 , hotel select . afraid , could not please ! hotel 's location PREMIER ! step hotel right Broadway Times Square ! perfect location ! check clerk friendly helpful . sure go tell rate honor , , way room 32nd floor within 10 minute ! room ? amazing . great big flat panel tv , incredibly spacious upscale room , 2 chair , dresser , desk , 2 nightstand , king size bed , amazing view Times Square . the bathroom exceptional . upgrade marble countertop ( one sink , ' m complain ) , shower bow - out curtain extra room , incredibly clean . non smoking room , truly non smoking . overall , feel like stole room . perfect , happy stay . thank , Milennium ! ! ! ! ! ! 
 Feb 2 2009 	 call Hotel Priceline 	 switch name hotel Hotel Millenium Hotel Priceline would appear reason someone would stay get $ 80 - $ 100 Priceline . absolutely , positively WAY 4 star hotel . way , shape form . would say 3 star would fair assessment . maybe 2 1/2 count service . the location hotel fantastic . will not find hotel close center Times Square price . almost right across street ticket booth Times Square . benefit staying stop . the bad thing stay bed . stay many hotel include many cruise ship five star two star hotel . bad bed ever stay . honestly , wonder carpet floor might soft . forget fact box spring ... matress wooden platform . matress literally hard , jump , would probably get bruise . wake feeling like get rest . top matress thin comforter bearly fit bed . night , even heat 90 degree , feel cold bedspread thin . can not imagine two people share bed morning wake , bedspread hardly cover bed . another thing hotel weird lack activity . Friday Saturday night nobody . Everytime walk cavernous modern lobby ... feel though walk museum open . hotel lobby people walk sit ... lobby couch chair ! small side room couch ... amazingly , lobby giant marble cavern . Sunday , see people lobby one time ... 8 . wait check bag people stand giant marble wall noplace sit wait bag come . the hotel overstaffed tip hungry begger . almost like Tiajuana . moment step car , person literally pull bag hand put cart . overnight bag garment bag light unload , person literally grab arm . tell could manage keep say ' please ... please ... ' like scene movie . finally , put two small bag brass cart wheeled room . ridiculous . bag literally size backpack . there two people cocierge desk . ask get ticket sell show Broadway guy tell ticket lady go home . ( 4:30 p.m. ) say call back morning could call ticket broker . get impression ask restaurant recommendation , would direct guide book . ask one 5 employee stand around hotel lobby midnight , even though completely empty know good bar go ( midnight Friday ) ... tell , ' room service deliver 11 p.m. ' remind midnight would not help much , say ' this New York City . bar restaurant everywhere ' . forget ask recommendation ... Irish Bar across street Irish Bahamas . want decent bar ... walk 8 block Hell 's Kitchen . bar near hotels tourist junk . the doorman manage get we stretch limousine $ 20 drive Tavern Green Central Park one night . great cab ride would around $ 8 - $ 10.valet parking $ 55 - $ 65 per night . ( internet say $ 55 tell $ 65 phone . ) bit pricey ... even New York City . think pay $ 45 Wellington , right street . the room comfortable ... bit small side , typical New York City . aside terrible bed ... furniture decoration okay . bit surprised desk room . guess know business hotel ... tourist look spend time Times Square . bathroom actually nice size large counter near sink good sized shower . hot water great showehead good well . room flat screen tv plenty cable station , include international station . location price make hotel okay deal . service suck . bed terrible ( honestly , base bed alone would stay . fact , would probably pay $ 50 stay somewhere else would know would actually get good night 's sleep . use soft bed , want leave hotel minute even sit bed . for $ 85 ( plus $ 55 - $ 65 valet ) ... good single , college student people budget . luxurious hotel around regular rate . bid priceline 4 star hotel Times Square Broadway area , probably get one . 4 star hotel , well stay somewhere outside main attraction area . 
 Jan 27 2009 	 great location price / terrible star level performance 	 hotel great want close time square . book hotel priceline $ 100 , deal great . problem ask fridge take forever come . also bed , firm .. like sleep floor soft carpet . also , use sleep something top .. get light blanket one hotel sheet go bed keep warm . also , give white towel slightly color towel . , cheap place stay Times Square .. great . oh pet friendly .. 20lbs . 3 1/2 ( priceline ) 4 ( hotel personal ) star hotel . 
 Jan 23 2009 	 Fantastic Hotel great price 	 read review think maybe people stay different hotel . stay Millennium Broadway great . close everything Times Square . 1/2 block Broadway 1/2 block Avenues America . nice size room great view . great staff , clean room , perfect temperature room 17 outside , perfect water pressure , comfy bed . restaurant small convient store right across street . perfect place stay great price . complaint would definiately recomme friend anyone look Hotel close Times Square reasonable price . can not go wrong . 
 Jan 21 2009 	 take family small kid - love . 	 husband business trip New York company put we hotel . concern since travel 3 small child ( 4,7,8 year old ) . concern unfounded , child behave well . staff hotel wonderful , incredible room overlook Times Square , across skyline Empire State Building . everyone polite helpful . room great . 
