great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Dec 5 2008 	 great hotel 	 great little hotel . friendly staff . clean 
 Dec 3 2008 	 Great Hotel Great Staff Great Location 	 return Wingate , spend Thanksgiving . hotel staff extremely friendly polite ( thank Christina Jessica ) . room high floor back , hear noise . two bottle water complimentary paper provide every day . room microwave fridge . room nicely decorate bathroom . location hotel fantastic . literally less 5 min Macy 's . Turn leave hotel right outside Macy 's shop galore . Times Square 10 - 15 min walk . empire State Building 5 min walk away opposite Macy 's . subway corner street , ( turn right hotel ) come handy . complimentary breakfast really set we day . Eggs , alternate Sausages Bacon . toast , juice , waffle , fruit , pastry cereal . lot place eat . like Bread Factory Cafe ( turn leave hotel , leave ) . starbuck corner . hotel provide map make good use . good idea get MetroCard $ 25 last 7 day - definitely need . work subway bus . bit wary subway , look confusing , manage fine - do not get lose ! ! ! hotel also two computer guest use , handy check email etc . I thoroughly recommend hotel definitely stay ! ! ! 
 Dec 1 2008 	 good holiday 	 friend return week holiday New york city . we stay Wingate hotel west 35th street.we really could not ask well location , price , service quaility hotel . the staff find one good job really could not enough help we anything want . if want shop hotel Macy 's top street everything else walk distance . the hotel breakfast really good get start morning help pocket always good plentiful eat much want . we could ask well . 
 Dec 1 2008 	 great Stay 	 return follow 4 night break Thanksgiving . hotel locate central 1/2 block Macy 's walk distance Times Sq , ESB , Grand Central Station . subway locate 1/2 block . staff efficient upon arrival quickly assign room 10th Floor . reception informative offer free map , tourist guide ( popcorn nice touch ) . also offer advise Thanksgiving Parade . soon enter room staff rang see room acceptable be . room quite spacious importantly clean comfortable bed heating system work quiet . noise outside nothing cause much disturbance - city not sleep . read review breakfast expect much however pleasantly suprise . plenty offer plenty room sit although go 7.15hrs day . hotel able hold luggage last day organise car back airport . generally find staff , hotel location excellent would hesitation return . 
 Nov 30 2008 	 wonderful Wingate - 2nd visit even well last 	 second visit second review Wingate Inn . wonderful hotel , staff absolutely fantastic ( dramatic improvement visit last year ) , great location . complimentary breakfast , comfortable room . 10/10 everything ! use hotel . 
 Nov 16 2008 	 enjoyable stay 	 stay four night last weekend would recommend . book two room five we , three one , two . two double . room 9th floor back not hear street noise . room good size , comfortable bed pillow good shower . complimentary coffee , tea water room free paper leave outside door weekday . serviced day fresh towel etc . breakfast well expect .. scramble egg sausage patty , bagel , english muffin bread toast , cereal , yogurt , fruit , pastrie waffle maker . although morning busy always get table constantly replenish food . the lobby area small nice mezzanine area computer use nice sofa . it half block Macys ESB past . also one block Madison Sq Gardens Penn Station . walk theatre ( 15 min ) , Bryant Park , Times Sq etc . the negative thing many restaurant / bar immediate area could not open window room make bit stuffy . overall would recommend good room , convenient breakfast walk distance lot thing . 
 Nov 14 2008 	 Pleasant Staff 	 stay husband 2 kid age 17 & amp ; 8 . one nice hotel staff ' ve encounter trip NY . reasonablly price . GREAT location - Macy 's next block , couple block empire state bldg . clean free computer internet use available . free Breakfast really good . slection Pastries , bagel & amp ; cereal along Eggs , bacon make waffle . although , want good selection get early . 7 am pack 8 am good stuff go . 
 Nov 10 2008 	 Unhappy Wingate 	 book twin room 2 double bed via wingate reservation system . make sure read fine print , know sometimes hotel guarantee separate bed twin share accommodation , however confirmation came clearly say room type 2 double bed book . when arrive , friend give room 1 queen bed . I immediately speak reception , tell twin room available , hotel roll - away bed either . ask whether could place twin room follow day , could confirm whether would possible . the manager eventually call talk totally unapologetic unhelpful . deny guarantee room 2 double bed . show confirmation slip guarantee , tell reservation system nothing hotel , even though book room type 2 double bed , hotel never see ( ? ? ? ? ) . inform booking say 1 guest room , would need twin room . , show book confirmation clearly show enter would 2 guest . said & quot ; well , system show 1 & quot ; . time receive apology even acknowledgment error make hotel . matter say , manager continue argue would not concede error make . total absence customer service professionalism way handle issue . ultimately cancel booking spot go another hotel . recommend anyone consider stay call advance confirm information hotel file prevent disappointment . 
 Nov 6 2008 	 Nice hotel price 	 stay hotel one night please cleanliness room . arrive early hope check room ready . able check bag though . find staff overly friendly ok . heater room loud click sound keep night ! even wear ear plug not help . expect hear street noise hear heater ! arrive breakfast around 8 plenty food available - very nice assortment . overall , nice hotel price , location good want shop Macy 's . 
 Nov 2 2008 	 absolutely brilliant hotel 	 stay Wingate 35th street Manhattan . love everything hotel . staff helpfull , great free breakfast morning . bed comfortable one ever sleep sheer bliss . room keep immaculate clean sheet morning lovely soft towel . wingate walk distance Manhattan sight . Penn Station short stroll away . would highly recommend hotel anyone visit New York . 
 Oct 28 2008 	 Great Location Big Noise 	 Booked hotel 4 - night stay base TripAdvisor review . location nice ... close theater district , convention center , Penn Station shopping . keep mind property amenity one would expect typical Manhattan hotel : bell staff room service , hard tell restaurant open . include breakfast decent free breakfast , great . hand , room good sized midtown , hotel clean , bed comfy . one word warn : be accustomed street noise , request room face back upper floor . great deal construction go 35th Street , every night midnight 3 , garbage truck show haul away several dumpster - load construction debris . hotel try help provide earplug white noise machine awake every night despite effort block . expect Manhattan noisy , beyond norm NYC . 
 Oct 21 2008 	 First Time New York 	 wife stay 25th Anniversary . could not please . room large imagine New York hotel would . staff friendly helpful . continental breakfast convenient way get day start . experience food run low writer mention . neither bother street noise . hear , figure big noisy city . street - side 8th floor get good night 's sleep three night . we spend four day run city find hotel 's location extremely convenient . able walk theatre district several evening show . empire State Building also within easy walk distance . part city , half block away red blue subway line . we please location great price . plan stay return . 
 Oct 21 2008 	 fantastic value good location - highly recommend ! 	 stay hotel 2 night begin October 2008 . check smooth , request , provide room top floor . room spacious comfortable large safe ( free charge ) , tea / coffee make facility , free wi - fi internet access tv . local call also free charge . well room free wi - fi , hotel also 2 computer lounge area offer free internet access free printing facility - perfect online check - in prior next flight . hotel provide free breakfast morning , although run empty towards final half hour , stock wide varitety . term location , first visit NYC find hotel exactly would want . short 5 minute walk Macys surround shop , 15 minute walk Times Square 2 minute walk nearest subway . hotel staff friendly attentive , help we plan route around city use subway . thing would say road hotel locate get busy lorry seemingly constatly drive along . reason would recommend request room either back hotel , high floor room ( hotel 18 floor ) . great location , brilliant value . next time visit NYC stay ! 
 Oct 14 2008 	 Win - Win Midtown 	 NYC like second home , find decent , comfortable , reasonable price midtown location rare find day since hotel occupancy ( ) high . since many hotel choose - recently find one Wyndham Rewards promotion glad , affordable option frequent weekend trip . location decent - short block Times Square / theatre district , Madison Sqaure Garden / Penn Station / a c e , 1,2,3 Subway line ( two block ) really central point city ( Grand Central , Fifth Ave etc etc ) . walk direction plenty food shopping choice - city never walk far get subway . garment district always make fun window shopping bargin consider also clothe fetish . hotel small , clean , room decent size newly furnish finished . bathroom new , clean also decent sized . flat sceeen tv , microwave , refer , coffee maker , room safe free wireless room . Dresser standard size desk , good sized closet also . reasonable room rate room amenity condition excellent . small fitness room second floor open area large tv , also small business center also . bar restaurant site also provide free breakfast . hot choice egg , sausage , make - your - own waffle plenty bread , pastry , toast , cereal , yogurt , juice , coffee etc . & quot ; average & quot ; cold continental offer many mid - price hotel . suitable get go freebie . concern noise - well tell weekend 's much problem ; certainly see could issue weekday - low room face streetside . obviously hotel aware since provide white noise machine ear plugs room . option ask one rear room least room high floor ( week garbage collection prevelent since street working - garment / office area ) . weekend issue ( Sat / Sun ) . possibly concern - depend stay . overall - get new , clean , well amenitie location $ 250.00 night midtown location - 's keeper , especially train Penn Station / LIRR quick stay . 
 Oct 13 2008 	 Awesome Stay ! 	 hotel true wonder ! central location , near public transport block great shopping ( Macy 's ) staff warm inviting anfd get know name 4 day . room over - sized NYC comfortable well appoint . hot breakfast include fresh . find new home away home city . 
 Oct 1 2008 	 Good Midtown Hotel 	 stay honeymoon 5 night enjoy stay . the staff excellent . friendly happy help anything . the room clean tidy good bathroom . room overlook main street yes 24 hour street noise , stay centre Manhattan not expect anything else . air con bit noisy , ( day living help ear plug ! ) sleep soundly . we nice surprise discover breakfast complimentary . Breakfast give good choice hot cold food . although get bit hectic breakfast room time . probably well get peak time . hotel excellent location explore New York . Times Square 6 block away , Macy 's one block Madison Square Garden two . 34th St subway give good transport network reach part city . on whole would recommend hotel would qualm return . 
 Sep 30 2008 	 ` ` Wingate Wyndham NYC '' great place stay ! 	 absolutely love everything stay ! one nice staff ever ! everyone kind helpful really seem like care truly enjoy time New York . room nice clean bed super - comfortable ! location well ... close & quot ; Macy 's & quot ; , & quot ; Tic - Tock Diner & quot ; even & quot ; Times Square & quot ; .Felt safe neighborhood . the breakfast good ... lot item choose & quot ; 4 - Star & quot ; coffee ! would definitely recommend hotel certainly stay return New York visit ! 
 Sep 29 2008 	 great hotel great location 	 hotel great . room spacious , comfortable bed cosy atmosphere . location perfect . several subway line walk distance Times Square , Empire State , Macy 's , etc . free internet lounge great , wonderful complimentary breakfast , really helpful competant staff . choose walk distance ( 2 block ) Penn Station . problem noise airconditione . maybe ' noise cancel machine ' . anyway , room street street actually quite quiet , need ' noise canceller ' could turn . eventually get use use ear plug . laundry service expensive , . stay 4 day really enjoy hotel . 
 Sep 26 2008 	 nice clean comfortable 	 stay mid Sept , standard 2 bed room , share 3 people . room quite small especially time , perfectly fine every respect . clean comfortable bed , bathroom small adequate ( also clean ) , room right back street noise night , apart live singer bar downstairs one evening . helpful front desk staff , breakfast not great bad considering 's complimentary . usually breakfast Andrews ? Coffee House one block away hotel . would definitely recommend hotel anyone mid range budget . 
 Sep 21 2008 	 ok 	 nice hotel friendly staff problem . noise place terrible least front room garbage truck seem go night . white noise generator room still not drown noise . I stay 5 day never get clean towel . 
 Sep 17 2008 	 hate noise 	 nice room amenity . warm staff . noise awful day , unbeareable night garbage truck work night front room locate front.never return place . 
 Sep 15 2008 	 good part trip 	 stay hotel one good part trip NYC . people work seem friendly service personel meet . back side hotel hear noise dump truck , phone ( & amp ; ) pick fine . walk almost everything , not suggest . end walk stand line whole trip . take bus tour get great picture . plenty space hold clothe bed fantastic . nice go back exhausting day sightseeing . 
 Sep 11 2008 	 Perfect place stay Manhattan 	 read many good review book stay Wingate 2 night ' ve got say stay . reception helpful . room clean , decor good . room cramp . free breakfast bonus early everyday problem breakfast run . free internet access / computor also useful . be right next Macy 's - convenient . would highly recommend place . next time go NYC stay 
 Sep 3 2008 	 convenient location use soap 	 stay Wingate last weekend U.S. Open , convenience Penn Station LIRR unbeatable . front desk helpful friendly , room big many ny , free breakfast , well , free . , however , problem . realize $ 250 / night fairly cheap midtown NY standard , ecologically friendly hotel , . . . . give two use soap new soap box . issue shower curtain lot mildew , bathroom generally clean , air conditioner extremely loud , wall paper - thin . moreover , everyone else note , often run breakfast food . overall , decent experience -- hotel could use improvement . 
 Aug 30 2008 	 spectacular ! ! 	 sit room minute writing review pleased experience could wait get home . come upstairs eat fantastic free continental breakfast . Eggs , sausage ( bacon yesterday ) bagel , toast , cereal , muffin , belgian waffle , fresh fruit , 4 kind juice , coffee specialty tea . even sure get everything . room exceptionally clean , roomy NYC hotel standard . front desk people kind friendly . personally book room base review , write mine quickly . everything within walk distance price not think well deal . husband 2 young daughter yankee game american girl doll store . wonderful experience sad leave tomorrow . would highly recommend hotel sure would stay . oh fridge great leftover microwave top reheat . free wireless internet also work perfectly . could give hotel 10 star would . one single complaint anything . good hotel midtown great value money . 
 Aug 28 2008 	 city 	 hotel absolutely perfect 's class . be get great service , friendly staff , clean room ( wife difficult please ) room look nice that . the extra 's , like complementary bottled water breakfast , great add ons help start day city . I worry noise first , 15th floor street side , problem yet , great full night sleep . long day great bed might help ; - ) .The bed way , kind wish could take home plane ( bit big carry though ... ) whether be business pleasure , hotel one would definitely recommend everyone . 
 Aug 12 2008 	 Little Gem 	 excellent hotel convenient position . stay three night spacious room two double bed , husband daughter . follow flight cancellation , husband grateful hotel able accommodate us night ( daughter manage get flight home ) give room king size bed large room . everything hotel spotlessly clean nothing much effort problem staff courteous , friendly helpful . mention breakfast , include price . much well usual coffee , tea toast usually provide . cereal , croissant , bread toast , bacon sausage patty , scramble egg could even make waffle nothing much trouble staff quite happy replenish thing run . definitely hotel would happy recommend one definitely back . 
 Aug 11 2008 	 Thumbs ! ! 	 excellent choice hotel . stay 3 night NYC Mum ( young 61 ) brother ( 16 ) , book standard room two huge queen sized bed . echo recent comment , room equip high standard , microwave prove handy ! ! breakfast really set day . . . eat much little like . unfortunately could not keep away pancake machine ! staff friendly always happy help . in term location , stone throw away Macy 's dangerous wallet ! ' ve stay Waldorf Astoria think well locate . okay street pretty Park Avenue right heart NYC . walk Soho pleasant enough underground end road , get need within minute . everything easily accessible . 
 Aug 6 2008 	 Perfect Hotel we ! 	 take Teenage Nephew Niece vacation NY City 4 day primarily see Yankee game . research lot hotel around price Wyndham Manhattan , none come close comparison amenity Wyndham offer . fridge , microwave , free wireless , free water breakfast huge benifit make visit much enjoyable . room good size exceptionally clean bathroom spacious , pleasant suprise . location great , close Macy 's , train station 10 minute walk Time Square . staff great , even hold luggaqe several hour check . would highly recommend Wyndham definately stay . K. Darville Nassau , Bahamas 
 Aug 5 2008 	 Perfect Location Great Stay 	 daughter NYC week - long theatre workshop around corner book Wyndham stay ... property terrific staff could not helpful . morning breakfast simple hot delicious - well lot & quot ; include meal & quot ; get place like this . note cell phone addict - phone will not work room ; consider plus . free wireless nice touch ; actually manage & quot ; work home & quot ; without go local cafe . I would definitely return Wyndham - deliver promise clean , comfortable , affordable hotel Manhattan 's midtown . 
 Jul 28 2008 	 good value good location 	 stay hotel three night . location close Times Square Penn Station . room clean well stock complimentary bottled water , coffee / tea . continental hot breakfast also plus ( although would avoid eggs- strange consistency- sort like Styrofoam ) free ' m complain . 
 Jul 27 2008 	 Clean Spacious 	 stay Wingate NYC 3 night May 2008 . run one problem take care rigtht way . since city big 's hard pick perfect location hotel Wingate midtown close lot shopping . less block away Macys . arrive early morning check bag front desk since room not ready . get back hotel around 7 pm get room . clerk apologetic tell we bad news . hotel overbooke since not come back early last room give someone else . good news book we Sheraton Times Square pay . also reimburse we taxi cab fare hotel . first night NYC free ! check back Wingate next morning happy find much large room Sheraton . bathroom bed clean mini refrigerator room free add bonus . internet service also free . the people front desk helpful direction advice need . free breakfast usual food perfect help save cost . wingate small hotel 5 room floor . 's great location large room NY standard . could not complain booking since save we extra $ 250 . also get many extra bonus free hotel charge arm leg . would definitely stay . 
 Jul 26 2008 	 Excellent Stay 	 New York several occasion stay shoebox hotel room , thrilled stay Wingate Wyndham Manhattan Midtown . room spacious , clean , well - furnish reasonably price . breakfast morning nourishing , location perfect need . hotel will stay visit NYC . 
 Jul 26 2008 	 Diamond Rough 	 need hotel close Penn Station , resturant show pleasant surprise . wonderful staff beautiful room . stay recommend other . 
 Jul 18 2008 	 praise party 	 writing review hotel , 2nd day 5 - day stay . could not please accomodation . please we : free WiFi internet connection room , satisfy family 's connectivity need simultaneously . ( another hotel , would charge 3 separate charge 3 computer connect time . ) free breakfast . room charge inclusive tax , different hotel New York could aggrandize bill tune another 15 % . two double bed comfortably sized room . powerful air conditioning . friendly professional staff commit make stay 100 % satisfaction guarantee . Met fellow guest praise party elevator , two family echo pleased hotel . 
 Jul 13 2008 	 Perfect Place ! 	 Best Staff ' ve ever meet ! ' ve travel U.S. first trip NYC . Wingate Inn Manhattan make trip enjoyable success . room great , breakfast wonderful , staff best . thank wonderful stay . plenty room family four complimentary amenity unbelievable . thing might make absolutely perfect would additional mirror desk instead picture . two teenage girl we share bathroom little difficult much primp go ! : ) : ) otherwise , everything ideal . 
 Jul 9 2008 	 Great Hotel 	 Great Hotel family . room ( 2 double bed ) good size modern clean . Fridge Microwave plus . good range food breakfast ( although run thing time ) .good location although West - side area little dowdy . handy subway station ( hint walk half block west Blue Subway line ) 
 Jul 8 2008 	 totally Loved ! 	 stay week June 2008 totally love . first - time trip NYC perfect . could not ask well hotel . complaint ever hotel . staff extremely helpful friendly . room super clean . breakfast could use little improvement , hotel overall wonderful . location superb close everything . close subway station 5 min . walk . Times Square 10 min walk . macy around corner . many wonderful place eat nearby . , doubt , definitely stay . 
 Jul 8 2008 	 Great Location 	 stay Wingate past weekend great hotel price . hotel within walking distance everything want see Mid Town . hotel locate w35thst . well light night feel safe come hotel late night . front desk helpful subway system everyone say hello every morning even late night . would stay hotel . 
 Jul 4 2008 	 Fab Ideal place 	 absolutely ideal place stay . room fine small clean . stay 405 back Hotel not hear street noise ( rumble garbage truck etc ) morning . breakfast good , load choose enough get start day . Macy 's road , half hour stroll 5th Avenue , Penn Station short stroll . go back New York surely stay central everything . Booked Hotel flight Expedia excellent rate we UK . 
 Jun 27 2008 	 Wingate WINNER ! ! ! 	 WOW ! ! ! first trip NYC , base prior review hotel , fact fit budget , decide book . hotel like crown jewel 35th Street . amongst street garbage run - down warehouse , hotel 's exterior look like gold . front desk service ... top notch ! friendly , always want say & quot ; hello & quot ; & quot ; great day & quot ; walk . walk distance minimal major sightseeing hotspot ( especially 35th street back entrance Macys ! ) ... even walk UN building hotel minimal time . Time Square 7 block , take 15 minute walk , be ny crowd . room bed might one good ' ve ever sleep , thankfully help deal garbage truck noise early morning ( really bad ) . free water morning paper , sparkle clean bathroom . be free breakfast ... full mark ! usually dispise continental breakfast . great selection change daily . arrange transportation back JFK car service ... one cab ride enough we . highly recommend hotel anyone . 
 Jun 23 2008 	 great hotel - super service 	 great experience 4 night stay June 2008 . hotel staff friendly , helpful , efficient courteous . Kudos whomever hire ! arrive exhausted several flight delay - 11 pm . desk staff hook we welcome microwave popcorn load print info map visit . love microwave frig daily bottle water room . the daily breakfast provide include scramble egg , sausage bacon , toast , bagel , english muffin , simple pastry , several cereal , waffle , juice , coffee tea - ( buffet - style ) . help buy breakfast every day . located step Macy 's - short New York walk Times Square via 7th Avenue . Kinda cozy - 6 room floor . prefer massive & quot ; super hotel . & quot ; Appreciated free internet printer access business center . we like fitness center downstairs- complete flat screen TV.We use available car service return LaGuaradia airport - $ 45 - ride comfort , stress - free Lincoln Town Car . have already recommend friend . hope return next year ! 
 Jun 20 2008 	 Great Rooms Great Locations 	 stay 6 night end May , month research hotel New York , first time New York . we arrive hotel 3 hour early hope leave bag front desk start explore , check able get we room right away . staff hotel polite - always say good more good evening go lobby . hotel also loft type area second floor provide free internet access printer fax phone . also free breakfast every morning though run 9 weekday 10 weekend able get day complaint food - though time staff slow refill certian food . the room clean nice size , especially New York 4 we ( adult ) problem get luggage room spare . room safe nice , also mini fridge receive 2 complimentary bottle water every day . the location hotel far 's great selling point . keep mind night business around hotel completely shutdown area much darker expect . feel unsafe 1 - 2am couple night . hotel 's proximity Times Square multiple subway station , shop ( Macy 's ) restaurant make easy convenient get around explore . ( tip : not afraid use subway , appreciate walk around day station close Wingate . ) would highly recommend hotel anyone look price range - 6 night pay $ 2200 4 us bad New York 's standard . Hope help , enjoy New York . 
 Jun 18 2008 	 Nice Hotel 	 hotel great good location . nice clean room . breakfast also verry good . one tip take taxi aiprot hotel self . pay much 75 dollar . take yellow cab 55 dollar . we would go back again . Greetz Netherlands 
 Jun 13 2008 	 would recommend 	 stay 4 night May . handy Penn Station ( 5 minute walk ) various subway line . room big average New York , clean , comfortable necessary amenity . breakfast basic nice- get busy 8 am go early . desirable street feel safe great central location . would definetly go back . 
 Jun 13 2008 	 Wingate -- Friendly Convenient Good Deal 	 fly Southwest come LIRR walk 1 - 1/2 block Penn station hotel . stay Saturday thru Wednesday heat wave . air conditioner work fine , little noisy . maid give we free bottle water everyday small refrigerator , microwave , coffeemaker . everyone desk friendly helpful keep luggage us day check could attend theater matinee take train back Long Island . walk Macy 's , Empire State Building , Times Square . Felt safe come back 10:30 pm Sunday night subway Penn Station . close multiple subway line . hotel basic new - look clean . ADA room bathroom large , generous towel King bedroom small adequate nice furnishing flat - screen tv . wireless internet computer available lounge ( cell phone would not work room ) . good free breakfast every morning -- save time money ! would definitely stay -- much quieter Times Square convenient . ideal anyone want something nice , quiet , friendly not want pay luxury price . 
 Jun 9 2008 	 repeat A / c failure poor response management 	 arrive Wingate Wyndham hotel unusually warm Sunday afternoon ( around 96 degree ) attend number business meeting follow couple day . arrival give room air conditioner create loud vibration , even turn . hotel move another room . room A / c unit work insist move yet another room , A / C unit cease work today , Monday afternoon . while engineer try could , assistant hotel manager rang later purely say issue A / C unit . clear want prevent make claim hotel . intention anyway . to top , overnight Sunday Monday , warm water supply fail entire hotel . 
 Jun 7 2008 	 Nice Small Hotel Safe Clean 'd 	 hotel small two large building . lounge small clean update modern . desk clerks attentive seem like enjoy work helpful question arrive . we place onto 16th floor room bit small expect 3 people double bed clean , spotless suit we fine . room quiet problem hear neighbor . free buffet breakfast scramble egg , bacon , sausage , juice , coffee , etc . be super quality adequate running town greatful not many cheap restaurant area go breakfast . the hotel situate 7th 8th street nothing glow . store open probably warehouse fabric outlet hotel close & quot ; fashion & quot ; district . walk 7th , Starbucks corner walk 8th , 's starbuck corner , get coffee adventure . north 7th 's short walk Times Square , 7 block . Macy 's right be shop one large store America , location perfect . hotel block away Empire State Building 2 block north Madison Square Garden . overall , feel safe NYC anytime day . even though street little less desireable , location perfect make stay lot enjoyable overall service excellent . although short walk Time 's Square attraction , good location staff cheerful helpful aspect . see photo . email question . 
 Jun 3 2008 	 friendly staff great location ! 	 hotel clean , great little restaurant site . close Times Square , Theatre Disrict , Central Park , Empire State Building Subway . staff extremely friendly helpful . 
 May 25 2008 	 Best stay New York 	 frequent guest Wingate Inn 35th street . hotel frequent travel New York City . excellent staff , lead Elvis Gonzalez Jessie Tang , always ensure stay comfortable pleasant . treat guest respect diligence . ' ve even go far recommend hotel personal website . commend run first - rate operation . state , recommend hotel friend business associate . 
 May 22 2008 	 Amazing Hotel 	 first New York , infact first trip States love every minute it . I find hotel website look clean well decorate do not look more . when arrived make feel welcome . go room 1503 fantastic , everything immaculate . I could believe hotel situate close near attraction , everything walk distance . the restaurant situate hotel wonderful , infact eat every night food service world . look nothing much trouble staff . I want leave , feel like home . would recommend anyone visit New York stay Wingate Wyndham know visit ask room 1503 ! ! ! 
 may 15 2008 	 Liked hotel - hate noise make difficult sleep peacefully ! 	 wingate nice property newly build , nice amenity , beautiful lobby , wonderful hot breakfast include room rate , super comfy bed ..... unfortunately , small hotel ( six room per floor ) hard get quiet room . I read review hotel mention difficulty sleep three room face W. 35th Street , request back - face room none available . end take front - face room , awaken every hour midnight six a.m. garbage truck pick trash . ( staff tell will not hear noise one high floor - tell - not believe ! hear every garbage collection way 16th floor throughout entire night . ) next day request quiet room back hotel , staff grudgingly let , remind several time Manhattan noisy city imply difficult guest . ( course noisy city , still expect able sleep come ! ) & quot ; quiet & quot ; room give right next ice machine , silent afternoon evening , till 12:30 a.m. start make ice wake deep sleep . basically sound like someone put pair stilettos dryer right next head turn dryer 45 minute . even ear plug , impossible get back sleep racket go on . after second night poor sleep ask room back hotel next ice machine - , want king bed . apparently , king room front - face hotel quiet back - face room double .... except two king room back happen & quot ; conveniently & quot ; locate next ice machine . keep mind plan get king room , unlikely get good night 's rest . ( also , hotel pretty reasonable rate Manhattan , almost always completely book , make nearly impossible get different room unhappy . ) bright side , make yet another night break sleep , reward nice hot breakfast - much plentiful continental breakfast hotel ... one scramble egg bacon , toast , cereal , fruit , pastry , bagel , make - your - own belgian waffle . the issue phone room work properly , could not get in - come call . soon try fix , could long make out - go call either .... back hotel , virtually cell phone reception . despite lovely room - large city - reasonable price , unlikely would ever stay .... go five night without get much rest not worth ! 
 May 15 2008 	 Wingate Wyndham Winner ! 	 wife stay May , 2008 . room claustrophobic ! huge , quite adequate . bathroom clean spacious . bed comfortable . staff friendly . offer roller one bring luggage . bell boy assist , staff behind desk offer help , ! clean staff excellent . room spotless . bkfst complementary . nice . location excellent ..... mid town Manhattan , near subway . parking NYC day obnoxious $ 35 / day . gripe single ( one ! ! ! ! ) computer business area . always mob , evening . need least two computer . everyone want check email time ! price $ 320 / night . excessive kind facility NYC . would stay . 
 may 10 2008 	 excellent location clean 	 see lot NY sight easy access subway great hotel stay . breakfast complimentary plenty scramble egg , bacon , sausage plus danish , toast , jam waffle maker ! . gym facility staff friendly willing help direction etc . bed make room clean daily basis good size plenty hanger , iron board even umbrella . bathroom spotless shower poweful . altogether pleasant stay 
 May 9 2008 	 Loved hotel New York 	 boyfriend stay Wingate 3 night 24th 27th April . first time New York love . wingate fantastic . hotel large spacious extremely comfortable . bed , nice literally comfiest bed ever sleep . mattress hard , good kind mattress . location perfect 7th 35th . five minute walk Madison Square Gardens 10 minute long walk bring Empire State Building . can not even begin describe good location . Suffice say go back New York will definitely stay Wingate . we breakfast 6 am lovely . continental nice . continental also bacon , sausage egg . quiet time want get see thing could not say like later . overall fantastic holiday would highly recommend hotel anyone think go New York short break . 
 May 4 2008 	 Great Hotel 	 ' ve stay 4 different New York hotel past 4 year far good . read people complaint , look 5 star hotel , go pay 5 star price . value , location price good . room large New York , clean . serve nice continental breakfast , make sure be 8:00 - 8:15 . location great , minute walk Times Square . Macy 's Empire State Building right around corner . someone go New York vacation , budget , not know thi way around good place stay . recommend highly , would stay . 
 Apr 22 2008 	 long stay anywhere else ny . 	 recently stay Wingate . stay several time past year always great experience . stay Family weekend away stay work due 's awesome location . get anywhere want , due hotel one block Penn Station , subway , walk distance Times square central park ! ! ! staff always willing help get anywhere want without getting lose ! ! ! free breakfast fitness center help finish trip . always stay Wingate always take good care . 
 Apr 22 2008 	 nice room good value noisy night - could sleep 	 hotel live high recommendation reviewer list give . close everything really good value money . furnishing room clean , fashionable , comfortable , new . however , would probably stay hotel . check middle day room peaceful . change dramatically around 2AM . apparently , trash truck NYC process trash pick . park non - residential area - hotel south Times Sq unusual location - right middle garmet district . well , one truck park right front hotel dawn - sound like pile driver . room 17th floor amount pillow would dampen sound . call downstair staff seem know talk ( hard believe - probably deal complaint time ) . advice try get room face street , bring white noise machine ! also , take taxi reture late night street empty little creepy . staff warn , . 
 Apr 17 2008 	 complaint . A++++++ 	 stay Wingate last week,11th-15th April rate highly , front desk courteous efficient nothing much trouble , room excellent size clean good standard every day . the location could not well , empire state , Macy 's Madison square round corner , Times square 10 min away . we not take advantage free breakfast Bread Factory Cafe round corner ( great value money ) .We 9th floor could not hear much noise , street bit scruffy 1 minute 7th 8th avenue . all first class . 
 Apr 15 2008 	 Nasty Staff Noisy Rooms Decent Price 	 start upon arrival : woman front counter talk friend phone ignore wife . minute , get phone , without look we , snarl ' what name ? ' charm proper grammar , catch ! answer question , ask request ( place booking ) quiet room could accommodate . currently middle check - in period . inform us room yet clean ( ! ) could leave bag , return hour ( ! ) see one quiet room would available . much surprise , hear seven bag leave ( would seven claim tag fill ) , room suddenly become available . ask ' quiet ' room . tell ' yes , quiet room . one room , will hear garbage truck night . & quot ; thanked go room , , surprise , rather large ( especially NYC ) . nicely furnish , well . later evening , return room ( around 11:45 pm ) surprise hear begin garbage truck procession would serenade we quite time early morning . call front desk ask get room switch , tell ( another surly front desk person ) ' we not room , not control garbage truck ' . kidding , think sanitation department report directly ! ! ! ! bottom line , pluse : good room size amenity , rather clean , decent price.negative : staff , street NOISE , neighborhood bit ' iffy ' desert dark , inconvenient expensive parking garage ( next block ) . 
