Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 Sep 1 2008 	 Nice Hotel 	 beautiful hotel . room small side , bad New York . room spotless . back , away elevator quiet . staff wonderful . maid see 4 we , immediately provide extra towel , without request . nice touch . little way , kind long walk Times Square , bad . 
 Aug 23 2008 	 nice small 	 think hotel beautiful elegant . room appear recently renovate nice . plate freshly bake cookie available front desk , nice treat check . location excellent expensive area Manhattan . subway close , even take subway / train airport problem . Waldorf right across street ( stay last time town ) . one negative comment concern room . way small include desk chair . desk chair stick practically touching bed . difficult get - especially early hour morning way bathroom . 
 Aug 19 2008 	 Bad Times NYC 	 book room 3 month advance arrive give room away . reserve superior king upper floor . give queen front side hotel noisy traffic . request quieter room give small room back building . seem quiet time . next elevator could go night . next morning request another room attend nice young man . tell go day plan would switch get back . lie . give room away room could get small queen ever . open suitcase half way desk , put desk chair top club chair . awful stay hotel . would recommend hotel anyone . 
 Aug 6 2008 	 lovely hotel brilliant location 	 Loved ! stay Marriott East Side Manhattan 4th July weekend expect pay fortune room really impress price hotel.com stay . hotel fantastic location ( 15 - 20 minute walk Times Square , 5th Avenue , Central Park major attraction ) . 25th floor real city view ( Waldorf Astoria stone throw away ) . staff great - friendly helpful . soon check staff take care everything Porter arrive bag within second . really bubbly give we lot good advice ( turn spot ! ) - like go 4th July firework , get place good time . NYC pocket map hotel godsend . the room 3 people enough room we . clean obviously refurbish recently not date hotel have check Manhattan . huge king - sized bed ( guess superke UK ) even fold - out bed comfortable . bathroom decent size - not huge bath shower ( great ) . also ice machine right outside room come useful ! check painless come arrange late check - out , issue whatsoever . help book seat return flight also check weight luggage . I honestly say not bad word say hotel . I would definitely stay hotel . 
 Aug 2 2008 	 little tired Great Location 	 great location make ideal venue , hotel little tired . room dark whole place feel old - fashioned . executive club close weekend , open good selection breakfast . overall okay experience , five - star experience . 
 Aug 1 2008 	 LIED 	 guarantee king bed . lie upon arrival , put room full bed , queen king . call customer service tell wrong , queen . can not even fit little bed , hotel willing nothing 
 Jul 3 2008 	 nice hotel central Manhattan 	 RoomsI nice big room king size bed upper floor , request . room equip safe , coffee maker , iron enough closet space . the hotel general facilities24h fitness studio stepper , treadmill basic weight machine available 35th floor nice view midtown Manhattan . Wifi internet available fee usd 15.95 plus tax / day . servicefriendly efficient staff throughout . LocationThe hotel centrally locate Lexington Ave E 47th Street , far UN midtown location . 
 Jun 4 2008 	 Great Hotel 	 stay Marriott Eats Side May 19 - 21 conference . hotel midtown call & quot ; lawyer city & quot ; probably ten thousand lawyer ten block radius . business traveler New York great hotel , pretty lobby , nice room , comfortable bed , safe area , near subway , etc . pleasure visitor would stay area town dead night . many good restaurant choice nearby . however good conference . within block W Hotel , Intercontinental , Waldorf - Astoria . one thing really make angry though $ 16 charge internet . come free . 
 Jun 4 2008 	 Fabulous NYC Vacation 	 return 5 night NY one word hotel .... perfect . great location staff always friendly helpful . read scary review , everything lovely . room recently renovate . decide space book junior suite come fridge . even though 6th floor , never hear noise . much view peacefully quiet . also never wait elevator . Marriott Rewards member , definitely recommend take advantage concierge lounge 16th floor . good breakfast , drink , snack , dessert . Kenda work , good concierge ' ve ever work . print subway map give we great tip vacation . definitely stay ! ! 
 Jun 3 2008 	 fantastic location 	 Superb account ! room smallish side , Marriott standard every detail . clean ; linen bath towel luxurious . coffee make available room housekeeping obliging want supply . tiny fridge room addition minibar , excellent storing buy water , fruit yoghurt breakfast . the reception service wonderful – courteous nothing much trouble attitude prevail throughout . drink snack bar downstair first class . the absolute good hotel though location . incredibly close Chrysler Building Grand Central Station ; short stroll MOMA Guggenheim pleasant 20 minute walk Empire State ; beautiful East side Brownstones around ; Waldorf Astoria literally across road ; Bergdorf around corner . subway station also stone ' throw away . easy access CBD Staten Island Ferry , Central Park , etc . shopaholic – Macy ' , Barney ' , Century 21 rest within easy reach . from airport – worth arrange transport via hotel . appear cost efficient option service great – time , help luggage , safe . 
 may 16 2008 	 comfortable hotel great location 	 return 4 night stay hotel . standard double room 19th floor overlook Lexington Avenue . room small , bathroom , think fairly standard NY not detract stay . arrive check - in time problem get room straight away . also problem get late check departure day . bed exceptionally comfortable ( new bed standard Marriott hotel ) . Platinum Rewards member access executive lounge provide great breakfast helpful concierge . find staff helpful courteous throughout stay . location hotel great easy access subway . would definately stay hotel next time visit NY . 
 May 15 2008 	 never 	 front desk staff ingenuine rude . the website mislead regard number room double bed . one would think sell room 5 night two people request 2 double bed , already know available room speak , would indicate phone reservation make . , get say & quot ; oh , reservation take long make reservation . bring roll away . & quot ; okay ... $ 400 per night - roll away sound dandy . okay , flexible . little know quite flexible enough squeeze we roll away bed small room . laughably , man bring roll away suggest good location would front door . luck , old place would fire . anyway , going put furniture bathroom maybe squeeze bed super - small window look directly another guest 's room . see saw , wish view brick wall . pure comedy , point . stay conference - wish check website book room ! couple year ago stay Grand Central Hyatt - awesome hotel awesome concierge . upgrade room reason call restaurant go comp we couple glass wine . service . could get money back , would back HYatt heart beat . 
 May 9 2008 	 great location new room 	 travel frequently New York business stay several time . hotel really good location midtown nce neighborhood . room recently renovate , clean , good staff . highly recommend . 
 Apr 28 2008 	 good business hotel- except internet charge 	 stay one night Marriott business meeting choose due proximity meeting . room decent size NYC hotel , although window small , actually view . high floor ( 23 ) traffic noise problem all . the real view health club 32nd floor- could see back building 's gargoyle East River . health club well - equip uncrowde 6:30 Monday- everything tv screen earphone could use not . complaint radio also play health club . need tv compete pound foot treadmill ? charge $ 15.95 / day ( plus tax ) & quot ; wire business & quot ; package , need get internet . extortion . huge % target customer want internet access . build rate ? ( believe & quot ; wire business & quot ; also include phone call us- 90 % target market probably also cell phone . ) plenty place eat drink nearby.in place hotel show age- marble floor elevator crack repair underway Health Club roof , appear hsuffere leaks- clean well - equip . would definitely stay , especially decent pay - in - advace rate get hotel web site . 
 Apr 21 2008 	 metza - metz 	 spend w / e NYC see museum eat Village . have not NYC age stay nice hotel . find property OK . pay 300 night certainly underwhelme . room small one person walk around . though update seem like dark old hotel . nothing special . uncharme concierge . 
 Apr 21 2008 	 great location great service great hotel 	 stay NY Marriott East Side March 31- April 5 . LOVED location ( 4 block Rockefeller Plaza ) block Grand Central another station 51st street even close . lobby nice conceirge desk always helpful question dinner , activite , etc . bathroom nice size , bed super comfy ( Marriott hotel ) , decent sized room ( remember NYC ) like flat screen tv room . word caution nothing hotel use Lincoln Limousine hire car pick airport . ( 1 ) late ( 2 ) pick we dirty , OLD Lincoln drive around ( 3 ) rude , smelly gentleman talk cell phone entire time weave traffic . speak doorman leave give we company use long time . price Lincoln Limousines actually pick we time , friendly , car CLEAN driver , friendly . 
 Apr 11 2008 	 Good Hotel 	 partner stay Marriott East Side , thing consider ( New York hotel ) , well average . give corner bedroom three window , face Lexington ( noisy ) great spy city . unfortunately guest next door loud midnight ask move . front desk apologetic move we . end room back side ( , quiet ) bit small ( big bathroom ) . room service seem expensive , even NYC standard , fairly decent . loved location , close shopping park . could worse stay ... 
 Apr 8 2008 	 initially disappointed ... Hotel turn Things around 	 attend conference hotel initially serious problem shipment make hotel , staff helpful attempt resolve problem . aside shipping issue , hotel room well appoint relatively clean . say check room use candy wrapper floor dirty towel hang back bathroom door . , sheet , tub toilet clean ( least appear ) . also , walk barefoot across floor end dirty foot , attest floor also clean . attend conference , take many meal hotel . food excellent . staff ( event coordinator , maid , front desk , security , business center banquet set ) helpful friendly . phone call , internet service printing service hotel expensive , give location expect . hotel locate within walk distance good many attraction several restaurant vary quality . 
 Apr 8 2008 	 nice place stay 	 husband part large business group book hotel series seminar . tag along like spouse child come enjoy city . hotel wonderful job host meeting provide private breakfast , lunch Sunday brunch group . hotel 's location convenient sightseeing , yet remove bustle / bedlam Times Square . unlike Hilton block away , Marriott feel boutique hotel . valet service quick park car check - in super fast . nice refurbish room 2 super comfortable double bed nice marbled bathroom . towel fine must upgrade . top corner headboard ' ve mount small reading light read bed without disturb person often problem travel . also find room comfortable temperature wise . often hotel room stuffy spend night play thermostat 's either hot cold . even though hotel comforter , nice chenille throw bed use light blanket comforter 's warm . woman certain age get ' m talk about . our group book dinner cruise Bateaux something normally would not do really nice see light city board boat Hudson . get really close Statue Liberty 's beautiful sight light night . not take Bateaux tour boat night cruise highly recommend relax cruise Hudson sun go . avoid subway like , let give bit advice cab find previous visit city . cabby change shift either 4 5 pm depend upon time start morning . 4 pm get increasingly difficult hail cab unless catch one drop someone hotel , etc . 5 pm business day , be near impossible . 's raining , forget . unless plan walk take bus subway , keep mind head back hotel . also allow time get cab evening dinner reservation . Friday evening people wait 10 - 15minute cab around 8 pm hotel . want try get reservation popular restaurant , suggest make reservation day ahead arrival else try early time . ' ve always luck . 
 Apr 1 2008 	 great Stay Marriott East Side ! 	 stay Marriott EastSide girl shopping weekend Mar 27 - 30 . use Marriott point stay e - mail hotel directly request room 2 double bed . receive e - mail back basically say could not guarantee 2 double note request . check 10:30pm delight give spacious , corner room ( 3 window ! ) 14th floor 2 double bed ! room remodel completely new comfy bed / linen , flat screen tv , granite bathroom new carpet / wallpaper . really neat stay old , charming hotel new amenity modern Marriott . ' ve stay Waldorf W across street past trip NY like Marriott good ! W bad ever- room 10 ' x 10 ' ( tiny ! ! ! ! ) great bar though .... Waldorf nice bathroom small . Marriott locate great spot- 4 block Rockefeller Center 5th Ave fun shopping . as food , concierge ( friendliest ) give we great recommendation . bagel shop ( Ess - a bagel ) 51st 3rd good haru sushi 1 block great ! pj clarke good be look casual meal . on next trip NYC likely stay again~ option use point Time Square Marriott Marquis ' m glad not stay . walk past one day Times Square dirty ton traffic creepy look people . 
 Mar 31 2008 	 ok need know .... 	 room small certainly big enough 3 people ( 12 year old ) . standard king bed room could not even fit roll away eventhough lead beleive sofabe available . also lead beleive could use conceige lounge silver elite member . 's gold eventhough member benefit state website inconsistent . we stay March 21 - 28 , 2008 Come Monday morning awaken 7 am construction hotel . add onto hotel jack hammer right outside window . promptly move thought disclose since take time vacation re - pack un - pack AGAIN.The staff not overly friendly helpful , like Patrick ( bellman ) . hotel close subway ( 6 e train ) . would recommend Residence Inn Times Square hotel ! affina dumont awesome ! 
 Mar 28 2008 	 great location update room 	 old hotel complete update . room small , king size bed large new tv , desk two chair . bathroom new lot counter space . the lobby nicely decorate . staff pleasant concierge helpful . 
 Mar 26 2008 	 Nice Hotel experience 	 stay hotel business first time visit hotel . room update , clean , good - sized ny standard comfortable . complaint , internet cable modem reception sporatic , obviously make difficult business frustrating . visit hotel vacation would rate & quot ; Excellent & quot ; . really like great view fitness center , mention great workout equipment tv 's . disappointed stay hotel . 
 Mar 25 2008 	 displeased disappointed 	 complaint send Marriot , slight amendment : wife stay marriot NY East Side last week Mar 20 23 . must say mean necessary avoid Marriot hotel future . we recommend hotel friend actually work Marriot hk.right arrival , unhappiness cause : - early flight Vegas , request early check . room available , lady staff tell we . persist ask & quot ; possible & quot ; & quot ; upgrade another well room & quot ; , & quot ; nothing , u sure ? & quot ; - lady front desk react defensively , one even tell & quot ; already tell room available & quot ; , & quot ; , sir , possible , would give room & quot ; . tone leave much desire . next , checking , dial & quot ; Service & quot ; slipper toothpaste . service button not work - try operator ( note : nothing indicate button zero operator ) redirect . guy Service disbelieving tell button not work protest & quot ; speak Service & quot ; . take pain explain happen . could possibly anything gain making story ? next , take forty minute staff come room toothpaste . wife already try sleep due jetlag . slipper - emphasize heavily - forget / miss . take another 10 min come slipper . overall , fake sincerity pretense several staff encounter - many clearly try avoid fact hotel small old - tiny bathroom , slow lift , incredibly inconvenient access fitness center . & quot ; note : get fitness center ( small , top 35th floor view block owe construction ) , u get 32th floor switch lift . stay 15th floor mean change 16th floor get 32th floor , thereafter switch 35th . hotel 80 year old . 
 Mar 19 2008 	 enjoyable stay 	 go NYC weekend take son Broadway show . use Marriott Rewards point stay 2 night Marriott East Side . hotel beautiful . member say room great shape since recently renovate . stay 10th floor ( face Lexington Street ) ... happy room quiet . previous stay NYC usually end many sleepless night noise . stay . breakfast buffet bit steep . cost $ 70 2 adult 1 child . do not like fact automatically add gratuity bill feel wait staff work hard please know tip give . 
 Mar 9 2008 	 fantastic hotel -- # 1 choice NYC 	 short -- oustande hotel ! room recently renovate : beautiful , ultra clean , comfortable . location perfect -- easy access everything ( Central Park , Times Sq / theater district , south SoHo / Chelsea ) . importantly , be far enough removed Times Square ( entire area artificial , non - nyc tourist trap ) see experience ' real ' New York hotel . service over - the - top friendly efficient ( rarity Manhattan hotel ) . Doormen friendly speedy . greet friendly manager whenever walk front desk area . Front desk staff super friendly efficient . can not say enough quality service place . bottom line : GREAT hotel -- build people . ( previous usual hotel NY Sheraton Manhattan , pale comparison place . will definitely Marriott return . ) 
 Mar 4 2008 	 bad NYC standard 	 make reservation hotel proximity business client . location good , lobby staff good . room clean small ( $ 300 / night ) NYC middle mid - town Mahattan . one problem hotel , everything additional cost .... internet $ 18 / day , bar ( fee ) , breakfast / lunch / dinner , etc ... whereas ' ve get accustomed business hotel traveler ( manager reception , free breakfast , free internet , etc ) will not find . 
 Mar 3 2008 	 Marriott East Side vs Marquis ? ........... 	 stay Marriott Marquis NYC 2 visit decide give East Side try . pro con hotel . location .......... Marriott East Side great location & amp ; central thing mid- town , shop tourist attraction etc . prefer location Marquis street surround Marquis , center Times Square , always crowded . may appeal first time visitor NY . room .......... Marriott East side room nice , comfy bed , flat screen tv nice furnishing , however not think towel upgrade . room size adequate , though room Marquis large . also believe robe room not . service ..... good experience property . check probably bit fast East side , since 's small property not take elevator escalotor check in . excellent service coffee shop nice breakfast buffet . bottom line like small intimate feel hotel , Marriott East Side disappoint . prefer large hotel restaurant etc . , Marquis surely please . 
 Mar 2 2008 	 Nice hotel great location 	 wife daughter never NYC , particularly want visit Christmas season . near top list thing see Rockefeller Plaza , Saks 5th Avenue , Radio City Music Hall Christmas Spectacular . hotel ideal location , short walk site , plus subway station couple block north get place far walk . proximity , end go Rockefeller every single night week enjoy decoration . ( aside , highly recommend make least one visit NYC Christmas season - love . ) hotel nice . one drawback room small be use , not feel cramp , be like planning spend lot time room anyway . clean , nicely decorate ( especially bathroom ) , nice flat - screen hd television room . member Marriott Rewards club , get add perk access Concierge Lounge free water , soda , snack , breakfast , etc . take advantage every day . every staff member encounter friendly courteous . 
 Feb 22 2008 	 first bite Big Apple 	 stay Marriott East Side first visit New York . stay 4 night Saturday Tuesday . location great - could walk city 's site hotel . service good staff always pleasant . room smart decor fine . bed deserve special mention - ' ve never sleep comfortable hotel bed - somethig grateful walking yer sock around city . room quite dark little small side expect typical New York mid price hotel range . say , great view 32nd floor - look right Chrysler building . room also appear good soundproofing - hear little noise neighbouring room . one criticism room would poor quaility towel . may bit picky really not fit otherwise quality experience hotel . we eat bar one night - food o.k little pricey - would avoid - 's many eatery doorstep . bar area surprisingly small hotel size also stop serve pretty early ( 11ish ) - -there 's plenty place around serve drink later . 
 Feb 17 2008 	 nice Clean New 	 stay one night celebrate birthday NYC . use Marriott Points stay disappointed . arrive 11:00 Saturday morning . pull right door valet immediately take bag vehicle parking . Valet parking $ 50 per day , convenient city . able check right . problem early . even choice room . ask one far elevator quieter . front desk friendly , helpful . taxi always available right outside door . 12th floor could still street noise . would suggest bring sound generator ( white noise ) use sleep city . eat breakfast next morning hotel . good , service great . room completely remodel flat screen hdtv marble bath . room clean . one issue drain clogged tub , come fix within 5 minute call front desk . definitely consider stay . 
 Feb 6 2008 	 nice location nice convienent hotel 	 stay Marriott East Side 1 night January celebrate anniversary . hotel situate midtown Manhatten 42nd 51st metro stop . hotel flat screen tvs new decor clean . however , upgrade towel . feel like sandpaper . never know bring towel Marriott . unfortunately , room face brick wall . staff helpful forgot toothpaste . not anything eat Marriott late night . however , NYC . street vendor corner Marriott ( 49th Lexington ) satisfy late night craving . would stay hotel maybe bring baby next time visit NYC long . 
 Jan 20 2008 	 Greatest 	 stay 1/11 1/16 . lobby common area old world charm . bar open lobby service excellent well space table , even clientle largely God 's waiting room . centrally locate many major hotel , cab always wait 24/7 . long walk doable Times Square , Central Station far away . despite renovation thing rough around edge . Carpet place already wear , spot repair duct tape . Wall paper poorly apply cut around fixture hall . my room average side , nothing special . heater / AC not work well temperature swinge room . one point heater hiss like finnish sauna . despite 26th floor one house sized window face brick wall six foot away , give room prison cell like feeling . bed INCREDIBLY comfortable . , blanket warm sheet soft , end day , really important . nice soap shampoo provide Bath & amp ; body work also nice touch . bathroom large , nice marble tile finish , counterspace let spread out . room quiet could hear outside activity room . elevator small long wait - door one elevator non - functioning floor completely scratch , terribly impressive recent total renovation . internet access fee pricy top room , $ 15.95 night plus tax . small gift shop also pricy , pack gum $ 2 ! ! ! not & quot ; bad & quot ; hotel despite misgiving - not nice Marriott far ' ve stay either . 
 Jan 14 2008 	 rough around edge 	 stay one night Saturday January 12 , 2008 . location great within easy walk disytance lot attraction . lot hotel immediate area Waldorf , Intercontinental , Doubletree W , get cab never problem . also 2 block walk subway . this old hortel recently refurbish pretty good job . lobby spacious classy look . room 15th floor relatively spacious king bed great beddin , 37 hdtv small adequate bathroom . mind youit January New York , yet keep air conditioner runing maintain decent temperature . get room thermostat set 68degrees yet HVAC unit keep blwe cold air . change set 72 1/2 hour start blow cold air . turn unit 2:00am romm temp climb 78 . happy turn AC unit back on . in morning wife use hair dryer hide top closet . keep turn shoot apark . wet head NYC January not fun . desk staff could efficient helpful hard understand large hotel heart Manhattan would open 's restaurant Saturday night . even difficult understand last call drink bar hotel 11:45 . numberr people come around midnight learn could sit bar drink . we breakfast restaurant . buffet $ 21.00 . seem little pricy $ 4.00 coffee 4.00 juice ala carte menu work 0out even high . fair buffet magnificent . all experience ok kink work . 
 Jan 12 2008 	 would expect Marriott 	 stay Marriott Eastside business trip . pleasantly suprise . 's lowdown:1 . Room nicely refurbish fresh comforter , large screen tv , attractive furnishing , clean bathroom.2 . Gym ! 's 32nd floor , overlook Manhattan . new machine video screen attach earplug . small quite wonderful.3 . modern concierge lounge large screen televsion big plus . check . buffet breakfast egg , bagel , muffin , fresh fruit , salmon , etc . free non - alcoholic drink night honor bar . food set evening , although mean appetizer , seem make small dinner it.4 . eat lunch Grille . perfectly good food , excellent service . many excellent restaurant NYC would not first choice , business trip luncheon , suit fine.5 . location great , small pang see W Hotel Waldorf Astoria slightly street . in summary , be great value , location , fab little gym , concierge lounge freshly renovate room . 
 Jan 11 2008 	 Pleasant Stay 	 stay two night . travel business . never stay Marriott East Side ( previous stay Marriott Time Sq . , former Righa Royal , Palace Waldorf ) . hotel close meeting ... centrally locate midtown . room lovely . freshly redecorate include nice worksurface big LG flatscreen tv . corner room , three window , queen . clean adequate space . bathroom update enough counterspace . check quick bell hop helpful . certainly stay . 
 Jan 9 2008 	 fabulous 	 time , book ( 6/2007 ) stay ( 12/2007 ) negative review pop Trip Advisor little worried . worry waste energy East Side Marriott FABULOUS hotel . my husband stay New York Marriott East Side December 20 – 22 , 2007 . upon checking - in , delighted learn upgrade suite room include enormous patio complete view Chrysler Bldg . , sunroom , two wide screen television gas fireplace . living room tastefully decorate include floor ceiling window dining room table seat six people . bathroom marble double sink , separate shower array Bath Body work toiletry . bedroom large , clean , up - to - date king - size bed linen spectacular . service guest service , front desk , concierge lounge bar staff exemplary . management even bottle champagne large platter cheese cracker send room . due nature work , spend excess 100 night per year hotel US abroad hotel rank right top hotel London Monaco . highly recommend New York Marriott East Side anyone want fantastic Manhattan experience . 
 Jan 2 2008 	 great Modern Base NYC explore 	 wife travel NYC night visit New York Christmas season . first night spend magical night Waldorf - Astoria ( see review post ) . next night book we New York Marriott East Side use reward point stay . hotel across street Waldorf . ( hotel also short walk ( four five block ) Rockerfeller Center Time Square / Broadway , fyi ) . check - in greate warmly front desk staff . mention first time NYC provide we welcome bag comprise book 1001 thing see NYC welcome gift ... free . also grant request high floor ( NYC street noise bad ... unless use ) even provide corner room , extra charge . , use reward point , give broom closet , actually receive great room 30th floor . this nice hotel strongly recommend anyone viste need good base explore city . subway stop two block away , breeze use safe . 4 star hotel adequate service . since sightseeing day , room much . however , hotel excellent fitness room 35th floor ( fee ) complete need workout ( unless walk Manhattan , course ) . one restaurant , standard Marriott fare ... nothing write home . New York one dine off - property anyway . find Marriott clean , nice lobby , helpful attentive staff , update modern room ( 37 & quot ; LG flat screen tv ) . one word caution , appear time - share rep property Florida base lobby , not bother we much . for ride back airport , hotel arrangement limo service take back $ 40 cash payable driver . expect sedan , guess unavailable receive white strech limo ... $ 40 rate . nice way end trip . I recommend hotel , would stay . NYC expensive , get good rate great choice . want spend $ 1000 / not , plenty property take money . work fine purpose . 
 Dec 27 2007 	 Excellent service 	 spend Christmas New York stay Marriott East Side . check room 33rd floor . room generous New York City standard bathroom nice separate shower marble tile . everything immaculate . however , problem temperature room . neither open window ( window guard appropriately limit size opening inch skyscraper ) AC could make room comfortable . visit maintenance one unbearable night , ask manager new room . experience make difference - Austin team Marriott exceedingly professional , accommodate , move we new room without issue . rate hotel avg rather excellent restaurant ordinary property caliber . however , Lawrence , server , wonderful . highly recommend hotel great midtown location , excellent management , comfortable room . 
 Dec 17 2007 	 lie street would quiter experience 	 Marriott member , never stay portion NYC . , husband book room . room petite , charm . nice night Rockettes , decide head back hotel . not surprised bell man stand right front rotate door without move . bad part incredible noise ! seventh floor , not buffer anything . literally think window open noisy ! late change room , decide suck , huge mistake . note whoever stay : not sleep Lexington side . be terrible ! ! ! 
 Dec 10 2007 	 Great Location ! 	 return 5 night stay Mariott Eastside December 3 - 8 , 2007 . location hotel can not beat ... easy walk 5th Ave . , Grand Central Station Rockefeller Plaza ... Times Square bad walk all . this third year row family 6 property renovation room nice . new bed , television , carpet bathroom . great housekeeping ! far noise , 15th floor noise noticeable liveable . Earplugs would good option use constant honking siren hour . three kid party sleep without wake ... must bad . pro : - newly renovate rooms- Locations , location , locationcons : -cost : travel point Holiday Rates would high get - water pressure problem : one morning room fluctuate water pressure ... definite problem get ready morning . cause undetermined 3 call front desk maintenance come check . happen stay.-No DVD 's room ability rent one front deskbeautifully decorate Christmas hotel return ! 
 Dec 9 2007 	 nice hotel decent location small room 	 stay NY Marriott East Side ( 49th Lexington ) business special event Dec 7th . pro : Marriott 's location one good feature . within walking distance Grand Central Station bit long walk Rockefeller Center . choose hotel base proximity special event . hotel within 1/2 block Waldorf - Astoria , W Intercontinental . the room clean , contain comfortable queen - sized bed large flat - screen tv . con : heater noisy wake every time come overnight . ask , promise , rollaway bed never come . ' m sure would place arrive room small . we also pay obscene rate room , even AAA guest block discount , due holiday . I may stay , many close option well . 
 Dec 1 2007 	 nice 	 son stay first time 3 night . room small comfortable quiet . Lexington 49th 's short block 5th Ave Rockefeller Plaza . usually stay close action , get well value , quite frankly , well service . concierge staff could helpful . one even surprise we restaurant book we ! definitely back . 
 Dec 1 2007 	 great hotel 	 stay marriott east side last week october07 , great hotel even well staff always ready help . concierge desk Mr patrick fantastic , sure know great place , new one visit nyc frequently . room newly renovate extremely comfortable . concierge lounge really nice superb staff extremely helpful 
 Nov 17 2007 	 bed bug bite ! 	 ' m panic -- spend one night hotel , upper arm itch like crazy early afternoon . arrive home 9 hour later , see cluster bite . check webiste bedbugger.com pretty sure bed bug bite . see doctor Monday . ' m petrify may bring horrible bug -- infestation -- house via suitcase . , will possibly thousand professional pest control cost mention significant uncomfort month . ' ve notify Marriott Rewards hotel front desk . remove review learn bed bug bite ; however , ' m fairly certain . nothing like every happen . 
 Nov 12 2007 	 recently rennovate - nice hotel 	 great night 's stay Eastside Marriott Veteran 's Day weekend . stay one & quot ; superior & quot ; double room , indeed large hotel room four window . bathroom clean ( though drain run little slow ) room clearly rennovate recently . still sign outside hotel state room rennovate , think update pretty recent . problem street noise , common many NYC hotel w/ window . 14th floor probably would not bad high floor . small bar lobby seem quite lively arrive home evening . overall , decent hotel price . would say due rennovation good location step Marriotts . would stay . 
 Oct 22 2007 	 charming hotel - historic 	 lovely lobby set mood historic hotel - vintage wood & amp ; brass abound . Excellent & amp ; friendly staff . elevator small , hallway narrow , bath & amp ; closet tiny compare new hotel - beautifully maintain - room bath recently remodel & amp ; pretty . location hotel great - far touristy stuff , enough distant deal constant crowd noise . Taxi 's , bus route , major subway line easily accessible - Grand Central Station block away , bloomingdale . able gain access , concierge lounge wonderful - outside terrace - love breakfast day ! overall , small gem hotel highly recommend . 
 Oct 22 2007 	 Great New York Hotel 	 last time stay hotel prior recent renovation . surprised delighted quality hotel room -- much improve since last visit . due airline delay , arrive late , approximately 3:30 morning . room still wait we , question issue . room large comfortable , especially central location NYC . ' ve stay room half size New York nearly clean . room flat screen tv fluffy king size bed . location beat , room , expensive , solid value location . able walk Grammercy , Village , Times Square , Upper East Side central location . concierge extremely helpful , bell captain store bag prior return flight hail cab airport . 
 Oct 7 2007 	 Good Experience 	 Hotel still undergo renovation stay June . great location , 10 + minute walk Times Square rate room size considerably well midst midtown . hotel charge $ 50 parking , lot parking $ 17 - 20 day available 3 - 4 block away . room bit small , NYC ; concierge lounge open weekend , disappointing give hotel nearly full . elevator extremely slow , overall clean property newly decorate update room . 
 Oct 5 2007 	 nice place ok book ( small ) 	 check : typical New York & quot ; busy , next please attitude & quot ; , ok : room : nice , upper floor , comfortable bed , clean , LCD tv . excellent ! walkin distance 5th avenue Central Park , go ahead book ! ! ! 
 Sep 25 2007 	 great location update room … really good Marriott 	 one night week UN conference . stunned rate , understand supply demand … , location excellent , choice scheduling meeting . check efficient smile … sign reg card , jokingly ask " rate , get extra chocolate ? " . delighted later find nice chocolate pillow . buy post card gift shop Kiddo , stunned charge $ 1.50 postcard … even NYC . good news : sell stamp face value , unusual Marriotts day . my room small standard , Manhattan hotel expect . bathroom small , new upgrade bathroom design ( granite surface , leg , slatwork , etc ) . bath entry narrow , turn shoulder get door ! new bedding , large flatscreen tv , excellent electronics laptop . 100 mb hardwire speed , delightful ! room clean , one night , certainly sufficient . they give lounge access , terrific . lounge 16 , nice patio . Sat write postcard sip glass wine breeze … really nice . the employee property continue well train , helpful courteous . reason , plus location , ' keep come back . , $ 629 night , though , make sure get chocolate … 
 Sep 19 2007 	 lovely surprise - one good NYC 	 NYC East side Marriott fantastic surprise we . must newly renovate room hard imagine room nice , rather picky – look review NYC room find rank high . room furniture seem brand new tasteful . bed well luxury chain , 300 + thread count sheet , full comforter ( extra one closet ) , partial pillow regular pillow , lovely soft chenille throw bed -all clean new . mattresse high quality . toiletry immaculate marble granite bathroom quite nice high end product great packaging perfectly clean double shower curtain plush towel also pleasing . bathroom quite luxurious compare average NYC 4 * hotel , well 4 * hotel NY ' last year . plasma tv many channel include HBO . staff friendly courteous efficient – checking take 2 minute . hotel opposite Intercontinental " W " hotel block Waldorf Astoria . ' location fantastic subway line right , mention easy access well restaurant 2nd Ave . room get absolutely spotless , public area hallway lead - stark contrast ghetto 4 * hotel stay ny . lobby area quite small fancy , clean much appealing lobby NY establishment – highly polished stone , nice furniture , clean carpet . " old " spot elevator bit small cramp show bit age . small gym top floor need take two separate elevator get , matter floor . ' bit cramp , gorgeous view city , clean , stack fresh towel ready go . negative state hotel noise level street quite high , window ' enough sound protection taste , perhaps issue low floor , indicate review . use ear plugs fine . highly recommend hotel , may want sure end renovate high floor , case review indicative floor room similar . 
