love 	 stay 5 night read rave review really live noise . great , modern , value money hotel . staff second none super - friendly , proactive attitude . there load great restaurant , bar , cafe club nearby even bar restaurant downstairs worth check meal drink head elsewhere . we always look forward yoghurt , muesli , banana OJ morning . 
 excellent stay 	 stay one night impressed . lovely reception area great room . small problem try check ( hotel fault ) reception staff could helpful . though free banana / yoghurt / orange juice great idea . would recommend hotel highly definately stay . 
 excellent location great value . 	 hsband London January 2008 stay Hoxton Hotel 5 night . manage get £ 29 deal . location perfect , close tube , take - away shop front hotel , walk distance supermarket . staff friendly & amp ; accommodate , aircon blow loudly , upon request kindly move we another room . room cosy , nice bathroom shower , large LCD tv fast free Wi - Fi . I ' hesitate stay . 
 rate HOXTON high ENOUGH 	 stay Hoxton Hotel time , £ 1 & amp ; £ 30 - special sale price . its easy reach get town , clean modern . staff great can not enough help . love alternative attitude brand . 
 Mar 1 2009 	 abusive bar staff - beware ! 	 Friday night go bar Hoxton Hotel meet friend stay . try buy drink round , tell could not unless stay there . I pretend stay borrow friend room card , admit cheeky however fairly good natured do could pay drink . a male member staff ( rightly ) challenge say stay . stage interaction still pretty good nature , although must slightly tedious bar staff ! point female member bar staff involve discussion aggressively call horrible liar . really take aback tone , manner downright unpleasantness tell b * tch . she proceed complain member party point have unpleasant start argue . ask old say look act . someone stay hotel end buy drink leave . I still can not believe member staff completely insult reason . abusive would understand bit not , simply try pay drink . pretty much ruin night cause issue party really need . completely avoidable situation . 
 Feb 28 2009 	 fantastic place stay ! 	 Hoxton fantastic place stay . plan ahead take advantage fame sale get really good value room . room really nice ; bed fantastic , super comfortable . staff super - friendly helpful . location great - area full great place eat drink . really recommend vietnamese food nearby Cay Tre ( website ) . Hoxton Square nice spot Thai , japanese food . super bar downstairs complimentary Guardian newspaper morning . reception offer great little bottle wine take room , also take advantage £ 7.50 24 hour offer film selection ( not always great , must say ) . 
 Feb 20 2009 	 Style 	 stay 2 night , can not fault hotel & amp ; staff . make sure book early get good rate . room back hotel really quiet . right centre great part London . not miss hotel bar even though bit naughty sell draught beer ! 
 Feb 16 2009 	 's cool sometimes even cheap . 	 stay Hoxton one night , read magazine happy choice . get good rate website , kind no - frill design hotel room way much nicer many hotel ... especially get London 100 pound . room get almost black , confortable spacious bed fantasic power shower , ther drawer extra gadget even get fresh juice banana breakfast hang door . bad low - cost . area Hoxton square Hip , maybe hip someone 's taste , not fancy public transportation much probably far walk centre London , bu still worth stay Hoxton . 
 Feb 14 2009 	 great Winter Oasis 	 stay Hoxton big snowstorm early February . arrive night snow hit , amazed alive hotel guest enjoy posh ski lodge . the room perfect size single traveler , could ever want : morning tea / coffee , two bottle water , deliver breakfast bag perfect taking work . every time go downstairs lobby , astonish see hopping place ! great music playing , interesting people smile drinking , cozye laptop comfortable arm chair . I ' ve stay London impressed bathroom situation ( tiny tiny tiny ) . bathroom perfect quite modern . relieve arrive . I will definitely stay Hoxton , envy co - worker travel London , stay Crowne Plaza ( hear nice , cool Hoxton ! ) . 
 Feb 10 2009 	 wowzer ! 	 get hotel last minute £ 1 sale ! well worth ! change date Copthorne Tara Kensington stay night . day check happen day snowstorm get London , trudge luggage snow Old Street tube station ( 5 min away ) end foot soak wet not prepare weather condition . Hoxton nice , new modern hotel seem also gear towards business traveller . like reception friendly feel staff member wear casual clothing . reception also double & quot ; shop & quot ; buy electrical adapter ( £ 1 ) , water , snack , wine reasonable price . opposite side , four computer terminal free internet . we room 111 , moment open door ... well .. wow . be not big hotel room , £ 1 per night , complain ? nice contemporary feel funky interior design . particularly love bathroom , although bath , rainforest shower , Aveda toiletry . also free WiFi room , also surf internet flat screen tv ( also come wireless keyboard ) not computer PDA . call local number via phone room cost 4 penny . need roam ! overall ... excellent stay Hoxton , never mind £ 1 room . even pay £ 80 room , would still happy ! 
 Feb 10 2009 	 Fantastic Hotel despite Toilet Roll Problems 	 fantastic hotel . tempt say ' fantastic price ' would suggest problem related hotel might expect end market . weren't . on arrival , receptionist welcoming , friendly helpful offer we choice floor . read previous review noise bar choose fifth floor disturb bar festivity stay . the room well furnish bed fantastically comfortable . eiderdown perfect real add luxury . facility room nicely present move whole coffee tray plug kettle bit strange . subject , coffee bag ? good way make coffee . one minor point , toilet roll refuse stay toilet roll holder . holder point towards floor . strange design choice . we disturb idiot neighbour return room , go return repeatedly half hour middle night . whatever annoying can not really count hotel . the Grille restaurant excellent - friendly , intelligent service , good food half price ( special offer ) . thirty minute late table effortlessly accommodate despite restaurant busy . overall , Hoxton lot right much wrong . price good , service friendly facility well think . maybe scrimp bit fitting place . 
 Feb 9 2009 	 Fab Trendy cheap hotel London 	 stay Hoxton October 2008 2night delight hotel . average £ 55 per room per night great price central London . the room spacious , bed comfy , bathroom clean huge . problem hotel breakfast bag concept I m huge breakfast fan major issue . the area ( Shoreditch ) may appear rough step subway station woman walk night feel secure . area always busy local diner bar never pack offer good food . the trick hotel pay right price go aprox . £ 150 night case worth money . get £ 80 love hotel lucky enough get £ 1 night right treat . 
 Feb 8 2009 	 Excellent value 	 Much say Hoxton Hotel , be true 's reputation . free orange juice yogurt every morning , spacious room , free wifi , hip atmosphere , bar always pack weekend , even computer lobby not bring laptop . clearly aim W 20 - something crowd . location - wise 's pretty unassuming neighborhood ( be 5 - min walk Old Street station ) , though couple club nearby ( e.g . Aquarium ) get somewhat popular . King 's Cross 2 stop away Tube . 
 Feb 3 2009 	 great stay hoxton 	 fiancé stay weekend Hoxton - great hotel stay . staff really friendly even though turn early , find room let we check straight away . room nice , clean ensuite bathroom . pret breakfast get really good ( orange juice , yoghurt banana ) hang outside door request time . room everything need ( although iron ironing board would nice ) . bar busy evening ( everyone love cocktail prepare wait almost every order take cocktail ! ) many people seem come stay hotel , definitely nice vibe . sure time bar close 1 be still busy . we ask room high floor read review site , would agree would advisable , sure first floor would hear music bar . stay 4th floor hear nothing ! park directly outside rear hotel 1.30 Saturday day Sunday free . time max 2 hr stay £ 4 hour . think car park road , sure much park road . computer lobby free use surf internet need great idea . the downside hotel area . sure would like stay . seem little rough ( although see trouble ) . tube station little rough couple beggar loiter around . couple group would say fine . also think plan visit West end , would easier stay hotel somewhere Piccadilly line . hotel northern line , mean take northern line Euston , change tube get northern line head towards Leicester Sq . say though , take 20/30 minute get Leicester sq tube run often enough never wait couple minute . tube station coupe minute walk hotel , convenient . would definitely stay recommend try ! 
 Feb 2 2009 	 Loved ! 	 partner absolutely love Hoxton - rate £ 59 Saturday night excellent value ! reception staff helpful friendly check - in impressed room . small touch make difference : fresh milk , water , free wi - fi , funky decor wonderful coffee bag ! ! ! bed comfortable love bathroom . the area downside , still great nigt friend great bar Hoxton Square . 
 Jan 29 2009 	 Super cool 	 great hotel - clean , funky little bit different . just book advance get cheap room . love flat screen tv ( free internet ) even free music tv . stack album choose , come £ 0.00 cost . the area ideal , funky area . need wit keep safe . 
 Jan 27 2009 	 brilliant great value 	 really could not fault stay . room comfortable double bed , flatscreen tv , hairdryer , fridge bottle water milk real coffee too . no bath good big shower bathroom love ' breakfast bag ' hang outside room morning - banana , juice pot yoghurt granola . option full English . £ 57 think amazing value . we eat restaurant get 50 % food special offer eat 7.30 ( actually mean order 7.30 stay 10 pm ) .I would definitely recommend hotel - book via website good offer . 
 Jan 27 2009 	 believe hype ! 	 stay two night first time ever not check review beforehand bit panicky make short walk tube station hotel . really not worried , place real gem ! relaxed , quirky , spotlessly clean , trendy pleasantly unpretentious ! base price pay admit expectation not overly high Hox would live ideal even critical traveller . 's nothing stuffy , self - important overprice ( three thing make stay London hotel feel like purgatory ) even though ambience offering exclusive , ( likely twice expensive ) quality hotel . free internet access , free bottled water ( proper ) milk fridge . contemporary , comfortable room styling , echo throughout rest hotel . restaurant serve good food friendly smile comfy leather sofas lobby / bar congregate around two roar fire either end . perfect relax glass two something lovely watch world go ! fabulous find , somewhere will definitely book . 
 Jan 24 2009 	 maybe good second time around . 	 already stay Hoxton around 18 month ago , not seem special first time . we book meal restaurant evening return obtain table find table allocate guest , tell miss booking time . we explain book early time would able get time due traffic London bad . we however ask would like table much later night decline , go elsewhere . advice telephone reservation time allow ask confirmation date time choose time avoid leave disappointed . having stay winter room seem cool side . this hotel apart two grey area 's handy short stay London . 
 Jan 22 2009 	 friendly Comfy Overall absolutely Top Banana ! ! ! 	 be simple : Hoxton get spot . 's different hotel ' ve visit , Hoxton dispense usual Hotel staple ( exorbitantly price extra , ridiculously small bath , hideously pattern bedspread ) favour thing people really want - gigantic power shower big enough two , milk personal room fridge , yoghurt juice morning , fabulously trendy bar , free internet terminal reception , awesomely cool cushion crisp cotton bed ... could go . Suffice say Hoxton know clientele go way give want . not hox great facility , first thing notice upon arrival friendliness staff . London veteran , remember arrive first time worry big city folk would cool unapproachable . nothing could truth Hoxton . reception staff wait staff Grille restaurant , everyone go way make sure good time . top fabulous Hoxton price - book advance get absolute bargain ( stay three night £ 150 ) . hox couple minute tube whizz central London , be totally bargainous minibreak . 
 Jan 21 2009 	 Funky Fun Good Value 	 first stay Hoxton , yet another great £ 1 Room Sale . room still great value normal price . place funky whilst completely Nathan Barley , easy reach Old Street Tube . will certainly keep come back . 
 Jan 18 2009 	 Nifty 	 Hoxton different - certainly mean good way . concentrate provide thing actually want - like pint proper milk fridge . room clean staff friendly . love place would certainly return . the pricing structure Easyjet school get high close get date stay . unfortunately make poor choice last minute break plan ahead will get bargain . I would also say hotel bit way area perhaps little run . not put might suit people . 
 Jan 18 2009 	 excellent place ... love ! 	 great location , close good bit shoreditch . loved log fire foyer quirky design throughout . clean room , comfortable bed fresh milk fridge great . overall fab hotel ... 
 Jan 16 2009 	 Brilliant ! 	 get big thing right like comfy bed , nice bathroom , good toiletry , place spotless , friendly service , good design 's little thing really make place stand - free wi - fi , local guide , fresh milk water fridge every day , nice toiletry normal price extra sale reception . great location also , minute walk Old Street tube 10 minute walk Liverpool Street Station really handy be fly Stansted Hoxton great nightlife great shopping . Loved Hoxton , great value money definitely back . 
 Jan 13 2009 	 cost price Kit Kat Chunkies Beer Crisps ! 	 good thing write true . second time stay Hoxton good first . 's little thing really make Hotel stand . like free internet access lobby , water milk fridge , good quality coffee , tea toiletry room - really everything could ask . especially impressse buy chocolate , extra water , beer , crisp wine normal retail price reception ! plus staff friendly helpful - always case London hotel ! 
 Jan 11 2009 	 great value cool atmosphere Hoxton Hotel 	 Super cool vibe great pricing scheme . get stay night price ridiculously low , great experience . room stylish comfortable - kind place would expect pay 3 time much London . hotel restaurant quite good , 's free internet access nice bath product room . Hoxton cool part town although really good place stay want get around town easily . Wish have time enjoy nightlife ! 
 Jan 7 2009 	 Rave true 	 hotel definitely one well hotel stay Europe . good review point . especially appreciate free wifi internet safe room . also lounge downstairs . two huge fireplace opposite end , lively bar . definitely cool scene relax end day sleep . thank Hoxton , cool , comfortable , affordable place we weary traveler ! 
 Jan 7 2009 	 excellent choice 	 nice design touch permeate hotel , swoop eagle light foyer & quot ; flip & quot ; plug - hole bathroom sink . bed wonderful , shower decent size ( although seem hot water use 10 am Saturday morning ? ! ! ) . free internet usage reception welcome . check - in ( also check - out ) , service perhaps friendliest ever . room clean high standard day , get free bottled Pret water , fresh milk fridge . food Grille pretty good . corn - fed chicken Tarragon Wild Mushroom sauce garlic mash tasty , Grille fry - up breakfast also recommend . hotel short walk Old Street tube station , well locate bar restaurant great Eastern Street . the Hoxton great stay , comfortable bed ever sleep ! highly recommend decent price , really go wrong . 
 Jan 3 2009 	 Love love love ! ! ! 	 hotel amazing . stay friend New Year getaway impressed . Deco , room , bar staff clean contemporary atmosphere fab . spend afternoon sup cocktail , ( expensive , not London ? ) supply lovely , chatty charming waitress . however , warn , quite happy go bar serve do , would save £ 15 service charge , ( unaware would charge extra drink ) ! hotel quite trek tourist area London tube two minute walk away . however , load cool bar restaurant shoreditch next time would probably stay local . hotel also great unbiased review leaflet pick room- definitely worth look ! overall , thoroughly enjoy stay , love healthy breakfast too- leave small paper bag door handle ! yummy yoghurt , fresh orange juice banana ( great healthy hangover cure ! ! ! ! ) . can not wait next visit ! 
 Dec 31 2008 	 Excellent Value Money 	 really impress Hoxton . fantastic value - pay £ 59 , pay apallingly dreay travel lodge room could not different . the room small clean well furnish comfortable bed , ( large cushion , cotton sheet extra duvet pillow ) settee , desk flat screen tv swivel stand watch bed settee without strain neck . thermostat room could control heating suit bonus cold night . shower great - free aveda toiletry pear soap nice touch . free extras - can not hotel provide fridge , corkscrew , wine glass , mug ( tiny cup ) , proper water glass ( not use tooth mug ) fresh milk , bottled water , twining tea , hairdryer actually blow enough hot air dry hair , internet access newspaper , free charge . make refreshing change item supply standard . like healthy pret breakfast include price - fill gap till find coffee shop ; - ) staff lovely - friendly , helpful polite . try restuarant bar ; breakfast look reasonable price meal snack seem expensive . downside - enough towel - one large one small towel share two adult simply enough . room also overlook net curtain would good idea . hotel fair distance West end , would stay go show . small point hotel friendly , well equipped , value - for - money place whole heartedly recommend . 
 Dec 30 2008 	 good Kept Secret - Hoxton Hotel 	 american vacation London 1st time hesitant & quot ; deal & quot ; Hoxton appear . turn great deal great hotel overall . sum hotel one word would & quot ; trendy & quot ; . decor modern everything new - flat panel tv extra large shower head personal sprayer . if look stereotypical english hotel place . want great hotel & quot ; crowd & quot ; feel . whole area trendy great night life . hotel fantastic restaurant bar . every night bar fill young professional drink - yet quiet subdue . the fantastic value hotel extend beyond daily room rate . come free internet , phone rate 5 cent minute US 3 cent local . also come healthy breakfast yogurt , granola , banana juice . staff make young folk friendly helpful . this hotel one well keep secret Londoners . guest bar patron British . one side exchange foreign currency hotel . however ATM machine need change currency Post Office minute walk away next Old street tube station . for vacationer like family , hotel locate central London sight . however , London 's subway taxi , issue ; hotel locate London eastside . money save well worth extra minute travel . London hotel around 200 - 300 gbp ; pay average 90gbp per night . the downside hotel neighborhood . run dangerous neighborhood , look bit like neighborhood transition . couple year think nice fashionable neighborhood . even , block hotel lot nice restaurant shop . overall great hotel folk vacation . would recommend kid young teen ( see trendy club feel ) great everyone else . group range late 50 late teen great time Hoxton . 
 Dec 29 2008 	 Brilliant ! 	 Hoxton amazing ! get room £ 29 whole price would value money . two minute walk Old Street tube station , great bed duvet , flat screen tv , comp milk water fridge room , good coffee tea selection kettle , groovy shower , clean , modern deco - free breakfast not taste get bacon sandwich restaurant . will stay London . 
 Dec 23 2008 	 Funky Boutique Hotel 	 book 2 night stay directly hotel . pay £ 59 per room per night . excellent value money . hotel locate near shoreditch excellent local bar . bit journey main touist sight shopping area ( oxford st ) . room small perfectly form shower excellent . 
 Dec 11 2008 	 Fab hotel real buzz 	 Hoxton use base xmas party hold Comedy Cafe 5 min away . hotel busy street ask room Willow St quieter , room slightly small average well design comfy bed . real milk fridge , really nice bathroom ( fab shower ) aveda smellysdid not eat drink two bar typical London price , great evening Comedy Cafe wander back Hotel quite night cap wrong absolutely buzz lot local dance great time join , one party go room first floor put dancing shoe return say noise barorange juice welcome morning price £ 59 ! ! take tip book direct hotel site cheap 
 Dec 7 2008 	 Great Hotel 	 recommend hotel colleague . book advance pay front refund cancellation . 2 minuite walk Old Street Tube . the hotel atmosphere informal friendly maintain excellent service standard facility . room well equip , clean good standard star rating . free internet access throughout hotel bonus . free newspaper daily ( Guardian Mon - Sat Observer Sunday ) free water room well milk , coffee ( also decaf ) , tea herbal tea . pret manger cold breakfast supply free request daily consist banana , yoghurt orange juice . half decent 24 hour room service menu bonus . restaurant grill serve great breakfast fair price , extensive service good vegetarian fried option ( without bean ? ) . dinner menu reasonable many decent balanced vegetarian option . evening hotel lobby always atmospheric open fire fine welcome home long cold day London , although impressed drink waitress .... first evening stay ( Thursday ) group wait 20 minute 2 additional beer , eventually go get order bar waitress insist still add service charge bill . professional certainly standard service expect 4 star hotel . nevertheless press issue deal let go night ... certainly forget ... warn ! aside Hoxton Lodge Hotel great place stay business leisure great advance rate weekend traveller . improvement would recommend lady traveller , bath prefer supply lady toiletry disposal requirement room mandatory . worth note room willow street side great view also overlook office office staff work early morning also late evening , addition plain net curtain window would beneficial privacy . overall Hoxton Lodge Hotel friendly informal efficient hotel , definitely return would first choice travel alone . 
 Dec 3 2008 	 Smart Hotel 	 Time not permit write everything appreciate hotel . overall , evident management interested guest satisfaction - detail care , without frill . design room ( smart use space , cozy , clean , modern ) , light breakfast bag ( healthy , convenient ) , store luggage last day check could sight - see ( extra mile not expect ) . thoughtful care go entire design hotel , yet not feel pay extra anything . love everything . thank , Hoxton , wonderful stay . hope back soon . 
 Dec 2 2008 	 Marvellous - love everything 	 stay 1 night recommend friend . buy special web sale hotel run pay amazing price £ 30 double room ! say ? everything perfect . I stay many hotel year probably one two think single problem - completely exceed expectation . from warm arrival receptionist , Aveda product bathroom - everything seem perfect . delighted room 's decor , comfortable bed good bed linen , milk water fridge , Pret breakfast , power shower etc etc . the management hotel need applauded attention detail - seem take interest guest want upmost ensure everything perfect . this first stay much look forward return soon . 
 Nov 25 2008 	 FAB fab fab ... Amazing Hotel 	 completely blow away hotel . everything fabulous . interior amazing , witty modern . lobby hip local hangout two huge old fireplace , make great place nightcap retiring room . room , tho small american standard ( even compare NYC ) , efficiently lay , great bed / pillow / linen , really nice standup shower overhead spray . modern heat / air system super quiet . leave little breakfast bag door every morning - yogurt / granola , banana , juice coffee / tea ... healthy , quick snack get door explore London . staff helpful accommodate . cheap ( London ) price . neighborhood great . Hoxton / Shorditch area hip , up - and - come neighborhood . hotel block Underground Station ( Old Street ) . fantastic retail shop restaurant near vicinity ... kind place local shop . I recommend hotel enough . be beat path tourist , good thing . still close Soho , Piccadilly sight London , without middle tourist mob - scene international brand store like Gap every corner ( like Piccadilly Time Square ) . 
 Nov 18 2008 	 great boutique hotel 	 hide gem London , next Old Street Station . 's boutique hotel run Pret Manger . great food , good bar , really friendly staff , clean nice room lot nice touch . really like place stay business pleasure . 's amenity close 400 metre tube station . get free breakfast deliver room yoghurt , orange juice banana handy move . sometimes room sale £ 1 room ' ve never fortunate enough get one 's worth pay normal rate view . restaurant staff helpful go way tailor dish food suit dietary requirement . make beautiful exotic fruit salad menu , ask . 
 Nov 11 2008 	 good let down 	 hotel try incredibly hard something different think score deserve 10 . think funky décor , low lighting , dark wood , cetainly sterile chain hotel . bathroom good size , lovely large shower plenty counter space . Aircon plus . room also fridge though bonus nice extra – bottled water , fresh milk , bottle opener , breakfast bring room ( good though repetitive day always OJ , banana , red fruit granola yoghurt ) . give brown bag tick regard number people time want breakfast . free wifi internet access lobby , newspaper morning evening cheap phone call . I ' impress menu Grille downstairs ' eat various dining option short walk hotel . the location fine near course however ideal sightseeing etc weekend – Liverpool Street Station ( circle , central , district line ) good 10min walk away . Old Street ( northern line ) close . Brick Lane Spitalfields though within walk distance redeem slightly . issue though mention like fact find one pair dry old disposable contact lense carpet bed first check peanut return later week . hoover ? ? white bedclothe clean mark / stain . ' fit laptop safe . Saturday night could hear music bar room ( 435 ) .so would stay ? yes price company pay . believe offer good deal throughout year might worth pick one simply experience stay ' think would use base explore London . 
 Nov 10 2008 	 happy hol Hoxton 	 come back spend 3 night Hoxton hotel . ask quiet room give one ( 4th floor overlook courtyard ) room small bathroom nice modern shower . towel big fluffy . nice touch like real milk fridge free bottled water . good bit comfy bed . want buy duck pillow now . staff helpful . the Hoxton Grille restaurant lot improve match standard hotel . 
 Nov 10 2008 	 Excellent Value Money 	 not luxurious hotel ' ve stayed not try . £ 100 per night London , excellent value money feel treat Travelodge Premier Inn 's budget category . 's Berkeley 's trendy Blue Bar Mandarin Bar Mandarin - Oriental not try not charge price . bough Snickers bar reception 50p - minimum markup - nice surprise . we usually stay west end thought would change stay slightly east time go new place oppose usual Oxford Street , Covent Garden , Leicester Square haunt . also ticket go Twickenham Saturday want get train Waterloo Northern line work well . it be 5 minute Old Street station little seedy right outside Tube stop nothing scary . bit like king cross really . bar / restaurant area well condition corridor room 's say room poor nick . find reception helpful , bar buzzy room acceptable 2 night . the bed firm comfortable smooth bedsheet pleasure sleep unlike rough , overly starched hospital like one commonly use big chain . shower powerful bathroom good size . like other comment love fresh milk water fridge well Pears soap Pret breakfast . provide guide map area useful us newie locality . we eat fifteen first night little ( still far though ) think would . be plan want go drink beforehand , would advise drink hotel hotel Fifteen not decent pub / bar . second night go Hoxton Square eat one noodle bar ok . the Hoxton great location place like Borough Market spitalfield great time explore area alternative West end . thing not quite good minor point really . Hairdryer weak always bring hotel hairdryer always bite pathetic . towel room little old - bit thin rough turn slightly grey colour . room face street noise London traffic noise come territory really . mirror dressing table little high sit chair can not see lighting not good either . like say , minor quibble . ' m sure have minor quibble would stay Ritz ! book stay feel Hoxton represent excellent value money . experience good bill well . think positive experience much fact not feel rip sometimes happen upmarket place . 
 Nov 8 2008 	 nice - complaint 	 think hotel really nice . lobby bar area large cosy time . staff helpful allow we check bag room check . free wi - fi handy . stay high really good view famous london buildings.the room quite small everything need . fridge , tv , desk , comfy bed bathroom nice super power shower . free breakfast also nice touch . ( orange juice , yoghurt banana ) . would stay 
 Nov 6 2008 	 great hotel ! 	 drive husband daughter ( 11 ) stay Hoxton October Half term . easy park . staff great accommodate three room , though initially room adjoining door , quite noisy . staff happy move room we , though fully apologetic new room would small , could tell ! really clean well care . shower room bliss full size soap . easy walk distance Spittlefields/ Liverpool St main line Old St tube throw distance hotel . will stay . excellent value weekend expect cost week night . hotel excellent online booking system regular deal . 
 Oct 24 2008 	 every Good Bad ... 	 Dependent be look , may may perfect hotel . want someplace uber trendy fun stay husband ( similar Tigerlily Edinburgh ) place come kinda close - trendy / modern . bar / restaurant attach hotel always folk ( pretty hop Fri / Sat night ) , 4 computer lobby free internet access , furniture / decor modern . room pretty decent size . big enough queen bed , small couch , desk . desk great actually 4 plug ! use search room high low single plug , fantastic . Desk contain hot water heater cup glass tea / coffee . coffee pouch type ( actually pretty tasty ) dutifully replace every day . fresh milk fridge nice touch 2 water bottle also replace daily . bed great , albeit , bit soft ( believe ? ) . room keep really clean , complaint . flat screen tv nice could move / rotate face bed . bathroom also clean large enough 2 people keep toiletry sink . complaint bathroom amenity include bar soap ( smell great recommend take home - 's full size bar ) , small shampoo small shower gel . lotion conditioner . hand , product Aveda , give get . warning will want bring product . complaint overall room . move staff , however . overall , would give staff & quot ; E & quot ; effort try hard & quot ; F & quot ; actual knowledge . first night , ask near bus stop give blank stare . next day ask get frieze art show look oddly . stack newspaper counter , large banner , & quot ; FRIEZE ART SHOW & quot ; date . , pointed say want go could tell we park . , could not . also ask could tell we get movie theater locate & quot ; mall & quot ; ask , & quot ; mall ? & quot ; become apparent quite quickly reason 4 computer internet access .... finally , location . good 7 + minute walk tube , , exactly right around corner . area bit sketchy compare rest London . bar , , definitely young ( read : late teen mid-20s ) crowd . really lot restaurant . however , walk leave hotel , never explore right . find catch bus ( find stop ) actually good way go get around . hotel not bad , great first time visitor . would probably recommend someplace Kensington area first . 
 Oct 17 2008 	 Excellent vaue money 	 sad true : accommodation within inner City London either hardly affordable substandard . , however , third choice since Hoxton open gate 2006 . within Borough Hackney , adjacent City London , newly build Hoxton offer quality & amp ; comfort * * * * design hotel rate , low B & amp ; b . booking place approximately 4 month advance rate tend rise average business hotel level booking place little time advance ( similar airfare pricing ) . book easy via website Hoxton hotel - actually think way . credit card balance instantly refund case later cancellation . mind , good idea book early travel plan decide & amp ; scheduling final . the stylish room huge reasonably space ( bathroom feature shower cabin ) . flat screen tv & amp ; water boiler tea coffee provide , well fridge safe valueable .full continental breakfast include upon request paper bag free morning snack cle door handle . Hoxton lack fitness room , free access nearby fitness center grant hotel guest . there also conference room medium support rent . within Borough Hackney Hoxton locate tip City London , roughly Shoreditch & amp ; Hoxton meet . area use pretty run , start attract young & amp ; creative folk search affordable housing , make center London art scene . area appear gain permanently . Brick Lane & amp ; Spitalfields Market within walking distance . Old Street , close Underground station , 5 minute walk away , even Liverpool Street within walking distance , come handy fly via stansted light baggage . especially weekend evening beautifully design lobby well coctail bar hotel restaurant become real busy many nightbird outside hotel flock . 
 Oct 14 2008 	 great hotel great location nothing bad say . 	 stay 2 night Hoxton Friday Saturday . soon enter modern , artistic reception / bar area greet warm Hoxton friendliness . staff welcome decor contemporary . ask room high floor order get away noise bar , yes noisy DJ finish . room spot . everything need hotel . comfy bed pillow . fab rain shower ! even detail carton milk fridge 2 bottle water , plus coffee tea . the free breakfast bag nice touch price breakfast bad London ( £ 8 full fry ) .would recommend without doubt . price low well worth extra cost travelodge / premier inn . 
 Oct 10 2008 	 everything want hotel 	 everything want hotel . great room , everything work well , free wire wireless net access via laptop , use flatscreen tv . overlook office little college , outdoor partying progress excessively noisy . small supermarket opposite hotel . nicely style room , comfortable . large open reception bar area , though not use . would make good rendezvous point . probably good hotel going club . doubt would raise eyebrow matter outrageous look . cool easygoing staff . breakfast pret manger leave hang door handle overnight . huge meal , certainly taste . I would recommend anyone like & quot ; young & quot ; hotel . website booking would not work , phone get price low lastminute - pay 85 quid lovely spacious double . I regard place number 1 choice . 
 Oct 10 2008 	 be true ! 	 ok , lot enthusiastic review , design hotel middle trendy young London area ( Shoreditch ) underground nice market minute away , fair price : problem ? problem : everything true . Hoxton nice hotel whith nice price : stylish room big bath room , free Internet ( wifi cable ) everywhere , light breakfast Pret - a - manger include . I will come sure next time London . 
 Oct 8 2008 	 Cool 	 great hotel , stilish , hip , super clean middle cool neighborhood . underground station minute walk , hotel modern essential personal style . room comfortable well equip , good size bed bathroom ( great shower ) , excellent bath stuff ( great soap foam ) .In evening expect crowd lounge , nice people . do not miss walk Hoxton , Shoreditch , Brick Lane spitafield market Sundays , walk there . I absolutely come . 
 Oct 7 2008 	 hip cheap chip ! 	 hotel choice work London - close work shoreditch handy Old St LIverpool St station friendly , relaxed stylish vibe it . it be like focus group everything 's essential / superfluous usual hotel room add home comfort - big tick free wifi , comfy beds white linen , mug tea REAL MILK ( last see £ 79 hotel room ? ) , Pear 's soap luxury like Aveda shampoo ( instead useless body lotion travel kit ) ' rain ' /japanese shower option . breakfast brown bag Pret outside door - OJ , fruit / yoghurt / granola cup banana quibble room service quite limited stop 11pm . it be win cheap chic formula - can not wait see roll around UK . great deal promotion via website . 
 Oct 6 2008 	 perfect place girl 's night base ! 	 recently group book 8 room hen weekend . stay Hoxton central we get central wanted go . great ! little pricey Grille good food . decor great . trendy . staff incredibly helpful friendly polite . hen party appreciate late bar quite noisy . would different story would half and/or kid . room really nice . shower could done little powerful . small trickle not hangover favour ! would heartily recommend . 
 Oct 6 2008 	 Believe hype .. 	 must easy get carry away award newspaper name check , Hoxton rare creature - hotel deliver promise . not get wrong , Hoxton Bonham , Westbury - everything need hotel . comfortably cool decor , friendly ( yes - read right ! ) staff small perfectly form room , Hoxton effortless . room huge - fact size decent travelodge room - comfortable bed , simple effective decor excellent bathroom ( great shower ) make . add free high speed wifi throughout , free morning Guardian simple tasty restaurant win formula . within 15 minute walk City ( 55 bus route Oxford St ) . early book , cheap . go prove affordable hospitable London indeed possible . 
 Oct 5 2008 	 love 	 place excellent . stay 3 night whilst training course work . bar restaurant within hotel add great atmosphere hotel lobby / reception area . absolutely spotless room , comfortable bed really nice bathroom ( ' m fussy must good ) . free WiFi everybody reception small shop buy chill beer , wine , champagne shop price hotel price . the breakfast include price room small leave outside room time request ( pret manger breakfast - yoghurt , banana fresh orange juice . ) choose cook breakfast grille restaurant downstair extra cost . coffee room really nice provide mini bottle fresh milk water also complementary . I would definitely recommend place would stay visit London . partner well truly feed going get home think must kind commission . really good place choose min walk Old St tube . 
