disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Jul 16 2009 	 Excellent 	 bookek hotel get great deal Superbreak , read review think make huge mistake , turn worried nothing , room much big Hilton , hair dryer , iron board iron room , complaint shower bathroom well design , location fab person say nightmare get taxi outside hotel , miss taxi rank right outside front door , breakfast good four star london hotel , much choice person need . while mother fall & amp ; break arm , staff hotel could not helpfull even let stay room untill time go train . would defo stay . 
 Jul 16 2009 	 great place family 	 get back find hotel big disappointment . in fairness , be probably gear business traveler . vacation 2 kid , age 14 & amp ; 11.my check take solid 20 minute . must guy first day need ask woman next question every second . check 3 people work . room extremely small small bathroom . sparse key word here . great business trip need place crash night . great live 3 day . the place look institution sort ( like hospital dormitory ) convert hotel . each room small refrigerator 2 bottle water . never replace first day . small stuff , know start add up . I also proposition 2 night row hooker stand right front hotel . not mean near hotel ..... mean 3 foot entrance . I ask borrow ipod charger inform one steal . thought might go get another one since pretty sure , not one would need it . they never .again , little thing add up . the one positive stay Concierge Desk . extremely helpful matter time day go . great crew . in summary , probably well place gear family vacation . 
 Jul 14 2009 	 ok value noisy . 	 stay Cumberland work 2 night get almost sleep ... mainly thank noisy air - conditioning . the hotel ok great location opposite Marble Arch , would stay elsewhere future . in particular , breakfast queue ridiculous ... want quick bite eat start work , wait 20 min seat . 
 Jul 14 2009 	 okay much well hotel near little cash 	 work one night . pleasant enough clean . bar fine . not eat . lobby strange feel . central . think really , although room obviously refurbish recently , quality furnishing , opinion , four star . okay reasonable value money forthe location much well hotel close , may cost little worth extra . 
 Jul 12 2009 	 strictly 4 * pleasant enough 	 book lastminute , pay less half normal price . stay one night stay annex nice , pleasant stay . would not say 4 * compare hotel ' ve stay , mainly due fact ' ve pass grand entrance , room little tatty . rust around metal fixture bathroom , seal peel away shower door , cigarette burn furniture ( non - smoking room ) rip corner duvet cover . apart small fault , room well lay bed comfortable clean linen . read check - in problem previous review little apprehensive , arrive ( 10:30 ) small queue plenty staff desk wait less 10 minute . check even quick queue . normal check time midday good . 50 yard Marble Arch tube station handy . if pay full price would ' ve complain minor fault , £ 85 2 we think not bad value money . 
 Jul 11 2009 	 Adequate overprice 	 stay 5 night hotel , like madhouse . lobby full lowly - light modern art horribly load crowd . hard see hear . room actually fairly spacious Europe , kinda boring -- beige & amp ; white . colored curtain , painting , etc . good thing hotel breakfast buffet -- fantastic . much variety . hotel perfectly locate well , right Hyde Park Oxford Street . 
 Jul 8 2009 	 convenient stylish surface little back 	 stay Cumberland 5 friend , 3 room , book pay advance travel agent . check - in time 2 pm , 3 pm still 2 room say not 3rd twin room we . much negotiating , double room provide - ask . stay , ask room far away lift , go ding - de night - door lift area would not close , 2 3 room suffer sleepless night . breakfast tasty , like school canteen - perhaps inevitable hotel size . hotel convenient , look good , would search hard find deal elsewhere stay . 
 Jul 7 2009 	 Adequate amazing though 	 stay 2 night weekend 3 - 5 July : concert Hyde Park ( great location be across road ) , shop ( great location 's situated end Oxford Street ) concert Wembley . overall fine , get reasonable deal £ 238 2 adult 2 night include breakfast . aware someone check - in people pay £ 160 + one night without breakfast . reception resemble nightclub , gloomy uninviting honest , queue check - in long ( wait 30 min ) seem staff go back room result code key card sight . room stylish although typical London size , wardrobe space small ( 2 night problem ) room usual equipment even trouser press . giant flat - screen tv not work ( not bother report want check wimbledon score ) right outside window noisy air conditioning unit . bathroom door frosted glass screen door not block noise bedroom bathroom . 2 teabag use first night replace next day . can not say ' m fan green tea ! breakfast adequate nothing special .... ' m fan fry - up ; warm toast , croissant , pain chocolat , empty basket appear one point cereal ( 50 min breakfast finish saturday pretty rubbish service ) . plus side good offer tea & amp ; coffee even refill cup later . check - out lot quick check - in happy store bag day . would stay ? probably - unless super - fantastic deal ! tip : need get Victoria , much easy cross road walk minute Hyde Park Lane get bus rather lug bag around tube . 
 Jul 6 2009 	 Great Location gloss substance . 	 Hotel Cumberland ideally locate shop Oxford St sight , dine etc around Mayfair Knightsbridge . Marble Arch tube foot away Edgeware Rd ` many restaraunt street away . say hotel try something be not smart modern contemporary . ` do well slicker . instance room small poorly light natural light give we upgrade ` park view ` room definately unless use prism view park . bathroom smart however great large double shower complimentary toiletry good product . room one set towel remedied call reception . modern minimalist feel little poorly do wonky Ikea bargain bin light fitting badly fit poor picture quality tv . large lcd tv great clean line defeat fit badly ugly array wire view . picky blurb hotel make claim hotel style kudo hope live . room reasonably price give location buffet breakfast okay . ever ` deceive super cool reception space waste largely chair wait . queue people book check always long although staff good ` busy hotel prepare rate custom definately affect room service request . 
 Jul 6 2009 	 welcome truly hideous value money . 	 well aware try find value Central London easy task . also aware going stay hotel amazing location , go pay privilege . however ....... check truly disgrace . indifferent staff blithely work snail 's pace , well aware queue reach Wimbledon proportion . force cheeriness staff seem somewhat inappropriate sweat half body weight wait dim prospect reach desk . room functional good . except air conditioning function . must admit enjoy shower , sleep well nigh impossible thank sear heat . like foyer . odd sort wow factor . inside main part hotel feel tired , chip wood , ragged carpeting , clean staff argue incomprehensible language . good really . money pay , apalling . 
 Jul 6 2009 	 minimal service extra price 	 hotel 5 day conference . first contact say obviously huge : around 1000 room ! problem people work numerous ( even polite ) : result - 30 minute wait check in - mini bar never refill ( actually contain 2 bottle water ) -I could never get clothe send laundry service ( bag full clothe remain bed 2 day ) room rate quite high ( around 250 € per night ) expect service much well this . as usual London room small hear noise come street . to make short could nice hotel small or / and team big . good point breakfast ( expensive nice ) , situation ( close marbble arch ) , wireless internet quite ok . 
 Jul 5 2009 	 fine get cheap enough 	 Hotel clean room modern pleasant little small . really 4 * experience bedroom perhaps keep well room people pay did- internet discount site . excellent location . people say , reception area clinical , large unwelcoming . go bar- natural light , air condition terribly expensive . go around corner first night another major hotel -- much welcome chaper bar . gym small- run Hyde park ! however , single traveller -- ok reasonable price 
 Jun 30 2009 	 great location comfy room style little substance 	 ' go positive first : great location - near tube , near Oxford st , near Hyde park – near , mean next . room ( delux double ) decent size , clean big tv nice comfy bed . term negative , ' one big thing nothing outrageously bad , lot little thing end add mixed experience . my big issue indifferent , border - line rude staff ( bar one man reception organise late checkout we ) . ' grate much ' go way website hotel welcome pack sing praise wonderful staff make feel … lobby cold , dark unwelcoming , full bizarre modern art seem proud . ' mood modern art go Tate ( ) , ' need face hotel . line least 15 min reception absolutely request , queue constant . bathroom look good highly unpractical : door make glass ' close properly , way turn shower blast cold water first way adjust pressure . get good deal lasminute.com overall ok would probably stay ( price ) . pay full price , would quite unimpressed . 
 Jun 28 2009 	 location good thing ! 	 stay 2 night June 2009 good thing report hotel location . first room allocate 1st floor , nightclub locate within hotel . room extremely small , could walk round side bed could hear music club . complain tell already upgrade room view .... know classify air conditioning unit view ! ! say would call we back luckily wait around half hour later decide pay visit reception ! second room give well size noise air conditioning work remote television therefore could turn , mention half empty shampoo bottle ' clean towel ' dirty line . time 1 am feel getting anywhere settle stuffy room night tell could change room morning . therefore , way breakfast report problem reception ask could either fix air con move room air con - tell would get somebody onto . return breakfast confirm matter hand ( learnt night tend thing first time require chase ) . reception assure we deal imagine annoyance return enjoyable day tell record problem . point , ask speak duty manager refuse see we . therefore , staff reception keep go back forth us duty manager back room try resolve problem ! eventually get ' upgrade ' break air conditioning . due length short stay 7 pm final night feel worth another complaint / feel get anywhere therefore , settle fan bring room . arrive irrate customer reception initial reaction need behaviour . however , within 2 hour hotel could understand people could pushed behaviour . breakfast distinctly average , extent utilise B & amp ; b rate second morning opt get breakfast local coffee shop . service awful duty manager sit backroom let staff take flack sum hotel . .... awful experience would wish anyone . 
 Jun 26 2009 	 5/5 Location appearance . 	 read mixed review site arrive prepared . hotel right Marble Arch tube easy get luggage great . arrival inpresse lobby area . check - in queue long still take long time check ( although man reception friendly ) . get room find key card activate ! back reception go . time queue much large fair recepion staff appear deal everyone . room clean good size compare London hotel stay . keen bedding . first think bed make white covering look like protector cover ! bathroom look beautiful function well . shower door shut completely shower bathroom flood . also spike sink ( forementione review ) make washing face difficult ! mirror far behind sink get close enough put contact lense shave . on third day arrive back room find keycards work push door open leave open cleaning staff ! go queue reception ! use breakfast room , instead opt Pret next door . drink snack one bar one evening . pretty pricey worth food great . we would definately stay location great . 
 Jun 25 2009 	 Slowest check check ever . 	 wait 30 minute check , tell ' understand hotel busy due Wimbledon ' . point 3 7 computer station reception man , bring staff Wimbledon , meet stony silence . go many review , Wimbledon reference simply excuse . I will not go back . 
 Jun 25 2009 	 decent location poor service 	 expect friendly service female front desk . stay twice two month occasion , female deal unwelcome , border rude . male little courteous . particular , Tony nice . the room small , clean bad value London consider price . give standard room first stay deluxe room second . significant difference two . deluxe room slightly large size really worth extra cost . room size bed , terrible flat pillow similar view dirty brick wall . positive side , breakfast room plenty variety . however , not want pay steep hotel breakfast price , walk next door Pret - a - Manger grab coffee pastry 4 pound . think really good thing hotel location want go shop Oxford St 's proximity tube less minute walk away . 
 Jun 24 2009 	 Lobby look great redecorate finished 	 horror story check get room walk leave bottle food wrapper hall way highlight tired look carpet wall . room resemble photo 's . barely foot wall end bed . room remodelle could see finish touch do , like bubble rusty paint job around shower . Reminded Ramada 's go hill . also shower door would close way cause we lay towel floor . also room locate near internal corridor move around trolley towel , would guess noise make . make rest place look like lobby think fine . concierge brill ! good place sleep . 
 Jun 22 2009 	 bad make ! 	 stay Cumberland 20th June 1 night . came check already call hotel express concern possibility wait long time check ( comment say wait hour ) put name early check . arrive 1 pm , friendly receptionist come take detail room within 5 min ! fuss ! room 7th floor , view amazing okay . clean , bed comfy bathroom immaculate , towel super fluffy well . unfortunately shower door ' close shower powerful make bit mess problem . tv work perfectly nicely mount wall . lot room hang clothe ... probably good 2/3night come space . go theatre , go reception porter hail we taxi 1 second ! ! iron room good well ! upon return hotel , find empty McDonalds bag outside door , problem . quiet seem go perfectly ! reception smell really nice ! ! quiet strange ! oh warn ... BAR EXPENSIVE ! ! £ 5 shot Gin £ 4.50 tonic water ! quiet little pub round corner call Quebec suitable price ( £ 6.10 Becks Gin tonic ! ) check , swift convenient , Concige keep bag 6 hour check out . overall great choice ! ' put people say , worried checking give call , super helpful ! 
 Jun 19 2009 	 look .... 	 stay 1 night last weekend - arrive check approx 3 pm ( hour later check time state hotel ! ) reception / foyer large & amp ; modern , feel like art gallery hotel . however - queue check long , seem take forever . finally get desk , tell room would available another 15 min , wait seat area ( people 's room not seem ready either ) would come & amp ; find ready . except not actually bother .... 30 min patience wear thin , go front queue see issue . 20 min faffe computer later , finally room key , make way maze corridor room . small single room , quirky lie fine one night stay . bed comfy , flat screen tv etc . room warm stuffy though ( 26c London ) air con far noisy overnight unfortunately ... eat Room Service menu evening - quick & amp ; tasty . breakfast next morning - seem lot choice , huge serve area pretty busy , even early Sunday morning , imagine queue would issue peak time . good choice food though , decent enough , apart soggy toast ! ! check fine - avoid large Q reception desk time , ask lady Guest Services counter help hurry , duly ! ! can not beat location hotel , central , esp London shopping ! easy get around , tube station round corner plenty bus & amp ; taxis . shame organisation / customer service Reception lacking .... 
 Jun 16 2009 	 good hotel ruin bad organisation 	 disappoint London 's fanmous Cumberland Hotel . arrive huge foyer think seem like airport departure lounge run Damien Hirst soon find why . the labyrinthine hotel computer system mean check take 10 - 20 minute per guest lead various forlorn cluster bore angry look folk luggage dot hither thon . we discover hotel not provide we cot ( although say would rang evening ) locate one would mean could not allocate room hour . ( ? ? ? ! ) [ add evening would rung hotel staff could not even find booking take many minute 0871- phone line , deal various stroppy stress sound counter staff , inform everything fine . ] anyway queue check match chaos concierge desk ( even bad checking ! ) various hopeless delay . the room small clean functional , have pay full price would ' ve disappoint lack usual litytle luxury , like bath robe bottled water . paucity towel ancient CRT TV let down too . the hotel good point , besides location , really need sort admin , train staff properly streamline procedure would ever dream return . 
 Jun 11 2009 	 Perfect Location ! 	 stay choose hotel location ! Bang Oxford Street , Marble Arch tube station block ! modern room bathroom . electricity cut Sunday wish could inform guest book advance ! apart , great stay , nice helpful staff concierge well . must try Portes Des Indes , Indian Restaurant right round corner . lot thing around , walk distance take bus Oxford Circus , Leicester Square , Covent Gardens easily accessible . 
 Jun 6 2009 	 style substance : poor value money 	 stay two night June 2009 attend seminar hotel . location good top Oxford St / Marble Arch foyer incredible : vast open perfumed space artwork / sculpture . look like modern art gallery good first impression . book online request non - smoking quiet end - of - corridor room . ask smoke non - smoking room reception , may confirmation rather read booking form discover room beside lift loudly hear BING every lift arrive . first room ( 5106 ) singleroom well - appoint small expect need refurbish shabby place . Shower design ridiculous : turn show front ( range ) , idea temperature water would soak . bathroom flood shower door close . tv quality poor , WiFi reception ( though advertise ) , internet lead work . tell somebody would fix internet lead immediately , not happen . complain needed internet connection not happy room beside lift immediately ' upgrade ' double room executive suit adjacent connected building . sound good . second room ( 508 ) double double room appear even small previous single , teh end corridor bathroom look bit big , though stupid shower . wifi reception good - though re - log least hour- tv quality still mediocre . come away feel like get value money . 
 Jun 3 2009 	 perfect location 	 find hotel excellent location Oxford street , hyde park , tube access ... income hall quite impressive homogenity modern aspect hotel . 's reason would choose Cumberland not . saterday queus reception , sunday queus breakfast confirm standard average quality hotel . 
 may 25 2009 	 slow service fit expensive hotel 	 partner stay May weekend . arrive check - in queue 40 people , question receptionist tell we normal Saturday , quite nonchalant . next morning , queue breakfast enormous air general chaos restaurant , messy table no - one seemingly clear up . on plus side , room nice though small standard . location good impress overall exactly cheap . 
 may 21 2009 	 Gorgeous hotel 	 stay boyfriend another couple March 2009.we drive London park near NCP car park £ 30 two day , be 2 min walk away . hotel not 's parking . it brilliant location , be top Oxford street , end Selfridges Primark , take approx 2 min walk , GREAT location shopper like ! ! ! first impression hotel 's modern fashionable . random statue inside , will see mean ... strange art : ) Gary Rodes 's restaurant also hotel drink bar . the check process quite slow 's busy hotel receptionist pleasent enough . room modern relevant facility . bathroom Elemis product love anyway nice touch . can not comment food not eat hotel much fit two day opt eat out . all 's lovely hotel great location . would say stay ' gorgeous . enjoy : ) 
 May 19 2009 	 modern functional 	 go london first time find great deal cumberland . first glance , one would think hotel lobby modern art museum . room clean look like ikea showroom . aesthetically speak , bathroom nice new update , layout weird functional . shower door not close way floor always wet . hotel staff , exception front desk , friendly helpful . hotel right marble arch station get place place really easy efficient . hyde park 5 minute walk hotel . plenty shopping sight - seeing do near hotel . lastly , decide bring laptop , know pay wi - fi room cumberland charge use computer business center . overall , nice hotel , even nice location . 
 May 18 2009 	 absolutely Outstanding Hotel - Loved ! 	 book suprise weekend sister , extremely impressed hotel . reception fantastic smell perfume , without overpower . check - in / out quick , offer room view . conciege extremely helpful look bag time room available also check - out . the bed perfectly soft triple shower impressive . hotel quiet get good night rest , also locate next tube - station easy movement throughout city . 
 May 18 2009 	 location perfect london 	 good location london , oxford street,1 min walk marble arch tube station . room rate booking.com , eat hotel can not comment room perfect clean , want hotel good location , clean room helpful staff , find here . I would recommend hotel friend would definitely stay . 
 May 18 2009 	 Triumph form function 	 stay hotel one night avoid need drive home business function . select particular hotel mainly location ( good ) . reception area rather anonymous ( something like railway station concourse ) service reception desk efficient . however , previously book non - smoking room , surprised question check - in . room 4th floor relatively straightforward find . first problem encounter open door hit strong smell stale cigarette smoke . Cumberland 's idea constitute ' non - smoking ' room appear one not supply ashtray . clear evidence cigarette burn furniture fixture look though room use extensively smoker period time . absence ashtrays , sign indicate smoking permit . run late , short debate , reluctantly decide stay room one night . launch prepare night . first glance , bathroom sleek ' modern ' ; however title review imply much case ' form function ' feature , frankly , fit purpose . wash basin one shallow glass bowl type position 2 3 foot front mirror , make shaving apply make - up problematic say least , particularly anything perfect distance vision . problem hand basin ' plug ' arrangement protrude vertically centre bowl run risk poke eye low face close water . finally , experience , impossible use basin without slosh water everywhere – chambermaid must really ' love ' mop bathroom . next shower : face good spacious shower cubicle quality fitting . unfortunately , pass functionality test . firstly , cubicle , door would remain shut keep foot avoid water spray outside . secondly , shower valve sprayhead arrange impossible avoid getting spray initial freeze cold flow water warm water come . finally , although soap dish , drain hole soap leave dissolve slime . wife could use bathroom mirror make - up purpose , resort use full - length mirror room . would ok except fact lighting room dim become something ordeal . as final point , air - conditioning noisy keep go overnight , unfortunately , sash window paint shut could open alternative ventilation . exacerbate problem stale smoke smell refer above . in summary well - locate relatively expensive hotel . attempt give quite ordinary room ' wow ' factor , owner employ interior designer ' get slight clue ordinary people use hotel room facility . put frustration , good location hotel may compensate . 
 May 13 2009 	 faulty safe 	 stay hotel november 2008 christmas shopping trip hotel oxford street busy hard walk footpath breakfast good although safe would not open 2nd morning go shopping rest party go ahead stay room wait safe open security hotel could open send someone else room 2 hour get safe opened husband comlpaine duty manager give we complimentery meal restaurant night wine include would stay thio hotel guarantee work safe 
 May 12 2009 	 avoid hotel . always get wrong service poor 	 stay hotel several time due location always ask room face interior quiet . always get wrong find would go room ! ! service personal . several time tv safe working take forever come fix . room small get room king size bed cost much more . I even pay 15 pound per day internet 
 May 10 2009 	 design look use people 	 stay Cumberland two night break . designer hotel designer people use facility room . booked deluxe room - nothing deluxe ! curtain like two rag . Hairdryer place hardly light . bathroom designer joke ! Shower drain easily / extractor work . could use mirror far away designer sink tap leak back constantly mop water . nowhere hang towel close shower . maid service room take away dirty towel leave one - two we . however breakfast excellent - anything everything want . understand one third table tablecloth . rest look like dining room holiday camp - formica top 
 May 9 2009 	 Funniest Hotel ever stay ... 	 hotel oddest place ever . weird statue lobby . hallway smell like curry . teenager find porn room . horrible neighbor . loud noise . bad smell ( notice mention twice ) . would never stay . absolutely weird , whole experience , sum . 
 May 5 2009 	 Good Standard Hotel 	 stay 1 night find hotel good , standard hotel great location . location great , room fine ( standard amenity ) , clean , quite small ( think 's quite standard London ) . dissapointe we breakfast , although lot selection taste great . first bite , almost stop eat whole meal . time , not reserve breakfast hotel , interesting place eat around there . this hotel suitable short business trip tourist need huge , standard hotel . 
 May 4 2009 	 Awesome Location ! ! 	 travel agent suggest hotel . peak summer month july hotel abt 200 pound nite travel agent get one 140 pound good value money month july . good part abt hotel location . one side oxford st edware road eatery . room good sized spaciuos london standard . hard time staff since A / c be not workin completely book could not give we another room . really push becasue change room 2 day ! ! wer stayin 4 night , though compensate something really put . everyhte else absolutely fine ! 
 May 3 2009 	 Loved Lobby 	 stay hotel two week . lobby certainly impressive aspect hotel apart excellent location connect tube bus almost 24/7.the memorable feature breakfast buffet substanbtial variety obviously popular . the flat screen tv 's room necessary alongwith fold build - in ironboard due small size room uncommon area . and lounge - seat entrance lobby welcome meet relaxation point . the cost overall reasonable . 
 Apr 30 2009 	 lovely 	 lovely hotel , excellent location . impressive walk , huge reception area full sculpture artwork . friendly check staff upgrade we . would definately recommend hotel . 
 Apr 30 2009 	 splendid Art Gallery style reception area friendly welcome not paint whole picture . 	 impressive introduction hotel via magnificent vestibule well staff reception desk experience go downhill . arrive continent prebooked reservation register 15.55 hrs tell room secure we would available 1 1 1/2 hour housekeeping finish . leave bag Concierge desk return 18.10 collect key . receptionist tell we allocate Executive Block . think upgrade ! receptionist offer bag send room accept . the Executive Block turn outside main hotel , approximately 100 yard walk across side street . fortunately not rain . inside Executive Block decoration reception area austere compare main hotel . nevertheless obviously newly refubishe nowhere near quality main building reception area . our room fifth floor . newly refurbish , clean , king size bed , safe small fridge . however design far ideal result bottom corner one end bed 8 inch wall ( always danger bash shin accessing side bed ) space increase 16 inch head bed . air conditioning unit , also 18 inch bedhead close noisy leave night . room spacious fixture fitting badly place make awkward relax . true bathroom . thirty minute reach room bag arrive . phone requisite number , designate & quot ; call centre & quot ; room information book . discourteous brusque telephonist answer question fault , say would send . wait twenty minute return main hotel collect . member staff concierge desk tell know nothing bag transfer . offer carry bag conclude bag delivery service actually available Executive Block also decide downgrade upgrade accommodation , seemingly budget luxury ! reinforce second day , 17.45 without knock , lady open door enter room . leave without apology say come check housekeeping ! tv room modern reception freeview channel poor extreme . Teletext / Ceefax accessible due weak signal . no doubt intentional stated room literature large number digital quality sound vision channel also available cost . similar Holiday Inn Express ( wonder ? ) breakfast available next door main hotel , surprisingly seem numerous coach tour block booking stay , cost £ 21.95 full english £ 17.95 continental . when check receptionist Executive Block ask satisfactory stay . response negative prompt enquiry , merely wish enjoy rest day . perhaps fact hotel room lack form & quot ; happy sheet & quot ; pencil deliberate . uniquely Guomam hotel motto . thank goodness unique think , way easy avoid next time . 
 Apr 29 2009 	 convenient modern 	 Cumberland Hotel good hotel , could imrove thing . first problem two room book stay staff hotel confuse . understand staying room block we . kind annoying get plane want go sleep . remind bed comfortable room resonable big . second minor problem cold water tap work properly . get warm water cold seem work . happen numerous stay hotel doubt problem sort . also like privacy maybe stay hotel becuase bathroom frost glass door . see review tell like privacy maybe stay hotel put towel door . room door face right bedroom . overall hotel good right center action . could easlily walk piccidily Circus , Trafalagar Square , even Buckingham Palace . shop everywere resaurant . restaurant include KFC , Pret Manger , McDonnels , Pizza Hut , Wasabi . resonably price . nice resaurant expensive Rhodes W1 hotel . also numerous nice restaurant department store Selfridges road . Underground Station right next door convenient . time arrival would go Underground . take 40 minute spend lot less compare Heathrow Express Paddington Station . Underground 7 US dollar Heathrow Express 25 US dollar . also advise get taxi quite long distance would easily spend half money . breakfast great get include fantastic expensive . would go Pret Manger right ouside hotel corner . television 30 channel 15 English Arabic , german , french , italian ... etc . concierge excellent get right person . one person french good job . another want sell ticket say find infomation . french man know everything find everything . know name beard . overeal privacy issue do not mind ultra modern decoration hotel perfect . also Hyde Park right across street horse back ride , paddle little boat , many little thing . 
 Apr 29 2009 	 awful 	 place try tp something simply be not . cool / hip hotel . badly design , poorly lay hotel decorate bad taste . our double room tiny mean really tiny . bed push wall could walk ( well 3 step ) one side . paint like children nursery roast hot . air con useless . the reason request change spend time , time room bad enough . under wannabe sheen place see fade yellow door , grotty carpet many guest prob windering - here . on plus side location good staff helpful way make hideus sub standard hotel . avoid cost . 
 Apr 27 2009 	 good first impression 	 arrive 21st April stay 4 night . first hotel room aweful . like prison cell . ask change . second room much well guest relation say nothing else give we next day ( suppose 1000 room hotel ) one problem smoker limited room available floor . next day give well room , bottle wine house tell pay 50 % first night rate . room finally give ( see 4 room total ) exactly like see website- happy . room terrible- especially stay 4 night , would not do . all go well final night , fire alarm go 2:30 morning . 8th floor , one tell we do- whether real thing drill . one answer phone downstairs lift action . finally make downstair ( via stair ) tell drunk person set . people available keep we informed happen . feel like marooned 8th floor .. be not good last impression either ! apart final room get expect website- location brilliant . right beside Oxford St . 
 Apr 27 2009 	 edge hustle 	 travel two son go watch soccer match . two boy London first time give London , spend little time room . although room appear little old overused suffice short 4 night stay . early morning grab quick breakfast hotel . variety freshness excellent commendable . return late evening room . hotel well locate MarbleArch busy shopping area . service provide concierge reception check check out quick friendly time . hotel almost 1000 room staff realise guest need quickly deal . upset incident one son inadvertantly leave & quot ; DISTURB & quot ; sign dooor leave morning . upon return 8:30pm , bit annoyed effort make establish circumstance . bit care clean staff flor supervisor ensure room service . evening would grab takeawy sandwhich delis round corner . , ge Londo leisure would return . 
 Apr 26 2009 	 place sleep stay 	 slightly unwelcome reception , disguise hip , room small anonymous corridor , bar price , pleasant enough , though never feel relaxed , hotel try hard not deliver enough warmth . 
 Apr 21 2009 	 great location good value 	 location great , Marble Arch tube station right around corner , many bus stop close well . plenty shopping food option ! room nice , bit small side , judge review elsewhere , seem standard fare London . staff nice , hotel overall nice clean . gripe WiFi free , could go McDonalds Tyburn nearby ( literally 1 minute away ) free WiFi . be also bit pain go & amp ; Heathrow , MUCH well situation JFK New York . 
 Apr 18 2009 	 overlook Marble Arch 	 clean , simple room .. good breakfast .. easy get cab ... enjoy view Marble Arch ... 
 Apr 17 2009 	 good central London hotel 	 Cumberland locate Marble Arch , tube station around corner could not well location wise . room nicely design , however design come functionality bathroom - shower door not fully close , sink awkwardly locate . service excellent . 
 Apr 17 2009 	 Love new modern room lcd 	 love new modern room lcd . great service excellent location marble arch 
 Apr 16 2009 	 Great Location great price . 	 decide short trip London , 2 night catch show shopping , book via Lastminute.com & quot ; top secret & quot ; hotel , £ 90 night get absolute bargin happy outcome . hotel central great oxford st take walk Buck . house , near marble arch station . lobby modern sophisticated , would rather have give space room , quite small although well design clean . would go price location . 
 Apr 15 2009 	 FAbulous Location 	 visit Cumberland March come away feel great , much husband return colleague within month . room offer good , one careful booking , room good enough single person , one will not shop even water.i love location , BANG Oxford St route lead London . breakfast , manage get weekend discount pass , nice otherwise find overpriced bit rip off . que check check long , service well . very busy helpful conceirge ! would love go back , one want luxurious room ( lonodn ? ? ? ) Cumberland place . 
 Apr 15 2009 	 Disappointing 	 book dine Rhodes W1 decide stay hotel husband 's 40th birthday . take £ 125 Easter package include bottle wine breakfast ask pay additional £ 20.00 king size bed instead double . reception look impressive hope great thing room . queue check - in take 20 minute , staff pleasant desk . room 7th floor . open door really surprise small meet terrible ' drain ' smell . view awful . phone front desk immediately say would move we limited choice . ask much upgrade suite say £ 150.00 . say would not pay much feel choice move agree drop additional fee £ 100 . junior suite much well , big room bathroom great walk wardrobe . allow use Guoman Club Lounge , normally part ' suite package ' get knock price suite . think little order consider leave little choice move . flat screen tv great . mini bar empty except 2 small bottle water . need order want room service menu . Elemis product standard shower gel shampoo . nice touch wardrobe umbrella proper wooden hanger . good selection magazine available room ' turn ' service chocolate night . hotel bar expensive would expect central London hotel . 12.5 % service charge add bill staff walk less 5 metre table . breakfast good . share table fellow guest little bit ' Ikea ' feel decor . good choice everything seem fresh . staff quick helpful . checking take half hour queue . decide leave bag leave luggage great come collect . wait forever . the location hotel fantastic . Hyde Park road stroll selfridge take we 5 minute . 
 Apr 13 2009 	 Nice Lobby 	 Lobby futuristic . hotel locate top Oxford St. I go really nice indian restaurant Berkeley Square - Benares . charge point Electric Car outside . 
 Apr 12 2009 	 Brilliant location 	 stay Cumberland 4 day , Thursday Monday , impressed location Hyde Park Oxford Street literally doorstep . stay twin room first floor . room spotless clean daily bathroom lovely . however , room small - literally two twin bed push together although not bother we particularly would expect price . hotel lobby impressive modern sculpture art work dominant although overall mood rather impersonal cold . say staff deal helpful enough . real beef hotel noise . nightly club / discos not end 3 am two night get little sleep . hear another resident call people corridor keep noise - 4 am ! stay first floor perhaps noise level less issue high floor may weekend issue . would complaint . 
 Apr 10 2009 	 disappointing many queue 	 stay one night Hotel attend concert Royal Albert Hall . disappointing ... sort odd character hang around outside main entrance . queue check , take 20 min get front . room 8th floor , lift go 8th floor indication actually go lift . the room ok , look like bit refurb go grubby stain carpet curtain quite small . breakfast low ground floor ' the Market ' busy although staff run well queue everything . food good actually get it . we pay £ 125 include breakfast complimentary bottle wine good value central London . would even disappoint pay more . finally , queue check take another 10 minute ! ! 
