Leopard 	 husband London Thanksgiving week year try Rubens Hotel . hotel gracious , warm comfortable . room quite spacious London standard . ask turn service . chocolate yummy . favorte part stay meeting Said Mahri , manager Leopard Bar inside hotel . luxurious room wood panelling . romantic chic . say charming gracious host , knowledgeable London retaurant bar scene . 
 Pleasurable stay 	 fantastic location right next Palace , wonderful walk St James Park breakfast . stay catch couple show west end . bit way Covent Garden ( £ 15-£20 taxi ) ideal start point variety bar drink in . the service really good , consistent whoever meet whether reception , breakfast staff barman . standard room also good , bed one good ' ve ever stay ( wife want buy one ! ) . picky little pricey . lunch consist couple drink , salad , steak fry £ 50 . say plenty people eat drinking know ! really enjoy stay would go back . 
 Mar 19 2009 	 Service Key Rubens 	 stay 6 night Rubens Palace recently . room three rather cramp bath small also . get use although wish ask large room available . good aspect : Location- walk distance Victoria tube , Trafalgar Square , Buckingham Palace & amp ; Piccadilly area . Service- staff friendly call we name could make stay pleasant . breakfast- breakfast buffet serve lovely room choice plentiful good . egg make order extra item find buffet could order menu additional charge . overall ambiance- lobby level room restaurant decorate beautifully evidence wear tear . staff professional greet we warmly . Wish List : internet - wish not hourly charge connect internet Room Size- wish room large , cramp three people . overall ... highly recommend . 
 Mar 9 2009 	 simply Best Hotel London 	 stay 2 night Valentine 's Day Weekend african Queen Suite . say fantastic ! can not compliment staff enough , especially hotel manager , Mr. Hendry , run establishment elegance grace . wife stay property London , always return Rubens 's excellent location , 's charm attentive staff . Americans . always feel treat extended family rather tourist pass . Cavalry Bar one cosiest place London enjoy drink chat . next time travel plan include London , give Rubens try , will not sorry . 
 Mar 9 2009 	 Best Care ' ve ever receive 	 flight London , receive food posione . staff Rubens understand compassionate minute arrive . automatically update Mom room could large space . offerre call doctor make house call . every 30 minute someone kitchen bring bucket ice , bring amazing chicken noodle soup able eat . receive multiple phone call every day various member staff check . humble amazed amazing service receive never stay anywhere Rubens . 
 Mar 6 2009 	 wonderful stay @ Rubens ! 	 Rubens absolutely wonderful ! enjoy stay . hotel staff extremely courteous helpful . Hotel Chef superb ! breakfast excellent particularly fresh squeeze orange juice , well afternoon english tea . kudo concierge staff . go way reserve airline seat departure flight ! recommend hotel traveler ! KVDC 
 Mar 4 2009 	 elegant yet friendly service central relatively quiet location 	 daughter stay Rubens February 2009 3 night . enjoyable relaxing time . 99.9 % staff ever helpful , courteous friendly ( w / the exception seemingly disgruntle cleaning lady ) . package come full breakfast morning serve impressive Old Masters dining room fabulous station food beverage . wonderful breakfast buffet ! room superior King bed decorate lovely stripe floral english country theme . bathroom beautiful well , although get bathtub bit challenge 5 ' 2 & quot ; frame -- apparently design tall people . hotel 's location right across Royal Mews short walk Buckingham Palace . also close favorite London attraction , e.g. , London Eye , Parliament , Big Ben , Westminster Abbey , among other . tube station close cab always readily available . first day , enjoy afternoon tea Palace Lounge overlook Royal Mews sit table window sip tea , munched finger sandwich pastry , watch passersby . last night , dinner theater , spend time lovely cozy Cavalry Bar sit front fireplace sip cosmopolitan drink . memorable experience . would definitely recommend return Rubens . one slight area improvement cleaning service room . hotel staff nice ask room clean satisfactorily , mention bathtub clean well since still see bit footmark . come clean afterword satisfaction . also notice clean room , really tidy put away thing scatter top table -- another point improvement otherwise phenomenal hote . 
 Feb 24 2009 	 great hotel convenient location 	 second visit hotel choose kingsize room London hotel room small size . love location hotel short walk Victoria station change tube Euston . dining room breakfast spacious grand food delicious . problem leave luggage day departure staff attentive intrusive . return daughter work round corner . excellent shopping centre Cardinal Place Victoria Street , Queen 's Gallery opposite real treat . 
 Jan 22 2009 	 investiture 	 praise management staff Rubens Palace . hole staff top bottom really helpfull every way , consider time year ( one week christmas ) . matter look , great gusto always smile . nothing much , matter request . would recommend hotel anyone anywhere world , receive welcome . second time wife stay Rubens stay next visit London . 
 Jan 16 2009 	 Excellent hotel - love ! 	 stay Rubens one week business . excellent hotel every angle . great price , great location ( back end Buckingham Palace ) , great staff , great decor ( charming like british country home ) , great restaurant ( breakfast delicious , wide choice , quality food ample ) require amenity like wireless cozy , warm ambiance . downside room size - small . ' m NYC bother . can not say enough good thing rubens ! ! ! 
 Jan 8 2009 	 Loved ! good hotel . 	 could unforgettable stay Rubens palace ( end Dec 2008 3 day ) frankly , Rubens hotel absolutely good hotel ever . every point exceed expectation . before leave country ( Japan ) , think place would visit London , check - in , think stay hotel long possible . finally , spend time Rubens hotel . 1 . friendly nice ( st ) staff : hotel , see nice staff Rubens hotel , & quot ; staff ( x100 ) friendly , kind , efficient polite ! ! & quot ; . know customer need wish.2 . nice food : tell food much good England food Rubens hotel change completely stereotype ; every food try delicious ( Scones , sweet , Roast beef , great breakfast etc . ) ! 3 . nice room : book King room . large ( small ) , comfortable beautifully decorate . the bed comfortable ! ! bathroom elegant clean . 4 . nicest decoration entire hotel : amazed nice , traditional , classic , elegant , artistic decoration hotel ( feeling & quot ; London & quot ; . invite friend dinner also amazed appreciate , ) . never see nicely decorate hotel before . I feel negative point hotel . especially 3 4 , hotel today modern contemporary design ( even historical hotel ) .I personally like , see design anywhere world . see difference identity hotel . however , Rubens hotel ( maybe Red Carnation hotel ) design absolutely different could identify Rubens hotel . come back Rubens hotel next trip London ! ! 
 Jan 7 2009 	 xmas ruben 	 choose spend xmas away , change , decide return Rubens forth stay establishment . nothing change , staff helpful ever xmas day lunch excellent , choose upgrade edward vii room stay arrival . room privite corridor 3rd floor face Royal Mews , couple stay , area hotel xmas . the staff ruben enough , wife flu stay , everything could , recommend Banna smoothy kid menu , excellent pick , try superb . the room clean , bright , ever , comfy bed always , bathroom tv , deep bath , mirror ceiling , shame flu ........................ planning return Feb weekend stay . all excellent . 
 Jan 6 2009 	 Loved Rubens 	 bring group 25 people stay Rubens . high school play New Years Day Parade Jan 1 , 2009.Check effecient even though room ready upon arrival find bag room come back sightseeing . the room king bed sofa sleeper son . room bit small compare US hotel comperable London . bed pillow comfortable sleep well . the hotel quiet corner room 245 face street disturb traffic noise . the full english breakfast outstanding . lot good taste food freshly make throughout breakfast time . the service breakfast excellent well always take dirty plate check see need anything . the hotel staff know name face shortly arrival always greet arrival leave hotel . ruben excellent choice stay like quiet location 15 - 20 minute walk Trafalgar Square 10 minute front gate Buckingham Palace . it 5 minute walk Victoria Station underground tube . I impress staff every staff member bent backwards help . service exceptional moment check time check . 
 Jan 1 2009 	 new year london 	 mr c hannan , watch book hotel internet come breakfast , right pay 10.00 per head breakfast internet page come breakfast . not happy . , good time - bed really comfortable , not want get , huge ! watch book hotel offer upgrade , make sure show room upgrade say upgrade , not ! find hotel customer talk . hole , great time london , good new year party , hotel close victoria underground palace park . west end 20 25 minute walk short taxi ride . hotel like posh old people nursing home , friendly staff - superb fact , good service breakfast mega ! 
 Dec 8 2008 	 Perfect Location 	 second stay Rubens - time holiday parent first trip UK . wonderful experience great service - quite attentive first stay several year ago . location beat - easy walking distance Buckingham Palace Victoria Station . reasonable hike Westminster Abbey Trafalgar Square . hotel breakfast good - dinner lack Carvery . hot water great water pressure every morning . bed comfortable . front desk folk extremely helpful question suggestion . would go back anytime . 
 Dec 2 2008 	 bit disappointed 	 husband stay Rubens 4 night 11/27 - 12/1/08 . check - in okay . arrive around 10:00 morning room ready , definitely expect time day not problem . ask room would receive overlooked palace mew request , tell fine room not try change time since already assign we . okay , fine , not push , always want ask haul luggage room really unhappy need lug everything somewhere else . leave luggage hit pavement hour . location really perfect first trip London . walk around Buckingham Palace , Trafalgar Square , back St. James Park , catch part procession change guard . check , able take quick tube ride Westminster walk back . much main site within walking distance Rubens , quick tube ride away , really great . okay , back hotel take luggage room . first thing always walk new hotel room sit bed see cushy look guest service book . , sit side bed , glance book , stick wall ..... something will not say , really , really gross definitely find removed housekeeping . call front desk send someone housekeeping keep question like put . um , walk room 3 minute ago , would take long , eh hem , fill thing stick wall . husband ask send manager , genuinely mortify go search another manager . understand want stay room move we different room next floor . bring guest preference form ask complete prior arrival . send several week ask . form , one question ask favorite color . state & quot ; greatly prefer soft muted color like cream , tan , sage & quot ; . 1st room give deep red forest green everywhere , & quot ; soft & quot ; . however , think 's fine , be London royal color like traditional . however , room move ( suite , room type ) cream sage , obviously available . really , nothing guest preference form seem take consideration except request trouser press . something aware completing . package include dinner carvery restaurant , one manager state would upgrade we fine restaurant , Library , include dinner . appreciate , still want keep reservation carvery restaurant night state would pay eat Library 2 night later . say 's fine would make arrangement . night go carvery restaurant , really terrible . overhear several people complain server management food . anyway , be exhausted overnight flight first day 's jet lag set , want eat go bed . seat ( give name room number ) tell bottle wine come meal - fix price per person - would like white red . great , bottle wine come dinner . go pay meal , state & quot ; free & quot ; meal . explain situation , dining manager call , say fine would pay bottle wine . sit well husband , since tell meal come bottle wine . go bit manager , state nobody know handle customer hotel , disappoint consider reputation base level service . least find wine charge final bill . , unfortunately , experience hotel hope , question couple time stay move different hotel . stay long , probably would . say room move nice comfortable ( room 221 ) . reviewer state , bed feel wonderful long day see sight . full english breakfast okay , dinner Library quite good . wall bit thin , first night keep awake neighbor talk loudly 12:30 AM-2:30 . would stay ? . would tell someone absolutely never stay ? , not think would either , make sure get good rate take good look area surround bed get comfortable ... look forward next trip London ! 
 Dec 1 2008 	 Service fit Buckingham Palace 	 stay two night originally choose due closeness Buckingham Palace attend event . from minute arrive moment leave , staff could not enough help . elderly parent we limited mobility make sure comfortable respect . 
 Nov 29 2008 	 wonderful weekend 	 bit wonder hotel get consistently good review . have book weekend ( bed breakfast ) , moment arrival departure enjoy every minute spend hotel . staff amoungst helpful , efficient charming could ever wish meet consequently create friendly family atmosphere . our room particularly large compensate absolutely spotless extremely comfortable . although book B & amp ; B ( breakfast superb choice literally endless ) , impressed opted dinner Library Saturday evening . unhurried relax , food high standard pleasant see diner request turn mobile phone whilst restaurant . thoroughly recommend hopefully return London place would hope stay 
 Nov 27 2008 	 good staff London 	 stay Rubens since 2002 's consistently excellent experience . staff friendly professional , often case London . assure great stay . the Rubens pay great attention detail . sheet great - sheet snob , be always good know will sleep good sheet pillow case . everything always sparkle clean . every amenity one need away home . fabulous price time . and location fantastic , well . can not go wrong stay . 
 Nov 20 2008 	 excellent staff ! 	 great experience Rubens Palace . arrive hotel long miserable trip - domestic flight delay , international flight cancel luggage lose . staff reception desk efficient friendly . single room small clean good size London . bathroom also clean - seem recently renovate . concierge friendly helpful call airline lose luggage . location also excellent near station , restaurant , supermarket internet cafe . one week , stay another hotel London totally opposite experience . regret not come back Rubens ! 
 Nov 18 2008 	 great hotel Great Location ! 	 spend three wonderful night Rubens Palace love stay . hotel incredibly nice perfectly situate right middle everything London . term location , Rubens hard beat . locate 2 block Buckingham Palace 2 block Victoria Station , near tube stop locate . ruben easy 10 - 15 minute walk Westminster Abbey Parliament / big bean area , short walk Hyde Park , quick walk Picadilly Circus area , Tube close , incredibly easy get anywhere London . the hotel nicely do room , though small ( expect London ) nice touch luxury . staff incredibly helpful service fantastic , front desk check , staff restaurant everyone else . purchase continental breakfast every morning 8 pound , London not bad . breakfast nice assortment fresh fruit , bread , pasterie , juice , yogurt service exceptional . definitely worth , think . 
 Nov 16 2008 	 not stay Rubens not blame ... 	 say thank . ruben one hotel ' ve stay ( ' ve stay lot ) help make vacation success , actually one main reason vacation enjoyable . normally vacation abroad basically sleep maybe eat hotel ... rest time . ruben really feel like come home time return . wife would spend day sight seeing explore London spend night sharing experience Vincent Judith bar , May customer service rest amazing staff . room clean bed one comfortable ever sleep . concierge take care need book ticket we , never even leave hotel make arrangement . big Bus Tour , highly recommend , pick directly front hotel . buy ticket wicked town theater 5 min walk hotel . souvenir shop , grocery store plenty English Pubs within minute front door . top , look bedroom window look directly Palace . amazing ! honestly can not remember last time make feel home hotel . thank Vincent , Judith , May , Nadia rest incredible staff Rubens . ever come South Carolina , door open . 
 Nov 10 2008 	 love ! ! 	 stay last week October , celebration wedding anniversary . location super , face royal mew . king size room view royal mew feel really special . when arrive room not quite ready offer drink bar , opt cocktail gorgeous ( long island tea ) .very alchoholic ! room great plush extremly comfortable bed . I e - mail hotel say anniversary leave lovely card room wish we well , lovely ! breakfast serve resturant superb .All staff really friendly exellent service would highly recommend , definatly return ! 
 Oct 31 2008 	 fantastic place 	 overnight stay special occasion aunt . three we stay fantastic time imaginable . staff could not enough help we - especially concierge team really make aunt feel extra special . afternoon tea amazing sit watch carriage go Royal Mews . praise hotel staff enough . 
 Oct 30 2008 	 well far 	 come back 2 night Rubens Palace hotel . everything fantastic , staff professional freindly , fact get anything negative say , load hotel London . good 4 star stay . 
 Oct 21 2008 	 lovely hotel heart thing . 	 stay Rubens Palace 8 night end September 2008 . hotel busy street , due location , walk two tube location , Victoria Green Circle , well theatre , Buckingham Palace , Royal Mews , etc . hotel room small ! mean tiny ! king woman check we comment length impend stay offer upgrade we , cost willing pay . bed wonderful pillow pure heaven ! complementary bottled mineral still water refresh every day washclothe , tissue hair dryer room , something UK hotel provide . the concierge staff friendly , helpful accommodate Library restaurant provide one good meal 2 week UK vacation . because book travel agent friend , get pre - arrival special need request see hotel guest get . special occasion would welcomed opportunity something special husband . guess need book directly hotel get perk , dissappointe . the lounge bar comfy long day tour tour London 's site decent wine list , scanty appetizer . Matthew , regular waiter bar super great . buy Oyster Card either arrive Heathrow . bargain trip able go anywhere London additional cost , often wish 7 day time frame . the hotel easy walk Victoria Station , starbuck many small local dining establishment . highly recommend hotel , perhaps get large room pay extra cost . would comfortable long stay . 
 Oct 13 2008 	 Loved love ! ! ! 	 stay Rubens 3/10 - 5/10.it first trip London love it . the stuff amazing extremly helpfull we ( always happy answer million question believe ) .We smoking room regu ( thank ) .Our room clean . we stay 2 day .. wonderfull . of cource rubens thing make trip amazing ! ! special thank Mrs. Camilla Concierge team ! ! ! see soon ....... 
 Oct 8 2008 	 good staff world ! 	 sister enjoy wonderful reunion London year . come Calgary , Alberta Canada , come Harare , Zimbabwe . celebrate 50th birthday , decide treat stay special hotel , visit London 's historical site . ruben fulfil everything could wish . find staff exceptionally caring , lavish attention ! six - day stay get know we , always available chat laugh we . stay Rubens feel like home ! food wonderful , particularly like evening cocktail bar , delicious bar snack provide . favourite position lounge , front huge picture window look Royal Mews , serve amazing high Tea . room compact comfortable , many thoughtful touch . hotel perfectly situate theatre , shopping sightseeing , wait return ! thank stay lifetime . 
 Oct 3 2008 	 18th birthday ! 	 stay Rueben 's amazing trip life . mom , dad , sister go week London follow week Ireland business trip dad . trip two year ago still remember like yesterday . yes , room small side learn hotel originally board house come debutante , stay take whole new meaning . think past room truly amazing . London , lucky enough celebrate 18th birthday hotel one never forget . bar parent sister , serenade piano player play Happy Birthday toast champagne eat cake . really well way spend birthday family dream location . staff amazing extremely accommodating , want make stay amazing . would recommend hotel anyone want personal , meaningful trip little bit history mix . spacious , top room , definitely . enjoy one kind trip make memory possibly , never forget ! 
 Sep 27 2008 	 really nice place stay 	 clean , nicely decorate , good service . great base business traveller explore London . 
 Sep 19 2008 	 second time good first 	 find hastily book BOS - LHR business trip speak conference group forget belong ! ... oh well , forget Hiltons place associate stay ... want go back lovely , little Rubens ( stay , 2003 , Mrs. Z , pleasure trip , royal suite love ) .No suite time , alone ... well , call Junior suite ... ample size , nice large bathroom , queen size bed . the lapse service come checkin , 9 am ... , clear , room book guarantee prior night ( fly state ) , , arrive early , room already make mine ... well , cancel NO - SHOW ... even though guarantee 3 night ... big boo - boo ... gather together front counter , come small , rear face room could rest , shower , etc , Jr. suite readie late afternoon occupancy .... good recovery staff 's part , think , minor inconvenience re - packing moving room later . always enjoy Pimm 's Cup bar adjacent lobby . have fast early , dinner Carvery , Master 's ... good beef carve proper scottish chef , full white toque ( tell Scottish ) .In , enjoy nibble many component full , english breakfast include rate plan ... serve restaurant become carvery . enjoy view mew front , wonder be go inside whole Palace complex . will always return Rubens ........................................... z 
 Sep 18 2008 	 Better rest 	 short break London , could well stay Rubens Palace . it swishest expensive . immaculately turn . room ( standard ) nicely decorate comfortably furnish good hotel bed sleep in . however , impressive thing service . staff clearly well train motivated . nice , nowday , experience good old fashioned courtesy . great restaurant - too . pricey , worth occasion . also , get pay , get quality spadeful - or forkful ! 
 Sep 16 2008 	 good 	 's nice go back somewhere impressed , find good . second visit Rubens , six month gap . confirm first - rate , highly professional , well run , traditional , four star establishment . room huge , though nice well equip , probably prohibit five star rating . service definitely five star . part relatively small hotel group Rubens doubt perceive competitive advantage opportunity provide excellent individual guest service care -- show . term facility , pleasant lounge look Royal Mews , cocktail pianist play evening , pleasant adjacent bar . carvery restaurant ( Old Masters ) , breakfast dinner time excellent . la carte Library restaurant ( eat last time ) expensive , seriously good . location , close Victoria Station St James 's Park , convenient pleasant . enjoyable experience good value money . undoubtedly return Rubens future occasion . 
 Sep 11 2008 	 Staff super smelly noisy room 	 stay Ruebens Hotel workpurpose 3 night September 2008 . location superb , staff . staff go way friendly , helpful , accommodate ( concierge find us ticket show want last moment ) . food good , include breakfast buffet . disappointing part room . book non - smoking room , upon arrival , none available . smell room give strong , stale cigar - like . tell sophisticated aircleaning system , would run room next day , smell bad second third night . room small , hardly place walk around bed , bed comfortable . amenity bathroom good quality . room supposedly quiet side hotel , noisy traffic run night . wireless internet work well first day use , well second day lose connection 10 time less 2 hour . happy enough , try something else next time . 
 Sep 5 2008 	 Excellent 	 Excellent hotel great location friendly professional staff . great buffet breakfast comfortable room . definitely would recommend highly . 
 Sep 4 2008 	 Gross Negligence Theft ? 	 stay Reubens number week ago . horror check credit card bill notice hotel take additional £ 216 credit card supposedly due mistake night auditor ! night auditor credit card detail access check midday remains see . matter good bad hotel trust employee . 
 Sep 4 2008 	 like . 	 stay two night summer , like hotel . room small nice enough , place clean . unlike hotel , one nice lobby bar area . location good respect -- right across street Royal Mews entrance Buckingham Palace right street . visit palace stay convenient ( sure book palace ticket online avoid huge wait line ) . would pay extra view room Mews interesting look ( like look right front palace ) . medium - sized walk St. James park parliament / Big Ben area . second stay Trafalgar square find location central convenient . 
 Sep 3 2008 	 Regualr visitor 	 ruben interesting hotel within walk distance Victora station Buckingham Palace . decor & quot ; old world colonial & quot ; either like hate . formal feel hotel , personal preference . the service excellent food , pricey side . hotel old building creaky floor omnipresent room quiet noisey , typically small single room , also pokey , view etc . dont get wrong fine place , must like old world feel ( sound ) . 
 Sep 2 2008 	 fabulous place stay 	 stay Rubens 4 night busy time year London , absolutely love entire place ! staff fantastic , check - in room service concierge . room plush , although bit small . location fabulous - right around corner Buckingham palace short walk Victoria Station ! highly recommend Palace want feel catered ! 
 Aug 31 2008 	 amazing 	 staff hotel friendly & amp ; polite , start reservation . lot question staff always friendly polite . really pleasure ! room ( king size bed ) maybe little bit small room wonderful also comfortable bed . hotel also clean appreciate lot ! english breakfast overwhelm excellent ! afternoon tea hotel good london , could compare afternoon tea Fortnum & amp ; Mason afternoon tea hotel well also live piano music , british ! pleased hotel come back rubens december x - mas ! 
 Aug 28 2008 	 Love Hotel ( not tell ) 	 not really want write review Hotel ; not really want let secret bag . probably familiar 's location close Victoria , explore London excellent . be one friendly efficient Hotels stay many year . fortunate travel around World include London efficient friendly service one fabulous hard fault . initial booking error fault , correct deal want without fuss traumor allow relax enjoy stay immediately . staff eager please attentive do relaxed friendly manner appear anyway false staff seem truely eager passionate duty . stay twice past 3 month change normal grimace tought stay London Hotel ; Rubens Palace stay actually look Forward to . before book look web - site offer seem change seasonally make quite significant saving standard adverstised room rate would advise book website direct could find cheap deal usual site . eleven ten one SShhhhhh . 
 Aug 24 2008 	 go ! ! ! ! ! ! ! ! ! ! ! 	 Everything Establishment Ultra 1st Class .. think even Majesty would'nt disappoint . Idealy locate service exceptional book thru Hotel direct good rate . felt like royalty 2 day try l'arco italian Bistro 100yrds leave yummy 
 Aug 22 2008 	 ok justified price . 	 stay 5 night 3 teenage child . easy walk even suitcase Victoria Station although get station right direction quite confusing . good location Buckingham Palace , easy walk Mall Trafalgar Square National Gallery well Westminster Abbey . the room ok . kind heavy , ponderous decor , noisy street open window . main bed comfortable , pull sofa uncomfortable ( even pull sofa , fussy sleeper ) cot add room truly bad . nice bathroom . breakfast expensive ( 10 pds $ 22.50 per person North Americans ) good . Orange juice taste like crystal mix . & quot ; Fried & quot ; egg fact drop 1/2 inch oil / grease essentially deep fried . grant typical british breakfast whole thing special nearly $ 100 four us.\there 15 pound charge/24 hour use internet room . , $ 34 North Americans . room cost great $ 300 / night , think criminal charge amount service . embarrassed fact . summary , find hotel ordinary ultimately poor value money . London expensive town lodge able well . 
 Aug 18 2008 	 home London ! 	 come London holiday every August since discover Rubens could never stay anywhere else ! location fantastic , room comfortable staff welcome friendly - really like home home we ! Mr Hendry , General Manger , Saiid , bar Manager , whole concierge team Nathan doorman - make stay treat - always ! hotel may opposite Royal Mews get treat like royalty every day stay ! 
 Aug 13 2008 	 Crown Jewel London 	 husband please personal attention give need . room clean neat comfortably furnish . resturant excellent , able experience full english breakfast . 
 Aug 12 2008 	 Elegant Hotel 	 Husband , stay hotel one night , Theatre break ( recommend Billy Elliot Victoria Palace , minute walk hotel ) welcome friendly staff reception , upon arrival . room quite ready , show bar area , give complimentary coffee . get room , immediately impress traditional decor , mixed modern facility . bed linen feel devine , later tell egyptian cotton ! ! tea / coffe make facility room , nice convenience , ask milk , come we within minute . also informative chat Joao , start work hotel 1977 Bell boy , Deputy Head Concierge , tell we many change see year , different thing use , interesting . decor throughout hotel Regal lot atmosphere ....... real treat ! buffet breakfast lovely , present well , plenty choice beautiful surrounding . hotel well locate sightseeing , minute Buckingham Palace etc near Westminster 's attraction . ( try eat noodle noodle restaurant , along road no.18 , food delicious ! ) would stay hotel , recommend other ! 
 Aug 4 2008 	 Rubens Royal ! 	 stay 2 night 10th wedding anniversary . child ( 6 9 ) come we . excellent location , opposite Royal Mews . staff welcome attentive moment arrive . flower previoulsy arrange wait wife room , newly refurbish plush . room large bed sofa- bed . stick one kid bed we , sofa - bed small child - perhaps ' family ' room would small old child ? breakfast excellent - pre - pay get slighlty cheap . comfortable lounge relax sight - see . attentive staff also . eat dinner carvery restaurant one evening , good food - lovely dessert , expensive 2 adult , 2 child . it surprise destination wife - love ! 
 Aug 3 2008 	 watch safe 	 London 1 night go see play Victoria Theater . ruben walk distance theater mnany restaurant nearby . hotel nice staff helpful . 2 word caution : room pretty small . nice tiny . also , pack check catch flight , safe in - room crash . hold passport laptop . take staff 45 min find machine overide safe nearly miss flight . safe type use hotel would get thing night leave safe . 
 Aug 1 2008 	 real pleasure 	 fortunate invite palace [ big one across road ] decide book hotel match special occasion . we expect much city hotel often lack charm genuinely happy efficient workforce . we however bowl entire experience .... doorman Nathan general manager Mr Hendry ..... credit UK hotel industry . go minutae ..... suffice say Queen unlikely invite .... definitely book Rubens . 
 Jul 30 2008 	 exceptionally Outstanding Hotel ! 	 sister return London vacation say stay Rubens good part trip . 6 night , be absolutely nothing could find complain hotel . the moment arrive hotel greet staff helpful we . luggage take we immediately take room . room front side building face Royal Mews , lovely view , especially morning sun rise . shower bathroom amazing ! Wish could bring home . staff Rubens nice , courteous staff ever meet . ' ve travel quite bit past year , stay many hotel , say good ever stay definitely return go back London . ' ve already tell friend sure stay go continue recommend fine hotel . 
 Jul 30 2008 	 Passion Excellence 	 cheap London hotel prepare pay little - wonderful experience . the whole team check restaurant staff exceptionally friendly helpful . room delightful - change standard hotel room . little touch like ask whether want blanket duvet make big difference . strawberry , mineral water enough pillow room wonderful . even greet letter welcome manager . nothing much trouble food Old Masters restaurant excellent . n excellent hotel unique place stay ! ! 
 Jul 17 2008 	 Fit Queen 	 little overwhelmed number hotel choice London happy say definitely make right choice . location ideal visit many site also conveniently locate tube stop sightsee bus stop . stay king room . beautifully appoint plenty room ( although would probably still consider small U.S. standard ) . shower amazing - great water pressure . staff outstanding -- fulfil every request make we feel home ( 3 day , Dave concierge remember name would stop ) . also take advantage complete pre - arrival concierge checklist make stay even special . breakfast buffet good dinner carvery treat . little expensive hotel stay trip , well worth little splurge . would highly recommend hotel ! 
 Jul 13 2008 	 good london 	 stop lot hotel london , far good , great location , service standardsroom excellently decorate , big rest experience make . 
 Jul 10 2008 	 Service + 	 require hotel near Houses Parliament . rubens good location . enter hotel bag take we check . first impression count indeed impressed service friendliness . room say least , small . put case ! room turn around . say spotless clean . varied choice breakfast good , cost £ 17.00 . unfortunately carvery close 7.00pm decide meal bar . service excellent . & quot ; good Fish & amp ; Chips London & quot ; ( hotel word ) £ 17.00 pint beer £ 4.50 , food drink price well top . previous night London Rennassance food drink considerably cheap . would go Rubens , provide could get decent sized room . service , service service Rubens asset . sure dining option ! 
 Jul 5 2008 	 amazing service ideal location 	 ' m American live London 2 year , currently live Dublin . travel London business semi - regular basis , look mainly friendly hotel , conveniently locate company need amenity . ruben hotel fit bill every way . fact hotel pleasant one rare occasion actually wish could extend trip beyond one plan night . immediately arrival , overwhelmed genuine hospitality staff . rush , bag take room immediately . return meeting , thrilled find bowl strawberry room ( have indicate favorite fruit ) . have select single room , room small , neverthless completely appropriate need . individual climate control , high - speed internet access . unfortunately not chance try food restaurant , enjoy glass champagne bar . service impeccable , serve several bar snack drink champagne ( choice several different champagne type ) .After check hotel , receive followup email inquire stay , response one ( minor ) suggestion improvement . nice touch , truly think good service establishment London , good service anywhere . hope return hotel another occasion weekend trip really enjoy location hospitality . highly recommend hotel . 
 Jul 4 2008 	 exceptional stay ! 	 great hotel ! stay first leg european honeymoon jaunt . staff make stay Rubens good hotel stay London well Continent . reviewer comment small room , agree tiny . however , size room offset attentive service , great location , overall charm property . else Europe staff take time remember name , , make recommendation bar know favorite drink . also property give we complimentary bottled water - sparkle still - day . spectacular ! 
 Jun 23 2008 	 nice hotel small room 	 16 year old niece stay three night Rubens . book Royal Room ( request Queen Victoria get ) king size room exercise bike room view Royal Mews . room small ( tiny ) , beautifully decorate clean . look like pic website room small . niece love Queen Victoria room also view Mews . bed soft comfortable ton pillow huge v - shape pillow request guest preference form . find room quiet window close -- floor creak little walking hallway hear room . tv get lot channel pay - for - view movie limit . dvd player Royal Room king room . room well service -- hotel staffperson even come around every morning ask satisfied -- twice daily maid service turndown . I fill Guest Preference form advance order rose niece 's room -- request flower price 35 GBP . surprise walk room see stunning arrangement five dozen red rose vase window ! Checkin take little time desk clerk talk new know immediately book two room rather one , straighten easily . gentleman bring luggage lobby taxi niece ( know much tip ) give five pound note take luggage room . get impression deliver bag room expect another tip ( ! ! ) friendly though . chance meet doorman name Nathan mention early review work weekday weekend . the head concierge , Dave , helpful expect . ask London could find Queen 's guard could actually walk ( behind gate ) . hurriedly reply thing go see change Guard Buckingham Palace next day . hurry talk another guest . later ask young concierge question take map direct we Horse Guards Whitehall niece able actually walk guard next day talk ( rather furtively , suppose move talk official duty ) . ( handsome ) guard even end ask date give cell number ! ! glad talk one concierge hotel . the breakfast , free part package deal , marvellous , huge buffet ( big ' ve ever see ) many selection bite overwhelmed first . definitely experience amazing breakfast display ! elegantly present , also enjoy free carvery dinner although scottish roast beef little tough . location spectacular , short walk Buckingham Palace two royal park , St. James Park Green Park , wonderful strolling . also Sainsbury 's supermarket 10 minute walk away open till midnight every night . we would recommend Rubens without hesitation definitely stay . 
 Jun 19 2008 	 Wonderfull staff 	 come back London last sunday night stay ruben 3 night , impressed , staff well ever hotel it.s self clean tidy . beautifull meal.s champayne ice arrive could , not ask ! . husband wheel chair user dignity maintene time stay . would go back tomorrow could ! think good hotel ever stay fussy . 3 course meal saturday night coffee bottle wine £ 49 London price.s think good buffet breakfast everything imagine eat . 
 Jun 13 2008 	 Loved Rubens 	 mum stay weekend fabulous time . upgrade king size room fabulous . library resturant must food good ' ve ever taste . order breakfast little pricey well worth . would recommend hotel everyone , would love stay . staff go way please make feel really special . great base see round London round corner palace great . I hope everyone enjoy stay much mum . 
