Nov 	 love 	 love ! great ! @ room large ball ! 
 Aug 13 2008 	 Happy Embassy Suites 	 travel quite bit hh member always try stay Hiltons . also travel two young child , whenever , book suite . need spend 9 day Chicago lot research settle hotel happy . PROS : can not beat location . great restaurant shop around 3 block Magnificent Mile . easily walk Millenium Park Oak Beach ( Drake Hotel Michigan Avenue ) - kid fine walk . easy get taxis location well . hotel clean , well organize , fairly consistent housekeeping . honor request make . great make order breakfast morningextremely comfortable bed - LOVE bedsawesome easy family . con : lobby unusually freakishly cold - beware . it madhouse breakfast time 7 9:30 . prepare steel . pool small . completely fine , small get crowd easily . if not want around kid , not good hotel you . the laundry facility 11th floor ; 1 washer 2 dryer prepare wait unless go time . there street noise . keep window closed night perhaps use noise machine block noise . 6th floor stay Ontario Street side - quite noisy time . all perfectly good Embassy Suites would probably stay . satisfied . 
 Aug 12 2008 	 great breakfast great room want ! 	 Stayed Embassy Suites one night . check breeze . suite comprise living room bed room . flat screen tv living room conventional one bedroom care : ) reward night , room service deliver free bottle water room . nice touch . bed luxurious hard get morning ! ah breakfast ! people mention free cooked breakfast fantastic . eat two omelet good . location wise , 10 - 15 minute walk Navy Pier shopping subway stop close by . overall , great stay . 
 Jul 26 2008 	 great hotel location 	 check easy ; line . hotel lobby beautiful cold temperature . room spacious clean . clean bathroom . complimentary breakfast great ! hot buffet make order egg . also cold cereal , pastry fruit . good . go early will not wait . later go busy . also get free USA Today every weekday morning . my son use swimming pool . nice clean . husband use workout room . nice clean . we use valet parking . expensive ( $ 40 / day ) . parking garage secure . the location hotel good . 4 block Michigan Ave shopping . easy walk . lot good restaurant close ! redline train block away . word caution : buy ticket train machine individual try make & quot ; deal & quot ; ticket hand . also , bus take around $ 2 . also free trolley take Navy Pier . the concierge hotel wonderfully helpful . question anything ..... ask concierge . definitely stay ! 
 Jul 11 2008 	 nice location 	 location hotel totally ideal wish shop mag mile since be 3 block away . furthermore , stop free trolley navy pier stone 's throw away , make pretty convenient tourist . love overall design hotel , appeal mainly family . little fountain wall kid wade enjoy . nonetheless , size bedroom small would expect average hotel rating . morever , compensate adjourn living room tv set . 
 Jul 11 2008 	 Nice Hotel overall Minor Problems 	 nice hotel , super friendly staff , especially bell boy , need , luggage help , even run errand need something forget bring ! stay 2 room suite , get away special 249.00 , include free bottle champagne strawberry , $ 25 gift certificate Osteria downstairs , 1 pm checkout . the strawberry champagne room promise resolve within hour , gift certificate good Osteria , ( unknown we ) actually eat Pizzeria , show hostess gift card tell we fine find bill come good Osteria , choice pay bill full , use certificate towards least expensive wine room , still cost we $ 15.00 gift certificate , surcharge , tax % 18 gratuity ! fold sofa bed pillow anywhere suite , blanket ! staff good bring pillow , luckily daughter bring blanket . the phone master bedroom break , one live area fine . small fridge , can not fit much , family would hard press get whole lot , microwave fine , standard thing coffee etc . there . the king size bed soft 6 pillow , also nice , quiet , view awful , room 1117 top floor face ugly parking garage , would preferred see going street . all would say could probably well 4 star hotel . 
 Jul 7 2008 	 Great Location 	 Excellent Location , Friendly Helpful Staff . complaint door suite , slam loud . great hotel . busy week downtown Chicago Fourth July ! ! ! , take advantage car stay free package Valet parking expensive . would definately stay ! ! 
 Jun 23 2008 	 Location location location 	 Chicago Embassy Suites location . heart city , easily accessible almost anything could want . want go baseball game , be block away Red Line get Wrigley Commiskey . 's food be look , be right across street Webber Grill , right street amazing restaurant like Quartino Big Bowl block Pizzeria Uno Pizzeria Due 's Chicago deep dish pizza look . however , course location going get negative . seem everything normal Embassy Suites little bad . lack little touch . long weekend June , must prime tourist season , negative . a highlight Embassy Suites decor inside . one nice waterfall run hotel , lack huge goldfish typically fill pool . the happy hour always line , sometimes long one . make even bad limit one drink per person , everyone go bar rather get drink companion . seat around bar quickly fill could simply point person . get drink mean save seat , bad , one get ready , wait go get drink . at breakfast issue . line every morning , find seat actually difficult morning . include guide breakfast busy room . on last day take 10 minute get elevator 2nd floor room . , leave take another 10 get elevator back , subsequently stop every floor . however , almost result hotel great location . get traditionally get Embassy Suites : giant room good service . overall , want location quality Embassy Suites downside , would recommend hotel . 
 Jun 20 2008 	 Friendly Service can not beat ! 	 husband stay first week June husband attend training class . arrive early Sunday morning , driver take we hotel drop bag go breakfast play tourist day . staff delightful -- immediately check bag lock bell room , offer get we cab ( need -- -our driver , Al , offer wait take we directly restaurant ! ) , try see room would open soon , case tired want check ( luck , HEY , 8 ... ) . go lovely day check Chicago site . fatigue ( mild jet lag ) set , call hope room ready -- 1 pm check 3 ! check , floor housekeeping staff manager stop see like room ( fine ) , drop bottled water . brief rest , head check manager reception -- ' ve Embassy Suites be quite familiar amenity . course , schedule wonder 5:30 , not open yet -- not decide wander around outdoors occur we 4:30 Chicago ..... oop . the nightly reception nice touch -- fact , think one night basically skip dinner enjoy hors d'ourves quiet opporunity relax atrium . breakfast , -- -the staff friendly welcoming . like room , give idea good time go breakfast be look avoid line -- see line long would frightened away -- even huge convention crowd on - site ( work hotel room part day stay , make trip refill coffee since brew well coffee could in - room ) . manager great ! encourage everyone enjoy meal . make - to - order staff also accomodate -- omelet lover , ask fried egg , happy make . lot choice , always good thing . while not long enough try hotel 's restaurant , tell 's anything like room service food -- 's must - do ! wonderful BLT sandwich . course , Chicago , sooo many food choice . even grocer across street fun eat . opt try indoor pool , enough time . look average , maybe ready update . invite could not resist -- course , travel without young kid , pretty spectacular pool us suit be own . the location within easy walk distance training center husband need go Magnificent Mile ( go ; -0 ) even computer bag ( several shopping bag , easy walk . musuem Navy Pier less walkable , enough reasonable public transportation opportunity get , matter budget . price wise , hotel steeper would normally pay Embassy Suite , realize high season , mid - town huge convention go , room go premium . dime exclusively , would try off - season rate . this first visit Chicago agree review -- 's NYC offer , smile ! will back . 
 Jun 7 2008 	 great value 	 stay short business trip . 2 room suite 2 tv 's , free breakfast cocktail , comfortable bed convenient location $ 240 . need , room also small refrigerator , microwave coffee maker . vanity sink bedroom bathroom , bar type sink galley . problem bathroom drain -- - seem sluggish probably need bit maintenance . otherwise , AOK stay . recommend ! ! 
 Jun 2 2008 	 pretty nice place 	 hotel average service quality good place stay however 1 - 10 scale would 8.5 ! 
 May 26 2008 	 great stay ! 	 hotel great . staff friendly . hotel clean room spacious great view . drive , aware parking $ 60 per day . also sky lobby . take elevator parking garage main lobby . another elevator main lobby sky lobby another elevator sky lobby guest room . busy time day , prepared wait elevator . 
 May 10 2008 	 great base visit Chicago 	 large , clean , quiet , well design room . good breakfast complimentary drink bar early evening . great base city first - time visitor . 
 May 5 2008 	 great location see Chicago 	 spend three day North Columbus hotel . walk distance Michigan Ave , Navy Pier , Grant Park 's north side . use cab get museum ( $ 11 tip ) . central location ideal allow family rest see site . pool fine , manager 's reception nice touch . breakfast perfect , especially make order omlet . step can meal offfered hotel . 
 Apr 27 2008 	 pretty good deal 	 find hotel great value money . room quite large , stay many suite downtown chicago think may one good . separate living room sofa bed , microwave fridge , large bedroom sink . clean lobby room , staff friendly enough check - in . huge hotel plenty elevator problem go . not try pool cocktail hour , breakfast edible , make - to - order egg look well not like egg . location also great , second away Michigan ave . absolutly view room , right parking garage little loud night , never bother . overall probably stay . 
 Apr 26 2008 	 Favorit Hotel Chicago 	 family prefer hotel ( include stay family member city ) . conveniently locate everything want . staff friendly , always remember we like come home time stay . find staff helpful try locate thing unfamiliar , suggestion place servce want find always perfect choice we . room allow we comfort home fridge microwave 2 room tv extra sink help accomodate we ! stay since child baby every time make feel like king ! whether crib cozy blanket , fold bed make look like throne , parent child always make feel comfortable . like convenience supermarket ( next corner ) stock supply town everything need walking distance - great restaurant shop . like fact use indoor pool love hot breakfast everything would need start day right . 
 Apr 26 2008 	 favorite hotel Chicago 	 staff hotel extra friendly make family feel home every time . time check , stay friendly expedient service make we want return . good value town good location see city . frequent visitor , appreciate fresh renovation property . family travel together , room perfect we everything need make stay complete . request seem unreasonable handle promptly . family love hot breakfast morning , give we standard cold contental other offer ( great way start day ) . home away home Chicago ! 
 Apr 17 2008 	 Unfriendly staff overrate breakfast 	 Hospitality define apathetic unfriendly staff may experience stay . Chicago week , husband book place , b / c separate living room bedroom , well microwave . regret decision day walk , greet rather unkindly front desk staff could crack smile . anytime contact front desk , call back numerous time , take forever answer , although February big busy month hotel Chicago . the time actually get phone , mean courteous hospitable . not think guest make uncomfortable ask basic service simple question hotel . part fee service usually b / c traveler new place not know much about . I never visit hotel , highly discourage anyone stay Embassy Suites downtown Chicago . 
 Mar 27 2008 	 Good Spring Break Choice 	 Nice hotel , convenient many place . two problem . first , pool closed day Monday arrive . good - consider Spring Break kid . second , make sure put & quot ; Disturb & quot ; every morning leave breakfast . situation clean person come 9 , would not leave cam back . delay day 1 hour . 
 Mar 6 2008 	 Love hotel hate price parking ! big time gouge ! 	 hotel superb facility locate middle anything could want , even walk sub zero temp ! good grocery store 1/2 block away right leave front hotel ( Trader Joe 's overprice snob crap also close ) . room nice bed sooooo comfortable . enjoy cocktail hour , although bartender seem work major slow cue . line form duration cocktail hour even simply pour glass beer . real beef hotel parking . read previous poster say take hotel parking deal . well , think twice , be complicate watch money . want park walk , choose public ramp within foot front door Ontario St. $ 12 day ( service , pay ) . hand , want service , course tip time car bring , go $ 40 per day . go back hotel gladly , park lot . Lawry 's Prime Rib Ontario soooo worth go ! 
 Feb 26 2008 	 great location great breakfast 	 Hotel centrally locate north Chicago River , perfect Mag Mile Hancock Tower block Loop . subway stop within 100 metre walk . room large , comfortable well equip , though English , tea awful , learn live ! ! pool pretty tiny hotel size 's location make base sight see spa break . complimentary breakfast good wide selection set we rest day . 
 Feb 23 2008 	 Great Stay 	 stay 2 night business . hot breakfast every morning great . manager reception night offer 2 hour free drink hot dog . also wireless wire internet room . use shuttle get O'Hare hotel advise use one return trip . sometimes late wait door may leave without . use taxi instead $ 40 . 
 Feb 19 2008 	 good Stay Good Location 	 hotel locate State St. it nearby number fine restaurant attraction . all major attraction either within taxi ride walk . the hotel nice , main lobby extensive would expect regular Embassy Suites restaurant area pool & amp ; fitness center nice . our room 11th floor view downtown area . pro : LocationViewsAccessibilityPool & amp ; Fitness CenterCons : Restuarant ( high chair visible ) Basic Room FeaturesThis hotel good hotel want close attraction . 
 Jan 19 2008 	 great Stay 	 book hilton.com get good rate . check fast , ask room high floor away elevator get . staff helpful . the room expect , living room , small kitchen area , dining room table separate bedroom . room 2 tv 's 2 sink include one bathroom . good hot water shower , nice toiletry . bed comfy oh foam pillow . yes like other say line long free drink night free breakfast morning ( omelette line ) expect especially come busy time . food drink worth line . all feel like get great deal would definitely stay . 
 Jan 1 2008 	 great location nothing special 	 group 8 4 room 3 night . hotel convenient location close Michigan Ave . shopping ton great restaurant close . check experience slow due front desk personnel- shortage lack ability . room clean bathroom weirdest swinge door big hassle come . stay lot Embassy Suites never see door like one . bed update nothing standard Embassy Suites room . breakfast good logistic one lay cause lot confusion guest traffic issue . cocktail hour good . eat one night hotel restaurant since wipe long day shopping . food ok would eat . many great place close money . 
 Dec 12 2007 	 Loved ! ! 	 really enjoy weekend trip Chicago . hotel really nice . check fast even get check four hour early . room large nice . think one thing like well wonderful free breakfast buffett . also spot cooking station want egg cook special . everything hot fresh . hotel within walking distance everything downtown . * must never Chicago . go 96 floor Bar John Hancock building hour sunset . usually wait get elevator go early . sunset awesome . also view city breathtaking . can not get table , go lady bathroom see . 
 Dec 7 2007 	 good location 	 stay two night october floor 17.If young child suffer vertigo stay low ! hallway overlook atrium wall glass .. make feel peculiar ! suite well fit would say suitable 4 max . free breakfast good quality wait much like . happy hour evening little souless hey free . location great area feel completely safe . well stock supermarket across street . 
 Oct 30 2007 	 fantastic time ! 	 hotel recommend we . look review have book reservation stay someof review grim . we wonderful time right moment meet doorman till get taxi head back airport . room / s lovely , well apponted , well maintain , clean everything need three night stay . yes hotel expensive other get pay . manager reception evening busy could whatever ( many want ) want drink along snack available . breakfast great hardly wait aroundto get serve . appear queue later ( 8.30am ) give size hotel could nightmare . cook order omelette delicious , would highly recommend they . only gripe change area pool go costume go back room get dress . robe would nice this . the location ideal , couple block main shoppingarea certainly walk distance Navy Pier Hancock Tower . should back Chicago would not hesitate stay . 
 Oct 26 2007 	 enjoy stay tremendously 	 stay Embassy Suites Downtown October 14th - 18th . read people complain noise lobby road , 9th floor notice . manager reception evening great morning breakfast buffet . reception area rather cool grab light jacket . staff super freindly evening doorman well . would greet we night & quot ; 's family evening . & quot ; son think greatest . enjoyed stay even well company pick tab conference wife son explore Chicago . close bus line 6 block & quot ; El & quot ; train . highly recommend . 
 Oct 19 2007 	 Perfect ! 	 love Embassy Suites ... great location , near Magnificant mile lot primo restaurant . the room great . stay day microwave frig right room perfect . along internet flat screen tv ? huge buffet breakfast include stay . could eat skip lunch ! .. also , else get happy hour day type drink free ? 
 Oct 16 2007 	 Met Needs 	 family ( husband , 14 yo & amp ; 12 yo ) stay 3 night . definitely heart city . fairly quiet downtown . extremely helpful friendly staff . free happy hour 5:30 - 7:30 nightly . hearty breakfast . clean room . would stay . 
 Oct 2 2007 	 Meet Expectations sum ! 	 town city wide convention . service staff great . room clean well keep . trouble hail cab busy morning crunch time get McCormick Place . walk Marriott not well wait 45mins line get cab day . fault Doorman / bellman location hotel . much well luck next day walk around corner Dearborn hail cab within 2 min . 
 Sep 13 2007 	 Great Location Good Choice 	 family stay late August five night . room good sized big city hotel room , two room mean everyone not top time . yes wall thin , hear city noise , expect ? be Kansas . breakfast fine , egg , cereal , yogurt , fruit bread . 's elegant dining consider hotel charge breakfast , be significant saving free breakfast travel child . staff , parking , cleanliness good . location central visit Chicago . neighborhood safe people hour . would return . 
 Sep 9 2007 	 Great Location Great Hotel 	 win hotel Priceline immediately go TripAdvisor check review . worried - recent review awful . since book stay Priceline choice stay . call evening request non - smoking room - & quot ; problem & quot ; - tell . decide push luck request early arrival - - & quot ; problem & quot ; . think not sound like hotel describe other , not see hotel room yet ! upon arrival clerk speak night check we - even remember speak . give non - smoking , early arrival room 11:30 ! lobby nice - let us go see room . atrium beautiful , room well appoint . clean roomy ! bed comfy also enjoy flat screen tv main room . room look State St little noise - remember big city , stay downtown - noise part experience ! love stay would highly recommend ! oh yeah , not forget free happy hour every night , nice way start head dinner . 
 Aug 20 2007 	 even well expect 	 would hear glow review Embassy Suites photo web site look average . pleasantly surprised meet three friend lakefront location Columbus Drive . room two double bed pull - out couch living room two night . room spacious Chicago hotel go , well appoint . bed luxurious comfy , view lakefront bonus , living room kitchenette pleasant . negative feeling & quot ; joint & quot ; step elevator inch way along catwalk sixteen floor atrium lobby . really prison like ! breakfast manager 's reception nice add on . though subject evening experience one night crowd await service manager 's reception look thirsty threatening . thunderous rush bar 5:30 sharp bit off - putting . chat wait table watch chaos 20 minute eventually get glass wine , overall experience hordish . full breakfast bad , hotel use elevator posting warn red green light times breakfast . take heed . 
 Aug 16 2007 	 sleep 	 room face State Street traffic keep we night long along noisy people next room . water pipe loud hear water run time . good night 's sleep run marathon next day . request safety pin housekeeping , never get . stay . 
 Aug 15 2007 		 pay 359 usd per night room . stayed two child . hotel depress we much try find another late , anything well book . first thing notice crowd people lobby , lift ( elevator ) , mill around floor . people everywhere . can not get away . see teen boy make osbcense gyrate movement hip other . the room locate around atruim quadrangle , look corridor enter room . bit like subsidise housing . mean never get away people careful keep curtain draw . room & quot ; suite & quot ; . shabby beyond description . the sofabe sag middle careful window / curtain also let light noise people coming go night long . top , host event restaurant non - guest til late night . forget good night 's sleep . oh end build face street , view back window multi - storey car - park ten foot away room . People parking see clearly they . breakfast sad crowd affair plastic tray , line line styrofoam / stryene cup . obviously mass - catering here- plate gritty feeling properly wash . say- hate place much . 
 Aug 5 2007 	 not expect much 	 maybe ' ve come expect much , say pretty disappoint four night stay Embassy . first impression walk hotel dirty . stuff lobby floor one seem least bit concerned . room request , suite two double bed , sell give we room king instead , knock $ 100 / night . ok , nice ! room satisfactory . litlle stuffy airconditioner not seem work well . find bed hard uncomfortable , sheet really , really scratchy . plasma t.v . hit kid , though . several time try call front desk guest service additional pillow blanket , one answer . get , tell not extra pillow . breakfast ok , although ' ve well Country Inn & amp ; Suites . scramble egg , bacon , sausage , pancake , yogurt bakery good . make order omlet also available , not . weekend , lot traffic breakfast , management great job keep everything move . also starbuck build . the concierge knowledgable subway give we great direction red line , short walk away . walk almost everywhere , except Cubs game . overall , pay much hotel room , expect quite bit . next time , will forego & quot ; separate bedroom & quot ; book standard room one nice hotel Chicago . 
 Jul 28 2007 	 Embassy ok 	 's awhile since stay Embassy Suites . location central location . room well appoint , not appear clean properly . main issue suite ventilation system air conditioning operate well . find stuffy room , air stale . end open window make difficult sleep downtown noise . the hotel offer valet parking cost $ 40 . package . front desk flexible we allow we leave car beyond checkout time not charge we . Breakfast usual Embassy serve satisfactory . overall , dissappointe stay . 
 Jul 16 2007 	 Perfect Kids 	 Embassy suit perfect family kid , although would choose boutique hotel not kid . hotel honor request 4 room row family brother ' family . teen love able go breakfast evening snack hour without parent ( although atrium architecture , could see tham time . ) atrium bring certain amount noise living room suite , especially Saturday night wedding ( thankfully , end time return free firework navy Pier . ) breakfast service weekend crowd , management work hard keep thing move extra serve station write advisory busy time . happy hour line could lengthy , move fairly quickly . feel mgt . top situation , responsive . Richard , weekend concierge knowledgeable restaurant , bus use , church service . I ask quiet room , mean back overlook parking garage ( street noise . ) parent hard hearing , love view State St. night . sure consider important you . the hotel pricey , location service perfect . 
 Jul 16 2007 	 great choice family 	 stay family trip Chicago . great experience ! clean comfortable . location unbeatable , walk nearly everywhere . would certainly stay . 
 Jun 19 2007 	 Location Location Location 	 good value hotel excellent location short walk Michigan Avenue many excellent bar restaurant doorstep , well easy access free Navy Pier trolley Gangster tour couple block away . the bedroom clean spacious say bed one comfortable sleep . downside bedroom think free wireless internet day age usually pretty standard . I impress evening free drink reception breakfast far well expect good variety suit taste . I certainly stay . 
 Jun 10 2007 	 great hotel ! watch noise ... 	 hotel almost perfect . proximity Magnificent Mile , along loop make great walking . be also great public transporation . the evening reception nice , little food free drink . breakfast also good enough get go morning ! complaint noise level atruim . room door face atrium , utilize bed living room , light - sleeper probably sleep . however , hear absolutely inside noise bedroom . overall , GREAT hotel price ! 
 Jun 9 2007 	 Great Value 	 get back 2 night stay Embassy Suites . great staff , great location great value would describe hotel . 2 block grand station connection Red Line get White Sox game ( easy access ever pro sport venue ) Michigan Avenue easy walk . navy pier trolley convenient location . Pizzeria Uno ESPN zone also short walk . the staff extremely friendly helpful breakfast much expect . great variety breakfast food make order omelet fantastic . two room suite give we plenty room plasma tv living room nice touch . they good deal could find downtown week get money 's worth . whole family would love stay . 
 May 31 2007 	 terrific hotel location 	 terrific location ; walk attraction ; take tour Chicago Trolley Company - 1 block hotel ; stop 13 different location ; 2 block Michigan Ave ; take architectural tour - beautiful ! great room ; typical indoor pool - bit warm / chlorinate - pool ; great front - door service - greet immediately upon arrival Michael pleasant we weekend ; breakfast great - nice seating area ; happy hour - nut , pretzel - nothing real special . nice room bathroom w / marble sink , etc . would stay . 
 May 5 2007 	 Great Location one Room Suite 	 attend conference Chicago weekend divide stay two hotel . priceline room Saturday night Embassy Suites Downtown . slightly interesting experience . think Embassy Suites ' room two bedroom suite . apparently one room floor list & quot ; King Parlor Suite & quot ; -- mean firestairwell living room would normally long hallway bedroom back . change hotel midway call ahead ask could check early . say King Parlor Suite available want . fine one night , bur little surprised walk room find one room . bathroom also small standup shower stall rather bathtub . toiletry actually nice ( herb scented ) nice provide Westin stay night before . the room clean well keep bed high quality , stay Westin night , obviously low star quality laminate particle board type furniture . say , solid three star hotel -- clean well keep .. one two wedding go night noise atrium noticably audible room well midnight . might well two room suite could close door bedroom . valet parking conviently locate right hotel -- think around 37 dollar per night . parking guy lift finger help get luggage car -- maybe 's job . location convieniently locate River North near Weber Grill restaurant . italian restaurant locate lobby look pretty good . 
 May 4 2007 	 enjoy trip 	 's would expect Embassy Suites Hotel . location great well breakfast happy hour . complaint fitness room warm safe room . love though ! 
 Apr 27 2007 	 Great Location ! 	 spouse spend two night pleasurable stay . hotel close Michigan Ave 1 block l red line . arrive hotel early check day staff allow we check . staff pleasent helpful . room clean . would certainly stay . 
 Apr 25 2007 	 solid hotel great location 	 stay five night two daughter . hotel staff always helpful attentive . parking valet especially nice . 's easy walk Michigan Avenue . drive museum . complaint : wedding one night young adult wedding partie loudly way night . wake daughter couple time . hotel staff slow respond . 
 Apr 23 2007 	 Fun Trip - Decent Hotel 	 Mom , sis meet Chicago girl 's weekend celebrate mother 's birthday . arrive hotel 8:45 Friday morning . able preregister desk employee tell could check back early 3 since room would probably ready . extremely friendly bellman take luggage tease & quot ; sad go shop ! & quot ; security also helpful locked laptop security area rather general luggage hold . we come back 2 room ready . 10th floor , corner room , 2 double . complimentary bottled water wait we HH member . room clean extremely quiet . bed / pillow extremely comfortable . pullout bed no - go flimsy . Sis mom end share bed : ) lucke one ! ! breakfast bar day crowd , around 8 day . choice normal bread , meat , egg . hot food slightly cold bread little stale first day . next day get cook order egg MUCH well . overall bad especially since include room rate . always go manager 's reception review it . the hotel offer free internet business center use two day check email get boarding pass . room ethernet cable ( forgot mine ) laptop use . location awesome block Michigan Ave . restaurant around walk everywhere . walk Oriental Theater Saturday night feel unbearingly unsafe walk back - speed walk back make 12 minute : ) overall , nice clean hotel , great staff comfy bed . great location ! ! 
 Apr 12 2007 	 Excellent location budget 	 family 4 get room would accommodate 6 superb value money . breakfast morning adequate manager free drink evening bonus . the staff friendly helpful , would recommend hotel anyone visit city budget . 
 Apr 8 2007 	 great location mediocre hotel 	 book far advance stick pricey , inflexible reservation . lovely view parking ramp . note luggage cart use bellman . 's lot nickel dim facility , not family - friendly . breakfast buffet largely inedible . 
 Mar 31 2007 	 good location decent suite . 	 spend three night business conference McCormick Convention Center . location excellent respect tourist location Chicago , poor get convention center . hotel staff nice gladly let switch room first evening due problem neighbor . hotel little noisy tourist traffic ( i.e . kid run around ) , evening quiet . room large suite , little overkill . kitchenette area need renovation . room , cabinetry warp stain floor near minifridge . everything else average . Breakfast include , consist standard bagel muffin , addition hot item like omelet bar , bacon , sausage , egg , hasbrown , etc . room not nice anticipate , overall experience satisfactory would consider stay option book . 
 Mar 31 2007 	 Comfortable - Affordable - Good Quality 	 hotel centrally locate many Chicago 's inner - city major business restaurant . close underground metro taxi service easy location . room quite comfortable need maintenance turn air handler & quot ; Summer & quot ; could get warm air 80 - degree room . manager 's reception quite nice make meal snack serve . secure reservation directly Hilton Hotels actually receive well rate ( $ 149 ) Expedia . one final note - Homewood Suites downtown far superior lodging accommodation also part Hilton Hotel chain . 
 Mar 28 2007 	 Hotel Staff Fantastic ! 	 spend past weekend husband @ Embassy Suites Downtown fantastic time . impressed hotel & quot ; extras & quot ; ( fabulous breakfast , Manager 's evening reception ) . equally impress friendly helpful staff hotel . definately stay next visit Chicago . 
 Mar 16 2007 	 Nice Hotel middle Downtown 	 stay convention attend . great place . free cooked order breakfast daily evening Managers Complimentary snack cocktail 5 - 7 nightly . lobby area actully floor ground level make nice place sit relax . also breakfast area . room mini suite comfortable . hotel close downtown within walk distance Navy Pier . city Chicago great town . member attend convention stay Sheraton Ritz across street we disappoint . pay everything include newspaper . deliver free daily room . lot family also would recommned hotel family . overall great place convienent . would stay business pleasure . 
 Mar 2 2007 	 Excellent Service ... close everything 	 stay particular property 5 year , move Lakefront Embassy awhile . renovation do great . service fabulous expect , room roomy comfortable well decorate . breakfast BEST ... cook order yogurt doughnut ... etc . hotel close shopping , theatre nightlife . enjoy valet parking free & quot ; deal & quot ; offer Hilton . nice pull heated car lot , someone park car take elevator checkin . loved doorman , kind friendly evening hospitality include hot dog , free drink munchie . 16 year old daughter take show & quot ; Wicked & quot ; great walk back . love Chicago offer love Hilton Hotels Chicago ! 
 Feb 16 2007 	 great location 	 great location ! Girlfriend w / e .... adjoining suite . nice size living room area suite , clean , good shower , lot towel , empty refrig , microwave , hair dryer , drape make room really dark . entire staff extremely friendly & amp ; helplful . walk distance Water Tower Place , & quot ; bean & quot ; , restauant . include full buffet breakfast ( hot / cold food ) lot seating ; also manager reception evening . nice lobby . would HIGHLY RECOMMEND ! 
 Jan 23 2007 	 Loved ! ! ! 	 hotel beautiful ! location awesome . large , spacious room . large bathroom , clean ! everyone helpful . free breakfast really good , nice tv bar area . elevator fast , never wait . parking great underground , do not worry car . street hard rock , rock bottom , rock & amp ; roll mcdonald . 5 min ride navy pier . 5 min walk michigan ave . perfect perfect perfect ! ! would definately stay . 
 Jan 17 2007 	 happy Embassy Suites 	 return 5 night stay hotel husband . location perfect . two block Michigan Avenue , one block Grand Subway station . also starbuck right beside hotel small grocery store right across street . breakfast hotel normal stuff breakfast buffet , omlette nice . nightly reception also great . crowded weekend , never wait minute line breakfast drink night . room service so - so , price , one night dinner . room look like redone recently . linen nice . little bit street noise night , exhaust every night walk around hardly notice . workout room great , 3 treadmill , 2 eliptical , 2 bike , plus free weight . tourisist stuff really enjoy Chicago . highly recommend go see wicked oriental theater . outstanding performance enjoy venue . also check restaurant.com go , many restaurant downtown area . amazing dinner Chestnut Grill Chestnut Street near Hancock building . buy gift certificate restaurant.com $ 10 use . 
 Jan 4 2007 	 freeze cold pool ! 	 husband , 4 year - old daughter stay property December 30 - januray 2nd . overall , hotel clean , staff friendly location great . unfortunately , problem . our room , upon arrival , cold cable break . custodian come fix problem successful several hour work . big complaint pool . tile appear dirty temperature water cold . complain first day staff admit heater turn ( ? ) would increase temp follow day . next day , although bit warm , still cold we swim . since pool daughter 's favorite thing hotel , cold temp really dimishe enjoyment . return hotel . 
 Dec 27 2006 	 2 Stays - Awesome ! 	 Family stay two night begin week one night end week . ' m sure great place stay Chicago , would hard beat Embassy Suites Downtown . staff - doorman bellhop front desk breakfast evening hospitality crew - first class . request meet smile & quot ; sure & quot ; attitude . none night sell , evening breakfast crowd bad . Friday night stay , definitely familie child . noticeable pool business center ( hotel ban 18 business center ) . get incredible internet rate Hilton web site , place would worth high price . place modern everything great working order . breakfast line efficient get omelette start add ingredient request - help keep line move . always able find plenty eat place sit . there grocery store right across street plenty restaurant within easy ( safe ) walk distance . grocery even good deli counter hot food . go Navy Pier , free trolley fine , frequent bus ( bargain $ 2 per adult old child ) . someone tell family take cab - $ 10 , include tip . Chicago Childrens Museum really load fun - check local museum reciprocal membership privelage . I definitely try stay return trip , especially great rate . 
 Dec 27 2006 	 nice overpay 	 Booked mid nov embassy web site get internet rate $ 249 . thought deal , check week leave see could save $ 75 night . ever book internet rate . book $ 249 king , ask could accomdate double got , say , since pre - pay room . almost $ 1000.00 . sad thing hotel half book could double really want give one , Hilton Member . breakfast good , evening reception good , love Chicago , next time stay cheap hotel . 
 Nov 29 2006 	 great stay Thanksgiving 	 family stay Thanksgiving holiday . although hotel busy , staff deal everything wonderfully . warn lines morning buffet would long , never encounter bad wait . breakfast selection good , never vary . could get old staying long time . hotel exceptional location - convenient shopping Michigan Avenue many excellent restaurant within easy walk distance . internet available , free . 
 Nov 26 2006 	 great experience embassy suite 	 stay embassy suit thanksgive holiday . check easy fast . room nice clean . arrive room , maid come bring we ice terry robe use stay . evening reception nice also . bartender friendly , even though wait line drink . ( hotel book full ) . breakfast omlet good also , complaint would buffet food could hotter . overall satifie stay , would stay . 
 Nov 6 2006 	 Awesome Location 	 Embassy Suites Downtown locate middle everything . room comfortable clean . love complementary breakfast free drink serve 5 - 7 . 's Starbuck 's ColdStone Creamery building , love . be almost impossible find hotel spacious price ! 
