Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Dec 20 2008 	 Cheesier Cheez 	 within hundred yard hotel ( Hooters , Las Vegas ) know make huge mistake book two night business trip . place run , poorly maintain filthy . must lay maintenance housekeeping staff . place look like hd not paint 10 year , cheesy orange chip paint place drab gray paint building . rot wood elevator graffiti smell awful . ever get place . check staff kid major attitude . go non - smoking room find black grease sink tub . shower still pubic hair previous guest . find , poor drainage tub . 10 minute shower leave water ankle . towel smell like cigarette smoke blanket comforter dry blood . room lock connect door second room spend first night listen couple get paper thin wall . order Philly Cheese steak sandwich Hooters Bar give food poisioning . need say .... oh , $ 100 free play money also joke ... use $ 100 pre - select $ 5 slot machine can not win money unless earn 17000 point , get $ 50 buck . save anguish , do not stay place ... 's far rest trademark girl skimpy low class outfit . 
 Dec 12 2008 	 good location good price 	 read lot bad review little afraid go open heart . book cheap category get upgrade directly Ocean view guess good category . we get quite large double room great view large hotel strip . bed comfortable especially pillow . room hallway little worn much think it . the casino small okay hang bit hit strip . location really super , close airport ... cab take 5 min cost like 13 dollar . walk hotel strip 5 minute , inside MGM 3 minute also locate small supermarket need buy sodas stuff . we pay 28 dollar night price supergood value . 
 Dec 12 2008 	 Sedsy 's Hooters Review 	 discuss go Vegas somehow manage find crack return flight hotel package . to keep cost decide stay hooter hotel give we 5th night free . I wait year go trip Vegas term expectation honest expect simply sleep Hooters really anything else . do not expect anything place , maybe unfair jugde get . long mingin flight , plane finally land airport could see hotel certainly do not look impressive due fact monster MGM Grand directly behind . look form outside take account inside Hotel really impress well beyond expectation book . the main floor decent sized Casino complete Roulette , crap , Blackjack , poker good selection slot gamble 11 month worth saving away , get in.the room clean would probly compare Travel Inn Travelodge similar back UK . room theme tropical style good selection tv channel , good sized bathroom powerful shower , electronic safe ( crucial do not take full wedge blow Black roulette ) .The downside view get airport , honest be not load enough wake airport seem busy day anyway , plane spotter room would great you . but do not go Vegas look room admire view , go stratosphere that . the hotel good sized pool area outdoor pool bar . food drink facility also well expect Dan Marinos Restaurant , hooter couple bar include notorious dixie country bar $ 1 Bud light draft free bird 7 - 10pm wednesday thursday . if go vegas budget would certainly recommend Hotel , offer good room good location access Strip other hotel . certainly would stay future . go group lad young crowd people would great place stay . ' ve stay plenty hotel different place america Europe certainly stay bad place pay pleasure . 
 Dec 11 2008 	 Loved Hooters 	 recently stay Hooters Hotel Casino first week December . spouse 5 couple . stay past property San Remo , find convenient nice place stay like location , think would give Hooters try . impressed & quot ; makeover & quot ; casino , lobby , bar restaurant pool area . place fill & quot ; regular & quot ; people like we , Vegas National Finals Rodeo enjoy small casino hotel & quot ; budget . staff dealer meet extremely friendly whole place comfortable . late night casino busy , crowded , play great music , could also see great live band Dixie Bar without pay cover . room clean refurbish , bed extremely comfortable ( everyone group comment ) room Tower area . thing would consider need improvement : carpet hall room & quot ; new & quot ; clean , show 's age . doorway paint chip general scuff room , nothing bad stay . price go food drink , since San Remo day , every place Vegas . hooter still economical convenient place stay . not take hour get room , make round casino find friend . drink good , actually alcohol ( unlike & quot ; big & quot ; casino serve ) pool area nice cozy hot tub fire pit bench around . place MGM Bellagio , be comfortable , fun . say would definitely stay , fit bill we perfectly ! 
 Dec 9 2008 	 Great Low Budget Experience 	 , girl pack car , leave kid grandma ' house , drop top Eclipse head Sin City . pure mental health trip need break work kid and … you name ! Las Vegas good way balance thing we . trip however , present new challenge we … Vegas budget ! cash little tight trip , split gas friend find killer deal hotel . hooter Hotel casino present perfect opportunity . travel professional , manage get room half usual weekend rate . bring price $ 100.00 weekend , ' argue . décor hotel readily describe type " Spring Break " atmosphere . amidst gambling table machine welcome beach atmosphere complete decorative surfboard , grass skirt style paneling wall , palm tree beach concert style stage dance floor . particularly incredible look , compare neighboring hotel , bad . money pay well money ask , ' say well worth . course " hooter girl " walk around tank top short short , do tastefully , nothing scandalous . surprised bit , though Hooters Las Vegas would way top & amp ; scale , low key subtle . ' still plenty flesh feast eye ' ' ! room really interesting . presentation follow rest hotel Spring Break feel . ' warm basic , give feel beach house bamboo trim wall harden wicker cabinet TV . bathroom standard size , nothing special , however provide perhaps good hotel soap ' ever use . ' leave skin fell strange , soft . everything else room great . bad smell , everything clean whistle , plenty toiletry item bad view pool area . elevator may little scary claustrophobic . tight little shaky , big deal though . girl get little worried , " ' going fall ? " ' crack up … restaurant pretty good . nothing fancy , might expect build Hooters logo , nice bar grill atmosphere . food really good moderately price . thing stick mind fact restaurant open night . perfect late venture thing close . would long walk hooter get favorite eatery . 24 hour spot hotel ' cost arm leg come handy . may perfect place low budget Vegas trip without sacrifice action strip . hooter still boast on - strip location make thing accessible . lovely time without break bank ' stay dump either . ' certainly recommend Hooters anyone look Vegas modest budget still close enough action drive everywhere . 
 Dec 8 2008 	 Great Location Inexpensive 	 stay four weeknight Hooters Casino Hotel Las Vegas bungalow ask . location great , one block strip , MGM walkover NY NY Excaliber . room small clean , housekeeping staff nice . one small maintenance issue come 10 minute fix . parking easy large hotel . pool nice . want luxury like Bellagio Wynn , place . get around 10 11 stay till midnight later long room clean fairly comfortable fine . would like another chair beside one room maybe small table , complain . king size bed comfortable . breakfast Dan Marinos one morning come package . not great comp , fine . eat 25 cent wing midnight one night Dan Marino 's fine . never line front desk need anything . hear horror story other trying check huge place . work hotel resort area 600 room place would consider large Vegas , small . make intimate . they charge wireless internet , vacation not use , expensive place charge . would nice hotel even though charge internet access , let print boarding pass free . hooter not pay $ 6.95 girl gift shop nice help computer print . 
 Dec 6 2008 	 last time stay 	 stay hotel Thanksgiving take advantage freebie offer , ie free breakfast buffet 2 $ 200.00 free slot play . wife eat buffet first morning use free coupon , ok could see go back next day spend $ 9.99 person buffet . combination ready serve quick heat food dry danish . stay Marrott hotel & quot ; free & quot ; breakfast much well . elevator go garage filthy . do not even try eat Hooters Restaurant becouse last time early summer service extremely poor . second morning maid hall early morning cleaning room . left get back around 4 pm discover room be not even clean . go desk , wait line 20 min complain . hour later 2 maid show clean room . bottom line , , , , , , , , this dated hotel Hooters Corp buy , throw surfboard hall decorate wood . I ve twice service poor . advice take money price , , , , , usually less , , stay road Orleans . never go back Hooters Hotel Las Vegas recommend family friend . 
 Dec 3 2008 	 Hooters - $ 1 dixie draught ? ! can not complain 	 , group we book trip Hooters January . 10 month , hit Vegas . hooter place ! ! think long deal good true , hooter going let . read pretty poor review , expectation certainly high . want roof head , clean room , reasonable food service . firstly location . know near MGM grand , huge , right strip . literally 5 minute walk away main strip good access New York New York , MGM , Excalibur many hotel . cost we $ 12 Airport Hotel , see land . secondly , staff . 99 % time great . everyone friendly , thank Giving . find review people leave say staff moody bad probably reflection reviewer personality . staff great friend , always good morning , always offer assistance . odd one bit moody , get everywhere . also staff , Hooters girl get progressively well week go . girl dixie phenomenal look , , friendly . Food Drink well place , like Vegas . $ 4 american beer , $ 1 draught night dixie great value . even weak pound dollar . eat Hooters restaurant one night , , service great , food good . the room much expect . clean towel every day , reasonable selection tv , clean tidy . people must got dodgey room , mine spot mark . one complaint get 50/50 view . one side strip , one side Motel 6 Airfield . shame , come Vegas look window ? ! , real reason go Vegas gamble . want big big casino 's , Hooters great place start end night . say early , location spot near strip , near monorail station middle strip also . overall , expect lot ? . go beyond expectation ? yes . I would problem recommend Hooters friend , would problem stay . reason would not could see rest fine hotel Vegas , return not stay hooter , certainly pay visit . 
 Nov 29 2008 	 Cheezy expect - worth $ 29 less thank block Strip 	 check - in staff friendly neither lady bartender ( maybe ' m girl ) . hot tub not hot , allow spend 3 hour getting know brittish guy . room motel 6 quality , bathroom mold calk around bathtub . however - pay $ 29 one night - well worth $ 29 less block strip ! ! stay want close strip can not get room $ 100 ! 
 Nov 26 2008 	 Crap time Hooters style 	 Vegas several time , never let hotel standard , top range good , Stratosphere & amp ; Sahara . time travel partner book Hooters ! well locate & amp ; far airport Monorail MGM , accessable . advertise floridian theme , never see grey drab wall inside & amp ; Florida , dull . room , 621 low standard , stained carpet , poor decor , look onto airport flight path take noise . interconnect door , 622 could hear ! point early morning , 3 , 620 either someone ride heaven adult movie loud . wall thin , unbelievable . breakfast another bad experience $ 9.99 , watch , juice , toast etc extra . basic breakfast poor selection , $ 9.99 ! service poor , hold wait seat place nearly empty joke . waiting staff , bar one lady , dreadfull , tip there . the whole place well par every respect . add insult check , ok , friend hand bill drink never . someone charge large round 9 Buds & amp ; prawn cocktail room . obviously bar staff care check validty order . pay & amp ; await outcome . when look deal Vegas , hindsight turn & amp ; get MGM venetian friend wife wish , plenty room . sadly stick Monday depart Saturday morning , fault ! ! one reading , please , please go hooter , certainly Hoot , quite dreadfull . take care & amp ; hootered ! ! ! ! ! Les wilkinson ( un happy Brit abroad ) 
 Nov 18 2008 	 ; reccomend place 	 usually stay simple place save money thing trip . motto safe clean happy . want say case , can not . room smoke even though ask nonsmoking . tub faucet fall time room well tiddie like 14 year old tidy 's room force . hallway were simply dirty elevater work slowly sometimes . plus super close strip RIGHT strip super convenient . small , parking breeze get room take 5 minute comparesd half hour big place . staff polite room part quiet . end though can not reccomend . choice , either stay bit strip save money nice room ( big deal car ) pay maybe 10 30 dolllar night ( thing competitive market Vegas ) stay nice place strip . dressse go feel bit like freak go casino car . simple casion casual people . suit cocktail dress couple walk really stand . 
 Nov 15 2008 	 good hotel nice stay . 	 stay 3 night end October . room big clean . give we clean towel every day change sheet . hotel casino lay back lot . certain day lady drink free 5 - 11pm Dixie bar . take $ 200 gameplay receive grain salt , course be go win machine rope area hey , fun 30 minute right ? unlike comment , girl curvy enough we dress halloween . run rude staff member , everyone friendly . 
 Nov 13 2008 	 Value Dollar 	 stay October 2008.i look inexpensive room Las Vegas week , choice . the hotel clean room well furnish , bathroom also clean . one negative tissue , manage . if go Las Vegas look hooter . 
 Nov 10 2008 	 Shabby ! 	 3 Ladies go hooter hotel quick , cheap Vegas getaway . hotel okay . obviously old hotal re - vamp tropical decor . if look clean , neat fancy , not place . bar stool break , bathroom counter stain , drian shower back . pretty decent . , 's place sleep long day strip ! bungalo way go warm month . back directly pool . music pool turn around 9:30 , annoying . if look cheap , EASY ... go hooter ! 
 Nov 10 2008 	 Thought Hooters suppose woman ! 	 stay Hooters Hotel Casino Hooters experience get neighborhood Hooters . majority Hooters girl frail thin curve except one obviously go knife . sure girl not look old enough work casino serve drink . curve Hooters . disappointing . 
 Oct 24 2008 	 Hooters truly fantastic 	 wife stay 15 night recently first visit Vegas UK . amazed read bad review fantastic hotel ! room clean spacious bed enormous . ideally place near airport ( $ 10 taxi ) also walk distance strip . $ 200 free slot play limit promotional machine ( jackpot win pay ) take advantage free show see ' mentalist ' Gerry McCambridge . fantastic show completely free , catch . pool area extremely clean relaxing , wife especially enjoy hot tub . staff friendly eat Hooters restaurant number time , visit food service excellent . last night pay picture Hooters girl restaurant photographer generously give we two picture price one ! tip other , Excalibour Hotel offer time share tour excellant prize go . spend 3 hour ( yes know , 15 day not matter really ) listen woman talk intention buying . end get free Lance Burton ticket ( tax pay ) 5 x $ 25 voucher food / gambling Mandalay Bay , Luxor , Excalibour , MGM Grand Mirage . afford lose morning know say & quot ; thank & quot ; would highly recommend ( three excellent meal make profit gambling ) . 
 Oct 19 2008 	 great room great staff great surrounding 	 stay Hooters travel agent , hear lot positive negative many hotel . personally stay Hooters would recommend anyone . staff super nice friendly . bed comfy room spacious . good thing lot people notice , dose not take 30 minute walk front door room , casino not huge not lot walk ! look forward next stay hooter ! 
 Oct 17 2008 	 bargain 	 book room late September 3 night/4 day stay Las Vegas deal $ 29 night . insane price Columbus Day weekend deal top : $ 200 free slot play , $ 25 match play @ table , free drink @ Dixie 's , free breakfast buffet , free night show ! ! ! ! little apprehensive reading review . figure , check lousy know would option . figured almost 5 hour drive San Diego arrive hotel 3 am , check problem give room 14th floor Ocean Tower . surprise room big , spacious & amp ; clean . stain carpet , not plan sleep carpet anyway . two clean , comfy bed decent bathroom . mention make counter next minimal closet . it bad extremely impressed . not Bellagio Caesar 's Palace .... be Vegas need room shower nap . hell go room ? 
 Oct 13 2008 	 good 	 get 53.00 per night rate . really good room . think clean bed comfortable . place quiet night -- close airport take landing noise day airport noise night . casino fun . pool area nice . would stay . 
 Oct 6 2008 	 Cockroaches mold dirty carpet ... oh ! 	 book room Hooters Casino Las Vegas brother 's 21st birthday . hotel hall extremely dirty stain . room , first thing find bathroom floor cockroach ! ( later another cockroach find roam bathtub . ) disgust . inspection shower curtain several mold mound gowe . would expect cheap motel pay $ 150.00 per night stay infested hotel . ( think charge extra cockroach mold . ) travel Vegas well 8 time per year bad hotel yet stay . needless say , brother 's 21st birthday one remember , Vegas style memory hope ! 
 Sep 26 2008 	 Pleasant stay awful Excellent 	 recently stay Hooters casino / hotel , bit apprehensive first read negative review bu book priceline take lose out . thankfully suprise get room tower spacious twin room plenty room importantly clean , do not see dirt othe mention . the pool great tend get crowd sometimes would not like bungalow music dawn till dusk , could slightly hear tower . find th staff friendly enough do not really load dealing can not say would handle complaint . oh shampoo conditioner smell really lovely . its good location short walk tropicana MGM , walk prob less get casino roomFor money charge get pay do not go expect swanky hotel . 
 Sep 26 2008 	 Hooters Restaurant YES - Hooters Hotel ! 	 stay first month open LOVED ! stay last Saturday , September 20th . time not . deterioration unbelievable . be pretty obvious employee really not care facility . hotel hallway room carpets black dirt . even see dirt track permanently carpet luggage . not believe ever wash carpet . maintenance room nil . bathroom multiple mold rust stain , miss shower curtain ring , toothpaste front sink , dirt crevice bathroom floor . room filthy carpeting stick tape paper / toilet paper wall bathroom door . could not miss find hard understand could still . end room 839 , look ! slot machine promo truly joke other say . approx 12 machine rope . stand line push button $ 2.00 machine 3 win combination . also never see anyone win anything . actually 50.00 coin add total allow cash one 3 win combination designate . comedian also worthless . several people walk program disguist . old joke ... definitely recommend find new material . hear . could easily upgrade facility make liveable apparently choose . new carpeting , new paint , employ friendly people take pride good job . one highlight - band Dixie 's , Country Western Bar , night . amazing not even like CW Music . , not stand bar . will stick floor . walk right shoe floor sticky . husband get chuckle . , always love Hooters Restaurants plan vacation around world . hooter wall bar home . , ' ve really lose facility . need make real change bring back standard make resideable . be bad .... love first time . would stay without serious renovation even great location great price ! 
 Sep 25 2008 	 great service/ room stay around 	 6 we book stay Hooters weekend see Jimmy Buffet MGM across street . check breeze counter help great . book King size bed however 3 couple get 2 single ? room king ................ room clean , hair clog sink , hair dryer break junk floor behind anything vacuum could get . two four light bulb sink . call get replacement hair dryer right away . Dan Marino Restaurant arrive plane empty , bar close 11:00pm server let we know last night go well place restaurant long highly rate . pool side service worst , waitress take drink food order time . wait 20 minute chase see could least get drink . said & quot ; OH think want drink food come & quot ; ? ? last night stay concert night . eat Hooters Restarant fabulous server name Stephanie . make well bad situation . order begin get food except meal forgot seafood . Stephanie remove charge meal . gift shop really fun item staff kind . say next stay Stratosphere November . 
 Sep 23 2008 	 Bad Promotion 	 positive negative -- arrive early able check process quick one else line . book directly hotel 200 dollar free casino credit ... do not lure promotion .... certain slot machine include do not think anyone ever .... can not cash win . bad promo . , decide factor book hotel . hotel close airport , cab fare 13 dollar . however , far away Old Downtown Vegas .. cab fare 30 dollar tip . bed awesome .. shower pressure ... take 20 minute take quick shower . 19th floor though . huge pool area , 50 - 100 guest max would many people ... one bartender Saturday huge group hard time get drink . perfect lay jump cool . water dirty film top .. could huge group people . love hooter wing ! ! always good ... breakfast buffet 9.95 , kind expensive , convenient . sure dinner buffet . ALWAYS cocktail waitress get drink casino area inside bar . nice , big hotel could hardly find one . c lose MGM , Tropicana , Excalibur New York New York . hotel bite walk . overall , would say lured promo would stayed elsewhere . would stay get hotel free around 30 - 40 night total . 
 Sep 13 2008 	 brilliant time hooter 	 decide stop hooter last year party go Vegas stop really enjoy it . I honestly say not problem hotel all . the location great , room large spacious comfortable bed ' ve ever sleep ! ! pool also great . its location southern end strip really handy consider price hotel vicinity really good value money . the main benefit though size hotel , big . I ' ve hotel Vegas take age get room . we brilliant time would definately stop next time be Sin City . the compliant make dirty carpet corridor Dan Marinos not good care , Vegas full restaurant . 
 Sep 12 2008 	 get pay 	 stay Hooters September 2007 . book bungalow category poolside downside , hand , really cheap . guess get pay . room clean , however , carpet bungalow part Hooters horrible - corridor room . dirty smelly . another downside fridge room . , however , really like pool . great fun casino , enjoy restaurant . service good . close strip real budget alternative want pay price big hotel strip . overall , recommend place . might want choose bungalow category though : - ) 
 Aug 30 2008 	 bed comfy 	 2nd floor bungalow face pool . yes , real balcony ! bed comfy , view great , not spend much time , Vegas ! great time gamble hooter well place long day fun sun bed soooo comfy , sleep not issue . ( pool music turn 10 am though ... ) 
 Aug 30 2008 	 Three Nights Hooters Las Vegas 	 arrive Hooters 9 am , allow check 4 pm . somewhat small hotel Vegas standard , plan early check - in ! casino rather small , hotel nice location near MGM Grand , New York New York , Tropicana Excaliber . the hallway dark old stain carpeting . room decent , clean lively Hooter 's orange decorate interior . many outlet portable radio charge cell phone . bed comfortable . floor quiet . housekeeping service efficient . Hooter 's restaurant great good chicken wing . cocktail server great Hooters well spicy Bloody Marys ! S.A.S.S . spa great ! highly recommend either massese , Danielle Lora . different technique Lora rather rough shoulder massage . would recommend Danielle . there be tv checkout , plan go front desk handle that . hooter near McCarran , would suggest visitor cab instead use airport shuttle . 
 Aug 28 2008 	 Fun place play stay 	 compe 2 night base play do early month . play 2.5 hour earn 350 point yet still send offer , nice . I give room 427 Bay View tower , old tower . walk hallway realize room end . thought & quot ; hey , must give suite ! ! & quot ; . luck . fact , ' m sure one bad room hotel . enjoy lovely view large AC unit , parking lot Motel 6 across street , order ... lol . it be true bungalow room run , like basic motel bed comfy pillowtop 24 hour day room service ( b $ 10- $ 15 , L $ 10 - 20 , $ 15- $ 30 per item ) . small balconey nice . watch plane land McCarran awhile enjoy drink . oh , sheet towel stain look like coffee . nicer hotel would not put stained linen . to fair , hotel not part Hooters . run another company . think one run Sam 's Town use toiletry . also run Saddle West Pahrump , NV , stay several time . also , wall thin . wake 1 am couple next door argument . would usually enjoy hear couple fight time day ( night ) .Hooters restaurant serve good grub ok price . 's nothing fancy portion large tasty , bring drink refill without even ask . the casino fun . not make money hit enough good bonus round play hour drink free Michelobs . drink service good here . I get comp ticket see Gerry McCambridge : Mentalist . joke . leave 15 min . not waste money . wait til 9 pm see Bobby Slayton instead . know be trouble guy ask applause . funny , audience really . maybe ' ve never see real Vegas show . not it . Bottom Line : ' ve stay Orleans , Bally 's Main Street Station past year . would recommend waaay would rec Hooters , even cost little . hooter fine be count every dollar ( type room go low $ 35 sometimes ) little extra , get much nice room one property . stay Ocean View room , new tower . cost ' m sure be worth . 
 Aug 27 2008 	 bad 24 hour 	 always enjoy friendly atmosphere San Remos . go stay 8 year . year plan early , pay room month advance look forward another enjoyable trip Las Vegas . worst 24 HRS . hooter ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! get late Sunday night , find would allow boy desk charge $ 750.00 charge account . case trash room , . agree bring figure $ 500.00 cash . tired 5 hour flight pay know full well would get back end trip intention damage anything spend dime absolutely necessary . hotel well room poor shape . our bathroom floor caulk around fixture dirty . room scary , worn bedspread filth , poor workmanship wood add ceiling every place else put . will not even talk bad carpet need clean someplace need replace . look like take old San Remos nice clean room try give cheap facelift . good cleaning would gone LOT . extremely loud music extra gaming table squeeze & quot ; casino & quot ; area make hard get around . lot & quot ; seedy & quot ; look people lurk around , make feel uncomfortable . thought stick 8 day . thankfully , husband , discuss misfortune , set player card Sam 's Town Hotel & amp ; Casino , offer price $ 40.00 per night . jump chance put Hooters behind we actually great vacation . also , require $ 750.00 even $ 500.00 case damage anything . happy we . will not patronize Hooters suggest anyone , Smarter PA couple 
 Aug 27 2008 	 great time ! 	 Read review frighten first staying , would definitely stay . stay Ocean View , room clean spacious . bed super comfy , good sleep long night . price get , great steal . not strip , close enough . not mind walk plus monorail across street convenient . sure , stay well hotel high price like MGM , hooter perfect lay back mid ' 20 ' 40 's not mind fun crowd . plus , Vegas , not waste time hotel , get , use pool , walk around strip fun casino everywhere . overall two thumb ! ! ! 
 Aug 23 2008 	 great everyone . 	 overall stay hooter expect . do not think hotel casino part strip . . not think hotel casino luxury , high end , not . however , bad . hotel friendly service . casino game easy win oppose other strip , hotel room spacious clean . mention , bed phenominal ! location price can not beat either . the pool great , entertainment good , hooter girl dress approriately casino . hotel show age , need another renovation . summary , traveller not mind stay motel 6 type will not spend time hotel .... hooter perfect you . if traveller high expectation , want impressed , and/or pamper , not fool Hooters marketing , . stay one major player across street . 
 Aug 19 2008 	 Vegas baby ! ! 	 read review decide make mind ! vegas memorial weekend may watch ufc stag party stay nearby MGM Grand . the Hooters room huge need , true corridor might need lick paint come vegas sit room ! staff friendly , even get replacement room swipe card one buddy need get room , offer bring back tell worry ! casino staff first class even give help hand blackjack table sometimes ! ! ... place overall less pretensious vibe large casino , fun ! food ok , bit greasy sometimes doctor order night sauce . excellent location opposite MGM,5 min strip , Excalibur , Tropicana , New York New York , Luxor Mandalay Bay nearby , would choose Hooters lay back party vibe lovely Hooters lady ! VEGAS BABY ! ! 
 Aug 19 2008 	 not 	 stay hotel delay flight . staff friendly & amp ; helpful ever find . restaurant dreadful , dirty & amp ; nasty . filthy plastic seat , appalling buffet . bedroom revolt carpet , tv work , internet work . graphic pornography tv work . horrible , horrible , horrible & amp ; not pay ! 
 Aug 19 2008 	 fantasic 	 little worried stay due odd review price pay stay ( hooter website average $ 50 us night ! ) , moment arrive fantastic ! stay later Luxor ok room not fancy ( suite luxor ) , clean right next pool . one bad point fridge ok chip tile bathroom hall carpet see well - hell care chip tile ( luxor ! ) not sleep hall ! pool great fun ( 18 - 30 's ! ) like fact be not 1000 kid annoying time , honest prefer pool one Luxor ! food brilliant sensible price , drink . the hooter girl service great increadibly friendly . friendly , personal feel casino do not . right next strip 100 % well value money ! stay want experience one hotel ( break night canyon ) go back vegas would pick Hooters Luxor every time ! value brilliant would rather spend money thing room spend time really ! Overall Fab ! ! ! 
 Aug 9 2008 	 Hooters - give chance ! 	 quick review 3 night Hooters . stay 3 night late July total 3 room / 6 people . everyone great time . upgrade bungalo room would book tower room charge , ask . front desk folk friendly fast check we . casino / hotel remodel old place , clean enough . make fair comparison place stay , must factor price . pay $ 25 night expedia give we $ 50 gas card stay 3 night . room spacious clean . bed restroom perfectly acceptable . pool large fun atmosphere go . join player club 1 4 we actually $ 50 free slot play . People complain free gambling crack . think everybody win ? 2 3 we use 2nd offer $ 25 match play table game also . Bud Light drinker like , provide tall aluminum bottle gambling . arrive home , email offer free 2 night stay come back . would recommend avoid midnight 0.25 wing good . will not get level luxury lot hotel / casino Vegas , want spend money sightseeing gambling instead pay $ 100 - 250 night hotel room , stay Hooters 
 Aug 8 2008 	 good deal 	 great hotel price . pay $ 33 per night get $ 50 gas card expedia.com make total cost 3 night $ 50 . arrive give room upgrade without ask - figure happen often dozen room fill start upgrading . advice book cheap room roll dice test luck see get upgrade . room well would expect price , necessarily good . not spend much time room relatively low expectation LOVE steal hotel . hotel snob look elsewhere . also , skip breakfast buffet sub - par . get much well food elsewhere cost . play 25 cent video poker / blackjack bar back casino . will get constant complementary drink play beer keep chill 25 degree . Delicious . 
 Aug 5 2008 	 yike ! 	 would probably choose & quot ; terrible & quot ; category desk staff restaurant staff nice . upon check , offered be call & quot ; bungalow & quot ; category room . drag bag casino pool area , find room poolside . ' m without word describe nasty ! carpeting filthy , vanity sag dark dingy . smell fresh paint , cover smoke stain wall top cheap air freshener sickening - literally become ill stench ! could tell , 's old motel Hooters . wall concrete brick allow cell service internet access . music pool loud permeate wall . upon checkin , direct sign $ 100 slot play ridiculous thing ! stand line cranky man sign we . stand another line 12 machine rope pre - set pay would venture say specific schedule . many casino offer $ 10 slot play machine choice . design get we gambling mood , - not spend dime casino annoying experience . would say , be young man celebrate 21st Birthday , place . pool look fun , hooter girl cute 's close strip $ 45 per night . be boring picky type - smell awful . 
 Aug 3 2008 	 Weekend Vegas 	 head Vegas meet friend see couple concert weekend . hotel previously call San Remo . hooter locate across street MGM Grand concert weekend . hotel typical one , pool scene , band play course gambling . room poolside first guess would think would loud barrier room pool not bad . room fine , nothing special clean enough . choose mainly price $ 100 night not rundown way location . 
 Aug 2 2008 	 Great Time Hooters 	 little reluctant stay hooter could pass good rate . good location close strip . take less five minute walk . the room decent price clean . hallway look like could use remodeling . love casino great time . staff friendly service great . 1 2 act though bother . table cheap day find $ 5.00 table . go swimming walk pool . look nice tiki bar . besides sight seeing stay mostly casino gamble . definitely go stay . helps marry couple . 31 husband 33 . husband love Hooters well . especially Hooters Girls ! lol 
 Aug 1 2008 	 really ok - well thought 	 Booked hotel thru airline include flight - $ 11 cab airport - arrive early 2 pm fast checkin . room ok yes basic bed really comfortable , plenty hot water . oh & quot ; 's coffee maker & quot ; say - live without - ask maid hallway -lucky understand ! within 5 minute coffee maker good coffee packet deliver . every day call housekeeping ask coffee packet problem . also enjoy swimming pool large basic hotel offer . room quiet ( 12th floor ) taxi back airport $ 8 
 Jul 25 2008 	 Unimaginative Management 	 travel 16 hour southern hemisphere look forward get head bed - - wait 6 hour ! ? brother - in - law book pay room email printout confirmation , name reservation , not mention name book ( form not ask name ) , not arrive six hour different flight , allow room . young duty manager seem take pleasure tell we would not let we & quot ; Las Vegas bad place lot fraud & quot ; . offer we buy another room ! go somewhere else ! ! . end force store bag go town brother - in - law arrive . surely could compromise arrive . apart room fair price pay . , location ( road MGM monorail , block Strip ) make hotel good value money . but would go ? no.moral story - make sure put name reservation make . 
