love 	 husband come hotel several year . location excellent , staff wonderful , room comfortable . lot old fashioned charm . hotel like home away home . also great access shopping , North Beach , public transit great restaurant . 
 Petite Auberge Hotel treasure ! 	 husband pleasure stay Petite Auberge Hotel recently . delight friendly courteous staff . room quaint , cozy comfortable . in - room fireplace add much charm hotel . breakfast delicious exceed expectation . petite auberge delightful change large , impersonal hotel . ' ve already recommend Petite Auberge friend . look forward stay San Francisco . Dr. E. Mr. J. Pieterse 
 Old Fashion Charm 	 stay Petite Auberge several time last year think home away home grand city San Francisco . centrally locate great resturant , entertainment , course shopping ! back visit San Francisco ! 
 Petite Auberge San Francisco Ca 	 one good hotel stay . fine service , friendly staff , excellent room great breakfast . would highly recomme next trip San Francisco 
 Nov 7 2008 	 Petite Auberge Sweet Home away home 	 great little hotel town area . Close Union Square China Town many attraction within walking distance . stay petite suite feel like little place pull french countryside . breakfast great lot variety also serve wine cheese around 5 pm friendly living room area ( fireplace ) . good quality breakfast wine / cheese include room price . but good part fabulous service everyone work hotel . go way make stay memorable . stay Petite Auberge ' stay anywhere else San Francisco hope visit soon . 
 Nov 5 2008 	 Cozy Caring 	 treat enter cozy small inn treat exceptional customer service homemade cookie ! chilly city day , yet quaint immaculate surrounding , fireplace delicious food invite we relax . location close Union Square public transportation site . staff friendly , helpful committed make feel welcome , comfortable eager return . 
 Oct 30 2008 	 wonderful place ... 	 good friend recommend Petite Auberge , stay many time past . first visit San Francisco location could not well . within walking distance everywhere want go . also comfortable homey . wonderful room fireplace . unfortunately , miss evening wine gathering , breakfast real treat . plenty place sit eat hang relax . cookie amazing ! definitely stay return area . 
 Oct 7 2008 	 second time visitor remain impressed 	 not sure would excellent experience almost 10 year first stay Petite Auberge . remember charming cozy excellent location get around foot . memories fond risk book reservation travel companion ; two well travel couple use excellent accomodation . not disappointed . hardly show wear 10 year , Petite Auberge not disappoint we . thoroughly enjoy stay reputation friend remain intact . 
 Oct 1 2008 	 charming french country - style hotel 	 enjoy stay Petie Auberge , small french country style hotel excellent location close Union Square . room comfortable well appoint ; fireplace . bathroom may small , clean . the breakfast buffet excellent wide selection fresh choice . daily wine reception hor d'oeuvre late afternoon welcome treat day walk around city , good way meet fellow guest share experience city . hotel staff helpful seem go way please guest -- something often find large chain hotel . it small hotel necessary amenity quiet , comfortable stay getaway . although find pool in - house restaurant , central location good restaurant entertainment make this . we would definitely go back Petite Auberge San Francisco . 
 Sep 25 2008 	 Petite Auberge welcome 	 second stay wonderful boutique hotel close Nob Hill Union Square . welcome staff . meet nice people late afternoon wine snack hour buffet breakfast . breakfast buffet good great wine appetizer excellent . hope come back many time . 
 Sep 11 2008 	 Mixed Review 	 really want LOVE inn / b & amp ; b , find heating system room work . give extra blanket one night , offer space heater last night . also , despite fact book & quot ; suite , & quot ; find bathroom , especially wall toilet area , properly clean awhile . spite , enjoy breakfast , wine / cheese afternoon spread . 
 Sep 1 2008 	 would prefer personal corporate place ! 	 wife fairly season traveler generally prefer small property one big corporate property . petite Auberge extraordinary find . seem two size room - big little - price accordingly . stay small room comfortable bit cramp . post photo show style room would guess reviewer think get large room pay small one . a / c room SF almost never need hot spell ask front desk fan deliver three minute work wonder . open windows let street noise live city be use that . the service attention terrific . freshly bake cookie available 24/7 one evening come back dinner face home make pound cake chocolate frost : full say yes still regret it . the breakfast wonderful . life can not understand reviewer would complain . fresh quiche , fresh roll , fresh fruit , fresh bread , boil egg , homemade oatmeal , juice really good coffee . could hardly believe good . sort spoil we rest day . the location block away Powell - Hyde Trolley within walk distance Union Square Chinatown . SF hilly , really really hilly be shape be well take cab . neighborhood mostly large apartment building mix small business small hotel . problem there . no one confuse property Hyatt . really matter taste preference like small , personal property travel will love one . 
 Jul 31 2008 	 like home 	 stay one night ' La petite auberge ' regret ' stay long . tour 3 week California 15 hotel visit , one prefer . hotel locate Bush street , close Union square Chinatown , accessible public transport .everythe make make feel comfortable . valet help carry luggage room , even elevator ( mention learn experience case hotel San Francisco , elevator mean ) .The staff friendly , helpful : really kind . propose keep luggage day leave want spend time visit pick later . hotel really cosy , decorate like countryside french auberge . room big clean cosy fireplace ; backyard , silent , probably road noisy . teddy bear wait we bed : ) note wellcome we . coffeemaker . lovely room , take complementary breakfast wich one good trip ! pleasant leave long day walk around city . even though ' take part , afternoon happy hour , wine , fruit etc .. can not get water , tea , coffe time . newspaper deliver door , surprise discover go breakfast ! love ' La petite auberge ' ; want stay different place city , book another hotel next night ( see review ) ; despite well review TA , dispointe regret much ' La petite auberge ' offer much well rate quality / price . 
 Jul 26 2008 	 Charming ! 	 stay 3 night - first trip San Fran . boy luck ! wonderful inn . room beautifully decorate gas fireplace . romantic ( practical cooler night ) . staff bend backwards we - friendly . one area could use improvement would breakfast . would expect breakfast lift Comfort Inn . not matter much though hike San Fran hill chase cable car , would eaten anything ! 
 Jul 26 2008 	 fantastic small hotel 	 belfast northern ireland.my husband stay petite auberge six nights.although really , not cheap well worth cost.the staff helpful friendly desk staff right cleaners.we one large room fireplace love .. breakfast lovely set we day.in evening wine snack also treat mean lovely chat guest make new friend .. travel along way please cute hotel . back.b . lilleybelfast 
 Jul 20 2008 	 good hope 	 picture review make hotel amazing . however come room next reception desk , stuffy , small nothing like website . pay US $ 220 per night room refuse stay there . we end stay hotel next door also own run hotel . see review place ( White Swan Inn ) . 
 Jul 12 2008 	 Petite Auberge fantastic 	 wife decide visit San Francisco celebrate 25th anniversary . extensive research , choose stay Petite Auberge base location , cost , amenity , review other . stress enough pleased choice . Petite Auberge far exceed expectation . arrive , give beautiful room fireplace large bay window . find bottle champagne chocolate , teddy bear bed ! room clean lay well . every morning eat wonderful breakfast hotel save we considerable time money . staff friendly helpful - Andy delight ! favorite part wine hor d'oeuvre every evening . feature great we meet many nice people world . could find one flaw hotel would certainly stay time return SF . 
 Jul 11 2008 	 great bed breakfast 	 stay Petite Auberge exceed expectation . room lovely clean ! morning wonderful breakfast highlight trip afternoon Happy Hour 5 - 7pm . meet many wonderful people thoroughly enjoy compare day adventure . hotel within walk distance Union Square Fisherman 's Wharf . staff provide we list area restaurant one great ! also want commend staff . friendly helpful . never hotel staff friendly geniunely nice . sure hotel old , outdated , well keep . definitely stay go San Francisco . 
 Jul 11 2008 	 Disappointed 	 little soundproofing floor , keep awake footstep . rather run , need refurbishment . noisy street , close Union square . ideal shopping , be all . room staff excellent . make feel uncomfortable wife light cigarette outside . 
 Jul 6 2008 	 disappoint 	 place stay want peaceful night sleep ! constantly wake , either really squeaky floorboard , clank water pipe , ( really loud ) sound neiboure room shower , finally maid loud outside door ( apologise fair , still ! ) tired real need overhaul . fine low expectation like real comfort peace & amp ; quiet . 
 Jun 30 2008 	 absolutely love hotel staff 	 moment book room treat wonderfully . get marry San Francisco hear great thing PA . room upgrade Deluxe King w / fireplace . champagne chocolate wait we along 2 teddy bear keep . every single employee treat we royalty , well yet family . breakfast wonderful afternoon wine cheese . hotel homey comfortable indeed like french Countryside Inn . room delightful . many , many thank Petite Auberge .. especially , Anna , Mary , Tina , Andy , day desk clerk whose name escape manager Eric . wonderful people anyone else whose name not get , make wedding honeymoon will never forget . back year spend anniversary . 
 Jun 15 2008 	 comfortable friendly 	 finding right hotel always challenge travel . avoid high rise hotel ... room feel airless hermetically seal . like ability open window . we greatly enjoy small chain call four Sisters , route , find La Petite Auberge , formerly relate believe . La Petite Auberge turn perfect , excellent location close everything , comfortable room , staff always ready assist make stay well . high rise hotel generally offer breakfast , another reason choice . definitely timesaver completely enjoyable fellow traveler . wine cheese afternoon right touch day run around city . thank petite Auberge friendliest , helpful staff ... definitely come . 
 Apr 21 2008 	 great value great location 	 hotel surpass expectation . ex - pat native San Francisco , back visit time hotel stay necessary . Petite Auberge , thing go well start . friendly , competent person phone , rate adjust off - season , easy find drive , loading zone front could park right door unload luggage - take grant downtown S.F. ! person duty desk stay prove friendly , competent knowledgeable . room small clean , charmingly furnished , comfortable . quiet room center city . parking arrangement practical . know stay next visit & quot ; home & quot ; . 
 Apr 14 2008 	 could well 	 location fine - bit uphill be shape ; room nice ( deluxe queen ) ; food amenity average good . wine cheese evening good breakfast consist hot food every day - good hot quiche . nice bread fruit pastry would like variation hot dish would like hot . unexpected hot spell room air condition . window open , lot exterior noise nearby bar street keep we awake two night . troubling noise water pipe adjoin room substantial . particularly troubling since room next take early shower ( 5:30 ) last 30 minute . call desk bring relief . staff great room charming bit worn . 
 Apr 12 2008 	 home away home 	 delight stay Petite Auberge ! pick combination location , price , & amp ; project ambience . upon arrival , pleasantly surprised hotel exceed expectation . indeed convenient & amp ; extremely affordable . also cozy , comfortable place ! set - up make feel like visit Grandma 's house stay urban hotel . fun part visit shortly Christmas gorgeous tree & amp ; & quot ; presents & quot ; living room , environ make complete comfy sofa , real fire fireplace , & amp ; endless supply cookie & amp ; hot chocolate . bedroom feel like , like impersonal hotel suite . bed great - excellent mattress , pillow , & amp ; linen - make difficult get room anything else ! hotel staff courteous & amp ; helpful throughout stay . delicious breakfast great treat sleepy morning ! everything delicious ... ! ; - ) criticism ( one call ) shower EXTREMELY small . ' m rather small girl , not know tall , broad man would fare ! building , be much do situation . not make stay less enjoyable relaxing . REALLY love place & amp ; absolutely stay . ! 
 Mar 21 2008 	 Perfect ! 	 husband stay Petite Auberge March 8 - 14 , 2008 . gem ! east coast quaint B & amp ; B remind similar place Cape May , NJ . staff courteous helpful breakfast delicious . late afternoon wine , cheese fruit put front lovely gas fireplace . location ideal public transportation two block away . room deluxe queen fireplace . lovely bay window roomy entire establishment show age need fresh paint . dirty - time facelift . absolutely would recommend Petit Auberge . make San Francisco vacation extra special . 
 Mar 18 2008 	 special place - charm 	 Staying Petite Auberge part romantic trip - first Las Vegas , two day San Francisco . ( know ... odd mixture ) warn : bit shock , come one huge room find Vegas - big bath , bed size complete japanese hotel ROOM , flatscreen tv , etc . on arrival enter room first , turn back & quot ; significant & quot ; & quot ; will kill choosing & quot ; . put cultural shock ! small room , one queen size bed two rather tall grown - up - get love enjoy : ) enjoy weekend ( 2 night ) much : hotel clean furnish deep love detail . antique bed / desk / wardrobe , porcelaine doorknob ( probably authentic , ) , lot lace pillow stuff -a wonderful , cosy place romantic weekend . really head heel ( ) , will even find strange spanish girl funny might cater Sunday breakfast ... bit harsh difficult understand - nothing spoil day . neighbourhood rather run , read review - 's liquor shop next corner hill - down ( urgently need dinner indian restaurant - food taste good , not look kitchen ... ) surprisingly good takeaway pizza place next corner hill - up . cable car stop far , think location ok give good base trip almost part town . nice idea single traveller : wine taste ( = get - together ) every evening . meet guest maybe explore city together . & quot ; White Swan & quot ; next door apparently offer - possibility breakfast wine taste house . 
 Mar 5 2008 	 hide gem many perk ! 	 Petie Auberge perfect San Francisco stay . little european style B & amp ; b compliment european feel city perfectly . Breakfast delicious , wine reception great break long day walk hill ! staff friendly helpful . good perk stay , however , afternoon spend complimentary Golden Gate Greeter . tour guide , Adrienne , wonderful . scour whole city experience neighborhood see site would never find . 
 Mar 3 2008 	 cute clean cozy 	 group 4 people ( 2 couple ) stay night city January . cute bear display throughout hotel , breakfast service morning , amazing time . location good , especially be plan visit Union Square -- spend time North Beach , use cab get around . we great time , highly recommend Petite Auberge romantic getaway San Francisco . 
 Mar 2 2008 	 great mini vacation 	 present workshop San Mateo Feb 2 wife decide make long weekend . arrive first receive upmost courtesy . nice young man ( later say bear Vietnam ) help suitcase . later walk we White Swan ( sister property ) help we get umbrella . hotel near Chinatown , cable car line ( buy daily pass , worth ) Union Square go shopping work . room large , romantic . select queen bed fireplace , worth extra money . hotel host wine taste every afternoon , excellent touch . hotel also provide good breakfast . make excellent choice select hotel . 
 Jan 19 2008 	 Best Service ever 	 stay hotel Macworld 2008 absolutely love . room comfortable , furnish beautifully period style furnishing make seem cozy un - hotel like . bed great , fluffy feather pillow warm coverlet perfect snuggling . breakfast nice , serve adorably murale room downstairs . arrangement could make bring well , wish . perhaps good part hotel excellent service . everyone seem remember room . front desk staff seem genuinely interested trip go , always helpful suggestion . leave car valet effortless , even forget something car bring back around could retrieve . front desk staff also happy store bag we check last day , could leave car walk tour nearby China Town Market Street . 
 Jan 6 2008 	 highly recommend ! 	 stay Petite Auberge September 2007 simply love ! location great . not rent car stay , hotel short walk California cable car line well Powell - Mason Powell - Hyde cable car line , able get destination without problem . hotel also short walk Union Square feel like shop . Petite Auberge , find room cozy . never cold room gas fireplace great ! overall , room clean . downside room wall fairly thin , could hear next door neighbor come back evening . nevertheless , room quiet trouble sleep night . the staff friendly helpful offer we advice stay . breakfast buffet downstair pretty good although never chance enjoy common room , notice traveler seemed really enjoy . free bottled spring water also great ! would definitely stay hotel highly recommend hotel traveler . enjoy ! 
 Jan 4 2008 	 great location insulation ! 	 Petite Auberge small , quaint decorate fade french flair . old member Joie De Vivre group , room dire need redecorate . nestle heart city , location perfect , two teenager another family kid active grandmother . staff friendly , helpful , always available . good know hotel reservation website cost parking rent car include rate . breakfast next door White Swann Inn ( also include ) good enough . buffet style fresh fruit , oatmeal , do - it - yourself toast , supermarket pastry , surprisingly excellent coffee . our room cozy look work gas fireplace , unfortunately freeze cold . room 3rd floor turn alley garbage truck arrive 5:45am . friend room 5th floor large sunny ( remind top floor room Hotel Le Tourville Paris ) , wish squeegee clean filthy window . free hot tea , coffee , cold bottle water soda along apples cookie always available invite basement living room serve hotel common area . know would never return decide pour hot water late night tea carafe staff keep fill . flick light small kitchen living room reheat water microwave . yuch , yuch , yuch . kitchen dirty nauseate . 
 Dec 2 2007 	 Petite Auberge - Great Hotel great price 	 delightful stay - charming room , wonderful breakfast , great central location , helpful friendly staff member great price hotel stay San Francisco -all make memorable experience . unfortunately never able attend afternoon wine get together since . go back Petite Auberge ever travel San Francisco . 
 Nov 24 2007 	 horrible costumer service 	 clear - stay hotel . try stay hotel book Travelocity , assure room available date . go multiple step ( include give credit card # twice ) book room . last step say & quot ; error - room avialble & quot ; . ok , fair enough , Travelocity not hotel . let us call hotel directly . two phone call - one pick either time machine answer say call customer back - return phone call . forget . plenty place stay SF ! 
 Nov 16 2007 	 Petite Auberge Getaway Excellent ! ! ! 	 Nov 2007my husband stay Petite Auberge first time . find wonderful hideaway city love visit , San Francisco . moment arrive feel welcome departure 3 day later . everyone work smile face always ask anything could we . in fast paced city French Country inn charming romantic atmosphere . locate Nob Hill Union Square accessible shopping , restaurant transportation system ( Bart , cable car bus ) .A gourmet breakfast serve every morning hor d'oeuvres wine serve evening . little work vacation free wireless internet available . I suggest book Petite Auberge suite , fabulous . jacuzzi tub , fireplace lot amenity . back ! ! Dan & amp ; Nancy Giallombardo 
 Nov 13 2007 	 Loved Petite Auberge 	 return 4 night Petite Auberge San Francisco . charming Inn . room little small side . believe call & quot ; cozy Queen & quot ; not matter . rest stay make . staff go beyond make feel one matter . they see every need . reservation tour restaurant . help luggage . call cab . everything . the breakfast wonderful afternoon munchie wine cheese welcome . fun conversation people glass wine . relax . I would go back heartbeat . 
 Nov 5 2007 	 love th Petite Auberge 	 hotel cute . excellent location . close trolley . location build early 1900 's . turn hotel 12 year ago . elevator old style cool . make sure get room fireplace . room small . clean comfy . comfortable Breakfast good . wine cheese good . 
 Oct 30 2007 	 Hidden Gem San Francisco 	 driver airport inn never hear place , worry first . great little place niche heart San Francisco . be get bed breakfast feel ( personalize service , nice complimentary breakfast ) size small hotel . front desk incredibly amenable willing help way -- include direction , restaurant location , etc . major negative - wireless internet really spotty . business traveler , not place go work business document heavily reliant laptop . overall good stay great price city . 
 Oct 2 2007 	 nice little oasis middle city ! 	 Petite Auberge locate ideally S.F . -- - south Nob Hill , north Union Square block China Town . find location convenient ! room ( Queen Superior ) adequate space nicely decorate ... though little tired . might imagine , window open night noisy -- - hey , city ! breakfast evening reception nice , though unspectacular . meet nice people ! staff , part , helpful . seem little distracted ask help . problem ! car would recommend choose package include valet parking . whenever need car approximately 10 minute . effecient ! way , traffic bad expect . the highlight stay , however , Golden Gate greeter ! offer complimentary miss ! ! wonderful perk . local volunteer escort around town several hour introduce community distinctinve feature . wonderful . our favorite restaurant ( within 3 block ) Cafe Andree . many small , wonderful restaurant nearby ! not fan big city .... great stay Petite Auberge S.F.J & amp ; Richmond 
 Sep 24 2007 	 enjoyable stay ! 	 wife celebrate 30th anniversary trip San Francisco surround area . numerous time since honemoon San Francisco 1977 , want stay small hotel B & amp ; b 's rather large chain hotel similar design matter city . look online find Joie de Vivre group hotel book one night Petite Auberge . pleasant enjoyable stay ! hotel close Union Square walk much city . tend overdo walk 's good excercise . the staff friendly helpful . Andy , bellman show we room offer fan wish ( even tho AC room need ) . room well decorate high ceiling , antique furniture , large window , gas fireplace , shower good water pressure . enjoyable part stay breakfast breakfast room downstairs . fresh fruit , coffee , scone , etc . enjoyable relaxing . we pick car across street leave bag hotel check . Andy ( ) insist helping carry across street . courteous . wife definately recommend Petite Auberge relax stay SF . 
 Sep 22 2007 	 good small hotel San Fran 	 great location Union Square Chinatown . also , transportaion Fisherman 's Wharf ( 15 - minute ride ) . hotel clean people friendly . complimentary wine every nite great place talk visitor bottle water take excursion day great ! ! would stay next visit San Fran 
 Sep 20 2007 	 Honeymoon Frisco 	 wife begin honeymoon three night Petite Auberge San Francisco . extremely lovely time , stay suite back house . though exceptionally picturesque view , small deck back nice escape sit coffee . inside room decorate expect , ample size . bed comfortable , though little soft , rest room . bathroom little outdated , nothing wrong . love gas fireplace , small wine fridge . breakfast happy hour wine cheese excellent time meet guest enjoy pleasant treat . also , staff quite helpful , often recommede site see restaurant try . overall , negative cite . 
 Sep 20 2007 	 Charming inn ; ideal location 	 originally book different inn , base tripadvisor recommendation . escape inn within half - hour ( see San Francisco review reason ) , call find whether Petite Auberge vacancy . . relief find place live good review . decor antique ( reproduction antique ) provincial French throughout . room decent - sized , well keep , decor match public area . staff helpful . fresh - bake cookie coffee available tiny adorable lobby , time . sumptuous breakfast downstair include quiche , ton fresh fruit , croissant , delectable baked good . 's small , darling patio dining room SF morning tend chilly not see anyone take advantage there . in evening , wine cheese ( snack ) serve sit room guest chat freely one another . imagine folk choose B & amp ; b small inn large impersonal hotel enjoy sort exchange traveler . a tiny european - style elevator serve floor notice guest , like , use stair except carry luggage . tread stairway second floor lobby little narrow , possibly ' ve carpet not originally intend , limit space foot . , fact wifi not offer free , unless sign & quot ; club & quot ; membership ( free ) , complaint otherwise perfect little inn . 
 Sep 15 2007 	 Excellent location value hospitality breakfast lodging . 	 Michael A. Miller – Date visit 8/28 - 29/07we stay Petite Auberge last stop trip San Diego San Francisco delightful surprise set Knob Hill district city . continently locate easy access public transportation . take parking package pleased car deliver , question ask whenever need . room , number 325 , first floor spacious , well decorate , garden view . breakfast ample many choice . wine server evening cookie tea available afternoon . like B & amp ; b style living perfection . 
 Sep 10 2007 	 pleasant surprise 	 greeting upon arrival helpful , smile assistance , totally enjoy four night stay . wine cheese hour great way unwind meet new people lively conversation . breakfast every morning delicious . would visit heartbeat . 
 Sep 3 2007 	 Charming hotel great staff Union Square 	 every August , daughter head Union Square back - to - school shopping . usually , choose hotel close Union Square good price find . year , want special hotel would also celebrate daughter 's 16th birthday . make reservation Petite Auberge , mention daughter 's birthday . week arrival , hotel staff call offer upgrade room honor daughter 's birthday . generous ! hotel charming quiet , within walk distance Union Square . hotel close Union Square hotel stay definitely return Petite Auberge instead stay somewhere close Union Square . hotel staff incredibly friendly accomodating . arrive 10 am staff problem hold bag . would let we check early except room yet vacate . allow valet - park car early well . valet parking staff responsive wait car park retrieve . housekeeping staff know room , direct correct floor even realize wrong floor . room clean , comfortable , spacious bay window fireplace . bathroom bite small lighting bathroom could well . robe bathroom cozy bed comfortable . breakfast room low floor small quaint . breakfast average . one nice touch Petite Auberge help - yourself refrigerator near breakfast area . complimentary bottled water soft drink always available . definitely impress high level customer service quality Petite Auberge return future . 
 Sep 3 2007 	 even well expect 	 stay 2 night visit San Francisco ... feel beautiful French Country Inn ... look . especially enjoy fireplace room . problem awaken Sanitation Dept pick garbage , look clock happen right around 5:30 morning . luckily , able fall back sleep . the hotel staff extremely helpful make dinner reservation give direction . breakfast enjoyable wine cheese treat ! enjoy whole experience would definately stay hotel next time visit great city . 
 Aug 27 2007 	 Ambiance French accent 	 whenever require lodge East Coast trip , husband generally prefer stay historic hotel , country inn bed breakfast establishment provide we relax atmosphere , casual set comfortable surrounding home . also enjoy camaraderie usually offer friendly host fellow traveler . however , begin search accommodation recent trip West Coast , never expect find anything meet usual criterion . imagine surprise delight come across internet list boutique hotel warm welcoming ambiance french country inn right heart San Francisco ! one glance website Petite Auberge convince we need not search accommodation . reserve cozy queen - sized bedroom corner fireplace charming decor . upon late arrival , greet gracious gentleman , set tone entire stay . hospitable staff Petite Auberge extra amenity , include complimentary breakfast afternoon wine cheese reception , make visit San Francisco enjoyable . make plan future trip California , certainly plan make reservation fine establishment another member JDV hotel group . 
 Aug 24 2007 	 Loved Petite Auberge 	 stay Petite Auberge 2 night past August . love B B . location perfect . within walking distance almost every place want be . my room describe cozy queen . find quite comfortable cramp . ( sometimes cozy mean small ) .I stay alone feel safe . cool night fireplace room luxury not home . Breakfast yummy hold lovely room downstairs . wake smell coffee . I also appreciate product leave bathroom . standard item would never use , aveda . I recommend place several friend would gladly stay . 
 Aug 13 2007 	 Comfortable Friendly 	 find Petite Auberge one Frommer 's guide book decide try first trip San Francisco . location good price . staff friendly helpful ( especially Andy ) . room large expect . bathroom nice . love free breakfast - egg , quiche , fresh fruit , cereal , pastry , toast , juice coffee . serve wine snack late afternoon . nice time meet fellow traveler compare note . 's one huge , modern , big city hotel . ever get back San Francisco would like stay . 
 Aug 10 2007 	 Perfect boutique hotel ! 	 arrive Petite Auberge love hotel moment walk , exceed expectation ! room cozy perfect , feel stay one 's home comfortable feeling ( much nice stay big chain hotel ) . wine cheese fireplace evening delight , especially day city perfect chance chat guest favorite place San Francisco . able go back sit next fireplace room settle evening good way end day . breakfast next morning dining living area lovely , food great keep we go day . pleased come across website , next time San Francisco definitely stay Petite 's available likely choose one JDV hotel . work travel company stay many many hotel probably good experience hotel , service fabulous , staff extremely friendly , helpful , knowledgeable come city . hotel adorable , well decorate , clean cozy . wish city city could use hotel like ! everything stay hotel ( city ) wonderful quickly plan return trip , hopefully near future ! would definitely recommend hotel anyone planning trip San Francisco . 
 Aug 9 2007 	 wonderful country inn downtown San Francisco 	 husband stay Petite Auberge 25th wedding anniversary find everything hope . like stay big friendly family . room great . fireplace make feel cozy . room enormous , plenty big enough couch desk well kingsize bed . breakfast wonderful quite substantial . 5pm wine , cheese cracker appear enjoy talk people country learn journey . never stay hotel guest friendly one another . location convenient plan staff helpful accommodating . highly recommend hotel . 
 Aug 8 2007 	 Perfect Place 	 first trip San Francisco couple . treat wonderfully staff member . extremely helpful booking sightseeing tour give we direction place want walk . room delightful fireplace meet many people breakfast afternoon reception . food beverage delicious variety . could not ask perfect retreat . look forward stay . 
 Aug 2 2007 	 Petite Auberge ` ` petite '' cute ! 	 pleased find Petite Auberge pretty good neighborhood . interior decoration super - cute ... french cottage style . well do . room tiny , well - decorate suited need fine . beware ... shower stall room tiny . hit free breakfast buffet . pretty good . include quiche , sausage patty , cold cereal , oatmeal , fruit , toast , pastry , orange juice , cranberry juice , coffee . Valet parking first seem pricey , be within average similar hotel . 
 Jul 26 2007 	 wonderful stay wonderful b 	 come New York knowing expect -- website often misleading -- find Petite Auberge real treasure . location perfect seeing sight , room fireplace beautifully appoint romantic . breakfast wine cheese snack afternoon nicely do , staff could not helpful . , make wonderful location celebrate 25th anniversary , would recommend anyone . 
 Jul 21 2007 	 would return hotel 	 small hotel great location . room narrow . wish watch tv , quite ordeal . must slide shelf armoire precarious position partially block access bathroom . bathroom small cute functional . fireplace nice touch . room street noise moderate .. good bring earplug . breakfast room terribly stain upholstery quite turn - off . find another place stay next visit . 
 Jul 7 2007 	 great location San Francisco 	 mixed feeling Petite Auberge ( stay 6 night ) . much love thing kind property . first positive : great staff - helpful front desk , service wine reception breakfast great housekeeper absolutely delightful . afternoon wine nibblie great breakfast well 3 week Northern California . neutral : one small room ( cosy queen ) adaquate nothing special ( rather basic ) . great location , value good small room . negative : big internet service . petite Auberge property charge internet service ( $ 7.99 / night ) 3 week Northern California . disclose ( saw ) web site . property stature , feel bit cheesy . second issue many room face back alley . night SF , even summer quite cool , window open delight . [ btw - see A / c availability room might - open window great ] . back alley , every morning around 5 a.m. garbage pickup . 10 min . quite racket sleep . back alley room window close heat , would inquire A / c available use . 
 Jul 5 2007 	 Unbelievable ! 	 stay hotel , enjoy location accomodation , last attempt visit past June , never stay again . it suppose romantic weekend getaway ; make reservation look forward return charming , tiny hotel celebrate anniversary . arrive , room available even though confirm reservation writing . take almost hour staff figure . send & quot ; sister & quot ; property around corner bitterly disappoint lack courtesy efficiency Petite Auberge staff . room Petite Auberge fireplace , beautifully decorate light bright nice view window . alternative room force stay dark , dingy , fireplace would call & quot ; ornamental window & quot ; piece glass face brick wall . ( ! ) room acceptable alternative original ! normally post experience site like , light poor experience hotel enjoy stay previous visit , feel compel share experience . one thing note : property previously own another group stay couple year ago since change ownership . perhaps reason horrific situation experience couple week ago . 
 Jun 27 2007 	 Lovely Warm Place 	 husband stay holiday San Francisco . hotel pretty inside . room close front desk , noise time . bed big , nice comfortable ; even put RUSS teddy bear bed ( guest , decoration ) . although room quite small , find problem . bathroom nicely decorate , french - countryside style . shower room - water come , powerful , almost skin we ! GREAT shower high pressured water . thing need long walk around city . on basement breakfast wine room . ( wine room meaning ; hotel serve cheese wine afternoon ) . breakfast always quiche , plus lot fruit maybe sausage . would rather english breakfast , breakfast good . coffee tea ' flow ' day , go basement . also put apple cookie guest . there small library basement , sofas coffee table . also fire place , make room cozy . the staff front desk pleasant throughout stay . give good direction recommendation place . car park fee USD32 day , check hotel , car park right front step hotel , unload stuff . apparently , car allow park spot several minute , enough time take thing car checking . finished front desk get room , staff take car car park , 30 minute away around city . it recommend ask staff 1 hour actually need depart go somewhere . say , encounter difficulty get car . ( time , get back tour San Francisco city , car park hour spot staff seem worry much get car park allocate car park area . ) like hotel , close anywhere want go foot . close Chinatown , Fishermen 's wraft , financial district shopping centre . we plan go SF angain soon , stay Petite Auberge . lovely place stay . well recommend everyone . 
 Jun 25 2007 	 Great B 	 Petite Auberge wonderful . centrally locate city . staff personable curteous . take time answer question make suggestion visit , get , etc . room nice gas fireplace . full breakfast buffet every morning , wine assort snack food night , cookie always lobby - include reasonable price room . would recommend B & amp ; b anyone . great time San Francisco much credit go Petite Auberge . 
 Jun 20 2007 	 great room even well service 	 wife friend stay hotel two night . theroom clean excellent condition . breakfast good wine afternoon big plus walk around San Francisco . staff helpful suggest place visit dine . Kevin Steven desk great Luis handling laundry . not miss wonderful little hotel . 
 Jun 8 2007 	 Fantastic B 	 word can not detail , quality friendliness find B & amp ; b . room quaint lovely . specially prepared breakfast , even amazing . everything GREAT . 
 may 30 2007 	 great escape 	 Le Petite Auberge wonderful place get away , celebrate enjoy sight San Francisco . the afternoon wine hour lovely provide opportunity chat guest . the staff helpful welcoming . highly recommend room fireplace . the inn welcoming yet still privacy . highly recommend . 
 May 25 2007 	 not like soulless chain hotel 	 place stay . small , romantic B & amp ; b middle large city . staff extremely courteous . Steve front desk font information city direct we several great restaurant site - see location . friendly , polite asset hotel . clean staff ( be name , unfortunately , get ) immediately whe request room fan . exceptionally hot weekend SF . , plus water , incredible breakfast hominess make great stay . never stay , people make we feel like value regular . sure room small , much time spend room fantastic city ? plus , afternoon cookie always delicious . highly recommend hotel adult . 
 may 22 2007 	 good return stay 	 return 20 year later second honeymoon . little bit old wise still love hotel . location great . staff friendly helpful . breakfast tasty . remember elevator noise book big room . street side , little noisy , 's city ! could use update . want & quot ; big box & quot ; sterile hotel , place . want small , personal unique , stay . 
