Montana 	 anniversary gift wife London decide stay Montana Hotel , Kensington . Montana choose recommendation work colleague . perfect every way . location perfect . Bang heart Kensington Knightsbridge convenience shopping , bar london offer . the hotal Gloucester Road opposite Gloucester tube station ideal quick train ride site London short walk Kensington Palace Gardens . soon arrive look exactly like website photograph staff friendly welcoming . room adequate short stay , simple elegant . request bottle champagne place room arrive , explain reception first anniversary . surprise also complimentary box chocolate rise place bed , course take credit wife ask ( thank guy extra ) . hotel indian restaurant also serve breakfast convenient quick breakfast go explore . ask reception direction place go helpful even arrange couple excursion us whist . overall fantastic hotel accessible fantastic location . keep Montana . 
 bit let - down 	 location suberb 100 metre Gloucester Road tube station . sadly quite let service reception . guy encounte seem quite annoyed someone disturb surfing internet . room okay size , shower almost pressure ! ! also quite disappointed get small bar soap ! ! shampoo whatsoever . return hotel ! ! ! 
 Jan 16 2008 	 Rude Receptionist . 	 receptionist rude [ -- ] . incredibly unhelpfull anything ask attitude along . pleasant stay rude man ! 
 Jan 12 2008 	 compact basic clean room - saw lot ! 	 find Montana hotel good base 4 day family trip , 2 adult & amp ; 3 kid ( 12,10,8 ) London Christmas / New Year , spend day London . near underground / bus tour stop big plus come home evening tired activity . we pick Montana family room five , good location good review . hotel record booking arrival 10.30 pm , bit alarming 3 tired kid . try fit we 4 day shuffle 5 room total see least two . get bit tire staff appear try good . room small clean . reservation would room basement appear bit odour . breakfast basic choice two cereal , & quot ; juice & quot ; , load toast , tea , coffee hot chocolate . Extras could purchase . in summary 's good value money , basic , clean hotel nice central part London . confirm booking ! 
 Nov 22 2007 	 disappoint 	 arrival check give room twin bed , rang change double room . room book double deluxe , never see anyhte truth . room small door hit bed open door . must 6 ' x6 ' . 1 bath towel hand towel bathmat even though tile floor extremely slippery . toiletry guest size tablet soap . stay many hotel htis worst . continental breakfast choice 2 cereal toast ! ! ! never 
 Nov 2 2007 	 Good Kensington location 	 stay Montana 2 night end October want hotel near Albert Hall . great location across road Gloucester Road Tube Station literally everything need doorstep - plenty cafe , restaurant , Waitrose , Boots Chemist Tesco Express , Post office Bureaux de Change also opposite min walk Natural History Museum Victoria & amp ; Albert Museum . ' ve rate Montana average mainly size room gather usually tiny London , also find staff quite friendly helpful . refurbish room . 101 , although request double , triple . back hotel look service yard much view , least quiet room little traffic noise . room size good spacious newly tile bathroom , new carpet curtain , flat screen T.V . , room safe , reasonable standard furniture comfortable clean bed , tea & amp ; coffee make facility , empty fridge put drink . Decor ok , bit dingey thing leave unrefurbished bathroom let bit . continental breakfast ( serve Indian Restaurant ) include within price ok , pretty basic tea / coffee , juice , bran flake cornflake , toast , butter jam . fruit ham cheese , could cook breakfast pay £ 5.50 extra . dinner Pizzeria Organic , literally door Gloucester Road opposite Tube Station - good reasonable meal 20 % discount take along one map special code reception Montana . can not comment bar hotel Indian Restaurant not get chance use either , look nice enough . , pleasant stay usually expensive part London . one thing puzzle though book hotel website internet rate imagine would cheap , hotel 2 sign display outside - one say room £ 39 say £ 55 . assume would unrefurbishe room , ask reception say room refurbish . , gather room without ensuite , share facility , could single . 
 oct 9 2007 	 great place price . 	 mother stay Montana Sept 12 sept 23 2007 find charming place . staff helpful polite seem show genuine desire see great stay London . would definately go back would recommend place other . great location ! 
 Sep 27 2007 	 nice ' little ' Hotel 	 stay Montana 5 day visitng daughter study London summer . hotel great location , staff friendly helpful . room small , bathroom TINY ! ! room immaculate adequate need . breakfast minimal . many place eat / shop / visit within walking distance . Tube necessary London , get Oyster Card , worth deposit return end stay ( not forget cash ) . ENJOY ! ! 
 Sep 19 2007 	 Ideal Base Exploring London 	 stay Montana twice year would return stay London . location hotel ideal . close Gloucester Road Underground Station perfect fly Heathrow . get underground Heathrow go straight Gloucester Road via Piccadilly line take around 40 - 50 min . absolutely hassle . staff hotel friendly helpful . room clean stay July refurbish . en - suite immaculate room adequately sized stay . mini fridge room good store food / drink require . flat Screen tv room pay per view Movies wide selection Music Choices . there plenty amenity around hotel , include bank , bar , restaurant ( include KFC Burger King ) shop ( incude Tesco Boots ) . perfect ! , would definitely stay . 
 Sep 2 2007 	 great location good hotel . 	 good location . room quite small clean quiet . minor complaint tea / coffee make facility room bar stayed firmly shut . 
 Aug 1 2007 	 Nice Hotel 	 stay Montana 5 night visit daughter , study London summer . be nice location food store , restaurant , atm , bus stop , tube , really everything close . find staff courteous , helpful . ( check - out half - way stay visit Paris 3 day .... store large luggage return . upon return , luggage return untouched , properly label . ) stay single room , without bathroom , sink . share bathroom other , problem , always empty need ; clean . since alone , ok single room share bathroom , price low . the furnishing room appear new . bed make beautifully every day , room spotless . room also LCD tv , movie , music , tv , internet . pay movie internet tv , hotel free wireless internet room bring laptop . ask access code . use , work well pretty good speed . I stay front building , face street . unlike reviewer , bother sound traffic . could hear car go , put sleep . frequent siren , anything , like New York ! eat restaurant , free cont . breakfast . take advantage supermarket across street puchase drink snack keep refrigerator room . also , free safe closet valuable . all , would recommend hotel . offer large room one stay . guest appear happy saw come go .... hear complaint . I would definitely stay Montana ! 
 Jun 5 2007 	 good value 	 average 3 - star hotel less average price - great location , make hit we . stay 4 night May 2007 . clean , room quiet , window open night . many extra extra charge : continental breakfast include , free use room safe . location execellent , right metro stop ( Gloucester Road ) , also double - decker sight - see tour bus stop around corner . small selection restaurant within walking distance ( bakery , several cafe , pizzeria , pub , fish - and - chip take ... ) internet cafe . huge grocery store top subway stop . turn - off , reception main floor turn resident bar allow smoking , pleasant reception evening , smoker . renovate 1st 2nd floor believe , might see contractor masonary tool . room 4th floor . water pressure decent ( UK ) . bathroom small side , hey , be UK not share . staff helpful courteous . would recommend , would stay . hope not raise price anytime soon . ( curiously , cheap book third party booker internet direct booking hotel . pay avg . GPB 80 per night . ) 
 May 22 2007 	 Great Value ! 	 spend week Kensington visit daughter study abroad semester . find Montana Hotel Kensington fabulous value . compare hotel area , could not find well deal . pay 39 pound per night ( room without 's bathroom ) . sink room , single bed go hall toilet shower . wait get shower find hotel overall clean . sheet crisp , white clean sink always scrub shine . twin bed brand new . definitely bit pain inconvenience walk hall bathroom , go door step , price make worth . current exchange rate price London , great deal get trip . the help friendly accommodating . review complain white toast breakfast , hey , include low rate , deliver hot quickly . second day , staff remember take coffee , tea always greet smile pleasant attitude . the complaint would hotel undergo remodel . hallway full carpentry supply try different type stain woodwork , etc . carpet room rip . , , price excellent deal . feel safe everything clean - also feel staff truly care enjoy stay . the hotel right across street Gloucester tube station direct route Heathrow . , little money , certainly room bathroom - one without cheap ! ! ! ! would definitely recommend hotel anyone look decent room great price - look luxury , not . 
 Apr 28 2007 	 Fabulous Location Great Staff 	 get back London short stay Montana . 's decent little hotel ; good thing imo location - tube stop right across street , ton shop & amp ; grocery store nearby . staff super helpful friendly . we stay one old room downstairs , bit ... shabby , reasonably clean . bedspread tear blowdryer not work . fridge coffeemaker , disappointing . newly renovate room upstairs look quite nice however . bad thing place & quot ; breakfast & quot ; : cold toast , powdered juice , tea coffee . Yuck ! thank goodness Waitrose Tesco 's could grab yogurt , fruit muffin cheap . bad experience , great location make anything lacking . would stay ever get back London . 
 Apr 17 2007 	 building site ! 	 stay several year let warn like construction back lot present say like till well late 2007.have fly transatlantic last thing need disturbed bang drilling . the new room promise really good upped rate massively point long deal . Moved Holiday Inn - price ! 
 Apr 12 2007 	 average 	 clean hotel . staff ok friendly . door en - suite main room could awkward do not know person stay well . shower be not anything special . nice enough location . 
 Apr 7 2007 	 Short Review important information 	 stay Montana March teenage son one week trip . fourth stay several year . plusse : convenient ... 35 - 40 min Heathrow Piccadilly LineLocation ... opposite corner Tube station ... 2 minute walkarea ... pleanty fast food nearby , include grocery storesfacility ... clean , comfortable , accomodate staffamenitie ... provide coffee pot , fan , converter , power strip upon requestcost ... affordableminuse : toast breakfast get old daysoverall , great little hotel , BIG NEWS ! ! ! ! Montana undergo complete remodeling , progress write . room completely redone , top floor , new bedding , soft good , curtain , carpet ( red ) , furniture , refrigerator , flat screen tv satellite , wall mount heater / air - conditioner . unknown bathroom , new room gorgeous . unfortunately though , rate raise significantly ( least 50 % increase ) well 100 quid per night . hotel long bargain , price casual traveller 's affordability range . price like nearby Radisson , Holiday Inns , Millennium Baileys , Millennium Gloucester . those price concern might check Park International Hotel , 800 foot Cromwell Rd . thank Montana , great . 
 Mar 18 2007 	 great location 	 think reveiwe hotel straight stay alas .... well late never . stay Montana husband 4 week Oct 2005 , enjoy much staying later year . book internet really long search decent hotel decent price good local London . although read good reveiw hotel not hold breath , see beleiving . well not dissapointe fact pleasantly surprised . reception / bar dining room spotlessly clean . staff friendly helpful . continental brekky toast ( 2 slice ) , jam / marmalade , coffee / tea & amp ; OJ enough we even though not sound like alot . prefer order substantial food extra cost 4 week not bother . toast coffee home anyway get sick spread BYO . room great , much big expect . room 411 double single bed , small dining table , nice wardrobe room safe dressing table . tea / coffee facility room shame . bed comfy linen clean . bathroom not huge roomy enough 6 ft 2 husband use without complain . shower bath , toilet basin nice big mirror hide nice big cabinet basin . hot water always hot pressure could ' ve bit well . clean towel bed make every day room really quiet , window open onto quiet mews type area . yes lift small , minute can not wait next one always stair keep healthy . morning check , arrive really early ( 6 am ) room not ready till much later ( fault ) . invite leave bag relax bar / sit area dining room open could brekky . well leave bag head explore immediate area quite early morning , terrific . ok nothing open london wake pretty special Hyde Park wonderful . suggestion would make improve hotel find secure area people leave luggage . corner bar / sit area visible reception staff easily accessible anybody else . dining room serve brekky morning turn indian rest lunch dinner dinner one night find food delicious bit pricey ' ve find indian food pricey ( must expensive spice ) pretty comparable rest nearby . Montana 's location great , walk distance Harrods , Kensington Palace , Hyde Park , V & amp ; natural history museum well high St Kensington Earls Court . across road post office , Gloucester Rd tube , bureau de change ( equal ) . next tube small shopping centre restaurant , boot chemist , Waitrose supermarket . lot cafe 's near well starbuck . highlight steak rest small itlaian place almost across road . think steak rest call Blue Fire something Fire . also within walking distance another supermaket Tesco 's couple laundymat . hit supermarket every day buy lunch ready make sandwich salad fruit . find much cheap option cafe sandwich sellar . sanger always fresh really wide range filling available . dinner could not bother eating would go waitrose head deli counter back store . next deli hot food section buy normal BBQ chicken also cook ham hock , roast duck etc . litlle along counter sell huge range cook ready eat indian food . snack like samosa 's & amp ; Kebabs , least 2 type curry rice , not already hot would heat . buy yrself couple plastic plate knife fork etc bob 's uncle , set . great cheap eating option staying would prefer spend yr pound sightseeing . 
 Feb 15 2007 	 ideal family 	 family 5 , not want spend fortune , want handily locate , would struggle well place . be luxurious , be perfectly adequate short stay . lovely meal attach indian restuarant . 
 Feb 6 2007 	 enjoy stay 	 stay large family room ( + ensuite ) plenty space 2 adult 3 child . room clean . location excellent . across road tube station direct line Victoria Station ( perfect arrive Gatwick Heathrow ) westend show . open top bus stop outside hotel door . nat history museum , etc 5mins walk . breakfast tea / coffee / hot choc + juice + toast could upgrade full english extra cost . lovely meal indian restuarant . staff helpful . overall would problem recommend hotel 
 Nov 18 2006 	 would definitely stay . 	 spend 4 night play tourist London daughter August 10 ... 14.after use night browse hotel review site like Tripadvisor end book Hotel Montana via hotel - assist -service . main reason absolutely great location Kensington area near main tube line . 45 minute directly heathrow terminal quarter city attraction ( include Harrod 's ... ) also spend lot time nearby museum ( natural history Science one block away . ) one note ; Tube London always reliable prompt operation european metropolis . leave time margin need somewhere certain time . expect much hotel disappoint all . the net reservation go smoothly ( check phone couple day arrival , sure . ) arrive quite early ( 10 ) find room ready . unfortunately & quot ; confirmed & quot ; wish quiet twin bed room disappear somewhere ( polite ) front desk person promise twin bed room ready afternoon . leave luggage small corner leave side front desk hope would safe there . after long busy day arrive new room third floor ( number 305 memory serve . ) big except . see attach picture . age build visible many detail like ( double ) window , many layer paint difficulty shut completely , tilt floor , wear tear everywhere marginal sound isolation room . common feature old european city hotel . really nothing write home . get adjust pay more . the room not - too - big bathroom well clean ( daily , appear ) . bad smell anything like . work ( maybe bit small ) shower , new bar soap clean towel . else except . the Gloucester road silent one one night sleep earplug ask courtside room available . hotel quite occupy get new room basement building . next day belonging transfer room 520.this bit small apparently refurbish recently ( maybe use less ) third floor room . everything really clean tidy . room combine shower / bath tub . see picture facility , too . there & quot ; view & quot ; whatsoever , ask one . otherwise room everything hope . temperature fine room really silent difficult believe middle big city . really sleep well . hotel without air - conditioning basement would prefer choise anyway . fortunately heat wave end week early weather typical season again . as quest note breakfast repeat service prompt polite , even personal , would say . many thank waiter . really help we start day good mood . course one also note breakfast include price . wish allow , cereal would great plus . mention reviewer , lot place eat neighborhood take tea toast . test indian reastaurant hotel , say anything . instead use restaurant shopping mall near Tube station . liked especially Garfunkels there . as return flight depart quite late evening allow leave luggage hotel checkout . time tag personal datum take sight separate storage area . fetch later afternoon way airport go smoothly . many thank ( quite international ) hotel personnel , especially maid excellent cleaning work front desk man helpfulness . good work . London rather expensive city , especially come hotel . / opportunity visit London tourist would definitely try go Montana get basement room . travel company budget , might try something couple star . 
 Nov 11 2006 	 Great Restaurant attach ! 	 bring young daughter London birthday . pre - booked property inexpensive 3 star rating . bed lumpy uncomfortable . bathroom like one find RV , small ! people lovely make great deal . would stay travel family close tube easy get want . hint- bring movie dvd / computer tv lack many station Americans grow use get . 
 Oct 29 2006 	 Bad Choice 	 experience Montana low quality cheap . you get pay for . receptionist could learn smile , say please thank ! furniture MFI type ! need good redecoration . not even towel rail ensuite - keep towel shoulder ! 
 oct 9 2006 	 happy stay Montana 	 stay Montana 4 night late September 06.The room certainly large & amp ; bathroom adequate however room clean . hotel well locate block subway station & amp ; street Kensington Palace . good part stay staff . friendly & amp ; helpful , particularly Peter , barman . seem know everything eat & amp ; see etc , Breakfast include room price consist orange juice , tea coffee two slice white toast preserve . least brown whole wheat bread would happy . Donna & amp ; Morris Winnipeg , Canada 
 Sep 12 2006 	 depend budget 	 book Montana hotel primarily price location . overall stay ok . 3 we share triple room , consist 3 single bed . however , although have request room 1st 2nd floor , room locate basement . look onto tiny ( 6 ft x 6 ft ) courtyard storage room chemical staff would access several time morning / evening . view could barely see sky . also request non - smoking room ashtray room cigarette burn net curtain bedspread . carpet stain . toilet , basin bath clean significant dampness stain bathroom ceiling . there stale smell enter room prompt one fellow traveller buy air freshener use room . however due courtyard outside keep window closed day prevent anyone access room . the hotel indian restaurant 9:30 every night smell food kitchen would waft room close window . therefore room incredibly warm ; daytime temperature mid 20 celsius difficult sleep due heat . the television small teletext range channel ok . the elevator tiny per previous review . take 3 we ( squashed ) 2 us bag . we ask kettle arrive room include 2 cup . ask third cup come relatively quickly . tea , coffee , sugar UHT milk provide . however another occassion ask scissor could borrow none available reception not really effort make find one we . our reservation include continental breakfast . breakfast show table , serve orange juice ( like might weak taste ) . give choice tea coffee 2 slice white toast . toast perfectly cook always arrive hot . service polite prompt , server remember choice tea / coffee second day . however , expect cereal transpire would cost extra £ 1.50 per person . the room clean daily give 3 fresh towel soap . however one point note Saturday maid already clean room return breakfast around 8.30.our room ( 570 ) adjacent bathroom adjoining room . could hear neighbour singing shower also flush toilet . on checking - out allow leave luggage area outside reception desk must admit bit concerned easy would someone run . however fine came collect it . I would recommend hotel semi - restricted budget fussy luxury . next time would prefer pay high standard room . in summary , good points:1 ) Location hotel - literally cross street tube station , cafés / restaurant / fast food outlet small supermarkets2 ) arrive 11:30 approx allow check early.3 ) Juice , tea toast breakfastBad points:1 ) location room basement2 ) overall condition room3 ) heat especially night keep window close mean little fresh air4 ) smell kitchen 
 Aug 22 2006 	 great choice ! 	 really enjoy stay Montana Hotel ! little leery make reservation . book single room bathroom hall . pleasantly surprised arrive . room toilet sink . need go hall shower . room basic everything might need . room contain single bed , tv , phone , desk , place store clothe ( dresser armoire ) , toilet sink . one bath size towel room small bar soap ; enough . room little worn ( bedspread need replace ) , however , clean plenty air light . even though elevator , room floor always take stair . carry - on backpack , pose problem . also go half flight , hall , half flight get restroom . also problem , however , might people . configuration , believe single room ; room require take stair get elevator . I stay Montana total 4 day ; 2 day begin trip 2 day end . pleased remember initial stay greet like old friend . nice homecoming ! find staff accomodate , friendly , kind interaction . Montana process refurbishing room . Rooms Europe large price high . clean , basic , lower price hotel , look . look , might disappoint . review rating base fact . I breakfast pleasurable experience . take long like spend breakfast , plus leave breakfast start 2 4 day ( catch train plane ) , eat breakfast . fine toast , juice , tea . okay way start day . wait waitress bring breakfast take 20 minute . could order extra item , full english Breakfast , additional cost . the hotel across street tube stop ( two line ) . also bus stop ( not know line ) .There bakery , supermarket , convenience market , restaurant , drugstore ( boot -- like Walgreens ) within half block hotel . also 3 bank also within half block hotel . hotel computer internet access lobby . use internet cafe 2 3 block away , print . I would definitely stay . 
 Jul 31 2006 	 cancel Reservation End Trip 	 Hotel Montana half block Gloucester tube station . elevator room two people read hotel Europe small elevator entirely surprised would problem people luggage . room 405 two twin bed small two guy six foot tall . window open , room noisy since face Gloucester Road busy road . window double pan window air conditioning closing window option become pretty warm . window open , room noisy since face Gloucester Road busy road . window double pan window air conditioning closing window option become pretty warm . bathroom small clean . could barely turn around shower though water pressure not great . the next morning request move quieter room . front desk tell we pack bag would move day . breakfast include hotel cost typical Europe consist toast , coffee juice . when get back hotel , move we room 203 back hotel . quieter also furnish we fan . bathroom still small , one person one time . while , pass Park International Hotel two block away see sign air conditioning . ask look room like much well Montana cancel reservation Montana end trip book room Park International internet get well room less money . 
 Jul 29 2006 	 air conditioning heatwave 	 Room satisfactory except 3rd floor heatwave London air conditioning . common area bottom floor air ( employee work ) , room . really need update . also , wash cloth Montana . tell & quot ; not wash cloth . buy one pharmacy street & quot ; . room , however , clean . bathroom spotless . water pressure shower low though . employee congenial hotel . price , would seek another hotel next trip London . 
 Jul 29 2006 	 sweat Montana 	 Location terrific . value good . quality average . London expensive . Montana serve 's purpose . ' ve stay numerous time . room hot . ' m 6 ' 2 , duck shower . be look bargain simple place rest head night , Montana . front desk staff friendly , hotel safe . 
 Jul 29 2006 	 convenient budget always London hotel 	 Montana hotel option rest we live country unfavored exchange rate pound sterling . two great country rich bad hotel experience . England , be expensive afford good hotel ? Italy , beautiful place , care build good hotel ? apply Montana . 's one hotel tolerate stay be London . ok , be locate convenient place London , subway / tube right across street , 's decent indian restaurant downstair , be affordable London term . room small smelly , decoration ugly , bathroom tight sink narrow 's impossible brush tooth , otherwise hit head mirror . be London . want pay , Montana option . way : try exchange money place across street charge high comission . London , always look place charge comission , even though may hard find . 
 Jul 16 2006 	 clean friendly great location 	 first holiday London find clean , friendly affordable hotel London prove quite difficult . however , strike gold Montana . . room spacious other , clean . hotel staff exceptionally helpful friendly . nothing bother . two child find staff approachable good humour . breakfast basic option pay additional extra . starbuck cafe neighbourhood fancy change . location superb . Gloucester Road tube station across traffic light , 3 Museums ( Science , Natural History Victoria / Albert ) 5 minute walk away . Kensington Gardens / Hyde Park 10 minute walk , good selection restaurant along way . would stay Montana . 
 Jun 18 2006 	 affordable accomodating 	 stay Montana December 2004 day mom . although not luxurious hotel , fine come back day city . return london May June 2006 book 2 week Montana . student find Montana hotel affordable place London besides hostel ( usually dirty overcrowded London ) . call hotel directly book reservation give single room bathroom hall 35 pound night , 7th night free . good deal london , consider breakfast include . breakfast toast coffee tea get old quickly though . wish would add cold cereal muffin something else menu well . room bite noisy side look gloucester road cromwell road . find noise problem first night , adjust . room clean well supply towel bar soap . bring washcloth shampoo supply . personally think staff hotel friendly accomodating . become ill day suppose fly London change flight day later . mean would able check Montana suppose less 24 hour . usually require 48 hour notice cancel let change reservation less 24 hour notice charge . book week Montana June well first single room available would pay high price . arrive hotel find do rearrange manage get cheap single room . lot people seem complain lack space room find room spacious even though America would small people 's walk closet . not know people need space . room definitely provide enough space luggage , sink , bed , dresser , tv . window , surprisingly every hotel room London . overall find Montana good deal recommend budget traveller sleep watch tv . definitely stay every time return London . 
 May 17 2006 	 Value Money 	 2 girlfriend & amp ; stay hotel April Triple Room . room small London Hotels find comfortable want . reasonably price Kensington great location . friendly staff helpful require . not expect fit anymore one person suitcase lift though . not try resturant quite pub etc local area . underground straight across road handy . also ATM 's machine money exchange right next door . would recommend reasonably price short stay . 
 May 4 2006 	 serve purpose 	 friend stay Montana Hotel Kensington one week April trip London . hotel least expensive hotel offer package deal tour company go . not expect much hotel , want decent place stay , . hotel nice location ... convenient feel safe . Gloucester tube station across street hotel , catch Piccadilly line , Circle line , District line tube station . hotel right corner Cromwell Gloucester , close Barclay 's bank , internet cafe , currency exchange , 24 hour Tesco , nice little restaurant , pub , Starbuck 's , KFC , more . the hotel lobby website picture . lift ( elevator ) fit two people comfortably , four people tightly ... ideal use be closter - phobic . not make use bar hotel , can not really comment . & quot ; continental breakfast & quot ; include stay ... mention previous review , 's lot toast , jam , butter , orange juice , coffee , tea ... breakfast perfect not usually eat heavy breakfast , fine . dining area clean problem service . must smallest twin / double room hotel narrow ( post pic review ) . need : twin bed , good size wardrobe , tv work channel ( not think satellite though ) , dresser , large window , chair , hairdryer , private full bathroom ( seem spacious rest room ) . check 11 am room not ready yet . still clean give we key ( card ) room leave luggage want go city . clean lady working floor ( 3rd floor ) get room tell we would another hour two room ready since early check late check time ... not really bother we catch train Manchester soon anyway . get back Manchester , room clean give clean towel small bar soap . room clean everyday give new towel soap everyday , plus sheet change daily . bathroom clean enough ( could cleaner high standard , ok ) , plenty hot water . particular person front desk sometimes could bit nicer , not kill stay hotel anything . room corner hotel , Glocester Cromwell meet , street noise not bother we ... get earplug sleep be concern fine . disruption sleep ; hotel quiet . smell room not fresh hope ' m non - smoker sure people stay room prior we smoke room . room clean , leave window bit ajar air daily . probably would not want stay hotel summer not air conditioning , April fine . hotel modern property , be old property ... expect see old property not expect spacious north - american - style room . would classify hotel 2 half star . 's nothing fancy hotel , basic clean . bit luxury high room standard would nice ( go elsewhere next visit London ) , budget price pay since city part England day everyday , hotel job ... able sleep , keep clothe belonging safely , take hot shower . location good . 
 Apr 15 2006 	 Encore Visit ! ! 	 stay 2004 ... come back 2006 ... experience , staff , review ... 's great tourist class hotel , perfect location South Ken , describe reviewer .... one day , problem hot water third floor due water main breakage Kensington ; not think much morning , come back day sightseeing want take shower ... still hot water . Desk offer let use room 1st floor shower .... great ! ! ... hot water return later night ... planning attend British Open 2010 , without doubt stay Montana night head St. Andrews .... not waste time money elsewhere ... beat value , location , convenience , experience tourist class hotel ! 
 Mar 29 2006 	 great All - around Value ! ! 	 Montana Hotel great value visit London budget desire degree civility lodging . location fantastic - convenient tube ( Piccadilly Circle /District Lines ) bus access city , nice area right . lively street ( Gloucester Cromwell Roads ) nearby grocer , service , fast food . within walking distance Knightsbridge , V & amp ; , Kensington . the hotel clean quiet . great staff , friendly helpful . en suite single room great value - definitely worth ten pound per night . comfortable room , small side , modern , clean bathroom facility - definitely bonus comparison similarly price hotel modern facility , water pressure , ample hot water scarce . the Montana can not beat around convenience value money . highly recommend anyone look well - than - average lodge two - star budget . 
 Nov 15 2005 	 Basic though chintzy 	 Montana offer basic accommodation terrific Kensington location -- close good array attraction , include Kensington Palace , across street Picadilly , Circle District Tube line . shortage pub , Starbucks ( two within three block ) grocery store . but caveat . book single room , prepare face Gloucester Road , loud . double window knock sound , earplug really need survive . could not imagine stay summer window open . many double face inner courtyard , suspect noise not issue . room come single towel tiny soap bar , price district , allowance make price - point here . the room , although slightly warn , clean comfortable . upon arrival , problem in - room safe , repair within minute . morning repast , bill & quot ; continental breakfast , & quot ; expect little : one small glass orange juice , two slice toast cup coffee ( refill available cajole server ... not difficult ) . anything else cost extra . 
 Nov 11 2005 	 Great Value 	 stay Montana Hotel twice last 2 year . o.k basic provide facility traveller budget would want . pay 150 pound night spend less 8 hour room . hey , go London holiday surely wonder not 30 + channel t.v.one word advise though .... ask room low floor water pressure shower well there . hope stay next May Clapton Concerts . Talk Peter barman , mine information . TrevorPerthWestern Australia 
 Oct 19 2005 	 Value money ! 	 give hotel average frendly staff , great location , ok room rate reasonable London . breakfast much , several option close hotel . travel strict budget , hotel might option . come back ! 
 Oct 10 2005 	 great value dollar 	 fantastic location , less 100 meter subway take directly Heathrow airport 3.7 pound . hotel clean . room compact rate . great site , personable pub , full pint 2 pound . Peter Bartender / morning waiter well . whatever want know London get connection around city , talk Peter . helpful personable . hotel offer free continental breakfast beverage toast , order egg trimming 2 pound . can not beat . restaurant offer indian cuisine . Amazingly delicious , staff & quot ; & quot ; professional friendly . food price competitive . neighbourhood safe top shelf , numerous pub , restaurant shop . walk Kensington Palace , Hyde Park , Museums , Herrods . short bus ride underground downtown London . Hotel exactly see web site . surround hotel include Hotel right next door Holiday Inn couple block away double price Montana offer . book future . regard , Jim Carver Canada 
 Oct 6 2005 	 love location 	 Loved location hotel - close V museum , underground , Waiterose ( food ) , Harrods . hotel clean overall friendly service . would definitely go back return back London . 
 Aug 5 2005 	 great location ! friendly service reasonable price ! 	 consider costly London already , need hotel conveniently locate , clean , reasonably price - exactly Montana Hotel offer . although room basic , ( eg . a / C , tv chanel ( care ... would hope people would better thing London , room bit tight ) , still fair bargain . stay 2 night teh Holiday Inn Kensington Forum around corner , seem expensive . place offer 50 Brit . pound less within walking distance . negative comment regard pathetic Continental Breakfast . really did't consist much - toast / jam ( unlike Holiday Inn ) . otherwise - higly recommend place ... 
 Jul 13 2005 	 great value location staff elegant 	 great value London 65 quid per night . 's nothing fancy . date furnishing , slight smell smoke , bed really hard . sleep window close ground floor room face alleyway staff either live hung sound like toilet running time . close window completely eliminate problem . room big deep bathtub - perfect soaking tramping london tourist . staff friendly helpful indian food restaurant great . continental breakfast really good toast ( ' m sure ) coffee fresh squeeze orange juice . 4 quid upgrade full english breakfast - sound expensive , check price upgrade london hotel - typically 15 - 20 quid . great location hop -hop tour bus get around tube . clean good neighborhood , drugstore bank restaurant right . 
 Jul 6 2005 	 Montana tourist class hotel ... 	 keep remind London expensive hotel good location tourist class hotel - not expect much . location could not well - easy ride Heathrow via tube , sit across street Gloucester Rd Tube stop . perfect run around visit . the room noisy due fact room face busy Gloucester Rd . find close window get fan front desk , could sleep much well . possible & quot ; heat wave & quot ; break . ' m sure would possible much warm . maybe earplug would done trick case . the hotel clean , bit run . nothing fancy . tell breakfast white toast orange drink rather juice . skip eat road Cafe Forum GBP 2.50.i quote GBP 65 room bath via LondonBy.com charge GBP 69 check . ' m work problem , upset I . I think ok place stay . location outweigh problem . not room much , really use sleep . hotel romantic getaway , work well tourist . 
 Jun 29 2005 	 could lot well ! 	 start , not receive particularly friendly greeting . twin room given not look like picture see net - room clean , redecorate year . satellite channel tv work either . as air conditioning extremely hot , leave window open night , noise outside , easy sleep . request fan next morning , though tell would drop one room , never arrive . the continental breakfast limited feel £ 2 charge ( per person ! ! ) bring room unnecessary . plus location , right beside tube station . 
 Jun 21 2005 	 Love Hotel ! ! ! 	 love Montana ! stay Montana many time several year . consistently impressed staff facility . fact , staff Montana honest , helpful , friendly staff find anywhere world . love place much , will not stay anywhere else London . the location can not beat either . close Gloucester Rd . tube station three line run . , transportation area London excellent . location good one get airport close expressway keep cost use taxi . addition , numerous place eat nearby . 24 - hour market across street Gloucester Rd . tube particularly handy . I enthusiastically recommend Montana . 
 Jun 13 2005 	 good choice 	 book Montana Hotel 7 night could stay one night noise hot room . the hotel situate excellent location near tube staff nice room leave lot desire . room quite small , disjointed , run - down lift not always take really close room without lug luggage flight stair . there air - conditioning room even though May , quite warm open window air could not stand siren noise night long busy intersection nearby end get rest move well hotel . 
 Apr 24 2005 	 Good Value Location 	 terrific value price location can not beat . small clean room convenient tube station . negative ask desk call taxi go Victoria Station , call relative friend turn licensed taxi charge 25 - 30 % estimate . think unfair real driver . 
