stay 	 spend 2 weekend night London Guards could wait leave . receptionist barely speak we check .. ask breakfast time , check etc . give one word answer . stay quad room smell like grandmother attic . luckily next hotel Edinburgh laundry facilite clothe smell musty . daughter fall badly wet floor come downstairs one morning ( sign post wet ) 3 employee watching not say word try help . unbelievable . Lancaster Gate tube stop also shut not even convenient . breakfast sufficient server polite . positive thing say hotel . many option London stay hotel . 
 Sep 2 2007 	 dirty ! 	 stay one night hotel poorly take care dirty . lobby look clean well take care room different story . room loft , sound good get room . prink carpet old stain . stair lead loft break ready give , mention loose handrail . bed uncomfortable . overall room filthy force dirty shower sock shoe wait near bathroom door foot not touch carpet . worth saving ! ! ! spend little clean hotel room . 
 Aug 16 2007 	 ' ve stay past 10 year 	 ' ve stay London 20 year regular basis . 5 6 trip year . since mid 80 move hotel hotel look decent place charge arm leg . ( try find London ! ) late 90 latch onto place right open . ' ve stay ever since . ' ve stay probably 100 night moreIt true AC unit cool use . true dining room well . true carpet wear tear . however , money , place can not beat . huge room . request fan . room hot pot refrigerator . since eat London sooo expensive , always go grocery store buy food bring back . fridge real bonus . could find clean hotel well restaurant , go choke see charge . place good value money area LondonPluses : close PaddingtonLocated corner quiet square . request room back hotel want complete quiet . quiet real important , weight heavily hotelfridge roomprivate bath : have surprised number place not get cheap hotel LondonLarge room : small one , many huge . great location near Queensway . get anything street mall well , two tube stop . I know staff ' ve always find friendly . minus : food . not eat there . restaurant : bestsmall towelscarpet spread tiredTV small . not watch TV.No internet connection . least last time stay there . all : great great value . if someone know well value area . would like know . 
 Aug 8 2007 	 friendly good value 	 family 2 adult 3 child , book 4 night family room 2 double 1 single bed . room spacious London , except hang closet inadequate 5 people . clean well maintain room lobby , friendly helpful staff , especially breakfast - could offer variety . supplement breakfast item purchase local minimarket . Bathroom modern well ventilate . main positive point : quiet central location , airconditione , roominess , friendly staff . negative point : meager breakfast . 
 Aug 4 2007 	 good hotel .... worth return 	 room update , modern bathroom , airconditione . generous refrigerator , room large european room would . carpeting see well day , shower curtain bathroom . hand hold shower work well . elevator slow . walk ... ride fourth floor . the location good , two tube stop , block Hyde Park / Kensington garden , walk around great . place play child . street quiet pleasant . the housekeeping immaculate , prompt . the continental breakfast , include cost , adequate , serve friendly people . 
 Jul 23 2007 	 good budget hotel 	 Booked hotel venere.com , get good price . £ 75 twin room central London bad ! hotel close Lancaster gate tube station , Paddington station , several bus stop 1 - 2 minute walk hotel . we would book twin room , get family room two single bed , one double bed , sofa , tv , fridge , bathroom / WC . good value money . the hotel clean receptionist friendly . 's & quot ; wow & quot ; experience , be spend lot time room , be look cheap , nice hotel - perfect . I would recommend breakfast , bad ' ve ever experience hotel . 
 Jul 21 2007 	 mixed impression 	 must say though solo traveller , book double / twin room , description single satisfactory . , can not comment single room value money issue ( double room one person not come cheap ) . room cosy , spacious , clean . air - conditioning useful ( weather rather cold rainy ) . important always safety box ; keep worry . coffee - maker ok , refrigerator plus . also quiet room . bathroom , although full amenity , seem & quot ; rather tired & quot ; , ask & quot ; upgrading & quot ; . unfortunately , main elevator order long time back - up one avoid . big problem breakfast : horrible ! not eat first thing morning , skip ! front desk staff correct , friendly . location : pretty good . clean , safe , civilized surrounding , yet lack pub , shop . bus stop close . suggestion : not use Underground . 4 bus line ( 24 hour service ! ) take directly , easy connection , pretty much important sight . bus pass convenient ! 
 Jun 16 2007 	 truly woeful 	 start:1 ask room front view- get basement room look concrete wall.2 Asked room change get do next day- put top floor lift working.3 unwelcome bar- strong hint barman take drink room rather linger.4 breakfast room dreary smelly ; breakfast pitifulA disgraceful establishment , do not stay . 
 Jun 6 2007 	 enjoy stay 	 nice place family stay sightseeing day . clean safe place stay 5 min walk Lancaster Gate underground , 2 mini - market , also Hyde Park . cleaner keep room clean plenty room nice - sized bathroom . continental breakfast fine light breakfast go ( corn bran flake , croissant , roll , juice , milk , coffee ) not understand writer think bad . ' ve far bad ! downstair area double russian bar breakfast serve . clean problematic . bar patron could heard leave closing time , disturbance , early morning delivery truck . desk staff courteous helpful . pleased would stay . 
 May 30 2007 	 good value 	 daughter stay hotel two night . charm , clean staff friendly . good location travel via underground see sight London . bonus fridge room . would definately reccomend hotel . 
 May 12 2007 	 terrible breakfast 	 hotel situate calm quiet area , kind careful staff . the room clean wide though first day trouble radiator . in general , good hotel stay London , bad thing breakfast : bad attend , poor , small , bad smell , want simple chocolate must pay ( though reservate room breakfast include ! ) .Another strange thing not like fact ask reception taxi , call particular driver collect 50 % money normal taxi tarif ( guess hotel staff commision money ) .This & quot ; taxi & quot ; affair strange thing London , tell ift first time happen . 
 Apr 19 2007 	 good location 	 teenage dughter stay four day trip London , daughter 's first visit London . good : price , location : feel safe come home night two woman , right beside Hyde Park , really londonish - white paint house portico - three bus stop Oxford Street ( daughter 16 ! three hour Topshop ) bus also go Piccadilly door door show West end . great . big room , clean . bright . quiet . large fridge , expect would great summer , especially child . could keep stock picnic Hyde Park . ( Hyde Park boat , pedalo paddle pool ) .less good : public area invite - guesthouse hotel . little way facility hotel Bad : breakfast : serve basement smelly room ( smell identify stale urine toilet / drain ? ) . breakfast basic , coffee undrinkable . Tea OK . enough table , wait , table clear . however : price could forgive , might even skip breakfast , fridge could keep stock cereal milk room . Marks Spencers stop away bus stock up . if hotel read : could serve breakfast ground floor , improve coffee orange juice little ? think would make big difference . note : go London : discover bus : great . really efficient way get around , much pleasant tube , get see London . bus come every two minute . day three day pass , really cheap convenient fun . come often not matter get wrong one , quickly get back . bus hotel go directly Oxford Street , Tower , Piccadilly , easy change everywhere else . system complicated people make , well worth effort work . try find tube line one big station couple tired slightly bewildered child : difficult . lot family stay hotel , surprised price great location . would really good family child special diet , give fridge . receptionist really helpful booking theatre ticket : rather stupid morning , kind helpful . I recommend hotel someone trip like mine . great anyone budget . fussy , want ' HOTEL ' prepared pay : maybe . 
 Feb 14 2007 	 Fear ! 	 read previous review , stay trepidation . nothing worry . yes cheap , basic requirement white sheet , white towel en - suite bathroom meet . clean warm . reception staff courteous despite English first language . although stay one night , breakfast adequate fridge room stay long could stock favourite . disturb russian restaurant basement pass traffic . corner cul - de - sac pass traffic pedestrian . one negative - hard programme tv BBC1 1 , BBC2 2 etc etc ! ! 
 Jan 31 2007 	 total let 	 read review go open mind . spend four night first impression friendly welcome smart Reception . ask quiet room give front room balcony , low space due two old chair extremely long occasional table . middle carpet stain outer edge carpet need thorough clean bed cover net window . noisy night time kitchen rowdy passer , door floor noisy closing . the bathroom long however shower head old fashioned type high , plumb toilet leave much desire wait full 20 min second flush . the breakfast room smell food previous evening hotel serve russian food continental food , dreary unwelcoming . table cloths wine red stain two table use , nice white pastel cloth would much nice . lady serve coffee social grace Good Morning ask much . little eat , choice two cerial , bran flake cornflake , juice rather ancient croissant . coffee taste disgust everyone seem vanish quickly possible eaten . two cup give chip side . room steep step dimly light , suitable anyone disable . I never encounter dark eating room travel , shabby street level . the lounge area occupy possibly member staff evening use laptop sense wish company . apart person never see guest use lounge . we request book black cab tell could private hire care . ask local taxi rank would pick tell we request Reception arrange explain would use black cab . we would stay . price little comfort , tired dreary need bright refurbishment , clear cut interior decor retrain breakfast staff . need provide well standard food . reception staff however efficient friendly book line sure take along documentation try overcharge we £ 100.a plentiful supply coffee , tea milk available fridge useful . room heater . it convenient Queensway , Baywater West end . easy access Hyde Park underground station useful bus service direct route Camden market , Angel Islington etc . use daily bus pass give travel bus , cost buy underground ticket become far expensive £ 4 limited zone , pay £ 3.50 day rider give one ability see part London suburb one would normally visit . there quite hotel area seem well advertised however admit time pass wish do research . next time visit stay London Guards 
 Jan 25 2007 	 hate 	 cheap , good thing say it . it hard find due vaugeness map provide . the room stink cig despite request non smoking room . & quot ; double bed & quot ; narrow . the bath room good standard except fact shower head low come chest ! bar shockingly expensive even London standard bar staff speak hardly English . Breakfast consist hard pastry cereal warm milk , nice . 
 Dec 27 2006 	 great value London ! 	 hear husband book we room London less 100 GBP per night , bit skeptical would find . , arrive Heathrow take London Express Paddington ( easy fast way get downtown airport ) , easily find hotel back quaint cul - de - sac block station . front desk check we quickly cheerfully arrive room first floor overlook front entrance . room nice high ceiling surprisingly large bathroom . everything clean , though curtain , sit chair bed linen bit worn . luxery hotel - basic . however , price impressive . good feature room mini - fridge ( seem brand new actually somewhat large ) . keep water snack , helpful consider much cost dine London . stay three night pleased location near 2 Tube station strip hip restaurant . front desk always helpful . include breakfast serve low level , really not much write home , get coffee tea start day least . area seem safe comfortable walk dark street early morning catch London Express trip back Heathrow . 
 Dec 7 2006 	 hate hotel ! ! ! ! 	 first find hotel difficult find . not explain clearly website . finally get , receive un - friendly reception staff member . tell we unable locate reservation ( even though confirm pay 6 month ahead time ) . completely unhelpful would not give we kind solution problem . finally urge show we reservation night , able find . immediately throw receipt we tell we sign write passport number clearly ( imply trust ) . dissapointe treatment never return , would certainly reccomend hotel anyone else ! ! ! please take advice , book somewhere else . 
 Nov 24 2006 	 Decent Budget Hotel 	 stay London Guards Hotel Nov. ' 06 . hotel decent budget hotel , emphasis budget . room clean maintain staff friendly , although seemingly unaware neighborhood around . direction get lose occasion . London expensive place you re run option , do not freak place be not bad get fact quaint ( clean ) . pay $ 12 sandwich London , will happy able save money hotel . 
 Nov 23 2006 	 give wide berth 	 apart location , place terrible . tatty room . extremely noisy air conditioning . broken window lock . Room poorly clean . breakfast 7.30am , ideal early start ! pay £ 89 . staff friendly smiled lot , probably way mitigate dreadful experience lousy hotel . 
 Nov 9 2006 	 job 	 stay London Guards hotel three night boyfriend . good point : staff friendly helpful , good location . warm , cosy decor , air conditioning + electric fan . accommodtion basic comfortable everything need break . not good : breakfast nothing exciting ( aldi cornflake branflakes , juice , tea , mini croissant , bread roll ) . safe deposit box lock . girl desk say would send someone fix not . 
 Nov 8 2006 	 ok Budget hotel 	 stay London Guards hotel tripple room september 2006 . room decent size fridge room . room also clean daily . third day stay problem toilet bathroom would not flush . report situation reception toilet repair day . other already note breakfast really terrible mostly not bother . staff hotel could also bit knowledgeable area . stay hotel Lancaster tube station close quite walk near tube station ( 10 - 15 min ) . overall , would recommend place budget traveler get deal like 68 GBP per room per night otherwise might well look elsewhere . 
 Oct 12 2006 	 satisfy 	 large room tall window large bath well . refrigerator television . close two metro stop , bayswater attraction . however , nightlife Bayswater another road bit West . hard find first time . hardly see staff besides desk friendly . 
 Oct 7 2006 	 Excellent value location - recommend budget traveller 	 spend six night London Guards end September . room quiet large ( London standard ) two chair , desk , bench , wardrobe lot room two exploded bag . decor old fashioned , everything clean bed comfortable ( firm ) . location excellent , although beware Lancaster Gate tube station shut later year , although be seven minute walk Queensway . reception staff friendly . breakfast okay - would expect London . overall 65 pound night please . see would hot heat wave air con flash . problem cool month . 
 Sep 14 2006 	 would go back anytime 	 although two we , book triple room ( 3 night ) simply give we space usual double . totally worth money . staff courteous . air conditioning ( could bit cool ) nonetheless effective enough make sleep quite comfortable . location well away traffic enough make pleasant night . 
 Aug 8 2006 	 Disappointed 	 reserve 2 room . one air condition . second one sweat box well keep promise would fix , - 3 day . second room 's air conditioning work however , water running vent onto vanity second third day stay . great little water fountain ! throw towel soak barely get belonging move prior getting soak . water also appear around base bathroom sink - throw use towel soak up . the hotel run bath towel second third day hand towel . bed linen change daily promise ( ask know policy say change daily - definite untruth ! ) promise change bed call second day , say change . say would send someone change call back 1/2 hour later say could not . we always ask politely , answer wate hear truth - good service . 
 Aug 1 2006 	 clean comfortable cool ! 	 stay hotel near end July 06 extremely hot weather . room triple top floor . spacious , clean , good size bathroom shower bath . soon walk room could feel air - conditioning working . also portable unit room sleep easy even extreme temperature ! hotel close Hyde Park quiet part street noise night . staff overly friendly understand English well . breakfast basic - croissant ( stale day 2 ! ) , bread roll , 2 choice cereal toast jam marmalade . however , price ( £ 75 double £ 89 triple ) pleased get stay . 
 Jul 22 2006 	 utterly disappointing 	 base mostly positive review ( ) , book London Guards two - week stay daughter . room tiny , spend much time Europe , not terribly disappointed -- friend come visit we spend night London Guards much nice room real view -- oppose room , half underground almost natural light . roach appear room , move room friend occupy remainder visit . ( , tell move provide assistance . ) Breakfast typically bad English , one ( instead 13 ) . final insult come day depart . ask desk clerk order we cab , apparently hotel racket go private company , instead 7 GBP pay arrive cab Paddington , private guy charge we 16 GBP . attempt say something nice , mention air conditioning work well , ice machine building . staff , none encontere two week , native speaker world 's Englishes , varied helpful terribly rude . 
 Jul 21 2006 	 good value family 	 actually worie hotel - one could find room family five - yet need not , good value , clean good , quiet , location . area safe large expensive house surround , road Hyde Park lot good place eat ( mostly italian ) nearby . man reception helpful breakfast not worth bother - well eat nearby . say close Paddington Lancaster Gate tube - Lancaster Gate not far Paddington quite hike . room clean , bathroom adequate although five we , not feel overcrowded air conditioning . would definitely stay take kid London . 
 Jul 16 2006 	 London Guards Hotel : big disappointment ... 	 three - star hotel , aside air - conditioning strong shower , ' m sure get rate high . stay first room two night , find ant crawl suitcase . laundry we , free , switch we another room , insist . try give we even small room , put cot nephew , refuse . finallly give nice room . room bug bathroom -- two , still ... continental breakfast include bad . tasteless white bread roll , hard little crossant , , accord nephew , stale dry cereal . fruit , yogurt cheese . could not find anywhere else close breakfast one staff recommendation . pillow small , flat , lumpy ; sheet towel coarse . the staff nice , particularly knowledgeable . practically one could tell we bus take , etc . there suppose computer hookup room e - mail . despite e - mail back forth , one mention special type adapter would need . bring appropriate adapter we , not work . 's computer lobby 's charge . incredibly incredibly slow . 
 Jul 14 2006 	 not go ! 	 read numerous review dozen budget hotel London , choose hotel another have stay Bayswater area several year ago . big mistake have book 7 night base positive review . hotel charge credit card upon arrival likely first sign something wrong . positive remark : bathroom room thoroughly clean every day . nice size fridge room . near tube station close Hyde Park . hairdryer locate beside dress table , big plus woman ! negative remark : hotel old tired . lumpy bed . not easy chair relax long day sightseeing . breakfast bad everyone describe . go twice 7 day . hotel close main bayswater shopping restaurant district many other . we pay 75 pound per night , considerably nightly rate another budget hotel Baywater area have previously stay , expect high standard . wrong ! poor . warning -- -do not go ! 
 Jul 8 2006 	 great value London Hotel 	 hotel London expensive think one real bargain . surprised get large room 2 double bed . room clean also refrigerator air conditioner . arrive early one morning flight Sydney give we early check bit disappointing . night clerk could also lesson customer service , day staff lot friendly . breakfast room basement poor - serve we stale croissant crockery ate chip ( include coffee cup ! ) . location quite good well , close tube though still walk bit get . hotel bit way action overall would definately go back hotel . 
 Jul 7 2006 	 Pretty average 	 two family small child travel together . must concur London Guards convenient location price great London . wish review could glow , 's . hotel bit quirky . room kind funky ( stair ) , fairly clean , breakfast second - rate London -- want proper english breakfast , not stay ! go heat wave get air condition big selling point we . however , A / c work properly . tell person front desk tell would take look . three day three request later , change . people front desk always pleasant helpfulness repretoire . often ask information good nearby restaurant , sightseeing information tell , & quot ; not really know . & quot ; Gee , thank . ' ve stay many b & amp ; B 's London continent know expect . hotel disappointment . stay elsewhere next time . 
 Jul 6 2006 	 bad good 	 husband recently spend seven week drive around Britain , stay farmhouse B & amp ; B 's , average 25 - 30 GBP pppn . small , old , clean , friendly pretty good breakfast . be fussy , definitely & quot ; five star hotel & quot ; folk ! say , spend three night London Guards Hotel . choose extensive research , base follow criterion order importance : quiet , small , inexpensive , near tube station , 70 % well good review Trip Advisor reader . many place large city , good point bad point hotel . the good point : room top floor back , really , really quiet ! room generously size , adequately clean , although spotless , portable fan . large refrigerator , handy , since several inexpensive take - away place within block , well couple pub . honest 8 minute walk Lancaster Gate station . towel good , lot hot water water pressure , hair dryer . lift small slow , work fine handy carrying luggage . receptionist efficient , although overly friendly . the bad point : hotel quite run around edge , peel paint , etc . first morning get room service , request two morning . window open 2 & quot ; , bothersome , afternoon warm . air conditioner , listen minute wheeze , smell stale cigarette smoke come , give . ( request non - smoking room , get one . ) bad point -- far -- & quot ; breakfast & quot ; . go basement room positively vile smell -- old , old stale smokey smell wall floor ! tea fine , husband 's coffee thick , stale strong could not drink . breakfast fare consist cold roll , cold croissant , one kind cold cereal , cold butter , milk orange juice . cook breakfast available 9 GBP ( $ 16 usd ) , see & quot ; Continental breakfast & quot ; , not want waste money . needless say , next two morning not even bother go downstairs , could take smell room . at 75 GBP per night room , terribly unhappy ( breakfast ) , next time certainly stay another hotel . 
 Jul 2 2006 	 great hotel great price ! 	 wife settle London Guards read review TripAdvisor , disappointed . stay two kid ( age 4 1 ) three night , June 2 - 4 , 2006 . knew & quot ; budget & quot ; hotel go , not expect anything fancy . expectation go , quite impressed hotel . we triple room , two double bed one single . think room 206 . back window could see cobblestone alleyway , front great view building call Spire House , beautiful building , guess , huge spire . resemble medieval church . room spacious , like small apartment almost . smell fine ( wife picky nose ! ) , look good . housekeeping excellent , fresh towel spotless room every day . the hotel quiet street , mainly business / hotel area , block Hyde Park . Lancaster Gate tube 5 - 10 minute walk ( highly recommend tube travel ) , numerous ATM machine . nice shopping area ( bayswater ) also ten minute walk , good last minute souvenir . internet access available lobby , nominal price . the staff always friendly helpful , never seem & quot ; put & quot ; numerous question one ask one two small child ! hold luggage lobby day check extra three hour , finish sightseeing . offer even ask . week stay even get letter , thank we stay ! less perfect aspect , note review , sparse breakfast , since not eat big breakfast anyway not care . hot food also available fair price . highly recommend non - fancy traveler . 
 Jun 23 2006 	 old hotel 	 small lift utterly pointless take forever ; room large ( two king / queen bed one twin bed ) , bed old partner awoke sinkhole middle ... bed seem equally old worn ; chair quite stained ; pay internet machine lobby 
 Jun 19 2006 	 sweet simple 	 stay hotel four night month June 2006 . arrival , hotel bit difficult find . marked map , appear lancaster gate opposite hotel , be not case . Lancaster gate 300meters hotel , quite walk luggage do not know . double room 1st floor fairly large . room fan aircon work perfectly experience extremely hot weather whilst london . bathroom large importantly clean . room bathroom clean daily . hotel also allow we early check emmensely grateful need freshen long flight . also occassion need adaptor , provide one quite promptly . ( fee ofcourse ) Breakfast standard include cereal , toast , juice croussant . want anything else , could order menu , think rather expensive . the staff breakfast room friendly , however desk clerk need lesson service . overall , think get pay , give high price hotel london . holiday spend little time room , perfect . althought 300meters away , lancaster gate quite convenient . also load restuarant area . would like picnic take stroll , hyde park close . neighbourhood also quiet , good place getaway noise buzz london city . 
 Jun 16 2006 	 wear clean ..... 	 return London . stay hotel 5 night ... hotel wear especially loby . furniture room also little bit old . however , room clean small . small refregirator every room . bathroom also quite big clean . I book hotel internet rather cheap accord London price . suppose airconditioner every room . however , work . hot stay . , report several time . never fix . want change room due problem , tell we hotel completely book . however , promise grant we fine . guess ? never get ! big problem hotel , difficult find somebody speak fluent English also help . staff friendly . stay ? way ! 
 Jun 5 2006 	 large room pleasant stay 	 stay 1 night work Hyde Park , book single room get twin fairly large load room . room / hotel could use lick paint bit update bu apart pleasant stay.10 minute walk near tube 15 - 20 minute walk Marble Arch . 
 Jun 3 2006 	 good price London 	 London expensive city ; find hotel near Hyde Park could hold 5 people reasonable price plus . hotel old certainly Omni , price location 5 people unmatched . 
 Apr 23 2006 	 quite basic good location 	 hotel 5 - 10 minute walk Lancaster Gate tube station quiet area . we book double room LastMinute pay £ 69 , would definitely pay anymore room . the room basic old fashioned . although size room excellent , large London standard . bed not really much , bedspread quickly discard find brownish stain . underneath brown fleece blanket sheet . really expect . the bathroom consist toilet , basin shower . shower bit tempremental sometimes shoot boil water result getting burn ! breakfast okay - continental , choice fruit juice , tea , coffee eat , croissant , bread roll cereal . I stay three hotel Lancaster Gate - would definitely consider other book . 
 Apr 17 2006 	 great value 	 - family five - stay three night get large quiet room third floor . location good bit boring , area dominate hotel . walk Lancaster Gate tube - station ten minute ( close summer , think Queensway nearly close . ) , restaurant cafés bit hard find . however , find , good , even young daughter ( 6 ) content . the good thing hotel service - receptionist extremely helpful . bad thing breakfast . croissant , spongy breadroll , cereal , ( toast request ) , juice , tea coffee get , not want pay - rather lot - english breakfast . however , England , far know would recommend hotel . 
 Apr 3 2006 	 wonderful stay a++++++ 	 stay husband sister 8 day . read review book everyone say . old building , room look alittle worn . good size bathroom large . staff helpful great location ! ! ! ! inexpensive hotel work great . defifinitly stay . can not beat price ! 
 Mar 26 2006 	 Great experience ! 	 find large enough room sleep family 5 comfortably blessing ! particularly nice hotel ! enjoy location well . right Hyde Park allow we feed pigeon daily , walk park see everyday Londoners dog , walk Kensington Palace Orangery ( highly recommend ) . multiple restaurant nearby . pickup spot tour around corner . hotel service great , free breakfast , location ! price ? average area , remember everything London expensive . 
 Mar 12 2006 	 Wonderful hotel 	 come Canada , group three ( two kid , 13 17 one adult ) , reccomende hotel alternative another one area negative reviews family friend . give room second floor wonderful view Hyde Park , although small compare room hotel , cozy serve need tee . bed comfortable , bathroom good condition small fridge become handy . also nice teapot , cup container boil water , end buy large amount tea London trip ! hotel good condition , although wallpaper room pretty gaudy . first day , suffer greatly jet lag , wonderful stroll park , barely minute away , find later evening nice restaurant nearby area . neighbourhood hotel relatively quiet night , sleep well whole stay ( five night ) . would say good feature hotel superior service , whether front desk breakfast . housekeeping especially wonderful room- pleased come back clean room fresh towel bed long day city . breakfast thing worth complain , get pretty dull last days- croissant excellent , daily cornflake dry roll less . thing considered- fantastic hotel , especially price . certainly add wonderful time UK . 
 Mar 7 2006 	 Excellent Value Money . 	 stay 3 night November go London short break . pleasently surprised find room double single bed plenty room . staff friendly . room clean clean day . afraid big bathroom would heard expect anything much London , fine size really good shower . always hot water . breakfast bad bit . cornflake soggy roll not great either site see early ate suit we well . get home get letter hotel thank we visit . cheap cheerful hotel centrally locate everything . staying go back London . 
 Jan 18 2006 	 around good value London 	 stay London Guards Hotel January 2006 , agree review post site . around , hotel provide excellent value price . be clean , comfortable safe quiet neighborhood . also easy get anywhere city hotel use public transportation . definitely little threadbare be look good budget accomodation , . breakfast little sparse , warn expect big spread . two kind cereal , croissant bread roll . coffee , tea , juice jam . 's . not expect anything more . I use review Trip Advisor help find hotel quite satisfied . surprise . make happy ! 
 Jan 12 2006 	 Great Hotel great location 	 stay London Guards last summer 2 night 3 son . room rather large , give London standard , 2 king 1 queen size bed . price reasonable - ~300 $ /night via Expedia . would big room even american standard . bath clean , staff extremely friendly helpful tour advice , public transportation etc . location convenient , close Hyde Park . can not really walk big attraction , get easily public transportation . neighborhood feel safe , even night . case point : son point lot nice expensive car park street ! 
 Jan 11 2006 	 great location would stay 	 London Guards Hotel great value money . hotel old , small , nice quiet cul - de - sac north Hyde Park -- see park front door . location could well -- 5 minute Lancaster Gate Tube , 7 minute Queensway , 9 bayswater , 12 Paddington . well lit , safe , high rent area . ( newly renovate 3 bedroom flat next door list 1.7 million GBP ) room large London standard , clean comfortable . tv tiny limited channel , ' m London watch television ! bathroom decent size plenty hot water , clean tile , funky . real complaint shower curtain mildewy bottom smell mildewy run water . towel heater bathroom . staff friendly accomodate , although ' m difficult demand guest tell would react request beyond provide . beautifully decorate fact wallpaper , Queen Anne style chair , bachelor pad couch wooden parquet floor chandelier bite incongruous juxtaposition style , , , not matter 's clean , well - locate safe . would stay time . walk toward bayswater tube station , find manner anything need -- boot , huge variety food american staple ( KFC , McDonald 's , Burger King , Subway , Starbucks ) chippie , pub , etc . be also cheap internet cafe ( 50p hour ) well . ' ve ever read book & quot ; Mouse Motorcycle & quot ; , London Guards hotel book imagination . enjoy ! 
 dec 23 2005 	 get pay . 's much 	 spend four night London Guards Hotel . booking easy pay 240 pound so . the room dirty window , occasionally work toilet flush switch , unpleasent strong airfreshner smell bathroom - something hide ? bed hard , tv bad signal , see receptionist guy seven time , two time phone talk foreign language , english . the bottom floor stink , plumb hazard something , could not really breathe hallway bottom floor . breakfast serve floor , luckily room not smell . plate , cup fork dirty three four breakfast have . it bad , guess 's good get budget like . place could much . despite cheap , recommend hotel something well 60 pound per night , even London . 
 Dec 6 2005 	 Excellent Hotel 	 full modern shower bathtub . plenty hot water good water pressure . clean room common area . stay 7 night staff always friendly accommodate . double room adequate size , high ceiling , include small refrigerator , safe . bathroom large . hotel elevator . Lancaster Gate tube station five minute walk Hyde Park . neighborhood elegant feel . stay sure check nearby Archery Tavern 4 Bathurst Street , real pub atmosphere great pub food landlord / publican site time . Swan 66 Bayswater Road lack & quot ; real & quot ; pub feel staff warm welcoming . 
 Dec 1 2005 	 good value would recommend 	 visit London business pleasure previously stay many location . hotel however exceptionally good value . single room adequate alone need lot room . room warm , dry quiet . pre - requisite business travel . breakfast surprise cost & quot ; English & quot ; breakfast - tin mushroom welcome - otherwise good little pricey . continental breakfast fine . staff could friendly . conclusion - stay - yes ; recomend - already . 
 Oct 31 2005 	 Best Value 	 stay London Guards 6 night . overall , good experience would definitely stay . fact , would recommend hotel . the room clean , though big . bathroom , spotless , shower also tub . staff helpful . good thing , room fridge safe . say drawback breakfast . , not care . hotel serve croissant bread cereal , plus orange grapefruit juice coffee tea . not choose hotel breakfast . matter fact , hotel never show good review cost not serve breakfast . location simply ok . good walk tube station , unlike hotel station right door far . anyway , walk bayswater station good ( compare nearer Lancaster Gate station ) lot shop restaurant way . £ 59 / night , would say get great value money . 
 Oct 20 2005 	 bad London ! 	 London .... unless pay mega buck not expect anything fancy . for 180 GBP 3 night ( via Lastminute ) find pleasant , clean overall good standard hotel . its proximity near Lancaster gate tube station Hyde Park . our room top floor ( 4th ) problemw lift ! ! ! ! drawback Breakfast Buffet ! ! ! big breakfast eater ( americans beware ! ! ! ! ) may shock system may need extra breakfast later ! ! ! get cereal ( 2 sort ) croissant roll . oh yes ... get tea coffee ! ! ! ! overall good , clean , good value money hotel staff pleasnt ! 
 Oct 5 2005 	 good value clean spacious room . 	 stay London Guards 3 consecutive night late september . double GBP 65 night incl . breakfast . the room bit worn expect much breakfast . location good , 5 - 10 minute Lancaster Gate tube station . quiet neighbourhood . bed good . room fridge clean rather spacious ( ! ) . stay rather dodgy , extremely small room elswehere London , find really good value . would recommend it . enjoy London ! 
 Sep 27 2005 	 Glad stay ! ! 	 recent trip England , spend one night London Guards Hotel disappoint ! warn one person ' tiny hotel room London ' amazed size room ! two bed room well full living room area good size bathroom . hotel clean staff friendly . also help we early check day arrival . breakfast fine- nothing special serve purpose- cereal croissant keep we go morning . short ( 5 minute ) walk tube make easy come go hotel . recommend hotel other definitely think go back next trip London ! 
 Sep 24 2005 	 excellent hotel 	 decide stay ' London Guards Hotel ' firstly fairly cheap comparison London hotel read good critic ! well , certainly worth . perfect location , friendly staff importantly CLEAN ! room pretty spacious ; tv , air - conditioning , boiler , shower / bathroom .. request 2nd 3rd floor trip advisor member advise fine ! breakfast bit poor really care ? departure , even receive letter home thanking stay etc etc highly appreciate . I recommend 100 % . oh , ask service to / from aiport location . 's worth - expensive save lot trouble . not book taxi ! ! ! offer good service logical price ( be logic London ! ! ! ! ! ! ) unfortunately , photo clear get idea ! ! 
 Sep 20 2005 	 great place stay 	 great place stay . room 4th floor huge , 3 bed . clean bathroom ( big tub ) , fridge , tv quiet night . location excellent , 5 min level walk Lancaster Gate tube 10 min Paddington Heathrow Express terminal . continental breakfast fine . would stay . 
 Sep 18 2005 	 satisfy 	 satisfactory place stay , decent price . room nicely decorate , although seem like since last overhall -- peel wallpaper corner etc . room bathroom clean though , important thing . bed comfortable , fridge room useful . the service no - frill -- bad , extra . continental breakfast average . try full english breakfast one morning , ( cost extra ) , not great . stay like big breakfast , go ham cheese omelette instead . overall , satisifactry , especially be budget . 
