dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Oct 26 2009 	 Wonderful Hotel service cleanliness approach 	 go back tomorrow without doubt abd take wife , wil love place people : ) 
 Oct 25 2009 	 wonderful italian luxury 	 return five day stay Vegas - first . since love everything italian , choose Venetian disappointed . whole place beautiful room large , livingroom area marble floor hall bathroom . comfortable thing could wish coffee pot . trek downstairs every day first cup . course , everything pretty pricey , alternate fine dining food court Cafe Grand Luxe price reasonable . the thing could complain overpower smell deodorizer hotel . presumably counteract smoke casino , none luxury hotels strip seem problem . unpleasant , since asthamtic , bother breathing . if like old european luxury , thisis place . 
 Oct 25 2009 	 Venetian not leave resort 	 stay 4 night Sunday Thursday Purpose trip like penny slot good drink service playthis casino hotel surpass previous 30 trip Vegas great room housekeeping . .stayed Venezia room 6 - 608 little walk casino quiet room could ask .2 Queen bed sofa huge bath nice come back to . have stay Flamingo Ballys Ceasars Paris would recommend srend extra dollar stay venentiancomplaints\none 
 Oct 25 2009 	 amazing 	 amazing hotel vegasgreat position , beautiful room , great servicepicture perfect , spacious room great amenitieswill come back next yearonly negative thing- problem inscence u may want stay pump inscence lobby quite strong 
 Oct 24 2009 	 lavish hotel 	 one plush hotel ! get unbeatable deal double deluxe suite trawling internet hour , well worth time . room amazing . tell arrival could upgrade room view extra 50 euro per night , glad not actually wonderful view mountain instead . not drink bottled water - 's 6 euro ! buy iced street 1 euro . 
 Oct 23 2009 	 Excellant hotel great service 	 stay 5 day buddy go Vegas party hotel nice , service amazing overall great hotel . would stay depend price , get good deal , would say hotel 4 star vegas good stay offer good service . the room huge though lot big room stay , stay MGM room double size . 
 oct 22 2009 	 ' m Italy ? 	 Vegas , look around see monument around world . particularly impressed Venetian , even travel Rome . elegance art hotel unmatchable casino see . room incredible , although much big need . think could spend less money still get really nice room . not big fan french restaurant casino , not try show . love fact gondola ride , go back , would take one . overall , upscale , modern hotel incredible , must see even not stay . 
 oct 22 2009 	 5 Stars way 	 wow ! suite Venetian could happy . room gorgeous bed comfortable . could not hear outside noise hallway noise . downfall do not like feather pillow everything crazy expensive . watch order room service - charge 18 % service fee , deli fee tax top . small amount appetizer turn crazy room bill . money splurge , ! 
 Oct 20 2009 	 great hotel but … 	 good 3 night stay venetian . room , oup sorry suite , roomy ( even basic one ) nice , large bathroom . $ 225 per night , ' great deal ! everything really beautiful place , lobby Grand Canal Shoppes . absolutely nothing complain valet , front desk concierge guy , professional friendly . enjoy good dinner Morel ' . good food , good wine , good staff , bit overprice ( see ) anyway couple negative thing : - ' smell good casino lobby.- in - room breakfast stuff still come back end day , room however cleaned.- choose smoke King bed room non smoke Queen bed … - ' light switch many light room , mean switch separately- loud music 24/24 Tao Club , could disturb bit morning.- Dollar currently cheap swiss people , restaurant ( venetian ) pricy.- Keycard often work first ( second , third , … ) attempt open room door . general problem apparently see neighbour undergo trouble . well , review may look mostly negative , ' " complain " consider minor detail . important thing ( room , casino , restaurant , staff , global infrastructure ) good ! 
 Oct 20 2009 	 Fabulous ! 	 hotel room gorgeous huge . love separate area couch tv . bathroom large well appoint . love location restaurant . plus , shop amazing . pool area get little crowded get 11 , could grab comfy lounge chair . 
 Oct 20 2009 	 Fantastic ! ! ! 	 good ever stay ! service perfect aspect ! room incredible ! every thing wonderful ! 
 Oct 20 2009 	 Hotel lovely restuarant good 	 wife stayed beautfully appoint Hotel weekend . great time , check line long , big hotel . upgrade strip view room ( 10th anniversary ) appreciate . room spacious , clean mod con . little dark room , even light , observation . area Hotel clean give air opulence . criticsm restaurant square , proudly boast food creation Wolfgang Putz . overprice fail deliver anywhere near food quality expect . salad leave limp , food luke warm , service avaerage . affect overall stay , dissapointe . overall , great hotel , central location . one piece advice , pool area get busy noisey weekend . do not mind , want relax , may want try somewhere little less crowded . 
 Oct 20 2009 	 amazing hotel 	 amazing hotel , decor beautiful , stay queen size suite , living area 2 large plasma T.V 's ( watch much much ) , bathroom spotlessly clean sunken bath separate glass shower . pay extra $ 35 per night get quite room well worth hear room overlook strip could quite noisy . go two show hotel , phantom opera blue man show well worth money walk around Grand Canal shopping area experience . would highly recommend hotel would definitely stay . 
 Oct 18 2009 	 experience 	 ' ve already stay venetian 2 year ago business travel , time come back venetian girlfriend expect great experience we , friendly staff , overall GREAT service , room amazing . 
 Oct 17 2009 	 expect 	 come back yesterday venetian husband love every minute . staff efficient nice , feel welcome special . room service fast , one time available housekeeping need towel next morning , take 10 minute get towel . bed comfortable room clean . nice view 26th floor golf course mountain . wine bottle opener glass available , bathrobe , hairdryer , shower gel , soap lotion smell nice . sensor mini fridge candy shelf , make sure touch anything will charge . close everything , take deuce bus ( $ 3 - exact change ) get south strip walk way back hotel take magnificient picture . negative thing would say hotel nasty perfume smell . sensitive nose feel nauseous time . like noodles restaurant casino Lux cafe breakfast . take cab airport hotel , $ 19.50 . take shuttle way back $ 6 per person . walgreen adjacent hotel , well appreciated . Denny 's restaurant close budget . also Mc Donalds . would go back sure would warmly recommend hotel everyone . 
 Oct 17 2009 	 happy stay ... smell go ! 	 get pretty decent deal air hotel WestJet . check guy nice although line , wait 5 - 10 minute . Said would give we room view & quot ; take care & quot ; aka give money . boyfriend slip $ 20 . ' ve hear none room good view Strip . & quot ; view & quot ; 23rd floor mountain background , view pool , Treasure Island eyesore construction site us mountain . ' m sure will much nice construction finish . first time stay , can not really comment view could get . know lot people complain distance get room . think especially true stay Venezia tower . get room go casino , elevator corridor . probably take we 5 minute walk front door room . bad be healthy not mind walk , not think parent would love . hotel provide iron board hair dryer , coffee maker . everything cost extra hotel ( mini fridge , internet , local phone call ) . not touch anything bar tv unless want buy . bottle water $ 7 . end get room service one night . order comfort food ( french onion soup , mozza stick , mash potato ) bill come $ 40 tip . Grand Lux Cafe downstair good place eat . know , nothing taste decent cheap Strip , although plenty fast food type option around . Grand Lux Cafe breakfast buffet $ 15 rest food look great . stay Venetian , will probably eat every day . snack water would go Walgreens right beside Venetian . liquor , walk take Deuce towards Stratosphere tower Strip 's cheap liquor store half mile . keep thing cool , fill one sink bathroom ice . perfect , way cheap renting fridge ! other say , strong perfume smell pretty nasty permeate lobby casino . luckily , not strong smell hotel room . if be type person like hang hotel room relax portion trip , would recommend Venetian . want gamble different Casino 's strip time will not room long , maybe different hotel would well cheap . overall , happy stay like service . would not say staff really go beyond , everyone helpful friendly enough . feel like get pay . 
 Oct 17 2009 	 Party central 	 awesome time . went Vegas celebrate 40th sister & amp ; brother - in - law & amp ; friend . anything , go Tao Beach day . 's child look quiet spot get ray . 's super - fun , super - sexy pool party ! ! pay nice room beside sister , check - in b - in - law remind request room beside , happen . book 5 night , discover room face bland hotel complain , happily move we next day one great view , still close sister . worry , fabulous time anyway : ) downer health club / spa facility include room price . 
 Oct 17 2009 	 enjoyable stay 	 con - much - long lineup checkin take we 30 min around 4 pm , 12 staff member desk- seem day well . checkout line not long wait also express check mail drop box realy press time . main venetian pool not get sun early afternoon ( least 2 pm ) , second pool sun shortly noon use Palazzo pool sun around 9 am . -- -- -- -- -- 10 year open , still look clean nice ... hotel look nice Wynn one recently build . our Room 24 floor basic suite plenty big 2 people large bathroom ( tv great complimentary bathroom product ) , king bed ( second tv ) spacious sit area couch third tv . automatic blind handy , bed comfy , bath robe come handy overall room quiet ... real late night noise stay Sun - thur . although might find little bothersome , like fact show room card security access elevator room elevator ground floor ... keep people not there . the hotel north south strip make little less busy say Caesars Palace 10 minute walk south . good asian noodle restaurant try mainfloor casino area upstair 's food court great inexpensive breakfast lunch ... also much nice restaurant not try seem really nice . also Walgreens outside Hotel come handy . the second floor Shopping Grand Canal interesting ... quite like Venice last year , indoor canal pretty nice not Venice . 
 Oct 16 2009 	 5 star 	 could well . staff great . restaurant hotel fantastic . first time sin city top fun . not gamble great time . 
 Oct 15 2009 	 like giant italian glade plug 	 ever house cat .. lot cat wonder notice house overwhelming smell pee.well ... welcome Vegas Ventian , smell cheap pump perfume simply overbear checkin shop entrance . seriously folk kind scent allergy need stay away place . ask front desk spray room anymore scent told & quot ; ever venice would know flower everywhere smell exactly & quot ; ... respond well venice raw sewage stale water canal what s excuse ? 
 Oct 15 2009 	 enjoy stay Venetian 	 stay Venetian Oct 6 10 , 2009 . luxury suite comfortable king bed , actually lead room . large comfortable . huge bathroom seperate shower , bathtub , double sink , vanity table , sunken living room sofa ( sofa look worn - bit surprised ) small dining table chair nice size desk . arrive several hour prior check able get room without problem find front desk staff quite friendly . view strip offer we additional cost , decide forgo view end view pool fine . arrival room realize many number safe working . Maintenance send quickly room replace . location hotel strip excellent , right across Treasure Island Mirage . hotel huge , many corridor easy get disorient . strong perfume scent spray lobby , overwhelming reccommended allergy . the Grand Canal shop expensive nice , food court amongst shop reasonable meal ( noodle place great ) eat Canalletto Restaurant shop area , pricey food good ( especially Apple Crepes green apple sorbet caramel .... mmmm ) also food court / cafe area within hotel , sandwich wonderful gelato Cocolini must try ! ! flavours ever see ! ! small breakfast buffet ( small adequate ) issue hotel follow : must use latch door , housekeeping open door knock . time answer room - use latch ! ! play Casino , prepare wait drink - time pay drink barthere print boarding pass , must get concierge pay internet room overall enjoy stay hotel , Vegas must visit ! ! must buffet Bellagio , try Champagne brunch Bellagio Saturdays Sundays - worth money - ton selection try see show , October 31st Cirque special official website , buy one ticket get 2nd $ 25.00 . saw & quot ; & quot ; absolutely love 
 Oct 15 2009 	 still one Best 	 venetion still one favorite resort strip , TheHotel . compare Encore stay early year , Venetion & quot ; feel & quot ; roomy even sqare footage may refect . two tv nice touch . daughter love automatic curtain . convenient self - parking big plus . 
 Oct 14 2009 	 Bellissimo ! love Venetian . '' 	 get back whirlwind six night stay Vegas . experience Venetian fantastic ! suite - sized standard room 32nd floor terrific view mountain range city 's east . ' city ' within hotel massive . take find bearing hotel , day two layout start make sense . last year girlfriend spend time Venice love . surprise Venetian 's decor , attention detail architecture helped transport we back Italy . staff quite friendly helpful . visit many hotel / casino strip ... place nice happy choice . like mexican food try Dos Cominos hotel . one good meal stay . like fact casino dominate Venetian . fact , never gamble penny stay Vegas . plenty shop choose hotel . remember get gelato St. Mark 's Square . will not disappoint stay Venetian . can not wait return . 
 Oct 14 2009 	 Gorgeous hotel ... one two grumble 	 venetian hotel amazing- one nice hotel Strip far . check around 10.00pm big queue deal relatively quickly . our suite Venezia tower Floor 4 - face back end building needless say - VIEW ! go get charge $ 50 night strip view - decide money would well spend enjoy . also take walk room Venetian ( 2 elevator countless corridor ) would suitable someone limit mobility . the suite gorgeous hotel restaurant great . location strip brilliant - almost middle nothing far away . well choice go something one end strip ! slight grumble hotel big , service impersonal . get impression individual customer service important problem deal efficiently would like . door knob door break return shopping - way back theatre although rush , take 2 phone call ( lobby ) half hour maintenance man arrive . even apology - nothing ! ! say , Vegas amazing ! would definitely like go back much .. Phantom Venetian worth see choose one show - see LOVE Cirque de Soleil - amazing ! 
 Oct 13 2009 	 city within city . 	 great hotel , wonderful shoppe boutique , restaurant every taste , next good thing Venice . 
 Oct 13 2009 	 Awesome place ! 	 love room venetian- cool bed modern decor , sink living room , ton space awesome big bathroom ! ! ! ! ! carpet hall cool ! hide food court hotel not want eat 30 + restaurant . debate stay Palazzo Venetian , actually connect inside , walk thru venetian sudden sign say Palazzo ! not stayed view Palazzo room , happy Venetian even tempt pay Pal . ' ve hear basically ( own company ) . 
 Oct 13 2009 	 Beautiful Hotel Overwhelming 	 wonderful stay venetian birthday . hotel , nice . service friendly ! two negative : 1 ) Lobbies hallway pump heavy perfume scent . ' m someone allergy smell burn eye nose . friend stay month ago say thing . ' m sure infuse hall scent counter smoke smell come casino . however , be much . be bad smoke ! 2 ) venetian almost big 's good . stay Venezia side . also venetian build Palazzo . 's big confusing . see guest time wander around wonder direction go . overall though , would stay . room pool gorgeous . also spend time Canyon Ranch Spa . great time ! 
 Oct 13 2009 	 Best Vegas 	 always travel Vegas favorite resort Venetian . We´ve already stay Bellagio Wynn nothing well venetian standard suite . it widest room enchant architecture . there´s nothing well 5 star hotel price 3 star hotel Europe ( paide 130 pound night great room ) ... happen Vegas . 
 Oct 13 2009 	 enjoy Stay 	 stay Venetian Oct 9 - 12/09 Venezia tower room 11 - 517 , view pool . 4 us 2 queen - bed suite , sink seat area . spacious , 700 sq ft . bathroom good size water closet ( phone ) double sink vanity area . makeup table nice light mirror blow dryer . tub separate shower spacious , good water pressure shower . plenty towel & amp ; facecloth . basic amenity somewhat lacking , soap , one cake soap , one small bottle shampoo , conditioner , shower gel , hand cream . shaving gel mouthwash provide . also , provide laundry bag dirty clothe every hotel ever stay . request robe send room not upon arrival . advertise robe & quot ; plush & quot ; , anything . overall , room part clean , standard expect opulent hotel . there minibar , fridge coffee maker . price minibar item call nothing short highway robbery ( $ 26 500ml bottle white wine ) . find price wine gift shop bad though , might want buy instead , sure also buy cork screw one provide room . there many restaurant choose , try Grand Lux Cafe Tintorreto Bakery . happy , service excellent , food good , price reasonable . dinner Grand Lux generous , 2 we share 1 meal quite easily . dessert huge ! 4 we could finish chocolate cake order . the property massive ( big Vegas ) & amp ; time confuse navigate , well signage would definitely help . ground absolutely beautiful many pool choose ( lose count many exactly ) .We problem checkin checkout , quick staff pleasant & amp ; accomodating . room service good & amp ; wait time minimal . food , pizza chicken quesadilla , good , cheap . also warn choose order drink pool , end cost close $ 20 / drink . I probably would stay simply hotel big taste take long get anywhere property , beautiful hotel . 
 Oct 13 2009 	 Venetian Rocked ! 	 stay Venetian long overseas business trip well worth . girlfriend stay suite clean spacious . bed super comfy bathroom clean well keep house staff . view strip pool area plus . purchase gym membership Canyon Ranch surprise large facility . many different restaurant choose , addition large shopping area . overall , typical & quot ; party & quot ; environment . would say good hotel experience Las Vegas . Definitley recommend property look excellent service high end property . 
 Oct 12 2009 	 absolutely amazing experience 	 hotel beautiful . entire staff extremely accommodating . everything clean top line amenity . 1st trip Vegas good hotel visit far . would love go back - soon . 
 Oct 12 2009 	 great hotel 	 stay two night one basic suite . room spotlessly clean , great size tastefully appoint . complaint whatsoever , pleasant stay . needless mention huge number excellent facility within Venetian / Palazzo complex . would stay 
 Oct 12 2009 	 large comfortable room 	 room nice , large split - level suite view pool . one comfortable hotel ' ve stay Las Vegas . carefully mini bar sensor drive charge anything lift , hotel install extra fridge need . 
 Oct 12 2009 	 less expect 	 Beautiful Hotel ! room clean comfortable ... although little tired looking . check busy wait line 20 minute . check receptionist friendly . travel sister husband ask could room floor immediately say ... without even look . sister end 11th floor 24th . order room service 2nd day . quote 30 minute delivery time . 2 additional phone call check status breakfast .... arrive hour half later . comp upon check out . at check ... receptionist tell husband hotel 98 % occupancy probably explain poor service . 
 Oct 12 2009 	 place stay 	 lovely themed hotel stay . staff extremely helpful courteous . visit major hotel whilst Vegas personal choice would still venetian . basic room huge , lounge area never get chance use good location strip . little hesitant check read bad review , ' encounter anything spoil stay . highly recommended . 
 Oct 11 2009 	 Great Service Smile 	 Seven Bridge sister go celebrate 70th birthday . wish ! Venetian make we feel welcome service great . we go home wealthy go home good memory 's like live lavishly . vip package complete limousine airport ... way go . definitely would stay Venetian Hotel sample great restaurant , entertainment , shopping . Grand Lux Cafe cheesecake die service great ! never old spoil nicely . 
 Oct 11 2009 	 beautiful 	 venieza tower beautiful take long time get room take two lift walk bit . room beautiful complaint . complimentary continential breakfast beatiful pastry , coffee , juice fruit . nice ! free valet car parking bonus . only negative thing would say would pool close windy day ( appear windy ) one could go pool pool deck- frustrating . 
 Oct 11 2009 	 amazing hotel 	 arrive breathtaking . get room good room ever . excellent location middle strip . beware people hotel offer cheap ticket etc , sell timeshare . the pool area fab hardly anyone , go pool pallazo quieti pool area . perfume overpower . nearly stay Belliago good choice . try buffet Wynn amazing value excellent food $ 18 lunch . well worth . also reastaurant hotel well price , Mexican end canal cost £ 80 two couse drink , cheap meal have . use deuce bus excellent value . any question anything email I . we do Grand Canyon Sunset tour grand adventures.com , amazing value money trip fantastic wonder rank 1 canyon tour ! ! go ! 
 Oct 11 2009 	 great resort spacious room friendly staff overall good deal ! 	 take advantage summer special venetian offering website , $ 189 / night plus gaming credit , buy - one - get - one - free cocktail , discount couple restaurant . overall great deal ! room ideal 4 woman : separate living room pull - out sofa bed , nice size bedroom w/ 2 queen bed , large bathroom double sink separate shower / bathtub . stay venetian tower , hear Venezia Palazzo tower new ... happy suite . upon check - in everyone helpful friendly , despite madhouse . resort huge ; directionally challenge , involved lot ask direction ... noone seem put help . offer day resort tax ( tell come back morning say want add resort tax , even though access fitness center , pool internet already ... therefore not pay first night .... tell tell anyone ) concierge give we many free pass useful info ridiculous . not pay one single nightclub entrance stand line entire time , receive $ 25 Grazie card ( gaming card ) part book room deal , also pre - sign gaming card online trip give $ 15 , total $ 40 spend . would suggest everyone sign gaming card different resort online trip usually give free money . go visit resort ( not stay get gaming card ) pick free money gamble bit . friend $ 200 free $ 5 gaming card get Paris Resort . overall Vegas trip fun little pricey , expect . even though Venetian suppose little high end resort ... shopping , restaurant , etc . , pricier anywhere else ( check lot resort ) . ok , one negative , venetian pump fresh air resort , resort , except Venetian 's air scented . first walk resort think & quot ; wow , smell great ! & quot ; . five minute overwhelmed perfume - y smell . Everytime leave room , nose assault strong , perfume air bother sinuse eye . may enjoy , find overpower . good thing not inside suite , inside restaurant shopping mall , place could retreat not want deal smell it . overall , would recommend everyone stay venetian least .... must travel large group want stay room room way roomy resort . eat Tao party Tao .... awesome ! 
 Oct 10 2009 	 not need stay . 	 check fast previous comment point tell we little Hotels feature actually charge $ 15.00 day resort fee for . parking easy confuse try find room . need take elevator parking structure long hallway another set elevator get room floor . another long walk room . we request nice view Strip floor 24 obstruct view look abandon hotel frame work two tall crane . could hear plane fly sound music play 24/7 outside . slam door midnight wake we every night . would call 5 star hotel charge we $ 210.00 per night . worth consider view reserve painfully long walk room casino . I question room ' sanitation personally place bright & amp ; floor 4 day still plain sight . mini bar empty coke bottle , club soda . ask remove never happen . call question toilet , tub even bed properly clean prior quest . the food expensive give cause we travel hotel meal reasonable . also discover return home offer room include show free dinner . even make reservation call hotel directly . after visit hotel casino find several other stay next . Treasure Island look great Bellagio MGM Grand . venetian cater heavily chinese market Venetian China casino show worker chinese hard understand . also friendly never see smile they . it 20 year since last visit Las Vegas honest like Venetian would need visit . take daughter 21st birthday avoid Venetian connect Palazzo Hotel . maybe MGM suite $ 59.00 little less stuffy . we write Hotel express concern never hear back . bit rude in - line saw visit . 
 Oct 10 2009 	 Excelent choice nice room 	 great place nice large room . definately would recommend . great business pleasure . try say 's anniversary 's staying could get upgrade lucky . 
 Oct 10 2009 	 straight luxury 	 desire top line service quality , ! 
 oct 9 2009 	 venetian worth visit ! ! 	 husband , return las Vegas venetian goog choice . last year stay Bellagio excellent , venetian room much well , suite spacious beatiful decoration confort . stepdown livingroom give feel separation sleep area . my husband love 3 lcd tv , really enjoy shadesare automatic control remote . the lobby gorgeous many restaurant choose . conect palazzo hotel , do not miss Levo restaurant Phanton Opera . happy Venetian ! 
 oct 9 2009 	 amazing hotel ... amazing trip ! 	 check early hotel . suite ready we . put we Venezia tower little old , architecturally gorgeous . quiet place ever stay love ! walk little bit plain venetian , worth . room first build , little old view strip awesome ! would highly recommend anyone go Vegas stay Venetian . place , worker , atmosphere , even smell rank number 1 ! 
 oct 9 2009 	 beautiful place ! 	 venetian absolutely gorgeous ! stay 1 room suite Venezia Tower $ 79 / night ! room clean , nicely appoint large . problem trek room . order get room hotel lobby take elevator & quot ; Venezia Lobby & quot ; , walk quite way several corridor go another elevator floor . believe problem Venezia Tower build Venetian 's parking garage , well way . want run casino grab something eat , quite distance . nonetheless , certainly could not beat price . restaurant nice Grand Canal Shops awesome . 
 oct 9 2009 	 great stay except pool area ! 	 first say - read many review prior go . charge plan 40th birthday girlfriend getaway 4 night . never LV . trying decide Venetian Belliago . read , can not go wrong either way . beautiful . find good deal Venetian 's website go Venetian . love everything . comment nice entire staff time . issue whole time -- perfume smell spray bug we begin get use . enterence could smell . not room casino . wish ipod hook room , drink service pool sooooo bad . think put pool server Tao beach side people & quot ; regular & quot ; pool suffer go pool bar get drink . stay venetian tower . tower want want close pool , , casino , coffee . want romantic trip stay Venetiza ( sp ? ) tower - much quieter romantic . say would come back stay tower husband . really love hotel connect Palazzo / Venetian Shoppes , canal , St Marks Square . fun walk great shopping restaurant . really great location strip . also visit Wynn . could afford would place stay . look beyond . budget though . really great stay venetian next time would like try Bellagio . think stay place decide like well . not think go wrong really ! forgot add , pool sun - friend go pool 8 day stake chair go get sun . many many people ! ! way get sunny seat 11:00ish . pool worker not seem care people . also coffee maker room . expect pay coffee day . venetian tower go 2nd floor Coffee Bean Tea . fantastic coffee . enjoy . 
 oct 9 2009 	 LUXURY HOTEL EXCEEDED EXPECTATIONS ! ! ! 	 hear Venetian Hotel really nice , REALLY exceed expectation ! ! room unbelievable - spacious , clean modern . day even leave hotel everything need right - amazing restaurant , show ( see Blue Man Group , awesome ! ) , shop , Gondola ride , beautiful casino , etc . highly recommend Venetian Hotel hardly wait return ! 
 oct 9 2009 	 absolutely awesome 	 place unbelievable . huge huge huge room huge huge huge . hotel like live another world . would not even go outside not want . everything hotel anyone could ever need - go ride gondola well - right thru hotel . the room split level big lounge , huge desk ( fax machine ) large LCD tv . bedroom big bed comfortable - another LCD tv . bathroom huge bath separate shower - another LCD TV.We actually get lose several time one time finish hotel next door ( Palazzo ) adjoin Venetian . go 32nd floor could not find room realise wrong hotel . the Venetian Las Vegas well worth visit visit . see Cher whilst add bonus . Disneyland grow up . 
 Oct 8 2009 	 Great Trip ! Amazing Hotel ! ! ! 	 stay venetian 3 night end August celebrate many thing , reunion parent good man wed 30 year see , 21st birthday , belate 23rd birthday , advanced 25th , sobriety 20 year well . total 5 hotel room , room , equally amazing . amount space get room profound . stay lot hotel strip include 4 season think hotel far good one . easy we go elevator meet morning breakfast lunch , meet dinner . dinner usually within walking distance ( Caesars ' , Palazzo ( table 10 amazing ! Boa Forum Shops ) . take cab get old downtown go see lightshow gamble hotel . room tv bathroom , makeup desk , separate shower tub amazing . small adequate closet fit clothing least week , plus big flat screen tv bedroom , living room . also big sofa , table four chair , desk printer / fax / copi . good part ? ? ? shade automatic control remote ( although get close able run one can not remember ) ' ok great feature ! ! good , central location ' worry get cab sit traffic , thing within walk distance room amazing ! upgrade day strip view $ 40 ( sure / night room though ) also offer really good military discount well . one last note , line check - in pretty long time tend go quickly . also , use cupon give ! get $ 50 free slot play cash winning every time win ( winning though , $ 50 , would cash every time get $ 2- $ 3/ time end $ 10 free bad deal ! sign club grazie ( think call Grazie ) , sign online first get extra $ 25 slot play/ table match sign online ! ! ! = ) would def recommend hotel amazing ! 
 Oct 8 2009 	 weekend world 	 land Las Vegas eye popping experience first timer . find shuttle hotel seem simple kiosk right outside slot fill terminal , not realize aboard head venetian shuttle even low price , note self welcome Las Vegas . arrive venetian incredible , decor grander even already high expectation . bit overwhelmed see check area setup handle Disney World size crowd ease . staff persojn check warm , pleasant efficient . give excellent direction navigate extravagant lobby part casino reach elevator room 10th floor . room fabulous . king size bed cloudlike . step sit area able look huge picture window mountain back drop 24 hour adult playland . get ready trip do bit preparation select Venetian seek Pool Garden , pure escape beautiful lush , serene , miniparadise , complete secluded pool , jacuzzi , classic italian sculpture attentive staff . would easy spend entire weekend right . planning trip celebrate 34th anniversary easy make choice stay many choose . happy report husband agree could make well selection . locate within easy walk distance hotel casino explore , restaurant venetian varied . love dinner one restaurant table outside delight surprise TI pirate , pyrotechnic show right across street dine ! Loved may even go back year 35 ! 
 Oct 8 2009 	 beautiful room great price location 	 definitely get great deal use one hotel package offer . hotel huge , plenty restaurant ( Grand Luxe Café , Delmonico Steakhouse , WolfGang , Dos Caminos , B & amp ; B etc . ) . can not go hungry many variety . location centralize well . walk Harrah 's catch shuttle Paris , MGM . Fashion Mall across street bus stop Downtown Freemont . hotel also Walgreens , Madame Tussaud Wax Museum , Blue Man group , Indoor / Outdoor Gondola ride . suite spacious , plenty room spread around . downside enough closet space take child . 3 pool . beautiful certainly rent one Cabanas . however , someone forgot consider location height hotel regard pool . pool area mostly cover shade hotel blocking . want sunbathe , get early get sunny spot . like go spa locate Palazzo . fitness center neither free part Venetian Hotel . outside vendor . overall , great hotel take advantage package suite . stay Labor Day week 7 night stay + tax , total cost $ 800.00 suite package . 
 oct 8 2009 	 Loved remote - control blind 	 great summer rate , choose venetian 30th wedding anniversary getaway . usually stay Paris , think have never see low rate Venetian switch reservation . view pool Tao Beach . 's young , beautiful people go . even see & quot ; Sopranos & quot ; cast member venetian pool . room large advertised disappoint . thoroughly enjoy remote control blind drape , near bedside . Bathroom functional beautiful enjoy vanity flat - screen TV . room easy get , concern . thought would walk long way casino get elevator bank . eat Delmonicos , fabulous busy . disappointment trip Cris Angel show , mediocre good . stage half time even Cirque performer sub par . 
 Oct 8 2009 	 Comfortable Luxury 	 hubby like stay Venetian Vegas because:1 . ) suite ! 2 . ) room nice , comfortably luxurious.3 . ) good restaurant ( hotel shopping canal ) - Bouchon , Enotena San Marco ( Mario Batalli 's place ) , Grand Lux Cafe , Tao.4 . ) everything CLEAN ! 5 . ) staff always pleasant , professional , efficient.6 . ) centrally locate stripthe thing disappoint poolside service ( could season though ? ? ) one day lounge pool . not server go around take drink / snack order unless one cabanas . would definitely use self checkout ( check Sunday ) - get pretty busy . 
