spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 Jul 17 2008 	 good decision stay 	 whilst may like noise crowd , . stay NYC twice , time choose Ritz Battery Park location less popular tourist area . get 100 % right ! staff attentive without top . room well appoint lovely size , include bathroom . city View Club room - want ask Harbour view husband wish photograph building night window . lucky enough able see river building window complaint . bed exceptionally comfortable . room service one night whilst expensive , prompt edible without outstanding . Restaurant ok -I find server bit snobbish also little supercilious approach oppose husband . the Club Lounge brilliant - except noisy child feel keep quiet parent - , play room . perhaps Club Concierge would spoken adult ask preferred return room drink rather upset anyone . choice . spoil view Club Lounge - breakfast choice , lunch la carte late night nibblie plus free wi fi hit we . Club Concierge also sort billing error . place water mini bar fridge require move item already around ( ) fridge . charge $ 100 item still fridge - purely apparently person replenishe bar open , look item suppose bill accordingly . good system one could prove quite expensive we . amount reverse without fuss . the location excellent subway - journey town times ease . also walk Soho Little Italy go go Century 21 , short walk away - convenient early opening . one night dine Meat Packing District , $ 15 cab fare . the ability walk Battery Park garden along river early morning little noise fuss cathartic . definitely stay . 
 Jul 16 2008 	 go ritz ... 	 really can not go back stay anywhere else ! really crack . husband 's bday really make effort make special occassion . send bottle champagne room evening . upgrade room city view harbor view without even ask . everyone encounter desk people bell hop servers maid offer impeccable service . yes battery park location bit ' out way ' already know NYC well enough nice way . 
 Jul 2 2008 	 Great Hotel Superb Service 	 book city view club level room Columbus Day weekend little R & amp ; r wife . service spot soon arrive . door man attentive plenty bell hop care luggage . upon enter lobby ask could escort club lounge could check - in ( club level room key require elevator stop appropriate floor ) . ' club ' wife two guest ( stay , visit momentarily ) allow sit enjoy one food presentation ( charge extra guest ) . one good ' check - in ' experience go . even ask , give , upgrade Harbor view room . also time start talk concierge restaurant recommendation . numerous french restaurant within walk distance fax menus review . wife decide take stroll around Battery Park financial district make decision . return , whim , ask per Se available - surprise , concierge able secure we reservation two ( mean , easy task ) .We eat restaurant hotel hence comment . room clean well appoint . telescope decoration anything else . Ritz Carlton , be pay premium top - notch attentive service Battery Park location disappoint ... 
 Jul 1 2008 	 nice retreat hustle bustle midtown 	 stay Ritz 3 night husband 40th birthday celebration . come NY several time year , always stay midtown uptown . decide change scenery , would try Ritz Battery Park . lovely location , right waterfront . evening quiet , perfect relax stroll dinner . harbor view room overlook Statue Liberty , special . hotel beautiful ... definitely Ritz standard . service always helpful friendly , nothing staff would not accomodate we . Ritz though , everything pricey . painful pay $ 350 1 hour couple massage , although spa nice , massage excellent . breakfast bed $ 90 ( 1 order waffle order poach egg ) . dinner dining room downstairs $ 185 2 . unless special occasion , expense account , price really sting . weekend splurge , try let bother I . Battery Park locate right near financial district . exciting part town . look quiet , relax weekend , get . downside , take subway , cab everywhere . much Battery Park . favorite restaurant , shopping museum uptown . even Village Soho really walk distance . probably affect decision whether stay . like able walk outside hotel , everything right outside door . the room nice bed incredibly comfortable . bathroom large NYC hotel room . housekeeping room service friendly , professional , quick efficient . conceirge always right target direction recommendation , front desk staff top notch . 
 Jun 15 2008 	 good business hotel downtown 	 Haved stay 4 time year ( 2008 ) . hotel typical business hotel business district - would advise staying vacation really nothing office basic coffee shop / cafe immediately area ( although obviously fab view statue liberty ) . Overall 's high quality business hotel vs conference type hotel get much ny . room decent size unusual NY bathroom come good toiletry . front desk service always excellent . Laundry / housekeeping disaster - 3 4 trip lose press ( ! ) . drink bar - would say 's average . room service ok limited choice . breakfast well one nearby cafe . give location taxi 's nightmare - go somewhere make sure allow plenty time get taxi . situation improve bit past year unlike midtown uptown hotel low level available taxi . 5 minute walk wall street etc account guest . 
 Jun 7 2008 	 good get ! 	 love Ritz Carlton chain Battery Park Hotel not disappoint . club level room lounge simply great ; attentive service , great food drink peaceful provide great place relax . 12 year old son we well treat love experience . can not fault . 
 May 27 2008 	 enjoy Ritz - Carlton Battery Park 	 stay Ritz - Carlton , Battery Park business colleague 3 night Feb . hotel modern bar especially cool drink w/ spectacular view . room comfortable large ( NYC ) . beautiful bathroom w/ seperate bath/ shower/ toilet . upgrade amenities- typical Ritz beds/ linen ( frette , high thread count , etc . hotel terrific . Sunday brunch dining room . great experience ; awesome selection freshly prepare food seafoods- pricey , great hotel guest . excellent service . smart- realistic- funny concierge helpful : get we broadway ticket , restaurant reservation , etc . negative hotel weekend guest uptown / midtown business traveler hotel locate far city center . hotel near wall street , financial district , statue liberty -- will need use train weekend hit park , 5th ave , soho , greenwich , etc . 
 may 12 2008 	 well 	 not believe hotel standard RItz - Carlton property . everything seem worn 5 star property . price spa outrageous . get manicure pay $ 70 plus ; good , great . room view Statue LIberty nothing special ; could Hyatt Hilton . 
 May 9 2008 	 Big Disappointment ! ! ! 	 stay Ritz - Carlton Battery Park six night week Easter . suite bring nine year old granddaughter first trip New York ( live Austin , Texas ) . pay quite bit room , line five star hotel New York , disappointed inconsistency service , maintenance aspect stay . one hand , sometimes staff friendly helpful many time ignore we ( time feel stranger wander lobby ) . example : check tell bag would brought room immediately . wait half hour , go lobby bag still . similar experience check . ask bag take lobby specific time ride airport arrive . one come room appoint time call . stay find door room would lock unless pull tight frame . normally would shut lock . not discover come back room find unlocked . call repair one come long time someone come really not thing remedy situation , restaurant food good service slow . maid service okay inconsistent turndown do night other . incident go long . great problem hotel not live standard expect hotel caliber Ritz - Carlton purport . travel extensively throughout world 30 + year career international law pleasure trip wife . stay many grand hotel London , Paris , Hong Kong ( Ritz - Carlton , Jakarta , Bali many place . service receive hotel far level service receive Ritz - Carlton Battery Park . matter fact , month early stay Fairmont Newport Beach experience sharp contrast start valet take car arrive know name bag bring room immediately . stay less hotel New York would find experience disappointing since would expect level service receive Ritz - Carlton . compound disappointment , stay call Ritz - Carlton chain give critique . needless say , quite negative ask would like someone hotel call , say . day later call manager hotel name Prince Sanders . explain problem highly apologetic say would follow staff make correction . also say would send voucher night 's stay hotel . month half ago receive nothing . 
 Apr 26 2008 	 good part concierge next door 	 5 star hotel good part stay part make feel like ritz walk next door apartment owner side girl behind desk helpful offer refreshment around welcoming , knowledgeable genuine . 
 Apr 23 2008 	 great stay battery park ritz 	 stay 3 night battery park ritz - club floor - harbor view room ( book city view upgrade - hotel terribly busy ) . request room near club lounge also accomodate . love Ritz club floor different - small hotel RC club level staff would bring drink rather fix one ( though wine available self service basis time ) . arrive mid - day room available ( have ask early check - in ) , hotel not busy- request receive late check - out Monday . location great low Manhattan also step away number 4 subway line ( lex av . express ) - stop Grand Central station , 86th street ( 5 minute walk meet museum art ) 59th street - Central Park shopping along 5th avenue ) . enjoy quiet battery park area evening - spend evening club lounge - daughter make friend kid stay club floor - hang parent lounge . room quite nice ( think little small R / C ) new - separate bath shower . small nice gym great view . in - room dining - typical good . would absolutely stay visit New York . 
 Apr 1 2008 	 Fantastic Service Awesome City ! 	 stay Easter weekend blow away standard service Ritz . 3rd stay New York far good hotel stay . moment arrive staff could do , friendly , helpful , charming knowledgeable City . we harbour view room beautiful order breakfast morning . food always great , also Dinner restaurant , find service food outstanding . room quiet enjoy option relax hotel away crowd . would like relax city break really great location , take Subway cab Times Square , Central Park etc , although walk Chinatown village not find bad . good location ahead crowd want go Liberty Island Staten Island Ferry well free ride may ever ! 
 Mar 18 2008 	 nice change pace 	 group friend travel New York annually reunite , relax , see show two decide forego usual dig MIdtown / Time Square camp Ritz Carlton Battery Park . book club level room ( one room get upgrade bay view first night ) American Express Platinum Travel . pleased service , food presentation , accomodation floor . yes , carpet stain in - room coffee discuss previous reviewer , , compare crackerbox NYC room , one fine . view , move bayside view , fantastic . staff throughout hotel genuinely kind greet we every chance possible . also two child ( 7 10 ) us trip one room , time staff treat we differently . one issue front desk staff handle check - in correctly . specifically call several day ahead give explicit instruction regard charge friend check early ( birthday surprise ) . tell would taken care & quot ; problem & quot ; typical Ritz fashion . although completely flub , stay point nice enough let slide . location way be new city want concentrate Midtown Uptown touristy thing . be scared train taxi get way , would definitely recommend Ritz Carlton . oh , ask Raquel be club level . epitomy Ritz Carlton 's commitment service . 
 Mar 18 2008 	 expect 	 husband travel fair amount enjoy stay nice hotel . personal opinion Ritz Battery Park fair . room small clean . however , shower horrible -- like hose fire hydrant . not way adjust pressure way turn shower nozzle . stay group friend experience problem fourth floor . food price chart ( $ 40 2 bowl oatmeal coffee - $ 70 2 english muffin , coffee juice . live locally aware NY city price know much nice section hotel price pay . 
 Mar 11 2008 	 nice quiet corner town 	 want stay away mid town time experience Manhattan . , husband book Ritz Battery PArk . husband use wheelchair important hotel room reasonably spacious accessible . price pay , actually get much square foot . many hotel understand need roll - in shower , tell we accessible & quot ; roll - in & quot ; bath room really additional hand bar . expect Ritz Carlton 's standard , Ritz hotel staff well - train totally understand need problem check room need 2 night . the lobby modern understate , typical Ritz Carlton , & quot ; business - trip & quot ; hotel , 's feeling get . not bother since go town time . want something comfortable nice . the hotel locate southwestern tip city offer spectacular harbor view . absolutely nothing block view see status liberty right window . need ask harbor view instead city view , set back $ 50 . room come telescope could not get work . parking expensive , $ 60 day Valet service . hotel also & quot ; neighborhood & quot ; feeling surround condo instead hotel . see people walk dog , run , presence police everywhere . many eatery near hotel , need least walk block grocery / convenient store love . serve really good hot breakfast $ 5 $ 1 coffee awesome . snack , desert , pastrie hot sandwich sushi box . Awesome . also new waterfront eatery beautiful night dine outside watch beautiful night scene . there bus stop across hotel great . take local bus travel everywhere town . fact , good way explore Manhattan . not join tour group pay like $ 70 - 80 , thing spend little time read bus schedule get want well . since husband use wheelchair , public transportation actually good way go , guarantee accessible inexpensive . overall , feel happy room service good . quiet night away city buzz , be like , enjoy hotel . 
 Mar 3 2008 	 different View NY 	 family stay Ritz 2 night weekend . hotel beautiful location , Battery Park . weekend nice quiet relaxing , use stay uptown . doormen helpful checkin easy . weekend plan able get breakfast free . room great , large bed comfortable . request view Statue Liberty Ellis Island , great ! room provide telescope able see Statue Liberty close . every night pull bed we , put classic music give we chocolate . bathroom spacious . quiet night hear thing . rent room movie also lot fun . hotel great hope go back one day . 
 Feb 20 2008 	 fine ! 	 get back 3 night stay Ritz Battery Park . previously stay Four season Ritz Central Park . hotel fine , staff friendly room large clean , big thing bathroom well . travel two kid 15 12 one reason choose RBP review guide book exclaim great kid . receive nothing , teddy bear , cookie milk , even specifically ask Saturday evening amenity kid tell front desk primarily business hotel cater Wall Street business traveller nothing kid . harbor view room telescope nice touch . complimentary coffee lounge morning nice afternoon , come back town day nothing , order cup tea room service would ~ $ 14 . charge beer honor bar use efficiently remove bill . way despite harbor view child decide next time would rather stay mid - town since spend time anyway . ' m stay Ritz Carlton want feel like one not we . say would stay without child . 
 Feb 18 2008 	 Service smile 	 second stay RC Battery Park every bit good first time , 4 year ago . the service , opinion , make RC hotel stand upscale chain , like Mandarin Oriental & amp ; four season . we greet name reception soon walk ( clever discreet microphone bellhop reception ensure know reach desk ) offer lunch house ( refuse ) inform might wait hour room ... even though hour early check ) service remain friendly throughout stay ; request answer promptly , room service arrive quickly , always smile . we book suite overlook harbour ; not big suite ever stay , well equip comfortable bed room stupendous view . if happy spend time tribeca / Little Italy / Chinatown / Soho rather uptown , get good view , IMHO , good service . 
 Feb 15 2008 	 Perfect Stay 	 boyfriend stay Ritz Battery Park June weekend . amazing stay , everything room food staff wonderful . location excellent dowtown sightseeing shopping . drink Rise , aside wind , delightful overlook Statue Liberty . eat hotel dinner , breakfast great ! highly reccomende want experience dowtown NYC luxury , Ritz Carlton style . 
 Feb 15 2008 	 could not fault 	 stay four night recently winter break New York . little apprehensive travel family two child ( age 8 & amp ; 7 ) sure whether New York good travel choice . flight long ( 8 hour ) head wind little delay soon get hotel , mood improve . check quickly , get room ( harbour view ) greet teddy bear kid , huge stack cookie milk ! room fabulous , large great toiletry ( BVLGARI ) service hope would Ritz Carlton . staff throughout hotel fabulous make real fuss kid . we breakfast restaurant morning good - yes , expensive expect sort hotel . service fab - waitress remember order morning never charge we kid food . we eat dinner one evening 2 West , really good . one day lot snow kid snowball fight outside hotel . walk back absolutely cover snow ( despite good effort wipe come indoor ) , drip reception . reception staff simply come , start snow ball fight indoor offer hot apple juice - sum fantastic hotel be . only slight downer location . view Statue Liberty amazing mean taxi ride want go midtown - weather freeze cold snow even walk subway seem far ! 
 Feb 11 2008 	 great view 	 stay suite Ritz Carlton Battery Park one night early December spending weekend Westchester wedding . check : book hotel , agent ask time have arrive . say around 1 pm , know see matinee 2 pm mid - town . upon arrive , tell room ready . expect . doorman happily check luggage . tell front desk would back around 5 pm . arrive back 5 pm , guy front desk tell we room still ready . expect . tell need freshen 7 pm show mid - town . say would upgrade we city view harbor view inconvenience , room would ready 5:30pm . escort we lobby lounge tell host please serve we complimentary appetizer cocktail wait 30 minute . thoughtful , however , staff lobby lounge never come around serve we . we good . 30 minute later , front desk guy come retrieve us restaurant escort we room . tell waitstaff never serve we apologize . not think acceptable since 4 table lobby lounge guest seat . room : room spacious , could not believe . living area view Battery Park , half bath , short hallway lead bedroom huge bathroom , complete soak tub double sink . bathroom equip Bulgari bath product closet contain pair pajama use room . corner suite view Battery Park south living room view Statue Liberty west bedroom . room also telescope bedroom already aim directly Statue Liberty . plenty storage space well : armoire bedroom , closet well dresser hallway . love huge window let much light . though , window bit dirty . staff : lee front desk kind upgrade room personally escort we . even refuse tip try give one . host lobby lounge , like mention , never tell staff serve we , blame oversight , Lee . bellhop deliver luggage room friendly . tell we hotel surround area offer give recommendation restaurant sight area . next morning , breakfast lobby lounge , server , Wendy , pleasant attentive . hotel : like decor hotel make especially nice holiday decoration . location nice quiet , near subway stop close , walk 3 block get next close stop . disappoint gift shop not carry postcard . think hotel gift shop . breakfast lobby lounge delicious . check - out : lee front desk remember we ensure check quickly efficiently . though wait cab , doorman make sure driver understand need go . we really use hotel place sleep , would definitely stay . 
 Feb 9 2008 	 Perfect Stay 	 stay one night layover NYC . perfect . fly country excessively long flight . previously contact hotel romantic bath menu . husband want dinner arrangement , worry arrive flight would make we miss beautiful bath . however , upon arrive JFK time , remark have wish book . get bag , call hotel premise call car service . speak Jason explain quickly situation . ask Harbor View room since husband , though well travel , somehow never end NYC see Statue Liberty . helpful say problem upgrade we let we check early . transfer woman ( whose name can not remember horrid name memory ) , listen quickly recount want romantic bath set arrival hour . say usually take 24 hour set involve fresh flower . say understand , would possible set something similar skip flower ? right time , husband wheeling luggage , cut conversation excessively curt , & quot ; husand coming , surprise . anything would great . ok , bye . & quot ; check prepare room early check - in hand we glass champagne wait lobby . walk room , husband excite . tell hotel upgrade we Harbor View room . room gorgeous spacious . telescope look Statue Liberty truly unique lovely experience . check bathroom husband otherwise occupy telescope amazement , staff manage set entire romantic bath , flower ! ! ! gorgeous mound bubble strew rise petal , candle line tub , champagne chill delicious chocolate , heart make rise petal bathmat , little container bath amenity add later . truly spectacular . finally get husband away telescope long enough look impressive display . happy . really could believe manage last minute request . surprise . next morning , difficult get comfortable bed . , order room service . quite good , come expect Ritz dining experience . hotel staff truly outdo . thank Ritz make brief stay pleasant ! ! 
 Feb 2 2008 	 expect Ritz 	 stay fine hotel around world think Ritz Carlton Battery Park would right good . wrong . five star hotel . lobby tiny basic . room outdated need redone . rug wear old tube tv fuzzy . reserve deluxe harbor view room " view " statue liberty Elis Island window dirty could barely see . well , make reservation request room far elevator . put ? room 515 , right next elevator . try get cab hotel next impossible . wait line 20 minute freeze cold get cab . $ 36 " american Breakfast " cold . good $ 60 valet service employ ' driver 6 ' 5 & quot ; move seat way back somehow disengage memory . would recommend hotel anyone . next time stay four Seasons . 
 Feb 1 2008 	 Typical Ritz Quality 	 stay Ritz 1 night business trip . stay Ritz hotel often , one meet expectation . arrive late quickly check help room great staff . room spacious great view harbor . throughout , service excellent ! familiar Ritz , disappointed . 
 Jan 29 2008 	 wonderful ! 	 go wrong stay Ritz - Carlton hotel , hotel disappoint . arrive hotel , call concierge help book reservation restaurant , help every way . professional friendly service . hotel beautiful , room spacious compare hotel . beat view Statue Liberty right outside window , hotel provide telescope aid view . the location , although far 5th Madison Ave . shopping , ideal want stay historic section New York bit peaceful mid - town ( stay weekend ) . walk area must , stay part city provide we opportunity see area would never take time see i.e . Wall St. , SoHo , Battery Park , etc . walk part city wonderful way view architecture truly enjoy history . wonderful weekend , would love return . 
 Jan 28 2008 	 everything First Class Ritz ! 	 spend lovely weekend Ritz Battery Park , part celebrate husband 's birthday also attend formal function . book Harbor View room concierge level could totally enjoy location hotel amenity . moment arrive greet courteous helpful staff ' enough please we . ' totally satisfy first room give ( close elevator preference ) staff go way accommodate us room like . many thank cullen persistence finding room suit we ! find concierge service absolutely lovely well worth extra money , food presentation tasty plentiful , staff happy serve room well lounge area . bed room wonderful , comfortable plush telescope room provide we great view harbor , Verrazano , Miss Liberty surround city . beautiful backdrop sunset light city . bathroom large shower terrific . ' eat onsite restaurant drink rise Bar offer great view city seem popular gathering spot casual drink nosh . throw ticket Jersey Boys dinner Gramercy Tavern weekend total hit . comment would make lack steam / sauna / swimming pool relatively new hotel , surprised amenity Ritz Carlton . ' read review note décor bit tired , agree room could use freshe , overall hotel typical Ritz Carlton experience , leave feeling though well care need meet courtesy , smile signature ' my pleasure ' ! 
 Jan 18 2008 	 nice stay Ritz ! ! 	 husband two child go NYC 4 night mid - December husband could go couple doctor 's appointment could enjoy Christmas Decorations see city light holiday . the hotel disappoint . stay 2 bedroom Suite great view Statue Liberty . large certainly big enough four we . full bathroom well half bathroom always nice feature . room service expensive ( $ 32 cheeseburger ) guess expect stay Ritz New York City . room always clean nicely comfortable bed . lobby warm cozy feel staff ever friendly . probably hear 10 & quot ; hello 's & quot ; hit elevator go room . concierge great - believe Scott name gentleman arrange we limo service car service go Christmas Show Gordon Ramsey 's restaurant . overall , Ritz Battery Park good choice . little far main area , like Central Park , 57th street , take taxi subway , still get . would stay . 
 Jan 14 2008 	 could not well 	 stay hotel choose place spend 40th birthday . 3 small child want make 1 night getaway . since last minute booking , unable get standard harbor view room require upgrade club level . good thing ever happen ! food presentation staff club level add immensely enjoyment stay ! ! ! furthermore , Carlos consierge totally helpful sweet remember ! can not say enough lovely hotel staff . back , soon hope ! 
 Jan 12 2008 	 could well 	 close Staten Island ferry , easy get around via subway . room fine , comfortable clean . seem odd could not include tea / coffee - make facility room . apparently could get free tea / coffee lounge downstairs not manage . come back room one day find door not close properly , alarmed . security come eventually , say housekeeping probably pull shut cleaning . guard say would check record enter room later call detail . record wrong ( ie housekeeping enter room morning still , leave , certainly not case ) , tell time actually leave enter , last hear anyone matter ! look , nothing take probably innocent mistake guard bit nonchalant like . would good follow - up issue . overall , ok stay ( love Bulgari toiletry ) , overly impressed . 
 Jan 3 2008 	 ` ` simply good '' 	 quite honestly , not really know start Battery Park truly amazing experience . second stay NYC celebrate 20th Anniversary . , decide stay 5 night 2 night new Ritz Westchester ( also outstanding ) . BP Ritz feel like second home we also 2 child well look . housekeeping concierge staff , really not complaint , everyone establishment put 100 per cent fulfil guest request . Raquel concierge team club level genuinely lovely Christmas Day husband enjoy meal hotel restaurant , whilst child well look Club Lounge staff know well . we would never consider stay anywhwere else NYC feel nothing else compare , already look forward next trip ! ! ! 
 Jan 2 2008 	 big room fabulous view 	 stay Ritz Carlton night wedding . wonderful . room spacious New York standard . New York native , ' ve many hotel room cost tiny cramp . love opportunity stay downtown , away horde tourist would certainly find mid - town . view room wonderful . window open could let air ( hate room inoperable window ) , close , keep street noise . bed fabulous - excellent linen comfortable . sleep like baby ! book honeymoon special . room beautifully arrange . bathroom tub spacious water nice hot . staff nice , in - your - face / annoying upscale joint . room service morning . fast friendly . quite tasty . cab plentiful outside hotel . check super fast able head fast easily . 
 Dec 21 2007 	 truly wonderful hotel 	 find delightful , wonderful hotel exceed expectation . strength helpful review OCTraveler website , upgrade book ' Reconnect Package ' excellent way get club room weekend . think club floor , hotel would still good indeed - wonderfully stylish rich , Art Deco fashion . interested ocean liner Normandie - place pick delightful design cue era . lobby staff excellent not think will ever forget ever present , bound , welcome lobby host would seem always appear greet we back hotel , offer bottle water go heat summer . upgrade Habour View Club Room . make difference expect - view quite captivating telescope lot fun . room particularly bathroom feel spacious bright . bed well sleep linen perfect . room service twice day particularly high standard . however , ultimately club make place unforgettable experience we . food offer day plentiful delightfully present . first day , order afternoon tea - give 30 min get ready . offer champagne enjoy delightful service . five food presentation wonderful make hotel excellent value . the club concierge always hand - arrive throughout stay . give good restaurant recommendation genuinely care stay . remember go day ask return . offer cookies water take queue ferry Ellis Island . negative ? british perspective , remember tip much expect handle baggage etc . hotel furnish quality item , however 6/7 year old limited area slightly tired . go Rise find place full could get seat bar completely unable see view . , truly memorable experience ' m grateful enjoy . 
 Dec 19 2007 	 would stay 	 husband travel ten year old son . yes , sacrifice costly taxi fare remote location usual tourist site , , return , get great view ! loved hotel : view Statue Liberty Battery Park , concierge , room size , atmosphere , service barsthe concierge recommend restaurant perfectly fit desire ; want food various cuisine , restaurant need child - friendly . , not cheap , feel buyer 's remorse , food always delicious , child always welcome warmly . the bar top hotel serve good snack margaritas ! enjoy great view , child may enter 4:00 pm . 
 Dec 10 2007 	 love 	 surprise weekend surprise ... hotel spotless , wonderful staff , great view statue liberty . friendly staff spa , GREAT food restaurant . really recommend , quiet area close wall street easy access anywhere Manhattan . 
 Dec 3 2007 	 Surprised RC 	 graciously welcome receive immediate room upgrade . sadly , fabulous Hudson River view mar filthy window . while staff friendly , youthful inexperience make 3 - star experience , 4 . one fellow front desk tell manager wear clean clothe . jacket visibly stain . 
 Nov 24 2007 	 worthy consideration 	 hotel totally lose mean 4 5 star hotel . restaurant food consistently cook dry almost every meal service sloppy , even seem sufficient staff . room hot stuffy ( humid ) club floor food week long stay every day , variety . last stay hotel . think real problem downtown location real competition . try voice concern hotel management get excuse , one really try make thing well . 
 Nov 20 2007 	 classy retreat 	 stay toddler harbor view room ritz carlton last weekend feel well look . welcome - speedy check - in chill champagne us adorable teddy bear son - set tone . standard room spacious , well - appoint good state upkeep - crack , chip 80 furniture hangover . bathroom spacious nice see bulgari white tea toiletry - appropriate brand urban luxury hotel . housekeep fantastic - crib room arrive make request , son sick late night , silently appear without fuss , clear kiddy vomit carpet crib , move fresh crib sheet , leave peace . book really terrific babysitter upon recommendation hotel - service cheap $ 27 per hour plus addition , peace mind , well worth . quibble , irritate , ) concierge CONSTANTLY put we hold whenever call help - rude - b ) bellman take luggage lobby hang around tip tell we probably would around return collect luggage mid afternoon - yet return appoint time , surprise . 's disappointing see service transgression terrific hotel . 
 Nov 11 2007 	 aahh .. quiet 	 love Battery Park , outside noise keep awake . location close seek NYC landmark , party , sighseee . the hotel staff friendly , arrival greet many people , think say hello 5x way reception . our room ready guarantee 3 pm check time , offer we bar menu lobby lounge restaurant . not exactly hungry , take offer .. ask upgrade instead , say available . the gym nice , packed 9 am Sunday morning . hotel busy . my complaint ask xtra towel pillow online reservation , check . stay DC location weekend thing happen ! family need item . 
 Sep 19 2007 	 sleeping floor $ 1000 suite 	 nothing ever . nothing nothing ever suppose .... especially hotel . find true , especially Ritz Carlton chain around world New York probably place test theory . price room often triple one 's monthly mortgage payment , get kind extortion usually would expect . hotel seem learn time great demand limited supply charge three four time room really worth , guest go expect whole lot rack towel . think Ritz customer expect quite bit . , often disappointed chain not originally establish time another property open , seem like standard drop bit low . by every standard , great hotel , 's . fabulous location , classic view New York Harbor . next historic Battery Park near financial district downtown Manhattan . relatively new building build purpose , ( renovate something else ) , Ritz brand attract high roller . , be lacking ? part disenchantment came feel pay price , everything must perfect . baseline comparison ancient Ritz Boston staff pocket guide card deal guest guest issue nearly every response include word , & quot ; pleasure serve you . & quot ; okay , be bit today 's grossly overpay business exec , especially New York , lot miss . arrival cab cab driver & quot ; job action , & quot ; ( mean slowdown / strike ) , room service response request coffee machine , hotel staff respond well . bit slowly , well . check - in breezy quick . guest guest , name top & quot ; arrival expect & quot ; list whisk elevator nothing courtesy good wish . corner suite floor three great view Ellis Island Statute liberty….like city , remind wonderful view much high Windows World Restaurant lose World Trade Center . hotel staff visible , courteous responsive . but ...... carpet suite beat , stain several poorly do patch . furniture contemporary room go certainly classic modern well simulate antique one find top property . kitchen alcove separate entrance , coffee maker coffee , lot snack buy , seem bit center one pay thousand dollar night . bath room ( 2 ) adequate well appoint , door squeak toilet wheeze whined shower door leak floor , require use great fluffy towel keep floor safe . nit - picking ? maybe , top hotel would address maintenance quality issue . doubt corner suite low floor always demand well use , mitigate poor maintenance , even New York , maintenance person get pay physician Middle America . the & quot ; kicker & quot ; come go open sofa bed find , despite hotel assurance make sofa bed , make booking , long arrival , check , sofa bed , well - use conventional couch . make discovery , late tired , end sleep floor couch chair cushion , use spare blanket pillow thousand Dollar Suite Ritz ! ! ! ! ! need prepare flight Frankfurt next day , one thing hotel management always respond say something like : & quot ; call would take care it . & quot ; two , one travel day , attend tiresome business function ready bed wear , prospect hotel personnel scurry around bring new bed squeaky roll - away , trouble crash floor . would go back ? . would recommend ? price unless hotel management able show clearly know Ritz suppose begin deliver . next time , even ' m pay bill , will go back town Four Seasons pay even ! 
 Sep 18 2007 	 Great Service ... 	 quite impressed level service receive 2 night stay summer . though really nothing special room ( fact , bit tired ) , club level , enjoy 's use food presentation throughout day . club concierge nice could not enough we . front desk , housekeep bell staff also wonderful . would stay without hesitation , probably try reserve high category rooom / suite next time . 
 Sep 15 2007 	 Ritz Perfect Getaway 	 Ritz - Carlton Battery Park wonderful indulgent overnight get away celebrate 20th wedding Anniversary . harbour view room 12th floor . upon check , greet name & amp ; wish happy 20th Anniversary . attention detail really set tone enjoyable stay . Chilled Champagne personalize anniversary card Ritz await we room . bed already turn robe & amp ; chocolate wait finally arrive 5 pm . room telescope already set perfect side view Statue Liberty . view harbour glorious Ellis Island , sailboat & amp ; ferry watch . night , equally beautiful bridge light . almost forget be NYC great water view ! bathroom gorgeous glass marble shower & amp ; seperate soak tub . blow dryer , scale , light make - up mirror & amp ; even umbrella need . Ritz think everything . bed extremely comfortable & amp ; provide we great night sleep extraordinary dinner Chantarelle . definitely plan return . 
 Aug 28 2007 	 Great Spot Relax 	 first stay Ritz Carlton . everything everyone great . service top notch , restaurant food typical hotel food , gourmet . book harbor view room relax . 
 Aug 21 2007 	 Great Service Excellent Hotel 	 review Hotel excellent . Great Food , Great room , comfortable Beds , Great Service . plan Business Lower Manhattan location excellent well . come Vacation think would prefer something midtown uptown . think good area stay around park check Ritz Carlton Central Park . hotel nice go around low manhattan . 
 Aug 19 2007 	 not get much well . 	 stay club class 11th floor Harbour View room . we QM2 hard act follow stay perfect . the staff excellent , Star ( fantastic name ) Yolande Club Lounge outstanding . we stay Savoy London , Raffles Singapore Langhams Hong Kong Ritz Carlton , Battery Park compare favourably , 
 Aug 8 2007 	 Perfect hotel ... 	 hotel great location many site area facility service top notch ! harbor - club level suite 12th floor view beautiful day night . you easily walk ground zero , Wall St. right next door clipper boat ellis island Stautue Liberty . also water taxi easily accessable great way see Manhattan . club level well worth extra money grab quick bite quite often . drink evening great service A+ . would go back minute .... hate leave ......... wish time call & quot ; bath butler & quot ; try one luxurious bath selection . oh well , next time ! ! ! 
 Jul 28 2007 	 Super stay good bed 	 come NYC pleasure / business . great hotel ! location great , away hustle little walk subway line . the bed comfortable hotel bed ever . cam back home want buy mattress feather bed top mattress . would love stay price double since stay . 
 Jul 2 2007 	 undiscovered gem 	 wife stay one night celebrate birthday . upgrade upon check - in suite . area around hotel great place walk enjoy view low Manhattan . staff freindly willing help question . many people want Midtown colder weather maybe place Summer less well know part city miss . 
