loved 	 reach hotel stay 3 night stay good receive good service . 
 Dec 28 2007 	 one good world 	 India beautiful maddening . one good decision make travel book hotel . service provide hotel absolutely outstanding . check right room , great quiet room internet , 24 hour room service excellent selection good food , fitness centre , especially travel desk , every aspect hotel near perfect . travel desk alone worth weight gold . Air India cancel two flight ( careful fly Delhi fog December ) . rude AI agent airport brush , come back hotel sort everything . rep even meet airport help check extra cost . pay extra money stay Taj Club : well worth extra pampering . minor quibble pay internet hotel less centrally locate . nevertheless , would stay without hesitation . 
 Dec 25 2007 	 bad Hotel Stay price 	 stay hotel count , say price pay stay Taj Delhi horrible ! service horrid arrival way till check . room old update since . food average nothing . travel Taj Mahal friend kid tow stay Trident Hilton Agra , wonderful hotel aspect . great kid , service wonderful , would expect . Taj Delhi hand we 2 star price 5 star ..... 
 Dec 23 2007 	 Receptinist Taj hotel standard 	 invite stay Taj Palace four night . the Interior hotel definitely Taj hotel standard . the Lobby spacious fabulous lot indian paint display . club floor room also Taj standard , ammenitie would expect five star hotel . but Recepetionist Taj hotel standard . helpful ask location shop buy saree wife . hand copy newspaperad saree shop ask good way go there . his reply ' take taxi ' show intention show map ask someone eise information . I would complain sort thing Taj hotel . hope check soon . 
 Dec 16 2007 	 stay away unless like rat Room 	 stay great experience another Taj Hotel . Stayed Club floor pay $ 1,000 US two night small room . staff pleasant well meaning , tell hotel comes hand problem . 1:30 working computer , big , fat obviously well feed rat scurry around floor room bathroom . call floor desk , helpful move apology nothing manager . e - mail hotel leave , along Taj management office response . sorry , one big rat seventh floor ( sort food facility due club room ) , likely rat . amazing pay much rat infested room , fact apology even acknowledgment issue really tell . understand hotel occasional problem , even respond tot guest acceptable . stay great hotel world first time deal rat infest room . 
 Oct 28 2007 	 perfect service room need update 	 room nothing write home , not even bother take photo reviewer ' photo representative state room , comfortable wear ( i.e . carpet stain , date bathroom ) aside hotel 's service good 3 hotel stay trip ( Oberoi Agra & amp ; Samode Haveli Jaipur two ) travel desk ( lovely girl call Amrita ) take care whole trip train ticket car pick ( airport , agra Jaipur sight along way incl fatehpur sikri ) , plane ticket Jaipur Delhi & amp ; etc , everything seamless response quick , even give direct line see morning local taxi delhi agra train case anything go wrongthe check process also painless , greet moment car arrive driveway & amp ; usher room quick room check + welcome tea + snackslike say room bite old side hotel lobby fine ( remind Mandarin Bangkok ) would come back ? yes , hotel least efficient help travel desk 
 Oct 23 2007 	 want customer service ? ' ve get ! 	 stay one night head Agra .. hotel be . beautiful , elegant , friendly customer service second none . check upgrade - reason , breakfast throw free - reason complimentary champagne deliver room - reason ! staff incredibly friendly hotel stunning . set good location , ten minute drive centre Delhi . ground neat pretty pool good size clean . lobby restaurant ample size ever need stay hotel Delhi would one Imperial , Shangrila Oberoi day . 
 Aug 26 2007 	 ' yes 's fine please stop ask feedback time ! ' 	 spend weekend August 2007 . hotel absolutely fine would stay . look dictionary ' anonymous international five star hotel ' will find something like this . two thing aware though . first hotel refurbish - moment sixth floor , construction thirteen hour day , seven day week job . mention check , hindsight move room offer , downstair drill . though know , put first place ? would check refurbishment go book , make sure get room away work . also try avoid room overlook hotel entrance . bus park engine A / cs running , wait tour group . indian A / cs not quiet , certainly disturb sleep , shame hotel otherwise quiet location . secondly , feel like wherever go hotel constantly ask thought . get difficult think nice thing say , really want say would much rather leave alone . even send detailed questionnaire email afterwards ask even feedback . when get home Mumbai , one friend work ( non - taj ) hotel use live tell Taj use work competition Palace see could collect feedback . surprisingly prefer new hotel not constantly pester guest . finally though , would recommend Masala Art restaurant - far good indian meal ' ve since move India . feedback request either ! probably already know be good . 
 Aug 4 2007 	 Excellent aspect 	 stay 5 day , time meet Guy Airport Pickup , experience Service : high level . facility in - room cafe 's venue within hotel match service well . get feel staff category give high priority Customer Service . they will extra bit make stay comfortable . the food also great . negative comment make environment around - shop opportunity within short walking distance , positive site hotel locate Diplomatic Enclave make safe venue . additionally hotel cab service ( r . 50++ per km , 1hr Min Charge Rs.500 ) great job - visit place without risk . driver also speak basic English , carry cellphone etc ensure drive perfect stay . 
 Jun 26 2007 	 Impeccable Service 	 stay Taj Palace three night whilst New Delhi business . service hotel extremely good fault . offer complimentary ice cream coffee meal last night arrival upgrade & quot ; club & quot ; room . staff go way helpful everyone ( without exception ) extremely courteous polite . room seventh floor good view city include india gate immediate area surround hotel green pleasant . main downside hotel start look little tired outside bathroom spa 5 star quality ( although 220 $ per night perhaps rack rate reflect ) . bathroom club room small cramp fitting probably least 5 year old . Similalry shower toilet spa could update . thing aware : Delhi 25 % tax add room rate 12.5 % food spa price 20 % alcohol overall experience good value might originally anticipate ; really walk anywhere hotel . 
 Jun 22 2007 	 Call Place Palace ? ? 	 Taj Palace may luxury resort .... 1980 's ! hotel outdate decoration antiquate felt take transport back 80 's . whoever define place luxurious five star hotel past ten year . hotel certainly five star hotel , especially today 's standard . well average Hilton Marriot city . disapointe stay Taj Palace hear many good thing place , stay several Oberoi Resorts hotel Delhi , not hold finger comparison . service outstanding . fact stay notify would construction floor we would begin 9 . ask could switch another room tell full , doubtful . noise construction atrocious . ' ve front row rock n ' roll concert able hear clearly 9 hotel room Taj Palace . woman behind desk apologize little . hotel embarasse would subject guest condition . hotel search luxury even & quot ; nice & quot ; hotel . however , family people travel budget think hotel would certainly suffice . bottom line highly embarassed suggest hotel group people stay especially pick many spectacular hotel like Oberoi Agra . mistake would return . 
 Jun 8 2007 	 Taj Palace need reality check 	 indifferent sometimes absent hotel management response long stay customer object constant construction noise . food menus rarely change , part , food good value money . 
 May 3 2007 	 Loved Taj Palace 	 excellent hotel , service , food ambiance amazing . arrive Delhi 3:00am therefore , not allow room right away . night manager level we say pay rate regular room night would give we room club floor duration stay , definitely worth ! bad thing say hotel sister mildly electrically shock two different socket room , not serious , leave we little frazzle , Manager duty immediately send hotel doctor see we , change room right away , transfered suit . food hotel great , breakfast good anywhere world , service beyond amazing . entertainment dinner also great , singer name Sebastian really nice great voice . chance , try spa , massage scrub do fabulous . overall , great stay Taj Palace ! 
 May 2 2007 	 Pleasant Stay 	 stay Taj Palace hotel April 22nd transitte Delhi . hotel staff pleasant professional expect 5 star property . book pick drop airport helpful . room bathroom small expect amenity . bottled water coffee maker complimentary . put fifth floor although quiet throughout night noise start early morning stay day . complain explain hotel renovate sixth floor hence noise . noise horrendous . load bang feel floor going come . hotel agree change room rest day check later day worth . hotel beautiful room service excellent renovation really spoil stay . stay Imperial last year find hotel well history wonderfu artwork . anyone already book Taj make sure fifth floor seventh floor . apart hotel good . 
 Apr 4 2007 	 excellent choice 	 hotel clearly one good Delhi . , hotel host conference vip around region . definately disconserting frisk upon enter hotel guard rifle roof , front gate entry distracting say least . however , hotel upgrade family lovely suite connect room kid . restaurant first rate pool health club ! trate well . complain anything , besides armed guard , would electronic system light iand shower room way complex ! say , be great hotel . 
 Mar 31 2007 	 FANTASTIC Service Hotel -- great last night India 	 family 6 stay last night India . come week trip Palace Wheels arrive 8:00 a.m. morning . able get we room 9:30 a.m. ( 2 1/2 hour early normal check ) . 3 room place we floor next . staff person come room show we amenity room . extremely impressed . even send complimentary cappucino juice welcome gesture . room nice , huge ( like Ambassador ) comfortable ) . service definitely make it . we want dinner 6:30 since leave 3 catch flight . normally i d open early dinner , make arrangement we eat early . eat tea house would highly recommend . decor restauraunt fantastice ( chinese ) . food delicious even bring complimentary cake find parent celebrate 40th anniversary last night . take picture polaroid even put frame . service outstanding ! front desk reception area , could always find help . want go shopping , one attendant ( Rita ) recommend rent taxi day ( highly recommend ) . 5 hour , negotiate rate we 500 ruppee ( $ 12 ) . give we pointer attentive . my husband use facility -- pool , sauna , steam room , massage . great experience . massage expensive , well worth . locker area separate man woman nice jacuzzi steam room . even leave 3 a.m. seemed full staff duty . overall , LOVED hotel would highly recommend . bit pricey , think well worth . 
 Mar 20 2007 	 first stay India 	 book Taj via Castle King part one tour . lovely hotel , room clean , staff helpful friendly , food superb , particularly Masala art restaurant . would definitely recommend . 
 Mar 5 2007 	 pleasant 	 stay one night Feb 25th , 2007 . base comment Frommers , place hotel recommend list 5 - star hotel Delhi , prepare so - so experience . instead pleasantly surprised find level service facility hotel truly first class . give choice , would probably still rather stay Oberoi , hotel far behind . 
 Feb 27 2007 	 Long stay - Great experience 	 stay hotel nearly 2 month would definitely recommend anyone travel Delhi . the hotel well staff 4 restaurant , 1 bar lounge . fairly large , well maintain swimming pool well gym facility . during stay , hotel host number conference wedding , never seem over - crowd busy . the room not massive big enough room keep staff spectacular job . if want something special , say extra water bottle day , good idea chat room keep staff , possible , leave note 100 - 200 rupee enclose state request . a colleague problem room bill - not - make sure take note everything charge room . the interent expensive , stay long day , make sure ask discount wireless connection room use laptop . the hotel v - shape around swimming pool . even number room face towards road entrance drive get traffic noise . 's loud may annoy people . odd numbered room face onto pool although view well , noisy late night , hotel host function / wedding . if stay long time , require additional space , ask availability corner room , almost double size price . the hotel use swipe card access key room . make sure get 2 keep away mobile phone , ability interfer magnetically store information card . people problem access card stay , seem never end sometimes , hotel usually pretty quick send someone new card . the hotel diplomatic quarter , least 15min drive anything might want see . nothing within walking distance , not stay hope walk India Gate Old Delhi ! Taxi cab readily available afford , expensive hotel car work around clock . 
 Feb 16 2007 	 spring club level ! 	 newly renovate club level simply die . frequent traveler , bowl level service check check renovation business friendly , yet fun comfortable room club level . issue run fact arrive bit late breakfast staff please .... bummer price pay , special dining area . highly recommend . 
 Jan 28 2007 	 Five Star Service way 	 stay Taj Palace ten year ago , think okay -- nothing special . ' m actually Taj Palace right overwhelmed wonderful service . stay club level room , well worth upgrade . get free breakfast order anything like , get butler service make feel like personal Jeeves , get free laundry service , free shuttle airport . also free internet club . room exquisite -- fabric top quality , towel fluffy , toiletry plentiful . stay Shangri - La Manila , pretty stingy sub - par toiletry , welcome . also , toiletrie Molton Brown , adore . bathroom marble granite , huge light make - up mirror , really appreciate . room also spacious , desk two chair , include loveseat , coffee table , large flat screen tv.the view room also amazing , right across swimming pool park beyond . my quibble closet space two people rather cramp , bathroom could smidge big . 
 Jan 21 2007 	 Fantastic 	 stay almost two week , fantastic hotel . service excellent . particularly recommend chinese restaurent , food absolutely wonderful . 
 Jan 6 2007 	 soulless luxury 	 easy find good hotel reasonable price delhi . last two night journey choose one top hotel . build impressive spacious room excellent , large quiet . five star standard perfectly . staff friendly always next you . on hand hotel far city center diplomatic area . totally boring . place interest cafe side road eat drink ten time cheap hotel meet indian teenager . the hotel full luxury lack style atmosphere . cold marble flooring . could anywhere else . our budget reservation via internet without breakfast unfortunately nothing surround go snack morning . opposite cafe open 10 , smuggle food room next morning . funny thing , high accomodation price pay additionally . the standard room charge much overprice , find large discount book via internet . 
 Dec 11 2006 	 Loved Taj Palace 	 right word go perfect . arrival Delhi international airport meet assist Taj staff escort spankingly new Toyota . hotel provide complimentary airport transfer hotel back guest stay Club floor . hotel lobby welcome Taj hostess take straight room 8th floor . room particular floor recently renovate . enter different world altogether enter room . do quite painstakingly . modern hotel room ever stay . travel professional opportunity visit stay many wonderful property across world . standpoint room decor , fixture fitting one beat almost . bathroom amenity sync class room . food outlet absolutely top class whether cuisine chinese ( Tea House August Moon ) indian ( Masala Art ) . service flawless throughout . great experience . love Taj Palace , BEST New Delhi . 
 Dec 5 2006 	 great hotel great service 	 spend ten day hotel- business trip . first trip India pleasantly surprise meet airport car hotel , drink hand towel freshen . hotel diplomatic enclave city , well situated . staff extremely helpful solicitous , often take care need know . room standard double , well furnish clean . steward offer fresh fruit juice drink take care check - in detail . several restaurant hotel , favourite Indian , menu go day . , service excellent . breakfast serve buffet style cafe , chef would cook almost anything ask . western style food ( bacon egg ) well indian , plus array cereal , fruit , juice ( fresh squeeze ) , etc . from business standpoint , business centre well - man everything necessary . locate lobby , quiet .. hotel also nice fitness centre ( though not use ) spa . two massage trip , excellent- indian traditional massage extrememly relax , back / neck massage thing long day front computer . also well stock store hotel- nice quality shawl , jewelry , tie , book item might need take home family . , great service . nice terrace outside , well pool , use . happy stay hotel . criticise anything , would air conditioning , find bit cold . however , turn room evening , fairly comfortable case . minor detail , though , enough really complain about . overall , hotel nice , traditional large hotel give healthy dose indian hospitality . 
 Nov 2 2006 	 good ! 	 bad ! , really quite good ! reception large , clean , modern full great staff , helpful . helped find obscure address Delhi . room comfortable quiet , good night sleep . bathroom also good . view front fine . swimming pool ok , area like change area get bit shabby need tidy , otherwise ok.dinn Breakfast great , excellent buffet , lot choice , good quality . yes , would stay . 
 Oct 10 2006 	 real luxrious Hotel 	 good hotel stay . staff co - ordial gr8 thing Taj general take personalised care . go Delhi competition surprised staff also wish leave venue . spectacular room , nice srvice great ambience make wonderful experience . 
 Sep 27 2006 	 oasis calm ... 	 Taj Palace oasis calm hectic Delhi . staff professional friendly ..... Orient Express Restaurant live reputation one top 50 Restaurants world , food service excellent . the room small side , good view pool . overall good stay ... would use Delhi . 
 Sep 12 2006 	 excellent hotel business traveller 	 Superb care hospitality , great attentiveness , faultless luxury transportation airport , sound restaurant exec area . inspire much recommend . 
 Jul 28 2006 	 Good Hotel 	 stay Hotel mid June two night . excellent property exclusive New Delhi locality . problem check , two - room reservation available due overbooking . upgrade single suite room tough talk . front desk staff need shape cater traveller need unearthly check - in hour . hospitality team make tardy front desk staff . double bill stay , credit card company fix this . the property great , food good , location great , front desk staff need shape . 
 May 28 2006 	 absolutely wonderful 	 first trip India read lot review hit & amp ; miss hotel , want stay upscale , reliable place . search net place price , come upon amazing rate Taj Palace Club level room , book ( 2 week prior travel ) . reason travel India entail stressful experience , want hotel stress free possible . the Taj not disappoint . club level guest , everything first class , absolutely perfect . arrive 1:00 a.m. local time , staff whisk we checkout room - pillow overstuff quilt , wait bottle wine , fresh fruit & amp ; flower room , electronically control lighting , electronic safe special breakfast / tea buffet room Taj Club level guest . the amenity not end room / floor feature . staff attentive without obnoxious . never ask tip anyone never pressure anything . price exactly state hidden fee . serve staff buffet room address we name morning end stay know want far food & amp ; drink . service always readily available encounter problem ( creation ) hotel maintenance staff right within 10 minute . the food hotel absolutely wonderful . room service twice eat hotel restaurant three evening . lackluster experience chinese restaurant . Kafe Fontana marvelous room service without compare ( white glove , individualized service ) . pool garden look quite inviting , weather stay cool throughout stay , not get experience swimming . overall , one good hotel experience ' ve ever . definitely 5 - star place extra ( ' ve stay many hotel throughout world ) . 
 Apr 29 2006 	 love hotel 	 stay Taj Palace two week long trip North India . hotel absolutely stunning , true 5 * hotel . pool great . club room give free water bottle red fresh fruit . room perfectly fine . must commend service , absolute good service ever . mind work airline travel lot . staff attentive . actually tell we go shop G.K - I market and/or central market steel product , former fix price good restaurant eat Delhi . breakfast good . kind indonesian salad pool not worth . room service good . bar expensive taxis alcohol , buy bottle street ( around $ 3 ) mixer be good go be drinker . also eat Zen C.P . great chinese food . use taxi driver whole time stay hotel nice honest . Mehar Chand - you actually ask think car # 2738 . 300 Rupees 4 hour would pick we tell every day . hotel expensive , really hotel Delhi ... definitely worth ... also stay Intercontinental Grand ... one blow away really . also , concerned hotel center ... not even worry ... 's issue really go walk around .... take cab everywhere ... city really dirty extremely overwhelming . I hope help great trip ! 
 Apr 7 2006 	 Taj - Great hotel 	 stay Taj Palace April 2006 . first night India long 14 + hour flight . hotel impressive staff excellent speak good English . book room Taj Club direct 7th floor check - in . two complaint make hotel 1 ) 12:00 pm midnight , room ready . travel 17 + hour , ready sleep . also , bar hotel close early , around 11 pm . however , walk next door ITC Sheraton , 's bar club great , be open long . I would not hesitate stay hotel . staff friendly helpful . book one day sightseeing tour travel desk . knowledgeable , friendly , great day . room nice , pool nice , lobby comfortable . even bottle italian red wine room greeting . 
 Mar 3 2006 	 great Servicerooms little glum 	 stay Taj Palace Delhi 3 night business convention . the hotel impressive service really superb . no request difficult ever - attentive staff . hotel huge great pool , restaurant , bar , night club shopping mall . room little old fashioned side term decor although first class amenity i.e tv , wireless internet access , safe etc . all safe bet Delhi . 
 Feb 19 2006 	 expensive .. 	 spend 10 night , say : Ups : - staff helpful attentive . need helpto clear stuff customand help . generally speak , service always quick . - room , quiet . true luxury room end ok , clean big enough . - people like stand indian spicy food , evening buffet always continental food . morning breakfast 's buffet excellent.- bar business center open 24hr day . down : - almost 300 eur . per night itis overprice , price Delhi . I talk many people expect finda five star hotel much less.- hotel set probably cleanestpart India - diplomatic enclave - can'treally go walk . area full ofdiplomatic military building face huge roadsfull traffic . overall would choose hotel haveto go back . 
 Jan 30 2006 	 price 	 go stay hotel sadly let price state room tire smelly dirty , staff quite helpfull , unable offer well accomodation time would reduce 280usd price , opinion excesssive , consider state room 
 Jan 22 2006 	 business trip 	 stay hotel August 2005 receive excellent service . room clean . hotel good location close airport ( 15 - 20 minute ) . mini - putt course really neat . onsite restaurant excellent well . good buffet superb service . overall , nice stay hotel New Delhi . 
 Jan 4 2006 	 pleaseant Delhi hotel 
 Nov 29 2005 	 luxurious noisy 
 Oct 26 2005 	 nice enough 
 Oct 26 2005 	 Nice Hotel 
 Sep 11 2005 	 Business Taj 
 Sep 3 2005 	 lovely hotelgreat service 
 May 16 2005 	 expectation 
 Mar 29 2005 	 miss 
 Jan 10 2005 	 great hotel 
 Dec 28 2004 	 good alternate south Delhi 
 Nov 14 2009 	 Lujoso pero alejado del centro 
 Aug 16 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Jul 23 2009 	 Hotel de ensueño 
 Jun 3 2009 	 excelente 
 Jan 3 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 7 2008 	 Meraviglioso mediocre ? 
 may 19 2008 	 Que estupenda sorpresa 
 Dec 1 2007 	 Le TOP Qualité / Prix à Delhi 
