first 	 boyfriend book hotel , realize open Spring 2009 . stay King Deluxe corner room , absolutely stunning . service first class staff professional polite . hotel also mere 8 - 10 minute walk St. Paul Old Montreal . breakfast buffet also impressive top quality food service . would definitely stay return Montreal . 
 Great Value 	 stay weekend wife , hotel location pretty amazing , right near downtown core . get pretty much anything within walking distance . got great deal flight West jet . hotel still construction pool open yet , room fairly large , quiet well decorate . bathroom also nice , high end finish . overall great room value , would def . stay . 
 Jul 12 2009 	 good 	 mixed feeling book new hotel ... get good rate decide go . turn , listen inner voice . stay first day July - pulled could not locate valet , lobby area desert , finally find one person check we . agree previous reviewer entire hotel corporate generic , yet event planner company , would nervous booking conference ... least several month finish place . room nice , flat screen , etc . not bring laptop idea wifi , Heavenly Bed great , bathroom nice nothing special ( point double - headed shower ? ) , nice view 21st floor river . room tight , however , terribly spacious local area information , map , etc . - stuff usually find desk . upset pool , know complete - say website someplace , believe . good location walk , access subway , etc . ( right next door Embassy Suites Intercontinental . ) elevator consistently service . water one night 2 - 5 am ( announce advance ) .We club room club joke ! first , new hotel , build small club area ? crowd when / if hotel ever start fill club floor . bad supply food / drink - reason people pay extra amenity . bottled water entirely first two day , although not drink soda , notice not seem restock often either . breakfast constantly food , point become comical -for instance , bread / bagel lovely little salmon roll nothing put , bread toast little pastry knive plate - use end spoon spread butter eat napkin . get creative third morning decided go breakfast ( eggspectation right around corner ) . room coffee awful ... Starbucks cup see everywhere not brew right . kicker morning decide go breakfast , thought could grab cup coffee lounge first coffee . 9:00am . Saturday morning . finally go restaurant ( always adventure , typically one three elevator work stay ) give . poor guy work club lounge nice harry - wear suit act concierge waitress , good combination . try sit desk help people coming clean sticky mess table - need two people . club room seem nothing special - still want $ 4.95 bottle water . minifridge minibar - nice big empty cabinet tv though may one day go ... finish hotel . baseboard molding fall wall 21st floor stayed lay 3 day . construction noise floor second top . ( club floor 21 - 22 think . ) drink bar - bartender nice course hotel - pricey . not eat restaurant look bit disorganized ( like whole place ) peek breakfast . the reason not unhappy ? 1 : montreal fantastic ! ! happy . 2 : & quot ; Pay Age & quot ; promotion last two night $ _ _ ( let us say bear 1970 , less $ 70 per night ) right price hotel . course , bill wrong checkout cheerfully correct . everyone overhear check complaint / problem / issue . random comment hallway , elevator : & quot ; Trainwreck & quot ; , & quot ; Nightmare & quot ; . however - every employee meet well friendly - fault . give Service 3 * overall lack oversight , individual meet . starwood senior management ? someone corporate need go anonymous stay address press issue . bottom line , eventually intend - nice hotel convention . 
 Jul 10 2009 	 Westin Quality 	 husband plan spontaneous getaway Montreal celebrate wedding anniversary . concerned Westin read review Trip Advisor , especially previously stay W Montreal great time . call Westin assure we improve , include pool open . needless say , arrive hotel today . wait 20 minute check desk Gold / platinum member tell next concierge would help we could attendant simply leave we stand dumbfound . finally check & quot ; upgrade & quot ; deluxe king room 8th floor city view . city view = look neighbor office window include bathroom . deluxe = space 2 large pillar room make awkward navigate room . husband grow tired wait bellman grab luggage bring room . ( nobody even question take luggage behind bellman 's stand . ) find trash prior occupant room desk ( gold passport member pay $ 199 per night . ) utmost dismay , housekeeping came check ask we clean room yet . assume answer completely find prior occupant trash . final kicker : pool open , smell paint / dust , construction still go , mini - bar empty space room , take ~10 minute elevator arrive . the good part free internet post horrible experience thus far . change , update posting , hopeful . ( also heavenly bed . ) may great hotel future , would risk . w block away great experience previously . & quot ; deal & quot ; worth dusty , dirty ( supposedly new ) room view office building ! 
 Jul 10 2009 	 Unnecessarily Generic Lots Hiccups 	 friend Montreal number time previously stay W ( great little clubby room build couple ) St. Paul ( aim high pretentious feel little beat ) . see brand new Westin open , figured would perfect place Westins usually cool hotel great location . anyway , arrive Montreal pull ugly driveway greet visible front center overflow trash valet station . terrible first impression . lobby stark , barren plain three hour late get we room -- sit around lobby way start vacation . room hallway corporate plain , really surprising new hotel . towel brand new fuzzie clothe hair every day . ultimately , need clean place stay comfortable bed , Westin great . want hotel will remember , forget . feel like think style put hotel . blah generic , like movie satirize corporate generic hotel . , really surprising brand new hotel Westin . would expect have put think effort property . oh well . 
 Jul 8 2009 	 Le Westin Montreal build well . 	 stay Le Westin Montreal 2 - 6 July Montreal Jazz Fest . boyfriend Starwood employee get we special rate ( will not disclose ) far less $ 230 + /night ask weekend , opinion worth hotel . starter , hotel still construction ( website not tell , although advertise amenity yet available ) . tout lap - pool complete ( although use pool nearby sister property ) , spa ( although info room ) . one three elevator operational give time , painfully slow . several incomplete area hotel cover sheet tarps , & quot ; new carpet smell & quot ; fill air . first guest occupy room , still little construction dust bathtub , dust furniture . room contain flat panel tv , clock radio support iPod / iPhone , cordless phone , several lamp , Heavenly Bed . room spacious full - size sofa bed large desk , stationery note pad write . AC work well , good wifi reception . " green " theme hotel , evidence soap , toiletry , recycle bin , etc . the bathroom spacious rest room , not tight fit . bathtub dual shower head curve shower curtain . bathroom fan quiet towel wonderfully soft thick . vanity however , false drawer , not storage bathroom . overall , room ok , basic side suppose 4 - Star hotel -- impress glad pay rack rate . visit two bar / restaurant hotel . Gazette first floor , reporter Lounge 3rd floor . course price typical hotel . Tuesday - Saturday reception offer reporter bar , 5 - 7 . however , must get early , free sample food beverage go quickly . valet parking $ 26CAD / day , in / out , parking lot across street offer parking dollar less . hotel convenient location Old Port , adjacent Metro station . give Montreal walkable , not need take car , unless be leave city . find hotel staff warm friendly , exception day - time front desk staff . bar , restaurant , room service staff quite congenial . bell staff , valet , housekeeping good ( turndown service ) . everyone always smile eager help , although front desk day staff could seem bit motivated . guess lack enthusiasm stem deal complaint comment disappointed client expect hotel quality 4 - star Starwood Group property , advertise feature available . one reviewer mention , seem Starwood want get place open peak tourist season , even though still build permit window . indeed ashamed deliver product condition . not think will stay , even employee discount . several property Starwood Group hotel chain immediate vicinity would give well quality price less would pay Le Westin . 
 Jul 8 2009 	 incredible staff worth inconvenience 	 would thoroughly enjoy stay hotel go year construction complete system fine tune . we give really awful first impression hotel . -hectic , confusing valet system - poor communication we staff - our luggage take pass someone else not know go - poor view - they forget give we item upon check - in & quot ; welcome bag & quot ; breakfast voucher - bad view - the pool ready , huge disappointment one reason book Westin - there construction 7:30am hotel - the & quot ; dual & quot ; shower head shower described website feel misleading . not 2 shower head , shower head 2 setting , like standard shower head ! , staff nice , polite , sweet , charming courtious much eventually get hideousness first day ! food breakfast great hotel beautifully decorate , bed comfortable atmosphere relax . would say be go Montreal 2010 consider stay Westin . 
 Jul 6 2009 	 Amazing Hotel ..... 6 month . 	 stay & quot ; Le Westin & quot ; 2 night summer . future see hotel great place stay , however hotel brand new , stay significant problem . also nice surprise though . checking , staff extremely friendly inviting . , first 3 problem happend , row ! 1 ) inform glass bottomed swim pool still construction.2 ) package booked suppose include welcome bag free gift , breakfast ticket restaurant , various little goody . forget request later evening.3 ) try smoothly slide valet tip handing key , instead drop money ground . hotel fault obviously , still feel worth mention comedic effect . the room itselft beautiful . probably comfortable bed ' ve ever sleep life . could stay entire trip not construction noise ( will get later ) . bathroom also gorgeous . problem & quot ; dual nozzle rainforest showerhead & quot ; advertized website not really neat sound . expect envelop water , spray side ( least 2 side ) , absolutely escape wetness . unfortunately , case . 's normal shower head two different setting . least bathroom beautiful . my wake - up call next morning beautiful - mostly not order one . come form construction noise 7:45am . one story we , directly outside window ! know fact could see scafolde window . could say double sunshade room . it be one thing rent hotel 's still construction , care least take avoid rent room within close proximity noise . would complain already grumble night false advertising swim pool open . and positive : -delicious buffet breakfast locate far away construction noise . -extra bathrobe toothpaste ( know forgot pack something ) give upon request . when check - out receipt arrive door , total price incorrect . reflect special package book website . staff however quickly fix problem front desk . also appologize lack swimming pool mention , able ammend situation not leave hotel negative image experience . then ofcourse valet take 30 minute retrieve car . like rest staff though extremely polite , make difficult annoyed situation . possible reason problem could insufficient number valet attendent schedule work , and/or lack space driveway park car ( full - finally get car attendant bring onto street ) .Overall , would say hotel wonderful place stay , be completely finish kink work system . opinion believe main thing save hotel bad executive decision team dedicate professional staff member . moment ' m undecided whether will ever return , would recommend traveller desire fine hospitality great location .... give another 6 month book . 
 Jul 5 2009 	 horrible ! ! stay away Westin property 	 hotel ( Starwood group ) ashame lie disclose half facility place still functional . truly disappointing time horrific experience . soon check 2 , water turn 3 - 4 hour maintenance . fitness room full construction dust , plastic sheet cover half room , A / c weird industrial smell . pool nowhere near complete . room stay bare bone ( stationary , local guide , magazine , turndown -- one good room Platinum guest like ! ) . housekeeping clean room next day ( away ) keep shampoo/ conditioner / soap .. take 4 hour 4 phone call / reminder get something deliver . Got stick 22nd floor non - functioning elevator -- several minute try get start , call elevator , nothing work -- call operator , say would send someone check , long wait show maintenance staff , find staircase climb ! call complain hotel manager . polite , apologetic -- offer point able transfer nearby W hotel request late find replacement . ( find disgusting hotel would rush open cash visitor demand thing fall apart , would not stand take responsibility right thing ) . whole , one bad experience anyone hotel / brand caliber . starwood embarasse put type shabby product market ! 
 Jul 4 2009 	 good location unimpressive room price 	 decide pay premium room really unimpressed . get sit room not well lay respect rest room . view brick wall another building room do not get much lighting . bathroom great - really modern clean . hindsight , would well pay less small standard size room . also , hotel not finish construction . construction noise early Friday morning - fun be vacation . westin website lead think construction done expect everything reference website true ... include swimming pool . well , find arrive still construction . ugh . 
 Jun 27 2009 	 two star service four star location 	 bring group customer hotel issue . bring 50 people use convention space , hotel room issue , construction problem unconcerned staff . 
 Jun 25 2009 	 Le westin- nice addition Montreal 	 stay one night new Le Westin . open week not busy . hotel locate edge Old Montreal , walkable area . part hotel still finish , pool spa . meet friendly staff member time stay . corner room 16th floor course spotless . carpet still new carpet smell ! look forward return construction do . 
 Jun 24 2009 	 Nice Hotel - still construction 	 wife three child Montreal two night June opt stay . decorate nicely excellent location near historic Montreal short walk Notre Dame Basilica . booked & quot ; grand opening & quot ; rate include valet parking ( $ 26cad / day 2 day buffet breakfast ( would $ 86CAD / day 5 we . all staff encounter , front desk , valet attendant , maid , waitress restaurant extremely friendly professional . request extra towel rollaway bed , towel bring 10 minute rollaway arrive within 30mins set - up bed sheet , blanket etc . the website bite misleading regard pool , open yet , much disappointment kid , however , offer pay taxi fare Sheraton use pool opt ( addition glass bottomed pool lobby area spa area suppose pool ready either ) . check around 7 pm evening not notice construction activity awaken 7 am drilling hammer pipe work floor we noise seem come area hotel ( 5th floor ) . think 4th 7th floor would definitely disturb noise . after mention front desk apologize profusely move we 21st floor give we access Westin Executive Club 22nd floor ( top floor ) . sleep soundly next morning construction noise . Buffet Breakfast chef hand make omelet fry egg preference , orange , apple juice provide , along numerous fresh fruit choice ; blackberry , raspberry , blueberry , pineapple , cantaloupe strawberry . assorted danish , muffin , bagel toast . cold cereal , oatmeal , scramble egg , bacon , ham . overall excellent buffet . issue portion restaurant construction cut glue wallpaper side wall we . ' m sure hotel US not think would give occupancy permit allow work customer eat . third floor two set escalator lead nice big seating area overlook lobby conference room space one end floor business area multiple computer internet access . floor area drape construction part carpet public space still need tack . time revolving front door Hotel not work seem continually try repair . one point one side door revolve door commission leave one door everyone go . apparently Hotel open month not think quite ready general public yet apparently another portion block construction tell add another wing Hotel . two room stay clean , nicely decorate heavenly bed extremely comfortable along free Wi - Fi internet work fine . would stay would sure make sure pool open construction complete . 
 Sep 5 2009 	 El Hotel Westin En Montreal 
 Aug 7 2009 	 service médiocre ! ! 
 Aug 7 2009 	 Hotel molto buono personale necessita di un pò di rodaggio 
