warn 	 hotel book room try relocate hotel several mile away , case 13 mile away middle nowhere . 
 Sep 22 2007 	 wonderful week 	 First & quot ; bad & quot ; : room culture shock . extremely small price . amenity rather lack bed small american standard . the & quot ; good & quot ; far outweigh size room : hotel extremely well maintain spotlessly clean . service excellent . the staff could give lesson counterpart America . they extremely polite , helpful , importantly , friendly . concierge personnel go way help navigate city , explain Tube system , map path follow various site wish see . walk London would return hotel , lounge staff would make sure okay leave alone raise eyebrow look way bring cup tea coffee . ( american , drink tea . british coffee terrible . ) aside , ask concierge particular restaurant tell eat would not enjoy & quot ; British & quot ; steak . instead tuscan restaurant ( almost everything italian around Oxford street ) name Caldesi recommend . approximately 4 - 6 minute hotel foot . food superb cappuccino good coffee England . all , staff hotel make trip London wonderful experience well worth cost . ashamed say not write name staff . can not say enough wonderful experience make trip . recall young lady name Barbara serve restaurant lounge . attention need terrific . finally , Londoners great people . friendly extremely willing help find way . especially southern american accent . ( tongue cheek . ) Richard Palmedo 
 Sep 18 2007 	 Fantastic Location ! 	 stay one night please . hotel situate right Oxford Street perfect shopping ! hotel spotless , room well furnished everye thing would need comfortable stay . thing would say air con . quite noisy night . breakfast excellent something everyone . stone 's throw two tube station , reasonably price - would definitely return due central location . staff friendly helpful . able leave bag hotel hour checking charge . 
 Aug 30 2007 	 Excellent Service 	 5 night trip London place agency handling arrangement . family 3 could not happy . agree hotel offer good service hotel ' ve stay . staff accommodate kind . room lovely although Oxford Street bustle could see window little noise problem sleep . beautiful marble bathroom nice size . not eat ascot enjoy bar menu . include breakfast also nice offer wide variety . , pleased stay . 
 Aug 29 2007 	 good 	 great experience . room would hard press swing half cat . tv not work properly . radio 4 completely inaudible . air con loud . thankfully , not pay , complaint would long loud . staff perfectly nice , experience would avoid can . David 
 Aug 2 2007 	 Perfect location shopping ! ! 	 every year go mini break London mum . year choose Berkshire Hotel . find ! ! really find well location shop Oxford Street . handy intend purhcase alot simply drop bag room head again . the breakfast high quality plenty choice . room decorate high spec , modern . downside not bath , double shower . staff friendly helpful . security good need insert room key gain access residental floor lift stair . all wonderful 4 day stay Berksire Hotel Oxford Street would recommend anyone ! 
 Jun 28 2007 	 excellent experience 	 enjoy hospitality Radisson Berkshire 4 night early May . travel solo need single room , whilst small side provide comfortable double bed well appoint bathroom good quality televison . staff welcome check check . greatly enjoy traditional english breakfast high quality hotel 's breakfast room also lovely traditional ambience . location sensational , next door debenham metre away Bond street tube entrance . however right Bond street hear street noise room close front building . daily newspaper free internet access computer room welcome bonus . highly recommend hotel . 
 Jun 15 2007 	 great location 	 stay last weekend fifth anniversary , book though lastminute.com ' top secret hotel ' - great deal ! location fabulous , walk Bond Street tube station hotel right front you . the decor stylish comfortable . room small side , stay long time room shame - London ! stay room basis can not comment breakfast . down side hotel noise , right Oxford Street hear traffic beep pedestrian crossing . overall , be look chic hotel great base explore London right hotel . 
 Jun 13 2007 	 great location shopping 	 intend shopping , location perfect . room small comfy . computer terminal free internet access ( husband surf web , shopped ) . bar nice evening . would stay hotel already London several day . 1 - 4 day , would pick hotel close Westminster tourist sight . not think will get away tourist hotel either . Oxford Street busy . lot side street explore . many dining bar choice well around . also lot pedestrian street shop eat nearby .. 
 Jun 2 2007 	 Excellent location 	 ideal location .... however hotel not particularly good . nothing feel amuse let . service ok .... quite small hotel ... particularly reception area without lounge area . 
 Apr 10 2007 	 Smart Hotel close shop 	 Booked hotel go see show Palladium Threatre ( 7 min walk away ) . ideally close Oxford Street - hotel entrance side street right beside Debenhams prove good landmark want return hotel . book twin - bed deluxe room although big spotlessly clean lovely bathroom . overlook Oxford Street ( Room 519 ) could noisy open window air conditioning work fine . Breakfast hot & amp ; cold buffet staff pleasant . book via hotel chain online problem booking - receive welcome e - mail one week travel . previous experience hotel chain London always try book good room afford quality always less London . complaint regard one . right beside Bond St tube station easy link attraction . staff helpful keep case even check could go shop . 
 Jan 2 2007 	 great service convenient spot shopping 	 stay hotel December Christmas another couple . two room floor . stay London strictly shop trip big sale London xmas . location awesome . mainly shop selfridge along New Old Bond Streets . within walking distance hotel . staff helpful . help we arrange table nice restaurant , even New Year 's Eve . nice modern decor room . good value money nice room center West end London . definitely come back next shopping trip London . 
 Dec 21 2006 	 noisy cold - never ! 	 boyfriend stay office Christmas party week . hotel great location , right west End hence also understand certain amount noise outside . however , not bargain beep pedestrian crossing go approximately every 10 second first light dawn . close inspection window , half double glaze would also explain icy wind come cold night year far ! mood not improve breakfast deliver room - time , freeze cold shrivel - totally inedible . I expect Radisson , stay hotels group please accommodation . never Berkshire ! 
 Dec 13 2006 	 disappointing 	 experience nightmare stay hotel Dec 8th Dec 11th . I book Internet , send welcome reminder hotel weather forecast etc . go . great expectation , booked & quot ; let Loose London & quot ; offer deluxe room , also great memory hotel stay couple year ago . the offer describe include follow : Accommodation full english breakfast vat 17.5 % let Loose voucher booklet give upon arrival . pass full exclusive London offer Comedy Store , Natural History Museum , Vinopolis City Wine , Victoria Albert Museum many DeLuxe room describe contain : Deluxe roomsking twin deluxe bedroom spacious standard bedroom , king size bed two single bed . deluxe room also offer seat area sofa chaise lounge , turn service bathrobe slipper . I give small standard poor room , never obtain voucher booklet stay even tell breakfast room first morning breakfast include . ask lady recpetion tell let Loose London offer , reluctantly write system suppose breakfast inclusive . ( nevertheless breakfast appear charge bill check , refuse pay delete ) . nothing else happen , print offer include become uncertain package let go treatment give I . I also mention disappointment finding room undone return afternoon ( turn green light & quot ; please clean room & quot ; leave morning ) , ask refill minibar do two follow day . a disappointing experience , break expectation comfortable nice London stay . let add write complaint return home find scope offer , well complaint chanin 's customer service department . interesting see care enough give response .... 
 Oct 29 2006 	 Great Hotel 	 stay hotel 1 night part theatre break London . although little small , room clean quiet . arrive early state check time hotel take bag , could go enjoy shopping delight Oxford Street ! rate not include breakfast , however available additional £ 16 . personally , would not bother , several Starbucks cafe be around within minute walk distance . a great hotel fantastic location , especially would like close shop directly opposite tube station ( Bond Street ) .The negative bathroom small ( clean ) , however , night stay ie weekend trip , adequate enough . would stay reccomend other . 
 Jul 20 2006 	 Great Hotel 	 get back stay Radisson Edwardian . little apprehensive staying read review pleasantly surprised . the hotel stylish , staff friendly , room small ( standard ) upto minute , clean face side street noisy . bathroom really modern . bed pillow comfortable . slightly negative point lack two bedside table ( one one side ) clock , also marble floor bathroom slippy go wet . say , location perfect , bar trendy ( expensive ) restaurant worth visit . stay future . 
 Jul 12 2006 	 London Hotel Surprising 	 stay one night business June 2006.nice enough hotel expensive . expect less London hotel anywhere else country , good hotel . room small ideal one person . cater tourist opinion rather business . great location road tube . 
 Jul 3 2006 	 confirm 	 reservation confirm pay two week ahead time , not matter . Radisson overbooke shuttled customer Radissons London area . comp inconvenience , coupon , nothing except weak & quot ; apologize . & quot ; Radisson hail taxi take we hotel . taxi driver tell we shuttle customer various London Radissons day . evidently well know fact London area . stay RADISSON LONDON . participate unethical , illegal activity . forget customer select particular Radisson 's location , past experience , friend 's recommendation . none matter Radisson organization . remember book Radisson London , know actually stay . business view , understand happend . book Saturday night travel Edinburgh London fly home follow day . Queen 's birthday weekend , weather beautiful special activity city . knocked & quot ; unimportant & quot ; category several reservation Thursday - Saturday night . exactly person pay ahead confirm reservation . I never write review , situation unacceptable tell other . 
 May 30 2006 	 Fab hotelfab location 	 stay lovely hotel locate right oxford street freind wedding town . the hotel completley re - furbish lovely marble bathroom & amp ; one good night sleep ' ve ever have . the staff also extremely friendly make pleasent change . highly recommend & amp ; fab location especially tourist . 
 Mar 28 2006 	 recommend 	 stay hotel yesterday one night impress . ridiculously small reception area , public room relax , tiny lift even small bedroom ! swing cat . combine appalling room lighting ( non - existent & quot ; full prison compound & quot ; ) , tiny , poorly equip bathroom 's noise level due proximity Oxford Street make hotel recommend . TW , Coventry , England 
 Mar 14 2006 	 Disappointing ! 	 book last minute annisversary , state 4 * deluxe . first impression , great location shop tube . hotel , king deluxe room fairly standard , overpower smell fresh paint . so ask move . ! eventually get room similar size one pay , previous guest leave little suprise inside toilet ! reliably inform reception upon inform , name Mr Bennett ! ! however , offer two free breakfast , worth pay ! follow morning , woken workman room next door 8 am . robe / slipper room free paper do not arrive ! whole disappointing , worth £ 145 pay ! 
 Jan 26 2006 	 extremely average Radisson 	 Location hotel Oxford St excellent , also close Bond St Tube . service staff well poor , often rude . room clean recently refurbish . lifts nuisance , small often service . room noisy , particularly high floor . 
 Dec 30 2005 	 Disappointed Whole 	 Hotel location perfect purpose visit ( sale shopping ) well connect Bond Street Underground directly opposite . whole hotel small , room / bar / restaurant service poor average ( especially bar ) . hotel 2 lift ( small 4 person capacity ) one break majority stay result take stair 6th floor several occasion . stay Radisson Hotels disappoint . 
 Dec 8 2005 	 bad Radisson cookie . 	 stay Radisson edwardian Berkshire thinking would safe Radisson edwardian brand name . since reavaluate thinking stay . expect hope for . the advice give be plan stay Radisson Edwardian Berkshire , - look closely room make sure actually cleaned.- bring soap shower , would not recommend bath.- avoid breakfast . cost fortune monumental disappointment . save money eat café instead.- Speak slowly clearly staff.- not look Radisson Edwardian 's website beforehand . I will stay elsewhere next time . 
 Nov 17 2005 	 good location noisy room cramp bathroom tiny 	 would incline avoid Berkshire Oxford St . ( be actually Oxford St little side - passage , officially call & quot ; Marylebone Lane & quot ; , quite taxi driver not seem hear . ) standard room minute , positively microscopic bathroom . & quot ; Deluxe & quot ; room quite nice decent ( soft - ish ) bed , tiny cramp bathroom . several annoyance include bath tap turn stand slippery somewhat dangerous manner , tiny kettle match tiny room round - the - clock loud vehicle people noise Oxford St . staff friendly sometimes helpful , insist hassle hour afterwards determination & quot ; deal & quot ; small complaint . usual language problem apply , concierge restaraunt staff show limited grasp english case . nearby car park phenomenally expensive nearby car parking space relentlessly patrol zealous central London warder . great location particularly pleasant hotel price . 
 Oct 27 2005 	 recommend . 	 parent come London month put different place almost everytime - see state London hotel ! manage book superior room via Lastminute £ 125 ( secret hotel investigation easy work ) .The hotel look freshly refurbish room fantastic . noticed people complain space , room include sofa coffee table well book - especially London ( British ' m use small room ) .The ground floor bar ok , although waiter serve shortage champagne glass ( proffesional ) ! put head first floor bar / restaurant desserte ( Friday night ) - not think major problem location next Oxford street excellent food / drink / shopping . overall recommend . 
 Oct 19 2005 	 everything doorstep ! 	 stay two night October ; one second man . anyone book hotel London first time , thing cheap cheerful . get great last minute rate £ 119 plus vat londontown ( room usually £ 200 ) even dumpy 3 star suburb £ 80 , figure good deal .. good thing hotel location ! be literally Oxford St , anyone interested shopping , 's great base , mean pop back hotel several time day drop heavy bag , nap rest . selfridge 3 minute walk away hotel right next door Debenhams . first night , glad could head casual meal book , stroll home safely , without worry scary tube station dimly light laneway town . hotel right beside really nice ( really expensive ! ! ) bar restaurant , also 100 m Bond St tube station , 's perfect city break location . room pretty small little noisy , hey be get stay central London . modern coffee cream decor , spotlessly clean linen , towel sparkle bathroom , course yummy fluffy robe , minibar , tea coffee . lobby small , bar , quiet discreet , nice oasis calm hustle bustle Oxford St. can not vouch restaurant eat time . London rock ! ! 
 Sep 22 2005 	 tiny room even deluxe - like photo 	 arrive midnight check 1/2 hour later ! research settle berkshire budget luxury . know room small research book deluxe thinking would big . surprisingly hot still day room hot stuffy find quickly a / c break opening window mad difference noisy still . informed room switch we night could not stay hot room . disappointed find poky tiny . lucky another hotel room check . 
 Aug 2 2005 	 Clean Room Consistent Radissons 	 Radisson Berkshire grrrrreat location . be close Oxford Circle 's shopping GALORE around area . additionally , be short walk Bond Street great eat ... shopping . I stay Radisson business since office nearby . really convenient able walk work , go shopping work , meet colleague get cocktail / dinner nearby , head bar . the food hotel & quot ; o.k . & quot ; not expect much , will not disappoint . bathroom clean ( always , really nice Radisson ) , people front desk relatively helpful . think Americans expect & quot ; deluxe & quot ; room pretty large , not London , not expect . Expect & quot ; deluxe & quot ; room L L. , try complain really matter ? town anyway , especially since hotel great location . ( well , except K - West hotel pretty large & quot ; deluxe & quot ; room , except be far central london ) business , hotel PERFECT . get internet access breeze , never connectivity problem ( see review K - West hotel ) . 
 Jun 5 2005 	 Fab city hotel 	 come back weekend hotel - book Delux twin room - bed comfortably , large sofa , huge tv , mini bar , marble bathroom shower / bath , shower powerful , luxery toiletry , bath robe , good powerful hair dryer ( must lady ) , tea coffee , iron ironing board . room fairly large noise next door room . staff friendly helpful . hotel decor modern classic . hotel ideal shop Oxford Street , Regent Street close fab resturant Edgware Road . would highly recommend hotel definatly stay . 
 May 30 2005 	 great place ! 	 superb experience hotel . ( deluxe ) twin room book reasonably roomy extremely comfortable bed decent sit area . the bathroom gorgeous . bath huge shower three different showerhead ! gorgeously marble clean . good wardrobe space . minibar pretty useless really cold ( often happen ? ! ) restock spec ! common area throughout hotel stylish well maintain staff friendly helpful - check take 30 second ! location really set apart though . footstep away main part Oxford Street . Perfect shopping also perfect stagger back Soho night out . compare hotel area reasonably price . highly recommend stay . 
 Apr 20 2005 	 careful Radisson Hotels . 	 book travel agent Radisson Edwardian Vanderbilt Kensington areain late March Easter holiday . arrive late , snafu airport , find room go . take private hire car pay Radisson another Radisson hotel , little Euro - chic plan upon . second hotel , Radisson Berkshire Oxford Street , clean nice , room provide minuscule . able move another , slightly large room bed request follow night . staff excellent , confusion breakfast ( pre - pay , sign daily basis breakfast , tune 30 pound per person ! ) , Radisson Vanderbilt forward us fax & quot ; meet greet & quot ; service really send . check , confusion payment . pay expense advance , receive bill total amount stay , include outrageously overprice breakfast . take straighten , everything check Radisson Vanderbilt . location Berkshire Radisson great- middle shopping Oxford Street , close bus stop tube , cash machine right around corner . enjoy staff , really go way try make thing right . , good time , stay , would confirm thing , instead let travel agent . would call hotel airport immediately upon arrival certain room promise . nice place stay , check thing carefully . 
 Feb 13 2005 	 Hang onto Shoes ! 	 spend one night hotel friend invite join graduation ceremony City . PROS book airmile . presume enter hotel would take back time luxury , opulence good service feel please not cost much ! must admit hotel excellent . check - in speedy efficient . room spacious obvious room bathroom refurbish . go meal time return , receptionist leave voice - mail phone ask whether everything ok please let know anything . con give luxury bathrobe slipper horrify one bathrobe absolutely filthy ! previous occupant room obviously ill intenion put word robe cover . needless say , rang ask replacement . ring half hour later no - one act request . Radisson Edwardian group pride give service second none , sort problem expect hotel class . fact act upon speedily first phone call also disappoint we greatly ! indeed , leave questionnaire bedroom breakfast table , invite comment suggestion improvement feel could make . needless say , fill ! reference hang onto shoe final straw put shoe free clean . advertise shoe place outside room 1.00am , return clean 6.00am . take advantage time want go breakfast , shoe still miss ! ring shoe return ! time , felt do nothing complain experience encounter 4 * deluxe hotel expect . might well unlucky aspect stay excellent . however , not make want return Berkshire even though location fantastic ! 
 Feb 11 2005 	 Rip 	 stay hotel 3 night Feb. 2005 pay 150 british pound night . room soooooooooooooo small bathroom . space bed nothing else . stay double deluxe room . bathroom average . read description hotel , one would think something nice . generally , staff cold , exeption . one night want order roomservice late supposedly 24 hour everything ask , say , & quot ; , not & quot ; . even ask diet coke tell , & quot ; , sorry not that . & quot ; end settle cheese sandwich , cold cuz say also not toast bread get charge 15 pound . hotel expensive nothing . checkout , try charge additional 20 pound prove owe nothing else . apology . window room break . instead able open bottom upwards , top part window collapse downwards random time . also freeze cold outside heater work . inform staff problem , apology recognition . good thing say room clean , decoration modern , be locate good shopping area , right next tube bus stop . near worth charge . 
 Jan 21 2005 	 Excellent service throughout 	 Stayed wife 's birthday treat . I mention book lastminute upgrade deluxe room . Altho little street noise Oxford St , excellent . small beautifully design bathroom big comfy bed lot pillow nice sit area top class B & amp ; tv . Staff could not helpful . they courteous check check , lot question whether enjoy stay anythingwe could do.1st class opinion , although deluxe room ! 
 Jan 17 2005 	 breakfast ? ? ? ? ? ? ? ? ? ? 	 hello , stay hotel 31 - 12 - 04 02 - 01 - 05.check - in perfect , lady front desk good room clean early usual . room perfect free upgrade delux room . soft mattress , 's ( ) Londen hotel . ( be anybody know hotel London not ? ) breakfast : disappointment . newyears eve inform us breakfast would served 12.00 pm . nice gesture . disappointment arrive 11.00 . half selection already go leave bad quality . esspecially promote & quot ; edwardian breakfast , great british start day & quot ; ! great start one little choose . next day problem . kitchen can not cope staff not see much . conclusion : room good breakfast terrible . would go back ; . 
 Dec 5 2004 	 beware breakfast rush ! 
 Sep 19 2004 	 great location great room small room 
 Sep 18 2004 	 Worst Service Price 
 Sep 2 2004 	 Loved Berkshire 
 Aug 25 2004 	 Worst Service ever 
 Jul 29 2004 	 good hotel excellent location 
 May 31 2004 	 Excellent Hotel wonderful location 
 Mar 29 2004 	 love 
 Dec 31 2003 	 Great Location Nice Hotel 
 Aug 13 2003 	 Berkshire - simply Super Excellent 
 Sep 16 2009 	 Buen hotel centrico 
 Apr 23 2009 	 superbe hotel classe et discrétion 
 Jan 10 2009 	 très bien mais glacial ! 
