let 	 budget hotel budget hotel . bad hotel ever . depressing . upkeep . shower appliance come hook . stain carpet . personal unfriendly / demoralized . think want get rid budget crowd altogether . leave one night . favor go well hotel nearby . 
 Sep 28 2008 	 find Peace Novotel Peace Beijing 	 know review long overdue could not resist tell everyone grand experience hotel . my 3 colleague recently business trip Beijing last May 2 - 11 , 2008 . arrive hotel , noticed fix go entrance front revolve door . get two room 10 - day stay 16th floor . receptionist tell we occupant room yet check could wait 20 min . well , ok . worry . put luggage room decide walk wangfuje nearby . hour stroll , room ready one colleague , transfer stuff next room . what like hotel accessibilty almost everything . stratgically locate centermost part Beijing . step shopping mall , fast food chain , bank , minute walk Forbidden City Tiananmen Square , minute drive world famous Silk Street Market ( hehehe ) , hang nightly , minute Nest Olympic Stadium electronic market . check electronic market , guy . buy Sony digital camera half price Philippines . chinese saleslady say , & quot ; be cheap - ah . & quot ; also hour two drive great Wall Badaling . nice view lounge glass wall see street outside . hotel 's lobby majestic . well light , huge , feel comfortable free WIFI access . staff speak good English ( thank God ) , attentive helpful . thank supervision Ms. Sophie LePage . forex little high concierge take fee unlike exchange money airport . the room clean , spacious , cozy comfortable . bathroom also nice favorite place , bathtub complete hot cold water . tap shower get good supply water . night water dirty inform we advance fix pipe tank . always leave note say time repair would take place time water would available . room 16th floor pretty much good view city especially night . food . superb . look forward breakfast every morning Square . many choice western eastern breakfast . breakfast die . european supervisor make we feel comfortable always offer we coffee could ask staff instead . not catch name include photo . the staff great . would like commend housekeeper 16th floor . roommate leave wallet bed money ( US dollar yuan ) . quite worried chance go back . arrive evening , wallet beside bathroom sink . talk honesty . Kudos housekeeping staff . the so - bad side . picture quality tv bad . english channel choose . bar inspect check . empty can inside fridge soda stain . find last day . lucky charge we . indoor pool close midnight , time chance swim . hope open whole day round . overall , yeah , love . ' m look forward next visit sometime next year . 
 Sep 24 2008 	 Nice Hotel good location 	 hotel really central location brilliant access mall , forbid city etc . whilst go Badling section great wall , hire private taxi wait . cost we £ 50 day , way also get chance stop olympic stadium paralympic . zoo 15 min away hotel cost £ 2 get , good go see panda . do not think much food hotel outside really that s mainly food different idea chinese food adventurous eat will not short somewhere go ! ! ever go would stay hotel , room fine , clean everything need . 
 Sep 17 2008 	 do not quite live 4 star rating 	 stay hotel agent recomendation , do not quite live 4 star reputation . superior room book , do not expect much , check room say dissapointe . room could fit double bed , much , dark , dank , old.i ask change room , credit swap twin room , big , even two double bed . couch , great view 15 th floor , clean . would expect 4 star hotel.breakfast include , 6 day stay , eat brakfast everymorine hotel , buffet style , one well see . lot choice , hot , fresh.hotel wanfujing area , close everything . walk forbid city , close 3 different metro station , well locate . hotel currency exchange desk , concierge helpful time ... security abit overbearing time , stop we 3 nigh 6 , come back hotel late night . check room 2 people .. wise nice place stay , think 3.5 star good 
 Aug 27 2008 	 Modern hotel great location ... mishap 	 decide book hotel base Novotel name ( consistent , mid - range quality ) location ( convenient main attraction ) overall disappointed . modern , feel safe , seem well - maintain clean . room spacious well - appoint staff ( speak excellent English ) helpful . I would recommend place subject certain caveat : hard bed . bed mind - bogglingly hard . personally not problem , drive wife nut hardly sleep whole time . something bear mind . the food . restaurant try bit everything , food court - style , not really manage all . great Wall trip . concierge organise car driver take we Great Wall . previous trip , hire taxi quite inexpensively , time , lure apparent ease arrangement . wrong wrong wrong . trip organise round driver 's schedule rather involve addition Great Wall Summer Palace want see , several stop jade factory like run mate want see . first place play along , amuse want lunch friend 's restaurant ( break sandwich ) distinctly unimpressed get kickback second factory since not buy anything . reward dreadful driving imagine ... be talk narrow hilside road , wrong side take key ignition move start mess phone ... 50 mph ... make stop . pleasant experience , least arrangement cash safe arrival back hotel . why relate story ? well hold hotel responsible recommend lunatic downright dangerous drive interest & quot ; commission & quot ; unwanted stop something reflect badly hotel . the surrounding . area hotel locate massively re - develop recent year whilst indeed convenient walk Tiananmen Square example ( around 15 minute ) , surrounding lack charm whilst personally not mind , look & quot ; authentic & quot ; chinese experience , may disappoint . 
 Jul 23 2008 	 good mid - range hotel - food terrible 	 spend four night hotel . good location shop within half hour walking distance Forbidden City . lot staff overly helpful . try coffee shop twice quick meal food disappoint chinese western - bland tasteless - cheap well quality find outside . two english language tv channel . room clean comfortable . overall , typical Novotel . 
 Jul 9 2008 	 great hotel 	 spend three night Novotel Peace Beijing , July4 - 7 , 2008 . hotel lobby nice clean , front desk helpful . currency exchange available , also business center . concierge , helpful restaurant , tour Great Wall sight . must try Peking duck , world . room clean spacious , although carpeting bathroom fixture need update . big advantage hotel , location , location , location . two block Beijing 's # 1 shopping street , Wangfujing . 10 minute walk Forbidden City . Pearl Market Yashow Market , short cab ride away ( 20 rmb ) . bring extra luggage , need shopping . enjoy ... 
 Jul 4 2008 	 good choice central Beijing 	 Novotel Peace Beijing nice , mid - range hotel reasonably price good location . main restaurant offer excellent buffet - style meal offer western chinese dish , lot cook - to - order item . room bit date , part , reasonably spacious ( room new wing small ) . one problem springtime hotel 's air conditioning yet room stuffy since window not open ( except new wing ) .The lobby attractive offer free wireless internet access ( internet access room available daily fee ) .Serivce friendly helpful . 
 Jul 2 2008 	 Novotel Peace Beijing Wangfujing district 	 recently stay Novotel Beijing , find good . clean , staff speak excellent English ( french ) helpful . location almost perfect - right next Wanfujing Station easy access , plus 10 minute walk Tiananmen Square Forbidden City . be also across road couple shopping center well many restaurant - Peking Duck 3 time ! 's also MacDonalds , Pizza Hut , KFC , Starbucks Haagen Daas need Western Food . there free wireless access lobby , plus 2 Apple Macs set free internet access well . we stay King size room flat - screen tv , although 3 english channel . room large , comfortable , clean . shower pressure good ( mention ' ve lose count shower dribble hotel room ) . room back hotel quiet . we not eat hotel plenty place road . highly recommend , though expensive . 
 May 24 2008 	 nice place 	 stay 3 night . hotel great location , perfect breakfast , good clean room . service could better 's 5 - star hotel , right ? honest , not complain : good time . 
 Apr 19 2008 	 Ideal Place stay Beijing 	 agree positive comment previous review , hotel ideally locate , good standard reasonably price ( one premier room ) concierge desk helpful arrange day trip Great Wall , Summer Palace quick look Olympic Stadium . arrange driver take we stay location finish 600 Yuan ( £ 50 ) pay upon return hotel . also give we good advice use taxi 's ie say & quot ; turn meter & quot ; suggest make note registration number complaint could make feel overcharge . also card hotel name chinese useful show taxi driver try return end long day . the breakfast great much choice ( include delicious cooked order pancake ) although feel buffett dinner perhaps quite standard little pricey side compare outside ( still £ 60 three us ) . want good chinese food ( confirm number local eat ) Xiu Lan excellent average dish cost less £ 4 portion generous , beer £ 1 600ml bottle . service excellent couple waiter speak little english ( hotel , turn leave approx 100 m leave ) planning go Beijing would recommend hotel ideal base . leave erect cover main entrance , receive note last day say window clean , not let put . 
 Apr 17 2008 	 job 	 Stayed night hotel overall decent enough . book double room none available upgrade suite appreciate . room spacious unfortunately little grubby place bad . bed hard issue sleep . actual décor little 1970 ; brown colour scheme ( classy way either ) cheap upholstery . breakfast buffet style pretty good . the location fine ready supply meter taxi drive past could flag . get hotel write piece paper want go hotel name well get back ! book holiday package two day pre - booked sightseeing guide driver . ok get drag usual shop / factory feed pretty poor food . last two day get touch Sophia ( [ -- ] ) independent guide . charge £ 30 per day well worth . ' take see want , take proper chinese restaurant drag round shop factory . one piece advice tourist go Beijing would drop travel agent . book flight hotel . get taxi airport ( really easy , safe cheap ) book independent guide . ' get much holiday . other usual tourist stuff also visit Chuandixia village . read internet think go real chinese village beat track . 2.5 hour drive get village farming give way tourism . pretty building original ' cater towards tourist really worth drive . would also recommend Beihai park . much much quieter forbid city opinion interesting . 
 Apr 11 2008 	 average hotel nice lobby 	 pick hotel close wangfuje area ( walk take 10 minute ) . stay April 2007 . right behind Hutong - like area , cater tourist . around hotel , place could buy food provision , restaurant . see interesting thing , like man set business side road repair bicycle . hotel nice marbled lobby , quite busy . check - in efficient , assign room , ask non - smoking room . , take change non - smoking one . room ok , light furnishing decor . one problem sheet , soil wash properly . service would expect Novotel hotel - good . apart lobby , corridor narrow look tired . breakfast include room pricey budget , get fresh baked bread shop round corner . ask porter could go sample famous Beijing duck , direct we famous restaurant chain Beijing . duck , pricey Beijing standard . surprisingly , catered tourist . last day , find restaurant right next hotel serve Beijing duck half price . , good stay Novotel Peace , arguably well choice around . 
 Apr 3 2008 	 great base see Bejing 	 stay hotel 3 night whilst honeymoon Sept'07 . room clean comfy en - suite great walkin shower , welcome hot summer day explore city . lot choice breakfast ( waffle , fruit , bacon , egg fry rice ) . hotel staff helpful arranged taxi 's we make day trip easy . good location explore city - 10 minute walk Wanfujing Street ( modern shopping street ) . even walk back Tiananmen Square one day - be go make sure be wear comfy shoe ! hotel nice bar unwind evening - have often pianist playing - much husband 's delight internet cafe well . we would recommend hotel anyone look good base see Bejing . 
 Mar 29 2008 	 terrible service management 	 stay hotel marriage anniversary trip month . experience terrible though sure unfortunate hotel 's service problematic . room executive room nice plasma tv free access executive lounge breakfast early evening snack / drink . breakfast snack / drink terrific . , executive room guest two option breakfast , either 1st floor main restaurant 19th floor lounge . anyone stay three night , two option make breakfast experience much enjoyable . hotel terrific location . easy access wangfuje , Tiananmen , Lama Temple Temple Heaven ( newly open subway # 5 ) . throughout Dongdan Dongsi street ( less quarter mile east hotel ) , traveler find many interesting small , independent artistic shop ethnic cloth , bag etc . hotel facility somewhat outdate acceptable . see hotel try hard keep new facility . executive room recently update many comfortable feature . nevertheless , would recommend hotel anyone follow reason ( order minor major problem ) .1 . arrive , receive letter indicate variety executive room previlige , include newspaper every morning . strangely , never deliver newspaper room 18th floor . complain recieve . 2 . use hotel 's tour service . go Great Wall Ming Tombs service . group 6 leave 30 min promise departure time . 40mins visit Ming Tombs , bus stop two shop waste two hour . , go lunch bad chinese food life . due early & quot ; forced & quot ; visit shop , lunch time less 25 min . , go Great Wall . guide give we less one half hour . busy picture taking , bus visit another shop ! - time , ridiculously overprice tea shop middle nowhere . group finish shopping & quot ; obiligation & quot ; , Beijing already full traffic jam . guide driver ask wife take taxi go back since other ' hotel locate different direction . gruesome even though tour guide find taxi pay advance return trip . 8 6:30 pm , actual cultural experience Ming Tombs Great Wall last less two half hour . consider re - direction other , force shop three different shop cost we four hour . terrible service , charge 350 RMB p / p . cheap group tour ( usually 150 - 200 rmb ) Great Wall , experience may unacceptable . nevertheless , price offer hotel , simply unaccetable / disgusting/ horrible experience . strongly complain hotel manager offer two ticket Peking Opera next night . reason complain accept offer wife want see disturbance trip . 3 . bathroom two problem . water drain shower booth work well sometimes ( always ) . guess tend flood room use shower booth together . sometimes stop warter drain . Glass wall show booth fully water proof . shower , whole bathroom floor wet . complain problem couple time . first problem , get answer could find problem . suggest theory - drain problem occur many room use shower booth time . , say , & quot ; control room ' use shower booth . & quot ; quite compelling explanation ! never attend second problem leave . 4 . book hotel believe hotel eqippe bidet ( many website list include expedia ; someone also mention ) . need medical reason . hence , cancel original reservation Park Plaza book hotel though hotel 50 $ /per night expensive . could see bidet bathroom . go executive reception desk . know bidet . phone call , attendant explain hotel use anymore . though unlucky . two day leave , go meet assistant manager complain three problem mention . end discussion , briefly mention disappointment unavailability bidet room . manager surprise . say , & quot ; actually room it . & quot ; dismay . room , offer option check ? really furious protest seriously . next morning , meet guestroom manager protest . apologize offer new room . take want pack move one night ( baggage ) . instead offer 10 % discount . meager consider trouble . accept . stay could happy - end next experience happen ( # 5 ) 5 . check , executive floor manager say & quot ; give 10 % discount trouble water drain newspaper delivery . & quot ; replied & quot ; , receive discount newspaper drain . & quot ; bidet & quot ; & quot ; . manager say , & quot ; bidet ? & quot ; entirely lose . seem people hotel communicating . guess source trouble hotel . explain unhappy ? room rate slightly $ 200 & quot ; generous discount . & quot ; find hotel serious problem term communication management . seem hotel mainly group tourist Air France employee anyway . individual traveler sure . 
 Mar 6 2008 	 Nice stay 	 perfectly good hotel . Handy Forbidden City Tiananmen SQ . premier room excellent plasma screen huge bed nice robe etc . problem . breakfast good breakfast room restaurant night . lack atmosphere night go & quot ; Le Cabernet & quot ; french restaurant attach hotel outside right . nice young french manager great food well price hotel restaurant . one tip want go great wall summer palace not book coach trip word concierge really good . taxi 600 Yuan ( £ 40 ) day take we wall 1 - 2 hour drive away - the Mutianyu part less touristy Badaling- wait drive we summer palace wait till fifnishe pay hotel arrive back . even take we Bird 's nest Olympic stadium . great experience round . 
 Feb 28 2008 	 Great Hotel Location 	 check Novotel Peace Beijing extremely pleased stay . book Executive Floor room well worth additional US $ 20 price include free internet service , evening cocktail / appetizer full hot breakfast 19th floor Club Room expansive view Forbidden City look west overy Beijing . the hotel also extremely well situated heart Beijing , 15 - 20 minute walk distance Tianamen Square entrance Forbidden City . 's also close proximity wangfuje pedestrian shopping street . subway 5 minute walk away . Cab Beijing Capital Airport 100 rmb . ask information desk airport write name hotel Chinese give cab driver . be locate outside arrival area . the guest room amazingly well appoint recently renovate , least executive floor ( 17 ) . would easy mistake room one W hotel major city . contemporary upscale furnishing include king bed , sofa coffee table . asian hotel , service great complimentary bathroom amenity galore , tea / coffee service , robe , slipper turn service . staff even fold clothe leave bed come turndown service ! cost room affordable central Beijiing 1100 rmb per night . the buffet restaurant great job provide nice selection western asian fare US $ 30 dinner . number vegetarian option . only couple minor downside ... bed must one hard ' ve ever sleep . fitness center terribly large limited amount equipment use . smoking permit lobby area get little overwhelming . tour desk front desk staff speak adequate english . look large group Air France crew frequent hotel . move large number . 
 Feb 4 2008 	 Good Hotel 	 choose Hotel follow review Website , stay day stopover London Sydney . I go Executive Suite , yet follow advice website . room great , two LCD tv , King Size bed , Air Con work , could not fault anyway . I use Exec Lounge inc Breakfast Evening Buffet good . fault would say , buffet , go wrong time food could little cold side . I use concierge service downstair sort couple day trip , exceptionally helpful . think around £ 45 nice car driver day . would recommend get Mr Kong , english excellent take nice authentic chinese lunch . I use 24 hr Restaurant leave , nice really thing . would recommend stay good . probably lack little atmosphere formal 's thing , well fair enough . 
 Jan 26 2008 	 new renovation 	 stay hotel last year decide book hotel executive leve . disappoint . check 19th floor give room 16th floor great view . breakfast executive level nice plenty food custom order breakfast . plenty coffee , juice , fruit , pastry chinese fare well available . room nice new bathroom rain shower nicely appoint . everything look ready Olympics staff great . highly recommend hotel location helpful staff . 
 Jan 9 2008 	 great value Location 	 book stay Accor centralize hotline , convenient . find stay pleasant one , excellent value money . location top notch , stone ' throw wangfuje many taxis area . certainly well choice tourist overprice Penninsula across road . we upgrade , room ( newly renovate West Wing ) excellent , large separate living room / tv area , small bathroom , adjoin big bedroom space . lack space , except perhaps cramp bathroom ( tub , shower ) . room clean comfortable , probably worth price pay . breakfast good spread Continental , american ( awful ) asian dish . crepe / waffle station highlight . service moderately displease , immensely . although book twin / double room , clearly state reservation , reception insist b ' fast one include , chargeable ( dispute , eventually ) . apart service hiccup , staff great , especially taxi / bell boy luggage service . overall recommend choice value - conscious traveler . 
 Dec 30 2007 	 good hotel good location good value 	 love : - central location wangfuje : short walk Forbidden City , night market , great shopping etc ... - wonderful buffet breakfast French flair eg crepe delicious croissant among many stuff.- comfortable room , friendly staff- cheap get comparison similar neighboring hotel 
 Dec 1 2007 	 great hotel great price 	 stay Novotel Peace great . room comfortable great view Beijing . staff first class ! English great always willing help . hotel clean well maintain . buffet breakfast nice always look fresh . bar also nice great view outside . overall good hotel return Beijing Feb 08 stay . 
 Nov 25 2007 	 good location 	 travel business stay four night hotel . good location close Wanfujin St within 20 min walking distance Tianamen / forbid city entrance . get good reception able check early ( 10 morning ) . room second floor immaculately clean bathroom . spite sign warn noise disturbance due reconstruction hotel nothing hear . view could exciting service offer early check worth see Tianamen sq . concierge desk helpful practicality map , shopping info , direction etc . the breakfast good offer av variety thing . I would definitely stay . 
 Oct 31 2007 	 regular guest 	 husband live hour drive Beijing CBD . attempt regularly weekend Beijing Peace Novotel favourite hotel . stay five occasion time pleasant experience . twice fortunate upgrade lovely 17th floor suit standard room pleasant enough . continue treat Peace Novotel ' holiday home' . in order priority , main reason stay : cleanliness , meal , comfort , pool , staff , location , price , coffee , wine selection . 
 Oct 22 2007 	 great stay Centre Beijing 	 want something centre Beijing fit bill perfectly ; hundred meter night market main shopping pedestrian area- may sound much Beijing be not easy city walk around place walk evening great . room quite small nicely ( newly ) fit facilite good - pool , small gym etc . breakfast buffet great well . staff v friendly concierge come great restaurant recs nearby . 
 Oct 20 2007 	 Good Base 	 book stay travel agent sure pay . call Superior Room ( Room 2202 ) much like would expect Standard Room ( maybe call standard room superior - go deluxe , etc ) anyway , could not actually fault room . comfortable clean good bathroom . call & quot ; Superior & quot ; disappointed size - even table chair - certainly outlook . however , Hotel otherwise faultless . right time check staff oblige - conceirge staff outstanding . determine everything join tourist group take guide , without help conceirge staff maybe would not manage well . as example , want go Great Wall somewhere hoard tourist not go . arrange car take we Simatai , climb Wall highlight whole stay China . cost 800 Yuan full day . the location hotel spot . walk Tiananmen Square Forbidden City , adjoin two garden . good shopping , small restaurant , night food market , etc . nearby . go afield , taxis ever cheap . hotel provide card name location write chinese , overleaf name location 15 site also chinese English . invaluable . Hotel also provide good map . nothing seem much trouble they . breakfast excellent . take age hot water come ( sometimes 5 minute ) . come perfect . however Hotel must enormously excessive water usage this . would definitely recommend Hotel stay . 
 Oct 12 2007 	 centralized hotel 	 apparently , rock bottom pre - pay rate guarantee accorhotels-asia.com pre - pay situation . pay upon check - in : bring copy print reservation rate . love fact kid eat free b'fast selection extensive ( AF crew stay ) . bed firm ( bounce coin ) . Least troublesome hotel among Accor brand entire trip . good location close everything . OBTW , be fly Beijing airport late , go hotel arrange shuttle van . need give unfamiliar direction taxi driver . 
 Sep 9 2007 	 Fantastic Hotel Excellent Service 	 lone woman traveller read many review hotel China choose one . pleasantly surprised hotel , would highly recommend . 4 night , room look onto front hotel , able open window , even though building work go next door , hotel advise note leave room . room clean , quite spacious , bathroom amazing huge shower room always clean replenish daily . english spoken lot staff , use business centre twice daily never problem . breakfast excellent , hotel use Air France crew breakfast include french crepe . able sit bar evening write diary make feel welcome bar staff extremely attentive . one evening eat french restaurant attach hotel , food service second none . location hotel main reason choose , walk Forbidden City take half hour wangfujue Street , Night Market along hotel experience see , taxis readily available travel , meet friend China hotel rang friend gain direction taxi driver . would hearily recommend hotel other , carpet corridor hotel stain , otherwise extremely clean , friendly , welcoming . 
 Aug 28 2007 	 good value money 	 Novotel PeaceSpend 8 night Novotel Peace recommend . room might appear bit tired , spacious , sofa table , toiletry article sufficient re - supply daily . 2 complimetary water bottle , a / c work well , could even open window . nice little sit area create couch , armchair coffee table could sit evening . tv unfortunately offer small selection english channel ( BBC chinese channel feature English program ) , german channel . Bathroom appear clean quite spacious ( separate room shower loo bidet – quite practical actually ! ) . Shower head high enough position european height , could unfortunately remove . noise outside morning . location terrific , close ( walk distance ) Metro , many huge shopping center well Forbidden City Tiananmen Square . also restaurant hotel ( try Qunjude Roast Duck restaurant 9 Shuaifuyuan Hutong , [ -- ] – small hutong next Shopping Centre Oriental Plaza can . 5 min . walk hotel ) . find restaurant away turn problematic , since taxi driver speak English unless address want go write Chinese , would recommend attempt communicate taxi driver ( least day one taxi driver drive we around around hotel , refuse listen telling although address – also , beware , driver tend approach location basically straight line hotel circle around town … . luckily , taxi still cheap ) . Hotel also french restaurant next door serve food till little 11 pm – pizza delicious large enough 2 people share . taxi 10 min . taxi Silk Market ( traffic jam … . ) cost somewhere 1.5 - 2.5 Euro ( depend traffic . Pearl Market 2 - 3 Euros . leave market , avoid leave shop close find taxi hard . use taxis meter beware driver want charge 20 30 Euro drive ! enjoy hotel swimming pool ( even indoor , deep beautifully decorate ) stay open 10 pm , make possible go sightseeing , shopping dinner enjoy evening swim . also nice hotel provide Jacuzzi sauna gym ( free charge ) . dislike woman swim clothe one really care report . case , existence late pool must ideal familiesbreakfast good , except coffee . sadly , chinese dish state whether suitable vegetarian staff speak English ) ) . nice touch – weekend remain open long . restaurant breakfast serve big sunny . also , smoking section , make smoker happy . staff polite , people could really speak English , effort make come understand we . recommend hotel young old people , business traveler , family etc . would definitely stay . 
 Aug 26 2007 	 Loved Novotel Peace 	 stay 4 night think accommodation top class . because Beijing price low compare home town ( London , UK ) feel able splash top range accommodation . top floor call & quot ; executive & quot ; breakfast floor ( great view , 19th floor : see roof Forbidden City ) . 6 8 every evening Happy Hour get free food wine ( mostly european food ) .so great time , must emphasise good accommodation hotel offer . even free internet connection ( not even get Novotel high tech Singapore ) . suite , two large room plus large bathroom . everything work fine . 18th floor great view ( much see , give pollution , be something else ... ) . bed extremely large ... extremely hard . imagine bother people . really enjoy firm mattress not mind . we one evening meal hotel restaurant ground floor . food mostly western quite poor quality . 's decent souvenir shop available too . I choose hotel location . 's walk distance Forbidden City . be Tianeman Sq certainly doable . take cab Temple Heaven , be bit . taxi come hotel whole time cheap . the hotel right wangfuje busy pedestrianise shopping street . popular Saturday night ! also close food market street . walk market throng chinese early Saturday evening . hideous looking & quot ; food & quot ; sale ... western perspective , . not mind take photo . unfortunately , prostitute hang near hotel . also , Westerners constantly approach young people claim student , always ask & quot ; ? ? & quot ; tell want practise English . one pair admit really try coax go art gallery . get annoying . I decide book guide tour abroad ' m sure save lot money . book tour hotel . go another couple guide driver Ming Tombs ( remember ask take we Spirit Way amazing statue ) Great Wall . whole day 's travel , we , extremely cheap . also , go Hutong Tour take round living quarter old Beijing . excellent . a quick tip Forbidden City . go main entrance , approach English speaking guide , ask see badge . book personal tour . be cheap excellent service first person appoach we . need book formal guide tour load people . and go Temple Heaven park Saturday morning see people tai chi group singe revolutionary song together . 
 Aug 18 2007 	 good 	 another bad Novotel hotel . stay one Paris ( Novotel Eiffel ) - know well . supposedly 4 star ... stretch . service so - so . save grace western / asian breakfast . bathroom moldy - room 1306 . true other group upgrade , . guessing do selectively . elaborate . 
 Aug 11 2007 	 good deal would return 	 stay hotel March 2007 , find perfect need . when first arrive place smoking room ( Australia forget smoke hotel room overseas ) , however ask change non - smoking room problem . the buffet breakfast morning excellent - plenty variety food fresh . the staff quite clueless , experience quite normal China . not expect able answer query deviate obvious , remind speak english . the room clean service daily . we one problem international phonecard , buy shop outside hotel , call home . phonecard work hotel phone ( staff could explain seem surprised not work ) . international phonecard work public phone either ( take domestic phonecard ) . result we $ 50AUD phonecard could use could return . hotel assure we problem occur before . I suggest buy phonecard call back home ( much cheap use hotel 's rate ) buy shop hotel , get assure return work . 
 Jul 11 2007 	 wonderful stay Novotal Peace Beijing 	 tourist friendly hotel excellent location ( walk distance Forbidden City ) . staff competent ( hotel guest could ask well service provide hotel 's staff ) , deluxe room stay perfect . tourist information lobby also helpful . definitely stay spectacular hotel . 
 Jul 9 2007 	 great room location shoddy service 	 Novotel Peace first stop two - weeklong trip China . hotel impressive lobby spacious room . area hotel clean maintain , relief come back smoggy day Beijing . much variety available breakfast buffet , though rather overprice . however , service another story . bellboy agenda try several occasion persuade we order all - day touring taxi . Business Center attendant seem hate job make obvious visit . tour Great Wall ( Mutianyu ) arrange hotel small site disappoint . however , guide babble begin stone - silent reach site afterwards . would like informative guide , book tour Novotel Peace . 
 Jul 2 2007 	 recommend 	 stay four day . lot problem we . check - in easy give we room request : inter - connecting room room window ( read review ! ) . however , upon arrive room , find room dirty outdate . stay 4 year undergo renovation , wonder room still old . give one big corner room ( might suite ) one standard room . bed hard . air - con suite room seem work problem hot summer day ! breakfast real chaos ; book via official site state child 16 pay breakfast . however , get breakfast restaurant , tell we child pay ! people work could speak english keep insist & quot ; child not pay half price & quot ; not even say . last go back room fetch booking statement print . waitress ask we go receptionist ! row first receptionist , see statement , tell we breakfast free order breakfast first internet . ridiculous , seeing stay various Novotels not encounter problem . finally finally temper real , give pay adult . time get find breakfast not special all . overall stay not pleasing -- hot weather useless aircon , outdated room . make bad day leave , realize room already update modern plasma tv stuff . 
 Jun 22 2007 	 excellent cheap central 	 think really lovely hotel . central , cheap , clean comfortable . stay 3 June 07 4 night . contact hotel advance ask early entry room , problem . staff polite , speak good english helpfull . lobby nice room clean . one thing would comment , lift side building , however , bell service bring case not need carry ! oh first sit bed , feel like solid rock , however , find surprisingly comfy ! breakfast bit hit miss . really good selection , find morning cold . freshly make omlette , pancake , however , pancake usually sit . swimming pool , however , not even see , let alone use , can not comment . would definately stay , 2 min walk central shopping street , 5 min walk near tube & amp ; 15 min walk Forbidden City . 
 Jun 9 2007 	 rather bland hotel 	 stay Novotel Peace Hotel 3nights Apr07 . hotel lobby probably well feature entire hotel . request non - smoking floor on - line reservation give smoking room . ask non - smoking room , weret tell wait least another 2hrs . young child we , age 6 & amp ; 9 yrs old come overnight flight decide take room . room spartan small window overlook delivery truck come hotel . white linen sofabe brown stain one guess ! however , ouse keep come change sheet promptly . hotel 12minutes walk Wangfujing . food restaurant . stay hotel ? unlikely . Janet Australia 
 Jun 7 2007 	 good value location 	 first hotel China . nice suite reasonable price . locate centrally near Snack street , Forbidden City Wangfujing . short taxi ride site far away walk . helpfull staff great buffet , although little pricey . since sure what / where eat first day eat hugh breakfast take apple banana us lunch . our last day , store luggage day cost ontil return pick up . all nice place . 
 May 15 2007 	 window ! 	 location good , central . room awful . first room not window , move room blank brick wall 30 cm away window , move another room toilet permanently block . toilets lobby also block , obviously problem plumbing . bed typical chinese - hard rock . sure well option Beijing . 
 Apr 26 2007 	 great location 	 four star hotel good value great location opposite far expensive Peninsular . walk , quite long walk , Forbidden City ( take cab ) room quite comfortable . fortunate upgrade suite find window suite . seriously window big suite . like cave . the buffet breakfast one good book make sure include room rate . many alternative near by . the bathroom good size athough not understand hotel put rain shower head limit flow water . 
 Apr 18 2007 	 Novotel excellent location 	 stay 4 night , 9 - 12 April , 2007 . staff great , arrange excellent english speaking driver take we Great Wall site around Beijing include acrobatic kungfu show - actually good . hotel busy , tourist rather business base . excellent location , within easy walk distance major shopping street , Forbidden City , Tiananmen Square night food market . taxi easy cheap get destination . the room stay & quot ; deluxe & quot ; CNY884.40 plus 226 rollaway bed [ 3 we ] . corner room plenty space view towards Forbidden City . decor little tired . tell renovation underway might disturb day never notice anything . bathroom spacious bit dingy rundown . not matter though , happy stay would return - unless Peninsula Palace road give away room ! Regent also close . breakfast buffet good , although expensive chinese restaurant criterion , standard China . particularly like crepe chocolate ! swim pool indoor adequate size good spa next . 
 Apr 16 2007 	 Decent Hotel 	 weekend stay Novotel Peace Hotel . location quite good . 5 minute major pedestrian shopping district 20 - 25 minute walk South Gate Forbidden City . staff nice . lady check speak solid English noticed person check beside also staff member speak solid English . staff trouble speak English ( however , speak English speak Mandarin ) , always someone near work assist run trouble . the room little old fancy , adequate clean . room would consider room romantic getaway , tourist , fit bill completely . washroom also clean amenity provide washroom decent ( toothbrush , ear bud include ) . 2 bottle water ( ~300ml ) provide recommend use tap water China . hotel breakfast excellent . buffet chinese western food provide . get fresh fruit , pancake , french toast , toast , egg , bacon , etc . checkout simple fast . front desk staff enough people guest stay wait long . also help provide map direction local sight Beijing . a tour desk find lobby case would like sign city tour extend tour outside city . 
 Apr 12 2007 	 good location old dirty room 	 Hotel well locate practically everything accessible . problem check , theycould not find reservation even receipt Ref . number .. poor performance staff section . first impressionat lobby great enter room old , dirty terrible view old house 's roof . bath enough clean , specially show area . heating work properly room , cold . person charge Business Center , chinese lady rude lack customer focus . initial word & quot ; want use internet aware cost 2 yuan ( $ 0.25 ) per minute & quot ; .The main restaurant good . excellent buffet main value hotel location , not quality service Novotel Hotal Chain . first time highly dissapointe Novotel Hotel , cheap ! 
 Feb 6 2007 	 good value money 	 Hotels quite expensive Beijing give good rate get internet book hotel , room amnetie expectation . give standard double room recently renovate section room comfortable . however , problem shower room door prove dangerous required move another room . reluctant 2 night persist give small suite extra cost . overall , service good price drink lobby lounge reasonable compare hotel restaurant . previously stay Beijing Hotel double price find Novotel much well deal . 
