boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Jun 9 2009 	 great little hotel full character 	 wery pleasant hotel botique stylle . comfortable roomsstaff helpful friendly approachHandy Union square public transportwelcome drink evening appreciatedcolin Yvonne Fowler 
 Jun 8 2009 	 another great Stay Hotel Rex 	 good , favorite boutique hotel San Francisco . less full block Union Square , Hotel Rex full character . favorite part stay nightly happy hour ( charge wine ) phenomenal Friday night music library . solo traveler , grab glass wine delicious cocktail ( include ) , place order bar appetizer dinner Cafe Andree . can not ask much adult beverage , something eat , listen music feel like living room . Rex well . 
 Jun 5 2009 	 Fabulous Botique Hotel 	 hotel theme like inside New Yorker magazine . 2 block Union Square . stay three night . room large , bathroom huge , service terrific . enjoyed stay much . check web site information . even sign free & quot ; San Fransisco Greeter & quot ; service , volunteer resident meet hotel lobby 2 - 3 hour tour San Francisco . good part pre - arranged tour , choose part San Francisco tour ( SF bus / subway system great ) . 
 May 26 2009 	 excellent value heart SF . 	 wife make spontaneous weekend trip San Francisco , short notice able get room Hotel Rex , right heart Union Square . location excellent , minute walk ( ~5 block , memory serve ) , Powell St. BART station . the room cozy comfortable , bathroom clean ample wife . free internet access - fast connection , serve passably well . for price location , excellent find downtown SF . 
 May 25 2009 	 Miss Hotel Rex 	 first trip San Francisco Hotel Rex meet every expectation . location great . room clean . staff friendly helpful . enjoy complimentary glass wine night . especially miss Max . Pug sit hotel lobby almost every day . hotel great literary theme . lounge comfortable inviting . many time , seem lounge fill patron even stay hotel . always good sign . return San Francisco , sure stay Hotel Rex . 
 may 24 2009 	 critic 	 spend week may cute hotel . second time ( first year ago ) , compare : ) nothing change - almost perfect . service , staff , bar lobby , always clean . ... room need renovation , garbage stand opposite exit every evening , absence ash try street . small thing , important . care , love way . will try add photo later . 
 May 19 2009 	 Happy Rex 	 Rex charming boutique hotel play literary theme shelf interesting old book quote author like Jack London paint wall elevator . room king , roomy comfortable . wine evening nice touch , give we chance meet guest , several Europe . the staff helpful , give we great suggestion dinner ( spanish restaurant Belden Alley ) breakfast ( Dottie 's true Blue ) . love location -- 1.5 block Union Square . not bring car find really easy get around use public transit two foot . ready book queen room online Wednesday , not , Friday night call hotel directly ask good rate could give king Saturday night . get rate $ 35 less would pay queen . I would love stay , also want try Joie de Vivre property San Francisco . ' ve stay property appreciate charm attention detail put . 
 May 13 2009 	 Second Honeymooners 	 husband stay Rex Hotel 3 night way back New York . Rex Hotel arty kind groovy hotel great lounge / bar area happy hour serve free drink guest 5.00 -7.00 pm . room lovely location fantastic - block Union Square Macy 's fantastic shop . staff friendly happy us store luggage last day not fly till late night . last night string quartet play follow jazz singer happy hour - lovely hotel ! 
 Apr 28 2009 	 great little hotel 	 love Hotel Rex . ' stay three time past year continue enchant place . room small side , tastefully decorate spotlessly clean . internet access free . bed comfortable . lobby open bar quite cozy -- guest receive complimentary glass wine 5 6 every evening . guest also pick free NY Times newspaper day . location fabulous . ' block Union Square building Lori ' Diner , great place breakfast . staff consistently friendly helpful . also like fact Rex literary pretention . book line wall lobby floor boast wall paint quote famous San Francisco writer . 
 Apr 22 2009 	 Excellent service 	 first stop flight Sydney arrive Hotel Rex front desk crumple jet lag 14 - hour flight 40 - min BART ride airport . check not 3 pm give we room 12 noon , also upgrade we . fantastic bit service make huge difference time San Fran . hotel room lot character , bed comfortable , firm mattress . nothing negative say Hotel Rex . hope enjoy much . 
 Mar 31 2009 	 romantic Getaway 	 first time stay celebrate anniversary literary theme / artsy decor appeal we . hotel quickly become new favorite place stay . staff friendly & amp ; accomodating . arrive early allow early check , room beautifully decorate hand paint lamp shade real glass drink ; wet bar , snack tray , robe slipper provide sure meet Maximillion pug . come back room day pier meet iced champagne card congratulate we anniversary -- nice touch ! bring car prepare $ 35 garage parking fee ( taxis ) /24 hrs priveledge preferred take taxi trolley half block away . great location close shopping , theatre , restaurant . definitely back ! 
 Mar 18 2009 	 Convenient 	 well , first , say love Max ( Pug ) . hotel close public transportation , good food , shopping , everything ! ! ! staff could not nicer accommodate . two night , get enjoy one wine night . another plus . happy traveler Happy Hour . visit nearby famous Drake St. Francis glad small place . location , location . nice staff . sweet dog ! ! ! 
 Mar 17 2009 	 excellent room wonderfull staff great location ! 	 staff make feel home , good advice restaurant trip love atmosphere hotel , free internet wide nicely decorate room , wine late afternoon , music Friday , great ! 
 Mar 13 2009 	 # 1 pick affordable San Francisco hotel 	 ' ve come San Francisco frequently two year far good place ' ve stay . first , extremely well locate safe , clean , reasonably quiet block Sutter Street , 1 1/2 block Union Square . walk shopping , theater , Chinatown , Financial District , cable car bus step away . single female traveler , feel safe street hotel room . right season , stay incredible $ 104 night room $ 250 + night summer . decor beautiful stylish , bright South France color . cheerful . staff friendly helpful . room large ( downtown San Francisco standard ) . ' m stay month work leisure spend fair amount time room work laptop . plenty space work without cramp . there restaurant hotel serve breakfast dinner also room service . food good . , many nearby inexpensive option close walk distance . this comfortable long - term stay , well good price could find . 
 Mar 9 2009 	 Met expectations/ 	 great time -- nothing specifically & quot ; write home & quot ; , great location , clean , friendly , safe internet printer print flight boarding pass . we grill front desk lot dinner option , always please choice . would return again- know would dissapointe . 
 Feb 24 2009 	 good hotel . 	 good hotel- excellent location friendly helpful staff . order room service come little cold , tired make fuss ! pretty nice food though . nonetheless hotel neat , clean comfortable . massive lcd screen tv bedroom , nice . hotel also office room mac could use . would recommend hotel friend . 
 Feb 19 2009 	 break thermostat leave cold 	 Drat . really look forward romantic Valentine 's Day getaway husband . plan last minute . book package flight hotel online service . variety hotel choose , course check Trip Advisor see one good . Hotel Rex seem like great romantic choice . love old house . ' ve stay old european hotel . know expect character , modern perfection . our first impression good one . clerk prompt helpful . lobby cozy inviting . arrive late , bar close , seem wonderful . size room little bit disappointing , happy find flat screen tv , alarm clock accommodate iPod , light makeup mirror . little extra make stay nice . one first negative run view . big deal , really . not go hotel gaze window . Valentine 's Day weekend miserable rainy , spend time room normally would . view brick wall . could not see sky , ground , anything either side . brick wall . comfortable place sit watch tv . want iron something , discover outlet could plug iron set iron board near . lift iron board bed set stuck corner . as might glean title post , though , bad problem thermostat simply on / off switch . temperature dial , dial make difference . turn fan , heat . swelter . turn , dreary February damp make way around charming , rustic window ( window A / C ) , find soon shiver . we arrive Friday night tell desk clerk break thermostat Saturday morning leave . hear call maintenance walk front door . return , thermostat exactly arrive . broken . tell second desk clerk break thermostat Saturday evening . tell we 's way 's suppose work . spend five minute try explain . & quot ; , be temperature dial . set dial certain number , be suppose turn heat stay temperature . & quot ; & quot ; , 's heat . & quot ; & quot ; yes , know 's heat . ' m try get blow cold air . want turn while . & quot ; & quot ; 's heat . & quot ; give . spend Saturday night turn heat off . on Sunday night sick night -- unrelated cold , good temperament -- allow serve thermostat husband get little sleep . on Monday check , try tell one clerk thermostat . politely regretfully tell yes , thermostat break . yes , know act on / Off switch . say work , don't . so know . know ! not fix ? ! ... really ... not understand . the location great . decor beautiful . linen luxurious . bar quaint -- oh ! not let forget tell complimentary glass wine night ! forgot tell we . find pick bag leave hear tell arrive guest . I would love love Hotel Rex . be almost . , along indoor plumbing ( check ! ) , expect heating system thermostat . want go camp responsible stoke extinguishing fire , would go camping . 's lot cheap . 
 Feb 8 2009 	 Good Hotel great bed excelent location ! 	 stay Rex New Year 's Eve . room nice , clean & amp ; confortable , face Sutter Street 6th floor , fantastic bed ( see picture ) . dinner Rex , food ok although took serve . dinner live music hall ( jazz ) rather cool . hotel location 's staff . staff amazing , friendly make one feel welcome . Union Square round corner , well Cable car ( corner Powel & amp ; Sutter ) . breakfast Loris , great ( check picture ) . good inexpensive food , free wireless ... highly recommend it . I would problem return Rex next trip San Francisco . 
 Feb 2 2009 	 eclectic different Rex . 	 stay hotel SF business last July ( late review ) . pick appear personal small option , prove correct . quite small room appear bit cluttered old fashion . eclectic tad bohemian appearance , display thye work local artist . staff exceptionally friendly informative wine tasting evening great way get speak people . place feel country hotel rural England . pleasant experience centre busy city . 
 Jan 23 2009 	 enjoy Hotel Rex reading book 	 visit college campus 12 year old son inspire study make plan continue high education . Hotel Rex perfect place stay promote inspiration , like bookstore library book everywhere . son like book feel ease lobby room . the staff go way kindness service , appreciate friendliness warm atmosphere , well intellectual clientele . it fun . 
 Jan 21 2009 	 Hidden Romantic Treasure 	 stay Rex several occasion enjoy ambiance room - unique , comfortable , romantic cozy , along wine reception elegant & quot ; library . & quot ; hotel hide treasure near fun part city - Union Square district , lot great restaurant nearby shopping . also , 24 hour Walgreens Drug across street . staff friendly helpful enjoy pug , & quot ; Max & quot ; seem take perpetual nap chair lobby . also , easy cheap transportation via streetcar ( Market Street - $ 1.50 ) wharf romantic cable car board nearby Powell . 
 Jan 3 2009 	 Great Location nice hotel . 	 fantastic location , really helpful staff clean room bit character . would recommend friend . 
 Dec 22 2008 	 love location Rex 	 stay Hotel Rex first part honeymoon December love ! location brilliant , second away Union Square cable car . font desk staff helpful hint tip go resturant suggestion first trip San Fran . the room nice large need facility include air con , image would need stay summer month . go dinner first night staff put bottle champagne room card honeymoon - lovely touch ! free 15 minute internet connection daily really useful love free glass wine evening ! definatly leave heart San Francisco definatly return , question stay Rex . offer something different querky normal run mill chain hotel love . 
 Dec 7 2008 	 pleasant boutique hotel convenient Union Square 	 make stopover San Francisco way back New Zealand find Hotel Rex Hip Hotels since want something bit character time bland offering Westin / Marriott / Sheraton etc . chain . Rex trick bonus convenient Union Square cable car Fisherman 's Wharf . we not actually spend much time hotel since seeng friend visit Alcatraz , see bar lobby cosy welcoming . the room small , perfectly form quite comfortable . furniture antiquey perpetuate club - like atmosphere , although begin look slightly worn . bathroom standard - issue american hotel one scary loo threatens wash away flushed . good value though definitely recommend base see downtown San Francisco . by way , hotel also convenient Sears Fine Food , well - know restaurant by - pass hotel restaurant breakfast go instead . 
 Nov 17 2008 	 Outstanding Staff 	 staff outstanding . husband always enjoy ambience , warmth charm small hotel location Square San Francisco . daughter come revisit husband 's favorite place could treat we kindness . simply stay anywhere else San Francisco ! Kudos Hotel Rex ! 
 Nov 17 2008 	 WLawson bday block weekend 	 hotel hospitality team one good ' ve ever encounter . feel like work staff Four Seasons Resort . initial contact hotel - look block room 80th birthday weekend celebration - staff great . Group sale front desk staff awesome . room well appoint boutique hotel well keep . book six room , hotel provide we fair group rate . stay city five six time year would highly rate hotel team ' ve see . great job Hotel Rex . RSteele 
 Nov 16 2008 	 great location . love cosy bar ! 	 Hotel Rex nice , quiet hotel Sutter Street , 3 ' walk Union square . hotel well locate cable car link , financial district shopping centre San Francisco . we love hotel close ( well link ) main attraction without noise buzz touristic hotel . breakfast good generous ( ... even though bit expensive ) . cheap breakfast , right corner Sutter street diner classic american breakfast serve . starbuck coffee corner well 24hour supermarket . staff friendly helpful . interior lobby well decorate . bar 's decoration reminescent 1960 's living room / office . room well size clean . 
 Nov 1 2008 	 enjoyable Stay Rex Hotel 	 stay Rex couple day early September - follow review Trip Advisor . central downtown , cable car , China Town , Union Square shopping . Rex great ambience nice bar area read ; drink meet folk everywhere - hotel staff friendly helpful . stay couple time SF - great value good we . Fred & amp ; Denny , Perth , Australia 
 Oct 21 2008 	 Free Wine Rex 	 Rex centrally situate near Union Square easy find . bedroom well appoint spacious could do air - conditioning . breakfast adjoining restaurant , little pretentious limited menu prefer go Lori 's Diner door along street . staff friendly , especially barman knowledgeable interesting talk . free glass wine evening bar , also provide musical entertainment night . lounge bar pleasant place sit go day 's event . 
 Oct 17 2008 	 great front desk staff 	 purchase via hotwire , unsure . pleasantly surprised . great location , nice clean room , large glass free wine nightly 6 -7 pm bonus . front desk staff could helpful , assist confirm tour book prior leave . sit chat one day , provide map route sightseeing etc .. 
 Oct 3 2008 	 ah Rex sweet . 	 stay Rex twice . first time , stay week business . second , 4 night fun . times fantastic . boutique hotel , Rex european flavor location great . Nearby Union Square , great shopping . cable car stop block away chinatown short walk ( steep hill ) . staff Rex super . take care moment walk door . every night , happy hour , guest get free glass wine fill rim ! room , though small , cute decoration funky . free wi - fi , cd player ipod doc room . bathroom clean shower spacious . room well comfortable feel right home . Rex locate outskirt Tenderloin San Francisco 's skid - row . not let scare away , however . neighborhood safe nasty area block away . would definitely recommend Rex stay sure . 
 Oct 2 2008 	 solid option beware noise 	 stay couple place week long trip SF , include 2 night Rex . it´s great location clean comfortable . however , one major negative noise busy Sutter Street front hotel . fair , probably bad place ( 1st floor room front hotel ) weekend . probably ask move room , queue reception second morning put staying couple night . take away noise issue would give 5 star , I´m light sleeper deal breaker . light sleeper ask room look front hotel . 
 Oct 1 2008 	 really Nice Hotel 	 nice time Hotel Rex . arrive able check straight away staff pleasant . honeymoon congratulate we ! nice day Union Square close , come back lovely bottle Californian & quot ; champagne & quot ; strawberry dip chocolate left surprise . the room tad small hey be San Francisco . 
 Sep 26 2008 	 wonderful Stay Rex 	 great stay Hotel Rex . staff friendly helpful , room clean comfortable . especially enjoy complimentary wine day . hotel location fantastic - close everything would like get SF . free WiFi lobby room nice bonus . room rate excellent . would definitely stay Hotel Rex . 
 Sep 15 2008 	 Wonderful Hotel 	 great room , great location , great service , great price . stay three night $ 111 / night ( know , great deal ! ) be truly great place . bed comfortable . a / c work great ( rather warm SF ) . location near Ferry Building Embarcadero wonderful . arrive SF 10 a.m. six - hour direct flight East Coast . able check room arrive , great tired get early . because restaurant undergo renovation , breakfast supply floor morning . be rather simple unexpected SF . noise room outside ; sleep like baby . people say room small , be bad . 's hotel be SF . get walk around ! , great hotel . highly recommend . 
 Sep 14 2008 	 Nice stay hotel rex 	 return 4 night Hotel Rex . good feature hotel location . easy walk train , cable car , lot dining option . room nice , small . nothing fancy . bed , dresser , desk , standard hotel bathroom . wall thin , lot street noise . frommer recommend room back avoid street noice , none available stay . room clean . there doorman , someone walk hotel star without see front desk . say problem security stay . small business center 15 min free access day . Front desk part helpful . one hostess rather aloof . helpful knowledgable area . the bar offer nice ( pricey ) drink , restaurant good . quite bit interaction chef . food great service . overall nice stay . destination hotel fine choice stay union square . 
 Sep 3 2008 	 Nice Quaint Hotel 	 husband stay Hotel Rex first anniversary trip . hotel quaint lot character . like location -- right Union Square . room small not problem we . air conditioning room prepare , San Francisco weather , not big deal . noise street since sleep window open . staff helpful friendly . appreciate special touch throughout hotel jazz cd room , book lobby , complimentary wine . would consider stay . 
 Aug 30 2008 	 quaint cozy excellent location 	 be like european hotel . elevator tiny . room small clean sf want stay room ? quiet view . excellent location two block chinatown one block union square . staff nice helpful . want ice bring room . get take advantage complimentary wine . plenty cafe available . even walgreen across street . nice place staff will not break bank . would consider next visit . 
 Aug 28 2008 	 Rex Rocks 	 Hotel Rex cool hotel conveniently locate San Francisco . 's great spot towner , couole want night away kid , hang city . hotel affordably - price not worry getting soak . vetry good experience , end end . hearily recommend Hotel Rex . 
 Aug 28 2008 	 Great Location- Use Golden Great Greeter 	 stay first part honeymoon , impressed . lovely honeymoon treat leave room ; strawberry , champagne & amp ; card . good bar free glass wine every evening . small , clean roomsfabulous location . tip : Wander Union Square breakfast , avoid high price . 
 Aug 24 2008 	 good location small room gloomy decor 	 Hotel good location close Union Square public transport . disappoint size room although decor style ' boutique ' find dull gloomy rather vibrant modern . ( see photo room ) . friend also stay time we however find room size fine single person . Decor wise wall dull yellow paintwork green . bathroom wall custard yellow green paintwork lilac floor tile . window door repaint numerous time look like get double glazing . reception staff friendly helpful not know see work dark base . also old dog sometimes around Reception ( mind bit attention ) , however allow sit chair vicinity . the bed comfortable 3 pillow , light dim usual hotel light headboard bed . wardrobe small , one side hang clothe also hold iron board , 2 robe suitcase holder ; remove try fit clothe . side wardrobe three shelf one . old long unit hold television , underneath fridge one side 3 drawer ( stuck ) . cold ( San Francisco August like bad English summer ) - lot tourist wear jacket San Francisco - like we probably think California August would hot sunny low cloud make cold ! even four day could see whole Golden Gate bridge . really strange see Sausolito quite close lovely sunny . anyway back room - heating ( yes need heating ! ) noisy ( probably old system ) would not able sleep rattle making . safe room put valuable security box Reception keep ask access whenever need . coffee maker . bathroom well light nice bright ; magnifying mirror hairdrier . Shower head fix wall decent strength . full length mirror back bedroom door . extend washing line bath make use - drawback take 3 day dry thing . we free glass wine always nice gesture enjoy many ' m sure . thing enjoy San Francisco would recommend : Alcatraz trip book well advance book least couple week beforehand - long possible get good time . would suggest go early afternoon low cloud seem clear get good view , cloud come back later day ( around 5 pm ) Wine country tourvery enjoyable , wine also tour interesting get spend time Sonoma lunch . sealion pier 39great fun watch sleep , swimming shout head ! boat trip SausolitoAlso lot people hire bicycle ride Golden Gate Bridge get ferry back . whilst Sauslito get local bus Muir Woods giant tree worth see . nightime : duel piano downstairs Foley 's Bar O'Farrell Street . not recommendedopen top bus tour - nearly head blow . bus go slowly mention SF cold . look around bus went Golden Gate bridge everyone head , eye close bury head companion 's coat ! feel like could not breathe properly wind take breath away cover nose mouth hand . avis car hire Union SquareAvoid company / office like plague - wait three hour collect car book ) along numerous people position ) . interestingly manager preprinte $ 25 disount voucher hand - assume therefore happen quite often . long drive ahead we Avis complelely ruin one valuable day California . in conclusion San Francisco enjoyable would not stay Rex despite location . 
 Aug 20 2008 	 friendly 	 staff friendly hotel clean.room quite small warm meaning use air conditioning even warm outside.complimentary glass wine welcome . 
 Aug 19 2008 	 great hotel good location nice room 	 nicely decorate room , comfortable bed , WIFI , nice bar enjoy complimentary glass wine . really nice hotel . location great close Union Square . lovely dinner Aziza maroccan restaurant , Slanted door also great go bike ride sausalito nice take boat back . many good restaurant SF . would definately consider stay Rex go back San Francisco recommend friend . 
 Aug 13 2008 	 amazing place- great decor great staff 	 ' ve stay hotel several time love . staff incredibly nice happen love decor place- bright yellow wall , nice artwork room cozy SF & quot ; vibe & quot ; expect . great jazz selection room wine & quot ; happy hour & quot ; 6 pm , believe , although never go . location perfect- art gallery way foot traffic usually limit SF resident / vacationer trolley lanes Sutter , quiet street . perfectly locate . issue hotel time book- reserve month advance- waiting , probably book . know sound like employee leave review , not . I m big fan hotel . ' ve nothing great experience recommend several time other . similar experience . 
 Aug 12 2008 	 good 3 - star hotel 	 give four star average three - star hotel . good value step Union Square . front desk staff courteous , prompt , give good information . room small , clean well - decorate -- take king - sized bed get room extra - large bathroom . overall , three - star hotel . 
 Aug 9 2008 	 Great Getaway 	 get back four day stay Hotel Rex , great time . first time San Francisco , not want stay chain hotel . Hotel Rex live positive review , certainly not disappoint . staff wonderful hotel ! always greet witha smile , question request take care immediately . great touch -- day manager bring pug hotel -- -sweetest , mellow dog ' ve see ( girl love ! ) . bar restaurant manager , David , wonderful suggestion go & quot ; path & quot ; , well great dinner suggestion . eat breakfast hotel restaurant -- small , cozy place , good food . also enjoy complimentary glass wine evening ( 5 6 p.m. ) .The hotel cool decor . take time read quote hall elevator . we lucky suite -- spacious , even two jazz cds bedstand . bed wonderfully comfortable , especially long day sightseeing ! book room mention belatedly celebrate daughter 's 16th birthday . satff gracious we -- daughter -- even place bouquet flower musical birthday card room ! fun trip stay wonderful hotel . 
 Aug 4 2008 		 family 4 ( 2 girl 7 & amp ; 9 ) . book wedding ( everyone outside SF stay ) wish another hotel . 's expensive . room . wall cover ugly grand dad type picture cheap cheap gold frame not match one another ... call desk fridge key ! ( yes fridge key ) would not work . say pull door . need key ? someone party handicap room , funny shower seat . pleased . ask wake call never beep ( in - law ) . printer ( 2 pc ) & quot ; called & quot ; business center break . good feature collection antique typewriter bakelite phone . room furniture look like itt come garage sale , drawer not slide smoothly , 5 coat hanger . could hear people flush stuff go pipe . guest next door keep alarm clock beep 2 + hour 5.30am , 3 day row ! complain first time , second time third time check . nothing slip note door ! management , would relocate noisy guest chuck . Hhey gracious give we 40 % 3 day happen . tv old crt menu barely readable . ask desk watch news , say 's old system go replace . ! pay movie , whop $ 9.95 easy access ... not child safety ( porn ) . first time stay hotel SF , realize ton hotel 1mn away , make we grinche . 
 Jul 27 2008 	 Rex Inspiring ! 	 recently opportunity stay Rex business & quot ; City Bay & quot ; . hotel describe majestic old home & quot ; Library & quot ; theme encourage guest curl good book . keep imagine wrap old fashioned bath robe glass cognac one hand favorite book . room , also decorate similar theme , small , give hotel 's central location within city close Union Square , Financial District Chinatown , simply make hotel seem cozy . keep mind hotel downtown San Francisco , parking typically valet . try & quot ; self park & quot ; street , take advantage valet make feel like vip without cost ! small restaurant within hotel great food , however , 1,000 restaurant within walk distance hotel . planning visit San Francisco , owe stay hotel another belong hold company & quot ; Joie de Vivre & quot ; ( Joy Life ) . 
 Jul 25 2008 	 decent average stay 	 husband 's company place we hotel trade show . hotel nice location near Union Square within couple block many restaurant ton shop . hotel nice artsy feeling , make unique . room bit small , real uncommon downtown San Francisco . bed comfortable four pillow decent lighting . tv small come handfull channel , include HBO Showtime . could however rent current movie $ 13 . room armoire one side shelf side hang space , also iron board keep . much space suit business attire hang . bedroom bathroom clean , bathroom small . tiny 12 & quot ; x 12 & quot ; counter toilet take 2 flush flush . hotel restaurant downstairs , not get . order room service , expensive disappointing . oatmeal dry fruit contain bowl oatmeal 1 strawberry top . also , set wake call , never actually come . this hotel good people picky , not require lot space service . hotel clean cute well locate relatively affordable rate . 
 Jul 23 2008 	 Convenient Cozy 	 stay Hotel Rex recent business trip SF . downstair bar still open 10 pm arrive , serve we complimentary glass wine ( sign Joy Life Club get ) . cozy bar lot read pleasant bartender . room upstairs also cozy spacious time . everything need , though bathroom bite small . open window empty lot full vegetation kind nice ... hate room can not open window . breakfast downstairs cafe delicious . location great . walk Chinatown gift take home , Apple store buy iPod , Starbuck 's get coffee , somewhere get pedicure local museum gallery . despite middle everything , room quiet night . 
 Jul 22 2008 	 little gem super location 	 go San Francisco never lone traveller . travel agent assure would like hotel would enjoy go big chain would normally do . the hotel clean comfortable , safe secure . way make feel welcome home . standard high room clean . bed comfortable indeed . business centre free excellent internet access . would say excellent value money staff friendly extremely helpful . feel like family business genuine . thing let café breakfast time . need extra staff clear table bring food . wait 20 minute seat 3 empty table need clear . staff apologetic quick inside . I grateful travel agent right heart thing easily able get attraction find great place meet wonderful local . 
 Jul 14 2008 	 overall quite nice exception one slip 	 Stayed Rex July 8 - 11 , 2008 . two adult , two child . room two double bed . old hotel heart city please size room . bed quite comfortable , room tidy , bathroom clean . first day see city , return 7:00pm room see maid service . informed front desk . apologetic offer clean , , tired 2 young kid tend , decline . rest stay pleasant , however would expect sort gesture ( comp in - room movie watch something ) forget clean room . the location Rex nice want Union Square scene . cable Car stop corner Powell Sutter , convenient . also find two charming , good kid - friendly restaurant within block hotel ( Max 's Cozy Cable Car Cafe ) . busy part town , strong contingent homeless folk approach corner . bit annoying . would likely stay crave Union Square location . however , next visit ... 's wife ... opt B & amp ; b cow Hollow / Pacific Heights area . bit quieter , imo , well selection restaurant . 
 Jul 10 2008 	 friendly 	 great hotel , great location Union Square . staff friendly helpful - nothing bother . drawback tea / coffee facility room free tea coffee bar morning . room beside lift would not know never hear anything not early riser . lot people meet leave early would think would hear they . hotel restaurant good value food excellent . 
 Jul 8 2008 	 Great Location Friendly Staff Free Wine ! 	 stay Rex 6 night end June 08 . location fantastic , assume prefer Union Square Wharf . decor slightly tired , 's clean comfortable . bed pillow really comfortable , bathroom large shower work well . get bathrobe slipper , love extra ! minibar fridge room , tea/ coffe make facility - although offer free tea coffee every morning 5am . our room back hotel second floor quiet able sleep window open night ( noise ) .The staff genuinely friendly ( oppose fake californian friendly ) want help . night 5 6 get free glass wine , drink pretty reasonably price ( City centre hotel ) . not eat restaurant can not comment . day check let we room extra couple hour charge . one thing not mention trip advisor ( see ) go website let enough notice , arrange free charge personal tour Golden Gate Greeter . really worth - guide great spend half day show we around - tell want see/ interest - tailor you . I would definitely recommend hotel . 
 Jul 6 2008 	 great stay Rex 	 tack visit San Francisco attend conference Stanford Palo Alto . pick Rex primarily solid review , also chain belong , library theme . happy result . our first night not go well -- arrival , tell hotel overbooke ( actually , one guest ask additional night ) . Rex send we nearby hotel -- 15 minute walk -- night , pay taxi breakfast next morning . substitute hotel - Galleria Park - fine . next morning , walk back Rex check . first two night comfortable , quiet room back hotel , Queen bed . last three night switch big room King bed , noisy . in case , room comfortable well maintain . bathroom generous , room cd player , nice touch . admittedly , not spend much time room late night , get back , exhausted , comfortable place rest up . we spend little time one afternoon read lounge lobby , comfortable , atmospheric , full book . eat attach restaurant , breakfast , good . plenty restaurant nearby . all , excellent stay , attentive , friendly staff . would definitely stay . 
 Jun 27 2008 	 great stay Rex 	 choose hotel know Joie De Vie hotel group Rex belong . happy choice would make , however would suggest intend stay long day 2 book junior suite - much large well facility . ( upgrade King $ 30 per night ) . also , despite right centre city hotel quiet - ought ask room th back make even peaceful . the staff great , wine 5 pm lovely location perfect . 
 Jun 25 2008 	 Love Rex ! 	 return 3 day Rex husband teenage son . love ! location , near Chinatown Union Square , perfect explore city . room elegant large . rear hotel location quiet . staff helpful make stay memorable . highly recommend . 
 Jun 22 2008 	 Cool place 	 well locate place Union Square . around corner rental car place , be convenient . art - theme ( literary quote wall plus donate $ 1 stay 826 Valencia writing center ) , nicely decorate , nice , clean room . restaurant seem expensive , go Persimmon couple door great food . also 24 hour diner far away . Recommended Hotel Monaco also Union Square expensive small room . 
 Jun 17 2008 	 favorite hotel San Fran 	 Hotel Rex , formerly know Orchard , place stay visit San Francisco ! great european - style hotel , make friendly , attentive courteous staff , cleanliness hotel , convenience location everything one must see city . find hotel year ago , become number 1 choice San Francisco . love decor , artsy fun , room right size feel comfortable home . afternoon wine - taste always lovely , addition restaurant room service fabulous convenience . location could not well . locate right one main trolley line , Powell , , within walk distance Union Square , shopping , financial district . love hotel recommend highly ! must stay ! 
 Jun 13 2008 	 ok 	 ' ve return 2 not stay Rex ... althought staff efficient courteous ... room small somewhat noisy due street noise window air - conditioner . it centrally locate shopping Union Square ... lack amenity . 
 Jun 9 2008 	 great hotel Excellent location 	 Excellent location , right alongside Union Square . , manager staff excellent helpful . manager particular help we big time appreciate help . price versus Location , could not get well . restaurant serve wonderful breakfast , food lovely . also , nice glass wine get evening time , lovely idea day touring . would definitely go back visit San Fran . 
 May 31 2008 	 great location staff individual style 	 close union square , charming old - fashioned decor - make refreshing change chain hotel . staff excellent , queen room actually decent size clean . guess year since decorate look bit fade place , probably add ambience . 
 May 28 2008 	 Home Away home 	 lovely comfortable Hotel .. greet Max dog enter . lounge lobby comfortable & quot ; artsy & quot ; . location could not well . love helpful staff complimentary glass wine evening . we will back ! 
 May 28 2008 	 Adequate hotel close Union Square 	 Hotel Rex smallish hotel close Union Square . say ? - ok , not hate would not bother go back . reason , check , tell upgrade well room - ' ve idea , not complain . room third floor back hotel road noise . room reasonable size peek normal room seem lot small . it clean well decorate old fashioned way , although noisiest plumbing ' ve come across - like bright modern hotel not hotel you . we appreciate free glass wine serve bar 5pm-6pm . not eat hotel - try Lori 's diner ( turn leave hotel entrance - 2 minute walk ) big american breakfast 1950s surrounding . 
 may 25 2008 	 Romantic Rex 	 Rex perfect hotel enjoy romantic anniversary . staff describe previous review truly excellent . special room select we , jazz music play enter room gift card wait we acknowledge celebration . hotel full character , individual room lovely bar lounge enjoy free glass wine evening . stay number SF Hotels without doubt well . 
