absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 May 25 2009 	 highly recommend 	 minute one husband enjoy attentive pleasant service staff . bag collect car service promptly , check - in smooth quick smile . drink lobby bar great service . enjoy pool tend nice lady make we feel welcome . our room stylish spotless . ' m rather particular come hotel bathroom ... turn mold shower curtain grout , someone else 's hair still floor , like . everything order . towel white rather soft compare place ' ve stay . Bonus ! category hotel , would say 's way expect price . hotel locate couple street south Central Park couple street away high end shop like kind thing . 's pharmacy door ' ve forget something . excellent dining outside hotel well . dine BLT Market one good meal service ' ve experience . I would definitely stay . 
 May 18 2009 	 good bite - sized room 	 room small , comfortable New York standard . bed little soft , right size . view uninspire , especially 20th floor , eat quickly - deliver room service window nice anyway . desk staff friendly . first room get break air conditioner , move 15 floor similar room . despite hassle , problem take care quickly . hide Burger Joint worth wait , decide wait hour Norma 's famous brunch . overall , good experience great location . 
 Apr 28 2009 	 Clean Comfortable ConvenientExcellent Service Good Value 	 stay hotel three occasion never disapointe . room reasonable New York , Rooms clean comfortable . decor simple contemporary grand fussy . stay several hotel Times Square conveniant travel family also noisy little much hustle bustle . Meridian right Carnegie hall short walk Rockefeller Center Radio City . staff professional hotel clean comfortable . Room Service expensive . starbuck directly across street great little cafe call Teleon door great breakfast . dinner try Rue 57 Cafe Americano . soo close excellent food . 4 seasonsor Waldorf well average chain , Sheraton etc . Perfect want nice hotel without pay nose . 
 Apr 28 2009 	 well year past . 	 stay Le Meridien year business NYC , time around ( year two ) , hotel felt aged / tired need refreshing . manager duty time stay name Natalie , fanstastic helping find well room originally assign . otherwise , service level front desk concierge station perfunctory , good . not know case , hotel strike potentially new management need aesthetic attitude adjustment ( New Yorker , perfectly happy normal & quot ; attitude & quot ; find -- hotel staff -- housekeeping -- bit punchy average ) . find disappointed need new place stay business NYC . 
 Apr 27 2009 	 Alexandra Smiley live name ! 	 work difficult organization come book hotel room block . constant change , revision , update , cancellation , addition , etc . work hospitality industry 16 year ; nightclub , hotel , restaurant include own two . know great valuable associate meet one , , try recognize kind feedback priceless . Alexandra take everything throw handle class , charm , humor ( important ) professionalism . never get meet personally , though would really like . , example hospitality industry 's valuable resource . associate CARES , really CARES experience guest . always say could teach employee many thing , one could not . ability care take personal ownership accountability . Alexandra possess . still industry service business NY , would try get work . close , outstanding example would like leave impression stay would like . give proper recoginition deserve , give financial reward , plaque certiificate , well . sincerely , Kevin D. BrandtSr . Network ManagerEyeMed Vision Care / Luxottica Group 
 Apr 22 2009 	 PLEASED HOTEL 	 book room thru hotwire good rate , $ 150 per day . would come back hotel rate much high thru Hotwire , guarantee get hotel . bar great think $ 22 glass wine bit high , revise pricing . range hotel New York Intercontinental , Elisee , Fitzpatrick , Waldorf next week . 
 Apr 21 2009 	 surprise birthday great ! 	 room view beautiful - park . help concierge front desk great ! big help find restaurant know , ( name ) . find , make reservation . definitely exceed expectation . would gladly go back ! 
 Apr 21 2009 	 well review would think ...... 	 arrive pleaseant welcome beautiful spring day , room clean spacious enough short stay . could find nothing fault really , bathroom smallish everything need . bed large comfortable . tv stand bit quirky ( 70 's maybe ) . unlike reviewer could not fault helpfulness staff . view Central Park superb . Norma 's food good pricey - try local diner quality quarter price . want great coffee ( hard find US except Starbuck ) go Zibettos Espresso Bar round corner 6th Avenue 57th St. we eat Seppi 's French Restaurant , good food , although French hope , good atmosphere - worth try ! 
 Apr 20 2009 	 big surprise either way 	 book room Hotwire , get decent rate $ 160 night inclusive 3 night . room ready we check early request arrive 11 . room clean , large desk area internet . internet $ 16 + per day high think . room coffee expensive mini - bar . bathroom adequate counter space cramp door open - hard get shower bathroom door open - flat screen , tv funky half - round column allow swivel take lot floor space . drawer space speak , adequate closet . hallway fairly dark , cartoon funny touch elevator , room service fine - on - time , usual price 4 - star hotel - hotel GREAT location mid - town - close Park , Carnegie Hall , restaurant . outstanding , surprise either way 
 Apr 17 2009 	 Parker Meridien really get 	 & quot ; never let get away & quot ; husband say Rafael concierge . 's information jazz , obscure shop restaurant flow freely , 's warmth intelligence . someone love , be rare - infectious . ' m great sleeper something bed junior suite lure sleep , even first night . suite seem clean previous stay quiet . Norma 's disappointing day ... pricy flat . year ago . mangia door hotel , never loss good food . overall , great stay great price . 
 Apr 16 2009 	 stay 	 encounter nothing problem . arrive shortly 3:00 pm ( official check - in time ) , wait line half hour , tell , since hotel full capacity , would return hour key . far , nothing wrong . however , return , wait long line , give key room clean : dirty towel floor , soiled sheet bed , etc . wait extremely long line third time , give new key -- business , apology . , take three hour 3:00 check - in obtain clean room . simply unacceptable . the room small , non - descript stuffy ( boiling night ) . fine get good rate -- try Priceline -- , good value pay full price hotel 's website . , poorly run hotel factory feel : impersonal , unfriendly staff , long line check - in elevator . 
 Apr 14 2009 	 Location Views Fun ! 	 return lovely 5 night visit New York . much consideration ( include hour TripAdvisor reading ) opt Le Parker Meridien due location price . neither partner could really fault Le Parker . room ready 3:00pm unlike reviewer fortunate enough receive free upgrade central park view 36th floor . view room wonderful . room generally good . reasonably sized , clean nice large comfy bed quiet . issue feel room could little stuffy air con seem little effect regardless temperature set . would concern summer could stifle snow New York April minor problem . we eat Norma 's ( reservation essential ) . yes expensive , especially moment £ exchange rate . yes still wait seated . however food wonderful rich well portion need eat long time after . the location Le Parker Meridien excellent , nothing far away - central park , time square , 5th Avenue , Broadway close by . the thing stop we give 5 * staff efficient particularly warm welcoming . finally , keep eye peel celebs . see certain UK X Factor winner check time . 
 Apr 14 2009 	 good service good location . 	 visit London recently wife . stay two night . whilst hotel not especially luxurious , clean decent . room view Park . nice little touch , like tv 's lift ( elevator ) show Tom Jerry cartoon Charlie Chaplin . find service staff come across excellent . location great - close enough Central Park able walk easily , far enough away hotel lobby not smell poor horse . easy walk theatre , shop etc . Carnegie Hall practically next door . Norma 's excellent breakfast . slightly unusual menu expensive , large portion good food , good service . food take little long arrive have like , even though soon place open , not busy . next time think would try somewhere outside hotel . the pool bit disappointment . would nice kid splash around 's small ( crowded ) adult swim properly . nice view though . change room also small , one shower ( toilet right ) .wi - fi suppose free thought , little sticker desk show password , take page register pay . internet tv clunky slow . but despite niggle overall experience good - enjoy stay would go back . 
 Apr 13 2009 	 incredible 	 room perfect - spacious New York standard - upscale great location . staff extremely curtious helpful . be little thing make difference - one day pour rain go downstair hotel staff handle nice umbrella guest use ( lot ) . simply ask return later course happy . nice find discount umbrella would blow apart 5 minute use . view pool level great - cartoon elevators- neat touch . 
 Apr 13 2009 	 stay 	 stay many hotel far bad . make reservation hotel could request 2 room closeby since 94 yo grandmother NYC Oregon . check , room 6th floor 12th floor . complain , basically tell ' tough , Easter weekend . ' room small need paint . wifi - even though could swear website say . order low temperature room , need call someone come . good thing 2 5 year old die heat . gym free - it $ 10 . say nowhere room - we find . gym overheat dungeon . gym , go upstairs shower find TUB full someone ELSE 's old dirty water ( use ) . although fix - it man come quickly , take long time fix . complain , manager offer we 2 complimentary breakfast restaurant -- say party 4 get ' tough ' answer . one would think would try humor since DISGUSTING . restaurant crowd everytime would inquire long since 5 year old starving , answer ' minute ' -- 30 minute , go elsewhere . hotel awful total lack regard hotel guest . stay . 
 Apr 12 2009 	 roomy well appoint 	 spend one night Parker Meridien find recently remodel room well concieve : roomy , contemporary warm styling , comfortable bedding convenient place every item ( rarity city hotel room ) . lovely , romantic 19th floor cityscape view toward Central Park . course , hotel also well locate , near theater fifth Avenue , without hubub theater district . open window night hardly even traffic noise ! not chance see , tell another guest attractive swimming pool top hotel . try unsuccessfully get Norma 's breakfast . since able book room starwood point , even well ! 
 Apr 9 2009 	 nice hotel good location great value 	 get back 4 night getaway NYC husband 2 kid ( 7 & amp ; 17 ) first week April , 2009 . great stay overall would recommend , return without question . great value get good deal Priceline $ 140 , compare $ 290 reservation page . service overwhelming , polite . PROS : Elegant & amp ; peaceful hotel , easy access subway , centrally locate . hotel lobby nice modern high - end feel , room ok . young daughter love pool roof , great view Central Park city . famous Burger Joint good burger , along ( infamous ) cranky server . even little Hollywood moment say tv actress walk around kid . con : arrive 6:30 pm Sat , room still not ready . walk around , not 8:00 pm check back ( not call we promise ) get assign room . apology consideration . sure lack service Priceline reservation ( mention twice ) , attentive . bed little soft , coffee maker and/or minifridge ( take , pay ) . say , starbuck decent restaurant nearby . internet $ 15 / night . other : parking $ 50 / night , be NYC . still , hotel nearby discount hotel parking rate ( e.g. , Doubletree Metropolitan ) . 
 Apr 6 2009 	 top line 	 wife stay 2 night apartment hunt Manhattan . good point : good central location show , Central Park , midtown . very comfortable bed . great burger joint hide behind curtain next check - in . friendly service . less good / poor : room ok price range . room coffee service . Room look little tired . a / C would not get room really cool . wireless service room . really strange hotel class . big detriment we . ethernet cable access hefty $ 18 / day . overall , high standard hotel class . definitely will not hate , think will find well choice available . 
 Mar 30 2009 	 Fun kid 	 many place pick NYC , choose one use mile . travel four kid age 10 - 1 yrs pleasantly surprised learn roof top pool , amazing & quot ; Burger Joint , & quot ; 20 foot wii- else need kid ! ! ! kid happy , ' m happy . definitely give comfort bed . small uncomfortable . plush linen . room modern , small . great stay . Norma 's great breakfast , take 1 hour food come- ugh ! also , ton nut everything . ( mention 1 4 kid couple allergy ) . also , enjoy great workout , 's full service gym attach hotel . 's Wii , racquetball court $ 50 / hr . 
 Mar 24 2009 	 Great Hotel - Priceline - much well price 	 hotel absolutely beautiful . great location subway Carnegie Hall . use priceline book room pay $ 130.00 versus $ 300.00 price tag pay booking directly site . internet $ 16.00 per day gym $ 10.00 per day . the room huge clean , bed super comfortable ! view roof .... awesome ! 
 Mar 24 2009 	 great location enjoy stay 	 stay 5 night room basis . could ' ve do tea / coffee make facility starbuck road entrance . the hotel clean reception desk staff friendly helpful . go rooftop pool not swim - great view go look . great location near central park , fifth ave , time sq / broadway subway station . try burger joint hotel - 's fantastic . would stay . 
 Mar 23 2009 	 good location great service nice room 	 stay Le Parker Meridien NYC late July / early August 2008 . friend double room ( 2 dbl bed ) room clean , reasonably well maintain quite roomy ( well pretty quiet ) . Decor pleasant basic modern style . pick cheap room part Expedia deal quite low building face another building alley . get late ( 1:30 a.m. NYC time ) able order full meal room service ! location good – locate two different subway line ( one end block direction ) – easy get around . many restaurant immediate block around hotel may travel bit eat unless want eat hotel . I impress service receive stay – concierge helpful throughout booking , reservation , direction etc . even impressive friend bad fall cobblestone SOHO first afternoon NYC manage get we back hotel staff amazing – helpful clearly genuinely worry friend hotel doctor office helpful night next morning . btw shout - out great friendly folk NYC help we fall wonderful staff management Bloomingdale 's Soho location , helpful we . sorry late post . use review intensively plan upcoming trip feel start duty posting review . 
 Mar 18 2009 	 wonderful stay perfect location ! 	 pleasure stay LeParker Meridian Manhattan early month . moment walk door , treat utmost kindness warmth LPM staff - especially Andrew front desk . hotel way cool , location simply perfect , burgers restaurant ( will see go ) , fantastic ! not forget check pool penthouse . can not find well view ! wholly recommend fabulous hotel ! 
 Mar 12 2009 	 chic bit old - time Europe hosterly backyard . 	 say ? first stay -- , sincerely hope , last . the staff , location , service . exemplary . 
 Mar 12 2009 	 eat Norma 's Sleep elsewhere 	 whirlwind business trip stay one night disappoint . room small ( ny standard compare small W property midtown give lot square footage price ) two twin bed rather double bed . mattress bed sag look worn . phone bed not work sheet hole . save grace Norma 's downstairs - really great food , always . want pay around $ 350 well W Court Tuscany . 
 Mar 11 2009 	 fabulous facility great location 	 spend wonderful weekend New York Le Parker Meridien . convenient shopping , Central Park , fabulous bar restaurant short cab ride theater . staff extremely courteous attentive . 
 Mar 11 2009 	 need makeover beautiful view excelevnt service 	 ' ve stay Le Parker Meridien business eight time since April 2007 continue go back neighborhood . hotel room spacious NYC look tired . frequent visit lamp damage window shade disrepair . however platform bed extremely comfortable . Park Views room breathtake Mini - suite offer den sofa bed , love seat large walk shower . although ' ve personally use work gym , ' m tell fellow guest 's one good . rooftop pool offer spectacular view . the staff friendly request always handle quickly smile . hotel great secret burger bar lobby ( front desk concierge ) . good hamburger city . small bar atrium Sepi 's restaurant connect next door . Patrick , bartender , courteous quick drink . overall well hotel fluff Le Parker Meridien great neighborhood exceptional staff clean , large room . highly recommend see . 
 Mar 10 2009 	 SPG Platinum Member Review 	 top tier member SPG Program . hotel locate 56th 6th 7th . couple block Central Park . pay $ 225 / night include valet parking . prior stay emailed hotel ask accomodation . platinum member choice park view room ( 300 sq foot ) junior suite ( 500 sq foot ) . jr suit park view . let guest relation manager decide . check around 1 pm Saturday pull car front entrance . valet help we unload car go check . show front desk , line check . platinum member give 500 SPG point well free pass Gravity Gym . ( wish use full gym ) . Checkin easy friendly . lobby nice spacious tall ceiling . Normas , bar famous burger joint locate lobby . try Normas try burger joint . mark neon hamburger sign . huge line get Saturday go Sunday well worth . small & quot ; divey & quot ; place get great burger fry . line go Sunday 12 pm burger great atmosphere awesome . great music divey square room table chair . tghe room : go 39th floor bag tow . bellman friendly give jr suite . bellman unload bag hang coat we . nice , show we room point location window . jr suite spacious . first half room big window window bench , sofa , coffee table , fridge , table also work desk . 27 in tv ( plasma ) entertainment center could swivel live area bedroom . VCR DVD player part system . bedroom area nice king bed large bathroom . like fact soap sink shower . previous stay Starwood properite ' ve notice starwood cut back leave 1 soap sink shower . product PeterThomasRoth nice ! view room building peek hudson river room nice big window lot light . go top floor check rooftop pool cool indoor nice view Central Park . stay Westin Times Sq , Sheraton location city , W property city like Le Parker well . money pay , upgrade room , burger joint , friendly service would stay agina nd make choice NYC hotel . a special touch , go shopping afternoon get back nice bottle evian water chocolate cover strawberry room compliment guest relation manager . nice touch stay next visit either leisure business . 
 Mar 5 2009 	 best time ever 	 definitely back ! wife love everything Le Parker Meridien . get upgrade beautiful deluxe room overlook Central Park tell management getting marry . thank wonderful time ! 
 Mar 2 2009 	 wonderful 	 everything hotel top notch , friendly , clean , comfortable great pot coffee ! ! ! 
 Feb 28 2009 	 four star 	 stay week February business trip . room 36th floor . room not bad size , be good . window dirty could not see . cheap curtain crummy roll - down shade . bathroom dirty shower reeked mildew . the hotel constantly stink hamburger -- even 36th floor ! -- due hamburger restaurant lobby . staff nice professional . great location . nice overpriced cocktail bar . restaurant attach ( hamburger ) -- Seppi 's -- like time warp . highly recommend . meet nearly every night see veritable cast character -- star yesteryear -- Donna Elliott Godfather , Morty Craft ( former head MGM studio ) , Tom Jones two night row . 
 Feb 23 2009 	 enhance pack trip immensely ! 	 arrive New York 15th Feb 3 day trip partner 40th bday . book trip great travel agent organise we ' run house ' room . moment get hotel staff fantastic . helpful luggage , check , show we room etc . reception staff great , particular Edwin , give we great room overlook Central Park . room fantastic , comfortable bed , lovely bathroom relae facility - dvd / mini bar etc . swim pool delightful stunning view superb change facility . not breakfast hotel choose hunt cheap american deli 's . ( believe food could expensive sure ) try retro burger bar great , often come back hotel relax chic lounge bar . cocktail great ! location good 10 min walk Times Square suitably hustle bustle . Fifth Ave close , tube station . I think hotel really enhance trip much day time wonderful come back relaxing room , especially day rain . view make worthwhile ! also , mention partner birthday - send we complimentary bottle wine , chocolate strawberry . overall great experience would fully recommend . 
 Feb 23 2009 	 4 star ? quite . 	 hotel property nice . clean contemporary . 's good news . fortunate get good rate $ 200 / night . ( usually fare much high . ) even $ 200 / night , NYC large convention , disappointing . property certainly look make dollar anywhere . want use gym ? $ 10 / pp / day want use computer business center ? $ 10 / log + .50 / minute side note : bring laptop log wireless room . well , property not wireless room yet . ( 4 star property without wireless 2009 ? ) option sit desk link wire . $ 16 / day ammenitie ? pool top floor provide great view Central Park . memory fail right think fee use . ammenitie ? sure , rooftop overlook ... close due carpet tear . 4 star right ? movie room ? $ 14.99 - 18.99 per flick ( not hear high volume low margin ? ) lobby nice tea corridor although bitter cold near door . appear great restaurant visit one . greasy tattered hamburger joint lobby . yes , sell bonus , hardly case . food greasy bland , line long , bottom three floor hotel stink charcoal - y , summer time picnic , drive Burger King smell , Midnight . be simply good , long wait , & quot ; fast food & quot ; quality , be cheap like claim . ( $ 5 shake $ 8burgers $ 4 fry good memory ) Briefly room . stay room 2 bed . adequately sized consider city . bed uncomfortable pathetic attempt make cheap mattress posh use feather top comforter sheet . never stay bed throughout one whole night . use concierge , polite arrange reservation behalf . restaurant par , good , late holiday weekend effort appreciate . conclude second review web site . NYC Starwood property identify trend . stay , would simply stay away starwood hotel NYC . significant issue need work management staff . 
 Feb 18 2009 	 Location superb staff friendly 	 get 3 night stay Priceline great rate . ' ve stay , find staff friendly time -- front desk accomodate request high floor . nice view toward Central Park rooftop . love pool Norma 's . husband think bed soft , . note previous post , elevator really slow , possibly one service . also $ 16 daily internet ridiculous . we great stay , easy walk Lincoln Center midtown gallery . 
 Feb 16 2009 	 Great Stay 	 book 4 star Hotwire South Central Park . hotel fantastic . give free upgrade junior suite . kid love pool top floor . two block Central Park , Plaza Hotel , FAO Schwartz . negative wait elevator . wait long - long wife forgot camera say forget take long get . would recommend place anyone . Great Stay . 
 Feb 13 2009 	 Hotel Service Bar Burger Joint Good 	 public area hotel really lovely attract good crowd even week night . particular interest bar area , romantic elegant . lot business people , young single tourist . similarly , like Burger Joint , though make sure level expectation . special Burger joint much food beer , concept hole wall dinner juxtopose elegant hotel . fun place much add allure parker meridian . the room another matter . look nice , carpet kindof depress big thing hold tv middle room . think tv stand concieve flat panel tv look date . nothing terrible , great . otherwise , like service generally find people accomodate service focus . 
 Feb 13 2009 	 fantastic elegant great location staff 	 love place ! 5 star quality ! ! amazing staff . beautiful room , fantastic hotel . get great price starwood . 
 Jan 28 2009 	 can not wait return 	 initial impression hotel little skewed construction progress close one entrance not like walk around block enter hotel . enter hotel , however , first impression quickly change . atmosphere lobby first enter hotel spacious , force start let worry get lose . friendly man come ask need help bag , time not , still gesture make . front counter quick locating reservation assign us room . give key along could look hotel . amazing thing hotel Penthouse Pool 42nd floor . look Central Park even go roof get unobstructed view city . enter room , please cleanliness happy ask exactly receive , beautiful , spacious room central park view . inside hotel place call burger joint , completely opposite hotel still offer amazing service , fantastic food great ambiance . can not wait come back second stay ! 
 Jan 27 2009 	 Great Time @ Parker - Plz discount internet rate return 	 Le Parker Meridien many great & quot ; feature & quot ; :1 . great breakfast place - Norma 's TOP 5 nyc.2 . nice swimming pool - great view , plz get warm winter3 . good burger town - say lot publication . agree me4 . friendly staff - okay , kinda gipsy 's fine5 . good location . close 5th . avenue , close Central Park , close enough midtown walk . and issues:1 . pay $ 16 day @ internet . Absurd.2 . menu say 24 hour service room , close @ 11 . say 11.3 . much room . lift often full.4 . charge everything . 
 Jan 19 2009 	 Security risk 	 stay Parker Meridien disaster , still angry demeaning staff multiple occasion . leave engagement ring counter accident , come back go . take 2 day serious look event , one person confirm enter room ( identify security ) blame never even receive apology management . return home receive email housekeeping state & quot ; good one ! & quot ; never even address theft & quot ; accidental & quot ; removal precious irreplaceable ring . not stay ! scary inhuman ! 
 Jan 7 2009 	 go discount rate 	 hotel perfectly fine treat average place stay convinient place Midtown . pay $ 139 per night ( special rate ) maximum pay , . point light dark hallway create atmosphere late 1980 's image future space station . staff check - in process adequate , although impressive . view standard room might depress : half - dead gray - brown tall building . vend machine sort . coffee - maker room . want listen radio , equip cheap model radio / alarm clock one see scarry motel buy $ 5 Chinatown . coffee - maker room interior bar dirty . small graffiti behind tv set large chunk paint hang ceiling bathroom . 
 Jan 6 2009 	 Le Parker Meridien Nice 	 stay LPM son 's 16th birthday . want trip NYC , expedia exceptional deal . thank heavens . son trip lifetime ! junior suite , plenty room 3 we ( , hubby , son ) . view not great low floor , care ? bed one comfortable hotel bed ' ve ever sleep . not normally sleep well trip , sleep almost check time ! son pull sofa bed . sleep like pullout sofa bed . burger joint lobby good burger shake , still talk go back burger . location walk distance Times Square , Central Park , 5th Ave . , Carnegie Hall , russian Tea Room . icon NYC withe walk distance . front desk personnel accomodate , since arrive 10 a.m. find suite ready we , although really not early . concierge helpful . complaint never find fitness area . want see view . oh , must mention Seppi 's next door , lobby , scrumptious chocolate brunch , good deal full meal NYC . highly recommend hotel 's budget find great deal . location awesome ! 
 Jan 5 2009 	 great exeperience ... 	 return week 's stay New Year Le Meridien say disappointed . for well established hotel seem exceptionally disorganised , fail live expectation several front . the disorganisation show clearly reception . chaotic experience even trivial request . check - in appalling . arrive 5:00pm tell room available yet could come back later . & quot ; much later ? & quot ; , ask - & quot ; later & quot ; come response . several return trip reception provide information room time send back queue get lack update . lucky one though . other group - pre - pay , , tell reservation cancel ! 3 hour later - transatlantic flight - eventually give room - still explanation reason delay . the room average - yet suppose upgrade American Express booking . upgrade room - would hate see standard room . facility in - room poor . amount fancy swivel furniture disguise old fashioned CRT tv poor picture quality , earth VCR be still call modern hotel . room light poor , one bedside lamp miss completely . minibar average term content , average term cost . bathroom toiletry scant . there tea coffee make facility room either . the room hot stuffy air - con switch winter leave absolutely mean reduce room temperature . as hotel facility - atrium bar expensive , Norma 's breakfast good food , cost , quite poor surrounding . Burger Joint good - prepare wait line quite time . chaos ensue check - out try collect bag storage . wait 20 minute end go find luggage store ourself . so overall , average accommodation expensive cost . resource scale large hotel result poor service reception etc . great location ... really money probably much well elsewhere . one will not return . 
 Dec 30 2008 	 enough 	 Parker Meridien well situate hotel , certainly attune business & quot ; man & quot ; , attend conference , expense account . room masculinely decorate & quot ; Early Ikea & quot ; style , , amenity pleasure traveller , woman traveller ... 1 bar soap , one bottle shampoo , etc . $ 500 nite , expect drawer place clothe , refrigerator place personal item , not sign stating & quot ; PERSONAL USE & quot ; . positive side , every single person staff pleasant , friendly go way helpful . 
 Dec 11 2008 	 thing be not good use . 	 first visit hotel mid ninety look forward return . unfortunately Le Parker Meridien great disappointment . check - in chaotic room dark shabby . gym tired equipment guest allow use antiquated dirty . the burger joint serve good burger dirty sight raw mince trolleye lobby far appetizing . breakfast arrangement shamble guest hotel unlikely secure table unless book advance . evidence steady stream guest carry Starbucks bag elevator . tackled staff tell rather prissy fashion Parker number one brunch destination Manhattan . point number one hotel . elicit rather shamefaced admission probably could said today . the final horror discovery room fairly roachy relieve prevent eat hotel . 
 Dec 11 2008 	 even well 1st stay 	 2nd stay Le Parker Meridien , say worried might good 1st time . should not worried , well 1st time . we special event email hotel week due stay ask upgrade . this defo worth amazing room overlook central park 32nd floor . the staff hotel friendly genuinely want help make stay wonderful possible . eat Norma 's twice burger joint twice totally amazing . hotel central everything need , walk distance subway station corner jump subway . I would highly recommend hotel friend , family , work colleague anyone would listen ! ! room lovely , massive bed , clean daily huge big bathrom enough space get ready hang clothe . downside would not tea / coffee make facility . major problem would ahve nice get ready morning cup coffee breakfast . new bar lobby entrance 57th street expensive ( not may last year 1st visit ) , 1 drink not drink ! hotel excellent good value money . love would stay need perfect good location . 
 Dec 8 2008 	 new favorite 	 like go city fairly often catch show , shop , visit museum dine . lot starwood point last use W Times Square , perfectly nice hotel old 35 . fifty want little less frenetic environment . Le Parker Meridien fit bill perfectly since not want stiff formal place either . lively atmosphere warmth look . registration easy ask give room upgrade distant view Central Park . would recommend pay extra view , still block park look building park . really like room warm feeling due completely outfit warm wood . desk area face park well set unit swivel tv convenient husband want watch football want read book less distraction . flat panel HDTV would nice , big issue . bathroom compact tub could use regroute , fine consider room bath clean . bed totally comfortable read tv watching can not put finger . husband think lack headboard ( lean vinyl leather cover wall . ) think may pillow . somehow work , feel homey modern great stay . someone mention staff friendly . notice staff ride elevator we greet we , housekeeping staff hallway . not really bother , notice . eat Norma 's breakfast Sunday . good , great write separate review experience . 
 Dec 7 2008 	 J'adore Le Parker Meridien 	 recently stay past 3 - 4 month New York City working project company . final month require spend lot time NYC , actually home . enjoy stay hotel , want try new hotel , book Le Parker Meridien . location hotel prime shopping , New York Office , F , N , Q , R , w train station , Times Square , Central Park much . amazed check process , variety food available via Room Service ( sometimes not get late ) , overall willingness make stay comfortable . one front desk representative Paul really stand make stay personable . would always call name . really feel home 's hard home 500 mile away . back town night extend stay likely return Le Parker Meridien . 
 Dec 7 2008 	 J'aime Le Parker Méridien 	 beautiful room , elegant hotel , friendly helpful staff - could not ask . booked room almost half list price booking online . extremely happy stay , recommend hotel enthusiasm . 
 Nov 24 2008 	 Comfortable Stay 	 hotel priceline bid real expectation begin . hope clean comfortable . arrive 5 pm Friday , line problem check . room spacious clean amenity expect ( shampoo , conditioner , soap , hair dryer , iron , safe ) . room hot side opening window turn thermostat fix problem . find bathroom clean sign mold / mildew peel paint . bed little lumpy 's futon style mattress put top regular mattress . overall , sleep fine not wake stiff back anything like . little worried reading review not experience attitude staff . comment ridiculously overprice food correct ... $ 40 continential breakfast accurate . think french toast $ 28 . needless say , eat elsewhere ! use pool , gym , fitness center business center . really use hotel sleep end day . I would absolutely return hotel would hesitate recommend friend sure look hotel . special need reason book particular hotel could not really comment not use service . doorman fantastic check help we get taxi load luggage back . take picture room attach . say , would definitely return hotel . 
 Nov 21 2008 	 terrible disappointment 	 hotel lot problem need sort . give problem current rate , competitive New York hotel market . stay two night , unless improve , will never return . 's shame 's great location staff really good . the problem stretch across aspect hotel . staff inconsistent : friendly , real attitude problem . room old , mediocre condition cleanest see . internet access intermittent slow throughout stay . Breakfast Norma 's shockingly expensive really poor quality -- , staff terrible attitude . my room far warm apparently hotel turn air conditioning winter : option offer & quot ; open windows & quot ; -- fine advice , gale blow outside loud construction work 10 m window not really practical . to add insult injury , every single thing hotel seem & quot ; funny & quot ; statement write orange . & quot ; cup upside & quot ; bottom mug laundry slip style arrest warrant . not funny wish would give put effort make hotel bit well . 
