excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Aug 3 2009 	 great find ! 	 Husband travel New York first time February . absolutely idea expect Hotel assure pleasantly surprised ! good point : big room , Comfy Bed , clean daily , plenty storage importantly , kitchen ! ! ! ! brilliant , save much money . end small shop essential like cereal , bread , milk etc . get leisure every morning , watch sky tv breakfast peace . can not bear bleary eyed , buffet breakfast room nonsense get hotel dictate time get eat ! also help we hard day sightseeing . last thing want night go eat . really expensive restaurant great . , would grab take somewhere take back room . perfect ! ! ! also , perfectly locate . close enough walk everywhere yet far enough away get away madness five minute . staff can not enough . tourist info booth hotel lobby , use ! bad point : bathroom TINY ! ! ! big enough one person . 5 ft , size 10 feel claustraphobic . big people , maybe go somewhere else ! decor could update bit draft window . overall hotel perfect want . would def go again . try go Niles restaurant really tasty Cosmopolitan . go across road brilliant Bagels . ( can not remember name , come main hotel entrance , cross road , turn leave walk need cross , bagel shop right . ) 
 Aug 2 2009 	 unbelievable location great service 	 ' ve stay NY twice , say unassuming midtown hotel really tick box . first , location fantastic . always go little walk New York , Affinia within 4 easy block Times Square Broadway , 2 Empire State Building Macy 's , Madison Sq Garden literally across road Main NY Post Office ( post overweight purchase back home ! ! ) 1 block . take $ 8 taxi ride Circle Line boat tour around NY harbour . really great . the Affinia definitely ' old style ' hotel , comfortable description not charge like wound bull privilege . everything work , well place not jar we . could use free WiFi sit lobby front elevator piggy - back Dunkin ' donut network next door ( everyone , not worry ) . staff helpful even allow we check - in 5 hour early particularly rough flight , something not do . no complaint - deal hand room rate , hotel one good option ' ve find Big Apple . 
 Jul 31 2009 	 Affinia awesome ! 	 nice , arrive late recieve upgrade room $ 160 ! nice room , great service , location perfect we . street noise , city never sleep ! probably return unfortunatly , need Marriott point , till would reccomend anyone ! 
 Jul 31 2009 	 good previous occasion 	 stay 3 night July party 7 ( include one infant ) book two seperate one bedroom suite . special request apart beng floor possible even not essential . stay hotel know expect thought . to put mildly , one room allocate ( 715 ) awful . totally depress practically natural light , barely enough room walk around bed crib infant suppose go mystery we , perhaps bathroom ? ? previous occasion also stay one bed suite hotel please decent sized bedroom , two seperate bathroom nice open living area . not occassion , much much small room , natural light whatsover adjacent building close two side , one small bathroom perhaps form welcome gift half consume bottle white wine fridge . thing change wa sthe price pay not cheap . eventually several phone call tell room available next day move room 2020 great improvement still booked pay for . two problem stay worth mention . one morning bed not even half make maid . Duvet throw bed underneath sheet still crumple obviously touch request late check ( 2 extra hour ) could not accomodate despite fact checking take almost hour half rectify poor accomodation initially provide we with . we great day New York Affinia not contribute enjoyment occassion . might see post rarely , ever , complaint quite unusual we negative occassion warrant . the Big Apple lose none shine Affinia Manhattan certainly will not ever stay . 
 Jul 30 2009 	 Great Hotel Great Location Great Holiday 	 not New York , really glad travel agent suggest hotel . comfortable staff extremely helpful . location excellent Times Square , Empire State Building Macy 's within walking distance . 
 Jul 28 2009 	 large room good price . excellent ! 	 usd 140 include taxis excellent price - quality 4th July weekend . king - size bed , lot space luggage kitchenette . pillow menu little free extra like hairdryer curly hair plus . service desk middle lobby great ! help question concern city NY . 
 Jul 27 2009 	 Fantastic - Brilliant hotel 	 hotel lovely . huge spacious room kitchen area , Aveda product bathroom too . this hotel awesome location , could not wish well . the staff really helpful polite nothing much trouble . would recommend hotel would love stay . 
 Jul 25 2009 	 impressed 	 location great -- close Penn Station downtown attraction . my room suite -- not request need . two bathroom kitchen room extremely dark dingy , even light on . the carpet , wall drape old tired -- carpet stain . the bed comfortable overall room smell terrible not want spend time necessary . also , AC window unit loud leaky . would recommend place . 
 Jul 24 2009 	 Perfect Accomodation 4 adult travel together ! 	 mom , dad , husband , recently spend six night Affinia Manhattan . suite one bedroom , 2 bathroom , live / dining combo , kitchen , 4 closet ! arrangement provide we space ever even hope . room quite comfortable - little & quot ; tired & quot ; & quot ; date & quot ; price pay could not complain . find great deal Travel Zoo friendly reservation clerk allow book direct , match price . minute subway use mode transportation almost exclusively . concierge 's desk always staff helpful , friendly , knowledgeable people , always happy answer question give we direction place . one subway stop Times Square stop sight . would recommend hotel anyone desire clean , comfortable , reasonably price place stay . 
 Jul 24 2009 	 great location extremely comfortable 	 arrive allocate room 19th floor . shower drip night , air con break could open curtain . complain next morning give small ( although noisy ) room 7th floor clean comfortable . staff reception delight hotel manager give half internet rental back go day generous . location amazing good choice attraction learn subway bus work . return New York would certainly consider stay . fantastic week explore New York Macy 's ( round corner ) load bargain . 
 Jul 24 2009 	 great location good value 	 Booked Priceline . stay 4 night wife 4 kid ( 7 - 16 ) . plenty room , great view Rm 717 . quiet safe . excellent laundry facility , Penn Central everything need good price ( CVS , Breakfast , etc ) . much cheap breakfast buffet . Close Macy 's , subway , Times Square . second stay would stay . 
 Jul 23 2009 	 lovely hotel great service 	 much well expect read tired room review certainly be not minute decor spotlessly clean . staff , without exception , warm , friendly professional . slight drawback check room not ready receptionist offer alternative room . say think would well suggest one huge large bed room book . naively ssume cost would thesame look receipt taxi leave . yup , fool ! note self ; check receipt leave not polite ask & quot ; cost we ? & quot ; offer alternative room ! would stay travel kid tho . 
 Jul 23 2009 	 great location mid price hotel 	 friend first timer New York prove great location . walk everywhere Macy 's , Starbucks , little grocery / deli next door , one good italian restaurant ' ve eat step hotel , great find . sure , room little date , find clean spacious . room smell smoke check , rung reception change room problem - much big room fact go way ensure happy new room . conceirge helpful . eat restaurant twice food fine similarly price restaurant elsewhere . negative noise - near fire station seem come go night . suspect NY , city never sleep , lot noise fairly typical , probably not bad anywhere else . overall good location competitvely price New York . 
 Jul 22 2009 	 comfortable stay 	 centrally locate travel to - from Penn Station . small kitchen handy self catering breakfast pricey shop nearby fruit etc . fire brigade next door could wake every night ! also central walk major attraction central park , Macey 's , Times Square etc .. 
 Jul 22 2009 	 great place . beyond expectation . definitely stay ! 	 stay 4 night find room large ( New York ) separate bedroom pull couch living room . order save money use kitchen every day -- work fridge full size . staff concierge desk go way make stay pleasant , give we direction , always ask anything else need . central location ( right across Madison Square Garden ) , clean , comfortable , true bargain . street noise take day get use love lean window watch cab people mill around Penn Station . stay next time be New York . 
 Jul 22 2009 	 Staying hotel plus order close everything 	 hotel locate great spot . across way Penn Station / Madison Square Garden . close spot want visit kinda far , take subway . hotel staff great helpful . outside hotel lobby nice . room roomy need update alittle . 's clean hotel offer selection pillow kit helpful . bar restaurant nice alittle pricey . room offer much view unless face 7th Ave . stay 1 bedroom suite 2 bathroom , living room kitchen . get noisy due traffic , big deal . 
 Jul 22 2009 	 great hotel 	 return 5 night stay 2 teenage child . 1 bedroom suite really large 2 bathroom . location really good short walk time square 2 block Macys . stay Dumont last year hotel equally good . aveda product real bonus ! would stay either hotel go back New York 
 Jul 19 2009 	 Pleasant stay great location large comfortable suite 	 husband spend 2 night Affinity Manhattan , base trip advisor review . come Penn station train , location great -- practically across street -- luggage problem . check quick clerk friendly , good part arrive 10:00 Friday morning able check room ! within minute settle room , deliver & quot ; experience kit & quot ; ( see ) order on - line . reserve 1 - br suite -- 3 separate room : kitchen , living room bedroom . really feel apartment rather hotel room , appeal need , highly recommend . course suite expensive small room , not see small room , comment they . pro : suite spacious bright , large window . 26th floor wonderful , sweeping view city . living room sofa , comfortable chair , large nice desk , tv 2 large window . sofa LR pull bed , would work well couple child . kitchen stock basic supply , include coffee pot , toaster , dish , etc . stove , full size refrigerator , microwave -- could cook meal really want ( pot pan limit ) . window . housekeeping wash dish ( not always ) . little store door street basic might need , bring you . room clean , bed comfortable . tv 2 large window . choose type pillow bed . also , make reservation , go website order & quot ; experience kit , & quot ; little perk Affinia hotel offer . great mid - town location easily accessible Penn station , Madison square station . feel safe area , even evening lot activity . con -- not find con problem , folk might . this not bother we , old hotel luxe ( although lobby pretty -- also notice beautiful , old elevator ) . room furnish like someone 's apartment -- mix furniture -- match hotel type furniture . picky hotel , find kind & quot ; retro & quot ; comfortable . bathroom small fancy . tub shower , large water pressure temperature work fine . window air conditioner -- cool well not think noisy bothersome . able adjust temperture . 
 Jul 16 2009 	 Excellent 	 husband stay July 1 5/09 . four night stay . upgrade we new celebrate 25th wedding annivesary get suite separate bedroom , full kitchen , living room large balcony table chair overlook Madison Square Gardens . incredible . People friendly concierge helpful question . definitely stay Affinia Manhattan . make memorable we . Happy Patrons Toronto , Ontario Canada 
 Jul 15 2009 	 Great Value Location Family 5 	 hard find room family 5 NYC . glad listen review hotel perfect family getaway . Stayed June 25th- 30th 1 bdrm deluxe definitely stay . arrive via Amtrak train Penn Stn , across street . easy access subway . large room - 3 teen boy , good space . frig handy cold drink , etc . clean , well - keep room - like could open window , nice breeze . easy walk Times Square , Broadway . concierge helpful . recommend Tick Tock diner quick breakfast , Antique Cafe leisurely one . look forward return ! 
 Jul 14 2009 	 excellent choice Midtown 	 wife spend part honeymoon Affinia , June 12th June 22nd . get excellent deal Travelzoo ( 150,00 / day taxis ) , midtown excellent price . we get studio suite , excellent space , small kitchen fridge , oven , toaster coffee make , pot pan . complain size bathroom , we enough . could see room bit old , be well keep clean . I not try room wi - fi , business center internet access lobby , bit expensive . concierge center lobby arrange ticket several attraction , handy nice service ( especially Ashley ) . not try Niles , restaurant next door , also offer breakfast service . location excellent , right across Penn Station . get Metrocard unlimited week , great bargain , since travel subway throughout entire island 24 hour day . never feel unsafe walk street subway night . we get JFK use Air Train LIRR , cross street get hotel . 's good lot bag though , since go several floor Penn Station street , Penn Station busy day long . I would definitely recommend Affinia ! 
 Jul 13 2009 	 great location 1st time visitor NYC 	 back one week NYC great exhausting ! Journey Newark Intl nice easy arrive Penn Station literally road hotel - great ! got key see floor 23 27 ... good start - higher well ! turn view lounge bedroom Empire State Building ! yay ! really good sized accomodation apart bathroom . save grace 2 bathroom least much squeeze really tiny - shower , bath . really good amount storage , folder bed / sofa chair . Kitchenette basic - never really use though look like lack pan , kettle etc be really go use right ? suite seperate bedroom great . safe room . clean service pretty basic seem make bed maybe change towel fine . really need use front desk dedicate info area core hour . bar clean . location great first timer near station , main link tube obvious site Empire State , Rockerfeller , Macys , Bryant Park etc etc . even tube walk lot bring flat ! number cafe nearby prob breakfast bagel eat ! suggest nget takeaway food head bryant park nearby chill lunch one first day - ease . Recommend Top Rock ( go early- Qs week 930am go ) , Staten Island Ferry ( be free ) get Statue Liberty profile pic NYC .... Soho / Nolita etc definately worth like shopping - early chill fo lunch ... much ! oh definately get Broadway show - call Tues get ticket directly box office thur Phantom - $ 26.50 view fine price , be relatively small theatre .... hotel pretty noisy would imagine place - 23 floor side window poss request floor 23 side . air con loud . well leave one lounge leave bedroom door open . Decor okay place , other say , need uplift . room would appear shabby get great price ( hotels.com ) glad get suite . would recommend mainly first time traveller everything nearby would stay . 
 Jul 12 2009 	 excellent location good sized accommodation 	 four night stay enjoyable . quite spacious room two queen bed , kitchenette fridge plus ( four people cup , bowl etc three ! , also stove absolutely pot , pan , microwave reheat dish etc . ) also sofa bed give teenaged daughter bed . pillow menu ( excited aforementioned teenager ) plus offer walking tour New York ipod free - good bonus want DIY . across Madison Square Gardens , short stroll subway & amp ; Penn Station & amp ; close walk large department store world ( Macys ) , also close walk Empire State Bldg far Times Square . also plus hotel police precinct next door fire station siren make New York sound scene be not obtrusive thru night - make safe area . would thoroughly recommend get good deal 
 Jul 10 2009 	 Loved Affinia ! 	 husband stay Affinia Manhattan July 2nd July 8th . large studio room 20th floor view Madison Square Garden Seventh Avenue . room comfortable king size bed , chair ottoman , work desk chair , kitchen ( full sized refrigerator , gas stove , cupboard space service two ) , plus small , yet functional bathroom . husband really like light mirror bathroom ! room little date term style , service daily basis keep clean . sleep well every night comfortable bed , enjoy pillow selection Aveda product great . definitely recommend request high - number floor make reservation . get special internet rate Affinia 's website even well travelzoo rate initially reserve . staff hotel wonderful . friendly accommodate . ask additional toiletry dish soap receive immediately . we also eat Niles Restaurant , affiliated hotel , get 20 % bill since stay Affinia . believe special end Labor Day . both husband would highly recommend stay Affinia Manhattan close proximity public transportation , large room , helpful staff . 
 Jul 4 2009 	 ... ` ` WOW '' 	 return first trip Affinia Manhattan ... say first , absolutely stay next time go New York . glad find deal hotel , glad change small & quot ; hip & quot ; hotel upper west side post asap . hotel great location - walk everywhere ... ' m real & quot ; walker & quot ; . everything close , though , head end Chelsea , Times Square , Village , etc . location , even though great , good part . actual hotel wonderful ! small room category , plenty large taste . much large many apartment NY . bed ultra - comfortable , small kitchen put good use , large desk , plenty closet space , fair - sized bathroom . read several review note small bathroom , can not believe people apartment NY bathroom large ' ve see ( large ) ! even though hotel new , signe wear tear , everything keep immaculately clean . still , think , good part staff . everyone , check check ( go quickly ) ; doorman always greet one witha smile ; helpful friendly maid ; 2 lady speak concierge desk ... great attitude . Believe ot , ' m try figure return another long weekend school start - great time ! breakfast deliver room stay , everything delicious . also plenty place within easy walk distance ( block ) serve every kind food think . especially enjoy place 7th specialized mac - n - cheese , wonderful bar - b - q restaurant couple block away . stay .... soon well ! 
 Jul 4 2009 	 great price central location awesome staff comfy bed ! 	 initially book hotel thru priceline do not expect anything spectacular espcially consider price pay ( $ 140 include taxis ) boy shock receive ! take bus DC bus stop right across street hotel ( 31st Street 7th avenue ) - 1 block away Madison Square Garden . outside hotel bell man baggage handler find great . front desk extremely busy could see take time check ensure guest everything need question answer . we check room 1013 right elevator still far enough removed noise . walk huge living room table 2 hang light right , nice size couch middle room large leather foot rest & amp ; tv . right , kitchen full range stove w/ pot & amp ; pan , microwave fridge . also breakfast bar stool . off left desk chair , large coat closet full bathroom . beyond private bedroom queen size bed twin bed , tv , dresser , large walk closet , double mirror slide glass door closet another full bathroom . the bed extremely comfy hotel room quiet . centrally locate near Penn Station , MSG , Macys , short walk Times Square near 1 , 9 , 2 , 3 , , B & amp ; c train . overall real complaint suggest maybe replace living room couch ( little tattered ) . would definitely stay say would stay rack room rate @ time ( $ 400 ) . 
 Jun 28 2009 	 Baseball Road Trip 	 brother & quot ; baseball road trip & quot ; Yankee Stadium one stop . get great price hotel $ 125 include taxis Priceline . thing worry want two bed . get room Priceline , give one double bed . extra fee get room two bed . also , request quiet room . right 7th Ave NY , never quiet down . the hotel perfect location . right across street Penn Station subway stop everywhere . able take subway stop 34th 6th directly Yankee Stadium without change subway . picky people we room great . room two bed include kitchen . bathroom small , not matter we . 
 Jun 25 2009 	 fabulous hospitality front desk ! 	 Affinia Manhattan offer wonderful experience two night stay summer . great accomodation , thank Janet front desk . great feature hotel include responsive staff area . solo traveler , bellman great offer assistance , especially morning need cab rush hour check early . also , Janet front desk cordial help room assignment way make feel grateful . also let know could type pillow want ( great feature ! ) many offer menu selection . 's spa , not enough time take advantage , also stock Aveda product bathroom , like . Conceierge help figure get Brooklyn use mass transit . everyone great . hotel old , keep well . location can not beat ... able walk around anything need . Whole Foods grocery block walk away , Madison Square Garden across street . walk downtown village hotel ! great location ! would highly recommend hotel look economical place stay adequate convenient NYC offer . 
 Jun 23 2009 	 Excellent experience well worth stay 	 travel NYC frequently stay many hotel . stay Affinia great . first , allow check 10 am . check breeze . second room big spacious separate kitchenette . third , window open plus fresh air . get reservation online price $ 150 night . really great experience . tad noisy ( next door fire station ) cab honking - 's across MSG / Penn Sta . be expect . Walk Times Square check new street seating experiment . 
 Jun 21 2009 	 great hotel good location huge room 	 stay get great special rate . be locate right across street Madison Square Garden Penn Station , great location take train . staff friendly helpful . room huge - two double bed , desk , chair , dresser . two closet kitchen . problem bathroom small , although nice sink . Hair Dryer also include , room get dress . there window air conditioner instead central a / c keep room cool , window totally seal / closed noise outside unusually loud . suggest put double pane window seal window minimize outside noise . otherwise room hotel great . 
 Jun 21 2009 	 great location - spacious room 	 together husband parent , stay 7 night Affinia Manhattan delight spacious room central loaction . hallway hotel need update room provision small kitchen room super allow we prepare breakfast morning head sightseeing adventure . opposite Penn Station also allow we easily travel Long Island visit relative . upon checkout receptionist give we clear easy instruction use Long Island Rail travel JKF flight home . prove easy cost effective journey take less time taxi journey ! ! ! staff helpful would definately recommend Affinia Manhattan location spaciousness . beware though bathroom room small shower tiny . however two bedroom 12th floor perfect . would definately stay . 
 Jun 19 2009 	 Great Hotel : clean spacious professional 	 stay Affinia Manhattan four night June 2009 . first , hotel step Penn Station , make convenient get JFK airport via Long Island Railroad . location close enough Times Square could walk , take subway ( one block hotel ) . room large NYC hotel room ' ve ever stay . room three closet ! strangely , tiny bathroom . size bathroom reason give hotel 4 star instead 5 . shower stall barely enough room turn around ! wish enlarged bathroom take away one closet . however , room clean comfortable . corner room 23rd floor , window two side . could open window bit let fresh air , nice . staff extremely friendly professional . would definitely recommend Affinia . 
 Jun 14 2009 	 fab hotel great location 	 husband stay hotel 4 night , 23rd floor , room lovely spacious , staff friendly helpful , need advicefrom concierge eat drink helpful . great location everything , 20 min half hour walk central park hotel , keep walk 7th avenue hit attraction , rock , empire state , macy 's central park oh forget times square . across road hotel great bar without go mile , mustang harrys great food drink . 
 Jun 12 2009 	 top notch Reasonable Price 	 arrive , immediately upgrade suite 2 bedroom 3 bath . everything clean whistle view 27th floor magnificent ! room spacious charming . add bonus kitchen full - size refrigerator allow we keep beverage chill . staff helpful throughout stay hotel , centrally locate almost everything . would not hesitate recommend Affinia friend stay . 
 Jun 11 2009 	 good location - friendly staff 	 Hotel location excellent . also staff , mainly restaurant staff nice . room clean big , bathroom small . bad point lack bussiness center meeting room aren´t confortable . room small kitchen well equip . 
 Jun 10 2009 	 great hotel poor service 	 stay june , hotel clean , excellent location , service ( concierge ) poor point unhelpful , , tourist try get info & quot ; local & quot ; , see , eat , annoying . 
 Jun 10 2009 	 good location however bit noisy curtain mean bright room 	 overall good stay . clean hotel room good size compare stay Hudson yrs ago . bathroom slightly small , one person time ! ! . 4th floor u could defiantely everything go , . fire station nearby . window whithe blind nothing stop light morning . u early starter get hangover getting club 5 am ai not problem ! ! also convention floor lot ppl milling aroundfriendly staff overall good would prob stay would ask top floor . 
 Jun 8 2009 	 great location good value money New York close Time Square 	 stay 4 night , room spacious expect especially New York . know pay lot money space New York pleasantly surprised room . large lounge room kitchen two bedroom , two bathroom . although bathroom big acceptable . 28th floor could still hear street noise . the negative 8 us crockery cutlery 4 , ask clean staff additional get any . Madison Square Garden straight across road Penn station directly next . subway although grotty fast mean transport . Macy 's three block Time square tweleve block . go sightseeing bus tour informative . Central Park beautiful would expect , even though rain get drench fun . the World Trade centre re - build hard imagine devastation 9/11 sad day history . we catch free Staten Island ferry see statue Liberty . there new supermarket open two block towards 29th street two block 9th call Met everything need . if hire car 7 fuel station Manhattan Island . the hotel business centre pricy $ 5 12 minute . they coin operate laundry hide away back service staff amenity . 
 Jun 7 2009 	 large spacious room Good Value 	 read lot review book Hotel New york City . want stay mid - town near action , ofcourse hotel do not come cheap Mid - Town Manhattan . 7 people family book 1 bedroom Suite couple get usd 179 per room , huge 500 sft Suite good spacious living area , bedroom 2 bathroom Suites . bang opposite Penn Station , 2 block 11 story Macy 's , block Empire State Building Time Square . would definitely recommend hotel anyone go family look good , spacious , clean accommodation Mid - Town . do not go negative review , hotel NYC Old Old Elevators , Old Carpet etc . get clean , properly maintain room good linen Affinia - that s need NYC . 
 Jun 5 2009 	 fantastic hotel ... 	 enjoy stay Affinia Manhattan much . great location Madison square garden . nice clean room include kitchen fridge , stove , microwave . friendly staff . tv break , send engineer prompltly fix . later deliver bottle wine inconvenience plus free pay tv rest stay . definetily stay next time NYC . can not wait . 
 Jun 3 2009 	 Excelent hotel 	 last week hotel . five people one bedroom suite ( rrom last living room ) great . two bathroom clean great kitchen . noisy 18º floor . book trhough web charge exactelly price know . recomend hotel , locate heart Manhattan . 
 Jun 3 2009 	 Perfect 	 husband go NY 1st wedding anniversary . little skeptical see review Affina - need worried people complain obviously full time whinger general life . ! affina perfectly locate within minute time sq , fifth avenue . central park , harbour , attraction walkable cab take 7 $ . room spacious NY ammenite need comfortable & amp ; clean , yes room maybe little dated come NY worry decor ? . stay 13th Floor happy noise level floor . like we spend day evening tiredness take .... : ) thank conceige enough think name Nova arrange restaurant reservation include lovely italian actual anniversary well stand comedy ticket Carolines Broadway . would throughly recommend speak live ! ! - show real ny Wendys Mcdonalds ! - lucky get good deal hotel think general rack rate quite expensive . pay prodemently location , fault service , housekeep anything hotel ..... 
 Jun 3 2009 	 right heart Manhattan spacious clean super - comfy bed . 	 complaint coffee maker , even though fairly well - stock kitchenette . thank goodness little deli - grocery next door . 
 Jun 1 2009 	 return 	 stay Affainia Manhattan . pleasant surprise . room spacious . great stay even well value . side small bathroom would complaint . nice view Empire State Building . would return hotel . 
 Jun 1 2009 	 get grip everybody 	 book hotel , nervously read negative review , extremely relieved realise people whinger . hotel GREAT , location FABULOUS , staff HELPFUL , room LARGE . yes carpet hallyway tired , CARES , yes fire truck , police car sometimes noisy , , want peace quiet - go holiday Antartica , be Manhattan , retirement home . yes bathroom little small side , go stay Plaza want large bathroom - stop complain everyone enjoy experience . have mention location ? ? ? walk downtown uptown , halfway - superb . take subway across road . Central Park 25 min walk , 5th avenue - walk distance Times Square . village Meat Packing district 20 m walk . spend 2 week hotel , could fault . good coffee , dunkin donut next door - seriously ; breakfast - tick tock diner 34th 8th ; cosmic cafe W31st 100 m hotel . do not miss Bleeker St Pizza Village Magnolia Bakery . balthazar great night dinner , Pastis bar scene . 4 satisfied traveller Brisbane Australia 
 May 29 2009 	 's definitely tired get pay 	 stay past week . like reviwer , place definitely use spruce . also accommodate request , ' ve ask high floor , get high floor . expect window unit , truly little engine could spout cool air . luckily , sleep w/ window open fine . room must ' ve suite kind , room spacious , one Queen bed , chaste , desk , well equip kitchenette . 3 decent size closet , bathroom 2x2 good . two us girl stay , none we want go bathroom change . room kitchenette . hot water take long time warm , make feel bad waste water wait warm . staff definitely friendly accommodate , except bell man offer take luggage . doorman argue w/ Cabbie business . without . location , be near need , close enough alot thing . I book deal via Quikbook , lucky check hotel website offer cheap price discount website . price pay time , be ok . definitely could use big bathroom . 
 May 29 2009 	 would pay full price hotel 	 stay May 20 - 24 . agree hotel dire need massive makeover . recommend hotel find good deal . originally book Travelzoo promo . check hotel 's website week trip find even well deal . hallway lead room stench . Suite roomy : one bedroom w / king bed two bathroom . room 's linen clean . bathroom clean enough , grout around tub area re - do . blind dusty . kitchen clean enough , originally provide we dish soap next day . sole escalator go one - way : . self serve laundry area outright creepy . 
 May 28 2009 	 be room lot 's fine 	 ' ve read review . must agree , hotel need make - over fine girl - friend getaway plan shop , take theatre , room pretty much sleep cook breakfast . kitchen plus we sleep late , still able grab egg toast room leisure . our room two bathroom great we . would go somewhere else husband though .... hotel tired . 
 may 23 2009 	 Perfect Place stay Central New York 	 thrilled hotel . location fantastic , close Penn station ( cheap airport transfer fare ) subway surround Delis , great restaurant oh delicious pancake house . junior suite 2 double bed , sit area table overlook view 7th Ave , desk , usual en- suite , good kitchenette full size fridge , freezer , microwave cooker . Super come back room deli food , cold drink , gaze exciting New York scene we recharge battery . ask corner room get great view higher well . hotel staff super , friendly helpful , clean . loved place definitely would return . worth pay bit extra ( pay £ 120 per night inclusive ) .hope help . know 's hard choose somewhere never . realise 's right hub thing want quiet 's . say 16th floor could & quot ; see & quot ; hear noise ! 
 May 20 2009 	 tired hotel 	 other say , hotel bad need make - over . room kitchenette , not need , take lot space room . room dark dingy . window - unit AC , load work . insulation room well . bed comfortable . bad not well experience , location great come leave via Amtrak . 
