Embassy 	 staff friendly helpful . breakfast one good ' ve hotel . get attend evening reception working , see look friendly inviting . stay next time travel Vegas . 
 may 10 2007 	 great value extra well ! 	 great value ! concerned bad review people love complain . hotel offer free high speed internet , ( can not even get Ceasar 's ) large fridge , even free bottled water . check prompt want smoking room reserve king suite non smoking . bring disturb sign door check room 9AM . minor problem therre one ice machine run ice bar quick fill ice bucket ask . casino small like not other right door though slot machine everywhere . 
 May 4 2007 	 Great break strip 	 husband need one night stay Las Vegas travel Arizona . Embassey Suites great . slot machine smoke one reason choose . business center two computer . front desk wonderful direction , quick check check . breakfast great , typical Embassey Suites . small gift shop main floor . fun water fountain lobby . room nicely furnish . king size bed comfortable . little warm room way control . think front desk control room temperature . enjoy fact stip quiet . easy drive Venitian . parking free back street . pool area , time use advise . look strip hotel one nice close enough drive everything . 
 May 4 2007 	 Great Hotel 	 hotel great , except one day . new hotel , room great . problem air conditioner . one night ( 1:00am ) wake pool sweat . air conditioner decide turn self turn heater . wake room 95 degree . call front desk guess happen several time sheet paper direction . problem room key working . tell key next cell phone . read reviews event happen entire month April . breakfast great manager special . first time chilli cheese fry manager night . hotel face back venetian/ Wynn . monorail run right front hotel , catch monorail need drive station . think reservation desk tell shuttle hotel airport , hotel take airport . 
 Apr 9 2007 	 Loved ! 	 wife stay hotel March 23 - 25 enjoy mostly everything . location great ... far strip . rent car weekend problem get strip back . would recommend rent car versus take monorail walking monorail close hotel parking free strip . the happy hour fantastic breakfast . downside breakfast line get little long .. move fairly fast . plenty choice keep bring food food get low . the hot tub huge ! not use pool ... can not really comment . room big bed comfortable . downside room smell like smoke . & quot ; non - smoking & quot ; room clearly smoke . not really bother we mintue stay room . everything hotel really clean nice . would say average typical Embassy Suites . nice little strip receive break light , people , casino ! definitely stay . 
 Mar 25 2007 	 Glad stay 	 Marriott Courtyard Paradise Rd , disappointed move first night . Embassy Suites Hotel Convention Center bright , clean inviting . complimentary happy hour offer every evening full breakfast iwas serve morning . please stay . 
 Mar 18 2007 	 Wonderful stay 	 choose hotel strip since travel teen Nascar race . suite 2 double bed sofa bed spacious expect work wonderfully family spread bit . breakfast among good ' ve Embassy Suites evening manager 's reception include thing chili - cheese fry nachos addition standard snack mix . even though hotel sell five night stay , never encounter problem parking availability rental car . location great we . want something strip , 2 minute drive , nice away hubbub . business center 's two computer great check email check flight . 
 Mar 9 2007 	 Great Place 	 Embassy Suites hotel fantastic . quiet ! ! ! ! ! great morning buffet type breakfast , great large outside hot tub , plenty room suite ! would highly recommend . high room ... well . also stay away low floor 1 - 4 near front nightly noise cause manager 's reception stay away first 3 floor rear hotel due free breakfast area . 
 Mar 8 2007 	 Sin City Fun 	 Embassy Suites ... else say . actually , nice set up . there pluse minus . plus ... convienent place stay involved convention . happy hour ( complimentary ) nice spread appetizer , chip pretzal . sun atrium might problem face front hotel light rest hotel . breakfast , Embassy 's , good . seat adequate tv catch CNN ESPN ever . room decent normal suite set ( small refrigerator , microwave , sink , living room bedroom ) . hotel noisy plus . for minus ... strip . long walk strip . well walk convention center ( 10 - 15 minute walk ) catch monorail strip . pool indoor 's much compare set pool top casino 's . parking difficult depend full hotel . gambling fix ... slot table hotel . overall , still enjoy stay Embassy 's . Hilton Honor 's member even check online 24 hour hand select room . good luck traveler ... even well luck gambler . 
 Feb 11 2007 	 beware ! nice hotel may stuck 	 husband & amp ; stay convention Sands Convention Ctr . Feb. 8 - 10 , 2007 . suite nice - spacious , clean , comfy bed , good sized fridge , 2 tv 's . free Breakfast quite good -- yummy omlet . free cocktail 5:30 7:30 zoo , bartender pour well good guy . staff pleasant , although take nagging check early -- not seem jumping hoop get room early 3 pm check - in time . problem get hotel . monorail 3 loooooong block away , drop way back hotel . walk Sands conv . center loooong 1/2 mile . try get cab pick we Friday nite prove impossible . end eat hotel restaurant -- choice , actually pretty good . guest report similar frustration get Strip . miss dinner reservation due lack cab . love walk pretty good shape , Vegas demand lot walk anyway , foot get tired enough walk strip , Fashion Show Mall , etc . cab time day available . seem lot family kid gymnastic cheerleadingtournament -- fine hotel go stuff strip , stay mid - week . 
 Dec 20 2006 	 nice hotel away glitz close enough fun 	 stay business Dec. 14 - 16th . 2006 . overall decent place , friendly staff , convenient location , problem . work Las Vegas frequently , ' m big gambler see sight . hotel nice change pace , slot machine lobby like majority establishment LV . room nice , Embassy Suites , 2 room suite , bed comfortable , mini fridge handy soft drink usually road , breakfast good [ fresh prepared omelet selection ] location fair good . Paradise road east strip , 's area would recommend walk around late night like strip , feel safe secure . convenient visit Las Vegas Convention center , not business convention center particular trip stay hotel LV attend convention be either cab fare , monorail ride , long painful walk . Embassy Suites . go one night , walk convention center monorail station , catch free shuttle new Wynn Resort [ WOW ! ] , walk south strip Paris / Bally 's catch LV monorail back hotel 5 minute walk convention center monorail station . something always rate hotel quality internet connection need work . easily connect wireless & quot ; excellent & quot ; connection 8th floor suite . overall nice stay , would recommend hotel anyone need gambling casino site . 
 Dec 12 2006 	 great place strip 	 recently stay hotel Dec. 5 - 8 , 2006 . room huge . every room two room suite , would great family . can not comment housekeeping keep ' do disturb ' sign door not require new sheet towel night stay . full complimentary breakfast every morning great ; make order omelette , potato , bacon , scramble egg , etc . include beverage . definitely worth get . drawback hotel location . plan spend lot time strip , will need transportation within walking distance . utilize taxi monorail mainly , become pretty costly . Las Vegas Convention Center within walking distance , however ; also near monorail stop . 
 Dec 6 2006 	 Strip convenient Monorail 	 stay early December three night . Typical Embassy Suites property , maybe near top range brand term overall condition room hotel . Hilton Hhonors member , maybe one well choice town . Location Paradise Road , run parallel Strip ( LV Blvd ) . easy 10 - minute walk north Convention Center monorail station , additional 5 minute reach north hall Convention Center . find convenient enough leisure trip . tip : across monorail station SW corner Paradise Desert Inn road wait area Wynn shuttle . room small balcony wide enough stand get fresh air . room end hall 9th 10th floor gigantic balcony lounge chair . hhonor Diamond member , might ask place there . property attract business traveler family . consider free breakfast happy hour , be good value alternative casino property strip especially rent car anyway . Monorail $ 5 / one way ( buy two - ride ticket $ 9 ... two people use ) , taxi mid - strip ( Paris ) $ 10 . 
 Nov 30 2006 	 surprised 	 little leary come hotel review read , honestly pick place want Hilton Honor Points . pull hotel , even leary ..... exterior quite & quot ; 70 's & quot ; afraid interior would well . pleasantly surprised see place completely remodel . new furniture , carpet , granite countertop boot ! room spacious two room suite kitchenette . benefit parking lot , not walk three block valet park get hotel . free drink evening reception plus well . great place stay not mind little way strip ! 
 Nov 9 2006 	 Best non casino hotel 	 hotel beat ! ! near action ( right next convention center ) near ! get home . e.suite relief strip . thing much quieter . mondo view room huge balcony chaise lounger patio table chair face monorail golf course . hotel sit behind Wynn .. sleep like baby comfy king size bed ! . stay many Embassy Suites , one top ! breakfast manager 's afternoon ( free drink / snack ) great ! love nice guard unlike strip ( kid ) . room awesome granite countertop / sink top . however , free shuttle strip . thing miss jet tub ! ! A+ 
 Oct 17 2006 	 great free extra ! ! 	 spend night weekene price excellent compare mile away strip . locate close Monorail station comfortable room wise budget decision . good thing hte hotel 5.30pm 7.30pm free drink ( anything want ) bar snack ( pretzel / nachos ) resident . great way start Vegas evening hearty breakfast well recommend return next morning . 
 Oct 6 2006 	 great Breakfast ! 	 's nothing fancy like big resort / casino strip . 1 - bedroom suite 3 - star quality . nice , least clean . sofabe need replace since 's bouncy could feel spring ! include breakfast really good ! make omlette order be plenty hot item . 
 Oct 2 2006 	 Great Hotel Vegas 	 want enjoy vegas offer , sleep well night , stay Embassy Suites convention center . hotel clean , quite breakfast great pleasant start day . to enjoy hotel , rent car drive hotel strip plus downtown night . night , drive paradise road hotel . safe park lot convenience store next door get beverage need . hotel staff go way care , vegas . cechis time deal , take less 5 minute compare 1 hour strip . have tourist information go get somewhere else vegas , hotel none staff act like live vegas . remember , rent car , cost $ 20.00 per day thrifty.p.s . get convertable glad 
 Sep 11 2006 	 Good Off - The - Strip Value 	 spend three night hotel enjoy experience . hotel clean neat , although carpeting replace hallway stay , room spacious comfortable , hotel staff friendly helpful . evening , 5:30 - 7:30 , free happy hour 3rd floor bar , serve beer , limited selection mix drink , snack food , like chip salsa , popcorn , snack mix . morning , free breakfast buffet offer make - to - order omelet , hot food , fresh fruit . breakfast buffet happy hour great perk popular way start day evening . while hotel off - the - Strip , short cab ride $ 10 - 11 ( tip ) quickly get on - the - Strip hotel . front desk staff helpful ready call cab us time . our one , big disappointment pool hotel . small , indoor , expect . small hot tub - type pool outdoors , not spend time either . instead , go another hotel 's pool enjoy type experience hope not get Embassey Suites . overall , enjoy stay quiet , clean , friendly hotel . look excitement Strip , hotel may . casino shopping hotel need go Strip enjoy activity , look laidback , easy - go vacation Las Vegas hotel . 
 Aug 21 2006 	 love Embassy Suites 	 spend three night embassy suite would thoroughly recommend anyone . large , modern suite huge balcony overlook Strip beyond . panoramic view bedroom . good value room service . generous happy hour . plentiful varied breadfast ( although little wholeweat european taste ! ) good value cab ride Strip ; cab always available ; 7 minute walk mono rail . excellent , cheerful staff wonderful location , oasis calm bustle Strip . good value ! ! excellent calm water feature lobby . well do Embassy Suites , Paradise Road . 
 Aug 2 2006 	 Great Value ! 	 pleasantly surprised stay . room great . like separate livingroom / bedroom concept . bed great . bathroom fantastic huge ! dine restaturant breakfast dinner get great meal time . thing not like , nothing hotel , time take get taxi . great value price . would stay . 
 May 21 2006 	 great choice 	 great choice . top floor suite large balcony view Wynn 's golf course towards Strip mountain beyond . room well appoint clean . staff helpful quick help . water feature foyer seat around guest like . breakfast buffet set day range cook cold food . 
 May 2 2006 	 want great deal non - casino hotel - ! 	 travel son Las Vegas week . Embassy Suites Convention Center perfect location - noisy casino - great cook - to - order breakfast ( son thrill 's picky eater ! ) manager 's reception great way begin evening ! staff helpful , room great - problem . take monorail strip - right street - get little expensive 3 people - ' m glad . dinner also & amp ; good . pool whirlpool right us - lot kid - indoor pool little windy . taxi airport inside 5 minute - great ! highly recommend Embassy Suites Hotel Las Vegas Convention Center ! definitely would stay ! 
 Mar 29 2006 	 Nice Escape ... 	 need short escape chance introduce friend Las Vegas , without gaming noise . hotel definately fit bill . safe , comfortable convenient Strip without it . the staff excellant helpful couple minor problem could quickly turn serious one . the room clean well appoint . bed comfortable enough space five adult . attractive interior showy free gaming , hotel deserve guarantee return visit . 
 Mar 11 2006 	 wonderful stay embassy 	 look non - gaming hotel near strip brief visit Las Vegas . find perfect establishment Embassy Convention Center Paradise Road . helpful friendly whenever need assistance room big comfortable . like home . 3rd floor room , 2 queen size bed , well living room sleeper sofa . 2 tv 's come handy grandson could watch want wife could watch want . the prize stay free breakfast buffet . egg order , bacon , sausage , potatoe well bunch continental item . go early beat business crowd . the hotel near strip , crowd . get car walk place far . monorail road , generous walk . locate near airport , Paradise Road run straight airport , maybe 7 minute away . overall , enjoy stay definitely stay . 
 Feb 28 2006 	 ok ..... 	 view awesome - great big balcony stay 3rd top floor . close strip easy get cab . terrific breakfast include . however door keep lock - they attempt fix twice still feel uneasy . also do not mind air conditioner noise similiar plane place . get earplug . 
 Jan 24 2006 	 Disappointing 	 second time stay , second time problem . air conditioner non - functioning resulted air circulation Thursday thru Sunday . never apprise problem check - in , confront issue management stuffy night . relocate another hotel option opening weekend National Rodeo hotel pack . management reduce bill one night inconvience , hotel caliber policy alert patron problem prior check - in . regular guest Embassy Suites avoid one future . 
 Jan 22 2006 	 Typical Embassy Visit 	 stay CES , go convention center , consider property . front door 5 minute convention center safe walk daylight dark . room balcony overlook Wynn $ 500 round golf course . difficult get cab strip steakhouse Renaissance Ruth Chris walk distance . 
 Dec 29 2005 	 end Perfect Trip 	 complete whirl wind trip thru southern end Utah finish visit stay Embassy Suite hotel . room large comfortable . breakfast good free . stay end Vegas . stay MGM Grand start trip disapointe . 
 Nov 14 2005 	 Nice Place Strip 	 great place stay want close Strip . agree reviewer need rental car , willing walk monorail stop ( close ) .I also problem get hot water . seem take long time water change tepid hot . second day , start water shave , water hot ready shower . staff friendly helpful breakfast good . fitness room okay , would full 3 - 4 people . it easy get hotel airport even rush hour . 
 Oct 30 2005 	 walk far think ... 	 nice , clean hotel . warn , view location map look like locate lot close Strip actually . attend Convention Sands Expo Center think could walk everyday . way . actual walk distance Expo Center dodge traffic lack sidewalk , take taxi Expo Center everyday - ( $ 10 way ) . Embassy Suites shuttle drop Harrah 's , . lucky let jump pass Sand 's Expo Center . adventure - high heel ! like hotel , nice come back quiet hotel room spend day Strip . daily breakfast also plus . able grab quick bite eat arrive Sand 's Expo open morning . if drive Las Vegas next Convention would stay Embassy Suites . fly , look hotel little close Expo Center . 
 Oct 18 2005 	 back 	 get las vegas reservation elsewhere room do not get reserve like suppose american idol audition vegas sell luckily enough call embassy hotel get suite gratefully accept glad hotel book one star ( go cheap trip lol ) go embassy room beautiful clean comfy . problem toilet desk people heartbeat lovely deal . monorail five minute walk away use , next time will rent scooter scootere back forth . always stay strip love definatly back ! 
 Oct 15 2005 	 Consistent Quality 	 hotel place feel safe important we stay Vegas . the room spacious , make bed replenish towel everyday . leave mp3 player table leave room day come back night still suprise . the staff seem really care every need . also , hotel also value especially come free breakfast cocktail hour every day . ( food great cocktail hour include premium liquor . ) look plush , elaborate art decor lot glitz glamour , hotel stay . however , like come back clean , quiet hotel day , may want consider book trip here . we see review people complain wait forever taxi . wait alittle long hotel slightly beat track , never 4 day wait 10 minute . you may want call go downstairs let front desk know ahead time need taxi insistant taxi right away come downstairs . we would definetly stay Embassy Suites one available area next trip location . 
 Oct 3 2005 	 Typical Embassy .... 	 Hilton chain kind traveler , Diamond exact , property come expect Embassy Suites .... overall clean acceptably maintain , yet nickel dim every opportunity , instance business center internet access price . use internet provider McDonald 's free wireless Ronald 's happy meal purchase ( 100yards road ) also , Sprint provide free wifi access mono rail station true junkie . downside adventure location convention . shuttle service hike even monorail mile road . tourist map suggest strip block away , yep ... 's really long block . cab ride from / to anywhere 10 buck minimum tip , get cab hotel time quite challenge . upside price low end time year , breakfast bar well stock variety plentiful fresh food . , non gaming property , quiet peaceful coming get money lock box . if ask , would stay ( even last night / morning ! hot water ) , would never say never . convention decent location , pleasure , would pick another property . 
 Sep 17 2005 	 good week E.S . 	 choose stay E.S . since go Vegas week prefer little room . room clean , decorate nicely , comfortable bed fluffy towel . cook order breakfast nice plus . Area keep clean , enough table , food attractive well prepared . would like little variety day day , really plenty choice . hotel high - speed internet access room give option purchase access week reduce rate . nice ! business center technical difficulty , staff desk glad help , fact fax thing . gloria especially helpful . problem door room . desk clerk seem think operator error , maintainence call nice man able fix problem ( battery reader ) . room face front nice view Strip mountain . business , good choice . 
 Aug 25 2005 	 Great Strip Hotel 	 stay 4 night . room much large average Embassy Suites 7th floor great view valley . Breakfast well organise crowd . check - in swift staff professional accomodating . the negative aspect hotel small indoor swimming pool not ususlly go Vegas spend time pool ! give opportunity likely stay . 
 Jul 14 2005 	 Better Rio 	 stay Rio maybe six time last ten year . however spend one night Embassy Suites Las Vegas Convention Center business . price low ( $ 139 versus $ 200 Saturday night ) . let we book one night instead obligatory two weekend . pass Vegas way Colorado back home southern California . we love Embassy Suites anyway two kid ( 14 9 ) really enjoy separate room TV 's , breakfast happy hour . actually end wrong Embassy Suites two within mile . atrium pretty room 10th floor great view city . problem , , casino site , show Voodoo lounge . not walk 20 minute lobby get car check take 2 minute rather 30 minute wait line . Rio Suites real suite big room . like sandy bottom pool versus indoor pool Embassy Suites . 
 Jun 12 2005 	 never stay strip ! ! 	 Embassy Suites wonderful . great breakfast buffet cook order egg , great pool jacuzzi , happy hour nice touch . room great . 10th floor , overlook airport south . ( lot private jet coming go ! ! ) bed comfortable . suite roomy . problem room make early , state another reviewer . complaint internet wire cost $ 10.00 per day . wireless available first floor . note , close enough easily walk strip . car parking lot fine well lit . short drive strip . definitely stay every time go Vegas . 
 may 19 2005 	 bad money 	 stay ther busine one night April . basically average Embassy hotel . come standard suite room complimentary breakfast fine . ' m Diamond vip Hilton not know got upgrade room . room condition fine . downside not familiar Vegas area . hotel seedy part Paradise Road . need excercise caution walk around area . also regular cab route wait 15 minute cab morning end grab one drop faire . 
 May 16 2005 	 great place much trouble get Strip 	 return 2 - night stay . nice hotel , good - sized room , yes , GREAT breakfast , complete friendly singing chef . however , intention come & quot ; run & quot ; Strip , think . ticket show 8 spend hour try get taxi hotel ! front desk unresponsive , shrug saying & quot ; always & quot ; , particularly Friday Saturday night . say would call taxi , none come . one see drop people come airport . group we end front hotel , compete rare cab show . awkward people vie taxi ! ( first / we ticket / my aunt wait we , blah , blah , blah ) end walk monorail , want dressed not want arrive sweaty . scene repeat Saturday night . finally go next door Best western staff get we taxi . next time , spend extra money stay Strip . monorail far walk night , particularly heel woman , good option not mind walk bit . hotel need partner hotel neighbor get shuttle . almost miss plane today try get taxi . not work we , shame everything else hotel perfect . 
 may 11 2005 	 Nice conveniently locate 	 business Sands Convention Center block away . cook - to - order breakfast good plentiful . good part honesty helpfulness staff leave 2 bag jewelry worth several hundred dollare several item clothing . find everything send next day ! thankful efficiency integrity . sure stay next trip ! 
 Apr 26 2005 	 always consistent 	 regard previous posting person upset hotel bed make 4 5 pm .... quit nit - picky ! motel 6 sized room .... take lot extra time room , yes , take extra time floor .... empty room ( vacate ) first turn around arrival . standard procedure hotel . give 2 rating ? sheesh . absolutely reservation recommend hotel anyone . first rate place , come back even stay work relate . send 30 employee hotel 11 day April last 4 year never , never , never single problem hotel . Guest service always curteous kind , breakfast excellent , evening ' free drink get together always pleasant . , since slot building , constant ding - de - ding slot machine ! complaint get taxi sometimes pain since strip . plan ahead 30 minute since take long get taxi hotel , especially Friday Saturday evening .... case usually expect 45 minute wait . new monorail access point 5 minute walk away front convention center , $ 3 , 's lot easy get strip taxi . $ 3 back well , buy day weekend pass . 
 Apr 24 2005 	 great room Bad Service 	 Stayed Embassy Suites long weekend . like hotel find service disappoint good . room leave unmade 4 5 pm would leave room 9:00am . tell Guest Services fully book would get we finish room empty .... huh ? ? ? ? ? ? unfortunate bed nice . would not stay ...... 
 Mar 19 2005 	 great Stay 	 last November spend four night hotel . love , great room , free full breakfast easy parking . 
 Mar 17 2005 	 Convenient Family Friendly 	 return trip Hawaii via Las Vegas . way stay Embassy Suites Convention Center - perfect . four child , quite often stay Embassy Suites , although one small suite stay , usual exceptional amenity . clean , quiet , away strip - bonus opinion . breakfast always treat , case food fresh quite variety choice . staff helpful friendly . good value family . 
 Jan 3 2005 	 one night Embassy Suites 	 stay one night Embassy Suites Convention Centre Dec. 30 . internet rate $ 76.00 include breakfast . value date outstanding , consider strip hotel already boost rate new year 's . suite spacious clean , even small balcony view monorail strip . breakfast almost good buffet day previous Treasure Island . 
 Dec 26 2004 	 great child saving breakfast 	 excellent choice make . stay great hotel . one close airport lot nicer new . room good breakfast save we take three grandchild every morning . breakfast buffet beyond belief . great assortment not make , graciously cook whatever want specification . not take little one crowd mob big gambling casino . one close airport within block Hard Rock another casino could walk . would take we strip pick we . not even need car . bed comfortable room people queen couch - comfortable also . great vacation . thank Embassy Suites staff . 
 Dec 10 2004 	 nice choice strip 	 return four night Embassy Suites , Convention Center . room quiet , clean , comfortable spacious . room small balcony able get fresh air . always find hotel room rather stale like able open window slider . like fresh air ask balcony room other window not open . breakfast fine ; typical type hotel . free manager ' cocktail hour nice . staff helpful direction map . hotel little far walk Strip . car drive one big casino hotel , park car walk portion Strip . unfortunately monorail , street , operational yet . first stay Embassy Suites would definately consider stay another one . 
 Nov 10 2004 	 nice non gaming respite ! 	 enjoy restful nature non gaming hotel . couple block strip day run arround pleasure return afternoon quiet mesmorize fountain atruim clean , quiet , non smoking room . first visit Las Vegas much see . husband attend conference Riveria , able walk morning . 4 year old love view strip light come evening ! cook order breakfast adequate morning , feature quick healthy choice . complaint , request towel day , 4 us suite 3 night 3 set towel , Sunday , room clean already return day 's activity , 4 pm . pool small crowded great burning extra & quot ; kid & quot ; energy long drive . 
 Nov 3 2004 	 bad ... Ritz either . 	 overall , decent hotel . lobby nicely do open atrium style . cook - to - order breakfast ok ( dog food , gourmet either ) . request room view & quot ; strip & quot ; get . also request non - smoking room ... smell quite bit cigarette smoke . room nicely furnish decorate . bathroom essentially spotless . rare incident , must tell fire alarm go 3am ( hotel crawl kid compete baseball tournament . suspect one responsible alarm go ) . atrium style hotel , & quot ; group psychology & quot ; set ( mean people walk walkway floor watch everyone floor stand around . staff bother tell people get , stay put , anything matter . would not even answer front desk phone ( stand ... clear view room ) . People wait 15 - 20 minute announcement make false alarm . real fire , result could tragic ! ( equally foolish people stand around room fire alarm go also ) . , rare incident ( would imagine ) , one bring & quot ; warm , fuzzy feeling & quot ; part staff view . 
 Aug 5 2004 	 Excellent value 	 first time stay Embassy Suites accommodation will not last . room spacious clean . general facility good though pool little small side . complimentary breakfast excellent . staff courteous helpful . location may suit - off - strip 5 min walk monorail choose use complimentary shuttle . want keep away hustle & amp ; bustle Strip , consider place . 
 Jul 18 2004 	 would stay ! 	 stay Embassy Suites Convention Ctr July 1 & amp ; 2nd . hotel part Hilton chain show . suite beautifully decorate impeccable . whole hotel smell clean . casino hotel relax quiet . staff helpfull . the generous eat breakfast ( include ) delicious ! negative part would pool . small indoor pool nothing special compare pool ' ve see Las Vegas hotel .. would definetly recommend hotel $ 87 / night rate get . 
 Jul 18 2004 	 quiet anticipate 	 thought Embassy Suites would cater business traveler weekend pack family reunion weekday still busy family traveler . room face inside lobby people often shout floor floor . morning & quot ; Cook order & quot ; breakfast good large variety food . staff nice helpful room generally clean . nightly manager 's reception 3rd floor bar area also overlook lobby add noise level busy day . indoor pool locate 1st floor smell chlorine powerful time hear kid scream pool area . ( room locate 4th floor may quiter get high floor ? ? ? ) 
 Jul 6 2004 	 excellent choice 	 hold family reunion ( 13 room ) hotel weekend June 25 - 27 . give we consider fair rate , consider weekend . pleased , suit clean pleasant ; complimentary breakfast excellent ; staff accommodate . lobby beautiful great place various member family gather visit informally . husband also lunch site restaurant two afternoon , think good . hotel away noise crowd Strip , yet close enough go easily . negative pool indoor , small . however outdoor spa . it hard please member diverse group , exactly happen . everyone agree good choice , key component success reunion . definitely would recommend hotel individual , family group . 
 Jul 3 2004 	 excellent choice 
 Jul 1 2004 	 Nice Surprise 
 Jun 4 2004 	 Nice Place consider Staying Convention 
 May 9 2004 	 Bluefish Reunion 
 Apr 30 2004 	 one good stay Vegas ! 
 Apr 19 2004 	 happy choice 
 Apr 2 2004 	 close convention center 
 Jan 5 2004 	 Read fine print 
 Aug 6 2003 	 enjoyable hotel . 
 Jul 20 2003 	 good choice 
 Sep 23 2007 	 super alternative zu den Strip - Hotels 
