love 	 love Art , sculpture , bed / room , restaurant , pool , service , vive , peace . love sexy , romantic feeling place . spa open stay would really perfect . stay Hotel 2 month really love feel really comfortable satying . adult place sensual painting hotel sculpture . vive , look feel place scream passion romance . casino place great quiet , healthy peace relaxation . 
 thankful restaurant close 	 Artisan website give false impression actual property . stay hotel attend son 's wedding . Maria , wedding planner , staff organize handle detail . hotel disaster . maintenace problem . party four room . problem encounter room door become unhinged bathroom door would close . light bulb miss one work 40 watt make room dark dreary . Shower water would turn , water closet would stop run . call front desk ask maintence issue . maintence duty . hotel locate near expressway prepared hear car truck loudly accelerate night long . drywall drop hallway ceiling several room door & quot ; red & quot ; stop order Las Vegas Inspectors state room could occupy . learn upon arrival restaurant use Private Dining Room close two month . communicate son daughter - in - law prior arrival . probably BEST . book evening dinner wed two wonderful restaurant strip . make wedding . tolerate Artisan . staff try , receive backup Management Ownership . be like bleed hotel revenue put investment back . interesting bar . rating Wedding Chapel , strip restaurant = a+ Artisan= D- suggestion : stay strip , save cab fare , enjoy well lit room maintence perform . 
 Jul 4 2007 	 interesting experience 	 recently spend 3 night Artisan . book Hotwire , not know hotel pay . price $ 55 per night , great holiday weekend Las Vegas . review TripAdvisor make really nervous , hotel actually quite fun unique . first , slot machine gaming ! unexpected treat make relaxing atmosphere . make mistake , hotel design ideal tryst . 's romantic ( dim ) lighting , comfortable & amp ; candlelit ( dim ) lobby , delicious ( dim ) dining , great artwork ( heavy sensuous ( -- - ) nude ) design romance business . unfortunately , not bring anyone despite Vegas , intention , uh - hem , find anyone . ask room away overpass give one 4th floor . bed one comfortable ' ve ever sleep , sheet deliciously soft bathrobe sinfully delectable . room quiet hear little outside noise ( hint - close shutter way block LOT noise ) . staff polite mini - crisis room ( pipe bathtub start leak due work go upstairs ) , someone within 5 minute deal issue . fyi - bar artisian quite hot spot young trend - setter prepared feel woefully place 25 & amp ; weekend night . there extra charge parking energy consumption , add bill arrive . roughly $ 10 per day - off - put price room good , neighborhood little sketchy , fine . not without car though ! not neighborhood walk around see sight , other mention . however , minute away Strip remember comfortable bed ? decent wi - fi access throughout hotel PC / Printer lobby . come conference Ventian wi - fi available lobby / pool / food court use pc cost $ 30 hour thrilled able get work do without bust business charge account . pool area look great never quite make . currently not spa associate hotel apparently plan work later 2007 . fyi - come day , take sunglass ! lobby , mention , dark almost need bat sonar find way around first minute eye adjust . would stay , yes . would prefer romantic tryst , yes . would tryst stop stay , absolutely . not Vegas fun ? want old boring Holiday Inn / best western experience ? can not afford Wynn , MGM Ventian not 100 % focused gambling , take chance instead unique property . 
 Jun 16 2007 	 hate Artisan ! 	 even room $ 5 , still would enjoy stay . room full mildew fall apart . hallway terrible stench . lobby dark staff rude . hotel also seedy area . bad , even though book Expedia.com , Artisan charge credit card additional $ 30 , never mention make reservation . explain charge add cover utility , like electricity , guest use . scam ! beware Artisan Hotel Las Vegas ! ! ! 
 Jun 12 2007 	 Dark love art 	 place unique . good stuff thing need work . walk almost total darkness , candle everywhere . art work ceiling , wall , everywhere . beautiful statue , nice fountain lobby . POOL would go back ! ! ! square pool surround lush greenery & amp ; palm , double wide bed lounger , clean water , beautiful new - age type music come perfectly balanced speaker . service well pool front desk . room dark , frustrated could not see put make . room TURNPIKE ! ! racket ! ! single pane window sound like wide open . bathroom could use shelf towel hook . loved flat screen LCD Olivia tv wall . bathrobe available . nice bed linen . restaurant good food good service . loved wine taste 4:30 . coffee room ! ! ! ! ! ! ! ! hotel charge $ 9 bar sm pot give 3 tiny cup . thing work . 
 may 29 2007 	 Great Hotel / Great Food / Bad Service 	 Food great Hotel feel find Las Vegas Hotel . great Adults . really like fact see kid Hotel run around . problem staff . let correct . staff good area front desk . ask speak manager room rent . come back 3 time check room person tell two bed room ready 4:00pm . come back 3rd time state room two bedroom leave . ask speak manager state never guarantee type room reserve . tell reserve 7 day . the bottom line , someone come behind go stay night , sell room . ( ' feel ) go speak manager 3 people wait speak manager . ' funny we rent room night two bed . manager nice could care less . manager company Orange County . service bad would send employee Hotel atmosphere location main strip . send South Point . service well . american need wake start get back service orient . guess customer always right someone wait behind pay room . 
 May 13 2007 	 complaint ! 	 well , give Artisan poor review keep come low room rate . people discover hidden jewel Vegas perhaps would long able get room 50 room hotel ! perhaps would bit critical pay full price hotel website . 's tip . artisan * * easy find Hotwire.com consider boutique hotel town . pay $ 160 bill total Thursday Friday night stay . one take account average room rate town day , steal ! sure , Artisan Hard Rock , Palms , hipster joint Las Vegas . thankfully , not . seem though previous guest expect possess pack pretension . artisan great spot relax low key , swankish atmosphere . want hustle bustle , go elsewhere party stay casino last mention E MTV . artisan pool uncrowde place privacy , pleasantly surprised topless young lady speedoe gentleman . 's gawkfest oogle eye one would receive Rehab pool party , feel free let free Artisan pool . the art throughout establishment great touch . love acid jazz , deep house vibe lounge pool . able get couch ultra lounge / bar rare place unless get super - early drop lot coin bottle service . not either Friday night . drink lounge reasonable Vegas standard , budget drinkers/ alcoholic impress well option ( e.g. , Smirnoff ) Vodka Tonic $ 6 . previous experience , Saturdays get busy , thankfully never degree Las Vegas macro - bar ultra lounge do . now , people understand previous history boutique hotel boast huge squarefootage guest room . 's reality , either accept ... get go elsewhere . accept . host Salvador Dali suite . name recognize throughout hall . welcome change pace compare thousand room casino - hotel . if anyone be ever stay Sunset ( Hollywood , CA ) , Grafton Standard boutique hotel small room also . room size issue unique Artisan , believe fault . . like room size good party Las Vegas , tip stay Embassy Suites Swenson walk across street Hard Rock . would well bet value room size . take free daily happy hour live . another qualm guest parking fee $ 6.50 per day resort fee $ 3.50 . resort hotel city engage practice , nothing new . energy surcharge continue charge casino also . remember Artisan neither whole lot room parking ( i.e. , monstrous parking structure la casino ) gaming area . pay parking fee many hotel ( e.g . California , Florida ) surprise consider circumstance . penny - pincher , go ahead book Hotwire let saving cover fee . a last concern area Artisan locate . yes , industrial area . yes , need rental car feel like travel city convenience . try advantage Rent Car ( arac.com ) good rate experience . yes , easy exit Sahara 15 North make right underpass . yes , desire enjoy adult entertainment ( i.e. , gentleman 's club ) quite within minute drive distance ( cough ... Spearmint Rhino ) . stay , transient , prostitute , druggie patrolling parking lot next Artisan . believe suggestion quite inaccurate . , be look aesthetic go sanitize Strip . otherwise , enjoy low key Artisan . 's . dinner restaurant . entree reasonably price ( good handful $ 20 ) , crack bottle wine . hang lounge drink ( ) Friday / Saturday . room elevator within stumble distance . tune channel 69 tv ... free pron . hopefully someone enjoy . wake morning , consume food , go pool tan part ... repeat cycle . I hope not sell place much otherwise going prevent we local get room . token , hope give enough detail prevent other , may enjoy type establishment ( e.g. , family , old traveler ) , purchase room . 
 May 9 2007 	 Fantastic Stay Artisan Hotel 	 read " negative " comment Artisan Hotel , sure describe Artisan Hotel stay . wonderful five night six day stay . the Artisan Hotel Staff attentive need go way assist us request present . staff professional every respect significantly well " Mega - Vegas Strip " hotel friend stay ( base comment ) .I must admit Artisan Hotel different . see much display artwork one place since tour museum several large city visit recently . yes , reproduction quite plentiful beautiful never - the - less . several nude collection see museum . wife find objectionable . our daughter marry beautiful intimate Chapel . truly magnificent seat 50 people . " Elvis " marriage type set one magnificent dignified marriage Chapel , opinion , . Artisan wedding Chapel Coordinator extremely professional make adjustment wedding format suit bride . we enjoy warmth lobby . yes , dark inside come bright Las Vegas sunshine . enjoy candle sprinkle lobby enhance ambiance Artisan try provide . man ’ woman ' bathroom lobby , well lobby hallway clean . want standing line , glare light neon , Artisan Hotel place you . the room stayed display Goya painting . beautiful represented span Goya ' work . however , find bit disconcert weird paint naked lady painting stare we lie bed . room spotless . maid service outstanding bed turn night . negative comment would lack coffee pot understand ' find room Las Vegas . the restaurant quite good . breakfast dinner varied cuisine top notch . wait staff attentive intrusive , allow wife enjoy intimate meal together . we happy stay hotel away " strip " . enjoy peace quiet Artisan provide realize train pass several hundred yard away . locate next Interstate never hear traffic . also , note take taxi strip good drive car strip , still find parking place pay exorbitant fee park there . bottom line : would stay Artisan - BET . would want daughter marry Las Vegas Chapel venue Artisan Chapel - WAY . nice hotel relax chill . love old world atmosphere . enjoy stay Artisan Hotel , ! 
 may 7 2007 	 not freak .... 	 ... hotwired room Artisan . People either seem love hate . picky hotel , fiance pretty middle road experience . first , pay $ 100 room , not expect much ( especially room strip proximity go $ 295+++ ) . yes , lobby dark . must take lobby picture website truck headlight shine doorway . room dark , great hangover ( window even tint , not open far let natural light ) . remove lampshade put makeup soft ( ha ha ) glow bare bulb , big deal , smokier eye usual ! Yep , painting nude woman . Geez , masterpiece reproduction , prude . shelter child great work art , worry future . however , would bring kid -- art , not feel family orient . burn candle low level lobby ( interesting touch , child friendly ) , feel ... well ... seedy . strip club across street , like another reviewer say , uncensored porn tv . seem like hotel orient towards starting family . could clean . bring flip flop wear shower around room . bleach pitch . carpet seem grungy , bedspread throwpillow feel & quot ; fresh & quot ; wall stain splatter . certainly icki place , room could use spruce . use previous review guide , happy room not need fire hose . use common sense -- not put stuff floor , pull bedspread back , God 's sake , not touch bathroom doorknob unless squirt hand sanitizer cover washcloth . put t.v.remote clear plastic bag thing filthy ( health inspector ) . previous bad review mention odd smell . Yep -- notice . walk lobby , strong tutti - fruti ( like Juicyfruit gum ) smell . also hall , room , apparently bizarre smell hotel freshener . undercurrent funk , enough send run . $ 7 - 10 cab ride strip , plan accordingly . car , pay $ 6.50 valet -- choice . unless plan would allow park strip garage ( free ) take cab Artisan . actually , be stupid idea , would still pay another cab ride pick car . oh well -- -just throw . , stay fair . expect previous review , would not stay , unless room dirt ( ha ha ) cheap . good place stay like hit Vegas run , stay late , sleep day . go nightlife , not spend lot time lounge around hotel . want something shiny bright fun close everything , well option . adventure , interested quirky place , open - minded , willing overlook flaw , travel without child , give try . good luck ! 
 Apr 20 2007 	 Awesome Stay ! love ! 	 sister stay Artisan Hotel Las Vegas early April 2007 . absolutely love hotel , refreshing change usual neon glitz Vegas . first , hotel beautifully decorate gorgeous art everywhere . step inside , lobby dark candlelit fountain gothic - style furniture decor . gaming casino , always soothe , peaceful , cool walking inside . restaurant 's lobby , pool , exercise room , guest office leave front door , restaurant bar right . everything decorate gorgeous gothic style , include 24 hour bar restaurant . front desk , green red apple pile deep bowl taking ! ( well add visual appeal ! ) Tips Artisan : room : room name famous artist decorate inside artwork . favorite artist , request room ! good room large king bedroom versus two double bed room , king bedroom face Vegas Strip , double room face parking lot . bed comfy room clean . sometimes maid make room twice day ! good blowdryer nice big towel . room bit small dark , not mind . oh- minor alert ! tv 's & quot ; Channel 69 & quot ; airs porno without block pay system . interesting stumble upon channel surf little sister room ! hall : be kind like walk fun - house hall stud side art . also , floor little uneven , sometimes feel like unbalanced ! lobby : Everyday 4:30pm Artisan free wine - tasting . awesome ! great wine , great place meet new people . way , fact hotel non - smoking one good thing place . smoking restrice barside poolside only . Front Desk : really nice , friendly , accomodate people . however , word warning . car ( recommend ) pay $ 6.50 / day valet charge park . self parking . however , really like convenience 24 hour valet . also , $ 3.50 energy tax place bill day . think worth , give guest business center free , free internet access , wifi , printing , etc . use every day . also , want pool towel , leave license front desk will not get back return towel . pool : pool really small , clean refreshing beautiful vase decor surround . lounge chair lounge daybed relax . jacuzzi spa available time go . also , open bar food service poolside . request food drink service restaurant though , be pricey . restaurant : beautifully decorate , good italian food , definitely bit pricey . entree range $ 12- $ 32.location : would really recommend car stay hotel . hotel quite way Sahara Ave . freeway overpass . walk strip , take 25 minute , cross quadruple lane freeway foot . way would night . also , remember , walk Vegas heat ! . major casino nearby catch free shuttle . get taxi strip Artisan cost $ 7- $ 10 one way . way expensive go back forth hotel . end rent car pay valet fee , actually work well since feel need car get around strip efficiently . hotel locate near strip club , safely corner away , seedy element shady drunk people come contact hotel . overall , sister happy Artisan . car look amazing alternative atmosphere chill , relax vibe , place . would definitely stay Artisan . 
 Apr 1 2007 	 lovely sexy place 	 lovely stay , staff courteous helpful , particularly Malorie Ashley Hyde . Loved artwork , food good , room beautiful . thank , would love stay . 
 Mar 20 2007 	 great r 	 Fa getta rewiew ! ! ! artisan offer something rest Vegas -- roll front door room second . P & amp ; Q ! sure , art work FUNky , decor darker hotel . 's 1000 's slot machine bang ear flash eye ! Artisan 's dining room bar actually favorite room Hotel country . dining room Gorgeous -- bar way cool . one night T.V . show use back drop . will not spoil image either , , attest food exceptional staff friendly . sure , luxury abound -- simply extremely comfortable . what could want ? get pay , pay get -- bunch needless Vegas hassle . 
 Mar 5 2007 	 stay away matter ! ! ! ! ! ! 	 get hotel hotwire . got 3 pm tell would wait room ready . give bag , name , credit card head . get back hour later give ROOM away ! manger completely unhelpful . try make we pay twice much hotel block away review online say room smell like urine . thank goodness hotwire find we another room . the looby look like Tower Terror ride Disney World . truly awful experince . 
 Mar 2 2007 	 potential 	 although stay , meet friend come town . first squint darkness , softly adjust find surround unique facility . lounge area comfortable place chat service staff quite nice eager please . food good server exceptional -- thank Justin . briefly visit room albeit not beautiful room , would expect price . atmosphere make we feel welcome -- thousand run around . get pay , . Elphaba . 
 Aug 29 2006 	 Forgertaboutit 	 book Skyauction horrible experience . yes , dark artwork definitely child . yes , charge valet , not tell late parking , yes , advertise address Sahara , Sahara freeway exit , side street alley , topless caberet theater across street , surround power station , seedy industrial area ... access back West Sahara little difficult , signage . would say lobby / reception area like italian cave . dark , candle set around give mysterious presence , little light area . artwork great everywhere . pool small spa . the room look great one ventured bathroom . dirty , black mold ceiling , floor , tub . toilet take three attempt flush properly , tub nozzle continual drip , shower curtain cover mold . vinyl crack right one stand use sink . call find could switch room tell bathroom . open cabinet tv leave door fall hinge . lucky not hit foot . send repair man . say broken probably can not fix , want watch tv , move we . think great - room well . move 304 316 bathroom well ... great ... toilet flush properly much mold . sleep nightmare . understand desert dry , zero humidity room coil stick awful mattress , able breathe , not sleep ... every 45 - 60 mintue get water move , numbness bed cause . decide torture another night check , know full well use skyauction , room pay full , advance , refund . would rather give money spend another night . end drive home . would call 2 star , good . Vegas way many hotel ever stay property . forgetabout ! 
 Aug 24 2006 	 Artisan [ -- -- - ] every possible way imagine 	 let us start & quot ; spa & quot ; part name . spa . the hotel intend hip artsy - unlike reviewer not mind art wall ( anyone travel super young kid probably Las Vegas ) . however , half- [ -- -- - ] effort cool really fall flat . hotel bad service , room junky cluttered particularly clean . WiFi erratic . weird thing like & quot ; energy surcharge & quot ; . not act together . most awful 3 wake hotel 's fire alarm system go 30 minute . nobody hotel staff available inform guest whether real fire danger . useless . call 911 . stressful . hotel 's offer soothe nerve waive ridiculous energy surcharge . want money back hope stear clear [ -- -- -- - ] wannabe poser 's hotel . hotel unpleasant location , run unpleasant people provide unpleasant experience sense word . hope get [ -- - ] together , Vegas need alternative Casino mega - hotel . good luck Artisan ! go back hospitality school [ -- -- -- -- -- -- ] 
 Aug 22 2006 	 terrible 	 stay Artisan Hotel Saturday night . take we last minute rate cheap hotel . encounter problem electricity . clothing iron hair straightener plug lose electricity 1/2 room 10 minute . drive back go concert eat breakfast evening , leave car key ignition . inform valet key leave inside already park stub previous day . walk car , leave door open walk hotel . night , receive call valet . inform next day valet guy call . really tired not answer phone . morning 7:00 one valet guy come pound door ask spare key . never mention locked car key inside . sometime female voice call say locked car key inside . mention case need contact locksmith car open . hung , figure since leave car open valet would take care . check - out ask car , female say know talk . proceed valet noticed vehicle still spot last night . ask new valet guy regard locked vehicle key ignition , claim idea talk . call Director David Poire incident , say call valet company Las Vegas Parking Inc number 702 - 808 - 9150 list parking stub . say call back . call parking company receive recorded message state closed weekend . return call Director David Poire receive record message away phone . leave message , state parking company close would call locksmith . never hear director , call locksmith . valet attendant give phone number locksmith . although staff seem friendly , offer help inconvenience . two day later Director David Poire return phone call . many thing happen hotel , ignore totally negligent rude . second time stay hotel , think develop kind friendship . really dissappointe first trip really nice fun , never return hotel . 
 Jul 4 2006 	 complaint 	 great place want stay close strip away hustle bustle ( traffic ) strip . casino inside nice well - theme room feature different famous artist . lobby check - in area dark clerk check we not particularly friendly , clerk check we morning nice . free wi - fi hotel signal not strong little hit miss . overall would recommend hotel couple look romantic , private place stay . 
 Jul 1 2006 	 run Life ! ! ! 	 1 ) locate directly across street huge electrical transmiter . , get big dose cancer cause stuff . not know book reservation , never would stay here.2 ) hotel plain dark . hard even see be go . either trying hide something save money energy . strange , since charge additional charge use electricity . tell get . , aware whatever pay online , charge much . also charge park car overnight- $ 6.50 charge . never hear hotel before.3 ) force valet situation , must tip everytime . self - parking.4 ) child party , right hotel . hall cover painting contain full frontal nude adult situation . one painting depict husband catch mistress - who wear corset hand tie behind back . want answer question sort thing young child . art , 's suitable children.5 ) room size shoe box.6 ) matress like sleep concrete . bad , position pillow underneath sleep top them.7 ) speak pillow , gross , apologize tell , must tell , first walk bed , notice one decorative pillow , look like -- , it . what anger anything dishonesty . believe stay would cost one price , afterward find make charge thing . not like . base alone , will not come back . some good thing : close strip . it fairly clean . it be non - gaming allow smoking . 
 May 4 2006 	 odd experience ... 	 first , call front desk way hotel direction , hotel not exactly easy access . give incorrect direction find way base upon previous experience Vegas . so arrive hotel , valet , unload luggage rack ( one wheel ) apparently lug room . strange thought . lobby dark not remember smell everyone seem talk . staff seem alright , great , bad . room : decour definetly something like , will not . darker every hotel ' ve ever . be also obvious renovated hotel . television something 80 's . cabinent hold tv also creeke everytime walk , keep open . bathroom dark . bed nice big , noise not bad ( not freeway side ) .All , okay . definetly somewhat cool casino hotel . hustle bustle , overall experience not something would pay . convention , price hotel high . oh , extra valet energy surcharge definetly annoying . in nutshell , 's renovate hotel , 's oldness still remain . try different hotel low key , accomplish . spa , pool seem like average pool.hope help . 
 Apr 25 2006 	 bad Hotel Vegas 	 Hotel choose good friend wedding . could not check unitl 4 pm , hour later hotel . wait line twenty minute , & quot ; manager & quot ; hand paycheck talk phone . proceed luggage , bellman leave unattended elevator . go upstairs room , clean yet . try call front desk , answer . take luggage ( six large piece , two carry on three wedding dress ) back stair , help staff . approach manager horrible last ten minute , let know basically fault . offer appology concern bride comfort . hike luggage back upstairs ( complain help , still offer none . ) room . room dark put contact even put makeup impossible . bed hard hard time walk first thing morning . first night wake bill place door check . inquire front desk tell we reserve we one night , even though pay four . charge $ 6.50 park parking lot overnight regardless whether guest hotel . also get new room key average day getting ruin ... sleeve . overall room clean comfortable . bathroom black tile black wall , room chocolate wall tint window . wake everyday think rain . chapel lobby beautiful . wedding hit , thank wonderful folk . photographer also nice . valet guy super . would reccomend consider hotel wedding , would stay . would pay . 
 Apr 19 2006 	 deliciously Romantic Cozy Unique 	 read poor review Artisan , decide write opinionate one . friend spend week Vegas decide switch hotel time get around taste Vegas hotel experience . settle play crap Priceline 45 $ night . land Artisan . next thing check TripAdvisor say . cringe . spend second final night Wynn $ 250 night head next afternoon Artisan small hope . upon pull hotel , feel shady . architecture outside look like old Comfort Inn stand shadow Wynn look skyline . sad . around nice car . mercede , BMWs ... expensive suv . crappy rental car - - drive valet high price strip hotel stay . seem place local know take advantage lack glitz hoopla . also refreshing get car back valet 2 minute small amount room small parking lot.ye . hotel dark spooky . clean . doenst stink like incense musk . staff friendly . ambience & quot ; chic & quot ; eclectic . cozy , like something would see old movie separating & quot ; inn & quot ; & quot ; guest room & quot ; unlike mass collaborate hotel . place Frida Kahlo room . decorate large reproduction famous art pretty gold frame . feel stay somewhere familiar . like grandmas house . bed soft cover pillow , cozy blanket even throw . bathroom small simple yet functional . nice selection room service offer fully stock mini bar price half see hotel . this place go want something glamorous ornate . good time want come back room - throw winning dollar bill bed drink Krystal til sunrise . almost week party need something quiet warm recovery , could not think well place money . next time Vegas def splurge " Masterpiece Suite " pool table – see ! 
 Apr 17 2006 	 Loved ! 	 Got marry great little chapel . new wife wonderful time love candle light hotel . romantic great place come back day busy strip freemont . sit back relaxed great lounge . thank Dave John excellent customer service . come expect Vegas . back everytime come back Vegas . already tell lot people attend sema close friend place . Dean Debbie 
 Apr 8 2006 	 not ! ! 	 horrible ! Dark , dismal atmosphere . toilet back check in- one ever show maintenance ! check early next morning -desk clerk rude ! clean . light bulb burn bathroom . 
 Feb 22 2006 	 nice ... 	 staff could not nicer . bright spot hotel . but overall place feel grungy . room dark could , hardly light . bed lousy . pillow bad . not really want talk around bare foot . the place fit right -- strip joint surround . advice : pay whatever cost stay strip -- 's action . 
 Feb 21 2006 	 great place cave 	 great place like stay cave . idea art everywhere . problem keep place dark 's like cave . even room almost light . simple thing like read newspaper impossible . staff obnoxious . plenty choice Vegas , stay somewhere else . 
 Feb 20 2006 	 wonderful stay ! ! ! 	 ambience hotel wonderful unique character . addition , great place experience Las Vegas want stay gamble free hotel . painting hang throughout hotel fantastic . food restaurant delicious reasonably price . bar nice ' crowded bar Tao , Forty Duece , Pure , Tangerine . overall , would recommend hotel anyone visit Las Vegas . 
 Jan 30 2006 	 warm ..... 	 Artisan hotel Spa wonderful ... hotel staff super friendly ... warm design color decor .... super clean , pool cabana nice ... thank much great time . back next quarter .... Ciao ... 
 Jan 29 2006 	 really enjoy stay ... exactly look 	 vegas time friend past couple year . usually , be strip scene , decide something different time around ' m happy . hotel small personal , really great vibe . decor classy chic , yet & quot ; feel & quot ; low key comfortable . really enjoy restaurant bar hotel close strip mood . overall , really great place stay . 
 Jan 25 2006 	 great Escape Typical Vegas 	 girlfriend look something Las Vegas slightly different norm . 's really upscale decor unique atmosphere . personally hate crowd gambling , love place like Red Rock Canyon Mount Charleston . stumble upon artisan satisfied desire . strip ( love ) close enough get whenever need . ambience different anything ' ve ever see . spend hour checking artwork . bar favorite place ... outstanding food able drink watch football . be come back Vegas June can not wait get use pool ( look cool , 's FREEZING January ) . overall , be really cool place 's great alternative typical Las Vegas . 
 Jan 18 2006 	 rip - even charge electricity ! 	 upset charge additional $ 3.50 electricity . charge electricty stay hotel . also charge another $ 6.50 parking . every hotel strip free parking . I pay $ 49.00 disappointed . shower leak night toilet problem flush . feel sorry anybody pay regular $ 149.00 rate . the hotel three star , deceive . 's Travel Lodge convert . therefore , much place . offer valet parking restaraunt inside . however , walk outside , nothing near strip joint . hotel room dark spooky . review interesting . notice review , either rate hotel really good really poor . truth , really poor rating real consumer . convince anybody rate hotel high owner hotel . even way write seem like 's owner hotel write it . the good thing hotel 's 2 mile strip . 
 Jan 15 2006 	 good Birthday Weekend ever 	 come across Artisan Hotels website try look hotel stay Las Vegas . see picture think neat place ever see . read write Las Vegas Life magazine do Lounge know want celebrate birthday year . book room right away would not sell 64 room . huge W Hotel fan think meet right cool amenity offer . pull hotel greet valet take car . walk ambiance take breath away . sometimes picture website deceive time . could write stay leave next person write great experience Artisan . needless say good birthday ever back soon . 
 Jan 15 2006 	 elegance 	 stay Artisan Hotel memorable experience . elegance artwork everywhere make soothe sensuel atmosphere . also enjoy lounge , terrific staff make feel welcome comfortable . want enjoy fabulous ambience 's place stay . 
 Jan 13 2006 	 good ! ! ! 	 get back stay artisan hotel one good hotel ever stay .... front desk kind helpful . room gorgeous comfortable ... whole look hotel really cool . really beautiful art work big water fountain walk . also really cool pool outside white cabanas hung night . bar / dining area great . food great ... love everything order . stay hang bar ... great atmosphere friendly bartender . definitely stay visit vegas . 
 Jan 11 2006 	 mislead ..... disappointing 	 husband Vegas week long pool tournament . stay Rivera enjoy stay tournament relate hotel rate not extend one night need . book room Artisan online service final day . get Artisan check , rude desk dispute discount rate already book online . want charge we . lobby smell bad look interesting , decorate antique . the hall decorate art appear nice place .... get room . nightmare ! ! ! ! bed old spring poke back . room incredibly noisy freeway right outside water cold barely come faucet . bathe take shower next impossible . miserable stay ever experience hotel . bad associate Vegas . 
 Jan 10 2006 	 avoid place whatever ! 	 hotel far bad hotel ever stay ! 's basically old Travelodge renovate poorly . extraordinary funky musky moldy smell throughout facility . be locate right next major road room get alot road noise . check , room actually recently use never clean . ( guess , judge neighborhood , rent hour ) . be right across gentlemens club walk 's gig . bathroom dingy . shower curtain red mold grow . food also worthless . hotel within walk distance strip . look budget type hotel , anywhere rathole ! 
 Jan 6 2006 	 terrible hotel ! 	 could believe reserve ever live hotel . crazy enough destroy trip torture , one : ) live terrible 4 night get experience never elsewhere:1 . noisy inside room hotel close highway window sort break , barely block noise come outside.2 . locate terrible street . surround building old walk nowhere outside hotel3 . front desk people pretty bad lack patience . actually front desk always empty.4 . scam go hotel well . book hotel 5 night via lodging.com . arrive , tell reserve 4 night . leave 4 night , still pre - charge 5 night . call hotel claim try get refund , tell live 5 night accord record . show receipt print check - out , change immediately declare early check pay night even live . actually ask check - out live 4 night . simply not admit . 
 Nov 17 2005 	 Double Fiasco book Artisan Hotel Spa Hotels.com 	 Booking hotel major fiasco unlike experience ever endure . flight stop over Detroit middle rage blizzard another one Atlanta middle flash flooding would pleasant . book hotel room 2 double bed four we . check 4 pm something tell we check 2:45 . yes be right folk check 1 whole hour 15 minute early yet double bed room unavailable shove room one single king size bed . world think 2 people group would sleep ? bathtub armchair ? hotel claim would credit half amount trouble extra expense find alternative room party within budget . offer hotel last minute none affordable . alternative lodge hotel offer budget , would cost we $ 175 taxi suburb Las Vegas stay , affordable rate could charge within credit card limit . half party stay scary Fremont District ( without hotel non help thank much ) see crackhead wander around area ? also hotel suppose include & quot ; electric surcharge & quot ; bill . yet Artisan Hotel Spa ( spa cease exist yet ) charge extra $ 20 credit card bill month later . checked make sure clerk know not raid mini - bar 's stale snack . clerk assure we Artesan charge we anything hotel charge bill . well charge original bill quote never receive proper credit half hotels.com bill yes dispute hotel bill Artisan hotel electric surcharge since double bill electricity book another hotel room 2 people party . false advertisement . also dinner price two tout great deal Artesan joke . meal mean crappy choice one two pasta dish entree serve every night pay . salad extra $ 10 bottled water $ 5 pop . not include tax tip . one night order two bottled water & quot ; pay & quot ; entree additional dinner bill total hair $ 15 . tax two bottled water $ 5 pop rate $ 4 ? feel sorry wait staff tip graciiously . 's fault management misguide hotel guest mislead advertising . try book affordable vacation hotel heed warn one bad experience ever . affordable eat one casino buffet chain restaurant eat overcooked creation Artisan Hotel Spa tout . book Artisan Hotel Spa hotel budget . end spend hotel professional incompetence . also Artesan suppose double charge us electric surcharge already include hotel bill . try save money vacation budget , book Artesan Hotel Spa hotel save money instead spend money come Vegas ( prepared ask charge card extend credit ) 's place sleep . 
 Nov 14 2005 	 Dark old refurbish hotel 	 Hotel clerk rude , helpful . room 4th floor recommend park close side stair . haul luggage 4 flight ! glad , not listen take red lobby elevator . Got charge 3 day $ 3.50 energy fee stay 2 day . Complained get adjust . not know not include room rate . my fiance get bad rash staying . not know hotel bedding soap . noisy close freeway i-15 , hard get , use Highland direct access Sahara . creak noise everywhere , popcorn ceiling , bathroom slow drain , hot water heat quickly . Shower head low flow type . overall room Dark , dark septic airfresher smell STRONG . would stay . well time Renaissance price $ 109 per night . 
 Nov 13 2005 	 stay away 	 favor stay away place . walk , take eye adjust darkness . try hide something like mold . whole place smell moldy musty . room terrible . hang rack connected wall . bathroom faucet would shut water run night . freeway side hotel sound like speedway . room clean , several old piece pizza leave room one pillow case dry blood . top , charge $ 3.50 service charge , . 
 Nov 10 2005 	 LOVED ARTISAN 	 husband great stay Artisan . lobby beautiful - so many gorgeous piece art ! hotel ordinary . even pool - that not quite finished- serene . owner show we around tell friend family great place . travel US Europe far one interesting place stay . 
 Nov 9 2005 	 Love Artian 	 impressed Artisan way make feel romantic , Old World European Hotel . I spend hour roam lobby hallway soak marvelous work art literally everywhere . the room beautifully decorate , love everything , even price . I travel frequently find hotel satisfy well Artisan . tell friend family enthusiastically plan stay next trip Las Vegas . 
 Oct 31 2005 	 smell creepy lobby 	 get back Vegas . wedding chapel Artisan hotel . tell bad comment place true . soon walk door , hit smell . ( work forensic lab know bad smell ! ) combination excessive air freshener septic . lobby dark gloomy . wedding party stumble lobby trying find chapel . ask desk clerk ( finally find one ) chapel reply - & quot ; guest hotel & quot ; ? since need check - in ask question ? needless say cancel plan stay . go drink bar instead flee warm surrounding . 
