great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Feb 5 2009 	 Perfect location great hotel 	 stay Hotel Metro week end December 08 run New Year 09 . surprise trip celebrate boyfriend 's birthday delight Hotel Metro . I slightly apprehensive booking hotel via travel agent read mixed review site . fail see other complain give price . could find well hotel whole Manhattan price range ! prior booking have ask several friend recommend hotel would stay recent trip Manhattan none would ! complain tiny , dark , shabby noisy room . Hotel Metro contrast adequately sized room clean bright , pleasantly furnish well serviced . would definitely recommend Hotel Metro friend . we absolutely love location hotel perfect we get around Manhattan see sight . many different subway stop different line within short walking distance mean could speed around island quickly . hotel staff friendly helpful , inclusive breakfast bonus bar pleasant place start evening off . we definitely return New York near future probably return Hotel Metro would hard beat term value comfort . also check roof terrace fabulous view Empire States build warm weather . 
 Feb 5 2009 	 love 	 take new york 21st boyfriend jan ... lovely hotel perfect need , road macys , bang opposite empire state round corner 5th avenue . breakfast ok , selection bagel , fruit , yoghurt , pastry etc , hot food . fresh fruit juice tea coffee . room front hotel , quite noisy window could see empire state building . perfect location site . would recommend go Angelo Maxies steak house ... can not remember add good steak ever . go rockefella night , view amazing . also times square make sure u go toy ' r'us , manage drag boyfriend ferris wheel there s life size barbie house ! ! love ! 
 Feb 2 2009 	 Fantastic Base explore New York 	 fantastic little hotel . situate right heart NYC far Macys ( 5 min street ) one block Empire State . we honeymoon 4 day New Year . receive excellent service friendly staff time . room large comfortable . note leave room wish we fabulous NYC honeymoon . breakfast morning good Metro Grill downstair great food too . all fantastic stay would hesitation book hotel , 
 Jan 29 2009 	 Hotel Meto - Perfect every way 	 boyfriend return yesterday spend 6 day New York Hotel Metro . hotel great ' m glad choose hotel many look . room average size fine we fairly large bathroom . breakfast great ; cereal , muffin , fruit , bagel etc etc , need set morning . great idea tea coffee constantly offer throughout day . position wise hotel could well . stone away Empire State Building , Times Square Maceys . also Penn Station metre away . everyone hotel friendly , complaint . also ask late check give free charge . disappointment roof top bar close due weather , will return NYC . would stop Hotel Metro - absolutely . 
 Jan 26 2009 	 highly Recommended - Fab Hotel 	 stay husband 5 night start January 2009 . hotel perfect location - close Macys , Empire State Building , 5th Avenue etc . hotel clean nicely decorate . breakfast superb , buffet style lovely selection bagel / muffin etc , tea / coffe / juice , everything need . room compact , clean provision could need . all , perfect place stay NYC , could recommend ! 
 Jan 24 2009 	 Great Central Location 	 come first visit New York City . location hotel make great , could not close heart manhattan . literally next door Empire State Building , easy walking distance everything , plus 100 metre close subway entrance.while warm humid , air con wonderful , room good , think little expensive get ( although NYC expect pay bit thing ) . breakfast lobby great fun , little bit busy though ( enough seat ) .overall hotel great , fabulous place ' ve ever stay , could central position NYC , amazing experience . 
 Jan 23 2009 	 wonderful location 	 return 5 night stay New York Metro Hotel . ( would believe cold weather ! ) Metro wonderful location , make ' to see ' site within walking distance . even walk Ground Zero Brooklyn Bridge take we hour . as hotel , be bad money . basic room view , long spend room ? might request room bath ( soak walk foot ! ) perhaps room shower might big . real complaint fact could save space crick neck put flat screen tv wall one side bed . the breakfast well expect hot drink tap welcome . all staff helpful . one reception staff help we print boarding pass flight William doorman go way get taxi we get airport . despite small room fact could do refurb , would stay without hesitation value money perfectly position . 
 Jan 21 2009 	 Thumbs Metro Hotel 	 family five adult New Zealanders return day ago first visit New York . spend week Metro Hotel find difficult fault . location excellent , allow we walk many place want go well close subway long trip . get buzz see Empire State building window especially roof terrace . our room spacious scrupulously clean . family appreciate breakfast find perfectly adequate- good able get day rather search breakfast cafe . we find hotel staff friendly helpful exception couple man front desk . however , whole delighted choice hotel would thorougly reccomend visitor New York . 
 Jan 12 2009 	 highly recommend Hotel Metro 	 book first trip New York surprise Christmas / birthday present husband choose Metro read review Trip Advisor . love hotel ; staff extremely helpful time complimentary breakfast adequate set we day sightseeing . view Empire State Building rooftop amazing ! ! ! ! hotel perfectly situate main Manhattan sight . buy New York City Pass get we many attraction also give $ 10 Planet Hollywood daily life card . expensive not make much use could do would buy plan time well next time . hotel problem lift not affect we - even though 12th floor . room fine - expect bit small base previous review acceptable need week . absolutely love Hotel Metro would definitely stay . 
 Jan 10 2009 	 great location 	 stay Hotel Metro 3rd - 6th Jan 2009 . flight delay not arrive midnight . not problem promptly check . room 12th floor , penthouse gym . unfortunately due time year / weather roof terrace close , get excellent view empire state building door ! hotel nicely keep find reception staff helpful friendly . give we free map tourist info book we onto bus tour . want tour , would actually advise book bus tour direct operator street ( clearly distinguished jacket ! ) . hotel obviously get commission instead operator no - one want settle bill give we ticket ! tour include Brooklyn , Harlem , Downtown , cruise etc $ 49 well worth opinion . main tour hop - on / 48 hour . see sight learn interesting fact guide . the hotel location great , round corner Empire State Building . everything within easy walk distance - walk good way take NYC offer ! hotel offer great buffet breakfast free tea coffee available 24 hour . tea - make facility room mini bar . room cosy , unfortunately view internal shaft something spend time explore not huge problem . bathroom clean shower great . toiletry nice too . overall would recommend hotel anyone visit fabulous city . 's great location see sight , dining , drink course shopping ! 
 Jan 6 2009 	 Hotel metro 	 book hotel month advance get really good rate . room 10th floor , great view surprise large room ... also extremely clean . location great ; block away Empire State Building short subway ride museum . breakfast assortment cereal , pastry , muffin , bagel , bread toast , juice , yogurt . disappointment rooftop terrace close . would definitely stay . 
 Jan 5 2009 	 Hotel Metro do not disappoint ! 	 Boyfriend treat getaway Christmas early present stay 16/12 - 22/12We originally book hotel Pennsylvania thank review tripadvisor rebooke seem nightmare ! arrival book promptly Eva , ( bit abrupt say - be not patient explain credit card approval need check , think bit rude ) cheekily ask upgrade lot review say happen often , tell already one queen bed , I m sure case room lovely anyway.the room warm , fairly spacious , clean huge cupboard enable shopping stow away , plus 2 large suitcase , lot stuff ! ! bathroom fine , clean load toiletry , shower good , water pressure bite much bf love . Hairdryer iron / iron board already room , safe massive cupboard . fresh towel provide everyday - room clean regularly , . 2 occaison problem room phone , engineer send repair time fine . do not use phone call international , buy phonecard call internationally minute use deduct call card , bill room , tell , extortionate rate , use card charge 1 dollar per connect call , regardless length . the rooftop terrace fabulous view esb worth look , coffee room always fresh tea coffee tap , do not breakfast hotel , go PAX round corner , food amazing , definately toss salad bar ! reccomment visit korean restaurant next door hotel ! bf visit takeout night , clearly though could take advantage we drink . order soup plain boil rice , charge we 22 dollar ! ! look bag room , add extra dish do not want , obviously expensive soup rice do not want ! ! really angry take order back , soon guy see try play dumb say extra dish complimentry even say thing ! ! admission guilt straight away ! argue case charge 22 dollar rice soup really acceptable demand cash back , whcih give I . avoid like plague - food be not even nice ! ! lovely hotel majority staff pleasant helpfull , clean confortable what s require hard day NYC . situate great spot , block form esb , times square macys.i would reccommend hotel hopefully return stay . 
 Jan 5 2009 	 Great Location helpful friendly staff coffee tap ! 	 spend six night Hotel Metro , across New Year period . fifth time New York honestly say Metro good hotel ' ve stay far . book Deluxe non - smoking king room whilst not get view Empire State building , room large New York standard bed comfortable home . hotel locate couple block Macy 's , central everything . find hotel staff superb , could helpful friendly . quite unusually New York rate include breakfast , basic adequate big plus coffee / tea available day night dining room / lounge lobby , welcome feature return day 's sightseeing / shopping . downside unreliability lift , one seem day , small price pay , medium sized ( much personality big faceless hotel ) , clean , centrally locate lovely hotel . plus view Empire State roof hotel ( use bar Summer ) close due freezing condition , could still go look amazing unobstructed view . 
 Jan 3 2009 	 Great Vakue Hotel 	 return NY visit shop see New Year . hotel tick box represent excellent value money . location accessible site shop . room clean warm . add bonus breakfast unlimited tea coffee day . would want stay anywhere else . no need search internet . one ....... 
 Dec 31 2008 	 great Christmas NYC 	 return 6 night trip NYC Christmas husband . stay Metro could not fault one bit . room great , clean , surprisingly large 12th floor , great view Empire State Building . breakfast great unlimited tea coffee . NYC fantastic sight highlight definately Rockafella Centre day night . treat lunch Maze Restaurant ( London Hotel , Gordon Ramsey 's place ) Christmas Day excellent see Jersey Boys evening - highly recommend . got bargain Macys must visit & amp ; ms store ! tip shopping front would get 9.00/9.30 lunchtime shop street pack . O'Lunneys 45th street great food want something quick chinese next door hotel well worth visit . 
 Dec 30 2008 	 Hotel Metro 	 Hotel really great . birthday treat travel mum arrive reception staff good , allocate we room even remember ask twin bedded room . the room nice size 11th floor never wait around lift come . breakfast big plus hotel well . lovely bagel every type bread could help coffee 24/7 well . the location also good . near subway Macy 's practicaly doorstep . try chinese restaurant next door - also korean restaurant , lovely service friendly staff . great time . drawback year exchange rate good . 
 Dec 23 2008 	 great trip NYC 	 back trip boyfriend new york city . stay hotel metro nice hotel . spend time shopping hotel indeed nice clean peacful . good least people enjoy free breakfast hotel rather pay extra . receptionist night time nice helpful inde one eva pretty snotty rude . go nyc spend time oustdie shopping . get pretty much everything want three day . still wish extra day . stay hotel four day . first trip nyc last one . reccomend future visitor buy daily metro card ride train much cheapper tehn taxi . ton thing . macy two block away hotel empire state building . everything near hotel good hotel stay . recommend ride train buy daily unlimited train card 7.50 . advice get familiar witht train route since hardly people work train station help . kust many thing nyc learn soo many thing see . anyone ah question happy help . always good get help leave trip . highly recommend hotel location price . know people pay $ 300 night get dealk trough travel agent . one thing n ot recomend take ataxi airport pricy . instead take shuttle bus public trasnportation . NEWARK airport take new jersye transit train almost like metra train leave we right airport get less 30 minute . research way get aiport cheap way take taxi . 
 Dec 23 2008 	 Metro highly recommend 	 wife two teenage child spend five night Metro one family suit week Christmas . room generously size central Manhattan , particularly two - bed room kid , overlook 35th St . bed comfortable , bathroom well - supply large towel Gilchrist & amp ; Soames toiletry . free buffet breakfast limit perfectly adequate , constant free hot drink welcome , particularly arrive back hard day . free WiFi convenient research thing keep touch home . on downside , Metro 's elevator small slow , one pair keep break , lead long delay busy time . also problem tv , get many channel , hotel maintenance people able fix leave . would come NY watch tv major issue . the hotel location excellent , W35th St 5th 6th Avenues . Herald Square subway station two minute walk ; Macy be right across 6th Ave ( disappointment ! ) lot shop 34th St course 5th Ave . Times Square 10 minute walk , one stop subway . buy MTA unlimited ride ticket not hestiate take subway get snow rain ! empire State Building 5 minute walk away , able get early avoid queue get observation deck , though find view Top Rock Rockefeller Center equally good . there plenty eat option close . pizza slice Guiseppe 's corner 35th 6th - simple delicious . the staff unfailingly friendly helpful . nowhere Manhattan cheap , feel get money 's worth Metro have qualm stay . 
 Dec 16 2008 	 proof good deal New York city 	 ' ve stay New York numerous time year honestly say Metro Hotel really give value money . plus point : room clean , moderately sized , ask bathroom ( oppose shower ) give one . hotel staff friendly helpful - especially reception door . free breakfast morning - toast muffin - free . could tea / coffee whenever want . not bother noise - outside guest . 12 floor say 179 room - small enough still personal touch unlike gigantic place like Penn Hotel around corner . you could walk Penn Station 6 minute , Macy 's 2 minute , Time Square 10 minute Tiffany 's etc 20 minute . subway / tube / underground station less minute away anywhere island time all . we get hotel shuttle back JFK $ 20 ( plus tip ) - much cheap taxi $ 80 ( plus tip ) quick Sky Train - fair - would catch Sky Train back engineering / track problem near JFK not want bus transfer . negative point : many really - think free WifI not , coffee / tea facility room - bring coffee room , coffee not nice world , hang space not large world radiator work fine dry heat ( fan assist ) not overly comfortable . minor point though - compare HOLES like Penn Hotel luxurious would definitely go back again . also , restaurant attach hotel not great - tired 's raining not want go - food passable - would really force afield - even 's cross road Bar & amp ; Grill 
 Dec 8 2008 	 can not beat Hotel Metro ! 	 book four night stay Hotel Metro November 2008 Thomson Signature . hotel recommend we friend previously stay . originally book deluxe double room allocate , although perfectly roomy clean , smell smoke . George Reception hero kindly upgrade we Family Suite ! one bedroom window view Empire State Building bedroom window view Macys ! could ask ? ! room spotlessly clean comfortable bed ' ve ever sleep . coffee tea available 24 hour day downstair breakfast fantastic - bagel patch real thing ! location - wise , could not get much well try . 1 block Empire State Building , block Macy 's , 5th Avenue shop right doorstep . reception staff contact extremely helpful , give advice suggestion go , see well / cheap way . , big shout George ! small gym top floor hotel , next roof terrace . go good intention never get round use - pound street New York exercise enough ! , fantastic planning return trip next year hotel . 
 Dec 7 2008 	 Great Location / Great Hotel 	 Booked expedia fly Nov 27th 4 night . hotel excellent location , empire state building around corner end road big Macy 's . staff friendly helpful room small , apparently everywhere , breakfast great , would help put toaster different place , tea coffee day great . would stay . 
 Dec 2 2008 	 Perfect Location ! 	 stay Metro 26th Nov 4 night , location excellent - right 5th 6th Avenue close Macy 's ( great jet lag 5 am morning - go macy 's black friday sale ! ! ) , also free tea coffee day probably save small fortune nice come back afternoon shopping / sightseeing sore foot sit lounge cuppa ! breakfast lovely use hotel restaurant first night tired not fancy trying find somewhere , food lovely lovely cosy booth 2 .. nice sit relax glass wine ! room 4th floor , nice clean ... view onto brick wall not matter we hardly room . find staff helpful friendly , arrange transfer back airport air link shuttle whihc $ 20ea luckily 6 us 1 pick - up - would use service again . we would love return New York , definately stay Hotel Metro . 
 Dec 2 2008 	 wonderful Hotel ! 	 stay Hotel Metro 26th November 30th Novemeber . lovely hotel right inthe centre New York . request upgrade possible special birthday trip husband hotel accommodate request ( without additional charge ) also put room complimentary chocolate water . staff extremely helpfyul friendly . could fault hotel . complimentary breakfast good restaurant staff work really hard ensure everything refill . shower room hot additional heating / air con room . almost next tot Empire State Building really good locattion sightseeing . could find fault would highly recommend hotel . 
 Nov 30 2008 	 love great New York Experience 	 Booked hotel daughter 's first trip New York . ask room high floor give we room look onto Empire state building . also take picture lovely roof garden open visitorsThe hotel lovely , staff helpful friendly , exception one lady reception , obviously happy day . may commend Matthew doorman , lovely helpful man . lovely clean room lovely comfortable bed . room bite small side , sleep ( 7.30 ) . hotel surpise we breakfast , lovely cheese , jam pastry , bagel , muffin , fresh fruit salad , lovely thick bread toast . breakfast 6.30 ( think ) . definitely set we day . Hotel Herald Square short walk Macy 's Empire State Time Square . be careful room mini - bar ( lift sometime ) 20 second charge room , careful ! ! ! get Staten Island Ferry across - free lovely view statue Liberty . we look visit NYC next year definitely stay wonderful hotel 
 Nov 29 2008 	 great little hotel 	 great little hotel really well locate 5th Avenue , Broadway , Central Park & amp ; within walking distance ( ' ve get good walking leg ! ) touristy place city . not fancy walk hop metro ( second away end road ) take cab . hotel room small everthing need & amp ; room clean well everyday . breakfast add bonus , reviewer explain offer . think lot easy & amp ; cheap go breakfast everyday although day 6 get bit boring . aware food & amp ; drink NY , expensive , spend lot social time London & amp ; even catch surprise . say really great time & amp ; would definately go back , probably summer month November freeze ! 
 Nov 28 2008 	 Superb Location / Hotel 	 arrive back 3 night break Metro : ( Hotel Small lovely add bonus breakfast tea / coffee tap . all staff nice friendly would go way anything ask . the room spacey clean . go roof terrace look get wonderful view Empire state building ( situate penthouse floor ) .The subway outside hotel right , 100yrd easy use ( doubt ask hotel staff ) .Just outside hotel right nice chinese restraunt , reasonable beware portion HUGE.To leave hotel 50yrds irish bar upstairs restraunt also good . a steady stroll uptown get start central park hour stop photo along way . would go back New York ? Tommorow please . would stay hotel ? definately . 
 Nov 26 2008 	 okay expensive hotel let lazy front desk staff 	 stay nine night 14 November , arrival one help luggage , struggle hotel ( upstairs ) bag tell hotel real view Empire State Building , upgrade double king size room ( room 711 ) , appreciate , view room building site , begin work 8 am everyday , however . bed large amazingly comfortable , linen soft room well service daily basis . gripe bed would use quilt instead blanket , seem trend hotel day , not good obviously way adjust layer blanket , quilt cover nasty nylon cover remove first night hot feel horrid . there bath , miss bath lover find especially useful long day foot . fridge one ' if remove anything 20 second charge ' mechanism , possible store anything , mini bar . not pick USD6 & amp ; Ms long will pay . ice bucket room ice machine level 12 , use store drink . hotel supply free tea ( bag ) filter coffee fresh milk , breakfast room day night , nice . breakfast carbohydrate city , five different kind bagel , muffin , sugary cereal bread , babybel cheese , cream cheese , peanut butter , grape jelly orange marmalade . ' Juices ' concentrate instant oatmeal . would appreciate low fat protein option , even boil egg , give cheap hotel think unreasonable expectation . I three parcel arrive whilst hotel , occasion tell arrival ask , third one , ask , tell arrive . mess contact sender telling sign hotel staff , three day early , go back front desk finally get backside find . ever decent hotel ' ve stay , package deliver straight room , question ask . addition pay USD80 laundry do , also collect front desk . ( staff glue chair ? ? ) wifi internet access room almost non - existent drop every five minute , partner attempt work room one day end go business centre . unable connect one stage , front desk staff give number wifi supplier tell phone , try charge we phone call ! ! ( friend also stay hotel 9th floor , trouble bad wifi connection , not room floor ) . cordless phone room terrible reception would drop every word , not use much truly terrible . overall , okay hotel , subway nearby Macy 's one block away , however , front desk staff lazy unhelpful really let hotel . sure would stay , suspect well hotel price range . 
 Nov 26 2008 	 Superb want go back asap 	 come back Metro , travel Daughter friend celebrate Daughters 18th birthday . already contact concierge advance arrange birthday surprise absolutely complaint , everything organise , cost cheap could find pre arrival service faultless . on arrival delight upgrade . room spotless roomy , sneak look room although small , would complaint . Bell hop , particularly Matthew lovely really funny , nothing much trouble . ann reception man desk ( forgot name ) deserve mention credit really good job . know receptionist people mention , yes not friendly character could happy pill perhaps , hey bad day perhaps other . the breakfast lovely enough fire day . coffee tea tap 24/7 additional bonus . hotel bar expensive ( honest current financial climate whole New York ) . read review leave unsure expect , would go one way . honestly say entire stay faultless , yes little noise tell expect go New York find peace quiet ? part experience . location perfect , ignore bus ticket seller ( red & amp ; yellow jacket ) go via yellow cab , far cheap long run quick . late night bus stop 6.30 anyway , would take cab . get Empire State Building open 8 am avoid queue top enjoy view ... snow 8.06am ! ! awake since 5 jet lag kicking early start not problem . the thing aware something unnerve we ' give ' promotional cd 's outside Virgin megastore . sign ' friendly ' enough guy , assume promote music legitimate give standing ! . make clear wanted money go take answer , surround we one point quite scary . get away without pay , please , approach ignore accept anything try give youback hotel , would recommend anyone , stay hotel place basic , 5 star far well ever hope get back soon credit card exchange rate recover ! ! . 
 Nov 17 2008 	 basic clean cockroach ! 	 recomende hotel travel agent lady book we stay previously . great position near fifth avenue around corner Macy 's . however , tea / coffee facility room , go breakfast room refreshment . room one 2 cockroach , catch bell boy apology give . bell boy helpful friendly receptionist totally different , disintereste ask would good eat generally unhelpful glum . shame hotel warm atmosphere . room basic clean ( minus cockroach ) 
 Nov 11 2008 	 average price ! 	 know New York get money not value pay receive part country , would first choice ever ! yes , be conveniently locate , right 5th 6th Avenue , yes , room not badly sized New York . , would not stay ? firstly , be room service - well , , menu limit can not charge room ! question , get terse response person phone , suggest strange expect kind service ! not coffee make facility room could not even get bring morning- huge deal , be appreciate . secondly , breakfast ok , include price , great -but 's plastic , disposable plate cutlery - easy clean - up great give environmental concern . thirdly , arrive room carpet damp smell strongly clean product . great floor clean horrible walking around carpet ! ! finally , bed incredibly hard leave feeling like body beat pulp - 2 night ! hate think would happen would long ! good side though , doorman great - friendly , odd NYC , happily store bag we make sure taxi take we airport need . not openly ask tip , hotel staff past , happy offer one friendly helpful ! , price pay , would not recommend -you have well Courtyard Marriot ! 
 Nov 10 2008 	 meet need well . 	 share room 2 friend , 2 double bed , size room adequate , prob large NY standard . room clean , bed comfy . wish coffee maker room . bathroom small , adequate . good shower . reasonable rate ... hard find dble room NY budget meet need , pleased choice . visit metro grill take advantage complimentary breakfast . 
 Nov 7 2008 	 Excellent accomodation 	 2nd stay Metro . superb visit husband 50th . excellent count , location , cleanliness , staff room . staff always give valuable advice available discount ticket attraction . recommend Metro 1 year ago stay briefly could not wait return . FANTASTIC . 
 Oct 27 2008 	 fantastic 	 absolutely fantastic , breakfast great- typical bagal however , walk around NY heavy stomach not ideal . central location within reach attraction minute Hotel Metro outstanding . room spacious complete tv facility shower . staff friendly efficiant . would definately stay , hesitate contact question . 
 Oct 21 2008 	 Excellent Hotel 	 Hotel great location , 2 minute Macys Empire State Building , ten minute walk Times Square . hotel great location easy reach everything . subway station end street . room front amazing view Empire State Building , although traffic noise . the breakfast great , plenty choice always fresh . room clean comfortable , daily maid service . staff friendly helpful . would recommend hotel , price reasonable get . would definitely stay . 
 Oct 20 2008 	 nice hotel 	 stay hotel Metro New york city August , think excellent choice , location great Macy 's Empire state ! hotel clean decor nicely do . breakfast room great lot seat plenty eat drink cereal , bagel , muffin , toast fresh fruit etc . hotel lovely roof garden excellent view empire state building . hotel restaurant try one night ok directly across street Brendans bar & amp ; grill excellent value great food . New York amazing highlight empire state building view breathtaking , grand central station , central park hudson river cruise , oh walk across brooklyn bridge . get around really easily cheaply subway , buy metrocard 7dollars 50 cent take anywhere day . people really friendly safe . 
 Oct 18 2008 	 fantastic location 	 stay 3 night 30 September . book ba favourable rate website hotel direct . the hotel fantastic location , 2 min walk subway station Macy 's , view Empire State Building . central location mean room suffer street noise due lack double glazing , get use it . the complimentary breakfast real bonus , plentiful selection roll , muffin , bagel , fruit , yoghurt etc . however , breakfast area big enough accommodate everyone busy time , turn bit free ! staff friendly helpful , able check early arrival . concierge helpful look bag last day , arrange taxi we . the room comfortable clean , hotel offer free wi - fi access find useful . overall enjoyable stay . 4th visit ny , Metro offer excellent value money compare hotel stay . would definitely stay return . 
 Oct 13 2008 	 great stay 	 review hotel trip advisor sister make choice stay 5 day ny trip please decision . service great , friendly helpful breakfast enough get we go , include fruit later . nice cup tea end busy day allow wind time . location great , close Macy 's , Empire state building , Madison Square Garden , 5th Ave , Rockafeller Center Time Square walk . area clean subway 2 min away . we give upgrade suite upon check - in , big clean room nice bathroom . yes road noise bad , bring ear plug sensitive . 12th floor face 35th st inside corner maybe less noisy there . Cab La Gaurdia 35.00 dollar 30 min ... would recommend hotel would stay . love New York can not wait go back ! 
 Oct 13 2008 	 great location great breakfast 	 wife book we 5 night stay 30th birthday go request room view Empire State Building sort we extra charge . room decent size good sized bed , free use safe shower room , room clean daily . breakfast include room rate continental buffet great way start day . the location hotel fantastic really could get well location , turn right front door walk 200 yds ( ) Herald Square , cross road Macy 's right Midtown , Empire State building block away Maddison Square Gardens much , 5 - 10 min walk Time Square basically hotel , central . there restaurant right next door hotel also across road , korean restaurant cheap portion huge . also great irish bar nearby 's birthday drink free : ) buy New York pass also Circle Line bus pass go find great value money also would recommend trip Woodbury Common great value shopping . all great location , great hotel excellent staff , excellent service fantastic holiday . 
 Oct 12 2008 	 nice hotel ! great location / nice room ! 	 first weekend visit NYC hotel part weekend package / airfare . good choice ! great location , reasonably price ( New York , Chicago ) good service . hotel clean lobby nice art deco vibe . check time 4 p.m. , arrive 11:30 a.m. presumably check bag run Brooklyn . nice surprise able check room right away ! even well one room upgrade two bedroom suite albeit smoking suite ; be okay , smoke . service employee , esp . daytime manager ( ? ) doorman ( George ? ) great ! not take advantage rooftop bar / view , next time return NYC . room clean comfy like IPOD radio / charger ... serve well alarm clock . definitely check hotel . Central Park , Times Square , Rockefeller Plaza within walk distance : 1 3 mile , be nice walk 20 minute top . great value money ! 
 Oct 10 2008 	 Amazing Manhattan Hotel 	 take 3 week trip state : 2 city ( New York Chicago ) road trip along part Route 66 , Mississippi back Chicago . book every bit accommodation solely base Tripadvisor review everything perfect . Hotel Metro perfect Manhattan stay . incredible location – literally right Empire State – could gaze straight window even spectacular view night hotel ' terrace bar roof . hotel recently refurbish throughout spotlessly clean . room , family suite brilliant good value . family 4 adult yet room spacious enough get ' way . double room ' door share lovely modern shower room . thoughtfully put extra sink outside , good 4 people . housekeeping amazing , lack nothing , extra pillow already ( pillow top quality comfort ) , plenty deep pile luxurious towel , lovely quality shampoo etc . bed comfy , air conditioning spot everything absolutely spotless – fussy ! ! addition , staff helpful friendly . could free internet access office – really useful . breakfast free morning fresh tasty – fruit , yoghurt , bagel , pastry , bread , etc . would definitely stay . 
 Oct 10 2008 	 great location great view outdoor bar . 	 great location hotel New York , right next Empire State building sit 10 floor outdoor bar gaze , . complimentary breakfast great toast , muffin , bagel , yogurt room serve little small . stay honeymoon 3 night Aug 08 , hear noise weekend window thick room décor looked date . clean staff lovely . even get free internet access , make ticket attraction easier less queue . real downside lack honeymoon ' welcome ' - ' even get chocolate pillow ! dad secretly contact say honeymoon yet despite reassuring would looked make feel special anyway . 
 Oct 1 2008 	 great hotel noisy 	 Metro really nice . well run hotel great location . large comfortable room good breakfast , helpful staff . one drawback room face West 35 st noisy . try get internal room . 
 Sep 30 2008 	 absolutely great hotel 	 book BA , not pay earth & amp ; delighted stay . doormen & amp ; check - in staff helpful throughout stay . early arrival deal smoothly , store baggage make we comfortable room available late departure handle manner . even lend umbrella weather became showery last couple day . the room & amp ; bathroom comfortable clean good quality toiletry provide . public area keep really well . continental breakfast excellent & amp ; plentiful , free coffee available day long . can not imagine central location , ideal Broadway & amp ; Empire State . subway station corner Macys end block . ( Brendans restaurant opposite 1st class . ) need look anywhere else next trip . 
 Sep 15 2008 	 stay view roof terrace 	 Hotel Metro - New York - 45 West 35th StreetJust get back England weekend break stay Hotel Metro 19yr old son , hotel fantastic . 's price budget hesitate . compare similar price Hotels think one stay . 12 floor , New York standard , make quiet never queue reception breakfast etc . I think well location , next street Empire State Building , Macy 's next block , lovely clean Hotel , not believe bad review , justthink people would complain anything probably blame hotel rain ! ! also exactly look gallery picture 's recently renovate . staff fantastic , room lovely , book Queen room , get upgrade Suite ( room1102 ) free charge . Highlight roof bar / terrace , awesome view esb , watch people 's face first look arrival terrace first time priceless . continental breakfast great start day ( understand hotel not provide free within price ) much coffee drink day & amp ; night . jet lag , wake 3 am , decide go breakfast room , grab coffee back onto roof terrace . sit take in . PS . Tip visitor New York , visit ' Top Rock ' Rockerfeller centre , view Manhattan Central Park breathtaking , bonus Empire State Building , get see view . Mike & amp ; Greg WeatherheadAlcester , England 
 Sep 12 2008 	 great hotel poor bar staff 	 stay August 2008 fantastic room , location . go 6 people include 3 kid 11 , 12 14 good point cleanliness attentive staff . bad point fridge room ( except one full way overpirice item charge do not receive , ) ice floor need travel 12 floor bar . go bar one evening beautiful view empire state . bad taste mouth though bar staff . one lady particular , ignorant should not job . take exception order alcholol child state want make sure be not give alcohol kid ! ! complain management nothing do . though def go back honest . pull old building brother law jack hammer 7 .30 morning week . hotel never tell we pain . breakfast grand . high bread roll etc save go macdonald etc .. overall would rate 8/10 drop hotel excavation outside bar staff 7 still bad go nyc every year since 2003 see bad hotel ..... trip back Ireland delta airline mistake ill always fly aer lingus ! ! ! ! ! 
