nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 may 25 2009 	 Belvedere Hotel 	 recommend Belvedere Hotel anyone look hotel accommodation NYC . location great , staff personnel courteous accommodate , service prompt , room amenity good . 
 May 21 2009 	 Perfect Location - clean friendly 	 wife stay Belvedere extended weekend visit New York . moment walk , hotel give we good & quot ; vibe & quot ; . staff front desk friendly room matter minute . read review fact room renovate other . although request renovated room possible , hotel busy end old room . bit dissapointe room look old start scratch surface , quickly see everything good quality clean . bed comfortable almost certainly new . room also quiet , next elevator could hear mechanical noise little corridor noise ( except really loud people conversation walk respective room ... not hear SMS ! ) . room also equip small refrigerator microwave could buy eat breakfast . what make Belvedere though location . litterally minute Time Square quiet side street , short walk Broadway hotel give we time relax deal busy NY street . bunch great restaurant 2 - 3 block radius hotel find place eat issue . Belvedere attach awesome brazilian restaurant ( complex name can not recall ) , although bit pricey , worth visit . all , great hotel price well worth consider . miss free WIFI ( hint , hint ... ) . 
 may 18 2009 	 Great Hotel - Great Location 	 stay May 14 - 17 husband 2 kid ( 8 10 ) - friend ( married couple ) stay hall . 9th floor . room spacious . fridge not particularly cold - never care enough investigate see adjustable . main elevator slow -as previously report - elevator end hall quick . front desk door service excellent . concierge particularly helpful direction travel time within Manhattan . everyone else helpful . restaurant nearby : eat breakfast twice ( good first time , go back ) Bagel Stix 53rd 8th ( corner close ) . delicious bagel & amp ; huge variety cream cheese . also one breakfast Pigalle block 2 48th hotel . expensive . pay $ 100 family 4 . food fine - would not make mistake . desert Olympic Diner around corner hotel - quite acceptable reasonably price ( cake , cheesecake milkshake $ 4 , big sunday $ 7.50 ) supper eat Ruby Tuesdays Times Square - Steak dinner $ 20 include eat salad bar - favourite among party . go Mars 2112 entertain kids - huge disappointment - entertain food unbelievably bad . daughter could not eat pasta - next raw . the restaurant far away adventure . pay $ 300 night - Manhattan cheap place stay time year . try Expedia site get cheap rate . book on - line hotel . easy walk tonne theatre - glad drive anywhere . parking either $ 36/ day self part $ 43 valet - opt valet . arrive hotel quick . take Lincoln tunnel minute true Manhattan driving could hand key say good bye car ! ask give 45 min hour retrieve car parking lot . call Rockefeller Plaza car get back ! people complain street noise . - consider amount activity go close proximity - really think miracle little . window air conditioner run constantly - maybe muffle sound . the hotel happy keep luggage us day departure . go ahead book hotel - will not regret . New York amazing city ! 
 may 15 2009 	 GREAT FRIENDLY CLEAN HOTEL MIDTOWN 	 stay 6 day family overall experience NY world wonderful city friendly people earth probably beyond ! ! complement fully friendly service well run hotel midtown walk distance everything subway close . reception friendly helpful porter also baggage storage taxi service front desk need direction map provide trip sight . room clean daily 4 room spend minimum time problem space , look place lounge NY either much little time . ear plug available local drug store good idea least unused night time street noise night 3 - 4 ok , not eat hotel explore many fine place eat locally & quot ; Ellen 's Stardust diner & quot ; must ................. will back . 
 May 13 2009 	 Love Place ! stay summer 09 ! 	 ' ve stay several time always happy . nice little hotel great location . near Times Square , smack dab craziness . located 8th 9th Ave . 48th Street ( perfect ) . 
 May 11 2009 	 fabulous location . good value hotel . 	 stay Belvedere December 2008 . 's great location 8th Avenue easy walk Times Square . Stayed Room 1222 . bad size room NYC standard . lift incredibly slow one action whole week . , think actually NYC tradition , go expect lift working order may pleasantly surprise . holiday , not really bother much meet lot interesting people foyer wait get room ! room get quite stuffy even midst winter , open window let bit fresh air . bed pretty hard , give much walking every day , still sleep pretty soundly ! ok bathroom - quite adequate . hot , run water 's well ' ve previous accommodation Manhattan ! Avoid & quot ; business centre & quot ; . internet access charge minute incredibly expensive . try Cyber Cafe 250 W49th instead . there be super deli around corner 8th Avenue call Green Emporium . find handy breakfast every morning coffee hot chocolate . plenty eatery 8th Avenue . would recommend check 9th Avenue eat drinking want steer away Times Square tourist trap . avoid Cosmic Diner street 8th Avenue . expensive particularly good food . try Mexican restaurant 3 door Belvedere almost corner 8th Avenue . good food . go 7:30pm theatre crowd empty ! belvedere laundry basement prefer laundromat around block 9th Avenue could watch world wander . service ok - great , bad either . overall , would stay location alone . 
 May 9 2009 	 Good Location noisy room 	 can not fault location hotel , minute stroll Times Square , Restaurant Row , 5th Avenue etc . hotel reception smart check efficent . problem noisy room . 16th Floor city noise still loud , perhaps expect , window double glaze . also bang heating system time time noise make rain onto air conditioning unit loud keep we awake . when ' ve tire day pound road see sight definitely need good night sleep . would not choose stay hotel simply base criterion . 
 Apr 26 2009 	 great price great location 	 choose Belvedere reasonably price New York hotel . get room not ready upgrade we junior suite ! 's service . go upstairs find room well decorate clean . hotel great location - centrally locate . close Times Square , close Central Park close subway . since stay ' ve recommend hotel several friend rave review . will stay next time be n.y.c . 
 Apr 23 2009 	 location location location 	 first ever trip New York ( will not last ! ) stay hotel base price location . the location think superb - short walk Times Sq load place eat close hand . standard room - decor bit date room clean good size - good fridge room . air - con bit noisy , noise street , nothing spoil stay . find staff friendly helpful . there great french diner breakfast round corner ( can not remember name ) also good italian close choose basis great review Tripadvisor - Trattoria Tricolore - good . mexican next door hotel ok , though party not enjoy meal - knock price bill . jug frozen margerita great ! highlight ? Top Rock , harbour cruise central park . also spend amusing evening HaHa comedy club - concierge book we . can not wait return would consider hotel virtually everything within walking distance . 
 Apr 16 2009 	 sorry stay - bad price / quality ' ve see 	 yes location good , enter room forgot . read previous review ask renovated room executive one , extra payment $ 100 / night . travel lot stay many different kind hotel . price pay ( $ 215 per night inc taxis ) hotel clean comfortable . room Belvedere however remind hotel stay cost $ 60 per night Cannes , everywhere else full . turn bad . big problem room noisy heating system bad ' ve ever see . heater basically big blower make really loud irregular sound even & quot ; low & quot ; fan setting . not know find piece equipment , would like see person sleep sound make turn . turn able sleep , result room get cold morning . turn heater however not make room quiet . ' m talk street noise etc , not bother ' m sensitive noise . loud clank noise come hotel plumbing / air con appear per half hour , force wake . end try sleep really cold room irregular loud metal noise . experience worth & gt ; $ 200 per night ? apart general sound insulation bad , could hear discussion etc hall room around , small compare heater plumbing . room also generally date worn dirty furniture . other note 's strong stench food remnant hall , enter room also people microwave leftover . would check day early hotel policy charge full reserve time even would not stay . wonder kind room ! unless get renovate room ( hope well ) , stay elsewhere sorry . 
 Apr 8 2009 	 Money well spend 	 NYC New Years 3 friend . actually book different Hotel ( 1st choice ) could accomodate we full stay book 4night stay Belevedere . blessing desguise . first hotel suck make brief . walk fron hotel belvedere 2 block away . upon arrival Belvedere bellman come meet we almost 1/2 way block see we comme . impress previous hotel hardly acknowlege arrival . even though 3 hour check able get room yet ( expect ) get we start check process store luggage . receptionis go way help we reccomendation go breakfast . upon return Checkin mid day atually recognize we come ! ! ! ! greet everything ready go . room great ; clean , comfortable decently roomy manhattan standard . bellman deliver lugagge check heater we make sure comfortable familiar ammenitie room include operate heater . quickly become familiar staff greet we name . one morning leave actually give we nice coffee thermos take we . still keep mine desk . find trip Customer service New Nork establishment far westcoast hippie concept . great relief find staff ( reception , bellstaff , housekeeping , concirege , etc ) Belvedere know true mean Customer service . feel among friend . also short walk times square ( vital be NYE . ) Broadway fashion district , couple block Metro . btw like Cajun Delta Grill must . great recommendation staff . concirege also help we set great ticket hard get show . .It epic trip enhance experience hotel . definately stay visit . 
 Apr 6 2009 	 Belvedere - stay - will not sorry 	 16 year old niece spend 3 night Beledere love . stay room 1512 double / double wonderful . price excellent - perhaps something economy . tv bit quirky figure . room ( hallway ) warm thermostat able open window . great view also ! bed comfortable room clean . love bathroom . staff wonderful . friendly extremely helpful . great location ! ' ve stay several hotel / inns New York one good . will stay - maybe Xmas ! 
 Apr 3 2009 	 great locationgreat value 	 stay hotel 28th march till 2nd april well half . arrival check really fast . give king room 12th room . room next lift . entire stay hear noise lift . room self clean , bed massive comfortable . room big teach hear hotel room small new york room big enough we . bathroom fine , main clean spotless . never find lift slow always we need use . breakfast include package delight breakfast lovely . problem could eat much want time feel like go food good . location hotel could better two block time square couple street central park . 
 Apr 3 2009 	 Best Location New York 	 stay hotel family 5 nt 22nd March , tour operator Ireland do lot research stay . end price location swung ! do not worry get re - furbished room , long clean , would worry decor sleep ! 7th floor 3 door away Lifts although loud , quite slow . service lift end floor easy use ! location unreal . block half Times Sq almost residental road little noise ( firehouse end block one party , light sleeper , wake twice ) .We stay room breakfast great expensive . Pigalle restaurant end block lovely . 3 day spend money breakfast , buy milk , criossant etc keep room ( fridge kettle ) .The staff lovely , feel like never see bellboy twice add experience helpful . overall would stay recommend people . can not speak standard room , New York there s lot give enough pillow ! 
 Apr 2 2009 	 Nice Stay - Quiet Hotel 	 stay 3/26 - 3/30 . three Deluxe Doubles . room $ 200 night . room warm run air conditioner evening comfortable . check quick . luggage assistance quick upon arrival departure . 11th floor not hear lot noise . concierge helpful . would stay . 
 Apr 2 2009 	 God - awful 	 arrive last night London already would quite happily return home simply standard hotel . ridiculous , sit room moment time barely see computer screen dark . tv do not work , request advance 5 extra pillow father bad back mother bad neck deliver , repeatedly ask extra pillow turn hour later three ! furthermore website claim room service available get room service exist . staff see seem unhelpful surly . last night sleep uncomfortable awoke terrible pain neck . bath bathroom ludicrously low small toilet separate family four cause numerous problem imagine . interesting people perceive value money 
 Mar 31 2009 	 great location great price flaw 	 hotel ' ve try Manhattan , Belvedere far good value money . 2 room $ 200 . 's near theater district , walk everything , be relatively quiet side street , not bother traffic noise . however , not yet find hotel New York 's perfectly quiet . one one noise flaw hotel really need correct : tv volume first hit power - on switch immediately way loud . finger volume - down button hit 6 time get reasonable level . people next room decide 7 am Sunday morning check 's tv , wake we . second flaw lack free wi - fi . bring laptop , be $ 10 24 hour use . spend half hour phone hotel 's tech support get work . next day decide use hotel 's business center pay la carte internet ... cost 30 cent minute $ 3 minimum ! despite annoyance , would still recommend hotel 's easy access theater , nice staff , nice sized room . 
 Mar 31 2009 	 great place 	 love hotel , may little bit expensive middle fun many place eat , step . service good staff friendly , really like . 
 Mar 29 2009 	 Times Square 	 friend stay Belvedere Monday 23 March Friday 27 March 2009 . arrival hotel , check - in swift assign room 14th floor . follow previous review , contact hotel advance request refurbish room previous guest advise room somewhat date . room receive excellent . deluxe double say bed comfortable . room well equip ample coffee make facility , access internet ( extra charge ) . bathroom quite small bath shallow , however ' problem either we use shower ' spend lot time room - New York far much see ! ! ! people mention elevator quite slow . use two main elevator yes majority guest use . however two additional elevator ; one either end floor also use avoid wait . location hotel fantastic ! ! ! exit building , Times Square Broadway approx 2 block away marvellous Times Square excellent area access restaurant , subway service etc . girl holiday , indulge little ........ ok lot significant amount shopping . Century 21 still remain one favourite discount store NYC . would also highly recommend buy New York City Pass allow free admission large number NYC attraction i.e . Top Rock , Empire Sate Building , museum , exhibit , Central Park zoo ...... list go . pass also allow fast - track entry location assist lengthy queue must - see sight . pass also give access free Circle Line Boat Tour round Manhattan . fantastic view Hudson superb . take show Gershwin Theatre . say Wicked amazing ! ! must see . ticket discount available New York City pass however ticket firm ' leave . would therefore advise go directly theatre purchase ticket visit ticket sale booth Times Square . departure hotel , concierge happy make contact transportation company behalf make necessary arrangement reception also allow we retain room additional hour follow departure additional cost . Bell Boys store bag follow check - out collect . Belvedere Hotel fantastic would happy stay return New York . happy answer question anyone . 
 Mar 28 2009 	 Overall Great Expereince ! 	 stay end March wonderful stay hotel . breakdown review : location : hotel close Times Square therefore close many attraction theater . be locate 3 -5 minute ( walk ) outside louder crowd Times Square think plus . hotel within easy walk distance major attraction midtown area include Central Park . hotel : 's old hotel retain old charm brick exterior . also mean few small window . lobby small expect . elevator classic look be go . cramp often slow arrive . room : room spacious New York hotel room . bed comfortable view 8th floor nice . kitchenette definitely nice touch . Washrooms good size clean , although minor issue . not much counter top space shower bit temperamental . another issue decor room . could use update . last issue thin wall / door lead hallway . mean could hear clearly people talk hallway closed door . much issue we , night could problematic neighbor get noisy come in . Service Staff : staff great . check quick hassle free . also able check early great could sight see right away . concierge people always courteous helpful . clean staff always spot clean replenish room . conclusion : great hotel great location . close everything Midtown . old hotel mean could use update certain area . enjoy stay would put hotel near top list hotel would consider future . 
 Mar 27 2009 	 good holiday ever 	 fab location excellent staff hotel lovely clean . new york wicked city age personalitiie . take load money shop great 
 Mar 25 2009 	 great hotel reasonable rate good location 	 sister NYC eat shopping . previously stay Salisbury Hotel 57th Street ( another great hotel - large room NYC standard , clean even close subway route ) availability we . also Westin 43rd St ( another great choice pricey ) . look hotel great rate ( especially important since canadian dollar rather low right ) , clean close subway line . Belvedere Hotel appear great choice accord many trip advisor . pro con hotel : pros:1 . deluxe king bed room - nice size room , large closet , convenient bar fridge clean . cleanliness extremely important we would deal breaker everything else . 2 . 16th floor bother much noise - even fire station around corner . hear neighbor either.3 . staff nice friendly check out.4 . two subway station near ( blue line 2 block north red line 2 block north/1 block east ) . 5 . Port Authority 6 block south - important travel Woodbury Common amazing outlet shopping ! save money buy tix online ahead time ( good one year ) .6 . price hotel $ 138 US / night - amazing price cleanliness , room size good location . the cons:1 . 2 main elevator - rather slow quite wait consider 16th floor . stop , try press close door button avail ( elevator close slowly term ) . finally find alternate elevator end hallway think service elevator staff . fast less people use it.2 . temperature room another problem . first time enter room , think enter sauna . travel clock indicate room 26 degree celsius ( 79 fahrenheit ) . not thermostat room adjust temperature . use air conditioner even , take whole evening get something comfortable sleeping . feel extremely congested night turn AC sleep ( room would get cold early morning ) . NYC around zero degree celsius 30 degree fahrenheit morning stay.3 . water pressure always constant one keep fiddle around tap maintain 's high temp . sure 's 16th floor . kind annoying.4 . ton amazing restaurant near - time square couple block away 's touristy term restaurant selection.5 . although king deluxe room - like picture website flat screen tv . room regular tv old furniture , etc . minor point really . all , major problem hotel ( except temp slow elevator service ) . be couple block away Times Square nice quiet ( not feel uncomfortable walk around area midnight night ) . be look amazing hotel experience , would suggest somewhere else different price bracket . however be look nice clean room , good size , convenient subway station nearby good service , Belvedere consider . 
 Mar 24 2009 	 Good Location Friendly Staff 	 boyfriend stay Belvedere feburary . tour company book flight never book room Belvedere even though pay . staff friendly help we sort . allow stay hotel tour company sort . hotel nice room large considering tell hotel room New York . room not 5 star get pay . location hotel great , 5 minute walk time square get none noise . be look breakfast though , not eat hotel rip breakfast not nice . get much cheap elsewhere . be look decent pub , perfect pint good place go food really good . definitely stay Belvedere 
 Mar 23 2009 	 good location nothing special 	 be look reasonably price hotel , Midtown Manhatten mod con ! stay Jan 09 partner never visit NYC . want somewhere central everything ! belevedere great location wise clean hotel want somewhere put head would highly recommend . research bit bit shock real room service mini bar available . family may appreciate kitchen room would much preferred extra space . bathroom little dated room general ( tear curtain ) perfectly pleasant hotel bext time would definitley pay little extra hotel bit modern . everyone personal taste guess . 
 Mar 21 2009 	 Second Trip Belvedere .. still great ! 	 love hotel time .... reception staff mediocre belboy lovely . close sight , little shop corner Duane Reade every corner . close subway really safe .. never feel unsafe city ... hotel great ... do not hesitate stay . 
 Mar 18 2009 	 Great Value Hotel Great Midtown Location 	 stay Belvedere week March Husband 's 40th Birthday . hotel fantastic . staff great helpful . special occasion upgrade executive room . room maybe bit small imagine ( clever photography website ) still good size plenty room walk , good marble bathroom small kitchenette Fridge , coffemaker ( kettle tea ) microwave . room 17th floor great view south . room clean well maintain throughout stay . hotel great location , block Times square many good restaurant course theatre . breakfast include room rate not problem many great cafe diner choose ( particularly enjoy Galaxy Diner 9th & amp ; w46th ) . also bar hotel mexican restaurant couple door hotel mean Margarita . certainly would not look stay anywhere else next trip New York . even though be fairly central be away hustle bustle , although noise street never realy disturb we . fantastic place stay Manhatten . we recoomend trip Rockerfeller Centre well , great view Manhatten & amp ; central park . 
 Mar 5 2009 	 great value great location great service ! ! 	 time enter time leave not one complaint ! upgrade executive room $ 20 receive well room free full continental breakfast . ( worth $ 22.00 ! ) room clean comfortable . everyone talk helpful . read lot slow elevator , never wait 2 minute . guess people trying find something negative hotel . everyone say literally block half Times Square . find everyone city helpful polite , stereotype New Yorkers ! ! really enjoy stay ! 
 Mar 4 2009 	 nice hotel amazing price ! 	 spend two night Belvedere Hotel visit friend live block away . , please hotel . hotel good condition room immaculate new / upscale design . room bathroom great condition staff helpful . like hotel Manhattan , room tend small side . however , room Belvedere good condition room ever Manhattan . Manhattan usually stay large hotel rate $ 250 + per night . hotel small size , excellent location ( convenient away noise Broadway ) get incredible price $ 129 per night Expedia . appear much restaurant site . friend live Manhattan come see room say good room see Midtown . 
 Mar 1 2009 	 could nearly touch Time Square close 	 come australian look net find accommodation think ok . think clean , warm staff good . like central everything able walk everywhere great . think staff counter book trip could bit helpful let we know thing place see . 
 Feb 28 2009 	 great location good quality budget hotel . 	 good thing Belvedere two - minute walk Times Square . hotel Manhattan , get double bed ( travel mother - in - law ! ) disappointment bar , not think check book assume every hotel would one . room not plush photograph , adequate amazing view Manhattan . not spend lot time hotel , great base . problem lift , review . go small cafe round corner ( sorry ' r remember name ) get big breakfast every morning , really cheap ) bathroom bite small side . fridge provide , stock fruit juice , etc . kettle , filter coffee maker , filter provide . take tea bag ! probably would not stay fancied night - cap would choose hotel bar next time , good value hotel heart action . 
 Feb 25 2009 	 Exceeded Expectations 	 search good price / star ratio . pay $ 155 per night . room larger imagine -- good , firm high quality king size bed . plenty room walk around . normal sized hotel bathroom , nicely renovate . everything work . good television cable channel . pay movie choose . great view north side window overlook Worldwide Plaza park . come 8th Avenue , hustle bustle Times Square Theater District nearly disappear ; be almost quiet location ! breakfast buffet pricey NYC area -- Junior be around corner expensive . staff genuinely pleasant accomodate without false sense & quot ; nice & quot ; -- really . even look anywhere else next trip . HIGHLY recommend location work . 
 Feb 25 2009 	 great hotel reasonable price . 	 great hotel great location ( close subway , restaurant entertainment ) . great concierge service . clean , comfortable room . 
 Feb 24 2009 	 one bad NYC experience 	 admit , choose Belvedere . attend class take place hotel organizer suggest stay . first moment , ... concerned . elevator seem 200 year old . everything -- room , elevator , hallway -- dark . hallway floor narrow dark would think inexpensive cruise ship hotel . attend class , need chair desk work evening ... none provide . lamp tiny - bathroom dirty . turn around go right back front desk within 5 minute arrive . hotel would accommodate room change charge full price room say could stay . front desk person rude unhelpful . change hotel , next four day spend & quot ; meet room & quot ; Belvedere tolerate housekeeping spray clean fluid class go , confusion pre - ordered refreshment break , tiny amount space make small group impossible . good experience . 
 Feb 21 2009 	 fantastic ! ! ! would stay 	 little trepidation go nyc first time we ! ! read review belvedere settle sound look ! , disappointed . check till check staff could helpful ! ! ! , Chris concierge fantastic ! ! need know anything anything new york ASK , especially local deli diner , ( ask carnegie great chinese food ) ! ! , hotel clean , lift fine need learn little patience , room 6th floor coffee machine , microwave fridge need ! ! .The bed comfortable 6 great nite sleep , hotel around corner fire station hear siren two block times square go new york peace ance quiet go disappoint , walk anywhere hotel subway around corner ! diner around corner great breakfast ! go HOTEL DISAPPOINT ! ! 
 Feb 10 2009 	 great roomgreat location 	 stay girl trip ny , hotel would guarentee two double beds.large , comfortable room , fab bed , big bathroom great shower.good location quiet street 2 min bar diner short walk time square.theatre ect . 
 Feb 8 2009 	 Perfect ! 	 Perfect location ! great stay . complaint 
 Feb 7 2009 	 still favorite 	 stay Belvedere many time keep come back . location can not beat . midtown .... block Times Square Rockefeller Center . even well belvedere clean comfortable . daughter live building away one room / share bath apartment Belvedere perfect we . every review tell elevator slo - ow ! bring patience good attitude take stair . either way work I . the staff front desk bellman doormen could friendlier helpful too . and first time , try fitness room excellent . nice variety equipment perfect condition . clean bright . book , reasonable room rate , Belvedere always winner . 
 Feb 5 2009 	 scene ' shine ' ! 	 choose hotel due review price , ' ve stay Central Park Hotel cost , think would go back instead next time . check - in smooth quick . staff friendly , hotel great location Times Square ( perfect late night drink party go'ers ) .However , due room kitchen area , cooking smell tend drift hallway room ! ! see guest dog , prepared share lift one ! hallway drab room not much well , bathroom need update clean . 4th floor view . also room next lift noisy time , could even hear people next door wall ! ! 
 Feb 3 2009 	 need ! 	 stay Belvedere Hotel December 2006 , year ago ! friend want somewhere close Times Square , pricey give we good place rest head busy day city ! tick . 2 minute walk Times Square great be centre everything ! hotel clean comfortable , new towel every day . hotel not huge nice nice christmasy feel . room would come expect NYC , small cozy . hotel staff help we locate sight etc , one morning breakfast good . so overall great place stay ! 
 Feb 1 2009 	 Nice noisy 	 10 year old daughter book Belvedere & quot ; girl ' night & quot ; - see Broadway show stay overnight . part , hotel right we . not room except sleep clean . & quot ; view & quot ; heating system duct work , fine not care kind thing . big issue noise . 12:30 2:30 steady stream Times Square partyer ( partier ? ) yell hallway bang room . could hear couple next room talk everyone else hall yell , laugh go room . make miserable night . would recommend hotel would among creature night would not bother lack sleep . 
 Jan 26 2009 	 great recomendation 	 wife stay back December 2008 long weekend . 3rd time NY previous trip remember important location stay Manhattan . hotel recomende we 2 different friend happy go recomendation . suprise nicely decorate hotel , certainly expect high standard . 17th floor although book standard room think give newly refurbish room . must spend week 's research different hotel district although hotel cheap would definately stay . hotel 5 minute walk Times Square subway station around corner . find negative point hotel would say probelm heating system seem pump hot cold air random intervall impossible keep rome comfortable temperature . fantastic place base . 
 Jan 25 2009 	 wonderful place wonderfu ; price 	 do not usually write review place travel , think necessary jot couple line state hotel clean . staff overly helpful courteous . our entire stay hotel well trip NYC . suggest book executive deluxe suite . good size room one 15th floor quiet except occasional fire truck leave station one block away . nothing bad say hotel thank GOD trip hotel provide ! ! ! ! ! P.S breakfast buffet wonderful ! ! well worth 23 dollar change . everything could ask great morning meal . 
 Jan 19 2009 	 love ! 	 stay hotel New Years Eve New Years day . stay Affinia Manhattan , ( usually stay ) fully book . although expensive , hotel New Year . pleasantly surprised ! room 17th floor overlook 49th street , clean , lovely marble bathroom toiletry . downside 2 lift sometimes quite wait . we go March , will not hesitate stop . 
 Jan 12 2009 	 still impressed ( despite teethe problem ) 	 return trip New York stay 6 night Belvedere New Year period . first night book directly hotel night book lastminute.com . bad bit : review website worry give refurbish room email advance ask one although reply promise one arrival put room 12th floor not bad need update honest hope . toilet little awkward small problem shower flush next morning ask move straight away without problem . good bit : move another room ( still do not look like refurbish one ) nothing wrong , large , airy clean much well room big bathroom complaint ... fantastic view 14th floor well ! think unlucky first one . location wise can not fault place either , busy main road - lot shop place eat Times Square 7 minute walk away subway distance . walk major site / shop - fantastic ! use Metro go downtown . it expensive stay price double New Year honest location make completely worth would not hesitate stay ! 
 Jan 8 2009 	 nice stay Belvedere 	 stay Belvedere 5 night early December 2008 3 friend . find hotel well locate , clean comfortable . room quite large New York standard 4 we happily share 2 double bed . seem well clean day always enough towel . staff helpful happy give we recommendation , arrange taxis airport transfer . only negative point lift hotel slow not many . slightly annoying , definitely enough ruin part stay . comment quality restaurant not use . would recommend hotel anyone look central base New York . perfectly locate sightseeing . 
 Jan 8 2009 	 absolutely PERFECT 	 return 3 night stay Belvedere . say enough positive thing . read review , must say first reluctant . thank goodness not let negative weigh positive ! executive king room . friend double double room renovate also . room certainly large enough 2 people . bathroom plently large enough . the decor absolutely lovely , bed probably comfortable bed sleep . suggest ask renovate room idea room . ( tell today employee get slow time start work renovation ) time make reservation ( website ) phone call make hotel confirm everything , everyone nothing pleasure talk . note remember : book reservation web site check frequently rate modify cheap rate . ( tell hotel employee save $ 50.00 night ) eat cafe resturant . get coffee cafe think expensive , especially starbuck around corner option . the resturant next hotel ( Mont Blanc ) wonderful place eat . mention extremely reasonable . include entree salad , potato , vegatable . unusal NYC.Husband get rib eye & amp ; tell everyone one good steak long time . Pigalle across 8th Ave corner also good choice lunch breakfast . the subway stop close thought , 2 1/2 block hotel ..... corner 50th & amp ; 8 th . elevator rather slow , many stop ... however , tell review , another elevator end hall right leave every floor . rarely use , quick . I hope enjoy stay much . pleasant staff beautiful hotel . 
 Jan 7 2009 	 Great Hotel - Ideal Location - Great stay 	 little dubious booking hotel New York read many negative review - especially regard room size . having stay Belvedere need worry all . the room great size dual aspect window . room King Size Deluxe pay $ 299 week night $ 399 weekend night . small kitchen area sink , fridge microwave . the location superb almost everything . West 48th Street smack bang middle Broadway , 8th Avenue , Times Square etc . , hop , skip jump away . breakfast fine - plenty choose . staff friendly helpful bedroom , public room , clean . bath not enormous - hey can not everything . one lift order duration stay cause problem - spend considerable time wait lift bit pain . something could not help guess . the exchange rate really work we around $ 1.36 £ . will choose well time go next time - next time . couple week Christmas fantastic time visit New York . would like say New Yorkers meet friendly helpful pleasure meet . you will awful lot walk - take comfy shoe . Hope help . enjoy stay - certainly ! : - ) 
 Jan 5 2009 	 fabulous place stay ! ! ! 	 stay fabulous ! stay week Christmas new year ! ! ! , husband 2 kid ag 7 10 . room clean super nice ! ! Bathroom awesome clean ! ! room 3rd floor use stair . hotel 2 block Times Square area . could ask well place stay ! ! ! close everything ! ! little crazy check place ? ? GREAT HOTEL ! ! ! ! ! stay every trip take New York ! ! ! ! 
 Jan 5 2009 	 could not pick well hotel 	 Booking hotel flight leave , start 2 girl head NY end 4 ...... alot research settle Belvedere let ..... never NY have not clue imagine suprise get leave hotel evening turn leave 5 min later time sq ..... oh excited .... could not believe close everything . never get taxi , walk everywhere .. , .. well besides red tour bus tour .... nothing praise hotel , room fit four we nicely , bathroom nice size , fridge soooooooooooooooooo handy . Breakfast morning fill we till evening ........ oh definately stay hotel .... doubt would problem recommend ..... thing 2nd day hit jersey garden ( bring suitcase u u plan shop ) get back exhausted , get room none keycard work , 12 floor ..... alarm go shop deactivate sis go reception want see ID sorting problem , ALWAYS ur passport u .... do not leave room .. incase ! ! oh make sure visit & amp ; shop , 1st place visit land times sq ..... oh go see Lion King ....... |Brilliant ..... oh wish go back ! ! Lorraine 
 Jan 2 2009 	 praise 	 husband , 2 child age 14 19 stay five day New Year delight hotel . as previous reviewer say location superb apart use Sightseeing bus view outlying area able walk everywhere else.eg 15 min Rockerfeller centre 25 min central park . the lift slow crowd use th efirst last day luggage problem . New Years eve employ bouncer ensure hotel resident enter . I think big guy ever see ! ! staff hotel helpful room clean quite spacious . impressed sheet change daily . as suggest breakfast Olympic french restaurant Pigalle . the latter expensive love food ambience eat morning . Recommend arrive 9.30 otherwise queue~ although week busy year may less crowded . would definately come back would stay hotel . 
 Dec 23 2008 	 do not stay want quality bit peace 	 hotel , reveiw seem nice friendly employee could enough . well hotel stay polar opposite . book two room , arrive , one room ready . bring bag upstairs ready room ( room 1420 ) wait room ready . room 14th floor . soon discover shower clog turn , tv remote work towel - call room . go get key room , informed front desk issue note post - its ( will never get lose ! ! ) . go room , find air - conditioning unit howl wind blow , rather windy outside . ask move . front desk happy work reassign we . move 11th floor . knob hot tap fall , informed front desk - never fix stay . towel pokey size first room 14th floor . decide stay tired journey . next morning , bright early , discover remote first room still work , even maintenance person ' fix ' ( ask three time fix finally ) . informed front desk , post - its . go room low behold room 1110 , construction site progress - room totally gutte could see bare wall . knock , drill thumping deafening . start every morning 8.00am sharp ! ! complain front desk - - say sorry never inform construction prior move , could complementary breakfast follow morning make . take , honest , hardly make inconvenience noise , plus list getting long point , really want move . eveing , notice sink toilet leaking , report next morning breakfast . approach room eat ' yummie ' free breakfast , notice door latch . walk room , could see anyone room , maintenance man return 5 minute . room could burgle , shopping take personal posession could easily take . maintenance person know real occupant room ? ? - point really lose reception , really see implication leave door ajar . lift leave lot desire , use service lift end corridor reliable come quick . last day , one main lift order large number people check , imagine temper flare . breakfast rip , bagel morning pay $ 13.00 without tax privilege . yes , like , honest , food nice never enough hot water go ! informed front desk grievences check , seem push try win . offer we complementary breakfast return hotel future . dont think ' d ever GO back , advise ! W Hotel around corner much well ! ! ! ! 
