tad 	 cautious hotel convert terrace house , since sound transmission every footfall room Pimlico ( Belgrave Road ) tourist class hotel year ago keep awake night . academy sure request top - floor room advance arrival -- read many other suffer heavy footstep upstairs neighbor , ' m glad grateful grant one ( pretty uncharming clerk repeat could & quot ; guarantee anything & quot ; ) . interior storm window effective reduce street noise . will briefly list strength -- location , location , location , near lot interesting restaurant , shop , British Museum , University London . decor charming , , reviewer already say . weakness center attention detail . ask twice light bathroom sink repair . bottled water miss last day . neither coffee packet replace three - day stay . tiny bar soap ( shape frog ) never replace , fine shower amenity ( shampoo , conditioner , body wash ) . drain bathroom smell , second day wakeup call come 40 minute late . last night attic exhaust fan whir noisily . front desk staff polite undertrained . book room hotel web site would highly recommend book Kayak another consolidator , pay american dollar , currency . ( dollar decline badly end pay $ 233 per night tiny room . ) would certainly stay Bloomsbury would try Hotel Russell . 
 Jul 9 2007 	 depend room 	 nice location , quiet , walk distance West end , Covent Garden etc . 5 station within walk distance . breakfast excellent , staff nice helpful newspaper deliver door every morning . the hotel build old victorian townhouse stair corridor narrow , practical getting room luggage charming garden . do not stay single room , tiny , go double instead . it bite overprice not smoke room would consider stay 
 Jun 9 2007 	 not stay 	 not stay ! unless guarantee ground floor room not even think hotel . room top town house hotel -it smell awful , fan not work , bathroom appal dirty try open window air find Painted Shut ! fire escape -only way back narrow flight stair come -no access stair . death trap . manager try tell fire brigade tell paint window shut -this plainly lie . the reception staff rude unprofessional could not care less . another guest tell ground floor room window openthe breakfast fine staff breakfast room polite . would never ever stay . though cheap . 
 Jun 2 2007 	 pleasant comfortable stay 	 ( husband ) stay one night 31st May . find good deal hotel 's website book large king & quot ; suite & quot ; ( actually seem mean spacious room sit area ) . room clean well - appoint , bed extremely comfortable . robe , slipper complimentary mineral water ( nice touch ) provide . also , early evening turndown service . we find staff welcome helpful . breakfast include deal take downstairs pleasant room also double hotel bar . good ( though remarkable ) service friendly efficient . the hotel lounge / conservatory open onto small garden - pleasant place sit London weather kind . around hotel numerous place eat drink cafe pub smart restaurant ( particularly recommend Salt Yard ) evening , whole area buzz . overall , enjoyable stay , return . 
 May 15 2007 	 fantastic time . 	 recently venture across pond first time . choose Academy base 's location near British Museum Wet End . bit nervous single female travel alone could not well time . staff Academy friendly helpful , help bag , provide information good tube stop get attraction . room small serve purpose , bed bathroom need . service breakfast terrific , wait staff friendly . I wonderful trip around can not wait return . 
 Apr 9 2007 	 nightmare ! 	 trawl endless hotel find nice base stay weekend London choose Academy location . know London well everything want within easy distance hotel . guessed would problem soon see scaffold go outside approach ! arrival reception tell problem room ( leak - although get impression probably mess booking not room available excuse make ) would go another hotel . hotel side London Little Venice would mean would encur extra travel time cost . offer help cover extra cost waste good hour . however tell may offer upgrade . however size room issue we , not plan spend long , rather see sight . they gaul tell we could park hotel would meter parking hotel parking cost £ 20 day even would depend whether space ! receptionist clearly uninterested whole affair . not really seem comprehend fact drive 2 half hour motorway could contact we tell we problem save we set . not even seem bother clearly distressed upset whole palava . infact busy see guest whilst serve we . impersonal service probably thing upset we most . in end decide weekend less ruin would spend rest day couple thing plan would go home evening give bad job . after work lovely weekend away tell upset hard earn romantic weekend away utterley ruin . 
 Mar 27 2007 	 Charm Loosing luster 	 stay Academy last five year several time . love location first go well look . unfortunately keep well might . staff use crackerjack last visit new folk bring , mostly eastern Europe think , difficulty English . service perfunctory indifferent , much different way use . like rest neighborhood rate soar despite . will miss way look elsewhere next time . additional note : circumstance elderly handicapped stay . lift stairs narrow , uneven , steep . 
 Mar 5 2007 	 expect boutique 	 stay Academy two night weekend girlfriend birthday . entry hotel look quite impressive ventured tattered stair mark wallpaper start feel like seaside B & amp ; b . room small decor granny 's spare bedroom hip hotel . service staff excellent though credit credit due , although breakfast not good , pillow provide 20 year old massively uncomfortable . 
 Feb 6 2007 	 mostly great ! 	 husband book weekend stay wedding anniversary . book romance package one night normal b+b two night , stay suite . unfortunately , despite email confirmation booking , arrive hot tired look forward champagne , choc bubble find hotel make mistake would wait another day romance ! fortunately , room still available suite lovely - clean spacious . ( hotel make several georgian town house standard room pretty small stair would difficult mobility problem - lift ) . overall hotel great . beautiful courtyard lounge room , good convenient location good food . could improve organisation ... fail get drink bar sign staff ( tv playing ) romance package ? well , flower champagne arrive late would put somebody else 's room , breakfast bed good ! would recommend hotel , would suggest confirm reconfirm book arrive ! way , tea cookie serve courtyard definitely good way relax busy day London : - ) 
 Jan 8 2007 	 unknown ? 	 well , would love able write review property . let start begin . book Academy via American Express Travel ; due mainly location mostly positive review . reserve Christmas Day check 8 day stay . arrive hotel taxi , note tack front door , state close would reopen holiday . , reserve room another hotel , Colonade . wonderful taxi driver go directly . nice enough look outside , idea property mile want . upon enter broken chair arm lie foyer rude young man could care less speak 5 word . & quot ; not book Wednesday . & quot ; good start trip certainly would not / could not recommend either property , indeed own people . receive phone call email informing decide close . throw taxi driver mercy , recommend Jury 's Clifton Ford hotel west end . excellent property , great service wonderful staff . 
 Dec 18 2006 	 Excellent Location 	 Stayed Academy attend conference University College London . fantastic location ! ! close Tottenham Court Road Soho , well British Museum . little pricey , 's London . book double hotel 's website 130GBP / night ; check Hip Hotels London website , price single bit low hotel 's website ( around 80GBP ) . breakfast include price . room well - appoint spacious , give BASEMENT . million hotel Gower Street , price concern , check one , like Arosfa .... 
 Nov 6 2006 	 Excellent Location - Close Quiet 	 stay Academy part honeymoon . location great - academic area . quiet evening , close anywhere want get . hotel couple block Totenham tube station 10 - 15 min walk Oxford Circus . although room small ( expect London ) , find room well furnish clean . staff quite friendly . also , little garden enjoy peace quiet back . drawback elevator - anyone problem walk several flight stair warn . 
 Oct 23 2006 	 stay Academy 	 Loved Academy ! room spacious , nicely appoint particularly impressed size & amp ; quality bathroom . ameditie & amp ; staff also nice & amp ; attentitive . locate 3 block near Tube station . London many time & amp ; first Hotel stay ! 
 Oct 9 2006 	 not live promise 	 £ 150 get single , tiny room top many flight stair . lift . reception area small bar minute basement natural light . Breakfast ( hot humid ) basement . essentially couple house convert hotel cheap . garden back small space . get room front sleep disturb traffic midnight , 6.00am . 
 Oct 5 2006 	 ok double 	 stay Academy wife many year ago think great . time , travel alone book single room £ 85 include breakfast ( scour internet good deal ) . little disappointed since single room ( small Hotel accord fire escape instruction map ) seem little past use date . shower room small little shabby tiny , crack hand basin crack tile . television small blink ( not bother since London see opening night Spamalot anyway ! ) . chambermaid turn bed late afternoon / early evening leave bottle mineral water . nice idea often wonder ( since replaceable stopper - see hi - fi photo ) whether genuinely mineral water tap water . say , good access foot central London . could stay Travelodge road king Cross & amp ; Euston £ 75 breakfast . breakfast great . would therefore recommend place couple , be book single room , not expect much not pay much ! 
 Sep 18 2006 	 Charming noisy 	 spend 4 night suite first floor ( 2nd floor US ; ' Virginia Woolf Suite ' ) much positive experience many other recently post . room , 4 poster canopy bed , large charming -- 3 enormous window overlook street , soar swoop window treatment , along 2 english chandelier non - working fireplace , give room bright , comfortable victorian feeling . bathroom recently renovate , quite clean , large bathtub glass screen rather shower curtain . various toiletry , robe , slipper , etc -- short , amenity one associate boutique hotel . expect meager stream water shower head ; fine . service good stair quite manageable . tv poor reception ( not go London watch tv ) ; cd player FM stereo radio work well . so , be like ? despite presence double glass window , sensitive soul ( like writer ) hear deep vrooom traffic . one either somewhat annoyed ( , although get ) , one completely ignore ( travel companion ) . one aware , however , room front ( believe suite front ) , may find bit noisy ( be city ! ) .I also bite miff breakfast include price ( book website , pay average 170 pound / night plus tax ) , Deco cafe around corner excellent . we enjoy stay much , give sensitivity noise , ' m sure would stay -- certainly would not book room front . 
 Sep 5 2006 	 Hmmmm 	 two girl friend stay two night end May , convienient Covent garden , bed comfy . the room suite third floor , do not mind lift , brit use walk stair unlike american cousin seem ! comfy king size bed two we share pull sofa bed . could not get decent radio reception , room look little like someone livingroom bed , decor tired shabby , carpet dirty . however part room serve purpose . bathroom however another story , decent size , look unclean , could pee hard shower musty odor think either manky shower curtain peel sealant round tub . Staff seem pleasant , work , go bar late saturday afternoon shopping show , wait long time serve quite expensive g & amp ; be run tonic , bar man dissapeare long period goodness know , waste lots time hang around waiting serve . do not eat breakfast hotel - £ 15 full english , even London laughable . 
 Aug 3 2006 	 Loved hotel hate shower 	 lovely , well appoint hotel locate one charming area London . conveniently locate near Tube ( short walk across lovely park front Russell Hotel ) reasonably quiet ( particularly be high floor face back ) . hotel 's staff friendly breakfast quite satisfactory . ( visitor also try cute cafe corner ) . however , gripe miserable trickle try pass shower . make rather unpleasant experience time turn tap ( statement oxymoron ? ) . hotel would give we opportunity pay bit reasonable water pressure : , one , would happy would hesitate come back . always amaze hotel be try hard please give something basic shower short shift . 
 Jul 27 2006 	 Good Location unwelcome surprise 	 recently stay Academy whirlwind tour Ireland , Scotland London . I choose Academy parking rent car . not tell not specifically request parking booking room - not get parking . we arrive Friday night 8:30 p.m. drive Edinburgh , Scotland . long , tiring day get lose get hotel good mood get . arrive tell not request parking not we . could park side street night would move car 8:00 a.m. next morning would get ticket . would see space morning us park car would use public lot 3 block away . lucky enough get spot next day , even hotel parking hotel - 1/2 block away charge 20 british Pounds per day ! ! ! ! ! friend use public lot 27.50 bp per day . the room nice clean , unbelievably small elevator . originally 3rd floor . staircase narrow air condition haul luggage stair pleasant - husband almost pass heat . end pay upgrade suite ( size normal hotel room ) 1st floor . the location good . two block British Museum , three block tube get around easy . also , allergic feather make sure let know use feather pillow feather duvet difficult get change last minute . all say . staff accomodate would stay , know assume anything . ask every little thing think expect make sure get it . my last tip - crazy enough drive London , not try find hotel . hail cab he / her escort hotel . much stress finally cost we 10 BP ( driver want 5 - would give world ) .C . bailey , Sudbury , Ontario , Canada 
 Jul 8 2006 	 leave one night ! 	 stay suite king bed . room big , whole place feel like try luxurious , look detail , could tell far . hallway narrow , bathroom tiny cube - with hot water cold water come seperate stream faucet . one hand freezing , scald . trashcan do not liner , none perk expect boutique hotel - like nice toiletry , etc . room feel musty , couch bed stiff uncomfortable . whole place feel unlived . plus location staff , really nice . be not enough stay . cancel rsvp one night . 
 Jun 28 2006 	 affordability luxury one ! 	 long transatlantic flight nothing could make happy fall bed pile high pillow ! hotel staff attentive , carry bag , bring bottled water , answer question , even call car service ( excellent affordable btw ) room perfectly clean , little extra like slipper room tea coffee service well appreciate . full english breakfast simply divine . low point minibar fridge slight odor every funny smell would drift thorugh AC , nothing put damper stay . ware lift , stair issue request 1st floor room , plenty staff hand carry bag that s worry . highly recommend hotel . shop around . find room rate almost 70 % , notice lot discount hotel hotel search site . oh yes room small ( though spacious single ) Europe people hotel locate Georgian Townhouse , small room norm . 
 Jun 7 2006 	 Dream Location 	 two block away British Museum , easy walk West End Covent Garden make perfect place stay , make stand rest hotel B7B 's Gower street level service . room feel like home , little touch ( come home room radio play , fresh bottle sparkle water slipper bed ) make feel spoil indeed . place vintage charm , time wonderfully modern date bathroom . good world ! 
 Jun 1 2006 	 well run attractive - great value well . 	 stay 6 night business / leisure trip husband baby early - mid May . frequent London visitor usually stay Knightsbridge ( defunct Basil Street ) friend Belgravia . Bloomsbury would great location fpr academic ( univ London ) theatre lover . everyone business run city tube connection near hotel fine ( savvy traveler may try bus service pass near hotel - baby stroller , option we trip ) . use caution hotel ring cab . tend call car service instead black cab min rate 15 £ small sedan - cost effective 5 - 10 minute ride ! anyway , hotel attractive pretty lobby two live room - face private garden . one garden fountain gold fish seat area lush greenery . complimentary tea / coffee / and mineral water well newspaper room . adequate breakfast room ( rather expensive ) useful bar . room perfect fit need - baby , request ground floor , big enough complimentary pack - n - play full bathtub ( rather shower stall ) ... request meet attractive front - face room show lobby ( double pan window eliminate street noise ) . large european standard fireplace , desk , minibar , two upholstered seat coffee table , small bose sony stereo , large bed big closet roomy enough hold luggage , baby gear , clothe . baby cot set , walk small path around furnishing , assure much space combine good linen , charm , top - quality newish bath find rate anywhere else city . downside : staff mostly young wear several hat porter bartendender front desk give chance help good ability . AirCon ( split style wall unit ) terrible time keep warm May day ( watch summer ) . also , Mini - bar frige work properly depend store baby formula ... could not get fix , use ice bucket instead ( refill deliver harry ever smile porter ) . room furnishing bite wear edge overall , good hotel . overall : great value . pay 100 - 115 £ ( rate varied weekend ) . good location : close transport , Googe Charlotte Street restaurant , British Museum , theatre . beautiful garden ! 
 may 31 2006 	 Good Value 	 enjoyable one night stay Academy find well position get around sight . bedroom area hotel nice . stay let breakfast , not hot near high standard rest hotel set . would stay , would breakfast elsewhere ! 
 May 29 2006 	 small basin ! ! ! ! 	 stay one night not want stay long . I ' ve never see small basin . how could wash face ? foot slipper sop ! bed clean comfortable breakfast good . staff need proficiency . 
 May 29 2006 	 nice boutique hotel good location 	 husband get back stay hotel near end May ( 8 day ) . get hotel around noon room ready we check . tell reserve get checkin . mention , elevator not stay 's problem . luckily room 10 1 flight stair go get ( porter take heavy bag room get ) . double room back hotel not much noise . front hotel busy street ( Gower ) imagine room side might get noisy . hotel convienent various tube stop ( close Goodge St ) walk Tottenham Russell Sq within 10 - 15 minute . often would walk restaurant theater ( theater within 15 - 20 minute walk ) . actually like little bit away central west end cause little quiet less congested people . room nice ( small american standard ) always clean would check room throughout day make sure everything nice . complaint alarm clock room ( free wakeup call ask . twice call ask ) . bathroom separate show tub ( tub old - style clawfoot tub soak walk around London day ) . free still water would show around 5pm . reserve room website get free breakfast everyday . get either contential full English . get full english 1st time prefer contential breakfast cause get buffet fruit , cheese / meat , cereral pastry ( could pick want get food quickly ) . breakfast price abit expensive ( especially bad exchange rate Americans . 10 pound buffet 15 pound full English ) probably would not eaten unless include room rate . could get cheap breakfast place close hotel . not start breakfast week 7am 8am weekend . end able get breakfast 2 Sundays cause leave start serve . think 's get stay small hotel big chain place . the wireless internet charge 15 pound able pick free wireless site room laptop avoid charge . numerous free internet cafe around well not wireless capability . eat alot nice restaurant near hotel . restaurant often not seem crowded like one close theater able get table easily ( often eat dinner around 6pm could get show time ) not get rush bad service . great place eat Da Paolo , Koba , Shangai Blues , Camarino , Mela Archigepeglio . nice little place . if ever come back London , would definately stay Academy . price location , good deal room staff nice . 
 May 20 2006 	 people nuts ? ? ? ? ? ? 	 feel like stay different hotel together rest reviewrs . first ... lift ! ! ! ! ! ! ! ! ! ! third floor . yes , that s right - a third floor walk ! want third floor walk would move back New York . lobby look great , carpet stairwell dingy old dirty ( dirty old vacuum prop stairwell entire 2 day ) , room bad entire 3 week Europe trip . actually check day early . room large enought bed ( Frette sheet ? give break .... ) . put suitcase closet expect able manuver room . the bed soft mushy dare even call thing pillow . carpet filthy wear flip flop entire time . also could bring shower . toilet creak like old wood floor every time sit , hot water came spit faucet like not want either . turn back duvet find soiled sheet , management refuse admit could housekeep mistake . manager tell not want accuse lying , .... basically insist good housekeeper charge room . one hotel ever apologize soiled sheet , insist could housekeeper . even fridge filthy . something old , spill harden back fridge food particle throughout .. never use sheet excuse refund anything else matter . sheet not even last straw check early . condition bed . back still ache . yes , get free water ... big deal . would rather clean room . 
 may 15 2006 	 great stay Academy ! 	 stay two night begin May . location great -5 minute walk Tube hotel delight ! room comfortable well present . still sparkle water newspaper complimentary . breakfast great -we array fresh fruit one morning fabulous english breakfast follow day . fantastic stay helpful friendly staff -even overnight shoe shine service ! definately return . 
 Apr 28 2006 	 good place near Brit museum 	 stay academy town house Bloomsbury , London . place beautiful , gorgeous room , ( cheap- $ 600 3 night ) , hot pot room along tea , cocoas amenity really nice B & amp ; b back state . internet access , internet cafe short walk away . close Tottenham court , restaurant , theatre , movie British Museum around corner ! ! ! close several underground stop . complaint desk staff helpful , England seem little difficult understand . well follow tour book . lift , young porter carry luggage . use international calling card call home , get charge bill seem high thought . , relax , cheerful place settle . MP Boston , 
 Mar 27 2006 	 First Class Honours Academy 	 nothing praise Academy ! excellent hotel , friendly attentive staff . single room quiet comfortable . complimentary water ( sparkle still ) , newspaper ( overnight ) shoe shine service much appreciate . even not like overkill Laura Ashley motive , stay . Holborn Tottenham Court Road tube station within walking distance ( 10 minute maximum ) . pay 89 pound ( without tax ) room via hotel website . wireless internet come 15 pound per day , english breakfast . would certainly stay . 
 Mar 9 2006 	 love 	 arrive London , wonderful time stay Academy . hotel well locate , staff friendly competent . couple , find suite comfortable spacious . good breakfast , also . as lift , it´s suitable senior people mobility difficulty . anyway , we´ll back . 
 Mar 8 2006 	 brilliant boutique hotel 	 hotel absolute find ! locate within short walking distance Soho Covent Garden . staff enough friendly helpful . room beautifully appoint , stay Russell suite good size . breakfast brilliant plentiful .... real pleasure stay , real change big corporate hotel . 
 Mar 6 2006 	 Fantastic 	 hotel charming unique . room good size restaurant excellent modern traditional hotel . great location especially theatre shop . really enjoy stay Academy Town House Hotel would recommend anyone . my negative comment would stairs ! right top floor go many stair room steep , rest half way ! child walk far make sure ask room low floor . 
 Mar 4 2006 	 Dinky 	 Fetching bedlinen - goosedown duvet , Frette sheet . nice toiletry bathroom . apple litre bottle mineral water room - welcome touch ' ve travel . cd player , bathrobe , slipper , complimentary newspaper morning . lovely breakfast serve 10.30 weekday . pleasant staff . much enjoy stay . 
 Feb 20 2006 	 real gem 	 wonderful townhouse hotel great position . the staff welcome extremely friendly . suite immaculate wonderfully decorate . bed comfortable ever sleep hotel . although road outside little noisy aircon mean not open window . the breakfast lovely worth pay extra £ 5 smoke salmon - lot it . would recommend hotel regardless purpose stay London . definitely back ! 
 Feb 5 2006 	 gem ! 	 stay lovely hotel mum 70th birthday . endless , overpriced disappointment past little anxious . however , one good city hotel ' ve ever stay . wonderful ' boutique'style lobby , classy comfotable room , fantastic bed , clean bathroom ( bath ) .excellent position . would definitely stay ! 
 Jan 22 2006 	 charming high quality small hotel 	 Londoner , not often need stay London hotel , January . choose Eton Academy price ( inclusive breakfast ) , good location . pleasantly surprised quality accommodation , charm place . room small - shower , bath - comfortable , fact quite romantic , breakfast excellent ! hotel also two small courtyard garden , bliss sticky London summer . would strongly recommend Academy overseas UK visitor London . aware hotel lift may climb third floor - although could request ground floor room . 
 Jan 18 2006 	 Lovely Hotel Friendly Staff 	 recently stay Academy one good stay ever London ! ! friend enjoy huge room , although front hotel , noisy ! sit area make we stay room long yummy bed make stay fabulous time ! ! guy carre bag cool receptionist help we ticket direction ... shame crisp nuts room complementary ! would perfect ! 
 Jan 18 2006 	 stay Academy 	 stay Academy New Year period visit family . Academy recomende we , say dissapointed . staff extreemly friendly , find room really cosy , value money . trimming feel right home , good part right west end make travel around London pleasure . breakfast one good yet pancake waffel would plus ! ! ! back . 
 Jan 15 2006 	 Expensive 	 sometimes joke stop funny . academy . start ? five story hotel elevator . many room Gower Road , busy street include hospital , siren common . actually repeat ask quieter room , man desk could hear request truck rumble . would funny television . real life . room , curtain unusually thin , room could darken . flush , toilet would stop fill ... give hope ten minute , call desk . someone arrive investigate , toilet still fill loudly , like faucet run . tell normal would eventually stop . sure enough , soon leave ( nearly half hour flush ) toilet stop fill . every room internet , mine work , even hour waste staff . staff courteous , notable never apologize problem . I travel business constantly , stay many hotel . academy far standard many less expensive place . would say Academy easily expensive cheap hotel ever stay . 
 Jan 3 2006 	 New Year 's Eve visit 	 partner stay room 20 New Year 's Eve . 's decent sized back room ( street noise , despite date ! ) , tiny bathroom ( big enough house toilet , shower little sink ) .The staff friendly . Decor quite classy , comfortable furnishing . particularly like feather duvet pillow . nice touch cd player / radio play classical music go room . sign bathrobe , appreciate slipper . room bathroom spotless . fab location , five minute ' walk Oxford St ten / fifteen min ' Covent Garden Piccadilly Circus . 
 Dec 1 2005 	 favorite place London 	 stay honeymoon year ago , come back year love much . clean , bed die comfortable , breakfast great . stay garden suite , huge room , sit area , big bathroom . quiet . patio bedroom , October little chilly hang outside . first time everything impeccable . second time stay bit different . need help organization . come back full day shopping room clean , , great . definitely stay future , great memory we , love daily breakfast . 
 Oct 25 2005 	 good business - room bit small - 	 good address business area ( Holborn ) . typical London - size ( small ) room clean well furbish . wireless network available area . free water fruit . well stock mini bar high quality bathroom . good overall , negative comment size room , expect London ? 
 Oct 12 2005 	 one good Hotels ever stay . 	 walk front Academy Townhouse , unassuming front door like other street . familiar London street , look same . the front door open cozy small front desk nice sitting room fireplace . room right leave office flight stair . room stay second floor . glass door open small foyer door room . add add privacy , sure . nice idea . walk room ( single ) notice bed right beside window open small backyard courtyard small fountain Koi pond . would nice area relax spring summer month . the bathroom spotless white chrome . roomy comfortable . hotel provide remote control ac / heater , television cd radio desk . also ripe apple , snack , soda , water , coffee , tea coffee maker well desk . free ... nice something munch night . I really use great service ... budget motel kind person . employee knock door ask want bed turn laundry , feel like pay way actually . service outstanding . for breakfast , go cozy breakfast area locate basement . breakfast lunch meats buffet style , along fresh fruit , granola , cereal pastry . know sound like much , great quality . every bit . , would happy . loading plate cereal , fruit pastry , waitress ask want egg omelet . order ham cheese omelet toast . house . one good breakfast , mention free . overall , service , breakfast staff outstanding . recommend hotel everyone know plan go London . go back . 
 Oct 3 2005 	 Country House style City 	 stay lastminute booking . curious mixture hotel - room ( no.6 ) quite small nice noisy a / c unit outside avoid light sleeper . Bed ace - really comfy sleep well despite noise outside . ' fresh fruit ' three identical green apple ( chance variety ? ) alarm call late . it be like hotel try not really get there . nice touch - slipper bathrobe - plumbing bit iffy decor bit twee date . would stay - depend deal - worth rack rate worth get discount f 
 Aug 10 2005 	 Excellent - home home 	 return stay Academy Hotel . little concerned read review hotel excellent . staff really friendly helpful breakfast staff particular superb . breakfast really enjoyable great choice . we room back although large really nicely furnish clean . little touch add stay complimentary mineral water replace daily fruit room together turndown service . courtyard garden great rare find London . general feeling stay friendly country house rather middle London - 10 min Covent Garden . would definitely recommend hotel return . note caution room front may noisy 
 Jun 24 2005 	 return 	 pleased . room back overlook terracedgarden ideal . comfortable bed , air condition , spacious bathroomand staff could not helpful . Noise street could problemin front room . walk distance Tottenham Ct . Road , BritishMuseum . breakfast good . 
 Apr 5 2005 	 first rate well situate small hotel 	 partner spend two night begin April 2005 . read quite mixed review hotel stay , little apprehensive hotel charming , service first rate top floor room , though compact , perfectly adequate need . breakfast good . hotel excellently situated , ten minute walk Euston Station , five minute walk Goodge Street Tottenham Court Road underground station , ten minute walk Oxford Street . all staff contact ( none English first language ) friendly welcoming , especially serve breakfast . we would certainly stay . 
 Jan 19 2005 	 highly recommend Academy 	 stay Academy 5 night June , 2004 please . get good rate & quot ; suite , & quot ; would describe large room sofa . room nicely decorate -- Balmoral manner . buffet breakfast superb ; particular wonderful variety fruit . staff helpful , dig extension cord husband 's cpap machine . location good , especially British Museum . highly recommend Busaba Eatthai restaurant , around corner Store Street . 
 Dec 28 2004 	 disapointment english town house 	 spend two day hotel good thing departure . stay room 2 , sure call room , would call cupboard bed ! ! staff friendly little knowledge London not speak English . glad stay short not come back Hotel . would stongly recomend stay Hotel ! 
 Dec 19 2004 	 central comfortable lovely . 	 extremely enjoyable stay . little touch Time fold day 's tv , fruit bottled water even loo - roll decoratively fold ! cd play classical music enter too . the bed comfortable ever sleep staff warm , friendly helpful . , good hotel . spacious suite £ 155 central location . good stuff . 
 Dec 2 2004 	 disappointing 	 staff super friendly entrance area pleasant . disappoint size bedroom , albeit tastefully funishe . bathroom tiny lot cold water - sign hot either day stay . hairdrier provide none plug socket anywhere near mirror room virtually useless . fortunately business day evening , return 4 pm second day room still clean . want relax break spend time enjoy surrounding disappointment would bad . 
 Nov 29 2004 	 lovely Stay Bloomsbury 	 stay ladyfriend , lovely , need attention detail . PROS : good location ( two tube station nearby ) , lovely luxurious room / bathroom , nice bed ( linen ) , delicious breakfast , polite helpful staff . con : arrival request room face garden several time , expanation give get room face street . Luke warm shower Sunday morning ; sign promise slipper ; inform staff fridge not work first day , still work second day ; towel toiletry second day room do ( deal promptly inform staff ) ; promise shoe shine service not deliver . mention problem checkout , gentleman apologise , seem totally oblivious . language seem problem ? ! ( PS Mechanical part window need & quot ; serviced & quot ; ) 
 Nov 9 2004 	 excellent accomodation . 	 's couple year since stay Acadamy think write review . walk - in Academy confirm book Rushmore honor arrive US . say thing happen reason , find Academy nothing short miraculous . deny room small , service , location room appointment far outway con . furnishing top quality maintenance impeccable . staff treat everyone like long lose cousin , cozy restaurant downstair perform amazinf transformation charm inn - like breakfast soho trendy nightspot . unfortunately we , Academy raise star afetr stay thorough renoovation long affordable we would still highly recommedn seek classy night 's rest . also , exterior photo see justice hotel . 
 Oct 15 2004 	 Redefines phrase ` ` value money 	 hotel perfect . fact , anything perfect . upon close inspection corridor , wallpaper , carpet , sofas , seem unfortunate victim equally unfortunate pass time . minor stain . tv set really top range - truly honest must least 7 10 year old . however , add equation price factor , everyte seem change quite drammatically . deluxe double pay 135 pound per night ( hotel - london ) , London term , shamefully low . price tag mind refrain laud brilliance place . cosy reception area equally cosy , albeit imperfect room . fluffy bed , split level bathroom ( choose deluxe double ) , fireplace present room importantly generous size say room ( ever rare wretched town ) . detail may cured perfection mere fact present low price admire . fact place scream & quot ; value money & quot ; easily demonstratable . month ago , put parent , visit London quite often , another boutiqute addess : Kinghtsbridge Hotel . , probably affiliation relatively renowned infinitely vain Firmdale Group , attention detail superior . however , room book occasion cost 230 pound per night ( still relatively low London luxury standard ) . buy well serviced , yet ridiculously small room . 100 pound less , Academy ( part another group boutique hotel , eton group ) may offer attention detail provide substantially large much cosier accommodation - still preserve minimum standard luxury hotellerie . humble opinion , good value money accommodation London . 
 Oct 1 2004 	 wonderfully perfect weekend 	 would definitely recommend hotel . great location quiet , yet close action . our suite comfortable little touch , like apple mineral water , make stay extra special . breakfast follow day impressive . full english brekkie tempting array fruit , berry , pastry cereal - lovely dilemma : - ) 
 Aug 31 2004 	 Faded Glamour 	 Good PointsBooked lastminute 99 quid night . nice public room , friendly staff . good breakfast . Bad PointsNoisy day night traffic noise . room little shabby . look like need re - painting . stuff not really matter , ... cd player not work ( not bother ) , fan not work bathroom ( nope bother either ) . slow service breakfast ( nope holiday ) . Thought may bother people though . oh good way work breakfast go basement restaurant top floor room . watch dodgy stair ! ok , nothing fancy . quieter room would probably stay again . the chain well hotel Little Venice call Collonades , lovely . 
 Jun 17 2004 	 pleased 	 hotel wonderful place stay first visit London . highly recommend friend live London certainly live expectation -- -in fact tell keep recommend other . staff friendly helpful , breakfast outstanding , location great second third floor room clean , roomy , comfortable . find ! 
 Jun 1 2004 	 great hotel 	 choose hotel base positive review location . turn great hotel . couple block underground ( short 5 10 minute walk ) fine neighborhood . room spacious bed great , although think set double bed stick together , remember right . good alternative chain hotel . location , believe good deal . not enjoyable Colonnade , also small group Eton hotel . 
 Apr 2 2004 	 great location 
 Mar 31 2004 	 professional good value 
 Mar 26 2004 	 Excellent stay 
 Dec 10 2003 	 comfortable personal 
 Dec 1 2003 	 worth money save 
 Oct 27 2003 	 clean quiet conveniently locate small 
 Oct 21 2003 	 good location facility 
 Sep 17 2003 	 Excellent Value 
 Mar 2 2003 	 Excellent ! 
 Feb 6 2003 	 Big Disaapointment 
 Aug 5 2009 	 Une adresse vivement recommandée 
 Feb 5 2009 	 charmant hôtel 
 Jul 3 2007 	 gute zentrale Lage sehr gute Betten angenehmer Aufenthalt 
