great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 Jul 2 2009 	 clean friendly hotel . Great Location . 	 wife juste return three - night stay . love . hotel situate near north side , nestle quiet area amongst beautiful million dollar home condo . enjoy hustle bustle Magnificent Mile . even , Clark & amp ; division stop red line three block away , make access Mile rest city convenient . the staff friendly , room clean , everything work order - impressed give age hotel . self - parking available across street $ 29 / night , good price day . yes , other note , thing wear time , detract visit . book Priceline , less $ 100 per night , excellent value ! 
 Jun 30 2009 	 wonderful wonderful wonderful 	 husband , 10 year old daughter 2 small dog stay three night . love hotel . glamor , history , wonderful staff , clean , prompt attentive ! quiet case dog bark every little noise . reservation new chain hotel want experience & quot ; Chicago & quot ; . stay chain hotel anywhere . perfect location kid dog . back sure ! 
 Jun 30 2009 	 great location fabulous accommodation 	 stay Ambassador East Hotel extremely relax pleasant . enjoy location . could easily walk red line access bus line along Michigan Avenue . feel safe walking along neighborhood street view fabulous architecture N. State Street Dearborn . walk 3rd Coast Cafe , Chicago History Museum , Second City hotel . room spacious well - keep , quiet enough we take nap afternoon head evening . would choose stay even could afford expensive location downtown . definitely enjoy neighborhood feel place . 
 Jun 30 2009 	 Quiet respite close lakeside action . 	 gracious greeting clean room bath make stay restorative highly enjoyable . luxury without snobbery mean welcome warm staff highly responsive . price highly competitive modest hotel . give try . 
 Jun 28 2009 	 not pay full price 	 overall stay pleasant . staff accommodate customer service orient . location great neighborhood feel tree line street three four block beach . addition , hotel lobby bar beautiful . unfortunately , thing drag hotel old tired room . hotel around , surely equity property renovate room . previous review state -- many room desperate need renovation . 's short description first room assign 3rd floor : wear stain carpet greet upon open door , peel wallpaper paint , old tired bathroom crack dirty tile ; positive -- nice comfy bed , robe , big room . ask another room give one 15th floor well condition . , condition hotel room matter ... matter little time spend room . people comment may matter . book hotel Hot wire get good price -- $ 110 night , overall say stay worth due location fact staff accommodate make sure satisfied . hotel could fabulous owner would invest room renovation . 
 Jun 23 2009 	 Old Hollywood Charm ! 	 Ambassador East charming hotel luxury boutique hotel locate heart Chicago 's Gold Coast . staff friendly & amp ; informative . room comfortable & amp ; well - appoint comfort desire travel . hotel beautiful & amp ; fill old Hollywood charm ! wall could talk would amazing hear story people & amp ; event take place lovely hotel . block Lake Michigan fame Magnificent Mile . would love stay visit Chicago future ! ! ! 
 Jun 23 2009 	 good hotel value great location Chicago 	 place great . pump Room resturant bar throw back glamorie day travel . room large old big bathroom . price beatiful conveinent location return . 
 Jun 18 2009 	 1930 's charm 1930 's everything else ... 	 lobby staff extraordinary . make stay feel welcome . not eat Pump Room , decor outstanding . & quot ; fitness center & quot ; barely couple machine free weight .... good enough guess . overall , room less average ..... hotel need serious update room / bathroom stay . be nostalgia stay new hotel price amenity . 
 Jun 18 2009 	 even get 	 yet go hotel already pleasantly pleased . start look internet today picture hotel find price much low reservation . call Rose front desk , kind . look room explain find cheap . discount room make great start wonderful weekend . go Tribe ! 
 Jun 13 2009 	 absolutely Loved ! 	 , book hotel Priceline start get bit worried reading review . call week prior confirm reservation request two double bed , rather king . gentleman , Brian speak helpful even ask anything else could arrange ahead time make stay special . arrive hotel immediately greet valet , Brendan ( stay ) park car bring back we countless time , always smile face . woman front desk , Nicole also sweet . notice daughter carry American Girl Doll give we direction american Girl Place . staff kid - friendly ... come remember name ... something not normally recollect . hotel nice . fact , two young daughter think downright & quot ; fancy . & quot ; room accomodate clean , towel , sheet , etc . location really convenient seem really safe . parking $ 45 / night , would normally think excessive , get hotel affordably Priceline , not really bother convenient . 
 Jun 10 2009 	 great location/ value 	 wife stay 2 night quite pleased accomodation . read multiple negative review , little concerned get get room Priceline $ 90 / night . sure , decor decorate house , room clean bed comfortable . staff friendly helpful . business center free internet access . fitness center weight machine , treadmill , elliptical , recumbent bike . hotel block Magnificent Mile also shop along State Rush street well . couple block put hotel quiet neighborhood little street noise . addtionally , l station 4 block away . pay $ 20 / day valet parking garage behind hotel . would hesitate stay . 
 may 28 2009 	 stay somewhere else ! 	 positive thing experience hotel woman front desk name Nicole . - nothing ! red , look like bloodstain , mattress . hair linen . staff ( aside housekeeping ) unapproachable uninviting , especially fossil like concierge . mediocre well guise great . never stay ! ! ! ! ! ! ! 
 May 26 2009 	 good location less average room 	 location hotel good . Close Lake Shore Drive State & amp ; rush street . room ... disappointed ! family wonder perhaps hotel & quot ; less par & quot ; room hand customer book discount hotel website like Hotwire , Priceline , etc . room dingy , four star . Carpet wear stain , bathroom tile fixture update , armoire cabinet door , cob web hung ceiling . price pay $ 84 / night . location hotel house keep service good point . inside looked look day Inn . stay , try luck another hotel . 
 may 26 2009 	 never go . 	 go hotel 1 night . window room break . bathroom door not shut . bed hard rock tv small receive terrible reception . bad part debit card charge $ 50 not tell . find next day charge call hotel find . apparently charge security fee say will not get back 5 - 7 business day . really not appreciate tell check . would not recommend place . the plusse cleanliness , shower location . 
 May 22 2009 	 historic romantic 	 stay two night movie convention group . great time . the staff friendly helpful . room spacious well furnished ; clean tidy , nice view . a historic hotel wonderful interior , Pump Room play host many famous face year , good photo opp fan Classic Hollywood , like I . a quick walk lake Michigan Ave . 
 May 13 2009 	 Courtesy yes cleanliness . 	 restaurant surprisingly good . hotel staff extremely helpful . room need new carpet , furnishing . I find dog treat bed . ugh . bathroom smell mildew , ugh ugh . bath tub not drain take shower , ugh . no safe room lock laptop etc . safe lobby pain access . air conditioner room first instal 1953 . work accordingly . price right , lovely neighborhood stay someplace else . 
 May 7 2009 	 great time great value 	 wife go weekend great time . hotel clean , staff friendly willing help restaurant suggestion fun place visit . room good size everything need . good part stay order room service . food excellent come fast . back stay next time come Chicago . 
 May 7 2009 	 wonderful stay ! 	 husband , friend stay two night Ambassador East great time . room beautifully decorate quite large comfortable . staff friendly room service quick delicious ! great experience , would definitely go back ! 
 May 4 2009 	 bad hotel ever stay .. ! ! ! ! 	 awful experience . book hotel 5 rooms/2 night near eachother . ticket see Blue Man Group . come RV hotel tell we would place park would part hotel fee . lie . pay $ 250 two day would let we RV left . Saturday , go Aquarium return , locked room ! ! feel like live communist country weekend ! plain rude everything ! ! room suppose double queen king bed . totally suck . not stay ! ! ! 
 May 4 2009 	 great personnel poor accommodation 	 staff great Pump Room great ( breakfast & amp ; dinner ) ; however , accomodation leave MUCH desire . bathtub old ; therefore much tall today 's standard safety grab bar mount . mother ( be 76 Parkinson 's ) help get & amp ; . can not believe build code . blackout liner one set curtain tear use paperclip insure light come thru . paint peel , lampshade fraying , headboard lopsided , etc . great location awesome staff offset extremely subpar accomodation hotel prestige . 
 may 4 2009 	 ok value nice quite neighborhood . historical restaurant . ask clean room . 	 Fixture update , tv shall update . nice neighborhood , nice restaurant downstairs . room nicer , other less " clean " , shall replace carpet . 
 Apr 27 2009 	 maybe nice hotel couple stay little kid ! ! ! 	 many luggage cart 300 room hotel ? ? ? ? guess number 2 ! arrive sleep child nussle bed , imagine upset someone knock door ( waking ) state & quot ; need luggage cart back & quot ; . guess 10 minute ... rude ? ? ? ? hotel ramp street , dumbwater ( sort elevator ) tight , slow , user friendly .... , kid probably big deal , stroller everytime leave come back big deal . staff also never go beyond . guess spoilde recent trip Disney really appear eager assist , excited . staff friendly every ask anything not really take initiative . leave luggage cart find ( shocker ) carry bag lobby van . two hotel staffer stand carry least 12 bag van . one offer assist , even hold door . finally another guest help last bag . lastly , would say room outdate . may nice say nice throuback rich history , little kid worry electrical cord , paint peel baseboard , crue 1 year old get hand piche window AC / Heater . relax could modern place . cannoy say enough , couple , adult .... would good choice .... kids woudl stear clear ! ! ! ! 
 Apr 25 2009 	 Clapped - gut rebuild - forget past look future 	 stay hotel part visit group UK . check quick efficient , suite large 2 double bed sofa - bed . frankly hotel see well day , suspect 190 quite fashionable hotel , however today threadbare wear sorely need total refurbishment . bathroom tiny tad dilapidate . breakfast bit shamble little choice exactly every day . positive side staff extremely friendly perhaps friendly ever experience USA . restaurant good good service , bar however expensive slow service side . would not stay choice , abad hotel certainly need re - invent century . 
 Apr 18 2009 	 Hotel Revived Definition Service ! 	 stay hotel several time continue choose hotel choice Chicago . service hotel set apart . always feel comfortable enter wonderfully eclectic glamorous lobby . Smiles & quot ; Welcome & quot ; around every corner . get conglomerate ! tuck away mere block away Rush & amp ; division perfect location near shop Michigan , upgrade Oak St night life . exactly want , amongst Brownstones make feel like live Chicago rather visit . LOVELY ! 
 Apr 16 2009 	 pillow sham outer bedding smelled like dirty hair . 	 personnel helpful kind . one front desk employee condescend ask get taxi trip Union Station . smelly bed clothe one employee hotel stay nice experience .. 
 Apr 14 2009 	 Ambassador East Best 	 people friendly helpful doorman greet every time enter leave maid perky say good morning . everyone seem really want guest satisfied . the location close Rush Street great restaurant Michigan Ave great shopping , hotel tuck away quiet peaceful . the Pump Room super breakfast buffet ton ambiance . would not stay anywhere else ! ! ! 
 Apr 13 2009 	 good trip 4 year chicago 	 wife make several trip always come home exhausted noise night keep we sleep . difference block make quiet never hear horn . room nice clean bed like home . celebrate Easter friend walk several friendly restaurant great service food . pick hotel reading review say married give separate bed . cute ! ! ! ! Francesca quite sense humor 's professional courteous . would definitely stay ! ! ! 
 Apr 9 2009 	 love hotel 	 year venture Chicago springbreak - 6 we . 's wife 4 kid . find hotel priceline cheap pay $ $ upgrade Celebrity Suite - room . be old quite refined . overly busy . one night eat hotel 's famous restaurant , Pump Room , one dine . order hamburger ( $ 14.00 ) . morning coffee free Pump Room , Lilly Coffee italy- well Starbucks . never eat breakfast Pump Room walk Starbucks breakfast also use kitchen time ( pot / pan plate ) . hotel great history glad visit . & quot ; family & quot ; place , however staff mostly delighted see kid around . nothing special kid . kid love lobby area play piano watch fireplace . guy frontdesk little prudish . suppose since kid , want hamburger dinner familiar hotel 's history may cause act way . culture like anywhere Chicago . hear French & amp ; polish speaking folk elevator . wife think would like return we could take bit slow . stay 3 night take kid everyday downtown muesuem sightseeing . lot public transportation .... trendy hot spot old towne feel like Prague . really love appreciate 's charm . would recommend hotel friend look culture convenience . Due 's slightly location ( downtown ) age might fast traveler oppose Michigan Mile hotel full continental breakfast . 
 Apr 2 2009 	 great stay New Year 's 	 Stayed Ambassador East New Year 's last year three day stay friend . hotel doctor order . elegant Lobby bar , well appoint room , good location . stay couple day need car , ask porter long term lot 20 per day . hotel locate north downtown neighborhood . Chicago weekend get - away another couple go neighborhood tour rather downtown experience . many restaurant nearby , couple breakfast place within walking distance , l station three block . room decor little date comfortable . sure people trash place review . get great rate expedia , set pretty elegant neighborhood . 
 Mar 31 2009 	 great service old gem 	 hotel bit fray still old charm past glory year . service truly outstanding location Gold Coast great . pump Room ( Bar ) nice combo good singer draw old crowd weekend . also , bar expensive two drink tab 27 dollar without tip . not eat din room hotel ; Chicago many well place eat couple block hotel . general hotel great service knowledgeable Concierge staff ( Chris Baum ) add nice weekend place Chicago . 
 Mar 30 2009 	 great location warm personal service . 	 love great location near Oak Street Michigan Ave . staff eager help restaurant suggestion request . great singer Pump room . 
 Mar 30 2009 	 Boyfriend 	 signing , Francesca front desk ask & quot ; friend & quot ; ( boyfriend 4 year ) would accompany room . upon confirmation , state need name event lose keycard . said & quot ; Robert Brown & quot ; proclaim , & quot ; oh ! Mrs. Brown ! not much well Peterson ? & quot ; ( refer maiden name ) proceed wave hand we psuedo - blessing stating , & quot ; not worry , be second couple ' ve marry allow stay together hotel . & quot ; absolutely stunned . kid ? not make hotel room realize . specifically order one - bed room instead Francesca see fit designate we two - bed room . fun duck hotel feel judge shame , personally , feel reason feel shame . adult marry people live well . absolutely insane personal christian belief shove throat . can not even imagine legal . however , be already marry outraged point boycott story ( ) , would fully recommend hotel . 
 Mar 30 2009 	 Great Hotel 	 classic hotel . close lot shop restaurant . clean comfortable . room small other . nice hotel . 
 Mar 24 2009 	 nice hotel north Water Tower 	 put bid Priceline.com $ 90 get hotel . ususlaly stay center thing ( Hyatt ; Swisotel ; Marriott - all Michigan Wacker Michigan ) , little reluctant committed pricewise . check online able secure free membership , & quot ; Prefer & quot ; program go entitle free upgrade , definitely pan ( ws assign king suite sweet ! ) .The hotel nice ten minute walk Water Tower Place tony , quiet neighborhood . staff extremely courteous - pump room cool place meet friend ! need park , go kitty corner State park $ 29 24 hour ( parking staff friendly , ! ) -a well deal hotel valet like $ 40 . 
 Mar 17 2009 	 Loved Chicago hotel 	 family enjoy nice St Patrick 's weekend Chicago stay Ambassador Hotel . location room rate thing attractive we . arrive discover cost parking $ 45 per night ! find $ 30 per night parking close . room provide clean could look window , filthy . room noisy , old , wear - out stale . ' m sure great hotel 50 year ago . 
 Mar 9 2009 	 Amazing Service Location - Return 	 upon check - lobby BUSY ! tired feel well tough road show . Front Desk person check fast nice walk away desk smile ... alone great feeling . every time experience hotel staff member , pleased ! say - service really everything give top mark . add bonus location ... think perfect . top , meet loop , quite sure get - person approach lobby , ask could help get meeting . think get taxi - - walk SUV drive meeting , & quot ; free service hotel & quot ; state drive ... really ! ! ! ! cool ! not even talk Pump Room yet - great dinner , professional service , attitude . I return - date room little bit , that s ... curtain need help . 
 Mar 9 2009 	 love location 	 everyone Abassador helpful friendly , highly recommend hotel . 
 Mar 4 2009 	 excellent friendly service 	 book Hotwire , pleased quality service receive . 's small hotel , stay several night , quickly get know staff , find friendly helpful - real bonus since travel one - year old need help get . hotel old , could use spruce , overall detract stay . location great - central restaurant many cultural attraction . would like free WiFi room , business center free internet access . breakfast hotel restaurant , Pump Room , excellent , overprice weekend . 
 Mar 2 2009 	 fly amber . 	 staying bit like visit elderly aunt classic taste -- elegant nothing new . Ambassador East bit like fly amber -- well keep , nothing update . location wonderful -- immediate neighborhood among priciest Chicago , Rush Street bar block away , Oak Street North Michigan Avenue ten minute walk away . Lake Michigan within sight . Clark / Division L stop Red Line three block away . if not require modern , even relatively new , certainly fade elegance hotel . hallway bright clean , notably well light . room & quot ; corner & quot ; room , one window . 20 year old , 20 inch tv huge armoire -- screen office computer big -- flat screen window . bed quite nice , though firm new cushy hotel bed . bathroom neither big small , toilet run bit . heating unit window bit noisier be . since member Preferred loyalty program , get upgrade , receive chocolate , provide free wifi access . bad $ 75 night , give promotion hotel run . hotel great value rate like ; less high rate . the fitness room 17th floor barely adequate , elliptical well suited museum gym -- sound like pile driver exercise -- bike treadmill likely 20 year old . hotel period piece , complete one storied restaurant Chicago , Pump Room . right rate , worth try . clean , well locate , gracious , . decade away new . 
 Mar 2 2009 	 Ambassador East ' old Chicago ' style love ! 	 first time stay Ambassador East love . , hubbie & amp ; 17 year old daughter . visit DePaul Univ . hotel great location Lincoln Park well MI Ave . shopping dining . excellent spot right around hotel enjoy well . enjoy taste old Chicago Pump Room Sat . night drink dance . three we stay corner double room perfect . big walk closet plenty bathroom counter space . look forward stay Ambassador East ! 
 Feb 27 2009 	 lovely old hotel quiet neighborhood 	 nice place stay . second time stay Ambassador East . time take advantage special deal stay reasonable rate ( $ 100 ) . hotel clean , quiet , quite charming . 's easy walk loop , Old Town , Lincoln Park . public transportation also right nearby . last trip , walk fabulous restaurant dinner even well restaurant breakfast -- Old Town . lot really good restaurant , shop , movie theater easy walking distance ( 10 - 20 minute walk ) , hotel quiet sidestreet . ' ve recommend spot several friend . 
 Feb 24 2009 	 Hidden Gem 	 good value Chicago . great food , drink entertainment . great location . friendly . comfortable . 
 Feb 16 2009 	 ROMANCE AMBASSADOR EAST ! 	 Loved Ambassador East ! 's great place romantic getaway ! remind Chicago 30 's 40 be probably like .... beautiful old hotel - clean well maintain . staff excellent accomodating . also , love Pump Room - wonderful food jazz singer - Nan Mason -was really good . the hotel right middle Gold Coast - see multi - million dollar brownstone . 's quiet - short walk Michigan Ave Rush / Division area . we ' ve Chicago many time , would choose Ambassador East ! lovely ! 
 Feb 12 2009 	 Real Get - a - way close home 	 husband book hotel celebrate birthday . although suburb , want enjoy weekend city . really want feel like & quot ; away & quot ; regular day day . this perfect choice ! first , love neighborhood : close many restaurant beautiful home . walk lobby , think : hotel lobby . staff warm friendly obviously love job . adore decor find absolutely charming . right lobby historic Pump Room enjoy drink go dinner go back breakfast next day . compare Pump Room anywhere else - besides amazing food , fun wander around see photo famous people come dine . thoroughly enjoy weekend make birthday much special ! thank ! 
 Feb 5 2009 	 Top Choice Hotel 	 Ambassador East Hotel favorite hotel Gold Coast area Chicago . love European Charm elegance well convenience Magnificent Mile . property room always clean fresh ! 
 Feb 3 2009 	 Fabulous Find ! 	 love hotel stay visit family Chicago . room clean well decorate . staff great ! location great - within walk distance Water Tower Place , shopping , restaurant bar . always stay hotel Chicago . 
 Jan 25 2009 	 pretty good 	 feel hotel positive base pay stay . like other also book hotel Priceline . arrive check problem - park several block away street avoid $ 45 valet fee . $ 20 $ 25 dollar would use valet frankly want could hire cab take we back forth car $ 5.00 trip willing walk . careful parking - immediate area require permit pay attention sign leave car . staff always wonderful - welcoming & amp ; helpful . eat Pump Room go drink return Wicked . nice jazz band staff attentive accomdating . bill one glass house cab one well drink house whiskey $ 20 include tip . room small side fantastic view - appear clean appoint nicely though would agree other room decor ( contrast lobby ) seem bit date . little thig - bathroom absolutely enough counter space bathroom small hard accomodate two people try get ready leave . toilet seat hinge break one place - seem bother function look bad . mattress pad come top two corner bed one side badly tear appear keep stay . fit sheet - top sheet lie mattress pad problem continue throughout night .. big issue - curtain use actually keep light break , dirty cover entire window . either gap center right . enjoy stay - go see Wicked spend time room size , view & amp ; even bathroom much issue . pay list price , bring son we , long stay small issue would likely far problem . really can not say enough staff - truly great . 
 Jan 20 2009 	 always great stay 	 always enjoy stay . excellent comfortable accommodation , perfect location , friendly helpful staff . Brendon especially helpful have look foward see next visit even though 's Sox fan ' m Cubs fan . 
 Jan 19 2009 	 get pay . 	 stay property several time past month . frequently & quot ; 3 star hotel & quot ; pop Priceline . staff accomodate , lobby comfortable ( w fireplace winter ) . room date . generally get spacious room , seem worn . , seem clean bed comfy , pay less $ 70 ( week $ 55 ) not complain . couple tip - great restaurant within east walk distance - great corned beef lot try Dublin Cafe ( right behind Gibson 's ) . be also Jewel close want get grocery snack . Red Line block away commute downtown breeze . , need ride , generally snag town car 's available . ask bellman . 
 Jan 19 2009 	 great hotel 	 great hotel . easy park walk many fun location . staff great . pump room lot history ( phil collin name album experience ) make great martini $ 12.our room clean room expect . elevator decent . ask desk parking Ambassador lodge ? lot behind hotel . 's short walk north $ 24 / day- heat too . state Division couple block south . highly recommend PT Clarks couple block south hotel State . good food nice atmosphere . l also close go downtown Wrigleyville . can not wait stay . 
 Jan 12 2009 	 Ambassador EASY Hotel 	 wife great deal stress job recently need relax getaway . time drive beautiful front gem hotel time reluctantly leave , pamper every turn , smile , pleasant prompt check - in wonderful evening Pum [ p room dining dancing ; beautifully appoint room wonderful fireplace room main lobby , first rate . wife say feel though go back time kindl , gentler grand place history . definitely return Chicago , reason visit Ambassador East Hotel again . Bob Pam 
 Jan 6 2009 	 really need update ! ! ! ! 	 stay Christmas break . hotel great location , bar restaraunt neighbourhood great . hotel lobby Pump Room great look good . staff friendly hotel . 15 min walk Magnificent Mile . room really let hotel . room stay spacious , like walk closet . problem everything tired old . bath crack rust . carpet look unclean , like need repalcing . one bath robe leave room noticable stain across bottom ( housekeeping change ) . furniture threadbare . room ok short stay , would return hotel 's room badly need rennovation . bit let see outside hotel look good , go nice lobby , nice hallway get room seem let overall image hotel . say great location , good lobby , restaraunt bar . poor condition room stay would mean would stay . 
 Jan 5 2009 	 Great Spot money 	 hotel expect : classic 's beauty fade bit . we stay 2 night past weekend . get room $ 73 per nigth include taxis fee Priceline . arrive around noon Friday give room narrow corridor look alley . as mention show sign wear . true carpet furniture bed good quality . tv 17 inch tube serve purpose . not watch tv . room bath fine . nothing huge fancy functional require . we park across street open lot $ 29 per day . hotel charge $ 45 per day . this hotel 4 - 5 block red line take north Wrigleyville Briar Street Theater see blue man Group town south Mag Mile . we use transit whole time find convenient . shop lunch Michigan Ave . Elephant Castle pub Huron east Michigan Ave good Shepards Pie . I would hesitate bid 3 * hotel North Michigan Ave area basse experience Ambassador East ! 
 Jan 4 2009 	 enjoy old world charm Ambassador East 	 take train city allow check room early . room wsa clean comfortable . desk staff friendly helpful . old world charm hotel maintain well . neighborhood quiet comfortable walk evenng 8 y / o grandaughter family find place eat . short walk Michagan Mile ( 15 minute ) plan return . 
 Jan 4 2009 	 Friendly Old School Hotel 	 absolutely delightful week - long stay Ambassador East attend workshop Second City . location wonderful heart Gold Coast , quiet residential neighborhood file brownstone apartment terrific strolling . 2 block north restaurant / bar / shop Rush 2 block east restaurant / bar / shop Wells - close enough convenient N. Michigan shop Lakeview / Wrigleyville nightlife far enough away quiet . need car , convenient El # 22 bus line run 24 / hrs block away Clark , short cab ride , large room ( # 944 remember correctly ) comfortable bed terrific view Chicago . clean , plenty closet / storage space . pump Room fun drink , breakfast one day ( 50 % pricier comparable breakfast nearby coffee shop , atmosphere much nicer ) . friendly staff , sense & quot ; oh , ' ve book thru Expedia will treat second class customer feeling & quot ; - fact , check attendant comment note 's give bit large room since stay week . negative ? Scuff mark along base board , lack counter space bathroom need update . old - fashioned feel ( thought plus ) might everyone 's taste , wonderful stay . Booked Expedia , $ 100 budget Chicago , expect room cheap motel instead find delightful old school hotel . think place terrific bargain , albeit flaw two , will back . 
 Dec 31 2008 	 Old fashioned emphasis OLD 	 husband stay week Christmas 2008 disappointed . aside excellent location , friendly helpful staff old fashioned beauty lobby ( decorate wonderfully holiday ) , hotel sorely need renovation restoration . room large , dirty wear ( carpet multiple large stain upholstery arm chair threadbare ) . bathroom floor dingy tub scarred dingy well . not enough lighting rom , always dim dark overall sparsely furnish . suppose distress we night arrive fit sheet bed small stain two ( supposedly fresh ) towel bathroom . light stain , dark , noticeable stain . hard time believe hotel staff notice stain clean room prior arrival . , hotel wonderful history must quite spectacular place 's day , clearly time management overhaul bring place back 's former glory . like old historic hotel , would recommend visit lobby legendary Pump Room drink dinner , spend night somewhere else . 
 Dec 29 2008 	 Love Ambassador East 	 family stay Ambassador East Christmas wonderful experience . 2nd time husband stay . location wonderful - be close Michigan Avenue ton bar restaurant . especially weather nice , wonderful location easily walk basically anything Chicago . staff terrific . extremely friendly accomodating . first time husband stay , wedding . flight majorly delay night leave ask availability case flight cancel need extra night . rate nearly $ 150 wedding rate previous night . , offer we stay night discount wedding rate . hotel could not charm . 's old Chicago boutique hotel feel like be modern ammenitie . definitely try Pump Room - super historic , food great . husband definitely stay Ambassador East time travel Chicago . 
 Dec 16 2008 	 Absolute Delight 	 Date stay Dec.12 and13th . old world charm hotel away hustle bustle . short walk Mag . Mile Rush Street nightlife . staff superb bellman front desk . corner room 15th floor view lake downtown . nicely appoint clean . small bath issue , big deal . nice work area , business center . stay couple time sure . great stay value . 
 Dec 10 2008 	 enjoy stay 	 find great price travelzoo hotel . attend fundraising event Chicago , decide make weekend getaway . hotel great location , want Rush Division / N Michigan ave . luxury hotel , however , give everything need . service friendly room decent size . place need update , however , room sleep night . otherwise , enjoy great city Chicago ! 
 Dec 9 2008 	 Terrific Location 	 always enjoy stay Ambassador East . location terrific staff warm , friendly , helpful . 
 Dec 7 2008 	 great location great hotel 	 spend weekend Chicago wife 's birthday choose Ambassador location ambience . staff friendly helpful , Pump Room superb remember early visit . enjoy leisurely dinner night arrival never feel least bit rush . walk distance Miracle Mile Old Town - two favorite place - brisk winter day make wonderful weekend . 
 Dec 1 2008 	 Thanksgiving Chicago 's Ambassador East 	 lovely gracious hotel charming location ! Chicago 's Ambassador East beautifully decorate holiday . enjoy glass wine front fireplace first night . staff helpful -- concierge ( Christopher ) help we get dinner reservation Thanksgiving night . dining room bar area elegant yet invite . we definitely return ~ 
 Nov 25 2008 	 would stay 	 every year , woman family girl shopping weekend somewhere . choose Chicago year decide stay Ambassador East . disappointed ! truly wonderful hotel , great staff , large room , large bathroom , overall feeling welcome & amp ; appreciate . already plan come back stay hotel ! thing complain high cost parking , find garage nearby half cost , can not even really complain . overall , excellent experience hotel happy stay . oh - walk Michigan Mile bad , store & amp ; building along way scenic enjoyable . 
 Nov 24 2008 	 beyond expectation ! 	 first time naming price via Priceline , girlfriend little skeptical hotel automatically reserve . honest , picture official hotel website make Ambassador East seem bit folksy -- bit old hoping . also notice 's distance Magnificent Mile , something hope top of . oh well . but upon arrival , expectation meet , shatter . coarse , Christmas decoration make seem fanciful , lobby gorgeous staff incredibly courteous . check breeze consist little receive key room head elevator . enter room , regret save buck vanish . for old building , room keep well . spacious tonne room lie bag , spread , move around without bump thing . furniture nice comfortable , especially great king size bed . sheet pillow clean comfortable . possibly girlfriend 's favorite aspect , bathroom huge bright . although shower head not good , clean water hot . pretty much everything would want good , clean room . good part view . understandably , every room beautiful view , clear shoot Chicago skyline include Hancock . though time Chicago spend hotel , great see friendly helpful staff return . almost always doorman stand outside main entrance , inclusion outdoor heater nice waiting taxi ( doorman gladly hail we ) . something not see even glitzier hotel like Marriott Magnificent Mile . concierge always answer question help we find great spot Lights Festival parade great local restaurant breakfast . all , ' ve never pleasant experience hotel stay . would love return Ambassador East next trip Chicago , definitely recommend other . 
 Nov 20 2008 	 classic treasure 	 love Ambassador East , true , be little old 's classic treasure . service wonderful , minute arrive greet warmly nice welcome ! feel service good , room clean quiet staff accomodate . big gem Pump Room bar restaurant . good drink , amazing food , exciting photograph fun music weekend . set fabulous location ; historical neightborhood , close walk lakefront , well know hometown bar , excellent restaurant Chicago offer shopping . nice street market go summer - fall weekend , give area real interesting flavor Chicago . see need update totally happy content stay . travel great deal work see kind hotel . stay future . 
 Nov 17 2008 	 Loved Ambassador East 	 stay Ambassador East great ! hotel great location charming Gold Coast neighborhood downtown Chicago . give feeling stay Chicago neighborhood vs. concrete jungle downtown , Magnificent Mile Rush Street block front door . staff friendly . also , really enjoy drink historic Pump Room . live band Saturday , really enjoy look picture celebrity throughout lounge visit year go . definitely recommend . 
 Nov 10 2008 	 Colossal Disappointment 	 Ambassador East old , tired , inconsistent professionalism . room , advertise " newly refurbish , " feature small tv ' , water - mark stain furniture , fixture new Nixon administration . regard staff , porter , Jerry , consummate professional , door man ; young man behind desk seem upset deal people job . bed fit sheet , flat sheet leave foot calf dirty mattress pad . exercise facility , tell phone least seven aerobic machine , sport three poor repair . let honest . 80 ' stay AE young man , perhaps would fond memories old gal . , come across like 65 - year - old prostitute much makeup rip fishnet try get buy drink . pay $ 300 per night , realize Chicago ' cheap , low bang buck experience time . 
 Nov 4 2008 	 fail meet expectations- outdated dirty poor service 	 use live Chicago , come back friend ' wedding . book Hotwire request 4 - star hotel . stay hostel cleaner well service . first , AE hotel website , suggest sign Iprefer club , get upgrade extra available . check , let know Iprefer member ask upgrade available . gentleman simply looked tell " ' think " without even check . maybe ' fit image target market ' qualify upgrade . secondly , get room , notice room extremely outdate sheet rip dirty . blood comforter . lot , still disgusting . ask change , do . third , bathtub drain . take shower , dirty , soapy water ankle . ask 2 - 3 time fix problem finally fix last night . park car garage 1 night charge we 2 . upon checkout , let know unpleasant stay . gentleman initially go take 1 day parking , discussion , take . least could do especially since park 1 night . never deal terrible service . even call later complain , tell manager would call back . still ' hear . never stay . 
 Nov 3 2008 	 Bloody towel 	 step shower take towel towel bar , unfold towel discover BLOODY ! present front desk assure management would get back . two day later ( surprise ) management call call . offer credit bill glass wine evening ! appal , tell , finally take 20 % room rate however find completely unsatisfactory . 
