change 	 stay downtown 2 - 3 time per year last 6 year , 6 year ago never think El Cortez would even consideration stay . dump , dirty delapidate , somewhat scary part downtown , 2 block east Fremont Street Experience . clientele seem fit place perfectly . smoke pour casino door open ( smoke notice haze inside ) foul odor hang air . over year , would drop moment curiousity . notice , unlike downtown property fall decay , El Cortez spiffe up . early year , convince well half come . vow 6 yr early never . end spend 3 hour , shocked turnaround ( still skeptical ) .We get offer stay new Cabana Suites ( agree would go elsewhere not decent , well research remodel , etc . web showing ) book , opt Tower room Suites non - smoking . ' m glad , Cabana Suites also across street , attach main building . the change superficial . service excellent around . book give we room number . arrive hour check - in time room ready ( room number give we month early ) . see smudge print elevator panel , anywhere ( although pet peeve mine , nearly every property nice big furnish hall exit elevator knicke good maid vacuum not touch . ) . room large , clean ( fear barefoot property ) well appoint . flat screen tv , big enough . except tv , look like picture website ( believe , many property room ) . bathroom kinda small , not problem . electronic safe mount near floor closet area . will not find amenity already place room , be available , call . need hairdryer offer bring frig well . not see happen often . old noisy heat / cool unit floor window . output air intake vent ceiling control wall near door . old ' popcorn ' ceiling . gambling fun , great mix new old machine ( still coin payout , old Vegas ) limit low table ( $ 3 BJ 3/2 25 cent roulette $ 1 minimum ) nice hit cold streak . casino clean times 3 + day stay . common see maintenance people pick around place , floor people , server , security well . machine wipe trash empty cup / bottle lay round . air clear odor . Carpet floor clean . fellow patron friendly , loyal following . we eat day Cafe Cortez . great food lot cheap ( frig come handy leftover ) . yes , Jackie around , eat next table Sunday morning . not try Flame hot dog cart , hear good . not want stop gambling eat , service deliver food . forgot try , see many people use it . there still character , 's typical downtown . security abundant , inside . see disturbance . short walk experience plenty safe , day night . walk one night Binion 's eat coffee shop ( sure glad , unfortunately go couple week ) problem . fact , enjoy El Cortez much , time leave property . bottom line , El Cortez rank # 2 far downtown property go ( Golden Nugget # 1 , much expensive ) . look hip crowd expensive dud , go GN . like we , average work class people , EC place go . 
 's ok returning 	 get room tower . room clean ( enough ) roomy sitting room . however , not like bathroom - kinda old tub slope . sink outside bathroom also slanty little counter space 's low . bad thing ventilation hotel - can not stay away smoke , even non - smoking room . air casino quite bad , even restaurant . section coin - operate slot machine think old - timer preferred substance sound coin . try restaurant hotel alright decent price . friend get room Expedia $ 42 / night , 3 - night stay special . room situate top parking structure 5th floor ( think convert ) , kinda weird new furnishing decor room . 's suitable look good price . finally , must mention El Cortez 2 parking structure , one attach , one detach . also separate building ( El Cortez Cabana Suites ) across street . excellent location want Fremont Street Experience . everthing ok stay , usually look comfort excitement probably will not return . 
 El Cortez 	 totally awesome host staff totally excellent ... nice room good slot play ... new ventilation nearly totally move old smokey casino problem ... Old Vegas well ! ! ! 
 Nov 6 2008 	 El Cortez Plesant stay 	 dh check El Cortez thur oct 30th 2008 -it around 2 pm . room ready . get room 1101 . nice , clean room face stratosphere big red shoe . the room king room . king bed -two night stands- dresser - desk two big chair - love seat coffee table- also ask get fridge . the bathroom tub toilet one room - tiny ! outside bathroom sink counter small closet area . the tub however fine we ( hubby 5 ' 6 5 ' 2 ) would good tall people really 5 ' 7 style tub height shower head . always hot water showered.we ask extra pillow bed , well hanger blow dryer -- provide housekeeping ! room clean nice left xtra towels soaps shampoo small tip day . the Casino smokey ! crowd old feeling lively . also witness roulette coupier ( sp ) bad - make many mistake control table -i stay 3 spin ( take 40 min ) review tape one moron cause - time issue -was cheat think ! make many mistake tell people play -and call pit boss over - and wrong time . get there- still kind new can not take chance getting rip off.the slot seam loose - one machine -monopoly 5 $ turn 28 $ get right . slot win Elcortez believe try plenty ! always able find parking spot self park problem . the elevator old rickety - so slow weird /down pause . ( tower terror flashback ) subway Elcortez well seattle good coffee . charge two place room.we eat 24 hour resturant twice - once breakfast 2 feeding . time food fine . hot , okay portions.i would recomend reservation want robertas would 40 min wait - so go 24 hour joint.we pretty quiet room - although every could hear elevator ding.check fine - no comp speak . elcortez fine us- youngster ( fortysomething ) although casino smokey -not hint room ! ! find another deal would stay . 
 Oct 27 2008 	 Best Overlooked Bargain Strip 	 go Vegas Halloween Ball/ Fetish & amp ; Fantasy Ball 2008 . wait book room till one week event . we use trip advisor find review bargain hotel offer . we see review give 5.0 rating . unsure . drive Phoenix hotel . conveniently locate freeway . free valet parking friendly staff . easy check small desk . tower room nice . walk really impressed . room nice , clean , absolutely odor .. ( non smoking ) . two double size bed really comfortable . view strip . walk distance Freemont Street .This great deal . 
 Oct 20 2008 	 frill Vegas 	 Frills Vegas Run , husband mid fourtie need make weekend run Vegas business want find cheap clean place stay . Barret Jackson weekend rate high , base review read try El Cortez .. 70 dollar night not expect much . arrive late midnight room clean ready . lady check , bell man valet friendly . surpise give coupon two free night December . our Tower 3rd floor room large casino room stay . bed little firm sheet crisp clean . bathroom old clean . view , hey vegas juste want clean place sleep . issue 6:00 little old lady outside door try use key get room ( lose ) . husband yell door leave . hear hallway noise room tv . sound sleeper not issue . would say room equal holiday inn comfort inn . want glitz glamor not place . staff encounterd great . Loved Bartenders long play drink flow . dinner Roberta Steak House , good 80.00 two without drink . casino not friend trip far win be not high roller . fun . budget great place stay rate reasonable . stay lot cool vegas place Golden Nugget , Excalibur , Luxor , TI , Rio Palms can not compare hotel . however , need cheap rate first look . 
 Oct 17 2008 	 Nothing special 	 5th time Vegas ... 1st time Freemont Street . look numerous review decide stay El Cortez . the staff unenthusiastic . housekeeping worst ever see ... possibly understaffed . food ok . say feel safe ... far area . would go back 
 Oct 16 2008 	 good hotel town 	 good location town ( ! ! ! ! ) .conveniant clean room.much well sahara stratosphare . 
 Oct 4 2008 	 New Favorite 	 mother share holiday Las Vegas ( live Florida overseas ) . stay Sahara recently , want try Fremont hotel . El Cortez 2000 remember run place , also know hotel remodelle . thrilled selection . remodelle total comprehensive high standard . spirit hotel fantastic . we greet check - in long list coupon offer . like food much take meal hotel , even coupon run . one staff tip we newspaper coupon dinner Roberta 's . every meal delicious . room nice clean .... well comparable Sahara . suggestion would offer water pressure low certain time shower could slow cold . 
 Sep 28 2008 	 another great stay 	 well another great stay , check , go smooth take picture make picture key chain , free slot , 2 free nite furture , free food , lose slot , win slot , table do not want lose streak , well get hungry ask waiter , get food bring , that s nice room nice fresh clean , ball fremont st . check picture later . 
 Sep 28 2008 	 Good Value will get pay 	 's reason 's low price hotel downtown ( Fremont East District ) be still good bargain . would not reccoment Pavilion section , go tower vintage room . note : pool . the gambling good Roberta 's Restaurant serve good food price . try . still old coin type dollar slot like . the noise level outside late night annoying , may want take consideration obtain room . stay visit dozen casino without cab . ' ve never stay downtown try least , 's experience . 
 Sep 28 2008 	 could not happy 	 spend two night El Cortez probably well stay ' ve ever Vegas . help coupon American Casino Guide , spend $ 30 two night one vintage room , huge , clean , well - furnish suite . yes , $ 30 total , $ 15 night tax . room seem get bad rap , be sure why . our room clean , quiet , step casino , convenient . big living room area sectional couch , two closet , big comfortable king - sized bed , separate dressing room / sit room . smoking room , little smoke smell noise whatsoever casino downstairs . 's old building , be nice shape lot character , rarity Vegas . also , gobs storage : two nightstand , armoire big dresser addition two generous closet . furniture not cheap hotel furniture either , real wood stuff have proud house . the vintage room drawback , however . 's elevator , will need drag luggage stair . also , bathroom small . 's obvious 's old building -- floor creak sometimes , not many electrical outlet etc . stuff not bother we least , people might feel differently . the steakhouse coffee shop great , average food bargain price . everyone El Cortez , front desk hostesses restaurant security guard go way make we feel welcome value . safety seem concern lot people downtown , never feel unsafe . obviously , 's city , need aware surrounding keep track be valuable . never feel less safe Strip . great time unbelievable hotel value hope come back many . 
 Sep 15 2008 	 good value 	 big clean room tower . good location . great valet . terrific food cafe generous comp . weird blackjack sidebet lot local give hard time bet side bet dealer barely proficient English . still , leave cash arrive . may stay ... 's good bargain . 
 Aug 29 2008 	 Surprised Guests ! 	 book 3 night El Cortez two friend prove great hotel really , knock - out great room , service food , anticipate . first , check- quick , Tower Strip - View room cool inside outdoor temp hover 110 ... classic hardwood furnishing decor please particular friend . bed extremely comfortable . bathroom adequate size , regardless other post ... be average sized guy none we felt confine . plenty hot water 3 long shower , drain drain properly ... soap , shampoo etc fine quality , supply daily thick towel provide . could ask ? room quite soundproof , not hear noise guest time stay , sleep sort hour . housekeeper excellent job cleaning daily , hefty tip order ! casino great us low - roller , able play quite long time budget . cocktail service excellent , matter casino . $ 1 tip bring server back often ! oh , food great , especially $ 5 ' Fun Book ' coupon . large Prime Rib dinner etc Kitty 's $ 6 primo ! breakfast buffet full day . El Cortez server top - drawer courteous ... couple friend join gamblin ' vacation anytime little $ $ $ , highly recommend ! 
 Aug 21 2008 	 great place stay 	 stay el cortez five night , room clean , front desk management effecient.bartender helpful courteous.ate restraunt food price economical never bad meal.security visible time outside well floor . fremont expierience block away freeway close fast access site drive.will stay . 
 Aug 17 2008 	 WOW ! ! ! ! ! expect ! ! ! ! ! 	 WOW ! ! ! ! first place GREAT ! ! ! ! ! allow we check early give we free upgrade tower room . tower room spacious 2 queen bed seating alcove . non - smoking room smell fresh even hint cigarette odor . fridge deliver free charge ask . meal Roberta 's good trip ( 50 % coupon make even well deal ! ! ! ! ) Guy 's trip ideal Fremont St. experence easily within walking distance . place good would willing bring wife next time ( definetly tough critic ) feel room even well room stay Monte Carlo March ! ! ! ! 
 Aug 2 2008 	 good deal ! 	 Booking hotel.com breeze . El Cortez situate block Fremont Street Experience mean quieter less frenetic . stay Vintage Room cheap rate . sure , lug bag short flight stair room big ( 2 queen size bed ) clean . none smokey smell either . checking - in also breeze staff quite friendly courteous . 
 Jul 31 2008 	 want Sleep Stay ... 	 currently stay , july 31 08 , make BIG mistake book 10 day stay . first two night stay old section door open outside . noise central , cell block 5 . first night second night keep awake fighting etc hall security come . move tower ( free upgrade ) third night people next door night . ( Drunk LOUD ) know . hear every noise 4four door , door slam , loud drunk people come hour night . contact front desk problem CONCERNED , pass security security pass back front desk . stay . vegas look around , many place nice quiet . . stay want noisy environment , like think old folk home homeless . digusting stink . good luck 
 Jul 27 2008 	 never ! ! ! Un - American Hotel Policies ! ! 	 stay El Cortez , problem whatsoever - give favorable review time ; stay last week last . first , good thing : room clean ; staff courteous ; bellstaff valet particularly helpful shuttle back airport fail show , booked & quot ; a.m. & quot ; instead & quot ; p.m. & quot ; pick up . the bad thing : enough water pressure shower wash shampoo hair - week , despite report Monday . icemaker last 3 day stay - despite malfunction report promptly temperature day 100 degree ; go casino bar request ice . electrical outlet room short , require one CPAP machine nightly . the bad thing , reason return : drive , passport primary ( government - issue ) form identification . although register incident prior stay , time deal 3 people hotel would honor reservation hotel policy accept U.S. PASSPORT MILITARY ID identification purpose . , hotel slot club player 's card accept permit register ! ! something be wrong picture . there people stay country around world - , obviously , U.S. state - issue photo identification - passport accept U.S. Passport MILITARY ID ! ! ! ! additionally , be tell & quot ; green & quot ; way live , driver 's license stay hotel ! not think so . in opinion , El Cortez 's policy refusing accept U.S. Passport Military ID unpatriotic , un - american , biased , discriminatory , plain assinine ! will spend money location American Military Country respected company slot card foreign passport . 
 Jul 9 2008 	 save $ ample space downtown ! 	 reader , spend four night & quot ; ElCo & quot ; , 22 - 25 June 2008 . use & quot ; Buy 1 night , get one night free & quot ; coupon American Casino Guide , Sunday arrival . reserve vintage room four night , telephone clerk tell could add Tuesday Wednesday night & quot ; Casino Rate & quot ; ( $ 22 per night ) . four night , $ 74 total , taxis . wow ! ! make even well , check - in , receive voucher two free night September ! arrive 1pm Sunday afternoon . delay three time front desk , give room nearly 3 pm . delay problem ElCo . use $ 20 bill trick , think would advantage among vintage room . I move room top ( 5th ) floor pavilion room . room large ! extremely clean , bed & amp ; bathroom massive . yes , pavilion room combination tower parking garage , impressed well work ! since drive Las Vegas time , park car 4th floor , room upstairs , step away ! elevator directly casino fast convenient , open 30 foot away restaurant . the casino clean innovative , excellent table game , new slot machine , even vintage coin - in slot machine ! blackjack games BEST see Las Vegas ... single - deck pitch game , 3:2 blackjack , $ 5 minimum ! sport & amp ; race book clean , large , fully - equip ; watch five baseball game time ! Texas Hold - Em around clock , sometimes $ 20 buy - in ! 's always easy get game , wide variety player quality . the food good . careful Kitty 's 24 - hour diner , also breakfast buffet / chinese food buffet . prefer , also Subway . favorite food , though , small Pizza / Lasagna restaurant diagonally across Fremont Street . two large slice pizza Diet Coke exactly $ 5.the location convenient . two block highway interchange , two block Fremont Street Fremont Street Experience canopy , adjacent neon relic new Fremont East zone . prefer serious slice low - roller , look two block east Western Hotel & amp ; Casino . the shortcoming ElCo need note . stage show , piano bar . swimming pool , customer base old . casino definitely run exactly 1960 , upgrade air quality . adult establishment , gambler . need stay hotel fill & quot ; hot body & quot ; , fire credit card tune $ 200 per night stay Rio , Palms , Hard Rock . will prefer Rat Pack - style casino ElCo . I return ElCo . reader need ask question , contact DrGPadgett @ ms.metrocast.netwith & quot ; Las Vegas & quot ; e - mail title . Gene Padgett ! Starkville , MS 
 Jun 25 2008 	 LOVED EL CORTEZ 	 stay El Cortez June19 thru 22 . tower room , upon check ask corner room , none available . request roll away bed daughter slight mishap sparine ankle , bed free charge , also provide wheelchair , casino cafe . room 509 , clean 2 bed , sofa , need fridge , bring right away . bathroom ( little small 4 woman ) adaquate ! . tv flat screen , big , desk also , use vanity table . air EXTREMELY COLD , walk sun , refreshing come room . complaint check day , little hot water .... , stay excellent . ElCortez Staff professional friendly , everyone courteous ask we everything fine . sister give free enrty slot tournament end win $ 100.00.We play Roulette table long time even learn play crap ! great ! eat Kitty 's cafe , portion huge used coupon fun book . also drink bar back Kitty 's , Batender Brooklyn ..... make sister drink Birthday , amuse friendly , sit least hour . overall , back El Cortez . , location price overall freindliness staff remarkable . 
 Jun 24 2008 	 ok price pay ! 	 sister stay El Cortez night March year . overall hotel ok , would expect price pay . room spacious clean . lovely view hill . downside hairdryer room close lift noisy . lobby casino area ok . look pretty old fashioned full old people 50 - 60 feel bit weird . not bother we much though use hotel sleep much else . area around ok . good bit away strip car 's fine also frequent bus run . also good bar ' very important we ' starbuck 5 minute walk away . I would recommend hotel look cheap place stay Vegas 50 . 20 , like we , look cool Vegas experience spend extra buck book room strip . 
 Jun 17 2008 	 great service great value 	 husband & amp ; book week 's stay El Cortez , block Fremont Street experience . skeptical stay downtown Vegas , honestly say reason doubt . bell service soon arrive , last day 's checkout , treat like old friend & amp ; value customer , even though first stay . husband even get play poker owner ! casino smell fresh & amp ; breathable walk , despite smoker - something unique , experience . jacuzzi suite , would go much strip - call hotel get one . ' ve reserve past high roller & amp ; pit boss . great value $ 125 weeknight . ' ve recently make available public & amp ; ' m glad book one ! ! everything small hotel & amp ; casino clean , friendly , value - orient ( player ' club defeinitely worth join ) & amp ; focused customer service . definitely place ! 
 Jun 13 2008 	 El Cortez Bad 	 go Vegas last week stay MGM ... also book room El Cortez $ 30 one night / free next & quot ; Vintage Room & quot ; figured want hang downtown ... $ 30 room 2 night cheap dui drive back strip ! arrive early room ready we . check quick . hotel room nothing fancy , clean . view wall ... big deal we . clean lady & quot ; clean & quot ; /got rid thing leave lay casino 's playing card Four Queens , etc . find kind strange , oh well ... harm do . Roberta 's GREAT place eat , especially 1/2 coupon , love casino . Walk feel safe Freemont experience long stay side street El Cortez . saw 2 security guard side . side people beg money , etc . 
 Jun 11 2008 	 Nice Hotel Away Strip 	 Hotel great . away strip short bus ride strip . everything cheap save ton cash . arrive hotel check give we free 2night stay return next month room grade ! ! ! take pay $ 28 night ! ! yes $ 28 night . receive coupon buffet . eat $ 7 buffet ! ! yeah buffet not almost free make great ! table start like $ 5 $ 100 blackjack . enjoy casino not think stay stripe . can not beat proce staff friendly get 2 enjoy downtown las vegas 
 Jun 7 2008 	 Great Value- Great Location- Great Casino 	 El Cortez one well keep secret Freemont Street . book tower room $ 57 / night weekend . strip place way overprice weekend , plus lot see downtown . El Cortez attract lot local , always good sign . casino friendly easy navigate . excellent choice video poker player penny . player card give new player free $ 5 play . garage close hotel , free park . hotel 1 block begin Freemont Street experience , locate recently - clean Freemont East district . part town safe walk alone night , stay . bed comfortable , air conditioning work well , elevator quick . window open full way , charge $ 12 / day internet access need . drawback small bathroom , clean functional . shower pressure probably top 5 good hotel recent trip Vegas . stay , staff nice . able check early . 
 Jun 5 2008 	 good experience around 	 tower room clean , spacious , nicely furnish ( couch ! coffee table ! desk ! comfy king bed ! ) , cigarette smoke wispe everywhere Vegas . a / C powerful , bathroom small , decor feel 60 without decade wear . hall noise occasional acceptable . thing give pause door lock : be sturdy bolt inside , not tight seal arrive - gouge doorjamb show upon time someone without key want . gouge may archaic ; El Cortez 's neighborhood improve markedly since 2001 downtown stay . 's noticeable amount riffraff street , illumination guard tourist traffic prevent insecurity . friendly Freemont St. vibe feel like street fair instead brassy strip : less crowded , less expensive , laidback , less youthful energy ( good & amp ; bad ) . slow bus strip run regularly , get crowd . the EC 's restaurant local - heavy casino not glitzy ; lot jean , pullover , comfort food . coupon comp receive check - in appreciated . even without , would likely return El Cortez . , low - key , comfortable place stay . 
 Jun 3 2008 	 true believer ! 	 remember El Cortez scary , lonesome place Fremont forgot ! recent renovation east Fremont hotel garner good review , sign Memorial Day weekend . bona fide believer . early check breeze . give 11th floor room Tower , face Strip . rooftop day , great light sight @ night . room good sized , big , manly , oversized furniture . sofa window alcove terrific . great place coffee morning paper . small bath kind awkward tub / shower functional . great , new big towel . king bed comfortable . staff friendly efficient . 1st stop ice machine , work . call desk report , ask ice every floor . said & quot ; yes & quot ; , minute go elevator hit new floor ice . open , repair guy get fix problem . lobby piano bar beautiful , new gaming equipment . rest casino blend new , old old machine . deep casino , see old El Cortez . bit worn , bit rough around edge . overall , fine lot $ 5 BJ ( open $ 3 BJ ) . free slot tournament daily small amount point card . restaurant night day . Roberta 's sensational . good service Idaho trout & quot ; special & quot ; . fly daily , prepare perfectly , great bread basket , salad side -- -- -- $ 14.95 . find somewhere else ! ! ! cafe however opposite . price look great , service poor food bad ( except great dessert ! ) . good , smile crowd , maybe unlucky . use buffet . easy walk Fremont terrific & quot ; Queen Tribute & quot ; big & quot ; canopy & quot ; . finally get right . electrifying ! ! downtown pack , everyone fun time , good , live band cover great 70 's tune ! really like downtown . duece bus block away hotel bring anywhere strip . ? be downtown ! ! back El Cortez weekend Vegas trip . good room service , excellent price , bartender know name love walkway ( cobblestone palm tree ) Fremont . Bob Mp.s . try amazing pizza ( 2 huge slice & amp ; soda - $ 4 ) Andy 's , 1/2 block Fremont , next Griffin ! ! 
 May 23 2008 	 El Cortez always Comfortable . 	 great place stay . cordial staff . let check early without question . tower room good deal . large comfortable . not ritzy strip type place not expect . downtown place can not beat . probably well first timer youngster middle aged crowd ideal . lot security comfortable . good food choice price range . 
 May 16 2008 	 big room however cigarette smoke strong . 	 pretty cheap place stay . pay US $ 52 exclude tax . room big . towel clean . however , room , even non smoking one , smell strongly cigarette smoke . change 2 room smell still . end , gave sleep one night . probably smoke come central air con , sure . another thing , order go parking garage room , pass casino . seem like quite common hotel casino Vegas . hotel free wifi free parking . 
 May 14 2008 	 great deal near Fremont experience ( old strip ) 	 book cheap i4vegas.comother smoky hotel lobby , love . upgrade . valet service quick free ( tipped ) couple short block deuce - bus run Las Vegas avenue $ 2 ride $ 5 day . couple block & quot ; Fremont Experience & quot ; old strip party atmosphere reign . street performance , casino , chippendale ready photographed fee , drink . great bargain lot money stuff like see great show , watch people , gamble 's go LV ! check painless check . definitely would stay . 
 May 5 2008 	 winner 	 take gamble elco rate good . I definitely winner .Check breeze . my wife always check room first sign , satisfied comfortable it . we give many 2 for1 meal coupon 5 $ restraunt . use .The food great .The prime rib Kittys one good . ( $ 9.95 ) .Downtown change . clean , expand , tight security , make good downtown trip ' ve . sidewalk widend several block around Fremont street .I highly recommend elco fun fifty crowd . sam 
 Apr 25 2008 	 would stay ! 	 thank review not alarm neighborhood . we feel safe walk two block Fremont Street hour day night . this complete different Las Vegas trip , use hotel strip . El Cortez perfectly fine need . check fast . tower room 3rd floor huge perfectly clean . bed great ! view strip room however . the casino pretty lucky . you must try Top Gun slot machine elevator ! fun play cash big three time 20 minute -- practically pay trip . 
 Apr 16 2008 	 get Money 's Worth 	 husband return 2 night stay hotel . locate short walk Fremont Experience area , easy find freeway . a previous review read accurate regard check - in process . book stay month advance thru Expedia however clerk could seem locate pre - pay reservation . ask we step aside manager look . take 30 minute get straighten ( clerk apparently mis - type name computer ) , rest stay fine . the hotel room clean seem well keep . mini - fridge room hope , use small ice chest . ice machine conveniently hall room . stay tower , would reccomend request odd numbered room , one face strip offer great night time view . the valet area swamp short wait vehicle . go strip valet call cab we show almost immediately . enjoy intimate feel hotel , oppose enormous ground new hotel strip . well worth money . we definately return . 
 Apr 16 2008 	 Nice hotel price 	 come back cortez , stay tower room , nice , clean room , maid service everyday . not hear construction go . hotel good location , problem , close fremont street experience , double deuce 5 min . away . nice place money . 
 Apr 14 2008 	 Good - problem 	 ' go Las Vegas since 1979 . believe first two time visit , stay Strip , walk around eye mouth wide open , experience overprice hotel , tight slot , high minimum table , underpay video poker machine . third trip , ' ready stay Downtown . bring we El CortezEl Cortez place first time visitor Las Vegas . also recommend familiar downtown Las Vegas . LOCATIONEl Cortez locate Fremont Street , one block east Las Vegas Boulevard 6th 7th Streets . two block & quot ; Fremont Street Experience & quot ; area use consider seedy , new construction area , well light walkway directly Las Vegas Boulevard front door 6th Street , presence security personnel Fremont Street , feel safe walking . area plenty foot traffic till midnight . account activity midnight .. CHECK insmooth , quick , efficient . roomi stay pavilion room -- comment refer Pavilion Room only . the Pavilion concept clever . half main parking garage extra floor ; top floor 72 - room motel . room spacious motel room . two people move around without bump . paint , carpet , etc good condition . drawer closet space ample . bed comfortable . linen clean . the bathroom tiny . rotund guest would find uncomfortable . sink locate outside bathroom . sink area contain adequate counter space . shower stream steady strong . water temperature , however , inconsistent . the A / c work well quietly . type A / c ' turn on / off base temperature . plus wake every time heater / AC turn off . I watch television , can not comment picture quality station availability . the room contain clock radio . safe , fridge , microwave . desk table . full - length mirror . the perimeter motel walkway provide nice view three side view parking garage roof 4th . if car , take elevator directly motel casino . there could several problem ’ light sleeper . hear tv next room . hear people cough air vent . room overlook 7th Street could hear street noise . major problem light sleeper would sound door close . know hotel door make noise close -- result automatic lock engage . however , usually mitigate noise close door gently . pavilion door , however , would close outside unless pull hard , matter quiet try , door make loud noise . , imagine problem couple would spouse-1 leave room early spouse-2 still sleep . HOUSEKEEPINGI leave room morning . come back night , room clean . ask ? addition , shower tend drip water floor require second floor - towel . housekeeping notice use bath towel second floor - towel , provide second floor - towel -- minor incident , show thoughtfulness willingness help guest without ask . ELEVATORSI seven day never even come close thinking " ' take long " . efficient . SECURITYCameras cover every inch pavilion area often encounter security guard . one check room key access Pavilion floor , anyone access Pavilion floor casino parking garage . ultimate security test : would feel comfortable wife daughter stay alone ; answer would " " .PARKINGThere complimentary self - parking garage . also valet parking never investigate . garage roomy easy navigate . summaryyou ' buy Ford Focus complain ' Mercedes . economy hotel . ' light sleeper , ' worry security noise issue mention . want quieter , secure environment downtown approximately price , check review Las Vegas Club . 
 Apr 7 2008 	 beware Construction Noise 	 yes room large fairly clean , hotel entrance general area much well afew year ago . however , good deal construction go new tower build right next door , begin 6 a.m . penetrate 4th floor north face room conversation guest 4 day seem bother many side . move high south side room help . we , ok place reasonable rate Easter weekend , would not return hurry . excellent Easter morning breakfast cafe . 
 Apr 2 2008 	 Repeat Visitor El Cortez 	 one remain genuine & quot ; Old Vegas & quot ; hotel\casinos . I hate use & quot ; Old Vegas & quot ; since Strip visitor call downtown Fremont Street area . old Vegas hotel feel it . I like hotel casino . age room , clean room quiet bargain . the walk Fremont Street Experience feel safe block hotel upgrade past year . I definitely return . 
 Mar 1 2008 	 another Good Visit El Cortez .... 	 make solo trip Las Vegas stay three night ( Feb. 24 - 27 ) El Cortez . able check Pavilion Room arrive 2:00 . fine -- non - smoking room -- # 5503 . good view area stand outside cement walkway . the bed comfortable , room quiet , walkway well - light , staff helpful . eat coffee shop different time -- -alway good . walk across Fremont Street eat breakfast Mamacita 's , also good -- -also , good drink service gamblinga El Co. I gamble / stay El Cortez past year always good experience . return two month . 
 Feb 26 2008 	 Great Value Old Las Vegas 	 live Las Vegas 20 year , recently stay El Cortez family family wedding . quite surprised nice room overall experience . El Cortez bring new management back tell- bit bit upgrade property . & quot ; gourmet & quot ; restaurant Roberta 's great ( include great & quot ; Stone Crab & quot ; special ) . room big nicely appoint . location & quot ; East Fremont & quot ; area currently undergo renovation ( across street large luxury high rise condominium ) . many hotel Las Vegas nicer , also MUCH expensive . want save dollar table , highly recommend El Cortez great place stay ( get great month ! ) 
 Feb 24 2008 	 cheap adequate room COLD ! 	 one & quot ; Vintage & quot ; room , real bargain $ 50 night early week , $ 75 weekend . weather turn cold second night , room . could figure get heat , air , cold air ! complain twice front desk nobody ever come help fix temperature , bundle . otherwise would lkike hotel . 's great downtown location , away hideous gaudy Strip , block deuce bus run Strip , '' two block Fremont St . experience . casino good coffee shop cheap home style meal breakfast hour . be also 24 - hour Subway sandwich shop inexpensive buffet open breakfast , brunch dinner ( chinese ) . 
 Jan 26 2008 	 last piece real Las Vegas - it be great ! 	 bottom line El Cortez ( downtown property well ) .reasonably well keep , safe , clean comfortable - if enough common sense know expect . it never fail amaze people expect , 's Vegas , get suite like see tv show 30 $ per night . if want sterilize , non Las Vegas atmosphere Strip must pay price . the 3 $ call brand drink downtown twice there . the room food terribly expensive well . I 30 year Vegas visitor , leave strip year ago . I like old Vegas feel , go Vegas drink , gamble relax . the table limit much high strip , stat tell payout generally considerably low machine . it truly depend go Las Vegas for . downtown like Las Vegas like . the El Cortez , specifically , favorite . the piano bar teriffic , cheap . low limit game abound . the food good cafe , wonderful steak house . the tower room consider many good value town - clean , quiet , comfortable great bedding . air conditioning great , water hot . service , case Las Vegas opinion , depend attitude much anything else . take initiative friendly , usually return . the Elco truly last bit Vegas leave own big corporation . the owner , legendary Jackie Gaughan , live property . he regularly see property , play poker nightly . a gentleman . now one final note . before long , militant non - smoker win Las Vegas smoking ban casino floor casino bar . maybe happen year , maybe next , may 5 even 10 year . for , however , not come Downtown Vegas offend sit machine next smoke Camel drinking glass whiskey . the downtown casino small , many frequent smoke - for , least , 's fact . we non - smoker group , type think whiff smoke cause immediately fall dead . in summary , hope comment consider smart - assed , use experience hopefully help other make right choice make trip great . 
 Jan 21 2008 	 three day ElCo 	 stay El Cortez Jan 17 - 20 , return yesterday . three we travel together give corner room 8th floor- enormous bed quite comfortable . although be ' non - smoking ' room , smell smoke around room overwhelming- ' old ' smoke smell carpet , hallway , etc . , well fresh smoke seem come ventilation system . checkin fine- bellman , William , super helpful . food ok- actually careful Kitty 's pretty good . buffet , breakfast chinese buffet later fine , outstanding , fine . housekeeping leave quite bit desire , however . do day make bed change towels- straighten do staff . fact , dress have leave bed wad leave nightstand- find odd , tip accordingly next day . slot loose- won / lose several hundred course day . remember cash be ahead ! $ 5 single - deck blackjack , spend gaming time . ok , nothing complain about . definitely local place- thing find disturb couple try take turn gamble young child stand barely gaming floor . security tell several time need take child floor , get rather hostile belligerent . in , 's ok place stay , provide modest expectation . 
 Jan 17 2008 	 good room stinky lobby 	 book hotel via travelworm.com $ 60 / not two night Dec 28 - 29 . get two - queen - bed Tower Room garage . room big , bed sheet clean , bathroom small . 's smoking room , feel comfortable not sense bad smell ( be smoke person ) . be locate LV downtown , two block Fremont Experience , 5 - 10 minute drive strip . also free parking lot , free internet . far , everything good spend time town need place sleep . however , lobby / casino area stinky smoke . be stinky not even care use free $ 20 gambling coupon run lift every time pass area . fortunately , rent car could access lift parking lot . overall , 's good value hotel budget - minded traveler . need up - scale hotel , may suit . 
