stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Jan 26 2009 	 thing not tell ..... 	 stay New Year not think live hype . room ok nothing special . tacky feel .. good way ! ( add actually like tack . ) anyway 's long walk strip particularly nice walk . noise airport ridiculous ... 's plane take every 2 minute . thought would like know . on plus side ... great place eat small shopping parade across road . 
 Jan 19 2009 	 Funnest Hotel Vegas 	 Hard Rock Hotel aim young group people . statye 22 one funn time every . pool good part hotel . huge staff work great . go bacholer party perfect enviroment . woman work pool amazing . thing like hotel location . cab fare kill we throughout couple day . hotel strip . overall terrific hotel look party . 
 Jan 16 2009 	 bad Hotel Vegas ! ! ! ! 	 stay October last year boyfriend . come Venetian ( pure heaven ) hotel . stay 2 night big hard rock fan really excited . go check really rude girl desk ask we credit card incidental . stay already pre - pay . tell we decline explain Venetian put freeze card do not release 24 hour ( hotel ) would ok pay deposit cash instead . tell we do not accept cash make exception will take big cash deposit . ask , say ' well we favour ' . say would wait supervisor would not back evening may may make exception . worried have already pay stay non - refundable may let we stay , might homeless next 2 night . decide go concierge desk explain everything , say supervisor fact whole time stand beside girl talk . call supervisor say reduce amount one night 's deposit eventually accept card . not enough , room small , nothing brag huge dissapointment luxury venetian pay access pool look window nobody use , anytime day , surprise do not pay hotel . ' ve Vegas 3 time bad hotel stay . ' ve stay luxor , mgm grand , golden nugget venetian million time well hard rock . WARNED - do not stay ! ! ! ! ! 
 Jan 6 2009 	 waste Space Nightclub Review 	 waste Space , Hard Rock Resort Hotel & amp ; Casino 's new & quot ; anti club & quot ; nightclub , purport advertising . difference every resort hotel nightclub like Pure , Lavo , Tao , Voodoo Lounge wear street clothe ( yes , tennie & amp ; t - shirt ! ) , sound system bad club . difference , waste Space another dark , Hip - Hop / House music club . yes , be little rock , be set serious hip - hop beat , not sound like rock . , distort sound come mediocre system , be like torture . my suggestion Carey Hart , Jason Giambi , & amp ; Benji Joel Madden true club 's advertising . 's rock club state ( " want place friend could hang listen great rock music cool atmosphere … there option Vegas , make , " say Hart ) , play rock , not change rock . 's rock n ' roller expect get . also , be & quot ; anti - club & quot ; unlike Vegas club , allow patron sit , relax party beat real rock drum without spend $ 200 fifth Grey Goose booth . last least , guy , get decent sound system . what disappointment , former regular mid 90 Hard Rock Hotel , excited check new venue Wasted Space , find truly waste space . 
 Jan 5 2009 	 Fun place stay 	 Hard Rock Hotel fun off - strip hotel Las Vegas cater hip , young crowd . mid thirty ' ve stay two separate trip Vegas enjoy time . room clean modern overall vibe can not beat . casino small , nice bar fun place grab drink heading . pink Taco great casual mexican restaurant good , inexpensive food . also 24 - hour diner type restaurant decent burger breakfast . this not luxury property look fun , hip hotel moderate budget , may good choice . 
 Jan 4 2009 	 Hard Rock Casino Hollywood Florida 	 Hotel new expensive . not waste time money Casino . use nothing cheat pile crap auto shuffler machine low limit black jack table . go four time lose money four time . they stack odd heavily auto shuffler . also keep mind time play Indians play self regulate Casino . opinion huge house advantage . unlike Vegas , Indians create apply policy casino . think look ? guess Indians , correct . the slot machine control & quot ; Whopperesq & quot ; computer system probably always work odd away you . so humble opinion , stay way ! not cry , warn . go Vegas , give away room near Freemont , go cruise NCL , Carnival , Royal Caribbean instead . able play hand shuffle shoe place almost make 50 - 50 odd house . by way , unlike Vegas , also get treat expensive drink $ 7 pop hard rock . need pay drink give house add advantage . suck ask .. 
 Jan 3 2009 	 Serves purpose 	 stay hard rock three night recently guy getaway . enjoy hotel , price right room fine . this not place would take wife nice getaway . 's fancy , be bit smoky little bit old Las Vegas feel . plus . bed room comfortable , room french door nice get fresh air . nice big flat screen lot channel . everyone friendly , check , bellboy , dealer . casual restaurant great inexpensive food table minimum low . place fun , good vibe , not massive like hotel strip . ' m sure would even well pool open . hear construction , however airport near sometimes plane loud . negative . fan bathroom ( good thing stay guy ) room bit date scuff mark wear tear . smokey gambling floor annoying . all would recommend Hard Rock guy getaway fun inexpensive weekend . 
 Jan 2 2009 	 Disappointed 	 book two night Hardrock daughter son law birthday . book room several month ahead specifically choose king bed mountain view room . room prepay charge credit card time booking . arrive 6 Pm tell king bed room available would take 2 bed mountain view room . hard understand since reservation specify king bed room prepay month advance . room quite expensive feel deceptive poor customer service . think twice stay even though rest stay fine . 
 Jan 1 2009 	 Loved hotel 	 think hotel great ! room well ! great bed great tv great maid service . ther room clean ! ! stay holiday winter fairly calm . I m sure loud pool get summer . construction go do not bother we . could not hear noise except open door look outside could hear cran beep every awhile big deal ! away strip must drive plan take taxi ! ! casino bit small big hotel visit good thing ! 
 Dec 20 2008 	 Alright 	 Hard Rock 's ok . stay 2 night fly home . the main problem 's little bit overpriced , 's far strip ' pool scene ' feel bit contrive . struggle get place sit/ lie around pool obviously bite late get ( be think - 's Hard Rock , ' m sure nobody 12 ! ) party destination , not really ' get ' . maybe 's cultural thing ? ' ve enjoy time Goa , Ibiza place , guess American ' party ' culture different - 's bit Disney ( not bad thing be theme park ) .The casino 's pretty small ( not really bad thing ) whole resort Vegas standard . see be extend accommodation ( hopefully pool area ' m sure will never get drink size pool look like twice many guest ) . look like probably quite good place stay 1990 's . room pretty good , clean enough half decent toiletry . would say standard room Hyatt . be UK , like walk place not take car absolutely everywhere go , walk strip doable , walk strip back push it . we eat 2 restaurant - manage share start Mr Lucky 's 24 - 7 physically could not eat anymore ( 200lbs holiday ! ) . standard food pretty good - TGI Fridays cheap . also eat AJ 's steakhouse alright . half decent steak pay bit much , service good . 
 Dec 19 2008 	 mixed experience HRH Vegas 	 experience follows:1st unbelievable rate start : stumble upon unbelievable rate book immediately w/o hesitation . $ 14 night incl taxis . thread start ( http : //las - vegas - hotels.tripadvisor.com / ShowTopic - g45963 - i10 - k2317252 - unbelievable_offer_any_catch - las_vegas_nevada.html ) 2nd . try $ 20 trick get upgrade ( check staff not know much pay . fail ! 3rd . kid open minibar move item , immediately trigger charge room account . note : Item move = hotel assume consume . call front desk explain happily credit back charges.4th check , shocked find $ 239 charge room room rate . speak e front desk , equally puzzle mine 's suppose pre - pay . promise credit card will not charge give Guest Services Manager 's card case . 2 day later , card charge . try many time reach manager can not . finally speak another GSM promise take care . charge finally reverse day later . ok room wise , pretty standard accord Vegas standard . nothing fanciful . location off - strip , u probably want car get around . 
 Dec 18 2008 	 watch hide fee 	 great hotel , great service , watch hidden fee . check credit card statement ! ! ! ! reserve room Hotels.com , expect full , total price . case . may think get good rate hotels.com , not tell hotel charge additional daily $ 7.63 resort fee , top pay hotels.com . expect unadvertised resort fee hit credit card stay not expect help hotels.com request pay back fee pay room , Hard Rock . Hotels.com refuse refund fee state hotel charge additional fee anytime 's hand . seem like shady way operate . Hotels.com Hard Rock work include advertised rate . also watch minibar charge get hit charge credit card not even open refrigerator . other extra fee great hotel , full good look people . 
 Dec 11 2008 	 much fun ! 	 one good friend book four night girl 's trip Vegas - blast . downside Hard Rock 's quite walk strip - not really mind drive LA free valet - without car would rely cab ( wear heel ) .We make friend Estaban , fantastic concierge , put we list good club ( Tao , Body English , Tryst , etc ) . show club not wait line pay cover ( always easy be girl cute outfit ! ) .While notice construction not hear anything huge room . upgrade room people disabilitie lot space . pink Taco also fantastic ! 
 Dec 11 2008 	 Construction Decent Rate $ 65 dirty Carpet 	 okay , book Hotels.com , get great rate , non smoking room , large room , stain carpet , feel could ' ve clean spot carpet cleaner . construction go outside , effect inside activity . kicker .......... bed BEST year . rate 5 Curls .............. Gerry Kurl rock . also see IRON MIKE tyson waste Time Lounge . kick female ! GO GET CHAMP ! 
 Dec 9 2008 	 definitely young ( young heart ) 	 stay Oct Nov year . our first stay compe room top floor . room nice roomy appear good condition . second stay low floor room condition nice stain / worn carpet . really not bother we much since not spend much time room ; , Vegas . the second room slow drain bathtub sink . not enjoy take shower water ankle . drain wash sink take 2 minute drain ( frustrated time ) . not problem first room . I like fact give large size shampoo , conditioner , lotion . stay one bar soap . Hard Rock undergo construction / expansion minor detour nothing major . could hear construction noise room nothing wake sleep . it be evident Hard Rock cater young crowd young heart . expect ? Hard Rock . Service spotty . find case many place try hip / cool . 's fine line cool cool . the casino large . fact , rather compact . game there . do get chance use pool cold Nov . gym cost $ 20 use look nice . Hard Rock locate Strip quite distance walk . car definitely recommend . overall , go Hard Rock experience enjoy . expect something else disappointed . 
 Dec 6 2008 	 always fav 	 ' ve stay hr numerous time . say place ROCKS ! ! ! ! ! ! 's favorite hotel stay vegas . could write ten page review love much will keep simple . food , bar , club , event , pool , atmosphere , gaming , GREAT . place go party fun . look quiet getaway place relax not stay HR . 's place let loose party like rock star . VIVA LAS VEGAS BABY ! ! ! ! ! 
 Nov 25 2008 	 Great Staff ! 	 give staff second casino hotel vegas & amp ; close four Seasons ! Front Desk , Bell Staff , great ! even well Center Bar Tenders & amp ; Staff Pink Taco ! great time ! ! ! ! do not miss happy hour & amp ; $ 7.77 steak Lucky Sevens ( tip well & amp ; get go ! ) room nice nothing truely amazing ( complaint , typical upper crust Vegas ! ) 
 Nov 17 2008 	 make sure throw somewhere bathroom ! 	 , would always hear amazing thing Hard Rock ... young 22 year old woman ' ve always want stay ... come Monday Veterans day shit giggle really really really enjoy young single scene party atmosphere . 's wild would recommend family anyone conservative boring . Monday Tuesday night pack people age 21 - late 30 's . offense old folk , social pariah casino ! complaint friend mine bring party friend room throw bed . inebriated , time not seem like big deal something could deal morning . reality harsh next morning receive $ 700 bill replace WHITE duvet cover random [ - ] . advice not messy intercourse bed , eat anything bed , even breath bed cause may charge . understand throw $ 700 ! ! ! ! Ridiculous . the Hard Rock great atmosphere , horrible service , & amp ; rude front desk people recommend stay somewhere else pay $ 10 cab ride strip . ' m honestly really bum not well experience 's killer scene everybody deserve second chance . Soooo will give second go make sure bring plastic bootie wear shoe not pay anything ruin shoe bottom ! fyi : Nobu rock ! live LA one ' Bu 's definently comparable ! 
 Nov 16 2008 	 Nice hotel dissapointe service 	 stay HRH 9 - 10 Nov . unlike review nuisance current construction work . room big , clean massive flatscreen tv . nice bathroom cosy bed . . breakfast , ( free ) gym ( cost 20 usd already pay customer ) . overall look nice . front desk lady bit cool , explain thoroughly minibar free , well duh .. ! ! ) need car ! walk strip least 20 min . go breakfast Hotel Paris : excellent breakfast buffet ! 
 Nov 14 2008 	 Fun Place Young People . 	 gamble partie Hard Rock many time , recent bachelor party wknd give opportunity finally stay . place definately fun . weekend long , seem like 90 % guest 35 . night , everyone dress sexy , casino lobby area become pretty hot . compare mega - casino , like small size . PROS Room pretty good , modern looking , comfy platform bed , cool light beam corner , flat screen tv . view pool great , day saturday lie bed nursing devestate hangover , fun listening pool dj play popular toon open door . CONS bathroom small upscale , tv not would not get regular channel , music station . call downstairs try explain reset , not work . offer send someone comp intenet ( $ 14 per 24 hrs ) nice , neither actually occur . much rush checking fight . also , room modern design , starting feel little dated , however bachelor suite , newly renovate look pretty damn cool . also public area hallway need freshening , sound like plan year . eaten one NY branch Nobu Ago LA branch Pink Taco , not feel need hit place . not try spa . order room service breakfast one morning . come quickly . french toast warm delicious , smoothie suck . clearly ice juice appeared freshly make . also come back later day , housekeeper move trey hallway , still hour hour later . , good fun , would def go back right price , pay $ 99 / night . one Vegas favorite . 
 Nov 12 2008 	 Love Sound Construction Morning ! ! ! 	 LOVE punishment seem . I know construction go , not think would BAD . around 5:30am , AIR HORNS go ... yes , say AIR HORNS . not know whose job simply blow air horn every 10 minute , seem not 2 , would fun job , certainly person charge air horn blow massive construction site next pool enjoy job ... thoroughly ! dump truck , hammer come together steel beam . , do right order , create spectacular vibration throughout hotel ... mention 5:30am ? make sure ... oh wait , something serious must go ... AIR HORN MAN step every 5 minute ... view superior King bed room , overlook dorment pool ( closed need serious cleaning ) allow spectacular view Venetian , MGM Paris ( be guest still sleep ) . add gentle rumble cement mixer spanish swear word drift dust cloud construction site cherry top ... pure HELL ! mention 5:45am ? hotel use fun , without pool , garbage ! oh , mention AIR HORN ? ? ? move palm tonight ... ridiculous ! 
 Nov 9 2008 	 construction noise 5 am ! 	 first room dirty , mistakenly put start construction next morning 5am ! ! ! ! be not little bit noise terribly loud construction noise new wing . I complain front desk unable help . call get manager send another room . appear inconvienence . make seem like overreact . casino also EMPTY . look fun time , go palm ( pack ) someplace else trendy . dont waste time $ $ . 
 Nov 2 2008 	 Nice hotel 	 nice hotel . get Halloween crowd . rock fans area probably . read early review will not allow bring even bottle water reason surely want guest drink bottled water room cost $ 4.50 . sure deadbolt really matter , one room work security clasp even chain . really feel secure card lock operation . far strip necessary car unless intend stay vicinity hotel . staff member encounter appear nice may stay careful even touch merchandise room . touch , 's ! 
 Oct 19 2008 	 Porno palace 	 book room HRH proceed check accomodation . & quot ; mountain view & quot ; view rooftop casino air conditioner . room plain average . suddenly , husband notice could hear clear loud noise come next door people sex . loud sexual noise go 15 minute call front desk ask could move . they move we top floor room overlook pool . husband go check room go walk live porno movie set ! say porno actress actor engae & quot ; Cirque de soleil & quot ; acrobatic sex . several fully dress man sit bed camera man capturing event . movie director come husband upset interrupted scene . luckily , HRH porter husband witness . good news upgrade beautiful suite . hotel okay sex theme . tell week , host Porno convention . prepare . rent pool cabana good time . 
 Sep 30 2008 	 Vegas hotel compare we ! 	 well , positive thing say Hard Rock . husband 30 's , not really drink , not stay late . still awesome time every time come . primary reason : great music , friendly dealer , good comp , comfortable chic room , amenity open hour day & amp ; night , easy navigate casino , list endless ! ! construction bother we ... yes could hear beeps morning , not keep sleep , faint . pool view room nice ! ' ve ever mountain view past , real treat . sign player 's card , get offer email compe really cheap room , . enjoy AJ 's Steakhouse Foo Fighters show Joint . surpass expectation . critique construction do , perfectly sized hotel twice size , make sad : ( sad enough , always stay ! 
 Sep 25 2008 	 WONDERFUL LITTLE HOTEL VEGAS ! 	 Hard Rock Hotel Vegas hotel ever stay ! excellent value , spotless room wonderful location . yes , know hotel undergo construction tell Vegas hotel construction ? ? ? ! ! ! ok , 50 actually small upscale lodge property . imagine look hotel room carefully . stay much expensive much large Vegas hotel -- never ! overnight guest hard ROCK HOTEL Sept 21 , 08 . oh -- hotel breeze parking checking . walk mile mile inside hotel come go room . actually ENJOY hotel -- staff friendly people , even store keeper full SMILES ! enjoy hotel locate exactly one mile & quot ; Strip & quot ; Bellagio Caesars . our room 11th floor . two king bed spotlessly WHITE one smudge spot whatsoever bed include waffle weave jacquard duvet -- six spotlessly WHITE pillow bed . mind , bed comfortable . bathroom absolutely spotless include grout line around tile floor tub / shower . sink counter spotless . wonder entire hotel refurbish everything -- though modest -- fresh CLEAN ! room pool side , however pool rock music blaring pool close 6 evening , nothing worry . remember bring drinking water we Vegas hotel , bottled water require nearly take mortgage home ( $ 8 - $ 11 / bottle water ) .All -- nice little hotel room rate not keep awake night . definitely stay . oh , mention Hard Rock Hotel CLEAN ( hahaha ) .P.S . excellent room air conditioning ! ! ! ! ! 
 Sep 24 2008 	 awful experience 	 stay bachelor party book pool room Hotels.com . three week check thought would good idea call check right reservation . room mountain view room pay . call Hotels.com fix resolve . call back next day request low floor anywhere 3rd 6th . happily take request say would make note . call several day vacation verify floor request say 11th floor . request low floor claim make note note . arrive Friday receive key three roommate . room two day check 11 am . Saturday stop front desk key fix demagnetize . say room Monday immediately inform wrong booked room Sunday . make note go vacation . Sunday check 10:51 pay room service bill find already pay roommate leave early night return home . Wednesday follow week charge ( hold ) credit card two amount , $ 358.61 $ 195.11 . call hotel several time pass around several hour . make three way call hotel reservation phone credit card company prove make charge hold card . try past four hour get remove credit card company send complaint form . arrive write ' ve try tell last four hour . manuel front desk manager make sure make entire experience difficult unhelpful possible . would recommend anybody stay hotel unless want bill another $ 600 stay . 
 Sep 14 2008 	 Hotel stay like fun 	 read bad review , though would set thing street . reason stayIf younglike party like rock musiclike relax poolpre fair strip not mind walkingreason stayIf wan na hotel stripIf wan na quite Sunday rehab pool party be not like rock music . RoomsSize average comparison hotel Vegas cleanbathroomgood size full size bath clean good supply towel toiletrybeds5 star good night sleep ever , not want leave bed , provide comforter bed . hotelnot big compare major hotel Vegas mean not walk mile room . Staff Seam pleasant enough help full . remember people too . poolone good pool ' ve ever can not swim . faux beach like effect use OC entourage tv set , nice cabana mattress safe , swim black jack . casino fairly standard nothing stick music memorabilia look review slate hotel due circumstantial ( wrong room snot answer phone etc ) event do research location blame hotel . 3 hotel stay year ( include hooter Bellagio ) Vegas far good .if go open mind positive attitude guarantee great experience . and do not forget tip 
 Sep 12 2008 	 always fun Hard Rock 	 always fun Hard Rock , agenda . family destination romantic getaway spot . read bad review put two cent . visit vegas 4 time year fun business , stay place settle nicely Hard Rock , book early week ( mon - thurs ) bargain time , important ... tip front desk bartender great time . need high roller fun ! pool fantastic people watch meet new friend . last time June get upgrade plush suite , bed looked feel like cloud float middle room . since hotel renovation would agree other light sleeper noise could wake annoy also might stay late . 
 Sep 2 2008 	 avoid Hard Rock ruin vacation 	 place ruin Vegas vacation . learn change ownership . use make customer feel important , would not mind spend little . customer service disapeare vocabulary . first make sign something not provide copy . stick room two queen ' ve book room king try make stay till next day move everything . service overprice compare industry standard . phone system outdate 's hard reach bell desk , make mistake make wait around room hour never offer kind apology . trust , avoid place cost , try place care customer . 
 Aug 28 2008 	 like Loud ! ! 	 first , be like casino Vegas . yes short 6 block strip . pool fantastic even 10 year old close guest age . blast . construction little loud . easily roll back . gamble night love dancer loud rock - n - roll . poker room open yet next trip . room great comfortable bed ever sleep own . hotel clean staf great ask extra towel come back later clean . front desk bad day guess . feel love . dealer friendly willing chat even though slow mid week . my big complaint cocktail service grave shift . terrible . watch one girl walk bar never come . least hour , maybe long . finally get hold security guard get drink . even peeve girl come . cocktail waitress , say section would get drink tell girl never come over . the casino round . girl never walk circle . play midnight order drink two' . other one cocktail issue , love place . 
 Aug 27 2008 	 Rocks usual ! ! ! 	 good place summer . great food , great pool scene , fun gambling club hook ! ! ! always travel Vegas buddy summer , always stay . 
 Aug 12 2008 	 hopelessly outdate 	 First - hotel quite distance Strip . look glamorous drive rather unimpressive . there lobby per se - rather play floor shop , cashier desk , registration desk etc . scatter around . music loud play floor ! 90 - ies rock play . there long queue registration desk . the interior hotel rock roll stylize quote song write random place . room old tired . bathroom disaster . standard room view backroad construction site . pool room well view , music Rehab ( pool club type thing ) extremely loud day time . the entire hotel design way make gamble , since not much else there . unless couple rock'n roll buddy , come Vegas bit gambling , would not imagine anybody would stay hotel . basically check next day move Wynn 
 Aug 9 2008 	 early morning loud construction 5:30am ! 	 stay need sleep . they add new wing right next current wing begin construction every morning 5:30am sharp ! several loud backhoe truck drive around , beep back , slam metal , ... get picture . impossible sleep 5:30 , room immune problem . otherwise fine hotel - use hold clothe shower . get sleep due noise . 
 Aug 8 2008 	 5:00 Wake call free 	 First HardRock go major renovation . August 5th - 6th awaken major construction ( be talk Jack hammer welding folk ) 5:00 day . unbelieveable . group travel awaken look tired meeting . hotel little run need renovation . casino small - walk less 2 minute . also - location Hotel beat path - fact walk around outside area little put scary . would stay hotel heart strip next time . 
 Jul 30 2008 	 not recommend highly 	 couple problem Hard Rock . first , construction , ask room affect . receive poolside room . however , night arrive , concert pool hear whole thing room . want go sleep early pool concert night , forget it . secondly , hotel surpisingly strict . re - enter hotel pool shirt . find strange rule come pool . also , make big deal wear wristband times pool . accept show room card . Vegas hotel not rule . also , wristband difficult get ! break remove . Thr sport book small . tv room reason difficult use . find right channel challenge . finally , housekeeping walk room announce enter . good news hotel incredibly close airport . 10 minute easily . nightclub , Body English , posh . 
 Jul 10 2008 	 will wait 2009 try 	 go co - worker Hard Rock Monday July 7th one night stay . think twice stay . third time stay amazed run look . 9th floor could not believe dirty carpet hallway . get room carpet filthy wear . door open pool would shut properly wind blow hard enough would blow door open . would big deal air conditioner work well . room hot night not cool morning . bad bed ever sleep . stay one night would issue . positive note bathroom clean . would recommend hotel anyone construction go . awaken 3 am clang sound steel . ridiculous allow construction night long . I find staff friendly . check - in change room mountain view pool view without ask . check 11 am , head pool room ready 12:30pm . dealer speak nice . eat Pink Taco enjoyable . friend eat 24hr cafe midnight say portion huge food good . I call two week ahead reserve pool Cabana . tell would call back couple hour . hear week initiate call back . willing accept since week 4th July come sure swamp phone call . Cabana way go . due construction North pool open util 12:30 . open Cabana right next pool perfect spot . extra tipping need location ( though imply make reservation ) . cost Cabana $ 500.00 food drink fee ( gratuity include ) . simply state : pay $ 500.00 drank eat deduct . seven guy go balance $ 5.00 without need concerned much eat drank . cabana two couch , plenty towel , television , safe refrigerator . group agree good thing have . I would wait construction do stay . Las Vegas two week trip stay Monte Carlo . right next door hotel huge construction project ( large vegas history think ) stop night . ' m hope new room build Hard Rock give original room attention . 
 Jul 3 2008 	 favor- stay somewhere else ... 	 spend 6 week per year Las Vegas business . ' ve stay many different hotel Hampton inn Mirage Bally 's Palms . past trip , ' ve visit Hard Rock , ' ve always want stay . opportunity arise , jump . 60 - year old mother decide make trip , excited stay there . I can not tell disappointed ' ve experience Hard Rock Hotel . begin immediately upon enter . front desk staff incredibly cold , rude fact . clerk seem annoyed answer one question ( room rate signing ? ) . room ready arrive , thus , someone call inform room ready . guy incredibly snotty toward . floor way treat . talk point almost tear . sit casino bar . waiter rude ( say have comp drink play dollar ... ' ve never hear policy . bad playing dollar ) .We visit 24 - 7 cafe . host finally come wait we none waitress come help we 20 minute . food arrive cold . go hostess stand get check . the day arrive ( monday ) finally able access room , music pool loud rattle everything room . have get early morning want nap long day work . sadly , . construction take place . awoken 5am today sound airhorn , continue every minute two leave 8 am . half pool close , force drunken teenager stay one side pool . literally chair last two day stay , pool basically stand room . clientele hotel another thing ... please note- age 22 mentally old 12 year old , probably will not find place interesting . ' m fun - love 31 year old feel , old place . last night around 230am , awoken girl scream & quot ; IM DRUNK & quot ; top lung right hall . ' ve see way fair share people stumble casino , restaurant , common area hotel . ' ve bump slosh person time count . n e v e r stay long live . 
 Jul 1 2008 	 would stay 	 stay Hard Rock bachelorette party trip . reserve adjoining room . get room adjoining . front desk say face . complain , say well room even next . nice , lie face ? look window room guess hotel expand construction go , loud ! hotel alarm goes test 10 minute . that s great . bed nice room shower big enough . nothing fancy , minimal . casino tiny , expand . party pool Sunday control . definitely party hotel , lot young people top pass hall way . hotel loud , not get construction would got pool view loud day b play loud music pool . would not like stay . want loud party time , stay . nice restaurant like Nobu , Ago , take taxi well hotel dinner , stay . people work front desk slow act like not really care . positive well service nice , negative really weigh positive hotel . 
 Jun 30 2008 	 people self - respect . 	 horrendous service ' taxi ride ' exile away main Vegas strip , be wonder Hard Rock not already collapse weight 's pretentiousness . hard figure bad : hotel staff , barely see customer length nose , hotel 's typical , [ -- ] clientele , redeem value trade another pair booty short . ' m pretty sure single room character rest hotel . like every good vacation , Hard Rock truly test patience . ' m ever torture information send concentration camp , will always Hard Rock glimmer hope , since will always know least one bad place could . ' ve experience Hard Rock , thing improve there . at first glance , facility appear satisfactory , hard get clear interpretation since everything drape haze self - importance . like another planet , world issue like occupation Iraq , rise energy price , global warming slump economy not exist . customer Hard Rock , issue probably not . long next shot way pant retain pleat , give crap people starve death price corn ? ' ve never experience entire community people care stuff not matter . even simple positive personal trait , like manner , nonexistent . call someone value ' good time ' well - be people ? evil . be evil , will love Hard Rock . if want see exactly wrong world , visit Hard Rock . 
 Jun 28 2008 	 would return Hard Rock 	 stay Hard Rock four night June 2008 . husband Vegas trade show / conference work choice hotel . company business choose book large block room . husband would like return Vegas non - work relate trip sometime , , stay Hard Rock . the big issue construction . begin exactly 6 am , sleep . vend ice machine floor work whole trip , notify staff couple time , nothing do . housekeeping barge room without even knock ( allow coworker put luggage room hour get room ready , maid see someone luggage leave room , assume someone check walk right ) . also like stay strip . may issue , end make 3 trip strip per day cab @ $ 20 round trip . $ 60 per day cab fare . finally , pool bit intimidate 30 . ' m 31 fairly good shape , quite Hard Rock scene . also would allow bring water bottle ( purchase hotel ) pool . sit 110 degree heat sun without access water , especially already bit dehydrated night . not really spend much time pool . eat restaurant room service twice lunch service food fine . 
 Jun 17 2008 	 Fun 10 minute 	 Prior arrival , excited stay Hard Rock . feel excitement turn frustration soon walk door . front desk staff surly good . find room bit small Vegas standard . decor room , casino , common area tired outdated . basically exact thing would find Hard Rock Cafe NYC . pool cool looking , drunk kill . place fill young 20 something do not understand people do not go Vegas frat party . beer can float pool , belligerent drunken guy sloppy drunken girl rule pool scene . eat AJ 's Steakhouse one night , find quite average compare steakhouse Vegas . food Lucky 's decent 24 hour joint , eat meal actually . , Hard Rock cool concept , poorly execute . need market place suitable Vegas crowd ie : young professional oppose college kid . 
