Great 	 take girlfriend Chicago surprise anniversary present weekend Thanksgiving . unfamiliar Chicago , know want stay near museum Millenium Park . value travel website , find rate Hotel Blake less half advertised rate sell . review say 3 - 4 star , really not sure expect . when show , pleasantly surprised . 's good neighborhood , minute walk Michigan avenue . check late , desk staff courteous helpful , though unpack carry bag . Valet - parking available hotel , half price parking available literally street hotel . make room 9th floor , amazed room . large room , magnificent bed , good decoration , huge bathroom . train traffic noise 9th story , get excellent sleep comfortable mattress . free wifi , excellent soap , shampoo , body wash , etc ... even sew kit . room definitely deserve four star , minor quibble little mold shower stall otherwise impeccable bathroom . never really try tv , room clock connect ipod , think neat . the free breakfast great unexpected , recommend get early ran donut danish well post closing time . service uniformly cordial helpful , recommend good restaurant nearby attraction . ( awesome , get early ) . picture Chicago post Hotel Blake website representative actual view hotel , google map let know expect vicinity . overall , heartily recommend Hotel Blake probably stay get rate . 
 Sep 22 2008 	 Nice Place stay 	 read many review hotel book little skeptical . however , stay four night , pleased choice . hotel staff always courteous attentive . doorman hilarious helpful . hotel nice . not issue room . service everyday fresh towel straighten bit . downside slight smell dampness hallway , not reflect room . besides , reasonably price hotel still decent location need get morning . 
 Sep 14 2008 	 get pay 	 money , decent hotel . location great , staff helpful enough get . place definitely need upgrading cleaning , , money , would stay next time ' m Chicago . 
 Aug 22 2008 	 not Trust Place Credit Card Number 	 avoid place cost . my organization book 20 room Blake upcoming event nearby . need make change reservation , find reservation line go unanswered , response email slow . finally visit surprisingly dumpy Blake person find chaos angry customer front desk . handwritten note General Manager please call ASAP never answer . cancel room week ahead time . blake send email confirm cancellation promise none we would charge . despite promise , Blake charge credit card one night 's stay one colleague . blake respond fax , email , letter phone call , eventually credit card company persuade Blake reverse charge . four month later , however , colleague still fight $ 179 charge reverse . one Blake respond way . two we ' ve spend dozen hour try reverse charge never impose first place . incredibly bad customer service , incredibly frustrating experience . 
 Aug 19 2008 	 South Loop 's nice starting point ! ! ! 	 not let folk bring hope . hotel wonderful staff , although professionnally train college hotel clerk , truly nice helpful ( ask Chris double check reservation tell L.A. Montreal refer ) . hotel locate South Loop anyone two - three day see Chicago mind walk go anywhere hotel guess ? sightseeing tour pick . previously write former guest , room beautiful nearby accomodation serve breakfast , lunch late dinner ( check Bar Louie southwest Dearborn Potbelly next door , even Hackberry ( right spelling , anyone ? ) . opinion , hotel everything want want , see thing . real passionate curious - as - heck tourist ( hate use word ... ) stay minimum time room see much possible , imply eat outside hotel . walk , love . honestly , complaint much do / see little time sleep 3 hour per night ( difficult bed comfy ) . therefore , Blake nothing critisize .... although swimming pool white - bikini - throbbing chick feed spoonful chocolate pudding . ; ) 
 Aug 4 2008 	 wow pay much ? 	 pro : area town not bad . good shoe walk anything would like restaurant - wise . 's possible walk Lake Navy Pier , would bit hike . restaurant immediate area not picky not want walk far be set . room ( # 524 ) end 2 huge window one face north , face east , give we nice view area , include Sears Tower . window also blackout drape mean nicely darken room time bed . room large bathroom double sink really nice ( rain - like ) showerhead . complimentary bathroom supply Bath Body work , nice smell . plenty towel 2 people , bath robe . Plasma tv lowend , decent Vizio ( WalMart ) brand , work ok watch cable HBO . chair comfortable , bed comfortable . tall 12 ' ft ( think ) ceiling make room seem big . lastly free wireless internet throughout hotel additional cost . con : price . probably fault , book last minute , pay webprice ( $ 350 + tax ) room . price might worth not follow . room door fall apart hard open close stick jamb . a / c pain control , seem 2 setting , freeze . room 2 window make city noise come right room . sleep anything did't bother , light sleeper beware . toilet not flush right hold handle . bathrobe finally come 2nd call . doorman make Omaha Nebraska guy like feel little uncomfortable . seem nice , little shiesty . inform we could park car garage $ 39 per night , could put meter $ 10 . opt meter , mean car would stay put , risk lose meter . mean walk anywhere go night . ' m sure $ 10 though , think meter free certian hour Saturday . think profit one directly . fridge ? price ? staff not seem bright , fortunately not really require , not really need anything , except change 5 . checkout forgot give room key - card back . either not want , not bright enough remember ask . lastly , get floor , smell like dirty laundry , housekeeping bag dirty linen floor , one room room service tray outside hallway not pick , come back dinner smell go part , room service tray still , 2 3 hour later . stuff : coffee pot coffee drinker . 's locate bathroom , think weird , whatever . hair blowdryer need one . phone bathroom next toilet , guess case emergency require phone call , call downstairs . never go ice , think 1 ice machine whole place , plan . tell health club , not check . restaurant , check menu online figure not spend much little nibble . want catch cab think doorman put life line get one . EL Train Subway stop within walking distance , be true part town . Staff seem little snobbish , not rude . not see many elevator , fact , see 2 . work ok , come checkout time get stuff . 5th floor , time elevator get barely enough room squeeze , elevator proceed stop 4 3 pick people , could not fit . imagine not lucky , have wait awhile , take stair . stairwell dirty way . conclusion : might stay get really good price , mostly likely would try find something else . ok , not think worth price . hotel seem tether edge pretty nice , really bad . 
 Jul 23 2008 	 Great Hotel Loop 	 second time stay hotel . First February 2008 , close EL . service excellent , room modern , clean comfortable , decide spend another weekend July nephew 3 bike . assistance receive store bike make available whenever need , exceed hope . nearby parking also convenient . arrive ahead check time , luggage store room ready , stored check , return Lakeshore bike trip . hotel staff recommendable every aspect . thank great stay . 
 Jul 7 2008 	 MISS 	 noisy hotel corner Dearborn Congress , two major street lot bus ground metro one block away . double pain window cut noise . city love noise , hotel . the room beautiful bed comfortable . 's plus . upgrade corner room # 524 . beautiful view . comment noise say could sleep well , say room suite . keep room . trust , be noisy , throughout night . no morning newspaper . twice daily maid service . bottled water . use Hyatt , claim boutique hotel not even get basic hotel service . people stay restaurant , Custom House , quit serve breakfast not enough business . want ice , will go 12th floor find ice machine . hallway carpet , least floor five stain several place need deep cleaning . this hotel mile Sears Tower mile Art Institute Chicago . go Wrigley Field happen catch Cubs game . otherwise , nothing close hotel . 's far south end loop boy boo - boo pick hotel be near anything . well , Chicago library block away city jail ! look hotel Miracle Mile area tourist activity take place , hotel choose . the hotel advertise concierge , really front desk , helpful try , train concierge . wireless service work lobby , though work room . reason stay rock bottom hotel rate find discount website . also starbuck corner Orange , breakfast restaurant around corner . , would never stay . room great nothing else go , unless absolutely appointment area , far well hotel far well service Chicago .... similar price . think MISS little miss BIG MISS . 
 Jul 4 2008 	 great memory Hotel Blake 	 dear boyfriend stay Hotel Blake June 27 - June 29 , 2008 want hotel not another & quot ; chain & quot ; . book weekend stay Expedia.com check breeze . room prepay need signature credit card put file incidental . we assign King Classic room 6th floor ... clean room , beautiful bed bed , large bathroom large shower , great free tioletrie Bath Body work . however , great view . actually , view , side brick building , expect seeing not splurge suite city Chicago ! not take advantage restaurant walk city quite bit . eat Hackneys burger block . easy access el , many restaurant ... starbuck , Potbelly , edwardo , small little italian resurant 7 - 11 block . I encounter one small problem return stay . check tell incidental , however next day credit card file charge $ 100.00 . call speak front desk inform take credit card file & quot ; automatically & quot ; set aside $ 50.00 per day use , reimburse . fact reimburse next day , however would nice know front . overall , lovely cozy , CLEAN stay Hotel Blake great location would definetly recommend stay ! 
 Jun 5 2008 	 one good ! 	 LOVED hotel - get newly renovate room corner , look towards lake , think everything want . I would stay heartbeat . my confernece CHicago Hilton , nice 10 - minute walk . great restaurant cute book shop Printer 's row , . convenient bus . 
 may 24 2008 	 Great Place Stay ! 	 get reasonable price Hotel Blake via Hotels.ca normally expensive city . hotel easy find , far Lasalle station south end Loop . several El train stop nearby bus across road , be great location tourist site Chicago . Potbelly 's Starbucks step away . downside traffic noise night , hard avoid big , busy city . Dearborn relatively quiet street , Chicago driver use horn lot . climate system provide enough white noise allow good night sleep . build old heritage building , nicely update inside . check - in easy , computer access handy lobby staff friendly time . walk one short flight stair elevator , 's problem really struggle subway step Chicago . room large , nicely furnish big comfortable bed . bathroom huge , two sink , nicely tile rain - type shower head . room comfortable provide welcome place mid - day break . Hotel Blake one nice hotel ' ve stay would recommend anyone look quality reasonable price . 
 May 23 2008 	 Inconsistent 	 mixed experience Hotel Blake . good stuff : - large room comfortable bed nice bathroom / shower- good location , walkable loop , lake many train stops- Staff responsive room change request , fax service hold baggagebad stuff : - Wifi barely work , even switch room get well reception . semi - business trip appreciate head hallway check email- fridge room- odd beep hallway , accord front desk , normal could not stop . bothersome , strange . I get great deal place would not pay full price . 
 May 12 2008 	 terrible experience 	 hotel look nice , service HORRIBLE barely sleep - bed look nice uncomfortable , noisy , wall must thin , could hear everything outside- get little sleep ! .. weird thing , elevator do not go every floor , get floor , carry luggage stair .... , cold shower ( call downstairs tell hot water , said & quot ; engineer 9 , will call & quot ; -- - work , not help ) , blow dryer not work , not come new one long time , leave work cold , wet head . also , one employee literally yell credit card & quot ; issue & quot ; actually end issue . 
 May 8 2008 	 Good Hotel . far public transportation . 	 wife spend one night Blake . park near Union Station use public transportation reach hotel ( el stop one block away hotel ) . hotel nice , location fantastic tourist accessibility . staff nice accommodating . room quite large comfortable . able utilize public transportation get magnificent mile . since public transportation extensive Chicago , location problem . look business hotel , would defiantly stay Blake . 
 Apr 28 2008 	 Best Place Fall love 	 thing Hotel Blake . . . building - hotel . memorable beyond word . it be hip decor , marble floor , 's doorman dance street umbrella rain - way walk Harold 's Chicken Shack -because be go anyway . squishy blanket , rainforest shower , bed perfect fall love . way even though guy desk tell put room card near cell phone , still replace THIRD time mess - laugh . fact leave love life train station , come back hotel , tear eye , bell man put arm around , say & quot ; really love not & quot ; tell ok . maybe minute . 
 Apr 15 2008 	 amazing time Hotel Blake 	 wife decide take pre - christmas trip Chicago find hotel absolutely love ! ! ! fantastic trip Windy City stay centrally locate hotel . hotel elegant great service . location could not beat . short cab bus ride . get hop blue line O'Hare 45 min get block hotel . check room see pizza place across street do not know well way start trip deep dish pizza . place Edwardo 's Natural Pizza amazing . we walk distance Grant Park . get walk Sears Tower famous Lou Mitchell 's . love hotel definitely back ! 
 Apr 5 2008 	 Best Beds Town ! 	 stay Chicago weekly find Blake base great rate . bed great shower make stay . must eat Potbelly 's next door - also starbuck across street awesome breakfast Orange around corner . step away everything well yet - money leave pocket leave . oh yeah - free internet 
 Mar 26 2008 	 Good Times room 306 . 	 past negative review site reflective experience room # 306 Hotel Blake . mixed review lead believe room condition vary . positive Points:1 . price - pay $ 101 / night Canadian . get package deal well - know travel web site . stay hotel March break ( week March 10th , 2008 ) . 2 . Size - could not believe size room ! king size bed , nice bay window bench / seat ( bench end bed ) , enough space open luggage , super - sized washroom . jump jack bathroom ! two sink , large shower stall . 3 . style - refreshing botique style hotel - give charm character , something not get cookie - cutter chain hotel . take look picture . 4 . location - everything within walking distance . yes , locate southern part Loop , take we long walk one end town ( e.g . hotel John Hancock tower ) . also close couple transit stop . take El train Midway airport , get Library transit stop , walk half block hotel . negative Points:1 . internet working - well advertised hotel free internet terminal available guest . therefore make conscious decision bring heavy laptop wireless internet . well , hotel internet terminal order entire stay . annoy enough voice discontent couple time . response , let we use staff computer behind front desk . bravo ! 2 . ridiculous phone charge - list service room lead believe charge out - go call place call card . well , check get bill $ 20 call , learn otherwise . however , ' voice discontent ' ( include reminder ' need place call internet ' week ) drop charge . commend hotel staff turn two negative point positive . hotel tip tid - bit : · get Bath & amp ; body work goody bathroom ( see pic ) , replenish . · towel replace everyday , unlike review . · deep - dish pizza place across street , Edwardo ' , really good . starbuck ' across street handy . · exercise room 2nd floor great panoramic urban view . · internet ' work stay hotel , go beautiful library next block free internet many terminal . 
 Mar 26 2008 	 bad hotel ' ve stay Chicago ! 	 stay year ago , want warn TA member place . ' m sure thing get well , not want risk finding . would never stay ! although hotel brand new good location , service terrible ! ' ve know check . woman upset take shower hotel guest walk . well , turn check - in desk give key room think empty . eek ! turn . book room confirm double bed ( four people ) show apparently give double - bed room away run rolller bed . alternate sleeping floor . offer we compensation except charge we roller bed finally able get one ! 4 - star hotel service sure ! valet additional price ( expensive , 's norm Chicago ) . however , take least 20 minute get car time ! third time need car , learn call least 20 minute advance want leave . in conclusion , terrible experience staff apologetic express concern . 
 Mar 23 2008 	 Good Stay 	 admit prior trip husband , quite bit research find good hotel . read review TA skeptical Hotel Blake . lucky one day find great deal 5 night airfare . think give chance hope room would come good . we arrive hotel around noon tell room would not available another ; fine considering check 3 pm . courteous pleasant . , go around town come back around 5pm . we give key without question / problem . soon get room , imagine room little big . , nice clean . not anything miss , knob place toilet paper holder . thing find weird shower ! exactly warm outside , think strange not curtain enough glass encase 2 people . maybe ' m use old fashioned shower . like rain shower anymore ! bellhop extremely helpful , polite , memorable . we always hail cab . housekeeper always hall every morning leave . guess people lucky other . would stay . 
 Mar 10 2008 	 Hotel Blake - Excellent Stay 	 stay Hotel Blake 3 day recently quite impressed . many previous review leave we bit skeptical prior stay , price receive quite good ( $ 109 / night ) area , decide try . location excellent , close destination loop area ( Chicago Art Institute , example ) . fact , El stop block away , also easy access public transportation . neighborhood also seem safe although , sandwich shop , pizza parlor , Starbucks block , note bit difficult find many restaurant open Loop night , give really Financial District many establishment seem close around 5 pm . , however , proximity El train close , relatively easy travel neighborhood dinner evening . as hotel , lobby upon entry tastefully decorate minimalist / modern decor . check - in procedure smooth front desk personnel helpful friendly . room huge also well - design nicely appoint king bed , pull - out sofa , two armchair , large desk , wonderfully large bathroom glass shower . incidentally , friend stay Hilton block away room twice price half size ! also worth note clean staff also good arrive promptly every morning change linen . general , would highly recommend hotel business personal travel , particularly prefer quieter , non - high maintenance retreat . find peaceful Hotel Blake around pleased stay . would definitely consider return future visit Chicago ! 
 Feb 13 2008 	 strange hotel 	 stay Hotel Blake New Years ' Eve partner , hotel lot great features- room big , bathroom large , free wi - fi . hotel also really great area . 's short cab ride West Loop , step Theater District . but lot thing conspicuosly absent - mirror main room , bathroom outlet work . bathroom also miss towel bar toilet paper holder . ' m sure hotel new management , combination great feature conspicuously absent item even Motel 6 would kind strange ! 
 Jan 12 2008 	 good great 	 Hotel Blake appear charming yet contemporary see photo online . indeed Chicago charm . room , accented red , contemporary large . decor great not feel like hotel room . bed ( king ) comfortable . bathroom huge rainshower head ! staff also friendly . boyfriend buy bottle wine evening fail remember mean open . nice send someone room cork we along couple wine glass . also arrive hour check time able check early . on hand , consider price ( $ 150 / night ) lot little weird negative hotel . kind sleepy street . room service menu pretty meek . ice machine 12th floor ( 7th ) . toliet paper holder ... look like broken . mini - fridge ( put bottle water tea bring everywhere we ) desk ( business trip friendly ) .Overall , good great . pay bit less probably would little less critical hotel . 
 Jan 2 2008 	 lot potential bad upkeep maintenance stink 	 be frequent visitor Chicago curious try hotel . get great winter rate ( $ 99 / night ) . check evening staff pleasant , cheerful competent . throw bag room quick go meet friend 's new baby . room nicely decorate modern style big expect , plush furniture nice window treatment . sadly not notice three large chunk peel paint hang shower ceiling mildew stain shower floor . mildew could live , big ( 6 inch ) piece paint barely attach ceiling really grossed . not notice right bed , think would ignore let know morning check since seem nice check . check tell woman behind desk not care . not apologize state bathroom laugh . wish take picture , disgusting . bad , hotel lot potential . 
 Dec 20 2007 	 Beats Hilton ! ! ! 	 hotel simply awesome ! first arrive , small wait people ahead check . downside place desk clerk always answer phone trying help people check . lobby awesome modern mood . computer lobby internet incase not laptop you . the room ( 216 ) wonderful ! nice street / city life huge window look people watch . room lift ceiling make room much big . bed amazingly comfortable furniture room give great feel . bathroom also huge spacious . waterfall type shower head make leave bathroom hard leave soft , warm bed ! also great little eatery right next door call & quot ; Potbellys & quot ; serve sandwich soup etc . even though desk clerk often phone , make everytime left go would always ask would give we great advice tip go look ! kind helpful ... phone course ! stay two night go stay Hilton night , turn bust . sure Hilton fancy lobby look like something movie , room junior suite bust . small like holiday inn red roof room could find along highway . would strongly recommend Hotel Blake Chicago return Spring / Summer stay ! 
 Dec 3 2007 	 beware ! problem ! 	 Google & quot ; Nicky & quot ; ( Nicky Hilton ) read Hotel Blake many bad review TA lately . stay part wedding group block 30 room , many group stay Blake previously due proximity bride groom 's place . , one much good say hotel except room spacious . room , fact , quite spacious . be dispute . be also much disrepair . two tp roll holder bathroom pull wall lay counter . knob TV armoir also loose , tv big cathode tube thing circa 1998 20 channel HBO . add not dresser room ; though tv , mini - bar drawer * could * , big empty cavern . room different , though see one room dresser . definitely mini - bar . four day , room make twice never receive fresh towel , despite call repeatedly . call ask hanger due lack dresser drawer , fortunately get . Wifi available , plus , not always work . need help , number call , inform not support Blake anymore . hunt ethernet cable randomly find unplugged Wifi router nightstand . invite other come soak Wifi . many people note breakfast offer . huge confusion . restaurant lobby , Custom House , affiliated hotel , yet 's sign elevator say get breakfast . Custom House not even open breakfast ! anyway , guess structure change Ms. Hilton purchase place thing still not address . convention town get donut coffee folk second floor . despite 30 room , breakfast , ' m guess one convention folk set . hear many people ask front desk breakfast tell go starbuck across street , hilarious , give Orange around corner awesome . even overhear one guy say book Expedia specifically say & quot ; breakfast include & quot ; , point desk clerk get pissy say Expedia wrong . note front desk staff stress thing crazy management simply seem avoid problem . frustrating thing front desk , however , not answer phone ! fact , seem avoid phone altogether . many people compare note call inside outside place see could get someone ! like say though , managed get someone phone give hanger actually show . upshot bell man nice attentive , let us face , work tip . downer not hotel umbrella . 's rain Chicago , ai not get , prepare go buy one catch cold . sum : nice property good location rapidly fall apart due owner neglect . amount money charge , well . 's shame . 
 Nov 26 2007 	 stay away 	 stay hotel find reasonable internet rate suppose quality hotel , location great mt personal 5 day discovery tour Chicago . unfortunately overwhelming problem stay , check 2 night find another hotel . major issue bathroom , may partially design handicapped accessable use new concept & quot ; wet & quot ; room . anyways marble ( synthetic ? ) lip around shower area . drain shower area well middle room , think water suppose drain shower area . instead spread accross floor drain step shower area , immediately slip fall butt . when contact Front Desk concern fall understanding problem . eventually send housekeeper thought would get help clean , could speak English appear mad water bathroom floor . finally grab bunch towel cart mop mess . later ask drain clear shower mat place room , one seem know problem . next day go hallway grab extra towel one housekeeping cart nice soggy floorcovere slippery somewhat safe , still unpleasant .. force go outside hotel , cool grey morning , grab breakfast local unfriendly diner hotel breakfast spite poster elevator . realize come back hotel , lobby marble bath , strike possibilty rain later day , could probably slip fall , floor quite uneven . prospect another scary shower scavage towel , well think go bad weather even get cup coffee , lead check immediately . end Chicago Hilton , also reasonable rate , functional bathroom well food ! fact location even ideal quite impressed great service , well great quality room . 
 Nov 12 2007 	 not even Bother ! 	 bad hotel ever stay entire life . I trip friend work Chicago 's WONDERFUL St. Patrick 's day festivie . however , Hotel Blake put major damper one good time Chicago . note : call morning day check inform hotel would arrive late . however , one co - worker confirmation number assure we problem . wrong ! group 4 man 3 woman book enough room accomidate . arrive hotel approximately 11:00pm , informed ROOMS AVAILABLE . disbelief could even happen ! tell woman help we speak , say already leave day . say least furious ! 1 hour complaining hand we 2 key card . end 2 room one king SIZED BED ! ! ! offer move we different room available , make we simply & quot ; make due & quot ; give we , lose money . refund question . room accomidate we , hall MASSIVE water pool ( perhaps bathtub leakage ) . water remain 3 night stay . nobody ever come clean , housekeeping attendance mearly & quot ; work around it . & quot ; rude we check , literally throw paper receipt we . say nothing inconvenience we , apology make , discount give . I find 2 good thing hotel:1 . decor pretty2 . 's Starbucks corner ( could hotel Chicago ! ! ! ) SIDE note : personally , family stickler thing AAA recommend -- hotel ! never stay HOTEL ! ! ! 
 Nov 12 2007 	 Disappointed Blake 	 normally stay specific business hotel Chicago , , due convention town , choice Blake ( $ 450 / night ! ) .For price , expection meet . problem encounter incuded:1 . grime window frame discover ( hand ) shut window leave open . area room ( e.g. , closet ) also clean . 2 . wireless internet connection work . call & quot ; 877 & quot ; number tech support indicate , tell tech support service long service contract hotel . use ethernet connection modem , nightstand - desk ! 3 . sign elevator note breakfast serve restaurant associated hotel , , fact , open breakfast.4 . room second floor overlook alley behind hotel . garbage service delivery late night early morning quite noisy.5 . property open year , appearre general maintenance issue . example , curtain hanger loose ; base molding break crown molding separated.6 . check , ask check - out statement . tell , since incidental charge ( room book pay hotels.com ) , statement available . base upon issue note , Blake near bottom , list , choice hotel Chicago . 
 Nov 3 2007 	 Classy . convenient . courteous 	 Hotel Blake provide beautiful , classy cozy base 3day , inaugural visit Chicago . initially , reserve room hotel close Midway airport decide switch Blake convenient position Chicago 's Loop . able take Orange Line El train Midway LaSalle station 2 block hotel ! affordable airport transfer ( $ 2.00 ) .Staying blake wise decision . room absolutely immaculate . bed arguably comfortable ' ve experience travel . concierge knowledgable friendly . companion able walk restaurant site itinerary include : Shedd Aquarium , Chicago Institute , Sears Tower , Berghoff restaurant , Lake Michigan waterfront , Millenium Park , Magnificent Mile Navy Pier . I would recommend hotel anyone look posh atmosphere , convenient location safe neighborhood . 
 Nov 3 2007 	 bad experience - do not fool pretty picture ! 	 save agony ! Hotel Blake Chicago look like upscale modern hotel up - to - date styling amenity traveler could want . planning trip Chicago not step one foot near disheveled mess . soon walk elevator problem ; smell unidentified object linger throughout hallway three day . room miss light bulb ( still yet receive ) poor toilet paper dispenser look rip wall sound jack hammer come vent . make matter bad one answer phone ! complain several people ( finally answer ) manager yet rectify situation let alone call back . oh great restaurant pop first page also not exist . guess 's show . spend extra money go & quot ; W & quot ; - will money well spend . see place RUN fast ! 
 Oct 26 2007 	 lovely hotel 	 stay Hotel Blake 4 night fantastic time , staff really friendly helpful , room immaculate bed , comfy ! aware street noise ( mention previous review ) hotel great location . would recommend hotel one ! 
 Oct 19 2007 	 Beware Blake ! 	 Seven we arrive Blake three day stay . even though confirm reservation three day prior stay arrive would give we room . indicate overbooke thirty people ! hotel want send we next landfill ! claim 20min downtown Chicago .. maybe 20 min without traffic consideration ! hotel manager would come office talk we .. return call travel agent . promise room two day later not . wait tell we everyone else come day also go refuse room ... ten minute later man come register . question , tell difficult explain .. ' ve travel job 20 year .. ' ve never inconvenience . 
 Oct 18 2007 	 Unique Hotel Good Location 	 find hotel look 6 room attend conference . little late booking , still favorable rate . pleased service hotel accomodate special package arrive special room request without hesitation . within walking distance everything want see Chicago 's easy get L. complaint room need second light side bed alarm clock . little dark work night hall light one bed side light . would definitely stay . 
 Oct 14 2007 	 Hotel Blake decline boutique hotel 	 Outside Hotel Blake sign say historic building . mean historic ventilation system . one first Hyatt hotel , show . also may sale condo conversion , result , thing fix attend to . their website proclaim boutique hotel , really hotel little Crowne Plaza . free wireless , desk room phone . mattress good , towel thread bare . want bathrobe , call ask . sink not stopper . shower bathtub door . room smell smoke even though hotel supposedly non - smoking . 3 night stay , towel wastebasket fitness center replace / empty . door lightweight , people hallway hear conversation room . bathroom noise carry bathroom wall . the first room give claustrophobic , maybe 200 sq ft enough room queen bed desk . complain , give room ( 513 ) double size smoke smell wall . room try small window , little natural light . frig , ice 12th floor . Windows single pane , street noise come loud clear , early every morning . fitness center equipment break old . but back ventilation system ... heat cold air come central system . room thermostat turn fan bring air room . central system run air conditioning , 's room get . and day get , say hotel restaurant long serve breakfast , lunch dinner . so describe boutique hotel ? think ... 
 Oct 13 2007 	 delightful hotel downtown Chicago 	 stay hotel friend , early October 2007 . hotel special offer ( 5th night free ) make easy choice , compare hotel similar price quality . 3.5 star underrated opinion , hotel nearly everything 5 star hotel well . only downside breakfast - none . enough place breakfast around corner . location good , bit south centre still downtown . 2 subway station nearby . if special rate , could maybe find price / quality hotel within loop magnificent mile trip , could not wish anything well . 
 Oct 11 2007 	 steal money not follow 	 four 30 - something girl travel Chicago concert stay location . thing fine stop gas way home . pool gas money put extra console . valet car enjoy concert . next day , halfway home , stop gas . money go . we leave - forgot . around $ 50 . immediately call hotel , speak Valet Manager . say would see work previous night , investigate get back . course never call go unreturned . we will back . hotel fine . complaint . 
 Oct 5 2007 	 Comfortable Stay 	 comfortable stay . arrive late room wait . unfortunately , room door remove bathroom next elevator lobby reason hotel overly loud almost rap - like music play elevator lobby 24 - hour day . could hear room even though 1:00 a.m. , thought would keep awake . call desk gentleman check problem move another large available room problem . actually prefer first room , though instead two bed nice comfy chair . second room miss toilet paper dispenser . view first room nearby landmark library second Sears Tower . bathroom large rain showerhead . bed extremely comfortable . stain duvet resemble blood . mention housekeeper replace clean room . 100 degree hotel 's AC work fine . one thing would suggest improve room would add mini - frig . location hotel good . trouble walk attraction want see , definitely center downtown area . 
 Sep 28 2007 	 horrible experience 	 book 3 night Hotel Blake friend Expedia website . charge credit card . however three day friend leave Hotel Blake , find credit card also charge amount . nobody contact mistake cost around extra $ 600 usd . friend go Hotel Blake receiption explanation , staff soooo rude impatient . name Chris . make mistake even tease we say : wow , really need $ 600 dollar , poor ! get really angry . I try talk Hotel Blake 's manager , helpless . ask deal Chris mistake . friend really really disappointed . never book Hotel Blake ! wish traveler careful bill check ! ! 
 Sep 22 2007 	 Hotel Blake -- painful experience 	 book 2 month advance , reconfirm two day stay -- get hotel tell overbooke 30 + people ! travel group six other convention downtown Chicago area , tell going send another hotel 30min outside downtown . city three day convention , two day overbooke Hotel Blake -- unprofessional hotel experience ever experience . 
 Sep 15 2007 	 could great be not yet 	 high expection Blake - meet - room decor stylish , attractive , comfortable - definitely well average like nabe , disappointing lapse . seem Blake trying deliver amenity upscale chain also provide individual flavor . attractive individual flavor comfort annoying issue maintenance staff training , guess might dealt chain hotel . I m think broken AC fan , make noise like jet - call desk figure turn , leaky faucet bathroom leave pool water lovely stone vanity , veneer damage repair attractive furniture miss pull son 's room , towell replenish , WIFI room , staff , taste , inappropriately informal behavior . other might like last . hope Blake able address . 
 Sep 14 2007 	 great location ... pleasant stay ! 	 husband go Chicago Labor Day weekend . love music architecture want go long time . many hotel try book downtown super expensive . run across Hotel Blake Priceline call hotel book room . list price website 499.00 night w/ AAA rate 151.00 night . hook ! look photo hotel not justice . boutique hotel modern chic . wood dark stain wood throughout hotel lobby gorgeous . check around 3 pm help nice informative . check take little extra time stay one night , reserve two night . show reservation confirmation fix ( another reason always print ) . go room happy . beautiful modern w/ tall ceiling . bathroom bite small . shower curtain .. small piece glass decorate like many foreign hotel . bed super soft nice ! high thread sheet count feather comforter pillow . happy , especially location right near Loop . would definitely stay price range everything great ! 
 Sep 6 2007 	 chic comfortable ! 	 co - worker stay Blake 2 night attend class downtown . really enjoy stay Blake . room nice size downtown hotel , bathroom huge ! bed high thread count sheet comfy duvet , room modern , chic decor . not use workout room , look clean , lot new equipment . 
 Aug 27 2007 	 extremely pleasant stay 	 spend weekend Blake go back . get Chicago morning since room available , get check several hour normal time . room first floor face front ( Dearborn ) . noise street enough bother we . fact , nice look window see activity street . everything room work perfectly room clean . personnel helpful courteous . eat Custom House fairly expensive , far restaurant not miss Orange around corner breakfast lunch . since small hotel , also feel safe secure enjoy stay somewhere besides Magnificent Mile , yet close everything . certainly back Hotel Blake . 
 Aug 21 2007 	 good experience Blake 	 spend two night Blake . employee nice room great . ( 11th floor ... face Dearborn St. ) also like location . friend stay Hilton Michigan Avenue five - minute walk . it also easy walk Loop , lot cool place eat . this good price find weekend Chicago ( Sat / Sun night ) . tv room not work . call front desk say engineering dept . go home night cheerfully deduct money nightly rate night . quite impressed . tv fix next day . I think negative review hotel 's website make sound like room high ceiling amenity . think 's suite . sloppy wording hotel 's part . the issue room would small bit musty walk , smell would go away . think humidity bathroom since not seem fan dissipate steam . also , would nice one computer business center , even think people use happy give see other wait it . for right price great place stay . be also across main Chicago library , close subway Michigan Avenue . 
 Aug 15 2007 	 Excellent service amenity 	 stay wedding reception . excellent service amenity . highly recommend . mattress wonderful . 
 Aug 13 2007 	 will back 	 Location great , son live around corner ! nice little neighborhood area , lot pub , restaurant , theatre district nearby . bit concerned reading review , initial reception not friendly , wait 30 minute valet parking . could not seem get anyone 's attention leave car . adter , nice experience stay . concierge super , room lovely well - appoint . complaint room feather pillows- not like , ask firm pillow , maid bring puffly pillow . bring like firm one ! bed firm , super comfortable . cool - lloke lobby , friendly staff , good value price . will stay sure . 
 Aug 1 2007 	 Best Hotel ever stay ! 	 Hotel Blake favorite hotel ! good stay ever ! great service ! definitely check Custom House Restaurant ( inside Blake ) come back Chicago . hear several award one top restaurant city . enjoy ! 
