` 	 past week stay Sutton Place Hotel downtown Chicago . attend medical conference location hotel , within walk distance & quot ; Miracle Mile & quot ; , downtown Lakeshore make perfect location . & quot ; stay many Chicago 's fine hotel , many typically price well level Sutton Place Hotel . never stay fine hotel Chicago . comparison , medical conference hold & quot ; Five Star & quot ; hotel , five minute walk distance Sutton Place . several room & quot ; Five Star & quot ; hotel guest fellow physician . fact stay & quot ; Five Star & quot ; hotel several time past , yet without question Sutton Place Hotel finer , opinion , respect . Sutton Place Hotel 's price one quarter & quot ; Five Star & quot ; hotel . place Penthouse Suite Sutton Place , perfect view , room spotless . room service attach restaurant / bar excellent . hotel offer business center guest able use internet free , allow leave laptop home . valet parking rate , hotel validation , good deal . would HIGHLY recommend Chicago traveler , business pleasure stay Sutton Place Hotel . 
 Jul 12 2008 	 Great Location Friendly staff whole good hotel 	 little worried read recent negative review Sutton Place , recommend friend decide change booking . arrive Chicago early morning , get hotel way check time , expect need leave bag come back , staff extremely helpful , know come London flight find room check straight away . room look little tired ( still bit stick 90 's guess ) nevertheless extremely clean , bed comfortable sleep year ! addition CD / dvd player useful feature , make chnage tv background . feel safe area ( lone female traveller ) hotel short walk Clark / Division Red Line station . also perfectly place rush street buzzy nightlife ( although can not hear room ) 5 minute walk Oak Street beach Michigan Avenue . nice part town . pound street Chicago daily basis , take opportunity order room service couple time . food level service great . also road original pancake house - miss breakfast ! worth queue one great corn beef hash ! fantastic stay , would stay Sutton Place ! 
 may 27 2008 	 Ask see room ! 	 hotel group , reason unlucky one get small room / small bathroom , bathroom important . member club , still give small room . would complain husband like , stuck . decent room bath , see other soak tub shower & quot ; narrow & quot ; tub , upsetting . one would think staff would know give club member well room , bad one , upon check in . simply put , ask see another room get one ( small particular floor plan ) ; room large . 
 May 4 2008 	 okay definately wirth amount get 	 upon check - in realise may make mistake . arrive London tired miserable bad flight less hospitable welcome US Immigration subject 45 minute check - in process computer booking even though book direct hotel 4 month previously . eventually make junior suite amazed smallness room really say something come UK standard size hotel room . water pressure non existant , mini bar well stock basically vast quantity product , room stank stale tobacco even though book non smoking , bed stained dirty carpet throughout room , three lightbulb blow , toilet continiously kept fill , cd player not work room total disgrace . having speak GM advise unhappy maybe check . way go great customer service ! ! ! ! exactly although seem little surprised also cancel 5 suite book friend join Chicago weekend . in word not wast money , Ritz Carlton much well ! 
 Mar 22 2008 	 Great Location 	 hotel great location ! lot great restaurant nearby 's block away Michigan Ave . employee friendly helpful . room spacious clean . nice soak tub . tv DVD player surround sound . would definitely stay again . one tip - skip valet unless really want convenience . $ 42.00 per night . self park garage one block away $ 25 per night . 
 Mar 3 2008 	 many well option Chicago stay 	 girlfriend arrive Sutton Place Hotel Saturday , March 1st , 2008 30th birthday celebration night town . hotel conveniently locate near Rush street downtown easy find . upon arrival , opt onsite parking ( $ 42 / day ) valet service . check - in go smooth room nice although 10 floor low one promise phone . backside view mainly two building construction could see spire Sears Tower background nice . room luxurious spacious bathroom nice ... try take shower . water pressure floor trickle well glad able take good shower upon arrive hit town . next morning , use include continental breakfast voucher room service arrive timely manner . breakfast , go finish watch movie , take shower , check hotel hit art museum . finish movie , cable go .. every channel . wait girlfriend get shower . mention enough water pressure make shower work fiddle , get work start cold , activate shower head gradually work back warm hit sweet spot luke - warm / showerhead turn - off . little know lucky get shower start . come turn , hot water ( water run hot spigot shower sink ) yellow water cold make we gag look . toilet start run continuously fill yellow water . call front desk least half hour indicate transformer street . ask anything could state control absolutely nothing could do . would least appreciate call update late checkout something - nothing offer except quick hang - up . rude traveler usually let little thing slide water shower pretty big deal hotel . pretty sure never problem , less luxurious hotel - well service almost hotel . , stay Chicago anything important want mercy excuse poor customer service problem & quot ; outside hotel 's control & quot ; , try four point Sheraton downtown . stay 2 year ago week service impeccable . kick mid - morning revisit Sheraton time . 
 Feb 29 2008 	 great hotel 	 stay long weekend Labour Day great time . location great , Morton 's Steakhouse 2 minute away Original Pancake House across street breakfast delicious - definitely worth queue ! also walk distance Hancock Center Oak Street beach little bit Sears Tower area . the hotel nice modern , staff friendly room spacious large bed good shower . would definitely recommend good place stay central Chicago . 
 Feb 26 2008 	 Fine positive negative 	 recently stay Sutton 4 night . positive : -great location , end Magnificent Mile , plenty food option , bar , shop feel safe ( solo female traveller ) - clean room desk , tv , dresser , large clean bathroom- heavy curtain make room dark easy sleep , room also quiet- really friendly door men- Expedia offer good pricenegative : - staff little offhand ( query young traveller make difference ? ? ) - Haphazard housekeeping , 1st morning toiletry replace half empty ( ie presumably use someone else ! ) bottle next day all- Room service bar staff tend & quot ; hover & quot ; you- safe room- little information hotel facility roomall tend take glow otherwise great stay . would still recommend though could & quot ; one off & quot ; vs indicative hotel staff generally 
 Jan 24 2008 	 gorgeous hotel @ great location 	 stay Sutton Place Hotel one first weekend right new year perfect start new year . although cold windy city arrive ( know nickname come ) , hearty welcomed Shelby , doorman . right take care luggage , able check one receptionist Sutton . quick check - in , able head room unpack . spend time room enjoy beautiful view city not matter 8th floor , head enjoy Gold Coast . explore nice neighbourhood beginning , finally end nice ( huge ) steak across street . call night hour club around corner . since Sutton 2 short block away Michigan Avenue , Magnificent Mile , almost spend whole day shopping . get back hotel recover , cold outside , come lobby see concierge . unfortunately , concierge present time , tristian , one receptionist , able get we reservation dinner though . choose italian IlMulino 's outstanding . Sunday , ask late departure problem get later check - out . get stuff together express check - out , able head back sun , back California . general , hotel nice , room clean accomodate staff outstanding friendly . location great . recommend hotel great price . 
 Jan 22 2008 	 Welcoming Attitude 	 husband decide take weekend trip Chicago . although choose weekend 17 degree zero , not dampen spirit . expect Sutton Place similar Toronto 's hotel not disappoint . moment greet doorman concierge front desk staff , service attitude welcome . call evening flight early . hotel gracious enough accommodate we . location absolutely fantastic dining wide range price . shop extremely abundant area close Magnificent Mile . cold weather , spend bit time hotel anticipate ; however room well appoint . bed firm hard fluffy pillow comfortable . be also nice see good quality toiletry hair dryer available customer . would definitely stay again . s . Carter 
 Jan 22 2008 	 good money - much show 	 get steal package rate ( $ 145 / night plus room service breakfast two morning $ 40 parking $ 31.75 ) bride use Sutton Place minor anniversary weekend spend money save fine dining . we really like Gold Coast neighborhood weigh heavily decision . also stay one night Sutton Place four year ago know property . unfortunately , IMHO , Sutton Place property service slip interim . we stay 1/18 - 21 14th floor . upon arrival 3 pm Friday , check - in time , doormen bellman around - carry bag . save tip money cold would appreciate assistance . however , four front desk staff one wait - could not pitch ? ask deposit box jewelry cash one give we difficult open - much staff retrieve we later day bemoan original placement say give we another box work properly . our room small remember previous visit , tv flat screen tube HD . carpet wallpaper room bathroom tile wallpaper showing wear shower drain slow . also , hot water all - or - nothing proposition either chilly lobster - red . approach front deak move informed house full nothing could . like work use & quot ; fitness center ' morning . nice view Rush / State & quot ; Viagra Triangle & quot ; pass effort real fitness center . two treadmill , two bike , elliptical trainer kind all - in - one weight / cable apparatus shoehorn floor probably guest room . I really not like ask Housekeeping ice Sutton Place . enjoy room service breakfast daily - problem . delivery gratuity include $ 20 per person charge end probably 25 % discount . there newspaper coffee service lobby hotel . become accustomed beign able enjoy cup joe newspaper apres workout bride sleep . Sutton Place . en suite coffee maker either . we not even try MEXX Kitchen - walk waiting area restaurant hotel temperature drop 30 degree - comfortable . think maybe try save money heating bill . also - free internet , wireless , hotel . pay $ 9.95 12 hour ( 24 hour hotel ' ve ever pay internet service ) & quot ; business center & quot ; accessible fee . upon checkout wait bellman deliver bag shopping find lobby - wait car . tip ask take car , tell & quot ; doorman that . & quot ; sorry , tip one bellman room car ... take bag & quot ; doorman & quot ; nowhere find . in short , get pay , guess , 2007 AAA four - star rate hotel . give ? next time , be back Sofitel ! 
 Jan 22 2008 	 wonderful experience 	 look downtown hotel couple 's overnight get away hotel absolutely perfect . arrive 1:30 ( check be not 3 ) . promptly allow we check take car . go 21st ( top ) floor room nice . not overly huge , perfect sized two we . mini bar bathroom incredible . nice large tub huge perk . shower also nice . king size bed heavenly sleep ! comfortable . another huge perk cd player / radio room turn service come turn . next day , check noon , want see city , allow we keep car luggage hotel 6 extra charge . parking $ 42 's well deal around . location place perfect . right across nice restaurant / bar one block away Magnificant Mile . could ask well hotel . would highly reccommend ! 
 Jan 10 2008 	 nice boutique hotel 	 Memorial Day weekend 2007 , visit Chicago . plan itinerary , initially shoot airport hotel save money , figure rent car . Chicago area friend suggest ditch car rental book downtown hotel well experience city , decide look Loop River North area . somehow , Sutton Place catch fancy , book there . this edited version review originally submit Epinions.com , since deleted.-rates - for Memorial Day weekend , rate run around $ 185 per night standard king room ; without Memorial Day discount , room rate would ' ve close $ 225 per night . I book four night United Airlines ' UnitedEscapes package , include roundtrip airfare Los Angeles , grand total $ 1,090 , include taxis fee . ( package would ' ve cost $ 990 book day early . tough luck . ) -location Arrival - Sutton Place small chain boutique hotel , four location . Chicago location location United States ; rest Canada . the hotel 's location fantastic . stand corner Bellevue Rush , literally step away nightlife Rush State Streets , block Magnificent Mile ( Michigan Avenue ) shopping district John Hancock Tower . get rest city difficult , Michigan Avenue bus head Lincoln Park , Loop , Museum Campus , Grant Park , two Red Line subway station ( Chicago / State Clark / Division ) 10 - minute walk away . the exact address 21 E. Bellevue Place , Chicago , IL 60611.I take cab O'Hare Airport hotel . easy ride Kennedy Expressway ( I-90 ) , get Division , turn left , head short distance State Street.-Arriving - I arrive 2 morning thank weather delay flight . nevertheless , UnitedEscapesme , clerk check without delay . I give two metal key : one magnetic key room , one key minibar . access 11th floor room two high - speed elevators.-the room - upon entry , find huge bathroom leave . decorate white black tile , bathrobe prominently hang next full - length mirror . towel toiletry could count . toiletry even include clothing mending kit . look drawer find hairdryer , however . shower bath separate , great water pressure comfort . opposite bathroom roomy closet , iron , umbrella ( Chicago thunderstorm ) , dry cleaning bag , extra pillow . next bathroom minibar counter . minibar quite expensive usual ( $ 2.50 soda ) , breakable plastic tab keep minibar close , decide bother it . the room roomy . although picture hang wall , mirror make . drawer cabinet large flat - screen tv top ( 40 local cable channel , include WGN all - important Weather Channel ) , dvd player receiver middle . cd also provide , could listen music relax room ; fact , sometimes housekeeping leave room music on . toward one corner work desk , hotel 's guide service sign indicate availability wireless internet . since not computer ( laptop dead time trip ) , not bother . believe internet connectivity cost extra - minus book . a modern , purple lounge chair locate next bed . bed comfortable , cover white brown sheet . problem sleep , despite excitement Chicago . bed flank two light drawer , one housing Gideons Bible , display various Chicago travel guide magazine . my room near northwest corner building , afford good view Rush Street nightlife sliver Lake Michigan . despite raucous atmosphere street , room quiet . housekeeping come twice day . first come midday clean , second come late afternoon deliver two bar chocolate , next day 's weather forecast , breakfast room service order sheet . bed sheet also fold roll make inviting get bed . nice touch . my room key get demagnetize three night . final night , show ID front desk get key re - program . not like - remind seedy hotel Washington D.C. Seattle.-Other amenity - I spend time explore rest skinny , tall 1988 building ( remodel 2003 ) , notice amenity . room 509 fitness facility . not bother , decide heavy - duty walk Magnificent Mile Loop qualified workout . the fourth floor business center , open workday 7am 5pm . stay long weekend , business center stay closed duration visit . force visit Apple Store Magnificent Mile get internet . there restaurant / bar ground floor , visit . decide eat friend bistro ( Bistrot Zinc ) block away , eat brunch Chicago 's fine museum . there number meeting room low floor , check out . there plenty attendant lobby ground floor , happy open door assist guest visitor times.-leave - I leave 4:30 morning . although ability check use room tv , decide check clerk old - fashioned way . purchase minibar , return key was.-frequent Guest Program - Sutton Place frequent guest program , enrollment available online website , suttonplace.com.-as look back - the key glitch close business center make stay Sutton Place less perfect . luxury touch definitely refreshing , include two maid service per day , free chocolate , dvd player music , comfortable bed . absolutely love modern bathroom well . price 's usual budget , still within reason . top , location could well , easy access rest town . I definitely book next visit Chicago - give Chicago much offer , could barely scratch surface weekend , ' m definitely return . 
 Dec 20 2007 	 Fabulous Hotel Great Location 	 LOVED stay . Met girlfriend four - day , three - night shopping play trip . room large , soft bed & amp ; comforter . decor sleek , cool soothe . the bathroom extra large , vanity big enough two set cosmetic . separate walk - in shower & amp ; deep soak tub . full length mirror ( three mirror room ) . dozen wooden hanger closet . staff uniformly friendly accommodating . one negative - lack coffee maker room - turn positive . call room service morning bring pot delicious coffee ASAP , tray , besides coffee & amp ; china cup , wine glass fill ice water bud vase flower . time leave , fresh flower everywhere room ! hotel location well . three small caveat : parking expensive - $ 42 / day - & amp ; privilege , want leave car doorman direct garage half block away 's half price . restaurant hotel wonderful mexican food , music ( bar ) awful intrusive . really not like vintage Rolling Stones dinner . 's & quot ; easy chair & quot ; room - desk ergonomic chair . be host friend room , not problem . , one good hotel ' ve ever stay . 
 Oct 19 2007 	 exellent summer getaway 	 probly one nice hotel ever heart downtown Chicago great view hotel room bath robe mini fridge cable great dining lobby . 
 Sep 5 2007 	 ok hotel 	 book hotel review rave service location . experience ok , hotel staff courteous , service receive ordinary nothing write home . hotel room nice clean , nothing spectacular room . amount pay , expect much well service well room . 
 Aug 30 2007 	 Great Hotel ! ! 	 August , two adult child spend week Chicago . refer Sutton Place travel agent could not please . super friendly doorman pleasant staff check , roomy room large bath ( shower tub ) , comfy robe chocolate bed every night , mention great location , stay wonderful . even nice gym view . could walk outside turn either direction find many place eat cocktail . first class hotel definitely stay recommend friend . thank helping make kid ' first time Chicago pleasant ! 
 Aug 13 2007 	 good location chicago 	 location Sutton Place hotel could well . block Magnificent Mile , close Lakeshore Drive , right middle great restaurant night life . walk around hotel night great people watch , small park adjacent hotel . hotel lobby speak , little disappointing . place sit recuperate long day shopping . room pleasant , bathroom large w/ deep tub- however , towel like sandpaper . 4 * hotel , think would upgrade towel . I would definitely stay . steakhouse across street excellent ( something w/ Frogs title ) eat 2 night - eat steak one night , lobster next , sit sidewalk dine . great ! 
 Aug 9 2007 	 Awesome Hotel 	 July family ( 2 teenager ) stay beautiful hotel , partly business , mostly pleasure . loved location . Rush St. restaurant well . eat Carmine 's lunch , Gibson 's Steakhouse dinner , Lux Bar breakfast . fabulous , lunch & amp ; breakfast eat outside , always treat , not ? room clean , bathroom great , soak tub , seperate shower . Chicago summer place . peace . 
 Aug 6 2007 	 great long weekend Sutton Place ! 	 Sutton Place perfect sightseeing weekend Chicago . size hotel great , large enough seem intimate . can not say enough location , one block Michigan store . hotel center around lively Rush Street restaurant 's great night ! room 8th floor , immaculate , comfortable roomy downtown hotel . shower good shower good water pressure ever ! really ! room service deliver pot coffee 8 minute morning business center great , use computer internet access free . can not wait return see Chicago home base ! oh forgot , town see Mets play Cubs red line three street ! easy access Wrigley ! 
 Jul 9 2007 	 first choice Chicago 	 room available hotel , BOOK ! ! ! ' ve stay plenty hotel Chicago , large chain , small chain , independent . far favorite . always call Sutton Place first . get depressed can not get reservation . the doorman first class . , know name call name open cab door . desk staff remember return guest always welcome back . room great , location second none ! ! great shopping , restaurant , bar within step front door . staff always happy suggest new place nearby try . hotel good bargain Chicago . 
 Jul 7 2007 	 classy hotel heart Gold Coast 	 hotel spot price right . choose lakeview room , high floor , mainly view can not complain view . room corner build one side look leafy Bellevue Place towards narrow beach Lake Michigan ( literally couple minute stroll away ) , face downtown , glimpse Hancock , edge Sears everything between . a special thank must go Gary , doorman , cheerful helpful- real asset hotel . general , staff encounter cordial efficient , though quite friendly . room nicely furnish , black , white cream color scheme . in - room facility good- love little luxury like separate deep bath tub shower ( work well ) robe slipper , nice bath product good bed linen . room little bit compact , seem well specify business leisure . try arrive taxi can- parking $ 33 night , look around cheap option . the location great nightlife - it come alive evening party - goer enjoy meal live music across road . daytime , try breakfast Pancake House opposite : make great soft pancake , good coffee price reasonable . short walk city ( least Magnficient Mile ) . also elegant shopping Oak Street one block south good weather take look lake go Hancock Tower , easy access . also relatively easy reach downtown Chicago via public transport . the Sutton Place charm large chain hotel lack , definitely recommend . 
 Jun 29 2007 	 bad 	 wife stay long weekend memorial day . look nice romantic getaway Iowa . hotel east find , right Lakeshore . location close shopping restaurant Rush Street . find service hotel good . whiskey bar also good romantic night spot . unfortunately , close renovation first night . bartender across street Frog bar ( old man ) rude ! total jerk . 1 drink leave . room comfortable small . barely room anything bed . stereo DVD player nice bonus . eat breakfast Pancake house food good service great either . waittress spill syrup butter shirt short barely say sorry walk away ! go back room change @ ! # $ w % @ , nice place . lobby small room small think find place little less money little well accommodation downtown . would stay room big discount . pay $ 200 night regular price $ 300 ( worth $ 300 ) . stay Wyndham Michigan $ 160 nice . 
 Jun 16 2007 	 mediocre 	 financial advisor book hotel us business luncheon 1 pm . arrive Nashville 11 am . room available 1 pm . return 1 pm . give key room find luggage already room - wrong room . the correct room ok international minimalist style . bathroom adequate bit cramp small bath . we use room service early morning coffee - ok nothing special . find restaurant next day . true minimalist style clearly mark . try plenty place eat atmosphere immediate area . 
 Jun 2 2007 	 Perfect place first timer 	 arrive Chicago first time ever 8 hour rest party . Sutton perfect starting location get first day . staff friendly helpful early check - in . , check material room map highlight , able walk around find abundance dining , drink shopping option right around hotel , end block , famed Michigan Avenue city 's good shopping -- right ! never go walk distance hotel entire trip not . much within city block every place eat near hotel absolutely amazing especially small pancake house across street . even bar Rush Street couple block away , favorite night spot Whiskey Bar locate inside hotel . Saturday night perfect little lounge good music , cozy seat good crowd . place locate good part city would recommend kind trip . 
 May 9 2007 	 great hotel ! 	 say Sutton Place Chicago . hotel go beyond we 4 night stay May 5 - 9/07 . book hotel package expedia , end get great rate $ 165 per night . arrive Saturday morning 10:00am promptly give warm welcome early check . spend afternoon Mag Mile , return freshen dinner , receive phone call front desk ask would available receive delivery . two minute later room service arrive bottle champagne ice plate chocolate cover strawberry , accompany hand write card welcome we Chicago congradulate we anniversary . ( mention anniversary email send 3 month prior arrival ask high floor room nice view- also receive ! ) course wonderful first impression ! rest stay fantastic . huge bathroom , wonderful tub shower nice water pressure . comfortable bed , nightly turndown service chocolate light jazz music playing room . hotel great location . short walk Michigan Ave , mile river . also flank wonderful restaurant . ( gibson , Carmine 's , Tavern Rush , Luxbar ) doorman always helpful , even give use business Cadillac service Art Institute one day less cab ride . short walk Red Line Subway . return Chicago definatley stay friend Sutton Place . 
 May 1 2007 	 Good Hotel Great Neighborhood 	 good hotel . room clean spacious lot amenity include cd / dvd player soak tub bathroom . Minimal noise street neighboring room , even though rather loud bar across street . not try restaurant look deserted , number fine eat establishment within block two , include Gibsons Morton 's -- steak house . lakefront north end Mag Mile one block away . small complaint concierge particularly helpful often nowhere find . otherwise , one 's keeper -- would definitely stay . 
 Apr 16 2007 	 Beautiful Facility Spotty Service 	 book hotel read rave review . disappointed experience . hotel beautiful well appoint . problem lie service price . when check , hotel ask credit card secure amenities- standard practice . give card , inform $ 150 would automatically fund , use , would refunded checkout . object , definitely standard practice seediest hotel . tell would allow charge , could check , alternatively could provide gold card . allow charge . since already pay use amenity , eat hotel one night charge room . check , informed meal would charge addition $ 150 would take 3 - 5 day put charge - back request . suggest take cost meal original $ 150 reimburse $ 125 . cashier glare say definitely option . would simply wait hotel process $ 150.while hotel , staff professional courteous . upon check - out , go gentleman hail taxi week request one . point block say & quot ; catch one there . & quot ; disappointing soon pay bill , service end . finally , amenity overprice , even 4 star hotel Mag Mile . business center charge $ 1.00 page print ( conference hotel block charge $ .50 ) , Veuve Cliquo Yellow Label- standard $ 80 - 85 everywhere else city , $ 110 on . while physical hotel lovely , service price amenity prevent stay . 
 Apr 11 2007 	 great location center everything ! 	 stay Sutton Place 2 night Easter weekend . great weekend Chicago , Sutton Place big part make visit special , despite record low temp April ! location excellant , corner Bellevue Place Rush , step many good restaurant Gold Coast , 3 block Water Tower Place shop Michigan Avenue . Barney 's Midwest outpost block away . despite lot night time activity Rush State street , one quiet hotel ever stay . outside noise 11th floor room face street , interior noise corridor . fact hotel 250 room make private , staff always courteous , genuinely friendly . concierge front desk staff make great suggestion place eat , really know stuff . room generously size , great bathroom . though furnishing show bit age , everything good working order . much enjoy cd / dvd player room . even small library CD 's listen room ! overall , great property , return ! 
 Feb 19 2007 	 worth every penny ! 	 long week - end Chicago friend shop see art gallery tiring experience ! delight return home day lovely hotel room . plush thick towel , robe , excellent shower deep tub . 20th floor deluxe double room ...... spacious , quiet deeply comfortable bed . staff could helpful friendly . the Magnificent Mile wonderful shop step away front door ..... lot restaurant nearby . hotel great location definitely come back ! 
 Jan 12 2007 	 Chicagos Hidden Gem 	 possibly one favourite hotel stay recent time . look hotel Chicago find city quite expensive relation other much search find . price amazing . staff extremely friendly . locate beside major majority chicago famous resturant . locate oak street believe nice loaction magnificant mile hotel yet five minute walk . lake also near . room really spacious extremely comfortable bed . also ince feature jazz music play dvd player u return room . the bathroom also large hotel . room make hotel place u want come back night . eat hotel inste breakfast adorable orignial pancake house directly accross street chicago well knowm resturant night . would recommend hotel anybody . family wonderful time want leave . 
 Nov 13 2006 	 Sutton PLACE 	 partner go Chicago quick weekend trip celebrate birthday . book flight , find American Heart Association annual meeting also Chicago weekend . needless say , hotel room premium . Sutton Place take advantage fact . rate miuch higher normal , discount available even search internet discount . we book & quot ; Lakeview & quot ; deluxe room . lakeview small sliver Lake Michigan see several adjacent building . make reservation Expedia experience fine . check - in mixed experience ; althought front desk extremely courteous , appropriate room available hour arrival even though try check - in 2:00 pm . the room spacious nicely furnish large although somewhat date bathroom . bath product superb . tv , dvd player , stereo nice touch . overall , average room nothing like would expect $ 450 / night . the bed little soft linen bed covering high quality . however , room quiet ; neighbor get check 5:15 awaken hear every word conversation elevator . far end hallway . the exercise room small inadequate . hotel relationship nearby health club , Equinox . however , ' relationship ' not translate reasonable rate use gym ; one - day pass $ 20.00 ! ! ! ! ! check - out prompt quick . overall , pleasant hotel superb location . great shopping restaurant within walking distance . not expect lot bell whistle , certainly not pay $ 450 per night . can not get cheap might well stay Sheraton similar mid - range hotel . 
 Oct 30 2006 	 Great Location 	 stay Sutton Place 1 night move Hyatt Convention Center . hotel perfect location explore Michigan Avenue , Rush Division Streets . unfortunately , give room key room already occupy . little shocked enter room laptop , jewelry lot clothing ! front desk bit embarrassed well , however , take bottle red wine peace offering ! go Jilly 's jazz club around corner rush ( highly recommend ) also eat dinner across street Gibson 's Steak House . expensive worth every bit . would highly recommend go John Hancock tower check beautiful cocktail lounge 96 floor - great spot cocktail watch city light glimmer . 
 Jun 26 2006 	 bump right hotel good sleep 	 miss flight chicago Europe lose midnight , find hotel travel agency .. - never hear , althought know hotel Chicago , pleasant experience ... - quiet nice hotel get sound sleep one look day new eye .. - say other , bathroom bed good noise street .. - staff relly average regard help ... - right place happen area , night shorten snack pint & quot ; dubliner & quot ; , cool place .. 
 Jun 7 2006 	 wonderful experience 	 spend three night Sutton Place Hotel . location ( right next Rush Street nightlife area , close North Michigan Ave , block Red Line subway stop ) handy . room spacious , bed comfortable , immaculately clean . hotel personnel friendly helpful . 19th floor room extremely quiet . want take shower home ; strong , stay constant temperature , mount high enough tall people ( maybe nba player ) will not stoop . also large soak tub . never hear hotel , would stay flash ! 
 May 13 2006 	 Wonderful Hotel 	 daughter stay two night Sutton Place Hotel love . locate within block great shopping restaurant entertainment . room beautiful , clean , cozy . King Deluxe room bed sooooo comfortable . staff go way make sure good time . everyone see we always ask we anything need could anything we . walk see & quot ; 27th Annual Putnam County Spelling Bee & quot ; Drury Lane Theatre Water Tower Place . absolutely hilarious ! ! ! go top Hancock Building see view city night . wonderful time feel completely safe walk hotel night . highly recommend hotel . planning visit Chicago next year definately stay hotel . 
 Apr 17 2006 	 Loved Sutton Place Hotel 	 son return wonderful visit Chicago . staff make stay Sutton Park terrific . staff kind professional go way helpful . provide we room 20th floor view lake city . concierge send milk cookie first night greatly appreciate son ( 2 night ! ) . bed extremely comfortable . bring dvd watch one evening late dinner , great dvd player available . love neighborhood , especially enjoy breakfast Original Pancake House , locate across street . enjoy sight , baseball game , shopping , museum , great food luckily great weather ( yesterday ) Chicago offer four day visit . could walk sight , walk end block catch bus . train closeby use get White Sox game , Wrigley Field , Oak Park Midway . check Sunday , full day sightseeing , return late day luggage . staff kindly loan hair dryer , get catch rain , let use Gym suite freshen depart airport . lot Chicago hotel choice ' m glad choose Sutton Place . would definitly enjoy return visit , recommend Sutton Place friend plan visit . 
 Feb 12 2006 	 great weekend 	 husband live Lincoln Park year , like celebrate special occasion booking room nice hotel . pleased stay Sutton Place . greet warmly doorman upon arrival , front desk accomodate request upgrade give we corner room lake view . room clean , view excellent , bed comforter extremely welcome large soak tub bathroom pleasure . room service breakfast delicious deliver schedule . neighborhood cool walk around explore limitless choice eat drinking . not think get well place money . definitely go back ! 
 Nov 29 2005 	 unbeatable location nice room hard bed 	 live Chicago seven year , four block away hotel . 's absolutely good location Chicago , since Mag Mile easy walk , Lincoln Park , course 's heart Gold Coast , great . the hotel impressive outside , nice ( albeit small ) lobby decent attach bar ( Whiskey ) . room 17th floor good view north , hard , uncomfortable king size bed , nice set chair , desk side table . bed quite hard , point neither wife able sleep well . still , bathroom beautiful , tv nice selection HBO premium channel free , room nicely decorate . find room well insulate external noise , quite comfortable four day , three night stay . the Pancake House directly across street , convenient breakfast ( although always crowd ) . beyond , ton restaurant bar go within couple block . ( Le Colonial excellent vietnamese restaurant , dark romantic , two block away . ) , nice , albeit pricy , hotel . try stay different hotel every time go back , definitely one favorite ( except bed ) . 
 Nov 7 2005 	 customer service really slip 	 love Sutton Place stay many time . read past post problem , chalked & quot ; grumpy guest . & quot ; well , maybe one , will not stay Sutton Place again . we make reservation one bulk hotel retailer well price prepay option . even call S.P . ask would make difference , reservationist say , & quot ; , will get well price not matter we . & quot ; specifically put reservation 25th anniversary , hope would get we nice treatment . we arrive well within check - in time put handicapped room 8th floor . , ' m complain handicapped room , luxurious room ever . one advantage view -- mean not one noisy street , dinkiest tub pitiful handheld shower ! ' ve well shower Holiday Inn Express . ask could move high floor different room , say , & quot ; , be room you . & quot ; Saturday evening , need change $ 100 bill . ask desk clerk make change , say not , suggest go Whiskey Bar next door get . suppose tell bellman not tip money not want go smoky , loud bar adjacent hotel ? ! ? ! infuriate . find another hotel . one lose magic . 
 Sep 17 2005 	 watch 	 watch Sutton Place Hotel . overbook . upgrade junior suite , probably already pay full room give someone else . might lucky -- -and want start vacation hassle ! 
 Sep 12 2005 	 Nice hotel 	 husband stay hotel Labor Day . first time Chicago . think hotel nice spot . close alot great restaurant . ( Mortan 's Wiskey bar ) hotel 25 min walk Navy Pier . stay 21st floor lake view corner room . would not call view lake view , worth pay extra . room small alot small picture look . room clean . bathroom shower leak floor take shower . also one robe bathroom . nice radio cd / dvd palyer room . nice . not like call room sevice want ice . covenant . order room sevice one night food good bring room fast . the staff hotel nice helpful . even print boarding pass day leave hotel . doormen great ! problem trip get home look credit card bill hotel two differnt charge card . not think right email several time never get response . call double charge mini bar . lady talk not belive not use stuff mini bar . get upset credit card . ' m sure people lie get mini bar act like that . overall okay place stay . nice , luxury hotel . 
 Sep 5 2005 	 Great Location Outstanding Service 	 wife stay Sutton Place labor day weekend . extremely impressed level service politeness staff . room good sized tastefully decorate . however surprised stained carpet ( cause we low rating excellent average ) . every room large soak tub separate class shower . you beat Gold Coast location . try Le Colonial resturant Zinc Bistro locate within couple minute walk time . 
