Kicking 	 stay Wynn 3 night ( midweek ) , part package include round trip travel Newark Continental , upgrade panoramic view room , $ 700 per person . check quick 5:30pm ; request view Strip , room 54th floor ( 5432 ) , outstanding . entire wall opposite bed glass , fabulous view day night . room huge impeccable , bed , bed pillow fabulous , bathroom ( especially deep soak tub ) die . husband , sophisticated traveler , uncharacteristically silent 10 minute , blurt : & quot ; can not stay whole week ? will kick scream 's time check out . & quot ; would agree many extra charge Wynn , example , gym ( $ 30 / day ) . alternative : get exercise walk everywhere ; first get leg shape trip , pack comfortable shoe . another extra hit wallet internet use ( $ 16 / day ) . alternative : two computer printer Fashion Show Mall 's food court ( 3rd floor , next Currency Exchange ) : online check - in print boarding pass $ 5 . continental breakfast : Starbucks , across Strip Fashion Show Mall , place . ( mall open 10AM , Starbucks outside ( ground level ) open air cafe open arrive , blearyeyed , 7AM , delicious coffee muffin two cost $ 8 , less half pay Wynn ) . Grand Luxe Cafe casino Palazzo ( next door ) excellent reasonably price menu , huge portion will need share . favorite show : Le Reve ( Wynn ) ; get day half price ticket Fashion Show Mall ( near Starbucks ) , start 10AM . go early . 
 Great restaurant 	 good : restaurant excellent price fair eye . room layout nice . nice lengthy pool allow good swimming . room 52nd floor great view . bad : room could use touch uop 4,5 year . door close airtight - lead noise due underpressure different AC system . addition , noise come AC weekend ... could hear night club 52nd floor ! please note everything cost extra : - internet 14 usd/ day- Gym 30 USD/ day- Shoe shine 6 usd/ pair- ... aware book . might get great room rate , hotel pretty expensive . 
 not stay ! 	 resort joke . pay everything daily . pool towel rent , gym outrageous go . never stay . great shop though , concierge terrible , none resteraunt good . 
 nothing special robotic help corporate attitude . pretty look end . 	 3rd 4th stay Thanksgiving holiday . return hotel . kid stay Wynn , wife Encore . visually stunning service , cleanliness food quality disappointment - well use . another big corporate hotel . employee complain hotel cut back $ 100 birthday gift well perk . could see disdain work face . monotone voice expressionless face morning Terrace cafe manager checkout person take almost 45 minute correct bill $ 63 overcharge - place opposite hospitality last stay family . 
 Sep 21 2009 	 good hotel ' ve ever stay ! 	 go Vegas , stay Wynn . ' ve stay many top hotel U.S. ( include Peninsula Beverly Hills , Mark New York ) say good hotel experience ' ve ever . want get away noise dreg strip - stay . be like be resort Las Vegas . lobby registration area gorgeous . comfortable bed , large room , large bathroom soaker tub shower . soundproof - amazing - not hear thing - feel like people . customer service - fantastic . eat lunch Country Club - good burger ! lunch Zoozoocrackers - fantastic deli food . drink french restaurant sit terrace light show waterfall , beautiful . spa service - excellent . ask Pam massage make sure get mani / pedi -worth expense . also , beautiful thing look wherever go . highly , highly recommend Wynn ! 
 Sep 21 2009 	 Wynn terrific - can not go wrong ! 	 Wynn beautiful ! stay many hotel Vegas ( Mirage , Mandalay Bay , Luxor , TI , Bally 's ) Wynn definitely good ! clean airy open , nice bright . welcome change typical dark smoky Vegas casino hotel . stay non - strip side - view golf course , pool mountain lovely , however bother one evening music night club . room great , clean big , bed really comfortable . as far restaurant hotel , eat zoozacracker ( deli , fast lunch ) - good . lunch one day Terrace Point Cafe ( outside overlook pool ) also good . enjoy college football sport book also cocktail Parasol ( smoky ) . eat casual asian restaurant Encore delicious . hang poolside one day adult - only European Pool . water nice , people hang bit extreme ! reality check people - Wynn really nice , rich famous , let us bring back earth please . buff body reserve seating , think funny reality show people think really important , really like everyone else . unfortunate folk reflection hotel ulitmately great place stay ! next visit we Vegas , may try Encore , would definitely return Wynn , go wrong stay wonderful hotel ! 
 Sep 19 2009 	 impressive ! 	 take wife kid Las Vegas close summer school start blast ! staff friendly room immaculate . location perfect -- -my wife appreciate not far Fashion Show mall ! would definitely come back . 
 Sep 19 2009 	 truly amazing 	 partner travel Vegas past four year get away dread wet summer ' ve Quebec . ' ve stay different hotel start Luxor , MGM , Red Rock year Wynn . say . Wynn truly amazing , hotel , accomodation , shop , spa gym facility top notch . see Le rêve must see Vegas , dine top restaurant spend way much moula shopping worth every penny . if look first class hotel fabulous pool , food , entertainement , accomodation , look futher ' ve find Wynn . the side service . reception desk consierge . mean would go back heart beat . 
 Sep 17 2009 	 enjoy Wynn 	 get good deal $ 150 / night Memorial day weekend . Asked would give we room view since anniversary really do not anything we . would really ask golf course view stay . room , despite view , nice comfortable . close elevator could hear occasional noise , ' bad . enjoy pool service restaurant eat . Wynn huge could spend whole vacation without leave hotel . overall , enjoy stay . service bit impersonal overall friendly . not expect extra attention unless high roller . 
 Sep 16 2009 	 Beautiful Hotel 	 stay Labor Day weekend group friends- blast . hotel beaitiful . detail comfy bed , nice decor , great food , quick room service . dissapointment ... first ge Pool early stay seats- ' gaurd & quot ; walk around you re seat appear & quot ; save seat & quot ; remove item . many chair pool arrive early . also do not bother order food pool- sandwich pre - wrap look like make day & amp ; pull vend machine . least put paper plate . hotel perfect.we saty . 
 Sep 15 2009 	 Wynn one time stay . 	 panaramic room 55th floor view north end strip 4 night stay last week . problem noise Tryst allthis truly beautiful hotel excellent service glad opportunity stay , return . usually upgrade petite suite stay hotel Las Vegas Wynn 's standard room similar price , size , amenity suite . big difference cost everything else . everything overprice table food . unable find blackjack table $ 15 ( usually play $ 10 ) takeout danish fruit cup cost $ 13 . place go reasonably price snack generic midnight dinner . go somewhere else essentially everything . nice upgrade room important also want able play hotel . money object absolutely stay Wynn can not beat money burn , like go middle road property pay suite upgrade one roof . the quality buffet excellent overprice . may due fact lot non standard fare available duck dish one example . adventurous food buffet would perfect opportunity try new dish adventurous would seek standard buffet less price . 
 Sep 15 2009 	 Simply Classy 	 husband stay Wynn 3 night last week . absolutely beautiful ! arrive around 10:30 . figured room would not ready ; however , take cell # call around noon let we know available . upgrade room # 5251 . bathroom phenomenal - two sink , large bathtub , huge shower , even tv . bed favorite - probably one comfortable bed ' ve ever sleep ! view , overlook strip Fashion Mall , simply magnificent . window glass floor ceiling . like across Fashion Mall since price restaurant / food court bit manageable . eat Wynn 's buffet - lot choose , quality so - so . pool nice , though get shady around 4 pm . give free pass pool hotel guest get Tryst , one nightclub . stop minute . mention review , could hear nightclub room , not bad . pay internet access room , offer free Wi - Fi Terrace Point Sugar Ice . would definitely recommend Wynn ! 
 Sep 14 2009 	 Wynn - Hip Happening yet Elegant Luxurious 	 stay Encore early year decide favorite hotel Vegas ( sorry former number one , still STRONG number two , Venetian ) , wife decide try original , Wynn , anniversary August since like try different hotel often possible . order worst good , hotel ' ve stay Circus Circus , Bally 's , New York New York , Planet Hollywood , TI , Mirage , Venetian , Encore . high expectation go disappointed . Wynn beautiful outside staff encounter friendly , although vibrant consistent Encore staff . book trip amazing price travel agent Sharon sharonsvacations.com due receive $ 100 resort credit stay , arrive tell addition credit have upgrade panoramic room 53rd floor . nice treat not let free upgrade sway review . check - in line could stand revamp dedicated line velvet rope divider . line behind ever clerk short line . please aware Wynn request credit card hold $ 150 per day stay hold entire amount check - in release check - out . amount $ 600 four - night stay . receive resort credit spend buffet , bar restaurant Wynn Encore charge room . must show I.D . fill form room number transaction . can not stress enough - please keep receipt mistake happen . wife go $ 10 credit tell check - out owe $ 110 . due someone Encore room number we allow charge without show I.D . fill charge dispute form pay $ 10 overcharge . inquire would happen offend charge could trace someone else tell charge would stand credit card would charge full amount . call front desk constantly check charge will not get hit surprise last day . room available arrive , leave bag bell desk leave cell number front desk . call room available . get room call bell desk arrive shortly thereafter bag . room 5321 beautiful . marble foyer giant mirror one side closet free wall safe . bathroom nice Encore bathroom double sink , light vanity mirror cushion stool , large soak tub waterfall faucet , separate shower marble bench adjustable massaging shower head . toilet behind privacy door come equip phone . 's also digital scale television wall next mirror . sleep sit area one big room measure 625 square foot . comparison , Encore room 75 100 square foot large . although contemporary Encore furnishing , Wynn room nicely appoint color warm inviting . large king bed also second good bed ever sleep . Treasure Island 's bed well . addition bed comfy couch matching ottoman , worktable chair multi - use fax machine , marble - top table two chair , dresser 3 drawer clothe hide minibar fridge drink snack , large hd plasma T.V . minibar snack pressure sensor charge room snack remove 's sensor 60 second . also two bedside dresser one I - Home mp3 compatible radio . also control wall next bed automatic drape sheer . view 5321 amazing ! fact Wynn Encore seem great view either strip golf course . be matter high . Wynn many nice restaurant attach Encore shopping esplanade . casino nice vibrant drink server come around fairly consistent . drink nice strong , . people actually win , money seem flow little well Encore . cigarette smoke foul odor problem Wynn pump nice fresh scent air . unless guest , stroller allow Wynn Encore . must check stroller carry child around . hotel seem like cater toward upscale 30 - year old , definitely parent kid Wynn Encore . Wynn buffet one favorite although be pricey easily make cost one plate . also option buffet pay additional $ 7 get unlimited champagne , mimosas , bloody Marys . Wynn pool much large Encore pool , super luxurious . go afternoon problem secure lounge chair . show room key get two towel entrance gate . 's also free ice water towel room . pool two large oval pool connect long rectangular pool . deep point 4 foot . Wynn great location next Encore , course , right next door Palazzo Venetian connected pedestrian bridge . Fashion Show mall directly across street Wynn TI across street leave . check - out fairly quick ( exception credit dispute ) since late flight call front desk request extra hour check 12:00 pm 1:00 pm . first hour free additional time charge . overall Wynn great , luxurious hotel , third favorite Vegas ( behind Encore Venetian ) definitely highly recommend . 
 Sep 14 2009 	 Credit Card number steal Wynn Front Desk 	 get back weekend Wynn Hotel , although complaint hotel , think potential guest aware experience . I check late Thursday night , front desk ask credit card keep file . exhausted go sleep night , keep credit card locked room safe night next morning ( basically pay cash everything Vegas ) . next afternoon , wife call panic , state credit card cancel charge middle night Wynn , somehow , Atlanta Alabama ! go discuss manager front desk , frankly , unhelpful deny anything like credit card theft could occur . since card not even wallet anywhere besides front desk , denial ring hollow . also , since card cancel , pay cash balance bill ( not even offer reduce bill ) .as kicker , review charge , notice $ 100 pool cabana charge room . not charge anything room , look detail inform someone leave $ 100 tip $ 7 CORONA ! take bill immediately , obviously staff try run scam people 's room charge . I frequent Vegas vistor stay hotel , never anything like happen . can not say whether isolate incident , think make people aware experience . 
 Sep 13 2009 	 beautiful place - let us reality check 	 doubt , Wynn beautiful facility . room spacious contemporary ooze spirit Vegas . lobby eye - catch first glance casino alot offer . bring good friend Wynn celebrate birthday . couple ordinary girl come Vegas fun - fill couple night . hear great thing Wynn know try . simply put , accomodation perfect - experience . turn real buzz - kill visit hotel nightclub Tryst Blush . visit concierge 45 minute check - in see protocol get place . went & quot ; special & quot ; processing put we list give we offer & quot ; VIP & quot ; pass get club . coincidentally , find & quot ; passes & quot ; sit counter one hotel shop next day anyone take . think concierge do we nice favor , return nice tip . go Tryst evening . think finally get actual club area show id two several security personnel stand around . not sure point see president someone sit inside get , nazi - esque bouncer successfully act part secret service . impressive place .... right ? whatever . think walk type maze finally walk place sooooo crowd could not even get dance floor - one main objective visit Sin City . stay Tryst 30 minute decide enough getting shove around . thirsty could not even get bar $ 20 drink likely would spill overselve someone else try maneuver away bar . find humorous Wynn boast 's main nightclub town , really let entire city ? unimpressed , go Blush . Blush less crowd far , leave shortly realize apparently important enough score place sit . every single seating area Blush one require reserve . understand many people spend money feel important reserve table vip area whatever gimmicky thing nightclub come , club show real class one provide least creature comfort 's patron enjoy . let tell , stand heel night talk lame guy Austrailia idea fun - , leave . end evee much early anticipate sit one lounge bar occupy one interesting . guess cool people still line club . friend really glad able go TAO ( locate Wynn ) last evening trip . even though TAO also give illusion celebrity treatment turn marketing ploy , much well time know not fool thinking get kind special treatment get . love Vegas go back time time , will not stay Wynn . think Wynn realize majority visitor celebritie ultra - rich . people like come enjoy Vegas offer without pay put bottle water refrigerator pay sit club . ' m pretty sure leave enough money Vegas pay thing feel worth : food , drink overall fun ! 
 Sep 13 2009 	 fall love hotel one ! 	 stay Wynn 4 night September follow stay LA San Francisco certainly save good till last ! check quick efficient room exceed expectation , gorgeous . luxurious , comfortable spacious . problem ice bucket ( lid ) ! phone housekeeping within 15 min ice bucket arrive fill ice we ! staff encounter extremely friendly helpful . food restaurant well present complaint quality . people site complain noise nightclub not hear anything one low floor . stay previously Mirage good Wynn better mile . return Vegas would definitely return Wynn . 
 Sep 12 2009 	 BEST VEGAS ! ! ! 	 back 4 night Wynn husband , quick check , upgrade 58th floor fabulous view , room lovely spacious clean . Dined SW Steak House , sorry say really dissapointe seat , book window seat month advance , place corner ? ? ? however could not fault food , go patio see show Lake dream afterwards , not miss ! ! buffet large selection breakfast dinner high standard service . lunch really nice terrace , wished go more . the pool lovely , relaxing , problem get drink bed . the Wynn situate north end strip , opposite Fashion Show Mall , personally find walkable rest strip , lot see walk , get taxi will miss ! ! would definately return , stay nowhere else . onyly thing will dislike leave ! ! ! 
 Sep 12 2009 	 First Class ! 	 stay hotel week , overall really great ! resort room nice , bathroom huge ( bath shower ) , great HD tv , huge bed , everything could think ... ( even 3 phone ! ) . hotel need , casino , shop restaurant etc ... thing like price ... everything overprice minibar restaurant , not choose Wynn save money , ? ... also note hotel locate end strip , close fashion mall Treasure Island .... perpare walk ! 
 Sep 11 2009 	 Wynn - sophisticated expensive 	 Loved stay Wynn hotel . yes expensive , get really great package deal Southwest Vacations . room nice clean . water pressure shower strong . bed comfortable ! pool amazing . pool Wynn way well Encore , though allow . also european pool ( topless ) . Wynn great place stay nice vacation Vegas . clean staff friendly . restaurant quite pricey . pay $ 8 cup tea will not find dish less . elevator fast take getting use . feel queezy first couple time . 
 Sep 11 2009 	 Beautiful Hotel 	 Boyfriend get back 4 night stay Wynn . everything great ! get around 9 am , room ready ( figure , 6 hour check . ) call we 2 hour later , Mirage eat BLT Burger ( good ) walk back hotel ( went buy bottle vodka mixer liquor store mall across street Wynn find soon 2 drink cost $ 24 wynn . ) get hotel check ( take little , probably 10 - 15 min line , think big problem people check take ask stuff get counter check way room less 2 min . ) get room , bathroom great nice shower ( big enough two : ) tub big two ( never get , boyfriend said & quot ; sit tub anytime , Vegas lets go & quot ; ) agree think would romantic night room , perfect room . bed great ! comfortable , problem top matress keep fall . never order room service want , menu look great ! pretty much take cab everywhere distance hotel . place eat Wynn breakfast ( good , exellent service . ) would definitely go back would love wedding ( hint boyfriend not say much : ) look cheap drink table , go O'Sheas Imperial Palace downtown . slot , slot not pay main hotel strip fitzgerald really pay . stay Wynn upscale place , will love , sure 
 Sep 11 2009 	 top - Notch Vegas Resort 	 wife stay Wynn 4 day Labor Day weekend . stay number casino Vegas past year , say Wynn top - notch . room excellent - spaciously lay w / couch , desk , king size bed , large mirror , wide - screen tv , excellent wireless signal ( internet free , though , typical Vegas casino ) , simply fantastic bed linen . sleep GREAT , wife 6 month pregnant time . bathroom huge his / her sink , glass shower , soak tub , sit - down vanity . nice non - suite hotel room ' ve stay , anywhere . here real con : ) mini - bar leave enough room store bottle water soda . even , would want use electronic weight sensor charge weight changes.b ) pool area get extremely crowd weekend , go early , otherwise difficulty find nice spot.c ) everything expensive Wynn - drink , coffee , restaurant , shop , snack . expect - Vegas general long cheap - man 's hangout . starbucks food court across street Fashion Show Mall , give well breakfast / lunch option besides $ 5 coffee $ 6 bagel Wynn . also half - price ticket booth show ( whatever available day ) . , convenient want go right open am.d ) access gym $ 30 per person . recommend run along Strip want exercise ( 5 mile 7 be people pleasant ) .e ) secure late checkout 6 pm ( typically half - day rate ) , aware usually close room account early around noon , can not continue charge item room afterwards ( e.g . lunch pool , whatever ) , even pay additional half - day rate . if be stay Wynn , be probably concerned price tag , think would mention item nonetheless . not detract overall enthusiastic rating resort casino get lot luxury . 
 Sep 11 2009 	 Best Vegas 	 stay Wynn two night August part road trip . even Vegas standard , Wynn outstanding much & quot ; & quot ; place stay . reception communal area stunning , although bling . room incredible , even 5 star standard . enormous , amazing view Strip beautifully design plush . Wynn 's pool huge beautiful . also access Encore 's pool ( building ) much & quot ; party pool & quot ; great fun . good club Vegas , XS , also Encore prepare go early 10 pm ( open ) get even height summer ( go entry lady $ 20 , man $ 50 ! ) .if look fun luxurious place stay , would definitely recommend hotel . would recommend less family child . 
 Sep 10 2009 	 beautiful hotel 	 visit LV stay Wynn 3 night . get great hotwire deal . overall great experiencepros : - clean rooms- comp upgrade panoramic corner suite- comp line pass buffet- corner suite largeCons- nearby monorail station ( board Harras ) - comp . slipper room- buffet ok , nothing crazy write home about- bell desk need structure people cut front us bell guy help 
 Sep 10 2009 	 Ab Fab 	 ' ve return trip LA Las Vegas celebrate partner 65th birthday . Stayed Four Seasons LA ( also Ab Fab ! ! ) Wynn Las Vegas Tower Suites . there really nothing say bad hotel . suite , service , staff general ambience absolutely stunning . moment arrive separate Tower Suite entrance , know arrive special hotel . this first trip Vegas , must see list place . be gambler flutter ( not win - surprise ) . Vegas pretty much look have imagine , casino look bit tired , however casino Wynn look classy . shop restaurant Wynn beautiful would certainly return Vegas , stay beautiful hotel . 
 Sep 9 2009 	 GREAT HOTEL ! ! ! 	 arrive 3 girlfriend labor day weekend . check - in simple issue . agree previous review read setup check - in area . ' definite line order . line wherever u think fast line usually never ' huge deal . we room resort tower . two bed . room spacious bathroom big beautiful . sink tub , separate shower , sink separate toilet area small TV . bed pillow comfortable . LOVED curtain open close simply press button bed . overall size room perfect 4 girl ( believe ) . not eat Wynn ( except quick bagel coffee one morning Café lobby ) comment . partie XS . nice club music great . air good casino . not much smoking going not smell everywhere go like casino . crowd definitely different , classy , definitely appreciate . ' use pool since end go pool party Tao Hard Rock instead . pool Wynn look nice less rowdy place . the hotel locate great location . next venetian right across Mall . I ' stay hotel Vegas . would definitely stay Wynn ! 
 Sep 9 2009 	 Excellant Hotel - Loved every minute stay .... 	 stay Wynn 5 night get one nice hotel ever stay . room beautiful view die . bed super comfortable not Vegas would spend time . Maid service excellent room spotlessly clean daily . would highly recommend Wynns show Le Reve , one good town . rate hotel enough - excellent trip defiantly stay . 
 Sep 8 2009 	 whole experience great . problem check - in staff great job resovle issue . 	 room great linen good , comfortable , bath wow , want take home . vaule beyond expect . wife commede choice hotel . back later year , Mr . Wynn thak staff hospitality . look forward play golf course come back . see soon , Charles & amp ; Venita Lee 
 Sep 8 2009 	 Faultless 	 habit give exceptional review experience hotel let way . wrack brain think problem hotel simply can not think one . tower suit faultless . we problem check - in subsequently realise mistake . however rather ignore self - make problem could find room booking thought make . end one Tower Suite room one normal Wynn room floor great . the parlour suite Tower Suites amazing - huge lounge , bedroom bathroom , great view strip , really nice decor . normal room large although decor bit naff still great room . the staff really make feel special treat individual - amazing consider large hotel . two separate pool Tower Suites great much quieter normal pool . gaming staff helpful . pool staff could bit erratic - day serve instantly , other could get attention however hard try . everywhere pristine clean . room service extremely well - consistent servicing 7 hotel stay 3 week holiday . we love position - handy next venetian opposite mall even bit centre strip . we amazing time stay would certainly return . free internet would good improvement though ! 
 Sep 8 2009 	 Great Hotel ... 	 Wynn great property . room nice , view fantastic . travel Vegas 3 time year ( mostly pleasure ) , stay 10 different hotel Vegas Strip , Wynn probably # 1 hotel ' ve stay ( primarly stay 4 + hotel Vegas , qualify statement ) .my issue Wynn check - in . need change people line check . currently , line one 6 12 line ( check - in desk ) . lucky enough quick line problem , unfortunately never seem happen , check - in take 10 minute take 30 ( would non - issue arrive hotel late early day many people check - in ) . really need change single file line , way everyone que , would avoid situation . would stay Wynn ? would definately stay , , ( , wait another 30 minute check - in , would definately change opinion return ) . 
 Sep 7 2009 	 can not wait return Wynn ! 	 arrive Friday night 11 pm check - in breeze ... 5 minute get key . offer upgrade extra $ 25 / night get room 31st floor view strip . decide get wow , view beautiful , definitely worth , especially night ! go room love set . room spacious bathroom big beautiful . sink tub - romantic - seperate shower , sink separate toilet area . bed pillow comfortable have ever experience . curtain open press button bed . really like small tv bathroom like way tv set could turn face bed small sofa . not eat Wynn , comment , gamble good . although Wynn much high minimum , also win casino . find table day $ 25 minimum though not bad , inexperienced , may want visit hotel , Harrah 's , etc . staff nice . complaint cocktail waitress not come around enough playing . find issue casino visit though . 's shame spend much money gambling even get offer one drink . service pretty good Wynn though come around offer drink . the air good casino . not much smoking going not smell everywhere go like casino . agree another reviewer state crowd different , definitely classy definitely appreciate . overall pleasant stay definitely would like return Wynn . age 24 33 hotel perfect we . 
 Sep 7 2009 	 5 - star rating total joke funny one . 	 really look forward stay Wynn perhaps part problem far fall . check Thursday walk right registration room without line . girl pull registration say 80 % capacity room two double bed ( entire 2,700 room hotel ) despite book room two double bed would make king bed . Quality Inn , would not bat eye , suppose 5 - star establishment sort oversight unacceptable . tell say since book third party ( Southwest Vacations ) unable honor exact room type specify . yet , reality elusive , ' economist figure reason & quot ; 5 - Star & quot ; hotel 80 % capacity recession sell room cheap rate third - party . ask could make we since reserve wish stay Imperial Palace would save money book first place ( get two bed ) . tell specifically pay extra choose Wynn 5 - Star hotel . tell would waive fee roll away twin bed . think grand display customer service . tell way satisfied need speak supervisor . wait , people check side we , group 3 + guy , tell thing , double bed room book would share king bed . wonder turn . supervisor come tell we thing say addition charge we roll away twin bed would also upgrade room 's view 39th floor . not care view , ' Vegas , ' planning staying room stare longingly window , especially luxurious twin roll - away bed . mean , throw bone , free breakfast coupon something feel like hotel genuinely try work . tell still satisfied say could leave . take room card complain yet customer service representative try help people get correct desk . tell thing already hear . go room spacious , need hold another twin bed run two bed room . everything clean . bathroom nice two vanity area tv wall , soak tub nice shower ' drain maintenance came immediately fix . also separate room potty . big full length mirror hallway useful . give robe use visit . tv main room temperamental slow respond . good part not work express check . call Southwest Vacations also tell we since third - party Wynn could take reservation require hold reservation make yes , really important part reservation ... hold . notify wait - list cancellation anything sort , would responsibility call see two bed reservation not show ( recommend call around 2 morning ) , check see room reserve available therefore notify . point give . going stay 5 - star hotel sleep describe & quot ; Hannibal Lecter bed " wheeled strap could trust outside room . saw sit middle room want take back door pick speed wheel right full length window . oh yeah , full length window nice . thus begin & quot ; Nickel dimee Wynn & quot ; . although truck stop America offer free wifi , Wynn . Wynn charge $ 13.99 per 24 HOUR period ! also charge another $ 2 fax service never explain take bill ( tell ) excellent customer service Wynn . first night decide go club Blush Tryst hotel want get dinner well save time . want sushi concierge recommend Wazuzu . sushi price laughable ; actually take picture menu . friend order chicken lo mein run $ 20 . say even par chinese food food court . drink around $ 15 . luckily get Blush Tryst free skip line ( make friend promo people either work hotel walk around look semi - attractive people fill club , hook anywhere want go ) . Blush lame never lot energy . tryst joke , definition pretentiousness absolutely nothing back tiny bar get drink . pack patron like cattle apparently cattle happy mooing confine Wynn see choose , proud stand line 20 minute pay $ 8 beer . point go club hotel not venture try XS . refuse spend money Wynn since nothing deserve . say , express check tv service leave Sunday go registration noon , check time , entire room full line way back front door . poor girl stand middle room clipboard physically write email address room number send bill later could effectively " check " without wait ridiculous line . pretty ghetto 5 - Star hotel know 80 % capacity check Sunday tv check unavailable . bell boy hold bag hour take cab back airport . bottom line , unless high roller buy suite full price Wynn , hotel nothing deserve 5 - star reputation . customer service elusive routinely treat disinter , lucky staying overprice hype hotel . even interesting although table $ 25 minimum , clearly high class refuge big spender . night leave elevator go cat - call table . place effectively keep riff - raff . look 5 - star experience , would recommend Bellagio . well customer service , also much well location strip , Wynn end cancel monorail service keep people leave easily . treat well stay Treasure Island Mirage . choose spend money , ' pay extra frustrated inferior service . many place stay strip good well Wynn . 
 Sep 7 2009 	 Best Hotel Las Vegas 	 everything best , try get good deal price Trip Advisor stay instead crowd Las Vegas Hotels 
 Sep 7 2009 	 far good hotel strip 	 stay several hotel Strip Wynn league ! staff helpful , hotel gorgeous see hotel owe MGM still real ' boss ' . amazing attention detail make one week stay real treat . stay Wynn group 10 people we ( include many frequent business traveller ) impress . - try Japanse retaurant , shashumi sublime- us dinner Wing Lei terribly impressed though- steak country club pricey second none- table service Blush pricey would recommend . try XS insteadall great variety restaurant although iot cheap , great value money compare resturant big hotel Vegas . the Wynn place go low stake table dealer nice relaxed ( especially Encore ) .All , far good hotel strip well worth every penny . though promotional spile say Wynn discovery marketing talk 's actually true , architecture place really allow enjoy different ambiance different area . ps : bed good , buy one : - ) 
 Sep 7 2009 	 far good hotel strip 	 offer $ 25 upgrade 56th floor view strip amazing . room far well expect much big photo make look . arrive around 2 pm wait check . staff friendly make feel really welcome . love pool area could easily spend day . problem hotel stay next time nothing live Wynn . 
 Sep 4 2009 	 fabulous view supremely comfy bed . 	 fly Las Vegas head Phoenix , spend one night Wynn . check - in fast efficient give room 28th floor . view golf course mountain distance . standard room , huge comfortable bed ' ve ever find hotel . not eat dinner , breakfast next morning superb good value . casino small expect little claustrophobic low ceiling . 
 Sep 4 2009 	 thing change wynn 	 stay wynn Aug 17 - 22 . ' ve stay eight time past year . get discount mail $ 119 night . bargain , could not pass . trip notice change though . check sunday check room pack . get line , actual check breeze person polite , professional . say since sunday , everyone come weekend usually check . be busy . room 15th floor . clean , cool nice . first change notice previous trip . print card wynn room . one bathroom state want use towel , hang . , housekeeping would not replace . want new one day , put tub , will replace . card nightstand state sheet bed would use entire trip unless call housekeeping request new one day . another thing really bug sportsbook say require bet atleast $ 300 sporting event get drink ticket . horse racing bet $ 10 , ( yes , ten dollar ) get drink ticket . opinion crazy . two day bet $ 500 get one ticket . quit betting go Hilton instead . love wynn stay sure . will not make sport bet . 
 Sep 2 2009 	 nice 	 one night stay come meet friend see Beyonce concert . great time . hotel beautiful . look like still brand new . room spacious , clean absolutely perfectly appoint . impress every last detail . handle door custom , faucet , wallpaper completely first class . also , surprisingly , air smell smokey . must amazing air filter system . lovely stay . 
 Sep 2 2009 	 view ! 	 stay 3 night standard room 2 queen bed view golf course airport . great ! opening curtain morning press button close bed see incoming plane throught glass wall great way start day . Valet parking complimentary first contact hotel positive . unfortunately , check - in area way small hotel size . arrive Sunday afternoon place crowd . take half hour desk , however , staff friendly . room service ok attentive . old glass pre - occupant still stand table leave ... room , however , spacey , even regular one . especially bathroom additional tv screen & quot ; night light & quot ; ( convenient ! ) . Plasma tv set course well stuff MiniBar . concierge Service helpful booking trip Grand Canyon . well , however , restaurant ! chinese japanese one ( live cooking ) 2 Michelin star Restaurant unfortunately close . favourite one Italian get table patio . even temperature suppose around 105F patio cool 75f let door restaurant open . mean , hey , thank great service even non - tree - hugger waste energy seem little bit much ... wonder price level restaurant upper side scale . $ 100 per person easily spend 3 course wine . the pool area great afternoon , part shadow actually lie without BBQed ... ask Golf green fee tell $ 300 week one guest mention $ 500 weekend . way much would say , especially sommer month play anyway ... 
 Sep 1 2009 	 Magnificent every way - one good hotel experience ever ! 	 ' ve travel world 40 's hate admit first trip Vegas . long check - in almost set we bad start , extremely nice host offer upgrade suite ( & amp ; bathroom ) $ 100 per night . great deal come ny , no - brainer . hotel beautiful , service excellent , amenity could not well . love view , sink tub ( particularly romantic plasma & quot ; Wynn & quot ; station pipe perfect great vibe tunes- fact call front desk ask sell CD 's informed tenth caller ask ) . anyway , 3 night could care less property , first night dinner David Burke 's Venetian also incredible , walk back Wynn outside night , even heat , pretty amazing waterfall sight sound . could not imagine well hotel experience . spend significant amount time room beautifully appoint , bed sooooo comfy elegant furnishing . 2nd night see Le Reve , enjoyable . eat Sushi Samba ( good , like local favorite place well ) . last night cabbe ( avoid Strip ) reservation Aureole 's - pretty disappointing , would expect bit well price . also Vodkas Minus 5 ice bar . ok - fun , spend extra $ 20 fake fur , 45 minute $ 100 2 drink ( get sample 1 2 other , hey , Vegas . not care mandalay casino resort frankly could not wait get back place . think be look sophisticated adult fun , Wynn . adult pool perfect , attractive crowd , great service , music plenty chaise ( plush ) . look wild crazy 30 , please go somewhere else ! * * * helpful hint * * * ... ask taxi driver soon land airport stop close liquor store - stock favorite vodkas bottle Red . especially helpful want enjoy time room save big $ $ $ use table ! oh , be buffet people , lunch - REALLY good . 
