far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Aug 14 2009 	 great place 	 stay Rio weekend . get check around 11 pm check fast friendly . room large clean . casino busy great atmosphere . table minimum mainly $ 10 reasonable weekend . restaurant bowl alley open due current slowdown Vegas . staff knowledgeable friendly waitress plentiful quick never sit long empty drink . look place close strip . place 
 Aug 11 2009 	 Great Place Stay ! 	 go Las Vegas get marry . large group family & amp ; friend we . leary stay Rio read review , stay Rio week celebrate marriage , definately return & amp ; member party . stay Ipamena Towers . room large & amp ; clean , housekeep friendly & amp ; excellent job & amp ; couple dollar tip give extra shampoo , lotion & amp ; towel .. staff meet pleasant & amp ; eager help . swimming pool fantastic , close 6 pm , like vegas pool . machine fairly loose & amp ; & amp ; son money Rio & amp ; lose go casino . food restraunt kind pricey , walk across street Gold Coast cheap & amp ; good buffet . eat American Bar & amp ; Griil Rio . food great & amp ; service . definately go back Rio . Shuttle run every 10 15 minute . check line long , move quickly . lucky enough catch Show Sky fantastic . thank Rio ! great time & amp ; enjoy stay ! see next time ! 
 Aug 6 2009 	 Rio well get marry suite great ! ! ! 10+++ 	 say enough Rio staff great . idea people say write bad thing . tell & quot ; pay attention . Rio good whole family mean family 50 plus 1600 suite one word WOW . please take word great place stay . pool nice kid . forget get marry Vegas really recommend Rio . thank Rio make wed Vegas great . one thing get marry Rio . ans still get treat like king .let forget valvet paking staff 10+++ thank see soon john linda gonzalez 
 Aug 6 2009 	 not belive bad reveiw .... great place stay Las Vegas 	 stay number Harrah ' location think would try Rio last trip . concerned negative review place great . nice mix young old place " vibe " similar cruise ship . ' experience anything negative like other write definitely return . 
 Aug 6 2009 	 great room rest 	 room really nice ; stay 3 night . one night free two cheap . help make decision stay Vegas . room safe big enough hold laptop two camera ( important ) . room service fast expensive . order one breakfast share $ 25 juice coffee either . plan vacation around hotel pool ; relax . really disappoint Rios pool . stay really like pool . time one pool rope another adult pool pay go . leave two pool . one crowded small ; dirty cold . ' even water fall run . ( pretty ) ' play much casino ; instead walk palm like casino much well . also free shuttle strip , recommend catch shuttle right time otherwise ' easy grab cab . would recommend hotel anyone room nice cheap , ' . 
 Aug 5 2009 	 demise Rio overexaggerate ! 	 read review post buddy fully expect show Rio , ignore ridicule entire staff find room not clean six month . fortunately , not encounter problem . the staff incredibly friendly . gentleman check we cordial , informative quick . every staff member encounter - front desk casino cage dealer housekeeper - always say hello respond immediately request question have . our party four adjoining room like one big suite . complaint ... room clean everything work . problem whatsoever . course , not go Vegas watch tv soak tub iron clothe may miss glitch . previous poster right one thing - whoever run casino Rio lose mind . time find table less $ 15 limit 2 a.m. amazing since plenty dealer empty $ 25 table . needless say , not gamble much . another small beef - hotel host World Series Poker , Rio sure not put much stock poker room . ' m sure valet untie shoe total Rewards team member smudge nameplate be finicky . overall , great time . Carnival Buffet still good drink flow freely anytime near blackjack table slot machine . Rio still great place stay . 
 Aug 1 2009 	 great place stay ! ! ! 	 hotel 15 min walk strip 5 min drive . nice hotel clean . room service fast good even 2 am sit night ! bad thing pool close 6 pm ! still light outside 6 pm ! ! overall nice stay ! view room city pool.our family across hall though view roof top.not good view ! stay ask room poolside view ! 
 Jul 29 2009 	 great stay 	 stay Rio , although awhile . stay Harrahs hotel year decide stay Rio trip Vegas . read review leave sure make right decision . , GREAT time . every need meet problem . room clean well serviced day . large suite like enough two we . staff great check cocktail server always around . thing bad say , resturant high price Harrah property . stay Rio ! ! ! ! eat ele . would recommend Rio friend . 
 Jul 28 2009 	 great room weak casino 	 Rio comfortable , large room work well friend travel together . say , several issue stay . first , room initially give clean even surprise we toilet . go back change room , give room well view , one appreciably nice . still , bed comfy amenity good quality . the casino , hand , woefully line current economic climate . minimum table , even Wednesday afternoon , $ 15 . ridiculously myopic . surprisingly , casino empty entire trip . enjoy hotel , never spend cent . take five minute walk Gold Coast free shuttle strip whenever want gamble . 
 Jul 23 2009 	 nice room old crowd ! ! 	 nice room pool close 6 pm ? Vegas ? gear toward old folk young crowd , stay strip would well . great benefit free shuttle Paris Harrah 's save alot cab fare suggest use pretty timely run every half hour run 1 am . overall nice trip stay 45 + . 
 Jul 22 2009 	 Rio nightmare 	 absolutely hate stay rio . staff rude , room dirty , Room service never come clean room bring fresh towel . top hotel allow someone party charge $ 100 room without ask proper ID . could even give reason could let something like happen . staff Rio careless , idiotic would never ever give hotel business . 
 Jul 22 2009 	 horrible never stay 	 arrive room bath room floor dirty toliet flush , call housekeeping three time day fix toliet . Toliet never fix handle keep break . also bill spa treatment never sign , someone use room number charge day spa . furious learn desk anyone call room service charge item room without verife ID signature ! ! ! tell could also key punch error . first night housekeeping never clean room . receive 50 $ comp card spa charge remove bill worth aggravation try get room service clean fix toliet . 
 Jul 21 2009 	 great hotel good Harrah 's property Vegas . 	 stay Rio numerous time year . bit worried read recent review , however not experience problem . the suite clean , seem new couch , bed plush top mattress . comfortable . even happen elevator one manager ask suite let know problem . the pool well . several pool pool area , kid tend stay couple , adult swam other . would nice pool open early 10 week . the Spa fantastic . great service ! restaurant -- eat Carnival World Buffet ( pretty good , great past ) ; RUB BBQ good , Sports Kitchen ( great comfort food ) , all - american good prime rib year ( $ 25 20 oz ! ) .The slot tight ... without question . walk Gold Coast one almost everything play , make tight slot . table game fine , dealer Rio great . the shuttle strip convenient easy . like strip . I wish Lucky Strike Lanes would reopen . closed really not want family activity Rio , due new marketing strategy . 
 Jul 20 2009 	 Rio Suites provide good value . 	 stay 5 night July 9th . newly remodel room Ipanema Tower . tv reception poor upon arrival . housekeeping fix prolbem go pool . switch hair dryer break housekeeping switch right away . room desk , couch , large dining room table . request king size bed mountain view reservation . check little slow , problem . hotel cut back expense run Masquerade Show Sky . pool area plenty chair . Carnival Buffet good . 
 Jul 19 2009 	 great location LV strip . 	 stay Rio special event hotel well - prepare group 's arrival . staff friendly attentive . although request non - smoking room , room smell previously smoke .... room across hall smoking room housekeeping leave door open a.m. air could enter . 
 Jul 19 2009 	 never stay Rio Suite Hotel 	 get back vacation Las Vegas , last night stay Rio ! ! ! big mistake . start thing horrible time check . book non smoking room get room smoke heavily . call front desk go back get different room . easy think , get total run around speak manager . yes , manager helpful give well room still room book . go room disappoint nice last time stay , figure could tough one night . check early catch flight deal front desk . return home check check account see still return $ 50 deposit also help theirselve another $ 150.00 . call complain try tell another night stay , inform check 6:30 a.m. 11th bill another night 14th . try explain 3 day take money account . could explain would investigate know something 5 - 10 day . anybody think stay Rio , would run fast another hotel . 
 Jul 15 2009 	 Big Disappointment 	 disappointed hotel . whole place kind date , 's completely isolate hotel casino Strip . want go anywhere , need take cab shuttle . make several ridiculously overprice purchase & quot ; necessity & quot ; store ( include bottled water ) , could not get drugstore retail outlet get need without pay cab ride Strip . free show offer closed stay , can not comment whether be worth visit . slot tight . be nearly impossible win dime , minimums table game high , consider & quot ; off - strip & quot ; hotel . reviewer talk & quot ; free drink & quot ; offer . offer one single free drink , pay absolutely everything - even simple diet coke shell hundred table . pool nothing like appear picture . & quot ; Sapphire & quot ; ( topless ) pool hefty cover charge , free pool crowd dirty . little island trash one pool not clean five day . suite spacious , be . lot room , need room ? be empty space . room clean , decor date room offer nothing special . also pay $ 10 day internet access . ' ve Vegas several time past five year , first time ' ve pay internet access . visit two restaurant , disgust . & quot ; American Bar Grill & quot ; absolutely wretched . ordered & quot ; buffalo chicken sandwich & quot ; like buffalo chicken sandwich have ever experience . chicken like pan - fry chicken patty , huge - three time size bun ( rock hard ) , drown sauce . take one bite leave rest . giant weird consistency , kind burn plain not taste good . boyfriend 's salad full brown rot lettuce . restaurant visit & quot ; Carnival buffet . & quot ; buffet claim vote & quot ; good & quot ; Vegas , exactly every buffet Vegas . actually , probably bad buffet . serve food every casino , vegetable old , bread stale , everything else bland pointless . take several different item one bite . one item worth second bite , definitely worth second helping . sort taste gourmet fresh food , eat Rio . diet consist mainly highly - process , high - fat , low - flavor food , go quantity quality , might enjoy . partake snack bar pool area , pleasantly surprise food . fresher food buffet , cook make order , right front , though pretty pricey & quot ; snack bar . & quot ; also order room service late night snack . look nachos , not menu , ask anyway , kitchen staff make we special order . food surprisingly fresh tasty . not interested lot sight - see want hang casino pool , not particular , hotel would fine . first visit Vegas want see everything , want spend lot time Strip downtown , would recommend hotel . pay fortune cab fee get back forth Strip . free shuttle , come every half hour . be often full end wait next one anyway . be go summer , critical point . weather 90 's - 100 ' every day , want wait outside shuttle hour kind heat . reviewer describe Rio past Mardi Gras atmosphere . . Rio BORING . go Vegas relatively busy weekend - UFC fight , World Series Poker ( happen Rio ) , however hotel dead . quiet , pretty empty , be really nothing eat bad food , lounge around dirty pool , lose money . bar & quot ; nightlife & quot ; lame . would recommend hotel , would return . 
 Jul 15 2009 	 good place stay play 	 clean , friendly dealer good vegas , even say lose . pool stay open later though . 
 Jul 12 2009 	 total joke 	 really poor every possible way.1 ) food slow clearly frozen . hard make hamburger patty ? difficult get breakfast buffet , awful look tempt get manager actually look quality food serve . say girl work omelet station work hard put good food alone stop say anything time . get $ 15 omelet- could go Bouchon Venitan pay thing world - class restaurant.2 ) apparently refuse clean room . drink casino leave table & quot ; suite & quot ; . sit table entire stay . see would take , leave floor final day take . traveler 's tip - want pick throw floor.3 ) casino host staff horrid - either not know job hospitality not care . friend show speak host phone prior arrive credit line approve . setup quick meet casino host- host come 10 minute late could not less interested even conversation . clear , not even ask anything- say hello introduce . not even get & quot ; trip & quot ; & quot ; sure try XYZ & quot ; here.4 ) cage employee marker policy joke . Refused give marker back pay via personal check- credit check ? tell would mail 5 - 10 day check clear . ' ve never see anything like strip hotels.5 ) general unfriendliness crap pit staff . although pai gow staff nice.6 ) make we essentially pay entire stay deposit checking . deposit large even food charge owe * Us * money check - out . two credit player essentially prepay room ? ? ? ? low rent ? 7 ) take two call resolve bathtub drain correctly . first call result someone come room not fixed- take shower be stand 3 & quot ; water . second day call ask 3 time facility manager send someone could fix problem , trying tell thing happen 20 year old building . pay room today 's price adjust 20 year inflation ? ? not think so.8 ) high speed internet cost $ 12 - PER DAY ! not work- could browse web try download kind video file time out . do not stay , ever . 
 Jul 10 2009 	 mixed emotion 	 wife stay Rio Years ago time live ! go Vegas every year always want stay , room rate always high , would take shuttle Harrahs -Have time live day vow stay could afford . well get great rate time stay again . check good . promise smoking room - none available , even though reserve one - had smoking available refuse upgrade we free . do not smoke much take non smoke room , ( complete ciggy burn furniture smell smoke ) go figure ? big deal ! room beautiful ! floor ceiling window whole length room view Rio sign strip . stained glass , mirror , L shape couch , large dressing area . room safe ( fit laptop state ) refrigerator keep item luke warm . no coffee maker . the Rio Sky Parade ( instead take time explain , look ) drastically cut back . main reason Rio use fun . the Rio use constant Mardi gra party feel , pretty boring . staff friendly never want free drink . drink server polite eager please . convenience store price outrageous ! ! ! ! ! ! ! ! ! ! buy booze energy drink across street Gold Coast - its short walk , save ton money- buffet good . reasonable price . the Rio slot tight ( metaphor ) ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! overall not experience Rio , would not disappoint . still worth stay price pay . cab driver say us & quot ; Vegas cut back everywhere cuz economy- never see slow & quot ; 
 Jul 8 2009 	 1st Time Rio will not last ! ! ! 	 first time ever stay Rio Loved every moment . get room compe 4 day , MAJOR plus . first get hotel , check get we room tell would stay 13th floor ( know really one ) ask switch room .. I m lil superstitious . put high floor view amazing . : ) order room service day waitor waitress talkative interesting . love communicate new people . actually find someone use work Disneyland work Rio . wow ! : ) thing not like hotel table minimum . high ! even low business time . satisfy gambling urge another Harrahs Property . , love hotel I m go back August 20 - 23 , compe room 4 day . : ) love ! 
 Jul 7 2009 	 ' m sad say agree other Rio lose 	 say stay Rio twice year business past 4 year elect stay couple day r & amp ; r afterwards . . attend trade convention , holiday . agree cheap , always bit funky ' love it . I also agree currently service poor offer even small . E.g . buffet small , show sky regularly service etc poor mainly outsourcedthe important thing we feel safe , however business paperwork , order cc receipt . i.e . every single piece paperwork trade convention , steal bag ( bag ) room . the Rio outsource security interest whatsoever manage process apologise . turn use agency cleaner idea whatsoever actually clean room way track either . anyone could room , /cleaning/ it . the irony lose search bag upon enter pool area case bottle water snack /hidden/ anyone appear room take something Rio nothing it . never 
 Jul 5 2009 	 horrible service experience though price right 	 start really like nice hotel room would normally pick place like RIO . suite stay one night leave drive Sedona . arrive 11 pm late arrival . arrive exhausted line huge slow check . one person work desk another work priority guest . finally get ask upgrade possible since stay one night get upgrade nice suite high floor ask roll away bed well . head elevator find service another huge line use service elevator . nightmare . finally get room , attempt order room service since elevator could 2 hour wait . starve wait line service elevator go downstairs eat . tell 45 minute wait eat . ? ? ? never wait one hotel cofffe shop long . frustration truly set . eventually get seat 15 minute slow service top . food good slow . exhausted close midnight Vegas time since fly Chicago 2 am body time , head back room , wait line service elevator . get room roll away bed . call say could 45 minute . say two teen exhaust . rollaway arrive 20 minute later . go bed get ready bed , bathroom crap floor dirty . totally grossed point exhaust want change room . get next morning , breakfast carnival buffet good left . never stay . positive due deal mail room $ 39 night . 
 Jul 3 2009 	 disappointed rio Loyal 	 visit vegas many time stay numerous place . TI , Mandalay Bay , Monte Carlo , etc , favorite Rio . harrah loyal visit property Lake Tahoe Reno several time year . trip rio much different . travel 11 freind / famly . rave rio discount book 4 room . past never leave deposit , time want one room .. typical hotel deposit first night stay . deposit 300.00 per room incidental charge room . inform would charge room , reduce deposit . mine 200.00 @ other 100.00 4th 300.00 . go like idea . to say least disappointed expect pay additional 1200.00 hotel room . shoot , would book Wynn . check nightmare becasue 4 room . 2 comp , guess get pay right ? get front desk 1 2 comp room come charge , make talk supervisor Scott , able pull tape phone conversation book room , verify try pull one . anyways comp room nice whole matter . well get room masqurade tower , large ( look like remnant sex ) stain couch , room update room , comforter bed , sheet . call say new look . 3 sheet .. white , remainign decor bright old vegas color . look awful . anyway Scott change room we . absolutely wonderful . next put impanema tower . not matter anymore happy go dinner everybody arrive finished check . room , well last one , nearly good 6 time stay Rio . carpet shred .. mean strand carpet pull . also , internet cafe starbuck one will come say .. HOOKER .. every night . would signal man come . catch turn 3 time . another time elevator one 21 john least 50 .. disgusting . Rio use classy place , favorite place . love atmosphere casino different boring one , never like eat . reason , food , way overprice mediocrity . one favorite thing vegas nice dinner . not mind pay la cart price , can not stand pay much money something leave disgust afterwards . usaully never eat rio . trip however , many we , consider everyone budget , 6 we look eat . well two old lady group ( mom aunt ) decide want stay hotel eat , walk around undecided settle McFaddens . go host , say wait hostess inside . 10 minute later come . Saturday June 27th case boss reading . inform we party can not come . house full mean adn 9:15 . girlfriend talking come back say well & quot ; seat will do 11:00 . & quot ; Mind friend talk young lady african american . could imagine must feel . not believe young lady racist , sure percieve way . perception reality . anyway , decline invite invitation eat resturaunt , decide RUB .. keep tell mother , mom not want eat rio need go somewhere else , boy want BBQ 6 decide RUB .. oh GOD .. waiter seem attentive first distract . would ask would like refill , confirm would walk away right front we hostess stand , palye iphone . would come back around ask everything , still bring drink . food .. come .. famous dave well BBQ place half price . anyway , stay , sure husband remain harrah loyal reno / tahoe area , hotel really much nice one vegas . agree never stay rio .. free .. recieve offer MGM property well , rio favorite . like love affair end .. 
 Jun 29 2009 	 rio = rude ignorant organization 	 favor stay stip treat 100 time well get rio . hotel even deserve 1 circle reason . Stayed June 20 - 27 , 2009 bad hotel 4 time Vegas even Stardust ( yeah long - put hotel shame ) . okay first time ever Las Vegas playing slot machine order second drink - never recieve waiter ignore play , go fromt desk food beverage manager ( tell ) finally arrive 10 minute wait - explain situation say get drink - give break say low $ 25 food voucher 2 drink Voodoo Lounge - reply I'am able give ( joke , although consider staying guess expect ) . oh yeah way prepare treat like jerk order alchol pool - order ice water noon sin bar water ( dispenser ) be not get tap unless tip water ? ? top nice rude server cuzan bar ( non- heated pool ) say good order 2 ice water - like yesterday . ( give break get pay rude comment ) look deal food eat - mention strip yet - money object yes stay rio - want extra spending money - avoid cost . 
 Jun 26 2009 	 real good time 	 stay Rio birthday . absolutly love room . view great high enough see 13th floor . comment room bathroom could use update . food good drink expensive go bar restraunt . love free show sky . 3 different show nite . ( we - sat ) not understand VooDoo lounge . music good seating inside rope . much lounging ... ? ? ? ? would stayed long spend could sit . think machine played pay pretty good . money last whole trip . 
 Jun 11 2009 	 comfortable spacious room great view . table limit way high 	 stay june1 - 4th friend . free upgrade 30th floor strip , pool , mountain view ask ! also , charge extra pull bed almost comfortable two queen bed room . bathroom 2 sink pretty small shower area . Shower area basic . strong smell & quot ; weed & quot ; ( aka MaryJane , marijuana , grass ) either room across hall adjoining room 4 day . pretty funny every day stack room service empty outside room , though occupant & quot ; munchie & quot ; . typical 20 - something partying , smoking , least quiet ! friend late 30 - something beyond college behavior . smell herb STRONG , not complain . one group hypothesize actually come ventilation hotel order we gamble ! Ya never know ! $ 30 charge go & quot ; adult pool & quot ; . will not pay ! table limit extraordinarily high : $ 25 blackjack min . day ; $ 50 minimum night . $ 25 crap table evening . rare $ 15 table . pro : free upgrade , comfortable bed , nice - sized couch , suite ; maid nice restock we well . con : basic bathroom . Marijuana party next door . $ 30 adult pool fee . table limit highmy advice : gamble Gold Coast next door palm across street 
 Jun 11 2009 	 LARGE rooms 	 particular stay strip . take lodge Rio - suite hotel . Rio offer variety dining choice , beautiful large room , lively casino plenty excitement entertainment , free shuttle strip.http : //www.joreviews.com / travel / las - vegas - valentine - day 
 Jun 10 2009 	 ok pay 	 Flew LV Sunday memorial weekend book 2 night stay deal Rio $ 35 night . must say much would reccomend place . room large nice bathroom great view towards Palms . tv someone say view bed settee movable stand , swing either direction see perfectly . food option 's bit pricey hotel walk across Gold Coast eat TGI 's , good breakfast special . car stay want use shuttle look like could long wait , que be large . overall not think place good choice 's choose , get $ 35 night go . 
 Jun 6 2009 	 Great Hotel ... Good Value ! 	 stay Rio 4 night mid May . find excellent rate ( $ 52 ) thi website list hot deal . book room read bad review hotel . bit skeptical choice . soon arrive know make good choice . long line check move really fast . room nice , clean large . Maid service excellent job ! complaint food grossly price air conditioning room well . get little warm , sleep sheet . offstrip location make visit strip little inconvenient . deal catching shuttle go . complaint easy deal . cheap food price walk Gold Coast good food great price . also loose slot $ 534 play penny slot eat dinner one night ! ! ! air sleep sheet . shuttle something know deal even book room . run every 30 minute wait long . highly recommend hotel would definitely stay ! 
 Jun 5 2009 	 good hotel - expensive food 	 spend 10 day Rio - 7 convention 3 pleasure . sixth stay hotel must say , Rio show 's age . receive room Ipanema Tower - 13th floor ( think casino not floor number 13 ? ? ) . advertise hotel & quot ; suites & quot ; , large room . seem upgrade bedding - duvet cover comforter large bolster pillow . tv still behind door dresser - need upgrade flat screen . room good condition - large sofa , 2 big chair , coffee table work table 2 chair . soon walk room , area closet ( refrigerator ) , long vanity double sink 4 drawer . food hotel expensive - eat Steak House twice - decent meal . cheap food Sports Book - order food , get number wait food come get table Sports Book eat . food ok price . take free shuttle strip twice - seem run fairly regularly . casino empty Saturday night ! slot tight . internet slow $ 9.95 / day . could pay $ 12.95 high speed ( supposedly ) , good stay - great staff . 
 Jun 3 2009 	 another nice stay Rio 	 ' ve stay Rio many time previously past decade . arrive around 2 pm Tuesday mid - May . line check - in get room quickly . 16th floor face pool Strip far elevator . the room look clean apparently maid forgot retrieve couple dirty towel floor next toilet . negative stay Rio . quite dead Vegas small crowd line anything , anywhere . never wait five minute Valet get vehicle . I not eat Rio restaurant , be want explore sample non - hotel local place eat . casino not busy Masquerade Show Sky cancel week . however , ' ve see many time . overall , good stay Rio also buck sportsbook ( bet Denver Nuggets defeat Dallas Mavericks ) . 
 May 26 2009 	 even compe not worth . 	 recent trip Vegas stay Rio since get totally compe 4 - night stay . stay qualm fact strip . be right across street Palms plan eat Gardunos . way , Gardunos fantastic Sunday Margarita Brunch . third time well continue visit Palms Margarita Brunch . be enjoyable ! anyway , back Rio . good thing say Rio fantastic World Buffet . come hungry , many great choice . experience Rio leave we disappointed . service everywhere ' ve come expect Vegas . instance , day decide visit pool day apparently choose open main pool . quite people pool area main pool completely rope . course , pool bar beyond main pool , jaunt get pool drink . ( closed pool bar near pool open ! beginning think place run politician . ) , seem people work come contact bother even . constantly feel like way ! not suppose want we ? room nice clean remember last stay . not think vacuum 4 night stay . one evening notice red mark coffee table . figure must nail polish perhaps difficult remove . , , rubbed come right . one evening upon return room notice ome pillow miss bed . bed make , extra pillow still floor far side bed must fall sleep . 's tip possibility not vacuum . look little closely floor notice bit thing would ' ve easily clean quick run vacuum . start pay attention little thing . ie . fingerprint window , etc . ... ' ve always expect feel previous people presence , certainly case . I know ahead time coffeemaker room , would certainly nice addition . I also notice smell Masquerade Village area awful . remind smell Las Vegas ' downtown casino Plaza . ' ve ' ve ever , know ' m talk about . I still consider write Harrah 's ( group own Rio ) letter describe disappointment . could imagine would like know reason will not return . big part would people work not least bit welcoming . 
 May 26 2009 	 pleasantly surprised 	 read review property bit hesitant stay . friend family town reunion stay , though . first concern strip . able take convenient shuttle Paris Harrah 's turn problem all . the next concern pricing . basic room anywhere $ 60 almost $ 300 depend visit . watch high rates- definately would not spend $ 100 room . the room suite definition . much big Vegas room , l - shape couch huge window separate vanity area , suite . room clean , look like model decorate barracks/ college room furniture . large size huge window plus , though . concerned stay large casino property would pain , actually easy navigate nothing inconvenient . love pool area , always crowded , somehow always manage find enough chair . walk order , chinese food place right check - in excellent . little pricey walk - up , large portion fresh authentic . the slot casino tight side , still fun . consider everything , back property future . 
 may 26 2009 	 definitely stay ! 	 read review Trip Advisor Yelp , bit apprehensive Rio stay great ! awesome deal room rate even without deal , would still feel way . Checkin prompt maintenance small issue in - room safe . request room Ipenema Tower base prior TripAdvisor review disappoint . the Rio high end dining shopping 's want property , be probably . IMHO , not need stay shop dine get comprable room alot less money , take ! will definitely look stay Rio future visit ! 
 May 24 2009 	 Great Hotel Lots Fun 	 go Vegas interview . need hotel call player club , total reward , get fabulous rate . time get hotel , leave couple day later , nothing excellent service . first night get 1 , go room find problem room safe . wife call guest service within couple minute safe issue repair . room big comfortable . would recommend Las Vegas hotel anyone . 
 May 22 2009 	 Met expectation not ' stand ' among rest ! ! ! 	 stay ( May 16 - May 20 , 2009 ) celebrate 20th wedding anniversary . 3:45pm flight Newark , arrive Rio 8:30 pm Las Vegas time , pick car rental . book Deluxe Studio Suite ( cheap category mountain view , strip view ) 2 4 night compe . request King bed , mention hope one available , 20th anniversary . one Ipanema tower , except handicapped accessible one , queen bed . King available Masquerade tower , desk attendent ( Jun ) say would happy Ipanema tower- retrospect , think try get we take handicapped room , agree , keep room available . get room , safe not work , bathroom awful handicapped shower - no tub . call downstairs , informed way could move . ? ? ? ? ? let speak manager . lar pleasant , quickly offer Queens 1 floor . agree , despite fact not King bed , strip view instead original mountain view , guess could consider upgrade . eat expensive- eat Sports Bar food court ... American Bar Grill , pleasantly surprise we great steak ... meal good , price somewhat reasonable get . overall , room clean ... maintenance come immediately new hairdryer one clearly burn . employee pleasant , except front desk experience . Maid service good ... forgot lock jewelry ... not touch . slot tight ... $ 5 3 card poker available morning . 
 may 22 2009 	 bad Casino ever stay . 	 wife stay Casino last May 15 - 17 2009 discount rate promotion Total Rewards . upon check - in , charge regular price . tell guy happen promo charge regular price indeed call , give discount rate reservation code . say not know promo amount 's come computer tell book line . ? ? ? tell check give regular price upon call , would not book . lady call reservation even give tha total amount discount rate , weird thing , email confirmation 's amount reservation . any way , half hour gruele argument , find mistake call someone verification apologize give we finally room non - smoking fourth floor . agony not stop . room ( suite room hotel ) give we stink smoke , sofa look like come dumpster , carpet stain , bathroom small ( bath tub ) suite room . call concierge ask transfer guy say fully book fact many people casino . , send service guy room spray deodorizer . well , tell wife patient sleep room couple hour night never come back . even World buffet good anymore couple month ago . good luck still want book hotel . would rather stay Bally 's . 
 may 22 2009 	 Good Value 	 Rio locate strip , free bus reward member . decent room , great price , decent service . Buzios great seafood restaurant . overall nice place stay price . 
 May 20 2009 	 friendly staff big room crappy casino 	 wife recently take first trip Vegas . pick Rio close Palms go attend concert not want pay palm ask . book basic room ( call suite ... ) be give . arrive Saturday afternoon greet pleasant desk clerk set we ' mountain view ' room Masquerade tower . not strip view room could see south strip nice view mountain 19th floor . room clean spacious 's would call suite . bathroom tiny , could hardly open door stand water shower hot toilet work well . overall service get good possible exception maid staff , not make room first day despite take ' do disturb ' sign around 9:30 . rest stay room make daily however . bell desk staff , cocktail waitress , total reward desk staff helpful seem happy . eat ' Gaylord ' indian resturant property , food good wait staff excellent job . thing stop give 4 star review casino . ' ve see describe dark dingy not really find . casino area Masquerade village high ceilinge clean , old section low ceiling never find dingy . gaming however crap . blackjack rule bad ( 6:5 , nothing $ 15 limit ) , table pai gow variation ( asian game ) 3 card poker type . be crap table look okay not play , roulette table double - zero . slot okay wife several decent run , mostly eat money . off - strip casino want gamble find leave hotel quite often shuttle trip every 30mins stop run 1 am often much later spend extra cab . stay get rental car , will make stay much enjoyable . would recommend hotel something want large room would not recommend anyone not want travel around lot find decent game blackjack . the pool area nice cockroach main pool ... carnival buffet decent huge selection , be buffet fan ( ! ) will not disappoint selection . 
 May 20 2009 	 's lot like hotel . also thing like . 	 ' ve stayed 18 hotel Las Vegas , ' m tear say one . the garage dumpy , not feel safe there . the room huge . the bathroom literally fall apart . shower curtain fall middle night , maintenance issue minor , inconvenient . they great free show every night . buffet heart - stop expensive . the cocktail waitress wear skimpiest outfit Las Vegas . my initial memory really like , think , remember thing not like . see someone would blast , someone else would disappoint . overall , think 's worth check . 
 may 20 2009 	 always stay Rio 	 go Vegas year stay Rio last 6 year . like room pool area . like room , ( poor view half - empty cocktail leave nightstand ) call get new room well view 20 minute . ' m crap player last year WS Poker raise minimum wager $ 25 per table little steep . like buffett especially prefer seat platinum card holder . ' m stay two week . 
 May 18 2009 	 pleasantly meet expectation 	 came town trade show Rio ' conference center . bit line check move reasonably well . reservation single king size bed ' available , bump 2 double bed room high floor . room spotless go . room expect furniture good repair problem light , water pressure etc . internet service simple setup use laptop . floor ceiling window offer great view 32nd floor ' assume floor would share view . order room service several time time food good polite professional staff . check go without hitch also . everything easily meet expectation , thing keep five star review nothing ever go beyond expectation . 
