move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Apr 25 2009 	 WARNING - they overbook 	 book panoramic room , email hotel twice let know fly west coast arrive midnight . arrive 1:30am tell oversell , send away , schleppe bag two block middle night Beacon Hotel , way perfectly nice less expensive . 
 Apr 23 2009 	 great place stay worth $ $ $ . 	 first trip NY must stay decent & amp ; clean hotel . book Ave , read review NY hotel Expedia , Hotels.com , Yelp , Trip Advisor . must say disappointed moment arrive hotel time check , stay 5 night . yes , pay want well worth . request King Superior room check get Queen ; say King available . next day call check one available , switch room . happy accomodate request . definitely like second room well layout , open space bathroom big . bed comfy , long day sightseeing walk 8 mile , nice come room relax . nice plasma t.v . , station clear , believe provider ... dish ( direct t.v . well ) . get bother cleaning staff nice .... also put privacy thing door would leave would switch service , come back room nice clean . location great , close Metro love neighborhood .... lot place grab bite . also close Central Park , love . use Cosi around corner free wi - fi .... hotel cost $ 12.99 day ! iPhone work hotel , even though 3 g network , block . staff friendly courteous . would definitely stay . 
 Apr 21 2009 	 Lovely Hotel 	 first arrive Hotel , concerned bit far main attraction , short ride away Metro , Hotel excellent , fact nice get away husle bustle time . within walking distance Central Park even walk Times Square . breakfast little dinner opporsite . lovely food good value . first time New York love . on / off bus ride boat trip well worth money . little Irish Bar block away Hotel . check . live music good night . american friendly helpful . 
 Apr 17 2009 	 Awesome Location 	 first time NYC glad choose hotel . ave great deal , easy get anywhere ... quick subway ride half - hour walk time square ( ) . hotel staff helpful nice . room clean , modern , really quiet . standard room really nice ( small course , 's new york ) . Diner across street deliver food 24 hour delivery charge . much view , care .... sleep really . would definitely stay , price unbeatable ... ask deal ! 
 Apr 16 2009 	 Lovely Hotel Upper West Side 	 recently stay Ave NYC . entrance hotel nice broad step place lantern ( light night ) , nice touch . plenty doorman help luggage . foyer large New York hotel stay complete comfortable seat area grand piano . upgrade basic room next level ( superior think ) even room fairly small . say spotlessly clean comfortable . particularly like bathroom . near lot great neighorhood bar restaurant away madness Mid town , 2 block subway central park . certainly stay . hotel clean , modern great location . oh leave , head back Ireland , need taxi JFK hotel car service airport , 65 dollar include tip toll , lucke next car stretch limo ! ! 
 Apr 15 2009 	 excellent place stay Big Apple 	 first experiance New York really great place stay take . really close subway , extra good diners/24 hour shop ! ! also try greek restaurant road fabulous authentic greek food ! ! room fairly small , bathroom far compensate gorgous deep bath clean indeed . starbuck coffee room fantastic TV 's nice large ! ! bed need lye back hard day trawl street . central park within walking distance , would say 10 - 15 minute walkgo top decking area ( even not smoke ) admire view high ! ! 
 Apr 14 2009 	 totally mediocre 	 hotel ok , nothing special . decor look like nice , run - down . carpet hallway dirty . sheet spot . room small adequate . two we could stand bathroom time . nice tv , dvd . wireless internet charge . 
 Mar 31 2009 	 Perfect Upper West Side Hotel 	 former New Yorker , task find hotel short business trip back old hometown somewhat difficult . predictably , stuck know , opt hotel Upper West Side , nearby previously live . ' m glad . UWS perfect living , easy access work Midtown . hotel excellent facility , room clean . room little small look airshaft - move follow day request . fairness , ask priority room selection have book . future , ask room look onto airshaft . I would personally able afford stay , since business expense , nice luxury . 
 Mar 29 2009 	 will back ! 	 great hotel , great location - upper west side . book online hotel 's website day leave get AAA rate 20 % & quot ; stimulus discount & quot ; less $ 150 night - bad NYC . make reservation Belleclaire $ 200 night talk people live work city , ota much nice . complaint room - superior king . bathroom great shape clean . staff helpful - able check bag upon checkout morning pick later afternoon charge . great diner right next door - Manhatten Diner - eat breakfast $ 17 include tip . issue parking . arrive late Saturday afternoon garage close check BestParking.com $ 40 night full . park 3 block away $ 55 . hotel & quot ; parking package & quot ; may consider use next time . 
 Mar 26 2009 	 would give 	 pro : good UWS location , enjoy walk Central Park , feel like & quot ; real & quot ; neighborhood , Loved nearby Fairway store , new area like explore , friendly staff , close Beacon Theater see show , subway close easy trip Penn station , easy use temp . control room , good price ( 129.00 ) , chain hotel , free wi - fi , large bathroom , large room ( standard King ) huge floor ceiling mirror- nice able see shoe match outfit ! con : Decor little & quot ; cold & quot ; increasingly popular stainless steel everything bathroom , tub , furniture little beat , staff friendly & amp ; eager really helpful , & quot ; 20 second rule & quot ; Honor Bar / frig , make - up mirror bathroom mount WAY high ( stand something use ) , feel like convert apt . build rather hotel ( kinda like Grand Old Hotel Grand Old Lobby thing ) . much nightlife area far could tell could wrong this - on Ave fine one two night stay get good price , clean , decent hotel safe area . 
 Mar 16 2009 	 Great Location disappointing room 	 stay part wedding party . rate great NYC ( 175 / not ) although lot discount . however , first room small . stain floor bathroom mat wear . b / c a / v problem hotel , extra flatpanel tv occupy desk space instead hang wall . ONDEMAND feature work . I ask move room new room bit clean .. 24h fitness center quite small . 5 aerobic machine multistation gym . overall , service great responsive location ( 2 block subway ) great . however , base room appearance well worn & quot ; W & quot ; hotel.look well deal nice hotel not bad place stay necessary . 
 Mar 16 2009 	 comfortable good service home base 	 look zillion review hotel place mini - kitchen , end go one Ave b / c location review . we find & quot ; superior & quot ; room comfortable reasonably up - to - date , 260 sq.ft . enough hang , although enough couch visitor . the service excellent around , front desk cleaning staff , well - train consistent . we mark room 4 5 room put first night -- 2nd floor , noisy , small , bathtub , next door kind live - in person messy entryway . move we right away morning , pro - actively call follow up . the well room 5th floor face onto Broadway , noise source manageable . noise heating system come nice , great big whump . overall feel great value . the neighborhood fantastic want able walk block find reasonable grocery , late night diner food decent restaurant , well Natural History Museum Central Park quite walkable . non - express 79th St. subway station two block . we manage scrounge internet zillion nearby wifi network room ( slow weak signal , barely work ) , not try $ 13 / day internet . 
 Mar 11 2009 	 great stay ! great location ! 	 8 year old son return four night stay Ave . son 's first vacation want make special . pour hotel review week - change mind several time . finally go glad ! arrive around 3 pm Friday . doorman open cab door even realize stop front hotel ( cab ride La Guardia $ 40 include tip ) . room ready hotel store bag tell we would hour . take return room 1403 . room lovely nice size great balcony , pillow floor , without case 450 square foot promise & quot ; Penthouse Loft & quot ; . go desk share concern quickly graciously move new room ( 1506 ) . room lovely first space , dresser , two chair . bathroom perfectly functional excellent shower . wall mount tv great plenty channel ( though several local channel come clearly ) . balcony fabulous offer great view Broadway Hudson River . bed comfy . rate include nightly turn service - night , chambermaid kindly ask need anything turn bed give son nightly chocolate . all employee helpful friendly ! neighborhood fabulous ! walk Central Park American History Museum easily . great restaurant around - Manhattan Diner , pizza spot , breakfast place ( New Wave Cafe great Shake Shack burger - yum ! ) ... market across street snack , drink , etc . 79th & amp ; Broadway stop two block Broadway . I would definitely stay Ave would recommend friend family . feel welcome son appreciate peacefulness spot crazy day city ! 
 Mar 4 2009 	 fantastic stay first time New York ! 	 book hotel boyfriend 30th birthday present . therefore look somewhere special affordable ( pay whole trip ! ) . Ave certainly meet requirment ! go superior room option . bed enormous easily comfortable ever sleep . room size big enough , especailly spend much time anyway . bathroom big huge walk shower good quality towel . also , big , flatscreen tv nice feature . location super . 15 - 20mins walk business Times Square , close enough visit not permenantly amongst madness ! central park matter minute away ! manhatten dinner great breakfast wonderful meal Niko 's last night . not look much outside food fabulous atmosphere lovely . the lobby hotel really nice , 's pity not small bar , would certainly spend bit time there . I would certainly recommend hotel anyone know look saty NYC . 
 Mar 3 2009 	 Good Value Excellent Service - go upgrade room 	 Winter special rate make excellent choice , bargain NYC . service incredible whole time . low price room small - go upgrade one . get superior room smoke - 100 % smoke free hotel . call front desk within 3 minute new room , key , bellman move bag , etc . 5 minute get new room receive call sure satisfied . new room far superior first . boutique hotel , w/ room service , business center , concierge , deck top floor view . great linen - excellent bathroom ! Bagel place around corner Amsterdam 77th 78th tremendous . line long move fast , coffee good , bagel + schmear ( sp ? ) plentiful choice quantity . bargain , ! stay already recommend . 
 Feb 24 2009 	 Comfy bed 	 good deal Priceline cost £ 512 five night . initially disappointed room go photo expect little . room size not issue corner room think little roomy . large walk closet bed comfortable . lovely view sun rise morning window . Manhattan diner across road breakfast every morning never come $ 20 we . around corner Natural History Museum . Taxi Times square hotel usually cost around $ 10 tip , cheap price foot throbbing hour walk ! would stay again - only price right . way would pay full price standard room . 
 Feb 23 2009 	 can not beat location 	 nice upper west side hotel . can not beat location though initially hard find lobby doorway side street Broadway . pick small room due price go often . exactly describe , small . ( probably give room dimension give virtual tour could easily get claustaphobic ) . king size bed take room flat screen tv desk . pillow comforter thick weave plush , bathroom modern clean . comfortable . something find irriate in- room snack tray bar position way bump often get bathroom item snack track consider & quot ; bought & quot ; tray 20 second ( electronic scale ) always concern dump thing . go long would ask remove . closet space joke , perhaps 6 inch wide also iron board fit . could use hook place elsewhere room . room clean except dark stain carpet size dinner plate . automatically make think less cleanliness place turn mark cleanliness . roof top terrace great staff cordial . 
 Feb 19 2009 	 Poky Rooms 	 great location poky room , spend money large room fund . 
 Feb 17 2009 	 Hidden Gem ! 	 hotel like home away home . 3rd time stay planing next trip next month . comfortable , beautiful , great service , old neighborhood ( use live 3 block away ) 
 Feb 7 2009 	 great way visit NYC 	 nice way see NYC away crowd ... close everything .... subway , store , restaurant . 
 Feb 6 2009 	 fantastic experience ! 	 son , audition 3 conservatory 3 day . first NY hotel experience would go back Ave ! staff wonderful helpful . room small plenty room suitcase hang clothe . bathroom spacious . location block either direction subway stop . great diner right across street ( Manhattan Diner ) . slight problem slow elevator 1 working , give place character , opinion ! 
 Jan 26 2009 	 great find ! 	 stay many time think great property . service always efficient , location great , price reasonable . hotel recommend friend often put family hotel come town . never disappoint ! 
 Jan 23 2009 	 would stay ! 	 stay Ave short anniversary break Jan 17 - 20th . read review property say cold , dirty , hard bed take advice fellow traveller stay here . we disappoint ! arrive hotel 11 be able check room . book standard room , request king . give we superior king fifth floor . Room & quot ; cozy & quot ; size , expect . clean comfortable large bed , lot pillow nice bedlinen . use white duvet cover crisp cotton sheet . much well grimy comforter get hotel not dare touch ! furniture nick scratch , expect hotel . overall though room great . big tv wall , clock radio etc . , large walk shower ton hot water ! comfortable . despite cold outside warm toasty ! staff friendly , location good . although would nice breakfast hotel , walk Zabar 's close taste local life fantastic raspberry scone . only possible downside room face street , firestation opposite . concerned saw , big problem , hear fire truck twice . high floor , occasional sound would probably notice . Manhattan go expect peace quiet though ! , next trip New York look Ave . superb value money . 
 Jan 18 2009 	 great time ... prepared hotel ! 	 fantastic time NY - hotel great location , book saw come recommend Time guide think look good young couple . good thing leave read review website hotel . people say upon arrival , give room book due ' double booking ' end room not want . one reviewer recommend take print picture room book prove get . take advice arrive hotel ready battle prob arrise - pay lot trip not want screw ! sure enough , arrival tell room ( panoramic deluxe ) available . offer deluxe room . room big , 2 double bed not need , balcony , whole point book original room . staff pretty crap leave we deluxe room ' sort luggage ' not return 45 minute , despite we tell not want new room . chase , phone reception 3 time get everything sort bag side hotel . staff generally unefficient , especially consider hotel particularly busy . eventually confrontation manager , show picture room book stand firm reservation confirm book room specifically balcony . read previous tripadvisor review know sometimes upgrade , insist get room balcony promise . pay choice upgrade we next good room outdoor space - penthouse loft ! soooo , would say make sure stand ground take printout room book . minimum room mysteriously unavailable upgrade free . actually work well we end fantastic hol ! 
 Jan 10 2009 	 great location 	 stay Ave 2 week Christmas holiday season . arrive late night greet cheerful check staff . room fine arrival small expect . bathroom huge . the room stay 9 th floor view street noise apart occasionaly siren . housekeep friendly see stocked bathroom well towel . not problem house keeping . they lack however welcome book hotel like get hotel ( maybe missing ) .Also employee turn check mini bar see it- stock taking . not believe tell not mini bar room . come look . ( maybe removed ) alter sheet room number say mini bar . do not pay internet acess little business centre / room . able pick Free wi fi singal use that . the Manhattan dinner across road open 24 hour okay breakfast . also little supermarket call westside market everything could need . especially like fruit salad punnetts . ittle bakery open 24 hour good food hot drink . subway easy catch number 1 train way . on last night midnight leak bathroom roof water pour onto floor mirror . rung someone soon possible clean along security guy come oversee thing . come back later towel we need . would stay great little area easy walk central park even times square like walk . 
 Jan 8 2009 	 comfortable bed plenty NYC walk . 	 hotel situate handy quality area . subway ( excellent ) close . restaurant Columbus Amsterdam also close . fruit stand nearby . supermarket nearby . hotel obviously recently refurbish . room fairly spacious comfortable bed plasma screen ( terrible reception ) spend 4 night stay walk around NYC not much issue . bathroom small modern . hotel staff courteous polite . internet access fairly pricey one would expect NYC hotel . rooftop view , although nice , regularly frequent smoker not pleasant area relax . pity view nice . nice stay would probably look elsewhere next time unless crazy deal offer . 
 Jan 1 2009 	 pleasure 	 stay significant 's 60th birthday . desk clerk , Maria , graciously upgrade we wonderful & quot ; suite & quot ; balcony overlook river . large room , well appoint , great bathroom , fabulous bed . hotel quiet welcoming . not look wifi stay connect ; come enjoy NYC . lack onsite dining irrelevant ; be great supermarket good diner across street . 's nice UWS , away congestion mid - town . would definitely stay . check website regularly plan trip , able change early reservation week leave , save $ 200 -- parking ! 
 Dec 31 2008 	 Small Drafty 	 husband stay three extremely cold night December . insulation prove poor much cold air enter room window , cause discomfort . standard room small queen bed take space . tiny closet could hold two coat nothing else hang area . hook bathroom , nothing could hung . tv work arrival one available fix next day . safe room . on plus side , get excellent price hotel 's web site New York -- $ 139 per night , exclude taxis . location , though central , good -- block Central Park two block subway station . room clean quiet bed extremely comfortable . staff generally friendly helpful . the hotel 's restaurant , almost impossible get without reservation , outstanding . excellent pasta dish , rival meal ' ve eat Italy . chef 's special dessert night eat gingerbread pudde eggnog sauce ... truly delicious . get JFK Airport become easy inexpensive Air Train . Penn Station , take Long Island Railroad Jamaica station Air Train airport , stop every terminal . take half hour Penn Station airport cost $ 8.50 per person , include senior discount LIRR . 
 Dec 21 2008 	 fantastic Stay ! 	 boyfriend stay Ave five night December 2008 . stay Penthouse Loft 14th floor . the room fantastic , spacious . stay standard room another Upper West Side Hotel three night previously , really appreciate luxury size room , especially New York standard ! bed extremely comfortable ( big ! ) bathroom also clean spacious fantastic shower ( also big ! ) . huge tv wide range channel . sizable terrace table four chair , well lot walk space . view not amazing , could see quite far uptown amazing look fire escape ! room quiet , could not hear street , ceiling floor window amazing ! service generally good , front desk staff helpful . problem first night tv not work thing miss room ( include disturb sign mean woken maid first thing ! ) take couple phone call get , minor annoyance everything fine . New York Post leave outside room free charge every morning nice ! also full minibar include food , though not use it . housekeep good , though evening turndown service come remove pillow , turn light turn radio , bit disconcert first time come home think someone break room ! one downside wi - fi $ 12.95 24 hour think expensive consider many less hotel offer free . we problem store luggage day check , though problem get taxi airport door staff give away book car ( hotel offer service $ 65 JFK include tip toll ) someone else end get yellow cab ( fine ) .Upper west side location fantastic , hotel restaurant good ( fairly cheap ) , hotel close subway within walk distance midtown park . there minor annoyance trip , pale insignificance compare luxury room . wad definitely worth pay penthouse loft , really recommend standard room extra space terrace . 
 Dec 18 2008 	 great hotel- great people ! 	 fiance New York work 2 week meet last weekend . stay Ave weekend great time . room nice spacious .. people great .. hotel close everything want see ... Madison Sqaure Garden , 5th avenue , Tavern Green . Manhattan Diner right across street great breakfast . also recommend Carmine 's italian Restaurant dinner ! 
 Dec 11 2008 	 dissapointing 	 stay Ave 2 night , leave Israel . dissapointe hotel . lobby dingy hallway dirty . room clean , bed hole sheet , much dust blind . ask change twice housepkeeping never come . overall atmosphere hotel far four star , close two star . 
 Dec 10 2008 	 Loved ' the Ave ' 	 Excellent Hotel . stay 10 day love , specially location . locate 3 block Central Park American Museum Natural History . room clean , comfortable employee polite . recommend . 
 Dec 6 2008 	 one annoyance another 	 room decent enough , annoy much experience will not go back . wi - fi work without spend 45 min phone tech support -- check - out charge call could not remove bill . housekeeping respond 2 call provide missing amenity room . room noisy -- avoid room 12th floor , home ice vend . disappointing stay . 
 Nov 6 2008 	 wonderful ! 	 stay hotel Trip Advisor recommendation darn glad do . stay Queen Queen suite 10th floor ny standard well average , bath shower could mention bed .. comfortable ever sleep liken sleep within cloud ( imagine obviously ! ) Ave open restaurant / bar look great although could not get table keep arrive back late shopping trip , order food diner across street could eaten week amount arive .. massive portion really good too . the hotel staff fantastic , friendly could recommend great place eat want go midtown ... door staff wonderful although could get name give mention Cris other .. helpful every possible way . the housekeeping change bed towel every day without fail also great . the location previously mention review 2 block away central park take 10 minute gentle walk get .. walk park stop lake view arrive south side take place 6th 7th street breakfast hit site ... oh go ice skating park evening .. much fun .... can not even skate : ) 
 Oct 27 2008 	 good value hotel 	 situate mid - way Central Park , two street away subway station think hotel well place get around Manhattan . certainly one reasonably price hotel area . would also recommend Ruby Foo 's , restaurant around corner beautiful inside amazing value . 
 Oct 25 2008 	 spotless hotel 	 book active hotel .com check review say great find upper west minute walk central park . room view wall bit lack daylight definately good bed ever sleep . fresh change daily white linen fresh fluffy white towel change daily . perfect subway two block walk ad highly reccommend subway daily ticket 7.50 unlimited ride . entertainment throw always something go . completely clean safe area manhatttan diner fantastic food need . supermarket across road open 24hrs . second visit nyc book hotel . bit costly worth peace mind want leave . pay charge museum ` ` suggest '' donation fleece ... instead wait line pay dollar enough cash visit places.dont put attitude staff train make feel bad . new yorkers meet tell we refuse intimidate public building really make charge see exhibit . hire bike accross street hotel 20 dollar for4hrs get round central park easily save foot torture . go riverside park bike avoid traffic still visit every tourist site easily save time pack much way . do not use shuttle service unless happy wait 2hrs airport hotel use fab train service new jersey transit newark penn station nyc ( $ 15 ) subway hotel ( $ 2 ) unless disabled . quick get swing use trainswhich absolutely reliable . bus slow yellow cab cost lot . think walk poor foot suffer . subway map easy follow get station . friendly new yorker trip give help . try mixed nuts street vendor take show goint tkts booth times square discount ticket always available day long fussy particular show see . try broadway show small theatre often brilliant . could go .... go fun . 
 Oct 23 2008 	 okay 	 location great . staff seem bit young . arrive 7:30 although know check 3:00pm , ( wed 5:30 pm Staten Island ) , girl behind desk extremely positive . come back 2:00 pm , one call we yet , look lobby see half full people wait like we . get & quot ; early & quot ; 2:50 pm . great hotel size Sunday morning . door guy nice . one concierge awful . okay . room cleanish , spotless . bed nice , shower good , amenity okay . location great . know place NYC price little character . 
 Oct 23 2008 	 Stylish Hotel Good Location 	 pleasant 4 night stay . book ' Panoramic Room ' balcony , turn bit waste money room north - face - without sun - balcony cold enjoy . still , nice view glass make room bright airy . room small would get price city ( ny ! ) nicely furnish adequate closet space amenity require comfortable stay . bathroom small side ( definitely make use one person time ) roomy walk - in shower . the walk Central Park little expect , find lot good shopping , dining drinking option area subway station pretty close hand . I would certainly stay Ave . 
 Oct 16 2008 	 really Lovely Hotel 	 stay 2 night 11th-13th october think hotel lovely . nice room , professional staff excellent location ... 5/10 min walk central park , 5 min walk subway bad walk times square etc . lot restuarant , cafe supermarket near would definitely stay 
 Oct 10 2008 	 Good Choice Location 	 fiancee ' stay last Autumn spectacular . first visit NYC completely bewitch city magical vibe . Central Park , two block away , feel like center universe stand amidst change leave . stay four night think vacation stay vivid mind week long stay Hawaii Mexico . definitely NYC good time year -- cold freezing , snow . definitely city person -- much prefer open space greenery Manhattan indescribable energy always hear people refer ; find spot . want emphasize think nip cool air alot feeling ; not think would like nearly much hot humid summer . think next good time visit would early Spring . we stay penthouse loft stylish comfortable . would estimate room around 500sq . foot include huge balcony enjoy wine champagne . balcony face Broadway Avenue believe background river -- Hudson presume . lobby common area nice , clean cozy -- thing notice look worn elevator . beyond infrastructure , painting , carpeting , etc look good condition . restaurant bar site , hey , walk outside welcome NYC ! ! famous Tavern Green 8 block away . Less 100yd away good chinese place call Ruby Foo 's also Times Square outpost . dine one hotel enjoy food ambiance . last day find great spanish / Meditteranean spot 1 block love wish find soon -- forget name wonderful food Sangria superb . would recommend Tavern Green great set Central Park . food nothing special midst famous landmark make fun . seat next two hilarious couple we great time talk . one couple Philly say like get away weekend NYC couple time year . get blitz husband much preferred talk us wife ! couple London wish photographed jacket guy nerve wear -- straight central cast Austin Powers movie . my can not miss destination Dakota Hotel ( John Lennon shoot ) , be Central Park not remember cross street ; new yorker direct . another one fabulous restaurant Upper East side call Amaranth . Madison Ave 63rd 66th st , forget sure . Top Rock also cool expensive ; incredible skyline view entire view huge rectangle Central Park . whoever come idea Central Park middle large metropolis earth genius . the thing want mention bring comfy walking shoe lot . subway half block away hotel still ton walk . would recommend walk along Madison Avenue Upper East Side -- fun ton see . Bryant Park Mid town also really great . finally , true New Yorkers rude insensitive , not interact much server restaurant great , not hear people lean horn even really profanity . general think keep seem happy direct respectful tourist right direction . even great chat New York Gaints fan bus game ( huge Cowboys fan -- Giants play day know fan team ) give tip avoid congestion leave stadium . nice folk . ( cowboy game 11 point hear Giants fan throw Eli Manning bus ! course two month later win Super Bowl ! ) hope great visit ! 
 Oct 5 2008 	 oh .... 	 oh , goodness . life ever stay hotel room dismal . despite multiple request upgrade ( willing pay ) , consign cell - like standard room . 150 square foot , one could barely turn around . & quot ; modern & quot ; decor make room feel stark bleak . truly feel prison . metal wash basin tiny bathroom reinforce impression . water pressure non - existent sundrie meager . front desk staff aloof , though efficient . 45 minute standard time require car retrieval . must park Hoboken ! price , many well choice . 
 Sep 30 2008 	 great hotel Upper West Side 	 husband stay one night little mini - holiday . great neighborhood convenient subway ton great restaurant shop . walk Central Park Met Natural history musem . we standard room spacious city room clean . huge flat screen tv ( work great ) nice simple modern furnishing . definitely safe bet want spend ton city . small rooftop terrace , open hotel guest great well - add bonus ! 
 Sep 27 2008 	 disappoint 	 give review room rate , quite disappointed , maintenance room lack professional behavior desk staff . book two room special weekend mother , arrive hotel another family member . despite explicit detail reservation ( reservation file ) , desk staff choose consult make check - in process difficult family . several call mother direct room , despite correct desk staff several time . mother get nice corner room upper floor , lot nice deck space . however , second room small price , thick layer dust surface , malodorous , suggesting not maintain well . major , noisy exhaust fan outside deck door , could not leave open alleviate musty odor . Debris leave hall carpeting unless asked clean . might forgive hotel rate 30 % OTA 's , price . 
 Sep 24 2008 	 Mixed Reviews 	 ' ve stay Ave time past twice make think stay next visit . book Quikbook 48 hour previous stay rate go 25 % . call Manager see would honor new price never call back . call reservation put Manager , never call back . get speak , deny ever receive voicemail message leave twice . bad BUSINESS ! time , get stick room closet tiny , take two hanger - manage fit one jacket space ! order use hang space , put iron board bathroom . ask move tell room - tell check attendant problem , say plenty room could move . hotel great location , linen really nice , bathroom nice , management could improvement term handle issue . 
 Sep 24 2008 	 love ' on Ave ' ! ! 	 basically book hotel base hotel review site - ' m glad ! ' on Ave ' not disappoint ... tuck away Upper West Side perfect location visitor not want stay hectic hustle bustle downtown New York , still want somewhere vibrant atmosphere . we book penthouse loft spacious clean . bed fantastic ! New York not amazing place would happily spend four day lounge bed ! small balcony table chair could enjoy view . Bathroom modern nice big shower ! also , high ( 15th flr ) not keep awake taxi 's honk horn ! good place brekkie Big Nicks Broadway , 2 min walk hotel . go back every morning great service every time ! nearest subway stop 79 St takes directly want whether Times Sq , Soho , Southport Ferry station easy quick get around . the gripe experience ' on Ave ' mini - bar charge check . add extra $ 50 onto end bill ' m glad review bill hand credit card not touch mini - bar ! ... could not recommend hotel ! would definately return room rate reasonable New York ! advice : afford , stay large room truly lovely ! keep eye special ! 
 Sep 15 2008 	 real gem 	 outstanding hotel almost every respect . stay New York numerous occasion Ave far good experience . situation suit we fine - little away bustle mid town therefore tad quieter although still buzz . the service provide hotel second none . stay panoramic view room 15th floor , view Hudson river leave Central Park right . room extremely comfortable huge feather bed expensive linen change daily . bathroom large stylish shower expansive could almost call wet room . the Ave staff reception room maid always friendly especially bellhop oblige came book find cab need they . whilst stay hotel discover new ownership result upgrade terrace furniture . hopefully improvement extend carpet rather stain , thing spoil otherwise perfect appearance . the Manhattan Diner , opposite hotel , fine breakfast would also highly recommend short walk Amsterdam W79th Nice Matin . also Amsterdam w78th great italian restaurant , La Vela . we really enjoy stay Avenue would go far say first choice every subsequant visit . 
 Sep 3 2008 	 good affordable rather stylish Upper West Side Hotel 	 September 2007 , girlfriend stay Ave 4 night . look stylish hotel Manhattan acceptable price tag ( New York standard ) .Overal Ave meet expectation . hotel one would visit amazing design room . neither hotel would recommend look spacious room ( , New York ) . stay standard room . room pretty small . we much like terrace hotel . nice view New York , either night day . hotel centrally locate , mean need travel quite bite ( metro station one block away hotel ) get top attraction ( except Central Park American Museum Natural History ) popular shopping area . quite drawback . , , one reason hotel affordable other Manhattan . 
 Sep 2 2008 	 Nice WATCH ! 	 stay 2 night end August . 's nice hotel great Upper West Side location . book Priceline , get good rate NYC . wish not say , like hotel , .... watch ! 2 different time add charge use minibar room . know minibar even touch item . check , minibar charge remove tell not use . explain sensitive , must happen . remove charge . woman check next minibar charge $ 35 whiskey - say neither husband drink . follow day review credit card charge see another charge hotel different amount ! call , tell use minibar . tell not use touch minibar began give story sensitive . remove charge , wonder many people get take . my advise - hotel nice , billing practice shady . stay , scrutinize bill . 
 Sep 2 2008 	 great location nice place terrace not live expectation 	 location good . right Broadway , block park subway . away madness town , quick get . nice view park Hudson . good : comfortable bed ever , nice bathroom great shower . quiet . great linen towel . helpful friendly staff . nice clean room , clean twice day turn service . coffee maker mini bar . 2 big flat screen tv ( although time watch tv NY ? ) easily accessible connection laptop DVD player . bike rental place across street great . nice guy bike go , give we idea place check call cell return walk couple block away . ride park fantastic . the bad : room bit small penthouse suite . balcony big disappointment . website say range 250 - 500 sq . ft . 's way 60 . saw room large tile terrace , narrow concrete slab drain middle . idea dinner terrace view go . even big , immediate view construction site building look like soon obliterate view west . plus onsite restaurant suppose open Aug. 1 still open Labor Day weekend . sit back wall balconey could put foot . one chair , wait day make 2nd call bring another request . even though not rain couple day , gutter roof constantly drip water middle it . also , hotel directory state call desk shoe shine service , call asked get shoe shine , say not . ? ? 
 Sep 1 2008 	 great place stay 	 stay 5 night end July would highly recommend anyone visit New York . location fantastic , room lovely decent size keep really clean . little noise feel safe secure woman travel alone . balcony 16th floor great place quiet time read chat people . breakfast diner across road ( whilst hotel finish building ) get bit tired breakfast end use voucher . really great restaurant area hotel within walk distance Central Park many fantastic museum . want less touristy stay New York would highly recommend . 
 Aug 31 2008 	 expect ! 	 well , start . first , really research hotel read many , many review positive . stay positive all.1 . bed , hard old ... oh gosh , look feel like mattress 1980 's value motel . 2 . expect clean room ... upon check room dirty ... tell front desk agent respond simple ... sorry .... offer change room ! 3 . ask concierge arrange ticket Ellis Island ... well ..... tell go business center pay minimum $ 3.00 20 minute use arrange ! 4 . ask stamp mail postcard letter ... STAMPS , said & quot ; walk across street purchase stamp bring postcard letter back & quot ; .5 . condiment coffee first morning .... go front desk ask ... tell would housekeeping send .... never ARRIVED ... get housekeep cart ! 6 . top .... charge $ 870.00 room service dinner one night .... instead $ 87.00 .... tell wrong ... accounting dept could reverse ... front desk manager ..... well , check 8/22 guess STILL receive refund cc .... GM need get handle place . needless say , return ........ 
