great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Sep 14 2009 	 job stay . luxury 	 pleasant check staff . although enquire upgrading room tell room available even though go pay upgrade . 8th floor room new yorker tower & quot ; excellent & quot ; view roof end rollercoaster . good thing never hear coaster room . room nicely decorate clean good housekeeping service . would like coffee make facility room starbuck outside entrance tower . dine gallagher italian restaurant really good . pool area really busy cramp space lounger . pool area shade least 12 noon . sun hit sun brolley shade . good waitress service food drink pool . another good thing pool lounger unattende 30mins lifeguard remove towel allow other use , stop people & quot ; reserve bed early morning show till lunchtime & quot ; hotel ok night stay expect 5 star luxury go somewhere else . oh also spa great bit pamper recommend hot stone massage pedicure . look coupon room get good deal spa also get 2 ticket zumanity show 100bucks think price would get rubbish seat get 2nd row front . 
 Sep 14 2009 	 love every minute hoiday stay hotel superb ! 	 Pro 's Plently place eat within hotelplenty shop within hotel Bank within hotel Casino & amp ; slot doorstep , free induction play tablesrollercoaster & amp ; acrcade hotel ! ! theater cirque due solei hotelroom service dailyfree ice machine every floor stay 2 week none facititie break ie televion air con think great bonusfree drink gamble slot machine ( tip waitress ! ! ) free towel poolBar & amp ; waitress pool Ny Ny central strip amazing thing vegas hotel theme , ny ny , mandalay bay , luxor , Ceasers Palace , planet hollywood , paris ect ectCon 's Pool lovely would better big - lounger go time get pool . would recommend anyone hotel ! ! ! xxxx 
 Sep 13 2009 	 Good Location 	 first time stay NY NY viste casino several occasion . typically stay Golden Nugget b / c enjoy atmosphere much well . , NY NY run Summer Special could pass . SUMMER BREAK escape : $ 65 per night Tues - Thurs - 35 % zumanity ™ ticket nyny- 2 - for-1 Drinks BRAND Steakhouse Monte Carlo- 2 - for-1 Roller Coaster pass nyny- 2 - for-1 Buffet Monte Carlo- 2 - for-1 ROK Vegas ™ Nightclub Admission nyny- 2 - for-1 II Fornaio Breakfast nyny- 2 - for-1 Lance Burton ticket Monte Carlo- 2 - for-1 spa admission Monte CarloService : hotel service okay . staff friendly overly friendly . offer upgrade suite extra $ 90 / night . ummm , thank ! room : room decent size . locate New Yorker Tower strange noise throughout entire stay . first think roller coaster noice belt run window see coaster rolling luck . not annoying wake several time throughout night . place eat : several choice food hotel . eat Chin Chin ( $ 12 - 15pp ) good , fresh chinese cuisine . also grab couple slice pizza Sirraros ( $ 4 slice $ 15 whole pie ) . Gonzalez Gonzalez pretty good quite resonably price ( $ 10- $ 15pp ) . several place eat ESPN Zone , ton place snack ... Ben n Jerry 's , Starbucks ... location : location hotel great stroll south end Las Vegas Strip . close hotel Luxor , MGM , Monte Carlo ( eat buffett part 2 - 1 deal GREAT . Loved make order Philly Cheesesteak sandwich . ) overall positive experience . give choice , stay downtown Golden Nuggett . want experience Strip , would good choice give right deal . 
 Sep 11 2009 	 enjoy place 	 stay Aug.29 sept.4.09 . book Summer Escape package get we Park Avenue Room extra ( 2 1 many coupon ) . upon arrival , greet warm front desk attendant Jessica . upgrade we Broadway Room 17th floor New Yorker Tower . many tower hotel , be design like NY Skyscrapers . Broadway Room : room spacious great view MGM , hotel around ( Hooters , Excalibur , Luxor , Tropican , mandalay ) roller coaster . bed firm sheet alright . think find cigarette burn , not pay much attention ( notice last day ) . bathroom marble floor counter slide shower door . armoire coat hanger . complaint 25 & quot ; tv approx 15 - 20 ft bed angle . nothing major , since not go Vegas spend time hotel room : ) . room 450sq.ft bit big base room MGM ( Grand Tower ) .food : eat follow place NYNY Hotel . Il Fornaio ( Breakfast ) - service fairly fast . corn Beef Hash poach egg , gf veggie omelet . excellent fresh . part deal get 2/1 deal . Sirrocos ( Snack ) - typical pizza place , nothing special . load pizza topping , not thin / crispy would like . eat twice , fairly satisfied . Greenbergs Deli - Rueben Matzoh Ball Soup . meal great way end trip leave mighty full day . America 's - order turkey burger , please ensure fully cook . return mine still bite red inside . however , waitress accommodate offer we bowl Chicken Noodle Soup ( fill ) . look eat cheap , take advantage cheap eat ( AYCE Pancakes , 11.99 16 oz Ribeye , 14.95 Ribeye / crab leg ) . ribeye one well steak ' ve . nachos well fill load typical topping . casino : always machine available , casino seem quite slow time . fair bit table range $ 10 include rapid roulette table take credit card . daily slot / blackjack tournament player card member ( free sign ) . drink service fairly decent casino size ( ' ve see bad MGM Mandalay ) 's cigarette lady walk around well . nightlife : Bar Time 's Square duel piano take request ( tip ) play favourite song . lots fun group great time . check club 's scene . also beer lover , check Pour 24 . amazing selection beer America . favs Alaskan Amber Ale Black Butte . tell , Zumanity & quot ; Erotic & quot ; show , type , look Love Ka . get good deal Tix half , locate Planet Hollywood . overall enjoy stay hotel , MGM . lot less walking , style appeal I . picture soon , question , shoot line . 
 Sep 10 2009 	 Nice Hotel . Great Price . 	 enjoy stay New York , New York Hotel . first night book Imperial Palace decide transfer New York , New York . stay total 4 night New York , New York hotel would consider stay . would certainly highly recommend friend family . room large enough , great view strip 25th floor ( get free upgrade ) , price room reasonable nice quality hotel . room clean everything brand new . sleep well bed quiet . first , concerned roller coaster nearby , really bother 's close night . someone travel frequently business pleasure picky hotel hotel excellent place stay . be also close airport early flight ( plane bother room -- barely hear ) . casiono nice big well maintain . selection restaurant great ( would recommend Gallagher 's like steak ) . much shopping , store souvineer . also give $ 100 coupon book get restaurant food discount , plus free welcome drink . my caveat way end strip like walk might bit inconvenient . otherwise , really bad walk strip besides nicer walk see sight . would recommend take monorail across street MGM Grand unless be go northern part strip . 's well walk casino hotels/ 
 Sep 10 2009 	 ` ` Four Star Hotel '' 	 & quot ; Four Star Hotel facts:1 . registration attendant fail welcome we hotel , never address Sir Mr. , take time answer concern question . request single bed room reservation make , get double bed.2 . room : room spacious , good storage . Mattress comfortable , however , bedspread bed large cigarrette burn ( non smoking room ) . call housekeeping replace take two phone call two hour send attendant . Desk chair seat soil spot . furniture room look old scratch . room smell clean . Carpet looked feel dirty.3 . bathroom : find towel hole . towel neatly display organize like normally see hotel room upon arrival.4 . computer / Telephone charge : internet access $ 14.99 daily . telephone charge $ 3.00 daily . use computer business center print boarding pass $ 5.00 minimum charge . late check $ 50.00 charge . check line available afternoon -- send back check - in line 20 people wait check - in . 5 . common area ( hallway elevator ) : keep common area average . hallway vaccume & amp ; full debris , ashtray clean empty elevator , elevator clean . 6 . Hotel Staff : hotel staff rude unprofessional . go great length make excuse instead find offer solution problem . hotel overrate good value money . good location , little commend hotel . return hotel next trip . 
 Sep 9 2009 	 bad - well expect 	 travel Labor Day weekend- lots people , hotel nice . invite Casino Guest Check go quickly . Friendly Staff . room 34th floor - scare height , suggest high - kind uneasy feel high air , great view mountain . room nice , clean - large expect bathroom small comparison room . could sit toilet close door . shower pressure good bathroom clean . bed so - so , hard side - window clean room generally clean . Maid service nice job every day . Woud stay . 
 Sep 8 2009 	 Nice Place ventilaiton need improvement 	 first , mention NYNY , Las Vegas one nice MGM Grand property . design layout facility much convenient massive hotel like Venetian stay last trip . arrive Saturday evening Labor Day weekend upon check tell non - smoking Park Avenue Deluxe room unavailable , however would upgrade we Broadway room - would take smoking . normally not bug much , agree . however , room really smell bad , whole casino . kind dank ashtray odor permeate everything . someone might say : & quot ; casino , smoking room - expect & quot ; . response would NYNY bit top . first time remember affect residual smoke , end sinus congestion , cough , minor respiratory issue try sleep . issue would clear soon walk build . engineering department need work ventilation . I can not end review without mention nice positive thing . breakfast buffet Chin - Chins really good . chinese style egg , fruit , meat , etc . excellent . also love foot long hotdog , authentic pastrami rye Greenburgs Deli - like make New York City . also mention staff hotel helpful , courteous , go way treat customer personal touch . 
 Sep 7 2009 	 Love Hotel ! ! ! 	 hotel locate right heart happen hotel . check quick . bed comfy view srip noise roller coaster . second trip Vegas blast . first time come get marry party . time around come one year anniversary get great deal room . room quiet floor ice maker room room clean . get 20 % four great restaurant inside hotel 25 dollar free slot play . especially love hotel 's big get lose walk around . pool small , go next door Monte Carlo four pool include lazy river . check use T.V . instead stand line , be fast easy ! long hotel treat husband like King & amp ; Queen , will back everytime ! 
 Sep 7 2009 	 New York New York Hotel Casino 	 husband stay hotel first year anniversary Aug 30- Sept 4 . first time Las Vegas not know expect . trip , check trip advisor review . good bad decide NYNY hotel . time live ( far ) . hotel lobby really nice ! greet many many slot machine ! ! ! arrive 11 am b4 check ( 3 pm ) allow we check bag hold area receptionist give we confirmation number telephone number call see room ready . room ready 1 pm pick key baggage go room . the room : Broadway Deluxe room nice spacious . love fact great view MGM Grand , roller coaster , Excalibur , ! thing hate tv . tv sooooo small .... mean ... serious ! ? ! ? ! ? bed least 10 foot away bed little ( seem 19 & quot ; ) tv do not almost fill space sit ! husband laugh soooo hard get bed turn tv ... go to buy binocular see darn thing ! bathroom huge really nice ! water pressure , though , really low . bed really comfortable that s plus ! roller coaster directly outside room , never bother we one bit ! ! ! pool : pool hot tub area nice . deep part pool 4 foot do not like much ! not crowded . rollercoaster : husband check rollercoaster everyone seem soooo much fun ! headache ride personally . not smooth ... mean rollercoaster not & quot ; smooth & quot ; bumpy cause headache ... something ! really not spend much time hotel . go around hotel around strip mostly . though like NYNY would probably stay , probably would check another hotel next visit Vegas . see else ! : ) another traveler write , hotel give nothing free ! ! ! even rollercoaster regular price hotel guest ! think little selfish ! ! ! ! 
 Sep 7 2009 	 mixed feeling 	 hotel really average , nothing highly enthousiastic . stay Stratosphere pretty much like . room fine , make sure book park avenue room skyline room since skyline room last remodel iron age . spacious room giant bathroom , ( although lovely decorate ) uncomfortable bed , matress way firm . the pool ( say ) small , another downside locate building make impossible get little breeze . european , do not really like big portion lot meat , restaurant nyny provide food like . get decent healthy food go MGM side road . checking , woman desk probably ask provide second credit card , make sure provide 1 . make mistake give 2 couple day later find charge max . hotel charge back really not appreciate ' measure fraud ' hotel call . People stop complain rollercoaster : run 10.00am till 00.00am go sleep 00.00am Las Vegas ? ! not even coaster . honest : be well spend little money stay much well hotel like MGM / Bellagio Mirage . regret ! 
 Sep 6 2009 	 ok place 	 come hotel first - time experience , bit disappointed . get cheap room rate , nothing free : mini fridge basic room ; charge use internet gym . pool rediculous . 's extremely small , look like add last minute parking garage hotel . minimal lounge chair , reserve part cabanas special lounger want pay fee . plus , smell sewage stick around pool . I would not stay hotel unless intend gambling time . way relax , hotel everything possible get spend money ... want nice spot allow relax , 
 Sep 4 2009 	 Great Place Great Time good value ! 	 pro : clean room , comfortable bed , easy access strip , great staffcon : long walk room , long walk monorail . we go New York New York spending night Downtown Plaza . arrive , check , immediately ask need anything else . friend want see Lion King Mandalay Bay . ask front desk , find we seat great price get we setup . walk elevator pretty short use Century one get room . 19th floor . room far end building , walk little far . get room ( Park Ave Premium View ) , amazed . nice amount space , great view MGM Grand , Tropicana , Planet Hollywood , coaster . bathroom nice , great space , marble flooring . 2 queen bed ( comfortable ) , desk , 2 chair , nice wall unit dresser tv cabinet . contrary review ' ve read , not really hear coaster much . could barely head people scream run . not eat onsite except grab cinnamon pretzle kiosk near sky bridge MGM Excalibur . great . friend fairly well slot . checkout breeze . tv . issue . roller coaster amazingly fun , warn go long arcade get . 
 Sep 3 2009 	 great hotel great price great location 	 NY NY hotel nice . room clean , modern stylish . honeymoon ask nice room get & quot ; Empire State Building & quot ; overlook Strip amazing . furniture comfortable , bathroom small modern clean . tv , fridge , air - condition . internet access available pay . also chare 3 $ per day phone even do not use . shampoo , body lotion , soap hotel nice towel clean nice . great thing : location : middle Strip do not hear noise night hotel room . there nice restaurant area hotel find sort restaurant nice Greenwich village atmosphere . fish fish chip shop great fresh ... : - ) price ok , eat cheap expensive you . there pool look pretty small , do not go there . staff hotel nice feel welcome . next time stay . 
 Sep 3 2009 	 Great Hotel Great Rooms 	 hotel wonderful location . next casino shop . vibrant location . go Las Vegas 3 time per year . great escape . decide get married trip Las Vegas . hotel accommodate special request ( see info ) . wonderful food choice . ESPN Zone good food plenty tv watch favorite team ESPN show . starbuck 1st level . italian food restaruant tasty resonably price ( Vegas standard ) . room clean tasteful . furnishing modern comfortable . Park Avenue Deluxe room . bathroom small , functional . rollercoaster outside beadroom window , noise minimal . cause loose nap time . casino loud fun . drink service outstanding . time could not keep waitress . would anywhere near finish next drink arrive . casino good feel . one favorite place gamble . the staff friendly helpful . leave welcome gift wedding guest front desk . deliver correctly . ask early check - in could go get marriage license . happy get we room 10am . all , great hotel . would recommend friend family . 
 Sep 1 2009 	 Honeymoon 	 place really nice ... money great .. take parent we really affordable . make sure check discount . can not wait go back ... thing tell honeymoon not anything room like champagne candy , flower . something ! ! ! ! wonderful trip we . none we money great time ... Love Zumanity Show . great time ... 
 Sep 1 2009 	 Great Place stay ! ! ! 	 stay New York New York Hotel Casino August 20 - 24/09 . arrive Las Vegas 9 local time , unable check 3 pm . leave luggage Bell Hop Desk , perfect . tour around Las Vegas hour , return check ease , pick luggage minute . the Hotel nice , million spend interior make resemble New York . night club ROK ok alot young people , expect guess . run promotion , give we free entry night club free drink lady . think guy pay $ 25.00 cover charge get in . we eat one meal hotel , extremely disappointing . order burger & quot ; American Diner & quot ; hotel disgusting ! ! ! ! obvious make fresh order , dry could barely choke . demand refund , reluctantly give we . only big complaint hotel buffet . a number different restaurant , buffet . so eat one meal there . our room clean comfortable . ice maker right room , coffee maker though . suppose want go downstairs star buck pay $ 5.00 coffee . coffee muffin almost $ 9.00 . casino huge , not check pool , many thing see , short time . room clean everyday . FYI , not leave change night stand , clean lady might think tip ! ! ! leave $ 10.00 change night stand , clean lady take . big deal . little surprising . LOLCheck smooth , leave luggage concierge , check 1 pm flight not leave 6.a tip , get late check free ....... check 11 ask give we late check 1 pm . 
 Aug 30 2009 	 Tight Slots good service 	 hi , come back Las Vegas , stay NYNY , rental car able drive different hotel play . everything great NYNY , however disappointed choice slot machine . favorite Wheel Fortune , find hotel . Slots NYNY find tight , many favorite , like quarter Top Dollar , dollar 3.00 pull , spin win , really not find favorite play . MGM wheel Gold , like WOF . would great bring Wheel Fortune back , ' m sure hurt . hotel wait people get , popular slot . restaurant great ! accomodation great ! 
 Aug 30 2009 	 Fab hotel ! 	 stay two night 28th floor & quot ; Century & quot ; block . big room whole holiday ( 5 we ) , clean fantastic view double aspect room . Location New York , New York great Boys enjoy roller coaster ride outside building ( half price resident 11 be 12 pm . ) negative comment information book visitor room detail eat floor pool etc 
 Aug 29 2009 	 Celebrated Husband 's 30th NY NY 	 NY NY neat hotel . really like set like NYC . ton place eat hotel . thing not care pool . look hotel nice pool hotel . 
 Aug 27 2009 	 Excellent value money 	 friendly front desk attendant upgrade we beautiful room extremely spacious bathroom high floor , give we fantastic view Las Vegas . spend next night much expensive Venetian Hotel , honestly affirm get New York New York excellent value money , big difference high class hotel cost three time much . would definitely stay ! 
 Aug 25 2009 	 Good Budget Fun Place stay Las Vegas 	 niece & amp ; stay three night 2 week ago . 10th floor New Yorker tower book trip United Airlines Vacations upgrade Park Avenue room . room clean & amp ; spacious two double bed , room safe , tv , mp3 player plug - in view overlook MGM Grand part Strip . bathroom bath shower attachment solid slide shower door bath - pressure shower good usual toiletry provide well ample towel & amp ; face cloth . vend macine ice point floor ice bucket provide room . wi - fi hard wire internet available although didi pay . complaint room - comfortable stay although spend much time - shower various tourist visit sleep . rest hotel real WOW factor we - first time Las Vegas absolutely gobsmacke entrance , casino decor throughout . really feel part gambling capital world exceed expectation . choice dine within good - posh fast food - make choice price reasonable . italian restaurant IL FORNAIO good eat two evening - second time excelsior Luxor look something eat nothing appeal . food service exceptional although queue night get - move fast . the pool area well keep big enough . casino good variety slot gamble available lively . our check - in went smoothly wait long ( Monday check - in ) reception staff always helpful ask question . we use ground transport service ( SHOWTIME ) see soon go arrival door onto airport concourse - several ground transport company . book return ticket slightly cheap - call back check hotel arrange return pick - up time ; trouble get fault phone eventually get chap speak curtious booked return problem . beleive 2 travel cheap get taxi - pay usd 15 return fare . I think anything negative say New York New York - location good , room clean staff friendly . 
 Aug 24 2009 	 Nice Hotel 	 stay New York New York - pretty much impress everything . unfortunately , could not accommodate entire stay - force we move across street Excalibur ( opposite New York New York get - see review ) .- check queue , long , go reasonably quick.- room spacious , clean , modern , quite honestly expect . overlook pool area roller coaster.- hotel smoking establishment ( like casino strip ) . , sensitivity smell smoke , Las Vegas might place consider.- pool spacious , clean , guard . plus , get access Monte Carlo pool well ( must own group ) .- restaurant , pub , bar , eat establishment hotel bit pricey ( 's way hotel ) .- parking ample , cover , free quick access hotel.- reasonably central - next Monte Carlo , across street MGM Grand , excalibur.- roller coaster pretty crazy . , guest hotel , get 2 1 ride ( save $ 15 ) .Overall , would recommend New York New York fine place stay Las Vegas Strip . 
 Aug 24 2009 	 stay . go elsewhere 	 stay two night previously Bellagio business , extend stay see Zumanity stay New York New York . Checkout NYNY 11AM . flight 2 . inquire checkin check 1 hour late tell not issue call day . also offer upgrade $ 55 room hot tub . room ok . since Bellagio , let , expect . call next morning request 1 hour late checkout tell . go front desk checkout 11 am tell Deanna , manager , & quot ; obviously not understand housekeeping issue . & quot ; explained expect arrival next guest 12pm room would ready . ask check - in time hotel state 3pm . bottom line priority get next guest check time rather give late check . travel quite bit often request late check . never deny late checkout request single hour . additionally , elevator painfully slow food great . 
 Aug 22 2009 	 NYNY great place stay ! 	 thing lack food choice ... think could improve ... otherwise , casino floor improvement great , room nice view always please we ... love location , atmosphere fact MGM short walk away . 
 Aug 20 2009 	 good memory 	 spend nice moment hotel . pool bit small compare Mandalay Bay ; completely swallow NY mood . 
 Aug 19 2009 	 say tin . 	 arrive trans Atlantic flight - check really smooth fast ( Saturday evening ) . hotel fulfil expectation Las Vegas resort - although tea coffee make facility room rather dissapointe ( especially coffee could get hotel poor ) . fantastic Turkey Club Sandwich Greenburgs ( ? ) Deli . room third floor round corner lift - issue noise time . get pool early , issue lounger - pool shade good two hour ( nice roasting ) not gamble ( know , strange ! ) could not comment table . 
 Aug 19 2009 	 Honeymoon Vegas 	 stay 2 week Vegas near long enough . People say mad go long already process return 2010 . 1st 5 night stratosphere , last 8 night nyny.can find fault place . room nice strip / rollercoaster view . staff friendly room well service . toilet block arrive room fix within minute call front desk . awesome location relation strip . Loved Coyote Ugly Piano bar , sample food . have breakfast time ( name escape ) place giant map roof . awesom food service . thank staff NYNY assist great stay Honeymoon first trip Australia . willl deffinatly back 
 Aug 17 2009 	 first time - last 	 People , people , world would anyone take small child LV ? ? ? please look face small creature 1 am drag thru casino . look bored , take Disneyworld . save LV adult weekend leave kid grandma . travel midweek 5 other . first time NYNY - wonderful room - not remember tower . view roof roller coaster . roller coaster sound like thunder night maybe airplane take airport - big problem . hall quiet noise room . elevator wait minimal . table wonderful - big 2 different one . dealer friendly helpful . drink service good - tip $ 5 first time , come back often another big tip . tip $ 1 another 5 - still cheap buying bar drink . room clean well day , leave $ 10 tip maid.i sunburn easily , not pool . eat nine fine irishman - wonderful food around . try itilian / french - foo foo other enjoy . chin chin buffet - good , great price limited selection . charge food room compe . ' comp tip tab , charge credit card . also ' comp gift shop purchase . ask first ' sure.stay away criss angel show luxor cost . free ticket still not worth . cheesy best.easy access MGM Excalibur . casino good find $ 5 table almost casino strip early late . far walk casino , ' matter stay , ' far walk especially 105 degree heat . timeshare people approach couple , see , separate leave alone . wonderful first stay definitely back . 
 Aug 16 2009 	 Best Vegas Hotel 	 husband spend 6th wedding anniversary New York New York Hotel Casino GREAT time . staff friendly restaurant amazing . matter fact Chin Chin ( chinese restaurant ) far BEST chinese food ever eat . gamble pretty high ( $ 10 minimum let ride table ) expect large hotel . room 21st floor view pool roller coaster outside window although coaster run quite bit night , do not hear thing . stay hotel hear people next room watch tv say hear nothing wall . actually think one stay floor pass neighbor hall one night . stay late Vegas , quite hotel room extremely important NYNY hotel definately give we peace . complaint enough lounge chair pool want rent reserve chair cost $ 60 day , nothing bad report hotel . highly suggest staying price affordable . know stay go back . 
 Aug 16 2009 	 Best Casino Vegas ! 	 Loved hotel . quiet upstairs much go downstairs ! 
 Aug 16 2009 	 bad previous review great 	 seriously need recruit check - in staff . huge queue check get eventhough book non smoking room 4 month ago Monday , apparently smoke room available whole hotel ! end get smoking room do not actually smell smoke , bad impression make . rest stay uneventful . needless say , use tv online check get . good 2 1 rollercoaster guest . pool ok . 
 Aug 14 2009 	 amazing hotel 	 hotel amazing room clean , great variety food world , do not hear casino room , clean lift 's ect , helpful staff , good value money . 
 Aug 11 2009 	 lovely hotel perfect location value money ! 	 husband decide go 5 night break Las Vegas not sure stay first time visitng sin city . definetly make right decision choose hotel bag bargain booking directly hotel . arrive welcome smile reception anniversary hotel kindly give we room spacious level 26 give we view admire Las Vegas . room clean daily maid bed make , thing lack Broadway Room Tea / Coffee Facilities Mini Bar get quick drink snack eat . bathroom nice clean also powerful hairdryer do not need take . also use room telephone ring local number charge extra already pay $ 3.00 per night compulsory . the food hotel awesome , one night italian taste anything like , also eat burger place enjoy amazing food - want something cheap cheerful place within hotel open till 3 be big , fresh cheap pizza be ever . thumb food hotel too . the location perfect husand top end main Strip MGM Grand Hotel , Excalibur , Luxor Mandaly Bay around we evening use walk strip get Ceasers Palace , Bellagio , venetian Hotels many . New York New York Hotel breathtake tall building much inside well outside , casino really big inside several bar , shop , club . pool fairly busy July hot sunbathe many people find shade pool . we enjoy roller coaster hotel make sure definetly stay visit Ben Jerrys store enjoy lovely ice cream . I would advise take light clothing July , plenty Suncream sunglass , hot , tempertaure around 46 degree day . also make Las Vegas cheap want expensive want spend mean still fatastic time . you will not make mistake book hotel husband enjoy stay would definetly go back . 
 Aug 9 2009 	 Perfect Location ! 	 boyfriend stay NYNY 4 day really enjoy . hotel literally 2 minute outside airport bonus ! ! ! love building structure outside lovely colour , statue liberty breathtaking , roller coaster surround hotel massive . fly Thursday check front desk breeze weekend tend busy . give coupon book many saving discount include 2 1 roller coaster ride , 2 welcome cocktail drink etc . we really nice park avenue room 18th floor view parking lot ' mind ' go room much . size room pretty adequate . king size bed comfortable , room washroom super clean . elevator far room ' hear people come leave hour night however little bit noise roller coaster track issue . the casino great atmosphere high ceiling allow smokey air travel . bright huge . music keep grooving . pool refreshing hot afternoon . ' big thought would . lot sun chair sit never crowded . ' worry bring towel available you . there variety cafe restaurant hotel . tired italian spanish restaurant -both amazing . go Excalibur one day day eat buffet $ 25 dollar . okay . tired buffet Bellagio find bit pricey . many place dine – make sure try everything ! ! ! ! transportation problem . hop double decker bus run along strip $ 3.50 one away $ 7 - 24 hr day pass . monorail accessible behind mgm grand run 7 station route $ 13 one day pass $ 5 single ride . see cirque du soliel ' zumanity . erotic worth every penny . shark reef Mandalay bay interesting lot exotic fish shark . Paris Eiffel tower must see . view memorable . ' go club . place charge $ 30 per person enter include drink . check 11 option leave bag storage room later flight . extra cost . make sure tip storage keeper . standard fee $ 3 per night local call . automatically go bill whether use phone . weather July unbearable . stifle hot day , dry humid night . pack bottle water everywhere go . bring lot sunscreen walk shoe . hotel south end strip . perfect start walk towards middle back side strip . perfect location ! ! ! overall fabulous experience . would definitely return . 4 day enough . Las Vegas truly fun . lot see lot . 
 Aug 9 2009 	 15 year Anniversary Celebration 	 NEW YORK NEW YORK fun place stay . location good plan walk strip . set lively plenty restuarant & amp ; gift shop . downside pool closing 7:00pm . guess prefer spend time casino . disappointing since even tho live Tampa , Fl beach 10 mile away , want enjoy pool evening & amp ; relax drink & amp ; worry . check nerve - rack due fact arrive 11:00pm , 20 people line check & amp ; 2 people front desk ! reservation make month advance end room 2 queen bed instead 1 king . room cramp . finally get different room next day , little well . stay good get settle . view strip , quite beautiful sight night . overall , enjoy 4 day stay , renew vow , celebrate 15 yrs.of marriage . 
 Aug 9 2009 	 Nonexistent customer service check in / front desk Nightshift 	 arrive 1 am , 1 desk clerk working , busy & quot ; texting & quot ; behind counter .... give occupy room , opt stay MGM even room pay NY NY . Manager state room available NY NY exception occupy one ... thank . MGM great , hate drop extra $ 100 , sleep . summary , reservation confirmation # , yet still end room . have drop extra $ 100 MGM sleep ... back NY NY follow day , great service decent room thank dayshift front desk clerk name & quot ; MARY & quot ; reason even stay . 
 Aug 9 2009 	 average expect 	 New York New York opinion average hotel Vegas . ' ve stay quite not really merit write exceptional review . lengthy road trip , extremely tired , mood cheap food . get room $ 99 / night , sleep 17 hour first arrive . spend two night , hotel general typical opinion . nothing stand . would suggest stay cheap ( er ) food & amp ; roller coaster outside not bad either . 
 Aug 7 2009 	 fun place stay .... Las Vegas 	 stay hotel four night September 08 . place one expect Vegas ; fun , lively , entertaining . pay probably would little expensive luckily business . hotel great pretty much anyone orient towards familitie . pool little small Vegas standard bar scene not great . also typicaly casino pool fitness room close early ( around 6 pm think ) .The casino floor great lot cute little shop fun thing inside casino ( like roller coaster= $ 15 / ride ) . hotel little far strip - close Excalibur MGM Grande also hike close train stop well . go back would probably try go one casino like palm even Caesars well shopping , mid - strip , cool bar . 
 Aug 4 2009 	 Fun Hotel 	 good time hotel . there plenty eatery casino area . hotel end strip , still within walking distance everything . my room New Yorker tower view back start roller coaster 
