after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Mar 7 2009 	 4 * * * * quality 	 get reasonable deal place net . try check early receptionist persuade purchase ' upgrade ' executive room available regular room book not . well , not ever consider spend another 35 quid upgrade ( per night ) , be worth money ! tiny room , date furniture , dirt shoe not remove cleaner stay ... be unremarkable 3 * * * place great location . sum really . attentive staff work breakfast room . already mention , place overrun group ( incl airline staff ) , reception area usually bit state ( mayhem one way look ) . get completely wrong bill check - out spend phone fix . 
 Mar 5 2009 	 great time - Great staff 	 pick Kensington Forum part travel package happy . room little small typical US hotel comfortable . breakfast part package continental . egg , ham , fruit well fruit , toast roll . business center convienient computer access week . italian , indian , british , american fast food , Thai restaurant close hotel Cromwell & amp ; Gloucester Rds . Waitrose grocery store , pharmacy , ATM ( local charge ) Gloucester Road Tube Station . natural History Museum Victoria & amp ; Albert Museum within walk distance . the air conditioning non - existant uncomfortable open th window . 
 Feb 27 2009 	 Nice Hotel - would definitely come back 	 read many adverse revie regard hotel prior visit booking ! ! rather nervous worried staying . need not worry - we pleasantly surprise . staff pleasant -especially breakfast staff ( breakfast good -plenty choice freshly cook ) room particularly spacious clean adequate - bathroom modern shower powerful . location excellent close proximity tube station definitely stau -good value 
 Feb 25 2009 	 not bother unless want feel like inconvenience 	 book one none favourite available amazed lowish price offer . hotel use 25 % expensive Holiday Inn Cromwell road across road , actually slightly cheap . I book rate include breakfast , however deny hotel staff , well think , nore seem speak good enough English really tell , yet try hotel breakfast begrudge pay small fortune many great little cafe 's area offer well deal . Booking chore , platinum priority club member go express check , waste time , receptionist stare bewidere customer problem whilst try explain . finally get turn say four word , & quot ; name & quot ; & quot ; sorry & quot ; spelt name & quot ; credit card & quot ; think moment might say & quot ; Pin & quot ; tell room number obviously be not worth effort . the room bog standard room , poorly light light desk indeed within 6 foot , noisy aircon / heater tv can not see sofa , sit bed . room service expensive good , food deliver hot tasty choose current uninspired Holiday Inn room service menu , order £ 6.50 bowl chicken soup genuinely please find lump chicken . supermarket road sell whole cook one hot ready eat £ 3.99.I clumsily spilt sugar floor arrive room , 3 day later be still there . it be safe say will not come back , hotel seem overrun flight crew stopover , attempt sort breakfast brush aside allege duty manageress clearly interest want deal captain scarlet trolly dolly . I travel business pleasure , not unpleasant hotel , pleasant hotel run uncare staff , letter manager upon arrival survey ask preference special lounge business traveller , mean punter even low list priority - not bother . 
 Feb 24 2009 	 great location tube bus ! nice comfortable room . 	 stay hotel wife 6 night total , first night pretty disappointing shower not work ! -but call room service promptly fix . the room spacious clean bed comfotable option choose 5 6 different kind pillow depend need allergy etc .. room mini bar small section drink etc .. careful move mini bar stuff make way stuff computerized charge automatically ! ( sorted phone call reception ) .The last 5 night spend upgrade room ( executive ) hotel want make we dodgy shower 1st night . the executive bit big bed noticeably large , king think . the complimentary mineral water , orange juice kit kat chunky standard room type . the staff generally helpful , particularly Peter ( slovakian gentleman ) reception exceptionally good credit hotel . other staff hotel polite helpful whole good . there bottle opener cork screws room ask room service need they . this hotel comfortable bed / pillow good sound insulation quiet room . the breakfast also good plenty thing choose ! stay room 337 recommend non smoker ( executive room though ) .Also perfect Gloucester Road tube station direct train Heathrow airport terminal , good location turn right exit station hotel 3 minute walk right hand side . 
 Feb 24 2009 	 interesting encounter 	 not whole lot add be already write place . keep mind another Holiday Inn couple block place . petite asian prostitute knock door middle night say & quot ; agency & quot ; send , never call & quot ; agency , & quot ; direct Holiday Inn instead . ( yes , really happen we . ) 
 Feb 14 2009 	 convenient location tube 	 book hotel American Airlines last minute package . website offer standard room less money , tell hotel way guarantee non - smoking room upgrade King , pay extra . let say bed king size , room tiny bed take . 2 foot bed dresser . would call 4 star hotel mean . clean , room rather tired look need update badly . room wallpaper curl away wall seam stain carpet . plan bring computer , know wi - fi cost 20 pound 24 hour . also laundry service hotel , also change outrageous amount unless expense account would not plan use . upside , tube station close well lot restaurant shop . lobby nice restaurant , pub , sort snackbar Starbucks coffee . also little convenience store locate front . 
 Feb 11 2009 	 happy hotel price 	 stay night business . check quick give room 22nd floor . People say room small one much Holiday inn standard size room good condition . view excellent room although weather terrible stay . I get great deal last minute 70 quid inc breakfast . location close Gloucester Road Tube easy get central london tourist site . breakfast buffet style fine . reception busy service good throughout stay . & quot ; London Tavern & quot ; pub link hotel work fairly well although quick drink . overall price think extremely good value . 
 Feb 7 2009 	 3 star 100 % 4 star 	 Booked priceline thought get great deal four star hotel . 4 star hotel 3 maybe . room small feel kind cramp change stuff bed . come bad snow shower heating slow heat . order extra blanket seem like hassel staff . bathroom flood showeringthe hallway quite shabby need change . eat breakfast apper basic starbuck coffee serve .. leave bag luggage room return find open even though clesrly close leave .Some positive good location tube . get station turn right go first turn . the station also 3 line easy get anywhere 3 stop victoria station .There supermarket near , starbuck 24 hour tesco handy . not complete dump look hard find somewhere well esp week pound . 
 Feb 6 2009 	 Decent frill close tube 15pounds / day internet 	 stay briefly tail end business trip want sightsee not want keep pay high end hotel . this place exactly new well appoint clean enough respectable . 's small CRT TV , shampoo / soap , room instant coffee / tea . be large , personal hotel 's full airline personnel take tube Heathrow . 's close Glouster station shop . Royal Albert Hall , V & amp ; museum couple museum walk distance . harrod little far still reachable . prefer hotel central london not bad . breakfast pricey skip ... 's tesco , burger king , grocery store nearby . the big disappointment price internet . 15 pound day in - room wire access otherwise buy BT OpenZone card 6 pound 1.5 hrs access lobby . business center not open day . 
 Jan 28 2009 	 perfectly fine give great rate ! 	 spend Saturday night hotel , decide day ' notice travel London weekend . we get terrific deal £ 59 twin room , expectation moderate . 's great location ( previously stay Millennium Gloucester Road across street , know good spot ) - literally minute 's walk Gloucester Road tube station , 5 min walk Victoria & amp ; Albert Museum British Science Museum . our room - hotel generally - date , look bit tired . content bed , cleanliness . window open get fresh air want . we not bother usual overpriced buffet breakfast - ' Paul ' patisserie Gloucester Road , opposite tube station . sandwich cup coffee lobby cafe check - absolutely fine . this hotel perfectly adequate ; would not necessarily aim stay , wish stay couple night . price , favourable location , content . 
 Jan 26 2009 	 pleasant hotel good location 	 stay hotel six night . arrive early offer we leave baggage safety store room free business.we ask room 10 minute check - in time room not ready . minute wait decide upgrade we well room.the room large . clean comfortable.every one hotel friendly . 
 Jan 20 2009 	 great location London offer 	 sadly overnight stay break journey China Egypt would love stay long . stay London many time like Kensington area get plenty decent hotel , various tube stop , good restaurant excellent local shopping not want full Oxford Street experience get plenty choice nearby . we choose hotel base proximity directly across road Gloucester St tube station travel tube Heathrow T5 . 45 - 50 minute airport hotel reception feel comparable heathrow express paddington take 15 minute get hotel normal tube 10 quid cheap per person . top Traveller Tip : last day London generous soul buy daily 6 zone tube ticket . use day around london get airport take lift arrival ( departure ) pass onto someone 's head back city . good karma ! hotel currently renovation soon change Crowne Plaza brand . renovate room really lovely clean . modern decor furnishing , large plasma , small bathroom excellent bath shower . breakfast area funky bar lobby really nice breakfast excellent compact excellent range brekkie treat . dodgy thing lift seem lurch floor floor .... sure wake ' ve get jet - lag ! long stay would nice although wife hammer credit card selfridge Oxford Street 5 hour spree probably well one night half day next leg rtw trip ! 
 Jan 18 2009 	 good base explore London not expect much ... 	 book hotel lastminute.com 's ' secret hotel ' booking offer boyfriend little dissapointed find Holiday Inn upon recieve confirmation . the staff hotel helpful overall . however , upon arrival tell contrary book non - smoking room available . luckily , not mind boyfriend smoke book non - smoking room would not put stale smoke smell . receptionist advise we unhappy smoking room ... open window . not impressed . we use hotel base point explore London purpose sufficient . however , look comprehensive hotel experience , ' m sure plenty well hotel available price city . 
 Jan 2 2009 	 will not stay . 	 second time stay hotel . hotel good location tour London . 's nice area right beside Gloucester tube station . also taxi rank outside hotel . stay know room like . be average size clean . change hotel attitude reception staff . arrival tell double room leave . see review seem practice check - in . tell twin room leave . inform lady check - in book double room confirm book two day ago . still would not accept book double room show print - out booking specify double room . got double room eventually . got apology though . hotel no - frill hotel . want room , stay . much well hotel choose price least get good service respect staff . if London business , forget hotel . 's WiFi 's internet access anywhere hotel weekend hotel 's business centre independently run closed weekend . stay clear place . 
 Jan 1 2009 	 's good reason 's cheap London Holiday Inns 	 's good reason hotel much cheap London Holiday Inns , be good . check - in fast efficient reception well organise begin get real feel place head elevator . the smell institutionalise catering ( like school hospital ) linger reception area elevator get floor begin realise hotel may see well day . carpet wear stain , paintwork chip corridor soulless need decoration . now room clean , comfortable equipment work executive room would hate stay standard room . honest , furnish way standard would expect , get tired , wallpaper beginning peel wall place bathroom could total refurb . do not get wrong , budget trip hotel , nearby transport link tourist trail adequate restaurant , fine . little spend expect somewhere adequate crash night spend extra pound stay one central hotel . 
 Dec 31 2008 	 Holiday Inn Kensington Forum good choice 	 clean room , great location , close Gloucester Tube entrance . staff helpful , though business aspect hotel mean 's busy sometimes noisy . restaurant ground floor good , reasonably price . one drawback efficiency . room not ready arrive ( early ) , fine ; also not ready hour official check - in time . front desk well ; housekeeping problem . also request room change , reason never work , , not room much time sight - seeing . overall , give hotel positive review . 
 Dec 28 2008 	 gem hotel Kensington ! 	 celebrate one year wedding anniversary , husband book trip Priceline London , England . hotel end Holiday Inn Kensington Forum . never fan Holiday Inns States , bit nervous staying , read great review TA try worry . any preconception hotel quickly leave mind arrive . moment arrive , staff nothing courtesy , welcoming , friendly . flight get we England morning , check - in 3 pm . gentleman front desk apologize able check we early computer system . direct we luggage storage room tell we welcome leave belonging . well storage & quot ; room & quot ; turn HUGE ! definitely not worry room bag . check bag head neighborhood breakfast . Kensington absolutely wonderful , albeit bit pricey certain place . however , tube stop right around corner . currency exchange , super market , bank , internet cafe , Starbucks , Tesco Express ( like 7 - 11 States ) , KFC , Burger King within minute walk . able check - in , woman tell we upgrade suite anniversary . assume know email week trip ensure husband one queen bed versus two twin bed not spend anniversary separate bed ! suite fabulous ! mind , hotel room Europe small state , room enough room two we ! entire stay amazing . say enough good thing hotel staff ! 
 Dec 28 2008 	 one well Holiday Inns 	 another week another Holiday Inn . time London , within zone 1 . big hotel well organise , clean comfortable . Room Executive Club floor room large average London Holiday Inn , well lay everything work ! nice view across rooftop Earls Court Exhibition Centre ! breakfast one big ' help ' affair see - typical full english nice fruit continental option available well . remember get early otherwise will queue seat ! staff seem friendly always say hello , even pass corridor . great hotel business meeting , job nicely ! 
 Dec 21 2008 	 really nice hotel 	 hotel 1 minute walk Gloucester Road Station . reception staff polite & amp ; helpful . our room 12th floor . view amazing . the room perfect . clean , modern bathroom , fridge , tv . everything would expect holiday inn . I would highly recommend hotel anyone . 
 Dec 20 2008 	 give hotel miss 	 stay hotel 1 x night , 1 x night long . pre book room priority club , ' m platinum member checking reception tell twin room leave . room bad , even unpack . complain reception get double room , say check available . room basic cold , heating system work . London , give place miss . 
 Dec 15 2008 	 Great Hotel great price 	 room ( two single bed ) comfortable , cosy importantly clean . mini fridge iron ironing board convenient . lot channel watch tv . staff friendly polite . one two downside stay hotel : ( 1 ) slightly noisy - be face Cromwell road noise underground train great 6 am till midnight especially sleep window open . ( 2 ) heat weak - ask cool room . otherwise convenient : ( 1 ) could buy food Sainsburys Waitrose 2 minute away save money . ( 2 ) 5 minute away station ( 3 ) great part town full nice restaurant . room clean every day without fail toiletry coffee sachet etc replenish . really nice experience ! 
 Dec 6 2008 	 well expect 	 use priceline ' name price bid $ 100 / night exepte Sunday Monday night . buyer beware , however , Priceline fee / taxis average 25 % /night . bid exepte googled hotel little worried reading review . Seemed 1/2 good , 1/2 bad . wife like hotel . clean enough bed / bathroom adequate . really like fact window open tenth floor room let fresh air sleep . personally can not stand breathe recycle air . 2 - block tube station ( Glouchester ? ) residential part London - South Kensington . grocery store / restaurant / pub within walking distance . food / drink little pricey local establishment . Kensington bit higher priced part London stay interesting see flat exotic car park place . 
 Dec 6 2008 	 perfectly adequate 	 standard mid - range modern hotel ; short Holiday Inn . room clean good size english standard . rate ( improved decline UK pound ) good be likely find reasonable quality London hotel . staff helpful . one standout location -- 's block Gloucester Rd tube station , Picadilly line connect Heathrow , west side London , be short ride aiport short walk hotel change , close public transport rest stay . good place breakfast , meal , grocery . etc . close . 
 Dec 4 2008 	 anywhere decent London ? 	 another noisy impersonal place lie head . not bad experience ' ve , ut will not seek either . 
 Nov 16 2008 	 good hotel price nice location 	 stay Kensington Forum last week via good deal Priceline complaint . 's nice certain hotel would get price range Priceline nice . exemplary certainly good comfortable . whatever reason , automatically upgrade & quot ; executive & quot ; room , apparently low floor , not get view ( 3rd floor ) nice , large room comfy bed ( & quot ; pillow menu & quot ; let we choose kind pillow would like ... maid take request pillow back first time clean complain , get new pillow stayed put rest stay ) . noise problem ( even low floor ) , good service ( bit limit late - night room service menu daytime menu look fine ) nice , convenient location . would not say stand particularly , be look reliable , convenient , comfortable place London , great place stay -- especially get good price Priceline another site like . three place ' ve stay ( $ 100 - 120 Priceline range ) London , clear favorite . would happily go back . 
 Nov 6 2008 	 okay hotel bit noisy 	 stay 5 night end October begin November , 2008 . book Priceline . ROOM : week arrival , email hotel request double bed non - smoking room . request honor give room 26th floor . room size actually bad - fact , large room stay Holiday Inn Regents Park 6 month ago . bed Queen size bed mattress firm , like . problem people like soft mattress . the major downside room face Cromwell Road also expose section Underground ( leave Gloucester Rd tube station ) . despite double pan window 26th floor , still hear noises traffic tube . not keep awake , certainly wake morning tube start run around 6am . I previously stay Millenium hotel across street Courtfield Rd . hotel much quieter come road / traffic noise . the room small fridge , bit cold , desparate need defrost . electric kettle , hair - dryer . however , in - room safe bit disappointing . bathroom bite small acceptable . bath amenity shampoo , bath gel , soap . hair conditioner body lotion . location : although hotel label Cromwell Road , actual entrance Courtfield Road . exit Gloucester Rd tube station , hang sharp right onto Courtfield Rd . will first see Millenium hotel leave , HI another block . 's central would like , like fact 's Piccadilly line , direct route Heathrow ( ~40min ride ) . nearby hotel waitrose supermarket , Tesco Express . also Paul boulangerie next Tesco Express . breakfast : eat breakfast hotel . reason HI voucher burn . way would pay £ 14.95 buffet breakfast ( £ 16.95 want hot food well ) . be simply plenty cheap choice nearby . cold breakfast ( continental breakfast ) bread , croissant , cereal , cheese , cold cut , veggie . nothing spectacular justify price . check - OUT : pay breakfast use voucher ( US $ ) , take forever 1 person 5 front desk know . actually , not sure either call somebody else ask . entire check - out process probably take 15 minute . bottom line : be okay hotel , not mind stay get cheap price Priceline . however , would sure request room away Cromwell Rd due noise issue . 
 Nov 6 2008 	 Perfect Location Excellent Hotel 	 stay hotel Oct 30 - Nov 4 . book via Hotwire read review leave happy make good choice . room 444.room - clean , good size , everything need room include coolerlocation - within every attraction , short walk take double decker across street . tube minute walk . Waitrose ( large supermaket ) across street get anything need make stay budget . restaurant - make sure try Thai Singapore restaurant - delicious good price . staff - professional , friendlyconcierge - knowledgeable helpfultransporation - book website www.dot2dot.com arrive pick drop airport low cost less hassle 1 luggage . I would definately come back hotel friend . 
 Nov 4 2008 	 great location - good value place stay 	 Holiday Inn Kensington Forum benefit fantastic location , right next Gloucester Road Tube ( 2 min walk time max ) , offer easy connection central London location also London Heathrow airport via Underground ( direct ) Paddington Station Heathrow Express . within easy walk distance ( 20 - 30 min ) many attraction include Hyde Park , Olympia Earl 's Court , South Kensington Museums , Harrods Kensington High Street shop . previous reviewer comment noise train main road , problem we ( 5th floor , front hotel ) ' m wonder pull across internal window place provide triple - glaze window practically sound - proof . it large hotel use large group tourist , airline crew theatre production staff etc . , get busy time coach pull 30 - 50 people check . however , manage avoid time check - in etc . , quick easy . wait - time lift ( elevator ) sometimes little long - even though 6 lift , 27 floor hotel get quite busy ! main negative room size . standard room incredibly small ( e.g . bathroom door slide - door room normal hinged door ) . say , London room small sleeping , really problem . bed king bed comfortable . room bathroom clean serviced day high standard . iron facility standard room ill - publicise ironing room floor 26 - will need ask direction . breakfast include package excellent . main restaurant floor 1 offer full cooked continental buffet good choice generally good service . if be look comfortable , clean hotel mid - range level service easy access , hotel would serve well . 
 Oct 31 2008 	 Holiday Inn Kensington - good enough jazz ! 	 see review , sometimes , wonder people truly expect money . Kensington Holiday Inn good value , frill , superbly locate hotel merit recommendation . recent 2 - night experience clean , comfortable , well manage . ok , room bite small side , 's tad noisy generally evening , expect large hotel slap bang middle one main arterial route London ? find astonishing negative comment put forward . people really not get 's . seem expect palace peanut , kind rural retreat heart city . well , look cheap option pay nose similar bad quality option central London hotel , look . book lastminute.com , get even well deal quote card rate . Believe , location alone worth stay . great restaurant close , easy transport Knightsbridge / Chelsea / Kensington shop walkable . well worth ! 
 Oct 19 2008 	 forum kensington sure 	 time book Holiday Inn Forum Kensington overcharge 200 GBP fee quote considerable trouble getting rectify Holiday Inns central booking officewhen arrive hotel room safe & amp ; bar fridge quote supply & amp ; question reception say can not supply safe send fridge , good fix thermostat drink put would stay cool outside fridge . the location fantastic near Gloucester Station handy need transport ! harrod within walk distance & amp ; pub nearby great meal in . Peter concierge incredible direction & amp ; extremely helpful time , unfortunately could say staff Tavern end trouble work bill we another couple want split bill even calculator not get right ended cost we 5 gbp charge way theatre not time argue toss . return theatre try get coffee coffee shop end foyer tell clean machine can not serve allege international hotel ! breakfast 1 morning say least quite incredible much variety , also complaint area staff right ball & amp ; helpfulthis hotel high rise low moment we feel area really lack hotel location superb staff like Peter try make stay worth whilejackie & amp ; Laurie MewburnAustralia 
 Oct 11 2008 	 good value London option 	 stay 2 night business . pro - clean , excellent breakfast , conveniently locate minute two Gloucester Rd underground station ( excellent link Central London , Kensington etc . ) , street around hotel seem safe , 's good selection shop restaurant immediate area , excellent breakfast ( plenty choice , cook rather self - service breakfast buffet serve quickly ) .Cons - noise train traffic , although far less noticable midnight 6 am . 
 Oct 5 2008 	 nice cheap London 	 book hotel Hotwire surprise ( shock ) , cost $ 100 per night . ' ve never pay little London hotel . location South West London healthy doable walk landmark like Museum Natural History , Albert 's Hall , Kensington Gardens , Harrods . hotel large modern room decent size , clean , though decor hint tiredness . price , nothing include though prepay buffet breakfast 12 pound . note around hotel decent little cafe shop get either full breakfast breakfast food . not intimate quaint place price , care ? picadilly line take directly Heathrow Gloucester Road station 50 yard Hotel . 
 Oct 5 2008 	 Exceed expectation 	 LOCATIONA block Gloucester Road Tube conveniently Piccadilly , District & amp ; circle line . also Boots Pharmacy ( good sandwich ! ) Waitrose mall attach station . also Burger King / KFC small Tesco Express across road . eat evening Garfunkels pub mall , typical chain restaurant food fast good service . average price . real pub area well . much walking plan Oxford St. Covent Garden lot area . find hotel , turn leave station walk end block see hulk Holiday Inn , turn left go block enter hotel . reviewer right , entrance bizarre location figure , be fine . checkinsuperfast presentation Priority Club card . mention Priceline . much surprise give we room 9 am Monday thankful need nap flight expect wait afternoon . roomroom 713 face central London . Non - smoking request . well maintain . look much well expect review . Bathroom look new & amp ; clean . water pressure GREAT ! ! ! seem problem review . bed ok , little hard taste pillow ; nice comforter . however , pillow menu suppose could request soft one . fridge cool forget , grocery close pop get anything need ! quiet night , noise hallway early morning actually prevent we sleep 10 - 11 morning . Modern A / c room easy control work well . tv good usual UK hotel channel bunch foreign language channel . use facility order room service . one complaint toilet block 1st day take 3 call housekeeping get someone fix ( albeit inpatient , think take 20 - 25min total ) .CHECKOUTVery fast , erroneous charge . 
 Oct 1 2008 	 good hotel noisy room 	 nice clean room , good value , average location near tube station , room direct towards main street outside noisy . free Internet , great breakfast . 
 Sep 24 2008 	 terrific location wonderful staff excellent pub ! 	 spend two night Kensington Forum August , precruise . book cruise line . wonderful time , fact , stay next September , precruise . first trip London find location excellent . within easy walk distance Harrod 's , Hyde Park Kensington Palace . hotel two short block away Gloucester tube station . ask concierge map Tube station - find concierge desk helpful . arrive States early morning allow room right check . room immaculate , perfect . loved huge deep tub - godsend good hot soak day walk street London . daily breakfast include 4th floor . dinner pub downstairs ... excellent fish chip . many restaurant neighborhood want variety . I ' ve stay Holiday Inn 's States , facility upscale - guess would consider be locate , lovely neighborhood Kensington . lovely hotel , terrific location , wonderful helpful staff , immaculately clean room . 
 Sep 19 2008 	 problem 	 stay one night - room 310 bathroom spotless . english breakfast : eat like , problem either . 
 Sep 4 2008 	 quite awesome Kensington Holiday Inn Forum 	 book room via Lastminute 's secret hotel describe awesome Kensington hotel . fact , description correct Hotel awesome size - 20 + plus floor quite date modern concrete structure . on arrival minor blip , receptionist mention book 1 night , fact 2 , rectify professionally . our first room adequate , simple clean . however , aged fitment hole wall trouser press impress , hotel provide alternative room fuss . the room clean , comfortable quiet . hotel ideal business traveller romanic getaway . great location , 1 min Gloucester Tube . 
 Sep 4 2008 	 would stay 	 recently return two night stay Holiday Inn Forum , London . , daughter seven year old grandson . impressed . start badly get progessively bad . arrive early check luggage register available 2 pm check - in . problem say receptionist fast track room available time , key holder number room return . check luggage go lunch . return , 3.15 , lot search computer long wait , inform family room ready would take seat would call available . 30 minute later allocate room , small three people , discoverd bed grandson make , extra bedding room . contact housekeeper ( speak understand English well ) say inform three people room . chambermaid arrive , whose English virtually non existant , make sofa bed bottom sheet blanket top , duvet ! grandson decide share Mothers ' single bed lack correct bedding . order we reach bathroom climb sofa bed . insufficient room suitcase , decor somewhat tired room soundproof . breakfast hotel impress serve room really restaurant . adequate self service buffet , huge selection well present , cloth change food get spilt . table large thick mug , waiter pour either tea ( well stew ) coffee , remind one cheap diner 4 * hotel . we problem , mainly due lack speak english staff . one occassion rang reception complain tv fault , take nearly 10 minute receptionist understand , say technician would come attend problem ...... never appear ..... etc . on credit side luggage porter concierge staff extremely helpful obliging , perhaps could change place staff . 
 Sep 1 2008 	 great value location 	 one night stay lastminute.com excellent rate . large impersonal - look hotel receptionist friendly helpful . fairly spacious light room fourth floor overlook quiet area back Cromwell Road , comfortable twin bed , small clean bathroom ( shower bath , perfectly serviceable ) , good night 's sleep . buffet style breakfast extra deal , purchase voucher arrival £ 10.00 rather usual rate £ 16.00 . breakfast average ( serve till 11 am ) , plenty choice hot cold dish friendly waitress . there pub style bar ground floor quite welcoming though perhaps predictably market part London cheap . however , overall , rate offer reasonable part world hotel handily place near Tube trendy restaurant bar around Gloucester Road . 
 Aug 27 2008 	 excellent location good value 	 Excellent location nice relatively quiet area 100 m Tube station shop / restaurant . 15 minute walk Kensington Palace . total mismatch reception : standard room available 40 minute announce check - in / right time/30 minute ( smoke executive room offer instead - see review ) . finally pressure give probably well room prepay one . departure want charge we probably minibar another room . clean room , confirm low pressure hot water sufficient use . good english extend continental breakfast lot fruit space enough wait seat 10 minute once . not pure 4 - star hotel good value approx . 100 pound per night double room . 
 Aug 21 2008 	 suit we fine 	 book two night prepay lastminute.com add extra night directly hotel ensure room three night . cause serious confusion check - particularly hotel check large group time - eventually sort problem . the room fine family three pull bed daughter close tight squeeze open ! still , room comfortable enough ( bed particular ) clean , although fixture fitting slightly worn , e.g . floor outside bathroom . free water chocolate nice touch . the breakfast bad value not need book - several option , include Pret Manger , Starbucks Paul short distance away much cheap £ 18 per person . the hotel 's location good thing - near tube stop , museum Kensington High Street . build anonymous 1970 - could anywhere 're room . for purpose , hotel perfectly adequate - location good room clean quiet . 
 Aug 19 2008 	 good location need upgrade 	 really love location hotel . Kensington charming place . Hyde Park perfect jog business activity . the hotel quiet old . room quite small problem really could use renovation . especially need well soundproofing room . could hear noise outside . , everything average ( breakfast , gym , lobby etc ) .So guess depend be look . tourist , probably cheap place around unless good deal hotel . honest , be quite expensive rate facility . , location could justify charge price . 
 Aug 19 2008 	 good hotel great area 	 eight stay June 2008 pay less $ 150 night STEAL London hotel caliber ..... thank , Priceline ! ! ! hotel nice location excellent . leisurely 10 minute stroll tube station great city earth ! eat breakfast hotel first morning fantastic WAAAAAAAYYYYYYY price . woud Ok Sunday brunch $ 30 person midweek breakfast much . find nice little italian cafe hotel tube station could get full english breakfast $ 8 . also great restaurant around tube station . Americans live Germany imagine delight KFC nearby . exactly tourist look state long eat fast food get chance ! ! ! hotel staff great . upgrade Junior suite include complimentary bottled water , wine juice room . nice . room extremely small however couch turn bed impossible get bed bathroom . can not imagine small normal room would . 
 Aug 14 2008 	 exceptionally poor - surprising - service 	 book hotels.com - special occassion . Thought would look give rating price pay . arrive , not get room pay book - apparently allow small print ! - watch one . bad though know check do not find booking change arrive room . despite raise staff day follow day - one even bother get back we . several less important thing wrong treat customer really worth list detail . 
 Aug 14 2008 	 Bad Staff + Bad Services = Bad Hotel ! ! 	 really not write much review feel write experience hotel . ( stay 26th Jul - 1st Aug 2008 ) stay hotel company register course hold hotel . my english not good will try use simple word & amp ; straight point . what happen stay ... 1- two day check go reception confirm reservation confirm long time ago & amp ; tell reservation name & amp ; show email hotel mange room .. one waste hour day.2- try check 2 day later simply give single bed room reservation twin bed room correct & amp ; go room smoking room & amp ; go back change say room available & amp ; sleep night & amp ; transfer next day like fault ! ! 3- rude staff ! ! ask reservation not want check email & amp ; go back & amp ; bring email show already confirm reservation email ! ... tell room smoking room & amp ; specify reservation non - smoking employee ask & quot ; wonder could specify & quot ; & amp ; incident well . 4- ok stay bad hotel tell self 's check ... think ... check VISA go back country find charge 1 extra day even stay hotel ( stay 26 Jul - 1st Aug = 6 night ) & amp ; extra night ( 7th night 22nd Jul even check ) contact hotel & amp ; even not bother answer ' ve already contact bank waiting reclaim extra charge & amp ; lawyer standby case complication . ' ve bad story hotel & amp ; stay less star hotel enjoyable hotel would recommend anyone . 
 Aug 10 2008 	 Great Hotel 	 hotel clean comfortable offering smoke non smoking room . opt non smoking place 10th floor . husband give double room 2 single bed not mind . bed really comfortable sleep well . . tea / cofee make facility , top tea bag , coffee hot chocolate every day . fridge keep water , milk pop etc . hair dryer room iron . room quite small suit two we . bathroom bath shower towel replace every day . room TV free wi - fi connection . windows double glaze 10th floor open ! however air conditioning unit . full English breakfast delicious . also choice cereal , coissant continental breakfast . staff restaurant helpful speak different language . concierge reception great , helpful able advise trip , travel around London underground , theatre booking place eat etc . also witty ! check hotel simple straight forward . hotel situate 1 minute walk Gloucester tube Station near shop Waitrose Tesco Express . 
 Jul 23 2008 	 Superb Location 	 stay two night disappoint . hotel perfectly locate walk V & amp ; Museum Harrods . tube station right beside hotel central line Heathrow Airport problem carry luggage . room bathroom clean perfectly adequate . tv not work , need TV London . expect would fixed get around reporting .. pleasant reception staff 
 Jul 20 2008 	 well worth ! 	 's deal . . . be look no - frill hotel location price , place . wife book Priceline recent trip London . price exceptional Kensington area , many reviewer mention , two three minute walk Gloucester tube station . gloucester station excellent entry three different tube line . area safe , market restaurant nearby ( La Liasion great quick breakfast place ) . hotel room Kensington Forum small US standard , frugal ambience , everything room work great view . bathroom small , water pressure weak , doable . all - in - all hotel great choice price location . since spend little time room begin , really not impact time London . however , must stay luxury hotel , look elsewhere . 
