rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Mar 25 2009 	 Heavenly Oasis ! 	 stay 4 night room 508 Mandeville . comfortable , cosy accomodation ' ve ever experience London . downside difficult force outside ! due issue B & amp ; b reserve entire vacation , decide move find another place . within half hour internet cafe , snag amazing deal Orbitz - $ 128 / night ( include taxis fee , breakfast ) . fifteen minute later , taxi drop front door Mandeville enthusiastically greet doorman . know , bag whisk cab , tag , hold securely return later . matter fact , entire staff - maintenance reception - nice smile , friendly yet extremely professional . refreshing see people take pride responsibility . there seem two part hotel separate elevator bank - old section front modern office block - type section attach back . room back overlook Marylebone Lane love . moment could get bit noisy heel click street people shout , earplug A / C use white noise , able sleep soundly ( ' m light sleeper ) . although dresser drawer available , large wardrobe sufficient prefer live suitcase . amenity include safe , flat screen tv keyboard , 3 telephone , stationery holder , magazine , Bible , hotel directory , hairdryer inside desk drawer , wooden hanger , shoe rack , climate control ( heating air - conditioning ) , bottle wine 2 wine glass , penhaligon toiletry ( Racquets formula ) , shower cap , towel warm , shower mat prevent slip , extra toilet paper , plenty towel include washcloth , mini bar . internet charge via television £ 5.50 one hour £ 12.50 24 hour . the mini bar secure paper tag must careful tear open not plan use it . the detail make difference - heavy drapery block light , deep bathtub ( important bubble bath fan ) , power shower , perfect water temperature , good reading light , carpeting , twice daily maid service . importantly , place extremely clean bed comfortable . the thing seem missing soap dish . poor disc soap skate around counter ! location ideal . right Marylebone Village , yet brief walk St. Christopher 's Place Bond Street tube station bus route Oxford Street . ' round way Wigmore Hall , John Bell & amp ; Croyden Pharmacy , Paul Rothe & amp ; Son , button shop , ribbon shop ( v V Rouleaux ) , Eve Lom Clinic , Golden Hind fish Bar , etc , etc ... Bond Street tube station mini mall & amp ; simply food , boot , Superdrug , Pret , forth . overall , feel Mandeville great value . price pay category hotel , keep wait catch . catch . close perfect , hope return ! 
 Mar 9 2009 	 fashionable hotel excellent location . 	 stay Mandeville Hotel 4 night end February . Near Bond Street tube station , location Oxford Street West end excellent . check - in smooth superior double room immediately available even though check 10 overnight flight . reviewer comment small size double room find room small 4 - star hotel Milan Paris . room overlook back hotel quiet . bed linen bathroom fixture good quality , heat towel rack mirror treat section fog steam hot shower . combination safe room , large enough accept small laptop . english breakfast include room rate buffet continental consist fresh & amp ; preserve fruit , yoghurt , cheese , choice 4 cereal , croissant & amp ; pastry , well orange grapefruit juice . english breakfast leisurely , since cook order , include 2 egg ( style ) , bacon , sausage , grill tomato , mushroom black pudding , toast . utilize bar restaurant meal , although find reception staff breakfast waiter professional accommodating , morning depart early , room service breakfast arrive time hot . thank Mandeville pleasant stay . give corporate rate receive , would certainly return future . 
 Mar 4 2009 	 good ! ! 	 stay hotel one night go concert london location hotel excellent Oxford street explore london , hotel self pretty average . room small air conditioning unit use heat room noisy work properly , room clean small two window could hear street noise nad draughty , hotel bar pricey . brreakfast good restaurant modern clean . stay several hotel london would use one . 
 Mar 1 2009 	 3rd visit impress previous visit 	 pay return visit hotel hilst business trip ... previuolsy stay weekend leisure break . single room time although small , adequate one night stay . however room temperaure varied boiling freezing ... reaklly difficlut get happy medium . location room side hotel direct access Oxford street . consequently noisy traffic noise shout 2AM . Bins street empty 6 am restful night . room single glazing surely upgrade least secondary glaze cut noise . on previous stay twin room duvet .... however blanket ! ugh ! take great care keep away . bathroom usual toiletry etc decent standard . however surpise bathrobe slipper inn suppose superior room . find someone else snack bar wrapper bedside table room obvioulsy not clean thoroughly . breakfast ok morning , though service slow ... spite seat almost immediately wait 10 min ( eventually track someone ) take order . Buffet breakfast ok , though staff slow fill . roll / meat / and one piece cheese go get breakfast . opt instead upgrade cook well value £ 6.50 . staff not tell yoou request cappucino instead filter coffee .... extra charge well quality filter . overall bad experience stay twice weekend , service much well room high standard . 
 Feb 27 2009 	 great hotel quiet area 	 Mandeville beautiful boutique hotel locate Marylebone area London . room , european hotel room , fairly small- certainly big enough 2 friend share . hotel quite accomodating regard twin room available ( even though mistakenly book double travel site ) allow we check 11 am long trans - atlantic flight . enough room store luggage ( nice closet safe available ) . room well design beautifully keep cleaning staff . concierge always helpful offer many suggestion restaurant area ( type price range ) . many pub area course - London ! hotel bar great place end good night . room always quiet not kind view - room overlook interior courtyard / back bldgs - thing could improve . 
 Feb 27 2009 	 small bedroom - great location 	 arrive hotel tell twin room available , not much issue we . get bedroom second floor , shock small , everything squashed room . bathroom also small side . room freeze night time air con not seem work properly . discover blanket bed ........ centuary ? shivered bed 3 night itchy blanket . breakfast expensive £ 16 continental exsiste piece fruit , pastry toast tea . well go street cafe lovely little one vicinity hotel . say say could get well location , 2 minute walk oxford st . Loads great restaurant eat night time St Christophers . 
 Feb 22 2009 	 perfect location access Central London comfort 	 book hotel lastminute.com purely & quot ; choose location near ... & quot ; option , feel could not choose well place stay . want stay near Wigmore Hall go recital evening arrive say , not disappointed . time arrive Oxford Circus trouble find way ( UK ) . find staff helpful even find two staff member Italy lovely conversation italian ! room single room , small ( 0bviously ) , well - appoint . thing miss iron facility . find bed comfortable travel early morning need early next morning travel home . concert , return hotel relax beautiful drawing room lounge wind busy day . Green tea macaroon - could want ? , enjoy brief stay immensely definitely back May another recital Wigmore Hall want hear . Antoinette Dickinson - Kaur , Ireland 
 Feb 20 2009 	 would not recommend ............... 	 location hotel great , first impression good checking - in turn shamble one two room book , well advance , not show computer . saying & quot ; customer always right & quot ; certainly not part hotel 's staff training . eventually problem resolve half party find room unsatisfactory . go theatre decide couple drink hotel bar retiring - big mistake - price extortionate ! room , though comfortable quite cold , rather thin quilt noise street wake we . the breakfast obviously rush sausage , bacon black pudding undercooke inedible , toast like warm bread wait long time reach we first place . hotel revisit recommend anyone - quite contrary . 
 Feb 20 2009 	 not even go 	 arrive birthday celebration , tell confirm book two twin room near one twin room . waste precious time , manage get two room different floor . party next we experience similar problem - 4 guy also book twin room give double definitely happy . tell , ' hotel full capacity , nothing ' . 4 sister , agree give room , would share double , give deluxe room . sound good , difference two room immense - one much small far basic , nothing well offer ' the hotel full capacity , nothing ' . waste even time , see several people , make feel problem - despite point fault original booking mess , party , fact put try resolve guest , hotel . Wish not bother . get bad unbelievable bar price , appal breakfast service . . . . overall disappointing experience . be nice enough hotel , good location , basically organisation mess . 
 Feb 9 2009 	 good hotel . 	 stay weekend Mandeville love . first time , repeat condition same . on good side : staff great ; corteous , professional polite . decor nice people like modern style , minimalist . bed comfortable , pillow top range , bed lining good quality . bath product penahligon ! breakfast enough special ... continental . Finaly , good thing : location , location , location . , one good location London , walk interesting place , great restaurant bar around ... can not go wrong . on good side : room cramp , realy small side , bathroom also . coffee / tea facility room . price little bit high ... air conditioning noisy , although use separate heater provide ... 
 Feb 4 2009 	 behind 4 - star lobby staff lurk stingy 3 - star hotel . 	 good : brilliant location . nice staff . clean . bad : tired decor room . single glaze window let cold noise . blanket instead duvet . Shower gel schampoo refill . iron trouserpress . small boring breakfast selection . partner book 4 night include breakfast 1800hotel , get good price . hotel less 5 minute Bond street tube station , load restaurant cafés around . when arrive hotel us 3 night , resolve without problem show book confirmation . greet number staff correct manner . lobby restaurant modern nicely decorate . unfortunately room cramp decor tired . pet hate- blanket sheet instead duvet cover . invariably mean end cold unwashed blanket sheet move sleep . expect well 4 - star hotel price range . coffee tea make facility room , not really bother we . would like iron ironing board though . read review room cold , immediately set portable radiator closet . without would freeze ! window single glaze seal , let cold lot noise . 6th floor , face backyard , still wake night noise nearest street . morning learn breakfast include price continental . want cook breakfast cost £ 6.50 extra , nearly double would cost café . not bother . continental : Fresh OJ grapefruitjuice , müsli , cereal milk , small tasty yoghurt , fruitsalad , dry apricots plum , toast , croissant , dry breadroll , salami , day ham , dry cheeseslice , Baby bell cheese , tasty muffin , 2 type sweet pastry . . sound well . brown bread baguette since breadroll similar topping get pretty boring . ask cucumber tomato , get , wait menu , chef take order cook breakfast order ... hotel pricerange stay include cook breakfast , big continental selection . another review mention ask shower product , happen we well . give we one soap , mini bottle schampoo one shower gel even though two we . really appallingly stingy thing not refill service room . call staff . get one new soap two bottle schampoo , shower gel even conditioner . third morning fill one bottle shower gel . really sum stingy hotel is- ask thing anywhere else come grant . understand not want give excessive product everyone take home , could wallmounte refillable container , would ensure enough would also well environment . 
 Feb 2 2009 	 want rude staff ever come across stay 	 book hotel notice review mention rude manager unhelpful staff . husband travel time never experience manager staff quite like . operate name policy - convenient hospitality business . customer service non existent .. Decor ok acceptable nothing like make . one good bar London ? think . great location attitude would reduce people tear . attitude totally uneccessary frankly form bullying strength experience would never ever recommend hotel . great shame huge potential really go open mind sadly leave feel hurt abuse sensitive ! 
 Jan 16 2009 	 good position ............... 	 first impression exactly good . tiny reception area couple chair lounge . Decor ' Red ' know London hotel renowne generous room must small room hotel anywhere ! even enough room chair able dress properly . heating work correctly heating bathroom tile floor pleasant especially one cold week UK age ellicite 2 visit engineer get sort out . then tv stop work require another engineer call outThe window also single glazing create really cold zone behind curtain well let traffic roadwork noise room . I see one review call breakfast selection excellent . well must disagree . small table croissant , pastry , cereal fruit that s lot . do not believe get cook breakfast - probably good go round corner cafe . all disapointe stay shall return regular hotel next yearone positive point however staff attitude . they extremely polite seemingly efficient appear genuinely friendly - especially charming doorman could not helpful 
 Jan 5 2009 	 Disappointing Stay 	 start well , smooth check , apart lack privacy bathroom , room cosy nice . Maid service excellent , staff reception info / taxi service desk nice . bar service appaule , New Years Day evening , get back Theatre find close hotel bar 10 pm ! even though resident would give we drink , problem not pub open entire area , book hotel excellent location , great day St Christophers Place alive nice bar restaurant , New Years Eve , one pub open entire area , could not believe , everywhere closed ! Hotel Bar loud disco bar , take seat away dancing , sit watch 2 couple floor show undie dirty dancing ! burly bouncer would let we sit quiet seat reception drink , rude make we unwelcome , bar staff , horrible , rather expensive wine order leave bar area , ridiculous ! go stand busy pub open entire area accross road . New Years Day night even worse , not even one pub open , ghost town everything SHUT , hotel bar close 10 pm ! would not even let we drink £ 20 HALF bottle wine mini bar downstairs , law drink alcahol New Years Day accord hotel staff ! never hear anything like never stick closed hotel would not accomodate resident drink , sit bedroom watch film , pay alot money stay ! breakfast ok , although never feel welcome either ! feel brave ask toast second morning , request ignore , waiter would not even make eye contact ! alot money waste disasterous weekend Mandeville , try voice concern bar closing check pay ridiculous mini bar bill , smile say busy close basically coul not care less resident leave lurch ! tell could got glass water room service wow ! 's shame really location good , hotel facility let completely . 
 Dec 18 2008 	 love personal touch give Mandeville ! 	 travel frequently London business trip time go away whole family want hotel central also give personal touch personal service . know hard thing find London hotel impersonal thought would give Mandeville go seem smallish side compare hotel normally stay . absolutely love location hotel .. two minute away Oxford Street Bond Street Station across road St Christopher 's place hub restaurant coffee shop absolutely fantastic . first thing surprised fact walk hotel receptionist immediately guess - certainly first London hotel ! make we feel welcome . we allocate two room fairly close per request . unfortunately room daughter stay apparently close disco could sleep noise . credit reception immediately sort problem fully book allocate suite one night till another twin room vacate . course girl absolutely adore pretty reluctant leave suite next day ! room allocate slightly large average sized room London hotel . clean well equip . worth note tea coffee make facility room unusual London hotel . toileterie bite sparse always replenish immediately upon request . one thing Mandeville also offer love fact offer freshly cook order breakfast . besides staff Mandeville extremely polite always ready help . would stay ? absolutely ... minor thing could dealt whole hotel great base stay London ... well do staff Mandeville ! 
 Dec 12 2008 	 l - o - c - a - t - i - o - n ..... word ! 	 pro : Location , Location , location - 2 block Oxford Street lot lovely cafe right beside St Christophers PlaceStaff - general friendly , helpful , welcoming , competentroom - Bed memory foam mattress , heavenly hectic day sightseeing . breakfast - huge variety choose continental buffet tablecon - seem lot small thingsstaff restaurant - need training service manner , wait long time order coffee toast waiter extremely rude flippant towards usmini bar - put food drink minibar seal tag side therefore open want take something minibar , trust , want ! ridiculous price ! frosted glass bathroom door - partner major problem , offer privacy whatsoever . toiletry - quite frugal offering . tv - small , end squint read ticker tape headline Sky newsin short , would stay ? absolutely : ) 
 Dec 10 2008 	 Excellent Hotel 	 enjoy lovely overnight stay excellent hotel . ideally locate nothing much trouble . 
 Dec 8 2008 	 Fab Boutique Hotel 	 stay hotel husband 30th birthday . think fab , room modern comfortable , bathroom lovely bed comfortable . great location , go Hyde Park Winter Wonderland round corner almost . eat Gordon Ramsay 's Maze Grill 7 minute walk away . bar funky ( bit odd smell later though honest ) good Strawberry daiquiri ever ! staff pleasant . get room reasonable price . 
 Dec 6 2008 	 disgust 	 book two room directly hotel daughter 21st birthday . on arrival tell overbooke room available . absolutely wreck special unrepeatable occasion . ( though tell would birthday ! ) push taxi send another hotel make we feel well . 
 Nov 14 2008 	 great boutique hotel convenient locatioon 	 grand - daughter stay Mandeville hotel July . , tour . location great , block Oxford street close two tube station . concierge helpful arrange thing like theater ticket . hotel room spacious , comfortable air - condition , hotel size big small .. Breakfast include . many sidewalk cafe small restaurant within block . would definitely stay . 
 Oct 31 2008 	 nothing spectacular 	 stay business couple day . 's great location , check - in staff pleasant , room clean & amp ; pleasantly furnish . not eat , can not comment food , restaurant bar . two irritant : tea coffee facility room , wifi room either - give relatively recent upgrade , latter annoying . 's ok , lack real charm atmosphere . would not choose stay , except perhaps location . 
 Oct 20 2008 	 great locationgood hotel though nothing special 	 stay 4 night city break October . hotel great position 2 minute walk Oxford Street / Baker Street / Bond Street plenty bar , restaurant coffee shop St Christophers Lane end road . check smooth problems.they & quot ; freeze & quot ; minimum £ 200 credit card extra may charge . room - we upgrade deluxe double spotless everything need ( apart coffee / tea facility ) .Staff pleasant especially bar staff doorman . the gripe pay £ 16 small glass red wine bottle beer bar . I would say hotel probably rate 3 - 4 star,4 location . 
 Oct 18 2008 	 pompous Mandeville 	 husband stay Mandeville six night October 2008 . daughter partner stay separate room one night stay . final payment hotel accommodation service involve significant amount money . love location hotel surprise finally dismay hotel 's attribute service . major deficit lack iron tea coffee make faciltie room . attempt clothe ( shirt pant ) iron via room service one day advise 9.15 would impossible clothe receive 9 . husband walk across road laundry service receive prompt cheerful service . final morning hotel , go early morning walk exercise clothe , purchase takeaway coffee return hotel . accost extremely pompous manager tell we ' we do not allow ' . raise without tea coffee make facility stay , say ' we not ' condescend voice . unpleasant experience leave we feel annoyed . opinion hotel make mistake pretension actually . feel interchange imperious manager make poor judgement call we guest human being . hotel almost week spend money restaurant bar laundry dry cleaning service internet access . spend least week London annually stay Mandeville despite ' fantastic position . poor management ethos support ! 
 Oct 15 2008 	 ok ! 	 stay Mandeville 1 night celebrate friend 's birthday . check - in process easy , staff efficient friendly . book standard room , still surprised small room bed . bed standard double ( even queen ) make fairly uncomfortable night 's sleep girlfriend . room mini - bar , tea coffee make facility inconvenience . also suffer street noise double - glaze , air vent windows block bit tissue paper , presumably cut noise street , fairly poor consider hotel 's reputation . 
 Oct 5 2008 	 good without spectacular 	 great location shopper looking spend time Oxford St , close Bond St tube station . we stay two room week apart , room good , second little large . stangely second room two seperate shower bath . would stay . 
 Oct 2 2008 	 Loved ... shopper ! 	 stay Mandeville first weekend September part mini - moon London . hotel fantastic location Oxford Street . shopper , selfridge around corner . everything could wish within walk distance fantastic street full restaurant cafe outside hotel . concierge helpful quickly point thing map advise good tube stop . the hotel decorate modern style fantastic bar restaurant . arrive afternoon upgrade deluxe room . room beautiful like many hotel London small . would like original room . bathroom marble good quality toiletry , robe slipper . bathroom also sound system . bed exceptionally comfy , room soundproof , fantastic night sleep . never dinner restaurant gentleman ' afternoon tea recommend everyone know , expensive real luxury ( lot eat ) include continental breakfast great choice . would stay recommend . 
 Sep 23 2008 	 great boutique hotel 	 husband & amp ; stay Mandeville 3 night August & amp ; think fantastic . firstly , be great location ( 3 minute walk oxford st ) , surround excellent cafe restuarant . Oxford st around corner shopping short walk near bus stop tube line . room top level , appear attic . room big , spacious enough we . bathroom modern & amp ; clean decor elegant . staff absolutely amazing , help little request have . I book directly hotel , good rate . would definately stay . 
 Sep 17 2008 	 nice 4 Star Hotels 	 stay 1 night double occupancy . take price account ( get deal via Laterooms ) , would rate 3 5 . ? room small - clean pleasant decor , however coffee make facility room , complimentary water , iron facility ( annoying discover 07:30 morning ) . overall , not impressed competition high centre London , will not return . 
 Sep 9 2008 	 absolutely fantastic round hotel .. Mandeville Hotel 	 well think two word describe Mandeville Hotel London , & quot ; absolutely Fantastic & quot ; , go extremely friendly , polite helpful service high standard room furnish maintain . girlfriend stay one night definately think go back ! ! stay superior double room amazing , good night sleep thank comfortable bed bathroom really tidy , clean modern . would love see room like experience ! ! staff hotel helpful , welcome willing go extra mile help . overall stay Madeville Hotel perfect , apart short length time . 5/5 we ! ! 
 Sep 5 2008 	 great location modern 	 travel UK & amp ; Europe 3 4 time year business & amp ; London normally stay Hyatt Winston Churchill Portman Square . last trip London happen meet Mandeville & amp ; decide give try . in term location , Mandeville great part town either business pleasure traveller short walk Bond St tube & amp ; Oxford St & amp ; give location fashionable Marylebone , surround fabulous range cafe , restaurant & amp ; bar within easy walk distance . hotel fall firmly boutique category & amp ; reflect contemporary decor & amp ; feel comfortably mix leather wall covering & amp ; marble floor bright orange furniture . also great bar & amp ; restaurant adjacent lobby area attract local & amp ; hotel guest alike . downside term faciltie lack gym will not worry , normally pretty high hotel checklist . light , hotel offer guest reduce admission nearby ( 10 min ) Fitness First Berkeley Square . my room ( deluxe ) reasonable size , comfortable , clean & amp ; contemporary feature marble bathroom separate shower & amp ; bath . would recommend stick deluxe room budget allow superior room saw clean look little cosy . bed Queen , although choice King expense bath tub . suggestion improvement relate wall mount ( LCD ) tv size laptop screen & amp ; make bed view little tough . conclusion , stay return Hyatt ? think ' ve find new London base Mandeville . recommend . 
 Sep 2 2008 	 50 % ii explain 	 location great room hotel v.cleangood house keeperbut staff reception nice & amp ; seem happy working .. room small ( deluxe ) breakfast average really bad serviceif u book good rate fine otherwise look another one 
 Aug 27 2008 	 Great London hotel 	 book single room surprisingly big , think corner window two side . bed 3/4 size perfectly adequate deco modern fresh . great location next street full restaurant minute Oxford Street , yet fairly quiet . check fast pleasant , overall would definitely recommend hotel . 
 Aug 25 2008 	 love Mandeville 	 Gorgeous hotel excellent customer service great location . 
 Aug 8 2008 	 be good detail 	 stay two year row Mandeville London . first time way expectation . we fly Sydney ( 23 hour ) arrange early checkin , confirm , turn 6 am misplace . wait punchdrunk fatigue room clean . hour waiting check , night staff leave one record we waiting room . promise get we room vacate room give someone else . two hour later finally get room . put ' do disturb ' sign door wake hour later mini - bar staff bursting room . it be great hotel , central location clean attractive room service last trip not justify price charge . on check argue 40min we pay full accommodation rate two night internet payment system charge first night . be rush flight 's last thing needI not know take would hesitant staying - many option . 
 Aug 3 2008 	 great stay ! 	 live London year , return city mean hectic schedule meet friend catch wiv wat new . live home city nad find hotel room upon return somehow demand specific type accomodation Mandeville hotel exceed expectation ... great central london location , short walk Oxford street ( esp one shop amazing London summer sale ) , comfortable bed small London single room well date heavily emebede victorian embelishment ! book thru hotelsclick.com get good rate around 137 £ per night ! ! ! check - in friendly quick . concierge desk helpful ensured guest well attend . breakfast room trendy fair selection item choose . full english breakfast include price . hotel refurbish couple year ago contemporary style extremely elegant . room single room petite double size bed single bed -London hotel offer relatively high rate small room space manouver . Bed linen quilt superior qulaity nad good thread count cotton . bath good quality fixture & amp ; fitting ( Grohe power shower ) . overall happy stay would definately stay give choice . 
 Jul 22 2008 	 Superb luxury ! ! ! 	 book overnight London , lovely hotel . the area fantastic central , load little pavement bar resturaunt everywhere . the hotel superb worth go treat , ; usually stay & quot ; posh & quot ; hotel spoil ! ! ! staff excellent helpful , bar brilliant service wonderful . overall great stay lovely hotel , try love . 
 Jul 21 2008 	 excellent value Central London 	 stay one night week business book hotel excellent rate British Airways website , buffet breakfast include . great location Paddington Heathrow Express London West end destination well connect , major road also easy taxi reach , important consideration congested traffic . I surprise delighted find sort finish touch - example soft padded hanger delicate clothe wardrobe - would normally find much expensive place . turn service another welcome surprise . breakfast high standard . staff efficient friendly definitely stay . 
 Jul 14 2008 	 Easy Peasy .... 	 stay Mandeville one night sister London shopping trip . ideal location shopping leisure - 4 minute walk Selfridges plethora great bar restaurant , doorstep , St. Christopehers place . Bond Street Tube station 6 min away . the hotel pretty immaculate presentation cleanliness perspective . cool bar downstairs friendly bar - staff . share twin room . quiet 7.30am , construction work begin outside . fault hotel one night . try get room rate breakfast include - order room . arrive time pipe hot . check - in check - out quick streamlined . concierge look luggage rest day check we online & amp ; provide we boarding pass return flight . ask nicely totally accomodating ! hotel website expensive , late deal hotel majority ' Last - Minute ' type website . to sum - up : easy Peasy great location . 
 Jul 8 2008 	 ' loose reservation … 	 Mandeville hotel leave ambivalent impression . one hand , ' location beat record - Oxford street around corner , Bond street underground station connect 10 – 15 minute sightseeing wish visit , area calm secure . deluxe room , bit small , nicely decorate exceptionally clean . since part honeymoon , complimentary bottle champaign basket flower arrival . hand , pretty surprised find hotel lose reservation breakfast , ' include although ' already pay . use menu breakfast restaurant , since lose reservation , ' know choose charge breakfast leave . although second day manage find reservation promised charge we first day misunderstanding . nice experience stay hotel special occasion . would probably put 5 star matter fact time restaurant go reception explain already pay breakfast . 
 Jul 4 2008 	 Fantastic Hotel Perfect Location ! 	 husband stay 1 night 1st anniversary would not change world ! staff friendly helpful time location perfect ! hotel within walk distance attraction include Trafalgar Square , Theatreland , Piccidilly Circus , Regents Street 2 min walk Oxford Street Selfridges ! ideal shopping weekend . surround hotel nice bar cafe 's , plenty place eat drink right doorstep . weather great stay give location feel abroad , everyone eat drink outside restaurant . the hotel kindly upgrade room anniversary , room amazing ! I ve actually decide decorate bedroom . get stay lot nice hotel business trip , one favourite far . the negative bar price , London expensive , verge extortionate ! £ 19 bottle beer vodka coke ! ! ! be not really problem though lot bar within minute hotel . I would definately recommend hotel , can not wait go back ! 
 Jun 10 2008 	 well - situate well - appoint ... 	 Mandeville 's great advantage location , two block south sweet part Marlyebone High Street , chock full boutique eatery , three block away Wigmore Hall , one London 's foremost classical music venue . inside , 's well understand small ( tiny ) old hotel thoroughly boutique - ifie . room comfortable sharp - look , though roomy not book low rate . be noise - sensitive , ask room low floor back side hotel . demerit hand Mandeville restaurant : breakfast buffet limit lamentable , lunch menu might well dinner menu -- light fare . 
 Jun 9 2008 	 Perfect girly weekend 	 stay first May Bank holiday friend not see age . whole reason weekend spend time catch girly thing . arrive quite early Saturday room not ready whcih surprising dump bag concierge freshen lady ' room . reception , although small lovely friend love decor do & quot ; colour . & quot ; brunette tend wear & quot ; jewel & quot ; colours ruby red , emerald green , rich purple , get idea , well ubiquitous black . fall love hotel match clothe ! concierge helpful take bag wish we pleasant afternoon ' shopping . return 3 4ish room ready . went discover double emailed request twin quick phone call reception quick route bell boy twin . twin spacious enough toom ( ) bag shopping . bathroom nice bathtub rather shower small London hotel save space . think toiletry Molton Brown . we plan try bar time get back evening tired . look good though . the hotel great location James Street restaurant terrace . lovely weather drink one bar time show . theatre eat another cafe bar continued drink . I would definitely stay . decor nice . feel exclusive decadent concierge work hard get taxi give advice . 's friendly place overly excellent location . 
 Jun 2 2008 	 Mandeville spot ! 	 stay Mandeville first visit London not disappoint . perfect solo woman traveler sorta use ' fine ' thing not want spend mint ( stay hostel ! ) . room clean , comfortable quite posh though small . staff excellent location could not well . turn leave St. Christopher 's Place 2 second . turn right walk Marylebone High Street . highly recommend ! 
 May 29 2008 	 ok ... go back . 	 ' ve stay 13 night Mandeville 5/11~5/24 , pay close $ 400 / night , believe close full pay . sum , hotel ok definitely worth money . hotel management need learn take care value guest . person stay 13 night full pay value guest ... ? last day , ' ve ask late check . response get one , yes one extra hour untill 1 pm . not great ? unbelievable generosity . 13 day $ 5200 , ' ve get 1 extra hour pack . impressive . would make want come back place . right ? also beware . hotel arrange cab tell fare airport would 50 pound flat . however , upon arrival cab guy insist 65 . not know whether isolate case , bad feel bell guy . hotel old tiny . room ok also small . tv size postage stamp . ever want watch tv hotel , not bother . can not see damn thing . hotel not provide coffee maker tea pot . bottle water room cost $ 6 . make sure pick water way . give place point room ok although small 's close shopping . also lot cafe righr next hotel , plus . would worth money ? say . 
 May 25 2008 	 Great Hotel 	 hotel excellent location 5 minute walk Tube round corner selfridge shopper amongst you . we originally book superior double room offer option upgrade £ 30 night . decline first go room . room modern , clean nicely furnish , however rather small , little space around bed . decide go bit extra nad upgrade deluxe double . room lovely , plenty space 2 we large bathroom seprate shower unit bath / shower . negative room lack tea coffee . not think 's much ask pay much room get free cup coffee . staff friendly , never use bar restaurant plenty place road eat drink breakfast not fancy pay hotel price fry . overall , London pleasantly surprised would recommend . incidentally book direct hotel get theatre ticket separately slightly cheap offer various site . 
 May 17 2008 	 fabulous ! 	 hotel lovely picture . room furnish beautifully comfort & quot ; Ritz - like & quot ; way bedding . bar sleek . entire hotel staff could accomodate . tea beautiful personal chef come inquire satisfaction , etc . would recommend Hotel anyone , love ! P & amp ; P VA 
 May 14 2008 	 good hotel . 	 two night stay Mandeville find average London standard . staff friendly , courteous helpful . room ( small double single use ) well - equip , comfortable , immaculately clean spacious many London hotel room ' ve occupy . location also excellent , 5 min Bond St tube station plethera fab bar restaurant nearby St. Christopher 's Place . one word warning - beware mini - bar price - high norm clearly display . overall pleasant experience - definitely stay ! 
 Apr 21 2008 	 Mandeville Hotel - absolutely wonderful . 	 wonderful hotel . decor , staff , amenity food second none . felt like royalty weekend . Locality brilliant shopping site see . well do breath fresh air London ! ! ! G Light 
 Apr 21 2008 	 reservation lose 	 often stay hotel , think quite nice , although room tiny . this time disappoint reservation hrs system demand print reservation verify . never happende hotel ( maybe ' ve lucky far ) - printout pure accident . then keep we wait lobby 20 min verify reservation . later check hrs say must hotel 's fault hotel choose email - alert fax - alert hrs send email hotel accordingly , prove system . through also get request twin go double room . a not - so - nice experience otherwise quite nice hotel . 
 Apr 13 2008 	 Beautiful Boutique Style Hotel 	 Fantastic hotel ! friendly staff excellent service . hotel room feature website . stay twin - bed superior room . spotlessly clean comfortable . 5 minute walk Oxford Street load small cafe nearby . BOOK ROOM VIA HOTEL WEBSITE BEST INTERNET RATE ! SAVED HUNDREDS pound better choice room ! look quality hotel centre London great staff beautiful boutique style surrounding . hotel offer far well service quality accommodation typical central London hotel . well worth extra couple pound stay . P.S . Afternoon Tea ( although bit pricey ) great special treat . cake die ! 
 Apr 6 2008 	 Uber cool hotel bar restaurant 	 fantastic central London hotel impossibly cool DeVille Bar - book hotel girlfriend / boyfriend prepare spend cash ! cocktail amazing ( cost £ 10 ) restaurant serve great food . room stylish . Perfect London hotel - walk everywhere hotel locate Marylebone . 
 Mar 29 2008 	 really great hotel ! 	 husband stay hotel Easter holiday , would like say hotel great . check fast , room ready , maybe little small , nice , new clean , spotless bathroom , also small side ok . Bed linen change daily , towel too . breakfast really nice , ham cheese , muesli , juice , croissant , coffee , tea , jam , butter ... really enough perfect start day . everybody hotel really nice , friendly ready help . hotel 2 minute walk Oxford street , good location . I really recommend hotel perfect stay London . 
