trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Jul 31 2009 	 moment enter escalator - fantastic ... 	 moment arrive describe flight hell - welcome style show Library cocktail celebrate 30th birthday . staff hotel polite , friendly extremely helpful - nothing much bother . food cocktail also superb . I travel mother girl 's weekend away show room 8th floor ( although people keep say room small ) room fabulous - plently room we , luggage shopping somehow accumlate ! ohhhh bed pillow - wow good three night sleep long time , comfortable could quite happily stay bed ! thank make stay perfect , make sure come back soon repeat visit know mother aswell . highly recommend ask stay ! ! 
 Jul 31 2009 	 Great Location comfortable room .. 	 read mixed review trip adviser would happily recommend Hudson hotel NYC . travel group friend see whole variety accomodation Hudson defnitly good . locate great part town Hudson accessible everywhere . downside would size bathroom manageable . 6 ' 6 tall partner find struggle toilet fine otherwise . comfortable bed , gorgeous linen . decor room beautiful . hotel defnitly worth visit . outside patio drinking area magnificent rooftop bar speak . gorgeous ! nightclub seem quite busy drink rather pricey US $ 10 beer . would defnitly recommend stay .. mindful telephone - extreamly expensive . $ 35 60 second talk time ! well phone card ! 
 Jul 29 2009 	 good location - good hotel 	 wee bit apprehensive reading review , however perfectly acceptable stay . public area , bar , cafeteria etc spacious cool design . bedroom small - say trip 5 night adequate . read one review concern nowhere store luggage clothe - true . Closet area door & quot ; door free & quot ; plenty room . small ironing board iron provide room ( save phone housekeeping ! ) . 1 small closet shelve 1 drawer . room also safe cd system . Hairdryer bathroom yes strangely soap , shampoo bodymilk provide bring show gel conditioner . bathroom tiny - serve 's purpose ! & quot ; window & quot ; bathroom room - 's feature - look Sanderson Hotel London ( part group ) see mean . tv picture could well , get use , 's be hazy anything , clear ' m use . slightly show 's age non - public area could probably quick fix little small job notice : bedroom door lock not work , however door can not open outside without pass card plus opening restrictor extra security . room service - costly expect hotel . informed would arrive 40 min , arrive 25 . macaroni cheese exceptional . pizza wee bit less ( watercress basil ! ) . room face onto courtyard could get bit noisy night , soon get use would not say major problem . seem go quiet decent hour . ' m try pick thing read review concerned bear jump around bit ! music reception , would not class loud plus reception staff friendly . lift ( elevator ) music playing would not say loud . corridor perhaps slightly darker garishly bright hallway may find hotel would certainly consider dark ! breakfast fine hotel price . want something cheap bakery corner ( 1 min walk ) plus traditional diner across 9th Ave ( 2 min walk ) . location hotel great . next Time Warner centre Metro ( Columbus Circle ( 59th street ) ) 2 minute walk away . downtown bus run 9th Ave 2 minute walk ( yes everything close ! ) . cross town bus one block 57th ( 5 minute walk ) . Central Park midtown tourist area also within walking distance . always plenty taxi outside . travel JFK could use airtrain metro ( E Sutphin Blvd / Archer Ave - line would change 50th street Times Square take another line Columbus Circle , Howard Beach - would take directly Columbus Circle 2 minute hotel - maybe 5 depend luggage ! - note elevator station take street level ) . hope help make mind - allay fear already book read review read ! 
 Jul 28 2009 	 Great Hotel Bad Beds 	 overall hotel overall great - location fabulous , staff helpful attentive , restaurant bar excellent - Library Bar & amp ; Sky Terrace especially terrific . expect , room small - bed horrible - could feel spring . could improve , would near perfect stay . odd thing - glass wall bathroom bedroom unusual , cause we laugh speculate reason design . win award good hairdryer hotel room . 
 Jul 28 2009 	 good part trip NYC 	 come city escape weekend . kid , job , bill , chore ... come get away could not ask well hotel provide escape . spend night , along hundred cattle large chain , whose daughter happen name lovely city France , immediately greet box experience . like moment step cab , fiery cauldren literally light entrance discreet , yet bold hotel . gentleman greet we , wear smart black uniform , extremely friendly earth . already feel though staff actually care experience . enter hotel greet shimmer green & quot ; decompression chamber escalator ride main lobby . , staff , friendly unique ... decor wonderfully different , wild west , meet Dartmouth College eclectic feel ... every piece furniture unique , include double chair , way , see episode Sex City ... apparently film ... ( affair episode ) also learn early year Sesame Street film one dining area ... ( something everyone hotel ) night club area truly destination , unbelievable ceiling paint glass tile light floor ... cool ... room lovely , wood wall , amazingly delicious bed sheet , sleep well ever hotel . bathroom clean crisp european feel , fact entire hotel . city , want clean , nice room sleep well ... pillow well even ... sky terrace make feel like somehow one New York 's elite ... course ... wait staff adorable summer outfits , friendly genuinely care like serve . get enormous pot tree ? fact come home late one night , relieved realize close hotel , could see greenery afar ... splendid view outstanding attention detail . another small interesting detail hotel , elevator .... way , unlike hotel ... never wait ... music , muzac , wall like sculpt iron swirl ... beautiful ... floor access large flat screen computer georgous marble table ... hallway dark , part appeal ... strong , solid , discreet ... really , like quality , interesting different hotel experience , really come Hudson . read review , one might afraid comment around size ... come New York , spend day bathroom ? well , even , would love , squeaky clean elegant ! would recommend anyone go back ! thank great experience ! 
 Jul 27 2009 	 Hudson Hotel - Manhattan 	 spend weekend Manhattan many time , travel one always look affordable hotel . daughter able get great price Hudson Hotel great reputation . enter hotel bit tricky not sign street not greet like hotel find way . travel escalator another world quite interesting . huge lobby , two trendy lounge , one outside one , eclectic furnishing excited see room . hallway dark narrow , industrial feeling . room small industrical feeling . bathroom even small fact sit toilet knee touch wall , can not imagine someone 6feet tall ! husband felt cramp , bed really sit , not think would stay . lounge overprice typical NYC hotel , drink price ridiculous NYC , . staff great , helpful 's nice location . 
 Jul 26 2009 	 fabulous stay - could not well ! 	 stay Hudson fantastic . moment enter , feel like oasis away frenetic pace city . front desk staff friendly helpful room serene comfortable . location can not beat close 2 subway line Columbus Circle , near Whole Foods ( great breakfast go ) walk distance Carnegie Hall . ' ve stay different hotel city , Hudson & quot ; go & quot ; place . beautiful trendy bar ( full life especially weekend ) , room really quiet make feel comfortable every step way . 
 Jul 24 2009 	 great location room small bathroom smallerdark lobby hallway room 	 worry review hotel , arrive late 11.30pm ( 4.30am UK time ) . shatter . find staff friendly doorman Daniel go way help time arrive left . lobby dark could hardly see sign card do . I 17th floor nice landing lead room dark & amp ; spooky . ( noise people slam door . ) room double bed small room , hardly room put clothe . imagine couple . well bathrom tiny & amp ; ' m 5 ' 1 & quot ; tall would job sit toilet comfort ! bath tiny . laid & amp ; put foot wall . the room clean & amp ; bed comfy . tea / coffee room english person use . air con great 80 's hot we Brits ! ! ! ! ! Hudson great location easy walk place subway 2 min walk Columbus Circle . right Central Park . would recommend get Metro card & amp ; put much want & amp ; top anytime . beware subway spooky lot pillar around . Sign post good compare tube London . I would recommend & quot ; board tour & quot ; ( book home ) go give guide New York . 5.5hrs worth every $ . go bus / walk / ferry Time Square walk hotel . take yellow cab jetlagge . also go Helicopter ride company AWESOME .. expensive worth . pic take buy . . ( take pic helicopter ) would recommend go & quot ; Top Rock & quot ; RockfellerCentre much well view Empire State Building . ( pic take buy . ) child must go toy shop FAO Swartz fab much well Hamleys London . Time Square offer cut price ticket show queue long . not get see show ther 4 night . much see back . would recommend coffee shop corner call EUROPAN open 24 hrs & amp ; deliver room . you come hotel turn leave corner can not miss ! enjoy ..... not eat hotel go bar expensive . shop good tourist get discount Bloomingdales & amp ; Macy 's . need go visitor place get & amp ; take ID . Niki shop ( Trump Building ) impressive 5 floor . must take visit Grand Central Station see ceiling & amp ; great shopping cenre . hope give flavour NY . 
 Jul 23 2009 	 good experience 	 husband book hotel use Priceline . definitely worried read previous review rude staff , bad room , etc . 3 night stay turn pleasant . staff friendly nice notice right away . get 4 hour early let we pick 2 room ready . room indeed extremely small , clean . smallness room not bother we , thing bother we bathroom . bathroom extra tiny toilet practically push wall , tall problem . bathroom thing bother we thing might prohibit we stay . another plus hotel close everything- right near Central Park , 5th Avenue , walk distance Times Square , etc . one thing appreciate Hudson Hotel near great hospital ( probably block ) . make unfortunate hospital visit really helpful close . overall would recommend hotel go NYC significant . 's family type atmosphere opinion . 
 Jul 23 2009 	 cool place great location great staff - highly recommend 	 terrified hotel reading review would cancel could could not - glad not . wow ! wonderful experience . we greet warmly promptly staff give upgrade ( woohoo ! ) room two bed . room spacious , clean great view - include park . bathroom also large clean . could spend lot time hotel , , not , since plan local restaurant bar also take walk central park close . the location fantastic - can not believe people complain hotel ! hotel bar area/ restaurant/ lobby swanky . really beautiful hotel . live Manhattan 13 year not spend lot time hotel would stay . since New Yorker also tell neighborhood terrific location everything Manhattan . know people complain room size would recommend go large room possible . my small complaint hallway sare dark windy possibly bite scary alone . , still would take exchange fantastic hotel , fabulous location great staff ! 
 Jul 21 2009 	 small miniscule room .... 	 book Hudson due market show attend business . special rate $ 149 seem reasonable offer show . believe say , & quot ; get pay , & quot ; apply here . the positive - staff helpful . interior architecture design restaurant reception area interesting ( albeit dark ) outdoor dining space lovely . the negative - room take small whole new level . small , oddly design room , ' ve ever stay - include travel US Europe . total square footage 160 sq . foot standard room - size teeny - tiny room cruise ship - however lack cruise ship 's clever storage area . bathroom small , 5 ' 3 & quot ; could hardly move - ' m describe petite ! poor 6 ' 0 & quot ; husband laugh see . miniscule tub poor drainage shower flow poor . thing not look clean would like it . I tell hotel dorm woman 's hostel point prior convert Hudson . room still feel although ' ve add funky lighting . our joint advice - save money dine stay elsewhere - unless course prefer small , closed space . 
 Jul 16 2009 	 bad not bother 	 every single person tell stay say & quot ; room small ! & quot ; . 's true issue , especially move smoking room ( bleeuurgh ) availability leave first night , well corner room floor . clean cool . the real problem price service . room cheap $ 150 per night . arrive late ordered room service , cheap bottle wine $ 55 . extremely average crab cake bad macaroni cheese total $ 100 . breakfast $ 27 buffet badly cook egg croissant lttle relation french relative . horribly weak coffee replace two menu strong cappucino turn $ 8 , ba - da - bing $ 50 breakfast . refrain breakfasting again . but service bad . age check understaffed reception . first morning want ask breakfast room two people behind counter continued conversation without acknowledge , wait finally wait long try interrupt whereupon lady hold finger say & quot ; one minute ma'am & quot ; , rudely . one evening try call ask wake - up call phone literally never answer , three time . it be also little much scene , like scene . go bar book Sunday evening , open cacophany music DJ noise , close gently quietly creep away . say roof terrace lovely go instead consume $ 18 glass chardonnay . and say , hotel still charge wi - fi blummin cheeky day someone travel lot , be one basic standard hotel good indicator whether want know put customer first . . 
 Jul 15 2009 	 great stay great Location small comfortable room ! 	 save hotel last trip . last night stay , decide I m old friend couch friend check hotel get room Expedia $ 160 plus taxis $ 200 . book standard room , one front desk hear ordeal , upgrade we queen deluxe ? one step standard . corner room fun . modern design , cool escaltor , nice lobby high cieling greenery . staff encounter nice helpful , specially bell desk doorman . room : yes tiny tiny tiny perfect two people . tell standard room closet half size one stay . bed pretty much take room , two nice window , clean nice bathroom deep tub . wall curatain seperate room fromt bathroom . hear that s standard . bed- comfortable , well couch . also great time party bar / lounge / club go , Saturday . big place , huge line I ve hear pretty popular go . guest two pass , bring friend ( although door limited number could bring ) . drink expensive ! ! ! ! say preparty room anywhere else , come dance . great DJ ! would recommend someone stay , two people . location near central park , Columbus circle subway also great ! 
 Jul 15 2009 	 love love love 	 read small room , worried , 5th room pleasently suprise room . grant be not big big enough need , tidy decor really cool different , sky terrace must see view amazing . love hotel every different reason , staff friendly good location , subway end street , room lovely nice atmosphere , night time bar really pick do not hear kind noise , well do not anyway . would definately stay , love ! one peeve wait long check . obviously come early , tired want get room chill wait , be not anything hotel , make sure room do quickly could see wait . 
 Jul 14 2009 	 wonderful stay ... thank David Mc .... 	 wonderful experience Hudson Hotel . husband medical problem hotel staff go way beyond call duty accomodate make stay pleasant comfortable . staff courteous , prompt efficient . David Mc , executive office , follow make sure comfortable everything need . treat like royalty . highly recommend hotel location ambience . view incredible roof garden spectacular ! 5 star experience ! ! ! 
 Jul 14 2009 	 Cool Hotel 	 would definitely stay go New York . coutrse location great hotel cool ! rooftop amazing decor trendy . everyone work hotel delight especially doormen people front desk . 
 Jul 13 2009 	 Funky hotel great NYC atmosphere 	 stay Hudson NYC 5 night - find funky , fun youthful high energy . the room positively tiny , though fine - much time really spend room New York ? see bathroom 's bit get use , hey , 's shower curtain block view . overall , great hotel - happy . 
 Jul 12 2009 	 Location location location ! 	 recently get back two - night stay Hudson boyfriend . read many past review , know expect small room interesting decor . pro : location beat ! bring bike we great time cycle around Central Park jut minute away also take tour rest Manhattan , greatly equip dedicated bike path . problem store bellboy always return we promptly . parking , park free whole weekend one many side street nearby . be really worth extra time search parking spot . service great everyone friendly resourceful . con : room 6th floor unfortunately window insulated let sound . therefore hear everything courtyard party room we shut midnight . breakfast hotel terrase first morning , enjoyable , certainly worth 27USD pricetag buffet ! instead breakfast small cafe rght outside Central Park next day fraction cost . overall pleasant experience hotel , even sweet score 105USD dea lon priceline night , complaint ! 
 Jul 12 2009 	 great hotel couple indiscretion . 	 everything place lovely ... however real grievance relate two incident . firstly girlfriend 's 30th arranged flower deliver room , ( even email week advance , reply ) fairly easy task , go reception ask whereabouts surprise spoilt , make grateful have arrive ! secondly check present bar bill receipt clearly correct , dispute promise correct payment put back credit card make chase money two month later . 
 Jul 11 2009 	 functional nice location decent value 	 stay hotel two night recently , honest review : background : travel New York business book Hotwire approx $ 125 per night . need place close Times Square , clean , decent price . hotel : previous review correct room small . may norm hotel NYC since space valuable . size bedroom issue ( least solo traveler ) - however , bathroom laughably small . Decor hotel definitely contemporary / chic / etc . lobby nice . Hallways hotel somewhat dark nature , seem like 's way intend . creepy look lamp bedside table room , part contemporary theme , turn face wall try ignore . I try restaurant hear quite expensive personally feel like get experience thing . attempt get drink Sky Terrace ( 15th floor ) meeting one day , however , upon enter terrace tell go close 5 pm private party . Thursday night ! happy , could understand closing part , whole thing ? actually look forward sit terrace relax . great business practice . location decent , right near central park yet far Times Square . walk Times Square meeting day pleasant 20 minute walk . staff find pleasant . call early land JFK ( 8:00am ) able let check - in first thing meeting . accommodate friendly . ask concierge several question subway travel , etc helpful . all - in - all , probably would not voluntarily choose hotel , however right price could overlook oddity ( room sleep ) . family might tough time stay lack extra space , single couple probably enjoy atmosphere ambiance , like contemporary type thing . 
 Jul 9 2009 	 Chic 	 great hotel , problem ever . one well hotel ever . aaaaaaaaaaaaaaaaaaaaaaaaaa++++++++++++++++++++ could go . great location . 
 Jul 8 2009 	 Hated ! 	 without doubt one bad hotel experience ever . 60 people conference one person like hotel . use college dorm , enough say ! Dark hall , bed practically floor , could not sit straight toilet without knee hit wall . everyone still laugh talk horrible experience Hudson . 
 Jul 7 2009 	 dirty room break air conditioning pay extra upgrade 	 book hotel Hotwire list $ 135 one day sound like good value begin . hotel great location block away Central Park . check buddy mine , give ' standard ' room enough room one mattress room sit closet luggage . shower toilet part room divide rest room see curtain . come Hong Kong think see small room , room far small hotel room see far . guess setting would work lover work we . ask front desk big room tell would upgrade moment problem pay extra big room . pay extra $ 150 day upgrade , put big room two bed . time actually separate bathroom closet put away luggage cloth . check ' upgrade ' room stay one night , find follow problems:1 ) air conditioner work , room temperature 83 night.2 ) paint fall bathroom ball3 ) shower tube dirty human body hair . complain front desk next morning check , get ' sorry ' . not recommend hotel anyone . glad short period time . 
 Jul 7 2009 	 happy 	 mention other , room small happy location price room . hotel near Central Park subway . overall satisfy stay . resteraunt pricy NY option close . 
 Jul 7 2009 	 get small room - one great place stay ! 	 Hudson Hotel represent everything great New York . 's proximity Central Park , theater , shopping 's upscale , chic look treat sense . be clean , beautiful staff great . impressed quality food room service . rain not get enjoy outdoor amenity , definitely stay . 
 Jul 7 2009 	 Cool 	 great location : 2 min walk Central Park , 10 min walk mid-5th Ave , 20 min walk Times Square , 20 min subway ride downtown ( Little Italy , Brooklyn Bridge & amp ; China Town etc ) . however , nice restaurant close look go will not end wandering evening ! recommend Walinsky 's Steak House Gordon Ramsay 's fantastic food ( without Chelsea price tag ) . course thousand brunch place 30 second away , pizza place corner open night ( good post - cocktail evening ! ) .We not eat restaurant ( many cool place try ) , two cool bar hotel , although pricey - $ 20 short cocktail . Library bar large mahogany pool table , quieter bar , open afternoon . the staff course beautiful fairly attentive , dress short skirt low cut top , muscle - fit tight t - shirt ( New York ! ) watch look - 's cool place 's bind pretentious . exception concierge Kyle absolutely brilliant help we fantastic seat MSG Basketball ( must - complete corn dog Bud Light ! ) , recommendation fabulous breakfast ( Sarah Beth 's overlook Park ) , book restaurant recommend Jazz Club ( Van Guard Greenwich Village ) one evening . room tiny - manage get upgrade still shoe box - 's get NYC . , room clean everything would need ( though watch , pay $ 7- $ 14 water room , something be use UK ) . not expect room view ! & quot ; sultry & quot ; light way hotel - include bar , room , reception , lift corridor . usually like old hotel understate sophistication since New York , go Hudson taste ultra cool modern ... pay , love feel like ( maybe C - List ) celebs ! ! 
 Jul 7 2009 	 small room matter ? 	 room woefully small . even door room mini - sized . inside room chic neat noteworthy style . public area impressive - great lobby , funky bar , cool library . be not sell restaurant - seem underwhelme comparison rest place . but fabulous sky bar ! check late shout hear Reception music loud . street cre high Empire state - feel like have arrive somewhere ! size comfort bedroom determine next place stay would return . somewhere feel 10 year young good every time walk good option ! 
 Jul 6 2009 	 ok budget 	 stay 3 night May , three different room . book expedia feel give bad room result ( due cheap price ) . first room dirty , second safe , third fine . fair , staff could not helpful . I would stay , website make look well . however , NYC time , good value money . medium budget look reasonable place sleep , can not go wrong - podis well ! 
 Jul 6 2009 	 well expect excellent service ! 	 will would first like say read lot post tripadvisor guest horrible experience , pleasantly surprised stay different . get hotel priceline $ 115 / night , think great deal , especially location ! service amazing , every hotel person extremly nice front desk man , Jerry , able upgrade we nice room celebrate engagement . room definitely small , really ... bad ... fact , think go clausterphobic ( fiance 6 ' 3 ) , really nice ! upgrade deluxe room small closet / mirror area bag , really convenient . bed alright ... mattress be not good , clean housekeeping do everyday : ) 23rd floor , really reccomend quiet . overall , great experience , really impress helpful staff nice hotel room ! probably would not pay $ 180 / night though . 
 Jul 6 2009 	 small room decent location 	 generally good hotel , size room absurd . bathroom tiny , even small person 5 foot could sit toilet without knee hit wall . large person would well go lobby use toilet . location ok , near Columbus Circle , tourist prefer close Times Square , probably twice price . staff friendly . restaurant price insane : $ 8 glass orange juice , $ 14 two scramble egg , etc . hotel probably though . room small could walk . bed take almost entire area . real room luggage , small desk . lot place eat cheap far away , 24 hour diner CVS drugstore , supermarket , etc . subway 2 minute walk away . room clean quiet , everything work fine . ambiance one hip stark modern place . lobby dark . ' m talk really dark , could not see front . 's kind stupid guess 's plan . bar popular crowded night . lot loud music play public area , , kind dumb , guess appeal . mostly young people stay hotel . terrace 15th floor view notthe great . price , think reasonable small size room bathroom real concern . 
 Jul 5 2009 	 trendy clean hotel tiny room 	 recommend get upgrade . normal room small , even compare other stay New York . clean , new , swanky feel room hotel . lot night life go within hotel Lobby , bar , restaurant , etc . may even dance club sort . easy get near Columbus Circle , nice little area check . 
 Jul 4 2009 	 Kartell Hotel 	 Sleek , yellow glow acrylic everywhere . cheap rate bring motley crew tourist . tiny room cozy , big enough queen - sized bed . mini bar . good location . great outdoor lounge bar . 
 Jul 3 2009 	 beautiful 	 daughter stay primarily museum visit . impressed trendy decor , friendly service great drink . room service coffee morning good coffee ever . room small , well design comfortable bed . loved design bathroom . Hotel centrally locate , next time visit , stay . 
 Jul 2 2009 	 great location ! 	 hotel great find ! locate fantastic spot great rate . arrive 11:00 pm airport driver not even know right place sign . not know right place people go dance club . check Sarah front desk say going upgrade we big room give we space . set thing room explore area . cvs grocery store right street pick essential awesome 24 hour bakery 1 building call Europan go 10 time 4 day . come back , hotel employee ask we room key make sure guest get elevator ( awesome thing ) . hotel 2 minute walk Columbus Circle Subway station 4 minute walk Central Park . could get southern point Manhattan 20 minute ! room exceptionally clean room put suitcase large , walk closet . bathroom standard bathroom , nothing special except design sink cool ! bed low ground pillow bite tiny comfortable . tv control not work great not big deal . room always spotless get back . thing would caution lively crowd bar . music go late . not bad 4th floor get early go Statue Liberty . fall right asleep though . Sky Terrace beautiful wish could spend time . want order pitcher Sangria run time . overall , would definitely recommend hotel . rate reason enough hotel centrally locate Manhattan location make awesome ! could get anywhere want go . great deal ! 
 Jul 2 2009 	 Party hotel sleep 	 spend Saturday Sunday night 12 Th floor . band play loud , impossible sleep midnight Saturday night . anyway , hotel acoustic isolation . hear everything street . beautiful lounge , small room air conditioning extremely noisy . never ! 
 Jul 1 2009 	 family friendly comfortable . 	 let us start good point . staff fairly friendly . look hotel cool . sky terrace pleasant great place unwind drink evening . location excellent - short walk Columbus Circle subway , taxis aplenty . bad . hotel extremely loud weekend bar host private party . hotel staff less honest us music would end , though give we ear plugs . room small . grant , not need alot space bed , trouble find somewhere put suitcase . bathroom also , small . several month pregnant frustrated tub ledge sit bar hold shower . disability , consider point ask handicap accessible room . bed also low ground . hallway smell like mildew . room less clean . day housekeeping give we new shampoo / conditioner day not . pay internet access . all , kid , like sleep , type disability , consider stay elsewhere . 
 Jun 30 2009 	 great position small room . 	 stay four day - great position near Central Park . will simplify + & amp ; - .+ good position sight , Rockefeller Centre , Empire State , 5th Avenue , Broadway , Times Square , Central Park , Bloomindales - Macys far walk . booked bus trip go - brilliant , see lot , save walk , get anywhere want sightsee - make way back . . Booked Statue Liberty also - need full day - security airport - joke ! try 8th Avenue ton cheap place eat ~ £ 35 2 wine ( ' ve put £ 's 2 1 go ) .I have book place within walk distance sight good standard hotel - good disco - need quid though .Safe night walk round , would say London dangerous .You ' ve got visit Abercrombie Fitch 5th Avenue , queue get ! - four floor disco music , shout ask stuff - brilliant clothe cheap .breakfast - little cafe corner £ 7 two - mix local - 's great ! - need book least four day spend first day getting , people go two day consequently one full day night go home third day .When get airport not bother phone shuttle - speak weird combination spanish / american , could not understand word- go desk - sort . hotel expensive £ 7 glass wine , go corner shop get six pack Bud ( £ 4 ) drink room -what cheapskate , will say ! small hotel room ' ve ever stop everything .Do not take coat - waste time - top jean . 
 Jun 29 2009 	 do not go 	 negative side : bad business centre 15 year business traveller . on negative side : long line check check outon negative side : AC work two day rowon negative side : Remote control workingOn negative side : Keys workingon negative side : priceson negative side : noiseon negative side : mini baron positive side : staff - friendly unable solve problem 
 Jun 28 2009 	 Trendy ... room ! ! 	 stay Hudson 5 day last step pf honeymoon States . will try describe opinion word ... hotel interesting artistic point view . it be stylish , furniture well study place , peculiar light ( hardly show way , believe ! ) . reception beautiful concierge desk . the bar inside also beautiful , kartell furniture , glass floor always crowd people , mostly well thirty , well dress early evening , come back work . hotel popular among stylish young people restaurant terrace outside ... want enoy newyorker atmosphere mind loud music afternoon till night.we dinner th erestaurant , strike we DARK ... tell ask three candle ( one one ... last must sound quite annoyed ) , could barely see order ! food good , tasted , never see addition wine bottle extremely expensive ( almost everywhere New York ) menù choice poor ... would recommend restaurant personally . let us come back check . arrive quite late tired , 21.30 .. surprise .. leave reception seat waiting room . take 40 minute , come ? book room late evening , not ready ? ? ? first sight room catch eye & quot ; minimal & quot ; & quot ; well design & quot ; ... suddenly find small be . extremely small ! room actually bite wide bed ( proper double bed ) , plus mini closet ( fill safe hi - fi ) , desk extremely small bathroom . must say everything clean , space luggage ! put bed day walk around room ( hit continuosly tv , desk , husband .. ) . bathroom also trendy , like shower separate bedroom transparent window stylish curtain . the position hotel good , well serve public mean surrounded restaurant , fast food , internet cafè drugstore . staff quite ok , especially guy / girl employ concierge desk . I not know review might suggest , would recommend thi shotel young couple people , people look much relax ( be loud ) expecially appreciate interior design . not think 's place familie old couple ! be trendy , be fashionable , be cool ... one word 's comfortable stay intheir room ! 
 Jun 26 2009 	 stay peril 	 Hudson last stay whistle stop tour America Honeymoon . previously visit New York two year ago come chill relax , bit shopping come home . we arrive Hudson late ( 11.45pm - ish ) delay San Francisco ) . greet mute doorman offer help assistance . consider two huge suitcase , hand luggage coat drag escalator , light neon green / yellow light ! ! tired want room . queue age dark , depress foyer sound thump music ring ear . Unbeknown we , bar adjacent lobby situate escalator nightclub weekend . oh joy , arrive hotel look less glamourous , tired confront scantily clothe young socialite boogye around - impressed . barely hear receptionist hear upgrade we honeymoon . ask we let know noisy try move we tomorrow . assume talk bang sound behind we . how wrong ...... cram lift , also play music - wonderful ! ! ( ) arrive room - say cupboard . hardly room swing cat . small room ever see . basically bed room . room not describe room . floorboard come floor . cupboard draw locked speaker , fall safe could completely lift ! ! room clothe . bathroom disgusting , dirty tiny . 6 ft 1 husband could barely go toilet . we also confront awful noise . assume air con unit - . turning discover position 2 extractor fan outside , even air - con could drown . noise refer clear indication come would present with . the whole room depress , fact whole hotel . apart two helpful staff member , rest simple , rude unhelpful . one even offer us earplug noise ! ask check tell could would not able refund we prepay travel agent . option stay . could not afford upstick move . we move next night upgrade room . room condition , slightly big postage stamp time add bonus door almost fall hinge . neighbour slam door hour , every hour drilling morning . to top , unable bath plug not work . want really , filthy . after discussion manager , move final night Junior Suite . room size standard sized room previous 5 hotel stay . one Best western 2/3 Star . hotel apparently 4 star - opinion even rate high 1 star . this far bad hotel ever set foot in . unless 21 group mate whose main aim go club not care sleep - stay . regret it . these 4 night completely ruin remainder honeymoon . 
 Jun 25 2009 	 place wonderland ! 	 boyfriend spend night Hudson , wow entire place . soon enter hotel , feel like enter dream ! atmosphere lucid dream ! accomodation superb ... food drink fabulous ... staff friendly helpful ! much one place . rooftop trendy bar Cozy Library Lounges ! awesome ! 
 Jun 25 2009 	 nice place stay 	 stay four night Hudson great time . hotel great location , yes room small NY see sight spend great amount time look room . problem bath keep back look like soot make bath look black . first think cause long plane trip second time know not dirty : ) overall nothing complain . 
 Jun 24 2009 	 HORRIBLE HOTEL experience 	 one bad hotel experience ever . arrive late flight , exhausted take cab hotel . , signage , yellow escalator go . doorman even bother help we bag , instead stand . drag stuff lobby/ bar area ( huge extremely dimly light , inside club music thump everywhere go ) stand long line ( midnight ) get desk , find computer . wait another half hour get room . nothing offer compensate wait . finally get room , turn tiny room ever . ( superior room standard room- make wonder small would standard room ? ? ) AC do not work , call maintenance two morning . ( break 2x ) fridge ice bucket either . basically room bed . try get hotel unfortunately could book online via hotel website . wake call request every night never ring time , last night almost miss flight never even get wake call ! ! former new yorker west coast travel back often . nothing special hotel . appear trendy overrate . definitely well hotel new york look trendy hotel . bar overprice clientele uptight suit Europeans . location near subway station , 9th avenue convenient plan tourist thing . outskirt Hells Kitchen . also notice certain thing hotel seem old dirty , lobby bathroom hallway . staff appear friendly , offer help ask , instead naturally helpful . rooftop waitress slow snotty . definitely one bad hotel stay ever . recommend hotel anything . bad part hotel definitely small room . 
 Jun 24 2009 	 Trendy Hotel Small Rooms 	 difficult find hotel entrance , mark . whole experience remind modern speakeasy . door number , inside , escalator take second floor check . great courtyard cocktail ( pricey tho ' ) . concierge extremely helpful , decor pretty amazing . real complaint room extremely small . great one person , two tight fit barely enough room walk around . also , desk work detriment . overall tho ' , price location , good deal . fact , subway block away central park two block away . 
